   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   gāruḍākhyapurāṇe tu pratipādyo hariḥ smṛtaḥ /	gAruxa AKya purANe tu pratipAdyaH hariH smRtaH /
   ato harirnamaskāryo gamyo yogyo hariḥ smṛtaḥ // GarP_3,1.74 //	atas hariH namaskAryaH gamyaH yogyaH hariH smRtaH // GarP_3,1.74 //
   bhāgyātmakatvācchrīdevyā namanaṃ nadanu smṛtam /	BAgya Atmaka tvAt SrIdevyAH namanam nadanu smRtam /
   paro narottamo vā sa sādhakeśopi ca smṛtaḥ // GarP_3,1.75 //	paraH nara uttamaH vA sa sADaka ISopi ca smRtaH // GarP_3,1.75 //
   ato namyo vāyurapi purāṇādau dvijottamāḥ /	atas namyaH vAyuH api purANa AdO dvijottamAH /
   bhāratī vākyarūpatvānnamyā vāyoranantaram // GarP_3,1.76 //	BAratI vAkya rUpa tvAt namyAH vAyoH anantaram // GarP_3,1.76 //
   upasādhako naraḥ prokto yatotastadanantaram /	upasADakaH naraH proktaH yatotas tad anantaram /
   namya ityacyate sadbhistāratamyena sarvadā // GarP_3,1.77 //	namyaH iti acyate sadBiH tAratamyena sarvadA // GarP_3,1.77 //
   ato vyāsaṃ namaskuryādgranthakartṛtvahetutaḥ /	atas vyAsam namaskuryAt granTa kartR tva hetutaH /
   śaunaka uvāca /	SOnakaH uvAca /
   vyāsasya namanaṃ hyante kathaṃ kāryaṃ mahātmanaḥ // GarP_3,1.78 //	vyAsasya namanam hi ante kaTam kAryam mahAtmanaH // GarP_3,1.78 //
   ante ca vandane tasya kāraṇaṃ brūhi suvrata /	ante ca vandane tasya kAraNam brUhi suvrata /
   sūta uvāca /	sUtaH uvAca /
   viṣṇoranantaraṃ vyāsanamanaṃ mukhyameva hi // GarP_3,1.79 //	vizNoH anantaram vyAsa namanam muKyam eva hi // GarP_3,1.79 //
   harireva yato vyāso vācyacakrasvarūpakaḥ /	hariH eva yatas vyAsaH vAcya cakra svarUpakaH /
   vyāso naiva samatvena prokto bhagavato hareḥ // GarP_3,1.80 //	vyAsaH na eva samatvena proktaH BagavataH hareH // GarP_3,1.80 //
   tatrāpi kāraṇaṃ vakṣye sādareṇa munīśvarāḥ /	tatra api kAraNam vakzye sa AdareNa muni ISvarAH /
   vyāsastu kaścana ṛṣiḥ purāṇe tāmase smṛtaḥ // GarP_3,1.81 //	vyAsaH tu kaScanaH RziH purANe tAmase smRtaH // GarP_3,1.81 //
   iti jñānā valaṃbena daityā daityānugaiḥ samāḥ /	iti jQAnAH valaMbena dEtyAH dEtya anugEH samAH /
   praviśanti hyandhatama iti tvante namaskṛtaḥ // GarP_3,1.82 //	praviSanti hi anDatamaH iti tu ante namaskRtaH // GarP_3,1.82 //
   yadidaṃ paramaṃ gopyaṃ hṛdi dhāryaṃ na saṃśayaḥ /	yat idam paramam gopyam hRdi DAryam na saMSayaH /
   parāṇāṃ namyamevoktaṃ pratipādyaṃ yatotra hi // GarP_3,1.83 //	parANAm namyam eva uktam pratipAdyam yatotra hi // GarP_3,1.83 //
   samāsavyāsabhāvāddhi parāṇāṃ tatpratīyate /	samAsa vyAsa BAvAt hi parANAm tat pratIyate /
   vāstavaṃ taṃ na jānīyurupajīvyo yato hariḥ // GarP_3,1.84 //	vAstavam tam na jAnIyuH upajIvyaH yatas hariH // GarP_3,1.84 //
   harirvyāsastveka eva vyāsastu harivatsmṛtaḥ /	hariH vyAsaH tu ekaH eva vyAsaH tu hari vat smRtaH /
   upajīvyatadīśatve tayoreva na saṃśayaḥ // GarP_3,1.85 //	upajIvyatat ISa tve tayoH eva na saMSayaH // GarP_3,1.85 //
   īśakoṭipraviṣṭatvācchriyaḥ svāmitvamīritam /	ISa kowi pravizwa tvAt SriyaH svAmi tvam Iritam /
   trayāṇāmupajīvyatvātsevyatvātsvāmitā smṛtāḥ // GarP_3,1.86 //	trayANAm upajIvya tvAt sevya tvAt svAmi tA smRtAH // GarP_3,1.86 //
   vāyvādīnāṃ trayāṇāṃ ca sevyatvātsevyatā smṛtā /	vAyu AdInAm trayANAm ca sevya tvAt sevya tA smRtA /
   bhūbhāraharaṇe viṣṇoḥ pradhānāṅgaṃ hi mārutiḥ // GarP_3,1.87 //	BU BAra haraNe vizNoH praDAna aFgam hi mArutiH // GarP_3,1.87 //
   vākyarūpā bhāratī tu dvitīyāṅgaṃ hi sā smṛtā /	vAkya rUpA BAratI tu dvitIya aFgam hi sA smRtA /
   tṛtīyāṅga hareḥ śeṣo na namyāḥ sāmyato hareḥ // GarP_3,1.88 //	tRtIya aFga hareH SezaH na namyAH sAmyataH hareH // GarP_3,1.88 //
   pratipādyā mukhyatayā namyā eva samīritāḥ /	pratipAdyAH muKya tayA namyAH eva samIritAH /
   avāntarāśca vāyvādyā na namyāstena te smṛtāḥ // GarP_3,1.89 //	avAntarAH ca vAyu AdyAH na namyAH tena te smRtAH // GarP_3,1.89 //
   bhīṣmadroṇādināmāni bhīmādiṣveva mukhyataḥ /	BIzma droNa Adi nAmAni BIma Adizu eva muKyatas /
   vācakāni yato nityaṃ tannamyāste munīśvarāḥ // GarP_3,1.90 //	vAcakAni yatas nityam tad namyAH te muni ISvarAH // GarP_3,1.90 //
   parāṇāmeva namyatvaṃ pratipādyatvameva hi /	parANAm eva namya tvam pratipAdya tvam eva hi /
   etatsarvaṃ mayākhyātaṃ kimanyacchrotumicchatha // GarP_3,1.91 //	etat sarvam mayA AKyAtam kim anyat Srotum icCaTa // GarP_3,1.91 //
   iti śrīgāruḍe mahāpurāṇe sūtaśaunakasaṃvāde uttarakhaṇḍe tṛtīyāṃśe	iti SrI gAruxe mahApurANe sUta SOnaka saMvAde uttara KaNxe tRtIya aMSe
   brahmakāṇḍe sāttvikādipurāṇavibhāganamyānamyadevavibhāgādiviṣayanirūpaṇaṃ	brahma kANxe sAttvika Adi purANa viBAga namyAnamya deva viBAga Adi vizaya nirUpaNam
   nāma prathamo 'dhyāyaḥ	nAma praTamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  2	SrI garuxa mahApurANam 2
   śrīśaunaka uvāca /	SrI SOnakaH uvAca /
   kathaṃ sasarja bhagavāṃstattattattvābhimāninaḥ /	kaTam sasarja BagavAn= tad tad tattva aBimAninaH /
   sṛṣṭikramaṃ na jānāmi devānāṃ hyantaraṃ mune // GarP_3,2.1 //	sRzwi kramam na jAnAmi devAnAm hi antaram mune // GarP_3,2.1 //
   śaunakenaiva muktastu sūto vacanamabravīt /	SOnakena eva muktaH tu sUtaH vacanam abravIt /
   śūta uvāca /	SUtaH uvAca /
   samyagvyavasitā buddhistava brahmarṣisattama // GarP_3,2.2 //	samyak vyavasitA budDiH tava brahmarzi sattamaH // GarP_3,2.2 //
   evameva kṛtaḥ praśro harau tu garuḍena vai /	evam eva kRtaH praSraH harO tu garuxena vE /
   yaduktavānharistasmaitadvakṣyāmi tavānagha /	yat uktavAn hariH tasma etat vakzyAmi tava anaGa /
   garuḍa uvāca /	garuxaH uvAca /
   sṛṣṭiṃ vrūhi mahābhāga saccidānandavigraha // GarP_3,2.3 //	sRzwim vrUhi mahABAga saccidAnanda vigrahaH // GarP_3,2.3 //
   sṛṣṭau jñāte tavotkarṣo jñātaprāyo bhaviṣyati /	sRzwO jQAte tava utkarzaH jQAta prAyaH Bavizyati /
   brahmādīnāṃ tāratamyajñānaṃ mama bhaviṣyati // GarP_3,2.4 //	brahma AdInAm tAratamya jQAnam mama Bavizyati // GarP_3,2.4 //
   mokṣopāyamyaḥ sa vokta mitatarattasya sādhanam /	mokza upAyamyaH sa vA ukta mitatarat tasya sADanam /
   garuḍenaiva muktastu kṛṣṇo vacanamabravīt // GarP_3,2.5 //	garuxena eva muktaH tu kRzNaH vacanam abravIt // GarP_3,2.5 //
   śṛkṛṣṇa uvāca mūlarūpe hyato jñeyo viṣṇutvādviṣṇuravyayaḥ // GarP_3,2.6 //	SRkRzNaH uvAca mUla rUpe hi atas jQeyaH vizNu tvAt vizNuH avyayaH // GarP_3,2.6 //
   avatāramidaṃ proktaṃ pūrṇatvādeva suvrata /	avatAram idam proktam pUrNa tvAt eva suvrata /
   aneko hyekatāṃ prāpya saṃśete pralayāya vai // GarP_3,2.7 //	anekaH hi ekatAm prApya saMSete pralayAya vE // GarP_3,2.7 //
   tatrāpi ca viśeṣosti jñātavyaṃ tatvameva saḥ // GarP_3,2.8 //	tatra api ca viSeza usti jQAtavyam tatvam eva saH // GarP_3,2.8 //
   bhedena darśanādvāpi bhedābhedena darśanāt /	Bedena darSanAt vA api Beda aBedena darSanAt /
   viṣṇorguṇānāṃ rūpāṇāṃ tadaṅgānāṃ sukhādinām /	vizNoH guNAnAm rUpANAm tad aFgAnAm suKa AdinAm /
   tatraiva daśanādvāpi kṣiprameva tamo vrajet // GarP_3,2.9 //	tatra eva daSanAt vA api kzipram eva tamaH vrajet // GarP_3,2.9 //
   puruṣāntaramārabhya kalpitā ye dvijottama /	puruza antaram AraBya kalpitAH ye dvijottamaH /
   harirūpāstu te jñeyā ekībhūtā hi tena te // GarP_3,2.10 //	hari rUpAH tu te jQeyAH ekIBUtAH hi tena te // GarP_3,2.10 //
   praleya samanuprāpte jīvāḥ sa yānti māmakāḥ /	praleya samanuprApte jIvAH sa yAnti mAmakAH /
   virājṛpe hareḥ saṃti tadā te ca hyanekadhā // GarP_3,2.11 //	virAjRpe hareH saMti tadA te ca hi anekaDA // GarP_3,2.11 //
   ekībhāvaṃ prāpnuvanti mūlena pralaye dvija /	ekIBAvam prApnuvanti mUlena pralaye dvija /
   biṃbena tu svayaṃ viṣṇurekībhāvaṃ vrajedyadi // GarP_3,2.12 //	biMbena tu svayam vizNuH ekIBAvam vrajet yadi // GarP_3,2.12 //
   pratibiṃbaḥ kathaṃ jīvo bhavennārāyaṇasya ca /	pratibiMbaH kaTam jIvaH Bavet nArAyaNasya ca /
   tadadhīnastatsadṛśo harerjīvo na saṃśayaḥ // GarP_3,2.13 //	tad aDInaH tad sadRSaH hareH jIvaH na saMSayaH // GarP_3,2.13 //
   pratibiṃbasya śabdārtho hyayamevamudāhṛtaḥ /	pratibiMbasya Sabda arTaH hi ayam evam udAhRtaH /
   tasmācca biṃbarūpāṇāmekībhāvaṃ na cintayet // GarP_3,2.14 //	tasmAt ca biMba rUpANAm ekIBAvam na cintayet // GarP_3,2.14 //
   kṛṣṇarāmādivaccaiva tvekī bhāvo vivakṣitaḥ /	kRzNarAma Adi vat ca eva tu ekI BAvaH vivakzitaH /
   biṃbānāṃ mūlarūpasya bhedo nātra vivakṣitaḥ // GarP_3,2.15 //	biMbAnAm mUla rUpasya BedaH na atra vivakzitaH // GarP_3,2.15 //
   tatrāpi ca viśeṣosti jñātavyastattvamicchubhiḥ /	tatra api ca viSeza usti jQAtavyaH tattvam icCuBiH /
   ekāṃśena tu biṃbaistu caikībhāvaṃ vrajanti te // GarP_3,2.16 //	eka aMSena tu biMbEH tu ca ekIBAvam vrajanti te // GarP_3,2.16 //
   ekāṃśena tu jīvatve saṃsthitā nātra saṃśayaḥ /	eka aMSena tu jIva tve saMsTitAH na atra saMSayaH /
   biṃbamūlaṃ na jānanti te janā hyasurāḥ smṛtāḥ // GarP_3,2.17 //	biMba mUlam na jAnanti te janAH hi asurAH smRtAH // GarP_3,2.17 //
   eka eva hariḥ pūrvaṃ hyavidyāvaśataḥ svayam /	ekaH eva hariH pUrvam hi avidyA vaSataH svayam /
   aneko bhavati hyārādādarśapratirbibavat // GarP_3,2.18 //	anekaH Bavati hi ArAda AdarSa pratirbibavat // GarP_3,2.18 //
   evaṃ vadanti ye mūḍhā stepi yāntyadharaṃ tamaḥ /	evam vadanti ye mUXA stepi yAnti aDaram tamaH /
   upādhirdvividhaḥ proktaḥ svarūpo bāhya eva ca // GarP_3,2.19 //	upADiH dviviDaH proktaH svarUpaH bAhyaH eva ca // GarP_3,2.19 //
   bāhyopādhirlaye yāti muktāvanyasya saṃśthitiḥ /	bAhya upADiH laye yAti muktO= anyasya saMSTitiH /
   sarvopādhivi nāśe hi pratibiṃbaḥ kathaṃ bhavet // GarP_3,2.20 //	sarva upADivi nASe hi pratibiMbaH kaTam Bavet // GarP_3,2.20 //
   cidrūpākhyo hyupādhistu mokṣe yepyadhikāriṇaḥ /	cit rUpa AKyaH hi upADiH tu mokze yepi aDikAriNaH /
   duḥ kharūpo hyupādhistu tamaso yedhikāriṇaḥ // GarP_3,2.21 //	duH Ka rUpaH hi upADiH tu tamasaH yeDi kAriNaH // GarP_3,2.21 //
   miśrarūpo hyupādhistu nityasaṃsāriṇāṃ mataḥ /	miSra rUpaH hi upADiH tu nitya saMsAriNAm mataH /
   bāhyopādhirliṅgadehaḥ sarveṣāṃ nātra saṃśayaḥ // GarP_3,2.22 //	bAhya upADiH liFga dehaH sarvezAm na atra saMSayaH // GarP_3,2.22 //
   daityāḥ duḥ khāyate yasmāttasmāduḥ khī hariḥ svayam /	dEtyAH duH KAyate yasmAt tasmAt uH KI hariH svayam /
   tattadduḥ khasvarūpatvāddaityānāṃ biṃbarūpakaḥ // GarP_3,2.23 //	tad tad duH Ka svarUpa tvAt dEtyAnAm biMba rUpakaH // GarP_3,2.23 //
   daityasthitānāṃ biṃbānāṃ mūlarūpasya vai prabhoḥ /	dEtya sTitAnAm biMbAnAm mUla rUpasya vE praBoH /
   parasparaṃ tathā bhedaṃ hyantaraṃ vā na cintayet // GarP_3,2.24 //	parasparam taTA Bedam hi antaram vA na cintayet // GarP_3,2.24 //
   śrībhūdurgādirūpāṇāṃ tathā sītādirūpiṇām /	SrI BUt urga Adi rUpANAm taTA sItA Adi rUpiNAm /
   anyonyaṃ nāṇumātraṃ ca bhedo bāhyāntarepi ca // GarP_3,2.25 //	anyonyam na aNu mAtram ca BedaH bAhya antarepi ca // GarP_3,2.25 //
   cintanīyaḥ kathamapi jñātvā yāntyadharaṃ tamaḥ /	cintanIyaH kaTam api jQAtvA yAnti aDaram tamaH /
   pratibiṃbasthito biṃbaḥ strīrūpo hyasti sarvadā // GarP_3,2.26 //	pratibiMba sTitaH biMbaH strI rUpaH hi asti sarvadA // GarP_3,2.26 //
   pralaye samanuprāpte lakṣmyā saha khagottama /	pralaye samanuprApte lakzmyA saha Kaga uttamaH /
   ekībhāvaṃ nāpnuvanti viṃbena saha saṃsthitāḥ // GarP_3,2.27 //	ekIBAvam na Apnuvanti viMbena saha saMsTitAH // GarP_3,2.27 //
   biṃvasthitānāṃ rūpāṇāṃ lakṣmyāśca vinatāsuta /	biMva sTitAnAm rUpANAm lakzmyAH ca vinatA sutaH /
   bhedastu nāṇumātraṃ ca śaṅkanīyaḥ kathañcana // GarP_3,2.28 //	BedaH tu na aNu mAtram ca SaFkanIyaH kaTaQcana // GarP_3,2.28 //
   yadā hi śete pralayārṇave vibhurjīvāṃśca sarvānudare niveśya /	yadA hi Sete pralaya arNave viBuH jIvAn= ca sarvAn udare niveSya /
   muktāṃśca brahmendramarudgaṇādīnprātpavyamuktīṃśca sutau? ca saṃsthitān //	muktAn= ca brahma indra marut gaNa AdIn prAtpavya muktIn= ca sutO? ca saMsTitAn //
   GarP_3,2.29 //	GarP_3,2.29 //
   prāptāndhakūpādisamastajīvāṃstathaiva prāptavyakalīnathāparān /	prApta anDa kUpa Adi samasta jIvAn= taTA eva prAptavyakalI n aTa aparAn /
   tathaiva nityaṃ sṛtisaṃsthitāñjanānacetanānṛkṣarūpādijīvān // GarP_3,2.30	taTA eva nityam sRti saMsTita aQjanAn acetana anRkza rUpa Adi jIvAn // GarP_3,2.30
   evaṃ janāñjaṭhare saṃnidhāya samyakūśete hyaṃbhasi vai sa kalpe /	evam janAn jaWare saMniDAya samyakUSete hi aMBasi vE sa kalpe /
   lakṣmīstu sā sarvavedātmikā ca bhaktyā harau nityasaṃvardhitāpi //	lakzmIH tu sA sarva veda AtmikA ca BaktyA harO nitya saMvarDitA api //
   GarP_3,2.31 //	GarP_3,2.31 //
   atyādaraṃ darśayatīva sā tu īḍe viṣṇuṃ bhaktisaṃvardhitāpi /	ati Adaram darSayati iva sA tu Ixe vizNum Bakti saMvarDitA api /
   ceṣṭādirūpeṇa tadā na kiñcidāsīdvinā viṣṇumatha śriyaṃ ca // GarP_3,2.32	cezwA Adi rUpeNa tadA na kiQcid AsIt vinA vizNum aTa Sriyam ca // GarP_3,2.32
   paryaṅkarūpeṇa vabhūva devī vāsasvarūpeṇa ramā vireje /	paryaFka rUpeNa vaBUva devI vAsa sva rUpeNa ramA vireje /
   sarvaṃ ramā saiva tadaiva cāsītsaikā devī bahurūpā babhāṣe // GarP_3,2.33	sarvam ramA sA eva tadA eva ca AsIt sA ekA devI bahu rUpAH baBAze // GarP_3,2.33
   tvamutkṛṣṭaḥ sarvadevottamatvānna tvatsamaḥ kaścidevādhiko vā /	tvam utkRzwaH sarva deva uttama tvAt na tvad samaH kaScid eva aDikaH vA /
   tvaṃ brahma eko na caturmukhaśca nāhaṃ rudro na bṛhaspatiśca //	tvam brahma ekaH na caturmuKaH ca na aham rudraH na bRhaspatiH ca //
   GarP_3,2.34 //	GarP_3,2.34 //
   viṣṇāveva brahmaśabdo hi mukhyo hyanyeṣvamukhyo brahmarudrādikeṣu /	vizNO= eva brahma SabdaH hi muKyaH hi anyezu amuKyaH brahma rudra Adikezu /
   anantaguṇapūrṇatvādbrahmeti harirucyate // GarP_3,2.35 //	ananta guNa pUrNa tvAt brahma iti hariH ucyate // GarP_3,2.35 //
   guṇādipūrṇatābhāvānnānye brahmetyudāhṛtāḥ /	guNa Adi pUrNa tA BAvAt na anye brahma iti udAhRtAH /
   deśānantyaṃ guṇataḥ kālato vā nāstyānantyaṃ kvāpi deśe ca kāle //	deSa Anantyam guNataH kAlataH vA na asti Anantyam kvApi deSe ca kAle //
   GarP_3,2.36 //	GarP_3,2.36 //
   yadā nantyaṃ kimu vaktavyamatra guṇānantyaṃ nāsti brahmādikeṣu /	yadA nantyam kimu vaktavyam atra guNa Anantyam na asti brahma Adikezu /
   yadyapyahaṃ deśataḥ kālataśca samastadā vāsudevena sārdham // GarP_3,2.37	yadi api aham deSataH kAlataH ca samaH tadA vAsudevena sArDam // GarP_3,2.37
   tathāpi me guṇato nāstyanantaṃ tato dharmā guṇatonantataśca /	taTA api me guNataH na asti anantam tatas DarmAH guNa tonantataH ca /
   saṃti śrutāvaviruddhāśca deve cintyā hyacintyā bahudhā te hyanantāḥ //	saMti SrutO= avirudDAH ca deve cintyAH hi acintyAH bahuDA te hi anantAH //
   GarP_3,2.38 //	GarP_3,2.38 //
   ato guṇāṃstava devasya viṣṇo stotuṃ sadā smo na hareḥ kadāpi /	atas guNAn= tava devasya vizNo stotum sadA smaH na hareH kadApi /
   nāhaṃ na keśau na ca gīrna rudro na dakṣakanyā na ca menakāsutā //	na aham na keSO na ca gIrna rudraH na dakza kanyA na ca menakA sutAH //
   GarP_3,2.39 //	GarP_3,2.39 //
   na vai biḍaujā na ca vā pulomajā na cedhmavāho na yamo na cānyaḥ /	na vE bixa ojAH na ca vA pulomajAH na ca iDmavAhaH na yamaH na ca anyaH /
   na nārado nāpi bhṛgurvasiṣṭho na vighnapo nāpi balyādayaśca // GarP_3,2.40	na nAradaH na api BRguH vasizWaH na viGnapaH na api balyAdayaH ca // GarP_3,2.40
   na vai virāṭo nāpi bhīmaḥ śaniśca na puṣkaro na kaśerustathaiva /	na vE virAwaH na api BImaH SaniH ca na puzkaraH na kaSeruH taTA eva /
   na kinnarāḥ pitaro naiva devā gandharvamukhyā nāpi vā tuṣyasaṃjñāḥ //	na kinnarAH pitaraH na eva devAH ganDarva muKyAH na api vA tuzya saMjQAH //
   GarP_3,2.41 //	GarP_3,2.41 //
   na vai kṣitīśā na ca mānuṣāśca viṣṇorna jānanti kimatra cānye /	na vE kzitISAH na ca mAnuzAH ca vizNoH na jAnanti kim atra ca anye /
   mattodhamaḥ kociguṇena brahmā samo hi tasya brahmaṇo mātariśva //	mattoDamaH kociguNena brahmA samaH hi tasya brahmaNaH mAtariSva //
   GarP_3,2.42 //	GarP_3,2.42 //
   tau vai virāge haribhaktibhāve dhṛtistitiprāṇabaleṣuyoge /	tO vE virAge hari Bakti BAve DRtiH titi prANa bala izu yoge /
   buddhau samānau saṃsṛtau mokṣakāle parasparādhārasamanvitau ca //	budDO samAnO saMsRtO mokza kAle paraspara ADAra samanvitO ca //
   GarP_3,2.43 //	GarP_3,2.43 //
   annābhimānaṃ brahma cāhurmurāriṃ jīvābhimānaṃ vāyumāhurmahāntaḥ /	anna aBimAnam brahma ca AhuH murArim jIva aBimAnam vAyum AhuH mahAntaH /
   na śaktosau brahmadevo vivastuṃ vāyuṃ vinā saṃsṛtāveva nityam //	na Sakta UsO brahmadevaH vivastum vAyum vinA saMsRtO= eva nityam //
   GarP_3,2.44 //	GarP_3,2.44 //
   na taṃ vinā mātariśvā ca vastumanyonyamāptiḥ kālato nyūnatā ca /	na tam vinA mAtariSvA ca vastum anyonyam AptiH kAlataH nyUna tA ca /
   yadā mahattattvani yāmakobhūdbrahmāṇḍāntasthūlasṛṣṭau mahātmā //	yadA mahat tattvani yAmaka uBUt brahmANxa anta sTUla sRzwO mahAtmA //
   GarP_3,2.45 //	GarP_3,2.45 //
   tadā vāyurnāśakadvai mahātmā bāhye sṛṣṭau kālabhedena cāsti /	tadA vAyuH na aSakat vE mahAtmA bAhye sRzwO kAla Bedena ca asti /
   sarasvatī bhāratī brahmaṇastu saṃvatsarānantaraṃ saṃbabhūva // GarP_3,2.46	sarasvatI BAratI brahmaNaH tu saMvatsara anantaram saMbaBUva // GarP_3,2.46
   yadā daśābdāḥ samatītā mahātmā tadā vāyuḥ samabhūllokapūjyaḥ /	yadA daSa abdAH samatItAH mahAtmA tadA vAyuH samaBUt loka pUjyaH /
   kiñcinnyūnatvaṃ sthūlasṛṣṭau mahātmannaitāvatā vānayoḥ saumyahāniḥ //	kiQcid nyUna tvam sTUla sRzwO mahAtman= EtAvatA vA anayoH sOmya hAniH //
   GarP_3,2.47 //	GarP_3,2.47 //
   sarasvatī vatsarātsaṃbabhūva hyanantaraṃ brahmaṇo janmakālāt /	sarasvatI vatsarAt saMbaBUva hi anantaram brahmaNaH janma kAlAt /
   giraḥ sakāśātkālato nyūnatāsti vāyostadā hyadhamattve kṣatiḥ kā //	giraH sakASAt kAlataH nyUna tA asti vAyoH tadA hi aDamat tve kzatiH kA //
   GarP_3,2.48 //	GarP_3,2.48 //
   vāyoranantaraṃ vāṇī hyabhūtsaṃvatsarātparam /	vAyoH anantaram vANI hi aBUt saMvatsarAt param /
   yāvatpaścājjanistāvatpūrvadehakṣayo bhavet // GarP_3,2.49 //	yAvat paScAt janiH tAvat pUrva deha kzayaH Bavet // GarP_3,2.49 //
   śeṣastvindro rudra ete trayaśca samā hyete jñānabalādikeṣvapi tathāpi	SezaH tu indraH rudraH ete trayaH ca samAH hi ete jQAna bala Adikezu api taTA api
   teṣāṃ kālato nyūnatāsti kālopi teṣāṃ dvivyesahasravarṣam // GarP_3,2.50 //	tezAm kAlataH nyUna tA asti kAlopi tezAm dvi vyesahasra varzam // GarP_3,2.50 //
   anantarudro brahmavāyū yathā vā tathā jñeyo naiva hāniḥ svarūpe /	ananta rudraH brahma vAyU yaTA vA taTA jQeyaH na eva hAniH svarUpe /
   sthūlasya sṛṣṭau bāhyasṛṣṭau mahātmankālānnyūnatvaṃ sa mayā naiva cintyaḥ	sTUlasya sRzwO bAhya sRzwO mahAtman kAlAn nyUna tvam sa mayA na eva cintyaH
   // GarP_3,2.51 //	// GarP_3,2.51 //
   teṣāṃ sakāśādvāruṇī pārvatī ca sauparṇīnāmnī tistra etā mahātman /	tezAm sakASAt vAruNI pArvatI ca sOparNI nAmnI tistraH etAH mahAtman /
   daśābdebhyonantaraṃ saṃbabhūvuḥ sarasvatī bhāratīvacca bodhyā //	daSa abdeByaH nantaram saMbaBUvuH sarasvatI BAratI vat ca boDyA //
   GarP_3,2.52 //	GarP_3,2.52 //
   indro varo rudrabhāryādikebhya evaṃ jñānaṃ sarvadā dehyamandam /	indraH varaH rudra BAryAdikeByaH evam jQAnam sarvadA dehya mandam /
   evaṃ jñānaṃ yasya bhavecca loke sa vai jñānī vedavedyaḥ sa eva //	evam jQAnam yasya Bavet ca loke sa vE jQAnI veda vedyaH saH eva //
   GarP_3,2.53 //	GarP_3,2.53 //
   na vai jñānītyantaraṃ yo na veda sa vedavādī na ca vedapāṭhakaḥ //	na vE jQAni iti antaram yaH na veda sa veda vAdI na ca veda pAWakaH //
   GarP_3,2.54 //	GarP_3,2.54 //
   vedākṣarāṇi yāvanti paṭhitāni dvijātibhiḥ /	veda akzarANi yAvanti paWitAni dvijAtiBiH /
   tāvanti harināmāni priyāṇi ca hareḥsadā // GarP_3,2.55 //	tAvanti hari nAmAni priyANi ca hareH sadA // GarP_3,2.55 //
   mama svāmī harirnityaṃ dāsohaṃ sarvadā hareḥ /	mama svAmI hariH nityam dAsa Uham sarvadA hareH /
   brahmādyā devatāḥ sarvā guravo me yathākramam // GarP_3,2.56 //	brahma AdyAH devatAH sarvAH guravaH me yaTAkramam // GarP_3,2.56 //
   eteṣāṃ ca hariḥ svāmī vede sarvatra gīyate /	etezAm ca hariH svAmI vede sarvatra gIyate /
   evaṃ jānaṃstu yo vedānsaṃpaṭhetsa dvijottamaḥ // GarP_3,2.57 //	evam jAnan= tu yaH vedAn saMpaWet sa dvijottamaH // GarP_3,2.57 //
   sa vedapāṭhako jñeyastadanye vedavādinaḥ /	sa veda pAWakaH jQeyaH tad anye veda vAdinaH /
   vedabhārabharākrāntaḥ sa vai brāhmaṇagardabhaḥ // GarP_3,2.58 //	veda BAra Bara AkrAntaH sa vE brAhmaNa gardaBaH // GarP_3,2.58 //
   jñānābhimānī vedamānī ubhau tu parasparaṃ hyūcatuḥ sarvadaiva /	jQAna aBimAnI veda mAnI uBO tu parasparam hi UcatuH sarvadA eva /
   jalaṃ vedo yatra vāso murārerācāryāṇāṃ saṃgadoṣāddvijānām // GarP_3,2.59	jalam vedaH yatra vAsaH murAreH AcAryANAm saMga dozAt dvijAnAm // GarP_3,2.59
   mahāparādhāḥ saṃti loke mahātmansahasraśaḥ śataśaḥ koṭiśaśca /	mahA aparADAH saMti loke mahAtman sahasraSas SataSas kowiSas ca /
   hariśca tānkṣamate sarvadaiva nāmatrayasmaraṇādvai kupāluḥ // GarP_3,2.60	hariH ca tAn kzamate sarvadA eva nAma traya smaraNAt vE kupAluH // GarP_3,2.60
