   sāṅkhyasāraḥ /	sAFKya-sAraH /
   guṇāḥ sarve prakṛtyādervikārāścetare 'khilāḥ // ViSs_2,5.6 //	guNAH sarve prakRti-AdeH-vikArAH-ca-itare aKilAH // ViSH-_2,5.6 //
   ātmā tu nirguṇastadvat kūṭasthaśca mato budhaiḥ /	AtmA tu nirguNaH-tadvat kUwasTaH-ca mataH buDEH /
   citeḥ kūṭasthasañjñā tu sthiratvād girikūṭavat // ViSs_2,5.7 //	citeH kUwasTa-saQjQA tu sTira-tvAt giri-kUwa-vat // ViSH-_2,5.7 //
   lepaścetarasambandhe tadrūpairuparaktatā /	lepaH-ca-itara-sambanDe tad-rUpEH-uparakta-tA /
   yathā viṣayasambandhādbuddhau bhavati vāsanā // ViSs_2,5.8 //	yaTA vizaya-sambanDAt-budDO Bavati vAsanAH // ViSH-_2,5.8 //
   bhāṇḍādau dravyayogācca tattaddravyasya vāsanā /	BANxa-AdO dravya-yogAt-ca tad-tad-dravyasya vAsanA /
   lepahetuśca sambandhaḥ saṅgaḥ sambandhi cāñjanam // ViSs_2,5.9 //	lepa-hetuH-ca sambanDaH saFgaH sambanDi ca-aQjanam // ViSH-_2,5.9 //
   ato nirañjano 'saṅgo nirlepaścocyate pumān /	atas niraQjanaH asaFgaH nirlepaH-ca-ucyate pumAn /
   nabhaḥpuṣkarapatrādidṛṣṭāntaiḥ paramarṣibhiḥ // ViSs_2,5.10 //	naBaH-puzkara-patra-Adi-dRzwAntEH parama-RziBiH // ViSH-_2,5.10 //
   cinmātrānantaśaktyabdhau pumarthapavaneritāḥ /	cit-mAtra-ananta-Sakti-abDO pum-arTa-pavana-IritAH /
   sattvādiśaktayo yānti viśvabudbudarūpatām // ViSs_2,5.11 //	sattva-Adi-SaktayaH yAnti viSva-budbuda-rUpa-tAm // ViSH-_2,5.11 //
   ata īśaścidātmaiva jagataḥ sannidhānataḥ /	atas ISaH-cit-AtmA-eva jagataH sanniDAnataH /
   maṇivat prerakatvena jaḍānāmayasāmiva // ViSs_2,5.12 //	maNi-vat preraka-tvena jaxAnAm-ayasAm-iva // ViSH-_2,5.12 //
   pumāneva jagatkartā jagadbhartā 'khileśvaraḥ /	pumAn-eva jagat-kartA jagat-BartA aKila-ISvaraH /
   svāmyarthe mṛtyavadyasmājjaḍavargaḥ pravartate // ViSs_2,5.13 //	svAmi-arTe mRtya-vat-yasmAt-jaxa-vargaH pravartate // ViSH-_2,5.13 //
   karaṇāni ca deheṣu rājārthamadhikārivat /	karaNAni ca dehezu rAja-arTam-aDikAri-vat /
   bhogyajātaṃ manomantriṇyarpayanti svabhāvataḥ // ViSs_2,5.14 //	Bogya-jAtam manaH-mantriNi-arpayanti svaBAvataH // ViSH-_2,5.14 //
   tairbhogyairyuktamātmānamāvedayati dhīściti /	tEH-BogyEH-yuktam-AtmAnam-Avedayati DIH-citi /
   īkṣāmātreṇa tadbhuṅkte rājevātmā 'khileśvaraḥ // ViSs_2,5.15 //	IkzA-mAtreNa tad-BuFkte rAjA-iva-AtmA aKila-ISvaraH // ViSH-_2,5.15 //
   dhanāderīśvaro deho dehasyendriyamīśvaram /	Dana-AdeH-ISvaraH dehaH dehasya-indriyam-ISvaram /
   indriyasyeśvarī buddhirbuddherātmeśvaraḥ paraḥ // ViSs_2,5.16 //	indriyasya-ISvarI budDiH-budDeH-Atma-ISvaraH paraH // ViSH-_2,5.16 //
   kūṭasthasyeśvarasyānyo nāsti preraka ityataḥ /	kUwasTasya-ISvarasya-anyaH na-asti prerakaH iti-atas /
   īśvarasyāvadhitvena draṣṭā vai parameśvaraḥ // ViSs_2,5.17 //	ISvarasya-avaDi-tvena drazwA vE parameSvaraH // ViSH-_2,5.17 //
   anyasyāgantukaiśvaryaṃ bahuvyāpārasaṅkulam /	anyasya-Agantuka-ESvaryam bahu-vyApAra-saFkulam /
   nirvyāpārasya nirdoṣamanādyaiśvaryamātmanaḥ // ViSs_2,5.18 //	nirvyApArasya nirdozam-anAdya-ESvaryam-AtmanaH // ViSH-_2,5.18 //
   sarvaśaktimayo hyātmā śaktimaṇḍalatāṇḍavaḥ /	sarva-Sakti-mayaH hi-AtmA Sakti-maNxala-tANxavaH /
   saṃsāraṃ tannivṛttiṃ ca māyayā '; 'pnoti helayā // ViSs_2,5.19 //	saMsAram tat-nivRttim ca mAyayA a; apnoti helayA // ViSH-_2,5.19 //
   sarvātiśāyi nirdoṣamaiśvaryamidamātmanaḥ /	sarva-atiSAyi nirdozam-ESvaryam-idam-AtmanaH /
   paśyato yogino brāhmamapyaiśvaryaṃ tṛṇāyate // ViSs_2,5.20 //	paSyataH yoginaH brAhmam-api-ESvaryam tRNAyate // ViSH-_2,5.20 //
   bāhyasyātmocyate deho dehasyātmendriyāṇi ca /	bAhyasya-AtmA-ucyate dehaH dehasya-Atma-indriyANi ca /
   buddhirātmendriyāntasya buddherātmā tu cinnabhaḥ // ViSs_2,5.21 //	budDiH-Atma-indriya-antasya budDeH-AtmA tu cit-naBaH // ViSH-_2,5.21 //
   ata ātmāvadhitvena paramātmocyate citiḥ /	atas AtmOvaDi-tvena paramAtmA-ucyate citiH /
   tathā 'ntaḥkaraṇairyogājjīva ityucyate citiḥ // ViSs_2,5.22 //	taTA antaHkaraNEH-yogAt-jIvaH iti-ucyate citiH // ViSH-_2,5.22 //
   avidyākāryarahitaḥ paramātmani ca smṛtiḥ /	avidyA-kArya-rahitaH paramAtmani ca smRtiH /
   yasya yadvyāpakaṃ tasya tadbrahmā 'to dharādikam // ViSs_2,5.23 //	yasya yat-vyApakam tasya tat-brahmA atas DarA-Adikam // ViSH-_2,5.23 //
   prakṛtyantaṃ bhavedbrahma svasvakāryādyapekṣayā /	prakRti-antam Bavet-brahma sva-sva-kArya-Adi-apekzayA /
   seśvare sāṅkhyavāde 'pi citerevānumanyate // ViSs_2,5.24 //	sa-ISvare sAFKya-vAde api citeH-eva-anumanyate // ViSH-_2,5.24 //
   pare vā paramātmatvādikaṃ tu na jaḍe kvacit /	pare vA paramAtma-tva-Adikam tu na jaxe kvacid /
   adhyakṣavyāpakatvābhyāṃ paraṃ brahma tu cetanaḥ // ViSs_2,5.25 //	aDyakza-vyApaka-tvAByAm param brahma tu cetanaH // ViSH-_2,5.25 //
   tasyādhyakṣaṃ vyāpakaṃ ca na hetuvidhayā 'sti hi /	tasya-aDyakzam vyApakam ca na hetu-viDayA asti hi /
   asaṅkhyātmā nabhorāśiravibhaktaikarūpakaḥ // ViSs_2,5.26 //	asaFKya-AtmA naBoH-A-SiH-aviBakta-eka-rUpakaH // ViSH-_2,5.26 //
   so 'taścidghanavijñānaghanātmaghanasaṃjñakaḥ /	saH atas-cid-Gana-vijQAna-Gana-Atma-Gana-saMjQakaH /
   prakāśasyānapekṣatvāt svasya draṣṭṛtayā 'pi ca // ViSs_2,5.27 //	prakASasya-anapekza-tvAt svasya drazwR-tayA api ca // ViSH-_2,5.27 //
   svaprakāśaḥ pumānukta itare tadvilakṣaṇāḥ /	sva-prakASaH pumAn-uktaH itare tad-vilakzaNAH /
   bhogo 'bhyavahṛtiḥ sā ca kūṭasthe nāsti dhīṣviva // ViSs_2,5.28 //	BogaH aByavahRtiH sA ca kUwasTe na-asti DIzu-iva // ViSH-_2,5.28 //
   dhīvṛttipratibimbākhyagauṇabhogā tu bhoktṛtā /	DI-vRtti-pratibimba-AKya-gONa-BogA tu BoktRtA /
   sākṣāddhīvṛtidraṣṭṛtvād buddhisākṣyucyate pumān // ViSs_2,5.29 //	sAkzAt-hIvRti-drazwR-tvAt budDi-sAkzI-ucyate pumAn // ViSH-_2,5.29 //
   vinā vikāraṃ draṣṭṛtvāt sākṣī tūkto 'khilasya saḥ /	vinA vikAram drazwR-tvAt sAkzI tu-uktaH aKilasya saH /
   caityoparāgarūpatvāt sākṣitā 'pyadhruvā citaḥ // ViSs_2,5.30 //	cEtya-uparAga-rUpa-tvAt sAkzitA api-aDruvA citaH // ViSH-_2,5.30 //
   upalakṣaṇamevedamapi vyāvṛttaye jaḍāt /	upalakzaNam-eva-idam-api vyAvRttaye jaxAt /
   ataḥ pumānanirdeśyo 'ṇuśca sūkṣmaśca kathyate // ViSs_2,5.31 //	atas pumAn-anirdeSyaH aNuH-ca sUkzmaH-ca kaTyate // ViSH-_2,5.31 //
   vinā dṛśyamadṛśyatvādavyaktaścocyate sataḥ /	vinA dRSyam-adRSya-tvAt-avyaktaH-ca-ucyate sataH /
   adṛśyo dṛśyate rāhurgṛhītena yathendunā // ViSs_2,5.32 //	adRSyaH dRSyate rAhuH-gRhItena yaTA-indunA // ViSH-_2,5.32 //
   adṛśyaṃ cāsyamādarśe cit tathā svasvabuddhiṣu /	adRSyam ca-Asyam-AdarSe cit taTA sva-sva-budDizu /
   citi viśvasya saṅgaśced viśvaṃ bhāseta sarvadā // ViSs_2,5.33 //	citi viSvasya saFgaH-ced viSvam BAseta sarvadA // ViSH-_2,5.33 //
   viśvādhāro 'pyataḥ śūnyamiti cidgīyate khavat /	viSva-ADAraH api-atas SUnyam-iti cidgIyate Ka-vat /
   dṛśyadoṣān mṛṣābuddhirdṛṣṭyāropya nirmale // ViSs_2,5.34 //	dRSya-dozAt mRzA-budDiH-dRzwi-Aropya nirmale // ViSH-_2,5.34 //
   ādarśe malavadvyomni doṣadṛṣṭyā tu tapyate /	AdarSe mala-vat-vyomni doza-dRzwyA tu tapyate /
   vastutaściti nāstyeva malo dṛśyāśritaḥ sadā // ViSs_2,5.35 //	vastutas-citi na-asti-eva malaH dRSya-ASritaH sadA // ViSH-_2,5.35 //
   ataśca nirmalaḥ svastho nirdoṣaścocyate pumān /	atas-ca nirmalaH svasTaH nirdozaH-ca-ucyate pumAn /
   sajātīyeṣu vaidharmyalakṣaṇā nāsti yadbhidā // ViSs_2,5.36 //	sajAtIyezu vEDarmya-lakzaNA na-asti yat-BidAH // ViSH-_2,5.36 //
   ata ātmā samaḥ prokta aikarūpyācca sarvadā /	atas AtmA samaH proktaH Eka-rUpyAt-ca sarvadA /
   dehādhyakṣatayā dehī puryabhivyaktitaḥ pumān // ViSs_2,5.37 //	deha-aDyakza-tayA dehI purI-aBivyaktitaH pumAn // ViSH-_2,5.37 //
   ekākievādadvitīyaḥ kevalaścocyate tu saḥ /	ekAki-evAda-dvitIyaH kevalaH-ca-ucyate tu saH /
   cicchaktyapratibandhena procyate 'nāvṛtaḥ pumān // ViSs_2,5.38 //	cicSakti-apratibanDena procyate anAvRtaH pumAn // ViSH-_2,5.38 //
   sarvasvāmitayā cātmā kṣetrajñaḥ kṣetravedanāt /	sarva-svAmitayA ca-AtmA kzetrajQaH kzetra-vedanAt /
   hṛtsarovaradhīpadmadalavṛttiṣu līlayā // ViSs_2,5.39 //	hRd-saraH-varaDI-padma-dala-vRttizu lIlayA // ViSH-_2,5.39 //
   carannivānandamīnān bhuñjāno haṃsa ucyate /	caran=-iva-Ananda-mInAn BuQjAnaH haMsaH ucyate /
   hakāreṇa bahiryāti sakāreṇa viśan punaḥ // ViSs_2,5.40 //	hakAreNa bahis-yAti sakAreNa viSan punar // ViSH-_2,5.40 //
   prānavṛttyā 'naya cāpi prāṇyātmā haṃsa ucyate /	prAnavRttyA anaya ca-api prANi-AtmA haMsaH ucyate /
   śarīrāgarihṛddyāmaguhāyāṃ buddhibhāryayā // ViSs_2,5.41 //	SarIra-agari-hRd-dyAma-guhAyAm budDi-BAryayA // ViSH-_2,5.41 //
   vyajyamānastayā sārdhaṃ svapanniva guhāśayaḥ /	vyajyamAnaH-tayA sArDam svapan=-iva guhA-ASayaH /
   triguṇātmakamāyāṃ svāṃ sānnidhyāt pariṇāmayan // ViSs_2,5.42 //	triguNa-Atmaka-mAyAm svAm sAnniDyAt pariNAmayan // ViSH-_2,5.42 //
   māyīti kathyate cātmā tatkṛtānṛtaveṣadhṛk /	mAyi-iti kaTyate ca-AtmA tad-kRta-anRta-veza-DRk /
   svānyekādaśa bhūtāni pañcaitāni tu ṣoḍaśa // ViSs_2,5.43 //	svAni-ekAdaSa BUtAni paQca-etAni tu zoxaSa // ViSH-_2,5.43 //
   puṃsaḥ kalāstattvatastu niraṃśatvāt sa niṣkalaḥ /	puMsaH kalAH-tattvataH-tu niraMSa-tvAt sa nizkalaH /
   ahaṃśabdaḥ svāmivācī svāmī sākṣī tu cetasaḥ // ViSs_2,5.44 //	ahaMSabdaH svAmi-vAcI svAmI sAkzI tu cetasaH // ViSH-_2,5.44 //
   ato 'hamiti śabdena cinmātraṃ procyate budhaiḥ /	atas aham-iti Sabdena cit-mAtram procyate buDEH /
   sarveśvaraḥ sarvavettā sarvakartā 'dvayaḥ pumān // ViSs_2,5.45 //	sarva-ISvaraH sarva-vettA sarva-kartA advayaH pumAn // ViSH-_2,5.45 //
   sāmānyāducyate yadvad rājā sarvanarādhipaḥ /	sAmAnyAt-ucyate yadvat rAjA sarva-nara-aDipaH /
   ātmādvaitasya sūtreṇa jātimātreṇa varṇanāt // ViSs_2,5.46 //	Atma-advEtasya sUtreNa jAti-mAtreNa varNanAt // ViSH-_2,5.46 //
   pralaye hi vijātīyadvaitaśūnyatvamātmanām /	pralaye hi vijAtIya-dvEta-SUnya-tvam-AtmanAm /
   asaṅgatvānnityaśuddho nityabuddhaśca cittvataḥ // ViSs_2,5.47 //	asaFga-tvAt-nitya-SudDaH nitya-budDaH-ca cittvataH // ViSH-_2,5.47 //
   nityamuktastathā nityanirduḥkhatvāt pumān mataḥ /	nitya-muktaH-taTA nitya-nirduHKa-tvAt pumAn mataH /
   ityāduguruśāstroktadiśā svānubhavena ca // ViSs_2,5.48 //	iti-Adu-guru-SAstra-ukta-diSA sva-anuBavena ca // ViSH-_2,5.48 //
   vaidharmyādātmano 'nātmavivekaḥ kriyatāṃ budhaiḥ /	vEDarmyAt-AtmanaH anAtma-vivekaH kriyatAm buDEH /
   paricchedacatuṣkeṇa pumprakṛtyoḥ suvistarāt /	paricCeda-catuzkeNa pum-prakRtyoH su-vistarAt /
   vaidharmyagaṇa ukto 'yaṃ dhyāyināmāśu muktidaḥ // ViSs_2,5.49 //	vEDarmya-gaNaH uktaH ayam DyAyinAm-ASu mukti-daH // ViSH-_2,5.49 //
   iti śrīvijñānabhikṣuviracite sāṅkhyasāre ātmavaidharmyagaṇaparicchedaḥ //	iti SrI-vijQAna-Bikzu-viracite sAFKya-sAre Atma-vEDarmya-gaNa-paricCedaH //
   atha ṣaṣṭhaḥ paricchedaḥ /	aTa zazWaH paricCedaH /
   vivekameva sadyuktyā matvā tadanubhūyate /	vivekam-eva sat-yuktyA matvA tat-anuBUyate /
   rājayogaṃ yathā kuryāt samāsena taducyate // ViSs_2,6.1 //	rAjayogam yaTA kuryAt samAsena tat-ucyate // ViSH-_2,6.1 //
   aśakto rājayogasya haṭhayoge 'dhikāravān /	aSaktaH rAjayogasya haWa-yoge aDikAravAn /
   vāsiṣṭhe ca vasiṣṭhāya bhusuṇḍenaivamīritam // ViSs_2,6.2 //	vAsizWe ca vasizWAya BusuNxena-evam-Iritam // ViSH-_2,6.2 //
   jñānāvṛttī rājayoge prāṇāyamāsane haṭhe /	jQAna-AvRttiH rAjayoge prANAyam-Asane haWe /
   mukhye te 'ṅgatayā 'nyonyaṃ sevye śaktyanusārataḥ // ViSs_2,6.3 //	muKye te aFgatayA anyonyam sevye Sakti-anusArataH // ViSH-_2,6.3 //
   viṣaye 'nantadoṣā ye śrutismṛtisamīritāḥ /	vizaye ananta-dozAH ye Sruti-smRti-samIritAH /
   ta ādau paridraṣṭavyāścittasthairyāya yogibhiḥ // ViSs_2,6.4 //	te AdO paridrazwavyAH-citta-sTEryAya yogiBiH // ViSH-_2,6.4 //
   kāmabījānyanantāni samprarohanti yaddhṛdi /	kAmabIjAni-anantAni samprarohanti yat-hRdi /
   tatrāṭavīnibhe jñānapuṇyasasyaṃ na vardhate // ViSs_2,6.5 //	tatra-awavI-niBe jQAna-puNya-sasyam na varDate // ViSH-_2,6.5 //
   doṣadṛṣṭyagnisandagdhe kāmabīje tu cetasi /	doza-dRzwi-agni-sandagDe kAmabIje tu cetasi /
   guruśāstrahalaiḥ kṛṣṭe sukṣetre tadvivardhate // ViSs_2,6.6 //	guru-SAstra-halEH kRzwe su-kzetre tad-vivarDate // ViSH-_2,6.6 //
   satyeṣvasattāṃ pracurāṃ tathā ramyeṣvaramyatām /	satyezu-asattAm pracurAm taTA ramyezu-aramyatAm /
   sukheṣu pracuraṃ duḥkhaṃ paśyan dhīro virajyate // ViSs_2,6.7 //	suKezu pracuram duHKam paSyan DIraH virajyate // ViSH-_2,6.7 //
   brahmaloko 'pi narako vināśāmedhyapūritaḥ /	brahma-lokaH api narakaH vinASa-ameDya-pUritaH /
   yuktaśca svādhikairanyaistraiguṇyādapi duḥkhayuk // ViSs_2,6.8 //	yuktaH-ca sva-aDikEH-anyEH-trEguNyAt-api duHKa-yuj // ViSH-_2,6.8 //
   tatratyairapi muktyarthaṃ yatyate janmabhīrubhiḥ /	tatratyEH-api mukti-arTam yatyate janma-BIruBiH /
   ato jñeyaḥ samāsena lokaḥ sarvo 'pi duḥkhayukt // ViSs_2,6.9 //	atas jQeyaH samAsena lokaH sarvaH api duHKa-yukt // ViSH-_2,6.9 //
   idaṃ me syādidaṃ mā syāditīcchāvyathitaṃ manaḥ /	idam me syAt-idam mA syAt-iti-icCA-vyaTitam manaH /
   svabhāvāt tena vijñeyaṃ duḥkhaṃ cittena saṅgatiḥ // ViSs_2,6.10 //	svaBAvAt tena vijQeyam duHKam cittena saFgatiH // ViSH-_2,6.10 //
   sukhaṃ suṣuptiḥ paramā duḥkhaṃ viṣayavedanam /	suKam suzuptiH paramA duHKam vizaya-vedanam /
   sukhaduḥkhasamāso 'yaṃ kimanyairbahubhāṣitaiḥ // ViSs_2,6.11 //	suKa-duHKa-samAsaH ayam kim-anyEH-bahu-BAzitEH // ViSH-_2,6.11 //
   tasmādanarthānarthābhān parīkṣya viṣayān sudhīḥ /	tasmAt-anarTAnarTa-ABAn parIkzya vizayAn suDIH /
   utsṛjet paramārthārthī bālaramyānahīniva // ViSs_2,6.12 //	utsRjet parama-arTa-arTI bAla-ramyAn-ahIn-iva // ViSH-_2,6.12 //
   ityādikānantadoṣadṛṣṭyā rāgasya tānave /	iti-Adika-ananta-doza-dRzwyA rAgasya tAnave /
   māyāvivekataḥ śuddhamātmānaṃ cintayet sadā // ViSs_2,6.13 //	mAyA-vivekataH SudDam-AtmAnam cintayet sadA // ViSH-_2,6.13 //
   idaṃ taditi nirdeṣṭuṃ guruṇā 'pi na śakyate /	idam tat-iti nirdezwum guruNA api na Sakyate /
   udāsīnasyātmatattvaṃ svayameva prakāśate // ViSs_2,6.14 //	udAsInasya-Atma-tattvam svayam-eva prakASate // ViSH-_2,6.14 //
   buddhibodhātmako buddhisākṣī buddheḥ paro vibhuḥ /	budDi-boDa-AtmakaH budDi-sAkzI budDeH paraH viBuH /
   kūṭastho 'haṃ cidāditya ityekāgro 'nucintayet // ViSs_2,6.15 //	kUwasTaH aham cit-AdityaH iti-ekAgraH anucintayet // ViSH-_2,6.15 //
   vṛttibodho ghaṭacchidramiva nāśyalpa īkṣyate /	vRtti-boDaH Gawa=-Cidram-iva nASI-alpaH Ikzyate /
   vastuto vṛttibodho 'haṃ pūrṇo vyomavadakṣayaḥ // ViSs_2,6.16 //	vastutas vRtti-boDaH aham pUrNaH vyoma-vat-akzayaH // ViSH-_2,6.16 //
   antaryad dṛśyate sarvaṃ tadbuddhervṛttirucyate /	antaryat dRSyate sarvam tat-budDeH-vRttiH-ucyate /
   tebhyo duḥkhātmakebhyo 'haṃ sākṣāt tadvīkṣitā pṛthak // ViSs_2,6.17 //	teByaH duHKa-AtmakeByaH aham sAkzAt tad-vIkzitA pRTak // ViSH-_2,6.17 //
   karmakartṛvirodho hi vṛttyā vṛttiprakāśane /	karma-kartR-viroDaH hi vRttyA vRtti-prakASane /
   vṛttidhārākalpane ca gauravāditi niścitam // ViSs_2,6.18 //	vRtti-DArA-kalpane ca gOravAt-iti niScitam // ViSH-_2,6.18 //
   harṣaśokabhayakrodhalobhamohamadaistathā /	harza-Soka-Baya-kroDa-loBa-moha-madEH-taTA /
   dveṣābhimānakārpaṇyanidrālasyasmarādibhiḥ // ViSs_2,6.19 //	dveza-aBimAna-kArpaNya-nidrA-Alasi-a-smara-AdiBiH // ViSH-_2,6.19 //
   dharmādharmaiśca sampūrṇā buddhirduḥkhamayī tu me /	Darma-aDarmEH-ca sampUrNA budDiH-duHKa-mayI tu me /
   ātmānaṃ darśayatyeva bhāskarāyeva rogiṇaḥ // ViSs_2,6.20 //	AtmAnam darSayati-eva BAskarAya-iva rogiNaH // ViSH-_2,6.20 //
   ahaṃ sarvagataṃ śāntaṃ paramātmaghanaṃ śuci /	aham sarva-gatam SAntam paramAtma-Ganam Suci /
   acintyacinmātranabho viśvadarpaṇamakṣayam // ViSs_2,6.21 //	acintya-cit-mAtra-naBaH viSva-darpaNam-akzayam // ViSH-_2,6.21 //
   nirañjanaṃ nirādhāraṃ nirguṇaṃ nirupadravam /	niraQjanam nirADAram nirguNam nirupadravam /
   nirviśeṣaṃ sajātīyāt samastārthāvabhāsakam // ViSs_2,6.22 //	nirviSezam sajAtIyAt samasta-arTa-avaBAsakam // ViSH-_2,6.22 //
   brahmaviṣṇumaheśādyāḥ sthāvarāntāśca cetanāḥ /	brahma-vizNu-maheSa-AdyAH sTAvara-antAH-ca cetanAH /
   avaidharmyātmakābhedādahamityanucintayet // ViSs_2,6.23 //	avEDarmya-AtmakA-BedAt-aham-iti-anucintayet // ViSH-_2,6.23 //
   ahamanye ca puruṣāḥ samacidvyomarūpiṇaḥ /	aham-anye ca puruzAH sama-cit-vyoma-rUpiNaH /
   ata ātmaika evā 'hamiti śrutiṣu gīyate // ViSs_2,6.24 //	atas AtmA-ekaH evAH aham-iti Srutizu gIyate // ViSH-_2,6.24 //
   iti paśyan svabhogaiśca yogī viśvaṃ prapūjayet /	iti paSyan sva-BogEH-ca yogI viSvam prapUjayet /
   ātmayogo 'pyayaṃ proktaḥ śrutyuktaḥ sāṅkhyayoginām // ViSs_2,6.25 //	Atma-yogaH api-ayam proktaH Sruti-uktaH sAFKya-yoginAm // ViSH-_2,6.25 //
   sarvabhūtasthamātmānaṃ sarvabhūtāni cātmani /	sarva-BUta-sTam-AtmAnam sarva-BUtAni ca-Atmani /
   samaṃ paśyannātmayājī svārājyamadhigacchati // ViSs_2,6.26 //	samam paSyan=-Atma-yAjI svArAjyam-aDigacCati // ViSH-_2,6.26 //
   ityevaṃ manunā 'pyātmayāgo jñānāṅgamīritaḥ /	iti-evam manunA api-Atma-yAgaH jQAna-aFgam-IritaH /
   tasmādabhayadānena svabhogādyarcanena ca // ViSs_2,6.27 //	tasmAt-aBaya-dAnena sva-Boga-Adi-arcanena ca // ViSH-_2,6.27 //
   sammānayan bhūtajātamātmānamanucintayet /	sammAnayan BUta-jAtam-AtmAnam-anucintayet /
   brahmaviṣṇuśivādīnāṃ bhoge rāgaśca hīyate // ViSs_2,6.28 //	brahma-vizNu-Siva-AdInAm Boge rAgaH-ca hIyate // ViSH-_2,6.28 //
   teṣāṃ svasāmyadṛṣṭyā 'taḥ sāmyaṃ yogī vicintayet /	tezAm svasAmya-dRzwyA atas sAmyam yogI vicintayet /
   utpattau pralaye caiva sarvāvasthāsu sarvadā // ViSs_2,6.29 //	utpattO pralaye ca-eva sarva-avasTAsu sarvadA // ViSH-_2,6.29 //
   sarveṣāmekarūpatvaṃ draṣṭū rāgādikaṃ kutaḥ /	sarvezAm-eka-rUpa-tvam drazwuH rAga-Adikam kutas /
   viṣṇvādayo mahaiśvaryaṃ bhuñja nā api nādhikā // ViSs_2,6.30 //	vizNu-AdayaH mahA-ESvaryam BuQja nA api na-aDikAH // ViSH-_2,6.30 //
   matto 'to 'laṃ tadaiśvaryairavivekijanapriyaiḥ /	mattaH atas alam tad-ESvaryEH-aviveki-jana-priyEH /
   guṇakarmādibhiḥ kiñcinnirīkṣyādhikamātmanaḥ // ViSs_2,6.31 //	guNa-karma-AdiBiH kiQcid-nirIkzya-aDikam-AtmanaH // ViSH-_2,6.31 //
   tadarthaṃ yatate loko nāhaṃ paśyāmi me 'dhikam /	tad-arTam yatate lokaH na-aham paSyAmi me aDikam /
   tathā nyūnaṃ na paśyāmi yadatikramaśaṅkayā // ViSs_2,6.32 //	taTA nyUnam na paSyAmi yat-atikrama-SaFkayA // ViSH-_2,6.32 //
   devā daityajayāyeva yatiṣye tajjayāśayā /	devAH dEtya-jayAya-iva yatizye tad-jaya-ASayAH /
   ahaṃ yathā tathaivānye ābrahmā nārakā janāḥ // ViSs_2,6.33 //	aham yaTA taTA-eva-anye AbrahmA nArakAH janAH // ViSH-_2,6.33 //
   dṛśyante svātmavat premṇā pitṛbhrātṛsutādivat /	dRSyante sva-Atma-vat premNA pitR-BrAtR-suta-Adi-vat /
   ka īśa īśitavyo vā kaḥ śreṣṭhaḥ ko 'dhamo 'pi vā // ViSs_2,6.34 //	kaH ISaH ISitavyaH vA kaH SrezWaH kaH aDamaH api vE // ViSH-_2,6.34 //
   abhinne bhedadṛṣṭyā syānmṛtyorbhayamiti śrutiḥ /	aBinne Beda-dRzwyA syAt-mRtyoH-Bayam-iti SrutiH /
   cidvyomasvekarūpeṣu īśānīśādirūpakaḥ // ViSs_2,6.35 //	cit-vyoma-su-eka-rUpezu ISAni-ISa-AdirUpakaH // ViSH-_2,6.35 //
   rūpabhedo hyasan sarvaḥ sphaṭike rūpabhedavat /	rUpa-BedaH hi-asan sarvaH sPawike rUpa-Beda-vat /
   dhiyāṃ rūpaiḥ pumāneko bahurūpa iveyate // ViSs_2,6.36 //	DiyAm rUpEH pumAn-ekaH bahu-rUpaH iveyate // ViSH-_2,6.36 //
   vṛkacarmādirūpādyairmāyīva bahurūpadhṛk /	vRka-carma-Adi-rUpa-AdyEH-mAyi-iva bahu-rUpa-DRk /
   māmāliṅgya nirākāraṃ vividhākāradhāriṇī // ViSs_2,6.37 //	mAm-AliFgya nirAkAram viviDa-AkAra-DAriNI // ViSH-_2,6.37 //
   māyaivaikā hi nṛtyantī mohayatyakhilā dhiyaḥ /	mAyA-eva-ekA hi nRtyantI mohayati-aKilAH DiyaH /
   puṃsāṃ bhedo buddhibhedādambubhedādyathā raveḥ // ViSs_2,6.38 //	puMsAm BedaH budDi-BedAt-ambu-BedAt-yaTA raveH // ViSH-_2,6.38 //
   vyomnaśca chidrarūpeṇa bhedaḥ kumbhādibhedataḥ /	vyomnaH-ca Cidra-rUpeNa BedaH kumBa-Adi-BedataH /
   ataḥ śuddho buddhamuktaḥ sarvadā sarvago 'vyayaḥ // ViSs_2,6.39 //	atas SudDaH budDa-muktaH sarvadA sarva-gaH avyayaH // ViSH-_2,6.39 //
   ahamanye ca tatrā 'ho śatrumitrādidhīrmṛṣā /	aham-anye ca tatrA aho Satru-mitra-Adi-DIH-mRzA /
   brahmaṇīśe harāvindre sarvabhūtagaṇe tathā // ViSs_2,6.40 //	brahmaNi-ISe harO=-indre sarva-BUta-gaNe taTA // ViSH-_2,6.40 //
   uttamādhamamadhyatvavibhāgo māyayā mṛṣā /	uttama-aDama-maDya-tva-viBAgaH mAyayA mRzA /
   triguṇātmakamāyāyāstraividhyādātmano 'pi hi // ViSs_2,6.41 //	triguNa-Atmaka-mAyAya-aH-trEviDyAt-AtmanaH api hi // ViSH-_2,6.41 //
   uttamādhamamadhyatvatraividhyaṃ naiva hi svataḥ /	uttama-aDama-maDya-tva-trEviDyam na-eva hi svatas /
   yathā dehe tathā 'nyatra citprakāśo 'yamavyayaḥ // ViSs_2,6.42 //	yaTA dehe taTA anyatra cit-prakASaH ayam-avyayaH // ViSH-_2,6.42 //
