   namaḥ sarvajñāya //	namaH sarvajQAya //
   Pāy.66 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣuṃ bhīṣayed bhīṣāpayed	PAy.66 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH Bikzum BIzayet BIzApayet-
   vāntato hāsyaprekṣyam api pāyantikā /	vA-antataH hAsya-prekzyam api pAyantikA /
   Pāy.67 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣor vā bhikṣuṇyā vā	PAy.67 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH BikzoH vA BikzuNyA vA
   śikṣamāṇāyā vā śrāmaṇerasya vā śrāmaṇerikāyā vā pātraṃ vā cīvaraṃ vā	SikzamANAyAH vA SrAmaNeH-asya vA SrAmaNa-IrikAyAH vA pAtram vA cIvaram vA
   upānahaṃ vā sūcīgharaṃ vā kāyabandhanaṃ vānyatamānyatamaṃ vā	upAnaham vA sUcI-Garam vA kAya-banDanam vA-anyatama-anyatamam vA
   jīvitapariṣkāram upanidadhyād upanidhāpayet tadrūpapratyayād anyatra	jIvita-parizkAram upanidaDyAt upaniDApayet tad-rUpa-pratyayAt anyatra
   pāyantikā /	pAyantikA /
   Pāy.68 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣoś cīvaram vikalya	PAy.68 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH BikzoH cIvaram vikalya
   tataḥ paścād apratyuddhārya paribhuṃjīta pāyantikā /	tatas paScAt apratyudDArya pariBuMjIta pAyantikA /
   Pāy.69 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ kupito 'nāttamanā	PAy.69 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH kupitaH anAttamanA
   pariśuddhaṃ anāpattikaṃ bhikṣuṃ amūlakena saṃghāvaśeṣeṇa	pariSudDam anApattikam Bikzum amUlakena saMGa-avaSezeNa
   dharmeṇānudhvaṃsayet pāyantikā /	DarmeNa-anuDvaMsayet pAyantikA /
   Pāy.70 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur apuruṣayā striyā sārdhaṃ	PAy.70 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH apuruzayA striyA sArDam
   saṃvidhāyādhvamārgaṃ pratipadyetāntato grāmāntaram api pāyantikā /	saMviDAya-aDva-mArgam pratipadyeta-antatas grAma-antaram api pAyantikA /
   Pāy.71 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ steyasārthena sārdhaṃ	PAy.71 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH steyasArTena sArDam
   saṃvidhāyādhvamārgaṃ pratipadyetāntato grāmāntaram api pāyantikā /	saMviDAya-aDva-mArgam pratipadyeta-antatas grAma-antaram api pAyantikA /
   Pāy.72 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur ūnaviṃśavarṣaṃ pudgalaṃ	PAy.72 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH UnaviMSa-varzam pudgalam
   bhikṣubhāvāyopasaṃpādayeta pāyantikā / sa ca pudgalo 'nupasaṃpannas te ca	Bikzu-BAvAya-upasaMpAdayeta pAyantikA / sa ca pudgalaH anupasaMpannaH te ca
   bhikṣavo garhyā ayaṃ tatra samayaḥ /	BikzavaH garhyAH ayam tatra samayaH /
   Pāy.73 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ svahastena pṛthivīṃ khanyāt	PAy.73 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH sva-hastena pRTivIm KanyAt-
   khānayed vā pāyantikā /	KAnayet vA pAyantikA /
   Pāy.74 (PrMoSū_Mū-Banerjee) cāturmāsikapravāraṇā bhikṣuṇā svīkartavyā	PAy.74 (PrMoSU_MU-BaneH-jee) cAturmAsika-pravAraNA BikzuNA svIkartavyA
   tatottaraṃ pāyantikā / pratyekapravāraṇāyā punaḥ punaḥ pravāraṇāyāḥ	tata-uttaram pAyantikA / pratyeka-pravAraNAyAH punar punar pravAraNAyAH
   kālikapravāraṇāyā nityapravāraṇāyā anyatra ayaṃ tatra samayaḥ /	kAlika-pravAraNAyAH nitya-pravAraNAyAH anyatra ayam tatra samayaH /
   Pāy.75 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣubhir āyuṣmatā tvayā	PAy.75 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH BikzuBiH AyuzmatA tvayA
   śikṣāyāṃ śikṣitavyam iti ucyamāna evaṃ vaden nāhaṃ tava bālasya mūḍhasya	SikzAyAm Sikzitavyam iti ucyamAnaH evam vadet na-aham tava bAlasya mUXasya
   duṣprajñasya vacanāni śikṣiṣyāmi yāvan nāhaṃ bhikṣūn prakṣyāmi sūtradharān	duzprajQasya vacanAni SikzizyAmi yAvat na-aham BikzUn prakzyAmi sUtra-DarAn
   vinayadharān mātṛkadharān iti pāyantikā / sarvajñatākāmena bhikṣuṇā	vinaya-DarAt mAtRka-DarAn iti pAyantikA / sarvajQa-tA-kAmena BikzuNA
   śikṣāyāṃ śikṣitavyaṃ bhikṣavaḥ praṣṭavyāḥ sūtradharā vinayadharā	SikzAyAm Sikzitavyam BikzavaH prazwavyAH sUtraDarA vinaya-DarA
   mātṛkadharā ayaṃ tatra samayaḥ /	mAtRka-DarAH ayam tatra samayaH /
   Pāy 76 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣūṇāṃ kalahajātānāṃ	PAy 76 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH BikzUNAm kalaha-jAtAnAm
   bhaṇḍanajātānāṃ bhedagṛhītānāṃ vivādam āpannānāṃ tūṣṇīm upaśrutikas	BaNxana-jAtAnAm Beda-gRhItAnAm vivAdam ApannAnAm tUzNIm upaSrutikaH-
   tiṣṭhed yad ete bhikṣavo vakṣyanti tad ahaṃ dhārayiṣyāmīty etad eva	tizWet yat ete BikzavaH vakzyanti tat aham DArayizyAmi-iti etat eva
   pratyayaṃ kṛtvā pāyantikā /	pratyayam kRtvA pAyantikA /
   Pāy.77 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ saṃghe dharmikāyāṃ	PAy.77 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH saMGe DarmikAyAm
   viniścayakathāyāṃ vartamānāyāṃ āsanāt tūṣṇīm utthāya prakrāmet santaṃ	viniScaya-kaTAyAm vartamAnAyAm AsanAt tUzNIm utTAya prakrAmet santam
   bhikṣum anavapṛcchyānyatra tadrūpapratyayāt pāyantikā /	Bikzum anavapRcCya-ani-atra tad-rUpa-pratyayAt pAyantikA /
   Pāy.78 (PrMoSū_Mū-Banerjee) anādaravṛttāt pāyantikā /	PAy.78 (PrMoSU_MU-BaneH-jee) anAdara-vRttAt pAyantikA /
   Pāy.79 (PrMoSū_Mū-Banerjee) surāmaireyamadyapānāt pāyantikā /	PAy.79 (PrMoSU_MU-BaneH-jee) surA-mEreya-madya-pAnAt pAyantikA /
   Pāy.80 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur akāle grāmaṃ praviśet santaṃ	PAy.80 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH akAle grAmam praviSet santam
   bhikṣum anavapṛcchya anyatra tadrūpāt pratyayāt pāyantikā /	Bikzum anavapRcCya anyatra tad-rUpAt pratyayAt pAyantikA /
   Pāy.81 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ sabhaktaḥ kule nimantritaḥ	PAy.81 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH sa-BaktaH kule nimantritaH
   pūrvabhaktaṃ paścādbhaktaṃ kuleṣu cāritram āpadyeta santaṃ kulaṃ	pUrva-Baktam paScAt-Baktam kulezu cAritram Apadyeta santam kulam
   apratisaṃvedito 'nyatra tadrūpāt pratyayāt pāyantikā /	apratisaMveditaH anyatra tad-rUpAt pratyayAt pAyantikA /
   Pāy.82 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur anirgatāyāṃ rajanyām	PAy.82 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH anirgatAyAm rajanyAm
   anudgate 'ruṇe anirhṛteṣu ratneṣu ratnasaṃmateṣu vā rājñaḥ kṣatriyasya	anudgate aruNe anirhRtezu ratnezu ratna-saMmatezu vA rAjQaH kzatriyasya
   mūrdhābhiṣiktasya indrakīlaṃ vā indrakīlasāmantakaṃ vā samatikraned	mUrDABiziktasya indrakIlam vA indrakIla-sAmantakam vA samatikranet-
   anyatra tadrūpāt pratyayāt pāyantikā /	anyatra tad-rUpAt pratyayAt pAyantikA /
   Pāy.83 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur anvardhamāsaṃ	PAy.83 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH anvarDamAsam
   prātimokṣasūtre uddiśyamāne evaṃ vaded idānīm ahaṃ jānāmi āyuṣmanto 'yam	prAtimokza-sUtre uddiSyamAne evam vadet idAnIm aham jAnAmi AyuzmantaH ayam
   api kila dharmaḥ sūtragataḥ sūtraparyāyāpannoddeśyam āgacchatīti	api kila DarmaH sUtra-gataH sUtra-paryAya-Apanna-uddeSyam AgacCati-iti
   tatrāyuṣmantaṃ ced bhikṣavo jānīyuḥ niṣaṇṇapūrvaṃ āyuṣmatā dvitrikṛtvaṃ	tatra-Ayuzmantam ced BikzavaH jAnIyuH nizaNNa-pUrvam AyuzmatA dvi-tri-kRtvam
   poṣadhe kaḥ punar vādo bhūya iti āyuṣmato ajñānataḥ na muktiḥ yata āpattim	pozaDe kaH punar vAdaH BUyas iti AyuzmataH ajQAnataH na muktiH yatas Apattim
   āpannaḥ tato yathādharmaṃ kārayitavya uttaraṃ ca kaukṛtyam āropayitavyaṃ	ApannaH tatas yaTADarmam kArayitavyaH uttaram ca kOkRtyam Aropayitavyam
   -- āyuṣman te alābho 'labdhaḥ durlabdho na sulabdho yat tvaṃ anvardhamāsaṃ	- Ayuzman te alABaH alabDaH durlabDaH na su-labDaH yat tvam anvarDamAsam
   prātimokṣasūtroddiśyamāne na satkṛtya śṛṇoṣi na gurukaroṣi nārthikaroṣi na	prAtimokza-sUtra-uddiSyamAne na satkRtya SRNozi na gurukarozi na-arTikarozi na
   manasikaroṣi ekāgracittenāvahitaśrotreṇa na śṛṇoṣi sarvacittasaṃkalpair	manasikarozi ekAgra-cittena-avahita-SrotreNa na SRNozi sarva-citta-saMkalpEH-
   api na śṛṇoṣi / āyuṣman tatra kaukṛtyāt pāyantikā /	api na SRNozi / Ayuzman tatra kOkRtyAt pAyantikA /
   Pāy.84 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur asthimayaṃ vā viṣāṇamayaṃ vā	PAy.84 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH asTi-mayam vA vizANa-mayam vA
   sūcigharaṃ kārayet tad bhedanāt pāyantikā /	sUci-Garam kArayet tat BedanAt pAyantikA /
   Pāy.85 (PrMoSū_Mū-Banerjee) bhikṣuṇā saṃghasya pīṭhaṃ vā mañcaṃ kārayatā	PAy.85 (PrMoSU_MU-BaneH-jee) BikzuNA saMGasya pIWam vA maQcam kArayatA
   sugatāṣṭāṅgulipramāṇāḥ pādāḥ kārayitavyā anyatra adhastāt* aṭanyās tata	sugata-azwa-aFguli-pramANAH pAdAH kArayitavyAH anyatra aDastAt* awanyAH tata
   uttaraṃ kārayec chedanāt pāyantikā /	uttaram kArayet CedanAt pAyantikA /
   Pāy.86 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣus tūlasaṃstṛtaṃ pīṭhaṃ vā	PAy.86 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH tUla-saMstRtam pIWam vA
   mañcaṃ avanahed avanāhayed vā uddalanāt pāyantikā /	maQcam avanahet avanAhayet vA uddalanAt pAyantikA /
   Pāy.87 (PrMoSū_Mū-Banerjee) niṣīdanaṃ bhikṣuṇā kārayatā prāmāṇikaṃ	PAy.87 (PrMoSU_MU-BaneH-jee) nizIdanam BikzuNA kArayatA prAmANikam
   kārayitavyaṃ tatredaṃ pramāṇaṃ -- dīrghato vitastrī dve sugatavitastyās	kArayitavyam tatra-idam pramANam - dIrGatas vitastrI dve sugata-vitastyAH-
   tīryak sārdhavitastir daśānāñ ca vitastis tata uttaraṃ kārayed bhedanāt	tIryak sArDa-vitastiH daSAnAn ca vitastiH tatas uttaram kArayet BedanAt-
   pāyantikā /	pAyantikA /
   Pāy.88 (PrMoSū_Mū-Banerjee) kaṇḍupraticchādanaṃ bhikṣuṇā kārayatā	PAy.88 (PrMoSU_MU-BaneH-jee) kaNxu-praticCAdanam BikzuNA kArayatA
   prāmāṇikaṃ kārayitavyaṃ tatredaṃ pramāṇaṃ -- dīrghataś catasro vitastayaḥ	prAmANikam kArayitavyam tatra-idam pramANam - dIrGatas catasraH vitastayaH
   sugatavitastyas tiryag dve tata uttaraṃ kārayec chedanāt pāyantikā /	sugata-vitastyaH tiryak dve tatas uttaram kArayet CedanAt pAyantikA /
   Pāy.89 (PrMoSū_Mū-Banerjee) varṣāśāṭīcīvaraṃ bhikṣuṇā kārayatā prāmāṇikaṃ	PAy.89 (PrMoSU_MU-BaneH-jee) varzA-SAwI-cIvaram BikzuNA kArayatA prAmANikam
   kārayitavyaṃ tatredaṃ pramāṇaṃ -- dīrghataḥ ṣaṭ vitastayaḥ sugatavitastyas	kArayitavyam tatra-idam pramANam - dIrGataH zaw vitastayaH sugata-vitasti-as
   tiryak sārdhe dve tata uttaraṃ kārayec chedanāt pāyantikā /	tiryak sArDe dve tatas uttaram kArayet CedanAt pAyantikA /
   Pāy.90 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ sugatacīvarapramāṇaṃ cīvaraṃ	PAy.90 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH sugata-cIvara-pramANam cIvaram
   kārayed uttaraṃ vā sugatacīvarāt pāyantikā / tatredaṃ sugatacīvarapramāṇaṃ	kArayet uttaram vA sugata-cIvarAt pAyantikA / tatra-idam sugata-cIvara-pramANam
   dīrghato nava vitastayaḥ tiryak ṣaḍ vitastayaḥ idaṃ sugatacīvarapramāṇam*	dIrGatas nava vitastayaH tiryak zaw vitastayaH idam sugata-cIvara-pramANam*
   Pay.Schl. uddiṣṭā mayāyuṣmanto navatiḥ pāyantikā dharmāḥ / tatrāham	Pay.H-Cl. uddizwAH mayA-AyuzmantaH navatiH pAyantikAH DarmAH / tatra-aham
   āyuṣmantaḥ pṛcchāmi -- kaccit sthātra pariśuddhāḥ	AyuzmantaH pRcCAmi - kaccit sTA-atra pariSudDAH
   pariśuddhā atrāyuṣmanto yasmāt tuṣṇīm evāhaṃ dhārayāmi /	pariSudDAH atra-AyuzmantaH yasmAt tuzNIm eva-aham DArayAmi /
   catvāraḥ pratideśanīyā dharmāḥ /	catvAraH pratideSanIyAH DarmAH /
   ime khalv āyuṣmantaś catvāraḥ pratideśanīyā dharmā anvardhamāsaṃ	ime Kalu AyuzmantaH catvAraH pratideSanIyAH DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti /	prAtimokza-sUtra-uddeSam AgacCanti /
   Pratid.1 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur antagṛhaṃ piṇḍāya carantyā	Prati-d.1 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH anta-gRham piNxAya carantyA
   ajñātyā bhikṣuṇyāḥ santikāt sahastaṃ khādanīyabhojanīyaṃ pratigṛhya khāded	ajQAtyAH BikzuNyAH santikAt sa-hastam KAdanIya-BojanIyam pratigRhya KAdet-
   vā bhuñjīta vā tena bhikṣuṇā bahirārāmaṃ gatvā bhikṣor antike	vA BuQjIta vA tena BikzuNA bahis-ArAmam gatvA BikzoH antike
   pratideśayitavyam garhyam asmy āyuṣmantaḥ sthānam āpanno 'sātmyaṃ	pratideSayitavyam garhyam asmi AyuzmantaH sTAnam ApannaH asAtmyam
   pratideśanīyaṃ taṃ dharmaṃ pratideśayāmīti ayam api dharmaḥ pratideśanīyaḥ	pratideSanIyam tam Darmam pratideSayAmi-iti ayam api DarmaH pratideSanIyaH
   Pratid.2 (PrMoSū_Mū-Banerjee) saṃbahulā bhikṣavaḥ kuleṣu nimantritā	Prati-d.2 (PrMoSU_MU-BaneH-jee) saMbahulA BikzavaH kulezu nimantritA
   bhuṃjīran tatra ced bhikṣuṇī vyapadeśamānā sthitā syād iha bhojanīyaṃ	BuMjIran tatra ced BikzuNI vyapadeSamAnA sTitA syAt iha BojanIyam
   datta odanaṃ datta sūpaṃ datteti sā bhikṣuṇī bhikṣubhir evaṃ syād vacanīyā	dattaH odanam datta sUpam dattA-iti sA BikzuNI BikzuBiH evam syAt vacanIyA
   āgamayasva bhagini muhūrtaṃ yāvad bhikṣavo bhuṃjate / ekenāpi bhikṣuṇā cet	Agamayasva Bagini muhUrtam yAvat BikzavaH BuMjate / ekena-api BikzuNA ced-
   tāṃ bhikṣuṇīm apasārayituṃ na vacanīyaṃ sarvair bhikṣubhiḥ bahirārāmaṃ	tAm BikzuNIm apasArayitum na vacanIyam sarvEH BikzuBiH bahis-ArAmam
   gatvā bhikṣūṇām antike pratideśitavyaṃ garhyam āyuṣmantaḥ sthānam āpannā	gatvA BikzUNAm antike pratideSitavyam garhyam AyuzmantaH sTAnam ApannA
   asātmyaṃ pratideśanīyaṃ taṃ dharmaṃ pratideśayāma iti ayam api dharmaḥ	asAtmyam pratideSanIyam tam Darmam pratideSayAmaH iti ayam api DarmaH
   pratideśanīyaḥ /	pratideSanIyaH /
   Pratid.3 (PrMoSū_Mū-Banerjee) yāni tāni kulāni śikṣāsaṃvṛtisaṃmatāni yaḥ	Prati-d.3 (PrMoSU_MU-BaneH-jee) yAni tAni kulAni SikzA-saMvRti-saMmatAni yaH
   punar bhikṣus tadrūpeṣu saṃghasya śaikṣeṣu kuleṣu śikṣāsaṃvṛtisaṃmateṣu	punar BikzuH tad-rUpezu saMGasya SEkzezu kulezu SikzA-saMvRti-saMmatezu
   pūrvam apravāritasya khādanīyabhojanīyaṃ pratigṛhya khāded bhuñjīta vā	pUrvam apravAritasya KAdanIya-BojanIyam pratigRhya KAdet BuQjIta vA
   tena bhikṣuṇā bahirārāmaṃ gatvā bhikṣūṇām antike pratideśanīyaṃ tat	tena BikzuNA bahis-ArAmam gatvA BikzUNAm antike pratideSanIyam tat-
   sthānam āpanno 'sātmyaṃ pratideśanīyaṃ taṃ dharmaṃ pratideśayāmīti ayam	sTAnam ApannaH asAtmyam pratideSanIyam tam Darmam pratideSayAmi-iti ayam
   api dharmaḥ pratideśanīyaḥ /	api DarmaH pratideSanIyaH /
   Pratid.4 (PrMoSū_Mū-Banerjee) yāni tāni kāni śayanāsanāni sāśaṃkasaṃmatāni	Prati-d.4 (PrMoSU_MU-BaneH-jee) yAni tAni kAni Sayana-AsanAni sa-aSaMka-saMmatAni
   sabhayasaṃmatāni sapratibhayabhairavasaṃmatāni yaḥ punar bhikṣus tadrūpeṣu	sa-Baya-saMmatAni sa-pratiBaya-BErava-saMmatAni yaH punar BikzuH tad-rUpezu
   saṃghasyāraṇyakeṣu śayaneṣu sāśaṃkasaṃmateṣu sabhayasaṃmateṣu	saMGasya-AraNyakezu Sayanezu sa-aSaMka-saMmatezu sa-Baya-saMmatezu
   sapratibhayabhairavasaṃmateṣu pūrvam apratisaṃvidyate vane bahirārāmasya	sa-pratiBaya-BErava-saMmatezu pUrvam apratisaMvidyate vane bahis-ArAmasya
   khādanīyabhojanīyaṃ khāded bhuṃjīta vā tena bhikṣuṇā bhikṣūṇām antike	KAdanIya-BojanIyam KAdet BuMjIta vA tena BikzuNA BikzUNAm antike
   pratideśayitavyaṃ garhyam asmy āyuṣmantaḥ sthānam āpanno 'sātmyaṃ	pratideSayitavyam garhyam asmi AyuzmantaH sTAnam ApannaH asAtmyam
   pratideśanīyaṃ taṃ dharmaṃ pratideśayāmīti ayam api dharmaḥ pratideśanīyaḥ	pratideSanIyam tam Darmam pratideSayAmi-iti ayam api DarmaH pratideSanIyaH
   uddiṣṭā mayāyuṣmantaś catvāraḥ pratideśanīyā dharmāḥ / tatrāham āyuṣmantaḥ	uddizwAH mayA-AyuzmantaH catvAraH pratideSanIyAH DarmAH / tatra-aham AyuzmantaH
   paripṛcchāmi -- kaccit sthātra pariśuddhāḥ	paripRcCAmi - kaccit sTA-atra pariSudDAH
   dvir api trir api -- kaccit sthātra pariśuddhāḥ	dvis api tris api - kaccit sTA-atra pariSudDAH
   pariśuddhā āyuṣmanto yasmāt tūṣṇīm evam etad dhārayāmi /	pariSudDAH AyuzmantaH yasmAt tUzNIm evam etat DArayAmi /
   saṃbahulāḥ śaikṣā dharmāḥ /	saMbahulAH SEkzAH DarmAH /
   ime khalv āyuṣmantaḥ saṃbahulāḥ śaikṣā dharmā anvardhamāsaṃ	ime Kalu AyuzmantaH saMbahulAH SEkzAH DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti /	prAtimokza-sUtra-uddeSam AgacCanti /
   Śai.1 (PrMoSū_Mū-Banerjee) parimaṇḍalaṃ nivāsanaṃ nivāsayiṣyāma iti śikṣā	ŚE.1 (PrMoSU_MU-BaneH-jee) parimaNxalam nivAsanam nivAsayizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.2 (PrMoSū_Mū-Banerjee) nātyutkṛṣṭaṃ nivāsanaṃ nivāsayiṣyāma iti śikṣā	ŚE.2 (PrMoSU_MU-BaneH-jee) na-ati-utkRzwam nivAsanam nivAsayizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.3 (PrMoSū_Mū-Banerjee) nātyavakṛṣṭaṃ nivāsanaṃ nivāsayiṣyāma iti śikṣā	ŚE.3 (PrMoSU_MU-BaneH-jee) na-ati-avakRzwam nivAsanam nivAsayizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.4 (PrMoSū_Mū-Banerjee) na hastiśuṇḍakaṃ nivāsanaṃ nivāsayiṣyāma iti	ŚE.4 (PrMoSU_MU-BaneH-jee) na hastiSuNxakam nivAsanam nivAsayizyAmaH iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   Śai.5 (PrMoSū_Mū-Banerjee) na tālapatraṃ nivāsanaṃ nivāsayiṣyāma iti śikṣā	ŚE.5 (PrMoSU_MU-BaneH-jee) na tAla-patram nivAsanam nivAsayizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.6 (PrMoSū_Mū-Banerjee) na kulmāṣapiṇḍakaṃ nivāsanaṃ nivāsayiṣyāma iti	ŚE.6 (PrMoSU_MU-BaneH-jee) na kulmAza-piNxakam nivAsanam nivAsayizyAmaH iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   Śai.7 (PrMoSū_Mū-Banerjee) na nāgaśīrṣakaṃ nivāsanaṃ nivāsayiṣyāma iti	ŚE.7 (PrMoSU_MU-BaneH-jee) na nAgaSIrzakam nivAsanam nivAsayizyAmaH iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   Śai.8 (PrMoSū_Mū-Banerjee) parimaṇḍalaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā	ŚE.8 (PrMoSU_MU-BaneH-jee) parimaNxalam cIvaram nivAsayizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.9 (PrMoSū_Mū-Banerjee) nātyutkṛṣṭaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā	ŚE.9 (PrMoSU_MU-BaneH-jee) na-ati-utkRzwam cIvaram nivAsayizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.10 (PrMoSū_Mū-Banerjee) nātyupakṛṣṭaṃ cīvaraṃ nivāsayiṣyāma iti śikṣā	ŚE.10 (PrMoSU_MU-BaneH-jee) na-atyupakRzwam cIvaram nivAsayizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.11 (PrMoSū_Mū-Banerjee) susaṃvṛtā antargṛhe gamiṣyāma iti śikṣā	ŚE.11 (PrMoSU_MU-BaneH-jee) su-saMvRtAH antargRhe gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.12 (PrMoSū_Mū-Banerjee) supraticchannā antargṛhe gamiṣyāma iti śikṣā	ŚE.12 (PrMoSU_MU-BaneH-jee) su-praticCannA antargRhe gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.13 (PrMoSū_Mū-Banerjee) alpaśabdā antargṛhe gamiṣyāma iti śikṣā	ŚE.13 (PrMoSU_MU-BaneH-jee) alpa-SabdAH antargRhe gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.14 (PrMoSū_Mū-Banerjee) anutkṣiptacakṣuṣo 'ntargṛhe gamiṣyāma iti	ŚE.14 (PrMoSU_MU-BaneH-jee) anutkzipta-cakzuzaH antar-gRhe gamizyAmaH iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   Śai.15 (PrMoSū_Mū-Banerjee) yugamātradarśino 'ntargṛhe gamiṣyāma iti śikṣā	ŚE.15 (PrMoSU_MU-BaneH-jee) yuga-mAtra-darSinaH antar-gRhe gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.16 (PrMoSū_Mū-Banerjee) nodguṇṭhikā antargṛhaṃ gamiṣyāma iti śikṣā	ŚE.16 (PrMoSU_MU-BaneH-jee) na-udguNWikA antargRham gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.17 (PrMoSū_Mū-Banerjee) notkṛṣṭikayā antargṛhaṃ gamiṣyāma iti śikṣā	ŚE.17 (PrMoSU_MU-BaneH-jee) na-utkRzwikayA antargRham gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.18 (PrMoSū_Mū-Banerjee) notsaktikayā antargṛhaṃ gamiṣyāma iti śikṣā	ŚE.18 (PrMoSU_MU-BaneH-jee) na-utsaktikayA antargRham gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.19 (PrMoSū_Mū-Banerjee) na vyastikayā antargṛhaṃ gamiṣyāma iti śikṣā	ŚE.19 (PrMoSU_MU-BaneH-jee) na vyastikayA antargRham gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.20 (PrMoSū_Mū-Banerjee) na paryastikayā antargṛhaṃ gamiṣyāma iti śikṣā	ŚE.20 (PrMoSU_MU-BaneH-jee) na paryastikayA antargRham gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.21 (PrMoSū_Mū-Banerjee) nolambikayā antargṛhaṃ gamiṣyāma iti śikṣā	ŚE.21 (PrMoSU_MU-BaneH-jee) na-ulambikayA antargRham gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.22 (PrMoSū_Mū-Banerjee) noṭṭambikayā antargṛhaṃ gamiṣyāma iti śikṣā	ŚE.22 (PrMoSU_MU-BaneH-jee) na-uwwambikayA antargRham gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.23 (PrMoSū_Mū-Banerjee) notkuṭakayā antargṛhaṃ gamiṣyāma iti śikṣā	ŚE.23 (PrMoSU_MU-BaneH-jee) na-utkuwakayA antargRham gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
   Śai.24 (PrMoSū_Mū-Banerjee) na nikaṭotkuṭakayā antargṛhaṃ gamiṣyāma iti	ŚE.24 (PrMoSU_MU-BaneH-jee) na nikawa-utkuwakayA antargRham gamizyAmaH iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   Śai.25 (PrMoSū_Mū-Banerjee) na skambhākṛtā antargṛhaṃ gamiṣyāma iti śikṣā	ŚE.25 (PrMoSU_MU-BaneH-jee) na skamBA-kRtAH antargRham gamizyAmaH iti SikzA
   karaṇīyā /	karaNIyAH /
