   akarod dharmato rājyaṃ NsP_52.124e	akarot DarmataH rAjyam NsP_52.124e
   anāstikatvāt kṛpayā bhavadbhyo NsP_43.15a	anAstika tvAt kRpayA BavadByaH NsP_43.15a
   anāsvāditagovinda  NsP_31.57a	anAsvAdita govinda NsP_31.57a
   anicchann api rājāsau NsP_47.69a	anicCan api rAjA asO NsP_47.69a
   anityaṃ yauvanaṃ rūpam NsP_64.17c	anityam yOvanam rUpam NsP_64.17c
   anirvācyam avijñeyam NsP_16.28a	anirvAcyam avijQeyam NsP_16.28a
   anukūlena marutā NsP_31.42c	anukUlena marutA NsP_31.42c
   anugṛhṇīṣva devarṣe NsP_64.48c	anugRhNIzva deva Rze NsP_64.48c
   anujaṃ virujaṃ śīghraṃ NsP_52.92a	anujam virujam SIGram NsP_52.92a
   anujena ca dhīreṇa NsP_52.3c	anujena ca DIreNa NsP_52.3c
   anujñātuṃ na śaknomi NsP_31.33cda	anujQAtum na Saknomi NsP_31.33cda
   anujñāpya dvijān prāptaḥ NsP_48.56a	anujQApya dvijAn prAptaH NsP_48.56a
   anujñāṃ dehi me viṣṇuṃ NsP_31.33aba	anujQAm dehi me vizNum NsP_31.33aba
   anumeyā vicakṣaṇaiḥ NsP_54.49d	anumeyAH vicakzaNEH NsP_54.49d
   anuyātāḥ purohitāḥ NsP_48.71b	anuyAtAH purohitAH NsP_48.71b
   anuyāsyanti gacchantaṃ NsP_50.84c	anuyAsyanti gacCantam NsP_50.84c
   anuvrajyābravīd etad NsP_47.64c	anuvrajya abravIt etat NsP_47.64c
   anuṣṭheyaṃ mahātmabhiḥ NsP_64.7b	anuzWeyam mahAtmaBiH NsP_64.7b
   anusargaś ca sargaś ca NsP_21.1a	anusargaH ca sargaH ca NsP_21.1a
   anusargasya kartāro NsP_4.8a	anusargasya kartAraH NsP_4.8a
   anusargaṃ marīcyādeḥ NsP_5.16a	anusargam marIci AdeH NsP_5.16a
   anusargodbhavāni tu NsP_4.7d	anusarga udBavAni tu NsP_4.7d
   anekakoṭayo rājan NsP_47.8c	aneka kowayaH rAjan NsP_47.8c
   anekabhūbhujāṃ bhaṅgi NsP_47.116c	aneka BUBujAm BaFgi NsP_47.116c
   anekabhūmiprāsādā NsP_24.6a	aneka BUmi prAsAdAH NsP_24.6a
   anekaśaḥ santi tavātra nāryaḥ NsP_63.50c	anekaSas santi tava atra nAryaH NsP_63.50c
   anekākṣauhiṇīyutaḥ NsP_46.34b	aneka akzOhiNI yutaH NsP_46.34b
   anekānīha śāstrāṇi NsP_64.50cda	anekAni iha SAstrANi NsP_64.50cda
   anekān dānavān hatvā NsP_45.40a	anekAn dAnavAn hatvA NsP_45.40a
   anekān rākṣasān hatvā NsP_51.44a	anekAn rAkzasAn hatvA NsP_51.44a
   anekair vānaraiḥ sārdham NsP_50.37a	anekEH vAnarEH sArDam NsP_50.37a
   anekaiḥ kṣatriyaiḥ saha NsP_46.36d	anekEH kzatriyEH saha NsP_46.36d
   anena nityaṃ kuru viṣṇupūjāṃ NsP_62.20c	anena nityam kuru vizNu pUjAm NsP_62.20c
   anena nihataḥ śatrur NsP_50.104c	anena nihataH SatruH NsP_50.104c
   anena rākṣasā yotsye NsP_52.81c	anena rAkzasAH yotsye NsP_52.81c
   anena vidhinācamya NsP_58.76c	anena viDinA Acamya NsP_58.76c
   anena vidhinā brahman NsP_63.2a	anena viDinA brahman NsP_63.2a
   anena vai nivedayet NsP_63.5b	anena vE nivedayet NsP_63.5b
   anenābhyarcito devaḥ NsP_63.5c	anena aByarcitaH devaH NsP_63.5c
   anenārādhya yo japet NsP_17.16d	anena ArADya yaH japet NsP_17.16d
   anenaiva kṛtaṃ karma NsP_49.7c	anena eva kRtam karma NsP_49.7c
   anenaivānumānena NsP_31.9c	anena eva anumAnena NsP_31.9c
   antakāle japantas te NsP_64.83a	antakAle japantaH te NsP_64.83a
   antakāle japann eti NsP_17.29e	antakAle japan eti NsP_17.29e
   antaraṃ madhyamasya ca NsP_30.25b	antaram maDyamasya ca NsP_30.25b
   antarātmā na tṛpyati NsP_43.74d	antarAtmA na tRpyati NsP_43.74d
   antarātmāsya jagataḥ NsP_31.62c	antarAtmA asya jagataH NsP_31.62c
   antarikṣaṃ dvitīyena NsP_45.39c	antarikzam dvitIyena NsP_45.39c
   antardhāya tṛṇaṃ tataḥ NsP_51.23b	antarDAya tRNam tatas NsP_51.23b
   antar bahiś ca tat sarvaṃ NsP_64.65a	antar bahis ca tat sarvam NsP_64.65a
   antarlīnaṃ vikāraṃ ca NsP_1.40c	antar lInam vikAram ca NsP_1.40c
   antarvedyāṃ purā rājann NsP_28.10a	antarvedyAm purA rAjan NsP_28.10a
   antarhite ca mayy atra NsP_43.83c	antarhite ca mayi atra NsP_43.83c
   antyajā api menire NsP_48.32d	antyajAH api menire NsP_48.32d
   andhakāram idaṃ kasmād NsP_48.32a	anDakAram idam kasmAt NsP_48.32a
   andhaṃ mano me kva hariḥ kva vāham NsP_43.58d	anDam manaH me kva hariH kva vA aham NsP_43.58d
   annadānena cātithīn NsP_10.3d	anna dAnena ca atiTIn NsP_10.3d
   annaṃ pūrvaṃ namaskṛtya NsP_58.103c	annam pUrvam namaskRtya NsP_58.103c
   annādyena ca dattena NsP_58.97a	annAdyena ca dattena NsP_58.97a
   annopādhinimittena NsP_54.47c	anna upADi nimittena NsP_54.47c
   anyakāryaṃ samuddiśya NsP_5.15a	anya kAryam samuddiSya NsP_5.15a
   anyac ca te pravakṣyāmi NsP_13.38c	anyat ca te pravakzyAmi NsP_13.38c
   anyac ca dehy abhijñānaṃ NsP_50.118a	anyat ca dehi aBijQAnam NsP_50.118a
   anyato hy ārtajīvānāṃ NsP_33.28a	anyatas hi Arta jIvAnAm NsP_33.28a
   anyathā kaṛnanāsayoḥ NsP_50.124d	anyaTA kaRna nAsayoH NsP_50.124d
   anyathā vartamāno hi NsP_61.18c	anyaTA vartamAnaH hi NsP_61.18c
   anyathāhaṃ mariṣyāmi NsP_12.14c	anyaTA aham marizyAmi NsP_12.14c
   anyad ekaṃ vṛṇomy aham NsP_11.56d	anyat ekam vRNomi aham NsP_11.56d
   anyaṃ śrayasva suśroṇi NsP_12.31a	anyam Srayasva suSroNi NsP_12.31a
   anyān athāgatān dṛṣṭvā NsP_57.27a	anyAn aTa AgatAn dRzwvA NsP_57.27a
   anyāni ca mahātejās NsP_64.21c	anyAni ca mahA tejAH NsP_64.21c
   anyān ugratapaś carān NsP_49.19d	anyAn ugra tapaH carAn NsP_49.19d
   anyāṃś caiva sahasraśaḥ NsP_5.14b	anyAn ca eva sahasraSas NsP_5.14b
   anyāḥ puṇyāś ca me brūhi NsP_13.1c	anyAH puNyAH ca me brUhi NsP_13.1c
   anye ca bahavo daityā NsP_5.54a	anye ca bahavaH dEtyAH NsP_5.54a
   anye 'pi tvāṃ haniṣyanti NsP_41.59a	anye api tvAm hanizyanti NsP_41.59a
   anyebhyo vaiṣṇavebhyaś ca NsP_8.25c	anyeByaH vEzNaveByaH ca NsP_8.25c
   anyeṣām api jantūnām NsP_45.25c	anyezAm api jantUnAm NsP_45.25c
   anyeṣāṃ caiva bhūtānaṃ NsP_2.5a	anyezAm ca eva BUtAnam NsP_2.5a
   anyeṣāṃ nedṛśaṃ dattaṃ NsP_40.12a	anyezAm na IdRSam dattam NsP_40.12a
   anyeṣu cānyeṣu gṛheṣu satsu NsP_46.11c	anyezu ca anyezu gRhezu satsu NsP_46.11c
   anyair avadhyam apy enaṃ NsP_52.108c	anyEH avaDyam api enam NsP_52.108c
   anyair avadhyaṃ hatvā taṃ NsP_49.24c	anyEH avaDyam hatvA tam NsP_49.24c
   anyair bhṛtyajanair api NsP_47.143b	anyEH BRtya janEH api NsP_47.143b
   anyair matimatāṃ śreṣṭha NsP_64.53c	anyEH matimatAm SrezWa NsP_64.53c
   anyair vā dīrgharogibhiḥ NsP_56.10b	anyEH vA dIrGa rogiBiH NsP_56.10b
   anyaiḥ sanatkumārādyair NsP_31.84c	anyEH sanatkumAra AdyEH NsP_31.84c
   anviṣya tu yadā dattā NsP_50.69c	anvizya tu yadA dattA NsP_50.69c
   anveṣṭuṃ rāmabhāryāṃ tāṃ NsP_50.79c	anvezwum rAma BAryAm tAm NsP_50.79c
   apa ācamya mantrataḥ NsP_58.67d	apaH Acamya mantrataH NsP_58.67d
   apakāro mahān kṛtaḥ NsP_49.14b	apakAraH mahAn kRtaH NsP_49.14b
   apakṛtya gatau ghorau NsP_37.8c	apakRtya gatO GorO NsP_37.8c
   apakṣapatitāḥ śāntāḥ NsP_64.87c	apakza patitAH SAntAH NsP_64.87c
   apaṇyanāṃ ca vikrayī NsP_33.63d	apaNyanAm ca vikrayI NsP_33.63d
   apatyānīha ṣoḍaśa NsP_5.61d	apatyAni iha zoxaSa NsP_5.61d
   apatyārthaṃ prajagrāha NsP_5.24c	apatya arTam prajagrAha NsP_5.24c
   apaneṣyāmi bho mṛtyuṃ NsP_7.23a	apanezyAmi Bo mRtyum NsP_7.23a
   apayātas tato mṛtyur NsP_7.71c	apayAtaH tatas mRtyuH NsP_7.71c
   aparāddhaṃ tavāsuraiḥ NsP_43.44b	aparAdDam tava asurEH NsP_43.44b
   aparādho mahān kṛtaḥ NsP_55.15b	aparADaH mahAn kRtaH NsP_55.15b
   aparāś ca sutās tisro NsP_47.131a	aparAH ca sutAH tisraH NsP_47.131a
   aparāhṇe jale tataḥ NsP_67.10b	aparAhNe jale tatas NsP_67.10b
   apāmārgaṃ ca bilvaṃ ca NsP_58.47c	apAmArgam ca bilvam ca NsP_58.47c
   apāṃ dvādaśagaṇḍūṣair NsP_58.52a	apAm dvAdaSa gaNxUzEH NsP_58.52a
   api kāryas tvayā caiva NsP_64.91a	api kAryaH tvayA ca eva NsP_64.91a
   api tasya praṇaśyati NsP_16.37d	api tasya praNaSyati NsP_16.37d
   api tv ahaṃ nānugṛhṇāmi cātra NsP_14.9b	api tu aham na anugRhNAmi ca atra NsP_14.9b
   aputro 'haṃ purā brahman NsP_47.65a	aputraH aham purA brahman NsP_47.65a
   apūrvadṛṣṭe tava pādapadme NsP_31.91a	apUrva dRzwe tava pAda padme NsP_31.91a
   apūrvāviṣkṛtākāraṃ NsP_43.85a	apUrva AvizkRta AkAram NsP_43.85a
   apūrvaiva hi sattama NsP_24.28d	apUrvA eva hi sattama NsP_24.28d
   apṛcchad vītihotras taṃ NsP_33.56c	apRcCat vItihotraH tam NsP_33.56c
   apratarkyam ajaṃ viṣṇuṃ NsP_16.24c	apratarkyam ajam vizNum NsP_16.24c
   aprabhāntaritaṃ śṛṅgaṃ NsP_30.24c	apraBA antaritam SRFgam NsP_30.24c
   aprameyam alakṣaṇam NsP_16.20b	aprameyam alakzaNam NsP_16.20b
   apsarāś ca suśobhanā NsP_38.27d	apsarAH ca su SoBanA NsP_38.27d
   apsarāḥ santi nirvṛtāḥ NsP_30.25d	apsarAH santi nirvRtAH NsP_30.25d
   apsarogaṇasaṃkīrṇa  NsP_34.26a	apsaraH gaNa saMkIrNa NsP_34.26a
   apsarogaṇasaṃyukto NsP_28.17a	apsaraH gaNa saMyuktaH NsP_28.17a
   abuddhipūrvakaṃ tasya NsP_3.15c	abudDi pUrvakam tasya NsP_3.15c
   abdhir dadātu mārgaṃ te NsP_52.10a	abDiH dadAtu mArgam te NsP_52.10a
   abhaktānāṃ kṣamāya ca NsP_44.39d	aBaktAnAm kzamAya ca NsP_44.39d
   abhavan jātaharṣās te NsP_38.30c	aBavan jAta harzAH te NsP_38.30c
   abhāgyājāṭharodbhavaḥ NsP_31.7d	aBAgya ajAWara udBavaH NsP_31.7d
   abhigacched dvijottamaḥ NsP_58.61b	aBigacCet dvijottamaH NsP_58.61b
   abhiprakṣālya yatnataḥ NsP_58.65d	aBiprakzAlya yatnatas NsP_58.65d
   abhiyāsyāmi vai vanam NsP_48.74d	aBiyAsyAmi vE vanam NsP_48.74d
   abhivādya guroḥ pādau NsP_58.32a	aBivAdya guroH pAdO NsP_58.32a
   abhivādya yathānyāyaṃ NsP_7.26a	aBivAdya yaTAnyAyam NsP_7.26a
   abhiṣikto vasiṣṭhādyair NsP_52.124c	aBiziktaH vasizWa AdyEH NsP_52.124c
   abhiṣicya rājyabhāraṃ NsP_48.4c	aBizicya rAjya BAram NsP_48.4c
   abhiṣicya vibhīṣaṇam NsP_52.8d	aBizicya viBIzaNam NsP_52.8d
   abhiṣekaṃ ca rājyaṃ ca NsP_48.50c	aBizekam ca rAjyam ca NsP_48.50c
   abhiṣekaṃ mahātmanaḥ NsP_48.42b	aBizekam mahAtmanaH NsP_48.42b
   abhūta iva sa jñeyo NsP_12.11a	aBUtaH iva sa jQeyaH NsP_12.11a
   abhūt tatrāpi bhīṣaṇam NsP_52.53d	aBUt tatra api BIzaNam NsP_52.53d
   abhyadhāvad vane mṛgaḥ NsP_49.74b	aByaDAvat vane mRgaH NsP_49.74b
   abhyarcya bhaktyā govindaṃ NsP_53.7a	aByarcya BaktyA govindam NsP_53.7a
   abhyarcya viṣṇuṃ narasiṃhamūrtiṃ NsP_14.12c	aByarcya vizNum nara siMha mUrtim NsP_14.12c
   abhyukṣyācamya saṃyamī NsP_60.13d	aByukzya Acamya saMyamI NsP_60.13d
   amarāvatyatiśayā NsP_24.4a	amarAvatI atiSayA NsP_24.4a
   amātram avyayaṃ viṣṇuṃ NsP_16.22c	amAtram avyayam vizNum NsP_16.22c
   amitrahā śivo haṃso NsP_19.8a	amitra hA SivaH haMsaH NsP_19.8a
   amitrāntakavīryavān NsP_52.36d	amitrAntaka vIryavAn NsP_52.36d
   amūrtis tvaṃ mahābāho NsP_37.15a	amUrtiH tvam mahA bAho NsP_37.15a
   amṛtatvaṃ sa gacchati NsP_16.38d	amRta tvam sa gacCati NsP_16.38d
   amṛtasya prabhāvataḥ NsP_38.11b	amRtasya praBAvataH NsP_38.11b
   amṛtaṃ tu samādāya NsP_38.41c	amRtam tu samAdAya NsP_38.41c
   amṛtaṃ taijase vane NsP_65.14b	amRtam tEjase vane NsP_65.14b
   amṛtaṃ paramānandaṃ NsP_16.21a	amRtam parama Anandam NsP_16.21a
   amṛtātmā śivo nityo NsP_19.12a	amRta AtmA SivaH nityaH NsP_19.12a
   amoghaṃ ca mamaivāstram NsP_49.13c	amoGam ca mama eva astram NsP_49.13c
   amoghākhyena stotreṇa NsP_52.114c	amoGa AKyena stotreNa NsP_52.114c
   ambubhakṣān mahāmunīn NsP_49.18d	ambu BakzAn mahA munIn NsP_49.18d
   ambhoyugaṃ turagamedhasahasratulyaṃ NsP_66.43a	amBaH yugam turagameDa sahasra tulyam NsP_66.43a
   ayanadvitayaṃ varṣaṃ NsP_2.9c	ayana dvitayam varzam NsP_2.9c
   ayanaṃ tasya tāḥ pūrvaṃ NsP_3.14c	ayanam tasya tAH pUrvam NsP_3.14c
   ayanaṃ dakṣiṇaṃ rātrir NsP_2.9a	ayanam dakziNam rAtriH NsP_2.9a
   ayane viṣuve caiva NsP_34.54a	ayane vizuve ca eva NsP_34.54a
   ayam ikṣvākutilako NsP_50.100c	ayam ikzvAku tilakaH NsP_50.100c
   ayaṃ vīraḥ pratāpavān NsP_50.103d	ayam vIraH pratApavAn NsP_50.103d
   ayaṃ sa puruṣo dhūrta NsP_37.24a	ayam sa puruzaH DUrta NsP_37.24a
   ayaṃ sādhāraṇaḥ smṛtaḥ NsP_1.33b	ayam sADAraNaH smRtaH NsP_1.33b
   ayaṃ hi nṛpate rāma NsP_47.143c	ayam hi nRpate rAma NsP_47.143c
   ayācitaṃ pradātavyaṃ NsP_58.11c	ayAcitam pradAtavyam NsP_58.11c
   ayājyayājako 'haṃ vai NsP_33.63a	ayAjya yAjakaH aham vE NsP_33.63a
   ayi tāta mahābuddhe NsP_31.24a	ayi tAta mahAbudDe NsP_31.24a
   ayutaṃ me tapas tv idam NsP_41.22b	ayutam me tapaH tu idam NsP_41.22b
   ayogyam ātmānam itīśadarśane NsP_43.60a	ayogyam AtmAnam iti ISa darSane NsP_43.60a
   ayodhāyāṃ tu madgehe NsP_49.72c	ayoDAyAm tu mad gehe NsP_49.72c
   ayodhyā nāma nāmataḥ NsP_24.3d	ayoDyA nAma nAmataH NsP_24.3d
   ayodhyāpuram atyarthaṃ NsP_48.8c	ayoDyA puram atyarTam NsP_48.8c
   ayodhyām aṭavīṃ viddhi NsP_48.68a	ayoDyAm awavIm vidDi NsP_48.68a
   ayodhyām avasan bhūpa NsP_48.98c	ayoDyAm avasan BUpa NsP_48.98c
   ayodhyāyām ariṃdama NsP_48.102d	ayoDyAyAm ariMdama NsP_48.102d
   ayodhyāyā mahāmatiḥ NsP_49.82d	ayoDyAyAH mahAmatiH NsP_49.82d
   ayodhyāyā yayau śanaiḥ NsP_47.69d	ayoDyAyAH yayO SanEs NsP_47.69d
   ayodhyāyā viniṣkrāntam NsP_48.71a	ayoDyAyAH vinizkrAntam NsP_48.71a
   ayodhyāyāṃ janāḥ striyaḥ NsP_48.88b	ayoDyAyAm janAH striyaH NsP_48.88b
   ayodhyāyāṃ sthito rāmaḥ NsP_48.2a	ayoDyAyAm sTitaH rAmaH NsP_48.2a
   ayodhyāṃ gaccha bharata NsP_48.154c	ayoDyAm gacCa Barata NsP_48.154c
   ayodhyāṃ punar āgataḥ NsP_48.107b	ayoDyAm punar AgataH NsP_48.107b
   ayodhyāṃ prabalānvitam NsP_47.138d	ayoDyAm prabala anvitam NsP_47.138d
   ayodhyāṃ praviveśa saḥ NsP_48.109b	ayoDyAm praviveSa saH NsP_48.109b
   ayodhyāṃ yāti rāmas tu NsP_49.84a	ayoDyAm yAti rAmaH tu NsP_49.84a
   ayodhyendrapurīsamā NsP_24.15b	ayoDyA indra purI samA NsP_24.15b
   araṇye nirjane ghore NsP_50.8c	araNye nirjane Gore NsP_50.8c
   araṇye 'bhūn mahāyuddhaṃ NsP_49.110c	araNye aBUt mahA yudDam NsP_49.110c
   aravinde vasiṣṭhas tu NsP_6.35c	aravinde vasizWaH tu NsP_6.35c
   ariṣṭanemipatnīnām NsP_5.61c	arizwanemi patnInAm NsP_5.61c
   ariṣṭaś ca nipātitaḥ NsP_53.40d	arizwaH ca nipAtitaH NsP_53.40d
   ariṣṭaṃ gaccha panthānaṃ NsP_51.4a	arizwam gacCa panTAnam NsP_51.4a
   ariṣṭāyāṃ tu gandharvā NsP_5.54c	arizwAyAm tu ganDarvAH NsP_5.54c
   ariṣṭā surasā khasā NsP_5.48f	arizwA surasA KasA NsP_5.48f
   aruṇaḥ sūryasārathiḥ NsP_5.57b	aruNaH sUrya sAraTiH NsP_5.57b
   arundhatyām ajāyata NsP_5.44d	arunDatyAm ajAyata NsP_5.44d
   arūpaṃ satyasaṃkalpaṃ NsP_16.26a	arUpam satya saMkalpam NsP_16.26a
   arkaś codumbaras tathā NsP_58.47d	arkaH ca udumbaraH taTA NsP_58.47d
   arghaṃ dattvā yathāyogyaṃ NsP_64.40c	arGam dattvA yaTAyogyam NsP_64.40c
   arghyadānena yat puṇyaṃ NsP_33.5a	arGya dAnena yat puNyam NsP_33.5a
   arghyapādyādividhina NsP_47.48a	arGya pAdya Adi viDinaH NsP_47.48a
   arghyapādyāsanai rājā NsP_32.5c	arGya pAdya AsanEH rAjA NsP_32.5c
   arghyaṃ dadyāt samabhyarcya NsP_67.12c	arGyam dadyAt samaByarcya NsP_67.12c
   arcanaṃ munibhiḥ smṛtam NsP_62.6d	arcanam muniBiH smRtam NsP_62.6d
   arcanaṃ saṃpravakṣyāmi NsP_62.4a	arcanam saMpravakzyAmi NsP_62.4a
   arcanān narasiṃhasya NsP_32.19c	arcanAt narasiMhasya NsP_32.19c
   arcanti sūrayo nityaṃ NsP_62.16a	arcanti sUrayaH nityam NsP_62.16a
   arcayadhvaṃ jagannāthaṃ NsP_33.84a	arcayaDvam jagannATam NsP_33.84a
   arcayan devadeveśaṃ NsP_10.49a	arcayan devadeveSam NsP_10.49a
   arcayasva janādhipa NsP_47.115d	arcayasva janADipa NsP_47.115d
   arcayitvā yathāyogaṃ NsP_64.121a	arcayitvA yaTAyogam NsP_64.121a
   arcayed acyutaṃ tv iti NsP_62.2b	arcayet acyutam tu iti NsP_62.2b
   arcayed acyutaṃ naraḥ NsP_63.3d	arcayet acyutam naraH NsP_63.3d
   arcayed daśasuvarṇasya NsP_34.20c	arcayet daSa suvarNasya NsP_34.20c
   arcāvidhis te 'dya mayā nṛpendra NsP_62.20b	arcA viDiH te adya mayA nRpa indra NsP_62.20b
   arcitaṃ gandhamālābhī NsP_47.103a	arcitam ganDamAlABI NsP_47.103a
   arcitaṃ syāj jagat sarvaṃ NsP_62.9a	arcitam syAt jagat sarvam NsP_62.9a
   arcite kiṃ phalaṃ bhavet NsP_33.6b	arcite kim Palam Bavet NsP_33.6b
   arjunaṃ duṣṭamantriṇam NsP_46.31d	arjunam duzwa mantriNam NsP_46.31d
   arjuno 'pi samāyāto NsP_33.41c	arjunaH api samAyAtaH NsP_33.41c
   arthaśātreṇa kiṃ tāta NsP_42.13c	arTa SAtreNa kim tAta NsP_42.13c
   ardhanārīnaravapuḥ NsP_5.5a	arDa nArI nara vapuH NsP_5.5a
   ardhākṛṣṭena bāṇena NsP_50.23c	arDa AkRzwena bANena NsP_50.23c
   arpayiṣyāmi te sutau NsP_47.61d	arpayizyAmi te sutO NsP_47.61d
   arvāksrotāḥ samutpannā NsP_3.21c	arvAksrotAH samutpannA NsP_3.21c
   alaṅghyam apraveśyaṃ ca NsP_28.12c	alaFGyam apraveSyam ca NsP_28.12c
   alam amba prahāreṇa NsP_46.31a	alam amba prahAreNa NsP_46.31a
   alaṃkāraś ca sumaṇis NsP_51.54c	alaMkAraH ca su maNiH NsP_51.54c
   alaṃ na te harivapuṣaṃ tu kevalaṃ NsP_42.31c	alam na te hari vapuzam tu kevalam NsP_42.31c
   alābhe tv anyagehānāṃ NsP_58.24a	alABe tu anya gehAnAm NsP_58.24a
   alābhe dantakāṣṭhasya NsP_58.51c	alABe dantakAzWasya NsP_58.51c
   alpadravyā vṛthāliṅgā NsP_54.37c	alpa dravyA vRTA liFgA NsP_54.37c
   alpāparādhe rājendra NsP_51.57a	alpa aparADe rAja indra NsP_51.57a
   alpāyuṣṭvān manuṣyāṇāṃ NsP_54.15a	alpa AyuzwvAt manuzyANAm NsP_54.15a
   avajitya sutīkṣṇais tu NsP_24.21c	avajitya su tIkzNEH tu NsP_24.21c
   avatāras tvayā kṛtaḥ NsP_52.13d	avatAraH tvayA kRtaH NsP_52.13d
   avatārān aśeṣāṃś ca NsP_32.8a	avatArAn aSezAn ca NsP_32.8a
   avatārān ahaṃ vakṣye NsP_36.1a	avatArAn aham vakzye NsP_36.1a
   avatārāṃś ca me śṛṇu NsP_32.2d	avatArAn ca me SRNu NsP_32.2d
   avatārāṃś ca śārṅgiṇaḥ NsP_32.1b	avatArAn ca SArFgiNaH NsP_32.1b
   avatārya bhuvo bhāraṃ NsP_53.67a	avatArya BuvaH BAram NsP_53.67a
   avatīrṇo jagatsvāmī NsP_48.124c	avatIrNaH jagatsvAmI NsP_48.124c
   avatīrṇo mahītale NsP_46.3d	avatIrNaH mahI tale NsP_46.3d
   avatīrṇau na saṃdeho NsP_47.60c	avatIrNO na saMdehaH NsP_47.60c
   avatīrya bhūmau harir eṣa sākṣāt NsP_46.43a	avatIrya BUmO hariH eza sAkzAt NsP_46.43a
   avatīrya mahītale NsP_52.110b	avatIrya mahI tale NsP_52.110b
   avatīrya mahītale NsP_53.32b	avatIrya mahI tale NsP_53.32b
   avateruś ca bhūtale NsP_47.34d	avateruH ca BU tale NsP_47.34d
   avadat trideveśvaram NsP_63.85d	avadat tri deva ISvaram NsP_63.85d
   avadad idaṃ nṛpa sarvavatsalatvāt NsP_43.3b	avadat idam nRpa sarva vatsala tvAt NsP_43.3b
   avalokyātha bālakam NsP_31.14d	avalokya aTa bAlakam NsP_31.14d
   avaśenāpi yat karma NsP_33.81a	avaSena api yat karma NsP_33.81a
   avaśyam eva dātavyaṃ NsP_58.100c	avaSyam eva dAtavyam NsP_58.100c
   avaśyaṃ jānakīṃ sītāṃ NsP_50.148c	avaSyam jAnakIm sItAm NsP_50.148c
   avaśyaṃ tatra yāmy aham NsP_48.81d	avaSyam tatra yAmi aham NsP_48.81d
   avaśyaṃ tatra yāmy aham NsP_48.86d	avaSyam tatra yAmi aham NsP_48.86d
   avasānaṃ kathaṃ bhavet NsP_1.20b	avasAnam kaTam Bavet NsP_1.20b
   avāpa nṛpa kaśyapāt NsP_45.7b	avApa nRpa kaSyapAt NsP_45.7b
   avāpa paramāṃ siddhiṃ NsP_64.103c	avApa paramAm sidDim NsP_64.103c
   avāpa raghunandanaḥ NsP_49.27b	avApa raGunandanaH NsP_49.27b
   avāpeyaṃ vasuṃdharā NsP_37.33d	avApeyam vasuMDarA NsP_37.33d
   avāpsyasi dhruvaṃ tāta NsP_16.35c	avApsyasi Druvam tAta NsP_16.35c
   avikārakriyāsukham NsP_25.55b	avikAra kriyA suKam NsP_25.55b
   avighnaṃ tapaso mahyaṃ NsP_25.18a	aviGnam tapasaH mahyam NsP_25.18a
   avijñātā surāsuraiḥ NsP_63.81cdb	avijQAtA sura asurEH NsP_63.81cdb
   avitṛptaḥ sa dharmātmā NsP_12.1c	avitRptaH sa Darma AtmA NsP_12.1c
   avidyā pañcaparvaiṣā NsP_3.16c	avidyA paQca parvA ezA NsP_3.16c
   avindatām annam aho kṛśānāṃ NsP_43.10a	avindatAm annam aho kRSAnAm NsP_43.10a
   avihatagataye sanātanāya NsP_9.8c	avihata gataye sanAtanAya NsP_9.8c
   avaita māṃ munivarāḥ NsP_31.49a	avEta mAm muni varAH NsP_31.49a
   avait putrakṛtaṃ sarvaṃ NsP_43.25c	avEt putra kRtam sarvam NsP_43.25c
   avyaktamūlaprabhavas NsP_15.5a	avyakta mUla praBavaH NsP_15.5a
   avyaktarūpī paramātmasaṃjñaḥ NsP_3.29c	avyakta rUpI paramAtma saMjQaH NsP_3.29c
   avyaktāj jāyate sarvaṃ NsP_64.52a	avyaktAt jAyate sarvam NsP_64.52a
   avyaṅgāṅgīṃ saumyanāmnīṃ NsP_58.43a	avyaFga aFgIm sOmya nAmnIm NsP_58.43a
   avyañjitātmā viśvāsād NsP_50.15c	avyaQjita AtmA viSvAsAt NsP_50.15c
   aśaktas tatkṣaṇād abhūt NsP_28.5b	aSaktaH tad kzaNAt aBUt NsP_28.5b
   aśaktas tatra salile NsP_3.6c	aSaktaH tatra salile NsP_3.6c
   aśaktā vayam evātra NsP_8.6c	aSaktAH vayam eva atra NsP_8.6c
   aśaktiḥ śāṃtanoḥ katham NsP_28.1b	aSaktiH SAMtanoH kaTam NsP_28.1b
   aśanaṃ śruticoditam NsP_58.107b	aSanam Sruti coditam NsP_58.107b
   aśarīraṃ guhāśayam NsP_16.22b	aSarIram guhA ASayam NsP_16.22b
   aśastravadhayogyo 'yam NsP_42.28c	aSastra vaDa yogyaH ayam NsP_42.28c
   aśeṣavidyānivahena sākaṃ NsP_42.1c	aSeza vidyA nivahena sAkam NsP_42.1c
   aśeṣāṇāṃ ca sattama NsP_2.5d	aSezANAm ca sattama NsP_2.5d
   aśokavanikāmadhye NsP_49.104c	aSoka vanikA maDye NsP_49.104c
   aśokavanikāmadhye NsP_51.51c	aSoka vanikA maDye NsP_51.51c
   aśokavanikāṃ prāpto NsP_51.18a	aSoka vanikAm prAptaH NsP_51.18a
   aśokavṛkṣam āruhya NsP_51.20a	aSoka vRkzam Aruhya NsP_51.20a
   aśokaṃ sindhusāgare NsP_65.13d	aSokam sinDusAgare NsP_65.13d
   aśokākhye mahāvane NsP_50.155b	aSoka AKye mahA vane NsP_50.155b
