   // Saddharmalaṅkāvatārasūtram //	// Sat Darma laFkA avatAra sUtram //
   subahuratnakhacite ratnajālavitate darśayati sma / adrākṣīddaśagrīvo	su bahu ratna Ka cite ratna jAla vitate darSayati sma / adrAkzIt daSagrIvaH 
   laṅkādhipatiḥ punarapi dṛṣṭānubhūtāṃ śobhāṃ śikhare tathāgatamarhantaṃ	laFkA aDipatiH punar api dRzwa anuBUtAm SoBAm SiKare taTAgatam arhantam
   samyaksaṃbuddhaṃ dvātriṃśadvaralakṣaṇavibhūṣitatanum / svātmabhāvaṃ	samyaksaMbudDam dvAtriMSat vara lakzaNa viBUzita tanum / sva Atma BAvam
   caikekasmin girau tathāgatānāṃ purataḥ samyaksaṃbuddhānāṃ mahāmatinā	ca ekekasmin girO taTAgatAnAm puratas samyaksaMbudDAnAm mahAmatinA
   sārdhaṃ tathāgatapratyātmagatigocarakathāṃ prakurvantaṃ yakṣaiḥ parivṛtaṃ	sArDam taTAgata pratyAtma gati gocara kaTAm prakurvantam yakzEH parivRtam
   tāṃ deśanāpāṭhakathāṃ kathayantam / te ca kṣetrāḥ sanāyakāḥ //	tAm deSanA pAWa kaTAm kaTayantam / te ca kzetrAH sa nAyakAH //
   atha bhagavān punarapi tasyāṃ velāyāṃ parṣadamavalokya buddhyā na	aTa BagavAn punar api tasyAm velAyAm parzadam avalokya budDyA na
   māṃsacakṣuṣā siṃharājavadvijṛmbhya mahāhāsamahasat / ūrṇākośācca raśmiṃ	mAMsa cakzuzA siMha rAja vat vijRmBya mahA hAsamahasat / UrNA koSAt ca raSmim
   niścāryamāṇaḥ pārśvorukaṭikāyācca śrīvatsātsarvaromakūpebhyo	niScAryamANaH pArSva Uru kawi kAyAt ca SrIvatsAt sarva romakUpeByaH 
   yugāntāgniriva dīpyamānaḥ tejasendradhanurudayabhāskaropamena	yugAnta agniH iva dIpyamAnaH tejasA indraDanuH udaya BAskara upamena
   prabhāmaṇḍalena dedīpyamānaḥ śakrabrahmalokapālairgaganatale nirīkṣyamāṇaḥ	praBA maNxalena dedIpyamAnaH Sakra brahma lokapAlEH gagana tale nirIkzyamANaH
   sumeruśṛṅgapratispardhini śikhare niṣaṇṇo mahāhāsamahasat / atha tasyā	sumeru SRFga pratisparDini SiKare nizaNNaH mahA hAsa mahasat / aTa tasyAH 
   bodhisattvaparṣadaḥ teṣāṃ ca śakrabrahmādīnāmetadabhavat   ko nu khalvatra	boDisattva parzadaH tezAm ca Sakra brahma AdInAm etat aBavat  kaH nu Kalu atra
   hetuḥ, ka ḥ pratyayo yadbhagavān sarvadharmavaśavartī mahāhāsaṃ	hetuH, kaH H pratyayaH yat BagavAn sarva Darma vaSa vartI mahA hAsam
   smitapūrvakaṃ hasati? raśmīṃśca svavigrahebhyo niścārayati? niścārya	smita pUrvakam hasati? raSmIn= ca sva vigraheByaH niScArayati? niScArya
   tūṣṇīmabhavat svapratyātmāryajñānagocarasamādhimukhe patitāśayo 'vismitaḥ	tUzNIm aBavat sva pratyAtma Arya jQAna gocara samADi muKe patita ASayaH avismitaH
   siṃhāvalokanatayā diśo 'valokya rāvaṇasyaiva	siMha avalokana tayA diSaH avalokya rAvaNasya eva
   yogagatipracāramanuvicintayamānaḥ //	yoga gati pracAram anuvicintayamAnaH //
   atha khalu mahāmatirbodhisattvo mahāsattvaḥ pūrvamevādhyeṣito	aTa Kalu mahAmatiH boDisattvaH mahAsattvaH pUrvam eva aDyezitaH 
   rāvaṇasyānukampāmupādāya tasyā bodhisattvaparṣadaścittāśayavicāramājñāya	rAvaNasya anukampAm upAdAya tasyAH boDisattva parzadaH citta ASaya vicAram AjQAya
   anāgatāṃ janatāṃ cāvalokya deśanāpāṭhābhiratānāṃ sattvānāṃ cittavibhramo	anAgatAm janatAm ca avalokya deSanA pAWA aBiratAnAm sattvAnAm citta viBramaH 
   bhaviṣyatīti yathārutārthābhiniviṣṭānāṃ	Bavizyati iti yaTA ruta arTa aBinivizwAnAm
   sarvaśrāvakapratyekabuddhatīrthyayogabalābhiniviṣṭānāṃ tathāgatā api	sarva SrAvaka pratyekabudDa tIrTya yoga bala aBinivizwAnAm taTAgatAH api
   bhagavanto vinivṛttavijñānaviṣayā mahāhāsaṃ hasanti / teṣāṃ	BagavantaH vinivRtta vijQAna vizayAH mahAhAsam hasanti / tezAm
   kautūhalavinivṛttyarthaṃ bhagavantaṃ paripṛcchati sma   kaḥ khalvatra	kOtUhala vinivRtti arTam Bagavantam paripRcCati sma  kaH Kalu atra
   hetuḥ, kaḥ pratyayaḥ smitasya pravṛttaye? bhagavānāha   sādhu sādhu	hetuH, kaH pratyayaH smitasya pravRttaye? BagavAn Aha  sADu sADu
   mahāmate, sādhu khalu punastvaṃ mahāmate, lokasvabhāvamavalokya	mahAmate, sADu Kalu punar tvam mahAmate, loka svaBAvam avalokya
   kudṛṣṭipatitānāṃ ca lokānāṃ traikālyacittāvabodhāya māṃ praṣṭumārabdhaḥ /	kudRzwi patitAnAm ca lokAnAm trEkAlya citta avaboDAya mAm prazwum ArabDaH /
   evaṃ paṇḍitaiḥ paripṛcchanajātīyairbhavitavyaṃ svaparobhayārtham / eṣa	evam paNxitEH paripRcCana jAtIyEH Bavitavyam sva para uBaya arTam / eza
   mahāmate rāvaṇo laṅkādhipatiḥ pūrvakānapi tathāgatānarhataḥ	mahAmate rAvaNaH laFkA aDipatiH pUrvakAn api taTAgatAn arhataH
   samyaksaṃbuddhān praśnadvayaṃ pṛṣṭavān / māmapyetarhi praṣṭukāmo	samyaksaMbudDAn praSna dvayam pRzwavAn / mAm api etarhi prazwu kAmaH 
   yadanālīḍhaṃ sarvaśrāvakapratyekabuddhatīrthyayogayogināṃ	yat anAlIXam sarva SrAvaka pratyekabudDa tIrTya yoga yoginAm
   praśnadvayaprabhedagatilakṣaṇaṃ vibhāvayitum / ya eṣa praṣṭukāmo daśagrīvo	praSna dvaya praBeda gati lakzaNam viBAvayitum / yaH eza prazwu kAmaH daSagrIvaH 
   'nāgatānapi jinān prakṣyati //	anAgatAn api jinAn prakzyati //
   jānanneva bhagavāṃllaṅkādhiupatimetadavocat   pṛccha tvaṃ laṅkādhipate /	jAnan= eva BagavAn= laFkA aDiu patim etat avocat  pRcCa tvam laFkA aDipate /
   kṛtaste tathāgatenāvakāśaḥ / mā vilamba pracalitamaulin /	kRtaH te taTAgatena avakASaH / mA vilamba pracalita mOlin /
   yadyadevākāṅkṣasi, ahaṃ te tasta tasyaiva praśnasyavyākaraṇena	yat yat eva AkAFkzasi, aham te taH ta tasya eva praSnasya vyAkaraNena
   cittamārādhayiṣyāmi / yathā tvaṃ parāvṛttavikalpāśraye	cittam ArADayizyAmi / yaTA tvam parAvRtta vikalpa ASraye
   bhūmivipakṣakauśalena pravicayabuddhyā vicārayamāṇaḥ	BUmi vipakza kOSalena pravicaya budDyA vicArayamANaH
   pratyātmanayalakṣaṇasamādhisukhavihāraṃ samādhibuddhaiḥ parigṛhītaḥ	pratyAtma naya lakzaNa samADi suKa vihAram samADi budDEH parigRhItaH
   (Vaidya 7) śamathasukhavyavasthitaḥ	(VEdyaH 7) SamaTa suKa vyavasTitaH
   śrāvakapratyekabuddhasamādhipakṣānatikramya	SrAvaka pratyekabudDa samADi pakzAn atikramya
   acalāsādhumatīdharmameghābhūmivyavasthito dharmanairātmyayathātathākuśalo	acalA sADu matI Darma meGA BUmi vyavasTitaH Darma nErAtmya yaTA taTA kuSalaH 
   mahāratnapadmavimāne samādhijinābhiṣekatāṃ pratilapsyase / tadanurūpaiḥ	mahA ratna padma vimAne samADi jina aBizeka tAm pratilapsyase / tad anurUpEH
   padmaiḥ svakāyavicitrādhiṣṭhānādhiṣṭhitaistaiḥ padmaiḥ svakāyaṃ niṣaṇṇaṃ	padmEH sva kAya vicitra aDizWAna aDizWitEH tEH padmEH sva kAyam nizaNNam
   drakṣyasi, anyonyavakramukhanirīkṣaṇaṃ ca kariṣyasi / evamacintyo 'sau	drakzyasi, anyonya vakra muKa nirIkzaNam ca karizyasi / evam acintyaH asO
   viṣayaḥ yadekenābhinirhārakauśalenābhinirhṛtaścaryābhūmau sthitaḥ /	vizayaH yat ekena aBinirhAra kOSalena aBinirhRtaH caryA BUmO sTitaH /
   upāyakauśalaparigrahābhinirhārābhinirhṛte tamacintyaviṣayamanuprāpsyasi,	upAya kOSala parigraha aBinirhAra aBinirhRte tam acintya vizayam anuprApsyasi,
   bahurūpavikāratāṃ ca tathāgatabhūmim / yadadṛṣṭapūrvaṃ	bahu rUpa vikAra tAm ca taTAgata BUmim / yat adRzwa pUrvam
   śrāvakapratyekabuddhatīrthyabrahmendropendrādibhistaṃ prāpsyasi //	SrAvaka pratyekabudDa tIrTya brahma indra upendra AdiBiH tam prApsyasi //
   atha khalu laṅkādhipatirbhagavatā kṛtāvakāśa utthāya	aTa Kalu laFkA aDipatiH BagavatA kRta avakASaH utTAya
   tasmādraśmivimalaprabhādratnapadmasadṛśādratnaśikharāt sāpsarogaṇaparivṛto	tasmAt raSmi vimala praBAt ratna padma sadRSAt ratna SiKarAt sa apsaraH gaNa parivRtaH 
   vividhairanekavidhairnānāprakāraiḥ	viviDEH anekaviDEH nAnA prakArEH
   puṣpamālyagandhadhūpavilepanacchatradhvajapatākāhārārdhahārakirīṭamukuṭairanyaiśca	puzpa mAlya ganDa DUpa vilepana= Catra Dvaja patAkA AhAra arDa hAra kirIwa mukuwEH anyEH ca
   adṛṣṭaśrutapūrvairābharaṇaviśeṣairviśiṣṭaistūryatālāvacarairdevanāgayakṣarākṣasagandharvakinnaramahoragamanuṣyātikrāntaiḥ	adRzwa Sruta pUrvEH ABaraNa viSezEH viSizwEH tUrya tAlA vacarEH deva nAga yakza rAkzasa ganDarva kinnara mahA uraga manuzya atikrAntEH
   sarvakāmadhātuparyāpannān vādyabhāṇḍānabhinirmāya ye cānyeṣu	sarva kAma DAtu paryApannAn vAdya BANxAn aBinirmAya ye ca anyezu
   buddhakṣetreṣu tūryaviśeṣā dṛṣṭāḥ, tānabhinirmāya bhagavantaṃ	budDa kzetrezu tUrya viSezAH dRzwAH, tAn aBinirmAya Bagavantam
   bodhisattvāṃśca ratnajālenāvaṣṭabhya nānāvastrocchritapatākaṃ kṛtvā sapta	boDisattvAn= ca ratna jAlena avazwaBya nAnA vastra ucCrita patAkam kRtvA sapta
   tālān gagane 'bhyudgamya mahāpūjāmeghānabhipravṛṣya tūryatālāvacarāṇi	tAlAn gagane aByudgamya mahA pUjA meGAn aBipravRzya tUrya tAlA vacarANi
   nirnādya tasmādgaganādavatīrya sūryavidyutprabhe dvitīye	nirnAdya tasmAt gaganAt avatIrya sUrya vidyut praBe dvitIye
   mahāratnapadmālaṃkṛtau ratnaśikhare niṣasāda / niṣadya upacārātsmitapūrvaṃ	mahA ratna padma alaMkRtO ratna SiKare nizasAda / nizadye upacArAt smita pUrvam
   bhagavatā kṛtāvakāśo bhagavanta praśnadvayaṃ pṛcchati sma   pṛṣṭā mayā	BagavatA kRta avakASaH Bagavanta praSna dvayam pRcCati sma  pRzwA mayA
   pūrvakāstathāgatā arhantaḥ samyaksaṃbuddhāḥ / taiścāpi visarjitam /	pUrvakAH taTAgatAH arhantaH samyaksaMbudDAH / tEH ca api visarjitam /
   bhagavantamapyetarhi pṛcchāmi / deśanāpāṭhe cāyaṃ buddhaistvayā	Bagavantam api etarhi pRcCAmi / deSanA pAWe ca ayam budDEH tvayA
   cāvaśyamanuvarṇitaṃ bhaviṣyati / nirmitanirmāṇabhāṣitamidaṃ bhagavan	ca avaSyam anuvarNitam Bavizyati / nirmita nirmANa BAzitam idam Bagavan
   dharmadvayam / na maunaistathāgatairbhāṣitam / maunā hi	Darma dvayam / na mOnEH taTAgatEH BAzitam / mOnAH hi
   bhagavaṃstathāgatāḥ samādhisukhagocaramevodbhāvayanti / na ca gocaraṃ	Bagavan= taTAgatAH samADi suKa gocaram eva udBAvayanti / na ca gocaram
   vikalpayanti / taṃ deśayanti / tatsādhu me bhagavān svayameva	vikalpayanti / tam deSayanti / tad sADu me BagavAn svayam eva
   dharmavaśavartī dharmadvayaṃ tathāgato 'rhan samyaksaṃbuddho deśayatu /	Darma vaSa vartI Darma dvayam taTAgataH arhan samyaksaMbudDaH deSayatu /
   śroṣyantīme jinaputrā ahaṃ ca //	Srozyanti ime jinaputrAH aham ca //
   bhagavānāha   brūhi laṅkādhipate dharmadvayam / rākṣasendra āha  	BagavAn Aha  brUhi laFkA aDipate Darma dvayam / rAkzasa indraH Aha  
   kirīṭāṅgadahāravajrasūtrāvabaddhābharaṇanuśobhāśobhita, dharmā eva	kirIwa aFgada hAra vajra sUtra avabadDa ABaraNa nuSoBA Sa uBita, DarmAH eva
   prahātavyāḥ prāgevādharmāḥ / tatkathaṃ bhagavan dharmadvayaṃ prahāṇaṃ	prahAtavyAH prAk eva aDarmAH / tat kaTam Bagavan Darma dvayam prahANam
   bhavati? ke cādharmā dharmāḥ? kathaṃ sati dvitvaṃ prahāṇadharmāṇāṃ	Bavati? ke ca aDarmAH DarmAH? kaTam sati dvi tvam prahANa DarmANAm
   vikalpalakṣaṇapatitānāṃ	vikalpa lakzaNa patitAnAm
   vikalpasvabhāvābhāvānāmabhautikabhautikānāmālayavijñānāparijñānādaviśeṣalakṣaṇānāṃ	vikalpa svaBAva aBAvA nAmaBOtika BOtikAnAm Alaya vijQAna aparijQAnAt aviSeza lakzaNAnAm
   keśoṇḍukasvabhāvāvasthitānāmaśuddhakṣayajñānaviṣayiṇām / tatkathaṃ teṣāṃ	keSoNxuka svaBAva avasTitAnAm aSudDa kzaya jQAna vizayiNAm / tat kaTam tezAm
   prahāṇamevaṃbhāvinām?	prahANam evaMBAvinAm?
   bhagavānāha   nanu laṅkādhipate, dṛṣṭo ghaṭādīnāṃ bhedanātmakānāṃ	BagavAn Aha  nanu laFkA aDipate, dRzwaH Gawa AdInAm Bedana AtmakAnAm
   vināśadharmiṇāṃ bālavikalpagocaraiḥ prativibhāgaḥ / evamihāpi kiṃ na	vinASa DarmiNAm bAla vikalpa gocarEH prativiBAgaH / evam iha api kim na
   gṛhyate? asti dharmādharmayoḥ prativibhāgo bālaprativikalpamupādāya, na	gRhyate? asti Darma aDarmayoH prativiBAgaH bAla prativikalpam upAdAya, na
   tvāryajñānādhigamaṃ prati darśanena / tiṣṭhantu tāvallaṅkādhipate	tu Arya jQAna aDigamam prati darSanena / tizWantu tAvat laFkA aDipate
   ghaṭādayo bhāvā vicitralakṣaṇapatitā bālānāṃ na tvāryāṇām /	Gawa AdayaH BAvAH vicitra lakzaNa patitAH bAlAnAm na tu AryANAm /
   ekasvābhāvikānāmekajvālodbhavaprajvālitānāṃ (Vaidya 8)	eka svABAvikAnAm eka jvAlA udBava prajvAlitAnAm (VEdyaH 8)
   gṛhabhavanodyānaprāsādapratiṣṭhāpitānāṃ dṛṣṭaḥ prativibhāgaḥ	gRha Bavana udyAna prAsAda pratizWApitAnAm dRzwaH prativiBAgaH
   indhanavaśāddīrghahrasvaprabhālpamahāviśeṣāśca / evamihāpi kiṃ na gṛhyate?	inDana vaSAt dIrGa hrasva praBA alpa mahA viSezAH ca / evam iha api kim na gRhyate?
   asti dharmādharmayoḥ prativibhāgaḥ / na kevalamagnijvālāyā	asti Darma aDarmayoH prativiBAgaH / na kevalam agni jvAlAyAH 
   ekasaṃtānapatitāyā dṛṣṭo 'rciṣaśca prativibhāgaḥ / ekabījaprasūtānāṃ	eka saMtAna patitAyAH dRzwaH arcizaH ca prativiBAgaH / eka bIja prasUtAnAm
   yatsaṃtānānāmapi laṅkādhipate	yad saMtAnAnAm api laFkA aDipate
   nālāṅkuragaṇḍaparvapatrapalāśapuṣpaphalaśākhāviśeṣāḥ / evaṃ	nAla aFkura gaNxa parva patra palASa puzpa Pala SAKA viSezAH / evam
   sarvadharmaprarohadharmiṇāṃ bāhyānāmādhyātmikānāmapyavidyāniryātānāṃ	sarva Darma praroha DarmiNAm bAhyAnAm ADyAtmikAnAm api avidyA niryAtAnAm
   skandhadhātvāyatanopagānāṃ sarvadharmāṇāṃ traidhātukopapannānāṃ	skanDa DAtu Ayatana upagAnAm sarva DarmANAm trEDAtuka upapannAnAm
   dṛṣṭasukhasaṃsthānāmabhilāpyagativiśeṣāḥ / vijñānānāmekalakṣaṇānāṃ	dRzwa suKa saMsTAnAm aBilApya gati viSezAH / vijQAnAnAm eka lakzaNAnAm
   viṣayābhigrahaṇapravṛttānāṃ dṛṣṭo hīnotkṛṣṭamadhyamaviśeṣo	vizaya aBigrahaNa pravRttAnAm dRzwaH hIna utkRzwa maDyama viSezaH 
   vyavadānāvyavadānataśca kuśalākuśalataśca / na kevalameṣāṃ laṅkādhipate	vyavadAna avyavadAnataH ca kuSala akuSalataH ca / na kevalam ezAm laFkA aDipate
   dharmāṇāṃ prativibhāgaviśeṣaḥ, yogināmapi yogamabhyasyatāṃ yogamārge	DarmANAm prativiBAga viSezaH, yoginAm api yogam aByasyatAm yoga mArge
   pratyātmagatilakṣaṇaviśeṣo dṛṣṭaḥ / kimaṅga punardharmādharmayoḥ	pratyAtma gati lakzaNa viSezaH dRzwaH / kim aFga punar Darma aDarmayoH
   prativikalpapravṛttayorviśeṣo na bhavati? bhavatyeva //	prativikalpa pravRttayoH viSezaH na Bavati? Bavati eva //
   asti laṅkādhipate dharmādharmayoḥ prativibhāgo vikalpalakṣaṇatvāt / tatra	asti laFkA aDipate Darma aDarmayoH prativiBAgaH vikalpa lakzaNa tvAt / tatra
   laṅkādhipate dharmāḥ katame? yaduta ete	laFkA aDipate DarmAH katame? yat uta ete
   tīrthyaśrāvakapratyekabuddhabālavikalpakalpitāḥ / kāraṇato	tIrTya SrAvaka pratyekabudDa bAla vikalpa kalpitAH / kAraNataH 
   guṇadravyapūrvakā dharmā ityupadiśyante, te prahātavyāḥ / na lakṣaṇataḥ	guNa dravya pUrvakAH DarmAH iti upadiSyante, te prahAtavyAH / na lakzaNataH
   prativikalpayitavyāḥ / svacittadṛśyadharmatābhiniveśānna santi ghaṭādayo	prativikalpayitavyAH / sva citta dRSya DarmatA aBiniveSAt na santi Gawa At ayaH 
   dharmā bālaparikalpitā alabdhaśarīrāḥ / evaṃ vidarśanayā prativipaśyataḥ	DarmAH bAla parikalpitAH alabDa SarIrAH / evam vidarSanayA prativipaSyataH
   prahīṇā bhavanti //	prahINAH Bavanti //
   tatra adharmāḥ katame? ye 'labdhātmakā lakṣaṇavikalpāpracārā dharmā	tatra aDarmAH katame? ye alabDa AtmakA lakzaNa vikalpa apracArAH DarmA
   ahetukāḥ teṣāmapravṛttirdṛṣṭā bhūtābhūtataḥ / atha dharmasya prahāṇaṃ	ahetukAH tezAm apravRttiH dRzwA BUta aBUtatas / aTa Darmasya prahANam
   bhavati / punarapyalabdhātmakā dharmāḥ katame? yaduta	Bavati / punar api alabDa AtmakAH DarmAH katame? yat uta
   śaśakharoṣṭravājiviṣāṇavandhyāputraprabhṛtayo dharmāḥ / alabdhātmakatvānna	SaSa Kara uzwra vAji vizANa vanDyA putra praBRtayaH DarmAH / alabDa Atmaka tvAt na
   lakṣaṇataḥ kalpyāḥ / te 'nyatra saṃvyavahārārthā abhidhīyante,	lakzaNataH kalpyAH / te anyatra saMvyavahAra arTAH aBiDIyante,
   nābhiniveśato yathā ghaṭādayaḥ / yathā te praheyā agrahaṇato vijñānena,	na aBiniveSataH yaTA Gawa AdayaH / yaTA te praheyAH agrahaNataH vijQAnena,
   tathā vikalpabhāvā api praheyāḥ / ato dharmādharmayoḥ prahāṇaṃ bhavati /	taTA vikalpa BAvAH api praheyAH / atas Darma aDarmayoH prahANam Bavati /
   yaduktavānasi laṅkādhipate dharmādharmāḥ kathaṃ praheyā iti, tadetaduktam	yat uktavAn asi laFkA aDipate Darma aDarmAH kaTam praheyAH iti, tat etat uktam
   yadapyuktavānasi laṅkādhipate   pūrvakā api tathāgatā arhantaḥ	yat api uktavAn asi laFkA aDipate  pUrvakAH api taTAgatAH arhantaH
   samyaksaṃbuddhā mayā pṛṣṭāḥ, taiśca visarjitaṃ pūrvam / iti laṅkādhipate	samyaksaMbudDAH mayA pRzwAH, tEH ca visarjitam pUrvam / iti laFkA aDipate
   vikalpasyaitadadhivacanam / atīto 'pyevaṃ vikalpyate atītaḥ / evamanāgato	vikalpasya etat aDivacanam / atItaH api evam vikalpyate atItaH / evam anAgataH 
   'dhunāpi dharmatayā / nirvikalpāstathāgatāḥ sarvavikalpaprapañcātītāḥ / na	aDunA api Darma tayA / nirvikalpAH taTAgatAH sarva vikalpa prapaQca atItAH / na
   yathā rūpasvabhāvo vikalpyate / anyatrājñānādhigamataḥ sukhārthaṃ	yaTA rUpa svaBAvaH vikalpyate / anyatra ajQAna aDigamataH suKa arTam
   vibhāvyate / prajñayā animittacāriṇaḥ / ato jñānātmakāstathāgatā	viBAvyate / prajQayA animitta cAriNaH / atas jQAna AtmakAH taTAgatA
   jñānaśarīrāḥ / na kalpante na kalpyante / kena na kalpante? manasā ātmato	jQAna SarIrAH / na kalpante na kalpyante / kena na kalpante? manasA AtmataH 
   jīvataḥ pudgalataḥ / kathaṃ na vikalpante? manovijñānena	jIvataH pudgalataH / kaTam na vikalpante? manaH vijQAnena
   viṣayārthahetukena yathā rūpalakṣaṇasaṃsthānākārataśca / ato	vizaya arTa hetukena yaTA rUpa lakzaNa saMsTAn a AkArataH ca / atas 
   vikalpāvikalpāgatena bhavitavyam //	vikalpa avikalpa Agatena Bavitavyam //
   (Vaidya 9)	(VEdyaH 9)
   api ca laṅkādhipate bhittikhacitavigrahasamaḥ sattvapracāraḥ / niśceṣṭo	api ca laFkA aDipate Bitti Kacita vigraha samaH sattva pracAraH / niScezwaH 
   laṅkādhipate lokasaṃniveśaḥ karmakriyārahito 'sattvātsarvadharmāṇām / na	laFkA aDipate loka saMniveSaH karma kriyA rahitaH asattvAt sarva DarmANAm / na
   cātra kaścicchṛṇoti śrūyate vā / nirmitapratimo hi laṅkādhipate	ca atra kaScid SRNoti SrUyate vA / nirmita pratimaH hi laFkA aDipate
   lokasaṃniveśaḥ / na ca tīrthyabālayogino vibhāvayanti / ya evaṃ paśyati	loka saMniveSaH / na ca tIrTya bAla yoginaH viBAvayanti / yaH evam paSyati
   laṅkādhipate, sa samyakpaśyati / anyathā paśyanto vikalpe carantīti /	laFkA aDipate, sa samyak paSyati / anyaTA paSyantaH vikalpe caranti iti /
   svavikalpā dvidhā gṛhṇanti / tadyathā darpaṇāntargataṃ svabimbapratibimbaṃ	sva vikalpAH dviDA gRhNanti / tat yaTA darpaNa antargatam sva bimba pratibimbam
   jale vā svāṅgacchāyā vā jyotsnādīpapradīpite vā gṛhe vā aṅgacchāyā	jale vA sva aFga= CAyA vA jyotsnA dIpa pradIpite vA gRhe vA aFga= CAyA
   pratiśrutkāni / atha svavikalpagrahaṇaṃ pratigṛhya dharmādharmaṃ	pratiSrutkAni / aTa sva vikalpa grahaNam pratigRhya Darma aDarmam
   prativikalpayanti / na ca dharmādharmayoḥ prahāṇena caranti / vikalpayanti	prativikalpayanti / na ca Darma aDarmayoH prahANena caranti / vikalpayanti
   puṣṇanti, na praśamaṃ pratilabhante / ekāgrasyaitadadhivacanam  	puzNanti, na praSamam pratilaBante / ekAgrasya etat aDivacanam  
   tathāgatagarbhasvapratyātmāryajñānagocarasyaitatpraveśo yatsamādhiḥ paramo	taTAgata garBa sva pratyAtma Arya jQAna gocarasya etat praveSaH yat samADiH paramaH 
   jāyata iti //	jAyate iti //
   rāvaṇādhyeṣaṇāparivarto nāma prathamaḥ //	rAvaNa aDyezaNA aparivartaH nAma praTamaH //
   START Parivarta 2	START Parivarta 2
   (Vaidya 10)	(VEdyaH 10)
   ṣaṭtriṃśatsāhasrasarvadharmasamuccayo nāma dvitīyaḥ parivartaḥ /	zawtriMSat sAhasrasarvaDarmasamuccayaH nAma dvitIyaH parivartaH /
   atha khalu mahāmatirbodhisattvo mahāsattvo mahāmatibodhisattvasahitaḥ	aTa Kalu mahAmatiH boDisattvaH mahAsattvaH mahAmati boDisattva sahitaH
   sarvabuddhakṣetrānucārī buddhānubhāvena utthāyāsanādekāṃsamuttarāsaṅgaṃ	sarva budDa kzetra anucArI budDa anuBAvena utTAya AsanAt eka aMsam uttarAsaFgam
   kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena	kRtvA dakziNam jAnu maNxalam pRTivyAm pratizWApya yena
   bhagavāṃstenāñjaliṃ praṇamya bhagavantaṃ gāthābhirabhyaṣṭāvīt  	BagavAn= tena aQjalim praNamya Bagavantam gATABiH aByazwAvIt  
   utpādabhaṅgarahito lokaḥ khapuṣpasaṃnibhaḥ /	utpAda BaFga rahitaH lokaH Ka puzpa saMniBaH /
   sadasannopalabdhaste prajñayā kṛpayā ca te // Lank_2.1 //	sat asat na upalabDaH te prajQayA kRpayA ca te // Lank _2.1 //
   māyopamāḥ sarvadharmāḥ cittavijñānavarjitāḥ /	mAyA upamAH sarva DarmAH citta vijQAna varjitAH /
   sadasannopalabdhāste prajñayā kṛpayā ca te // Lank_2.2 //	sat asat na upalabDAH te prajQayA kRpayA ca te // Lank _2.2 //
   śāśvatocchedavarjyaśca lokaḥ svapnopamaḥ sadā /	SASvata ucCeda varjyaH ca lokaH svapna upamaH sadA /
   sadasannopalabdhaste prajñayā kṛpayā ca te // Lank_2.3 //	sat asat na upalabDaH te prajQayA kRpayA ca te // Lank _2.3 //
