   ātmasiddhiḥ /	Atma sidDiH /
   āvidyamahaṅkāra granthisthaṃ jñātṛtvamātmanyāropyata ityekaḥ pakṣaḥ /	Avidyam ahaFkAra granTi sTam jQAtR tvam Atmani Aropyate iti ekaH pakzaH /
   anādivāsanayā jñānasyaiva jñātṛbhāvādyāropa iti cāparaḥ / tārkikamatamāha	anAdi vAsanayA jQAnasya eva jQAtR BAva Adi AropaH iti ca aparaH / tArkika matam Aha
   'dehendriye' ti / bodhaḥ   jñānam / dehendriyamanaḥprāṇadhībhyo	adeha indriye a ti / boDaH  jQAnam / deha indriya manaH prANa DIByaH 
   'nyamacaitanyasvarūpamāgantukajñānasukhādiv	anyam acEtanya svarUpam Agantuka jQAna suKa Adi v
   iśeṣaguṇavantamahaṃbuddhiśabdagocaramātmānaṃ kāṇādā gautamāścācakṣata	iSeza guNavantam ahaMbudDi Sabda gocaram AtmAnam kANAdAH gOtamAH ca Acakzata
   ityarthaḥ / acitsvabhāvamityanenākāśāderivātmasvarūpasya jaḍatvaṃ	iti arTaH / acit svaBAvam iti anena AkASa AdeH iva Atma svarUpasya jaxa tvam
   vivikṣitam / ahaṅkāraḥ,   ahamiti buddhiḥ śabdaśca / sāṅkhyamatamāha	vivikzitam / ahaFkAraH,  aham iti budDiH SabdaH ca / sAFKya matam Aha
   'apare' iti / bodhaikasvabhāvameva bodhaścaitanyaṃ, tadeva svo bhāvaḥ	aapare a iti / boDa eka svaBAvam eva  boDaH cEtanyan, tat eva svaH BAvaH
   svarūpaṃ yasya tam, jñānasvarūpameva / upadhānam upodhaḥ sannidhānam /	svarUpam yasya tam, jQAna svarUpam eva / upaDAnam  upoDaH sanniDAnam /
   imam   ātmānam / yathā svabhāvato dhavala eva	imam  AtmAnam / yaTA svaBAvataH DavalaH eva
   sphaṭikādirjapākusumādyupādhisnidhānenāropitatattadraktādirūpeṇa	sPawika AdiH japA kusuma Adi upADi sniDAnena Aropita tad tad rakta Adi rUpeNa
   pratibhāsate, evaṃ nityasvaprakāśaḥ svayañjyotirātmāntaḥkaraṇasannidhānata	pratiBAsate, evam nitya sva prakASaH svayan jyotiH Atma antaHkaraNa sanniDAnata
   āropitasukhaduḥkhāditadguṇavattayā bhāsate kevalam / vastuto nityanirduṣṭa	Aropita suKa duHKa Adi tad guNavat tayA BAsate kevalam / vastutas nitya nirduzwa
   evāyamiti bhāvaḥ / 'anye tvi' ti / mīmāṃsakaikadeśinaḥ siddhāntyekadeśino	eva ayam iti BAvaH / aanye tvi a ti / mImAMsaka eka deSinaH sidDAnti eka deSinaH 
   vā / jñānānandau svābhāvikadharmāvātmana ityamīṣāmāśayaḥ / siddhāntināṃ	vA / jQAna AnandO svABAvika DarmO= AtmanaH iti amIzAm ASayaH / sidDAntinAm
   matamāha 'āśraye'ti / ānando 'pi nātiriktaḥ, kintu ātmanaḥ anukūlatvena	matam Aha aASraye ati / AnandaH api na atiriktaH, kintu AtmanaH anukUla tvena
   prāpta ānandasukhādinirdeśo yena, evaṃbhūto jñānaviśeṣa eva saḥ / sa eva	prAptaH Ananda suKa Adi nirdeSaH yena, evaMBUtaH jQAna viSezaH eva saH / saH eva
   cātmanaḥ svabhāvaḥ / saṃsāritvaduḥ khitvādi tu karmopādhikamiti bhāvaḥ /	ca AtmanaH svaBAvaH / saMsAri tvaduH KitvA Adi tu karma upADikam iti BAvaH /
   yāvaduktopapannaścātmeti hārdam / tattadvādyukteṣu yāvadupapannam,	yAvat ukta upapannaH ca AtmA iti hArdam / tad tad vAdI uktezu yAvat upapannam,
   tāvadākāravattvaṃ cātmanaḥ saṃmatameva hi siddhānte /	tAvat AkAravat tvam ca AtmanaH saMmatam eva hi sidDAnte /
   ātmasvarūpe vipratipattīrūktvā tadgrāhakapramāṇe tā upakṣipati 'tathā	Atma svarUpe vipratipattIrUktvA tad grAhaka pramANe tAH upakzipati ataTA
   anumāne'ti / sautrāntikīya ānumānikatvapakṣo 'yam / anumānaṃ ca	anumAne ati / sOtra antikIyaH Anu mAnika tva pakzaH ayam / anumAnam ca
   ahaṃvijñānaṃ sālambanaṃ vijñānatvānnīlapītādivijñānavadityādyudāhāryam /	ahaMvijQAnam sa Alambanam vijQAna tvAt nIla pIta Adi vijQAna vat iti Adi udAhAryam /
   vilakṣaṇa ātamā anumānagacara iti naiyāyikapakṣo vātrakīrtitaḥ syāt /	vilakzaNaH AtamAH anumAna gacaraH iti nEyAyika pakzaH vAtra kIrtitaH syAt /
   agnimavivaraṇānusārāt / 'āgamaikavedya' iti / śrotriyāṇāṃ pakṣo 'yam /	agnim avivaraNa anusArAt / aAgama eka vedyaH a iti / SrotriyANAm pakzaH ayam /
   ahaṃbuddherdehālambanatayaivopapatteḥ	ahaMbudDeH deha Alambana tayA eva upapatteH
   saṅgātaparārthatvādyunumānasyāprayojakatvādinā ca śāstraikagamya	saFgAtapara arTa tvAt yunu mAnasya aprayojaka tva AdinA ca SAstra eka gamya
   ātmaityamīṣāmāśayaḥ / 'mānase'ti / tārkikāṇāṃ bhāṭṭānāṃ ca pakṣo 'yam /	AtmA eti am IzA Am ASayaH / amAnase ati / tArkikANAm BAwwAnAm ca pakzaH ayam /
   'grāhakataive'ti/ prābhākarapakṣo 'yam / grāhakatayā jñātṛtayā / jñānasya	agrAhaka tA eve ati/ prABAkara pakzaH ayam / grAhaka tayA  jQAtR tayA / jQAnasya
   tritayāvabhāsakatvāddhaṭapratyakṣa eva ghaṭa iva tañjñānaṃ jñātā cātmā	tritaya avaBAsaka tvAt hawa pratyakzaH eva GawaH iva taQjQAnam jQAtA ca AtmA
   prakāśete ityamī / sāṅkyādimatamāha 'jñānasvabhāvataye' ti / svo bhāvaḥ	prakASete iti amI / sa aFkya Adi matam Aha ajQAna svaBAvataye a ti / svaH BAvaH
   svabhāvaḥ svarūpam / nityasyā'tmano jñānasvarūpatayā	svaBAvaH sva rUpam / nityasyA atmanaH jQAna svarUpa tayA
   itarānadhīnanityasvaprakāśo 'yamityete siddhāntināmāśayamāhar 'idṛśo	itara an aDIna nitya sva prakASaH ayam iti ete sidDAntinAm ASayam Ahar aidRSaH 
   'pī'ti / viśadatamatayetyanantaraṃ 'gṛhīta' iti śeṣaḥ /	apI ati / viSadatamatayA iti anantaram agRhIta a iti SezaH /
   pratyaktvādinaivāsya	pratyaktvA AdinA eva asya
   svaprakāśatvāddehādivyāvartakanityatvāṇutvajñātṛtvādiprakāreṇā'gamena	sva prakASa tvAt deha Adi vyAvartaka nitya tva aNu tva jQAtR tva Adi prakAreNA agamena
   viśadatayā, mananato viśadataratayā, yogajapratyakṣato viśadatamatayā ca	viSadatayA, mananataH viSadatara tayA, yoga ja pratyakzataH viSadatamatayA ca
   gṛhīto 'yaṃ muktau svābhāvikāsaṅkucitāparokṣajñānaprabhayā	gRhItaH ayam muktO svABAvikA saFkucita aparokza jQAna praBayA
   kāstnaryenānubhūyata ityarthaḥ /	kAstnaryena anuBUyate iti arTaH /
   ātmanaḥ parimāṇe 'pi tā nirdiśati 'tathe'ti / naiyāyikapakṣamāha	AtmanaH parimANe api tAH nirdiSati ataTe ati / nEyAyika pakzam Aha
   'paramamahā' niti / tattvaṃ cāpakarṣānāśrayamahatparimāṇam /	aparamamahA a niti / tattvam ca apakarzAn ASraya mahat parimANam /
   bibhutvasahacaritam / tatpratibhaṭaṃ siddhāntināṃ pakṣamāha 'aṇuparimāṇa'	biButu asahacaritam / tad pratiBawam sidDAntinAm pakzam Aha aaNu parimANa a
   iti / mādhyamaṃ paramāṇaṃ manyamānānāmanaikāntyavādināṃ matamāha	iti / mADyamam paramANam manyamAna anAm anEkAntya vAdinAm matam Aha
   'śarīraparimāṇa' iti / sasattvaikāntyavādināṃ sāṅkhyānāṃ matamāha 'svata'	aSarIra parimANa a iti / sa sattva EkAntya vAdinAm sAFKyAnAm matam Aha asvata a
   iti / parimāṇarāhityaṃ vibhutvādātmanām / parimāṇavattve hi	iti / parimANa rAhityam viBu tvAt AtmanAm / parimANavat tve hi
   paricchinnatvamavibhutvaṃ prasajyata ityeṣāṃ hārdam / aupādhikaṃ cāsya	paricCinna tvam aviBu tvam prasajyate iti ezAm hArdam / OpADikam ca asya
   parimāṇamityāha 'vyāpye'ti / vyāpyāntaḥkaraṇaparimāṇaupādhikaparimāṇo 'yaṃ	parimANam iti Aha avyApye ati / vyApya antaHkaraNa parimANa OpADika parimANaH ayam
   bandhe ityarthaḥ / vyāptāvapi tāmāha 'caitanye'ti /	banDe iti arTaH / vyAptO= api tAm Aha acEtanye ati /
   svadharmabhūtajñānadvārikaiva vyāptiriti siddhāntipakṣaḥ /	svaDarma BUta jQAna dvArikA eva vyAptiH iti sidDAnti pakzaH /
   yathāntaḥkaraṇādhīnaṃ parimāṇam, tathā jñānādhīnaṃ vyāpakatvamiti	yaTA antaHkaraNa aDInam parimANam, taTA jQAna aDInam vyApaka tvam iti
   sādṛśyenopastitatvāt siddhāntapakṣasya	sAdRSyena upastita tvAt sidDAnta pakzasya
   prathamanirdeśo 'tra / 'svarūpeṇe'ti / ātmā svarūpataḥ sarvagata iti	praTama nirdeSaH atra / asvarUpeNe ati / AtmA svarUpataH sarva gataH iti
   naiyāyikādayaḥ / kālasaṃbandhe 'pi tā upakṣipati 'tathe'ti / kṣaṇikatvaṃ	nEyAyika AdayaH / kAla saMbanDe api tAH upakzipati ataTe ati / kzaNika tvam
   saugatānāmabhimatam / yāvaccharīroṣmasthāyitvaṃ cārvākāṇām /	sOgatAnAm aBimatam / yAvat SarIra Uzma sTAyi tvam cArvAkANAm /
   āprākṛtapralasthāyitvaṃ brahmadevādīnām, āmokṣasthāyitvāmauḍulomyupajñānām	AprAkRta pralasTAyi tvam brahmadeva AdInAm, Amokza sTAyitvA m Oxulomi upajQAnAm
   / kūṭasthanityatvaṃ naiyāyikādīnāṃ siddhāntināṃ ca /	/ kUwasTa nitya tvam nEyAyika AdInAm sidDAntinAm ca /
   kūṭasthatvam nirvikāratvam / nityatvaṃ sarvakālasattā /	kUwasTa tvam  nirvikAra tvam / nitya tvam sarva kAla sattA /
   saṅkhyāyāmapi tāmāha 'sarve'ti / ekajīvavādo māyāvādyekadeśinām /	saFKyAyAm api tAm Aha asarve ati / eka jIva vAdaH mAyA vAdi eka deSinAm /
   pratiśarīramātmabhedo naiyāyikādīnāṃ siddhāntināṃ ca / cakāro	pratiSarIram Atma BedaH nEyAyika AdInAm sidDAntinAm ca / cakAraH 
   'nuktavipratipattisamuccāyakaḥ / 'tathā tathe'ti /	anukta vipratipatti samuccAyakaH / ataTA taTe ati /
   svasvābhimatatattadviruddhākāreṇātmānaṃ tete vādino manyanta ityarthaḥ /	sva sva aBimata tad tad virudDa AkAreNa AtmAnam tete vAdinaH manyante iti arTaH /
   jīghātmasvarūpādau vipratipattīruktvā paramātmasvarūpādau tā upakṣipati	jIGA Atma svarUpa AdO vipratipattIH uktvA paramAtma svarUpa AdO tAH upakzipati
   'tathā parame'ti / 'nānaiva vipratipattayaḥ tīrthakarāṇā'miti śeṣaḥ /	ataTA parame ati / anAnA eva vipratipattayaH tIrTakarANA am iti SezaH /
   'keci'diti / cārvākā bauddhā ārhatāḥ karmaḍāścetyarthaḥ / saśvaravādiṣvapi	akeci aditi / cArvAkAH bOdDAH ArhatAH karmaxAH ca iti arTaH / sa SvaravAdizu api
   naikamatyamityāha 'abhyupagacchanto 'pī'ti / ekekecidadvaitinaḥ /	na Ekamatyam iti Aha aaByupagacCantaH apI ati / ekekecid advEtinaH /
   kālpanikaṃ kalpiteśvarabhāvam / kalpanāprakāramāha 'pratyastamite'ti /	kAlpanikam kalpita ISvara BAvam / kalpanA prakAram Aha apratyasta mite ati /
   kūṭastham avikāri nityaṃ vijñānamātraṃ satyam /	kUwa sTam  a vikAri nityam vijQAna mAtram satyam /
   yatreśeśitavyādibhedaprapañco mātṛmeyatadavacchinnamititvādirapi naivāsti	yatra ISa ISita vyAdi Beda prapaQcaH mAtR meya tad avacCinna m iti tva AdiH api na eva asti
   / evaṃbhūte 'dhi	/ evaMBUte aDi
   ṣṭhāne 'vidyayaiva nānāśaktimatyā viyadādinānācitpratibhāso rajjvāmiva	zWAne avidyayA eva nAnA SaktimatyA viyat Adi nAnA cit pratiBAsaH rajjvAm iva
   sarpādyavabhāsaḥ /	sarpa Adi avaBAsaH /
   āvidyabhūtasamaṣṭivyaṣṭyavacchinnajñānaiśvaryādimahimabhedapratibhāsaśca /	Avidya BUta samazwi vyazwi avacCinna jQAna ESvarya Adi mahim a Beda pratiBAsaH ca /
   tat samaṣṭhyavacchinnajñānaiśvaryādimattayā bhāsamānaṃ caitanyamīśvaraḥ /	tat samazWI avacCinna jQAna ESvarya Adi mattayA BAsamAnam cEtanyam ISvaraH /
   vyaṣṭirūpadevādidehādyavacchinnajñānādimattayā nānātvena ca bhāsamānaṃ	vyazwi rUpa deva Adi deha Adi avacCinna jQAna Adi mattayA nAnAtvena ca BAsamAnam
   tadeva jīvajātamityeṣāmāśayaḥ / avidyāyā eva	tat eva jIva jAtam iti ezAm ASayaH / avidyAyAH eva
   jīveśvarabhāvakalpakopādhitvametanmate / māyāvidyopādhibhedavādināṃ	jIveSvara BAva kalpakopADi tvam etat mate / mAyA vidyA upADi Beda vAdinAm
   matamāha 'apare tvi'ti /	matam Aha aapare tu i ati /
   nirbhedacaitanyamātramevāvidyopahitaṃ nānājīvabhāvena māyopahitaṃ	nirBeda cEtanya mAtram eva avidyA upahitam nAnA jIva BAvena mAyA upahitam
   ceśvarabhāvena parisphurati / tatrāvidyākṛtatvājjīvabhedaḥ	ca ISvara BAvena parisPurati / tatra avidyA kRta tvAt jIva BedaH
   kāmakrodhalobhādyāvidyaguṇapradhāno 'vidyāparavaśaścar / iśvarastu	kAma kroDa loBa AdyAvidya guNa praDAnaH avidyA paravaSaH car / iSvaraH tu
   svavaśavartivividhapariṇāmaśīlamāyāśaktyādhigatasārvajñyasarvaiśvayārdimahimetyamīṣāmāśayaḥ	sva vaSa varti viviDa pariNAma SIla mAyA Sakti A aDigata sArvajQi a sarva ESvaya ardi mahimA iti am IzAm ASayaH
   / yogatantraniṣṭhānāmīśvarasamādaraṇarītimāha 'tathānye' iti /	/ yoga tantra nizWAnAm ISvara samAdaraNa rItim Aha ataTA anye a iti /
   aupādhikameveśvaratvametanmate 'pīti tathetyanenābhipretam /	OpADikam eva ISvara tvam etat mate api iti taTA iti anena aBipretam /
   svatantraprakṛtipariṇāmaviśeṣasya yo viśeṣo nityodriktasattvakatvarūpaḥ	svatantra prakRti pariNAma viSezasya yaH viSezaH nitya udrikta sattvaka tva rUpaH
   prakṛṣṭasattvapradhānāṃśopādānatvaprayuktaḥ, tena saṃpāditā	prakRzwa sattva praDAna aMSa upAdAna tva prayuktaH, tena saMpAditA
   sarvaiśvaryavyavasthā yasya tamīśvaramādriyanta ityarthaḥ / sadā	sarva ESvarya vyavasTA yasya tam ISvaram Adriyante iti arTaH / sadA
   śudadhasattvātmakāntaḥkaraṇādirīśvaropādhiḥ / tadupahitacaitanyamātravapuḥ	SudaDa sattva Atmaka antaHkaraNa AdiH ISvara upADiH / tad upahita cEtanya mAtra vapuH
   puruṣaviśeṣar iśvaraḥ / upādhiviśeṣādhīnameva tasyaiśvaryamiti bhāvaḥ /	puruza viSezar iSvaraH / upADi viSeza aDInam eva tasya ESvaryam iti BAvaH /
   yādavaprakāśapakṣamāga 'anupahitamapī'ti / sindhuriva	yAdava prakASa pakza mAga aanupahitam apI ati / sinDuH iva
   phenabudbudataraṅgabhedena brahmaiva jaḍajīveśvarūpeṇa bhavatīti	Pena budbuda taraFga Bedena brahma eva jaxa jIva ISva rUpeNa Bavati iti
   pariṇāmavādo 'yam / pratibimbavādamāha 'apariṇāminamapī'ti / 'tamekameva	pariNAma vAdaH ayam / pratibimba vAdam Aha aapariNAminam apI ati / atam ekam eva
   cetana'mityanena māyopahitaṃ caitanyamīśvaraḥ / antaḥkaraṇeṣu tasyaiva	cetana am iti anena mAyA upahitam cEtanyam ISvaraH / antaHkaraNezu tasya eva
   pratibimbabhedā jīvā ityābhāsalakṣaṇatvaṃ jīvānāṃ vijñāyate / yadvā	pratibimba BedAH jIvAH iti ABAsa lakzaNa tvam jIvAnAm vijQAyate / yat vA
   māyāyāṃ pratibimbitaṃ caitanyamīśvaraḥ / tasya	mAyAyAm pratibimbitam cEtanyam ISvaraH / tasya
   māyāśabhūtavicitrāntaḥkaraṇeṣu pratibimbabhedā jīvā iti bhāvaḥ /	mAyA SaBUta vicitra antaHkaraNezu pratibimba BedAH jIvAH iti BAvaH /
   viśvādirjāgṛtisvapnasuṣuptyabhimānī / siddhāntināṃ matamāha 'anye' tviti /	viSva AdiH jA gRti svapna suzupti aBimAnI / sidDAntinAm matam Aha aanye a tu iti /
   trividhāścetanāḥjñātṛtvavanto baddhamuktanityāḥ / trividhāścātetanāḥ  	triviDAH cetanAH jQAtR tvavantaH badDa mukta nityAH / triviDAH ca atetanAH  
   jñātṛtvarahitāḥ prakṛtikālanityavibhūtayaḥ / jñānarūpatve 'pi	jQAtR tva rahitAH prakRti kAla nitya viBUtayaH / jQAna rUpa tve api
   nityavibhūterajñātṛtvādacetanatvam / teṣāṃ sarveṣāṃ svasvākārasaṃpattiḥ,	nitya viBUteH ajQAtR tvAt acetana tvam / tezAm sarvezAm svasva AkAra saMpattiH,
   niṣpannasvarūpāṇāmuttarottarakālānuvṛttirūpā sthitiḥ, pravṛttiviśeṣāśca	nizpanna svarUpANAm uttarottara kAla anuvRtti rUpA sTitiH, pravRtti viSezAH ca
   tattatkāryānuguṇā yadadhīnā eva sadā, sar iśvaraḥ / sa ca na nirguṇaḥ /	tad tad kArya anuguNAH yat aDInAH eva sadA, sar iSvaraH / sa ca na nirguNaH /
   kintu svābhāvikotkṛṣṭatamaṣāṅguṇyaprabhṛtyanantakalyāṇaguṇagaṇaratnākaraḥ	kintu svABAvika utkRzwa tama zAFguNya praBRti ananta kalyANa guNa gaNa ratna AkaraH
   / nirguṇatvaṃ cāsya heyagandhābhāvāt / ayaṃ ca puruṣaviśeṣaḥ  	/ nirguNa tvam ca asya heya ganDa aBAvAt / ayam ca puruza viSezaH  
   trividhajīvātmavilakṣaṇaḥ puruṣottamaḥ śriyaḥ   patirityeteṣāṃ hārdam /	triviDa jIva Atma vilakzaNaH puruzottamaH SriyaH  patiH iti etezAm hArdam /
   puruṣaviśeṣar iśvara ityuktama / sa kiṃnāmarūpa ityapekṣāyāmāha 'tathā	puruza viSezar iSvaraH iti uktama / sa kiMnAma rUpaH iti apekzAyAm Aha ataTA
   tadviśeṣe 'pī'tir / iśvarīyanāmarūpādiviṣaye 'pi naikamatyaṃ	tad viSeze apI atiH / iSvarIya nAma rUpa Adi vizaye api na Ekamatyam
   vādināmityarthaḥ / tathāhi eka evaiśvaro mūrticatuṣṭayaṃ	vAdinAm iti arTaH / taTA hi ekaH eva ESvaraH mUrti catuzwayam
   gṛhṇāti kāryavaśādityeke / trimūrtivādinastvādityarūpaṃ parityajanti /	gRhNAti kArya vaSAt iti eke / trimUrti vAdinaH tu Aditya rUpam parityajanti /
   hariharaikyavādinastu brahmarūpamapi / śaivāstu hara evaiśvara	hari harEkya vAdinaH tu brahma rUpam api / SEvAH tu hare eva ESvara
   ityabhimanyante / śrīvaiṣṇavastu harirevetyāmananti / evaṃ	iti aBimanyante / SrI vEzNavaH tu hariH eva iti Amananti / evam
   hairaṇyagarbhāṇāṃ saurāṇāṃ ca tattadekamūrtipakṣo 'pyanusandheyaḥ /	hEraNyagarBANAm sOrANAm ca tad tad eka mUrti pakzaH api anusanDeyaH /
   riśvaramūrtigataviśeṣeṣvapi vipratipattīrāha 'mūrtī'ti / sārthatvam  	riSvara mUrti gata viSezezu api vipratipattIH Aha amUrtI ati / sArTa tvam  
   svabogasiddhyarthatvam / parārthatvam   jīvānugrahaikārthatvam / vitarkāḥ	sva boga sidDi arTa tvam / parArTa tvam  jIva anugraha eka arTa tvam / vitarkAH
     vipratipattayaḥ / 'parijane'ti /	 vipratipattayaH / aparijane ati /
   parijanādayaḥ santi neti, nityāḥ anityā iti, prākṛtā aprākṛtā iti ca	parijana AdayaH santi na iti, nityAH anityAH iti, prAkRtAH aprAkRtAH iti ca
   pakṣabhedāḥ parijanasthānādāvanusandheyāḥ / 'pramāṇato 'pī'ti /	pakza BedAH parijana sTAna AdO= anusanDeyAH / apramANataH apI ati /
   sārvavibhaktikastasil / pramāṇaviṣaye 'pītyarthaḥ / śāstraikapramāṇaka	sArvaviBaktikaH tasit / pramANa vizaye api iti arTaH / SAstra eka pramANaka
   ityeke / āgamānumānapramāṇaka ityapare / śruto mataśca śrutito	iti eke / Agama anumAna pramANakaH iti apare / SrutaH mataH ca SrutitaH 
   'numānataśca premapūrvānudhyānasaṃskṛtamanogrāhyaśceti tu siddhāntinaḥ //	anumAnataH ca prema pUrva anuDyAna saMskRta manaH grAhyaH ca iti tu sidDAntinaH //
   atha jīvaparayoḥ saṃbandhe 'pi vipratipattīrnirdiśati 'tathā ātme'ti /	aTa jIva parayoH saMbanDe api vipratipattIH nirdiSati ataTA Atme ati /
   advaitināṃ pakṣamāha 'anādī'ti /	advEtinAm pakzam Aha aanAdI ati /
   avidyākṛtabhedāvalaṃbanatvādīśeśitavyatvādevyarvihārikatvameva na	avidyA AkRta Beda avalaMbana tvAt ISa ISitavya tvAdevyarvi hArika tvam eva na
   paramārthatvamityāśayo 'mīṣām / pratibimbapakṣābhiprāyeṇā'h 'vyatireke'ti	paramArTa tvam iti ASayaH amIzAm / pratibimba pakza aBiprAyeNA ah avyatireke ati
   / bimbato bhedābhāve 'pi pratibiṃbānāṃ bhedapratipattyādigocaratvalakṣaṇo	/ bimbataH Beda aBAve api pratibiMbAnAm Beda pratipatti Adi gocara tva lakzaNaH 
   'tirekoviśeṣo 'stīti bhāvaḥ / bhāskarapakṣamāha 'svata' iti / svarūpato	atirekaH viSezaH asti iti BAvaH / BAskara pakzam Aha asvata a iti / svarUpataH 
   'bhedaḥ / aupādhiko bhedaḥ / bhedābhedayorviruddhayoḥ kevalasvarūpa	aBedaH / OpADikaH BedaH / Beda aBedayoH virudDayoH kevala svarUpa
   evāsaṃbhavādityāśayaḥ / yādavaprakāśapakṣamāha 'nānātva' iti /	eva asaMBavAt iti ASayaH / yAdava prakASa pakzam Aha anAnAtva a iti /
   aṃśāṃśibhāvalakṣaṇa ityasyānvaya ityanena saṃbandhaḥ /	aMSAMSi BAva lakzaNaH iti asya anvayaH iti anena saMbanDaH /
   aṃśāṃśitvādbhedābhedopapattiḥ / bhedasamānādhikaraṇābhedasyaiva	aMSa aMSi tvAt Beda aBeda upapattiH / Beda samAna aDikaraNa aBedasya eva
   tādātmyasya sāmānadhikaraṇyārthatvamiti hārdameteṣām / 'samavāya' ityādiḥ	tAdAtmyasya sAmAnaDikaraNya arTa tvam iti hArdam etezAm / asamavAya a ityAdiH
   siddhāntinā pakṣaḥ / nānāsaṃbandhopagamājjīvaparayoḥ siddhānte	sidDAntinA pakzaH / nAnA saMbanDa upagamAt jIva parayoH sidDAnte
   nānasaṃbandhakīrtanam / aṃśāṃśibhāvalakṣaṇa ityasya siddhāntapakṣatvamapi	nAna saMbanDa kIrtanam / aMSAMSi BAva lakzaNaH iti asya sidDAnta pakza tvam api
   saṃbhavati / paratantratā apṛthaksiddhiḥ tadrūpaḥ samavāyaḥ, na tvatirikto	saMBavati / paratantra tA a pRTak sidDiH tad rUpaH samavAyaH, na tu atiriktaH 
   vaiśeṣikamatavaditi bhāvaḥ /	vESezika m atavat iti BAvaH /
   paragatātiśayādhānecchāprakḷptasvarūpādikatvaṃ śeṣatvam /	para gata atiSaya ADAna icCA prak?pta svarUpa Adika tvam Seza tvam /
   yatheṣṭaviniyogārhatvaṃ svatvam / preryacetanatvaṃ bhṛtyatvamiti bhidā /	yaTA izwa viniyoga arha tvam sva tvam / prerya cetana tvam BRtya tvam iti BidA /
   etatpratisaṃbandhitvalakṣaṇaṃ ca śeṣitvādīti bodhyam / bhṛtyasvāmīti	etad pratisaMbanDi tva lakzaNam ca Sezi tvA Adi iti boDyam / BRtyasvAmi iti
   bhāvapradhānanirdeśaḥ / bhṛtyasvāmitvalakṣaṇa iti yāvat / tathaiva vā	BAva praDAna nirdeSaH / BRtya svAmi tva lakzaNaH iti yAvat / taTA eva vA
   pāṭhaḥ saṃbhāvyate /	pAWaH saMBAvyate /
   atha muktisvarūpe vipratipattīrāha 'tathā parame'ti /	aTa mukti svarUpe vipratipattIH Aha ataTA parame ati /
   brahmaprāptilakṣaṇeti svābhimatoktiḥ parābhimatānāṃ muktisvarūpāṇāṃ	brahma prApti lakzaNa iti sva aBimata uktiH para aBimatAnAm mukti svarUpANAm
