   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   ajñānāc ca kṛtaṃ sarvaṃ YS182v_5.12a	ajQAnAt ca kRtam sarvam YS182u _5.12a
   ajñānāc caikabhaktena tv Par_6.25c	ajQAnAt ca eka Baktena tu Par_6.25c
   ajñānāt kṛcchram uddiṣṭaṃ YS182v_2.2c	ajQAnAt kRcCram uddizwam YS182u _2.2c
   ajñānāt kṛṣikartāro Par_8.3c	ajQAnAt kRzi kartAraH Par_8.3c
   ajñānāt kṣetrikasya tu Mn_8.243d	ajQAnAt kzetrikasya tu M= _8.243d
   ajñānāt tu dvijaśreṣṭha YS78v_78a	ajQAnAt tu dvijaSrezWa YS78u _78a
   ajñānāt tu surāṃ pītvā Yj_3.255a	ajQAnAt tu surAm pItvA Yt _3.255a
   ajñānāt prāśya viṇmūtraṃ Mn_11.150[149M]a	ajQAnAt prASya viz mUtram M= _11.150[149M]a
   ajñānāt prāśya viṇmūtraṃ Par_12.2a	ajQAnAt prASya viz mUtram Par_12.2a
   ajñānāt spṛśate yadi Par_12.55(54)d	ajQAnAt spRSate yadi Par_12.55(54)d
   ajñānād avicakṣaṇaḥ YS99v_65b	ajQAnAt avicakzaNaH YS99u _65b
   ajñānād āpadāpi vā Par_11.5b	ajQAnAt ApadA api vA Par_11.5b
   ajñānādupadeṣṭavyaḥ Ang_2,7.3c	ajQAnAt upadezwavyaH Ank _2,7.3c
   ajñānād aindavadvayam YS99v_28d	ajQAnAt Endava dvayam YS99u _28d
   ajñānād aindavadvayam YS99v_29d	ajQAnAt Endava dvayam YS99u _29d
   ajñānād aindavadvayam YS99v_34d	ajQAnAt Endava dvayam YS99u _34d
   ajñānād aindavadvayam YSS_1.14d	ajQAnAt Endava dvayam YSS_1.14d
   ajñānād aindavaṃ smṛtaṃ YSS_1.33d	ajQAnAt Endavam smRtam YSH _1.33d
   ajñānād dviśato damaḥ Mn_8.264d	ajQAnAt dviSataH damaH M= _8.264d
   ajñānād dve śate pūrṇe Mn_8.121c	ajQAnAt dve Sate pUrNe M= _8.121c
   ajñānād bālabhāvāc ca Mn_8.118c	ajQAnAt bAla BAvAt ca M= _8.118c
   ajñānād brāhmaṇo bhuktvā YS99v_26a	ajQAnAt brAhmaNaH BuktvA YS99u _26a
   ajñānād bhuñjate dvijaḥ Par_11.10b	ajQAnAt BuQjate dvijaH Par_11.10b
   ajñānād bhuñjate viprāḥ Par_11.16a	ajQAnAt BuQjate viprAH Par_11.16a
   ajñānād yadi vā jñānāt Mn_11.232[231M]a	ajQAnAt yadi vA jQAnAt M= _11.232[231M]a
   ajñānād vāruṇīṃ pītvā Mn_11.146[145M]a	ajQAnAt vAruNIm pItvA M= _11.146[145M]a
   ajñānināṃ jñānināṃ ca Ang_1.14c	ajQAninAm jQAninAm ca Ank _1.14c
   ajñānena tu yo gacchet Par_10.11a	ajQAnena tu yaH gacCet Par_10.11a
   ajñānoktau daṇḍayitvā K_741c	ajQAna uktO daNxayitvA K_741c
   ajñebhyo granthinaḥ śreṣṭhā Mn_12.103a	ajQeByaH granTinaH SrezWAH M= _12.103a
   ajño bhavati vai bālaḥ Mn_2.153a	ajQaH Bavati vE bAlaH M= _2.153a
   ajñau dātṛpratīcchakau Mn_4.194d	ajQO dAtR pratIcCakO M= _4.194d
   ajyeṣṭhavṛttir yas tu syāt Mn_9.110c	ajyezWa vRttiH yaH tu syAt M= _9.110c
   aṭan dhāvan khalan bhraman Ang_1.463d	awan DAvan Kalan Braman Ang_1.463d
   aṇīyāṃsam aṇor api Mn_12.122b	aNIyAMsam aNoH api M= _12.122b
   aṇḍājāḥ pakṣiṇaḥ sarpā Mn_1.44a	aNxAjAH pakziNaH sarpAH M= _1.44a
   aṇvyo mātrā vināśinyo Mn_1.27a	aNvyaH mAtrA vinASinyaH M= _1.27a
   ata ūrdhvaṃ tu chandāṃsi Mn_4.98a	atas UrDvam tu CandAMsi M= _4.98a
   ata ūrdhvaṃ tu yatsnātaḥ Ang_2,9.13a	atas UrDvam tu yat snAtaH Ank _2,9.13a
   ata ūrdhvaṃ tu ye viprāḥ Par_8.15a	atas UrDvam tu ye viprAH Par_8.15a
   ata ūrdhvaṃ tu ye viprāḥ Ang_2,4.8a	atas UrDvam tu ye viprAH Ank _2,4.8a
   ata ūrdhvaṃ tu snātānāṃ Ang_2,9.4a	atas UrDvam tu snAtAnAm Ank _2,9.4a
   ata ūrdhvaṃ trayo 'py ete Mn_2.39a	atas UrDvam trayaH api ete M= _2.39a
   ata ūrdhvaṃ trirātraṃ syād Par_12.53(52)c	atas UrDvam tri rAtram syAt Par_12.53(52)c
   ata ūrdhvaṃ patanty ete Yj_1.38a	atas UrDvam patanti ete Yt _1.38a
   ata ūrdhvaṃ pravakṣyāmi Mn_8.214c	atas UrDvam pravakzyAmi M= _8.214c
   ata ūrdhvaṃ pravakṣyāmi Mn_8.218c	atas UrDvam pravakzyAmi M= _8.218c
   ata ūrdhvaṃ pravakṣyāmi Mn_8.266c	atas UrDvam pravakzyAmi M= _8.266c
   ata ūrdhvaṃ pravakṣyāmi Mn_8.278c	atas UrDvam pravakzyAmi M= _8.278c
   ata ūrdhvaṃ pravakṣyāmi Mn_11.98[97M]c	atas UrDvam pravakzyAmi M= _11.98[97M]c
   ata ūrdhvaṃ pravakṣyāmi Nar_20.15a	atas UrDvam pravakzyAmi Nar_20.15a
   ata ūrdhvaṃ pravakṣyāmi Ang_2,2.1a	atas UrDvam pravakzyAmi Ank _2,2.1a
   ata ūrdhvaṃ pravakṣyāmi Ang_2,12.1a	atas UrDvam pravakzyAmi Ank _2,12.1a
   ata ūrdhvaṃ prasūtiḥ syād Par_3.16c	atas UrDvam prasUtiH syAt Par_3.16c
   ata ūrdhvaṃ rajasvalā Par_7.5b	atas UrDvam rajasvalA Par_7.5b
   ata ūrdhvaṃ rajasvalā YS182v_3.21d	atas UrDvam rajasvalAH YS182u _3.21d
   ata ūrdhvaṃ rahasyānāṃ Mn_11.247[246M]c	atas UrDvam rahasyAnAm M= _11.247[246M]c
   ata ūrdhvaṃ sakulyaḥ syād Mn_9.187c	atas UrDvam sakulyaH syAt M= _9.187c
   atathyaṃ tathyabhāvena K_295c	ataTyam taTya BAvena K_295c
   atathyaṃ śrāvitaṃ rājā K_778a	ataTyam SrAvitam rAjA K_778a
   atapās tv anadhīyānaḥ Mn_4.190a	atapAH tu anaDIyAnaH M= _4.190a
   ataś ca sutadārāṇāṃ K_641a	atas ca suta dArANAm K_641a
   atastaddvividhaṃ smṛtam Ang_1.680d	atas tat dviviDam smRtam Ank _1.680d
   atas tu viparītasya Mn_7.34a	atas tu viparItasya M= _7.34a
   atasmin tattvamāropya Ang_1.123a	atasmin tattvam Aropya Ank _1.123a
   ataḥ kriyā tadā proktā K_211c	atas kriyA tadA proktA K_211c
   ataḥ paraṃ gṛhasthasya Par_2.1a	atas param gRhasTasya Par_2.1a
   ataḥ paraṃ pravakṣyāmi Mn_9.56c	atas param pravakzyAmi M= _9.56c
   ataḥ paraṃ pravakṣyāmi Mn_10.131c	atas param pravakzyAmi M= _10.131c
   ataḥ paraṃ pravakṣyāmi Par_6.1a	atas param pravakzyAmi Par_6.1a
   ataḥ paraṃ pravakṣyāmi Nar_20.25a	atas param pravakzyAmi Nar_20.25a
   ataḥ paraṃ pravakṣyāmi Nar_20.32a	atas param pravakzyAmi Nar_20.32a
   ataḥ paraṃ pravakṣyāmi Nar_20.41a	atas param pravakzyAmi Nar_20.41a
   ataḥ paraṃ pravakṣyāmi YS182v_5.1a	atas param pravakzyAmi YS182u _5.1a
   ataḥ parīkṣyam ubhayam Nar_M1.62a	atas parIkzyam uBayam Nar_M1.62a
   ataḥ putreṇa jātena Nar_1.06a	atas putreNa jAtena Nar_1.06a
   ataḥ pratyakṣamārgeṇa Nar_M1.35c	atas pratyakza mArgeNa Nar_M1.35c
   ataḥ śuddhiṃ pravakṣyāmi Par_3.1a	atas SudDim pravakzyAmi Par_3.1a
   ataḥ śṛṇudhvaṃ māṃsasya Yj_1.178c	atas SRNuDvam mAMsasya Yt _1.178c
   ataḥ ṣaṭtriṃśatkasaṃkhyā Ang_1.505c	atas zawtriMSat ka saMKyAH Ank _1.505c
   ataḥ svalpīyasi dravye Mn_11.8[07M]a	atas svalpIyasi dravye M= _11.8[07M]a
   atikṛcchraṃ caran dvijaḥ Mn_11.213[212M]d	atikRcCram caran dvijaH M= _11.213[212M]d
   atikṛcchraṃ ca rudhire Par_11.54a	atikRcCram ca ruDire Par_11.54a
   atikṛcchraṃ nipātane Mn_11.208[207M]b	atikRcCram nipAtane M= _11.208[207M]b
   atikṛcchraḥ sa ucyate Par_11.55b	atikRcCraH saH ucyate Par_11.55b
   atikṛcchre trayodaśa Par_9.25d	atikRcCre trayodaSa Par_9.25d
   atikṛcchro nipātane Yj_3.292b	atikRcCraH nipAtane Yt _3.292b
   atikopaṃ vivarjayet Par_9.61d	ati kopam vivarjayet Par_9.61d
   atikramaṃ vratasyāhur Mn_11.120[119M]c	atikramam vratasya AhuH M= _11.120[119M]c
   atikrame 'payāte ca K_119a	atikrame apayAte ca K_119a
   atikrānte daśāhe ca Mn_5.76[75M]a	atikrAnte daSa ahe ca M= _5.76[75M]a
   atikrānte saptarātre K_194c	atikrAnte sapta rAtre K_194c
   atikrāman deśakālau Mn_8.156c	atikrAman deSa kAlO M= _8.156c
   atikrāmet pramattaṃ yā Mn_9.78a	atikrAmet pramattam yA M= _9.78a
   atikrauryaṃ kalāvapi Ang_1.98b	atikrOryam kalO= api Ank _1.98b
   atikṣudraikakāleṣu Ang_1.213a	ati kzudra eka kAlezu Ank _1.213a
   atikṣudhāturo rogī Ang_1.259c	atikzuDA AturaH rogI Ank _1.259c
   aticāturyato 'tīva Ang_1.582a	ati cAtuH yatas atIva Ank _1.582a
   atituṣṭā mahātuṣṭāḥ Ang_1.1088c	ati tuzwAH mahA tuzwAH Ank _1.1088c
   atitṛptyaikakārakaḥ Ang_1.615d	ati tRptya eka kArakaH Ank _1.615d
   atithitvena varṇānāṃ Yj_1.107a	atiTi tvena varNAnAm Yt _1.107a
   atithibhyo 'gra evaitān Mn_3.114[104M]c	atiTiByaH agre eva etAn M= _3.114[104M]c
   atithir brāhmaṇaḥ smṛtaḥ Mn_3.102[92M]b	atiTiH brAhmaNaH smRtaH M= _3.102[92M]b
   atithir yasya bhagnāśas Par_1.46c	atiTiH yasya Bagna ASaH Par_1.46c
   atithir yasya bhagnāśo Par_1.45a	atiTiH yasya Bagna ASaH Par_1.45a
   atithis tv indralokeśo Mn_4.182c	atiTiH tu indra loka ISaH M= _4.182c
   atithiṃ cānanujñāpya Mn_4.122a	atiTim ca ananujQApya M= _4.122a
   atithiṃ tatra saṃprāptaṃ Par_1.43a	atiTim tatra saMprAptam Par_1.43a
   atithiṃ taṃ vijānīyān Par_1.41c	atiTim tam vijAnIyAn Par_1.41c
   atithiṃ pūrvam āśayet Mn_3.94[84M]b	atiTim pUrvam ASayet M= _3.94[84M]b
   atithiṃ yan na bhojayet Mn_3.106[96M]b	atiTim yat na Bojayet M= _3.106[96M]b
   atithiṃ śrotriyaṃ tṛptam Yj_1.113a	atiTim Srotriyam tRptam Yd _1.113a
   atithau taddinabhrāntyā Ang_1.948a	atiTO tad dina BrAntyA Ank _1.948a
   atidāhe caret pādaṃ Par_9.29a	atidAhe caret pAdam Par_9.29a
   atidāhe 'tivāhe ca Par_9.28a	ati dAhe ativAhe ca Par_9.28a
   atiduḥkhaikajīvitam Ang_1.1056b	ati duHKa eka jIvitam Ank _1.1056b
   atipraśasyaṃ covāca Ang_1.590c	ati praSasyam ca uvAca Ank _1.590c
   atiprasaktiṃ caiteṣāṃ Mn_4.16c	atiprasaktim ca etezAm M= _4.16c
   atibālye tato bhūyo Ang_1.1056c	ati bAlye tatas BUyas Ank _1.1056c
   atimānād atikrodhāt Par_4.1a	atimAnAt ati kroDAt Par_4.1a
   atimāninamagrāhyaṃ Ang_1.746c	atimAninam agrAhyam Ank _1.746c
   ativādāṃs titikṣeta Mn_6.47a	ativAdAn titikzeta M= _6.47a
   ativṛṣṭihatānāṃ ca Par_9.43c	ati vRzwi hatAnAm ca Par_9.43c
   atiśuddhamatiśreṣṭhaṃ Ang_1.243c	ati SudDam ati SrezWam Ank _1.243c
   atisāhasam ākramya Nar_14.11c	ati sAhasam Akramya Nar_14.11c
   atiharṣaṃ gatāḥ sadyas Ang_1.564c	ati harzam gatAH sadyas Ank _1.564c
   atītānāṃ ca sarveṣāṃ Mn_7.178[179M]c	atItAnAm ca sarvezAm M= _7.178[179M]c
   atītāyām aprajasi Yj_2.144c	atItAyAm aprajasi Yt _2.144c
   atītārthasmṛtiḥ kasya Yj_3.150c	atIta arTa smRtiH kasya Yt _3.150c
   atīte kāryaśeṣajñaḥ Mn_7.179[180M]c	atIte kArya Seza jQaH M= _7.179[180M]c
   atīte kṣapaṇaṃ smṛtam Mn_5.71[70M]b	atIte kzapaNam smRtam M= _5.71[70M]b
   atīto yadi pakṣaḥ sa Ang_1.712c	atItaH yadi pakzaH saH Ank _1.712c
   atītyāprāpya tatkālaṃ Ang_1.643c	atItya aprApya tad kAlam Ank _1.643c
   atuṣṭikaram eva ca Mn_4.217[218M]d	atuzwi karam eva ca M= _4.217[218M]d
   atṛptā eva no te syur Ang_1.1093a	atRptAH eva no te syuH Ank _1.1093a
   ataijasāni pātrāṇi Mn_6.53a	atEjasAni pAtrANi M= _6.53a
   ato na roditavyaṃ hi Yj_3.11c	atas na roditavyam hi Yt _3.11c
   ato nānyena hīyate K_306d	atas na anyena hIyate K_306d
   ato 'nyagamane strīṇām Nar_12.102c	atas anya gamane strINAm Nar_12.102c
   ato 'nyatamam āsthāya Mn_11.86[85M]a	atas anyatamam AsTAya M= _11.86[85M]a
   ato 'nyatamayā vṛttyā Mn_4.13a	atas anyatamayA vRttyA M= _4.13a
   ato 'nyathā kleśabhāk syān Nar_11.19a	atas anyaTA kleSa BAj syAt Nar_11.19a
   ato 'nyathā tu praharan Mn_8.300c	atas anyaTA tu praharan M= _8.300c
   ato 'nyathā pravṛttis tu Mn_5.31c	atas anyaTA pravRttiH tu M= _5.31c
   ato 'nyathā bhaved doṣas Par_6.56a	atas anyaTA Bavet dozaH Par_6.56a
   ato 'nyathā bhāvanīyāḥ K_383c	atas anyaTA BAvanIyAH K_383c
   ato 'nyathā mahākṣāntyā Nar_M2.10c	atas anyaTA mahA kzAntyA Nar_M2.10c
   ato 'nyathā vartamānaḥ Nar_12.88a	atas anyaTA vartamAnaH Nar_12.88a
   ato 'nyathā vartamāno Mn_8.397c	atas anyaTA vartamAnaH M= _8.397c
   ato 'nyathāṃśabhājo hi Nar_13.23c	atas anyaTA aMSa BAjaH hi Nar_13.23c
   ato 'nyeṣu vivādeṣu K_405c	atas anyezu vivAdezu K_405c
   ato 'nyeṣu sabhāmadhye K_435c	atas anyezu saBA maDye K_435c
   ato 'nyair yat kṛtaṃ kāryam K_068a	atas anyEH yat kRtam kAryam K_068a
   ato 'patyaṃ dvayor iṣṭaṃ Nar_12.59c	atas apatyam dvayoH izwam Nar_12.59c
   ato 'pravṛtte rajasi Nar_12.27a	atas apravRtte rajasi Nar_12.27a
   ato bālatarasyāpi YS182v_3.2a	atas bAlatarasya api YS182u _3.2a
   ato bālatarasyāpi YS78v_16a	atas bAlatarasya api YS78u _16a
   ato bālatarasyāsya YSS_1.21a	atas bAlatarasya asya YSH _1.21a
   ato yateta tatprāptyai Yj_1.352c	atas yateta tad prAptyE Yd _1.352c
   ato yad anyad vibrūyur Mn_8.78c	atas yat anyat vibrUyuH M= _8.78c
   ato yad anyad vibrūyur K_393c	atas yat anyat vibrUyuH K_393c
   ato yad ātmano 'pathyaṃ Yj_3.65c	atas yat AtmanaH apaTyam Yt _3.65c
   ato 'rthān na pramādyanti Mn_2.213c	atas arTAn na pramAdyanti M= _2.213c
   ato 'rvākpaṇyadoṣas tu K_695a	atas arvAk paNya dozaH tu K_695a
   atyakramaṃ cātyaśāstraṃ Ang_1.98c	atyakramam ca atyaSAstram Ank _1.98c
   atyantacapalaṃ śrāntam Ang_1.756a	atyanta capalam SrAntam Ank _1.756a
   atyantatṛptimuktyaika  Ang_1.477c	atyanta tRpti muktyA eka Ank _1.477c
   atyantapitṛtṛptyaika  Ang_1.603a	atyanta pitR tRptyA eka Ank _1.603a
   atyantaṃ śrīr niṣevate K_003d	atyantam SrIH nizevate K_003d
   atyantāvaśyako na syād Ang_1.636a	atyanta AvaSyakaH na syAt Ank _1.636a
   atyantaikapavitrā hi Ang_1.910a	atyanta eka pavitrAH hi Ank _1.910a
   atyanyāyamatidroham Ang_1.98a	atyanyAyam ati droham Ank _1.98a
   atyarthaṃ vedayaṃś caiva YSS_2.57a	atyarTam vedayan ca eva YSH _2.57a
   atyalpam atibhūri ca K_173b	ati alpam ati BUri ca K_173b
   atyalpam atibhūri ca K_188b	ati alpam ati BUri ca K_188b
   atyucchritaṃ tathātmānaṃ Mn_7.170[171M]c	ati ucCritam taTA AtmAnam M= _7.170[171M]c
   atyutkrāntipravṛttasya Ang_1.295a	ati utkrAnti pravRttasya Ank _1.295a
   atyuṣṇaṃ sarvam annaṃ syād Mn_3.236[226M]a	ati uzNam sarvam annam syAt M= _3.236[226M]a
   atra kecitpunaḥ procuḥ Ang_1.983c	atra kecid punar procuH Ank _1.983c
   atra gāthā vāyugītāḥ Mn_9.42a	atra gATAH vAyu gItAH M= _9.42a
   atra pitaro 'mutra ca Ang_1.855a	atra pitaraH amutra ca Ank _1.855a
   atra viṣṇurmataṃ svasya Ang_1.997a	atra vizNuH matam svasya Ank _1.997a
   atra saṃskāraśabdataḥ Ang_1.141d	atra saMskAra SabdataH Ank _1.141d
   atrānuktairmahākāla  Ang_1.844a	atra anuktEH mahAkAla Ank _1.844a
   atrāham amukaḥ sākṣī Yj_2.87c	atra aham amukaH sAkzI Yt _2.87c
   atrer viṣṇoś ca saṃvartād Par_1.13c	atreH vizNoH ca saMvartAt Par_1.13c
   atraiva paśavo hiṃsyā Mn_5.41c	atra eva paSavaH hiMsyAH M= _5.41c
   atraiva pitṛyajñaśca Ang_1.615a	atra eva pitR yajQaH ca Ank _1.615a
   atroktāḥ kila karmaṇi Ang_1.818b	atra uktAH kila karmaNi Ank _1.818b
   atha kāryavipattis tu K_609a	aTa kArya vipattiH tu K_609a
   atha cet pratibhūr nāsti K_117a	aTa ced pratiBUH na asti K_117a
   atha cet sa dvibhāryaḥ syān K_908a	aTa ced sa dvi BAryaH syAt K_908a
   atha ced anṛtaṃ brūyuḥ Nar_11.7a	aTa ced anRtam brUyuH Nar_11.7a
   atha cen matra[ntra]vidyukto YS182v_3.39a	aTa ced matra [ntra] vidyuktaH YS182u _3.39a
   atha tatkartṛto 'khilam Ang_1.430d	aTa tad kartRtaH aKilam Ang_1.430d
   atha trayāṇāṃ vakṣyāmi Ang_2,1.2a	aTa trayANAm vakzyAmi Ank _2,1.2a
   atha daivavisaṃvādāt K_456a	aTa dEva visaMvAdAt K_456a
   atha pañcatvam āpanno K_285a	aTa paQcatvam ApannaH K_285a
   atha putrasya pautreṇa Mn_9.137c	aTa putrasya pOtreNa M= _9.137c
   atha pracchannapāpānāṃ Nar_19.57c	aTa pracCanna pApAnAm Nar_19.57c
   atha prāg eva dattā syāt K_649a	aTa prAk eva dattA syAt K_649a
   atha bhavaty eva pāpam YSS_2.74c	aTa Bavati eva pApam YSH _2.74c
   atha mūlam anāhāryaṃ Mn_8.202a	aTa mUlam anAhAryam M= _8.202a
   atharvāṅgirasaḥ paṭhan Yj_1.44b	aTarva aFgirasaH paWan Yt _1.44b
   atharvāṅgirase tathā Yj_1.313d	aTarva aFgirase taTA Yt _1.313d
   atha vased yadā rātrāv YS99v_65a	aTa vaset yadA rAtrO YS99u _65a
   athavā kālaniyamo Nar_1.152a	aTavA kAla niyamaH Nar_1.152a
   atha vā kitavo rājñe K_939a	aTa vA kitavaH rAjQe K_939a
   athavā taṃ triyambakam Ang_1.837b	aTavA tam triyambakam Ank _1.837b
   athavānumato yaḥ syād Nar_1.174a	aTavA anumataH yaH syAt Nar_1.174a
   athavā pañcasaṃkhyayā Ang_1.680b	aTavA paQca saMKyayA Ank _1.680b
   atha vāpy abhyasan vedaṃ Yj_3.204a	aTa vA api aByasan vedam Yt _3.204a
   athavā brāhmaṇās tuṣṭāḥ Par_6.54c	aTavA brAhmaNAH tuzwAH Par_6.54c
   athavā vāmadaivyena Par_11.18c	aTavA vAma dEvyena Par_11.18c
   atha vā syāc chikhājaṭaḥ Mn_2.219b	aTa vA syAt SiKA jawaH M= _2.219b
   atha viṃśativarṣāṇi K_300a	aTa viMSati varzANi K_300a
   athavaitaddine tu yaiḥ Ang_1.617d	aTavA etat dine tu yEH Ang_1.617d
   atha śaktivihīnaḥ syād Nar_1.112a	aTa Sakti vihInaH syAt Nar_1.112a
   atha sarpeṇa daṣṭo vā Nar_11.32c	aTa sarpeNa dazwaH vA Nar_11.32c
   atha svahastenārūḍhas K_370a	aTa sva hastena ArUXaH K_370a
   athāto dravyaśuddhis tu Par_7.1a	aTa atas dravya SudDiH tu Par_7.1a
   athāto yamadharmasya YS182v_1.1a	aTa atas yama Darmasya YS182u _1.1a
   athāto himaśailāgre Par_1.1a	aTa atas himaSEla agre Par_1.1a
   athāto hy asya dharmasya YS78v_1a	aTa atas hi asya Darmasya YS78u _1a
   athāvedya prayuktas tu K_763c	aTa Avedya prayuktaH tu K_763c
   athopagamayed enaṃ Nar_5.30c	aTa upagamayet enam Nar_5.30c
   athopapātakāścintyās Ang_2,12.9a	aTa upapAtakAH cintyAH Ank _2,12.9a
   atho vā rajatānvitaiḥ Mn_3.202[192M]b	aTo vA rajata anvitEH M= _3.202[192M]b
   adagdhaḥ śuddhim āpnuyāt Yj_2.107b	adagDaH SudDim ApnuyAt Yt _2.107b
   adagdhaḥ sarvato yas tu Nar_20.20c	adagDaH sarvatas yaH tu Nar_20.20c
   adagdho yo vibhāvyate Nar_20.21b	adagDaH yaH viBAvyate Nar_20.21b
   adaṇḍaṃ taṃ visarjayet K_826d	adaNxam tam visarjayet K_826d
   adaṇḍyā garbhiṇī gauś ca Nar_11.29c	adaNxyA garBiNI gOH ca Nar_11.29c
   adaṇḍyān daṇḍayan rājā Mn_8.128a	adaNxyAn daNxayan rAjA M= _8.128a
   adaṇḍyā hastino 'śvāś ca Nar_11.29a	adaNxyAH hastinaH aSvAH ca Nar_11.29a
   adaṇḍyo mucyate rājñā Mn_8.202c	adaNxyaH mucyate rAjQA M= _8.202c
   adaṇḍyau ca prakīrtitau Nar_1516.21b	adaNxyO ca prakIrtitO Nar_1516.21b
   adattatyaktavikrītaṃ K_614c	adatta tyakta vikrItam K_614c
   adattaṃ tad api smṛtam Nar_4.10d	adattam tat api smRtam Nar_4.10d
   adattaṃ tu bhayakrodha  Nar_4.08a	adattam tu Baya kroDa Nar_4.08a
   adattaṃ ṣoḍaśātmakam Nar_4.03d	adattam zoxaSa Atmakam Nar_4.03d
   adattādānanirataḥ Yj_3.136a	adatta AdAna nirataH Yj_3.136a
   adattādāyako daṇḍyas Nar_4.11c	adatta AdAyakaH daNxyaH Nar_4.11c
   adattānām upādānaṃ Mn_12.7a	adattAnAm upAdAnam M= _12.7a
   adattāny agnihīnasya Yj_1.160c	adattAni agni hInasya Yt _1.160c
   adattāny upayuñjāna Mn_4.202[203M]c	adattAni upayuQjAnaH M= _4.202[203M]c
   adatte 'nyatra samayān Nar_8.10c	adatte anyatra samayAn Nar_8.10c
   adattvā tu mṛte dāpyas K_566c	adattvA tu mRte dApyaH K_566c
   adattvā tu mṛte dāpyas K_654c	adattvA tu mRte dApyaH K_654c
   adattvā tu ya etebhyaḥ Mn_3.115[105M]a	adattvA tu yaH eteByaH M= _3.115[105M]a
   adattvaiva diśaṃ vrajet K_507b	adattvA eva diSam vrajet K_507b
   adatḥṇāṃ ca jānatām Ang_2,6.14b	adatHNAm ca jAnatAm Ank _2,6.14b
   adadat kārayitvā tu Nar_6.7c	adadat kArayitvA tu Nar_6.7c
   adadad dhi samāpnoti Yj_2.36c	adadat Di samApnoti Yt _2.36c
   adadad yācyamānas tu Nar_1.101c	adadat yAcyamAnaH tu Nar_1.101c
   adarśane vṛścikasya Ang_1.714a	adarSane vRScikasya Ank _1.714a
   adarśayan sa taṃ tasmai K_535c	adarSayan sa tam tasmE K_535c
   adarśayan sa taṃ tasya Mn_8.158c	adarSayan sa tam tasya M= _8.158c
   adarśayitvā tatraiva Mn_8.155a	adarSayitvA tatra eva M= _8.155a
   adātari punar dātā Mn_8.161a	adAtari punar dAtA M= _8.161a
   adātā karṣakaś caiva Par_2.10a	adAtA karzakaH ca eva Par_2.10a
   adāyikaṃ rājagāmi K_931a	adAyikam rAja gAmi K_931a
   adāsa iti coktvā triḥ Nar_5.41c	adAsaH iti ca uktvA tris Nar_5.41c
   adāsaṃ dāsajīvanam Mn_10.32b	adAsam dAsa jIvanam M= _10.32b
   adāsaṃ prītamānasaḥ Nar_5.40b	adAsam prIta mAnasaH Nar_5.40b
   aditsaṃs tyāgam arhati Mn_10.113d	aditsan tyAgam arhati M= _10.113d
   adīyamānā bhartāram Mn_9.91a	adIyamAnA BartAram M= _9.91a
   adīrghasūtraḥ smṛtimān Yj_1.310a	adIrGasUtraH smRtimAn Yd _1.310a
   aduṣṭam eva kāle tu K_686c	aduzwam eva kAle tu K_686c
   aduṣṭaś ced varo rājñā Nar_12.32c	aduzwaH ced varaH rAjQA Nar_12.32c
   aduṣṭasyaiva yo doṣān K_774a	aduzwasya eva yaH dozAn K_774a
   aduṣṭaṃ va rtvijaṃ yājyo Nar_3.09c	aduzwam va rtvijam yAjyaH Nar_3.09c
   aduṣṭām utsṛjed varaḥ Nar_12.35b	aduzwAm utsRjet varaH Nar_12.35b
   aduṣṭā saṃtatā dhārā Par_7.35a	aduzwA saMtatA DArA Par_7.35a
   aduṣṭāṃ tu tyajan daṇḍyo Yj_1.66c	aduzwAm tu tyajan daNxyaH Yt _1.66c
   aduṣṭāṃ yoṣitaṃ hatvā K_806c	aduzwAm yozitam hatvA K_806c
   adūṣitānāṃ dravyāṇāṃ Mn_9.286a	adUzitAnAm dravyANAm M= _9.286a
   adūṣyaṃ caiva viprendraṃ YS182v_3.40c	adUzyam ca eva vipra indram YS182u _3.40c
   adṛṣṭam adbhir nirṇiktaṃ Mn_5.127[125M]c	adRzwam adBiH nirNiktam M= _5.127[125M]c
   adṛṣṭāśrāvitaṃ ca yat K_292b	adRzwa aSrAvitam ca yat K_292b
   adeyam atha deyaṃ ca Nar_4.02a	adeyam aTa deyam ca Nar_4.02a
   adeyaṃ syād ato 'nyathā K_640d	adeyam syAt atas anyaTA K_640d
   adeyāny āhur ācāryā Nar_4.05c	adeyAni AhuH AcAryA Nar_4.05c
   adeśakāladattāni K_437a	adeSa kAla dattAni K_437a
   adeśakāladṛṣṭatvād Nar_19.17c	adeSa kAla dRzwa tvAt Nar_19.17c
   adeśakālasaṃbhāṣaṃ Yj_2.284c	adeSa kAla saMBAzam Yt _2.284c
   adeśyaṃ yaś ca diśati Mn_8.53a	adeSyam yaH ca diSati M= _8.53a
   adaivaṃ pārvaṇaśrāddhaṃ Ang_1.876c	adEvam pArvaNa SrAdDam Ank _1.876c
   adaivaṃ bhojayec chrāddhaṃ Mn_3.247[237M]c	adEvam Bojayet SrAdDam M= _3.247[237M]c
   adaivaṃ bhojayec chrāddhaṃ YS99v_81c	adEvam Bojayet SrAdDam YS99u _81c
   adaivikāni ca punas Ang_1.681c	adEvikAni ca punar Ank _1.681c
   adaivikāni proktāni Ang_1.683c	adEvikAni proktAni Ank _1.683c
