   ||śrīḥ||	||SrIH||
   vaktra karāṅgaṃ vaktraṃ ca karaś ca aṅgam avayava rūpaṃ yatra tat tathā	vaktra kara aFgam vaktram ca karaH ca aFgam avayava rUpam yatra tat taTA
   vaktra karāḍhyam iti pāṭhe vaktrāḍhyaṃ karāḍhyaṃ cety arthaḥ | anantaraṃ	vaktra kara AXyam iti pAWe vaktra AXyam kara AXyam ca iti arTaH | anantaram
   dakṣiṇa nāsā puṭena vāyuṃ recayet lam iti pṛthvī bījaṃ pīta varṇaṃ	dakziNa nAsA  puwena vAyum recayet lam iti pRTvI  bIjam pIta varNam
   dvātriṃśad vāraṃ japan tat śarīraṃ sudṛṣṭaṃ cintayet | tad anu so 'ham ity	dvAtriMSat  vAram japan tat SarIram su dRzwam cintayet | tat  anu saH aham iti 
   ātma mantreṇa brahma randhrāj jīvaṃ hṛdayāmbhojam ānayed iti sampradāyaḥ	Atma  mantreNa brahma ranDrAt jIvam hRdaya amBojam Anayet iti sampradAyaH
   || KrdC_1.10 ||	|| Krdu _1.10 ||
   adhunā mātṛkā nyāsaṃ darśayati 	aDunA mAtRkA nyAsam darSayati 
   śiro vadana vṛtta dṛk śravaṇa ghoṇa gaṇḍoṣṭhaka 	Siro  vadana  vRtta  dRk  SravaNa  GoNa  gaNxozWaka 
   dvayeṣu sa śiromukheṣu ca iti kramād vinyaset |	dvayezu sa SiraH muKezu ca iti kramAt vinyaset |
   halaś ca kara pāda sandhiṣu tad agrakeṣv ādarāt	halaH ca kara  pAda  sanDizu tad  agrakezu AdarAt 
   sa pārśva yuga pṛṣṭha nābhy udarakeṣu yādyān atha // Krd_1.11 //	sa pArSva  yuga  pRzWa nABi  udarakezu yAdyAn aTa // KrD _1.11 //
   hṛdaya kakṣa kakut kara mūla doḥ 	hRdaya  kakza kakut kara  mUla doH 
   pada yugodara vaktrāgatān budhaḥ |	pada  yuga udara  vaktra AgatAn buDaH |
   hṛdaya pūrvam anena pathānvahaṃ	hRdaya  pUrvam anena paTA anvaham
   nyasatu śuddha kalevara siddhaye // Krd_1.12 //	nyasatu SudDa  kalevara  sidDaye // KrD _1.12 //
   atra śiraḥ śabdo lalāṭasyopalakṣakaḥ lalāṭa mukham āvṛteti śāradādarśanāt	atra SiraH  SabdaH lalAwasya upalakzakaH lalAwa  muKam AvRtA iti SArada adarSanAt 
   ekatrākṣara dvayasyāpi nyāsāpātāc ca | vadana vṛttaṃ mukha maṇḍalaṃ	ekatra akzara  dvayasya api nyAsa ApAtAt ca | vadana  vRttam muKa  maNxalam
   dṛk śravaṇa ghoṇa gaṇḍoṣṭha dantānāṃ dvayam iti samāsaḥ | dvayam iti	dRk  SravaNa  GoNa  gaNxa uzWa  dantAnAm dvayam iti samAsaH | dvayam iti
   dṛg ādāv api sarvatra sambadhyate | ghoṇā nāsikā, dad dvaye	dRS  a AdO api sarvatra sambaDyate | GoNA nAsikA, dad dvaye
   danta paṅkti dvaye ity ukteṣu sthāneṣu acaḥ ṣoḍaśa svarān	danta paFkti  dvaye iti uktezu sTAnezu acaH zoxaSa svarAn
   krameṇaikākṣara krameṇa vinyaset tathā halaś ca kādīni vyañjanāni ca tatra	krameNa eka akzara krameNa vinyaset taTA halaH ca ka AdIni vyaQjanAni ca tatra
   kādīni viṃśaty akṣarāṇi ādarāt ādara pūrvakaṃ kara pāda sandhiṣu	ka AdIni viMSati  akzarANi AdarAt Adara  pUrvakam kara  pAda  sanDizu
   tad agrakeṣu ca vinyaset | anantaraṃ ya kārādīni pañcākṣarāṇi	tad  agrakezu ca vinyaset | anantaram ya kAra AdIni paQcAkzarANi
   sa pārśva yuga pṛṣṭha nābhy udarakeṣu pārśva yugena saha vartate yat	sa pArSva  yuga  pRzWa nABi  udarakezu pArSva  yugena saha vartate yat 
   pṛṣṭha nābhy udaraṃ tatra vinyaset | tathānantaram anena	pRzWa nABi  udaram tatra vinyaset | taTA anantaram anena
   vakṣyamāṇa mārgeṇa yādyān varṇān hṛdayādi sthāna gatān atrāpi	vakzyamANa  mArgeNa yAdyAn varNAn hRdaya Adi sTAna  gatAn atra api
   kara pad yugayor udara vaktrayoś ca hṛdaya pūrvaṃ yathā syāt tathā anvahaṃ	kara  pad  yugayoH udara vaktrayoH ca hRdaya  pUrvam yaTA syAt taTA anvaham
   pratidinaṃ nyasatu | kara pad yugādīnāṃ pūrvaiḥ padaiḥ samastānām api	pratidinam nyasatu | kara  pad  yuga AdInAm pUrvEH padEH samastAnAm api
   hṛdaya pūrvam iti kriyā viśeṣaṇena saha sambandhaḥ sāpekṣatvād atrāsamāsa	hRdaya  pUrvam iti kriyA  viSezaNena saha sambanDaH sa apekza tvAt atra asamAsa
   iti tu tulya pradhāna sāpekṣa viṣayaṃ draṣṭavyam | kim arthaṃ	iti tu tulya  praDAna  sa apekza  vizayam drazwavyam | kim  arTam
   śuddha kalevara siddhaye śuddha śarīra sampādanārtham ity arthaḥ ||	SudDa  kalevara  sidDaye SudDa  SarIra  sampAdana arTam iti arTaH ||
   KrdC_1.11 12 ||	Krdu _1.11 12 ||
   ity āracayya vapur arṇa śatārdhakena	iti Aracayya vapuH arNa  Sata arDakena
   sārdha kṣapeśa sa visargaka sobhayais taiḥ |	sArDa  kza peSa  sa visarga ka sa uBayEH tEH |
   vinyasya keśava puraḥsara mūrta yuktaiḥ	vinyasya keSava  puraHsara  mUrta  yuktEH
   kīrtyādi śakti sahitair nyasatu krameṇa // Krd_1.13 //	kIrti Adi Sakti  sahitEH nyasatu krameNa // KrD _1.13 //
   atha kathayāmy arṇānāṃ mūrtīḥ	aTa kaTayAmi arNAnAm mUrtIH
   śaktīḥ samasta bhuvana mayīḥ |	SaktIH samasta Buvana  mayIH |
   keśava kīrtī nārāyaṇa kāntī	keSava  kIrtI nArAyaNa  kAntI
   mādhavas tathā tuṣṭiḥ // Krd_1.14 //	mADavaH taTA tuzwiH // KrD _1.14 //
   ity ukta prakāreṇa vapuḥ śarīram arṇa śatārdhena pañcāśad varṇaiḥ āracayya	iti ukta  prakAreNa vapuH SarIram arNa  Sata arDena paQcASat  varNEH Aracayya
   racayitvā anantaraṃ tair eva pañcāśad varṇaiḥ	racayitvA anantaram tEH eva paQcASat  varNEH
   sārdha kṣapeśa sa visargaka sobhayaiḥ | ardha kṣapeśena saha vartanta iti	sArDa  kza peSa  sa visargaka soBayEH | arDa  kzapeSena saha vartante iti
   sārdha kṣapeśāḥ ardha candra sahitāḥ taiḥ sānusvārair ity arthaḥ |	sArDa  kzapeSAH arDa  candra  sahitAH tEH sa anusvArEH iti arTaH |
   sa visargakaiḥ visarga sahitaiḥ sobhayair anusvāra visarga sahitaiḥ	sa visargakEH visarga  sahitEH sa uBayEH anusvAra  visarga  sahitEH
   vinyasya tathādau śarīra sampādanārthaṃ śuddher mātṛkākṣarair vinyasya	vinyasya taTA AdO SarIra  sampAdana arTam SudDeH mAtRkA akzarEH vinyasya
   tad anantaraṃ teṣv eva lalāṭādiṣu mātṛkā sthāneṣu aṃ nama ity ādīn kṣaṃ	tad  anantaram tezu eva lalAwa Adizu mAtRkA  sTAnezu am namaH iti AdIn kzaM
   nama ity antān, tathā aḥ nama ity ādīn kṣaḥ nama ity antān varṇān vinyased	namaH iti antAn, taTA aH namaH iti AdIn kzaH namaH iti antAn varNAn vinyaset 
   ity arthaḥ | evaṃ caturvidho mātṛkā nyāsa uktaḥ |	iti arTaH | evam caturviDaH mAtRkA nyAsaH uktaH |
   nanu, katham arṇa śatārdhakenety ukta varṇānām eka pañcāśattvād ity ucyate	nanu, kaTam arNa  Sata arDakena iti ukta  varNAnAm eka paQcASat tvAt iti ucyate
   kṣa kāreṇākṣara dvayasyaikī karaṇāt | la tvena la kāra dvayasyaikīkaraṇād	kza kAreNa akzara  dvayasya ekI karaNAt | la tvena la kAra  dvayasya ekIkaraNAt 
   vā | loka prasiddher vā prakaraṇenaika pañcāśat saṅkhyāyās tātparye	vA | loka  prasidDeH vA prakaraNena eka paQcASat  saFKyAyAH tAtparye
   'dhigate pañcāśad varṇa eva ka pañcāśat saṅkhyā para iti	aDigate paQcASat  varNaH eva ka paQcA Sat  saFKyA  paraH iti
   prapañca sāra vivaraṇe śrī premānanda bhaṭṭācārya śiromaṇayaḥ | vastutas	prapaQca  sAra  vivaraNe SrI  prema Ananda Bawwa AcArya  SiraH maNayaH | vastutas 
   tu arṇa śatārdhaṃ ca ka cārṇa śatārdhakaṃ tenākṣarāṇām eka pañcāśattvm	tu arNa Sata arDam ca kaH ca arNa Sata arDakam tena akzarANAm eka paQcASat tvm
   āyātam | asama vibhāge vā ardha śabdaḥ | keśava nyāsam āha vinyasya	AyAtam | asama  viBAge vE arDa  SabdaH | keSava nyAsam Aha vinyasya
   keśaveti | keśavaḥ puraḥsaraḥ prathamo yāsāṃ mūrtīnāṃ tāḥ tathā ca	keSava iti | keSavaH puraHsaraH praTamaH yAsAm mUrtInAm tAH taTA ca
   keśavādi mūrti sahitaiḥ kīrtyādi śakti yuktaiś ca mātṛkākṣarair	keSava Adi mUrti  sahitEH kIrti Adi Sakti  yuktEH ca mAtRkA akzarEH 
   lalāṭādiṣūkta sthāneṣu yathā kramaṃ nyāsaḥ kāryaḥ || KrdC_1.13 14 ||	lalAwa Adizu ukta  sTAnezu yaTA kramam nyAsaH kAryaH || KrdC_1.13 14 ||
   govindaḥ puṣṭi yuto viṣṇu dhṛtī sūdanaś ca madhvādyaḥ |	govindaH puzwi  yutaH vizNu  DRtI sUdanaH ca maDu AdyaH |
   śāntis trivikramaś ca kriyā yuto vāmano dayā yuktaḥ // Krd_1.15 //	SAntiH trivikramaH ca kriyA  yutaH vAmanaH dayA  yuktaH // KrD _1.15 //
   sūdanaś ca madhvādyaḥ madhusūdanaḥ ity arthaḥ // Krd_1.15 //	sUdanaH ca maDu AdyaH maDusUdanaH iti arTaH // KrD _1.15 //
   śrīdhara yutā ca medhā hṛṣīka nāthaś ca harṣayā yuktaṃ |	SrIDara  yutA ca meDA hRzIka nATaH ca harzayA yuktam |
   ambuja nābha śraddhe dāmodara saṃyutā tathā lajjā // Krd_1.16 //	ambuja  nABa  SradDe dAmodara  saMyutA taTA lajjA // KrD _1.16 //
   hṛṣīka nātho hṛṣīkeśa ity arthaḥ | ambujanābhaḥ padmanābhaḥ || KrdC_1.16	hRzIka nATaH hRzIkeSaH iti arTaH | ambujanABaH padmanABaH || KrdC_1.16
   lakṣmīḥ sa vāsudevā saṅkarṣaṇakaḥ sarasvatī yuktaḥ |	lakzmIH sa vAsudevA saFkarzaNakaH sarasvatI  yuktaH |
   prādyo dyumnaḥ prīti sameto 'niruddhako ratir imāḥ svaropetāḥ // Krd_1.17	prAdyas dyumnaH prIti  sametaH anirudDakaH ratiH imAH svara upetAH // KrD _1.17
   prādyo dyumnaḥ pradyumnaḥ || KrdC_1.17 ||	prAdyas dyumnaH pradyumnaH || KrdC_1.17 ||
   cakrijaye gadidurge śārṅgī prabhayānvitas tathā khaḍgī |	cakrijaye gadi durge SArFgI praBayA anvitaH taTA KaxgI |
   satyā śaṅkhī caṇḍā halivāṇyau musaliyug balāsinkiā // Krd_1.18 //	satyA SaFKI caNxA hali vANyO musali yuj  balA sinkiAH // KrD _1.18 //
   śūlī vijyā pāśī virajā viśānvito 'mbuśīr bhūyaḥ |	SUlI vijyA pASI virajAH viSA anvitaH ambuSIH BUyas |
   vimadā muknda yuktā nandaja sunandaje smṛtiś ca nandi yutā // Krd_1.19 //	vimadA muknda  yuktAH nanda ja sunanda je smRtiH ca nandi yutA // KrD _1.19 //
   nara ṛddhī naraka jitāsamṛddhir atha śuddhi yug ghariḥ kṛṣṇaḥ |	nara  RdDI naraka  jitA samRdDiH aTa SudDi  yuj GariH kRzNaH |
   buddhi yutaḥ satya yuta bhaktir mati yuktaḥ syāt tataḥ śauriḥ // Krd_1.20	budDi  yutaH satya  yuta BaktiH mati  yuktaH syAt tatas SOriH // KrD _1.20
   kṣamayā śūro ramayā janārdano meca bhū dharaḥ kledī |	kzamayA SUraH ramayA janArdanaH meca BU  DaraH kledI |
   viśvādya mūrti yuktā klinnā vaikuṇṭha yuk tathā vasudā // Krd_1.21 //	viSva Adya  mUrti yuktA klinnA vEkuNWa  yuj taTA vasudAH // KrD _1.21 //
   kledī kledinīty arthaḥ | chando bhaṅga bhayāt tathoktaḥ | viśvādi mūrtir	kledI kledinI iti arTaH | Cando BaFga BayAt taTA uktaH | viSva Adi mUrtiH 
   iti viśva mūrtir ity arthaḥ || KrdC_1.18 21 ||	iti viSva mUrtiH iti arTaH || KrdC_1.18 21 ||
   puruṣottamaś ca vasudhā balinā ca varā balānujopetā |	puruzottamaH ca vasuDA balinA ca varAH balAnuja upetA |
   bhūyaḥ parāyaṇākhyā bālaḥ sūkṣmā vṛṣaghna sandhye ca // Krd_1.22 //	BUyas parAyaNa AKyA bAlaH sUkzmAH vRza Gna  sanDye ca // KrD _1.22 //
   savṛṣā prajñā prabhā varāho niśā ca vimalo 'moghā |	sa vRzA prajQA praBA varAhaH niSA ca vimalaH amoGAH |
   narasiṃha vidyute ca praṇigaditā mūrtayo halāṃ śakti yutāḥ // Krd_1.23 //	narasiMha  vidyute ca praNigaditAH mUrtayaH halAm Sakti  yutAH // KrD _1.23 //
   amogheti cchedaḥ || KrdC_1.22 23 ||	amoGa iti cCedaH || KrdC_1.22 23 ||
   pūrvokta keśavādi mūrti kīrtyādi śakti nyāsa prakāraṃ darśayati 	pUrva ukta keSava Adi mUrti  kIrti Adi Sakti nyAsa  prakAram darSayati 
   varṇanuktvā sārdha candrān purastān	varNa nuktvA sArDa candrAn purastAn
   mūrtīḥ śaktīr ṅe 'vasānā natiṃ ca |	mUrtIH SaktIH Fe avasAnA natim ca |
   uktvā nyasyet yādibhi sapta dhātūn	uktvA nyasyet yAdiBi sapta DAtUn
   prāṇaṃ jīvaṃ krodham apy ātmane 'ntān // Krd_1.24 //	prANam jIvam kroDam api Atmane antAn // KrD _1.24 //
   purastāt prathamaṃ varṇān a kārādi kṣakāraāntān uktvā kathambhūtān varṇān	purastAt praTamam varNAn a kAra Adi  kza kAraa antAn uktvA kaTamBUtAn varNAn
   sārdha candrān sa bindūn anantaraṃ mūrtīḥ keśavādyāḥ śaktīḥ kīrtyādyāḥ ṅe	sArDa candrAn sa bindUn anantaram mUrtIH keSava AdyAH SaktIH kIrti AdyAH Fe
   'vasānāḥ ity ubhayena sambadhyate tan na hṛdaya grāhi prayāsatteḥ lāghavāc	avasAnAH iti uBayena sambaDyate tat na hRdaya  grAhi prayAsatteH lAGavAc
   ca aṃ keśavāya kīrtyai nama iti prayoge keśavāyety atra namaḥ padasya	ca am keSavAya kIrtyE namaH iti prayoge keSavAya iti atra namaH padasya
   yogābhāvāc caturthy anupapattiḥ na hi viṣṇave sūryāya nama iti bhavati |	yoga aBAvAt caturTI  anupapattiH na hi vizNave sUryAya namaH iti Bavati |
   bhavati ca viṣṇave namaḥ sūryāya nama iti (tathā ca keśavāya namaḥ kīrtyai	Bavati ca vizNave namaH sUryAya namaH iti (taTA ca keSavAya namaH kIrtyE
   nama iti) prayogāpattiḥ ubhayatra vā ca kāro deyaḥ samuccaya khyāpanārthaḥ	namaH iti) prayoga ApattiH uBayatra vA ca kAraH deyaH samuccaya  KyApana arTaH
   | sa śriye cāmṛtāya cetivat tathā mātṛkākṣarāṇām api ubhaya sambandhārthaṃ	| sa Sriye ca amRtAya ca iti vat taTA mAtRkA akzarANAm api uBaya  sambanDa arTam
   dviḥ prayogāpattiḥ | aṃ keśava kīrtibhyāṃ nama iti prayoge tu naite doṣāḥ	dvis   prayoga ApattiH | am keSava  kIrtiByAm namaH iti prayoge tu na ete dozAH
   patanti tatra dvandva samāsa vaśāt sahitāvasthitayor evopasthitau	patanti tatra dvandva  samAsa  vaSAt sahita avasTitayoH eva upasTitO
   caturthy arthānvaya sambhavāt varnānvaya sambhavāc ca agnīṣomayor iva	caturTI  arTa anvaya  samBavAt varna anvaya  samBavAt ca agnIzomayoH iva
   sahitāvasthitayor devatātvam | kathaṃ tarhi yādiṣu tvag ādi prayogaḥ	sahita avasTitayoH devatA tvam | kaTam tarhi yAdizu tvac  a Adi prayogaH
   kāryam ? ity ucyate yaṃ tvag ātmane puruṣottama vasudhābhyām namaḥ, raṃ	kAryam ? iti ucyate yam tu ac  a Atmane puruzottama  vasuDAByAm namaH, ram
   asṛg ātmane bali parābhyāṃ nama ity evaṃ rūpa iti | mantram	asRg a Atmane bali parAByAm namaH iti evam rUpaH iti | mantram
   uktāvali kāreṇa tathaivābhidhānāt | ātmane ity asya	ukta Avali kAreNa taTA eva aBiDAnAt | Atmane iti asya
   sub anta pratirūpaka nipātatvenādoṣād iti tu prapañca sāra vivaraṇe	sub anta  pratirUpa ka nipAta tvena adozAt iti tu prapaQca  sAra  vivaraNe
   paramānanda bhaṭṭācāryābhyāḥ | tathā ca aṃ keśava kīrtibhyāṃ nama iti	parama Ananda Bawwa AcAryAByAH | taTA ca am keSava  kIrtiByAm namaH iti
   prayogaḥ mantram	prayogaH mantram
   uktāvalī kāra laghu dīpikā kāra tripāṭhi rudropādhyāya vidyādharācārya paramānanda bhaṭṭācārya saṃmataḥ	ukta avalI kAra  laGu  dIpikA kAra tri pAWi  rudra upADyAya vidyADara AcArya  parama Ananda Bawwa AcArya  saMmataH
   | aṃ keśavāya kīrtyai nama iti prayogaḥ padmapādācārya prabhṛtīnāṃ saṃmata	| am keSavAya kIrtyE namaH iti prayogaH padma pAda AcArya  praBRtInAm saMmata
   iti | jñātvā yathā guru sampradāyaṃ vyavahartavyam iti | atraiva	iti | jQAtvA yaTA  guru  sampradAyam vyavahartavyam iti | atra eva
   nyāsa viśeṣam āha yādibhir iti ya kārādyair daśabhir akṣaraiḥ saha sapta	nyAsa  viSezam Aha ya AdiBiH iti ya kAra AdyEH daSaBiH akzarEH saha sapta
   dhātūn tvag asṛṅ māṃsa medo 'sthi majja śukrākhyān ātmane 'ntān ātmane iti	DAtUn tvac  a sRF mAMsa  medaH asTi majja  Sukra AKyAn Atmane antAn Atmane iti
   śabdaḥ ante yeṣāṃ te tathā prāṇaṃ jīvaṃ krodhaṃ ca ātmane 'ntaṃ hṛdayādiṣu	SabdaH ante yezAm te taTA prANam jIvam kroDam ca Atmane antam hRdaya Adizu
   yathā sthāneṣu vinyasyed ity arthaḥ | prāṇaṃ śaktim ity api pāṭhāntaram ||	yaTA  sTAnezu vinyasyet iti arTaH | prANam Saktim iti api pAWA antaram ||
   KrdC_1.24 ||	Krdu _1.24 ||
   keśavādi nyāse dhyānam āha udyad iti |	keSava Adi  nyAse DyAnam Aha udyat iti |
   udyat pradyotana śata ruciṃ tapta hemāvadātaṃ	udyat  pradyotana  Sata rucim tapta  hema avadAtam
   pārśva dvandve jaladhi sutayā viśva dhātryā ca juṣṭam |	pArSva dvandve jalaDi sutayA viSva DAtryA ca juzwam |
   nānā ratnollasita vividhākalpam āpīta vastraṃ	nAnA ratna ullasita viviDa Akalpam ApIta vastram
   viṣṇuṃ vande dara kamala kaumodakī cakra pāṇim // Krd_1.25 //	vizNum vande dara  kamala  kOmodakI  cakra  pANim // KrD _1.25 //
   ahaṃ viṣṇuṃ vande | kīdṛśaṃ ? udyann udayaṃ gacchan pradyotanaḥ sūryas	aham vizNum vande | kIdRSam ? udyan udayam gacCan pradyotanaH sUrya s
   tasya yac chataṃ tasyeva ruci dīptir yasya taṃ punaḥ tapteti	tasya yac Satam tasya iva ruci dIptiH yasya tam punar tapta iti
   vahni madhya nikṣipta kāñcanavad gauraṃ | punaḥ kīdṛśaṃ pārśva dvandve iti	vahni  maDya  nikzipta  kAQcana vat gOram | punar kIdRSam pArSva dvandve iti
   dakṣiṇa vāma pārśva dvaye jaladhi sutayā lakṣmyā tathā viśva dhātryā	dakziNa  vAma  pArSva  dvaye jalaDi sutayA lakzmyA taTA viSva DAtryA
   pṛthivyā juṣṭaṃ sevitam | punaḥ kimbhūtaṃ ? nānā vidha ratnena śobhito	pRTivyAH juzwam sevitam | punar kimBUtam ? nAnA  viDa  ratnena SoBitaH 
   nānā bahu prakāra ākalpo bhūṣaṇaṃ yasya | punaḥ kīdṛśaṃ ? āpīteti āsamyak	nAnA bahu  prakAraH AkalpaH BUzaNam yasya | punar kIdRSam ? ApIta iti Asamyak
   prakāreṇa pīte vastre yasya taṃ | punaḥ kīdṛśaṃ ? daraḥ śaṅkhaḥ padmaṃ	prakAreNa pIte vastre yasya tam | punar kIdRSam ? daraH SaFKaH padmam
   kamalaṃ kaumodakī gadā cakram etāni pāṇau yasya tam | atra ūrdhvādhaḥ	kamalam kOmodakI gadA cakram etAni pANO yasya tam | atra UrDva aDas 
   krameṇa vāma bhāge śaṅkha padme dakṣiṇa bhāge gadā cakre iti bodhyam ||	krameNa vAma BAge SaFKa  padme dakziNa  BAge gadA cakre iti boDyam ||
   KrdC_1.25 ||	Krdu _1.25 ||
   dhyāna nyāsayoḥ phalam āha dhyātvaivam iti |	DyAna  nyAsayoH Palam Aha DyAtvA evam iti |
   dhyātvaivaṃ parama pumāṃsam akṣarair yo	DyAtvA evam parama  pumAMsam akzarEH yaH 
   vinyasyoddinam anu keśavādi yuktaiḥ |	vinyasya uddinam anu keSava Adi  yuktEH |
   medhāyuḥ smṛti dhṛti kīrit kānti lakṣmī	meDA AyuH  smRti  DRti kIrit  kAnti lakzmI
   saubhāgyaiś ciram upabṛṃhito bhavet saḥ // Krd_1.26 //	sOBAgyEH ciram upabRMhitaH Bavet saH // KrD _1.26 //
   evam ukta prakāraṃ parama pumāṃsaṃ viṣṇuṃ dhyātvā yo 'nudinaṃ pratyahaṃ	evam ukta  prakAram parama  pu mAMsam vizNum DyAtvA yaH anudinam pratyaham
   keśavādi sahitair mātṛkākāair vinyasyet sa puruṣaḥ | medhādibhiś ciraṃ	keSava Adi  sahitEH mAtR kAkAEH vinyasyet sa puruzaH | meDA AdiBiH ciram
   bahu kālam upabṛṃhita upacito bhavati medhā dhāraṇāvatī buddhiḥ āyur	bahu kAlam upabRMhitaH upacitaH Bavati meDA DAraNAvatI budDiH AyuH 
   jīvanaṃ smṛtiḥ smaraṇaṃ dhṛtir dhairyaṃ kīrtir utkṛṣṭa karma kathā kāntiḥ	jIvanam smRtiH smaraNam DRtiH DEryam kIrtiH utkRzwa karma  kaTA kAntiH
   saundaryaṃ lakṣmīr aiśvaryaṃ saubhāgyaṃ sarva priyatvam || KrdC_1.26 ||	sOndaryam lakzmIH ESvaryam sOBAgyam sarva priya tvam || Krdu _1.26 ||
   nyāsa viśeṣam āha amum iti |	nyAsa  viSezam Aha amum iti |
   amum eva ramā puraḥ saraṃ	amum eva ramA  puraH saram
   prabhajed yo manujo vidhiṃ budhaḥ |	praBajet yaH manujaH viDim buDaH |
   samupetya ramāṃ prathīyasīṃ	samupetya ramAm praTIyasIm
   punar ante haritāṃ vrajaty asau // Krd_1.27 //	punar ante haritAm vrajati asO // KrD _1.27 //
   yaḥ paṇḍito manuṣyaḥ amum eva vidhiṃ keśavādi nyāsa prakāraṃ	yaH paNxitaH manuzyaH amum eva viDim keSa va Adi  nyAsa  prakAram
   ramā puraḥsaraṃ śrī bījam ādau dattvā prabhajet karoti asau pumān iha loke	ramA  puraHsaram SrI bIjam AdO dattvA praBajet karoti asO pumAn iha loke
   prathīyasīṃ mahatīṃ ramāṃ lakṣmīṃ samupetya prāpya punar ante avasāne	praTIyasIm mahatIm ramAm lakzmIm samupetya prApya punar ante avasAne
   haritāṃ viṣṇutvaṃ vrajati prāpnotīty arthaḥ || KrdC_1.27 ||	haritAm vizNu tvam vrajati prApnoti iti arTaH || Krdu _1.27 ||
   tattva nyāsaṃ darśayati ity acyutīty ādi |	tattva nyAsam darSayati iti acyuti iti Adi |
   ity acyutī kṛta tanur vidadhīta tattva 	iti acyutI  kRta tanuH vidaDIta tattva 
   nyāsaṃ ma pūrvaka parākṣara naty upetam |	nyAsam ma pUrva ka para akzara nati  upetam |
   bhūyaḥ parāya ca tad āhvayam ātmane ca	BUyas parAya ca tat  Ahvayam Atmane ca
   naty antam uddharatu tattva manūn krameṇa // Krd_1.28 //	nati  antam udDaratu tattva  manUn krameNa // KrD _1.28 //
   iti pūrvokta prakāreṇa acyutīkṛta tanuḥ sampādita viṣṇu śarīraḥ tattva 	iti pUrva ukta  prakAreNa acyutIkRta tanuH sampAdita  vizNu  SarIraH tattva 
   nyāsaṃ vakṣyamāṇa prakāraṃ vidadhīta kuryāt | prakāraṃ darśayati maḥ pūrvo	nyAsam vakzyamANa  prakAram vidaDIta kuryAt | prakAram darSayati maH pUrvo
   yasya sa ma pūrvaḥ | kaḥ paro yasya sa ka paraḥ | naty upetaṃ	yasya sa ma pUrvaH | kaH paraH yasya sa ka paraH | nati  upetam
   namaḥ śabda sahitam | tathā ca ma kārādi vyutkrameṇa ka kāra paryantam	namaH  Sabda  sahitam | taTA ca ma kAra Adi  vyutkrameNa ka kAra  paryantam
   ekaikākṣaraṃ namaḥ pada sahitaṃ kṛtvā bhūyo 'nantaraṃ parāyeti padaṃ	ekEka akzaram namaH pada  sahitam kRtvA BUyas anantaram parAya iti padam
   dattvā anantaraṃ tad āhvayaṃ teṣāṃ tattvānām ādvayaṃ vakṣyamāṇaṃ nāma	dattvA anantaram tat  Ahvayam tezAm tattvAnAm Advayam vakzyamANam nAma
