   Udīcya Śyāmilaka: Pāḍatāḍitaka	UdIcya ŚyAmilaka: PAxa-tAxitaka
   parihāsāvaskandena hanmi (parikramya) eṣa māṃ pratimukham evāvalokya	parihAsa-avaskandena hanmi (parikramya) eza mAm pratimuKam eva-avalokya
   prahasitaḥ haṇḍe sūryanāga, kim ayaṃ veśanavāvatāro 'ndhakāranṛttam iva	prahasitaH haNxe sUrya-nAga, kim ayam veSanava-avatAraH anDakAra-nRttam iva
   suhṛdavakṣepeṇa viphalīkriyate kiṃ bravīṣi - ka iva mamehārthaḥ ahaṃ hi	suhRdavakzepeNa viPalIkriyate kim bravIzi  kaH iva mama-iha-arTaH aham hi
   kārāyām avaruddhasya mātulasya maudgalyasya pāraśavasya	kArAyAm avarudDasya mAtulasya mOdgalyasya pAraSavasya
   [p.113] haridattasya pūrvapraṇayinīm akalyarūpām adya vārttāṃ praṣṭuṃ	[p.113] haridattasya pUrva-praNayinIm akalya-rUpAm adya vArttAm prazwum
   tenaiva prahito 'smi tvaṃ tu māṃ katham apy avagacchasīti āścaryam idaṃ hi	tena-eva prahitaH asmi tvam tu mAm kaTam api avagacCasi-iti AScaryam idam hi
   bhavataḥ suhṛdvyāpāreṣu sthairyaṃ tasyāś ca vāramukhyāyāḥ pūrvapraṇayiṣv	BavataH suhRd-vyApArezu sTEryam tasyAH ca vAramuKyAyAH pUrva-praNayizu-
   āpadgateṣv api pratipattiś ca ataś cainām	Apad-gatezu api pratipattiH ca atas ca-enAm
   89 (a) varṇānurūpojjvalacāruveṣāṃ	89 (a) varNa-anurUpa-ujjvala-cAru-vezAm
   (b) lakṣmīm ivālekhyapaṭe niviṣṭām	(b) lakzmIm iva-AleKya-pawe nivizwAm
   (c) sāpahnavāṃ kāmiṣu kāmavanto	(c) sa-apahnavAm kAmizu kAmavantaH-
   (d) 'rūpāṃ virūpām api kāmayante	(d) arUpAm virUpAm api kAmayante
   api ca - atiduṣkarakāriṇīṃ cainām avagacchāmi kutaḥ asaṃśayaṃ hi sā	api ca  ati-duzkara-kAriNIm ca-enAm avagacCAmi kutas asaMSayam hi sA
   90 (a) kārānirodhād avikāragauraṃ	90 (a) kAra-aniroDAt avikAra-gOram
   (b) devārcanājātakiṇaṃ lalāṭe	(b) deva-arcana-ajAtakiNam lalAwe
   (c) āsyaṃ bṛhacchmaśruvitānanaddhaṃ	(c) Asyam bRhat-SmaSru-vitAna-nadDam
   (d) kālāsthinirbhugnam ivāvaleḍhi	(d) kAla-asTi-nirBugnam iva-AvaleXi
   kim āha bhavān - ata evāsyām asmākam ādara iti bhavatv evam suhṛdanuraktaṃ	kim Aha BavAn  atas eva-asyAm asmAkam AdaraH iti Bavatu evam suhRd-anuraktam
   bhavantaṃ khyāpayāmo vayam eṣa	Bavantam KyApayAmaH vayam eza
   [p.114] khalu prasīdatu svāmīti pādamūlayor upagṛhṇāti kiṃ bravīṣi -	[p.114] Kalu prasIdatu svAmI-iti pAda-mUlayoH upagRhNAti kim bravIzi -
   nārhati svāmī mamaivaṃ veśapraveśaṃ kvacid api prakāśīkartum iti bho	na-arhati svAmI mama-evam veSa-praveSam kvacid api prakASIkartum iti Bo
   vayasya, kaś candrodayaṃ prakāśayati nanu yadaiva bhavāṃs tatrabhavatyā	vayasya, kaH candra-udayam prakASayati nanu yadA-eva BavAn tatraBavatyA
   rūpadāsyāḥ paricārikāṃ kubjāṃ prati baddhamadanānurāgas tadaivaitasmin	rUpa-dAsyAH paricArikAm kubjAm prati badDa-madana-anurAgaH tadA-eva-etasmin
   pradeśa udakatailabinduvṛttyā vikasitaṃ yaśo mā tāvad bhoḥ	pradeSaH udaka-tEla-bindu-vRttyA vikasitam yaSaH mA tAvat BoH
   91 (a) pariṣvaktā vakṣaḥ kṣipati gaḍunā yā 'tibṛhatā	91 (a) parizvaktA vakzaH kzipati gaxunA yA ati-bRhatA
   (b) trike bhugnā neṣṭe jaghanam upadhātuṃ samadanā	(b) trike BugnA na-izwe jaGanam upaDAtum sa-madanA
   (c) sarūpā ṭiṭṭibhyā bhavati śayitā yā ca śayane	(c) sarUpA wiwwiByA Bavati SayitA yA ca Sayane
   (d) kathaṃ tāṃ tvaṃ kubjām avanatamukhābjāṃ ramayasi	(d) kaTam tAm tvam kubjAm avanata-muKa-abjAm ramayasi
   kiṃ bravīṣi - śāntaṃ pāpaṃ śāntaṃ pāpaṃ pratihatam aniṣṭaṃ svāgatam	kim bravIzi  SAntam pApam SAntam pApam pratihatam anizwam svAgatam
   anvākhyānāya paśyatu bhavān	anvAKyAnAya paSyatu BavAn
   92 (a) savibhrāntair yātaiḥ karabhalalitaṃ yā prakurute	92 (a) sa-viBrAntEH yAtEH kara-Balalitam yA prakurute
   (b) muhur vikṣiptābhyāṃ jalam iva bhujābhyāṃ tarati yā	(b) muhur vikziptAByAm jalam iva BujAByAm tarati yA
   (c) mukhasyottānatvād gagana iva tārā gaṇayati	(c) muKasya-uttAna-tvAt gaganaH iva tArA gaNayati
   [p.115] (d) spṛśet kas tāṃ prājñaḥ kṛmijanitarogām iva latām iti	[p.115] (d) spRSet kaH tAm prAjQaH kRmi-janita-rogAm iva latAm iti
   aho dhik kaṣṭam evaṃ dharmajñasya bhavato na yuktam upayuktastrīnindāṃ	aho Dik kazwam evam Darma-jQasya BavataH na yuktam upayukta-strI-nindAm
   kartum api ca	kartum api ca
   93 (a) yady api vayasya kubjā	93 (a) yadi api vayasya kubjA
   nāḍīnalikākṛśā ca gaḍulā ca	nAxInalikA-kRSA ca gaxulA ca
   (b) asatām iva saṃprītir	(b) asatAm iva saMprItiH-
   mukharamaṇīyā bhavati yāvat	muKa-ramaNIyA Bavati yAvat-
   na ceyaṃ tābhyo 'raṇyavāsinībhyaḥ patākāveśyābhyaḥ pāpīyasī kiṃ bravīṣi -	na ca-iyam tAByaH araNya-vAsinIByaH patAkA-veSyAByaH pApIyasI kim bravIzi -
   kābhya iti kathaṃ na jānīṣe	kAByaH iti kaTam na jAnIze
   94 (a) yās tvaṃ mattāḥ kākiṇīmātrapaṇyā	94 (a) yAH tvam mattAH kAkiNI-mAtra-paNyA
   (b) nīcair gamyāḥ sopacārair niyamyāḥ	(b) nIcEs gamyAH sa-upacArEH niyamyAH
   (c) lokaiś channaṃ kāmam icchan prakāmaṃ	(c) lokEH Cannam kAmam icCan prakAmam
   (d) kāmodrekāt kāminīr yāsy araṇye	(d) kAma-udrekAt kAminIH yAsi araNye
   kiṃ bravīṣi - kutas tvayaitad upalabdham iti sahasracakṣuṣo hi vayam	kim bravIzi  kutas tvayA-etat upalabDam iti sahasra-cakzuzaH hi vayam
   īdṛśeṣu prayojaneṣu api ca padāt padam ārokṣyati bhavān	IdRSezu prayojanezu api ca padAt padam Arokzyati BavAn
   95 (a) tyaktvā rūpājīvāṃ	95 (a) tyaktvA rUpAjIvAm
   yas tvaṃ kubjāṃ vayasya kāmayase	yaH tvam kubjAm vayasya kAmayase
   (b) kubjām api hi tyaktvā	(b) kubjAm api hi tyaktvA
   [p.116] gantāsi svāminīm asyāḥ eṣa prahasya prasthitaḥ ito vayaṃ	[p.116] gantAsi svAminIm asyAH eza prahasya prasTitaH itas vayam
   sādhayāmaḥ (parikramya) aye ayam aparaḥ kaḥ siṃhalikāyā mayūrasenāyā gṛhān	sADayAmaH (parikramya) aye ayam aparaH kaH siMhalikAyAH mayUrasenAyAH gRhAn
   niṣpatya skandhavinyastanivasano vimalakuṭilāsipāṇibhir dākṣiṇātyaiḥ	nizpatya skanDa-vinyasta-nivasanaH vimala-kuwila-asi-pANiBiH dAkziNAtyEH
   parivṛto bhadrāṅkaṃ viralam uttarīyam ākarṣann āndhrakaṃ kārṣṇāyasaṃ	parivRtaH Badra-aFkam viralam uttarIyam Akarzan AnDrakam kArzNAyasam
   nivasitaḥ kuṅkumānuraktacchavis tāmbūlasamādānavyagrapāṇir ita	nivasitaH kuFkuma-anurakta=-CaviH tAmbUla-samAdAna-vyagra-pANiH ita
   evābhivartate bhavatu, dṛṣṭam eṣa hi vidarbhavāsī talavaro hariśūdraḥ bho	eva-aBivartate Bavatu, dRzwam eza hi vidarBa-vAsI talavaraH hariSUdraH Bo
   yadā tāvad ayaṃ tāṃ kāverikām anurakta iti mamaiva samakṣaṃ	yadA tAvat ayam tAm kAverikAm anuraktaH iti mama-eva samakzam
   sapādaparigraham anunayann apy uktas tayā	sa-pAda-parigraham anunayan api uktaH tayA
   96 (a) tām ehi kiṃ tava mayā	96 (a) tAm ehi kim tava mayA
   jyotsnā yadi ka iva dīpaśikhayārthaḥ	jyotsnA yadi kaH iva dIpa-SiKayA-arTaH
   (b) virama saha saṃgrahītuṃ	(b) virama saha saMgrahItum
   bilvadvayam ekahastena iti	bilva-dvayam eka-hastena iti
   tat katham aneneyam anunītā bhaviṣyati kim ayam anuraktām api tyaktvā	tat kaTam anena-iyam anunItA Bavizyati kim ayam anuraktAm api tyaktvA
   'nyāṃ prakāśaṃ kāmayata iti veśapratyakṣam ātmano daurbhāgyam ayaśasyam	anyAm prakASam kAmayate iti veSa-pratyakzam AtmanaH dOrBAgyam ayaSasyam
   iti svayam eva prasannā	iti svayam eva prasannA
   [p.117] āhosvit kāmyamānaṃ kāmayante striya iti strīsvabhāvād asyāḥ	[p.117] Ahosvit kAmyamAnam kAmayante striyaH iti strI-svaBAvAt asyAH
   saṃgharṣa utpannaḥ utāho parivyayārthakarśitayā matraivānuniyukta	saMGarzaH utpannaH uta-aho parivyaya-arTa-karSitayA matra-eva-anuniyukta
   bhaviṣyati sarvatha prakṣyamas tāvad enam (upasṛtakenāñjaliṃ kṛtva)	Bavizyati sarvaTa prakzyamaH tAvat enam (upasRtakena-aQjalim kRtva)
   97 (a) tāṃ sundarīṃ darīm iva	97 (a) tAm sundarIm darIm iva
   siṃhasya manuṣyasiṃha siṃhalikam	siMhasya manuzya-siMha siMhalikam
   (b) yuktaṃ bhavato moktuṃ	(b) yuktam BavataH moktum
   dramiḷīs uratābhilaṣeṇa	drami?IH urata-aBilazeNa
   kiṃ bravīṣi - anunītā mayā mayūrasena eṣa tasyā eva gṛhād āgacchāmīti	kim bravIzi  anunItAH mayA mayUrasenaH eza tasyAH eva gRhAt AgacCAmi-iti
   kathaya kathaya katham avaśīrṇaprāyaḥ saṃdhir anuṣṭhitaḥ kiṃ bravīṣi -	kaTaya kaTaya kaTam avaSIrNa-prAyaH saMDiH anuzWitaH kim bravIzi -
   adya tṛtīye 'hany aham api veśyādhyakṣapratihāradrauṇilakagṛhe prekṣāyām	adya tRtIye ahani aham api veSyA-aDyakza-pratihAra-drONilaka-gRhe prekzAyAm
   upanimantritas tatra ca mayūrasenāyā lāsyavāro buddhipūrvaka ity	upanimantritaH tatra ca mayUrasenAyAH lAsyavAraH budDi-pUrvakaH iti-
   avagacchāmi tataḥ prasāriteṣv ātodyeṣu devatāmaṅgalaṃ pūrvam upohya	avagacCAmi tatas prasAritezu Atodyezu devatA-maFgalam pUrvam upohya
   prastute gītake pranṛttāyāṃ nartakyāṃ prathamavastuny eva	prastute gItake pranRttAyAm nartakyAm praTama-vastuni eva
   [p.118] mayūrasenāyāḥ khalu nṛtte prayogadoṣā gṛhītā iti mā tāvad bhoḥ-	[p.118] mayUrasenAyAH Kalu nRtte prayoga-dozAH gRhItAH iti mA tAvat BoH-
   mayūrasenāyāḥ khalu nṛtte prayogadoṣā gṛhyante kasyāyam ataṭaprapātaḥ kiṃ	mayUrasenAyAH Kalu nRtte prayoga-dozAH gRhyante kasya-ayam atawa-prapAtaH kim
   bravīṣi - bhagavatyā vāruṇyā iti yuktaṃ nityasaṃnihitā bhagavatī surādevī	bravIzi  BagavatyA vAruNyAH iti yuktam nitya-saMnihitA BagavatI surA-devI
   pratihāragṛhe atha kam antarīkṛtyāyaṃ surāvibhramaḥ kiṃ bravīṣi - vayasyam	pratihAra-gRhe aTa kam antarIkRtya-ayam surA-viBramaH kim bravIzi  vayasyam
   eva te lāsakam upacandrakam iti upapannam āyatanaṃ hi sa īdṛśānām api tu	eva te lAsakam upacandrakam iti upapannam Ayatanam hi saH IdRSAnAm api tu
   sa viṣayas tasyaiṣaḥ tatas tataḥ kiṃ bravīṣi - tata upacandrapakṣe	sa vizayaH tasya-ezaH tatas tatas kim bravIzi  tatas upacandra-pakze
   sarvasāmājikajanaḥ. mayāpi mayūrasenāyāḥ pakṣaḥ parigṛhīta iti sādhu	sarva-sAmAjika-janaH. mayA-api mayUrasenAyAH pakzaH parigRhItaH iti sADu
   vayasya, deśakālaupayikam anuṣṭhitam tatas tataḥ kiṃ bravīṣi - tato na	vayasya, deSa-kAla-Opayikam anuzWitam tatas tatas kim bravIzi  tatas na
   teṣāṃ buddhiṃ paribhavāmi aparibhūtā me sadasyā āgamapradhānatayā mama	tezAm budDim pariBavAmi apariBUtAH me sadasyAH Agama-praDAna-tayA mama
   prāśnikānumate pratiṣṭhitaḥ pakṣa iti	prASnika-anumate pratizWitaH pakzaH iti
   [p.119] sādhu vayasya (em: vayasyā Ed.) ananyasādhāraṇena paṇyena krītā	[p.119] sADu vayasya (em: vayasyA Ed.) ananya-sADAraNena paNyena krItA
   tatrabhavatī tatas tataḥ kiṃ bravīṣi - tataḥ sarvagaṇikājanapratyakṣaṃ	tatraBavatI tatas tatas kim bravIzi  tatas sarva-gaNikA-jana-pratyakzam
   datte pāritoṣike mayūrasenāyāḥ smitapuraḥsareṇāpāṅgapātinā kaṭākṣeṇa	datte pAritozike mayUrasenAyAH smita-puraHsareNa-apAFga-pAtinA kawAkzeNa
   prasādita ivāsmi kāverikāyās tu punar asūyāpiśunam utthāya gacchantyā	prasAditaH iva-asmi kAverikAyAH tu punar asUyA-piSunam utTAya gacCantyA
   ākāreṇa bahūpālabdha ivāsmi tayoś ca kopaprasādayoḥ	AkAreNa bahu-upAlabDaH iva-asmi tayoH ca kopa-prasAdayoH
   pratyakṣatayobhayataṭabhraṣṭa iva saṃdehasrotasā hriyamāṇas tasmāt	pratyakza-tayA-uBaya-tawa-BrazwaH iva saMdeha-srotasA hriyamANaH tasmAt-
   saṃkaṭāt kathaṃcid gṛhān āgataḥ upaviṣṭaś ca kānayoḥ kiṃ pratipatsyata iti	saMkawAt kaTaMcid gRhAn AgataH upavizwaH ca kAnayoH kim pratipatsyate iti
   vitarkaḍolāṃ vāhayāmi tataḥ sahasaiva me priyayā sametya netre nimīlite	vitarka-xolAm vAhayAmi tatas sahasA-eva me priyayA sametya netre nimIlite
   tato vihasya mayoktā	tatas vihasya mayA-uktA
   98 (a) netranimīlananipuṇe	98 (a) netra-nimIlana-nipuNe
   kiṃ te hasitena cori gūḍhena	kim te hasitena cori gUXena
   (b) sūcayati tvā[ṃ] pāṇyor	(b) sUcayati tvA-a[M] pANyoH-
   ananyasādhāraṇaḥ sparśaḥ	ananya-sADAraNaH sparSaH
   evam uktayānayā surabhitaniḥśvāsasūcitamadaskhalitākṣaram abhihito 'ham	evam uktayA-anayA suraBita-niHSvAsa-sUcita-mada-sKalita-akzaram aBihitaH aham
   ācakṣva mā kāham iti tato mayoktā	Acakzva mA kA-aham iti tatas mayA-uktA
   99 (a) romāñcakarkaśābhyāṃ	99 (a) romAQca-karkaSAByAm
   [p.120] pratyuktāsi nanu me kapolābhyām	[p.120] pratyuktA-asi nanu me kapolAByAm
   (b) yad vadasi punar mugdhe	(b) yat vadasi punar mugDe
   svayam evācakṣva sāham iti	svayam eva-Acakzva sA-aham iti
   tata unmīlya mām uktavatī anenaiva romāñcasaṃjñakena kaitavenāyaṃ jana	tatas unmIlya mAm uktavatI anena-eva romAQca-saMjQakena kEtavena-ayam jana
   ākṛṣyata ity uktvā mā kapole cumbitvā prasthitā tato mayoktā	AkRzyate iti uktvA mA kapole cumbitvA prasTitA tatas mayA-uktA
   100 (a) cumbitenedam ādāya	100 (a) cumbitena-idam AdAya
   hṛdayaṃ kva gamiṣyasi	hRdayam kva gamizyasi
   (b) cori pādāv imau mūrdhnā	(b) cori pAdO imO mUrDnA
   dhṛtau me sthīyatāṃ nanu	DRtO me sTIyatAm nanu
   evaṃ coktā śayanam upagamyopaviṣṭā tato mayāsyāḥ svayaṃ pādau prakṣālitau	evam ca-uktA Sayanam upagamya-upavizwA tatas mayA-asyAH svayam pAdO prakzAlitO
   anayā cāsmy uktaḥ: gṛhītaṃ pādyam ehīdānīṃ kitavaḥ khalv asīti tato	anayA ca-asmi uktaH: gRhItam pAdyam ehi-idAnIm kitavaH Kalu asi-iti tatas-
   vikośamukulajālakeneva mālatīlatā vikasitenaikahastā	vikoSa-mukula-jAlakena-iva mAlatIlatA vikasitena-eka-hastA
   valambitasaraśananivasanā	valambita-saraSana-nivasanA
   paryaṅkāveṣṭanadviguṇamadhyabāhumṛṇālikātrikaparivartanasācīkṛtadarśanīyatarā	paryaFka-Avezwana-dviguNa-maDya-bAhu-mRNAlikA-trika-parivartana-sAcIkRta-darSanIyatarA
   tadānīṃ veṣṭamānamadhyaviṣamavalipranaṣṭanābhimaṇḍalaviṣamīkṛtaromarājir	tadAnIm vezwamAna-maDya-vizama-vali-pranazwa-nABi-maNxala-vizamIkRta-romarAjiH-
   [p.121] ekastanāvagalitahārāpāśritetarastanakalaśapārśvā	[p.121] eka-stana-avagalita-hAra-apa-ASrita-itara-stana-kalaSa-pArSvA
   'vagalitakapolaparyastakuṇḍalamakarādhiṣṭhitaviśeṣakakāntatareṇāṃsaparāvartaśobhināvasthānena	avagalita-kapola-paryasta-kuNxala-makara-aDizWita-viSezaka-kAntatareNa-aMsa-parAvarta-SoBinA-avasTAnena
   lajjādvitīyā ratir iva rūpiṇī samutthitaikabhrūlatikena kuvalayaśabalaṃ	lajjA-dvitIyA ratiH iva rUpiNI samutTita-eka-BrU-latikena kuvalayaSabalam
   jalam ivākirantī dṛṣṭivikṣepeṇa mam uktavatī : yat te rocata iti tato 'ham	jalam iva-akirantI dRzwi-vikzepeNa mam uktavatI : yat te rocate iti tatas aham
   āsannam ālekhyavarṇakapātraṃ gavākṣād ākṣipya caraṇanalinarāgāyopasthitaḥ	Asannam AleKya-varNaka-pAtram gavAkzAt Akzipya caraNa-nali-na-rAgAya-upasTitaH
   atha vayasya, alaktakavinyāsavinyastacakṣur	aTa vayasya, alaktaka-vinyAsa-vinyasta-cakzuH-
   utkṣiptapārṣṇigulphanūpurādhiṣṭhitajaṅghākāṇḍāyās tasyā asaṃbhuktatvād	utkzipta-pArzNi-gulPa-nUpura-aDizWita-jaFGA-kANxAyAH tasyAH asaMBukta-tvAt-
   anūrugrāhiṇo marmarasyopasaṃhārabhaṅgābhogānukāriṇaḥ kauśeyasyāsaṃyatatvād	anUru-grAhiNaH marmarasya-upasaMhAra-BaFga-ABoga-anukAriNaH kOSeyasya-asaMyata-tvAt-
   gajakalabhadaśanacchadāntaram iva kadalīgarbham iva cāntarūrum īkṣe	gaja-kalaBa-daSana=-Cada-antaram iva kadalI-garBam iva ca-antar-Urum Ikze
   īkṣamāṇaṃ cāpohyāvinītacakṣur asīty uktvā pādam ākṣipyorasi mā	IkzamANam ca-apohya-avinIta-cakzuH asi-iti uktvA pAdam Akzipya-urasi mA
   [p.122] tāḍitavati tato romāñcakavacakarkaśatvacā mayoktā: sundari,	[p.122] tAxitavati tatas romAQcakavaca-karkaSa-tvacA mayA-uktA: sundari,
   nārhasi mām asamāptarāgam avakṣeptum iti tatas tayāham uktaḥ, sādhu khalu	na-arhasi mAm asamApta-rAgam avakzeptum iti tatas tayA-aham uktaH, sADu Kalu
   nimīlitākṣaḥ samāpayainam iti tatas tasyā lākṣārasaṃ nimīlitākṣo 'rpayāmi	nimIlita-akzaH samApaya-enam iti tatas tasyAH lAkzA-rasam nimIlita-akzaH arpayAmi
   caraṇābhyāṃ sakacagraham adharoṣṭhe gṛhīto 'smi tatas tathaiva	caraNAByAm sa-kaca-graham aDarozWe gRhItaH asmi tatas taTA-eva
   vivṛtaromāñcaṃ mā samabhivīkṣyāśokasamadohalo 'si namo 'stu te śāṭhyāyeti	vivRta-romAQcam mA samaBivIkzya-aSoka-sama-dohalaH asi namaH astu te SAWyAya-iti
   māṃ pariṣvajya śayanam upagatā tataḥ paraṃ devānāṃpriya evajñāsyatīti yady	mAm parizvajya Sayanam upagatA tatas param devAnAMpriyaH eva-jQAsyati-iti yadi-
   evam arhatibhavān api tauṇḍikokiviṣṇunāgaprāyaścittārthaṃ saṃnipatitān	evam arhati-BavAn api tONxikoki-vizNu-nAga-prAyaScitta-arTam saMnipatitAn
   viṭān upasthātum kiṃ bravīṣi - śāntam etat punar api, yadi śiro me tasyāś	viwAn upasTAtum kim bravIzi  SAntam etat punar api, yadi SiraH me tasya-AS
   caraṇakamalatāḍanenānugṛhyeta tad eva me prāyaścittam iti yady evaṃ	caraNa-kamala-tAxanena-anugRhyeta tat eva me prAyaScittam iti yadi evam
   yamunāhradanilayo yadupaticaraṇāṅkitalalāṭo nāgaḥ kāliya iva	yamunA-hrada-nilayaH yadu-pati-caraNa-aFkita-lalAwaH nAgaH kAliyaH iva
   vainateyasyāvadhya idānīṃ sarvaviṭānām asi eṣa vihasyāyam añjalir iti	vEnateyasya-avaDyaH idAnIm sarva-viwAnAm asi eza vihasya-ayam aQjaliH iti
   prasthitaḥ yāvad aham api viṭasamājaṃ gacchāmi aho nu khalu	prasTitaH yAvat aham api viwa-samAjam gacCAmi aho nu Kalu
   suhṛtkathāvyagrair asmābhir atītam apy aho na vijñātaṃ saṃprati hi	suhRd-kaTA-vyagrEH asmABiH atItam api aho na vijQAtam saMprati hi
   101 (a) sotkaṇṭhair iva gacchatīti kamalair mīladbhir ālokitaḥ	101 (a) sa-utkaNWEH iva gacCati-iti kamalEH mIladBiH AlokitaH
   (b) pracchāyair adhiruhya veśmaśikharāṇy utsāryamāṇātapaḥ	(b) pracCAyEH aDiruhya veSma-SiKarANi utsAryamANa-AtapaH
   [p.123] (c) taiḥ spṛṣṭvā ciram unmukhīṣu kiraṇair udyānaśākhāsv asau	[p.123] (c) tEH spRzwvA ciram unmuKIzu kiraNEH udyAna-SAKAsu asO
   (d) yāty astaṃ valabhīkapotanayanair ākṣiptarāgo raviḥ	(d) yAti astam valaBI-kapota-nayanEH Akzipta-rAgaH raviH
   api cedānīm	api ca-idAnIm
   102 (a) prākārāgre gavākṣaiḥ patati khagarutaiḥ sūcyamāno biḍālaḥ	102 (a) prAkAra-agre gavAkzEH patati Kaga-rutEH sUcyamAnaH bixAlaH
   (b) prāsādebhyo nivṛtto vrajati samucitāṃ vāsayaṣṭiṃ mayūraḥ	(b) prAsAdeByaH nivRttaH vrajati samucitAm vAsa-yazwim mayUraH
   (c) sāṃdhyaṃ puṣpopahāraṃ pariharati mṛgaḥ sthaṇḍile svaptukāmas	(c) sAMDyam puzpa-upahAram pariharati mRgaH sTaNxile svaptu-kAma-s
   (d) toyād uttīrya cāsau bhavanakamalinīvedikāṃ yāti haṃsaḥ	(d) toyAt uttIrya ca-asO Bavana-kamalinI-vedikAm yAti haMsaH
   (parikramya)	(parikramya)
   103 (a) ete prayānti ghanatāṃ valabhīṣu dhūpā	103 (a) ete prayAnti Gana-tAm valaBIzu DUpA
   (b) vaiḍūryareṇava ivotpatitā gavākṣaiḥ	(b) vExUrya-reNavaH iva-utpatitA gavAkzEH
   (c) rathyāsu caitam avagāḍham udagram etya	(c) raTyAsu ca-etam avagAXam udagram etya
   (d) snānodakaugham anu ṣaṭcaraṇā bhramanti	(d) snAna-udaka-oGam anu zawcaraNAH Bramanti
   aho nu khalv idānīm asya saṃmṛṣṭasiktāvakīrṇakusumapradvārājirasya	aho nu Kalu idAnIm asya saMmRzwa-sikta-avakIrNa-kusuma-pradvAra-ajirasya
   prādoṣikopacāravyagraparicārakajanasya	prAdozikA-upacAra-vyagra-paricAraka-janasya
   deśavayovibhavānurūpālaṃkāravyāpṛtavāramukhyājanasya	deSa-vayaH-viBava-anurUpa-alaMkAra-vyApRta-vAra-muKyA-janasya
   pracaritamadanadūtīsaṃcāraramaṇīyasya	pracarita-madana-dUtI-saMcAra-ramaNIyasya
   pravṛttamattaviṭavidagdhaparihāsarasāntarasya	pravRtta-matta-viwa-vidagDa-parihAsa-rasa-antarasya
   snātānuliptapītapratītataruṇajanāvakīrṇacatuṣpathaśṛṅgāṭakasya	snAta-anulipta-pIta-pratIta-taruNa-jana-avakIrNa-catuzpaTa-SRFgAwakasya
   veśamahāpathasya parā srīḥ iha hi	veSa-mahApaTasya parA srIH iha hi
   104 (a) eṣā rauty upaveśitā gajavadhūr āruhyamāṇā śanair	104 (a) ezA rOti upaveSitA gaja-vaDUH AruhyamANA SanEs-
   [p.124] (b) etat kambalavāhyakaṃ pramadayā dvāḥsthaṃ samāruhyate	[p.124] (b) etat kambala-vAhyakam pramadayA dvAHsTam samAruhyate
   (c) śiñjannūpuramekhalām upavahan veśyāṃ calatkuṇḍalāṃ	(c) SiQjat-nUpura-meKalAm upavahan veSyAm calat-kuNxalAm
   (d) śroṇībhāram apārayann iva hayo gacchaty asau dhauritam	(d) SroNI-BAram apArayan iva hayaH gacCati asO DOritam
   api cāsminn imāḥ	api ca-asmin imAH
   105 (a) pradīpakaravallarījaṭilacāruvātāyanā	105 (a) pradIpa-kara-vallarI-jawila-cAru-vAtAyanA
   (b) mayūragalamecakair anusṛtās tamobhiḥ kvacit	(b) mayUra-gala-mecakEH anusRtAH tamoBiH kvacid-
   (c) vibhānti gṛhabhittayo navasudhāvadātāntarās	(c) viBAnti gRha-BittayaH nava-suDA-avadAta-antarA-as
   ( d) tamālaharitālapaṅkakṛtapattralekhā iva	( d) tamAla-haritAla-paFka-kRta-pattra-leKAH iva
   (parikramya) sarvathā ramaṇīyas tāvad ayam udbhidyamānacandrasanātha	(parikramya) sarvaTA ramaNIyaH tAvat ayam udBidyamAna-candra-sanATa
   utsavaḥ pradoṣasaṃjñako jīvalokasya saṃprati hy eṣa bhagavāṃś cakṣuṣāṃ	utsavaH pradoza-saMjQakaH jIva-lokasya saMprati hi eza BagavAn cakzuzAm
   sādhāraṇaṃ rasāyanaṃ hasitam iva kumudavāpīnām udayati śītaraśmiḥ ya eṣaḥ	sADAraNam rasAyanam hasitam iva kumuda-vApInAm udayati SIta-raSmiH yaH ezaH
   106 (a) kiṃ nīlotpalapattracakravivarair abhyeṣi mā cumbituṃ	106 (a) kim nIlotpala-pattra-cakra-vivarEH aByezi mA cumbitum
   (b) na tvāṃ paśyati rohiṇī kathaya me saṃtyajyatāṃ vepathuḥ	(b) na tvAm paSyati rohiNI kaTaya me saMtyajyatAm vepaTuH
   (c) mattānāṃ madhubhājaneṣv itikathāḥ śrotuṃ sahāsā iva	(c) mattAnAm maDu-BAjanezu iti-kaTAH Srotum sahAsAH iva
   (d) strīṇāṃ kuṇḍalakoṭibhinnakiraṇaś candraḥ samuttiṣṭhati	(d) strINAm kuNxala-kowi-Binna-kiraNaH candraH samuttizWati
   (parikramya)	(parikramya)
   107 (a) gāyaty eṣā valgu kāntadvitīyā	107 (a) gAyati ezA valgu kAnta-dvitIyA
   (b) suprakvāṇā spṛśyate 'sau vipañcī	(b) su-prakvANA spRSyate asO vipaQcI
   (c) baddhvā goṣṭhīṃ pīyate pānam etad	(c) badDvA gozWIm pIyate pAnam etat-
   (d) dharmyāgreṣu prāptacandrodayeṣu	(d) Darmya-agrezu prApta-candra-udayezu
   api cedānīm eṣa bhagavān	api ca-idAnIm eza BagavAn
   108 (a) viracayati mayūkhair dīrghikāmbhaḥsu setuṃ	108 (a) viracayati mayUKEH dIrGikA-amBaHsu setum
   [p.125] (b) visṛjati kadalīṣu svāḥ prabhādaṇḍarājīḥ	[p.125] (b) visRjati kadalIzu svAH praBA-daNxa-rAjIH
