   (Tvbh_38)	(TvB_38)
   caittānāṃ yo nirodhaḥ so 'trāsaṃjñisamāpattir ity ucyate | nirudhyate	cEttAnAm yaH niroDaH saH atra asaMjQi samApattiH iti ucyate | niruDyate
   'neneti nirodhaḥ	anena iti niroDaH
   | sa punaḥ sasaṃprayogasya manovijñānasya samudācāranirodhaḥ |	| sa punar sa saMprayogasya manaH vijQAnasya samudAcAra niroDaH |
   āśrayasyāvasthāviśeṣaḥ | sa ca samāpatticittād anantarañ	ASrayasya avasTA viSezaH | sa ca samApatti cittAt anantaraQ
   cittāntarotpattiviruddha āśrayaḥ prāpyata iti samāpattir ity ucyate |	citta antara utpatti virudDaH ASrayaH prApyate iti samApattiH iti ucyate |
   nirodhasamāpattir ākiñcanyāyatanavītarāgasya śāntavihārasaṃjñāpūrvakeṇa	niroDa samApattiH AkiQcani Ayatana vIta rAgasya SAnta vihAra saMjQA pUrvakeNa
   manasikāreṇa sasaṃprayogasya manovijñānasya kliṣṭasya ca manaso yo	manasikAreNa sa saMprayogasya manaH vijQAnasya klizwasya ca manasaH yaH 
   nirodhaḥ | iyam apy asaṃjñisamāpattivad āśrayasyāvasthāviśeṣe prajñapyate	niroDaH | iyam api asaMjQi samApatti vat ASrayasya avasTA viSeze prajQapyate
   acittakaṃ middhaṃ gāḍhamiddhopahatatvād āśrayasya tāvatkālaṃ	acittakam midDam gAXam idDa upahata tvAt ASrayasya tAvat kAlam
   manovijñānāpravṛtter acittakam ity ucyate |	manaH vijQAna apravRtteH acittakam iti ucyate |
   acittikā mūrcchā | āgantukenābhighātena vātapittaśleṣmavaiṣamyeṇa vā yad	acittikA mUrcCA | Agantukena aBiGAtena vAta pitta Slezma vEzamyeNa vA yat 
   āśrayavaiṣamyaṃ	ASraya vEzamyam
   manovijñānapravṛttiviruddhaṃ tatrācittikā mūrcchopacaryate |	manaH vijQAna pravRtti virudDam tatra acittikA mUrcCA upacaryate |
   etāḥ pañcāvasthā varjayitvā tadanyāsu sarvāsv avasthāsu	etAH paQca avasTA varjayitvA tad anyAsu sarvAsu avasTAsu
   manovijñānapravṛttir veditavyā | evam āsaṃjñikādiṣu manovijñāne niruddhe	manaH vijQAna pravRttiH veditavyA | evam AsaMjQika Adizu manaH vijQAne nirudDe
   tadapagame punaḥ kuta utpadyate yatas tasya kālakriyā na bhavati | tat	tad apagame punar kutas utpadyate yatas tasya kAla kriyA na Bavati | tat 
   punar ālayavijñānād evotpadyate | tad dhi sarvavijñānabījakam iti |	punar Alaya vijQAnAt eva utpadyate | tat Di sarva vijQAna bIjakam iti |
   yatra vijñānapariṇāme ātmadharmopacāraḥ sa punas tridhety uddiśya	yatra vijQAna pariNAme Atma Darma upacAraH sa punar triDA iti uddiSya
   vistareṇa trividho 'pi nirdiṣṭaḥ |	vistareNa triviDaH api nirdizwaH |
   (Tvbh_108)	(TvB_108)
   idānīm ātmadharmopacāro yaḥ pravartate sa vijñānapariṇāma eva na	idAnIm Atma Darma upacAraH yaH pravartate sa vijQAna pariNAmaH eva na
   vijñānapariṇāmāc ca pṛthag asty ātmā dharmā ceti yat pratijñātaṃ	vijQAna pariNAmAt ca pRTak asti AtmA DarmA ca iti yat pratijQAtam
   tatprasādhanārtham āha |	tad prasADana arTam Aha |
   vijñānapariṇāmo 'yaṃ vikalpo yad vikalpyate |	vijQAna pariNAmaH ayam vikalpaH yat vikalpyate |
   tena tan nāsti tenedaṃ sarvaṃ vijñāptimātrakam || 17	tena tat na asti tena idam sarvam vijQApti mAtrakam || 17
   iti | yo 'yaṃ vijñānapariṇāmas trividho 'nantaram abhihitaḥ so 'yaṃ	iti | yaH ayam vijQAna pariNAmaH triviDaH anantaram aBihitaH saH ayam
   vikalpaḥ | adhyāropitārthākārās traidhātukāś cittacaittā vikalpa ucyate |	vikalpaH | aDyAropita arTa AkArAH trEDAtukAH citta cEttAH vikalpaH ucyate |
   yathoktam |	yaTA uktam |
   abhūtaparikalpas tu cittacaittās tridhātukā iti |	aBUta parikalpaH tu citta cEttAH tri DAtukAH iti |
   tena trividhena vikalpenālayavijñānakliṣṭamanaḥpravṛttivijñānasvabhāvena	tena triviDena vikalpena Alaya vijQAna klizwa manaH pravRtti vijQAna svaBAvena
   sasaṃprayogeṇa yad vikalpyate bhājanam	sa saMprayogeNa yat vikalpyate BAjanam
   ātmāskandhadhātvāyatanarūpaśabdādikaṃ	AtmA skanDa DAtu Ayatana rUpa Sabda Adikam
   vastu tan nāstīty ataḥ sa vijñānapariṇāmo vikalpa ucyate |	vastu tat na asti iti atas sa vijQAna pariNAmaH vikalpaH ucyate |
   asadālambanatvāt |	asat Alambana tvAt |
   kathaṃ punar etad vijñāyate tadālambanam asad iti | yad dhi yasya kāraṇaṃ	kaTam punar etat vijQAyate tad Alambanam asat iti | yat Di yasya kAraNam
   tasmin samagre cāviruddhe ca tad utpadyate nānyathā | vijñānañ ca	tasmin samagre ca avirudDe ca tat utpadyate na anyaTA | vijQAnan ca
   māyāgandharvanagarasvapnatimirādāv asaty apyālambane jāyate | yadi ca	mAyA ganDarvanagara svapna timira AdO asati api Alambane jAyate | yadi ca
   vijñānasyālambanapratibaddha utpādaḥ syād evaṃ sati māyādiṣv arthābhāvān	vijQAnasya Alambana pratibadDaH utpAdaH syAt evam sati mAyA Adizu arTa aBAvAn
   na vijñānam utpadyate |	na vijQAnam utpadyate |
   (Tvbh_110)	(TvB_110)
   tasmāt pūrvakān niruddhāt tajjātīyavijñānād vijñānam utpadyate | na bāhyād	tasmAt pUrvakAt nirudDAt tad jAtIya vijQAnAt vijQAnam utpadyate | na bAhyAt 
   arthāt tasminn asaty api bhāvāt | dṛṣṭā cābhinne 'py arthe pratipattṝṇāṃ	arTAt tasmin asati api BAvAt | dRzwA ca aBinne api arTe pratipattLNAm
   parasparaviruddhā pratipattiḥ | na caikasya parasparaviruddhānekātmakatvaṃ	paraspara virudDA pratipattiH | na ca ekasya paraspara virudDa aneka Atmaka tvam
   yujyate | tasmād adhyāropitarūpatvād vikalpasyālambanam asad iti	yujyate | tasmAt aDyAropita rUpa tvAt vikalpasya Alambanam asat iti
   pratipattavyam |	pratipattavyam |
   anena tāvat samāropāntaṃ parihṛtyāpavādāntaparijihīrṣayā āha |	anena tAvat samAropa antam parihRtya apavAda anta pariji hIrzayA Aha |
   tenedaṃ sarvaṃ vijñāptimātrakam (17cd)	tena idam sarvam vijQApti mAtrakam (17cd)
   iti | teneti tasmāt | yasmāt pariṇāmātmakena vikalpena yad vikalpyate tena	iti | tena iti tasmAt | yasmAt pariNAma Atmakena vikalpena yat vikalpyate tena
   tan nāsti tasmād viṣayābhāvāt sarvaṃ vijñaptimātrakam | sarvam iti	tat na asti tasmAt vizaya aBAvAt sarvam vijQaptimAtrakam | sarvam iti
   traidhātukam asaṃskṛtañ ca | mātraśabdas tadadhikaviṣayavyavacchedārthaḥ |	trEDAtukam asaMskRtan ca | mAtra SabdaH tad aDika vizaya vyavacCeda arTaH |
   kakāraḥ pādapūraṇārthaḥ |	kakAraH pAda pUraNa arTaH |
   yadi sarvaṃ vijñaptimātrakam eva na tato 'nyaḥ kartā karaṇaṃ vāsti kathaṃ	yadi sarvam vijQaptimAtrakam eva na tatas anyaH kartA karaNam vA asti kaTam
   mūlavijñānād anadhiṣṭhitād asati karaṇe vikalpāḥ pravartanta ity āha |	mUla vijQAnAt anaDizWitAt asati karaNe vikalpAH pravartante iti Aha |
   sarvabījaṃ hi vijñānaṃ pariṇāmas tathā tathā |	sarva bIjam hi vijQAnam pariNAmaH taTA taTA |
   yāty anyonyavaśād yena vikalpaḥ sa sa jāyate || 18	yAti anyonya vaSAt yena vikalpaH sa sa jAyate || 18
   tatra sarvadharmotpādanaśaktyanugamāt sarvabījaṃ vijñānam ity	tatra sarva Darma utpAdana Sakti anugamAt sarva bIjam vijQAnam iti 
   ālayavijñānam | vijñānaṃ hy asarvabījam apy astīty ataḥ sarvabījam ity āha	AlayavijQAnam | vijQAnam hi asarva bIjam api asti iti atas sarva bIjam iti Aha
   | vijñānād anyad api kaiścit pradhānādi sarvabījaṃ kalpyata iti vijñānam	| vijQAnAt anyat api kEScid praDAna Adi sarva bIjam kalpyate iti vijQAnam
   ity āha | atha vā | ekapadavyabhicāre 'pi viśeṣaṇaviśeṣyatvadarśanān nāyaṃ	iti Aha | aTa vA | eka pada vyaBicAre api viSezaNa viSezya tva darSanAt na ayam
   doṣaḥ |	dozaH |
   pariṇāmas tathā tathā yāty anyonyavaśād iti | (18bc)	pariNAmaH taTA taTA yAti anyonya vaSAt iti | (18bc)
   pūrvāvasthāto 'nyathābhāvaḥ pariṇāmaḥ | tathā tatheti tasya tasya	pUrva avasTAtaH anyaTA BAvaH pariNAmaH | taTA taTA iti tasya tasya
   vikalpasyānantarotpādanasamarthāvasthāṃ prāpnotīty arthaḥ |	vikalpasya anantara utpAdana samarTa avasTAm prApnoti iti arTaH |
   (Tvbh_112)	(TvB_112)
   anyonyavaśād iti | tathā hi cakṣurādivijñānaṃ svaśaktiparipoṣe vartamāne	anyonya vaSAt iti | taTA hi cakzuH Adi vijQAnam sva Sakti paripoze vartamAne
   śaktiviśiṣṭasyālayavijñānapariṇāmasya nimittaṃ so 'pi	Sakti viSizwasya Alaya vijQAna pariNAmasya nimittam saH api
   ālayavijñānapariṇāmaś cakṣurādivijñānasya nimittaṃ bhavati | evam	Alaya vijQAna pariNAmaH cakzuH Adi vijQAnasya nimittam Bavati | evam
   anyonyavaśād yasmād ubhayaṃ pravartate tasmād ālayavijñānād	anyonya vaSAt yasmAt uBayam pravartate tasmAt Alaya vijQAnAt 
   anyenānadhiṣṭhitād anekaprakāro vikalpaḥ sa sa jāyate | tatra ca vartamāne	anyena anaDizWitAt aneka prakAraH vikalpaH sa sa jAyate | tatra ca vartamAne
   janmani yathālayavijñānāt pravṛttivijñānasyotpattir bhavati tathākhyātam |	janmani yaTA Alaya vijQAnAt pravRtti vijQAnasya utpattiH Bavati taTA AKyAtam |
   idānīṃ vijñaptimātre anāgataṃ janma vartamānajanmanirodhe sati yathā	idAnIm vijQaptimAtre anAgatam janma vartamAna janma niroDe sati yaTA
   pratisaṃdhīyate tat pradarśayann āha |	pratisaMDIyate tat pradarSayan Aha |
   karmaṇo vāsanā grāhadvayavāsanayā saha |	karmaNaH vAsanA grAha dvaya vAsanayA saha |
   kṣīṇe pūrvavipāke 'nyaṃ vipākaṃ janayanti tat || 19	kzINe pUrva vipAke anyam vipAkam janayanti tat || 19
   iti | puṇyāpuṇyāneñjyacetanā karma | tena karmaṇā yad	iti | puNya apuNyAneQjya cetanA karma | tena karmaNA yat 
   anāgatātmabhāvābhinirvṛttaye ālayavijñāne sāmarthyam āhitaṃ sā karmavāsanā	anAgata Atma BAva aBinirvRttaye AlayavijQAne sAmarTyam Ahitam sA karma vAsanA
   | grāhadvayaṃ grāhyagraho grāhakagrāhaś ca | tatra vijñānāt pṛthag eva	| grAha dvayam grAhya grahaH grAhaka grAhaH ca | tatra vijQAnAt pRTak eva
   svasantānādhyāsitaṃ grāhyam astīty adhyavasāyo grāhyagrāhaḥ | tac ca	sva santAna aDyAsitam grAhyam asti iti aDyavasAyaH grAhya grAhaH | tat ca
   vijñānena pratīyate vijñāyate gṛhyata iti yo 'yaṃ niścayaḥ sa	vijQAnena pratIyate vijQAyate gRhyate iti yaH ayam niScayaH sa
   grahakagrāhaḥ | pūrvotpannagrāhyagrāhakagrāhākṣiptam	grahaka grAhaH | pUrva utpanna grAhya grAhaka grAha Akziptam
   anāgatatajjātīyagrāhyagrāhakagrāhotpattibījaṃ grāhadvayavāsanā | tatra	anAgata tajjAtIya grAhya grAhaka grAha utpatti bIjam grAha dvaya vAsanA | tatra
   karmavāsanābhedād gatibhedenātmabhāvabhedo bījabhedād aṅkurabhedavat |	karma vAsanA BedAt gati Bedena Atma BAva BedaH bIja BedAt aFkura Beda vat |
   (Tvbh_114)	(TvB_114)
   grāhadvayavāsanā tu sarvakarmavāsanānāṃ yathāsvam ākṣiptātmabhāvotpādane	grAha dvaya vAsanA tu sarva karma vAsanAnAm yaTAsvam Akzipta Atma BAva utpAdane
   pravṛttānāṃ sahakāritvaṃ pratipadyate | tadyathā abādayo	pravRttAnAm sahakAri tvam pratipadyate | tat yaTA abAdayo
   bījasyāṅkurotpattāv iti |	bIjasya aFkura utpattO iti |
   evañ ca na kevalāḥ karmavāsanā grāhadvayavāsanānanugṛhītā vipākañ	evan ca na kevalAH karma vAsanA grAha dvaya vAsanAnanugRhItA vipAkaQ
   janayantīty uktaṃ bhavati | ata evāha | grahādvayavāsanayā saheti |	janayanti iti uktam Bavati | atas eva Aha | graha advaya vAsanayA saha iti |
   kṣīṇe pūrvavipāke 'nyaṃ vipākaṃ janayanti tad iti | (19cd)	kzINe pUrva vipAke anyam vipAkam janayanti tat iti | (19cd)
   pūrvajanmopacitena karmaṇā ya iti vipāko 'bhinirvṛttas tasmin kṣīṇa ity	pUrva janma upacitena karmaNA yaH iti vipAkaH aBinirvRttaH tasmin kzINaH iti 
   ākṣepakāle paryantāvasthite yathābalaṃ karmavāsanā grāhadvayavāsanāsahitā	Akzepa kAle paryanta avasTite yaTAbalam karma vAsanA grAha dvaya vAsanA sahitA
   upabhūktād vipākād anyaṃ vipākaṃ tad evālayavijñānaṃ janayanti |	upaBUktAt vipAkAt anyam vipAkam tat eva Alaya vijQAnam janayanti |
   ālayavijñānavyatirekeṇānyasya vipākasyābhāvāt | kṣīṇe pūrvavipāka ity	AlayavijQAna vyatirekeNa anyasya vipAkasya aBAvAt | kzINe pUrva vipAkaH iti 
   anena śāśvatāntaṃ pariharati | anyaṃ vipākaṃ janayantīty ucchedāntam |	anena SASvata antam pariharati | anyam vipAkam janayanti iti ucCeda antam |
   cakṣurādivijñānavyatiriktam ālayavijñānam asti | tad eva ca sarvabījakaṃ	cakzuH Adi vijQAna vyatiriktam Alaya vijQAnam asti | tat eva ca sarva bIjakam
   na cakṣurādivijñānam iti kuta etat | āgamād yuktitaś ca | uktaṃ hi	na cakzuH Adi vijQAnam iti kutas etat | AgamAt yuktitaH ca | uktam hi
   bhagavatābhidharmasūtre |	BagavatA aBiDarmasUtre |
   (Tvbh_116)	(TvB_116)
   anādikāliko dhātuḥ sarvadharmasamāśrayaḥ |	anAdikAlikaH DAtuH sarva Darma samASrayaH |
   tasmin sati gatiḥ sarvā nirvāṇādhigamo 'pi ca ||	tasmin sati gatiH sarvAH nirvANa aDigamaH api ca ||
   na cālayavijñānam antareṇa saṃsārapravṛttir nivṛttir vā yujyate | tatra	na ca Alaya vijQAnam antareNa saMsAra pravRttiH nivRttiH vA yujyate | tatra
   saṃsārapravṛttir nikāyasabhāgāntareṣu pratisandhibandhaḥ | nivṛttiḥ	saMsAra pravRttiH nikAya sa BAga antarezu pratisanDi banDaH | nivRttiH
   sopadhiśeṣo nirupadhiśeṣaś ca nirvāṇadhātuḥ | tatrālayavijñānād anyat	sa upaDi SezaH nirupaDi SezaH ca nirvANa DAtuH | tatra Alaya vijQAnAt anyat 
   saṃskārapratyayaṃ vijñānaṃ na yujyate | saṃskārapratyayavijñānābhāve	saMskAra pratyayam vijQAnam na yujyate | saMskAra pratyaya vijQAna aBAve
   pravṛtter apy abhāvaḥ |	pravRtteH api aBAvaH |
   saṃsārasyālayavijñānānabhyupagame pratisandhivijñānaṃ vā saṃskārapratyayaṃ	saMsArasya Alaya vijQAna anaByupagame pratisanDi vijQAnam vA saMskAra pratyayam
   parikalpyeta saṃskāraparibhāvitā vā ṣaḍ vijñānakāyāḥ | tatra ye saṃskārāḥ	parikalpyeta saMskAra pariBAvitAH vA zaw vijQAna kAyAH | tatra ye saMskArAH
   prātisaṃdhikavijñānapratyayatveneṣyante teṣāñ ciraniruddhatvān niruddhasya	prAtisaMDika vijQAna pratyaya tvena izyante tezAn cira nirudDa tvAt nirudDasya
   cāsatvād asataś ca pratyayatvābhāvān na saṃskārapratyayaṃ	ca asatvAt asataH ca pratyaya tva aBAvAt na saMskAra pratyayam
   pratisandhivijñānaṃ yujyate | pratisandhau ca nāmarūpam apy asti na	pratisanDi vijQAnam yujyate | pratisanDO ca nAma rUpam api asti na
   kevalaṃ vijñānam | tatra vijñānam eva saṃskārapratyayaṃ na nāmarūpam iti	kevalam vijQAnam | tatra vijQAnam eva saMskAra pratyayam na nAma rUpam iti
   kā tatra yuktiḥ | tasmāt saṃskārapratyayaṃ nāmarūpam iti vāktavyam | na tu	kA tatra yuktiH | tasmAt saMskAra pratyayam nAma rUpam iti vAktavyam | na tu
   vijñānam iti | (Tvbh_118) katamad anyad vijñānapratyayaṃ nāmarūpam | yad	vijQAnam iti | (TvB_118) katamat anyat vijQAna pratyayam nAma rUpam | yat 
   uttarakālam iti cet tasya prātisandhikanāmarūpāt ka ātmātiśayo yatas tad	uttarakAlam iti ced tasya prAtisanDika nAma rUpAt kaH AtmA atiSayaH yatas tat 
   eva vijñānapratyayaṃ na pūrvam | pūrvañ ca saṃskārapratyayaṃ nottaram iti	eva vijQAna pratyayam na pUrvam | pUrvan ca saMskAra pratyayam na uttaram iti
   | ataś ca saṃskārapratyayaṃ nāmarūpam evāstu kiṃ	| atas ca saMskAra pratyayam nAma rUpam eva astu kim
   pratisandhivijñānenāṅgāntareṇa parikalpitena | tasmān na	pratisanDi vijQAnena aFga antareNa parikalpitena | tasmAt na
   pratisandhivijñānaṃ	pratisanDi vijQAnam
   saṃskārapratyatyayaṃ yujyate |	saMskAra pratyatyayam yujyate |
   saṃskāraparibhāvitā vā ṣaḍvijñānakāyā api na saṃskārapratyayaṃ vijñānaṃ	saMskAra pariBAvitAH vA zaz vijQAna kAyAH api na saMskAra pratyayam vijQAnam
   yujyate | kiṃ kāraṇam | na hi vijñānaṃ vipākavāsanāṃ niṣyandavāsanāṃ vā	yujyate | kim kAraNam | na hi vijQAnam vipAka vAsanAm nizyanda vAsanAm vA
   svātmany ādhātuṃ samarthaṃ svātmani kāritravirodhāt | nāpy anāgate tasya	sva Atmani ADAtum samarTam sva Atmani kAritra viroDAt | na api anAgate tasya
   tadānutpannatvāt | anutpannasya cāsattvāt | nāpy utpanne pūrvasya tadā	tadA anutpanna tvAt | anutpannasya ca asattvAt | na api utpanne pUrvasya tadA
   niruddhatvāt | acittikāsu ca nirodhasamāpattyādyavasthāsu punaḥ	nirudDa tvAt | acittikAsu ca niroDa samApatti Adi avasTAsu punar 
   saṃskāraparibhāvitacittotpattyasaṃbhavād vijñānapratyayaṃ nāmarūpaṃ na	saMskAra pariBAvita citta utpatti asaMBavAt vijQAna pratyayam nAma rUpam na
   syāt | tadabhāvāṭ ṣaḍāyatanaṃ na syāt | evaṃ yāvaj jātipratyayaṃ	syAt | tad aBAvAt zaz Ayatanam na syAt | evam yAvat jAti pratyayam
   jarāmaraṇaṃ na syāt | tataś ca saṃsārapravṛttir eva na syāt |	jarA maraNam na syAt | tatas ca saMsAra pravRttiH eva na syAt |
   tasmād avidyāpratyayāḥ saṃskārās tadadhivāsitañ cālayavijñānaṃ	tasmAt avidyA pratyayAH saMskArAH tad aDivAsitan ca Alaya vijQAnam
   saṃskārapratyayaṃ vijñānam | tatpratyayaṃ pratisandhau nāmarūpam ity	saMskAra pratyayam vijQAnam | tad pratyayam pratisanDO nAma rUpam iti 
   eṣaiva nītir anavadyā |	ezA eva nItiH anavadyA |
   saṃsāranivṛttir api ālayavijñāne asati na yujyate | saṃsārasya hi	saMsAra nivRttiH api AlayavijQAne asati na yujyate | saMsArasya hi
   karmakleśāś ca kāraṇaṃ tayoś ca kleśāḥ pradhānam | tathā hi kleśādhipatyāt	karma kleSAH ca kAraNam tayoH ca kleSAH praDAnam | taTA hi kleSa ADipatyAt 
   karma punarbhavākṣepasamarthaṃ bhavati nānyathā | tathākṣiptapunarbhavo	karma punarBava Akzepa samarTam Bavati na anyaTA | taTA Akzipta punarBavaH 
   'pi karma kleśādhipatyād eva punarbhavo bhavati nānyathā | evañ ca kleśā	api karma kleSa ADipatyAt eva punarBavaH Bavati na anyaTA | evan ca kleSA
   eva saṃsārapravṛtteḥ pradhānatvān mūlam | atas teṣu prahīṇeṣu saṃsāro	eva saMsAra pravRtteH praDAna tvAt mUlam | atas tezu prahINezu saMsAraH 
   vinivartate nānyathā | na cālayavijñānam antareṇa tatprahāṇaṃ yujyate |	vinivartate na anyaTA | na ca Alaya vijQAnam antareNa tad prahANam yujyate |
   (Tvbh_120)	(TvB_120)
   kathaṃ punar na yujyate | saṃmukhībhūto vā kleśaḥ prahīyate bījāvastho vā	kaTam punar na yujyate | saMmuKIBUtaH vA kleSaH prahIyate bIja avasTaH vA
   | tatra saṃmukhībhūtaḥ prahīyata ity aniṣṭir eveyam |	| tatra saMmuKIBUtaH prahIyate iti anizwiH eva iyam |
   tatprahāṇamārgasthānād bījāvastho 'pi naiva prahīyate | na hi pratipakṣāt	tad prahANa mArga sTAnAt bIja avasTaH api na eva prahIyate | na hi pratipakzAt 
   tadānīṃ kiñcid anyad abhyupagamyate yatra kleśabījaṃ vyavasthitaṃ	tadAnIm kiQcid anyat aByupagamyate yatra kleSa bIjam vyavasTitam
   tatpratipakṣeṇa prahīyeta | atha pratipakṣacittam eva kleśabījānuṣaktam	tad pratipakzeNa prahIyeta | aTa pratipakza cittam eva kleSa bIja anuzaktam
   iṣyate | na hi tat kleśabījānuṣaktam eva tatpratipakṣo bhavitum arhati |	izyate | na hi tat kleSa bIja anuzaktam eva tad pratipakzaH Bavitum arhati |
   na cāprahīṇakleśabījānāṃ saṃsāranivṛttiḥ saṃbhavati | tasmād avaśyam	na ca aprahINa kleSa bIjAnAm saMsAra nivRttiH saMBavati | tasmAt avaSyam
   ālayavijñānaṃ tadanyavijñānasahabhūbhiḥ kleśopakleśair bhāvyate	AlayavijQAnam tad anya vijQAna sahaBUBiH kleSa upakleSEH BAvyate
   svabījapuṣṭyādhānata ity abhyupeyam | ye punaś cittata eva	sva bIja puzwi ADAnataH iti aByupeyam | ye punar cittataH eva
   saṃtatipariṇāmaviśeṣād yathābalaṃ vāsanāvṛttilābhe sati kleśopakleśāḥ	saMtati pariNAma viSezAt yaTAbalam vAsanA vRtti lABe sati kleSa upakleSAH
   pravartante teṣāñ cālayavijñānavyavasthitaṃ bījaṃ tatsahabhuvā	pravartante tezAn cAlaya vijQAna vyavasTitam bIjam tad sahaBuvA
   kleśapratipakṣamārgeṇāpanīyate | tasmiṃś cāpanīte na punas tenāśrayeṇa	kleSa pratipakza mArgeNa apanIyate | tasmin ca apanIte na punar tena ASrayeNa
   kleśānām utpattir iti sopadhiśeṣo nirvāṇadhātuḥ prāpyate |	kleSAnAm utpattiH iti sa upaDi SezaH nirvANa DAtuH prApyate |
   pūrvakarmākṣiptajanmanirodhe ca tato 'nyajanmāpratisaṃdhānān nirupadhiśeṣo	pUrva karma Akzipta janma niroDe ca tatas anya janma apratisaMDAnAt nirupaDi SezaH 
   nirvāṇadhātuḥ | na hi karma vidyamānam api kleśeṣu prahīṇeṣu	nirvANa DAtuH | na hi karma vidyamAnam api kleSezu prahINezu
   sahakārikāraṇabhāvāt punarbhavam abhinirvartayituṃ samartham |	sahakAri kAraNa BAvAt punarBavam aBinirvartayitum samarTam |
   evam ālayavijñāne sati saṃsārapravṛttir nivṛttiś ca nānyathety avaśyaṃ	evam Alaya vijQAne sati saMsAra pravRttiH nivRttiH ca na anyaTA iti avaSyam
   cakṣurādivijñānavyatiriktam ālayavijñānaṃ tad eva ca	cakzuH Adi vijQAna vyatiriktam AlayavijQAnam tat eva ca
   sarvadharmabījānugataṃ na cakṣurādivijñānam ity abhyupagantavyam |	sarva Darma bIja anugatam na cakzuH Adi vijQAnam iti aByupagantavyam |
   vistaravicāras tu pañcaskandhakopanibandhād veditavyaḥ ||	vistara vicAraH tu paQca skanDa kopa nibanDAt veditavyaH ||
   (Tvbh_122)	(TvB_122)
   yadi vijñaptimātram evedaṃ kathaṃ na sūtravirodhaḥ | sūtreṣu hi trayaḥ	yadi vijQaptimAtram eva idam kaTam na sUtra viroDaH | sUtrezu hi trayaH
   svabhāvā uktāḥ parikalpitaḥ paratantraḥ pariniṣpannaś ca | nāsti virodhaḥ	svaBAvAH uktAH parikalpitaH paratantraH parinizpannaH ca | na asti viroDaH
   | vijñaptimātra	| vijQaptimAtra
   eva sati svabhāvatrayavyavasthānāt | katham ity ata āha |	eva sati svaBAva traya vyavasTAnAt | kaTam iti atas Aha |
   yena yena vikalpena yad yad vastu vikalpyate |	yena yena vikalpena yat yat vastu vikalpyate |
   parikalpita evāsau svabhāvo na sa vidyate || 20	parikalpitaH eva asO svaBAvaH na sa vidyate || 20
   ādhyātmikabāhyavikalpyavastubhedena vikalpānām ānantyaṃ pradarśayann āha |	ADyAtmika bAhya vikalpya vastu Bedena vikalpAnAm Anantyam pradarSayan Aha |
   yena yena vikalpeneti |	yena yena vikalpena iti |
   yad yad vastu prakalpyate | ādhyātmikaṃ bāhyaṃ vāntaśo yāvad buddhadharmā	yat yat vastu prakalpyate | ADyAtmikam bAhyam vAntaSas yAvat budDa DarmA
   api | parikalpita evāsau svabhāva iti | atra kāraṇam āha | na sa vidyata	api | parikalpitaH eva asO svaBAvaH iti | atra kAraNam Aha | na sa vidyata
   iti |	iti |
   yad vastu vikalpyaviṣayas tad yasmāt sattābhāvān na vidyate | tasmāt tad	yat vastu vikalpya vizayaH tat yasmAt sattA BAvAt na vidyate | tasmAt tat 
   vastu parikalpitasvabhāvam eva | na hetupratyayapratibaddhasvabhāvam |	vastu parikalpita svaBAvam eva | na hetu pratyaya pratibadDa svaBAvam |
   tathā hy ekasmin vastuni tadabhāve ca	taTA hi ekasmin vastuni tad aBAve ca
   parasparaviruddhānekavikalpapravṛttir dṛṣṭā | na ca tad ekaṃ vastu	paraspara virudDa aneka vikalpa pravRttiH dRzwA | na ca tat ekam vastu
   tadabhāvo vā parasparaviruddhānekasvabhāvo yujyate | tasmāt sarvam idaṃ	tad aBAvaH vA paraspara virudDa aneka svaBAvaH yujyate | tasmAt sarvam idam
   vikalpamātram eva tadarthasya parikalpitarūpatvāt | uktaṃ ca sūtre |	vikalpa mAtram eva tad arTasya parikalpita rUpa tvAt | uktam ca sUtre |
   na khalu punaḥ subhūte dharmās tathā vidyante yathā bālapṛthagjanā	na Kalu punar suBUte DarmAH taTA vidyante yaTA bAla pRTagjanA
   abhiniviṣṭā iti |	aBinivizwAH iti |
   parikalpitānantaraṃ paratantrasvabhāvo vaktavya iti | ata āha |	parikalpita anantaram paratantra svaBAvaH vaktavyaH iti | atas Aha |
   paratantrasvabhāvas tu vikalpaḥ pratyayodbhavaḥ | 21ab	paratantra svaBAvaH tu vikalpaH pratyaya udBavaH | 21ab
   atra ca vikalpa iti paratantrasvarūpam āha | pratyayodbhava ity anenāpi	atra ca vikalpaH iti paratantra svarUpam Aha | pratyaya udBavaH iti anena api
   paratantrābhidhānapravṛttinimittam āha | tatra parikalpaḥ	paratantra aBiDAna pravRtti nimittam Aha | tatra parikalpaH
   kuśalākuśalāvyākṛtabhedabhinnās traidhātukāś cittacaittāḥ |	kuSala akuSala avyAkRta Beda BinnAH trEDAtukAH citta cEttAH |
   (Tvbh_124)	(TvB_124)
   yathoktam |	yaTA uktam |
   abhūtaparikalpas tu cittacaittās tridhātukā iti |	aBUta parikalpaH tu citta cEttAH tri DAtukAH iti |
   parair hetupratyayais tantryata iti paratantra utpādyata ity arthaḥ |	parEH hetu pratyayEH tantryate iti paratantraH utpAdyate iti arTaH |
   svato 'nyahetupratyayapratibaddhātmalābha iti yāvaduktaṃ bhavati | uktaḥ	svatas anya hetu pratyaya pratibadDa Atma lABaH iti yAvat uktam Bavati | uktaH
   paratantraḥ |	paratantraH |
