   śrīmadarcaṭaviracitā	SrImat arcawa viracitA
   tadviruddhopalambhād apasāryate | tat kim ucyate    [atyantāsaṃbha]vinaḥ	tad virudDa upalamBAt apasAryate | tat kim ucyate   [atyanta asaMBa]vinaH
   kathaṃvirodhaḥ iti | na ca sahānavasthānalakṣaṇa eva virodho yena tan	kaTaMviroDaH iti | na ca saha anavasTAna lakzaNaH eva viroDaH yena tat 
   nyāyaḥ[31]sarvatropavarṇyeta | nāpi yad yatra pratiṣidhyate tasya tatraiva	nyAyaH[31]sarvatra upavarNyeta | na api yat yatra pratiziDyate tasya tatra eva
   viro[dhaḥ prati]pattavyo yena katham asataḥ kenacid virodhagatiḥ? iti	viro[DaH prati]pattavyaH yena kaTam asataH kenacid viroDa gatiH? iti
   codyeta | na hi nātra śītasparśo 'gner iti sādhyadharmiṇy eva	codyeta | na hi na atra SIta sparSaH agneH iti sADya DarmiNI eva
   śītasparśasyāgninā virodho 'pi tu sarvatra yathā[32]tu	SIta sparSasya agninA viroDaH api tu sarvatra yaTA[32]tu
   asyānyatra[33]pratītavirodhasyāgninā sādhyadharmiṇi niṣedhaḥ tathā	asya anyatra[33] pratIta viroDasya agninA sADya DarmiNi nizeDaH taTA
   hetvābhāsatvopalambhād hetutrayabāhyeṣv artheṣu hetutvanirāsaḥ |	hetvABAsa tva upalamBAt hetu traya bAhyezu arTezu hetu tva nirAsaH |
   [atyantāsa]to 'pi ca lākṣaṇiko virodhaḥ pratīyate yathā	[ati antAsa]taH api ca lAkzaNikaH viroDaH pratIyate yaTA
   kṣaṇikatvenākṣaṇikatvasya tasya vastuni kvacid apy asambhavāt, bhāvena vā	kzaNika tvena akzaNika tvasya tasya vastuni kvacid api asamBavAt, BAvena vA
   yadvadabhāvasya sarva[śaktivirahala]kṣaṇasyety alaṃ durmativispanditeṣv	yadvat aBAvasya sarva[ Sakti viraha la]kzaNasya iti alam durmati vispanditezu 
   atyādareṇeti sthitam etat    tritve hetutvaṃ niyamyamānaṃ	ati AdareNa iti sTitam etat   tri tve hetu tvam niyamyamAnam
   [tadviparyayasyā][S. 8b.][T. 210b.] 'pi ca vyāptau satyāṃ tatra[34]niyataṃ	[tad viparyayasya a][S. 8b.][T. 210b.] api ca vyAptO satyAm tatra[34] niyatam
   bhavatīty abhiprāyavatā viparyayavyāptiṃ pradarśayitum idam uktam   	Bavati iti aBiprAyavatA viparyaya vyAptim pradarSayitum idam uktam   
   hetvābhāsa(sā)stato 'para iti |	hetvABAsa( sA)H tatas aparaH iti |
   __________NOTES__________	__________NOTEH __________
   [27]  ceti | tatra tulya     T.	[27]  ca iti | tatra tulya   T.
   [28] ekajñānasaṃsargiva[stvantaram]	[28] eka jQAna saMsargi va[H tu antaram]
   [29] hetutvam	[29] hetu tvam
   [30] hetu 	[30] hetu 
   [31] bhavato 'nybhāve 'bhāvalakṣaṇaḥ	[31] BavataH anyBAve aBAva lakzaNaH
   [32] yathāpratītasyaivāsya    T.	[32] yaTApratItasya eva asya   T.
   [33] śītasparśasya	[33] SIta sparSasya
   [34] tritve	[34] tritve
   [§ 2. trividhabāhyārthānāṃ hetvābhāsatvena vyāpteś carcā]	[§ 2. triviDa bAhya arTAnAm hetvABAsa tvena vyApteH carcA]
       tatraitat syāt    kṣaṇikavipakṣa[sya sattva]viparyayeṇa vyāptir	tatra etat syAt   kzaNika vipakza[sya sattva] viparyayeNa vyAptiH 
   bādhakapramāṇavaśād avasitā iha tu trisaṅkhyābāhyānām arthānāṃ	bADaka pramANa vaSAt avasitAH iha tu tri saFKyA bAhyAnAm arTAnAm
   hetvābhāsatvena vyāptiḥ katareṇa pramāṇenāvasitety a[trāha]   	hetvABAsa tvena vyAptiH katareNa pramANena avasitA iti a[tra aha]   
   avinābhāvaniyamāt iti | trividhahetuvyatirikte liṅgatayopagate śaṅkhyamāne	avinA aBOva niyamAt iti | triviDa hetu vyatirikte liFga tayA upagate SaFKyamAne
   vā vastuni pakṣadharmatāsadbhāve 'py avinābhāvābhāvā[d	vA vastuni pakza Darma tA sadBAve api avinA aBAva aBAvA[d
   {p. 8.1} ity arthaḥ] | tathā ca vakṣyati    na sa trividhād dhetor	{p. 8.1} iti arTaH] | taTA ca vakzyati   na sa triviDAt DetoH 
   anyatrāstīty atraiva niyata ucyata iti | avinābhāvavaikalyaṃ ca	anyatra asti iti atra eva niyataH ucyate iti | avinA aBAva vEkalyam ca
   hetvābhāsatvenāsiddhaviruddhānaikāntikasāmānya[dharme]ṇa vyāptaṃ	hetvABAsa tvena asidDa virudDa anEkAntika sAmAnya[ Darme]Na vyAptam
   prameyatvādau niścitam iti hetvābhāsatve sādhye 'vinābhāvavaikalyaṃ	prameya tva AdO niScitam iti hetvABAsa tve sADye avinA aBAva vEkalyam
   svabhāvahetuḥ |	svaBAva hetuH |
   avīnābhāvavaikalyaṃ ca trividhahetuvyatiriktatvād eva [tadanyeṣāṃ] [S.	avIna aBAva vEkalyam ca triviDa hetu vyatirikta tvAt eva [tad anyezAM] [S.
   9a.] [vyāpa]kānupalabdhitaḥ siddham | tathā hi    tādātmyatadutpattibhyām	9a.] [vyApa]ka anupalabDitaH sidDam | taTA hi   tAdAtmya tad utpattiByAm
   avinābhāvo vyāptaḥ, tayos tatrāvaśyaṃ[35]bhāvāt | tasya ca tayor eva	avinA aBAvaH vyAptaH, tayoH tatra avaSyaM[35]BAvAt | tasya ca tayoH eva
   bhāvād atatsvabhāvasyātadutpatteś ca [tadanāyattata]yā	BAvAt atad svaBAvasya Atad utpatteH ca [tadana Ayattata]yA
   tadavyabhicāraniyamābhāvāt | taduktam   	tat avyaBicAra niyama aBAvAt | tat uktam   
             kāryakāraṇabhāvād vā svabhāvād[36]  vā niyāmakāt |	kArya kAraNa BAvAt vA svaBAvAt [36]  vA niyAmakAt |
                avinābhāva[37]niyamo[38]  'darśanān[39]  na darśanāt[40]||	avinA aBAva [37]niyamaH [38]  adarSanAn [39]  na darSana at[40]||
       [avaśyaṃ bhāva]niyamaḥ kaḥ  [41]parasyānyathā[42]  paraiḥ[43]  |	[avaSyam BAva] niyamaH kaH  [41]parasya anyaTA[42]  parEH[43]  |
   ana(arthā)ntaranimitte[44]  vā dharme[45]  vāsasi [T. 211a.] rāgavat ||[PV	ana(arTa a)ntara nimitte[44]  vA Darme[45]  vAsasi [T. 211a.] rAga vat ||[PV
   I 33 34 XE "PV I 33 34"]	I 33 34 XE "PV I 33 34"]
   iti |	iti |
   rūpādinā 'pi hi rasāder avinābhāvo na sva[taḥ kintu	rUpa AdinA api hi rasa AdeH avinA aBAvaH na sva[taH kintu
   svakāra]ṇāvyabhicāradvāraka iti tatkāraṇotpattir evāvinābhāvanibandhanam |	sva kAra]NA avyaBicAra dvArakaH iti tad kAraNa utpattiH eva avinABAva nibanDanam |
   anyathā[46]tadanāyattasya[47]tatprakāraṇānāyattasya[48]vā	anyaTA a[46]tadana Ayat tasya [47] tad prakAraNAn Ayattasya[48]vA
   tenā[vinābhāvakalpa]nāyāṃ sarvasya sarvārthair avinābhāvaḥ syāt, aviśeṣāt	tena a[vinA aBAva kalpa]nAyAm sarvasya sarva arTEH avinABAvaH syAt, aviSezAt 
   | ekārthasamavāyanimitto rūparasāder avinābhāva iti cet | nanu samavāyo	| eka arTa samavAya nimittaH rUpa rasa AdeH avinA aBAvaH iti ced | nanu samavAyaH 
   'py ādhāryā[dhāra]bhūtānām upavarṇyate | sa cādhārādheyabhāvas	api ADArya a[ DAra] BUtAnAm upavarNyate | sa ca ADAra ADeya BAva H 
   tadātmānupakāre[49]'ti prasaṅgato na sidhyatīty	tad A AtmAn upakAre[49] ati prasaFgataH na siDyati iti 
   ekasāmagryadhīnataivaikārthasamavāyo[ 'vase]yaḥ | [S. 9b.] anyo vā	eka sAmagrI aDInatA eva eka arTa samavAyo[ avase]yaH | [S. 9b.] anyaH vA
   vastubhūtaḥ saṃbandho 'sambhavī	vastu BUtaH saMbanDaH asamBavI
   tathāsambandhaparīkṣāyāṃvistarataḥśāstrakṛtāpratipāditam eveti tata	taTA asambanDa parIkzAyAMvistarataH SAstra kRta apratipAditam eva iti tata
   evāvadhāryam | asa _ _ na vā	eva avaDAryam | asa _ _ na vA
   {p. 9.1} ja(nanvasaty api ja)nyajanakabhāve, tādātmye vā, tenaivāvinābhāvo	{p. 9.1} ja(nan vasati api ja)nya janaka BAve, tAdAtmye vA, tena eva avinABAvaH 
   nānyenety atra vastusvabhāvair evottaraṃ vācyam ye evaṃ bhavanti	na anyena iti atra vastu svaBAvEH eva uttaram vAcyam ye evam Bavanti
   nāsmābhiḥ, ke[valaṃ vayaṃ draṣṭāra] iti cet; ākasmikas tarhi sa vastūnāṃ	na asmABiH, ke[valam vayam drazwAra] iti cet; AkasmikaH tarhi sa vastUnAm
   svabhāva iti na kasyacin na syāt | na hy ahetor ddeśakāladravyaniyamo	svaBAvaH iti na kasyacid na syAt | na hi ahetoH ddeSa kAla dravya niyamaH 
   yuktaḥ | [tad dhi kiñcit kvacid upa]nīyeta na vā yasya yatra kiñcid	yuktaH | [tat Di kiQcid kvacid upa]nIyeta na vA yasya yatra kiQcid 
   āyattamanāyattaṃ[50]vā | anyathā viśeṣābhāvādiṣṭadeśakāladravyavad	Ayattam anAyattaM[50]vA | anyaTA viSeza aBAva Adizwa deSa kAla dravya vat 
   anyadeśādibhāvaḥ ke[na vāryeta viśeṣābhāvāt | tato ya]dyenāvinābhūtaṃ	anya deSa Adi BAvaH ke[na vAryeta viSeza aBAvAt | tatas ya]dyena avinABUtam
   dṛśyate tasya tenāvyabhicārakāraṇaṃ tattvacintakair abhidhānīyam, [T.	dRSyate tasya tena avyaBicAra kAraNam tattva cintakEH aBiDAnIyam, [T.
   211b.] na tu pādaprasārikā 'valambanīyā | tac cāvyabhicārakāraṇam [S.	211b.] na tu pAda prasArikA avalambanIyAH | tat ca avyaBicAra kAraNam [S.
   10a.] yathoktād anyan na yujyata iti tadvikalā na hetulakṣaṇabhāja iti |	10a.] yaTA uktAt anyat na yujyate iti tad vikalA na hetu lakzaNa BAjaH iti |
   tathā cāha  	taTA ca Aha  
           saṃyogyādiṣu yeṣv asti pratībandho na tādṛśaḥ|	saMyogi Adizu yezu asti pratIbanDaH na tAdRSaH|
                na te hetava [ity uktaṃ] vyabhicārasya saṃbhavāt ||	na te hetava [iti uktaM] vyaBicArasya saMBavAt ||
   [PV 4.203] iti |	[PV 4.203] iti |
   atra prayogaḥ    yasya yena saha tādātmyatadutpattī na sto na sa	atra prayogaH   yasya yena saha tAdAtmya tad utpattI na staH na sa
   tadavinābhāvī, tathā prameyatvādir anityatvādinā, na staś ca kenacit	tad avinA BAvI, taTA prameya tva AdiH anitya tva AdinA, na staH ca kenacid 
   tādātmyatadutpattī svabhāvakāryavyatirekiṇām arthānām iti	tAdAtmya tad utpattI svaBAva kArya vyatirekiNAm arTAnAm iti
   vyāpakānupalabdhiḥ | svabhāvānupalabdhis tu svabhāvahetāv antarbhāviteti	vyApaka anupalabDiH | svaBAva anupalabDiH tu svaBAva hetO antarBAvitA iti
   tasyāḥ [tādātmya]lakṣaṇa eva pratibandhaḥ | vyāpakakāraṇānupalabdhī tu	tasyAH [tAdAtmya] lakzaNaH eva pratibanDaH | vyApaka kAraNa anupalabDI tu
   tādātmyatadutpattilakṣaṇapratibandhavaśād eva vyāpyakāryor nivṛttiṃ	tAdAtmya tad utpatti lakzaNa pratibanDa vaSAt eva vyApya kAryoH nivRttim
   sādhyataḥ |	sADyataH |
       [taduktam  	[tat uktam  
                tasmā]t tanmātrasaṃbaddhaḥsvabhāvo[51] bhāvam[52] eva vā|	tasmA]t tanmAtra saMbadDaH svaBAvaH [51] BAvam[52] eva vA|
                nivartayet kāraṇaṃvākāryam avyabhicārataḥ ||  [PV 3.22] iti |	nivartayet kAraNaMvA kAryam avyaBicArataH ||  [PV 3.22] iti |
   tad evaṃ hetulakṣaṇaṃ 1 saṃkhyāniyamaḥ 2 tadupadarśa[kaṃ ca pramāṇa]m 3	tat evam hetu lakzaNam 1 saMKyA niyamaH 2 tad upadarSa[kam ca pramANa]m 3
   atra [S. 10b.] śloke nirdiṣṭam iti |	atra [S. 10b.] Sloke nirdizwam iti |
   __________NOTES__________	__________NOTEH __________
   [35] avinābhāve	[35] avinA aBAve
   [36] tādātmyāt	[36] tAdAtmyAt 
   [37] sādhyena	[37] sADyena
   [38] sādhanasya	[38] sADanasya
   [39] vipakṣe	[39] vipakze
   [40] sapakṣe	[40] sa pakze
   [41] sādhanasya	[41] sADanasya
   [42] tādātmyatadutpattyabhāve	[42] tAdAtmya tad utpatti aBAve
   [43] sādhye	[43] sADye
   [44] mudgarādi 	[44] mudgara Adi 
   [45] nityatvādike	[45] nitya tva Adike
   [46] ekasāmagrīpratibandhābhāve	[46] eka sAmagrI pratibanDa aBAve
   [47] sādhyānāyattasya	[47] sADyAn Ayattasya
   [48] sādhyakāraṇānāyattasya	[48] sADya kAraNAn Ayattasya
   [49] ādheyasya rūparasāder anupakāre	[49] ADeyasya rUpa rasa AdeH anupakAre
   [50] pratibaddham	[50] pratibadDam
   [51] anityādikaḥ	[51] anitya AdikaH
   [52] vyāpyaṃ kṛtakatvādikam	[52] vyApyam kRtaka tva Adikam
   [§ 3. avinābhāvaniyamādityasya prakārāntareṇa vyākhyānam |]	[§ 3. avinA aBO= a niyama Adityasya prakAra antareNa vyAKyAnam |]
   athavā `tridhaiva saḥ' iti sa pakṣadharmas triprakāra eva	aTavA `triDA eva saH a iti sa pakza DarmaH tri prakAraH eva
   svabhāvakāryānupalambhākhyas tadaṃśena vyāpto nānyaḥ | [sa] triprakāras	svaBAva kArya anupalamBa AKyaH tad aMSena vyAptaH na anyaH | [sa] tri prakAraH 
   {p. 10.1} tadaṃśena vyāpta eveti sambhandhaḥ | kiṃ kāraṇam? |	{p. 10.1} tad aMSena vyAptaH eva iti samBanDaH | kim kAraNam? |
   avinābhāvaniyamāt | avinābhāvasya    vyāpteḥ | trividha eva pakṣadharme	avinA aBO= a niyamAt | avinA aBAvasya   vyApteH | triviDaH eva pakza Darme
   niyamāt | trividhasya ca pakṣadharmasyāvinābhāvaniyamāt | tena ca	niyamAt | triviDasya ca pakza Darmasya avinABAva niyamAt | tena ca
   [sva]bhāvakāryānupalambhātmakatrividhapakṣadharmavyatiriktā [T. 212a.] na	[sva]BAva kArya anupalamBa Atmaka triviDa pakza Darma vyatiriktA [T. 212a.] na
   tadaṃśena vyāptā iti | trividhaś ca kāryasvabhāvānupalabdhirūpaḥ	tad aMSena vyAptAH iti | triviDaH ca kArya svaBAva anupalabDi rUpaH
   pakṣadharmas tadaṃśena vyāpta eveti na tasyāhetutvam ity uktaṃ bhavati |	pakza DarmaH tad aMSena vyAptaH eva iti na tasya ahetu tvam iti uktam Bavati |
   tatas trividhahetubāhyeṣv avi[nābhāvābhā]vād dhetuvyavahāraṃ kurvantaḥ,	tatas triviDa hetu bAhyezu avi[na aBAva aBA]vAt Detu vyavahAram kurvantaH,
   trividhe ca hetāv avinābhāvasyāvaśyam bhāvā[bhāvā]d ahetutvam	triviDe ca hetO avinA aBO= asya avaSyam BAvA[ BAvA]t ahetu tvam
   ācakṣāṇā[53]nirastā bhavati | [S. 11a.]	AcakzANa a[53]nirastA Bavati | [S. 11a.]
   __________NOTES__________	__________NOTEH __________
   [53] cārvākāḥ	[53] cArvAkAH
   [§ 4. hetvābhāsālakṣaṇānabhidhānepi tatsūcanam |]	[§ 4. hetvABAsA lakzaNAn aBiDAna ipi tad sUcanam |]
   tatraitat syāt    hetvābhāsānām api [lakṣaṇam a]bhidhānīyaṃ tatra śiṣyāṇāṃ	tatra etat syAt   hetvABAsAnAm api [lakzaNam a]BiDAnIyam tatra SizyANAm
   hetuvyavahāranivṛttaya ity āha hetvābhāsās tato 'para iti | tataḥ	hetu vyavahAra nivRttayaH iti Aha hetvABAsAH tatas aparaH iti | tatas 
   pakṣadharmas tadaṃśena vyāpta iti hetulakṣaṇād apare a[nye	pakza DarmaH tad aMSena vyAptaH iti hetu lakzaNAt apare a[nye
   ta]llakṣaṇavikalā hetvābhāsā gamyanta eveti na tallakṣaṇam ucyate | tathā	ta]t lakzaNa vikalAH hetvABAsAH gamyante eva iti na tad lakzaNam ucyate | taTA
   hi    pakṣadharmaḥ ity ukte yatra pakṣadharmatā nāsti na sa hetuḥ |	hi   pakza DarmaH iti ukte yatra pakza Darma tA na asti na sa hetuH |
   tadaṃśena vyāptaḥ iti vacane yatra tadaṃśavyāptiviraho viparyayavyāpter	tad aMSena vyAptaH iti vacane yatra tad aMSa vyApti virahaH viparyaya vyApteH 
   vyāpakasya vā tatrāvaśyam bhāvābhāvāt, te heturūpavikalatayā hetvābhāsāḥ	vyApakasya vA tatra avaSyam BAva aBAvAt, te hetu rUpa vikala tayA hetvABAsAH
   asiddhaviruddhānaikāntikā gamyanta eva | tathā hi    yallakṣaṇo[54]yo	asidDa virudDa anEkAntikAH gamyante eva | taTA hi   yat lakzaNaH [54]yaH 
   'rthaḥ śiṣyasya vyutpāditaḥ tallakṣaṇavirahite na tadvyavahāraṃ svayam eva	arTaH Sizyasya vyutpAditaH tad lakzaNa virahite na tad vyavahAram svayam eva
   pravartayiṣyati a[tadrūpa]parihārenaiva tadrūpapratipattor iti na tatra	pravartayizyati a[tad rUpa] parihArena eva tad rUpa pratipattoH iti na tatra
   yatnaḥ phalavān bhavati | [S. 11b.] yat tv anyatra hetvābhāsavyutpādanaṃ	yatnaH PalavAn Bavati | [S. 11b.] yat tu anyatra hetvABAsa vyutpAdanam
   tanmandabuddhīnadhikṛtya | idaṃ tu prakaraṇaṃ vipulamatīn uddiśya praṇītam	tad manda budDIn aDikRtya | idam tu prakaraNam vipula matIn uddiSya praNItam
   saṃkṣepataḥ iti vacanāt | [T. 212b.] ta eva hi saṃkṣepoktaṃ yathāvad	saMkzepataH iti vacanAt | [T. 212b.] te eva hi saMkzepa uktam yaTAvat 
   avagantuṃ kṣamāḥ na mandamatayaḥ, teṣāṃ vistarābhidhānam antareṇa yathāvad	avagantum kzamAH na manda matayaH, tezAm vistara aBiDAnam antareNa yaTAvat 
   arthapratipatter abhāvāt | ata evārthākṣiptopanyāsapūrvakam eva	arTa pratipatteH aBAvAt | atas eva arTa Akzipta upanyAsa pUrvakam eva
   hetvābhāsalakṣaṇaṃ tatropavarṇitam iti | tadatra vyākhyāne hetulakṣaṇaṃ 1	hetvABAsa lakzaNam tatra upavarNitam iti | tat atra vyAKyAne hetu lakzaNam 1
   {p. 11.1} hetusāmkhyāniyamaḥ 2 tasya ca trividhasya hetutvāvadhāraṇaṃ 3	{p. 11.1} hetu sAmKyA niyamaH 2 tasya ca triviDasya hetu tva avaDAraNam 3
   tadubhayakāraṇaṃ[55]śliṣṭanirdeśā[t 4 5]	tad uBaya kAraNaM[55] Slizwa nirdeSA[t 4 5]
   hetvābhāsalakṣaṇānabhidhānakāraṇaṃ 6 ceti ṣaḍarthāḥ śloke 'tra nirdiṣṭā	hetvABAsa lakzaNa anaBiDAna kAraNam 6 ca iti zaz arTAH Sloke atra nirdizwA
   iti |	iti |
       kiñcid    idam api sādhu dṛśyate    tridhaiva	kiQcid   idam api sADu dRSyate   triDA eva
   kāryasvabhāvānupalabdhi[bheda]bhinnaḥ sa hetuḥ | tathā, tridhaiva	kArya svaBAva anupalabDi[ Beda] BinnaH sa hetuH | taTA, triDA eva
   pakṣadharmānvayavyatirekarūpabhedāt triprakāra eva trirūpa eva | [S. 12a.]	pakza Darma anvaya vyatireka rUpa BedAt tri prakAraH eva trirUpaH eva | [S. 12a.]
   tadaṃśavyāptivacanenānvayavyatirekayor abhidhānāt |	tad aMSa vyApti vacanena anvaya vyatirekayoH aBiDAnAt |
   nābādhitaviṣayatvādirūpāntarayogy api sa hetuḥ | kutaḥ? yataḥ	na AbADita vizaya tva Adi rUpa antara yogI api sa hetuH | kutas ? yatas 
   _{1}hetvābhāsās tato 'pare _{2}tataḥ trividhāt savabhā[vā]deḥ,	_{1}hetvABAsAH tatas apare _{2}tataH triviDAt savaBA[ vA]deH,
   pakṣadharmādirūpatrayayogino vā apare anye saṃyogyādayo	pakza Darma Adi rUpa traya yoginaH vA apare anye saMyogyAdayaH 
   'bādhitaviṣayatvādivyatiriktarūpavanto vā | kasmād? | avinābhāvasya	abADita vizaya tva Adi vyatirikta rUpavantaH vA | kasmAd? | avinA aBAvasya
   atraiva trividha eva trirūpa eva ca hetau niyamād anyatra	atra eva triviDaH eva trirUpaH eva ca hetO niyamAt anyatra
   svabhāvādivyatirikta(kte) rūpāntarasambhavini vā avinābhāvābhāvād ity	svaBAva Adi vyatirikta (kte) rUpa antara samBavini vA avinA aBAva aBAvAt iti 
   arthaḥ | na hi svabhāvādivya[ti]rikte pratibandhanibandhanasyā	arTaH | na hi svaBAva Adi vya[ti]rikte pratibanDa nibanDanasya a
   'vinābhāvasya saṃbhavaḥ tadvati vā rūpāntarasya | tathā cā(ca)	avinA BAvasya saMBavaH tadvati vA rUpa antarasya | taTA ca a(ca)
   satyevāvinābhāve rūpā[T. 213a.]ntarasya na sambhavas tathā ṣaḍlakṣaṇa	sati eva avinA aBAve rUpa a[T. 213a.]ntarasya na samBavaH taTA zaz lakzaNa
   ityādinā vakṣyati |	ityAdinA vakzyati |
   __________NOTES__________	__________NOTEH __________
   [54] yadrūpa 	[54] yat rUpa 
   [55] tasyomayasya hetusaṃkhyāniyamasya hetutvāvadhāraṇasya kāraṇaṃ	[55] tasyaH mayasya hetu saMKyA niyamasya hetu tva avaDAraNasya kAraNam
   avinābhāvaniyama ity eta .........	avinA aBO= a niyamaH iti ete .........
   [ § 5. diṅnāgānusāreṇa pakṣaśabdasya dharmimātraparatvam |]	[ § 5. diFnAga anusAreNa pakza Sabdasya Darmi mAtra paratvam |]
       pakṣadharmaḥ ity atra hetulakṣaṇe 'pi kriyamāṇe yadi samudāyaḥ	pakza DarmaH iti atra hetu lakzaNe api kriyamANe yadi samudAyaH
   pakṣe(kṣo) gṛhyate yo 'numānaviṣayas tadā sarvo hetur asiddhaḥ, siddhau vā	pakze(kzo) gRhyate yaH anumAna vizayaH tadA sarvaH hetuH asidDaH, sidDO vA
   'numānavaiyarthyam ity āha pakṣo dharmī iti | kathaṃ punaḥ samudāyavacanaḥ	anumAna vEyarTyam iti Aha pakzaH DarmI iti | kaTam punar samudAya vacanaH
   [S. 12b.] pakṣaśabdo dharmimātre vartata iti cet? avayave samudāyopacārāt	[S. 12b.] pakza SabdaH Darmi mAtre vartate iti cet? avayave samudAya upacArAt
   | pakṣākhyasya hi samudāyasya dvāv avayavau dharmī, dharmaś ca | tad atra	| pakza AKyasya hi samudAyasya dvO avayavO DarmI, DarmaH ca | tat atra
   dharmimātre samudāyopacārāt pakṣaśabdo vartate | tadekadeśatvaṃ[56]ca	Darmi mAtre samudAya upacArAt pakza SabdaH vartate | tad eka deSa tvaM[56]ca
   samudāyopacāranimittam iti na sādhyadharmiṇo 'nyatra tatprasaṅgaḥ |	samudAya upacAra nimittam iti na sADya DarmiNaH anyatra tad prasaFgaH |
   taduktam   	tat uktam   
   samudāyasya sādhyatvāt dharmamātre [ca] dharmiṇi |	samudAyasya sADya tvAt Darma mAtre [ca] DarmiNi |
   amukhye 'py ekadeśatvāt sādhyatvam upacaryate || iti | PS III 9 (cf.	amuKye api eka deSa tvAt sADya tvam upacaryate || iti | PS III 9 (cf.
   HB_transl 83^5)	HB_tran st 83^5)
   __________NOTES__________	__________NOTEH __________
   [56] yasya hi ya ekadeśas tatra tādrūpyopacāraḥ, na hi paṭasyaikadeśe	[56] yasya hi yaH eka deSaH tatra tAdrUpya upacAraH, na hi pawasya eka deSe
   dagdhe kambalo dagdha ity upacāraḥ	dagDe kambalaH dagDaH iti upacAraH
   {p.12.1}[§ 6. diṅnāgavyākhyāne īśvarasenākśepas taduddhāraś ca |]	{p.12.1}[§ 6. diFnAga vyAKyAne ISvarasenAk SepaH tad udDAraH ca |]
   tad etadācāryīyaṃvyākhyānamīśvarasenenākṣiptaṃ parihartuṃ pūrvapakṣayann	tat etat AcAryIyaMvyAKyAnam ISvarasenena Akziptam parihartum pUrva pakzayan= 
   āha   prayo[jane]ty ādinā |	Aha    prayo[jana i]ti AdinA |
   na rtte prayojanādiṣṭraṃ(ṣṭaṃ) mukhyaśabdārthalaṅghanam | PS III 39cd (cf.	na rtte prayojana At izwraM(zwan) muKya Sabda arTa laFGanam | PS III 39cd (cf.
