   akartṛtvam abhoktṛtvaṃ Avg_18.51a	akartR-tvam aBoktR-tvam Avc-_18.51a
   sarva-saṅkalpa-sīmāyāṃ Avg_18.14c	sarva--saFkalpa--sImAyAm Avc-_18.14c
   sarvārambheṣu niṣkāmo Avg_18.64a	sarva-AramBezu nizkAmaH Avc-_18.64a
   sallakī-pallava-prītam Avg_17.3c	sallakI--pallava--prItam Avk-_17.3c
   saśarīram aho viśvaṃ Avg_2.3a	sa-SarIram aho viSvam Avc-_2.3a
   sa-śarīram idaṃ viśvaṃ Avg_2.19a	sa--SarIram idam viSvam Avc-_2.19a
   sa śītala-manā nityaṃ Avg_18.22c	sa SItala-manAH nityam Avc-_18.22c
   saṃpatsu ca vipatsu ca Avg_17.15b	saMpatsu ca vipatsu ca Avc-_17.15b
   saṃyogāyoga-virahād Avg_13.4c	saMyoga-ayoga--virahAt Avc-_13.4c
   saṃsaktasyāpi naṣṭāni Avg_10.6c	saMsaktasya-api nazwAni Avk-_10.6c
   saṃsarann api śobhate Avg_18.26d	saMsaran api SoBate Avc-_18.26d
   saṃsāra-viṭapāṅkuraḥ Avg_16.7b	saMsAra--viwapa-aFkuraH Avc-_16.7b
   saṃsāraṃ viddhi tatra vai Avg_10.3b	saMsAram vidDi tatra vE Avc-_10.3b
   saṃstave cāpi nindāyāṃ Avg_3.10c	saMstave ca-api nindAyAm Avc-_3.10c
   sākāram anṛtaṃ viddhi Avg_1.18a	sa-AkAram anRtam vidDi Avc-_1.18a
   sādhūnāṃ yogināṃ tathā Avg_9.5b	sADUnAm yoginAm taTA Avc-_9.5b
   sādhyādarśī nirāyāsaḥ Avg_11.4c	sADya-AdarSI nirAyAsaH Avc-_11.4c
   sādhyābhāvāt karoti kim Avg_18.17d	sADya-aBAvAt karoti kim Avc-_18.17d
   sānurāgāṃ striyaṃ dṛṣṭvā Avg_17.14a	sa-anurAgAm striyam dRzwvA Avc-_17.14a
   sāhaṅkāro 'nahaṃkṛtiḥ Avg_18.95d	sa-ahaFkAraH anahaMkRtiH Avc-_18.95d
   siddhir yatnavato na vā Avg_13.6b	sidDiH yatnavataH na vA Avc-_13.6b
   sukṛtenāpi karmaṇā Avg_10.7b	sukRtena-api karmaNA Avc-_10.7b
   sukha-duḥkhe janma-mṛtyū Avg_11.4a	suKa--duHKe janma--mRtyU Avk-_11.4a
   sukham āyāti yāti ca Avg_18.59b	suKam AyAti yAti ca Avc-_18.59b
   sukham āste sukhaṃ śete Avg_18.59a	suKam Aste suKam Sete Avc-_18.59a
   sukhaṃ nānyasya kasyacit Avg_16.4d	suKam na-anyasya kasyacid Avc-_16.4d
   sukhaṃ vakti sukhaṃ bhuṅkte Avg_18.59c	suKam vakti suKam BuFkte Avk-_18.59c
   sukhādi-rūpā niyamaṃ Avg_13.7a	suKa-Adi-rUpAH niyamam Avc-_13.7a
   sukhe duḥkhe nare nāryāṃ Avg_17.15a	suKe duHKe nare nAryAm Avc-_17.15a
   sukhenaivopaśāmyati Avg_11.1d	suKena-eva-upaSAmyati Avc-_11.1d
   suptavat sva-pade sthitāḥ Avg_18.33d	supta-vat sva-pade sTitAH Avc-_18.33d
   supto 'pi na suṣuptau ca Avg_18.94a	suptaH api na suzuptO ca Avc-_18.94a
   subhinna-hṛdaya-granthir Avg_18.88c	su-Binna--hRdaya-granTiH Avc-_18.88c
   sendriyo 'pi nirindriyaḥ Avg_18.95b	sa-indriyaH api nirindriyaH Avc-_18.95b
   sevante kṛta-cāṭavaḥ Avg_18.46d	sevante kRta--cAwavaH Avc-_18.46d
   so 'ham asmi nirañjanaḥ Avg_2.15d	saH aham asmi niraQjanaH Avk-_2.15d
   so 'ham asmīti vijñāya, Avg_3.3c	saH aham asmi-iti vijQAya, Avc-_3.3c
   so 'haṃ brahmeti cintayet Avg_18.16b	saH aham brahma-iti cintayet Avc-_18.16b
   sthitir adya yathā tathā Avg_9.8d	sTitiH adya yaTA taTA Avc-_9.8d
   sthitir dhīrasya rājate Avg_18.52b	sTitiH DIrasya rAjate Avc-_18.52b
   sparśo hy antar na jāyate Avg_4.3b	sparSaH hi antar na jAyate Avc-_4.3b
   spṛhā jīvati yāvad vai Avg_16.7c	spRhA jIvati yAvat vE Avc-_16.7c
   sphurato 'nanta-rūpeṇa Avg_18.72a	sPurataH ananta--rUpeNa Avc-_18.72a
   svacchandaṃ carato deśān Avg_18.85c	svacCandam carataH deSAn Avk-_18.85c
   svacchando mukta-bandhanaḥ Avg_18.21b	svacCandaH mukta--banDanaH Avc-_18.21b
   svapato nāsti me hāniḥ Avg_13.6a	svapataH na-asti me hAniH Avc-_13.6a
   svapna-jāḍya-vivarjitaḥ Avg_17.20b	svapna--jAxya--vivarjitaH Avc-_17.20b
   svapnavad bhavati bhramaḥ Avg_18.1b	svapna-vat Bavati BramaH Avk-_18.1b
   svapnendra-jālavat paśya Avg_10.2a	svapna-indra--jAla-vat paSya Avc-_10.2a
   svapne 'pi śayito na ca Avg_18.94b	svapne api SayitaH na ca Avc-_18.94b
   sva-prakāśo nirañjanaḥ Avg_1.15b	sva--prakASaH niraQjanaH Avc-_1.15b
   svabhāva-bhūmi-viśrānti- Avg_18.86c	svaBAva--BUmi-viSrAnti Avc-_18.86c
   sva-bhāvād iti niścayī Avg_11.1b	sva-BAvAt iti niScayI Avc-_11.1b
   svabhāvād eva jānāno Avg_3.13a	svaBAvAt eva jAnAnaH Avk-_3.13a
   svabhāvād yasya naivārtir Avg_18.60a	svaBAvAt yasya na-eva-ArtiH Avc-_18.60a
   svabhāvenaiva śāmyati Avg_18.70d	svaBAvena-eva SAmyati Avc-_18.70d
   svamahimni sthitasya me Avg_19.2d	sva-mahimni sTitasya me Avc-_19.2d
   svamahimni sthitasya me Avg_19.3d	sva-mahimni sTitasya me Avc-_19.3d
   svamahimni sthitasya me Avg_19.4d	sva-mahimni sTitasya me Avc-_19.4d
   svamahimni sthitasya me Avg_19.5d	sva-mahimni sTitasya me Avc-_19.5d
   svamahimni sthitasya me Avg_19.6d	sva-mahimni sTitasya me Avc-_19.6d
   svamahimni sthitasya me Avg_19.7d	sva-mahimni sTitasya me Avc-_19.7d
   sva-rūpa-stho bhaviṣyasi Avg_9.7d	sva-rUpa--sTaH Bavizyasi Avc-_9.7d
   svarūpasya kva rūpitā Avg_20.3d	svarUpasya kva rUpitAH Avc-_20.3d
   svarūpādāna-mātrataḥ Avg_18.6 b	svarUpa-AdAna--mAtrataH Avc-_18.6 b
   svasthasya mama sarvadā Avg_20.12d	svasTasya mama sarvadA Avc-_20.12d
   svasthasyādṛṣṭi-rūpiṇī Avg_18.63d	svasTasya-adRzwi--rUpiNI Avc-_18.63d
   sva-svarūpe 'ham advaye Avg_20.6d	sva--svarUpe aham advaye Avc-_20.6d
   svasvarūpe 'ham advaye Avg_20.7d	sva-svarUpe aham advaye Avc-_20.7d
   svā-tantryāt paramaṃ padam Avg_18.50d	svA-tantryAt paramam padam Avc-_18.50d
   svā-tantryāt sukham āpnoti Avg_18.50a	svA-tantryAt suKam Apnoti Avk-_18.50a
   svā-tantryān nirvṛtiṃ gacchet Avg_18.50c	svA-tantryAt nirvRtim gacCet Avc-_18.50c
   svā-tantryāl labhate param Avg_18.50b	svA-tantryAt laBate param Avc-_18.50b
   svātmano manyate yadā Avg_18.51b	sva-AtmanaH manyate yadA Avc-_18.51b
   svātmany ānanda-vigrahe Avg_15.19d	sva-Atmani Ananda-vigrahe Avc-_15.19d
   svārājye bhaikṣa-vṛttau ca Avg_18.11a	svArAjye BEkza--vRttO ca Avc-_18.11a
   svārāmasyaiva dhīrasya Avg_18.41c	sva-ArAmasya-eva DIrasya Avc-_18.41c
   svārāmaṃ harṣayanty amī Avg_17.3b	sva-ArAmam harzayanti amI Avc-_17.3b
   hantātma-jñasya dhīrasya Avg_4.1a	hanta-Atma--jQasya DIrasya Avc-_4.1a
   hariḥ kamala-jo 'pi vā Avg_16.11b	hariH kamala-jaH api vA Avc-_16.11b
   haro yady upadeṣṭā te Avg_16.11a	haraH yadi upadezwA te Avc-_16.11a
   harṣāmarṣa-vinirmukto Avg_18.83c	harza-amarza--vinirmuktaH Avc-_18.83c
   hātum icchati saṃsāraṃ Avg_16.9a	hAtum icCati saMsAram Avc-_16.9a
   hānaṃ kva ca na kiṃcana Avg_18.78b	hAnam kva ca na kiMcana Avc-_18.78b
   hitāhita-vikalpanāḥ Avg_17.18b	hita-ahita--vikalpanAH Avc-_17.18b
   heyopādeya-kalpanā Avg_7.5d	heya-upAdeya-kalpanAH Avc-_7.5d
   heyopādeya-kalpanā Avg_15.12d	heya-upAdeya-kalpanAH Avc-_15.12d
   heyopādeyatā tāvat Avg_16.7a	heya-upAdeya-tA tAvat Avc-_16.7a
   heyopādeyatā na hi Avg_17.6d	heya-upAdeya-tA na hi Avc-_17.6d
   heyopādeya-virahād Avg_12.4a	heya-upAdeya--virahAt Avc-_12.4a
