   Bhartrhari: Vakyapadiya	BhartH-hari: Vakya-pad-iya
   arthakriyāsu vāk sarvān Vp_1.135a	arTa-kriyAsu vAc sarvAn Vp_1.135a
   arthajātyabhidhāne 'pi Vp_3,1.11a	arTa-jAti-aBiDAne api Vp_3,1.11a
   arthatattvāvadhāraṇam Vp_2.286b	arTa-tattva-avaDAraNam Vp_2.286b
   arthaprakaraṇādibhiḥ Vp_2.411b	arTa-prakaraNa-AdiBiH Vp_2.411b
   arthaprakaraṇāpekṣaṃ Vp_2.268c	arTa-prakaraNa-apekzam Vp_2.268c
   arthaprakaraṇāpekṣo Vp_2.264a	arTa-prakaraNa-apekzaH Vp_2.264a
   arthaprakaraṇābhyāṃ tu Vp_2.332c	arTa-prakaraNAByAm tu Vp_2.332c
   arthaprakaraṇābhyāṃ vā Vp_2.251c	arTa-prakaraNAByAm vA Vp_2.251c
   arthapratyāyanābhede Vp_1.27c	arTa-pratyAya-na-aBede Vp_1.27c
   arthapravṛttitattvānāṃ Vp_1.13a	arTa-pravRtti-tattvAnAm Vp_1.13a
   arthabhedo 'bhidhīyate Vp_2.89d	arTa-BedaH aBiDIyate Vp_2.89d
   arthamātraṃ viparyastaṃ Vp_2.255c	arTa-mAtram viparyastam Vp_2.255c
   arthamātraṃ viparyastaṃ Vp_2.256c	arTa-mAtram viparyastam Vp_2.256c
   artham āhānyarūpeṇa Vp_3,3.54c	arTam Aha-anya-rUpeNa Vp_3,3.54c
   arthayogaṃ ca laukikam Vp_2.344b	arTa-yogam ca lOkikam Vp_2.344b
   arthayogāt prasiddhayaḥ Vp_2.346b	arTa-yogAt prasidDayaH Vp_2.346b
   artharūpaviviktaṃ ca Vp_3,1.110c	arTa-rUpa-viviktam ca Vp_3,1.110c
   artharūpaṃ tathā śabde Vp_1.51c	arTa-rUpam taTA Sabde Vp_1.51c
   arthavattā na vidyate Vp_2.424d	arTavat-tA na vidyate Vp_2.424d
   arthavattāprakaraṇād Vp_2.212c	arTavattA-prakaraNAt Vp_2.212c
   arthavattve pradarśitaḥ Vp_2.210b	arTavat-tve pradarSitaH Vp_2.210b
   arthavadbhyo viśiṣṭārthaḥ Vp_2.208a	arTavadByaH viSizwa-arTaH Vp_2.208a
   arthavantaḥ samuditā Vp_2.54c	arTavantaH samuditAH Vp_2.54c
   arthavastuṣu gṛhyate Vp_2.425b	arTa-vastuzu gRhyate Vp_2.425b
   arthas tu tasya saṃbandhī Vp_2.337c	arTaH tu tasya saMbanDI Vp_2.337c
   arthasya cābhisaṃbandha- Vp_2.432c	arTasya ca-aBisaMbanDa Vp_2.432c
   arthasya pratipattṛṣu Vp_2.18d	arTasya pratipattRzu Vp_2.18d
   arthasya pratipādakān Vp_2.408b	arTasya pratipAdakAn Vp_2.408b
   arthasya pravibhajyate Vp_2.431b	arTasya praviBajyate Vp_2.431b
   arthasya sarvaśaktitvāt Vp_2.434c	arTasya sarva-Sakti-tvAt Vp_2.434c
   arthasvarūpe śabdānāṃ Vp_2.262a	arTa-svarUpe SabdAnAm Vp_2.262a
   arthaṃ kathaṃ cit puruṣaḥ Vp_2.39a	arTam kaTam cit puruzaH Vp_2.39a
   arthaḥ kṛtsno 'numīyate Vp_2.156d	arTaH kRtsnaH anumIyate Vp_2.156d
   arthaḥ prakaraṇaṃ liṅgaṃ Vp_2.315c	arTaH prakaraNam liFgam Vp_2.315c
   arthāc chabdaḥ pratīyate Vp_3,3.32d	arTAt SabdaH pratIyate Vp_3,3.32d
   arthānām avivakṣitam Vp_2.304b	arTAnAm avivakzitam Vp_2.304b
   arthānāṃ laukikair yathā Vp_2.142b	arTAnAm lOkikEH yaTA Vp_2.142b
   arthānāṃ saṃnidhāne 'pi Vp_2.303a	arTAnAm saMniDAne api Vp_2.303a
   arthāntarasya tadbhāvas Vp_2.279c	arTa-antarasya tad-BAvaH Vp_2.279c
   arthāntarāvabodhena Vp_2.206c	arTa-antara-avaboDena Vp_2.206c
   arthāntare ca yad vṛttaṃ Vp_2.177a	arTa-antare ca yat vRttam Vp_2.177a
   arthān svarūpabhedena Vp_2.165c	arTAn svarUpa-Bedena Vp_2.165c
   arthābhidhānasaṃbandham Vp_2.403c	arTa-aBiDAna-saMbanDam Vp_2.403c
   arthāvabhāsarūpā ca Vp_2.421c	arTa-avaBAsa-rUpA ca Vp_2.421c
   arthitvam atra sāmarthyam Vp_2.79a	arTi-tvam atra sAmarTyam Vp_2.79a
   arthināṃ guṇabhede 'pi Vp_2.382c	arTinAm guNa-Bede api Vp_2.382c
   arthiṣv ādaikṣu bhedena Vp_2.381c	arTizu AdEkzu Bedena Vp_2.381c
   artheṣu śaktibhedānāṃ Vp_3,7.6c	arTezu Sakti-BedAnAm Vp_3,7.6c
   arthopasarjanībhūtān Vp_1.55a	arTa-upasarjanIBUtAn Vp_1.55a
   artho 'bhidhīyate yasmād Vp_2.427c	arTaH aBiDIyate yasmAt Vp_2.427c
   artho vyāvṛttarūpo 'pi Vp_3,1.101c	arTaH vyAvRtta-rUpaH api Vp_3,1.101c
   ardharcādiṣu śabdeṣu Vp_2.103a	arDaRca-Adizu Sabdezu Vp_2.103a
   ardhaṃ paśor iti yathā Vp_2.341c	arDam paSoH iti yaTA Vp_2.341c
   alabdhagādhe gāmbhīryād Vp_2.483a	alabDa-gADe gAmBIryAt Vp_2.483a
   alaṃ syād apadasthānam Vp_3,3.80c	alam syAt apada-sTAnam Vp_3,3.80c
   alpadeśāntarāvasthaṃ Vp_2.294c	alpa-deSa-antara-avasTam Vp_2.294c
   alpavidyāparigrahān Vp_2.481b	alpa-vidyA-parigrahAn Vp_2.481b
   alpaṃ śāstraprayojanam Vp_1.40d	alpam SAstra-prayojanam Vp_1.40d
   alpe mahati vā śabde Vp_1.106a	alpe mahati vA Sabde Vp_1.106a
   avacchinatti saṃbandhas Vp_2.45c	avacCinatti saMbanDaH Vp_2.45c
   avadhitvaṃ pṛthak pṛthak Vp_3,7.141b	avaDi-tvam pRTak pRTak Vp_3,7.141b
   avadhitvena cāpekṣā- Vp_3,6.21a	avaDi-tvena ca-apekzA Vp_3,6.21a
   avadhipratipādyayoḥ Vp_3,6.2b	avaDi-pratipAdyayoH Vp_3,6.2b
   avabodhasya śāśvatī Vp_1.132b	avaboDasya SASvatI Vp_1.132b
   avastupatite jñātvā Vp_3,6.24c	avastu-patite jQAtvA Vp_3,6.24c
   avastuṣv api notprekṣā Vp_3,3.86c	avastuzu api na-utprekzA Vp_3,3.86c
   avastu syād atitaṃ yad Vp_3,3.77a	avastu syAt atitam yat Vp_3,3.77a
   avasthādeśakālānāṃ Vp_1.32a	avasTA-deSa-kAlAnAm Vp_1.32a
   avasthābhedadarśibhiḥ Vp_2.173b	avasTA-Beda-darSiBiH Vp_2.173b
   avasthāṃ pañcamīm āhur Vp_3,7.60a	avasTAm paQcamIm AhuH Vp_3,7.60a
   avācyam iti yad vācyaṃ Vp_3,3.20a	avAcyam iti yat vAcyam Vp_3,3.20a
   avikalpasamuccayaḥ Vp_2.126b	avikalpa-samuccayaH Vp_2.126b
   avikalpitavākyārthe Vp_2.116a	avikalpita-vAkya-arTe Vp_2.116a
   avikārasya śabdasya Vp_1.97a	avikArasya Sabdasya Vp_1.97a
   avicchedena vartate Vp_1.41b	avicCedena vartate Vp_1.41b
   avicchedena śiṣṭānām Vp_1.158c	avicCedena SizwAnAm Vp_1.158c
   avidyaivopavarṇyate Vp_2.233b	avidyA-eva-upavarNyate VB-_2.233b
   avidvān pratipadyate Vp_2.13d	avidvAn pratipadyate Vp_2.13d
   avināśo gurutvasya Vp_3,7.150a	avinASaH guru-tvasya Vp_3,7.150a
   avibhakte 'pi vākyārthe Vp_2.88a	aviBakte api vAkya-arTe Vp_2.88a
   avibhakto vibhaktebhyo Vp_1.45a	aviBaktaH viBakteByaH Vp_1.45a
   avibhāgaṃ tu śabdebhyaḥ Vp_2.419a	aviBAgam tu SabdeByaH Vp_2.419a
   avibhāgā tu paśyantī Vp_1.167a	aviBAgA tu paSyantI Vp_1.167a
   avibhāgād vivṛttānām Vp_1.173a	aviBAgAt vivRttAnAm Vp_1.173a
   avibhāge tathā saiva Vp_1.139c	aviBAge taTA sA-eva Vp_1.139c
   aviruddhaṃ gavādīnāṃ Vp_2.172c	avirudDam gavA-AdInAm Vp_2.172c
   avirodhivirodhibhiḥ Vp_3,3.41d	aviroDi-viroDiBiH Vp_3,3.41d
   avirodhī virodhī vā Vp_3,3.67a	aviroDI viroDI vA Vp_3,3.67a
   avirodhī virodhī vā Vp_3,3.68a	aviroDI viroDI vA Vp_3,3.68a
   avirodhena gacchataḥ Vp_1.59d	aviroDena gacCataH Vp_1.59d
   avivakṣitam apy arthaṃ Vp_2.301c	avivakzitam api arTam Vp_2.301c
   avivekāt pradeśebhyo Vp_3,1.18c	avivekAt pradeSeByaH Vp_3,1.18c
   aviśiṣṭaḥ pratīyate Vp_3,1.88d	aviSizwaH pratIyate Vp_3,1.88d
   aviśiṣṭaḥ satānyena Vp_3,7.105c	aviSizwaH satA-anyena Vp_3,7.105c
   aviśiṣṭo bhavaty anyaiḥ Vp_3,7.123c	aviSizwaH Bavati anyEH Vp_3,7.123c
   avyaktaṃ tadvidāṃ tena Vp_1.179c	avyaktam tad-vidAm tena Vp_1.179c
   avyatikramya vartate Vp_3,1.10d	avyatikramya vartate Vp_3,1.10d
   avyudāse svarūpasya Vp_3,3.23c	avyudAse svarUpasya Vp_3,3.23c
   aśakteḥ sarvaśakter vā Vp_2.131a	aSakteH sarva-SakteH vA Vp_2.131a
   aśaktair abhidhātṛbhiḥ Vp_1.182b	aSaktEH aBiDAtRBiH Vp_1.182b
   aśabdam apare 'rthasya Vp_2.421a	aSabdam apare arTasya Vp_2.421a
   aśabdam iva śabdavat Vp_2.348b	aSabdam iva Sabda-vat Vp_2.348b
   aśabdalakṣaṇākāṅkṣaṃ Vp_2.450c	aSabda-lakzaNa-AkAFkzam Vp_2.450c
   aśabdavācyā sā buddhir Vp_2.242c	aSabda-vAcyA sA budDiH Vp_2.242c
   aśābdo yadi vākyārthaḥ Vp_2.16a	aSAbdaH yadi vAkya-arTaH Vp_2.16a
   aśuddhau vyavatiṣṭhate Vp_3,3.58b	aSudDO vyavatizWate Vp_3,3.58b
   aśvamedhena yakṣyante Vp_2.455a	aSvameDena yakzyante Vp_2.455a
   asataś cāntarāle yāñ Vp_1.87a	asataH ca-antarAle yAn Vp_1.87a
   asato 'rthasya manyate Vp_2.92d	asataH arTasya manyate Vp_2.92d
   asattvabhūtam atyantam Vp_2.46c	asattva-BUtam atyantam Vp_2.46c
   asattvabhūto bhāvaś ca Vp_2.195c	asattva-BUtaH BAvaH ca Vp_2.195c
   asatyā vyaktayaḥ smṛtāḥ Vp_3,1.32d	asatyAH vyaktayaH smRtAH Vp_3,1.32d
   asatyāṃ pratipattau vā Vp_2.334a	asatyAm pratipattO vA Vp_2.334a
   asatye vartmani sthitvā Vp_2.238c	asatye vartmani sTitvA Vp_2.238c
   asatyair avadhāryate Vp_3,2.2b	asatyEH avaDAryate Vp_3,2.2b
   asatyopādhibhiḥ śabdaiḥ Vp_3,2.2c	asatya-upADiBiH SabdEH Vp_3,2.2c
   asatyopādhi yat satyaṃ Vp_2.127a	asatya-upADi yat satyam Vp_2.127a
   asatyo 'pi tathā kaś cit Vp_2.321c	asatyaH api taTA kaH cit Vp_2.321c
   asatyo vāpi saṃsargaḥ Vp_2.126c	asatyaH vA-api saMsargaH Vp_2.126c
   asadākāśaniśrayam Vp_3,7.112d	asat-AkASa-niSrayam Vp_3,7.112d
   asan mūrtinirūpitam Vp_3,7.112b	asat mUrti-nirUpitam Vp_3,7.112b
   asamākhyeyatattvānām Vp_2.142a	asamAKyeya-tattvAnAm Vp_2.142a
   asaṃkareṇa sarvārtho Vp_2.254c	asaMkareNa sarva-arTaH Vp_2.254c
   asaṃkhyātāḥ kramoddeśair Vp_2.453c	asaMKyAtAH krama-uddeSEH Vp_2.453c
   asaṃnidhau pratinidhir Vp_2.70a	asaMniDO pratiniDiH Vp_2.70a
   asaṃbhavād viseṣāṇaṃ Vp_2.67c	asaMBavAt visezANam Vp_2.67c
   asaṃś ca nāsteḥ kartā syād Vp_3,3.48c	asan ca na-asteH kartA syAt Vp_3,3.48c
   asaṃsṛṣṭeṣu vidyate Vp_3,1.21d	asaMsRzwezu vidyate Vp_3,1.21d
   asākṣād dhārayat kriyām Vp_3,7.148b	asAkzAt DArayat kriyAm Vp_3,7.148b
   asādhikā pratijñeti Vp_3,3.27a	asADikA pratijQA-iti Vp_3,3.27a
   asādhur anumānena Vp_3,3.30a	asADuH anumAnena Vp_3,3.30a
   astaṃ yāteṣu vādeṣu Vp_1.149a	astam yAtezu vAdezu Vp_1.149a
   astitvenānuṣakto vā Vp_2.427a	astitvena-anuzaktaH vA Vp_2.427a
   astitvopanibandhanam Vp_2.412b	astitva-upanibanDanam Vp_2.412b
   astīti vyapadiśyate Vp_3,3.47b	asti-iti vyapadiSyate Vp_3,3.47b
   astīty āhuḥ purāṇagāḥ Vp_1.46b	asti-iti AhuH purANa-gAH VB-_1.46b
   asty arthaḥ sarvaśabdānāṃ Vp_2.119a	asti arTaH sarva-SabdAnAm Vp_2.119a
   asmād ity upadarśakaḥ Vp_2.118d	asmAt iti upadarSakaH Vp_2.118d
   asminn api dṛśye 'rthe Vp_2.136a	asmin api dRSye arTe Vp_2.136a
   asminn arthe na śabdena Vp_3,6.10c	asmin arTe na Sabdena Vp_3,6.10c
   asminn artho na bhidyate Vp_2.79b	asmin arTaH na Bidyate Vp_2.79b
   asmiṃs tu na vivakṣitaḥ Vp_2.80d	asmin tu na vivakzitaH Vp_2.80d
   asya vākyāntare dṛṣṭāl Vp_2.86a	asya vAkya-antare dRzwAt Vp_2.86a
   asyaṃ pūrvaṃ vyavasthitaḥ Vp_3,3.41b	asyam pUrvam vyavasTitaH Vp_3,3.41b
   asyādīnāṃ tu kartṛtve Vp_3,7.96a	asya-AdInAm tu kartR-tve Vp_3,7.96a
   asyādīnāṃ vidāraṇe Vp_3,7.29b	asya-AdInAm vidAraNe Vp_3,7.29b
   asyāyaṃ vācako vācya Vp_3,3.3a	asya-ayam vAcakaH vAcya Vp_3,3.3a
   asyāṃ tv antarbahirbhāvaḥ Vp_3,6.23c	asyAm tu antar-bahis-BAvaH Vp_3,6.23c
   asyeti vyatirekaś ca Vp_1.68c	asya-iti vyatirekaH ca Vp_1.68c
   asyety agrahaṇaṃ na ca Vp_3,1.108b	asya-iti agrahaNam na ca Vp_3,1.108b
   asyaivātmano bhedau Vp_2.31c	asya-eva-AtmanaH BedO Vp_2.31c
   asvagoṇyādayaḥ śabdāḥ Vp_1.176a	asva-goNya-AdayaH SabdAH Vp_1.176a
   asvaśabdābhidhānās tu Vp_3,1.48a	asva-Sabda-aBiDAnAH tu Vp_3,1.48a
   asvātantryaphalo bandhiḥ Vp_3,1.4a	asvAtantrya-PalaH banDiH Vp_3,1.4a
   ahiteṣu yathā laulyāt Vp_3,7.80a	ahitezu yaTA lOlyAt Vp_3,7.80a
   aṃbvaṃbv iti yathā bālaḥ Vp_1.179a	aMbvaMbu iti yaTA bAlaH Vp_1.179a
   ākāravantaḥ saṃvedyā Vp_2.133a	AkAravantaH saMvedyAH Vp_2.133a
   ākāravarṇāvayavaiḥ Vp_2.154a	AkAra-varNa-avayavEH Vp_2.154a
   ākārāvagrahas tu yaḥ Vp_2.120b	AkAra-avagrahaH tu yaH Vp_2.120b
   ākāraiś ca vyavacchedāt Vp_3,2.5a	AkArEH ca vyavacCedAt Vp_3,2.5a
   ākāśam eva keṣāṃ cid Vp_3,7.151a	AkASam eva kezAm cit Vp_3,7.151a
   ākāśasya pradeśena Vp_3,6.5a	AkASasya pradeSena Vp_3,6.5a
   ākāśasya yathā bhedaś Vp_3,7.111a	AkASasya yaTA BedaH Vp_3,7.111a
   ākāśasyāpi vidyate Vp_3,1.15d	AkASasya-api vidyate Vp_3,1.15d
   ākāśasyāpy adeśasya Vp_3,1.16c	AkASasya-api adeSasya Vp_3,1.16c
   ākāśāt sarvamūrtayaḥ Vp_3,7.153b	AkASAt sarva-mUrtayaH Vp_3,7.153b
   ākṣiptaṃ karmavācinā Vp_2.339b	Akziptam karma-vAcinA Vp_2.339b
   ākhyātapadavācye 'rthe Vp_2.430a	AKyAta-pada-vAcye arTe Vp_2.430a
   ākhyātaśabde niyataṃ Vp_2.327a	AKyAta-Sabde niyatam Vp_2.327a
   ākhyātasyāsya varṇyate Vp_2.340b	AKyAtasya-asya varNyate Vp_2.340b
   ākhyātaṃ taddhitārthasya Vp_2.306a	AKyAtam tat-hita-arTasya Vp_2.306a
   ākhyātaṃ śabdasaṃghāto Vp_2.1a	AKyAtam Sabda-saMGAtaH Vp_2.1a
   ākhyātānupayoge tu Vp_3,7.72c	AKyAta-anupayoge tu Vp_3,7.72c
   āgato yāti vācyataṃ Vp_2.127d	AgataH yAti vAcyatam Vp_2.127d
   āgamas tam upāsīno Vp_1.41c	AgamaH tam upAsInaH Vp_1.41c
   āgamas tu viśiṣyate Vp_2.151d	AgamaH tu viSizyate Vp_2.151d
   āgamaṃ pratipadyate Vp_1.148b	Agamam pratipadyate Vp_1.148b
   āgamā iva ke cit tu Vp_2.192c	AgamAH iva ke cit tu Vp_2.192c
   āgamāt pratipadyate Vp_1.157b	AgamAt pratipadyate Vp_1.157b
   āgamād eva jāyate Vp_2.151b	AgamAt eva jAyate Vp_2.151b
   ācaṇḍālamanuṣyāṇām Vp_1.40c	AcaNxAla-manuzyANAm Vp_1.40c
   āṇḍabhāvam ivāpanno Vp_1.52a	ANxa-BAvam iva-ApannaH Vp_1.52a
   ātmatattvaparityāgaḥ Vp_3,3.70a	Atma-tattva-parityAgaH Vp_3,3.70a
   ātmatattvaṃ tu parataḥ Vp_3,3.70c	Atma-tattvam tu paratas Vp_3,3.70c
   ātmatattvaṃ prakāśate Vp_3,3.81d	Atma-tattvam prakASate Vp_3,3.81d
   ātmatattveṣu bhāvānām Vp_3,1.21c	Atma-tattvezu BAvAnAm Vp_3,1.21c
   ātmatyāgād ṛte bhinnaṃ Vp_2.105c	Atma-tyAgAt Rte Binnam Vp_2.105c
   ātmabhūtaḥ kramo 'py asyā Vp_3,1.37a	Atma-BUtaH kramaH api asyAH Vp_3,1.37a
   ātmabhūtāś ca śaktayaḥ Vp_3,1.92b	Atma-BUtAH ca SaktayaH Vp_3,1.92b
   ātmabhūtā samagratā Vp_3,1.24b	Atma-BUtA samagra-tA Vp_3,1.24b
   ātmabhedaṃ tayoḥ ke cid Vp_1.46a	Atma-Bedam tayoH ke cit Vp_1.46a
   ātmabhede 'pi saty evam Vp_3,7.97a	Atma-Bede api sati evam Vp_3,7.97a
   ātmabhedo na cet kaś cid Vp_2.213a	Atma-BedaH na ced kaH cit Vp_2.213a
   ātmarūpasya darśikā Vp_3,3.39d	Atma-rUpasya darSikAH Vp_3,3.39d
   ātmarūpaṃ yathā jñāne Vp_1.51a	Atma-rUpam yaTA jQAne Vp_1.51a
   ātmalābhasya janmākhyā Vp_3,3.43a	Atma-lABasya janma-AKyA Vp_3,3.43a
   ātmā chandomayīṃ tanum Vp_1.17d	AtmA CandaH-mayIm tanum Vp_1.17d
   ātmānam ātmanā bibhrad Vp_3,3.47a	AtmAnam AtmanA biBrat Vp_3,3.47a
   ātmāntarasya yenātmā Vp_3,3.9a	Atma-antarasya yena-AtmA Vp_3,3.9a
   ātmā paraḥ priyo dveṣyo Vp_3,2.17a	AtmA paraH priyaH dvezyaH Vp_3,2.17a
   ātmā buddhyā samarthyārthān Vp_1.119a	AtmA budDyA samarTya-arTAn Vp_1.119a
   ātmābhivyaktaye jātiḥ Vp_3,1.25c	Atma-aBivyaktaye jAtiH Vp_3,1.25c
   ātmā vastu svabhāvaś ca Vp_3,2.1a	AtmA vastu svaBAvaH ca Vp_3,2.1a
   ātvādīnāṃ hi śuddhānāṃ Vp_2.210c	AtvAdInAm hi SudDAnAm Vp_2.210c
   ādibhedasamanvitāḥ Vp_3,1.58d	Adi-Beda-samanvitAH Vp_3,1.58d
   ādimad brahma śāśvatam Vp_2.237d	Adimat brahma SASvatam Vp_2.237d
   ādaicpratyāyitaiḥ śabdaiḥ Vp_1.60c	AdEcpratyAyitEH SabdEH Vp_1.60c
   ādhāratvam iva prāptās Vp_3,7.68a	ADAra-tvam iva prAptAH Vp_3,7.68a
   ādhāraniyamārthaiva Vp_2.416c	ADAra-niyama-arTa-eva Vp_2.416c
   ādhāraśaktiḥ prathamā Vp_3,7.151c	ADAra-SaktiH praTamA Vp_3,7.151c
   ādhāraṃ kalpayan buddhyā Vp_3,3.86a	ADAram kalpayan budDyA Vp_3,3.86a
   ādhāre niyamābhāvāt Vp_2.417a	ADAre niyama-aBAvAt Vp_2.417a
   ādhāro 'pi guṇasyaivaṃ Vp_3,1.73c	ADAraH api guNasya-evam Vp_3,1.73c
   ādhikyam api manyante Vp_2.272c	ADikyam api manyante Vp_2.272c
   ādhikyam upajāyate Vp_2.42b	ADikyam upajAyate Vp_2.42b
   ānarthakyaṃ prasajyate Vp_2.34d	AnarTakyam prasajyate Vp_2.34d
   āntaro 'rthaḥ prakāśyate Vp_2.31b	AntaraH arTaH prakASyate Vp_2.31b
   āpattyāpādane tatra Vp_3,7.64c	Apatti-ApAdane tatra Vp_3,7.64c
   āpekṣikyo hi saṃsarge Vp_2.168c	ApekzikyaH hi saMsarge Vp_2.168c
   ābhāsopagamo vyaktiḥ Vp_3,7.53a	ABAsa-upagamaH vyaktiH Vp_3,7.53a
   āmnātā sarvavidyāsu Vp_1.136c	AmnAtA sarva-vidyAsu Vp_1.136c
   āmnāyaśabdān abhyāse Vp_2.407a	AmnAya-SabdAn aByAse Vp_2.407a
   ārabhante punaḥ punaḥ Vp_3,7.92b	AraBante punar punar Vp_3,7.92b
   ārambhād bādhyate prāptā Vp_2.203c	AramBAt bADyate prAptAH Vp_2.203c
   ārambheṇa na yogasya Vp_3,7.134c	AramBeNa na yogasya Vp_3,7.134c
   ārād apy upakāritve Vp_3,7.102c	ArAt api upakAri-tve Vp_3,7.102c
   ārād evopakurvate Vp_3,7.94b	ArAt eva-upakurvate Vp_3,7.94b
   ārādvṛttiṣu saṃbandhaḥ Vp_2.435a	ArAt-vRttizu saMbanDaH Vp_2.435a
   ārṣe viplāvite granthe Vp_2.484c	Arze viplAvite granTe Vp_2.484c
   ālambhanaṃ guṇais tena Vp_3,1.84c	AlamBanam guNEH tena Vp_3,1.84c
   āvirbhūtaprakāśānām Vp_1.37a	AvirBUta-prakASAnAm Vp_1.37a
   āviṣṭaṃ yad apāyena Vp_3,7.139c	Avizwam yat apAyena Vp_3,7.139c
   āvṛttaparipākāyāṃ Vp_1.86c	AvRtta-paripAkAyAm Vp_1.86c
   āvṛttāv anuṣajyate Vp_2.258b	AvRttO anuzajyate Vp_2.258b
   āvṛttim antareṇāpi Vp_2.379c	AvRttim antareNa-api Vp_2.379c
   āvṛttir anuvādo vā Vp_2.115a	AvRttiH anuvAdaH vA Vp_2.115a
   āvṛttiśaktibhinnārthe Vp_2.478a	AvRtti-Sakti-Binna-arTe Vp_2.478a
   āvṛtter anumānaṃ vā Vp_2.372a	AvRtteH anumAnam vA Vp_2.372a
   āvṛttau vyajyate jātiḥ Vp_2.20c	AvRttO vyajyate jAtiH Vp_2.20c
   āvṛttau sadṛśātmatām Vp_3,1.100b	AvRttO sadRSa-Atma-tAm Vp_3,1.100b
   āvṛttyā na tu sa granthaḥ Vp_1.84c	AvRttyA na tu sa granTaH Vp_1.84c
   āśrayaḥ svātmamātrā vā Vp_3,1.40a	ASrayaH sva-Atma-mAtrA vA Vp_3,1.40a
   āśrayāj janma kathyate Vp_3,1.39d	ASrayAt janma kaTyate Vp_3,1.39d
   āśrayād upakāriṇī Vp_3,7.28d	ASrayAt upakAriNI Vp_3,7.28d
   āśrayāśrayiṇor vākyān Vp_3,1.75c	ASraya-ASrayiNoH vAkyAn Vp_3,1.75c
   āśrayair api nityānāṃ Vp_1.98c	ASrayEH api nityAnAm Vp_1.98c
   āśritaḥ sa tathāvidhaḥ Vp_2.212d	ASritaH sa taTAviDaH Vp_2.212d
   āśritātiśayatvaṃ tu Vp_3,7.93c	ASrita-atiSaya-tvam tu Vp_3,7.93c
   āśritāvadhibhāvaṃ tu Vp_3,7.24c	ASrita-avaDiBAvam tu Vp_3,7.24c
   āśrite 'tiśayo yataḥ Vp_3,7.75b	ASrite atiSayaH yatas Vp_3,7.75b
   āśriteṣūpacāreṇa Vp_3,3.42c	ASritezu-upacAreNa Vp_3,3.42c
   āśrityārabhyate śiṣṭaiḥ Vp_1.43c	ASritya-AraByate SizwEH Vp_1.43c
   āśrīyate tato 'tyantaṃ Vp_3,7.75c	ASrIyate tatas atyantam Vp_3,7.75c
   āśliṣṭo yo 'nupaśliṣṭaḥ Vp_2.435c	ASlizwaH yaH anupaSlizwaH Vp_2.435c
   āsattiviprakarṣābhyām Vp_2.151c	Asatti-viprakarzAByAm Vp_2.151c
   āsannaṃ brahmaṇas tasya Vp_1.11a	Asannam brahmaNaH tasya Vp_1.11a
   āsthitaṃ karma yat tatra Vp_3,7.135c	AsTitam karma yat tatra Vp_3,7.135c
   āhāraprītyapadveṣa- Vp_2.150a	AhAra-prIti-apadveza Vp_2.150a
   āhur vyākaraṇaṃ budhāḥ Vp_1.11d	AhuH vyAkaraNam buDAH Vp_1.11d
   āhaikadeśaṃ tattvena Vp_2.159c	Aha-eka-deSam tattvena Vp_2.159c
   itikartavyatāyāṃ tāṃ Vp_2.146c	itikartavya-tAyAm tAm Vp_2.146c
   itikartavyatārthasya Vp_2.450a	itikartavya-tA-arTasya Vp_2.450a
   itikartavyatā loke Vp_1.129a	itikartavya-tA loke Vp_1.129a
   iti kālasya lakṣaṇe Vp_2.310b	iti kAlasya lakzaNe Vp_2.310b
   iti jñānaṃ pravartate Vp_3,1.94b	iti jQAnam pravartate Vp_3,1.94b
   iti nyāyo bahuvidhas Vp_1.152c	iti nyAyaH bahuviDaH Vp_1.152c
   iti pūrvebhya āgamaḥ Vp_3,3.11d	iti pUrveByaH AgamaH Vp_3,3.11d
   iti pūrvebhya āgamaḥ Vp_3,7.164b	iti pUrveByaH AgamaH Vp_3,7.164b
   iti pratyāyyalakṣaṇam Vp_2.119b	iti pratyAyya-lakzaNam Vp_2.119b
   iti bālo 'pi coditaḥ Vp_2.312b	iti bAlaH api coditaH Vp_2.312b
   iti bhedo vivakṣayā Vp_3,7.19d	iti BedaH vivakzayA Vp_3,7.19d
   iti rūpād dhi sāśritā Vp_3,1.54d	iti rUpAt Di sa-ASritAH Vp_3,1.54d
   iti vastvabhidhāyinaḥ Vp_3,6.1b	iti vastu-aBiDAyinaH Vp_3,6.1b
   iti vākyeṣu ye dharmāḥ Vp_2.87a	iti vAkyezu ye DarmAH Vp_2.87a
   iti vṛddhebhya āgamaḥ Vp_3,2.7b	iti vRdDeByaH AgamaH Vp_3,2.7b
   iti ṣaṣṭhyā pratīyate Vp_3,3.3b	iti zazWyA pratIyate Vp_3,3.3b
   iti sūtre pratīyate Vp_3,7.138b	iti sUtre pratIyate Vp_3,7.138b
   ity asyāṃ karmaṇaḥ śrutau Vp_2.335b	iti asyAm karmaNaH SrutO Vp_2.335b
   ityādyā bhedahetavaḥ Vp_3,7.150d	ityAdyAH Beda-hetavaH Vp_3,7.150d
   ity āmnāyavido viduḥ Vp_1.124b	iti AmnAya-vidaH viduH Vp_1.124b
   ity etasmin gṛhe yathā Vp_2.385b	iti etasmin gRhe yaTA Vp_2.385b
   ity etasmin padadvaye Vp_1.40b	iti etasmin pada-dvaye Vp_1.40b
