   caturtha ucchvāsaḥ	caturTaH ucCvAsaH
   dhāryamāṇām, hastatāmarasapratipakṣamāsannagrahaṇaṃ śaśinamiva rohiṇīṃ	DAryamANAm, hasta-tAmarasa-pratipakzam-Asanna-grahaNam SaSinam-iva rohiNIm
   bhayavepamānamānasāmavalokayantīm, candanadhavalatanulatām,	Baya-vepamAna-mAnasAm-avalokayantIm, candana-Davala-tanula-tAm,
   jyotsnādānasaṃcitalāvaṇyātkumudinīgarbhādiva prasūtām,	jyotsnA-dAna-saMcita-lAvaNyAt-kumudinI-garBAt-iva prasUtAm,
   kumumāmodanirhāriṇīṃ vasantahṛdyādiva nirgatām,	kumuma-Amoda-nirhAriNIm vasanta-hRdyAt-iva nirgatAm,
   niḥśvāsaparimalākṛṣṭamadhurakulā malayamārutādivotpannam,	niHSvAsa-parimala-AkRzwa-maDura-kulA malaya-mAruta-At-iva-utpannam,
   kṛtakandarpānusaraṇāṃ ratimiva punarjātām,	kRta-kandarpa-anusaraNAm ratim-iva punar-jAtAm,
   prabhālāvaṇyamadasaurabhamādhuryaiḥ	praBA-lAvaNya-mada-sOraBa-mADuryEH
   kaustubhaśaśimadirāpārijātāmṛtaprabhavaiḥ sarvaratnaguṇairaparāṇiva	kOstuBa-SaSi-madirA-pArijAta-amRta-praBavEH sarva-ratna-guNEH-aparANiva
   surāsurasṣā ratnākareṇa kalpitāṃ śriyam, snigdhena bālikālokena	sura-asuraszAH ratna-AkareNa kalpitAm Sriyam, snigDena bAlikA-lokena
   sitasiraṇamarakataprabhāharitaśādvalena kapolasthalītalena vinodayantīmiva	sita-siraNamarakata-praBA-harita-SAdvalena kapola-sTalI-talena vinodayantIm-iva
   hāriṇīṃ locanacchāyām, adhomukhaṃ varakautukālokanākulaṃ muhurmuhuḥ	hAriNIm locana=-CAyAm, aDomuKam vara-kOtuka-Alokana-Akulam muhur-muhur-
   kutamukhannamanaprayatnaṃ sakhījanaṃ hṛdayaṃ ca nirbhartsayantī	kuta-muKat-namana-prayatnam saKI-janam hRdayam ca nirBartsayantI
   vadhūmapaśyat /	vaDUm-apaSyat /
   praviśantameva taṃ hṛdayacauraṃ vadhvā samarpitaṃ jagrāha kandarpaḥ /	praviSantam-eva tam hRdaya-cOram vaDvA samarpitam jagrAha kandarpaH /
   parihāsasmeramkhībiśca nārībhiḥ kautukagṛhe yadyatkāryate jāmatātā	parihAsa-smeramKIbiH-ca nArIBiH kOtuka-gRhe yat-yat-kAryate jAma-tAtA
   tattatsarvamatipeśalaṃ cakāra /	tat-tat-sarvam-ati-peSalam cakAra /
   kṛtapariṇayānurūpaveśaparigrahāṃ gṛhītvā kare vadhūṃ nirjagāma jagāma ca	kRta-pariNaya-anurUpa-veSa-parigrahAm gRhItvA kare vaDUm nirjagAma jagAma ca
   navasudhādhavalā nimantritāgataistuṣāraśailopatyakāmiva	nava-suDA-DavalA nimantrita-AgatEH-tuzAraSEla-upatyakAm-iva
   tryambakāmbikāvivāhāhūtairbhūbhṛdbhiḥ parivṛtām,	tryambaka-ambikA-vivAha-AhUtEH-BUBRdBiH parivRtAm,
   sekasukumārayavāṅkuradanturaiḥ pañcāsyaiḥ kalaśaiḥ	seka-sukumAra-yava-aFkura-danturEH paQca-AsyEH kalaSEH
   komalavarṇikāvicitrairamitramukhaiśca	komala-varNikA-vicitrEH-amitra-muKEH-ca
   maṅgalyaphalahastābhirañjalikārikābhirūdbhāsitaparyantām,	maFgalya-Pala-hastABiH-aQjalikArikA-aBiH-u-udBAsita-paryantAm,
   upādhyāyopadhīyamānendhanadhūmāyamānāgnisaṃdhukṣamākṣaṇikopadraṣṭṛdvijām,	upADyAya-upaDIyamAna-inDana-DUmAyamAna-agni-saMDukza-mAkzaNikA-upadrazwR-dvijAm,
   upakṛśānunihitānupahataharitakuśām	upakRSa-anu-nihita-anupahata-harita-kuSAm
   saṃnihitadṛṣadajinājyasruvasamitpūlīnivahām,	saMnihita-dRzada-jina-Ajya-sruva-samiD-pUlI-nivahAm,
   nūtanaśūrpārpitaśyāmalaśamīpalāśamiśralājahāsinīṃ vedīm /	nUtana-SUrpa-arpita-SyAmala-SamI-palASa-miSra-lAja-hAsinIm vedIm /
   āruroha ca tāṃ divamiva sajyotsnaḥ śaśī /	Aruroha ca tAm divam-iva sa-jyotsnaH SaSI /
   samutsasarpa ca vellitāruṇaśikhāpallavasya śikhinaḥ kusumāyudha iva	samutsasarpa ca vellita-aruNa-SiKA-pallavasya SiKinaH kusumAyuDaH iva
   ratidvitīyo raktāśokasya samīpam /	rati-dvitIyaH rakta-aSokasya samIpam /
   hute ca hutabhuji	hute ca hutaBuji
   pradakṣiṇāvartapravṛttābhirvadhūvadanavilokanakutūhalinībhiriva	pradakziNa-Avarta-pravRttABiH-vaDU-vadana-vilokana-kutUhalinIBiH-iva
   jvālābhireva saha pradakṣiṇaṃ babhrāma /	jvAlABiH-eva saha pradakziNam baBrAma /
   pātyamāne ca lājāñjalau	pAtyamAne ca lAjA-aQjalO
   nakhamayūkhadhavalitatanuradṛṣṭapūrvavadhūvararūpavismayasmera ivādṛsyata	naKa-mayUKa-Davalita-tanuH-adRzwa-pUrvavaDU-vara-rUpa-vismaya-smeraH iva-AdRsyata
   vibhāvasuḥ /	viBAvasuH /
   atrāntare svacchakapolodarasaṃkrāntamanalapratibimbamiva nirvāpayantī	atra-antare svacCa-kapola-udara-saMkrAntam-anala-pratibimbam-iva nirvApayantI
   sthūlamuktāphalavikalabāṣpabindusaṃdohadaśitadurdinā nirvadanavikāraṃ	sTUla-muktAPala-vikala-bAzpa-bindu-saMdoha-daSita-durdinA nirvadana-vikAram
   ruroda vadhūḥ /	ruroda vaDUH /
   udaśruvilocanānāṃ ca bāndhavavadhūnāmudapādi mahānākrandaḥ /	udaSru-vilocanAnAm ca bAnDava-vaDUnAm-udapAdi mahAn-AkrandaH /
   parisamāpitavaivāhikakriyākalāpastu jāmātā vadhvā smaṃ praṇanāma śvaśurau	parisamApita-vEvAhika-kriyA-kalApaH-tu jAmAtA vaDvA smam praNanAma SvaSurO
   praviveśa ca dvārapakṣalikhitaratipratidaivataṃ, praṇayibhiriva	praviveSa ca dvAra-pakza-liKita-rati-pratidEvataM, praNayiBiH-iva
   prathamapraviṣṭairalikulaiḥ kṛtakolāhalam, alikulapakṣapavanapreṅkholitaiḥ	praTama-pravizwEH-ali-kulEH kRta-kolAhalam, ali-kula-pakza-pavana-preFKolitEH
   karṇotpalaprahārabhayaprakampitairiva maṅgalapradīpaiḥ prakāśitam,	karNa-utpala-prahAra-Baya-prakampitEH-iva maFgala-pradIpEH prakASitam,
   ekadeśalikhitastabakitaraktāśokatarutalabhājādhijyacāpena	eka-deSa-liKita-stabakita-rakta-aSoka-taru-tala-BAja-aDijya-cApena
   tiryakkūṇitanetratribhāgeṇa śaramṛjūkurvatā kāmadevenādhiṣṭhitam,	tiryakkUNita-netra-tri-BAgeNa Saram-RjUkurvatA kAmadevena-aDizWitam,
   ekapārśvanyastena kāñcanācāmarukeṇetarapārsvavatinyā ca	eka-pArSva-nyastena kAQcana-AcAmarukeNa-itara-pArsvavatinyA ca
   dāntaśapharukadhāriṇyā kanakaputrikayā	dAnta-SaPa-ruka-DAriNyA kanakaputrikayA
   sākṣāllakṣmyevoddaṇḍapuṇḍarīkahastayā sanāthena sopadhānena svāstīrṇena	sAkzAt-lakzmi-A-iva-uddaNxa-puNxarIka-hastayA sanATena sa-upaDAnena su-AstIrNena
   śayanena śobhamānam, śayanasirobhāgasthitena ca kṛtakumudaśobhena	Sayanena SoBamAnam, Sayana-siroBAga-sTitena ca kRta-kumuda-SoBena
   kusumāyudhasāhāyakāyāgatena śaśineva nidrākalaśena rājatena virājamānaṃ	kusumAyuDa-sAhAyakAya-Agatena SaSinA-iva nidrA-kalaSena rAjatena virAjamAnam
   vāsagṛham /	vAsagRham /
   tatra ca hrītāyā navavadhūkāyāḥ parāṅmukhaprasuptāyā maṇibhittidarpaṇeṣu	tatra ca hrItAyAH nava-vaDUkAyAH parAFmuKa-prasuptAyAH maNi-Bitti-darpaNezu
   mukhapratibimbāni prathamālāpākarṇanakautukāgatagṛhadevatānanānīva	muKa-pratibimbAni praTama-AlApa-AkarNana-kOtuka-Agata-gRha-devatA-AnanAni-iva
   maṇigavākṣakeṣu vīkṣamāṇaḥ kṣaṇadāṃ ninye /	maNi-gavAkzakezu vIkzamANaH kzaNadAm ninye /
   sthitvā ca śvaśurakule śīlenāmṛtamiva śvaśrūhṛdaye	sTitvA ca SvaSura-kule SIlena-amRtam-iva SvaSrU-hRdaye
   varṣannabhinavābhinavopacārairapunaruktānyānandamayāni daśa dināni, dattvā	varzan=-aBinava-aBinava-upacArEH-apunaruktAni-Ananda-mayAni daSa dinAni, dattvA
   ca rājadauvārikamiva rājakule raṇaraṇakaṃ yautakaniveditānīva	ca rAja-dOvArikam-iva rAja-kule raNa-raNakam yOtaka-niveditAni-iva
   śambalānyādāya hṛdayāni sarvalarokasya kathaṅkathamapi visarjito nṛpeṇa	SambalAni-AdAya hRdayAni sarvalarokasya kaTaFkaTam-api visarjitaH nRpeNa
   vadhvā saha svadeśamagamaditi /	vaDvA saha sva-deSam-agamat-iti /
   iti śrīmahākavibāṇamaṭṭakṛtau harṣacarite cakravartijanmavarṇanaṃ nāma	iti SrI-mahAkavi-bANam-awwa-kRtO harza-carite cakravarti-janmavarNanam nAma
   caturtha ucchvāsaḥ/	caturTaH ucCvAsaH/
