   ADHYAYA 1	ADHYAYAH 1
   devānavahad devatvamagamayatprajāpatitvāt /	devAn avahat deva tvam agamayat prajApati tvAt /
   devānāṃ vā voḍhābhavat /	devAnAm vA voXA aBavat /
   natu nindaiva vāhanatvam /	na tu nindA eva vAhana tvam /
   naiṣa doṣaḥ, vāhanatvaṃ svābhāvikamaśvasya /	na eza dozaH, vAhana tvam svABAvikam aSvasya /
   svābhāvikatvāducchrāyaprāptirdevādisambandho 'śvasyeti stutirevaiṣā /	svABAvika tvAt ucCrAya prAptiH deva Adi sambanDaH aSvasya iti stutiH eva ezA /
   tathā vājyādayo jātiviśeṣāḥ /	taTA vAjya AdayaH jAti viSezAH /
   vājī bhūtvā gandharvānavahadityanuṣaṅgaḥ /	vAjI BUtvA ganDarvAn avahat iti anuzaFgaH /
   tathārvā bhūtvāsurān /	taTA arvA BUtvA asurAn /
   aśvo bhūtvā manuṣyān /	aSvaH BUtvA manuzyAn /
   samudra eveti paramātmā bandhubandhanaṃ badhyate 'sminniti /	samudraH eva iti paramAtmA banDu banDanam baDyate asmin= iti /
   samudro yoniḥ kāraṇamutpattiṃ prati /	samudraH yoniH kAraNam utpattim prati /
   evamasau śuddhayoniḥ śuddhasthitiriti stūyate /	evam asO SudDa yoniH SudDa sTitiH iti stUyate /
   apsu yonirvā aśvaḥ iti śruteḥ prasiddha eva vā samudro yoniḥ //2//	apsu yoniH vA aSvaH iti SruteH prasidDaH eva vA samudraH yoniH //2//
   iti prathamādhyāye prathamamaśvamedhabrāhmaṇam //1//	iti praTama aDyAye praTamam aSvameDa brAhmaNam //1//
   athāgneraśvamedhopayogikasyotpattirucyate /	aTa agneH aSvameDa upayogikasya utpattiH ucyate /
   tadviṣayadarśanavivakṣayaivotpattiḥ stutyarthā /	tad vizaya darSana vivakzayA eva utpattiH stuti arTAH /
   START BrhUp 1,2.1	START BrhUp 1,2.1
   naiveha kiṃ canāgra āsīt |	na eva iha kim cana agre AsIt |
   mṛtyunaivedam āvṛtam āsīd aśanāyayā |	mRtyunA eva idam AvRtam AsIt aSanAyayA |
   aśanāyā hi mṛtyuḥ |	aSanAyAH hi mRtyuH |
   tan mano 'kurutātmanvī syām iti |	tat manaH akuruta AtmanvI syAm iti |
   so 'rcann acarat |	saH arcan acarat |
   tasyārcata āpo 'jāyanta |	tasya arcate ApaH ajAyanta |
   arcate vai me kam abhūd iti |	arcate vE me kam aBUt iti |
   tad evārkyasyārkatvam |	tat eva arkyasya arka tvam |
   kaṃ ha vā asmai bhavati ya evam etad arkyasyārkatvaṃ veda || BrhUp_1,2.1	kam ha vE asmE Bavati yaH evam etat arkyasya arka tvam vedaH || BrhUp_1,2.1
   BrhUpBh_1,2.1 naiveha kiñcanāgra āsīt /	Brhu upBh_1,2.1 na eva iha kiQcana agre AsIt /
   iha saṃsāramaṇḍale kiñcana kiñcidapi nāmarūpapravibhaktaviśeṣaṃ naivāsīd	iha saMsAra maNxale kiQcana kiQcid api nAma rUpa praviBakta viSezam na eva AsIt 
   na babhūva agre prāgutpattermanādeḥ /	na baBUva agre prAk utpatteH manAdeH /
   kiṃ śūnyameva syāt"naiveha kiñcana"iti śruteḥ /	kim SUnyam eva syAt"na eva iha kiQcana" iti SruteH /
   na kāryaṃ kāraṇaṃ vāsīt /	na kAryam kAraNam vA AsIt /
   utpatteśca, utpadyate hi ghaṭaḥ, ataḥ prāgutpatterghaṭasya nāstitvam /	utpatteH ca, utpadyate hi GawaH, atas prAk utpatteH Gawasya nAstitvam /
   nanu kāraṇasya na nāstitvaṃ mṛtpiṇḍādidarśanāt /	nanu kAraNasya na nAstitvam mRd piNxa Adi darSanAt /
   yannopalabhyate tasyaiva nāstitā /	yat na upalaByate tasya eva na astitAH /
   astu kāryasya na tu kāraṇasya, upalampamānatvāt /	astu kAryasya na tu kAraNasya, upalampamAna tvAt /
   naḥ prāgutpatteḥ sarvānupalambhāt /	naH prAk utpatteH sarvAn upalamBAt /
   anupalabdhiścedabhāvahetuḥ sarvasya jagataḥ prāgutpatterna kāraṇaṃ kāryaṃ	anupalabDiH ced aBAva hetuH sarvasya jagataH prAk utpatteH na kAraNam kAryam
   vopalabhyate /	vA upalaByate /
   tasmātsarvasyaivābhāvo 'stu /	tasmAt sarvasya eva aBAvaH astu /
   naḥ"mṛtyunaivedamāvṛtamāsīt"iti śruteḥ /	naH" mRtyu nA eva idam AvRtam AsIt"iti SruteH /
   yadi hi kiñcidapi nāsīd yenāvriyate yaccāvriyate tadā	yadi hi kiQcid api na AsIt yena Avriyate yat ca Avriyate tadA
   nāvakṣyat'mṛtyunaivedamāvṛtam'iti /	na avakzyat amRtyunA eva idam AvRtam aiti /
   na hi bhavati gaganakusumacchanno vandhyāputra iti /	na hi Bavati gagana kusuma= CannaH vanDyA putraH iti /
   bravīti ca'mṛtyunaivedamāvṛtamāsīt'iti, tasmādyenāvṛtaṃ kāraṇena,	bravIti ca amRtyunA eva idam AvRtam AsIt aiti, tasmAt yena AvRtam kAraNena,
   yaccāvṛtaṃ kāryaṃ prāgutpattestadubhayamāsīt, śruteḥ	yat ca AvRtam kAryam prAk utpatteH tat uBayam AsIt, SruteH
   prāmāṇyādanumeyatvācca /	prAmANyAt anumeya tvAt ca /
   anumīyate ca prāgutpatteḥ kāryakāraṇayorastitvam;kāryasya hi sato	anumIyate ca prAk utpatteH kArya kAraNayoH astitvam ;kAryasya hi sataH 
   jāyamānasya kāraṇe satyutpattidarśanāt, asati cādarśanāt /	jAyamAnasya kAraNe sati utpatti darSanAt, asati ca adarSanAt /
   jagato 'pi prāgutpatteḥ kāraṇāstitvamanumīyate ghaṭādikāraṇāstitvavat /	jagataH api prAk utpatteH kAraNa astitvam anumIyate Gawa Adi kAraNa astitva vat /
   ghaṭādikāraṇasyāpyasattvameva, anupamṛdya mṛtpiṇḍādikaṃ	Gawa Adi kAraNasya api asattvam eva, anupamRdya mRd piNxa Adikam
   ghaṭādyanutpatteriti cet? na;mṛdādeḥ kāraṇatvāt /	Gawa Adi anutpatteH iti cet? na;mRd AdeH kAraNa tvAt /
   mṛtsuvarṇādi hi tatra kāraṇaṃ ghaṭarucakādeḥ, na piṇḍākāraviśeṣaḥ,	mRd suvarNa Adi hi tatra kAraNam Gawa rucaka AdeH, na piNxa AkAra viSezaH,
   tadabhāve bhāvāt /	tad aBAve BAvAt /
   asatyapi piṇḍākāraviśeṣe mṛtsuvarṇādikāraṇadravyamātrādeva	asatI api piNxa AkAra viSeze mRd suvarNa Adi kAraNa dravya mAtrAt eva
   ghaṭarucakādikāryotpattirdṛśyate /	Gawa rucaka Adi kArya utpattiH dRSyate /
   tasmānna piṇḍākāraviśeṣe ghaṭarucakādikāraṇam /	tasmAt na piNxa AkAra viSeze Gawa rucaka Adi kAraNam /
   asati tu mṛtsuvarṇādidravye ghaṭarucakādirna jāyata iti	asati tu mRd suvarNa Adi dravye Gawa rucaka AdiH na jAyate iti
   mṛtsuvarṇādidravyameva kāraṇam, na tu piṇḍākāraviśeṣaḥ /	mRd suvarNa Adi dravyam eva kAraNam, na tu piNxa AkAra viSezaH /
   sarvaṃ hi kāraṇaṃ kāryamutpādayatpūrvotpannasyātmakāryasya tirodhānaṃ	sarvam hi kAraNam kAryam utpAdayat pUrva utpannasya Atma kAryasya tiroDAnam
   kurvatkāryāntaramutpādayati, ekasminkāraṇe yugapadanekakāryavirodhāt /	kurvat kArya antaram utpAdayati, ekasmin kAraNe yugapad aneka kArya viroDAt /
   na ca pūrvakāryopamamarde kāraṇasya svātmopamarde bhavati /	na ca pUrva kArya upama marde kAraNasya sva Atma upamarde Bavati /
   tasmātpiṇḍādyupamarde kāryotpattidarśanamahetuḥ prāgutpatteḥ kāraṇāsattveḥ	tasmAt piNxa Adi upamarde kArya utpatti darSanam ahetuH prAk utpatteH kAraNa asattveH
   piṇḍādivyatirekeṇa mṛdāderasattvādayuktamiti cet piṇḍādipūrvakāryopamarde	piNxa Adi vyatirekeNa mRdA Adera sattvAt ayuktam iti cet  piNxa Adi pUrva kArya upamarde
   mṛdādikāraṇaṃ nopamṛdyate, ghaṭādikāryāntare 'pyanuvartate	mRd Adi kAraNam na upamRdyate, Gawa Adi kArya antare api anuvartate
   ityetadayuktam;piṇḍaghaṭādivyatirekeṇa mṛdādikāraṇasyānupalambhāditi cet?	iti etat ayuktam ;piNxa Gawa Adi vyatirekeNa mRdAdi kAraNasya anupalamBAt iti ced ?
   na, mṛdādikāraṇānāṃ ghaṭādyutpattau piṇḍādinivṛttāvanuvṛttidarśanāt /	na, mRd Adi kAraNAnAm Gawa Adi utpattO piNxa Adi nivRttO= anuvRtti darSanAt /
   sādṛśyādanvayadarśanaṃ na kāraṇānuvṛtteriti cenna, piṇḍādigatānāṃ	sAdRSyAt anvaya darSanam na kAraNa anuvRtteH iti ced na, piNxa Adi gatAnAm
   mṛdādyavayavānāmeva ghaṭādau pratyakṣatve	mRd Adi avayavAnAm eva Gawa AdO pratyakza tve
   'numānābhāsātsādṛśyādikalpanānupapatteḥ /	anumAna ABAsAt sAdRSya Adi kalpanA anupapatteH /
   na ca	na ca
   pratyakṣānumānayorviruddhāvyabhicāritā,pratyakṣapūrvakatvādanumānasya	pratyakza anumAnayoH virudDa avi aBicAritA, pratyakza pUrvaka tvAt anumAnasya
   sarvatraivānāśvāsaprasaṅgāt /	sarvatra eva anASvAsa prasaFgAt /
   yadi ca kṣaṇikaṃ sarvaṃ tadevedamiti gamyamānaṃ	yadi ca kzaNikam sarvam tat eva idam iti gamyamAnam
   tadbuddherapyanyatadbuddhyapekṣatve tasyā	tad budDeH api anya tad budDi apekza tve tasyAH 
   apyanyatadbuddhyapekṣatvamityanavasthāyāṃ tatsadṛśamidamityasyā api	api anya tad budDi apekza tvam iti anavasTAyAm tat sadRSam idam iti asyAH api
   buddhermṛpātvātsarvatrānāśvāsataiva /	budDeH mRpAtvAt sarva tra anASvAsa tA eva /
   tadidambuddhyorapi kartrabhāve sambandhānupapattiḥ /	tat idambudDyoH api kartR aBAve sambanDa anupapattiH /
   sādṛśyāttatsambandha iti cenna,	sAdRSyAt tad sambanDaH iti ced na,
   tadidambuddhyoritaretaraviṣayatvānupapatteḥ /	tat id ambudDyoH ita retara vizaya tva anupapatteH /
   asati cetaretaraviṣayatve sādṛśyagrahaṇānupapattiḥ /	asati ca itaretara vizaya tve sAdRSya grahaNa anupapattiH /
   asatyeva sādṛśye tadbuddhiriti cenna, tadidambuddhyorapi	asati eva sAdRSye tad budDiH iti ced na, tat id ambudDyoH api
   sādṛśyabuddhivadasadviṣayatvaprasaṅgāt /	sAdRSya budDi vat asat vizaya tva prasaFgAt /
   asadviṣayatvameva sarvabuddhīnāmastviti cenna,	asat vizaya tvam eva sarva budDInAm astu iti ced na,
   buddhibuddherapyasadviṣayatvaprasaṅgāt /	budDi budDeH api asat vizaya tva prasaFgAt /
   tadapyastviti cenna, sarvabuddhīnāṃ mṛṣātve 'satyabuddhyanupapatteḥ /	tat api astu iti ced na, sarva budDInAm mRzA tve asatyabudDi anupapatteH /
   tasmādasadetatsādṛśyāttadbuddhiriti /	tasmAt asat etat sAdRSyAt tat budDiH iti /
   ataḥ siddhaḥ prākkāryotpatteḥ kāraṇasadbhāvaḥ /	atas sidDaH prAk kArya utpatteH kAraNa sadBAvaH /
   kāryasya cābhivyaktiliṅgatvāt /	kAryasya ca aBivyakti liFga tvAt /
   kāryasya ca sadbhāvaḥ prāgutpatteḥ siddhaḥ /	kAryasya ca sadBAvaH prAk utpatteH sidDaH /
   kathamabhivyaktiliṅgatvādabhivyaktiliṅgamasyeti /	kaTam aBivyakti liFga tvAt aBivyakti liFgam asya iti /
   abhivyaktiḥ sākṣādvijñānālambanatvaprāptiḥ /	aBivyaktiH sAkzAt vijQAna Alambana tva prAptiH /
   yadvi loke prāvṛtaṃ tama ādinā ghaṭādivastu tadālokādinā	yat vi loke prAvRtam tamaH AdinA Gawa Adi vastu tad Aloka AdinA
   prāvaraṇatiraskāreṇa vijñānaviṣayatvaṃ prāpnuvatprāksadbhāvaṃ na	prAvaraNa tiraskAreNa vijQAna vizaya tvam prApnuvat prAk sadBAvam na
   vyabhicarati /	vyaBicarati /
   tathedamapi jagatprāgutpatterityavagacchāmaḥ /	taTA idam api jagat prAk utpatteH iti avagacCAmaH /
   na hyavidyamāno ghaṭa udite 'pyāditye upalabhyate /	na hi avidyamAnaH GawaH udite api Aditye upalaByate /
   na te 'vidyamānatvābhāvādupalabhyetaiveti cet /	na te avidyamAna tva aBAvAt upalaByeta eva iti ced /
   na hi tava ghaṭādikāryaṃ kadācidapyavidyamānamityudite āditye	na hi tava Gawa Adi kAryam kadAcid api avidyamAnam iti udite Aditye
   upalabhyetaiva mṛtpiṇḍe 'sannihite tamādyāvaraṇe cāsati vidyamānatvāditi	upalaByeta eva mRd piNxe asat nihite tam Adi a AvaraNe ca asati vidyamAna tvAt iti
   cet? na, dvividhatvādāvaraṇasya /	cet? na, dviviDa tvAt AvaraNasya /
   ghaṭādikāryasya dvividhaṃ hyāvaraṇaṃ mṛdādāravibhaktasya tamaḥkuḍyādi	Gawa Adi kAryasya dviviDam hi AvaraNam mRdA dAra viBaktasya tamaH kuxya Adi
   prāṅmṛdo 'bhivyaktermṛdādyavayavānāṃ piṇḍādikāryāntararūpeṇa saṃsthānam /	prAk mRdaH aBivyakteH mRdA Adi avayavAnAm piNxa Adi kArya antara rUpeNa saMsTAnam /
   tasmātprāgutpattervidyamānasyaiva ghaṭādikāryasya āvṛtatvādanupalabdhiḥ /	tasmAt prAk utpatteH vidyamAnasya eva Gawa Adi kAryasya AvRta tvAt anupalabDiH /
   naṣṭotpannabhāvābhāvaśabdapratyayabhedastu	nazwa utpanna BAva aBAva Sabda pratyaya BedaH tu
   abhivyāktatirobhāvayordvividhatvāpekṣaḥ /	aBivyAkta tiroBAvayoH dviviDa tva apekzaH /
   piṇḍakapālāderāvaraṇavailakṣaṇyādayuktamiti cet? tamaḥkuḍyādi hi	piNxaka pAla AdeH AvaraNa vElakzaNyAt ayuktam iti cet? tamaH kuxya Adi hi
   ghaṭādyāvaraṇaṃ ghaṭādibhinnadeśaṃ dṛṣṭaṃ na tathā ghaṭādibhinnadeśe dṛṣṭe	Gawa Adi AvaraNam Gawa Adi Binna deSam dRzwam na taTA Gawa Adi Binna deSe dRzwe
   piṇḍakapāle /	piNxa kapAle /
   tasmāt piṇḍakapālasaṃsthānayorvidyamānasyaiva ghaṭasyāvṛtatvād	tasmAt piNxa kapAla saMsTAnayoH vidyamAnasya eva Gawasya AvRta tvAt 
   anupalabdhirityayuktam āvaraṇadharmavailakṣaṇyāditi cet? na kṣīrodakādeḥ	anupalabDiH iti ayuktam AvaraNa Darma vElakzaNyAt iti cet? na kzIra udaka AdeH
   kṣīrādyāvaraṇenaikadeśatvadarśanāt /	kzIra Adi AvaraNena eka deSa tva darSanAt /
   ghaṭādikārye kapālacūrṇādyavayavānāmantarbhāvādanāvaraṇatvamiti cenna,	Gawa Adi kArye kapAla cUrNa Adi avayavAnAm antarBAvAt anAvaraNa tvam iti ced na,
   vibhaktānāṃ kāryāntaratvādāvaraṇatvopapatteḥ /	viBaktAnAm kArya antara tvAt AvaraNa tva upapatteH /
   āvaraṇābhāva eva yatnaḥ kartavya iti cet?	AvaraNa aBAvaH eva yatnaH kartavyaH iti ced ?
   piṇḍakapālāvasthayorvidyamānameva ghaṭādikāryamāvṛtatvānnobhalabhyata iti	piNxa kapAla avasTayoH vidyamAnam eva Gawa Adi kAryam AvRta tvAt na uBalaByate iti
   ced ghaṭādikāryārthinā tadāvaraṇavināśa eva yatnaḥ kartavyo na	ced Gawa Adi kArya arTinA tad AvaraNa vinASaH eva yatnaH kartavyaH na
   ghaṭādyutpattau? na caitadasti, tasmādayuktaṃ	Gawa Adi utpattO? na ca etat asti, tasmAt ayuktam
   vidyamānasyaivāvṛtatvādanupalabdhiriti cet? na aniyamāt /	vidyamAnasya eva AvRta tvAt anupalabDiH iti cet? na aniyamAt /
   na hi vināśamātraprayatnādeva ghaṭādyabhivyaktirniyatā /	na hi vinASa mAtra prayatnAt eva Gawa Adi aBivyaktiH niyatA /
   tamādyāvṛte ghaṭādau pradīpādyutpattau prayatnadarśanāt /	tam Adya AvRte Gawa AdO pradIpa Adi utpattO prayatna darSanAt /
   so 'pi tamonāśāyaiveti cet? dīpādyutpattāvapi yaḥ prayatnaḥ so 'pi	saH api tamaH nASAya eva iti cet? dIpa Adi utpattO= api yaH prayatnaH saH api
   tamastiraskaraṇāya tasminnaṣṭe ghaṭaḥ svayamevopalabhyate /	tamaH tiraskaraNAya tasmin= azwe GawaH svayam eva upalaByate /
   na hi kiñcidādhīyate iti cet? na, prakāśavato ghaṭasyopalabhyamānatvāt /	na hi kiQcid ADIyate iti cet? na, prakASavataH Gawasya upalaByamAna tvAt /
   yathā prakāśaviśiṣṭo ghaṭa upalabhyate na tathā prākpradīpakaraṇāt /	yaTA prakASa viSizwaH GawaH upalaByate na taTA prAc pradIpa karaNAt /
   tasmānna tamastiraskārāyaiva pradīpakaraṇaṃ kiṃ tarhi? prakāśavattvaya /	tasmAt na tamaH tiraskArAya eva pradIpa karaNam kim tarhi? prakASa vat tvayaH /
   prakāśavattvenaivopalabhyamānatvāt /	prakASavat tvena eva upalaByamAna tvAt /
   kvacidāvaraṇavināśe 'pi yatnaḥ syāt, yathā kuḍyādivināśe /	kvacid AvaraNa vinASe api yatnaH syAt, yaTA kuxya Adi vinASe /
   tasmānna niyamo 'styabhivyaktarthināvaraṇavināśa eva yatnaḥ kārya iti /	tasmAt na niyamaH asti aBivyaktarTina AvaraNa vinASaH eva yatnaH kAryaH iti /
   niyamātmarthavattvācca /	niyama AtmarTavat tvAt ca /
   kāraṇe vartamānaṃ kāryaṃ kāryāntarāṇāmāvaraṇamityavocāma /	kAraNe vartamAnam kAryam kArya antarANAm AvaraNam iti avocAma /
   tatra yadi pūrvābhivyaktasya kāryasyapiṇḍasyavyavahitasya vā kapālasya	tatra yadi pUrva aBivyaktasya kAryasya piNxasya vyavahitasya vA kapAlasya
   vināśa eva yatnaḥ kriyeta, tadā vidalacūrṇādyapi kāryaṃ jāyeta /	vinASaH eva yatnaH kriyeta, tadA vidala cUrNa Adi api kAryam jAyeta /
   tenāpyāvṛto ghaṭo nopalabhyata iti punaḥ prayatnāntarapekṣaiva /	tena api AvRtaH GawaH na upalaByate iti punar prayatna antarapekzA eva /
   tasmād ghaṭādyabhivyaktyarthino niyata eva kārakavyāpāror'thavān /	tasmAt Gawa Adi aBivyakti arTinaH niyataH eva kArakavyApAror aTavAn /
   tasmātprāgutpatterapi tadeva kāryam /	tasmAt prAc utpatteH api tat eva kAryam /
   atitānāgatapratyayabhedācca /	atitAnAgata pratyaya BedAt ca /
   atīto ghaṭo 'nāgato ghaṭa ityetayośca pratyayorvartamānaghaṭapratyayavanna	atItaH GawaH anAgataH GawaH iti etayoH ca pratyayoH vartamAna Gawa pratyaya vat na
   nirviṣayatvaṃ yuktam;anāgatārthipravṛtteśca /	nirvizaya tvam yuktam;anAgata arTi pravRtteH ca /
   na hyasatyarthitayā pravṛttirloke dṛṣṭā /	na hi asati arTitayA pravRttiH loke dRzwAH /
   yogināṃ cātītānāgatajñānasya satyatvāt /	yoginAm ca atIta anAgata jQAnasya satya tvAt /
   asaṃścedbhaviṣyadghaṭa aiśvarambhaviṣyadghaṭaviṣayaṃ pratyakṣajñānaṃ	asan= ced Bavizyat Gawa ESvaram Bavizyat Gawa vizayam pratyakza jQAnam
   mithyā syāt na ca pratyakṣamupacaryate /	miTyA syAt na ca pratyakzam upacaryate /
   ghaṭasadbhāvehyanumānamavocāma /	Gawa sadBA va ihi anumAnam avocAma /
   vipratiṣedhācca /	vipratizeDAt ca /
   yadi ghaṭo bhaviṣyatīti kulālādiṣu vyāpriyamāṇeṣu ghaṭārthaṃ pramāṇena	yadi GawaH Bavizyati iti kulAla Adizu vyApriyamANezu Gawa arTam pramANena
   niścitaṃ yena ca kālena ghaṭasya sambandho bhaviṣyatītyucyate, tasminneva	niScitam yena ca kAlena Gawasya sambanDaH Bavizyati iti ucyate, tasmin= eva
   kāle ghaṭo 'sanniti vipratiṣiddhamabhidhīyate /	kAle GawaH asan= iti vipratizidDam aBiDIyate /
   bhaviṣyanaghaṭo 'sanniti, na bhaviṣyatītyarthaḥ /	Bavizyana GawaH asanniti, na Bavizyati iti arTaH /
   ayaṃ ghaṭo na vartata iti yadvat /	ayam GawaH na vartate iti yadvat /
   atha prāgutpatterghaṭo 'sannityucyeta, ghaṭārtha pravṛtteṣu kulālādiṣu	aTa prAk utpatteH GawaH asan= iti ucyeta, Gawa arTa pravRttezu kulAla Adizu
   tatra yathā vyāpārarūpeṇa vartamānāstāvatkulālādayaḥ, tathā ghaṭo na	tatra yaTA vyApAra rUpeNa vartamAnAH tAvat kulAla AdayaH, taTA GawaH na
   vartata ityasacchabdasyārthaścenna virudhyate /	vartate iti asat Sabdasya arTaH ced na viruDyate /
   kasmāt? svena hi bhaviṣyadrūpeṇa ghaṭo vartate /	kasmAt? svena hi Bavizyat rUpeNa GawaH vartate /
   na hi piṇḍasya vartamānatā kapālasya vā ghaṭasya bhavati /	na hi piNxasya vartamAna tA kapAlasya vA Gawasya Bavati /
   na ca tayorbhaviṣyattā ghaṭasya /	na ca tayoH BavizyattA Gawasya /
   tasmātkulālādivyāpāravartamānatāyāṃ prāgutpatterghaṭo 'sanniti na	tasmAt kulAla Adi vyApAra vartam Ana tAyAm prAk utpatteH GawaH asan= iti na
   virudhyate /	viruDyate /
   yadi ghaṭasya yatsvaṃ bhaviṣyattākāryarūpaṃ tatpratipidhyeta,	yadi Gawasya yat svam Bavizyat tA kArya rUpam tat pratipiDyeta,
   tatpratipedhe virodhaḥ syāt /	tad pratipeDe viroDaH syAt /
   na tu tadbhavānpratiṣedhati /	na tu tat BavAn pratizeDati /
   na ca sarveṣāṃ kriyāvatāṃ kārakāṇāmekaiva vartamānatā bhaviṣyattvaṃ vā /	na ca sarvezAm kriyAvatAm kArakANAm ekA eva vartamAna tA Bavizyat tvam vA /
   api ca caturvidhānāmabhāvānāṃ ghaṭasyetaretarābhāvo ghaṭādanyo dṛṣṭo yathā	api ca caturviDAnAm aBAvAnAm Gawasya itaretarABAvaH GawAt anyaH dRzwaH yaTA
   ghaṭābhāvaḥ paṭādireva na ghaṭasvarūpameva /	Gawa aBAvaH pawa AdiH eva na Gawa svarUpam eva /
   na ca ghaṭābhāvaḥ sanpaṭo 'bhāvātmakaḥ, kiṃ tarhi? bhāvarūpa eva /	na ca Gawa aBAvaH sanpawaH aBAva AtmakaH, kim tarhi? BAva rUpaH eva /
   evaṃ ghaṭasya prākpradhvaṃsātyantābhāvanāmapi ghaṭādanyatvaṃ syāt /	evam Gawasya prAk praDvaMsa atyantA BAvanAm api GawAt anya tvam syAt /
   ghaṭena vyapadiśyamānatvād ghaṭasyetaretarābhāvavat /	Gawena vyapadiSyamAna tvAt Gawasya itara itara aBAva vat /
   tathaiva bhāvātmakatābhāvānām /	taTA eva BAva Atmaka tA BAvAnAm /
   evaṃ ca sati ghaṭasya prāgabhāva iti na ghaṭasvarūpameva prāgutpatternāsti	evam ca sati Gawasya prAc aBAvaH iti na Gawa svarUpam eva prAk utpatteH na asti
   atha ghaṭasya prāgabhāva iti ghaṭasya yatsvarūpaṃ tadevocyeta	aTa Gawasya prAc aBAvaH iti Gawasya yat svarUpam tat eva ucyeta
   ghaṭasyetivyapadeśānupapattiḥ /	Gawasya iti vyapadeSa anupapattiH /
   atha kalpayitvā vyapadiśyeta śilāputrakasya śarīramiti yadvat, tathāpi	aTa kalpayitvA vyapadiSyeta SilAputrakasya SarIram iti yadvat, taTA api
   ghaṭasya prāgabhāva iti kalpitasyaivābhāvasya ghaṭena vyapadeśo na	Gawasya prAc aBAvaH iti kalpitasya eva aBAvasya Gawena vyapadeSaH na
   ghaṭasvarūpasyaiva /	Gawa svarUpasya eva /
   athārthāntaraṃ ghaṭād ghaṭasyābhāva iti, uktottarametat /	aTa arTa antaram GawAt Gawasya aBAvaH iti, ukta uttaram etat /
   kiñcānyatprāgutpatteḥ śaśaviṣāṇavadabhāvabhūtasya ghaṭasya	kiQca anyat prAk utpatteH SaSa vizANa vat aBAva BUtasya Gawasya
   svakāraṇasattāsambandhānupapattiḥ, dviniṣṭhatvātsambandhasya	sva kAraNa sattA sambanDa anupapattiH, dvi nizWa tvAt sambanDasya
   ayutasiddhānāmadoṣa iti cenna, bhāvābhāvayorayutasiddhatvānupapatteḥ /	ayutasidDAnAm adozaH iti ced na, BAva aBAvayoH ayuta sidDa tva anupapatteH /
   bhāvābhūtayorhi yutasiddhatāyutasiddhatā vā syānna tu	BAva aBUtayoH hi yuta sidDa tA ayuta sidDa tA vA syAt na tu
   bhāvābhāvayorabhāvayorvā /	BAva aBAvayoH aBAvayoH vA /
   tasmātsadeva kāryaṃ prāgutpatteriti siddham /	tasmAt sat eva kAryam prAk utpatteH iti sidDam /
   kiṃllakṣaṇena mṛtyunāvṛtamityata āha aśanāyayā aśitumicchā aśanāyā saiva?	kin= lakzaNena mRtyunA AvRtam iti atas Aha  aSanAyayA aSitum icCA aSanAyA sA eva?
   mṛtyorlakṣaṇaṃ tayā lakṣitena mṛtyunāśanāyayā /	mRtyoH lakzaNam tayA lakzitena mRtyu nASanAyayA /
   kathamaśanāyā mṛtyuḥ? ityucyate   aśanāyā hi mṛtyuḥ /	kaTam aSanAyAH mRtyuH? iti ucyate  aSanAyAH hi mRtyuH /
