   bhīṣmaparva	BIzma-parva
   abhūdvyatikaro ghoraḥ patatāṃ gajayodhinām // Bhmj_6.339 //	aBUt-vyatikaraH GoraH patatAm gaja-yoDinAm // Bhmd-_6.339 //
   yudhyamāneṣu sainyeṣu bhīmena bhujaśālinā /	yuDyamAnezu sEnyezu BImena Buja-SAlinA /
   abhyādravatsānugastaṃ svayaṃ rājā suyodhanaḥ // Bhmj_6.340 //	aByAdravat-sa-anugaH-tam svayam rAjA suyoDanaH // Bhmd-_6.340 //
   chāditaṃ kauravairdṛṣṭvā bhīmaṃ viśikhavarṣibhiḥ /	CAditam kOravEH-dRzwvA BImam viSiKa-varziBiH /
   vimohaṃ vidadhe teṣāṃ mohanāstreṇa pārṣanaḥ // Bhmj_6.341 //	vimoham vidaDe tezAm mohana-astreNa pArzanaH // Bhmd-_6.341 //
   droṇena svayamabhyetya jñānāstreṇa vināśite /	droNena svayam-aByetya jQAna-astreNa vinASite /
   mohanāstre kurupatiṃ bhīmastūrṇamupādravat // Bhmj_6.342 //	mohana-astre kuru-patim BImaH-tUrNam-upAdravat // Bhmd-_6.342 //
   madāndha kvādhunā jīvanmayi jīvati yāsyasi /	mada-anDa kva-aDunA jIvan-mayi jIvati yAsyasi /
   ityuktvā te śaraśatairvajravegairavākiran // Bhmj_6.343 //	iti-uktvA te Sara-SatEH-vajra-vegEH-avAkiran // Bhmd-_6.343 //
   bhīmacāpacyutairbāṇaiḥ so 'tha kṛttarathadhvajaḥ /	BIma-cApa-cyutEH-bANEH saH aTa kRtta-raTa-DvajaH /
   hṛdi nirdārito bheje mūrchāṃ vyathitamānasaḥ // Bhmj_6.344 //	hRdi nirdAritaH Beje mUrCAm vyaTita-mAnasaH // Bhmd-_6.344 //
   atrāntare bhīṣmaśarairhanyamāneṣu rājasu /	atra-antare BIzma-SarEH-hanyamAnezu rAjasu /
   ghoro babhūva saṃmardaḥ kṛtāntasamarotsavaḥ // Bhmj_6.345 //	GoraH baBUva saMmardaH kRtAnta-samara-utsavaH // Bhmd-_6.345 //
   draupadeyeṣu vīreṣu yudhyamāneṣu kauravaiḥ /	drOpadeyezu vIrezu yuDyamAnezu kOravEH /
   avartata raṇo ghoro gajavājirathakṣayaḥ // Bhmj_6.346 //	avartata raNaH GoraH gaja-vAji-raTa-kzayaH // Bhmd-_6.346 //
   athāvahāraṃ sainyānāṃ cakre śantanunandanaḥ /	aTa-avahAram sEnyAnAm cakre Santanu-nandanaH /
   rājasevāvṛte sūrye yāte 'staṃ rudhirāruṇe // Bhmj_6.347 //	rAja-sevA-AvRte sUrye yAte astam ruDira-aruNe // Bhmd-_6.347 //
   ***** ṣaṣṭho yuddhadivasaḥ || 27 || *****	***** zazWaH yudDa-divasaH || 27 || *****
   anyedyurmaṇḍalavyūhe bhīṣmeṇa vihite svayam /	anyedyus-maNxala-vyUhe BIzmeNa vihite svayam /
   yudhiṣṭhiraḥ sa durbhedyaṃ vajravyūhamakalpayat // Bhmj_6.348 //	yuDizWiraH sa durBedyam vajra-vyUham-akalpayat // Bhmd-_6.348 //
   tataḥ pravṛtte samare bhīṣaṇe bhīṣmapārthayoḥ /	tatas pravRtte samare BIzaNe BIzma-pArTayoH /
   virāṭa ādravaddroṇaṃ gariṣṭhaṃ sarvadhanvinām // Bhmj_6.349 //	virAwaH Adravat-droNam garizWam sarva-DanvinAm // Bhmd-_6.349 //
   dromastaṃ bāṇavarṣeṇa saṃchādya śaravarṣiṇam /	dromaH-tam bANa-varzeNa saMCAdya Sara-varziNam /
   unnanāda dhanadhvāno rathamasya jaghāna ca // Bhmj_6.350 //	unnanAda Dana-DvAnaH raTam-asya jaGAna ca // Bhmd-_6.350 //
   sa hatāśvaṃ samutsṛjya rathaṃ putrasya saṃbhramāt /	sa hata-aSvam samutsRjya raTam putrasya saMBramAt /
   āruroha hatānīkaṃ śaṅkhasyārūḍhadhanvinaḥ // Bhmj_6.351 //	Aruroha hata-anIkam SaFKasya-ArUXa-DanvinaH // Bhmd-_6.351 //
   droṇo 'tha tau pitāputrau vilokyaikarathe sthitau /	droNaH aTa tO pitAputrO vilokya-eka-raTe sTitO /
   śaṅkhāya prāhiṇoddhoraṃ mṛtyudaṇḍopamaṃ śaram // Bhmj_6.352 //	SaFKAya prAhiNot-horam mRtyu-daNxa-upamam Saram // Bhmd-_6.352 //
   sa tena bhinnahṛdayaḥ papāta kṣatajokṣitaḥ /	sa tena Binna-hRdayaH papAta kzataja-ukzitaH /
   vātenonmathitaḥ śailādutphulla iva kiśukaḥ // Bhmj_6.353 //	vAtena-unmaTitaH SElAt-utPullaH iva kiSukaH // Bhmd-_6.353 //
   tataḥ śikhaṇḍinaṃ droṇaḥ śarairviśikhavarṣiṇam /	tatas SiKaNxinam droNaH SarEH-viSiKa-varziNam /
   hatāśve sātyakirathaṃ samārūḍhe śikhaṇḍini /	hata-aSve sAtyaki-raTam samArUXe SiKaNxini /
   alambuso rākṣasendraḥ krūrakarmā tamādravat // Bhmj_6.354 //	alambusaH rAkzasa-indraH krUra-karmA tam-Adravat // Bhmd-_6.354 //
   māyayā yudhyamānaṃ taṃ garjantaṃ rākṣaseśvaram /	mAyayA yuDyamAnam tam garjantam rAkzaseSvaram /
   cakāra vimukhaṃ kopādraurdreṇāstreṇa sātyakiḥ // Bhmj_6.355 //	cakAra vimuKam kopAt-rOrdreNa-astreNa sAtyakiH // Bhmd-_6.355 //
   śaineyena jite tasminnirāvānarjunātmajaḥ /	SEneyena jite tasmin-nirAvAn-arjuna-AtmajaH /
   vindānuvindāvabhyāyājjambhārisamavikramaḥ // Bhmj_6.356 //	vinda-anuvindO=-aByAyAt-jamBAri-sama-vikramaH // Bhmd-_6.356 //
   ghaṭotkacamathāyāntaṃ kṛtāntamiva bhairavam /	Gawotkacam-aTa-AyAntam kRtAntam-iva BEravam /
   avārayadgajendreṇa bhagadatto nṛpāgraṇīḥ // Bhmj_6.357 //	avArayat-gaja-indreNa BagadattaH nRpa-agraNIH // Bhmd-_6.357 //
   vīraṃ sa hatvā haiḍambaṃ pāṇḍavānāmanīkinīm /	vIram sa hatvA hExambam pANxavAnAm-anIkinIm /
   darpādviloḍayāmāsa gajendro nalinīmiva // Bhmj_6.358 //	darpAt-viloxayAmAsa gaja-indraH nalinIm-iva // Bhmd-_6.358 //
   mādrīsutau tataḥ śalyaṃ vidhāya virathaṃ śaraiḥ /	mAdrI-sutO tatas Salyam viDAya viraTam SarEH /
   cakraturvimukhaṃ saṃkhye rājacakrasya paśyata // Bhmj_6.359 //	cakratuH-vimuKam saMKye rAja-cakrasya paSyata // Bhmd-_6.359 //
   svayaṃ yudhiṣṭhiro rājā nṛpaṃ jitvā śrutāyudham /	svayam yuDizWiraH rAjA nRpam jitvA SrutAyuDam /
   vigāhya kauravānīkaṃ vidadhe vimukhaṃ śaraiḥ // Bhmj_6.360 //	vigAhya kOrava-anIkam vidaDe vimuKam SarEH // Bhmd-_6.360 //
   cekitānena vijite gautame dhanvināṃ gurau /	cekitA-anena vijite gOtame DanvinAm gurO /
   bhīṣmaścakāra kadanaṃ rājñāmanyatra cārjunaḥ // Bhmj_6.361 //	BIzmaH-cakAra kadanam rAjQAm-anyatra ca-arjunaH // Bhmd-_6.361 //
   yudhiṣṭhiragirā vīkṣya bhīṣmāya samabhidravat /	yuDizWira-girA vIkzya BIzmAya samaBidravat /
   śikhaṇḍinaṃ madrarājo divyairastrairavārayat // Bhmj_6.362 //	SiKaNxinam madra-rAjaH divyEH-astrEH-avArayat // Bhmd-_6.362 //
   bhīṣmeṇa hanyamāneṣu bhūpāleṣvanivartiṣu /	BIzmeNa hanyamAnezu BUpAlezu-anivartizu /
   pārthena ca trigarteṣu jagāmāstaṃ divākaraḥ // Bhmj_6.363 //	pArTena ca trigartezu jagAma-astam divAkaraH // Bhmd-_6.363 //
   tamobhirāvṛte loke raṇe raktāsavākule /	tamoBiH-AvRte loke raNe rakta-Asava-Akule /
   pramattairiva vetālaiḥ śibirāṇi yayurnṛpāḥ // Bhmj_6.364 //	pramattEH-iva vetAlEH SibirANi yayuH-nRpAH // Bhmd-_6.364 //
   ***** saptamo yuddhadivasaḥ || 28 || *****	***** saptamaH yudDa-divasaH || 28 || *****
   bhīṣmeṇa sāgaravyūhe prātarviracite punaḥ /	BIzmeNa sAgara-vyUhe prAtar-viracite punar /
   śṛṅgāṭakaṃ mahāvyūhaṃ cakre drupadanandanaḥ // Bhmj_6.365 //	SRFgAwakam mahA-vyUham cakre drupada-nandanaH // Bhmd-_6.365 //
   vidīrṇeṣviva sainyeṣu bhīṣmacāpacyutaiḥ śaraiḥ /	vidIrNezu-iva sEnyezu BIzma-cApa-cyutEH SarEH /
   babhūvābhimukhaḥ kopādeka eva vṛkodaraḥ // Bhmj_6.366 //	baBUva-aBimuKaH kopAt-ekaH eva vRkodaraH // Bhmd-_6.366 //
   sa hatvā sārathiṃ bāṇaistūrṇaṃ śantanujanmanaḥ /	sa hatvA sAraTim bANEH-tUrNam Santanu-janmanaH /
   droṇasya ca samudbhrāntapatākaṃ vidadhe ratham // Bhmj_6.367 //	droNasya ca samudBrAnta-patAkam vidaDe raTam // Bhmd-_6.367 //
   labdhalakṣyastato bhīmaḥ sapta duryodhanānujān /	labDa-lakzyaH-tatas BImaH sapta duryoDana-anujAn /
   jaghāna madasaṃrabdhānpañcānana iva dvipān // Bhmj_6.368 //	jaGAna mada-saMrabDAn-paQcAnanaH iva dvipAn // Bhmd-_6.368 //
   bahvāśinaṃ kuṇḍadhāraṃ viśālākṣaṃ sudurjayam /	bahu-ASinam kuNxaDAram viSAla-akzam su-durjayam /
   mahodaraṃ maṇḍitakaṃ sunābhaṃ ca nihatya tān // Bhmj_6.369 //	mahodaram maNxitakam sunABam ca nihatya tAn // Bhmd-_6.369 //
   vidrāvya kauravacamūṃ nanādāsphālayandiśaḥ /	vidrAvya kOrava-camUm nanAda-AsPAlayan-diSaH /
   kṣayāya sarvajagatāṃ devai rudra ivoditaḥ // Bhmj_6.370 //	kzayAya sarva-jagatAm devEH rudraH iva-uditaH // Bhmd-_6.370 //
   irāvānatha vikrānto viveśa kuruvāhinīm /	irAvAn-aTa vikrAntaH viveSa kuru-vAhinIm /
   ulūpī nāgalalanā phalgunādyamajījanat // Bhmj_6.371 //	ulUpI nAga-lalanA Palguna-Adyam-ajIjanat // Bhmd-_6.371 //
   kāryaṃ samārasāhāyyaṃ svayamityarjunena saḥ /	kAryam samArasAhAyyam svayam-iti-arjunena saH /
   uktaḥ purā surapure tāṃ yuddhabhuvamāyayau // Bhmj_6.372 //	uktaH purA sura-pure tAm yudDa-Buvam-AyayO // Bhmd-_6.372 //
   ratnakāñcanasaṃnāhaiḥ sa pātālaturaṅgamaiḥ /	ratna-kAQcana-saMnAhEH sa pAtAla-turaFgamEH /
   uhyamānaḥ śaraiścakre phaṇilokamivāparam // Bhmj_6.373 //	uhyamAnaH SarEH-cakre PaNi-lokam-iva-aparam // Bhmd-_6.373 //
   sa gatvā vipulānīkāngāndhārānhayayodhinaḥ /	sa gatvA vipula-anIkAn-gAnDArAn-haya-yoDinaH /
   śakunestanayānsapta jaghāna ghanavikramān // Bhmj_6.374 //	SakuneH-tanayAn-sapta jaGAna Gana-vikramAn // Bhmd-_6.374 //
   tato duryodhanādiṣṭo māyāvī rākṣasādhipaḥ /	tatas duryoDana-AdizwaH mAyAvI rAkzasa-aDipaH /
   alambusaḥ samabhyāyādirāvantaṃ raṇotkaṭaḥ // Bhmj_6.375 //	alambusaH samaByAyAt-irAvantam raNa-utkawaH // Bhmd-_6.375 //
   irāvanatha khaṅgena chittvā sapadi rakṣasaḥ /	irAvanaTa KaFgena CittvA sapadi rakzasaH /
   sa niṣaṅgaṃ dhanurdīptaṃ nanāda balināṃ varaḥ // Bhmj_6.376 //	sa nizaFgam DanuH-dIptam nanAda balinAm varaH // Bhmd-_6.376 //
   tato māyāṃ samāśritya mahatīṃ mohanīṃ nṛṇām /	tatas mAyAm samASritya mahatIm mohanIm nRNAm /
   yuyudhāte samāviśya tau nabho bhīmavikramau // Bhmj_6.377 //	yuyuDAte samAviSya tO naBaH BIma-vikramO // Bhmd-_6.377 //
   irāvatā nijāstraughairhanyamānasya rakṣasaḥ /	irAvatA nija-astra-oGEH-hanyamAnasya rakzasaH /
   ghoraḥ samudabhūnnādaḥ sarvaprāṇibhayaṃkaraḥ // Bhmj_6.378 //	GoraH samudaBUt-nAdaH sarva-prANi-BayaMkaraH // Bhmd-_6.378 //
   atha sāhāyyakaṃ cakrurbhujaṅgā bhujagībhuvaḥ /	aTa sAhAyyakam cakruH-BujaFgAH BujagI-BuvaH /
   tadvamanto viṣaṃ tīkṣṇaṃ bhogānbhogabhṛtāṃ varāḥ // Bhmj_6.379 //	tat-vamantaH vizam tIkzNam BogAn-Boga-BRtAm varAH // Bhmd-_6.379 //
   rākṣaso 'tha bhṛśaṃ kruddho rūpamāsthāya gāruḍam /	rAkzasaH aTa BRSam krudDaH rUpam-AsTAya gAruxam /
   bhakṣayitvākhilānsarpānbhīmaṃ svaṃ vapurādade // Bhmj_6.380 //	BakzayitvA-aKilAn-sarpAn-BImam svam vapuH-Adade // Bhmd-_6.380 //
   māyāvimohitasyātha khaṅgenārādirāvataḥ /	mAyA-vimohitasya-aTa KaFgena-ArAdirAvataH /
   jahāra rākṣasaṃ kāyācchirastalakuṇḍalam // Bhmj_6.381 //	jahAra rAkzasam kAyAt-SiraH-tala-kuNxalam // Bhmd-_6.381 //
   hate dhanaṃjayasute haiḍambaḥ krodhamūrchitaḥ /	hate DanaMjaya-sute hExambaH kroDa-mUrCitaH /
   rurāva yena vasudhā cacāla sakulācalā // Bhmj_6.382 //	rurAva yena vasuDA cacAla sa-kula-acalAH // Bhmd-_6.382 //
   tamabhidrutamālokya rājā duryodhanaḥ svayam /	tam-aBidrutam-Alokya rAjA duryoDanaH svayam /
   saha sarvairnijānīkairmahāmāyamayodhayat // Bhmj_6.383 //	saha sarvEH-nija-anIkEH-mahA-m-Ayam-ayoDayat // Bhmd-_6.383 //
   vidyujjihvaṃ vegavantaṃ mahāraudraṃ pramāthinam /	vidyujjihvam vegavantam mahA-rOdram pramATinam /
   haiḍimbānucarānghorānsa jaghāna niśācarān // Bhmj_6.384 //	hEximba-anucarAn-GorAn-sa jaGAna niSAcarAn // Bhmd-_6.384 //
   śaktiṃ ghaṭotkacenātha preritāṃ kurubhubhūje /	Saktim Gawotkacena-aTa preritAm kuru-BuBUje /
   mahāgajena jagrāha vaṅgānāmadhipaḥ puraḥ // Bhmj_6.385 //	mahA-gajena jagrAha vaFgAnAm-aDipaH puras // Bhmd-_6.385 //
   nāge nipatite tasminrakṣite ca suyodhane /	nAge nipatite tasmin-rakzite ca suyoDane /
   saṃhāraṃ purusainyānāṃ cakāra piśitāśanaḥ // Bhmj_6.386 //	saMhAram puru-sEnyAnAm cakAra piSita-aSanaH // Bhmd-_6.386 //
   bhagadatto 'tha vidrāvya pāṇḍavānāmanīkinīm /	BagadattaH aTa vidrAvya pANxavAnAm-anIkinIm /
   supratīkena nāgena ghaṭotkacamayodhayat // Bhmj_6.387 //	supratIkena nAgena Gawotkacam-ayoDayat // Bhmd-_6.387 //
   tanayaṃ nihataṃ śrutvā kupitaḥ śatamanyujaḥ /	tanayam nihatam SrutvA kupitaH Satamanyu-jaH /
   śirobhirbhūmipālānāṃ durgamāṃ vasudhāṃ vyadhāt // Bhmj_6.388 //	SiroBiH-BUmipAlAnAm durgamAm vasuDAm vyaDAt // Bhmd-_6.388 //
   bhīmo 'pi krodhasaṃtapto bhrātuḥ putre nipātite /	BImaH api kroDa-saMtaptaH BrAtuH putre nipAtite /
   suyodhanānujānvīrānprāhiṇodyamamandiram // Bhmj_6.389 //	suyoDana-anujAn-vIrAn-prAhiNot-yama-mandiram // Bhmd-_6.389 //
   anādhṛṣṭiṃ kuṇḍalinaṃ kuṇḍabhediṃ sulocanam /	anADRzwim kuNxalinam kuNxaBedim su-locanam /
   virāṭaṃ dīrghabāhuṃ ca subāhuṃ kanakadhvajam // Bhmj_6.390 //	virAwam dIrGa-bAhum ca subAhum kanaka-Dvajam // Bhmd-_6.390 //
   hatvaitānkauravānīkaṃ kabandhaśatasaṃkulam /	hatvA-etAn-kOrava-anIkam kabanDa-Sata-saMkulam /
   vidadhe mattavetālanandane dinasaṃkṣaye // Bhmj_6.391 //	vidaDe matta-vetAla-nandane dina-saMkzaye // Bhmd-_6.391 //
   visrastacāpakavace bhagnasyandanakuñjare /	visrasta-cApa-kavace Bagna-syandana-kuQjare /
   raṇe 'vahāraṃ sainyānāṃ tataścakrurmahārathāḥ // Bhmj_6.392 //	raNe avahAram sEnyAnAm tatas-cakruH-mahA-raTAH // Bhmd-_6.392 //
   ***** aṣṭame yuddhadivase irāvadvadhaḥ || 29 || *****	***** azwame yudDa-divase irAvat-vaDaH || 29 || *****
   tato niśāyāmanujaiḥ saha rājā suyodhanaḥ /	tatas niSAyAm-anujEH saha rAjA suyoDanaH /
   karmamānāyya pārthānāṃ parābhavamacintayat // Bhmj_6.393 //	karmam-AnAyya pArTAnAm parABavam-acintayat // Bhmd-_6.393 //
   vaikartanastamavadatkriyatāṃ madvacaḥ sakhe /	vEkartanaH-tam-avadat-kriyatAm mad-vacaH saKe /
   śastraṃ nyāsaya gāṅgeyamahaṃ jeṣyāmi pāṇḍavān // Bhmj_6.394 //	Sastram nyAsaya gAFgeyam-aham jezyAmi pANxavAn // Bhmd-_6.394 //
   eṣa vṛddho nirīhaśca sapakṣaśca dhanaṃjaye /	eza vRdDaH nirIhaH-ca sa-pakzaH-ca DanaMjaye /
   tvayā nyasto 'tibhāro 'sminnavicāryaiva kevalam // Bhmj_6.395 //	tvayA nyastaH atiBAraH asmin=-avicArya-eva kevalam // Bhmd-_6.395 //
   etadākarṇya karṇoktaṃ harṣātkarmaśatairiva /	etat-AkarNya karNa-uktam harzAt-karma-SatEH-iva /
   utthāya bhīṣmaśibiraṃ pratasthe bhrātṛbhiḥ saha // Bhmj_6.396 //	utTAya BIzma-Sibiram pratasTe BrAtRBiH saha // Bhmd-_6.396 //
   maṇidīpasahasrāṃśupiṅgīkṛtadigantaraḥ /	maNi-dIpa-sahasra-aMSu-piFgIkRta-digantaraH /
   naktaṃ dīptauṣadhivanaḥ sakulādririvābabhau // Bhmj_6.397 //	naktam dIpta-ozaDi-vanaH sa-kula-adriH-iva-AbaBO // Bhmd-_6.397 //
   ratnakuṇḍalakeyūrakirīṭadyutinirjitāḥ /	ratna-kuNxala-keyUra-kirIwa-dyuti-nirjitAH /
   puro niṣpratibhā dīpāstasyāsaṃllajjitā iva // Bhmj_6.398 //	puras nizpratiBAH dIpAH-tasya-Asan=-lajjitAH iva // Bhmd-_6.398 //
   praṇatāndṛktrimodāraiḥ bhūmipālānvilokayan /	praNatAn-dRktrima-udArEH BUmipAlAn-vilokayan /
   nāmabhirvikrabhāgena sūcitānvetrimaṇḍalaiḥ // Bhmj_6.399 //	nAmaBiH-vikraBAgena sUcitAn-vetri-maNxalEH // Bhmd-_6.399 //
   sa babhau gatilolena hāreṇa tuhinātviṣā /	sa baBO gati-lolena hAreNa tuhinA-tvizA /
   sudhākallolajālena pādadāreṇa manmathaḥ // Bhmj_6.400 //	suDA-kallola-jAlena pAda-dAreNa manmaTaH // Bhmd-_6.400 //
   śrīmānsaṃprāpya śibiraṃ śubhraṃ śantanujanmanaḥ /	SrImAn-saMprApya Sibiram SuBram Santanu-janmanaH /
   śayānaṃ ratnaparyaṅke praṇanāma vilokya tam // Bhmj_6.401 //	SayAnam ratna-paryaFke praNanAma vilokya tam // Bhmd-_6.401 //
   rājñeti pūjitastena kṛtāsanaparigrahaḥ /	rAjQA-iti pUjitaH-tena kRta-Asana-parigrahaH /
   duryodhanaḥ kṣaṇaṃ dhyātvā pitāmahamabhāṣata // Bhmj_6.402 //	duryoDanaH kzaNam DyAtvA pitAmaham-aBAzata // Bhmd-_6.402 //
   ayaṃ jetā bhṛgubhuvaḥ kārmukapramayī tava /	ayam jetA BRgu-BuvaH kArmuka-pramayI tava /
   bhujastrailokyavijaye paryāpta iti me matiḥ // Bhmj_6.403 //	BujaH-trElokya-vijaye paryAptaH iti me matiH // Bhmd-_6.403 //
   kāruṇyādānṛśaṃsyādvā rakṣyāste yadi pāṇḍavāḥ /	kAruNyAt-AnRSaMsyAt-vA rakzyAH-te yadi pANxavAH /
   tatkarṇamanujānīhi yuddhāya raṇakarkaśam // Bhmj_6.404 //	tad-karNam-anujAnIhi yudDAya raNa-karkaSam // Bhmd-_6.404 //
   ityuktaḥ kururājena marmaṇīva samāhataḥ /	iti-uktaH kuru-rAjena marmaNi-iva samAhataH /
   prabhāte drakṣyasītyuktvā niḥśvasankṣmāmalokayat // Bhmj_6.405 //	praBAte drakzyasi-iti-uktvA niHSvasan-kzmAm-alokayat // Bhmd-_6.405 //
   kauravo 'pi tamāmantrya nijaṃ śibiramāyayau /	kOravaH api tam-Amantrya nijam Sibiram-AyayO /
   diśaḥ śabalayankṣiptaṃ dīpadīptaurvibhūṣaṇaiḥ // Bhmj_6.406 //	diSaH Sabalayan-kziptam dIpa-dIptOH-viBUzaNEH // Bhmd-_6.406 //
   atha prabhāte bhīṣmeṇa droṇadrauṇimukhaiḥ saha /	aTa praBAte BIzmeNa droNa-drONi-muKEH saha /
   vihite sarvatobhadre vyūhe vyūhāgravartinā // Bhmj_6.407 //	vihite sarvatoBadre vyUhe vyUha-agra-vartinA // Bhmd-_6.407 //
   prativyūheṣvanīkeṣu nadadbhiḥ pāṇḍunandanaiḥ /	prativyUhezu-anIkezu nadadBiH pANxu-nandanEH /
   abhimanyuḥ kurucamūragre vīro vyadārayat // Bhmj_6.408 //	aBimanyuH kuru-camUH-agre vIraH vyadArayat // Bhmd-_6.408 //
   śarāṃśuśataduṣprekṣyaṃ nidāghārkamivodyatam /	Sara-aMSu-Sata-duzprekzyam nidAGa-arkam-iva-udyatam /
   na sehire taṃ bhūpālā māninaḥ saṃhatā api // Bhmj_6.409 //	na sehire tam BUpAlAH mAninaH saMhatAH api // Bhmd-_6.409 //
   duryodhanaprerito 'tha rakṣaḥpatiralambusaḥ /	duryoDana-preritaH aTa rakzaH-patiH-alambusaH /
   tamabhyadhāvadbibhrāṇo māyāṃ trailokyamohinīm // Bhmj_6.410 //	tam-aByaDAvat-biBrANaH mAyAm trElokya-mohinIm // Bhmd-_6.410 //
   tasya nādena mahatā jagatpralayaśaṃsinā /	tasya nAdena mahatA jagat-pralaya-SaMsinA /
   nipetuḥ sahasā yodhā bahavo vigatāsavaḥ // Bhmj_6.411 //	nipetuH sahasA yoDAH bahavaH vigata-AsavaH // Bhmd-_6.411 //
   draupadeyaiḥ puraḥ prāptaiḥ sa vidhāya raṇaṃ kṣaṇam /	drOpadeyEH puras prAptEH sa viDAya raNam kzaNam /
   abhimanyuradhaṃ bāṇaiḥ samaṃ dehamivākarot // Bhmj_6.412 //	aBimanyuH-aDam bANEH samam deham-iva-akarot // Bhmd-_6.412 //
   śaranirdāritenātha vihitāṃ tena rakṣasā /	Sara-nirdAritena-aTa vihitAm tena rakzasA /
   saubhadrastāmasīṃ māyāṃ cicchedārkāstratejasā // Bhmj_6.413 //	sOBadraH-tAmasIm mAyAm cicCeda-arka-astra-tejasA // Bhmd-_6.413 //
   atha drauṇiprabhṛtibhiḥ sātyakipramukhā yudhi /	aTa drONi-praBRtiBiH sAtyaki-pramuKAH yuDi /
   saṃsaktā gaganaṃ cakrurdivyāstradahanākulam // Bhmj_6.414 //	saMsaktAH gaganam cakruH-divya-astra-dahana-Akulam // Bhmd-_6.414 //
   arjuno droṇamabhyetya mahāstragrāmaduḥsaham /	arjunaH droNam-aByetya mahA-astra-grAma-duHsaham /
   vāyavyāstreṇa vidadhe jagatāṃ kṣokṣavibhramam // Bhmj_6.415 //	vAyavya-astreNa vidaDe jagatAm kzokza-viBramam // Bhmd-_6.415 //
   samudīrya ca śailāstraṃ drauṇena kṣapite 'nale /	samudIrya ca SEla-astram drONena kzapite anale /
   dhanaṃjayaḥ kurucamūṃ śarajālairapūrayat // Bhmj_6.416 //	DanaMjayaH kuru-camUm Sara-jAlEH-apUrayat // Bhmd-_6.416 //
   bhīmabhīmagadāghātanirbhinne gajamaṇḍale /	BIma-BIma-gadA-GAta-nirBinne gaja-maNxale /
   susrāva śoṇitanadī patākāphenamālinī // Bhmj_6.417 //	susrAva SoNita-nadI patAkA-Pena-mAlinI // Bhmd-_6.417 //
   tasminnākulasaṃgrāme vartamāne bhayaṃkare /	tasmin=-Akula-saMgrAme vartamAne BayaMkare /
   vetāladattatāleṣu nṛtyatsu cchinnamūrdhasu // Bhmj_6.418 //	vetAla-datta-tAlezu nRtyatsu cCinna-mUrDasu // Bhmd-_6.418 //
   bhīṣmaḥ pṛthuśarajvālāduḥsahaḥ subhaṭendhanaḥ /	BIzmaH pRTu-Sara-jvAlA-duHsahaH su-Bawa-inDanaH /
   jajvāla cāpakreṅkāramantrapūta ivānalaḥ // Bhmj_6.419 //	jajvAla cApa-kreFkAra-mantra-pUtaH iva-analaH // Bhmd-_6.419 //
   tadbhujapreritāḥ kṣipraṃ sāyakā viviśurnupān /	tad-Buja-preritAH kzipram sAyakAH viviSuH-nupAn /
   vihaṅgā iva sāyāhne ghanacchāyānmahīruhān // Bhmj_6.420 //	vihaFgAH iva sAyAhne Gana=-CAyAn-mahIruhAn // Bhmd-_6.420 //
   khadyotā iva vṛkṣeṣu śalabhā iva śāliṣu /	KadyotAH iva vRkzezu SalaBAH iva SAlizu /
   bhīṣmabāṇā narendreṣu peturhaṃsāḥ sahaḥsviva // Bhmj_6.421 //	BIzma-bANAH narendrezu petuH-haMsAH sahaHsu-iva // Bhmd-_6.421 //
   nikṛttaiścāmaroṣṇīṣaiśchannāśca pṛthivībhujām /	nikRttEH-cAmara-uzNIzEH-CannAH-ca pRTivIBujAm /
   cakāra samare bhīṣmaḥ svayaśoviṣadā diśaḥ // Bhmj_6.422 //	cakAra samare BIzmaH sva-yaSaH-vizadAH diSaH // Bhmd-_6.422 //
   rājñāṃ śirobhiḥ pṛthivīmāstīrya pulakojjvalaḥ /	rAjQAm SiroBiH pRTivIm-AstIrya pulaka-ujjvalaH /
   raṇalakṣmyāḥ sa vidadhe kelipadmākarāniva // Bhmj_6.423 //	raNa-lakzmyAH sa vidaDe keli-padma-AkarAn-iva // Bhmd-_6.423 //
   śirastraśaranirgharṣajātā vahnikaṇā babhuḥ /	Sirastra-Sara-nirGarza-jAtAH vahni-kaNA baBuH /
   rājñāṃ hatānāṃ bhīṣmeṇa jīvā iva nabhaścarāḥ // Bhmj_6.424 //	rAjQAm hatAnAm BIzmeNa jIvAH iva naBaH-carAH // Bhmd-_6.424 //
   ghanena śarajālena grastā lokena sarvataḥ /	Ganena Sara-jAlena grastAH lokena sarvatas /
   sa cakre sarvasainyānāmakaṇḍarajanībhramam // Bhmj_6.425 //	sa cakre sarva-sEnya-anAmakaNxa-rajanI-Bramam // Bhmd-_6.425 //
   vidīrṇe pāṇḍavabale chinnavarmarathadhvaje /	vidIrNe pANxava-bale Cinna-varma-raTa-Dvaje /
   gajānīkeṣu bhagneṣu bhāghaśeṣeṣu rājasu // Bhmj_6.426 //	gaja-anIkezu Bagnezu BAGa-Sezezu rAjasu // Bhmd-_6.426 //
   lajjāmutsṛjya yāteṣu tyaktacāpeṣu keśavaḥ /	lajjAm-utsRjya yAtezu tyakta-cApezu keSavaH /
   satyasaṃdhaṃ raṇe bhīṣmaṃ jahītyarjunamabravīt // Bhmj_6.427 //	satya-saMDam raNe BIzmam jahi-iti-arjunam-abravIt // Bhmd-_6.427 //
