   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   apasavyādito brahmā pitaro devadevatāḥ // GarP_2,2.20 //	apasavyAditaH brahmA pitaraH devadevatAH // GarP_2,2.20 //
   tena te pitarastṛptā apasavye kṛte sati /	tena te pitaraH tRptAH apasavye kRte sati /
   darbhamūle sthito brahmā madhye devo janārdanaḥ // GarP_2,2.21 //	darBa mUle sTitaH brahmA maDye devaH janArdanaH // GarP_2,2.21 //
   darbhāgre śaṅkaraṃ vidyāttrayo devāḥ kuśe smṛtāḥ /	darBa agre SaFkaram vidyAt trayaH devAH kuSe smRtAH /
   viprā mantrāḥ kaśā vahnistulasī ca khageśvara // GarP_2,2.22 //	viprAH mantrAH kaSA vahniH tulasI ca KageSvara // GarP_2,2.22 //
   naite nirmālyatāṃ yānti kriyamāṇāḥ punaḥ punaḥ /	na ete nirmAlyatAm yAnti kriyamANAH punar punar /
   tulasī brāhmaṇā gāvo viṣṇurekādaśī khaga // GarP_2,2.23 //	tulasI brAhmaNAH gAvaH vizNuH ekAdaSI Kaga // GarP_2,2.23 //
   pañca pravahaṇānye bhavābdhau majjatāṃ nṛṇām /	paQca pravahaNa anye Bava abDO majjatAm nRNAm /
   viṣṇurekādaśī gītā tulasī vipradhenavaḥ // GarP_2,2.24 //	vizNuH ekAdaSI gItA tulasI vipra DenavaH // GarP_2,2.24 //
   asāre durgasaṃsāre ṣaṭpadī muktidāyinī /	asAre durga saMsAre zawpadI mukti dAyinI /
   tilāḥ pavitramatulaṃ darbhāścāpi tulasyatha // GarP_2,2.25 //	tilAH pavitram atulam darBAH ca api tulasi aTa // GarP_2,2.25 //
   nivārayanti caitāni durgatiṃ yāntamāturam /	nivArayanti ca etAni durgatim yAntam Aturam /
   hastābhyāmuddhareddarbhāṃstoyena prokṣayedbhuvi // GarP_2,2.26 //	hastAByAm udDaret darBAn= toyena prokzayet Buvi // GarP_2,2.26 //
   mṛtyukāle kṣipeddarbhānkarayorāturasya ca /	mRtyu kAle kzipet darBAn karayoH Aturasya ca /
   darbhaistu kṣipyate yo 'sau darbhaistu pariveṣṭitaḥ // GarP_2,2.27 //	darBEH tu kzipyate yaH asO darBEH tu parivezwitaH // GarP_2,2.27 //
   viṣṇuloke sa vai yāti mantrahīno 'pi mānavaḥ /	vizNu loke sa vE yAti mantra hInaH api mAnavaH /
   tūlīṃ kṛtvā kṛtau pādau saṃsthitau kṣitipṛṣṭhataḥ // GarP_2,2.28 //	tUlIm kRtvA kRtO pAdO saMsTitO kziti pRzWataH // GarP_2,2.28 //
   prāyāścittaṃ viśuddhāgnau saṃsāre 'sārasāgare /	prAyAH cittam viSudDa agnO saMsAre asAra sAgare /
   gomayenopalimpettu darbhāstaraṇasaṃsthite // GarP_2,2.29 //	gomayena upalimpet tu darBa AstaraNa saMsTite // GarP_2,2.29 //
   yane dattena dānena sarvaṃ pāpaṃ vyapohati /	yane dattena dAnena sarvam pApam vyapohati /
   lavaṇaṃ tadrasaṃ divyaṃ sarvakāmapradaṃ nṛṇām // GarP_2,2.30 //	lavaNam tad rasam divyam sarva kAma pradam nRNAm // GarP_2,2.30 //
   yasmādannarasāḥ sarve notkaṭā lavaṇaṃ vinā /	yasmAt anna rasAH sarve na utkawAH lavaNam vinA /
   pitṝṇāṃ ca priyaṃ bhavyaṃ tasmātsvargapradaṃ bhavet // GarP_2,2.31 //	pitLNAm ca priyam Bavyam tasmAt svarga pradam Bavet // GarP_2,2.31 //
   viṣṇudehasamudbhūto yato 'yaṃ lavaṇo rasaḥ /	vizNu deha samudBUtaH yatas ayam lavaNaH rasaH /
   etatsalavaṇaṃ dānaṃ tena śaṃsanti yoginaḥ // GarP_2,2.32 //	etat sa lavaNam dAnam tena SaMsanti yoginaH // GarP_2,2.32 //
   brāhmaṇakṣattriyaviśāṃ strīṇāṃ śūdrajanasya ca /	brAhmaNa kzattriya viSAm strINAm SUdra janasya ca /
   āturasya yadā prāṇā na yānti vasudhātale // GarP_2,2.33 //	Aturasya yadA prANAH na yAnti vasuDA tale // GarP_2,2.33 //
   lavaṇaṃ tu tadā deyaṃ dvārasyodvāṭanaṃ divaḥ /	lavaNam tu tadA deyam dvArasya udvAwanam divaH /
   anyacca śṛṇu pakṣīndra mṛtyo rūpaṃ prapañcataḥ // GarP_2,2.34 //	anyat ca SRNu pakzi indra mRtyoH rUpam prapaQcataH // GarP_2,2.34 //
   yasya kālena no yāyādviyogaḥ prāṇadehayoḥ /	yasya kAlena naH yAyAt viyogaH prANa dehayoH /
   prāṇinaśca svasamaye mṛtyuratyantavismṛtiḥ // GarP_2,2.35 //	prANinaH ca sva samaye mRtyuH atyanta vismRtiH // GarP_2,2.35 //
   yathā vāyurjaladharānvikarṣati yatastataḥ /	yaTA vAyuH jalaDarAn vikarzati yatas tatas /
   tadvajjaladavattārkṣya kālasyaiva vaśānugāḥ // GarP_2,2.36 //	tadvat jalada vat tArkzya kAlasya eva vaSa anugAH // GarP_2,2.36 //
   sāttvikā rājasāścaiva tāmasā ye ca kecana /	sAttvikAH rAjasAH ca eva tAmasAH ye ca kecana /
   bhāvāḥ kālātmakāḥ sarve pravartante hi jantuṣu // GarP_2,2.37 //	BAvAH kAla AtmakAH sarve pravartante hi jantuzu // GarP_2,2.37 //
   ādityaścandramāḥ śambhurāpo vāyuḥ śatakratuḥ /	AdityaH candramAH SamBuH ApaH vAyuH SatakratuH /
   agniḥ khaṃ pṛthivī mitra oṣadhyo vasavastathā // GarP_2,2.38 //	agniH Kam pRTivI mitraH ozaDyaH vasavaH taTA // GarP_2,2.38 //
   saritaḥ sāgarāścaiva bhāvābhāvau ca sarpahan /	saritaH sAgarAH ca eva BAva aBAvO ca sarpahan /
   sarve kālena sṛjyante saṃkṣipyante yathā punaḥ // GarP_2,2.39 //	sarve kAlena sRjyante saMkzipyante yaTA punar // GarP_2,2.39 //
   kālena saṃhriyante ca nṛnaṃ mṛtyāvupasthite /	kAlena saMhriyante ca nRnam mRtyO= upasTite /
   daivayogāttdā vyādhiḥ kaścidutpadyate khaga // GarP_2,2.40 //	dEva yogAt tdA vyADiH kaScid utpadyate Kaga // GarP_2,2.40 //
   vaikalyamindriyāṇāṃ ca balau joraṃhasāṃ bhavet /	vEkalyam indriyANAm ca balO jaH raMhasAm Bavet /
   yugapadvaścikakoṭiśūkadaṃśo bhavedyadi // GarP_2,2.41 //	yugapad vaH cika kowi SUka daMSaH Bavet yadi // GarP_2,2.41 //
   tadānumīyate tena pīḍā mṛtyubhavā khaga /	tadA anumIyate tena pIxA mRtyu BavA Kaga /
   tataḥ kṣaṇena caitanye vikale jaḍatāṃ gate // GarP_2,2.42 //	tatas kzaNena cEtanye vikale jaxa tAm gate // GarP_2,2.42 //
   pricālyante tataḥ prāṇā yāmyairnikaṭavartibhiḥ /	pricAlyante tatas prANAH yAmyEH nikawa vartiBiH /
   bībhatsaṃ tu tadā rūpaṃ prāṇaiḥ kaṇṭhagatairbhavet // GarP_2,2.43 //	bIBatsam tu tadA rUpam prANEH kaNWa gatEH Bavet // GarP_2,2.43 //
   phemudgirate so 'tha mukhaṃ lālākulaṃ bhavet /	Pemudgirate saH aTa muKam lAlA Akulam Bavet /
   aṅguṣṭhamātrapuruṣo hāhā kurvaṃstatastanoḥ // GarP_2,2.44 //	aFguzWa mAtra puruzaH hAhA kurvan= tatas tanoH // GarP_2,2.44 //
   tadaiva nīyate dvatairyāmyairvokṣansvakaṃ gṛham /	tadA eva nIyate dvatEH yAmyEH vokzan svakam gRham /
   bhūya eva hite tāta mṛtyukāladaśāmimām // GarP_2,2.45 //	BUyas eva hite tAta mRtyu kAla daSAm imAm // GarP_2,2.45 //
   aṣmā prakupitaḥ kāye tīvravāyusamīritaḥ /	azmA prakupitaH kAye tIvra vAyu samIritaH /
   bhinatti marmasthānāni dīpyamāno nirindhanaḥ // GarP_2,2.46 //	Binatti marma sTAnAni dIpyamAnaH nirinDanaH // GarP_2,2.46 //
   udāno nāma pavanastataścordhvaṃ pravartate /	udAnaH nAma pavanaH tatas ca UrDvam pravartate /
   bhaktānāmabubhukṣāṇāmadhogatinirodhakṛt // GarP_2,2.47 //	BaktAnAm abuBukzANAm aDas gati niroDa kRt // GarP_2,2.47 //
   yairnānṛtāni coktāni prītibhedaḥ kṛto na ca /	yEH na anRtAni ca uktAni prIti BedaH kRtaH na ca /
   āstikaḥ śraddadhānaśca sa sukhaṃ mṛtyumṛcchati // GarP_2,2.48 //	AstikaH SraddaDAnaH ca sa suKam mRtyum RcCati // GarP_2,2.48 //
   yo na kāmānna saṃraṃbhānna dveṣāddharmamutsṛjet /	yaH na kAmAt na saMraMBAt na dvezAt Darmam utsRjet /
   yathoktakārī saumyaśca sa sukhaṃ mṛtyumṛcchati // GarP_2,2.49 //	yaTA ukta kArI sOmyaH ca sa suKam mRtyum RcCati // GarP_2,2.49 //
   mohajñānapradātāraḥ prāpnuvanti mahattamaḥ /	moha jQAna pradAtAraH prApnuvanti mahattamaH /
   kūṭasākṣī mṛṣāvādī ye ca viśvāsaghātakāḥ // GarP_2,2.50 //	kUwa sAkzI mRzAvAdI ye ca viSvAsa GAtakAH // GarP_2,2.50 //
   te mohaṃ mṛtyumṛcchanti tathā ye vedanindakāḥ /	te moham mRtyum RcCanti taTA ye veda nindakAH /
   vibhīṣakāḥ pūtigandhā yaṣṭimudgarapāṇayaḥ // GarP_2,2.51 //	viBIzakAH pUtiganDAH yazwi mudgara pANayaH // GarP_2,2.51 //
   āgacchanti durātmāno yamasya puruṣāstadā /	AgacCanti durAtmAnaH yamasya puruzAH tadA /
   prāpte tvīdṛkpathe ghore jāyate tasya vepathuḥ // GarP_2,2.52 //	prApte tvIdRS paTe Gore jAyate tasya vepaTuH // GarP_2,2.52 //
   krandatyavirataṃ so 'pi pitṛmātṛsutānapi /	krandati aviratam saH api pitR mAtR sutAn api /
   sāsya vāgasphuṭā yatnenaikavarṇā vibhāsate // GarP_2,2.53 //	sA asya vAc asPuwAH yatnena eka varNAH viBAsate // GarP_2,2.53 //
   dṛṣṭirvai bhrāmyate trāsācchvāsācchuṣyati cānanam /	dRzwiH vE BrAmyate trAsAt SvAsAt Suzyati ca Ananam /
   sa tato vedanāviṣṭastaccharīraṃ vimuñcati // GarP_2,2.54 //	sa tatas vedanA AvizwaH tat SarIram vimuQcati // GarP_2,2.54 //
   aspṛśyaṃ kutsanīyaṃ ca tatkṣaṇādeva jāyate /	aspRSyam kutsanIyam ca tad kzaNAt eva jAyate /
   uktaṃ mṛtyoḥ svarūpaṃ tu prasaṅgādanyadapyatha // GarP_2,2.55 //	uktam mRtyoH svarUpam tu prasaFgAt anyat api aTa // GarP_2,2.55 //
   vaicitryasyottaraṃ praśre dvitīyasya vadāmi te /	vEcitryasya uttaram praSre dvitIyasya vadAmi te /
   karmaṇāṃ prāktanānāṃ tu tadasattvenaṃ bhadetaḥ // GarP_2,2.56 //	karmaNAm prAktanAnAm tu tat asattvenam BadetaH // GarP_2,2.56 //
   bhavedbhogasya vaicitryaṃ bhrāmyatāṃ prāṇināmiha /	Bavet Bogasya vEcitryam BrAmyatAm prANinAm iha /
   devatvamasuratvaṃ ca yakṣatvādisukhapradam // GarP_2,2.57 //	deva tvam asura tvam ca yakza tva Adi suKa pradam // GarP_2,2.57 //
   mānuṣatvaṃ paśutvaṃ ca pakṣitvādyatiduḥ khadam /	mAnuza tvam paSu tvam ca pakzi tvAdi atiduH Kadam /
   karmaṇāṃ tāratamyena bhavatīha khageśvara // GarP_2,2.58 //	karmaNAm tAratamyena Bavati iha KageSvara // GarP_2,2.58 //
   atra te kīrtayiṣyāmi vipākaṃ karmaṇāmaham /	atra te kIrtayizyAmi vipAkam karmaNAm aham /
   vaicitryasya spuṭatvāyayairjovaḥ saṃsaratyayam // GarP_2,2.59 //	vEcitryasya spuwa tva AyayEH jovaH saMsarati ayam // GarP_2,2.59 //
   mahāpātakajānghorānnarakānprāpya dāruṇān /	mahApAtaka jAn GorAt narakAn prApya dAruNAn /
   karmakṣayātprajāyante mahāpātakinaḥ kṣitau // GarP_2,2.60 //	karma kzayAt prajAyante mahApAtakinaH kzitO // GarP_2,2.60 //
   jāyante lakṣaṇairyaistutāni me śṛṇu sattama /	jAyante lakzaNEH yEH tutAni me SRNu sattamaH /
   mṛgāśvasūkaroṣṭrāṇāṃ brahmahā yonimṛcchati // GarP_2,2.61 //	mRga aSva sUkara uzwrANAm brahma hA yonim RcCati // GarP_2,2.61 //
   kṛmikīṭapataṅgatvaṃ svarṇahārī samāpnuyāt /	kRmi kIwa pataFga tvam svarNa hArI samApnuyAt /
   tṛṇagulmatātvaṃ ca kramaśo gurutalpagaḥ // GarP_2,2.62 //	tRNa gulma tA tvam ca kramaSas guru talpa gaH // GarP_2,2.62 //
   brahmahā kṣayarogī syātsurāpaḥ śyāvadantakaḥ /	brahma hA kzaya rogI syAt surApaH SyAva dantakaH /
   hemahārī tu kunakhī duścarmā gurutalpagaḥ // GarP_2,2.63 //	hema hArI tu kunaKI duScarmA guru talpa gaH // GarP_2,2.63 //
   yo yena saṃvasatyeṣāṃ sa talliṅgo 'bhijāyate /	yaH yena saMvasati ezAm sa tat liFgaH aBijAyate /
   saṃvatsareṇa patati patitena sahācaran // GarP_2,2.64 //	saMvatsareNa patati patitena saha Acaran // GarP_2,2.64 //
   saṃlāpasparśaniḥ śvāsasahayānāśanāsanāt /	saMlApa sparSaniH SvAsa sahayAna aSana AsanAt /
   yājanādhyāpanādyaunātpāpaṃ saṃkramate nṛṇām // GarP_2,2.65 //	yAjana aDyApana AdyOnAt pApam saMkramate nRNAm // GarP_2,2.65 //
   gatvā dārānpareṣāñca brahmasvamapahṛtya ca /	gatvA dArAn parezAQca brahma svam apahRtya ca /
   araṇye nirjane deśe jāyate brahmarākṣasaḥ // GarP_2,2.66 //	araNye nirjane deSe jAyate brahmarAkzasaH // GarP_2,2.66 //
   hīnajātau prajāyeta ratnānāmapahārakaḥ /	hIna jAtO prajAyeta ratnAnAm apahArakaH /
   patraṃ ca śākhino hṛtvā gandhāṃśchucchundarī pumān // GarP_2,2.67 //	patram ca SAKinaH hRtvA ganDAn= CucCundarI pumAn // GarP_2,2.67 //
   mūṣako dhānyahārī syādyānamuṣṭraḥ phalaṃ kapiḥ /	mUzakaH DAnya hArI syAt yAnam uzwraH Palam kapiH /
   nirmantrabhojanātkāko gṛdhro hṛtvā hyupaskaram // GarP_2,2.68 //	nirmantra BojanAt kAkaH gRDraH hRtvA hi upaskaram // GarP_2,2.68 //
   madhudaṃśaḥ phalaṃ gṛdhro gāṃ godhāgniṃ bakastathā /	maDudaMSaH Palam gRDraH gAm goDA agnim bakaH taTA /
   syācchvetakuṣṭhī strīvastra hyarucī rasahārakaḥ // GarP_2,2.69 //	syAt SvetakuzWI strI vastra hi aruciH rasa hArakaH // GarP_2,2.69 //
   kāṃsyahārī tu haṃsaḥ syātparasvasya ca hārakaḥ /	kAMsya hArI tu haMsaH syAt para svasya ca hArakaH /
   apasmārī gurorhantā krūrakṛdvāmano bhavet // GarP_2,2.70 //	apasmArI guroH hantA krUra kRt vAmanaH Bavet // GarP_2,2.70 //
   dharmapatnīṃ tyajañchabdavedhī prāṇī bhavetkṣitau /	DarmapatnIm tyajan Sabda veDI prANI Bavet kzitO /
   devaviprasvāpahārī pāṇḍuraḥ paramāṃsabhuk // GarP_2,2.71 //	deva vipra svApa hArI pANxuraH para mAMsa Buj // GarP_2,2.71 //
   bhakṣyābhakṣyo gaṇḍamālī mahārogī prajāyate /	Bakzya aBakzyaH gaNxamAlI mahA rogI prajAyate /
   nyāsāpahārī kāṇaḥ syāstrījīvaḥ khañjako bhavet // GarP_2,2.72 //	nyAsa apahArI kANaH sya astrI jIvaH KaQjakaH Bavet // GarP_2,2.72 //
   kaumāradāratyāgī ca durbhago 'thai kamiṣṭabhuk /	kOmAra dAra tyAgI ca durBagaH aTa e kamizwa Buj /
   vātagulmī viprayoṣidgāmī vā jambuko bhavet // GarP_2,2.73 //	vAta gulmI viprayozit gAmI vA jambukaH Bavet // GarP_2,2.73 //
   śayyāhartā kṣapaṇakaḥ pataṅgo vastrahārakaḥ /	SayyA AhartA kzapaNakaH pataFgaH vastra hArakaH /
   mātsaryādapi jātyandho kapālī dīpahārakaḥ // GarP_2,2.74 //	mAtsaryAt api jAti anDo kapAlI dIpa hArakaH // GarP_2,2.74 //
   kauśiko mitrahantā ca kṣayī pitrādinindakaḥ /	kOSikaH mitrahantA ca kzayI pitR Adi nindakaH /
   skhaladvāganṛtavādī kūṭasākṣī jalodarī // GarP_2,2.75 //	sKalat vAc anRta vAdI kUwa sAkzI jalodarI // GarP_2,2.75 //
   maśakaḥ so 'tha cachinnoṣṭho vivāhe vighnakṛdbhavet /	maSakaH saH aTa caCinna uzWaH vivAhe viGna kRt Bavet /
   syādvātha vṛṣalaḥ so 'yaṃ catvare vai viṇmūtrakṛt // GarP_2,2.76 //	syAt vA aTa vRzalaH saH ayam catvare vE viz mUtra kRt // GarP_2,2.76 //
   mūtrakṛcchrī dūṣakastu kanyāyāḥ klībatāmiyāt /	mUtrakRcCrI dUzakaH tu kanyAyAH klIba tAm iyAt /
   dvīpī syādvedavikretā varāho 'yājyayājakaḥ // GarP_2,2.77 //	dvIpI syAt veda vikretA varAhaH ayAjya yAjakaH // GarP_2,2.77 //
   yatastato 'śranmārjāro khadyoto vahadāhakaḥ /	yatas tatas aSrad mArjAraH KadyotaH vaha dAhakaH /
   kṛmiḥ paryuṣitādaḥ syānmatsarī bhramaro bhavet // GarP_2,2.78 //	kRmiH paryuzita AdaH syAt matsarI BramaraH Bavet // GarP_2,2.78 //
   agnyutsādī tu kuṣṭhī syādadattā'dānato vṛṣaḥ /	agni utsAdI tu kuzWI syAt adattA adAnataH vRzaH /
   sarpo gohārako 'nnasya hārakaḥ syādajīrṇavān // GarP_2,2.79 //	sarpaH gohArakaH annasya hArakaH syAt ajIrNavAn // GarP_2,2.79 //
   jalahārī tu matsyaḥ syātkṣīrahārī balākikā /	jalahArI tu matsyaH syAt kzIrahArI balAkikA /
   annaṃ paryuṣitaṃ vipre pradadatkubjatāṃ vrajet // GarP_2,2.80 //	annam paryuzitam vipre pradadat kubja tAm vrajet // GarP_2,2.80 //
   phalāni harate yastu santatirmriyate khaga /	PalAni harate yaH tu santatiH mriyate Kaga /
   adattvā bhakṣyamaśrāti hyanapatyo bhavennaraḥ // GarP_2,2.81 //	adattvA Bakzyam aSrAti hi anapatyaH Bavet naraH // GarP_2,2.81 //
   pravajyāgamanādrājan bhavenmarupiśācakaḥ /	pravajya AgamanAt rAjan Bavet maru piSAcakaH /
   cātako jalahartā syājjanmāndhaḥ puṃstakaṃ haran // GarP_2,2.82 //	cAtakaH jala hartA syAt janma anDaH puMstakam haran // GarP_2,2.82 //
   pratiśrutya dvijebhyor'thamadadajjambuko bhavet /	pratiSrutya dvijeByor aTam adadat jambukaH Bavet /
   parivādādijātīnāṃ labhate kācchapīṃ tanum // GarP_2,2.83 //	parivAda Adi jAtInAm laBate kAcCapIm tanum // GarP_2,2.83 //
   durbhagaḥ phalavikretā vṛkaśca vṛṣalīpatiḥ /	durBagaH Pala vikretA vRkaH ca vRzalI patiH /
   mārjāro 'gniṃ padā spṛṣṭvā rogavānparamāṃsabhuk // GarP_2,2.84 //	mArjAraH agnim padA spRzwvA rogavAn para mAMsa Buj // GarP_2,2.84 //
   jalaprastravaṇaṃ yastu bhindyānmatsyo bhavennaraḥ /	jala prastravaNam yaH tu BindyAt matsyaH Bavet naraH /
   hareḥ kathāṃ na śṛṇvanti ye na sādhujanastavam // GarP_2,2.85 //	hareH kaTAm na SRNvanti ye na sADu jana stavam // GarP_2,2.85 //
   tānnarānkarṇamūlo 'yaṃ vyāpnuyānnetarāñjanān /	tAn narAn karNa mUlaH ayam vyApnuyAt na itara aQjanAn /
   parasyānanasaṃsthaṃ yo grāsaṃ hari mandadhīḥ // GarP_2,2.86 //	parasya Anana saMsTam yaH grAsam hari manda DIH // GarP_2,2.86 //
   devopakaraṇānyenaṃ gaṇḍamālinamīhate /	deva upakaraNAni enam gaNxamAlinam Ihate /
   dambhenācarate dharmaṃ gajacarmā bhavettu saḥ // GarP_2,2.87 //	damBena Acarate Darmam gaja carmA Bavet tu saH // GarP_2,2.87 //
   śiro 'rtipramukhā rogā yānti viśvāsaghātakam /	SiraH arti pramuKAH rogAH yAnti viSvAsa GAtakam /
   liṅgapīḍī śivasvaṃ ca śivanirmālyameva ca // GarP_2,2.88 //	liFgapIxI Siva svam ca Siva nirmAlyam eva ca // GarP_2,2.88 //
   striyo 'pyanena mārgeṇa hṛtvā doṣamavāpnuyuḥ /	striyaH api anena mArgeNa hRtvA dozam avApnuyuH /
   eteṣāmeva jantūnāṃ bhāryātvamupajāyate // GarP_2,2.89 //	etezAm eva jantUnAm BAryA tvam upajAyate // GarP_2,2.89 //
   bhogānte narakasyaitatsarvamityavadhāraya /	Boga ante narakasya etat sarvam iti avaDAraya /
   khagha pradarśyametattu mayoktaṃ te samāsataḥ /	KaGa pradarSyam etat tu mayA uktam te samAsatas /
   dravyaprakārā hi yathā tathaiva prāṇijātayaḥ // GarP_2,2.90 //	dravya prakArAH hi yaTA taTA eva prANi jAtayaH // GarP_2,2.90 //
   evaṃ vicitrairnijakarmabhirnṛṇāṃ sukhasya duḥ khasya ca janmanāmapi /	evam vicitrEH nija karmaBiH nRNAm suKasya duH Kasya ca janmanAm api /
   vaicitryamuktaṃ śubhakarmataḥ śubhaṃ tathāśubhāccāśubhamīrayanti //	vEcitryam uktam SuBa karmataH SuBam taTA aSuBAt ca aSuBam Irayanti //
   GarP_2,2.91 //	GarP_2,2.91 //
   etatte sarvaṃmākhyātaṃ yatpṛṣṭo 'hamiha tvayā // GarP_2,2.92 //	etat te sarvaMmAKyAtam yat pRzwaH aham iha tvayA // GarP_2,2.92 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśe pratakā(kha)ṇḍe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSe pratakA( Ka)Nxe
   śrīkṛṣṇagaruḍasaṃvāde aurdhvadehikavidhikarmavipākayorvarṇanaṃ nāma	SrI kRzNa garuxa saMvAde OrDvadehikaviDikarmavipAkayoH varNanam nAma
   dvitīyo 'dhyāyaḥ	dvitIyaH aDyAyaH
   śrīgaruḍamahāpurāṇam  3	SrI garuxa mahApurANam 3
   sūta uvāca /	sUtaH uvAca /
   evamutsāhitaḥ pakṣī svarūpaṃ nirayasya tu /	evam utsAhitaH pakzI svarUpam nirayasya tu /
   papracchanarakāṇyevaṃ śrutvā cotkūlitāntaraḥ // GarP_2,3.1 //	papracCa narakANi evam SrutvA ca utkUlita antaraH // GarP_2,3.1 //
   garuḍa uvāca /	garuxaH uvAca /
   narakāṇāṃ svarūpaṃ me vada yeṣu vikarmiṇaḥ /	narakANAm svarUpam me vada yezu vikarmiNaH /
   pātyante duḥ khabhūyiṣṭhāsteṣāṃ bhedāṃśca kīrtaya // GarP_2,3.2 //	pAtyante duH Ka BUyizWAH tezAm BedAn= ca kIrtayaH // GarP_2,3.2 //
   śrībhagavānuvāca /	SrI BagavAn uvAca /
   narakāṇāṃ sahasrāṇi vartante hyaruṇānuja /	narakANAm sahasrANi vartante hi aruNAnuja /
   śakyaṃ vistarato naiva vaktuṃ prādhānyato bruve // GarP_2,3.3 //	Sakyam vistarataH na eva vaktum prADAnyataH bruve // GarP_2,3.3 //
   rauravaṃ nāma narakaṃ mukhyaṃ tadvainibodha me /	rOravam nAma narakam muKyam tat vEniboDa me /
   raurave kūṭasākṣī tu yāti yaścānṛtī naraḥ // GarP_2,3.4 //	rOrave kUwa sAkzI tu yAti yaH ca anRtI naraH // GarP_2,3.4 //
   yojanānāṃ sahasre dve rauravo hi pramāṇataḥ /	yojanAnAm sahasre dve rOravaH hi pramANataH /
   jānumātrapramāṇaṃ tu tatra gartaṃ sudustaram // GarP_2,3.5 //	jAnu mAtra pramANam tu tatra gartam su dustaram // GarP_2,3.5 //
   tatrāṅgāracayaughena kṛtaṃ taddharaṇīsamam /	tatra aFgAra caya oGena kRtam tad haraNI samam /
   tatrāgninā sutīvreṇa tāpitāṅgārabhūminā // GarP_2,3.6 //	tatra agninA su tIvreNa tApita aFgAra BUminA // GarP_2,3.6 //
   tanmadhye pāpakarmāṇaṃ vimuñcanti yamānugāḥ /	tad maDye pApa karmANam vimuQcanti yama anugAH /
   sa dahyamānastīvreṇa vahninā paridhāvati // GarP_2,3.7 //	sa dahyamAnaH tIvreNa vahninA pariDAvati // GarP_2,3.7 //
   padepade ca pādo 'sya sphuṭyate śīryate punaḥ /	padepade ca pAdaH asya sPuwyate SIryate punar /
   ahorātreṇoddharaṇaṃ pādanyāsena gacchati // GarP_2,3.8 //	ahorAtreNa udDaraNam pAda nyAsena gacCati // GarP_2,3.8 //
   evaṃ sahasraṃ vistīrṇaṃ yojanānāṃ vimucyate /	evam sahasram vistIrNam yojanAnAm vimucyate /
   tato 'nyatpāpaśuddhyarthaṃ tādṛṅnirayamṛcchati // GarP_2,3.9 //	tatas anyat pApa SudDi arTam tAdRS nirayam RcCati // GarP_2,3.9 //
   rauravaste samākhyātaḥ prathamo narako mayā /	rOravaH te samAKyAtaH praTamaH narakaH mayA /
   mahārauravasaṃjñaṃ tu śṛṇuṣva narakaṃ khaga // GarP_2,3.10 //	mahArOrava saMjQam tu SRNuzva narakam Kaga // GarP_2,3.10 //
   yojanānāṃ sahasrāṇi santi pañca samantataḥ /	yojanAnAm sahasrANi santi paQca samantataH /
   tatra tāmramayī bhūmiradhastasyā hutāśanaḥ // GarP_2,3.11 //	tatra tAmra mayI BUmiH aDas tasyAH hutASanaH // GarP_2,3.11 //
   tayā tapantyā sā sarvā prodyadvidyutsamaprabhā /	tayA tapantyA sA sarvA prodyat vidyut sama praBA /
   vibhāvyate mahāraudrā pāpināṃ darśanādiṣu // GarP_2,3.12 //	viBAvyate mahA rOdrA pApinAm darSana Adizu // GarP_2,3.12 //
   tasyāṃ baddhakarābhyāṃ ca padbhyāṃ caiva yamānugaiḥ /	tasyAm badDa karAByAm ca padByAm ca eva yama anugEH /
   mucyate pāpakṛnmadhye luṇṭhamānaḥ sa gacchati // GarP_2,3.13 //	mucyate pApa kRt maDye luNWamAnaH sa gacCati // GarP_2,3.13 //
   kākairbakairvṛkolūkairmaśakairvṛścikaistathā /	kAkEH bakEH vRkolUkEH maSakEH vRScikEH taTA /
