   Sandhi markers:	SanDi markeH-s:
   sa tu mām abhyadhatta -- ' bhadra bhavad-dṛṣṭeṣu	sa tu mAm aByaDatta -- a Badra Bavat--dRzwezu
   rāṣṭreṣu katamat samṛddhaṃ sampanna-sasyaṃ	rAzwrezu katamat samRdDam sampanna--sasyam
   sat-puruṣa-bhūyiṣṭhaṃ ca ' iti |	sat-puruza--BUyizWam ca a iti |
   tam aham īṣad-vihasya abravam -- ' bhadra	tam aham Izat--vihasya abravam -- a Badra
   vistīrṇe9yam arṇavā1mbarā |	vistIrNe9yam arNavA1mbarA |
   na paryanto 'sti sthāna-sthāneṣu ramyāṇām	na paryantaH asti sTAna--sTAnezu ramyANAm
   janapadānām |	janapadAnAm |
   api tu na ced iha yuvayoḥ sukha-nivāsa-kāraṇaṃ	api tu na ced iha yuvayoH suKa--nivAsa--kAraNam
   kam=apy upāyam utpādayituṃ śaknuyāṃ tato 'ham eva	kam=api upAyam utpAdayitum SaknuyAm tatas aham eva
   bhaveyam adhva-darśī iti |	Baveyam aDva-darSI iti |
   tāvato9dairata raṇitāni maṇi-nūpurāṇām |	tAvatA-u9dErata raNitAni maNi-nUpurANAm |
   atha asau jāta-sambhramā ' prāptai9ve7yaṃ	aTa asO jAta--samBramA a prAptE9ve7yam
   bhartṛ-dārikā kandukāvatī kanduka-krīḍitena devīṃ	BartR-dArikA kandukAvatI kanduka-krIxitena devIm
   vindhya-vāsinīm ārādhayitum |	vinDya-vAsinIm ArADayitum |
   a-niṣiddha-darśanā ce7yam asmin kanduko1tsave |	a-nizidDa-darSanA ca-I7yam asmin kandu-ko1tsave |
   sa-phalam astu yuṣmac-cakṣuḥ |	sa-Palam astu yuzmac-cakzuH |
   āgacchataṃ draṣṭum |	AgacCatam drazwum |
   aham asyāḥ sakāśa-vartinī bhaveyam ' ity ayāsīt |	aham asyAH sakASa-vartinI Baveyam a iti ayAsIt |
   tām anvayāva cā8vām |	tAm anvayAva ca-a8vAm |
   mahati ratna-raṅga-pīṭhe sthitāṃ prathamaṃ	mahati ratna--raFga--pIWe sTitAm praTamam
   tāmrau1ṣṭhīm apaśyam |	tAmrO1zWIm apaSyam |
   atiṣṭhac ca sā sadya eva mama hṛdaye |	atizWat ca sA sadyas eva mama hRdaye |
   na mayā anyena vā antarāle dṛṣṭā |	na mayA anyena vE antarAle dRzwAH |
   citrīyā4viṣṭa-cit taś ca acintayam -- ' kim iyaṃ	citrIyA4vizwa--cid tas ca acintayam -- a kim iyam
   lakṣmīḥ |	lakzmIH |
   na hi na hi |	na hi na hi |
   tasyāḥ kila haste vinyastaṃ kamalam asyās tu hasta	tasyAH kila haste vinyastam kamalam asyAH tu hasta
   eva kamalam |	eva kamalam |
   bhukta-pūrvā tu sā purātanena pumsā pūrva-rājaiś ca	Bukta--pUrvA tu sA purAtanena pumsA pUrva-rAjEH ca
   asyāḥ punar an-avadyam a-yāta-yāmaṃ ca yauvanam ' iti	asyAH punar an-avadyam a-yAta-yAmam ca yOvanam a iti
   cintayaty eva mayi sā an-agha-sarva-gātrī	cintayati eva mayi sA an-aGa--sarva-gAtrI
   vyatyasta-hasta-pallavā1gra-spṛṣṭa-bhūmir	vyatyasta--hasta--pallava-a1gra--spRzwa--BUmiH-
   ālola-nīla-kuṭilā1lakā sa-vibhramaṃ bhagavatīm	Alola--nIla--kuwila-a1lakA sa-viBramam BagavatIm
   abhivandya kandukam a-manda-rāga-rūṣitā1kṣam an-aṅgam	aBivandya kandukam a-manda-rAga--rUzita-a1kzam an-aFgam
   ivā8lambata |	iva-a8lambata |
   līlā-śithilaṃ ca bhūmau muktavatī |	lIlA-SiTilam ca BUmO muktavatI |
   mando1tthitaṃ ca kiñ=cit-kuñcitā1ṅguṣṭhena	mando1tTitam ca kiQ=cit--kuQcita-a1FguzWena
   prasṛta-komalā1ṅgulinā pāṇi-pallavena samāhatya	prasRta--komala-a1FgulinA pANi-pallavena samAhatya
   hasta-pṛṣṭhena co7nnīya caṭula-dṛṣṭi-lāñchitaṃ	hasta--pRzWena co7t-nIya cawula-dRzwi--lAQCitam
   stabakam iva bhramara-mālā2nuviddham avapatantam	stabakam iva Bramara--mAlA-2nuvidDam avapatantam
   ākāśae eva agrahīt |	AkASae eva agrahIt |
   amuñcac ca |	amuQcat ca |
   madhya-vilambita-laye druta-laye mṛdu-mṛdu ca praharantī	maDya--vilambita--laye druta-laye mRdu--mRdu ca praharantI
   tat-kṣaṇaṃ cūrṇa-padam adarśayat |	tat-kzaNam cUrNa-padam adarSayat |
   praśāntaṃ ca taṃ nir-daya-prahārair udapādayat |	praSAntam ca tam nir-daya--prahArEH udapAdayat |
   viparyayeṇa ca prāśamayat |	viparyayeNa ca prASamayat |
   pakṣam ṛjv-āgataṃ ca vāma-dakṣiṇābhyāṃ	pakzam Rjv-Agatam ca vAma-dakziNAByAm
   karābhyāṃ paryāyeṇa abhighnatī śakuntam	karAByAm paryAyeNa aBiGnatI Sakuntam
   ivo7dasthāpayat |	iva-u7da-sTApayat |
   dūro1tthitaṃ ca prapatantam āhatya gīta-mārgam	dUro1tTitam ca prapatantam Ahatya gIta--mArgam
   āracayat |	Aracayat |
   prati-diśaṃ ca gamayitvā pratyāgamayat |	prati-diSam ca gamayitvA pratyAgamayat |
   evam an-eka-karaṇa-madhuraṃ viharantī raṅga-gatasya	evam an-eka--karaNa--maDuram viharantI raFga--gatasya
   rakta-cetaso janasya prati-kṣaṇam uccā1vacāḥ	rakta-cetasaH janasya prati-kzaNam uccA1vacAH
   praśamsā-vācaḥ pratigṛhṇatī	praSamsA--vAcaH pratigRhNatI
   tat-kṣaṇā3rūḍha-viśrambhaṃ kośa-dāsam amse	tat-kzaNA3-rUXa-viSramBam koSa-dAsam amse
   avalambya kaṇṭakita-gaṇḍam utphulle3kṣaṇaṃ ca	avalambya kaNwakita-gaNxam utPulle3kzaNam ca
   mayy abhimukhībhūya tiṣṭhati	mayi aBimuKIBUya tizWati
   tat-prathamā1vatīrṇa-kandarpa-kārita-kaṭākṣa-dṛṣṭis	tat--praTama-a1vatIrNa--kandarpa-kArita--kawAkza-dRzwi-s
   tad-anumārga-vilasita-līlā2ñcita-bhrū-latā	tad--anumArga--vilasita-lIlA-2Qcita--BrU-latA
   śvāsā1nila-vegā3ndolitair danta-cchada-raśmi-jālair	SvAsa-a1nila--vegA3-ndolitEH danta--cCada--raSmi--jAlEH-
   līlā-pallavair iva mukha-kamala-parimala-grahaṇa-lolān	lIlA-pallavEH iva muKa--kamala--parimala--grahaNa--lolAn
   ālinas tāḍayantī maṇḍala-bhramaṇeṣu kandukasya	AlinaH tAxayantI maNxala--BramaNezu kandukasya
   ati-śīghra-pracāritayā viśantī9va	ati-SIGra--pracAritayA viSantI9va
   mad-darśana-lajjayā puṣpa-mayaṃ pañjaram	mad---darSana--lajjayA puzpa-mayam paQjaram
   pañca-bindu-prasṛteṣu pañca api pañca-bāṇa-bāṇān	paQca--bindu--prasRtezu paQca api paQca--bANa--bANAn
   yugapad iva abhipatatas trāsena avaghaṭṭayantī	yugapad iva aBipatataH trAsena avaGawwayantI
   gomūtrikā-pracāreṣu ghana-darśita-rāga-vibhramā	gomUtrikA--pracArezu Gana-darSita-rAga-viBramA
   vidyul-latām iva viḍambayantī	vidyut--latAm iva vixambayantI
   bhūṣaṇa-maṇi-raṇita-datta-laya-samvādi-pāda-cāram	BUzaNa-maNi-raNita--datta--laya--samvAdi--pAda-cAram
   apadeśa-smita-prabhā-niṣikta-bimbā1dharam	apadeSa--smita--praBA--nizikta--bimbA1-Daram
   apasramsita-pratisamāhita-śikhaṇḍa-bhāram	apasramsita--pratisamAhita--SiKaNxa--BAram
   samāghaṭṭita-kvaṇita-ratna-mekhalā-guṇam	samAGawwita--kvaNita-ratna--meKalA-guNam
   añcito1tthita-pṛthu-nitamba-lambi-vicalad-amśuko1jjvalam	aQcita-u1tTita--pRTu--nitamba--lambi--vicalat--amSuko1jjvalam
   ākuñcita-prasṛta-vellita-bhuja-latā2bhihata-lalita-kandukam	AkuQcita--prasRta-vellita--Buja--latA-a2Bihata--lalita--kandukam
   āvarjita-bāhu-pāśam parivartita-trika-vilagna-lola-kuntalam	Avarjita-bAhu--pASam parivartita-tri-ka-vilagna--lola--kuntalam
   avagalita-karṇa-pūra-kanaka-patra-prati	avagalita-karNa--pUra-kanaka--patra-prati
   samādhāna-śīghratā2n-atikramita-prakṛta-krīḍam	samADAna--SIGra-tA2n-atikramita--prakRta-krIxam
   a-sakṛd-utkṣipyamāṇa-hasta-pāda-bāhyā3bhyantara-bhrānta-kandukam	a-sakRt--utkzipyamANa--hasta--pAda--bAhya-a3Byantara--BrAnta--kandukam
   avanamano1nnamana-nairantarya-naṣṭa-dṛṣṭa-madhya-yaṣṭikam	avana-mano1nna-mana--nErantarya--nazwa-dRzwa--maDya-yazwikam
   avapatano1tpatana-viparyasta-muktā-hāram	avapatano1t-patana--viparyasta-muktA--hAram
   aṅkurita-gharma-salila-dūṣita-kapola-patra-bhaṅga-śoṣaṇā1dhikṛta-śravaṇa-pallavā1ni	aFkurita-Garma--salila--dUzita--kapola-patra--BaFga--SozaNa-a1DikRta--SravaNa--pallavA1ni
   lam	lam
   āgalita-stana-taṭā1mśuka-niyamana-vyāpṛtai1ka-pāṇi-pallavaṃ	Agalita--stana--tawa-a1mSuka--niyamana--vyApRtE1ka-pa-aNi--pallavam
   ca niṣadyo7tthāya nimīlyo7nmīlya sthitvā	ca nizadyaH-7tTAya nimIlyo7t-mIlya sTitvA
   gatvā cai7va ati-citraṃ paryakrīḍata rāja-kanyā |	gatvA ca-e7va ati-citram paryakrIxata rAja--kanyA |
   abhihatya bhū-talā3kāśayor api krīḍā2ntarāṇi	aBihatya BU--talA3kASayoH api krIxA-a2ntarANi
   darśanīyāny ekenai7va an-ekene7va kandukena	darSanIyAni ekena-e7va an-ekena-i7va kandukena
   adarśayat |	adarSayat |
   candra-senā4dibhiś ca priya-sakhībhiḥ saha vihṛtya	candra-sena-A4diBiH ca priya--saKIBiH saha vihRtya
   vihṛtā1nte ca abhivandya devīṃ manasā me	vihRta-a1nte ca aBivandya devIm manasA me
   sā1nurāgeṇe7va parijanena ca anugamyamānā	sA1nurAgeNa-i7va parijanena ca anugamyamAnA
   kuvalaya-śaram iva kusuma-śarasya mayy apāṅgaṃ	kuvalaya--Saram iva kusuma-Sarasya mayi apAFgam
   samarpayantī sā1padeśam	samarpayantI sA1padeSam
   a-sakṛd-āvartyamāna-vadana-candra-maṇḍalatayā	a-sakRt--AvartyamAna--vadana--candra--maNxala-tayA
   sva-hṛdayam iva mat-samīpe preritaṃ pratinivṛttaṃ na	sva--hRdayam iva mat--samIpe preritam pratinivRttam na
   ve9ty ālokayantī saha sakhībhiḥ kumārī-puram agamat |	ve9ti AlokayantI saha saKIBiH kumArI--puram agamat |
   ahaṃ ca an-aṅga-vihvalaḥ sva-veśma gatvā	aham ca an-aFga-vihvalaH sva-veSma gatvA
   kośa-dāsena yatnavad aty-udāraṃ snāna-bhojanā3dikam	koSa-dAsena yatnavat aty-udAram snAna--Boja-nA3dikam
   anubhāvito 'smi |	anuBAvitaH asmi |
   sāyaṃ co7pasṛtya candra-senā rahasi māṃ praṇipatya	sAyam ca-u7pasRtya candra-senA rahasi mAm praNipatya
   patyur amsam amsena praṇaya-peśalam āghaṭṭayanty	patyuH amsam amsena praNaya--peSalam AGawwayanti-
   upādiśat |	upAdiSat |
   ācaṣṭa ca hṛṣṭaḥ kośa-dāsaḥ -- ' bhūyāsam evam	Acazwa ca hRzwaH koSa-dAsaH -- a BUyAsam evam
   yāvad-āyur āyatā1kṣi tvat-prasādasya pātram iti |	yAvat--AyuH Ayata-a1kzi tu-at--prasAdasya pAtram iti |
   mayā tu sa-smitam abhihitam -- ' sakhe kim etad āśāsyam |	mayA tu sa--smitam aBihitam -- a saKe kim etat ASAsyam |
   asti kiñ=cid añjanam |	asti kiQ=cid aQjanam |
   anayā tad-akta-netrayā rāja-sūnur upasthito vānarīm	anayA tad--akta--netrayA rAja--sUnuH upasTitaH vAnarIm
   ivai7nāṃ drakṣyati viraktaś cai7nāṃ punas	iva-e7nAm drakzyati viraktaH cE7nAm punar-
   tyakṣyati ' iti |	tyakzyati a iti |
   tayā tu smerayā asmi kathitaḥ -- ' so 'yam	tayA tu smerayA asmi kaTitaH -- a saH ayam
   āryeṇā8jñā-karo jano 'tyartham anugṛhītaḥ yad	AryeNa-a8jQA-karaH janaH atyarTam anugRhItaH yat-
   asminn eva janmani mānuṣaṃ vapur apanīya	asmin eva janmani mAnuzam vapuH apanIya
   vānarīkariṣyate |	vAnarIkarizyate |
   tad āstām idam |	tat AstAm idam |
   anyathā api siddhaṃ naḥ samīhitam |	anyaTA api sidDam naH samIhitam |
   adya khalu kanduko1tsave bhavantam	adya Kalu kandu-ko1tsave Bavantam
   avahasita-mano-bhavā3kāram abhilaṣantī roṣād iva	avahasita--mano--BavA3kAram aBilazantI rozAt iva
   śambara-dviṣā atimātram āyāsyate rāja-putrī |	Sambara-dvizA atimAtram AyAsyate rAja--putrI |
   so 'yam artho vidita-bhāvayā mayā sva-mātre tayā ca	saH ayam arTaH vidita--BAvayA mayA sva--mAtre tayA ca
   tan-mātre mahiṣyā ca manuje1ndrāya nivedayiṣyate |	tan--mAtre mahizyA ca manuje1ndrAya nivedayizyate |
   viditā1rthas tu pārthivas tvayā duhituḥ pāṇiṃ	vidita-a1rTaH tu pArTivaH tvayA duhituH pANim
   grāhayiṣyati |	grAhayizyati |
   tataś ca tvad-anujīvinā rāja-putreṇa bhavitavyam |	tatas ca tvad--anujIvinA rAja--putreNa Bavitavyam |
   eṣa hi devatā-samādiṣṭo vidhiḥ |	eza hi devatA-samAdizwaH viDiH |
   tvad-āyatte ca rājye na alam eva tvām atikramya mām	tvad--Ayatte ca rAjye na alam eva tvAm atikramya mAm
   avaroddhum bhīma-dhanvā |	avarodDum BIma--DanvA |
   tat sahatām ayaṃ tri-caturāṇi dināni |	tat sahatAm ayam tri-caturANi dinAni |
   ' iti mām āmantrya priyaṃ co7pagūhya pratyayāsīt |	a iti mAm Amantrya priyam ca-u7pagUhya pratyaya-AsIt |
   mama kośa-dāsasya ca tad-uktā1nusāreṇa bahu	mama koSa-dAsasya ca tad--ukta-a1nusAreNa bahu
   vikalpayatoḥ kathañ=cid akṣīyata kṣapā |	vikalpayatoH kaTaQ=cid akzIyata kzapA |
   kṣapā2nte ca kṛta-yatho2cita-niyamas tam eva	kzapA-a2nte ca kRta--yaTo2cita--niyamaH tam eva
   priyā-darśana-subhagam udyāno1ddeśam upagato 'smi |	priyA--darSana--suBagam udyAnaH-1ddeSam upagataH asmi |
   tatrai7va co7pasṛtya rāja-putro nir-abhimānam	tatra-e7va ca-u7pasRtya rAja--putraH nir-aBimAnam
   anukūlābhiḥ kathābhir mām anuvartamāno muhūrtam	anukUlABiH kaTABiH mAm anuvartamAnaH muhUrtam
   āsta |	Asta |
   nītvā co7pakāryām ātma-samena	nItvA ca-u7pakAryAm Atma--samena
   snāna-bhojana-śayanā3di-vyatikareṇo7pācarat |	snAna--Bojana-SayanA3di-vyatikareNa-u7pAcarat |
   talpa-gataṃ ca svapnena	talpa--gatam ca svapnena
   anubhūyamāna-priyā-darśanā3liṅgana-sukham āyasena	anuBUyamAna--priyA--darSanA3liFgana--suKam Ayasena
   nigaḍena ati-balavad-bahu-puruṣaiḥ	nigaxena ati-balavat--bahu--puruzEH
   pīvara-bhuja-daṇḍo1paruddham abandhayan mām |	pIvara--Buja--daNxaH-1parudDam abanDayat mAm |
   pratibuddhaṃ ca sahasā samabhyadhāt -- ' ayi dur-mate	pratibudDam ca sahasA samaByaDAt -- a ayi dur-mate
   śrutam ālapitaṃ hatāyāś candra-senāyā	Srutam Alapitam hatAyAH candra-senAyAH-
   jāla-randhra-niḥsṛtaṃ tad-ekā1vabodha-prayuktayā	jAla-ranDra--niHsRtam tat--eka-a1vaboDa--prayuktayA
   anayā kubjayā |	anayA kubjayA |
   tvaṃ kila abhilaṣito varākyā kandukavatyā tava kila	tvam kila aBilazitaH varAkyA kandukavatyA tava kila
   anujīvinā mayā stheyam tvad-vacaḥ kila	anujIvinA mayA sTeyam tvad--vacaH kila
   an-atikramatā mayā candra-senā kośa-dāsāya dāsyate	an-atikramatA mayA candra-senA koSa-dAsAya dAsyate
   ity uktvā pārśva-caraṃ puruṣam ekam ālokya	iti uktvA pArSva-caram puruzam ekam Alokya
   akathayat -- ' prakṣipai7naṃ sāgare ' iti |	akaTayat -- a prakzipE7nam sAgare a iti |
   sa tu labdha-rājya iva ati-hṛṣṭaḥ ' deva yad	sa tu labDa-rAjyaH iva ati-hRzwaH a deva yat-
   ājñāpayasi ' iti yathā4diṣṭam akarot |	AjQApayasi a iti yaTA4dizwam akarot |
   ahaṃ tu nir-ālambano bhujābhyām itas-tataḥ	aham tu nir-AlambanaH BujAByAm ita-s-tataH
   spandamānaḥ kim=api kāṣṭhaṃ daiva-dattam	spandamAnaH kim-=api kAzWam dEva-dattam
   uraso9paśliṣya tāvad aploṣi yāvad apāsarad	urasaH-9paSlizya tAvat aplozi yAvat apAsarat-
   vāsaraḥ śarvarī ca sarvā |	vAsaraH SarvarI ca sarvAH |
   pratyuṣasy adṛśyata kim=api vahitram |	pratyuzasi adRSyata kim-=api vahitram |
   amutrā8san yavanāḥ |	amutra-a8san yavanAH |
   te mām uddhṛtya rāme1ṣu-nāmne nāvika-nāyakāya	te mAm udDRtya rAme1zu--nAmne nAvika-nAyakAya
   kathitavantaḥ -- ' ko 'py ayam āyasa-nigaḍa-baddha	kaTitavantaH -- a kaH api ayam Ayasa-nigaxa--badDa
   eva jale labdhaḥ puruṣaḥ |	eva jale labDaH puruzaH |
   so 'yam api siñcet sahasraṃ drākṣāṇāṃ	saH ayam api siQcet sahasram drAkzANAm
   kṣaṇenai7kena iti |	kzaNena-e7kena iti |
   asminn eva kṣaṇe nai1ka-naukā-parivṛtaḥ ko 'pi	asmin eva kzaNe nE1ka-nOkA--parivRtaH kaH api
   madgur abhyadhāvat |	madguH aByaDAvat |
   abibhayur yavanāḥ |	abiBayuH yavanAH |
   tāvad ati-javā naukāḥ śvāna iva varāham	tAvat ati--javAH nOkAH SvAnaH iva varAham
   asmat-potaṃ paryarutsata |	asmat-potam paryarutsata |
   prāvartata ca samprahāraḥ |	prAvartata ca samprahAraH |
   parājāyiṣata yavanāḥ |	parAjAyizata yavanAH |
   tān aham a-gatīn avasīdataḥ samāśvāsya alapiṣam --	tAn aham a-gatIn avasIdataH samASvAsya alapizam --
   ' apanayata me nigaḍa-bandhanam |	a apanayata me nigaxa-banDanam |
   ayam aham avasādayāmi vaḥ sapatnān ' iti |	ayam aham avasAdayAmi vaH sapatnAn a iti |
   amī tathā akurvan |	amI taTA akurvan |
   sarvāmś ca tān pratibhaṭān bhalla-varṣiṇā	sarvAmH ca tAn pratiBawAn Balla-varziNA
   bhīma-ṭaṅkṛtena śārṅgeṇa lava-lavīkṛtā1ṅgān	BIma--waFkRtena SArFgeNa lava-lavIkRta-a1FgAn
   akārṣam |	akArzam |
   avaplutya hata-vidhvasta-yodham asmat-pota-samsakta-potam	avaplutya hata-viDvasta-yoDam asmat--pota--samsakta--potam
   amutra nāvika-nāyakam an-abhisaram abhipatya jīva-grāham	amutra nAvika-nAyakam an-aBisaram aBipatya jIva-grAham
   agrahīṣam |	agrahIzam |
   asau cā8sīt sa eva bhīma-dhanvā |	asO ca-a8sIt saH eva BIma--DanvA |
   taṃ ca aham avabudhya jāta-vrīḍam abravam -- ' tāta	tam ca aham avabuDya jAta--vrIxam abravam -- a tAta
   kiṃ dṛṣṭāni kṛtānta-vilasitāni ' iti |	kim dRzwAni kRtAnta--vilasitAni a iti |
   te tu sāmyātrikā madīyenai7va śṛṅkhalena tam	te tu sAmya-AtrikA madIyena-e7va SRFKalena tam
   ati-gāḍhaṃ baddhvā harṣa-kilakilā-ravam akurvan	ati-gAXam badDvA harza--kila-kilA--ravam akurvan
   māṃ ca apy apūjayan |	mAm ca api apUjayan |
   dur-vārā tu sā naur an-anukāla-vāta-nunnā dūram	dur-vArA tu sA nOH an-anukAla-vAta--nunnA dUram
   abhipatya kam api dvīpaṃ nibiḍam āśliṣṭavatī |	aBipatya kam api dvIpam nibixam ASlizwavatI |
   tatra ca svādu pānīyam edhāmsi kanda-mūla-phalāni ca	tatra ca svAdu pAnIyam eDAmsi kanda--mUla--PalAni ca
   sañjighṛkṣavo gāḍha-pātita-śilā-valayam avātarāma |	saQjiGRkzavaH gAXa--pAtita--SilA-valayam avAtarAma |
   tatra cā8sīn mahā-śailaḥ |	tatra ca-a8sIt mahA-SElaH |
   so 'ham -- ' aho ramaṇīyo 'yaṃ	saH aham -- a aho ramaNIyaH ayam
   parvata-nitamba-bhāgaḥ kāntatare9yaṃ	parvata-nitamba-BAgaH kAntatare9yam
   gandha-pāṣāṇavaty upatyakā śiśiram idam	ganDa--pAzANavatI upatyakA SiSiram idam
   indīvarā1ravinda-makaranda-bindu-candrako1ttaraṃ	indIvarA1ravinda--makaranda--bindu--candrako1ttaram
   gotra-vāri ramyo 'yam	gotra--vAri ramyaH ayam
   an-eka-varṇa-kusuma-mañjarī-mañjulataras	an-eka--varNa-kusuma--maQjarI--maQjulataraH-
   taru-vanā3bhogaḥ ity a-tṛptatarayā dṛśā bahu bahu	taru-vanA3-BogaH iti a-tRpta-tarayA dRSA bahu bahu
   paśyann a-lakṣitā1dhyārūḍha-kṣoṇī-dhara-śikharaḥ	paSyan a-lakzita-a1Di-ArUXa--kzoNI-Dara-SiKaraH
   śoṇībhūtam utprabhābhiḥ	SoNIBUtam utpraBABiH
   padma-rāga-sopāna-śilābhiḥ kim api	padma-rAga--sa-upAna--SilABiH kim api
   nālīka-parāga-dhūsaraṃ saraḥ samadhyagamam |	nAlIka-pa-rAga--DUsaram saraH sa-maDya-gamam |
   tatra snātaś ca kāmś=cid amṛta-svādūn	tatra snAtaH ca kAmS=cit amRta-svAdUn
   bisa-bhaṅgān āsvādya amsa-lagna-kalhāras	bisa-BaFgAn AsvAdya amsa--lagna--kalhAraH-
   tāra-vartinā kena api bhīma-rūpeṇa brahma-rākṣasena	tAra-vartinA kena api BIma--rUpeNa brahma-rAkzasena
   abhipatya ' ko 'si kutastyo 'si ' iti nirbhartsayatā	aBipatya a kaH asi kutastyaH asi a iti nirBartsayatA
   abhyadhīye |	aByaDIye |
   nir-bhayena ca mayā so 'bhyadhīyata -- ' saumya so	nir-Bayena ca mayA saH aByaDIyata -- a sOmya saH-
   aham asmi dvi-janmā |	aham asmi dvi-janmA |
   śatru-hastād arṇavam arṇavād yavana-nāvam	Satru--hastAt arNavam arNavAt yavana-nAvam
   yavana-nāvaś citra-grāvāṇam enaṃ parvata-pravaraṃ	yavana-nAvaH citra-grAvANam enam parvata--pravaram
   gato yad-ṛcchayā asmin sarasi viśrāntaḥ |	gataH yat--RcCayA asmin sarasi viSrAntaH |
   bhadraṃ tava ' iti |	Badram tava a iti |
   so 'brūta -- ' na ced bravīṣi praśnān aśnāmi tvām	saH abrUta -- a na ced bravIzi praSnAn aSnAmi tvAm
   ' iti |	a iti |
   mayo9ktam -- ' pṛcchā tāvad bhavatu ' iti |	mayA-u9ktam -- a pRcCA tAvat Bavatu a iti |
   athā8vayor ekayā0ryayā0sīt samlāpaḥ --	aTa-a8vayoH ekayA-A0ryayA0sIt samlApaH --
   kiṃ krūraṃ strī-hṛdayaṃ	kim krUram strI--hRdayam
   kiṃ gṛhiṇaḥ priya-hitāya dāra-guṇāḥ |	kim gRhiNaH priya-hitAya dAra-guNAH |
   kaḥ kāmaḥ saṅkalpaḥ	kaH kAmaH saFkalpaH
   kiṃ duṣ-kara-sādhanaṃ prajñā ||	kim duz-kara--sADanam prajQA ||
   ' tatra dhūminī-gominī-nimbavatī-nitambavatyaḥ	a tatra DUminI--gominI--nimbavatI--nitambavatyaH
   pramāṇam | ' ity upadiṣṭo mayā so 'brūta -- '	pramANam | a iti upadizwaH mayA saH abrUta -- a
   kathaya kīdṛśyas tāḥ ' iti |	kaTaya kIdRSyaH tAH a iti |
   atro7dāharam --	atra-u7dAharam --
   ' asti tri-garto nāma janapadaḥ |	a asti tri-gartaH nAma janapadaH |
   tatrā8san gṛhiṇas trayaḥ sphīta-sāra-dhanāḥ	tatra-a8san gRhiNaH trayaH sPIta--sAra-DanAH
   sodaryā dhanaka-dhānyaka-dhanyakā3khyāḥ |	sodaryAH Danaka-DAnyaka-DanyakA3KyAH |
   teṣu jīvatsu na vavarṣa varṣāṇi dvādaśa	tezu jIvatsu na vavarza varzANi dvAdaSa
   daśa-śatā1kṣaḥ |	daSa--SatA1kzaH |
   kṣīṇa-sāraṃ sasyam oṣadhyo vandhyāḥ na phalavanto	kzINa-sAram sasyam ozaDyaH vanDyAH na PalavantaH-
   vanaspatayaḥ klībā meghāḥ kṣīṇa-srotasaḥ	vanaspatayaH klIbAH meGAH kzINa-srotasaH
   sravantyaḥ paṅka-śeṣāṇi palvalāni nir-nisyandāny	sravantyaH paFka-SezANi palvalAni nir-nisyandAni-
   utsa-maṇḍalāni viralībhūtaṃ kanda-mūla-phalam	utsa--maNxalAni viralIBUtam kanda--mUla-Palam
   avahīnāḥ kathāḥ galitāḥ kalyāṇo1tsava-kriyāḥ	avahInAH kaTAH galitAH kalyANaH-1tsava--kriyAH
   bahulībhūtāni taskara-kulāni anyo-anyam abhakṣayan	bahulIBUtAni taskara--kulAni anyaH--anyam aBakzayan
   prajāḥ paryaluṭhann itas-tato balākā-pāṇḍurāṇi	prajAH paryaluWan itas-tataH balAkA--pANxurANi
   nara-śiraḥ-kapālāni paryahiṇḍanta śuṣkāḥ	nara--SiraH--kapAlAni paryahiNxanta SuzkAH
   kāka-maṇḍalyaḥ śūnyībhūtāni	kAka-maNxalyaH SUnyIBUtAni
   nagara-grāma-kharvaṭa-puṭa-bhedanā3dīni |	nagara-grAma--Karvawa--puwa--BedanA3dIni |
   tae ete gṛha-patayaḥ sarva-dhānya-nicayam upayujya	tae ete gRha-patayaH sarva-DAnya--nicayam upayujya
   ajā1vikaṃ gavala-gaṇaṃ gavāṃ yūthaṃ	ajA1vikam gavala--gaNam gavAm yUTam
   dāsī-dāsa-janam apatyāni jyeṣṭha-madhyama-bhārye ca	dAsI-dAsa--janam apatyAni jyezWa--maDyama--BArye ca
   krameṇa bhakṣayitvā ' kaniṣṭha-bhāryā dhūminī śvo	krameNa BakzayitvA a kanizWa--BAryA DUminI Svas-
   bhakṣaṇīyā ' iti samakalpayan |	BakzaNIyAH a iti samakalpayan |
   ayaṃ kaniṣṭho dhanyakaḥ priyāṃ svām attum	ayam kanizWaH DanyakaH priyAm svAm attum
   a-kṣamas tayā saha tasyām eva niśy apāsarat |	a-kzamaH tayA saha tasyAm eva niSi apAsarat |
   mārga-klāntāṃ co7dvahan vanaṃ jagāhe |	mArga--klAntAm co7dvahan vanam jagAhe |
   sva-māmsā1sṛg-apa nīta-kṣut-pipāsāṃ tāṃ nayann	sva-mAmsA1-sRj--apa nIta--kzut--pipAsAm tAm nayan=-
   antare kam api nikṛtta-pāṇi-pāda-karṇa-nāsikam	antare kam api nikRtta-pANi--pAda-karNa--nAsikam
   avani-pṛṣṭhe viceṣṭamānaṃ puruṣam adrākṣīt |	avani-pRzWe vicezwamAnam puruzam adrAkzIt |
   tam apy ārdrā3śayaḥ skandheno7dvahan	tam api ArdrA3SayaH skanDena-u7dvahan
   kanda-mūla-mṛga-bahule gahano1ddeśe	kanda--mUla--mRga--bahule gahano1ddeSe
   yatna-racita-parṇa-śālaś ciram avasat |	yatna-racita--parNa-SAlaH ciram avasat |
