   darpadalanam	darpa-dalanam
   ityete munayo 'pi darpaviphale yāte śrute śocyatāṃ krodhāndhyena punaḥ	iti-ete munayaH api darpa-viPale yAte Srute SocyatAm kroDa-AnDyena punar-
   pranaṣṭavimalāloke viveke cyute /	pranazwa-vimala-Aloke viveke cyute /
   śīle rāgamahoṣmaṇā vigalite dveṣeṇa nāśaṃ gatāḥ kasyānyasya	SIle rAga-mahozmaNA vigalite dvezeNa nASam gatAH kasya-anyasya
   dhanābhimānamalinā vidyā vidhatte guṇam // KDarp_3.150 //	Dana-aBimAna-malinA vidyAH viDatte guNam // KDarp_3.150 //
   cetaḥ śāntyai dveṣadarpojjhitena yatnaḥ kāryaḥ sarvathā paṇḍitena /	cetaH SAntyE dveza-darpa-ujJitena yatnaH kAryaH sarvaTA paNxitena /
   vidyādīpaḥ kāmakopākulākṣṇāṃ darpāndhānāṃ niṣphalāloka eva // KDarp_3.151	vidyA-dIpaH kAma-kopa-Akula-akzNAm darpa-anDAnAm nizPala-Aloke eva // KDarp_3.151
   alobhaḥ paramaṃ vittam ahiṃsā paramaṃ tapaḥ /	aloBaH paramam vittam ahiMsA paramam tapaH /
   amāyā paramā vidyā niravadyā manīṣiṇām // KDarp_3.152 //	amAyA paramA vidyA niravadyAH manIziNAm // KDarp_3.152 //
   śukrasya vidyā dhanadārthahartum āryāprapañcopacitasya śocyā /	Sukrasya vidyA Danada-arTa-hartum Arya-aprapaQca-upacitasya SocyAH /
   kacasya vācaspatijanmano 'pi vyājena vidyā viphalībabhūva // KDarp_3.153	kacasya vAcaspati-janmanaH api vyAjena vidyA viPalI-baBUva // KDarp_3.153
   spṛśati matiṃ nahi teṣāṃ dveṣaviṣaḥ kalisarpaḥ /*	spRSati matim na-hi tezAm dveza-vizaH kali-sarpaH /*
   yadi śamavimalamatīnāṃ svamanasi bhavati na darpaḥ // KDarp_3.154 //*	yadi Sama-vimala-matInAm sva-manasi Bavati na darpaH // KDarp_3.154 //*
   caturtho vicāraḥ	caturTaH vicAraH
   padmopamānāṃ dinasundarāṇāṃ ko 'yaṃ nṛṇāmasthirarūpadarpaḥ /	padma-upamAnAm dina-sundarANAm kaH ayam nRNAm-asTira-rUpa-darpaH /
   rūpeṇa kāntiḥ kṣaṇikaiva yeṣāṃ hāridrarāgeṇa yathāṃśukānām // KDarp_4.1 //	rUpeNa kAntiH kzaNikA-eva yezAm hAridra-rAgeNa yaTA-aMSukAnAm // KDarp_4.1 //
   paryantarekhāṅgavibhāgahīna- citropamaṃ bālavapuḥ prakṛtyā /	paryanta-reKA-aFga-viBAga-hIna citra-upamam bAla-vapuH prakRtyA /
   tadyauvanenaiva vikāsameti caitrotsaveneva śirīṣapuṣpam // KDarp_4.2 //	tat-yOvanena-eva vikAsam-eti cEtra-utsavena-iva SirIza-puzpam // KDarp_4.2 //
   alomaśaṃ pūrṇaśaśāṅkaśobhaṃ mukhaṃ tu yūnāṃ katiciddināni /	alomaSam pUrNa-SaSAFka-SoBam muKam tu yUnAm katicid-dinAni /
   jāte tataḥ śmaśruviśālajāle śevālalīnābjatulāṃ bibharti // KDarp_4.3 //	jAte tatas SmaSru-viSAla-jAle SevAla-lIna-abja-tulAm biBarti // KDarp_4.3 //
   dhūmena citraṃ tuhinena padmaṃ tamisrapakṣeṇa sudhāṃśubimbam /	DUmena citram tuhinena padmam tamisra-pakzeNa suDAMSu-bimbam /
   śītaṃ nidāghena na bhāti toyaṃ jarāvatāreṇa ca cārurūpam // KDarp_4.4 //	SItam nidAGena na BAti toyam jarA-avatAreNa ca cAru-rUpam // KDarp_4.4 //
   rūpaṃ kṣaṇasvīkṛtaraktamāṃsa- grāsaprasaktākṛtakāmadoṣā /	rUpam kzaNa-svIkRta-rakta-mAMsa grAsa-prasakta-akRta-kAma-dozAH /
   keśagraheṇaiva jarā janānāṃ veśyeva vittaṃ kavalīkaroti // KDarp_4.5 //	keSa-graheNa-eva jarA janAnAm veSyA-iva vittam kavalIkaroti // KDarp_4.5 //
   pākakrameṇaiva vicitrakarmā pratikṣaṇaṃ dehabhṛtāmalakṣyaḥ /	pAka-krameNa-eva vicitrakarmA pratikzaNam dehaBRtAm-alakzyaH /
   karoti kālaḥ pariṇāmaśaktyā rūpaṃ virūpaṃ caturapravāhaḥ // KDarp_4.6 //	karoti kAlaH pariNAma-SaktyA rUpam virUpam catura-pravAhaH // KDarp_4.6 //
   na lakṣyate kālagatiḥ savega- cakrabhramabhrāntividhāyinīyam /	na lakzyate kAla-gatiH sa-vega cakra-Brama-BrAnti-viDAyinIyam /
   hyo yaḥ śiśuḥ sa sphuṭayauvano 'dya prātarjarājīrṇatanuḥ sa eva //	hyas yaH SiSuH sa sPuwa-yOvanaH adya prAtar-jarA-jIrNa-tanuH saH eva //
   KDarp_4.7 //	KDarp_4.7 //
   puṃsāmavasthātritayatribhāge rūpapradaṃ yauvanameva nānyat /	puMsAm-avasTA-tritaya-tri-BAge rUpa-pradam yOvanam-eva na-anyat /
   tasminmadonmādagadāṅgabhaṅga- vyaṅgyādidoṣopahate kva rūpam // KDarp_4.8	tasmin-mada-unmAda-gada-aFga-BaFga vyaFgya-Adi-doza-upahate kva rUpam // KDarp_4.8
   yadā naraḥ śocati duḥkhataptas tyaktāśanaḥ śokavivarṇavaktraḥ /	yadA naraH Socati duHKa-taptaH tyakta-aSanaH Soka-vivarNa-vaktraH /
   na snāti nottiṣṭhati naiva śete tadā kva rūpaṃ kva ca yauvanaśrīḥ //	na snAti na-uttizWati na-eva Sete tadA kva rUpam kva ca yOvana-SrIH //
   KDarp_4.9 //	KDarp_4.9 //
   yadā sthitaḥ preta ivāsthiśeṣaḥ kārāgṛhe dhūsaritordhvakeśaḥ /	yadA sTitaH pretaH iva-asTi-SezaH kArA-gRhe DUsarita-UrDva-keSaH /
   prakīrṇayūkāmalakālakāyas tadā kva rūpasya gato 'bhimānaḥ // KDarp_4.10 //	prakIrNa-yUka-amala-kAla-kAyaH tadA kva rUpasya gataH aBimAnaH // KDarp_4.10 //
   yadā sadāṅgīkṛtadainyaduḥkha- sevāpravāsena vinaṣṭakāyaḥ /	yadA sadA-aFgIkRta-dEnya-duHKa sevA-pravAsena vinazwa-kAyaH /
   nityapravāsabhramabhagnajānur na rūpalabdhasya tadāsti rupam // KDarp_4.11	nitya-pravAsa-Brama-Bagna-jAnuH na rUpa-labDasya tadA-asti rupam // KDarp_4.11
   yadā prahārairdalitākhilāṅgaḥ khaṇḍoṣṭhanāsaḥ sphuṭitākṣidantaḥ /	yadA prahArEH-dalita-aKila-aFgaH KaNxa-uzWa-nAsaH sPuwita-akzidantaH /
   yuvā piśācatvamivopayāti tadāpi rūpaṃ vigatasvarūpam // KDarp_4.12 //	yuvA piSAca-tvam-iva-upayAti tadA-api rUpam vigata-svarUpam // KDarp_4.12 //
   yadā na dhīmānariṣu pramāthī na vākpaṭuścitramanuṣyatulyaḥ /	yadA na DImAn-arizu pramATI na vAc-pawuH-citra-manuzya-tulyaH /
   tadā surūpādavicāraramyād varaṃ virūpaḥ spṛhaṇīyarūpaḥ // KDarp_4.13 //	tadA surUpAda-vicAra-ramyAt varam virUpaH spRhaNIya-rUpaH // KDarp_4.13 //
   yadā daridraḥ paridhānahīnas trapānilīnaḥ kurute 'tiyāñcām /	yadA daridraH pariDAna-hInaH trapA-nilInaH kurute ati-yAQcAm /
   kapolasaṃjātavalīvikāras tadā surūpo 'pi paraṃ virūpaḥ // KDarp_4.14 //	kapola-saMjAta-valI-vikAraH tadA surUpaH api param virUpaH // KDarp_4.14 //
   vidvatsaṃsadi vādibhiḥ kavivarairbhāṣānabhijñaḥ paraṃ mūrkhaḥ	vidvat-saMsadi vAdiBiH kavi-varEH-BAzA-anaBijQaH param mUrKaH
   śaṃkaravāhanastutipadairyaḥ saṃjñayā hasyate /	SaMkara-vAhana-stuti-padEH-yaH saMjQayA hasyate /
   vikrītaḥ paradeśapaṇyasadane dhūrtairivānuttaraḥ	vikrItaH para-deSa-paNya-sadane DUrtEH-iva-anuttaraH
   puṃsaścitramayūracāruvapuṣaḥ kiṃ tasya rūpaśriyā // KDarp_4.15 //	puMsaH-citra-mayUra-cAru-vapuzaH kim tasya rUpa-SriyA // KDarp_4.15 //
   kālaṃ muhūrtāṅgulimaṇḍalena dinatriyāmāñjalinā pibantam /	kAlam muhUrta-aFguli-maNxalena dina-triyAma-aQjalinA pibantam /
   rūpaṃ vilokyaiva vapuśca keṣāṃ bhaṅgena nāṅgānyalasībhavanti // KDarp_4.16	rUpam vilokya-eva vapuH-ca kezAm BaFgena na-aFgAni-alasIBavanti // KDarp_4.16
   rūpaṃ vayaḥ śauryamanaṅgabhogaṃ prajñāprabhāvaṃ vibhavaṃ vapuśca /	rUpam vayaH SOryam-anaFga-Bogam prajQA-praBAvam viBavam vapuH-ca /
   aśnāti kālabhramaraḥ samantāt puṃsāṃ ni kiṃjalkamivāmbujānām // KDarp_4.17	aSnAti kAla-BramaraH samantAt puMsAm ni kiMjalkam-iva-ambujAnAm // KDarp_4.17
   kadācitsaha gandharvaiḥ sabhāsthāne śacīpatim /	kadAcid-saha ganDarvEH saBA-sTAne SacIpatim /
   nṛttenāpsarasaḥ sarvā gītena ca siṣevire // KDarp_4.18 //	nRttena-apsarasaH sarvAH gItena ca sizevire // KDarp_4.18 //
   tāsāṃ madhye babhau kāntā vṛttīnāmiva kaiśikī /	tAsAm maDye baBO kAntA vRttInAm-iva kESikI /
   urvaśī svamukhe maitrīṃ vadantīvendupadmayoḥ // KDarp_4.19 //	urvaSI sva-muKe mEtrIm vadanti-iva-indu-padmayoH // KDarp_4.19 //
   śakrasevāgatāstatra tāṃ dṛṣṭvendumukhīṃ surāḥ /	Sakra-sevA-gatAH-tatra tAm dRzwvA-indu-muKIm surAH /
   menire dhanyamātmānaṃ śṛṅgārasyāṅgatāṃ gatam // KDarp_4.20 //	menire Danyam-AtmAnam SRFgArasya-aFga-tAm gatam // KDarp_4.20 //
   nṛtyantī sā babhau hāra- madhyaratneṣu bimbitā /	nRtyantI sA baBO hAra maDya-ratnezu bimbitA /
   yugapatpraviśantīva hṛdayāni divaukasām // KDarp_4.21 //	yugapad-praviSanti-iva hRdayAni divOkasAm // KDarp_4.21 //
   līnā devavimāneṣu haṃsāstadgatinirjitāḥ /	lInAH deva-vimAnezu haMsAH-tad-gati-nirjitAH /
   tatkaṭākṣajitaścakre nidrāṃ candre mṛgaḥ kṣaṇam // KDarp_4.22 //	tad-kawAkza-jitaH-cakre nidrAm candre mRgaH kzaNam // KDarp_4.22 //
   tasyāḥ serṣyāpsaronetra- māleva patitā babhau /	tasyAH sa-Irzya-apsaraH-netra mAlA-iva patitAH baBO /
   stanayoḥ śekharasrastā nīlotpaladalāvalī // KDarp_4.23 //	stanayoH SeKara-srastA nIlotpala-dala-AvalI // KDarp_4.23 //
   utsāhoddhatavibhramabhramarakavyāvṛttahārāntara-	utsAha-udData-viBrama-Bramara-ka-vyAvRtta-hAra-antara-
   truṭyatsūtravimuktamauktikabharaḥ saktaḥ stanotsaṅgayoḥ /	truwyat-sUtra-vimukta-mOktika-BaraH saktaH stana-utsaFgayoH /
   vaktrenducyutasaṃtatāmṛtakaṇākāraścakāra kṣaṇaṃ tasyā	vaktra-indu-cyuta-saMtata-amRta-kaNA-AkAraH-cakAra kzaNam tasyAH-
   nṛttarasaśramoditaghanasvedāmbubimbaśriyam // KDarp_4.24 //	nRtta-rasa-Srama-udita-Gana-sveda-ambu-bimba-Sriyam // KDarp_4.24 //
   tasyā nṛttavilokane pulakitaṃ dṛṣṭvā ratirmanmathaṃ	tasyAH nRtta-vilokane pulakitam dRzwvA ratiH-manmaTam
   niḥśvāsāñcitacārurūpa(?)rajasā cakre purastātpaṭam /	niHSvAsa-AQcita-cAru-rUpa-(?)rajasA cakre purastAt-pawam /
   udvīkṣyākṣiparamparāmapi harestatrāvasannā śacī	udvIkzya-akzi-paramparAm-api hareH-tatra-avasannA SacI
   kopāndolitakelipadmamadhupairmadhye 'ndhakāraṃ vyadhāt // KDarp_4.25 //	kopa-andolita-keli-padma-maDupEH-maDye anDakAram vyaDAt // KDarp_4.25 //
   vighnaṃ na cakrurnanu nṛttalīlāsaṃdarśane puṇyavatāṃ narāṇām /*	viGnam na cakruH-nanu nRtta-lIlA-saMdarSane puNyavatAm narANAm /*
   tatrorvaśīrūpavaśīkṛtānāṃ nimeṣaśūnyāni vilocanāni // KDarp_4.26 //*	tatra-urvaSI-rUpa-vaSIkRtAnAm nimeza-SUnyAni vilocanAni // KDarp_4.26 //*
   devayoraśvinostatra rūpamādhuryadhuryayoḥ /	devayoH-aSvinoH-tatra rUpa-mADurya-DuryayoH /
   mithaḥ kathā samabhavat tadguṇākṛṣṭacittayoḥ // KDarp_4.27 //	miTas kaTA samaBavat tad-guNa-AkRzwa-cittayoH // KDarp_4.27 //
   eko 'bravīdaho rūpam asyāstaralacakṣuṣaḥ /	ekaH abravIt-aho rUpam asyAH-tarala-cakzuzaH /
   nimīlanniyamā yena munayo 'pyākulīkṛtāḥ // KDarp_4.28 //	nimIlat-niyamAH yena munayaH api-AkulIkRtAH // KDarp_4.28 //
   asyāṃ saṃsadi kasyāsye patantyetāḥ sujanmanaḥ /	asyAm saMsadi kasya-Asye patanti-etAH su-janmanaH /
   smarasaṃbhogasaṃvāda- lajjākuṭilitā dṛśaḥ // KDarp_4.29 //	smara-saMBoga-saMvAda lajjA-kuwilitAH dRSaH // KDarp_4.29 //
   vṛttasaṃgamayoreva parasparavilokane /	vRtta-saMgamayoH-eva paraspara-vilokane /
   nyāsaṃ śṛṅgārasarvasvam anaṅgenārpitaṃ rahaḥ // KDarp_4.30 //	nyAsam SRFgAra-sarva-svam anaFgena-arpitam rahaH // KDarp_4.30 //
   raṇotsṛṣṭatanoḥ kaṇṭhe sotkaṇṭhā bhujabandhanam /	raNa-utsRzwa-tanoH kaNWe sa-utkaNWA Buja-banDanam /
   kasyeyaṃ taralāpāṅgā raṅgottīrṇā kariṣyati // KDarp_4.31 //	kasya-iyam tarala-apAFgAH raFga-uttIrNA karizyati // KDarp_4.31 //
   iti bruvāṇamaparaḥ sasmitastamabhāṣata /	iti bruvANam-aparaH sa-smitaH-tam-aBAzata /
   aho nu vismṛtaḥ kiṃ te bhūtalenduḥ purūravāḥ // KDarp_4.32 //	aho nu vismRtaH kim te BU-tala-induH purUravAH // KDarp_4.32 //
   vikramābharaṇaṃ dikṣu lāvaṇyatilakaṃ bhuvaḥ /	vikrama-ABaraNam dikzu lAvaNya-tilakam BuvaH /
   urvaśībhogasubhagaṃ yasyaitadgīyate yaśaḥ // KDarp_4.33 //	urvaSI-Boga-suBagam yasya-etat-gIyate yaSaH // KDarp_4.33 //
   tena rūpaguṇotsāhair urvaśīyaṃ vaśīkṛtā /	tena rUpa-guNa-utsAhEH urvaSI-iyam vaSIkRtA /
   puraḥ sthitāpi śakrasya manasā tatra tiṣṭhati // KDarp_4.34 //	puras sTitA-api Sakrasya manasA tatra tizWati // KDarp_4.34 //
   rūpasāmyena śītāṃśu- vaṃśe jātaḥ sa lajjate /	rUpa-sAmyena SItAMSu vaMSe jAtaH sa lajjate /
   na karoti rateragre tatkathāṃ matsarī smaraḥ // KDarp_4.35 //	na karoti rateH-agre tad-kaTAm matsarI smaraH // KDarp_4.35 //
   na jāne bata hevākaḥ ko 'yaṃ kusumadhanvanaḥ /	na jAne bata hevAkaH kaH ayam kusumaDanvanaH /
   naivārpayati yatpāṇau tasyaiva śarapañcakam // KDarp_4.36 //	na-eva-arpayati yat-pANO tasya-eva Sara-paQcakam // KDarp_4.36 //
   bhuvaḥ samastāmbudhimekhalāyā voḍhāramājānuvilambibāhum /	BuvaH samasta-ambuDi-meKalAyAH voXAra-mAja-anu-vilambi-bAhum /
   līlāguruṃ taṃ hṛdaye vahantī tanvī kathaṃ nṛtyati naiva vidmaḥ //	lIlA-gurum tam hRdaye vahantI tanvI kaTam nRtyati na-eva vidmaH //
   KDarp_4.37 //	KDarp_4.37 //
   draṣṭavyaḥ sa nṛpastāvad aprastāve 'pi yatnataḥ /	drazwavyaH sa nRpaH-tAvat aprastAve api yatnatas /
   ko vetti tadvidhaṃ ratnaṃ puṇyairāste kiyacciram // KDarp_4.38 //	kaH vetti tadviDam ratnam puNyEH-Aste kiyat-ciram // KDarp_4.38 //
   iyuktvā tau kṛtakṣoṇī- patidarśananiścayau /	iyuktvA tO kRtakzoNI pati-darSana-niScayO /
   nṛtte nivṛtte jambhāriṃ praṇamya yayaturbhuvam // KDarp_4.39 //	nRtte nivRtte jamBArim praNamya yayatuH-Buvam // KDarp_4.39 //
   rājadhānīṃ samāsādya tau purūravasaḥ kṣaṇāt /	rAjaDAnIm samAsAdya tO purUravasaH kzaNAt /
   avāritau viviśatur vetribhiḥ suragauravāt // KDarp_4.40 //	avAritO viviSatuH vetriBiH sura-gOravAt // KDarp_4.40 //
   tau taṃ dadṛśatuḥ snāna- vihitābhyaṅgasaṃgamam /	tO tam dadRSatuH snAna vihita-aByaFga-saMgamam /
   pīyūṣanavanītena lagnasnehamivoḍupam // KDarp_4.41 //	pIyUza-navanItena lagna-sneham-iva-uxupam // KDarp_4.41 //
   snātottāritakeyūra- mahārhamaṇikaṃkaṇam /	snAta-uttArita-keyUra mahArha-maNi-kaMkaNam /
   lāvaṇyābharaṇaṃ tasya virarājorjitaṃ vapuḥ // KDarp_4.42 //	lAvaNya-ABaraNam tasya virarAja-Urjitam vapuH // KDarp_4.42 //
   śūnyaśravaṇapāśasya tasya kaṇṭhaḥ samāyayau /	SUnya-SravaNa-pASasya tasya kaNWaH samAyayO /
   nirbhūṣaṇaniveśo 'pi viśeṣaramaṇīytām // KDarp_4.43 //	nirBUzaNa-niveSaH api viSeza-ramaNIytAm // KDarp_4.43 //
   vicārya tasyā maryādaṃ saundaryodāryamaśvinau /	vicArya tasyAH maryAdam sOndarya-udAryam-aSvinO /
   praśaśaṃsaturāścarya- nirmāṇātiśayaṃ vidheḥ // KDarp_4.44 //	praSaSaMsa-tuH-AScarya nirmANa-atiSayam viDeH // KDarp_4.44 //
   sa tau kṛtāñjaliḥ prītyā kṛtāsanaparigrahau /	sa tO kRtAQjaliH prItyA kRta-Asana-parigrahO /
   papraccha svacchahṛdayastv arāgamanakāraṇam // KDarp_4.45 //	papracCa su-acCa-hRdayaH-tu ara-Agamana-kAraNam // KDarp_4.45 //
   tāvūcatuḥ kṣitipate mahīkusumadhanvanaḥ /	tO=-UcatuH kzitipate mahI-kusumaDanvanaH /
   trailokyābharaṇaṃ rūpaṃ tavāvāṃ draṣṭumāgatau // KDarp_4.46 //	trElokya-ABaraNam rUpam tava-AvAm drazwum-AgatO // KDarp_4.46 //
   nisargeṇa jagatsarga- nirargalaguṇādarāt /	nisargeNa jagat-sarga nirargala-guNa-AdarAt /
   kautukālokasāreva dṛṣṭvā sṛṣṭiḥ prajāpateḥ // KDarp_4.47 //	kOtuka-Aloka-sArA-iva dRzwvA sRzwiH prajApateH // KDarp_4.47 //
   vilokitastvaṃ vasudhā- sudhāṃśuḥ pūrṇamaṇḍalaḥ /	vilokitaH-tvam vasuDA suDAMSuH pUrNa-maNxalaH /
   rūpapīyūṣapānena prāptā prītiḥ kimucyate // KDarp_4.48 //	rUpa-pIyUza-pAnena prAptA prItiH kim-ucyate // KDarp_4.48 //
   ityuktaḥ praṇayāttābhyāṃ kiṃcitkusumitasmitaḥ /*	iti-uktaH praNayAt-tAByAm kiMcid-kusumita-smitaH /*
   tāvūce nṛpatirmānyamānenābhyadhikāraḥ // KDarp_4.49 //*	tO=-Uce nRpatiH-mAnyamAnena-aByaDikAraH // KDarp_4.49 //*
   bhavatsaṃdarśanenāham asmyanugrahabhājanam /	Bavat-saMdarSanena-aham asmi-anugraha-BAjanam /
   draṣṭavyā draṣṭumāyānti puṇyapuṇyena kevalam // KDarp_4.50 //	drazwavyAH drazwum-AyAnti puNya-puNyena kevalam // KDarp_4.50 //
   tīrthāptiḥ sādhusaṃparkaḥ pūjyapūjāmahotsavaḥ /	tIrTa-AptiH sADu-saMparkaH pUjya-pUjA-mahA-utsavaH /
   asminvirasaniḥsāre saṃsāre sārasaṃgrahaḥ // KDarp_4.51 //	asmin-virasa-niHsAre saMsAre sAra-saMgrahaH // KDarp_4.51 //
   snānābhyaktena na mayā yuvayorucitaḥ kṛtaḥ /	snAna-aByaktena na mayA yuvayoH-ucitaH kRtaH /
   puṇyasāphalyaniḥśalya- kalyāṇāyārcanādaraḥ // KDarp_4.52 //	puNya-sAPalya-niHSalya kalyANAya-arcana-AdaraH // KDarp_4.52 //
   agnyāgārāntare tāvan muhūrtaṃ kriyatāṃ sthitiḥ /	agni-AgAra-antare tAvat muhUrtam kriyatAm sTitiH /
   kṛtasnānaḥ sameṣyāmi pūjāpraṇayapātratām // KDarp_4.53 //	kRta-snAnaH samezyAmi pUjA-praNaya-pAtra-tAm // KDarp_4.53 //
   iyuktau tena yayatus tau hutāśanamandiram /	iyuktO tena yayatuH tO hutASana-mandiram /
   snātaṃ vibhūṣitaṃ bhūpaṃ drakṣyāva iti kautukāt // KDarp_4.54 //	snAtam viBUzitam BUpam drakzyAvaH iti kOtukAt // KDarp_4.54 //
   atha rājā kṛtasnānaḥ sarvābharaṇabhūṣitaḥ /	aTa rAjA kRta-snAnaH sarva-ABaraNa-BUzitaH /
   purohitena sahitas tatsamīpamupāyayau // KDarp_4.55 //	purohitena sahitaH tad-samIpam-upAyayO // KDarp_4.55 //
   tau dṛṣṭvā pṛthivīpālaṃ tārahāraṃ kirīṭinam /	tO dRzwvA pRTivIpAlam tAra-hAram kirIwinam /
   kṣaṇaṃ naivocatuḥ kiṃcid viṣaṇṇau vinatānanau // KDarp_4.56 //	kzaNam na-eva-UcatuH kiMcid vizaNNO vinata-AnanO // KDarp_4.56 //
   kṛtārcane narapatau tau papraccha purohitaḥ /	kRta-arcane narapatO tO papracCa purohitaH /
   akasmādyuvayoḥ kasmād aprasāda ivekṣyate // KDarp_4.57 //	akasmAt-yuvayoH kasmAt aprasAdaH iva-Ikzyate // KDarp_4.57 //
   vinayātikramo 'smākaṃ yātaḥ kacinna hetutām /	vinaya-atikramaH asmAkam yAtaH kacid-na hetu-tAm /
   pṛṣṭau purohiteneti tau śanaistamabhāṣatām // KDarp_4.58 //	pRzwO purohitena-iti tO SanEs-tam-aBAzatAm // KDarp_4.58 //
   āvayornāprasannatvaṃ na yuṣmākamatikramaḥ /	AvayoH-na-aprasanna-tvam na yuzmAkam-atikramaH /
   kiṃ tu kālagalatsarva- bhāvālokanavismayaḥ // KDarp_4.59 //	kim tu kAlagalat-sarva BAva-Alokana-vismayaH // KDarp_4.59 //
   adhunaiva narendro 'yaṃ dṛṣṭo 'bhyaṅge 'pi yādṛśaḥ /	aDunA-eva narendraH ayam dRzwaH aByaFge api yAdRSaH /
   kṣaṇapākena kālasya dṛśyate naiva tādṛśaḥ // KDarp_4.60 //	kzaNa-pAkena kAlasya dRSyate na-eva tAdRSaH // KDarp_4.60 //
   dinendhanavane nityaṃ dahyamāne 'rkavahninā /	dina-inDa-navane nityam dahyamAne arka-vahninA /
   nīyate kāladhūmena rūpacitramacitratām // KDarp_4.61 //	nIyate kAlaDUmena rUpa-citram-acitra-tAm // KDarp_4.61 //
   niścitya sarvabhāvānāṃ nityametāmanityatām /	niScitya sarva-BAvAnAm nityam-etAm-anitya-tAm /
   rūpe 'bhimānaṃ kaḥ kuryāt svapnacitrapaṭopame // KDarp_4.62 //	rUpe aBimAnam kaH kuryAt svapna-citra-pawa-upame // KDarp_4.62 //
   jarājīrṇāni rūpāṇi rogārtāni vapūṃṣi ca /	jarA-jIrNAni rUpANi roga-ArtAni vapUMzi ca /
   āyūṃṣi kālalīḍhāni dṛṣṭvā kasya bhavenmadaḥ // KDarp_4.63 //	AyUMzi kAla-lIXAni dRzwvA kasya Bavet-madaH // KDarp_4.63 //
   yo 'yaṃ vikokyate lokaḥ sphārākāravikāravān /	yaH ayam vikokyate lokaH sPAra-AkAra-vikAravAn /
   ucchūnatāmupagatās ta ete śukrabindavaḥ // KDarp_4.64 //	ucCUna-tAm-upagatAH te ete Sukra-bindavaH // KDarp_4.64 //
   aho kālasya sūkṣmo 'yaṃ ko 'pyalakṣyakramaḥ kramaḥ /	aho kAlasya sUkzmaH ayam kaH api-alakzya-kramaH kramaH /
   yatpākapariṇāmena sarvaṃ yātyanyarūpatām // KDarp_4.65 //	yad-pAka-pariNAmena sarvam yAti-anya-rUpa-tAm // KDarp_4.65 //
   rājñaḥ snānakṣaṇe yābhūl lāvaṇyalaharī tanoḥ /	rAjQaH snAna-kzaNe yA-aBUt lAvaNya-laharI tanoH /
   pītā kṣaṇena sā tena pravṛttānyakṣaṇocitā // KDarp_4.66 //	pItA kzaNena sA tena pravRttAni-akzaNa-ucitAH // KDarp_4.66 //
   saṃpūrṇasyāyuṣo mātrā rūpasya vibhavasya ca /	saMpUrNasya-AyuzaH mAtrA rUpasya viBavasya ca /
   horāyātrāmbudhāreva galatyevāniśaṃ nṛṇām // KDarp_4.67 //	horAyAtra-ambuDArA-iva galati-eva-aniSam nRNAm // KDarp_4.67 //
   kalākāṣṭhāmuhurtānāṃ kālasya vrajatāṃ javāt /	kalA-kAzWA-muhurtAnAm kAlasya vrajatAm javAt /
   na lakṣyate vibhāgena dīpasyevārciṣāṃ gatiḥ // KDarp_4.68 //	na lakzyate viBAgena dIpasya-iva-arcizAm gatiH // KDarp_4.68 //
   bālaḥ prabhāte madhyāhne taruṇaḥ sthaviro 'stagaḥ /	bAlaH praBAte maDyAhne taruNaH sTaviraH asta-gaH /
   dine dine dineśo 'pi kriyate kālalīlayā // KDarp_4.69 //	dine dine dineSaH api kriyate kAla-lIlayA // KDarp_4.69 //
   śuṣyantyambudhayastaraṅgagahanairāliṅgitāśāṅganā	Suzyanti-ambu-DayaH-taraFga-gahanEH-AliFgita-ASa-aFganA
   gacchantyudgatatuṅgaśṛṅgamukuṭodagrā girīndrāḥ kṣayam /	gacCanti-udgata-tuFga-SRFga-mukuwa-udagrAH giri-indrAH kzayam /
   bhraśyatyeva vasuṃdharāpi sahitā digdantibhiryadvaśāt sarvāśī satataṃ	BraSyati-eva vasuMDarA-api sahitAH digdantiBiH-yad-vaSAt sarva-ASI satatam
   pradhāvati mahākālaḥ sa ko 'pyākulaḥ // KDarp_4.70 //	praDAvati mahAkAlaH sa kaH api-AkulaH // KDarp_4.70 //
   ityuktvā nṛpamāmantrya divaṃ jagmaturaśvinau /	iti-uktvA nRpam-Amantrya divam jagmatuH-aSvinO /
   nṛpaśca tadvacaścintā- śāntarūpamado 'bhavat // KDarp_4.71 //	nRpaH-ca tad-vacaH-cintA SAnta-rUpa-madaH aBavat // KDarp_4.71 //
   tasmānna kāryaḥ sudhiyā vicārya sāścaryasaundaryavilāsadarpaḥ /	tasmAt-na kAryaH suDiyA vicArya sa-AScarya-sOndarya-vilAsa-darpaH /
   saṃsāramohaprasare ghane 'smin vidyullatāvisphuritaṃ hi rūpam //	saMsAra-moha-prasare Gane asmin vidyut-latA-visPuritam hi rUpam //
   KDarp_4.72 //	KDarp_4.72 //
   prātarbālataro 'tha kudmalatayā kāntākucābhaḥ śanair	prAtar-bAlataraH aTa kudmala-tayA kAntAkuca-ABaH SanEs-
   helāhāsavikāsasundararuciḥ saṃpūrṇakoṣastataḥ /	helA-AhAsa-vikAsa-sundara-ruciH saMpUrNa-kozaH-tatas /
   paścānmlānavapurvilolaśithilaḥ padmaḥ prakīrṇe 'nilais tasminneva dine sa	paScAt-mlAna-vapuH-vilola-SiTilaH padmaH prakIrNe anilEH tasmin=-eva dine sa
