   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   idamekadeśivyākhyānaṃ dūṣayati naceti /	idam eka deSi vyAKyAnam dUzayati naca iti /
   'svargakāmo yajeta'ityādiśāstreṇa svargabhogārthaṃ karma coditaṃ,	asvarga kAmaH yajeta aitya Adi SAstreNa svarga Boga arTam karma coditaM,
   taccheṣasya martyabhogahetutve śāstravirodha ityarthaḥ /	tad Sezasya martya Boga hetu tve SAstra viroDaH iti arTaH /
   kiñca svargahetukarmaśeṣādavarohe kapūyayonyāpattiśrutivirodha	kiQca svarga hetu karma SezAt avarohe kapUya yoni Apatti Sruti viroDa
   ityāha avaśyaṃ ceti /	iti Aha avaSyam ca iti /
   svābhimatamanuśayamāha tasmāditi /	sva aBimatam anuSayam Aha tasmAt iti /
   pūrvapakṣabījamanūdya dūṣayati yadityādinā /	pUrva pakza bIja m anUdya dUzayati yat ityAdinA /
   kṣapayitvā punarāgacchantīti prāpyantamiti vākyena gamyata iti yojanā /	kzapayitvA punar AgacCanti iti prApyantam iti vAkyena gamyate iti yojanA /
   janmārabhya dṛṣṭabhogaliṅgānugṛhītayā	janma AraBya dRzwa Boga liFga anugRhItayA
   ramaṇīyakapūyacaraṇaśrutyaihikānuśayākyakarmaviśeṣaṇaparayā virodhāt,	ramaNIyaka pUya caraNa Sruti Ehika anuSayAkya karma viSezaNa parayA viroDAt,
   yatkiñceti yāvatsaṃpātamiti ca sāmānyaśabdayorāmuṣmikaviṣayatvena saṅkoco	yat kiQca iti yAvat saMpAtam iti ca sAmAnya SabdayoH Amuzmika vizaya tvena saFkocaH 
   nyāyya iti bhāvaḥ /	nyAyyaH iti BAvaH /
   maraṇaṃ kṛtsnakarmābhivyañjakamityayuktam,	maraNam kRtsna karma aBivyaQjakam iti ayuktam ,
   uktānuśayaśrutivirodhādityāha tadapīti //	ukta anuSaya Sruti viroDAt iti Aha tat api iti //
   balavadanārabdhakarmapratibandhācca na	balavat anArabDa karma pratibanDAt ca na
   kṛtsnakarmābhivyaktirityāha apicetyādinā /	kRtsna karma aBivyaktiH iti Aha  apicA ityAdinA /
   tasya kṛtasnakarmavyañjakatve heturnāstīti bhāvaḥ /	tasya kRta sna karma vyaQjaka tve hetuH na asti iti BAvaH /
   praśnaṃ matvottaraṃ śaṅkate ārabdheti /	praSnam matvA uttaram SaFkate ArabDa iti /
   ārabdhavadanārabdhasyāpi balavataḥ pratibandhakatvānna sarvakarmaṇaḥ	ArabDa vat ana ArabDasya api balavataH pratibanDaka tvAt na sarva karmaNaH
   phaladānāyābhivyaktiriti samādhatte yatheti /	Pala dAnAya aBivyaktiH iti samADatte yaTa iti /
   anāraśabdhaphalatvāviśeṣātsarvakarmaṇāmabhivyaktimāśaṅkya	anAra SabDa Pala tva aviSezAt sarva karmaNAm aBivyaktim ASaFkya
   mithoviruddhasvarganarakādidehaphalānāmekadehārambhakatvāsaṃbhava uktastaṃ	miTas virudDa svarga naraka Adi deha PalAnAm eka deha AramBaka tva asaMBavaH uktaH tam
   vivṛṇoti nahīti /	vivRNoti nahi iti /
   astu tarhi durbalasya karmaṇo nāśa ityata āha nāpīti /	astu tarhi durbalasya karmaNaH nASaH iti atas Aha nA api iti /
   nābhuktaṃ kṣīyate karmetyekānta utsargaḥ sa ca	na aBuktam kzIyate karma iti ekAntaH utsargaH sa ca
   prāyaścitabrahmajñānadhyānairbādhyate na maraṇamātraṇetyarthaḥ /	prAyaScita brahma jQAna DyAnEH bADyate na maraNa mAtraNA iti arTaH /
   maraṇena durbalakarmāvināśe mānamāha smṛtiriti /	maraNena durbala karma avinASe mAnam Aha smRtiH iti /
   karmanāśapakṣaṃ nirasya prakṛtakṛtsnakarmābhivyaktipakṣe	karma nASa pakzam nirasya prakRta kRtsna karma aBivyakti pakze
   doṣāntaramāha yadi ceti /	doza antaram Aha yadi ca iti /
   'kṛtsnakarmaṇāmekasmin devādijanmani bhogena kṣayānna janmāntaraṃ syāt,	akRtsna karmaNAm ekasmin deva Adi janmani Bogena kzayAt na janma antaram syAt ,
   jñānābhāvānna muktirityajñadevasya kaṣṭāntarāladaśā syādityarthaḥ /	jQAna aBAvAt na muktiH ityajQadevasya kazwa antarAla daSA syAt iti arTaH /
   'śvasūkarakharoṣṭrāṇāṃ go 'jāvimṛgapakṣiṇām /	aSva sUkara Kara uzwrANAm gaH aja avi mRga pakziNAm /
   caṇḍālapulkasānāṃ ca brahmahā yonimṛcchati /	caNxAla pulkasAnAm ca brahma hA yonim RcCati /
   'ityādismṛtivirodhācca na sarvakarmaṇāmekajanmārambhakatvamityāha brahmeti	aityAdi smRti viroDAt ca na sarva karmaNAm eka janma AramBaka tvam iti Aha  brahma iti
   nanvekasya karmaṇaḥ kathamanekajanmaphalakatvam, adṛṣṭatvādityāha naceti /	nanu ekasya karmaNaH kaTam aneka janma Palaka tvam, adRzwa tvAt iti a aha naca iti /
   kiñca vyañjakatve 'pi maraṇasya kiṃ sarvakarmavyañjakatvaṃ kalpyate uta	kiQca vyaQjaka tve api maraNasya kim sarva karma vyaQjaka tvam kalpyate uta
   yatkiñcitkarmavyañjakatvam /	yat kiQcitkarma vyaQjaka tvam /
   nādyaḥ, iha kṛtakārīryāderatraiva	na AdyaH, iha kRta kArIryAdeH atra eva
   phalahetormaraṇavyajyatvāsaṃbhavādityāha naceti /	Pala hetoH maraNa vyajya tva asaMBavAditya aha nacA iti /
   dvitīyaṃ nirasyan paroktaṃ dṛṣṭāntaṃ vighaṭayati pradīpeti /	dvitIyam nirasyan paroktam dRzwAntam viGawayati  pradIpa iti /
   rūpāṇāṃ pradīpavat, maraṇaṃ na kasyacidapi karmaṇo vayañjakaṃ kintu	rUpANAm pradIpavat, maraNam na kasyacid api karmaNaH vayaQjakam kintu
   prabalakarmapratibandhābhāve durbalaṃ vyajyata ityarthaḥ /	prabala karma pratibanDa aBAve durbalam vyajyate iti arTaH /
   evaṃ maraṇasya vyañjakatvānaṅgīkāreṇa pradīpadṛṣṭānto nirastaḥ,	evam maraNasya vyaQjaka tva anaFgIkAreNa pradIpa dRzwAntaH nirastaH,
   aṅgīkāre 'pyanukūlo dṛṣṭānta ityāha sthūleti /	aFgIkAre api anukUlaH dRzwAntaH iti Aha  sTUla iti /
   sūkṣmamanudbhūtarūpamiti maraṇe sarvakarmābhivyaktyasiddhiriti śeṣaḥ /	sUkzmam anudBUta rUpam iti maraNe sarva karma aBivyakti asidDiH iti SezaH /
   evaṃ sarvakarmasaṅgha ekajanmārambhaka ityaikabhavikaḥ karmāśaya iti	evam sarva karma saFGaH eka janma AramBakaH iti a eka BavikaH karma ASayaH iti
   matanirāsamupasaṃharati tasmāditi /	mata nirAsam upasaMharati  tasmAt iti /
   caraṇaśrutyā 'tataḥ śeṣeṇa'ityādismṛtyā 'prabalapratibandhāt'itinyāyena	caraNa SrutyA atataH SezeNa aitya Adi smRtyA aprabala pratibanDAt aiti nyAyena
   cānabhivyaktakarmasadbhāvādityarthaḥ /	ca anaBivyakta karma sadBAvAt iti arTaH /
   nanu muktyanupapattyāṅgīkārya aikabhavika ityata āha śeṣeti /	nanu mukti anupapattyA aFgIkAryaH EkaBavikaH iti atas Aha Seza iti /
   sūtraśeṣaṃ vyācaṣṭe te cetyādinā /	sUtra Sezam vyAcazwe te ca ityAdinA /
   avarohamārga itthaṃ śrūyate 'tasmin yāvatsaṃpātamuṣitvā athaitamevādhvānaṃ	avaroha mArgaH itTam SrUyate  atasmin yAvat saMpAtam uzitvA aTa etam eva aDvAnam
   punarnivartante yathetamākāśamākaśādvāyuṃ vāyurbhūtvā dhūmo bhavati dhūmo	punar nivartante yaTetam AkASam AkaSAt vAyum vAyuH BUtvA DUmaH Bavati DUmaH 
   bhūtvābhraṃ bhūtvā megho bhavati bhūtvā pravarṣati ta iha vrīhiyavā	BUtvA aBram BUtvA meGaH Bavati BUtvA pravarzati te iha vrIhi yavA
   oṣadhivanaspatayastilamāṣā iti jāyante ato vai khalu durniṣprapataraṃ yo	ozaDi vanaspatayaH tila mAzAH iti jAyante atas vE Kalu durnizprapataram yaH 
   yo hyannamatti yo retaḥ siñcati tadbhūya eva bhavati tadya iha	yaH hi annam atti yaH retaH siQcati tat BUyas eva Bavati tat yaH iha
   ramaṇīyacaraṇā ramaṇīyāṃ yonimāpadyante'iti /	ramaNIya caraNAH ramaNIyAm yonim Apadyante aiti /
   dhūmādyadhvanā yathetaṃ yathāgataṃ tathetamadhvānaṃ punarāyantītyuktvā	DUma At i aDvanA yaTetam yaTAgatam taTetam aDvAnam punar AyantI iti uktvA
   dhūmādirūpapitṛmārgastharātryādikaṃ noktamadhikaṃ cābhrādikamuktamiti	DUma Adi rUpa pitR mArga sTa rAtri Adikam na uktam aDikam ca aBra Adikam uktam iti
   matvā sūtrakṛtoktaṃ yathetamanevaṃ ceti /	matvA sUtra kRta uktam yaTetam anevam ca iti /
   avaśiṣṭaśrutyartho 'gne sphuṭībhaviṣyati //8//	avaSizwa Sruti arTaH agne sPuwIBavizyati //8//
   END BsRp_3,1.2.8	END BsRp _3,1.2.8
   START BsRp_3,1.2.9ḥ	START BsRp _3,1.2.9H
   caraṇād iti cen nopalakṣaṇārtheti kārṣṇājiniḥ | BBs_3,1.9 |	caraNAt iti ced na upalakzaNa arTa iti kArzNa ajiniH | BBH _3,1.9 |
   saṃprati śrutisthacaraṇaśabdamākṣepapūrvakaṃ sūtrakṛdvyācaṣṭe caraṇāditi	saMprati Sruti sTa caraNa Sabdam Akzepa pUrvakam sUtrakRt vyAcazwe caraNAt iti
   cediti /	ced iti /
   'adrohaḥ sarvabhūteṣu karmaṇā manasā girā /	aadrohaH sarva BUtezu karmaNA manasA girA /
   anugrahaśca jñānaṃ ca śīlametadvidurbudhāḥ'iti smṛtāvuktāvadrohādayaḥ	anugrahaH ca jQAnam ca SIlam etat viduH buDAH aiti smRtO= ukta a= adroha AdayaH
   śāstrārthajñānarūpaṃ śīlaṃ sarvakarmāṅgamuktaṃ tadbodhakaṃ	SAstra arTa jQAna rUpam SIlam sarva karma aFgam uktam tat boDakam
   caraṇapadamaṅginaḥ śrautādikarmaṇo lakṣakaṃ, karmaṇa evottarāvasthā	caraNa padam aFginaH SrOta Adi karmaNaH lakzakaM, karmaNaH eva uttara avasTA
   dharmādharmākhyāpūrvamiti karmalakṣaṇayaiva	Darma aDarma AKyA pUrvam iti karma lakzaNayA eva
   tadabhinnāpūrvākhyānuśayasiddhiriti kārṣṇājinimatam //9//	tad aBinnA apUrva AKyA anuSaya sidDiH iti kArzNa aji ni matam //9//
   END BsRp_3,1.2.9	END BsRp _3,1.2.9
   START BsRp_3,1.2.10ḥ	START BsRp _3,1.2.10H
   ānarthakyam iti cen na tadapekṣatvāt | BBs_3,1.10 |	AnarTakyam iti ced na tad apekza tvAt | BBH _3,1.10 |
   tadeva śaṅkāsamādhānābhyamāha ānarthakyamiti cedityādinā sūtreṇa /	tat eva SaFkA samADAnAByam Aha AnarTakyam iti ced ityAdinA sUtreNa /
   caraṇaśabdavācyasyaiva grahaṇasaṃbhavānna lakṣaṇā yukteti śaṅkitvaiva	caraNa Sabda vAcyasya eva grahaNa saMBavAt na lakzaNA yuktA iti SaFkitvA eva
   brūte nanviti /	brUte nanu iti /
   pratiṣiddhaṃ śīlaṃ krodhānṛtādirūpam /	pratizidDam SIlam kroDa anRta Adi rUpam /
   kiñca śīlasya niṣphalatvāyogācchrutayonyāpattistasyaiva phalaṃ	kiQca SIlasya nizPala tva ayogAt Srutayoni ApattiH tasya eva Palam
   nānuśayasyetyāha avaśyaṃ ceti /	na anuSayasya iti Aha avaSyam ca iti /
   vedāstadarthakarmāṇyācāraṃ vinā na phalantīti smṛtyā śīlasya	vedAH tad arTa karmANi AcAram vinA na Palanti iti smRtyA SIlasya
   karmāṅgatvānna pṛthakphalāpekṣā, aṅgiphalenārthavattvāt /	karma aFga tvAt na pRTak Pala apekzA, aFgi Palena arTavat tvAt /
   na cāṅgamātrādyonyāpattiḥ phalamiti vācyam /	na ca aFga mAtrAt yonyApattiH Palam iti vAcyam /
   aṅgasya phalāsaṃbhavena mukhyārthasyācārasya grahaṇāyogāllakṣaṇā yukteti	aFgasya Pala asaMBavena muKya arTasya AcArasya grahaNa ayogAt lakzaNA yuktA iti
   samādhānārthaḥ /	samADAna arTaH /
   yadyācārasya snānādivat puruṣasaṃskāratayā puruṣārthatvaṃ tadāpyavirodha	yadi AcArasya snAna Adi vat puruza saMskAra tayA puruza arTa tvam tadA api aviroDa
   ityāha puruṣārthatve 'pīti /	iti Aha  puruza arTa tve api iti /
   aṅgāvabaddhopāstivadācāror'thavānityarthaḥ /	aFga avabadDa upAsti vat AcAror aTavA aniti arTaH /
   astu tarhi śīlakhyācārādeva yonyāpattirityāśaṅkya 'puṇyo vai puṇyena	astu tarhi SIlaKI a AcArAt eva yoni ApattiH iti ASaFkya apuNyaH vE puNyena
   karmaṇā'ityādi śrutyā virodhānnaivamityāha karma ceti /	karmaNA aityAdi SrutyA viroDAt na evam iti Aha  karma ca iti /
   pārayamāṇaḥ śaktaḥ //10//	pArayamANaH SaktaH //10//
   END BsRp_3,1.2.10	END BsRp _3,1.2.10
   START BsRp_3,1.3.11ḥ	START BsRp _3,1.3.11H
   sukṛtaduṣkṛte eveti tu bādariḥ | BBs_3,1.11 |	sukRta duzkRte eva iti tu bAdariH | BBH _3,1.11 |
   yadyapyakrodhādirūpaṃ śīlaṃ sādhāraṇadharmātmakaṃ viśeṣarūpāt karmaṇo	yadi api akroDa Adi rUpam SIlam sADAraNa Darma Atmakam viSeza rUpAt karmaNaH 
   'bhinnaṃ tathāpi caraṇācāraśabdau karmavācināveva na śīlavācakāviti na	aBinnam taTA api caraNa AcAra SabdO karma vAcinO= eva na SIla vAcakO= iti na
   lakṣaṇāvasara iti bādarimataṃ mukhyasiddhāntamāha sukṛteti /	lakzaNa avasaraH iti bAdari matam muKya sidDAntam Aha sukRtA iti /
   caraṇaśabdārthamupasaṃharati ācāro 'pīti /	caraNa Sabda arTam upasaMharati  AcAraH api iti /
   karmaṇa evācāratve yathākārītyādibhedoktiḥ kathamityata āha bhedavyapadeśa	karmaNaH eva AcAra tve yaTA kAri iti Adi Beda uktiH kaTam iti atas Aha Beda vyapadeSa
   iti /	iti /
   nirūpapadācāraśabdāt sadācārarūpo viśeṣo bhāti /	nirUpa pada AcAra SabdAt sat AcAra rUpaH viSezaH BAti /
   atastatsamabhivyāhṛtaḥ karmasāmānyavācako yathākārīti	atas tad samaBivyAhRtaH karma sAmAnya vAcakaH yaTAkArI iti
   śabdastaditaraviśeṣaparaḥ evamanavadyāni karmāṇīti sāmānyataḥ, asmākaṃ	SabdaH tad itara viSeza paraH evam anavadyAni karmANi iti sAmAnyataH, asmAkam
   sucaritānīti viśeṣa iti vivekaḥ /	su caritAni iti viSezaH iti vivekaH /
   tasmādanuśayabalādāgatyavaśyaṃbhāvānusandhānādvairāgyamiti siddham //11//	tasmAt anuSaya balAt Agatya vaSyaMBAva anusanDAnAt vErAgyam iti sidDam //11//
   END BsRp_3,1.3.11	END BsRp _3,1.3.11
   START BsRp_3,1.3.12ḥ	START BsRp _3,1.3.12H
   aniṣṭādikāriṇām api ca śrutam | BBs_3,1.12 |	anizwa Adi kAriNAm api ca Srutam | BBH _3,1.12 |
   evaṃ puṇyātmanāṃ gatyāgaticintayā vairāgyaṃ nirūpya pāpināṃ taccintayā	evam puNya AtmanAm gati Agati cintayA vErAgyam nirUpya pApinAm tad cintayA
   tannirūpayati aniṣṭādikāriṇāmapīti /	tat nirUpayati  anizwa Adi kAriNAm api iti /
   'ye vai ke ca'ityaviśeṣaśruteḥ, 'vaivasvataṃ saṃgamanaṃ janānām'iti	aye vE ke ca aitya viSeza SruteH, avEvasvatam saMgamanam janAnAm aiti
   śruteśca saṃśaye prathamādhikaraṇena siddhaniyamākṣepasaṃgatyā	SruteH ca saMSaye praTama aDikaraNena sidDa niyama Akzepa saMgatyA
   pūrvapakṣasūtraṃ vyācaṣṭe tatretyādinā /	pUrva pakza sUtram vyAcazwe  tatra ityAdinA /
   yamarājaṃ pāpijanānāṃ samyaggamyaṃ, haviṣā prīṇayateti śrutyarthaḥ /	yama rAjam pApi janAnAm samyak gamyan, havizA prINayatA iti Sruti arTaH /
   pūrvapakṣe puṇyavatāmeva candragatiriti niyamābhāvāt puṇyavaiyarthyaṃ	pUrva pakze puNyavatAm eva candragatiH iti niyama aBAvAt puNya vEyarTyam
   pāpādvairāgyādārḍhyaṃ ceti phalaṃ, siddhānte pāpināṃ candralokadarśanamapi	pApAt vErAgya adArXyam ca iti PalaM, sidDAnte pApinAm candra loka darSanam api
   nāstīti puṇyārthavattvaṃ vairāgyadārḍhyaṃ ceti phalam /	na asti iti puNya arTavat tvam vErAgya dArXyam ca iti Palam /
   pañcamāgnau dehārambha iti niyamātpāpināmapi	paQcama agnO deha AramBaH iti niyamAt pApinAm api
   prathamadyulokāgniprāptirvācyetyāha dehārambha iti /	praTa madyu loka agni prAptiH vAcyA iti Aha  deha AramBaH iti /
   pāpināṃ svargabhogābhāve 'pi mārgāntarābhāvā candragatiriti bhāvaḥ //12//	pApinAm svarga Boga aBAve api mArga antara aBAvA candragatiH iti BAvaH //12//
   END BsRp_3,1.3.12	END BsRp _3,1.3.12
   START BsRp_3,1.3.13ḥ	START BsRp _3,1.3.13H
   saṃyamane tv anubhūyetareṣāmārohāv arohau tadgatidarśanāt | BBs_3,1.13 |	saMyamane tu anuBUya itarezAm ArohO arohO tad gati darSanAt | BBH _3,1.13 |
   siddhāntasūtraṃ vyācaṣṭe tuśabda ityādinā /	sidDAnta sUtram vyAcazwe tu SabdaH ityAdinA /
   saṃyamane yamaloke yamakṛtā yātanā anubhūyāvarohantītyevamārohāvarohāviti	saMyamane yama loke yama kRtA yAtanA anuBUya avarohanti iti evam Aroha avarohO= iti
   yojanā sūtrasya jñeyā /	yojanA sUtrasya jQeyA /
   prayatāṃ mṛtvā gacchatām /	prayatAm mRtvA gacCatAm /
   samyak parastātprāpyata iti saṃparāyaḥ paralokaḥ tadupāyaḥ sāṃparāyaḥ,	samyak parastAt prApyate iti saMparAyaH para lokaH tad upAyaH sAMparAyaH,
   bālamajñaṃ, viśeṣato vittarāgeṇa mūḍhaṃ mohātpramādaṃ kurvantaṃ prati na	bAlam ajQaM, viSezataH vitta rAgeNa mUXam mohAt pramAdam kurvantam prati na
   bhāti /	BAti /
   sa ca bālo 'yaṃ strīvittādiloko 'sti na paraloko 'stīti mānī /	sa ca bAlaH ayam strI vitta Adi lokaH asti na para lokaH asti iti mAnI /
   sa me mama yamasya vaśamāpnotītyarthaḥ /	sa me mama yamasya vaSam Apnoti iti arTaH /
   pāpināṃ yamavaśyatāvādiviśeṣaśrutismṛtibalāt'ye vai ke	pApinAm yama vaSya tA= Adi viSeza Sruti smRti balA t aye vE ke
   ca'ityaviśeṣaśrutiriṣṭādikāriviṣayatvena vyākhyeyeti bhāvaḥ //13//	ca aitya viSeza SrutiH izwa Adi kAri vizaya tvena vyAKyeya iti BAvaH //13//
   END BsRp_3,1.3.13	END BsRp _3,1.3.13
   START BsRp_3,1.3.14ḥ	START BsRp _3,1.3.14H
   smaranti ca | BBs_3,1.14 |	smaranti ca | BBH _3,1.14 |
   sūtratrayasya bhāṣyaṃ subodham //14 // //15 // //16//	sUtra trayasya BAzyam su boDam //14 // //15 // //16//
   END BsRp_3,1.3.14	END BsRp _3,1.3.14
   START BsRp_3,1.3.15ḥ	START BsRp _3,1.3.15H
   api ca sapta | BBs_3,1.15 |	api ca sapta | BBH _3,1.15 |
   END BsRp_3,1.3.15	END BsRp _3,1.3.15
   START BsRp_3,1.3.16ḥ	START BsRp _3,1.3.16H
   tatrāpi ca tadvyāpārādavirodhaḥ | BBs_3,1.16 |	tatra api ca tad vyApArAt aviroDaH | BBH _3,1.16 |
   END BsRp_3,1.3.16	END BsRp _3,1.3.16
   START BsRp_3,1.3.17ḥ	START BsRp _3,1.3.17H
   vidyākarmaṇor iti tu prakṛtatvāt | BBs_3,1.17 |	vidyA karmaNoH iti tu prakRta tvAt | BBH _3,1.17 |
   yaduktaṃ mārgāntarābhāvāt pāpināmapi candragatiriti /	yat uktam mArga antara aBAvAt pApinAm api candragatiH iti /
   tanna /	tat na /
   tṛtīyamārgaśruterityāha vidyākarmaṇoriti /	tRtIya mArga SruteH iti Aha  vidyA karmaNoH iti /
   mārgadvitayoktyanantaraṃ tṛtīyamārgoktiprārambhārthaḥ śrutāvathaśabdaḥ /	mArga dvitayA ukti anantaram tRtIya mArga ukti prAramBa arTaH SrutO= aTa SabdaH /
   etayorvidyākarmaṇoḥ pathidvayasādhanayoranyatareṇāpi sādhanena ye narā na	etayoH vidyA karmaNoH paTi dvaya sADanayoH anyatareNa api sADanena ye narAH na
   yuktāste janmamaraṇāvṛttirūpatṛtīyamārgasthāni bhūtāni bhavanti,	yuktAH te janma maraNa AvRtti rUpa tRtIya mArga sTAni BUtAni Bavanti,
   kriyāvṛttau loṭ, tena pāpināṃ candragatyabhāvāccandraloko na saṃpūryata	kriyA vRttO low, tena pApinAm candra gati aBAvAt candra lokaH na saMpUryata
   iti śrutyarthaḥ /	iti Sruti arTaH /
   pratipattāviti /	pratipattO= iti /
   prāptisādhane ityarthaḥ /	prApti sADane iti arTaH /
   apica pāpināṃ candragatau asau lokaḥ saṃpūryeta 'ataśca na	api ca pApinAm candra gatO asO lokaH saMpUryeta aatas ca na
   saṃpūryate'ityetatprativacanaṃ viruddhaṃ prasajyetetyanvayaḥ /	saMpUryate aiti etat prativacanam virudDam prasajyeta iti anvayaH /
   avarohādasaṃpūraṇamaśrutaṃ na kalpyaṃ śrutahānyāpatterityāha na	avarohAt asaMpUraNam aSrutam na kalpyam Sruta hAni ApatteH iti Aha na
   aśrutatvāditi /	aSruta tvAt iti /
   avaroha eva tṛtīyaṃ sthānaṃ śrutyuktamityata āha avarohasyeti /	avarohaH eva tRtIyam sTAnam Sruti uktam iti atas Aha avarohasya iti /
   imamadhvānaṃ punarnivartanta iti	imam aDvAnam punar nivartante iti
   iṣṭādikāriṇāmavarohokteraniṣṭādikāriṇāmapi avarohasyārthasiddhatvāt	izwa Adi kAriNAm avaroha ukteH anizwa Adi kAriNAm api avarohasya arTa sidDa tvAt
   punaruktirvyarthetyarthaḥ /	punaruktiH vyarTa iti arTaH /
   athaitayoriti mārgāntaropakramabādhastṛtīyaśabdabādhaścetyataḥ sthānaśabdo	aTa etayoH iti mArga antara upakrama bADaH tRtIya Sabda bADaH ca iti atas sTAna SabdaH 
   mārgalakṣaka iti draṣṭavyam //17//	mArga lakzakaH iti drazwavyam //17//
   END BsRp_3,1.3.17	END BsRp _3,1.3.17
   START BsRp_3,1.3.18ḥ	START BsRp _3,1.3.18H
   na tṛtīye tathopalabdheḥ | BBs_3,1.18 |	na tRtIye taTA upalabDeH | BBH _3,1.18 |
   evamaviśeṣaśrutermārgāntarābhāvācceti pūrvapakṣabījadvayaṃ nirasya	evam aviSeza SruteH mArga antara aBAvAt ca iti pUrva pakza bIja dvayam nirasya
   tṛtīyabījanirāsārthaṃ sūtramādatte yatpunarityādinā /	tRtIya bIja nirAsa arTam sUtram Adatte yat punar ityAdinA /
   vidyākarmaśūnyānāṃ kṛmikīṭādibhāvena jāyasvetyādiśrutyā	vidyA karma SUnyAnAm kRmi kIwa Adi BAvena jAyasva ityAdi SrutyA
   nirantarajanmamaraṇopalabdhernāhutisaṃkhyādara ityarthaḥ /	nirantara janma maraNa upalabDeH na Ahuti saMKyA AdaraH iti arTaH /
   puruṣaśabdāccaivamityāha apiceti /	puruza SabdAt ca evam iti Aha apicA iti /
   manuṣyadehasyāpi nāhutisaṅkhyāniyama ityāha apicetyādinā /	manuzya dehasya api na Ahuti saFKyA niyamaH iti Aha a picA ityAdinA /
   vidhiniṣedharūpārthadvaye vākyabhedaḥ syādityarthaḥ //18//	viDi nizeDa rUpa arTa dvaye vAkya BedaH syAt iti arTaH //18//
   END BsRp_3,1.3.18	END BsRp _3,1.3.18
   START BsRp_3,1.3.19ḥ	START BsRp _3,1.3.19H
   smaryate 'pi ca loke | BBs_3,1.19 |	smaryate api ca loke | BBH _3,1.19 |
   aniyame smṛtisaṃvādārthaṃ sūtram smaryate 'pīti /	aniyame smRti saMvAda arTam sUtram smaryate api iti /
   lokyate 'neneti loko bhāratādiruktaḥ mukhyārthamapyāha balāketi //19//	lokyate anena iti lokaH BArata AdiH uktaH muKya arTam api Aha balAkA iti //19//
   END BsRp_3,1.3.19	END BsRp _3,1.3.19
   START BsRp_3,1.3.20ḥ	START BsRp _3,1.3.20H
   darśanāc ca | BBs_3,1.20 |	darSanAt ca | BBH _3,1.20 |
   'aṇḍajāni ca jarāyujāni ca svedajāni codbhijjāni ca 'itiśrutyavaṣṭambhena	aaNxa jAni ca jarAyu jAni ca sveda jAni ca udBid jAni ca aiti Sruti avazwamBena
   sūtraṃ vyācaṣṭe apiceti /	sUtram vyAcazwe apicA iti /
   anyatrāpyaniṣṭādikāriṣvityarthaḥ //20//	anyatra api anizwa Adi kArizu iti arTaH //20//
   END BsRp_3,1.3.20	END BsRp _3,1.3.20
   START BsRp_3,1.3.21ḥ	START BsRp _3,1.3.21H
   tṛtīyaśabdāvarodhaḥ saṃśokajasya | BBs_3,1.21 |	tRtIya Sabda avaroDaH saMSoka jasya | BBH _3,1.21 |
