   sāṅkhyakārikā gauḍapādabhāṣya	sAFKya-kArikAH gOxa-pAda-BAzya
   vṛttiḥ sā guṇaviṣayā eveti bāhyārthā vijñeyā guṇakṛtā evetyarthaḥ /	vRttiH sA guNa-vizayAH eva-iti bAhya-arTAH vijQeyA guNa-kRtA eva-iti-arTaH /
   pradhānaṃ yasya kāraṇamiti // 27 //	praDAnam yasya kAraNam-iti // 27 //
   athendriyasya kasya kā vṛttirityucyate /	aTa-indriyasya kasya kA vRttiH-iti-ucyate /
   śabdādiṣu pañcānāmālocanamatramiṣyate vṛttiḥ /	Sabda-Adizu paQcAnAm-Alocanam-atram-izyate vRttiH /
   vacanādānaviharaṇotsargānandāśca pañcānām // ISk_28 //	vacana-AdAna-viharaNa-utsarga-AnandAH-ca paQcAnAm // ISc-_28 //
   mātraśabdo viśeṣārthaḥ / aviśeṣavyāvṛtyartho yathā bhikṣā mātraṃ labhyate	mAtra-SabdaH viSeza-arTaH / aviSeza-vyAvRti-arTaH yaTA BikzA mAtram laByate
   nānyo viśeṣa iti / tatha cakṣū rūpamatre na rasādiṣu evaṃ śeṣāṇyapi	na-anyaH viSezaH iti / taTa cakzuH rUpam-atre na rasa-Adizu evam SezANi-api
   tadyathā cakṣuṣo rūpaṃ jihvāyā raso ghrāṇasya gandhaḥ śrotrasya śabdaḥ	tat-yaTA cakzuzaH rUpam jihvAyAH rasaH GrANasya ganDaH Srotrasya SabdaH
   tvacaḥ sparśaḥ / evameṣāṃ buddhīndriyāṇāṃ vṛttiḥ kathitā karmendriyāṇāṃ	tvacaH sparSaH / evam-ezAm budDIndriyANAm vRttiH kaTitA karmendriyANAm
   vṛttiḥ kathyate vacanādānaviharaṇotsargānandāśca pañcānāṃ	vRttiH kaTyate vacana-AdAna-viharaNa-utsarga-AnandAH-ca paQcAnAm
   karmendriyāṇāmityarthaḥ / vāco vacanaṃ hastayorādānaṃ pādayorviharaṇaṃ	karmendriyANAm-iti-arTaH / vAcaH vacanam hastayoH-AdAnam pAdayoH-viharaNam
   pāyorbhuktasyāhārasya pariṇatamalotsargaḥ upasthasyānandaḥ	pAyoH-Buktasya-AhArasya pariNata-mala-utsargaH upasTasya-AnandaH
   sutotpattirviṣayā vṛttiriti sambandhaḥ // 28 //	suta-utpattiH-vizayA vRttiH-iti sambanDaH // 28 //
   adhunā buddhyahaṃkāramanasāmucyate /	aDunA budDi-ahaMkAra-manasAm-ucyate /
   svālakṣaṇyā vṛttistrayasya saiṣā bhavatyasāmānyā /	svAlakzaNyA vRttiH-trayasya sA-ezA Bavati-asAmAnyA /
   sāmānyakaraṇavṛttiḥ prāṇādyā vāyavaḥ pañca // ISk_29 //	sAmAnya-karaNa-vRttiH prANa-AdyAH vAyavaH paQca // ISc-_29 //
   svalakṣaṇasvabhāvā svālakṣaṇyā / adhyavasāyo yo buddhiriti lakṣaṇamuktaṃ	sva-lakzaNa-svaBAvA svAlakzaNyAH / aDyavasAyaH yaH budDiH-iti lakzaNa-muktam
   saiva buddhivṛttiḥ / tathābhimāno 'haṃkāra ityabhimānalakṣaṇo	sA-eva budDi-vRttiH / taTA-aBimAnaH ahaMkAraH iti-aBimAna-lakzaNaH-
   'bhimānavṛttiśca / saṃkalpakaṃ mana iti lakṣaṇamuktaṃ tena saṃkalpa eva	aBimAna-vRttiH-ca / saMkalpakam manaH iti lakzaNam-uktam tena saMkalpaH eva
   manaso vṛttiḥ / trayasya buddhyahaṃkāramanasāṃ svālakṣaṇyā vṛttirasāmānyā	manasaH vRttiH / trayasya budDi-ahaMkAra-manasAm svAlakzaNyA vRttiH-asAmAnyA
   yā prāgabhihitā buddhīndriyāṇāṃ ca vṛttiḥ sāpyasāmānyaiveti / idānīṃ	yA prAc-aBihitA budDIndriyANAm ca vRttiH sA-api-asAmAnyA-eva-iti / idAnIm
   sāmānyā vṛttirākhyāyate / sāmānyakāranavṛttiḥ sāmānyena karaṇānāṃ vṛttiḥ	sAmAnyA vRttiH-AKyAyate / sAmAnya-kArana-vRttiH sAmAnyena karaNAnAm vRttiH
   prāṇādyā vāyavaḥ pañca prāṇāpānasamānodānavyānā iti pañca vāyavaḥ	prANa-AdyAH vAyavaH paQca prANa-apAna-samAna-udAna-vyAnAH iti paQca vAyavaH
   sarvendriyāṇāṃ sāmānyā vṛttiryataḥ / prāṇo nāma	sarva-indriyANAm sAmAnyA vRttiH-yatas / prANaH nAma
   vāyurmukhanāsikāntargocarastasya yat spandanaṃ karma tat	vAyuH-muKa-nAsikA-antar-gocaraH-tasya yat spandanam karma tat-
   trayodaśavidhasyāpi sāmānyā vṛttiḥ sati prāṇe yasmāt karaṇānāmātmalābha	trayodaSaviDasya-api sAmAnyA vRttiH sati prANe yasmAt karaNAnAm-Atma-lABa
   iti / prāṇo 'pi pañcaraśakunivat sarvasya calanaṃ karotīti / prāṇanāt	iti / prANaH api paQca-raSakuni-vat sarvasya calanam karoti-iti / prANanAt-
   prāṇa ityucyate / tathāpanayanādapānastatra yatspandanaṃ tadapi	prANaH iti-ucyate / taTA-apanayana-At-apAnaH-tatra yat-spandanam tat-api
   sāmānyavṛttirindriyasya / tathā samāno madhyadeśavartī ya	sAmAnya-vRttiH-indriyasya / taTA samAnaH maDyadeSa-vartI ya
   āhārādinayanātsamaṃ nayanāt samāno vāyustatra yatspandanaṃ tat sāmānyaṃ	AhAra-Adi-nayanAt-samam nayanAt samAnaH vAyuH-tatra yat-spandanam tat sAmAnyam
   karaṇavṛttiḥ / tathā ūrdhvārohaṇādutkarṣādunnayanādvā udāno	karaNa-vRttiH / taTA UrDva-ArohaNAt-utkarzAt-unnayanAt-vA udAnaH-
   nābhideśamastakāntargocarastatrodāne yatspandanaṃ tat sarvendriyāṇāṃ	nABi-deSa-mastaka-antar-gocaraH-tatra-udAne yat-spandanam tat sarva-indriyANAm
   sāmānyā vṛttiḥ / kiṃca śarīravyāptirabhyantaravibhāgaśca yena kriyate 'sau	sAmAnyA vRttiH / kiMca SarIra-vyAptiH-aByantara-viBAgaH-ca yena kriyate asO
   śarīravyāptyākāśavadvyānastatra yat spandanaṃ tat karaṇajālasya sāmānyā	SarIra-vyApti-AkASa-vat-vyAnaH-tatra yat spandanam tat karaNa-jAlasya sAmAnyA
   vṛttiriti / evamete pañca vāyavaḥ sāmānyakaraṇavṛttiriti vyākhyātāḥ	vRttiH-iti / evam-ete paQca vAyavaH sAmAnya-karaNa-vRttiH-iti vyAKyAtAH
   trayodaśavidhasyāpi karaṇasāmānyā vṛttirityarthaḥ // 29 //	trayodaSaviDasya-api karaNa-sAmAnyA vRttiH-iti-arTaH // 29 //
   yugapaccatuṣṭayasya tu vṛttiḥ kramaśaśca tasya nirdiṣṭā /	yugapad-catuzwayasya tu vRttiH kramaSas-ca tasya nirdizwA /
   dṛṣṭe tathāpyadṛṣṭe trayasya tatpūrvikā vṛttiḥ // ISk_30 //	dRzwe taTA-api-adRzwe trayasya tad-pUrvikA vRttiH // ISc-_30 //
   yugapaccatuṣṭayasya buddhyahaṃkāramanasāmekaikendriyasambandhe sati	yugapad-catuzwayasya budDi-ahaMkAra-manasAm-ekEka-indriya-sambanDe sati
   catuṣṭayaṃ bhavati catuṣṭayasya dṛṣṭe prativiṣayādhyavasāye	catuzwayam Bavati catuzwayasya dRzwe prativizaya-aDyavasAye
   yugapadvṛtirbuddhyahaṃkāramanaścakṣūṃṣi yugapadekakālaṃ rūpaṃ paśyati	yugapad-vRtiH-budDi-ahaMkAra-manaH-cakzUMzi yugapad-eka-kAlam rUpam paSyati
   sthāṇurayamiti / buddhyahaṃkāramanojihvā yugapadrasaṃ gṛhṇanti /	sTANuH-ayam-iti / budDi-ahaMkAra-manaH-jihvAH yugapad-rasam gRhNanti /
   buddhyahaṃkāramanoghrāṇāni yugapadgandhaṃ gṛhṇanti / tathā tvakśrotre api	budDi-ahaMkAra-manoGrANAni yugapad-ganDam gRhNanti / taTA tvac-Srotre api
   / kiṃca kramaśaśca tasya nirdiṣṭā tasyeti catuṣṭayasyakramaśaśca	/ kiMca kramaSas-ca tasya nirdizwA tasya-iti catuzwayasya-kramaSas-ca
   vṛttirbhavati / yathā kaścit pathi gacchan dūrādeva dṛṣṭvā sthāṇurayaṃ	vRttiH-Bavati / yaTA kaScid paTi gacCan dUrAt-eva dRzwvA sTANu-H-ayam
   puruṣo veti saṃśaye sati tatroparūḍhāṃ valliṃ talliṅgaṃ paśyati śakuniṃ vā	puruzaH vA-iti saMSaye sati tatra-uparUXAm vallim tat-liFgam paSyati Sakunim vA
   tato tasya manasā saṃkalpite saṃśaye vyavacchedabhūtā buddhirbhavati	tatas tasya manasA saMkalpite saMSaye vyavacCeda-BUtA budDiH-Bavati
   sthāṇurayamityato 'haṃkāraśca niścayārthaḥ sthāṇurevetyevaṃ	sTANuH-ayam-iti-atas ahaMkAraH-ca niScaya-arTaH sTANuH-eva-iti-evam
   buddhyahaṃkāramanaścakṣuṣāṃ kramaśo vṛttirdṛṣṭā yathā rūpe tathā	budDi-ahaMkAra-manaH-cakzuzAm kramaSas vRttiH-dRzwA yaTA rUpe taTA
   śabdādiṣvapi boddhavyā dṛṣṭe dṛṣṭaviṣaye / kiṃcānyattathāpyadṛṣṭe trayasya	Sabda-Adizu-api bodDavyA dRzwe dRzwa-vizaye / kiMca-anyat-taTA-api-adRzwe trayasya
   tatpūrvikā vṛttiradṛṣṭe 'nāgate 'tīte ca kāle buddhyahaṃkāramanasāṃ rūpe	tad-pUrvikA vRttiH-adRzwe anAgate atIte ca kAle budDi-ahaMkAra-manasAm rUpe
   cakṣuḥ pūrvikā trayasya vṛttiḥ sparśe tvakpūrvikā gandhe ghrāṇapūrvikā	cakzuH pUrvikA trayasya vRttiH sparSe tvakpUrvikA ganDe GrANa-pUrvikA
   rase rasanapūrvikā śabde śravaṇapūrvikā buddhyahaṃkāramanasāmanāgate	rase rasana-pUrvikA Sabde SravaNa-pUrvikA budDi-ahaMkAra-manasAm-anAgate
   bhaviṣyati kāle 'tīte ca tat kramaśo vṛttirvarttamāne yugapat kramaśaśceti	Bavizyati kAle atIte ca tat kramaSas vRttiH-varttamAne yugapad kramaSas-ca-iti
   kiṃca /	kiMca /
   svāṃ svāṃ pratipadyante parasparākūtahetukāṃ vṛttim /	svAm svAm pratipadyante paraspara-AkUta-hetukAm vRttim /
   puruṣārtha eva heturna kenacitkāryate karaṇam // ISk_31 //	puruza-arTaH eva hetuH-na kenacid-kAryate karaNam // ISc-_31 //
   svāṃ svāmiti vīpsā buddhyahaṃkāramanāṃsi svāṃ svāṃ vṛttiṃ	svAm svAm-iti vIpsA budDi-ahaMkAra-manAMsi svAm svAm vRttim
   parasparākūtahetukāmākūtakādarāsambhrama iti pratipadyante	paraspara-AkUta-hetu-kAma-AkUtaka-AdarA-samBramaH iti pratipadyante
   puruṣārthakaraṇāya / buddherahaṃkārādayo buddhirahaṃkārākūtaṃ jñātvā	puruza-arTa-karaNAya / budDeH-ahaMkAra-AdayaH budDiH-ahaMkAra-AkUtam jQAtvA
   svasvaviṣayaṃ pratipadyate kimarthamiti cet puruṣārtha eva hetuḥ	sva-sva-vizayam pratipadyate kimarTam-iti ced puruza-arTaH eva hetuH
   puruṣārthaḥ karttavya ityevamarthaṃ guṇānāṃ pravṛttistasmādetāni karaṇāni	puruza-arTaH karttavyaH iti-evam-arTam guNAnAm pravRttiH-tasmAt-etAni karaNAni
   puruṣārthaṃ prakāśayanti kathaṃ svayaṃ pravartante na kenacit kāryate	puruza-arTam prakASayanti kaTam svayam pravartante na kenacid kAryate
   karaṇaṃ puruṣārtha evaikaḥ kārayatīti vākyārtho na kenacidīśvareṇa	karaNam puruza-arTaH eva-ekaH kArayati-iti vAkya-arTaH na kenacid-ISvareNa
   puruṣeṇa kāryate prabodhyate karaṇam // 31 //	puruzeNa kAryate praboDyate karaNam // 31 //
   buddhyādi katividhaṃ tadityucyate /	budDi-Adi kativiDam tat-iti-ucyate /
   karaṇaṃ trayodaśavidhaṃ tadāharaṇadhāraṇaprakāśakaram /	karaNam trayodaSaviDam tad-AharaNa-DAraNa-prakASa-karam /
   kāryaṃ ca tasya daśadhāhāryaṃ dhāryaṃ prakāśyaṃ ca // ISk_32 //	kAryam ca tasya daSaDA-AhAryam DAryam prakASyam ca // ISc-_32 //
   karaṇaṃ mahadādi trayodaśavidhaṃ boddhyavyaṃ pañcabuddhīndriyāṇi	karaNam mahat-Adi trayodaSaviDam bodDi-avyam paQca-budDIndriyANi
   cakṣurādīni pañca karmendriyāṇi vāgādīnīti trayodaśavidhaṃ karaṇaṃ tatkiṃ	cakzuH-AdIni paQca karmendriyANi vAc-AdIni-iti trayodaSaviDam karaNam tat-kim
   karotītyetadāha tadāharaṇadhāraṇaprakāśakaram / tatrāharaṇaṃ dhāraṇaṃ ca	karoti-iti-etat-Aha tad-AharaNa-DAraNa-prakASa-karam / tatra-AharaNam DAraNam ca
   karmendriyāṇi kurvanti prakāśaṃ buddhīndriyāṇi / katividhaṃ kāryaṃ tasyeti	karmendriyANi kurvanti prakASam budDIndriyANi / kativiDam kAryam tasya-iti
   taducyate / kāryaṃ ca tasya daśadhā tasya karaṇasya kāryaṃ kartavyamiti	tat-ucyate / kAryam ca tasya daSaDA tasya karaNasya kAryam kartavyam-iti
   daśadhā daśaprakāraṃ śabdasparśarūparasagandhākhyaṃ	daSaDA daSa-prakAram Sabda-sparSa-rUpa-rasa-ganDa-AKyam
   vacanādānaviharaṇotsargānandākhyametaddaśavidhaṃ kāryaṃ buddhīndriyaiḥ	vacana-AdAna-viharaNa-utsarga-Ananda-AKyam-etat-daSaviDam kAryam budDIndriyEH
   prakāśitaṃ karmendriyāṇyāharanti dhārayanti ceti // 32 //	prakASitam karmendriyANi-Aharanti DArayanti ca-iti // 32 //
   antaḥkaraṇaṃ trividhaṃ daśadhā bāhyaṃ trayasya viṣayākhyam /	antaHkaraNam triviDam daSaDA bAhyam trayasya vizaya-AKyam /
   sāmpratakālaṃ bāhyaṃ trikālamābhyantaraṃ karaṇam // ISk_33 //	sAmprata-kAlam bAhyam tri-kAlam-AByantaram karaNam // ISc-_33 //
   antaḥkaraṇamiti buddhyahaṃkāramanāṃsi trividhaṃ mahadādibhedāt / daśadhā	antaHkaraNam-iti budDi-ahaMkAra-manAMsi triviDam mahat-Adi-BedAt / daSaDA
   bāhyaṃ ca buddhīndriyāṇi pañca karmendriyāṇi pañca daśavidhametatkaraṇaṃ	bAhyam ca budDIndriyANi paQca karmendriyANi paQca daSaviDam-etat-karaNam
   bāhyaṃ tatra yasyāntaḥkaraṇasya viṣayākhyaṃ buddhyahaṃkāramanasāṃ bhogyaṃ	bAhyam tatra yasya-antaHkaraNasya vizaya-AKyam budDi-ahaMkAra-manasAm Bogyam
   sāmpratakālaṃ śrotraṃ varttamānameva śabdaṃ śṛṇoti nātītaṃ na ca	sAmprata-kAlam Srotram varttamAnam-eva Sabdam SRNoti na-atItam na ca
   bhaviṣyantaṃ cakṣurapi vartamānaṃ rūpaṃ paśyati nātītaṃ nānāgataṃ	Bavizyantam cakzuH-api vartamAnam rUpam paSyati na-atItam na-anAgatam
   tvagvarttamānaṃ sparśaṃ jihvā varttamānaṃ rasaṃ nāsikā varttamānaṃ gandhaṃ	tvac-varttamAnam sparSam jihvA varttamAnam rasam nAsikA varttamAnam ganDam
   nātītānāgataṃ ceti / evaṃ karmendriyāṇi vāgvarttamānaṃ śabdamuccārayati	na-atIta-anAgatam ca-iti / evam karmendriyANi vAc-vartta-mAnam Sabdam-uccArayati
   nātītaṃ nānāgataṃ pāṇī varttamānaṃ ghaṭamādadāte nātītamanāgataṃ	na-atItam na-anAgatam pANI varttamAnam GawamAdadAte na-atItam-anAgatam
   pāyūpasthau ca varttamānāvutsargānandau kuruto nātītau nānāgatau / evaṃ	pAyu-upasTO ca varttamAnO=-utsarga-AnandO kurutaH na-atItO nAnA-AgatO / evam
   bāhyaṃ karaṇaṃ sāmpratakālamuktaṃ trikālamābhyantaraṃ karaṇaṃ	bAhyam karaNam sAmprata-kAlam-uktam tri-kAlam-AByantaram karaNam
   buddhyahaṃkāramanāṃsi trikālaviṣayāṇi buddhirvarttamānaṃ ghaṭaṃ budhyate	budDi-ahaMkAra-manAMsi tri-kAla-vizayANi budDiH-varttamAnam Gawam buDyate
   atītamanāgataṃ ceti / ahaṃkāro varttamāne 'bhimānaṃ karotyatīte 'nāgate ca	atItam-anAgatam ca-iti / ahaMkAraH varttamAne aBimAnam karoti-atIte anAgate ca
   / tathā mano varttamāne saṃkalpaṃ kurute atīte 'nāgate ca evaṃ	/ taTA manaH varttamAne saMkalpam kurute atIte anAgate ca evam
   trikālamābhyantaraṃ karaṇamiti // 33 //	tri-kAlam-AByantaram karaNam-iti // 33 //
   idānīmindriyāṇi kati saviśeṣaṃ viṣayaṃ gṛhṇanti kāni nirviśeṣamiti	idAnIm-indriyANi kati sa-viSezam vizayam gRhNanti kAni nirviSezam-iti
   taducyate /	tat-ucyate /
   buddhīndriyāṇi teṣāṃ pañca viśeṣāviśeṣaviṣayāṇi /	budDIndriyANi tezAm paQca viSeza-aviSeza-vizayANi /
   vāgbhavati śabdaviṣayā śeṣānyapi pañcaviṣayāṇi // ISk_34 //	vAc-Bavati Sabda-vizayA SezAni-api paQca-vizayANi // ISc-_34 //
   buddhīndriyāṇi tāni saviśeṣaṃ viṣayaṃ gṛhṇāti saviśeṣaviṣayaṃ mānuṣāṇāṃ	budDIndriyANi tAni sa-viSezam vizayam gRhNAti sa-viSeza-vizayam mAnuzANAm
   śabdasparśarūparasagandhān sukhaduḥkhamohaviṣayayuktān buddhīndriyāṇi	Sabda-sparSa-rUpa-rasa-ganDAn suKa-duHKa-moha-vizaya-yuktAn budDIndriyANi
   prakāśayanti devānāṃ nirviśeṣānviṣayān prakāśayanti tathā karmendriyāṇāṃ	prakASayanti devAnAm nirviSezAn-vizayAn prakASayanti taTA karmendriyANAm
   madhye vāgbhavati śabdaviṣayā devānāṃ mānuṣāṇāṃ ca vāgvadati	maDye vAc-Bavati Sabda-vizayAH devAnAm mAnuzANAm ca vAc-vadati
   ślokādīnuccārayati tasmāddevānāṃ mānuṣāṇāṃ ca vāgindriyaṃ tulyaṃ śeṣāṇyapi	Sloka-AdIn-uccArayati tasmAt-devAnAm mAnuzANAm ca vAc-indriyam tulyam SezANi-api
   vāgvyatiriktāni pāṇipādapāyūpasthasaṃjñitāni pañcaviṣayāṇi śabdādayo yeṣāṃ	vAc-vyatiriktAni pANi-pAda-pAyu-upasTa-saMjQitAni paQca-vizayANi Sabda-AdayaH yezAm
   tāni pañcaviṣayāṇi śabdasparśarūparasagandhāḥ pāṇau santi	tAni paQca-vizayANi Sabda-sparSa-rUpa-rasa-ganDAH pANO santi
   pañcaśabdādilakṣaṇāyāṃ bhuvi pādo viharati pāyvindriyaṃ	paQca-Sabda-Adi-lakzaNAyAm Buvi pAdaH viharati pAyu-indriyam
   pañcaklṛptamutsargaṃ karoti tathopasthendriyaṃ pañcalakṣaṇaṃ	paQca-klRptam-utsargam karoti taTA-upasTa-indriyam paQca-lakzaNam
   śukramānandayati // 34 //	Sukram-Anandayati // 34 //
   sāntaḥkaraṇā buddhiḥ sarvaṃ viṣayamavagāhate yasmāt /	sa-antaHkaraNA budDiH sarvam vizayam-avagAhate yasmAt /
   tasmāttrividhaṃ karaṇaṃ dvāri dvārāṇi śeṣāṇi // ISk_35 //	tasmAt-triviDam karaNam dvAri dvArANi SezANi // ISc-_35 //
   sāntaḥkaraṇā buddhirahaṃkāramanaḥsahitetyarthaha yasmāt sarvaṃ	sa-antaHkaraNA budDiH-ahaMkAra-manaH-sahitA-iti-arTa-ha yasmAt sarvam
   viṣayamavagāhate gṛhṇāti triṣvapi kāleṣu śabdādīn gṛhṇāti tasmāttrividhama	vizayam-avagAhate gRhNAti trizu-api kAlezu Sabda-AdIn gRhNAti tasmAt-triviDam-a
   karaṇaṃ dvāri dvārāṇi śeṣāṇi śeṣāni karaṇānīti vākyaśeṣaḥ // 35 //	karaNam dvAri dvArANi SezANi SezAni karaNAni-iti vAkya-SezaH // 35 //
   kiṃ cānyat /	kim ca-anyat /
   ete pradīpakalpāḥ parasparavilakṣaṇā guṇaviśeṣāḥ /	ete pradIpa-kalpAH paraspara-vilakzaNAH guNa-viSezAH /
   kṛtsnaṃ puruṣasyārthaṃ prakāśya buddhau prayacchanti // ISk_36 //	kRtsnam puruzasya-arTam prakASya budDO prayacCanti // ISc-_36 //
   yāni karaṇānyuktāni ete guṇaviśeṣāḥ kiṃ viśiṣṭāḥ pradīpakalpāḥ	yAni karaNAni-uktAni ete guNa-viSezAH kim viSizwAH pradIpa-kalpAH
   pradīpavadviṣayaprakāśakāḥ parasparavilakṣaṇā asadṛśā bhinnaviṣayā	pradIpa-vat-vizaya-prakASakAH paraspara-vilakzaNA asadRSA Binna-vizayA
   ityarthaḥ / guṇaviṣayā ityarthaḥ / guṇaviśeṣā guṇebhyo jātāḥ / kṛtsnaṃ	iti-arTaH / guNa-vizayAH iti-arTaH / guNa-viSezAH guNeByaH jAtAH / kRtsnam
   puruṣasyārthaṃ buddhīndriyāni karmendriyāṇyahaṃkāro manaścaitāni svaṃ	puruzasya-arTam budDIndriyAni karmendriyANi-ahaMkAraH manaH-ca-etAni svam
   svamarthaṃ puruṣasya prakāśya buddhau prayacchanti buddhisthaṃ	svam-arTam puruzasya prakASya budDO prayacCanti budDi-sTam
   kurvantītyarthaḥ / yato buddhisthaṃ sarvaṃ viṣayaṃ sukhādikaṃ puruṣa	kurvanti-iti-arTaH / yatas budDi-sTam sarvam vizayam suKa-Adikam puruza
   upalabhyate // 36 //	upalaByate // 36 //
   idaṃ cānyat /	idam ca-anyat /
   sarvaṃ pratyupabhogaṃ yasmātpuruṣasya sādhayati buddhiḥ /	sarvam pratyupaBogam yasmAt-puruzasya sADayati budDiH /
   saiva ca viśinaṣṭi tataḥ pradhānapuruṣāntaraṃ sūkṣmam // ISk_37 //	sA-eva ca viSinazwi tatas praDAna-puruza-antaram sUkzmam // ISc-_37 //
   sarvendriyagataṃ triṣvapi kāleṣu sarvaṃ pratyupabhogamupabhogaṃ prati	sarva-indriya-gatam trizu-api kAlezu sarvam pratyupaBogam-upaBogam prati
   devamanuṣyatiryag buddhīndriyakarmendriyadvāreṇa sāntaḥkaraṇā buddhiḥ	deva-manuzya-tiryak budDIndriya-karmendriya-dvAreNa sa-antaHkaraNA budDiH
   sādhayati sampādayati yasmāt tasmāt saiva ca viśinaṣṭi	sADayati sampAdayati yasmAt tasmAt sA-eva ca viSinazwi
   pradhānapuruṣayorviṣayavibhāgaṃ karoti pradhānapuruṣāntaraṃ	praDAna-puruzayoH-vizaya-viBAgam karoti praDAna-puruza-antaram
   nānātvamityarthaḥ / sūkṣmamityanadhikṛtatapaścaraṇairaprāpyamiyaṃ prakṛtiḥ	nAnAtvam-iti-arTaH / sUkzmam-iti-anaDikRta-tapaH-caraNEH-aprApyam-iyam prakRtiH
   sattvarajastamasāṃ sāmyāvasthā iyaṃ buddhirayamahaṃkāra etāni	sattva-rajaH-tamasAm sAmya-avasTA iyam budDiH-ayam-ahaMkAraH etAni
   pañcatanmātrāṇyekādaśendriyāṇi pañcamahābhūtānyayamanyaḥ puruṣa ebhyo	paQca-tanmAtrANi-ekAdaSa-indriyANi paQca-mahABUtAni-ayam-anyaH puruzaH eByaH-
   vyatirikta ityeva bodhayati buddhiryasyāvāyādapavargo bhavati // 37 //	vyatiriktaH iti-eva boDayati budDiH-yasya-avAyAt-apavargaH Bavati // 37 //
   pūrvamuktaṃ viśeṣāviśeṣaviṣayāṇi tat ke viṣayāstacca darśayati /	pUrvam-uktam viSeza-aviSeza-vizayANi tat ke vizayAH-tat-ca darSayati /
   tanmātrāṇyaviśeṣāstebhyo bhūtāni pañca pañcabhyaḥ /	tanmAtrANi-aviSezAH-teByaH BUtAni paQca paQcaByaH /
   ete smṛtā viśeṣāḥ śāntā ghorāśca mūḍhāśca // ISk_38 //	ete smRtAH viSezAH SAntAH GorAH-ca mUXAH-ca // ISc-_38 //
   yāni pañca tanmātrāṇyahaṃkārādutpadyante te śabdatanmātraṃ sparśatanmātraṃ	yAni paQca tanmAtrANi-ahaMkArAt-utpadyante te Sabda-tanmAtram sparSa-tanmAtram
   rūpatanmātraṃ rasatanmātraṃ gandhatanmātrametānyaviśeṣā ucyante devānāmete	rUpa-tanmAtram rasa-tanmAtram ganDa-tanmAtram-etAni-aviSezAH ucyante devAnAm-ete
   sukhalakṣaṇā viṣayā duḥkhamoharahitāstebhyaḥ pañcabhyastanmātrebhyaḥ	suKa-lakzaNAH vizayAH duHKa-moha-rahitAH-teByaH paQcaByaH-tanmAtreByaH
   pañcamahābhūtāni pṛthivyaptejovāyvākāśasaṃjñitāni yānyutpadyante / ete	paQca-mahABUtAni pRTivI-ap-tejaH-vAyu-AkASa-saMjQitAni yAni-utpadyante / ete
   smṛtā viśeṣāḥ / gandhatanmātrāt pṛthivī rasatanmātrādāpo	smRtAH viSezAH / ganDa-tanmAtrAt pRTivI rasa-tanmAtrAt-ApaH-
   rūpatanmātrāttejaḥ sparśatanmātrādvāyuḥ	rUpa-tanmAtrAt-tejaH sparSa-tanmAtrAt-vAyuH
   śabdatanmātrādākāśamityevamutpannānyetāni mahābhūtānyete viśeṣā mānuṣāṇāṃ	Sabda-tanmAtrAt-AkASam-iti-evam-utpannAni-etAni mahABUtAni-ete viSezAH mAnuzANAm
   viṣayāḥ śāntā sukhalakṣaṇā ghorā duḥkhalakṣaṇā mūḍhā mohajanakā yathākāśaṃ	vizayAH SAntA suKa-lakzaNA GorAH duHKa-lakzaNA mUXAH moha-janakAH yaTA-AkASam
   kasyacidanavakāśādantargṛhādernirgatasya sukhātmakaṃ śāntaṃ bhavati tadeva	kasyacid-anavakASAt-antargRha-AdeH-nirgatasya suKa-Atmakam SAntam Bavati tat-eva
   śītoṣṇavātavarṣābhibhūtasya duḥkhātmakaṃ ghoraṃ bhavati tadeva panthānaṃ	SIta-uzNa-vAta-varza-aBiBUtasya duHKa-Atmakam Goram Bavati tat-eva panTAnam
   gacchato vanamārgāt bhraṣṭasya diṅ mohānmūḍhaṃ bhavati / evaṃ	gacCataH vana-mArgAt Brazwasya diS mohAt-mUXam Bavati / evam
   vāyurgharmārtasya śānto bhavati śītārtasya ghoro dhūlīśarkarāvimiśro	vAyuH-Garma-Artasya SAntaH Bavati SIta-Artasya GoraH DUlI-SarkarA-vimiSro
   'tivān mūḍha iti / evaṃ tejaḥ prabhṛtiṣu draṣṭavyam // 38 //	ativAn mUXaH iti / evam tejaH praBRtizu drazwavyam // 38 //
   athānye viśeṣāḥ /	aTa-anye viSezAH /
   sūkṣmā mātāpitṛjāḥ saha prabhūtaistridhā viśeṣāḥ syuḥ /	sUkzmAH mAtA-pitR-jAH saha praBUtEH-triDA viSezAH syuH /
   sūkṣmāsteṣāṃ niyatā mātāpitṛjā nivartante // ISk_39 //	sUkzmAH-tezAm niyatAH mAtA-pitR-jAH nivartante // ISc-_39 //
   sūkṣmāstanmātrāṇi yatsaṃgṛhītaṃ tanmātrikaṃ sūkṣmaśarīraṃ mahadādiliṅgaṃ	sUkzmAH-tanmAtrANi yat-saMgRhItam tat-mAtrikam sUkzmaSarIram mahat-Adi-liFgam
   sadā tiṣṭhati saṃsarati ca te sūkṣmāstathā mātāpitṛjā sthūlaśarīropacāyakā	sadA tizWati saMsarati ca te sUkzmAH-taTA mAtA-pitR-jA sTUlaSarIra-upacAyakA
   ṛtukāle mātāpitṛsaṃyoge śoṇitaśukramiśrībhāvenodarāntaḥ	Rtu-kAle mAtA-pitR-saMyoge SoNita-Sukra-miSrIBAvena-udara-antaH
