   brahmasūtraśāṅkarabhāṣyam	brahmasUtra SAFkara BAzyam
   pūrva'iti nyāyāt, 'tyadādīni sarvaurnityam'iti sūtreṇa vihita ekaśeṣaśca	pUrvaH aiti nyAyAt, atyada AdIni sarvOH nityam aiti sUtreNa vihitaH eka SezaH ca
   syāditi nirastam /	syAt iti nirastam /
   'yuṣmadasmadoḥ'iti sūtra ivātrāpi pūrvanipātaikaśeṣayoraprāpteḥ, ekaśeṣe	ayuzmad asmadoH aiti sUtraH iva atra api pUrva nipAta eka SezayoH aprApteH, eka Seze
   vivakṣitavirodhāsphūrteśca /	vivakzita viroDa AsPUrteH ca /
   vṛddhāstu 'yuṣmadarthādanātmano niṣkṛṣya śuddhasya	vRdDAH tu ayuzmad arTAt anAtmanaH nizkRzya SudDasya
   ciddhātoropāpavādanyāyena grahaṇaṃ dyotayitumādau yuṣmadgrahaṇaṃ'ityāhuḥ /	cit DAta urA upApavAda nyAyena grahaNam dyotayitum AdO yuzmad grahaNaM aiti a AhuH /
   tatra yuṣmadasmatpadābhyāṃ parākpratyaktvenātmānātmanorvastuto virodha	tatra yuzmad asmad padAByAm parAk pratyaktvena AtmAnAtmanA urvastutaH viroDa
   uktaḥ /	uktaH /
   pratyayapadena pratītito virodha uktaḥ /	pratyaya padena pratItitaH viroDaH uktaH /
   pratīyata iti pratyayo 'haṅkārādiranātmā dṛśyatayā bhāti /	pratIyate iti pratyayaH ahaFkAra AdiH anAtmA dRSya tayA BAti /
   ātmā tu pratītitvātpratyayaḥ svaprakāśatayā bhāti /	AtmA tu pratIti tvAt pratyayaH sva prakASa tayA BAti /
   gocarapadena vyavahārato virodha uktaḥ /	gocara padena vyavahArataH viroDaH uktaH /
   yuṣmadarthaḥ pratyagātmatiraskāreṇa kartāhamityādivyavahāragocaraḥ,	yuzmad arTaH pratyagAtma tiraskAreNa kartA aham iti Adi vyavahAra gocaraH,
   asmadarthastvanātmapravilāpena, ahaṃ brahmeti vyavahāragocara iti tridhā	asmad arTaH tu anAtma pravilApena, aham brahma iti vyavahAra gocaraH iti triDA
   virodhaḥ sphuṭīkṛtaḥ /	viroDaH sPuwIkRtaH /
   yuṣmaccāsmacca yuṣmadasmadī, te eva pratyayau ca tau gocarau ceti	yuzmat ca asmat ca yuzmad asmadI, te eva pratyayO ca tO gocarO ca iti
   yuṣmadasmatpratyayagocarau, tayostridhā viruddhasvabhāvāyoritarebhāvo	yuzmad asmad pratyaya gocarO, tayoH triDA virudDa svaBAvAyoH i tareBAvaH 
   'tyantābhedastādātmyaṃ vā tadanupapattau siddhāyāmityanvayaḥ /	atyanta aBedaH tAdAtmyam vA tad anupapattO sidDAyAm iti anvayaH /
   aikyāsaṃbhave 'pi śuklo ghaṭa itivattādātmayaṃ kiṃ na syādityata	Ekya asaMBave api SuklaH GawaH iti vat tAt Atmayam kim na syAt iti ata
   āha viṣayaviṣayiṇoriti /	Aha vizaya vizayiNoH iti /
   cijjaḍayorviṣayaviṣayitvāddīpaghaṭayoriva na tādātmyamiti bhāvaḥ /	cit jaxayoH vizaya vizayi tvAt dIpa GawayoH iva na tAdAtmyam iti BAvaH /
   yuṣmadasmadī parāpratyagvastunī, te eva pratyayaśca gocaraśceti vā	yuzmad asmadI parApratyak vastunI, te eva pratyayaH ca gocaraH ca iti vA
   vigrahaḥ /	vigrahaH /
   atra pratyayagocarapadābhyāmātmanātmanoḥ pratyakparāgbhāve cidacittvaṃ	atra pratyaya gocara padAByAm AtmanA AtmanoH pratyak parAgBAve cit acit tvam
   heturuktastatra hetumāha viṣayaviṣayiṇoriti /	hetuH uktaH tatra hetumAha  vizaya vizayiNoH iti /
   anātmano grāhyatvādacitvaṃ, ātmanastu grāhakatvāccitvaṃ vācyam /	anAtmanaH grAhya tvAt acitvan, AtmanaH tu grAhaka tvAt citvam vAcyam /
   acitve svasya svena grahasya	acitve svasya svena grahasya
   karmakartṛtvavirodhenāsaṃbhavādapratyakṣatvāpatterityarthaḥ /	karma kartR tva viroDena asaMBavAt apratyakza tva ApatteH iti arTaH /
   yatheṣṭaṃ vā hetuhetumadbhāvaḥ /	yaTezwam vA hetu hetum at BAvaH /
   nanvevamātmānātmanoḥ parākpratyaktvena, cidacittvena grāhyagrāhakatvena ca	nanu evam AtmAnAtmanoH parAk pratyaktvena, cit acit tvena grAhya grAhaka tvena ca
   virodhāttamaḥprakāśavadaikyasya tādātmyasya vānupapattau satyāṃ,	viroDAt tamaH prakASa vat Ekyasya tAdAtmyasya vA anupapattO satyAM,
   tatpramityabhāvenādhyāsābhāve 'pi taddharmāṇāṃ	tad pramiti aBAvena aDyAsa aBAve api tad DarmANAm
   caitanyasukhajāḍyaduḥkhādīnāṃ vinimayenadhyāso 'stvityata	cEtanya suKa jAxya duHKa AdInAm vinimayenaDyAsaH astu iti ata
   āha  taddhārmāṇāmapīti /	Aha  tad DArmANAm api iti /
   tayorātmānātmanordharmāstaddharmāsteṣāmapītaretarabhāvānupapattiḥ /	tayoH AtmAnAtmanorDarmAH tad DarmAH tezAm api itaretara BAva anupapattiH /
   itaratra dharmyantare itareṣāṃ dharmāṇāṃ bhāvaḥ	itaratra Darmi antare itarezAm DarmANAm BAvaH
   saṃsargastasyānupapattiritityarthaḥ /	saMsargaH tasya anupapattiH ititi arTaH /
   na hi dharmiṇoḥ saṃsargaṃ vinā dharmāṇāṃ vinimayo asti /	na hi DarmiNoH saMsargam vinA DarmANAm vinimayaH asti /
   sphaṭike lohita vastu sāṃnidhyāllauhityadharmasaṃsargaḥ /	sPawike lohita vastu sAMniDyAt lOhitya Darma saMsargaH /
   asaṅgātmadharmiṇaḥ kenāpyasaṃsargāddharmisaṃsargapūrvako dharmasaṃsargaḥ	asaFga Atma DarmiNaH kena api asaMsargAt Darmi saMsarga pUrvakaH Darma saMsargaH
   kutastya ityabhipreyoktam sutarāmiti /	kutastyaH iti aBipreya uktam  sutarAm iti /
   nanvātmānātmanostādātmyasya taddharmasaṃsargasya cābhāve 'pyadhyāsaḥ kiṃ	nanu AtmAnAtmanoH tAdAtmyasya tad Darma saMsargasya ca aBAve api aDyAsaH kim
   na syādityata āha  ityata iti /	na syAt iti atas Aha  iti atas iti /
   ityuktarītyā tādātmyādyabhāvena tatpramāyā abhāvādataḥ	iti ukta rItyA tAdAtmya Adi aBAvena tad pramAyAH aBAvAt atas 
   pramājanyasaṃskārasyādhyāsahetorabhāvāt 'adhyāso mithyeti bhavituṃ	pramA janya saMskArasya aDyAsa hetoH aBAvAt aaDyAsaH miTyA iti Bavitum
   yuktaṃ'ityanvayaḥ /	yuktaM aiti anvayaH /
   mithyāśabdo hyarthaḥ apahnavavacanaḥ, anirvacanīyatāvacanaśceti /	miTyA SabdaH hi arTaH apahnava vacanaH, anirvacanIyatA vacanaH ca iti /
   atra cāpahnavārthaḥ /	atra ca apahnava arTaH /
   nanu kutra kasyādhyāso 'pahnūyata ityāśaṅkya,	nanu kutra kasya aDyAsaH apahnUyate iti ASaFkya,
   ātmanyanātmataddharmāṇāmanātmanyātmataddharmāṇāmadhyāso nirasyata	Atmani anAtma tad DarmANAm anAtmani Atma tad DarmANAm aDyAsaH nirasyata
   ityāha  asmatpratyayagocara ityādinā /	iti Aha  asmad pratyaya gocaraH ityAdinA /
   ahamitipratyayayogyatvaṃ buddhyāderapyastīti matvā tata ātmānaṃ	ahamiti pratyaya yogya tvam budDi AdeH api asti iti matvA tatas AtmAnam
   vivecayati  viṣayaṇīti /	vivecayati   vizayaNI iti /
   buddhyādisākṣiṇītyarthaḥ /	budDi Adi sAkziNI iti arTaH /
   sākṣitve hetuḥ  cidātmaka iti /	sAkzi tve hetuH  cit AtmakaH iti /
   ahamiti bhāsamāne cidaṃśātmanītyarthaḥ /	aham iti BAsamAne cit aMSa Atmani iti arTaH /
   yuṣmatpratyayagocarasyeti /	yuzmad pratyaya gocarasya iti /
   tvaṅkārayogyasya /	tvaFkAra yogyasya /
   idamarthasyetiyāvat /	idam arTasya itiyAvat /
   nanvahamiti bhāsamānabuddhyādeḥ kathamidamarthatvamityata āha  viṣayasyeti	nanu aham iti BAsamAna budDi AdeH kaTam idam arTa tvam iti atas Aha   vizayasya iti
   sākṣibhāsyasyetyarthaḥ /	sAkzi BAsi asya iti arTaH /
   sākṣibhāsyatvarūpalakṣaṇayogādbuddhyāderghaṭādivadidamarthatvaṃ na	sAkzi BAsya tva rUpa lakzaNa yogAt budDi AdeH Gawa Adi vat idamarTa tvam na
   pratibhāsata iti bhāvaḥ /	pratiBAsate iti BAvaH /
   athavā yadātmano mukhyaṃ sarvāntaratvarūpaṃ pratyaktvaṃ pratītatvaṃ	aTavA yadA AtmanaH muKyam sarva antara tva rUpam pratyaktvam pratIta tvam
   brahmāsmīti vyavahāragocaratvaṃ coktvaṃ tadasiddhaṃ, ahamiti	brahma asmi iti vyavahAra gocara tvam ca uktvam tat asidDaM, aham iti
   pratīyamānatvāt, ahaṅkāravadityāśaṅkyāha  asmatpratyayagocara iti /	pratIyamAna tva at, ahaFkAra vat iti ASaFkya aha   asmad pratyaya gocaraH iti /
   asmaccāsau pratyayaścāsau gocaraśca tasminnityarthaḥ /	asmat ca asO pratyayaH ca asO gocaraH ca tasmin= iti arTaH /
   ahaṃvṛttivyaṅyasphuraṇatvaṃ sphuraṇaviṣayatvaṃ vā hetuḥ /	ahaMvRtti vyaFya sPuraNa tvam sPuraNa vizaya tvam vA hetuH /
   ādye dṛṣṭānte hetvasiddhiḥ /	Adye dRzwAnte hetu asidDiH /
   dvitīye tu pakṣe tadasiddhirityātmano mukhyaṃ pratyaktvādi yuktamiti	dvitIye tu pakze tad asidDiH iti AtmanaH muKyam pratyaktvA Adi yuktam iti
   bhāvaḥ /	BAvaH /
   nanu yadātmano viṣayatvaṃ tadasiddhaṃ, anubhavāmīti śabdavatvāt,	nanu yadA AtmanaH vizaya tvam tat asidDaM, anuBavAmi iti Sabdava tvAt,
   ahaṅkāravadityata āha  viṣayaṇīti /	ahaFkAra vat iti atas Aha  vizayaNI iti /
   vācyatvaṃ lakṣyatvaṃ vā hetuḥ /	vAcya tvam lakzya tvam vA hetuH /
   nādyaḥ, pakṣe tadasiddheḥ /	na AdyaH, pakze tad asidDeH /
   nāntyaḥ, dṛṣṭānte tadvaikalyāditi bhāvaḥ /	na antyaH, dRzwAnte tad vEkalyAt iti BAvaH /
   dehaṃ jānāmīti dehāhaṅkārayorviṣayaviṣayitve 'pi manuṣyo	deham jAnAmi iti deha ahaFkArayoH vizaya vizayi tve api manuzyaH 
   'hamityabhedādhyāsavadātmāhaṅkārāyorapyabhedādhyāsaḥ syādityata	aham iti aBeda aDyAsa vat AtmA ahaFkArAyoH api aBeda aDyAsaH syAt iti ata
   āha  cidātmaka iti /	Aha  cit AtmakaH iti /
   tayorjāḍyālpatvābhyāṃ sādṛśyādadhyāse 'pi cidātmanyanavacchinne	tayoH jAxya alpa tvAByAm sAdRSyAt aDyAse api cit Atmani anavacCinne
   jaḍālpāhaṅkārādernādhyāsa iti bhāvaḥ /	jaxa alpa ahaFkAra AdeH na aDyAse iti BAvaH /
   ahamiti bhāsyatvādātmavadahaṅkārasyāpi pratyaktvāditaṃ mukhyameva, tataḥ	aham iti BAsya tvAt Atma vat ahaFkArasya api pratyaktvA Aditam muKyam eva, tatas 
   pūrvoktvaparāktvādyasiddhirityāśaṅkyāha  yuṣmaditi /	pUrva uktvaparAktvA Adi asidDiH iti ASaFkya aha   yuzmad iti /
   ahaṃvṛttibhāsyatvamahaṅkāre nāsti kartṛkarmatvavirodhāt, cidbhāsyatvaṃ	ahaMvRtti BAsya tvam ahaFkAre na asti kartR karma tva viroDAt, cit Ba Asya tvam
   cidātmani nāstīti hetvasiddhiḥ /	cit Atmani na asti iti hetu asidDiH /
   ato buddhyādeḥ pratibhāsataḥ pratyaktve 'pi parāktvādikaṃ mukhyameveti	atas budDi AdeH pratiBAsataH pratyaktve api parAktu Adikam muKyam eva iti
   bhāvaḥ /	BAvaH /
   yuṣmatparāktaccāsau pratiyata iti pratyayaścāsau	yuzmad parAk tat ca asO pratiyate iti pratyayaH ca asO
   kartṛtvādivyavahāragocaraśca tasyeti vigrahaḥ /	kartR tva Adi vyavahAra gocaraH ca tasya iti vigrahaH /
   tasya heyatvārthamāha  viṣasyeti /	tasya heya tva arTam Aha  vizasya iti /
   piñ bandhane /	pin banDane /
   visinoti badhnāti iti viṣayastasyetyarthaḥ /	visinoti baDnAti iti vizayaH tasya iti arTaH /
   ātmanyanātmataddharmādhyāso mithyā bhavatu, anātmanyātmataddharmādhyāsaḥ	Atmani anAtma tad Darma aDyAsaH miTyA Bavatu, anAtmani Atma tad Darma aDyAsaH
   kiṃ na syāt, ahaṃ sphurāmi	kim na syAt, aham sPurAmi
   sukhītyādyanubhavādityāśaṅkyāha  tadviparyayeṇeti /	suKI ityAdi anuBavAt iti ASaFkya aha   tad viparyayeNa iti /
   tasmādanātmano viparyayo viruddhasvabhāvaścaitanyam /	tasmAt anAtmanaH viparyayaH virudDa svaBAvaH cEtanyam /
   itthaṃbhāve tṛtīyā /	itTaMBAve tRtIyA /
   caitanyātmanā viṣayiṇastaddharmāṇāṃ ca yo 'haṅkārādau viṣaye 'dhyāsaḥ sa	cEtanya AtmanA vizayiNaH tad DarmANAm ca yaH ahaFkAra AdO vizaye aDyAsaH sa
   mithyeti nāstīti bhavituṃ yuktam, adhyāsasāmagryabhāvāt /	miTyA iti na asti iti Bavitum yuktam, aDyAsasAmagrya BAvAt /
   na hyatra pūrvapramāhitasaṃskāraḥ sādṛśyamajñānaṃ vāsti /	na hi atra pUrva pramAhita saMskAraH sAdRSyam ajQAnam vA asti /
   niravayavanirguṇasvaprakāśātmani guṇāvayavasādṛśyasya cājñānasya cāyogāt	niravayava nirguNa sva prakASa Atmani guNa avayava sAdRSyasya ca ajQAnasya ca ayogAt 
   nanvātmanonirguṇatve taddharmāṇāmiti bhāṣyaṃ kathamiti cet,	nanu AtmanaH nirguNa tve tad DarmANAm iti BAzyam kaTam iti ced ,
   ucyate  buddhivṛttyabhivyaktaṃ caitanyaṃ jñānaṃ, viṣayābhedenābhivyaktaṃ	ucyate  budDi vRtti aBivyaktam cEtanyam jQAnaM, vizaya aBedena aBivyaktam
   sphuraṇam, śubhakarmajanyavṛttivyaktamānanda ityevaṃ vṛttyupādhikṛtabhedāt	sPuraNam, SuBa karma janya vRtti vyaktam AnandaH iti evam vRtti upADi kRta BedAt 
   jñānādīnāmātmadharmatvavyapadeśaḥ /	jQAna AdInAm Atma Darma tva vyapadeSaH /
   taduktaṃ ṭīkāyāṃ 'ānando viṣayānubhavo nityatvaṃ ceti santi dharmā	tat uktam wIkAyAM  aAnandaH vizaya anuBavaH nitya tvam ca iti santi DarmA
   apṛthaktve 'pi caitanyatvāt pṛthagivāvabhāsante'iti /	apRTaktve api cEtanya tvAt pRTak iva avaBAsante aiti /
   ato nirguṇabrahmātmatvamate, ahaṃ karomīti pratīterarthasya	atas nirguNa brahma Atma tva mate, aham karomi iti pratIteH arTasya
   cādhyāsatvāyogātpramātvaṃ satyatvaṃ ca ahaṃ nara iti sāmānādhikaraṇyasya	ca aDyAsatva ayogAt pramAtvam satya tvam ca aham naraH iti sAmAnADikaraNyasya
   gauṇatvamiti matamāstheyam /	gONa tvam iti matam AsTeyam /
   tathā ca bandhasya satyatayā	taTA ca banDasya satyatayA
   jñānānnivṛttirūpaphalāsaṃbhavādbaddhamuktayorjīvabrahmaṇoraikyāyogena	jQAnAt nivRtti rUpa Pala asaMBavAt badDa muktayoH jIva brahmaNoH EkyA yogena
   viṣayāsaṃbhavāt śāstraṃ nārambhaṇīyamiti pūrvapakṣabhāṣyatātparyam /	vizaya asaMBavAt SAstram na AramBaNIyam iti pUrva pakza BAzya tAt paryam /
   yuktagrahaṇāt pūrvapakṣasya durbalatvaṃ sūcayati /	yukta grahaNAt pUrva pakzasya durbala tvam sUcayati /
   tathāhi  kimadhyāsasya nāstitvamayuktatvādabhānādvā kāraṇābhāvādvā?ādya	taTA hi  kim aDyAsasya na astitvam ayukta tvAt aBAnAt vA kAraNa aBAvAt vA?Adya
   iṣṭa ityāha  tathāpīti /	izwaH iti Aha   taTA api iti /
   etadanurodhādādau yadyapīti paṭhitavyam /	etat anuroDAt AdO yadi api iti paWitavyam /
   adhyāsasyāsaṅgasvaprakāśātmanyayuktatvamalaṅkāra iti bhāvaḥ /	aDyAsasya asaFga sva prakASa Atmani ayukta tvam alaFkAraH iti BAvaH /
   na dvitīya ityāha  ayamiti /	na dvitIyaH iti Aha   ayam iti /
   ajñaḥ kartā manuṣyo 'hamiti	ajQaH kartA manuzyaH aham iti
   pratyakṣānubhavādadhyāsasyābhānamasiddhamityarthaḥ /	pratyakza anuBavAt aDyAsasya ABAnam asidDam iti arTaH /
   na cedaṃ pratyakṣaṃ kartṛtvādau prameti vācyam /	na ca idam pratyakzam kartR tva AdO pramA iti vAcyam /
   apauruṣeyatayā nirdeṣeṇa, upakramādiliṅgāvadhṛtatātparyeṇa ca	apOruzeya tayA nirdezeNa, upakrama Adi liFga avaDRta tAtparyeNa ca
   tatvamasyādivākyenākartṛtvabrahmatvabodhanenāsya bhramatvaniścayāt /	tatvam asya Adi vAkyena AkartR tva brahma tva boDanena asya Bramatva niScayAt /
   na ca jyeṣṭhapratyakṣavirodhādāgamajñānasyaiva bādha iti vācyaṃ,	na ca jyezWa pratyakza viroDAt Agama jQAnasya eva bADaH iti vAcyaM,
   dehātmavādaprasaṅgāt, manuṣyo 'hamiti pratyakṣavirodhena	deha Atma vAda prasaFgAt, manuzyaH aham iti pratyakza viroDena
   'athāyamaśarīraḥ'ityādiśrutyā dehādanyātmāsiddheḥ /	aaTa ayam aSarIraH aiti Adi SrutyAH deha At anya Atma asidDeH /
   tasmādidaṃ rajatamitivatsāmānādhikaraṇyapratyakṣasya	tasmAt idam rajatam iti vat sAmAna aDikaraNya pratyakzasya
   bhramatvaśaṅkākalaṅkitasya nāgamātprābalyamityāstheyam /	Brama tva SaFkA kalaFkitasya na AgamAt prAbalyam iti AsTeyam /
   kiñca jyeṣṭhatvaṃ pūrvabhāvitvaṃ vā āgamajñānaṃ pratyupajīvyatvaṃ vā?ādye	kiQca jyezWa tvam pUrva BAvi tvam vA Agama jQAnam pratyupajIvya tvam vA?a Adye
   na prābalyam, jyeṣṭhasyāpi rajatabhramasya paścādbhāvinā śuktijñānena	na prAbalyam, jyezWasya api rajata Bramasya paScAt BAvinA Sukti jQAnena
   bādhadarśanāt /	bADa darSanAt /
   na dvitīyaḥ āgamajñānotpattau pratyakṣādimūlavṛddhavyavahāre	na dvitIyaH Agama jQAna utpattO pratyakza Adi mUla vRdDa vyavahAre
   saṃgatigrahadvārā, śabdopalabdhidvārā ca	saMgati graha dvArA, Sabda upalabDi dvArA ca
   pratyakṣādervyāvahārikaprāmāṇyasyopajīvyatve 'pi	pratyakza AdeH vyAvahArika prAmANyasya upajIvya tve api
   tāttvikaprāmāṇyasyānapekṣitatvāt, anapekṣitāṃśasyāgamena bādhāsaṃbhavāditi	tAttvika prAmANyasya anapekzita tva at, anapekzita aMSasya Agamena bADA saMBavAt iti
   yattu kṣaṇikayāgasya śrutibalātkālāntarabhāviphalahetutvavat 'tathā	yat tu kzaNika yAgasya Sruti balAt kAla antara BAvi Pala hetu tva vat ataTA
   vidvānnāmarūpādvimuktaḥ'iti śrutibalātsatyasyāpi	vidvAn nAma rUpAt vimuktaH aiti Sruti balAt satyasya api
   jñānānnivṛttisaṃbhavādadhyāsavarṇanaṃ vyarthamiti, tanna /	jQAnAt nivRtti saMBavAt aDyAsa varNanam vyarTam iti, tat naH /
   jñānamātranivartyasya kvāpi satyatvādarśanāt, satyasya cātmano	jQAna mAtra nivartyasya kvApi satya tva adarSanAt, satyasya ca AtmanaH 
   nivṛtyadarśanācca, ayogyatāniścaye sati satyabandhasya	nivRtya darSanAt ca, ayogyatA niScaye sati satya banDasya
   jñānānnivṛttiśruterbodhakatvāyogāt /	jQAnAt nivRtti SruteH boDaka tva ayogAt /
   na ca setudarśanātsatyasya pāpasya nāśarśanānnāyogyatāniścayā iti vācyaṃ,	na ca setu darSanAt satyasya pApasya na aSarSanAt na ayogya tA niScayAH iti vAcyaM,
   tasya śriddhāniyamādisāpekṣajñānanāśyatvāt /	tasya SridDA niyama Adi sApekza jQAna nASya tvAt /
   bandhasya ca 'nānyaḥ panthā'iti śrutyā jñānamātrānnivṛttipratīteḥ, ataḥ	banDasya ca anAnyaH panTA aiti SrutyA jQAna mAtrAt nivRtti pratIteH, atas 
   śrutajñānanivartyatvanirvāhārthamadhyastatvaṃ varṇaniyam /	Sruta jQAna nivartya tva nirvAha arTam aDyastatvam varNa niyam /
   kiṃ ca jñānaikanivartyasya kiṃ nāma satyatvam, na tāvadajñānājanyatvam /	kim ca jQAna eka nivartyasya kim nAma satya tvam, na tAvat ajQAnA janya tvam /
   'māyāṃ tu prakṛtim'iti śruti virodhānmāyāvidyayoraikyāt /	amAyAm tu prakRtim aiti Sruti viroDAn mAyA vidyayoH EkyAt /
   nāpi svādhiṣṭhāne svābhāvaśūnyatvaṃ 'asthūlam'ityādiniṣedhaśrutivirodhāt /	na api svADizWAne svABAva SUnya tvam aasTUlam aitya Adi nizeDa Sruti viroDAt /
   nāpi brahmavadbādhāyogyatvaṃ, jñānānnivṛttiśrutivirodhāt /	na api brahma vat bADa ayogya tvaM, jQAnAt nivRtti Sruti viroDAt /
   atha vyavahārakāle bādhaśūnyatvam, tarhi vyavahārikameva	aTa vyavahAra kAle bADa SUnya tvam, tarhi vyavahArikam eva
   satyatvamityāgatamadhyastatvam /	satya tvam iti Agatam aDyastatvam /
   tacca śrutyarthe yogyatā jñānārthaṃ varṇanīyameva, yāgasyāpūrvadvāratvavat	tat ca Sruti arTe yogyatA jQAna arTam varNanIyam eva, yAgasya apUrva dvAra tva vat 
   na ca tadanyatvādhikaraṇe tasya varṇanātpaunaruktyam, tatroktādhyāsasyaiva	na ca tad anyatva aDikaraNe tasya varNanAt pOnarukti am, tatra ukta aDyAsasya eva
   pravṛttyaṅgaviṣayādisiddhyarthamādau smāryamāṇatvāditi dik //	pravRtti aFga vizaya Adi sidDi arTam AdO smAryamANa tvAt iti diS //
   adhyāsaṃ dvedhā darśayati   lokavyavahāra iti /	aDyAsam dveDA darSayati    loka vyavahAraH iti /
   lokyate manuṣyo 'hamityabhimanyata iti lokor'thādhyāsaḥ, tadviṣayo	lokyate manuzyaH aham iti aBimanyate iti lokoH aTa aDyAsaH, tad vizayaH 
   vyavahāro 'bhimāna iti jñānādhyāso darśitaḥ /	vyavahAraH aBimAnaH iti jQAna aDyAsaH darSitaH /
   dvividhādhyāsasvarūpalakṣaṇamāha  anyonyasminityādinādharmadharmiṇoḥ	dviviDa aDyAsa svarUpa lakzaNam Aha  anyonyasmin ityAdinA aDarma DarmiNoH
   ityantena /	iti antena /
   jāḍyacaitanyādidharmāṇāṃ dharmiṇāvahaṅkārātmānau, tayoratyantaṃ	jAxya cEtanya Adi DarmANAm DarmiNO= ahaFkAra AtmAnO, tayoH atyantam
   bhinnayoritaretarabhedāgraheṇānyonyasmin anyonyatādātmyaṃ	BinnayoH itaretara Beda agraheNa anyonyasmin anyonya tAdAtmyam
   anyonyadharmāṃśca vyatyāsenādhyasya lokavyavahāra iti yojanā /	anyonya DarmAn= ca vyatyAsena aDyasya loka vyavahAraH iti yojanA /
   ataḥ so 'yamiti pramāyā nādhyāsatvam, tadidamarthayoḥ kālabhedena	atas saH ayam iti pramAyA na aDyAsa tvam, tat idam arTayoH kAla Bedena
   kalpitabhede 'pyatyantabhedābhāvāditi vaktumatyantetyuktam /	kalpita Bede api atyanta Beda aBAvAt iti vaktum atyantA iti uktam /
   na ca dharmitādātmyādhyāse dharmādhyāsasiddheḥ 'dharmāṃśca'iti vyarthamiti	na ca Darmi tAdAtmya aDyAse Darma aDyAsa sidDeH aDarmAn= ca aiti vyarTam iti
   vācyam, andhatvādīnāmindriyadharmāṇāṃ dharmyadhyāsāsphuṭatve 'pyandho	vAcyam, anDa tva AdInAm indriya DarmANAm DarmI aDyAsA sPuwa tve api anDo
   'hamiti sphuṭo 'dhyāsa iti jñāpanārthatvāt /	aham iti sPuwaH aDyAsaH iti jQApana arTa tvAt /
   nanvātmānātmanoḥ parasparādhyastatve śūnyavādaḥ	nanu AtmAnAtmanoH paraspara aDyastatve SUnya vAdaH
   syādityāśaṅkyāha  satyānṛte mithunīkṛtyeti /	syAt iti ASaFkya aha   satya anRte miTunIkRtya iti /
   satyamanidaṃ caitanyaṃ tasyānātmani saṃsargamātrādhyāso na svarūpasya /	satyam anidam cEtanyam tasya anAtmani saMsarga mAtra aDyAsaH na svarUpasya /
   anṛtaṃyuṣmadarthaḥ tasya svarūpato 'pyadhyāsāttayormithunīkaraṇamadhyāsa	anRtaMyuzmad arTaH tasya svarUpataH api aDyAsAt tayoH miTunIkaraNam aDyAsa
   iti na śūnyatetyarthaḥ //	iti na SUnyatA iti arTaH //
   nanvadhyāsamithunīkaraṇalokavyavahāraśabdānāmekārthatve 'dhyasya	nanu aDyAsa miTunIkaraNa loka vyavahAra SabdAnAm ekArTa tve aDyasya
   midhunīkṛtyeti pūrvakālatvavāciktvāpratyayādeśasya lyapaḥ kathaṃ prayoga	miDunIkRtya iti pUrva kAla tva vAciktvA pratyaya AdeSasya lyapaH kaTam prayoga
   iti cenna, adhyāsavyaktibhedāt /	iti ced na, aDyAsa vyakti BedAt /
   tatra pūrvapūrvādhyāsasyottarottarādhyāsaṃ prati saṃskāradvārā	tatra pUrva pUrva aDyAsasya uttarottara aDyAsam prati saMskAra dvArA
   pūrvakālatvena hetutvadyotanārthaṃ lyapaḥ prayogaḥ /	pUrva kAla tvena hetu tvat yotana arTam lyapaH prayogaH /
