   Abhidharmakośabhāṣyam	ABiDarma-koSa-BAzyam
   dauḥśīlyataddhetvahataṃ tadvipakṣaśamāśritam /	dOHSIlya-tad-hetu-ahatam tad-vipakzaSama-ASritam /
   samāhitaṃ tu kuśalaṃ bhāvanā cittavāsanāt // VAkK_4.123 //	samAhitam tu kuSalam BAvanA citta-vAsanAt // VAkK_4.123 //
   svargāya śīlaṃ prādhānyāt visaṃyogāya bhāvanā /	svargAya SIlam prADAnyAt visaMyogAya BAvanA /
   caturṇāṃ brāhmapuṇyatvaṃ kalpaṃ svargeṣu modanāt // VAkK_4.124 //	caturNAm brAhma-puNya-tvam kalpam svargezu modanAt // VAkK_4.124 //
   dharmadānaṃ yathābhūta sūtrādyakliṣṭadeśanā /	Darma-dAnam yaTABUta sUtra-Adi-aklizwa-deSanA /
   puṇyanirvāṇanirvedhabhāgīyaṃ kuśalaṃ tridhā // VAkK_4.125 //	puNya-nirvANa-nirveDa-BAgIyam kuSalam triDA // VAkK_4.125 //
   yogapravartitaṃ karma sasamutthāpakaṃ tridhā /	yoga-pravartitam karma sa-samutTApakam triDA /
   lipimudre sagaṇanaṃ kāvyaṃ saṃkhyā yathākramam // VAkK_4.126 //	lipi-mudre sa-gaNanam kAvyam saMKyA yaTAkramam // VAkK_4.126 //
   sāvadyā nivṛtā hīnāḥ kliṣṭāḥ dharmāḥ śubhāmalāḥ /	sAvadyAH nivRtAH hInAH klizwAH DarmAH SuBa-amalAH /
   praṇītāḥ saṃskṛtaśubhā sevyāḥ mokṣastvanuttaraḥ // VAkK_4.127 //	praNItAH saMskRta-SuBA sevyAH mokzaH-tu-anuttaraH // VAkK_4.127 //
   abhidharmakośe karmanirddeśo nāma caturtha kośasthānamiti //	aBiDarmakoSe karma-nirddeSaH nAma caturTa koSa-sTAnam-iti //
   pañcamaṃ kośasthānam	paQcamam koSa-sTAnam
   om namo buddhāya	om namaH budDAya
   mūlaṃ bhavasyānuśayāḥ ṣaḍrāgaḥ pratighastathā /	mUlam Bavasya-anuSayAH zaz-rAgaH pratiGaH-taTA /
   māno 'vidyā ca dṛṣṭiśca vicikitsā ca te punaḥ // VAkK_5.1 //	mAnaH avidyA ca dRzwiH-ca vicikitsA ca te punar // VAkK_5.1 //
   ṣaḍrāgabhedātsaptoktāḥ bhavarāgo dvidhātujaḥ /	zaz-rAga-BedAt-sapta-uktAH Bava-rAgaH dvi-DAtu-jaH /
   antarmukhatvāttanmokṣasaṃjñāvyāvṛttaye kṛtaḥ // VAkK_5.2 //	antar-muKa-tvAt-tad-mokza-saMjQA-vyAvRttaye kRtaH // VAkK_5.2 //
   dṛṣṭayaḥ pañca satkāyamithyāntagrahadṛṣṭayaḥ /	dRzwayaH paQca sat-kAya-miTyA-anta-graha-dRzwayaH /
   dṛṣṭiśīlavrataparāmarśāviti punardaśaḥ // VAkK_5.3 //	dRzwi-SIla-vrata-parAmarSO=-iti punar-daSaH // VAkK_5.3 //
   daśaite saptāsaptāṣṭau tridvidṛṣṭivivarjitāḥ /	daSA-ete sapta-Asapta-azwO tri-dvidRzwi-vivarjitAH /
   yathākramaṃ prahīyante kāme duḥkhādidarśanaiḥ // VAkK_5.4 //	yaTAkramam prahIyante kAme duHKa-Adi-darSanEH // VAkK_5.4 //
   catvāro bhāvanāheyāḥ ta evāpratighāḥ punaḥ /	catvAraH BAvanA-heyAH te eva-apratiGAH punar /
   rūpadhātau tathārūpye ityaṣṭānavatirmatāḥ // VAkK_5.5 //	rUpa-DAtO taTA-ArUpye iti-azwAnavatiH-matAH // VAkK_5.5 //
   bhavāgrajāḥ kṣāntivadhya dṛggheyā eva śeṣajāḥ /	Bava-agrajAH kzAnti-vaDya dRS-heyAH eva Seza-jAH /
   dṛgbhāvanābhyām akṣāntivadhyā bhāvanayaiva tu // VAkK_5.6 //	dRS-BAvanAByAm akzAnti-vaDyAH BAvanayA-eva tu // VAkK_5.6 //
   ātmātmīyadhruvocchedanāstihīnā gradṝṣṭayaḥ /	Atma-AtmIya-Druva-ucCedana-asti-hInAH gradLzwayaH /
   ahetvamārge taddṛṣṭiretāstāḥ pañca dṛṣṭayaḥ // VAkK_5.7 //	ahetu-amArge tad-dRzwiH-etAH-tAH paQca dRzwayaH // VAkK_5.7 //
   īśvarādiṣu nityātmaviparyāsāt pravartate /	ISvara-Adizu nitya-Atma-viparyAsAt pravartate /
   kāraṇābhiniveśo 'to dūḥkhadṛggheya eva saḥ // VAkK_5.8 //	kAraNa-aBiniveSaH atas dUHKa-dRS-heyaH eva saH // VAkK_5.8 //
   dṛṣṭitrayādviparyāsacatuṣkaṃ viparītataḥ /	dRzwi-trayAt-viparyAsa-catuzkam viparItataH /
   nitīraṇāt samāropāt saṃjñācitte tu tadvaśāt // VAkK_5.9 //	nitIraNAt samAropAt saMjQA-citte tu tad-vaSAt // VAkK_5.9 //
   sapta mānāḥ navavidhāstribhyaḥ dṛgbhāvanākṣayāḥ /	sapta mAnAH navaviDAH-triByaH dRS-BAvanA-kzayAH /
   vadhādiparyavasthānaṃ heyaṃ bhāvanayā tathā // VAkK_5.10 //	vaDa-Adi-paryavasTAnam heyam BAvanayA taTA // VAkK_5.10 //
   vibhavecchā na cāryasya saṃbhavanti vidhādayaḥ /	viBava-icCA na ca-Aryasya saMBavanti viDa-AdayaH /
   nāsmitā dṛṣṭipuṣṭatvāt kaukṛtyaṃ nāpi cāśubham // VAkK_5.11 //	na-asmitA dRzwi-puzwa-tvAt kOkRtyam na-api ca-aSuBam // VAkK_5.11 //
   sarvatragā duḥkhahetudṛggheyā dṛṣṭayastathā /	sarvatragAH duHKa-hetu-dRS-heyAH dRzwayaH-taTA /
   vimatiḥ saha tābhiśca yāvidyāveṇikī ca yā // VAkK_5.12 //	vimatiH saha tABiH-ca yA-avidyA-veNikI ca yA // VAkK_5.12 //
   navordhvālambanā eṣāṃ dṛṣṭidvayavivarjitāḥ /	nava-UrDva-AlambanAH ezAm dRzwi-dvaya-vivarjitAH /
   prāptivarjyāḥ sahabhuvo ye 'pyebhiste 'pi sarvagāḥ // VAkK_5.13 //	prApti-varjyAH sahaBuvaH ye api-eBiH-te api sarvagAH // VAkK_5.13 //
   mithyādṛgvimatī tābhyāṃ yuktāvidyātha kevalā /	miTyA-adRS-vimatI tAByAm yuktA-avidyA-aTa kevalAH /
   nirodhamārgadṛggheyāḥ ṣaḍanāsravagocarāḥ // VAkK_5.14 //	niroDa-mArga-dRS-heyAH zaxana-Asrava-gocarAH // VAkK_5.14 //
   svabhūmyuparamo mārgaḥ ṣaḍbhūminavabhūmikaḥ /	sva-BUmi-uparamaH mArgaH zaz-BUmi-nava-BUmikaH /
   tadgocarāṇāṃ viṣayo mārgo hyanyo 'nyahetukaḥ // VAkK_5.15 //	tad-gocarANAm vizayaH mArgaH hi-anyaH anya-hetukaH // VAkK_5.15 //
   na rāgastasya varjyatvāt na dveṣo 'napakārataḥ /	na rAgaH-tasya varjya-tvAt na dvezaH anapakArataH /
   na māno na parāmarśau śāntaśuddhyagrabhāvataḥ // VAkK_5.16 //	na mAnaH na parAmarSO SAnta-SudDi-agra-BAvataH // VAkK_5.16 //
   sarvatragā anuśayāḥ sakalāmanuśerate /	sarvatragAH anuSayAH sakalAm-anuSerate /
   svabhūmimālambanataḥ svanikāyamasarvagāḥ // VAkK_5.17 //	sva-BUmim-AlambanataH sva-nikAyam-asarvagAH // VAkK_5.17 //
   nānāsravordhvaviṣayāḥ asvīkārādvipakṣataḥ /	nAnA-Asrava-UrDva-vizayAH asvIkArAt-vipakzataH /
   yena yaḥ saṃprayuktastu sa tasmin saṃprayogataḥ // VAkK_5.18 //	yena yaH saMprayuktaH-tu sa tasmin saMprayogataH // VAkK_5.18 //
   ūrdhvamavyākṛtāḥ sarve kāme satkāyadarśanam /	UrDvam-avyAkRtAH sarve kAme sat-kAya-darSanam /
   antagrāhaḥ sahābhyāṃ ca mohaḥ śeṣāstvihāśubhāḥ // VAkK_5.19 //	anta-grAhaH sahAByAm ca mohaH SezAH-tu-iha-aSuBAH // VAkK_5.19 //
   kāme 'kuśalamūlāni rāgapratighamūḍhayaḥ /	kAme akuSala-mUlAni rAga-pratiGa-mUXayaH /
   trīṇyakuśalamūlāni tṛṣṇāvidyā matiśca sā // VAkK_5.20 //	trINi-akuSala-mUlAni tRzNA-avidyA matiH-ca sA // VAkK_5.20 //
   dvidhordhvavṛtternāto 'nyau catvāryeveti bāhyakāḥ /	dviDA-UrDva-vRtteH-na-atas anyO catvAri-eva-iti bAhyakAH /
   tṛṣṇādṛṅmānamohāste dhyāyitritvādavidyayā // VAkK_5.21 //	tRzNA-dRS-mAna-mohAH-te DyAyi-tri-tvAt-avidyayA // VAkK_5.21 //
   ekāṃśato vyākaraṇaṃ vibhajya paripṛcchya ca /	eka-aMSataH vyAkaraNam viBajya paripRcCya ca /
   sthāpyaṃ ca maraṇotpatti viśiṣṭātmānyatādivat // VAkK_5.22 //	sTApyam ca maraNa-utpatti viSizwa-Atma-anya-tA-Adi-vat // VAkK_5.22 //
   rāgapratighamānaiḥ syadatītapratyupasthitaiḥ /	rAga-pratiGamAnEH syat-atIta-pratyupasTitEH /
   yatrotpannāprahīṇāste tasmin vastuni saṃyutaḥ // VAkK_5.23 //	yatra-utpannA-prahINAH-te tasmin vastuni saMyutaH // VAkK_5.23 //
   sarvatrānāgatairebhirmānasaiḥ svādhvike paraiḥ /	sarvatra-anAgatEH-eBiH-mAnasEH svADvike parEH /
   ajaiḥ sarvatra śeṣaistu sarvaiḥ sarvatra saṃyutaḥ // VAkK_5.24 //	ajEH sarvatra SezEH-tu sarvEH sarvatra saMyutaH // VAkK_5.24 //
   sarvakālāstitā uktatvāt dvayāt sadviṣayāt phalāt /	sarva-kAla-astitAH ukta-tvAt dvayAt sat-vizayAt PalAt /
   tadastivādāt sarvāstivādā iṣṭāḥ caturvidhāḥ // VAkK_5.25 //	tad-astivAdAt sarva-astivAdAH izwAH caturviDAH // VAkK_5.25 //
   te bhāvalakṣaṇāvasthānyathānyathikasaṃjñitāḥ /	te BAva-lakzaNa-avasTA-an-yaTAnyaTika-saMjQitAH /
   tṛtīyaḥ śobhanaḥ adhvānaḥ kāritreṇa vyavasthitāḥ // VAkK_5.26 //	tRtIyaH SoBanaH aDvAnaH kAritreNa vyavasTitAH // VAkK_5.26 //
   kiṃ vighnaṃ tatkathaṃ nānyat adhvāyogaḥ tathā sataḥ /	kim viGnam tat-kaTam na-anyat aDvA-yogaH taTA sataH /
   ajātanaṣṭatā kena gambhīrā khalu dharmatā // VAkK_5.27 //	ajAtanazwatA kena gamBIrA Kalu DarmatA // VAkK_5.27 //
   prahīṇe duḥkhadṛggheye saṃyuktaḥ śeṣasarvagaiḥ /	prahINe duHKa-dRS-heye saMyuktaH Seza-sarva-gEH /
   prāk prahīṇe prakare ca śeṣaistadviṣayairmalaiḥ // VAkK_5.28 //	prAk prahINe prakare ca SezEH-tad-vizayEH-malEH // VAkK_5.28 //
   duḥkhahetudṛgabhyāsapraheyāḥ kāmadhātujāḥ /	duHKa-hetu-dRS-aByAsa-praheyAH kAmaDAtu-jAH /
   svakatrayaikarūpāptāmalavijñānagocarāḥ // VAkK_5.29 //	svakatraya-eka-rUpa-Apta-amala-vijQAna-gocarAH // VAkK_5.29 //
   svakādharatrayordhvaikāmalānāṃ rūpadhātujāḥ /	svaka-aDaratraya-UrDva-ekAmalAnAm rUpa-DAtu-jAH /
   ārūpyajāstridhātvātpatrayānāsravagocarāḥ // VAkK_5.30 //	ArUpya-jAH-triDA-tvAt-patrayAnAsrava-gocarAH // VAkK_5.30 //
   nirodhamārgadṛggheyāḥ sarve svādhikagocarāḥ /	niroDa-mArga-dRS-heyAH sarve sva-aDika-gocarAH /
   anāsravāstridhātvantyatrayānāsravagocarāḥ // VAkK_5.31 //	anAsravAH-triDAtu-anti-atrayAna-Asrava-gocarAH // VAkK_5.31 //
   dvidhā sānuśayaṃ kliṣṭamakliṣṭamanuśāyakaiḥ /	dviDA sa-anuSayam klizwam-aklizwam-anuSAyakEH /
   mohākāṅkṣā tato mithyādṛṣṭiḥ satkāyadṛktataḥ // VAkK_5.32 //	moha-AkAFkzA tatas miTyAdRzwiH satkAya-dRS-tatas // VAkK_5.32 //
   tato 'ntagrahaṇaṃ tasmācchīlāmarśaḥ tato dṛśaḥ /	tatas anta-grahaNam tasmAt-SIla-AmarSaH tatas dRSaH /
   rāgaḥ svadṛṣṭau mānaśca dveṣo 'nyatra ityanukramaḥ // VAkK_5.33 //	rAgaH sva-dRzwO mAnaH-ca dvezaH anyatra iti-anukramaH // VAkK_5.33 //
   aprahīṇādanuśayādviṣayāt pratyupasthitāt /	aprahINAt-anuSayAt-vizayAt pratyupasTitAt /
   ayoniśo manaskārāt kleśaḥ saṃpūrṇakāraṇaḥ // VAkK_5.34 //	ayoniSaH manaskArAt kleSaH saMpUrNa-kAraNaH // VAkK_5.34 //
   kāme saparyavasthānāḥ kleśāḥ kāmasravo vinā /	kAme sa-paryavasTAnAH kleSAH kAma-sravaH vinA /
   mohena anuśayā eva rūpārūpye bhavāsravaḥ // VAkK_5.35 //	mohena anuSayAH eva rUpa-ArUpye Bava-AsravaH // VAkK_5.35 //
   avyākṛtāntarmukhā hi te samāhitabhūmikāḥ /	avyAkRta-antarmuKAH hi te samAhita-BUmikAH /
   ata ekīkṛtāḥ mūlamavidyetyāsravaḥ pṛthak // VAkK_5.36 //	atas ekIkRtAH mUlam-avidyA-iti-AsravaH pRTak // VAkK_5.36 //
   tathaughayogā dṛṣṭīnāṃ pṛthagbhāvastu pāṭavāt /	taTA-oGa-yogAH dRzwInAm pRTak-BAvaH-tu pAwavAt /
   nāsraveṣvasahāyānāṃ na kilāsyānukūlatā // VAkK_5.37 //	na-Asravezu-asahAyAnAm na kila-Asya-anukUla-tA // VAkK_5.37 //
   yathoktā eva sāvidyā dvidhā dṛṣṭivivecanāt /	yaTA-uktAH eva sa-avidyA dviDA dRzwi-vivecanAt /
   upādānāni avidyā tu grāhikā ne ti miśritā // VAkK_5.38 //	upAdAnAni avidyA tu grAhikA ne ti miSritAH // VAkK_5.38 //
   aṇavo 'nugatāścaite dvidhā cāpyanuśerate /	aNavaH anugatAH-ca-ete dviDA ca-api-anuSerate /
   anubadhnanti yasmācca tasmādanuśayāḥ smṛtāḥ // VAkK_5.39 //	anubaDnanti yasmAt-ca tasmAt-anuSayAH smRtAH // VAkK_5.39 //
   āsayantyāsravantyete haranti śleṣayantyatha /	Asayanti-Asravanti-ete haranti Slezayanti-aTa /
   upagṛhṇanti cetyeṣāmāsravādiniruktayaḥ // VAkK_5.40 //	upagRhNanti ca-iti-ezAm-Asrava-Adi-niruktayaH // VAkK_5.40 //
   saṃyojanādibhedena punaste pañcadhoditāḥ /	saMyojana-Adi-Bedena punar-te paQcaDA-uditAH /
   dravyāmarśana sāmānyaddṛṣṭī saṃyojanāntaram // VAkK_5.41 //	dravya-AmarSana sAmAnyat-dRzwI saMyojana-antaram // VAkK_5.41 //
   ekāntākuśalaṃ yasmāt svatantraṃ cobhayaṃ yataḥ /	ekAnta-akuSalam yasmAt svatantram ca-uBayam yatas /
   īrṣyāmātsaryameṣūktaṃ pṛthak saṃyojanadvayam // VAkK_5.42 //	IrzyAmAt-saryamezu-uktam pRTak saMyojana-dvayam // VAkK_5.42 //
   pañcadhāvarabhāgīyaṃ dvābhyāṃ kāmānatikramaḥ /	paQcaDAvaraBAgIyam dvAByAm kAmAn-atikramaH /
   tribhistu punarāvṛttiḥ mukhamūlagrahāttrayam // VAkK_5.43 //	triBiH-tu punarAvRttiH muKa-mUla-grahAt-trayam // VAkK_5.43 //
   agantukāmatāmārgavibhramo mārgasaṃśayaḥ /	agantu-kAma-tA-mArga-viBramaH mArga-saMSayaH /
   ityantarāyā mokṣasya gamane 'tastrideśanā // VAkK_5.44 //	iti-antarAyAH mokzasya gamane atas-tri-deSanA // VAkK_5.44 //
   pañcadhaivordhvabhāgīyaṃ dvau rāgau rūpyarūpijau /	paQcaDA-eva-UrDva-BAgIyam dvO rAgO rUpya-rUpi-jO /
   auddhatyamānamohāśca vidvaśād bandhanatrayam // VAkK_5.45 //	OdDatyamAna-mohAH-ca vidvaSAt banDana-trayam // VAkK_5.45 //
   ye 'pyanye caitasāḥ kliṣṭāḥ saṃskāraskandhasaṃjñitāḥ /	ye api-anye ca-etasAH klizwAH saMskAra-skanDa-saMjQitAH /
   kleśebhyaste 'pyupakleśāste tu na kleśasaṃjñitāḥ // VAkK_5.46 //	kleSeByaH-te api-upakleSAH-te tu na kleSa-saMjQitAH // VAkK_5.46 //
   āhrīkyamanapatrapyamīrṣyāmātsaryamuddhavaḥ /	AhrIkyam-anapatrapyam-IrzyA-mAtsaryam-udDavaH /
   kaukṛtyaṃ styānamiddhaṃ ca paryavasthānamaṣṭadhā // VAkK_5.47 //	kOkRtyam styAnam-idDam ca paryavasTAnam-azwaDA // VAkK_5.47 //
   krodhamrakṣau ca rāgotthā āhrīkyauddhatyamatsarāḥ /	kroDamrakzO ca rAga-utTAH AhrIkya-OdDatya-matsarAH /
   mrakṣe vivādaḥ avidyātaḥ styānamiddhānapatrapāḥ // VAkK_5.48 //	mrakze vivAdaH avidyAtaH styAnam-idDa-ana-patrapAH // VAkK_5.48 //
   kaukṛtyaṃ vicikitsātaḥ kodherṣye pratighānvaye /	kOkRtyam vicikitsAtaH koDa-Irzye pratiGa-anvaye /
   anye ca ṣaṭkleśamalāḥ māyā śāṭhyaṃ madastathā // VAkK_5.49 //	anye ca zaz-kleSa-malAH mAyA SAWyam madaH-taTA // VAkK_5.49 //
   pradāśa upanāhaśca vihiṃsā ceti rāgajau /	pradASaH upanAhaH-ca vihiMsA ca-iti rAga-jO /
   māyāmadau pratighaje upanāhavihiṃsane // VAkK_5.50 //	mAyA-madO pratiGa-je upanAha-vihiMsane // VAkK_5.50 //
   dṛṣṭyāmarśāt pradāśastu śāṭhyaṃ dṛṣṭisamutthitam /	dRzwi-AmarSAt pradASaH-tu SAWyam dRzwi-samutTitam /
   tatrāhrīkyānapatrāpyastyānāmiddhoddhavā dvidhā // VAkK_5.51 //	tatra-ahrIkyAnapatra-api-astyAnAm-idDa-udDavAH dviDA // VAkK_5.51 //
   tadanye bhāvanāheyāḥ svatantrāśca tathā malāḥ /	tad-anye BAvanA-heyAH svatantrAH-ca taTA malAH /
   kāme 'śubhāḥ trayo dvidhā pareṇāvyākṛtāstataḥ // VAkK_5.52 //	kAme aSuBAH trayaH dviDA pareNa-avyAkRtAH-tatas // VAkK_5.52 //
   māyā śāṭhyaṃ ca kāmādyadhyānayoḥ brahmavañcanāt /	mAyA SAWyam ca kAma-Adi-aDyAnayoH brahma-vaQcanAt /
   styānauddhatyamadā dhātutraye anye kāmadhātujāḥ // VAkK_5.53 //	styAn-a-OdDatya-madAH DAtu-traye anye kAmaDAtu-jAH // VAkK_5.53 //
   samānasiddhā dṛggheyā manovijñānabhūmikāḥ /	samAna-sidDAH dRS-heyAH manaH-vijQAna-BUmikAH /
   upakleśāḥ svatantrāśca ṣaḍ vijñānāśrayāḥ pare // VAkK_5.54 //	upakleSAH svatantrAH-ca zaw vijQAna-ASrayAH pare // VAkK_5.54 //
   sukhābhyāṃ saṃprayukto hi rāgaḥ dveṣo viparyayāt /	suKAByAm saMprayuktaH hi rAgaH dvezaH viparyayAt /
   mohaḥ sarvaiḥ asaddṛṣṭirmanoduḥkhasukhena tu // VAkK_5.55 //	mohaH sarvEH asat-dRzwiH-manaH-duHKa-suKena tu // VAkK_5.55 //
   daurmanasyena kāṅkṣā anye saumanasyena kāmajāḥ /	dOrmanasyena kAFkzAH anye sOmanasyena kAma-jAH /
   sarve 'pyupekṣayā svaiḥ svairyathābhūmyūrdhvabhūmikāḥ // VAkK_5.56 //	sarve api-upekzayA svEH svEH-yaTA-BUmi-UrDva-BUmikAH // VAkK_5.56 //
   daurmanasyena kaukṛtyamīrṣyā krodho vihiṃsanam /	dOrmanasyena kOkRtyam-IrzyA kroDaH vihiMsanam /
   upanāhaḥ pradāśaśca mātsaryaṃ tu viparyayāt // VAkK_5.57 //	upanAhaH pradASaH-ca mAtsaryam tu viparyayAt // VAkK_5.57 //
   māyā śāṭhyamatho mrakṣo middhaṃ cobhayathā madaḥ /	mAyA SAWyam-aTo mrakzaH midDam ca-uBayaTA madaH /
   sukhābhyām sarvagopekṣā catvāryanyāni pañcabhiḥ // VAkK_5.58 //	suKAByAm sarva-gopekzA catvAri-anyAni paQcaBiH // VAkK_5.58 //
   kāme nivaraṇāni ekavipakṣāhārakṛtyataḥ /	kAme nivaraNAni eka-vipakza-AhAra-kRtyataH /
   dvayaketā pañcatā skandhavighātavicikitsanāt // VAkK_5.59 //	dvaya-ketA paQcatA skanDa-viGAta-vicikitsanAt // VAkK_5.59 //
   ālambanaparijñānāttadālambanasaṃkṣayāt /	Alambana-parijQAnAt-tad-Alambana-saMkzayAt /
   ālambanaprahāṇācca pratipakṣodayāt kṣayaḥ // VAkK_5.60 //	Alambana-prahANAt-ca pratipakza-udayAt kzayaH // VAkK_5.60 //
   prahāṇādhārabhūtattva dūṣaṇākhyaścaturvidhaḥ /	prahANa-ADAra-BUtattva dUzaNa-AKyaH-caturviDaH /
   pratipakṣaḥ prahātavyaḥ kleśa ālambanāt mataḥ // VAkK_5.61 //	pratipakzaH prahAtavyaH kleSaH AlambanAt mataH // VAkK_5.61 //
   vailakṣaṇyādvipakṣatvāddeśavicchedakālataḥ /	vElakzaNyAt-vipakza-tvAt-deSa-vicCeda-kAlataH /
   bhūtaśīlapradeśādhvadvayānāmiva dūratā // VAkK_5.62 //	BUta-SIla-pradeSa-aDva-dvayAnAm-iva dUra-tA // VAkK_5.62 //
   sakṛt kṣayaḥ visaṃyogalābhasteṣāṃ punaḥ pūnaḥ /	sakRt kzayaH visaMyoga-lABaH-tezAm punar pUnaH /
   pratipakṣodayaphalaprāptīndriyavivṛddhiṣu // VAkK_5.63 //	pratipakza-udaya-Pala-prApti-indriya-vivRdDizu // VAkK_5.63 //
   parijñā nava kāmādyaprakāradvayasaṃkṣayaḥ /	parijQA nava kAma-Adya-prakAra-dvaya-saMkzayaH /
   ekā dvayoḥ kṣaye dve te tathordhvaṃ tisra eva tāḥ // VAkK_5.64 //	ekA dvayoH kzaye dve te taTA-UrDvam tisraH eva tAH // VAkK_5.64 //
   anyā avarabhāgīyarūpasarvāsravakṣayāḥ /	anyAH avara-BAgIya-rUpa-sarva-Asrava-kzayAH /
   tisraḥ parijñāḥ ṣaṭ kṣāntiphalaṃ jñānasya śeṣitāḥ // VAkK_5.65 //	tisraH parijQAH zaw kzAnti-Palam jQAnasya SezitAH // VAkK_5.65 //
   anāgamyaphalaṃ sarvā dhyānānāṃ pañca vāthavā /	anAgamya-Palam sarvAH DyAnAnAm paQca vA-aTavA /
   aṣṭau sāmantakasyaikā maulārūpyatrayasya ca // VAkK_5.66 //	azwO sAmantakasya-ekA mOlA-rUpya-trayasya ca // VAkK_5.66 //
   āryamārgasya sarvāḥ dve laukikasya anvayasya ca /	Arya-mArgasya sarvAH dve lOkikasya anvayasya ca /
   dharmajñānasya tisrastu ṣaṭ tatpakṣasya pañca ca // VAkK_5.67 //	Darma-jQAnasya tisraH-tu zaw tad-pakzasya paQca ca // VAkK_5.67 //
   anāsravaviyogāpterbhavāgravikalīkṛteḥ /	anAsrava-viyoga-ApteH-Bava-agra-vikalIkRteH /
   hetudvayasamudghātāt parijñā dhātvatikramāt // VAkK_5.68 //	hetu-dvaya-samudGAtAt parijQA DAtu-atikramAt // VAkK_5.68 //
   naikayā pañcabhiryāvaddarśanasthaḥ samanvitaḥ /	na-ekayA paQcaBiH-yAvat-darSana-sTaH samanvitaH /
   bhāvanāsthaḥ punaḥ ṣaḍibharekayā vā dvayena vā // VAkK_5.69 //	BAvanA-sTaH punar zaz-iBarekayA vA dvayena vA // VAkK_5.69 //
   tāsāṃ saṃkalanaṃ dhātuvairāgyaphalalābhataḥ /	tAsAm saMkalanam DAtu-vErAgya-Pala-lABataH /
   ekāṃ dve pañca ṣaṭ kaścijjahātyāpnoti pañca na // VAkK_5.70 //	ekAm dve paQca zaz kaScid-jahAti-Apnoti paQca na // VAkK_5.70 //
   samāptaḥ parijñāprasaṅgaḥ //	samAptaH parijQA-prasaFgaH //
   abhidharmakośe 'nuśayanirddeśo nāma pañcamaṃ kośasthānaṃ samāptamiti //	aBiDarmakoSe anuSaya-nirddeSaH nAma paQcamam koSa-sTAnam samAptam-iti //
   śrīlāmāvākasya yadatra puṇyam /	SrI-lAmAvAkasya yat-atra puNyam /
   ṣaṣṭhaṃ kośasthānam	zazWam koSa-sTAnam
   om namo buddhāya //	om namaH budDAya //
   kleśaprahāṇāmākhyātaṃ satyadarśanabhāvanāt /	kleSa-prahANAm-AKyAtam satya-darSana-BAvanAt /
   dvividho bhāvanāmārgo darśanākhyastvanāsravaḥ // VAkK_6.1 //	dviviDaH BAvanA-mArgaH darSana-AKyaH-tu-anAsravaH // VAkK_6.1 //
   satyānyuktāni catvāri duḥkhaṃ samudayastathā /	satyAni-uktAni catvAri duHKam samudayaH-taTA /
   nirodhamārga iti eṣāṃ yathābhisamayaṃ kramaḥ // VAkK_6.2 //	niroDa-mArgaH iti ezAm yaTA-aBisamayam kramaH // VAkK_6.2 //
   duḥkhā stridūḥkhatāyogādyathāyogamaśeṣataḥ /	duHKAH stridUHKatA-yogAt-yaTAyogam-aSezatas /
   manāpā amanāpāśca tadanye caiva sāsravāḥ // VAkK_6.3 //	manApAH amanApAH-ca tad-anye ca-eva sa-AsravAH // VAkK_6.3 //
   yatra bhinnena tadbuddhiranyāpohe dhiyā ca tat /	yatra Binnena tad-budDiH-anyA-apohe DiyA ca tat /
   ghaṭārthavatsaṃvṛtisat paramārthasadanyathā // VAkK_6.4 //	Gawa-arTavat-saMvRti-sat paramArTa-sat-anyaTA // VAkK_6.4 //
   vṛttasthaḥ śrutacintāvānbhāvanāyāṃ prayujyate /	vRtta-sTaH Sruta-cintAvAn-BAvanAyAm prayujyate /
   nāmobhayārthaviṣayā śrutamayyādikā dhiyaḥ // VAkK_6.5 //	nAma-uBaya-arTa-vizayA Sruta-mayi-a-AdikAH DiyaH // VAkK_6.5 //
   vyapakarṣadvayavataḥ nāsaṃtuṣṭamahecchayoḥ /	vyapakarza-dvayavataH na-asaMtuzwa-mahA-icCayoH /
   labdhe bhūyaḥspṛhātuṣṭiralabdhecchā mahecchatā // VAkK_6.6 //	labDe BUyas-spRhA-tuzwiH-alabDa-icCA mahecCatA // VAkK_6.6 //
   viparyāsāttadvipakṣau tridhātvāptāmalau ca tau /	viparyAsAt-tad-vipakzO triDAtu-Apta-amalO ca tO /
   alobhaḥ āryavaṃśāśca teṣāṃ tuṣṭayātmakāstrayaḥ // VAkK_6.7 //	aloBaH Arya-vaMSAH-ca tezAm tuzwayA-AtmakAH-trayaH // VAkK_6.7 //
   karmāntena tribhirvṛttiḥ tṛṣṇotpādavipakṣataḥ /	karmAntena triBiH-vRttiH tRzNA-utpAda-vipakzataH /
   mamāha kāravastvicchātatkālātyantaśāntaye // VAkK_6.8 //	mama-Aha kAravaH-tu-icCA-tad-kAla-atyanta-SAntaye // VAkK_6.8 //
   tatrāvatāro 'śubhayā cānāpānasmṛtena ca /	tatra-avatAraH aSuBayA ca-anA-pAna-smRtena ca /
   adhirāgavitarkāṇām śaṃkalā sarvārāgiṇām // VAkK_6.9 //	aDirAga-vitarkANAm SaMkalA sarva-arAgiNAm // VAkK_6.9 //
   āsamudrāsthivistārasaṃkṣepādādikarmikaḥ /	Asamudra-asTi-vistAra-saMkzepAt-Adi-karmikaH /
