   Pāramitāsamāsaḥ	PAra mita asamAsaH
   jyotīṃṣi sarvāṇyapi saṃhitāni prajñāprabhāṃ nālamathopayātum /	jyotIMzi sarvANi api saMhitAni prajQA praBAm nAlam aTa upayAtum /
   atastayā nāsti parātivṛddhirgarīyasī vāparihāṇijātiḥ // Ps_6.27 //	atas tayA na asti para ativRdDiH garIyasI vA aparihANi jAtiH // Ps_6.27 //
   saṃpūrṇatāṃ yāti sukhena śikṣā śīlāya cittapraśamāya caiva /	saMpUrNa tAm yAti suKena SikzA SIlAya citta praSamAya ca eva /
   prajñābhiyuktasya yatastato 'syāṃ sarvābhisāreṇa parākrameta // Ps_6.28 //	prajQA aBiyuktasya yatas tatas asyAm sarva aBisAreNa parAkrameta // Ps_6.28 //
   yā skandhadhātvāyatanapravṛttau satyāśrayā pratyayitā parīkṣā /	yA skanDa DAtu Ayatana pravRttO satya ASrayA pratyayitA parIkzA /
   kālatraye 'pyeṣa samāsayuktyā prajñāvadātairviṣayapraveśaḥ // Ps_6.29 //	kAla traye api eza samAsa yuktyA prajQA avadAtEH vizaya praveSaH // Ps_6.29 //
   kīrtiṃ vitanvanti jinātmajānāṃ prajñāvadātāścaritapradeśāḥ /	kIrtim vitanvanti jina AtmajAnAm prajQA avadAtAH carita pradeSAH /
   guṇadvīṣāmapyatiduṣkuhāṇāṃ romāñcitā vismayapāratantryāt // Ps_6.30 //	guNa dvIzAm api ati duzkuhANAm romAQcitAH vismaya pAratantryAt // Ps_6.30 //
   prajñābalaṃ dīptataraprabhāvaṃ nālaṃ prasoḍhuṃ sabalo 'pi māraḥ /	prajQA balam dIptatara praBAvam nAlam prasoXum sa balaH api mAraH /
   prajñāṃśavo vibhramayānti cakṣurna draṣṭum īśo hi yataḥ sa eva // Ps_6.31	prajQA aMSavaH viBrama yAnti cakzuH na drazwum ISaH hi yatas saH eva // Ps_6.31
   kandarpanārācanipātasāhī prajñāmayaṃ varma vitatya citte /	kandarpa nArAca nipAta sAhI prajQA mayam varma vitatya citte /
   vyūḍhāni rūpaprabhṛtīnyanekānyeko 'pi nirbhīrabhibhūya yāti // Ps_6.32 //	vyUXAni rUpa praBRtIni anekAni ekaH api nirBIH aBiBUya yAti // Ps_6.32 //
   adhīrasātmyaṃ bhayaviklavaṃ vā mūḍhocitaṃ śokaparigrahaṃ vā /	aDIra sAtmyam Baya viklavam vA mUXa ucitam Soka parigraham vA /
   svalpātmacitteṣvavagāḍhamūlaṃ roṣoparāgaṃ parijihmitaṃ vā // Ps_6.33 //	su alpa Atma cittezu avagAXa mUlam roza uparAgam parijihmitam vA // Ps_6.33 //
   dīneṣu kārpaṇyamalīmasatvaṃ kṛtāspadaṃ rāgiṣu cāpalaṃ vā /	dInezu kArpaNya malIm asatvam kRta Aspadam rAgizu cApalam vA /
   tejovihīneṣvalasatvasattvaṃ samuddhateṣvapraśamātmakatvam // Ps_6.34 //	tejaH vihInezu alasatva sattvam samudDatezu apraSama Atmaka tvam // Ps_6.34 //
   tāṃstāṃśca līnānapi doṣaleśān pṛthagvidhiṣvāśrayagahvareṣu /	tAn= tAn= ca lInAn api doza leSAn pRTak viDizu ASraya gahvarezu /
   samudbhavantyeva parākaroti prajñā pratijñeva jagaddhitārthā // Ps_6.35 //	samudBavanti eva parAkaroti prajQA pratijQA iva jagat hita arTAH // Ps_6.35 //
   niveśya doṣakṣayadhīrasaumyāṃ bhavasya tasyopari dṛṣṭilakṣmīm /	niveSya doza kzaya DIra sOmyAm Bavasya tasya upari dRzwi lakzmIm /
   svayaṃ munīndrairabhiṣicyate yat prahlādinā vyākaraṇāmṛtena // Ps_6.36 //	svayam muni indrEH aBizicyate yat prahlAdinA vyAkaraNa amRtena // Ps_6.36 //
   ūrṇāprabhābhiśca mahāmunīnāṃ niśīthacandradyutihāsinībhiḥ /	UrNA praBABiH ca mahA munInAm niSITa candra dyuti hAsinIBiH /
   yadājyadhārābhirivādhvaragnirvibhāti mūrdhanyabhiṣicyamānaḥ // Ps_6.37 //	yat A Ajya DArABiH iva aDvaragniH viBAti mUrDani aBizicyamAnaH // Ps_6.37 //
   avāpya yasmān muniyauvarājyaṃ samaṃ samantād visṛtātmabhāvaḥ /	avApya yasmAt muni yOvarAjyam samam samantAt visRta Atma BAvaH /
   lokasya duḥkhaṃ praśamatyayatnād rajo mahāmegha iva pravṛṣṭaḥ // Ps_6.38	lokasya duHKam praSamati ayatnAt rajaH mahA meGaH iva pravRzwaH // Ps_6.38
   prajñāprabhāvopanataḥ sa sarvaḥ prabhāvisāraḥ sugatātmajānām /	prajQA praBAva upanataH sa sarvaH praBA visAraH sugata AtmajAnAm /
   ko vismayo vātra sutapriyāyā mātuḥ samīyādyadiyaṃ vibhūtiḥ // Ps_6.39 //	kaH vismayaH vA atra suta priyAyAH mAtuH samIyAdyat iyam viBUtiH // Ps_6.39 //
   daśaprakāro 'pi yadā munīnāṃ tadāśrayādeva balaprakarṣaḥ /	daSa prakAraH api yadA munInAm tad ASrayAt eva bala prakarzaH /
   udetyasādhāraṇasundaraśca śeṣo 'pyasaṃkhyo guṇaratnarāśiḥ // Ps_6.40 //	udeti asADAraNa sundaraH ca SezaH api asaMKyaH guNa ratna rASiH // Ps_6.40 //
   śāstrāṇi cakṣuḥpratimāni loke nidhānabhūtāṃśca kalāviśeṣān /	SAstrANi cakzuH pratimAni loke niDAna BUtAn= ca kalA viSezAn /
   mantrān paritrāṇakṛto vicitrān dharmavyavasthāśca pṛthagviśeṣāḥ // Ps_6.41	mantrAn paritrANa kRtaH vicitrAn Darma vyavasTAH ca pRTak viSezAH // Ps_6.41
   paryāyacitraṃ ca vimokṣamārgaṃ tattacca lokasya hitopapādi /	paryAya citram ca vimokza mArgam tat tat ca lokasya hita upapAdi /
   yadbodhisattvāḥ pravidarśayanti prajñāprabhāvābhyudayaḥ sa sarvaḥ //	yat boDisattvAH pravidarSayanti prajQA praBAva aByudayaH sa sarvaH //
   Ps_6.42 //	Ps_6.42 //
   divyapratispardhibhirindriyārthairnarendrabhāve 'pi hi bodhisattvāḥ /	divya pratisparDiBiH indriya arTEH narendra BAve api hi boDisattvAH /
   na yadvirūpāṃ prakṛtiṃ vrajanti prajñā guṇāmātyasanāthatā sā // Ps_6.43 //	na yat virUpAm prakRtim vrajanti prajQA guNa amAtya sanATa tA sA // Ps_6.43 //
   paropakāraikarasā ca maitrī rāgoparāgaprativarjitā ca /	para upakAra ekarasA ca mEtrI rAga uparAga prativarjitA ca /
   parasya duḥkheṣu parā dayā ca na śokabhārālasatāṃ gatā ca // Ps_6.44 //	parasya duHKezu parA dayA ca na Soka BAra alasa tAm gatA ca // Ps_6.44 //
   anuddhātatvaṃ mudite 'pi citte tamonirārambhamupekṣitaṃ ca /	anudDAta tvam mudite api citte tamaH niH AramBam upekzitam ca /
   te te guṇā<;ś>;cābhyadhikaṃ vibhānti prajñāniruddhapratipakṣamārgāḥ //	te te guNA<;S>;ca aByaDikam viBAnti prajQA nirudDa pratipakza mArgAH //
   Ps_6.45 //	Ps_6.45 //
   ko nāma lokasya parārthasādhurduḥkhaikahetūni tamāṃsi hanyāt /	kaH nAma lokasya para arTa sADuH duHKa eka hetUni tamAMsi hanyAt /
   avyāhatā jñānaśayāśayeṣu prajñā na cet syādatisūryādīptiḥ // Ps_6.46 //	avyAhatA jQAna Saya ASayezu prajQA na ced syAt ati sUryAdIptiH // Ps_6.46 //
   tatprāptaye śrutam aśītivikalpacitraṃ saṃceyam āśrayasahaṃ gurumabhyupetya	tad prAptaye Srutam aSIti vikalpa citram saMceyam ASraya saham gurum aByupetya
   dvātriṃśatā tadadhigamya vivardhayeta samyaṅmanaḥ	dvAtriMSatA tat aDigamya vivarDayeta samyak manaH
   samavadhānakṛtairviśeṣaiḥ // Ps_6.47 //	samavaDAna kRtEH viSezEH // Ps_6.47 //
   alpaśruto 'ndha iva vetti na bhāvanāyā mārgaṃ vicintayati kāni ca	alpa SrutaH anDaH iva vetti na BAvanAyAH mArgam vicintayati kAni ca
   tadvihīnaḥ /	tad vihInaH /
   tasmācchrutaṃ prati yateta tadāśrayā hi prajñā samudbhavati	tasmAt Srutam prati yateta tad ASrayA hi prajQA samudBavati
   cintanabhāvanābhyām // Ps_6.48 //	cintana BAvanAByAm // Ps_6.48 //
   praśnairavigrahamukhaiśca kathāviśeṣairmīmāṃsayārthagativīkṣaṇayā svayaṃ	praSnEH avigraha muKEH ca kaTA viSezEH mImAMsayA arTa gati vIkzaNayA svayam
   ca /	ca /
   prajñāvivṛddhimabhitaḥ prayateta nityaṃ dhyānena tadguṇavivṛddhikareṇa	prajQA vivRdDim aBitas prayateta nityam DyAnena tad guNa vivRdDi kareNa
   caiva // Ps_6.49 //	ca eva // Ps_6.49 //
   prajñābhyupāyavidhireṣa samāsatastu dhyānaṃ tadarthaniyataḥ	prajQA aByupAya viDiH eza samAsatas tu DyAnam tad arTa niyataH
   śrutivistaraśca /	Sruti vistaraH ca /
   tābhyāṃ samudbhavati hi prabhavo guṇānāṃ prajñāprabhāsamudayo	tAByAm samudBavati hi praBavaH guNAnAm prajQA praBA samudayaH 
   'gnirivāraṇībhyāṃ // Ps_6.50 //	agniH iva araNIByAm // Ps_6.50 //
   vidvajjanācaritamārgasamāśrayācca saṃmohahetugahanāni vivarjayeta /	vidvat jana Acarita mArga samASrayAt ca saMmoha hetu gahanAni vivarjayeta /
   tairāvṛto na hi vibhātyudayasthito 'pi toyāvalambijaladāntaritaḥ śaśīva //	tEH AvRtaH na hi viBAti udaya sTitaH api toya avalambi jalada antaritaH SaSI iva //
   Ps_6.51 //	Ps_6.51 //
   ālasyajṛmbhitamatitvam asatsahāyā nidrānivṛttiraviniścayaśīlatā ca /	Alasya jRmBitam ati tvam asat sahAyA nidrA nivRttiH aviniScaya SIla tA ca /
   jñāne muneriva kutūhalitānivṛttirmithyābhimānaparisaṃkucitāśca pṛcchāḥ //	jQAne muneH iva kutUhalita anivRttiH miTyA aBimAna parisaMkucitAH ca pRcCAH //
   Ps_6.52 //	Ps_6.52 //
   dainyena cātmaparitāpasamudbhavena vidvajjanābhigamanādarakātaratvam /	dEnyena ca Atma paritApa samudBavena vidvat jana aBigamana Adaraka atara tvam /
   mithyāvikalpapaṭutā vitathā ca dṛṣṭirmohāya tatpraśamanāya tu tadvipakṣāḥ	miTyA vikalpa pawu tA vitaTA ca dRzwiH mohAya tad praSamanAya tu tad vipakzAH
   // Ps_6.53 //	// Ps_6.53 //
   skandheṣu sāyatanadhātuṣu satyayuktyo<;r>; hetudbhaveṣu śucayānavinirṇaye	skanDezu sa Ayatana DAtuzu satya yuktyA U<;r>; hetudBavezu Suca yAna vinirNaye
   ca /	ca /
   dharmeṣu kauśalamaśeṣata eva yacca prajñāprayogaviṣayo 'ṣṭavikalpa eṣaḥ //	Darmezu kOSalam aSezatas eva yat ca prajQA prayoga vizayaH azwa vikalpaH ezaH //
   Ps_6.54 //	Ps_6.54 //
   niḥsāraphenanicayairaviśeṣi rūpaṃ tisro 'pi budbudalavā iva vedanāśca /	niHsAra Pena nicayEH aviSezi rUpam tisraH api budbuda lavAH iva vedanAH ca /
   saṃjñāpi kāmaguṇaviprasṛtān satṛṣṇān bālān mṛgāniva vilobhayate marīciḥ //	saMjQA api kAma guNa viprasRtAn sa tRzNAn bAlAt mRgAn iva viloBayate marIciH //
   Ps_6.55 //	Ps_6.55 //
   saṃskārajātirapi tulyaguṇā kadalyā vijñānato 'pi na ca yuktatarāsti māyā /	saMskAra jAtiH api tulya guNA kadalyA vijQAnataH api na ca yuktatara asti mAyA /
   yanniśrayādbhramati naikavikalpaceṣṭaṃ bhūtābhibhūtakuṇapapratimaṃ śarīram	yat niSrayAt Bramati na eka vikalpa cezwam BUta aBiBUta kuNapa pratimam SarIram
   // Ps_6.56 //	// Ps_6.56 //
   nātmā tadīyamapi cātra na kiṃ cid asti saṃghāta eṣa vividhāśūcisaṃnidhānaḥ	na AtmA tadIyam api ca atra na kim cit asti saMGAtaH eza viviDa aSUci saMniDAnaH
   bālān pralambhayata eva ca sattvasaṃjñā svacchandaceṣṭa iva yantravidhau	bAlAn pralamBayataH eva ca sattva saMjQA svacCanda cezwaH iva yantra viDO
   suyukte // Ps_6.57 //	su yukte // Ps_6.57 //
   ātmā na cakṣurapi ca kṣaṇabhaṅguratvāt tadvan na cakṣuṣi na cātra yathaiva	AtmA na cakzuH api ca kzaNa BaFgura tvAt tadvat na cakzuzi na ca atra yaTA eva
   cakṣuḥ /	cakzuH /
   ādhyātmikāyatanaśeṣam aśeṣam evam ātmīyavastuviṣayo 'pi ca tadvivekī //	ADyAtmika Ayatana Sezam aSezam evam AtmIya vastu vizayaH api ca tad vivekI //
   Ps_6.58 //	Ps_6.58 //
   bāhyeṣu dhātuṣu śarīrasamāśritānāṃ nālpo 'pi lakṣaṇavirodhakṛto 'sti	bAhyezu DAtuzu SarIra samASritAnAm na alpaH api lakzaNa viroDa kRtaH asti
   bhedaḥ /	BedaH /
   vijñānadhāturapi ca kṣaṇikaḥ sa nātmā tasmātparo 'pi ca nabhaḥkusumaiḥ	vijQAna DAtuH api ca kzaNikaH sa na AtmA tasmAt paraH api ca naBaH kusumEH
   samānaḥ // Ps_6.59 //	samAnaH // Ps_6.59 //
   ityetadudbhavati kevalameva duḥkhaṃ tṛṣṇāvimūḍhamanaso vigmāttu tasyāḥ /	iti etat udBavati kevalam eva duHKam tRzNA vimUXa manasaH vigmAt tu tasyAH /
   śāntiḥ parā bhavati tarṣaharastu mārgaḥ śīlaṃ samādhipariśuddhatayā ca	SAntiH parA Bavati tarza haraH tu mArgaH SIlam samADi pariSudDa tayA ca
   dṛṣṭiḥ // Ps_6.60 //	dRzwiH // Ps_6.60 //
   tattatpratītya bhavatīti viśuddhadṛṣṭirnāstyasti veti samupaiti sa naiva	tat tat pratItya Bavati iti viSudDa dRzwiH na asti asti vA iti samupEti sa na eva
   kiṃ cit /	kim cit /
   māyāmayaṃ jagadidaṃ pratibhāti tasya tasmāt sukhādiṣu bhavatyavikāradhīraḥ	mAyA mayam jagat idam pratiBAti tasya tasmAt suKa Adizu Bavati avikAra DIraH
   // Ps_6.61 //	// Ps_6.61 //
   āsīdbhaviṣyati ca yat tad apīdṛgeva kaḥ saṃbhavo yadasukhaṃ na bhaved	AsIt Bavizyati ca yat tat api IdRS eva kaH saMBavaH yat asuKam na Bavet 
   bhavebhyaḥ /	BaveByaH /
   evaṃ vyatītaviṣayeṣvapi vītarāgo naivābhinandati bhavāṃśca bhaviṣyato 'pi	evam vyatIta vizayezu api vIta rAgaH na eva aBinandati BavAn= ca BavizyataH api
   // Ps_6.62 //	// Ps_6.62 //
   ākārabhedaparuṣe puruṣo 'parādhī ko nāma gūḍhanakharasphuṭadṛṣṭicihne /	AkAra Beda paruze puruzaH aparADI kaH nAma gUXa naKara sPuwa dRzwi cihne /
   tatpraiṣyavṛttikapaṭānyanucintya rajyed viśvāsameva ca yathocitamatra	tad prEzya vRtti kapawAni anucintya rajyet viSvAsam eva ca yaTocitam atra
   yāyāt // Ps_6.63 //	yAyAt // Ps_6.63 //
   evaṃ vimuktamatirapyanukampakastu kleśāntaraṃ jagadanāthamavekṣamāṇaḥ /	evam vimukta matiH api anukampakaH tu kleSa antaram jagat anATam avekzamANaH /
   hīneṣu niṣpraṇayabuddhirudārabhāvān nirvātumicchati na buddhaguṇānalabdhvā	hInezu nizpraNaya budDiH udAra BAvAt nirvAtum icCati na budDa guNAn alabDvA
   // Ps_6.64 //	// Ps_6.64 //
   lokārthasādhanavidhāvasamartharūpaṃ yānadvayaṃ samavādhūya sa pūrvameva /	loka arTa sADana viDO= asamarTa rUpam yAna dvayam samavADUya sa pUrvam eva /
   kāruṇyadeśitapatho munirājayānam ātasthivān parahitaikarasasvabhāvam //	kAruNya deSita paTaH muniH AjayAnam AtasTivAn para hita eka rasa svaBAvam //
   Ps_6.65 //	Ps_6.65 //
   hīnociteṣu na matirnamati praṇītā saṃtiṣṭhate mahati nāmahatī kadā cit /	hIna ucitezu na matiH namati praNItA saMtizWate mahati na amahatI kadA cit /
   saṃsyandate śucibhireva śucisvabhāvaṃ tulyaistathānyadapi śāsvata eṣa	saMsyandate SuciBiH eva Suci svaBAvam tulyEH taTA anyat api SAsvataH eza
   yogaḥ // Ps_6.66 //	yogaH // Ps_6.66 //
   svapnopamāni vigaṇayya sukhāsukhāni saṃmohadoṣakṛpaṇāṃ janatāṃ ca teṣu /	svapna upamAni vigaNayya suKa asuKAni saMmoha doza kRpaNAm janatAm ca tezu /
   ātmārtha eva gurutāṃ katham asya yāyād vyāpārabhāramavadhūya	Atma arTaH eva guru tAm kaTam asya yAyAt vyApAra BAram avaDUya
   parārtharamyam // Ps_6.67 //	para arTa ramyam // Ps_6.67 //
   yaḥ sarvalokahitakāraṇasarvaceṣṭastyaktvātmadṛṣṭiviṣayaṃ vitathābhimānam /	yaH sarva loka hita kAraNa sarva cezwaH tyaktvA Atma dRzwi vizayam vitaTa aBimAnam /
   sarvatra śāntamatiradvayamārgacārī so 'tyadbhutaścaritanirvṛta eva loke //	sarvatra SAnta matiH advaya mArga cArI saH ati adButaH carita nirvRtaH eva loke //
   Ps_6.68 //	Ps_6.68 //
   prajñāviśuddhikaramuttamayānametat sarvajñatā tadudayā hi mahāmunīnām /	prajQA viSudDi karam uttama yAnam etat sarvajQa tA tad udayA hi mahA munInAm /
   lokasya yā nayanatāmiva saṃprayāti dīptāṃśumaṇḍalatalotpatitā prabheva //	lokasya yA nayana tAm iva saMprayAti dIpta aMSu maNxala tala utpatitA praBA iva //
   Ps_6.69 //	Ps_6.69 //
   saṃsāradoṣabharanirmathito 'pi naiva prajñāvivecanatayā parikhīdyate yaḥ /	saMsAra doza Bara nirmaTitaH api na eva prajQA vivecana tayA pariKIdyate yaH /
   nātmābhikhedapariviklavatāṃ sa yāti yānasya buddhaguṇasaṃjananasya loke //	na Atma aBiKeda pariviklava tAm sa yAti yAnasya budDa guNa saMjananasya loke //
   Ps_6.70 //	Ps_6.70 //
   paśyanti cābhutamayaṃ sugataprabhāvaṃ romāñcakañcukitasarvaśarīradeśāḥ /	paSyanti ca aButamayam sugata praBAvam romAQca kaQcukita sarva SarIra deSAH /
   tadgāminaṃ pariharanti ca yānamārgaṃ kiṃ nāma kāraṇamṛte śaṭhaceṣṭitebhyaḥ	tad gAminam pariharanti ca yAna mArgam kim nAma kAraNam Rte SaWa cezwiteByaH
   // Ps_6.71 //	// Ps_6.71 //
   ko nāma mārakalinānabhibhūtacetāḥ saṃbuddhadharmaguṇaratnanidhānabhūtam /	kaH nAma mAra kalinA anaBiBUta cetAH saMbudDa Darma guNa ratna niDAna BUtam /
   sarvajñayānamapayānam anarthapaṅkād ākroṣṭumarhati na cejjagato 'sya	sarvajQa yAnam apayAnam anarTa paFkAt Akrozwum arhati na ced jagataH asya
   vairam // Ps_6.72 //	vEram // Ps_6.72 //
   lokārthasādhanapare jinarājavaṃśe prajñānimīlitanayeṣu pariskhalatsu /	loka arTa sADana pare jinarAja vaMSe prajQA nimIli ta nayezu parisKalatsu /
   cittaṃ narasya karuṇāmṛdu kasya na syāt tanmohadoṣaśamanāya dṛḍhaṃ ca	cittam narasya karuNA mRdu kasya na syAt tad moha doza SamanAya dRXam ca
   vīryam // Ps_6.73 //	vIryam // Ps_6.73 //
   prajñāyā janayati yaḥ parāṃ viśuddhiṃ nirmokṣaḥ kathamiva tasya dūrataḥ	prajQAyAH janayati yaH parAm viSudDim nirmokzaH kaTam iva tasya dUratas 
   syāt /	syAt /
   naivāsmātparataramasti śīlam anyat tattasmād bhajata vimokṣakāṅkṣiṇo hi //	na eva asmAt parataram asti SIlam anyat tat tasmAt Bajata vimokza kAFkziNaH hi //
   Ps_6.74 //	Ps_6.74 //
   // prajñāpāramitāsa[māsa]ścāyaṃ pāramitāsamāsaḥ //	// prajQApAramitA sa[mAsa]H ca ayam pAramitA samAsaH //
   viśuddhamaunīndramanastaḍāgaprasūtasūtrāntasaroruhebhyaḥ /	viSudDa mOni indra manaH taxAga prasUta sUtra anta saroruheByaH /
   ādāya śurabhramareṇa samyag madhūrjitaṃ pāramitāsamāse //	AdAya Sura BramareNa samyak maDu Urjitam pAramitA samAse //
