   akartṛbhāvādbhoktuśca MrgT_1,2.15c	akartR-BAvAt-BoktuH-ca MrgT_1,2.15c
   karma saṃjīvanaṃ kuryād MrgT_3.25a	karma saMjIvanam kuryAt MrgT_3.25a
   karmānvayādrajobhūyān MrgT_1,12.4c	karma-anvayAt-rajaH-BUyAn MrgT_1,12.4c
   karmāstu vyāpakaṃ kalpyaṃ MrgT_1,11.16c	karma-astu vyApakam kalpyam MrgT_1,11.16c
   karmaivāstu śarīrādi MrgT_1,10.16c	karma-eva-astu SarIra-Adi MrgT_1,10.16c
   kala ityeṣa yo dhātuḥ MrgT_1,10.6a	kalaH iti-eza yaH DAtuH MrgT_1,10.6a
   kalayannā samutthānān MrgT_1,10.14c	kalayannA samutTAnAn MrgT_1,10.14c
   kalākhyaṃ taijasaṃ haraḥ MrgT_1,10.4b	kalA-AKyam tEjasam haraH MrgT_1,10.4b
   kalātattvapavitrāṇu- MrgT_3.5a	kalA-tattva-pavitrANu MrgT_3.5a
   kalātattvādajījanat MrgT_1,10.19b	kalA-tattvAt-ajIjanat MrgT_1,10.19b
   kalādibhyo maheśvaraḥ MrgT_1,13.1d	kalA-AdiByaH maheSvaraH MrgT_1,13.1d
   kalādergranthitastathā MrgT_1,9.21f	kalA-AdeH-granTitaH-taTA MrgT_1,9.21f
   kalādyārabdhadehānāṃ MrgT_1,4.9c	kalA-Adi-ArabDa-dehAnAm MrgT_1,4.9c
   kalā nānyaḥ patiḥ śivāt MrgT_1,13.164b	kalA na-anyaH patiH SivAt MrgT_1,13.164b
   kalāprāntāni maṇḍalam MrgT_1,13.2b	kalA-prAntAni maNxalam MrgT_1,13.2b
   kalāmeva janikṣamām MrgT_1,10.9b	kalAm-eva jani-kzamAm MrgT_1,10.9b
   kalāyoniḥ karoti kim MrgT_1,11.9d	kalA-yoniH karoti kim MrgT_1,11.9d
   kalā leḍhi kalāṃ māyā MrgT_1,13.189c	kalA leXi kalAm mAyA MrgT_1,13.189c
   kalpaśākhiṣu satsvapi MrgT_1,13.76b	kalpa-SAKizu satsu-api MrgT_1,13.76b
   kalpitāṇuvapuḥsthitiḥ MrgT_1,13.162d	kalpita-aNu-vapuH-sTitiH MrgT_1,13.162d
   kalpite 'pītaratra yat MrgT_1,11.16d	kalpite api-itaratra yat MrgT_1,11.16d
   kasmādutpadyate punaḥ MrgT_1,9.5b	kasmAt-utpadyate punar MrgT_1,9.5b
   kādraveyāḥ kuṭilako MrgT_1,13.30c	kAdraveyAH kuwilakaH MrgT_1,13.30c
   kānanaṃ bhadrako hradaḥ MrgT_1,13.80b	kAnanam BadrakaH hradaH MrgT_1,13.80b
   kāni prāṇādivṛttīnāṃ MrgT_4.44c	kAni prANa-Adi-vRttInAm MrgT_4.44c
   kāpālisaṅkare trīṇi MrgT_3.114c	kApAli-saFkare trINi MrgT_3.114c
   kāpālyannāśane matam MrgT_3.113d	kApAlyat-na-aSane matam MrgT_3.113d
   kāmadatvātkāmiketi MrgT_1,1.27c	kAma-da-tvAt-kAmikA-iti MrgT_1,1.27c
   kāmaprasādalakṣmīśa- MrgT_1,13.132a	kAma-prasAda-lakzmI-ISa MrgT_1,13.132a
   kāmavṛkṣaphalāśanaḥ MrgT_1,13.84b	kAma-vRkza-Pala-aSanaH MrgT_1,13.84b
   kāmaṃ caredanujñātaḥ MrgT_3.73a	kAmam caret-anujQAtaH MrgT_3.73a
   kāmātiśayasampannaḥ MrgT_1,13.118a	kAma-atiSaya-sampannaH MrgT_1,13.118a
   kāyo 'pyacittvādānyārthyaṃ MrgT_1,6.4a	kAyaH api-acittvA-dAnyArTyam MrgT_1,6.4a
   kārakaṃ ca kriyāśrayam MrgT_3.32b	kArakam ca kriyA-ASrayam MrgT_3.32b
   kāraṇaṃ jñānamajitaṃ MrgT_3.44a	kAraNam jQAnam-ajitam MrgT_3.44a
   kāraṇaṃ paramāṇavaḥ MrgT_1,9.9b	kAraNam paramANavaH MrgT_1,9.9b
   kāraṇāniyamo 'nyathā MrgT_1,9.4d	kAraNa-aniyamaH anyaTA MrgT_1,9.4d
   kāri saṃkalpadharmi ca MrgT_1,12.7b	kAri saMkalpa-Darmi ca MrgT_1,12.7b
   kārkoṭako 'tha kālāṅgo MrgT_1,13.31a	kArkowakaH aTa kAla-aFgaH MrgT_1,13.31a
   kāryarūḍhaiḥ sabhauvanaiḥ MrgT_1,10.13b	kArya-rUXEH sa-BOvanEH MrgT_1,10.13b
   kāryasyācittvadarśanāt MrgT_1,9.4b	kAryasya-acit-tva-darSanAt MrgT_1,9.4b
   kāryasyānādisaṃsthiteḥ MrgT_1,3.4b	kAryasya-anAdi-saMsTiteH MrgT_1,3.4b
   kāryaṃ kṣityādi karteśas MrgT_1,6.2a	kAryam kziti-Adi karteSaH MrgT_1,6.2a
   kāryaṃ tatkāraṇaṃ tathā MrgT_1,3.2d	kAryam tad-kAraNam taTA MrgT_1,3.2d
   kāryaṃ na sthitijanmādi MrgT_1,3.5c	kAryam na sTiti-janma-Adi MrgT_1,3.5c
   kārye kāraṇabuddhitaḥ MrgT_1,2.15b	kArye kAraNa-budDitaH MrgT_1,2.15b
   kārye kāraṇasaṃśrayaḥ MrgT_1,11.6d	kArye kAraNa-saMSrayaH MrgT_1,11.6d
   kāladhāmāvadhisthitān MrgT_1,4.11d	kAla-DAma-avaDi-sTitAn MrgT_1,4.11d
   kālapāśapitṛvyādi- MrgT_1,13.49c	kAla-pASa-pitRvyAdi MrgT_1,13.49c
   kālamṛtyuviyojakāḥ MrgT_1,13.127d	kAla-mRtyu-viyojakAH MrgT_1,13.127d
   kālasūtrāṣṭamā hyete MrgT_1,13.15c	kAlasUtra-azwamAH hi-ete MrgT_1,13.15c
   kālāgniriti viśrutaḥ MrgT_1,13.10d	kAlAgniH-iti viSrutaH MrgT_1,13.10d
   kālāgnestāvadeva hi MrgT_1,13.9d	kAlAgneH-tAvat-eva hi MrgT_1,13.9d
   kālātyayāpadiṣṭatvād MrgT_1,12.26a	kAla-atyaya-apadizwa-tvAt MrgT_1,12.26a
   kāle kalanaśaktimān MrgT_1,13.150d	kAle kalana-SaktimAn MrgT_1,13.150d
   kāle jagatsamutpādya MrgT_1,13.185c	kAle jagat-samutpAdya MrgT_1,13.185c
   kāle hitvāpāsravaṃ dehamāste MrgT_4.65c	kAle hitvA-apAsravam deham-Aste MrgT_4.65c
   kālo māyāsamudbhavaḥ MrgT_1,10.14b	kAlaH mAyA-samudBavaH MrgT_1,10.14b
   kā vārtā nākhiladhvaṃso MrgT_1,9.10c	kA vArtA na-aKila-DvaMsaH MrgT_1,9.10c
   kāsahāsādi sannidhau MrgT_3.68b	kAsa-hAsa-Adi sanniDO MrgT_3.68b
   kāṃsye vābhojanaṃ bhaikṣaṃ MrgT_3.13c	kAMsye vA-aBojanam BEkzam MrgT_3.13c
   kiñcitsāmānyato 'nyatra MrgT_1,11.3c	kiQcid-sAmAnyatas anyatra MrgT_1,11.3c
   kiñcidyuktyāpi leśataḥ MrgT_1,9.1d	kiQcid-yuktyA-api leSataH MrgT_1,9.1d
   kintu tacchaktayo 'nekā MrgT_1,7.10c	kintu tad-SaktayaH anekAH MrgT_1,7.10c
   kintu yatkriyate kiñcit MrgT_1,7.15c	kintu yat-kriyate kiQcid MrgT_1,7.15c
   kimarthaṃ nānuvartyate MrgT_1,1.4d	kimarTam na-anuvartyate MrgT_1,1.4d
   kimu citraṃ vapurdāntair MrgT_4.58a	kimu citram vapuH-dAntEH MrgT_4.58a
   kiraṇaṃ vātulaṃ param MrgT_3.47b	kiraNam vAtulam param MrgT_3.47b
   kiṃ ca cetasi saṃsthāpya MrgT_1,1.22c	kim ca cetasi saMsTApya MrgT_1,1.22c
   kiṃ ca vyastasamastānāṃ MrgT_4.40a	kim ca vyasta-samastAnAm MrgT_4.40a
   kiṃcicchiṣṭe ca dehinām MrgT_1,5.8d	kiMcid-Sizwe ca dehinAm MrgT_1,5.8d
   kiṃ tu prāṇāyatiṃ vinā MrgT_3.120d	kim tu prANAyatim vinA MrgT_3.120d
   kiṃtu yaḥ patibhedo 'smin MrgT_1,13.164c	kiMtu yaH pati-BedaH asmin MrgT_1,13.164c
   kiṃtveko 'stu mama praṣṭā MrgT_1,1.20c	kiMtu-ekaH astu mama prazwA MrgT_1,1.20c
   kiṃtvaindavavrataprānte MrgT_3.113c	kiMtu-Endava-vrata-prAnte MrgT_3.113c
   kīlake ca ravīndusthe MrgT_3.56a	kIlake ca ravi-indu-sTe MrgT_3.56a
   kutaścilliṅgino 'pi vā MrgT_3.81d	kutaScid-liFginaH api vA MrgT_3.81d
   kumārikākhyo navamo MrgT_1,13.95c	kumArikA-AKyaH navamaH MrgT_1,13.95c
   kumbhako recakaśceṣṭo MrgT_4.27a	kumBakaH recakaH-cezwaH MrgT_4.27a
   kumbhasnātaḥ śubhe dine MrgT_3.77b	kumBa-snAtaH SuBe dine MrgT_3.77b
   kumbhīpākaḥ sarauravaḥ MrgT_1,13.19d	kumBIpAkaH sa-rOravaH MrgT_1,13.19d
   kurukṣetragayākhalāḥ MrgT_1,13.138d	kurukzetra-gayAKalAH MrgT_1,13.138d
   kuruvarṣaṃ taducyate MrgT_1,13.70d	kuru-varzam tat-ucyate MrgT_1,13.70d
   kuryāttānītarāṇyataḥ MrgT_3.28d	kuryAt-tAni-itarANi-atas MrgT_3.28d
   kuryātparigrahaṃ vidvān MrgT_3.98a	kuryAt-parigraham vidvAn MrgT_3.98a
   kuryātpūjājapādikam MrgT_3.88b	kuryAt-pUjA-japa-Adikam MrgT_3.88b
   kuryādyatnamataḥ param MrgT_3.24d	kuryAt-yatnam-atas param MrgT_3.24d
   kuryādvidhyuditaṃ ca yat MrgT_3.72d	kuryAt-viDi-uditam ca yat MrgT_3.72d
   kuryānno vidhṛtaściram MrgT_3.83d	kuryAt-naH viDRtaH-ciram MrgT_3.83d
   kurvatī tamasaḥ kalā MrgT_1,10.6d	kurvatI tamasaH kalA MrgT_1,10.6d
   kurvantyanugrahaṃ puṃsāṃ MrgT_1,4.6c	kurvanti-anugraham puMsAm MrgT_1,4.6c
   kurvannapānaśabdena MrgT_1,11.24c	kurvan=-apAna-Sabdena MrgT_1,11.24c
   kurvansamāna ityukto MrgT_1,11.25c	kurvan-samAnaH iti-uktaH MrgT_1,11.25c
   kuśo 'bhūtkāñcanaḥ kauśe MrgT_1,13.99a	kuSaH aBUt-kAQcanaH kOSe MrgT_1,13.99a
   kūṣmāṇḍa iti vikhyātaḥ MrgT_1,13.23c	kUzmANxaH iti viKyAtaH MrgT_1,13.23c
   kṛcchraṃ vā pratiṣaṇmāsaṃ MrgT_3.127a	kRcCram vA pratizaz-mAsam MrgT_3.127a
   kṛtacittavyavasthitiḥ MrgT_4.34d	kRta-citta-vyavasTitiH MrgT_4.34d
   kṛtapraṇāmo 'nujñāto MrgT_3.66c	kRta-praNAmaH anujQAtaH MrgT_3.66c
   kṛtayatnasya yoginaḥ MrgT_4.10b	kRta-yatnasya yoginaH MrgT_4.10b
   kṛtarakṣaḥ smarannastraṃ MrgT_3.83a	kRta-rakzaH smaran=-astram MrgT_3.83a
   kṛtārthaṃ prāgudaṅmukhaḥ MrgT_3.33b	kRtArTam prAc-udak-muKaH MrgT_3.33b
   kṛtārtho 'smīti yā matiḥ MrgT_1,11.2d	kRtArTaH asmi-iti yA matiH MrgT_1,11.2d
   kṛtāvāsaḥ sadā janaḥ MrgT_1,13.106d	kRta-AvAsaH sadA janaH MrgT_1,13.106d
   kṛtyabhedopacāreṇa MrgT_1,13.165a	kRtya-Beda-upacAreNa MrgT_1,13.165a
   kṛtyaṃ tadādiviṣayaṃ MrgT_1,13.176c	kRtyam tad-Adi-vizayam MrgT_1,13.176c
   kṛtyaṃ sakārakaphalaṃ MrgT_1,2.3c	kRtyam sakAraka-Palam MrgT_1,2.3c
   kṛtyaṃ so 'pyasmadādivat MrgT_1,3.7d	kRtyam saH api-asmad-Adi-vat MrgT_1,3.7d
   kṛtvā kāraṇasaṃśrayam MrgT_1,4.13b	kRtvA kAraNa-saMSrayam MrgT_1,4.13b
   kṛtvā ca vyabhicāriṇām MrgT_3.24b	kRtvA ca vyaBicAriNAm MrgT_3.24b
   kṛtvādhikāramīśeṣṭam MrgT_1,4.8c	kRtvA-aDikAram-ISa-izwam MrgT_1,4.8c
   kṛtvādhikāraṃ sthityante MrgT_1,4.7c	kRtvA-aDikAram sTiti-ante MrgT_1,4.7c
   kṛmighnadravyamiśreṇa MrgT_3.7a	kRmiGna-dravya-miSreNa MrgT_3.7a
   kṛmīṇāṃ nicayaśceti MrgT_1,13.18c	kRmINAm nicayaH-ca-iti MrgT_1,13.18c
   kṛṣṭākṛṣṭāśano duḥkha- MrgT_1,13.92a	kRzwa-AkRzwa-aSanaH duHKa MrgT_1,13.92a
   kṛṣṇapakṣe caturdaśyām MrgT_3.20a	kRzNa-pakze caturdaSyAm MrgT_3.20a
   kṛṣṇasvacchāni rūpataḥ MrgT_4.36d	kRzNa-svacCAni rUpataH MrgT_4.36d
   kṛṣṇā daityapatermṛtyor MrgT_1,13.50a	kRzNA dEtya-pateH-mRtyoH MrgT_1,13.50a
   kecinniyāmakaṃ karma MrgT_1,10.15c	kecid-niyAmakam karma MrgT_1,10.15c
   ketutāmagamattasya MrgT_1,13.101a	ketu-tAm-agamat-tasya MrgT_1,13.101a
   ketumāle jano divya- MrgT_1,13.82c	ketumAle janaH divya MrgT_1,13.82c
   keyaṃ vā rūpakeyattā MrgT_4.58c	kA-iyam vA rUpakeyattA MrgT_4.58c
   kaiścinnotkṛṣṭaveṣavān MrgT_3.68d	kEScid-na-utkRzwa-vezavAn MrgT_3.68d
   koṭayo nava sapta ca MrgT_1,13.118b	kowayaH nava sapta ca MrgT_1,13.118b
   koṭāviṣṭārthadāyitvād MrgT_1,7.18c	kowa-Avizwa-arTa-dAyi-tvAt MrgT_1,7.18c
   koṭitejāstathāvidhaiḥ MrgT_1,13.10b	kowitejAH-taTAviDEH MrgT_1,13.10b
   koṭiraṇḍakaṭāhakaḥ MrgT_1,13.119d	kowiraNxa-kawAhakaH MrgT_1,13.119d
   koṭiśo maraṇaṃ dṛṣṭvā MrgT_1,9.12a	kowiSas maraNam dRzwvA MrgT_1,9.12a
   koṭiścaikā samudrarāt MrgT_1,13.113d	kowiH-ca-ekA samudrarAt MrgT_1,13.113d
   ko viśeṣaḥ śivāgame MrgT_1,2.10d	kaH viSezaH Siva-Agame MrgT_1,2.10d
   koṣṭhavyomaguṇadhvaneḥ MrgT_1,11.26b	kozWa-vyoma-guNa-DvaneH MrgT_1,11.26b
   kramaprasavayoginoḥ MrgT_1,13.179b	krama-prasava-yoginoH MrgT_1,13.179b
   kramayogāt prapadyate MrgT_4.51d	krama-yogAt prapadyate MrgT_4.51d
   kramayogitayā kramāt MrgT_1,12.11b	krama-yogi-tayA kramAt MrgT_1,12.11b
   kramaśaḥ śaktatāmeti MrgT_4.21a	kramaSas Sakta-tAm-eti MrgT_4.21a
   kramaśaḥ siddhimāpnoti MrgT_3.93c	kramaSas sidDim-Apnoti MrgT_3.93c
   kramaśo vinivartante MrgT_1,2.23a	kramaSas vinivartante MrgT_1,2.23a
   kramākramasamutpatteḥ MrgT_1,3.3a	kramAkrama-samutpatteH MrgT_1,3.3a
   kramātsughata eva hi MrgT_1,7.23b	kramAt-suGataH eva hi MrgT_1,7.23b
   kramādyutpattiśaktimat MrgT_1,3.3b	krama-Adi-utpatti-Saktimat MrgT_1,3.3b
   kriyate yena varṇatā MrgT_1,11.26d	kriyate yena varNa-tA MrgT_1,11.26d
   kriyākālavibhāgavit MrgT_3.93b	kriyA-kAla-viBAga-vid MrgT_3.93b
   kriyāvyatikareṣu ca MrgT_3.121b	kriyA-vyatikarezu ca MrgT_3.121b
   krīḍārthaṃ vedhasā sṛṣṭā MrgT_1,13.110a	krIxA-arTam veDasA sRzwAH MrgT_1,13.110a
   kroḍīkṛto 'hipāśena MrgT_1,1.16a	kroxIkRtaH ahi-pASena MrgT_1,1.16a
   krodhanānilabhugbhogi- MrgT_1,13.134c	kroDana-anila-Buj-Bogi MrgT_1,13.134c
   krodhādīn gurutāṃ matāḥ MrgT_1,13.147d	kroDa-AdIn guru-tAm matAH MrgT_1,13.147d
   krodheśacaṇḍasaṃvarta- MrgT_1,13.149a	kroDa-ISa-caNxa-saMvarta MrgT_1,13.149a
   krośastaddvisahasrakam MrgT_1,13.8b	kroSaH-tad-dvi-sahasrakam MrgT_1,13.8b
   krauñcādrau hemakandare MrgT_1,13.99d	krOQca-adrO hema-kandare MrgT_1,13.99d
   krauñce krauñco hato daityaḥ MrgT_1,13.99c	krOQce krOQcaH hataH dEtyaH MrgT_1,13.99c
   kvacinnāpyasahāyavān MrgT_3.63b	kvacid-na-api-asahAyavAn MrgT_3.63b
   kva deśe dhāraṇārūpaṃ MrgT_4.39c	kva deSe DAraNA-rUpam MrgT_4.39c
   kva bhāvāḥ pratyayaḥ sthitāḥ MrgT_1,13.195b	kva BAvAH pratyayaH sTitAH MrgT_1,13.195b
   kvānyatra śravaṇākāśe MrgT_1,12.23c	kva-anyatra SravaNa-AkASe MrgT_1,12.23c
   kṣaṇikatvānmuhurmuhuḥ MrgT_1,2.24b	kzaNika-tvAt-muhur-muhur MrgT_1,2.24b
   kṣaṇiketi matā paraiḥ MrgT_1,2.24d	kzaNikA-iti matA parEH MrgT_1,2.24d
   kṣārakṣīradadhisneha- MrgT_1,13.97c	kzAra-kzIra-daDi-sneha MrgT_1,13.97c
   kṣārādyabdhibhirāvṛtāḥ MrgT_1,13.36b	kzAra-Adi-abDiBiH-AvRtAH MrgT_1,13.36b
   kṣārābdhinā parivṛttaṃ MrgT_1,13.41a	kzAra-abDinA parivRttam MrgT_1,13.41a
   kṣitau viṣṭo mahītalāt MrgT_1,13.42d	kzitO vizwaH mahI-talAt MrgT_1,13.42d
   kṣitau śuklādyanekadhā MrgT_1,12.28d	kzitO Sukla-Adi-anekaDA MrgT_1,12.28d
   kṣityādīnyatha tattvāni MrgT_4.32a	kziti-AdIni-aTa tattvAni MrgT_4.32a
   kṣīrādikṛtabhojanaḥ MrgT_1,13.107b	kzIra-Adi-kRta-BojanaH MrgT_1,13.107b
   kṣuradhārāmbarīṣakāḥ MrgT_1,13.16b	kzura-DArA-ambarIzakAH MrgT_1,13.16b
   kṣetrajñaḥ sa parastayoḥ MrgT_1,6.3b	kzetrajQaH sa paraH-tayoH MrgT_1,6.3b
   kṣetrapālaṃ ca sādhyāṇuṃ MrgT_3.92a	kzetrapAlam ca sADya-aNum MrgT_3.92a
   kṣetrapālaṃ svadigbhāge MrgT_3.103c	kzetrapAlam sva-diS-BAge MrgT_3.103c
   kṣetrapālāya cāṃśakam MrgT_3.84d	kzetrapAlAya ca-aMSakam MrgT_3.84d
   kṣetrasthaḥ prārabhetkarma MrgT_3.77c	kzetra-sTaH prAraBet-karma MrgT_3.77c
   kṣetrāvāptaphalaśriyaḥ MrgT_1,13.136b	kzetra-avApta-Pala-SriyaH MrgT_1,13.136b
   kṣetre yannasti taddūrāt MrgT_3.104a	kzetre yat-nasti tad-dUrAt MrgT_3.104a
   kṣemīśo brahmaṇaḥ patiḥ MrgT_1,13.153b	kzemISaH brahmaNaH patiH MrgT_1,13.153b
   khadyotātpāvakārthinaḥ MrgT_1,2.27d	KadyotAt-pAvaka-arTinaH MrgT_1,2.27d
   kharatvāvedino guṇāḥ MrgT_1,12.20d	Kara-tva-avedinaH guNAH MrgT_1,12.20d
   khaṃ samastāsu nāḍiṣu MrgT_1,12.32b	Kam samastAsu nAxizu MrgT_1,12.32b
   khaṃ samasteṣu bhūteṣu MrgT_4.42c	Kam samastezu BUtezu MrgT_4.42c
   khinnastasmiṃllaghu svapet MrgT_3.87d	KinnaH-tasmin=-laGu svapet MrgT_3.87d
   khedanāpāyaśamanaṃ MrgT_3.26c	Kedana-apAya-Samanam MrgT_3.26c
   khyātaścitreṇa karmaṇā MrgT_1,13.100d	KyAtaH-citreNa karmaNA MrgT_1,13.100d
   khyātaṃ pātālasaptakam MrgT_1,13.26d	KyAtam pAtAla-saptakam MrgT_1,13.26d
   khyāpitaḥ surasevitaḥ MrgT_1,13.106b	KyApitaH sura-sevitaH MrgT_1,13.106b
   gacchantaṃ pṛṣṭhato yāyād MrgT_3.71a	gacCantam pRzWatas yAyAt MrgT_3.71a
   gaṇādhyakṣaṃ guruṃ caiva MrgT_3.32a	gaNADyakzam gurum ca-eva MrgT_3.32a
   gaṇeśavṛṣabhaskanda- MrgT_3.94c	gaNeSa-vRzaBa-skanda MrgT_3.94c
   gaṇeśādigaṇāvarāḥ MrgT_1,13.61d	gaNeSa-Adi-gaNa-avarAH MrgT_1,13.61d
   gaṇo vaikāriko 'tra yaḥ MrgT_1,12.4d	gaNaH vEkArikaH atra yaH MrgT_1,12.4d
   gatādhikāranīhāra- MrgT_1,7.21a	gata-aDikAra-nIhAra MrgT_1,7.21a
   gateṣvantarato dinam MrgT_3.57b	gatezu-antarataH dinam MrgT_3.57b
   gaditā eva nāmataḥ MrgT_1,13.159d	gaditAH eva nAmataH MrgT_1,13.159d
   gandhadhūpapuraḥsaram MrgT_3.86d	ganDa-DUpa-puraHsaram MrgT_3.86d
   gandhamādanaśailataḥ MrgT_1,13.67b	ganDamAdana-SElataH MrgT_1,13.67b
   gandhamālyādidhāraṇam MrgT_3.22b	ganDa-mAlya-Adi-DAraNam MrgT_3.22b
   gandhaḥ kṣitāvasūrabhiḥ MrgT_1,12.29c	ganDaH kzitO=-asUraBiH MrgT_1,12.29c
   gandhādivyañjakatvācca MrgT_1,12.12c	ganDa-Adi-vyaQjaka-tvAt-ca MrgT_1,12.12c
   gandho 'pyastu nabhoguṇaḥ MrgT_1,12.26d	ganDaH api-astu naBaH-guNaH MrgT_1,12.26d
   garbhādeti samantataḥ MrgT_1,13.114b	garBAt-a-iti samantataH MrgT_1,13.114b
   garvavṛttyanuṣaṅgeṇa MrgT_1,12.32a	garva-vRtti-anuzaFgeNa MrgT_1,12.32a
   garve manomukhā devā MrgT_1,13.197a	garve manomuKAH devAH MrgT_1,13.197a
   garve mātrendriyagocare MrgT_1,13.140d	garve mAtrA-indriya-gocare MrgT_1,13.140d
   garvo 'bhūtkaraṇaṃ citaḥ MrgT_1,11.20b	garvaH aBUt-karaNam citaH MrgT_1,11.20b
   gahaneśaśca viśvarāṭ MrgT_1,13.153d	gahana-ISaH-ca viSvarAj MrgT_1,13.153d
   gahaneśādayo 'dhipāḥ MrgT_1,13.3b	gahaneSa-AdayaH aDipAH MrgT_1,13.3b
   gāndharvo vāruṇastathā MrgT_1,13.95b	gAnDarvaH vAruNaH-taTA MrgT_1,13.95b
   girau māhānasādyataḥ MrgT_1,3.7b	girO mAhAnasa-At-yatas MrgT_1,3.7b
   gīyate tattvadarśibhiḥ MrgT_1,11.24d	gIyate tattva-darSiBiH MrgT_1,11.24d
   gīyante kavibhiḥ kṣitau MrgT_1,13.56d	gIyante kaviBiH kzitO MrgT_1,13.56d
   guṇa eko yadudyukto MrgT_1,13.92c	guNaH ekaH yat-udyuktaH MrgT_1,13.92c
   guṇakārāḥ daśādyāḥ syur MrgT_1,13.177c	guNakArAH daSa-AdyAH syuH MrgT_1,13.177c
   guṇatvena matau sthitam MrgT_1,13.186b	guNa-tvena matO sTitam MrgT_1,13.186b
   guṇadhīgarvacittākṣa- MrgT_1,10.1c	guNa-DI-garva-citta-akza MrgT_1,10.1c
   guṇaḥ sāṃsiddhiko bhāti MrgT_1,10.27c	guNaH sAMsidDikaH BAti MrgT_1,10.27c
   guṇānāṃ mūrdhni saṃsthitāḥ MrgT_1,13.147b	guNAnAm mUrDni saMsTitAH MrgT_1,13.147b
   guṇānuktānanantaram MrgT_4.51b	guNa-anuktAn-anantaram MrgT_4.51b
   guṇāviśiṣṭāstanmātrās MrgT_1,12.5c	guNa-aviSizwAH-tanmAtrAH MrgT_1,12.5c
   guṇino na guṇo 'paiti MrgT_1,13.186c	guNinaH na guNaH apEti MrgT_1,13.186c
   guṇenoparivartinā MrgT_1,3.9d	guNena-uparivartinA MrgT_1,3.9d
   guptākṣasūtrapūjāṅgaḥ MrgT_3.93a	gupta-akza-sUtra-pUjA-aFgaH MrgT_3.93a
   guravaḥ putrakā ye ca MrgT_3.9a	guravaH putrakAH ye ca MrgT_3.9a
   gurave pīṭhavartine MrgT_3.61d	gurave pIWa-vartine MrgT_3.61d
   guruṇā kṛtyamācaret MrgT_3.66d	guruNA kRtyam-Acaret MrgT_3.66d
   gurutattulyabandhūnāṃ MrgT_3.21a	guru-tad-tulya-banDUnAm MrgT_3.21a
   gurutantro gurau vasan MrgT_3.67b	gurutantraH gurO vasan MrgT_3.67b
   gurumāsthāya cidvataḥ MrgT_1,5.3d	gurum-AsTAya cidvataH MrgT_1,5.3d
   gururasvavaśo vratī MrgT_3.125b	guruH-asu-avaSaH vratI MrgT_3.125b
   guruḥ kuryādanugraham MrgT_3.23b	guruH kuryAt-anugraham MrgT_3.23b
   gurorna kuryānno vādaṃ MrgT_3.68c	guroH-na kuryAt-naH vAdam MrgT_3.68c
   gurau māsaṃ śivībhūte MrgT_3.59a	gurO mAsam SivIBUte MrgT_3.59a
   gurvagniśivavidyābhyaḥ MrgT_3.84c	guru-agni-Siva-vidyAByaH MrgT_3.84c
   guhyakā bhujagā yakṣā MrgT_3.39c	guhyakAH BujagAH yakzAH MrgT_3.39c
   guhyaṃ siddhāmarastutam MrgT_4.63d	guhyam sidDa-amara-stutam MrgT_4.63d
   guhyāṣṭakamidaṃ jale MrgT_1,13.137b	guhya-azwakam-idam jale MrgT_1,13.137b
   gobrāhmaṇatapasvinaḥ MrgT_3.90d	go-brAhmaNa-tapasvinaH MrgT_3.90d
   gomedaḥ sa tato 'bhavat MrgT_1,13.105b	gomedaH sa tatas aBavat MrgT_1,13.105b
   gomede gopatirnāma MrgT_1,13.102c	gomede gopatiH-nAma MrgT_1,13.102c
   gauṇaṃ sattvaṃ rajastamaḥ MrgT_1,10.20b	gONam sattvam rajaH-tamaH MrgT_1,10.20b
   gauṇe yogīśadhāmāni MrgT_1,13.144a	gONe yogi-ISaDAmAni MrgT_1,13.144a
   granthijanyaṃ kalākāla- MrgT_1,10.1a	granTi-janyam kalA-kAla MrgT_1,10.1a
   grasanodumbareśvarāḥ MrgT_1,13.134d	grasana-udumbara-ISvarAH MrgT_1,13.134d
   grāhakāḥ śravaṇādayaḥ MrgT_1,12.7d	grAhakAH SravaNa-AdayaH MrgT_1,12.7d
   grāhi yuktaparāṅmukham MrgT_1,12.14b	grAhi yukta-parAFmuKam MrgT_1,12.14b
   ghoroktirupacārataḥ MrgT_1,3.12b	GoroktiH-upacArataH MrgT_1,3.12b
   -ṅguṣṭhamātrāśca bhāsvarāḥ MrgT_1,13.151d	-FguzWa-mAtrAH-ca BAsvarAH MrgT_1,13.151d
   cakravāṭārdhavistṛtāḥ MrgT_1,13.55b	cakravAwa-arDa-vistRtAH MrgT_1,13.55b
   cakravāṭeti tāmāhuḥ MrgT_1,13.45c	cakravAwa-iti tAm-AhuH MrgT_1,13.45c
   caṅkramantaṃ kriyodyatam MrgT_3.70b	caFkramantam kriyA-udyatam MrgT_3.70b
   caṇḍanāthaparigraham MrgT_3.36b	caNxanATa-parigraham MrgT_3.36b
   caturthyāmarkasaṃkrame MrgT_3.54b	caturTyAm-arka-saMkrame MrgT_3.54b
   caturdalābjamadhyeṣṭyā MrgT_3.109c	caturdala-abjam-aDya-izwyA MrgT_3.109c
   caturdaśa sahasrāṇi MrgT_1,13.57a	caturdaSa sahasrANi MrgT_1,13.57a
   caturdaśyāmathāṣṭamyāṃ MrgT_3.15c	caturdaSyAm-aTa-azwamyAm MrgT_3.15c
