   (Hbṭ 1)	(Hbj 1)
   hetvābhāsatvena vyāptiḥ katareṇa pramāṇenāvasitetya [trāha] 	hetvABAsa tvena vyAptiH katareNa pramANena avasitA itya [tra aha] 
   "avinābhāvaniyamāt" iti | trividhahetuvyatirikte liṅgatayopagate	"avinA aBAva niyama at" iti | triviDa hetu vyatirikte liFgatayA upagate
   śaṅkayamāne vā vastuni pakṣadharmatāsadbhāve	SaFkayamAne vA vastuni pakza Darma tA asadBAve
   'pyavinābhāvābhāvā[dityarthaḥ] | (Hbṭ 8) tathā ca vakṣyati  "na sa	api avinABAva aBAvA[diti arTaH] | (Hbj 8) taTA ca vakzyati "na sa
   trividhāddhetoranyatrāstītyatraiva niyata ucyate" iti |	triviDAt hetoH anyatra asti iti atra eva niyataH ucyate" iti |
   avinābhāvavaikalyaṃ ca	avinA aBAva vEkalyam ca
   hetvābhāsatvenāsiddhaviruddhānaikāntikasāmānya[dharme]ṇa vyāptaṃ	hetvABAsa tvena asidDa virudDa anEkAntika sAmAnya[ Darme]Na vyAptam
   prameyatvādau niścitamiti hetvābhāsatve sādhye 'vinābhāvavaikalyaṃ	prameya tva AdO niScitam iti hetvABAsa tve sADye avinA aBAva vEkalyam
   svabhāvahetuḥ |	svaBAva hetuH |
   avinābhāvavaikalyaṃ ca trividhahetuvyatiriktatvādeva [tadanyeṣāṃ]	avinA aBAva vEkalyam ca triviDa hetu vyatirikta tvAt eva [tad anyezAM]
   [vyāpa]kānupalabdhitaḥ siddham | tathā hi 	[vyApa]ka anupalabDitaH sidDam | taTA hi 
   tādātmyatadutpattibhyāmavinābhāvo vyāptaḥ, tayostatrāvaśyaṃbhāvāt | tasya	tAdAtmya tad utpattiByAm avinA aBAvaH vyAptaH, tayoH tatra avaSyaMBAvAt | tasya
   ca tayoreva bhāvādatatsvabhāvasyātadutpatteśca [tadanāyattata]yā	ca tayoH eva BAvAt atad svaBAvasya atad utpatteH ca [tadana Ayattata]yA
   tadavyabhicāraniyamābhāvāt | taduktam 	tat avyaBicAra niyama aBAvAt | tat uktam 
   "kāryakāraṇabhāvādvā svabhāvādvā niyāmakāt |	"kArya kAraNa BAvAt vA svaBAvAt vA niyAmakAt |
   avinābhāvaniyamo 'darśanānna na darśanāt ||	avinA aBO= a niyamaH adarSanAt na na darSanAt ||
   [avaśyaṃbhāva]niyamaḥ kaḥ parasyānyathā paraiḥ |	[avaSyaMBAva] niyamaH kaH parasya anyaTA parEH |
   ana(arthā)ntaranimitte vā dharme vāsasi rāgavat ||" iti |	ana(arTa a)ntara nimitte vA Darme vAsasi rAga vat ||" iti |
   rūpādināpi hi rasāderavinābhāvo na sva[taḥ kintu	rUpa AdinA api hi rasa AdeH avinA aBAvaH na sva[taH kintu
   svakāra]ṇāvyabhicāradvāraka iti tatkāraṇotpattirevāvinābhāvanibandhanam |	sva kAra]NA avyaBicAra dvArakaH iti tad kAraNa utpattiH eva avina aBAva nibanDanam |
   anyathā tadanāyattasya tatkāraṇānāyattasya vā tenā[vinābhāvakalpa]nāyāṃ	anyaTA tad anAyat tasya tad kAraNAn Ayattasya vA tena a[vinABAva kalpa]nAyAm
   sarvasya sarvārthairavinābhāvaḥ syāt, aviśeṣāt | ekārthasamavāyanimitto	sarvasya sarva arTEH avinABAvaH syAt, aviSezAt | eka arTa samavAya nimittaH 
   rūparasāderavinābhāva iti cet | nanu samavāyo	rUpa rasa AdeH avinA aBAvaH iti ced | nanu samavAyaH 
   'pyādhāryā[dhāra]bhūtānāmupavarṇyate | sa	api ADAryA[ DAra] BUtAnAm upavarNyate | sa
   cādhārādheyabhāvastadātmānupakāretiprasaṅgato na	ca ADAra ADeya BAvaH tad A AtmAnupakAra iti prasaFgataH na
   sidhyatītyekasāmagryadhīnataivaikārthasamavāyo['vase]yaḥ | anyo vā	siDyati iti ekasAmagrI aDIna tA eva eka arTa samavAyo[ avase]yaH | anyaH vA
   vastubhūtaḥ saṃbandho 'sambhavī tathā sambandhaparīkṣāyāṃ vistarataḥ	vastu BUtaH saMbanDaH asamBavI taTA sambanDa parIkzAyAm vistarataH
   śāstrakṛtā pratipādimeveti tata evāvadhāryam | asa     na vā (Hbṭ 9)	SAstra kRtA pratipAdim eva iti tatas eva avaDAryam | asa   na vA (Hbj 9)
   ja(nanvasatyapi ja)nyajanakabhāve, tādātmye vā, tenaivāvinābhāvo	ja(nan vasati api ja)nya janaka BAve, tAdAtmye vA, tena eva avinABAvaH 
   nānyenetyatra vastusvabhāvairevottaraṃ vācyam ye evaṃ bhavanti nāsmābhiḥ,	na anyena iti atra vastu svaBAvEH eva uttaram vAcyam ye evam Bavanti na asmABiH,
   ke[valaṃ vayaṃ draṣṭāra] iti cet; ākasmikastarhi sa vastūnāṃ svabhāva iti	ke[valam vayam drazwAra] iti cet; AkasmikaH tarhi sa vastUnAm svaBAvaH iti
   na kasyacinna syāt | na hyahetorddeśakāladravyaniyamo yuktaḥ | [taddhi	na kasyacid na syAt | na hi aheta uH ddeSa kAla dravya niyamaH yuktaH | [tat hi
   kiñcit kvacidupa]nīyeta na vā yasya yatra kiñcidāyattamanāyattaṃ vā |	kiQcid kvacid upa]nIyeta na vA yasya yatra kiQcid Ayattam anAyattam vA |
   anyathā viśeṣābhāvādiṣṭadeśakāladravyavadanyadeśādibhāvaḥ ke[na vāryeta	anyaTA viSeza aBAva Adizwa deSa kAla dravya vat anya deSa Adi BAvaH ke[na vAryeta
   viśeṣābhāvāt | tato ya]dyenāvinābhūtaṃ dṛśyate tasya tenāvyabhicārakāraṇaṃ	viSeza aBAvAt | tatas ya]dyena AvinABUtam dRSyate tasya tena avyaBicAra kAraNam
   tattvacintakairabhidhānīyam, na tu pādaprasārikāvalambanīyā |	tattva cintakEH aBiDAnIyam, na tu pAda prasArikA avalambanIyAH |
   taccāvyabhicārakāraṇam yathoktādanyanna yujyate iti tadvikalā na	tat ca avyaBicAra kAraNam yaTA uktAt anyat na yujyate iti tad vikalA na
   hetulakṣaṇabhāja iti | tathā cāha 	hetu lakzaNa BAjaH iti | taTA ca Aha 
   "saṃyogyādiṣu yeṣvasti pratibandho na tādṛśaḥ |	"saMyogi a Adizu yezu asti pratibanDaH na tAdRSaH |
   na te hetava [ityuktaṃ] vyabhicārasya saṃbhavāt ||" iti |	na te hetavaH [iti uktaM] vyaBicArasya saMBavAt ||" iti |
   atra prayogaḥ  yasya yena saha tādātmyatadutpattī na sto na sa	atra prayogaH yasya yena saha tAdAtmya tad utpattI na staH na sa
   tadavinābhāvī, yathā prameyatvādiranityatvādinā, na staśca kenacit	tad avinA BAvI, yaTA prameya tvAdiH a nitya tva AdinA, na staH ca kenacid 
   tādātmyatadutpatti svabhāvakāryavyatirekiṇāmarthānāmiti vyāpakānupalabdhiḥ	tAdAtmya tad utpatti svaBAva kArya vyatirekiNAm arTAnAm iti vyApaka anupalabDiH
   | svabhāvānupalabdhistu svabhāvahetāvantarbhāviteti tasyāḥ	| svaBAva anupalabDiH tu svaBAva hetO= antar BAvitA iti tasyAH
   [tādātmya]lakṣaṇa eva pratibandhaḥ | vyāpakakāraṇānupalabdhī tu	[tAdAtmya] lakzaNaH eva pratibanDaH | vyApaka kAraNa anupalabDI tu
   tādātmyatadutpattilakṣaṇapratibandhavaśādeva vyāpyakāryayornivṛtti	tAdAtmya tad utpatti lakzaNa pratibanDa vaSAt eva vyApya kAryayoH nivRtti
   sādhayataḥ |	sADayataH |
   [taduktam 	[tat uktam 
   "tasmā]t tanmātrasaṃbaddhaḥ svabhāvo bhāvameva vā |	"tasmA]t tanmAtra saMbadDaH svaBAvaH BAvam eva vA |
   nivartayetkāraṇaṃ vā kāryamavyabhicārataḥ ||" iti |	nivartayet kAraNam vA kAryam avyaBicArataH ||" iti |
   tadevaṃ hetulakṣaṇaṃ 1 saṃkhyāniyamaḥ 2 tadupadarśa[kaṃ ca pramāṇa]m 3	tat evam hetu lakzaNam 1 saMKyA niyamaH 2 tad upadarSa[kam ca pramANa]m 3
   atra śloke nirdiṣṭamiti |	atra Sloke nirdizwam iti |
   [3. avinābhāvaniyamādityasya prakārāntareṇa vyākhyānam]	[3. avinA aBO= a niyama Adityasya prakAra antareNa vyAKyAnam]
   athavā ‘tridhaiva saḥ'; iti sa pakṣadharmastriprakāra eva	aTavA ‘triDA eva saH a; iti sa pakza DarmaH tri prakAraH eva
   svabhāvakāryānupalambhākhyastadaṃśena vyāpto nānyaḥ | [sa]	svaBAva kArya anupalamBa AKyaH tad aMSena vyAptaH na anyaH | [sa]
   triprakārastadaṃśena (Hbṭ 10) vyāpta eveti sambandhaḥ | kiṃ kāraṇam? |	tri prakAraH tad aMSena (Hbj 10) vyAptaH eva iti sambanDaH | kim kAraNam? |
   "avinābhāvaniyamāt" | avinābhāvasya  vyāpteḥ | trividha eva pakṣadharme	"avinA aBAva niyamAt" | avinA aBAvasya vyApteH | triviDaH eva pakza Darme
   niyamāt | trividhasya ca pakṣadharmasyāvinābhāvaniyamāt | tena ca	niyamAt | triviDasya ca pakza Darmasya avinABAva niyamAt | tena ca
   [sva]bhāvakāryānupalambhātmakatrividhapakṣadharmavyatiriktā na tadaṃśena	[sva]BAva kArya anupalamBa Atmaka triviDa pakza Darma vyatiriktA na tad aMSena
   vyāptā iti | trividhaśca kāryasvabhāvānupalabdhirūpaḥ	vyAptAH iti | triviDaH ca kArya svaBAva anupalabDi rUpaH
   pakṣadharmastadaṃśena vyāpta eveti na tasyāhetutvamityuktaṃ bhavati |	pakza DarmaH tad aMSena vyAptaH eva iti na tasya ahetu tvam iti uktam Bavati |
   tatastrividhahetubāhyeṣvavi[nābhā]bāddhetuvyavahāraṃ kurvantaḥ, trividhe	tatas triviDa hetu bAhyezu avi[na ABA] bAdDetu vyavahAram kurvantaH, triviDe
   ca hetāvavinābhāvasyāvaśyambhāvā[bhāvā]dahetutvamācakṣāṇā nirastā bhavanti	ca hetO= avinABAvasya avaSi amBa avA[ BAvA]da hetu tvam AcakzANAH nirastAH Bavanti
   [4. hetvābhāsalakṣaṇānabhidhānepi tatsūcanam |]	[4. hetvABAsa lakzaNAn aBiDAna ipi tad sUcanam |]
   tatraitat syāt  hetvābhāsānamapi [lakṣaṇam]bhidhānīyaṃ tatra śiṣyāṇāṃ	tatra etat syAt hetvABAsAnam api [lakzaNam ]BiDAnIyam tatra SizyANAm
   hetuvyavahāranivṛttaya ityāha "hetvābhāsāstato 'pare" iti | "tataḥ"	hetu vyavahAra nivRttayaH iti Aha "hetvABAsAH tatas apare" iti | "tataH"
   pakṣadharmastadaṃśena vyāpta iti hetulakṣaṇād "apare" a[nye	pakza DarmaH tad aMSena vyAptaH iti hetu lakzaNAt "apare" a[nye
   ta]lakṣaṇavikalā hetvābhāsā gamyanta eveti na tallakṣaṇamucyate | tathā	ta] lakzaNa vikalAH hetvABAsAH gamyante eva iti na tad lakzaNam ucyate | taTA
   hi  "pakṣadharmaḥ" ityukte yatra pakṣadharmatā nāsti na sa hetuḥ |	hi "pakza DarmaH" iti ukte yatra pakza Darma tA na asti na sa hetuH |
   "tadaṃśena vyāptaḥ" iti vacane yatra tadaṃśavyāptiviraho	"tad aMSena vyAptaH" iti vacane yatra tad aMSa vyApti virahaH 
   viparyayavyāptervyāpakasya vā tatrāvaśyambhāvābhāvāt, te	viparyaya vyApteH vyApakasya vA tatra avaSyamBAva aBAva at, te
   heturūpavikalatayā "hetvābhāsāḥ" asiddhaviruddhānaikāntikā gamyanta eva |	hetu rUpa vikala tayA "hetu ABAsAH" asidDa virudDa anEkAntikAH gamyante eva |
   tathā hi  yallakṣaṇo yo 'rthaḥ śiṣyasya vyutpāditaḥ tallakṣaṇavirahite na	taTA hi yat lakzaNaH yaH arTaH Sizyasya vyutpAditaH tad lakzaNa virahite na
   tadvayavahāraṃ svayameva pravartayiṣyati a[tadrūpa]parihāreṇaiva	tat vayava hAram svayam eva pravartayizyati a[tad rUpa] parihAreNa eva
   tadrūpapratipatteriti na tatra yatnaḥ phalavān bhavati | yattvanyatra	tad rUpa pratipatteH iti na tatra yatnaH PalavAn Bavati | yat tu anyatra
   hetvābhāsavyutpādanaṃ tanmandabuddhīnadhikṛtya | idaṃ tu prakaraṇaṃ	hetvABAsa vyutpAdanam tat manda budDIn aDikRtya | idam tu prakaraNam
   vipulamatīnuddiśya praṇītam "saṃkṣepataḥ" iti vacanāt | ta eva hi	vipulam atInuddiSya praNItam "saMkzepataH" iti vacanAt | te eva hi
   saṃkṣepoktaṃ yathāvadavagantuṃ kṣamāḥ na mandamatayaḥ, teṣāṃ	saMkzepa uktam yaTAvat avagantum kzamAH na manda matayaH, tezAm
   vistarābhidhānamantareṇa yathāvadarthapratipatterabhāvāt | ata	vistara aBiDAnam antareNa yaTAvat arTa pratipatteH aBAvAt | ata
   evārthākṣiptopanyāsapūrvakameva hetvābhāsalakṣaṇaṃ tatropavarṇitamiti |	eva arTa Akzipta upanyAsa pUrvakam eva hetvABAsa lakzaNam tatra upavarNitam iti |
   tadatra vyākhyāne hetulakṣaṇaṃ 1 hetusaṃkhyāniyamaḥ 2 (Hbṭ 11) tasya ca	tat atra vyAKyAne hetu lakzaNam 1 hetu saMKyA niyamaH 2 (Hbj 11) tasya ca
   trividhasya hetutvāvadhāraṇaṃ 3 tadubhayakāraṇaṃ 4 śliṣṭanirddeśā[khyānaṃ	triviDasya hetu tva avaDAraNam 3 tad uBaya kAraNam 4 Slizwa nirddeSA[ KyAnam
   5] hetvābhāsalakṣaṇānabhidhānakāraṇaṃ 6 ceti ṣaḍarthāḥ śloke 'tra nirdiṣṭā	5] hetvABAsa lakzaNa anaBiDAna kAraNam 6 ca iti zaz arTAH Sloke atra nirdizwA
   iti |	iti |
   kiñca  idamapi sādhu dṛśyate  "tridhaiva"	kiQca idam api sADu dRSyate "triDA eva"
   kāryasvabhāvānupalabdhi[bheda]bhinnaḥ sa hetuḥ | tathā, tridhaiva	kArya svaBAva anupalabDi[ Beda] BinnaH sa hetuH | taTA, triDA eva
   pakṣadharmānvayavyatirekarūpabhedāt "triprakāra eva" trirūpa eva |	pakza Darma anvaya vyatireka rUpa BedAt "tri prakAraH eva" trirUpaH eva |
   tadaṃśavyāptivacanenānvayavyatirekayorabhidhānāt |	tad aMSa vyApti vacanena anvaya vyatirekayoH aBiDAnAt |
   nābādhitaviṣayatvādirūpāntarayogyapi sa hetuḥ | kutaḥ? yataḥ	na AbADita vizaya tva Adi rUpa antara yogI api sa hetuH | kutas ? yatas 
   "hetvābhāsāstato 'pare" "tataḥ" trividhāt svabhā[vā]deḥ,	"hetvABAsAH tatas apare" "tataH" triviDAt svaBA[vA]deH,
   pakṣadharmādirūpatrayayogino vā "apare" anye saṃyogyādayo	pakza Darma Adi rUpa traya yoginaH vA "apare" anye saMyogyAdayaH 
   'bādhitaviṣayatvādivyatiriktarūpavanto vā | kasmād? | avinābhāvasya	abADita vizaya tva Adi vyatirikta rUpavantaH vA | kasmAd? | avinA aBAvasya
   atraiva trividha eva trirūpa eva ca hetau niyamādanyatra	atra eva triviDaH eva trirUpaH eva ca hetO niyamAt anyatra
   svabhāvādivyatirikta(kte) rūpāntarasambhavini vā avinābhāvābhāvādityarthaḥ	svaBAva Adi vyatirikta (kte) rUpa antara samBavini vA avinA aBAva aBAvAt iti arTaH
   | na hi svabhāvādivya[ti]rikte pratibandhanibandhanasyāvinābhāvasya	| na hi svaBAva Adi vya[ti]rikte pratibanDa nibanDanasya avinABAvasya
   saṃbhavaḥ tadvati vā rūpāntarasya | yathā cā(ca) satyevāvinābhāve	saMBavaH tadvati vA rUpa antarasya | yaTA ca a(ca) sati eva avinABAve
   rūpāntarasya na sambhavastathā "ṣaḍlakṣaṇa" ityādinā vakṣyati |	rUpa antarasya na samBavaH taTA "zaz lakzaNa" ityAdinA vakzyati |
   [5. diṅnāgānusāreṇa pakṣaśabdasya dharmimātraparatvam |]	[5. diFnAga anusAreNa pakza Sabdasya Darmi mAtra paratvam |]
   "pakṣadharmaḥ" ityatra hetulakṣaṇe 'pi kriyamāṇe yadi samudāyaḥ pakṣe(kṣo)	"pakza DarmaH" iti atra hetu lakzaNe api kriyamANe yadi samudAyaH pakze(kzo)
   gṛhyate yo 'numānaviṣayastadā sarvo heturasiddhaḥ, siddhau	gRhyate yaH anumAna vizayaH tadA sarvaH hetuH asidDaH, sidDO
   vānumānavaiyarthyamityāha "pakṣo dharmī" iti | kathaṃ punaḥ	vA anumAna vEyarTyam iti Aha "pakzaH DarmI" iti | kaTam punar 
   samudāyavacanaḥ pakṣaśabdo dharmimātre vartata iti cet? "avayave	samudAya vacanaH pakza SabdaH Darmi mAtre vartate iti cet? "avayave
   samudāyopacārāt" | pakṣākhyasya hi samudāyasya dvāvavayavau dharmī	samudAya upacArAt" | pakza AKyasya hi samudAyasya dvO= avayavO DarmI
   dharmaśca | tadatra dharmimātre samudāyopacārāt pakṣaśabdo vartate |	DarmaH ca | tat atra Darmi mAtre samudAya upacArAt pakza SabdaH vartate |
   tadekadeśatvaṃ ca samudāyopacāranimittamiti na sādhyadharmiṇo 'nyatra	tat eka deSa tvam ca samudAya upacAra nimittam iti na sADya DarmiNaH anyatra
   tatprasaṅgaḥ | taduktam 	tad prasaFgaH | tat uktam 
   "samudāyasya sādhyatvāt dharmamātre [ca]dharmiṇi |	"samudAyasya sADya tvAt Darma mAtre [ca]DarmiNi |
   amukhye 'pyekadeśatvāt sādhyatvamupacaryate || "iti |	amuKye api ekadeSa tvAt sADya tvam upacaryate || "iti |
   (Hbṭ 12)	(Hbj 12)
   [6. diṅnāgavyākhyāne īśvarasenākṣepastatuddhāraśca |]	[6. diFnAga vyAKyAne ISvarasena AkzepaH tatudDAraH ca |]
   tadetadācāryīyaṃ vyākhyānamīśvarasenenākṣiptaṃ parihartuṃ	tat etat AcAryIyam vyAKyAnam ISvarasenena Akziptam parihartum
   pūrvapakṣayannāha "prayo[jane]" tyādinā |	pUrva pakzayan= Aha "prayo[jane]" tyAdinA |
   "narte, prayojanādiṣṭraṃ(ṣṭaṃ) mukhyaśabdārthalaṅghanam |"	"naRte, prayojana At izwraM(zwan) muKya Sabda arTa laFGanam |"
   ityasati prayojane nopacāro yuktaḥ | tato dharmidharma ityevāstviti paraḥ	iti asati prayojane na upacAraH yuktaH | tatas Darmi DarmaH iti eva astu iti paraH
   | "na" prayojanābhāvaḥ | kutaḥ? sarvaścāsau vivādāśrayo 'nyo vā dharmī	| "na" prayojana aBAvaH | kutas ? sarvaH ca asO vivAda ASrayaH anyaH vA DarmI
   yastasya pratiṣedho 'rthaḥ prayojanaṃ yasyopacārasya tadbhāvastasmāt	yaH tasya pratizeDaH arTaH prayojanam yasya upacArasya tad BAvaH tasmAt 
   "sarvadharmidharmapratiṣedhārthatvādupacārasya" iti	"sarva Darmi Darma pratizeDa arTa tvAt upacArasya" iti
   prayojanābhāvādityasiddho hetuḥ |	prayojana aBAva Aditya sidDaH hetuH |
   ka evaṃ sati guṇaḥ? iti cedāha "evaṃ hi" upacāre sati "cākṣuṣatvādi"	kaH evam sati guNaH? iti ced Aha "evam hi" upacAre sati "cAkzuza tva Adi"
   ādigrahaṇāt ‘kākasya kārṣṇyāt'; ityādi vyadhikaraṇāsiddhaṃ "parihṛtaṃ"	Adi grahaNAt ‘kAkasya kArzNyAt a; ityAdi vyaDikaraNa asidDam "parihRtaM"
   hetutvena nirastaṃ "bhavati" | dharmidharma iti tu sāmānye [nābhi]dhānāt	hetu tvena nirastam "Bavati" | Darmi DarmaH iti tu sAmAnye [nABi]DAnAt 
   teṣāmapi hetutā syāditi |	tezAm api hetu tA syAt iti |
   asatyupacāre dharmigrahaṇādapyetat sidhyati | tato 'narthaka evopacāra	asati upacAre Darmi grahaNAt api etat siDyati | tatas anarTakaH eva upacAra
   ityāha paraḥ  "dharmavacanenāpi" na kevalaṃ dha[rmiva]canena |	iti Aha paraH "Darma vacanena api" na kevalam Da[rmiva]canena |
   "dharmyāśrayasiddhau" dharmiṇa āśrayaṇamāśrayaḥ parigrahastasya	"DarmyASraya sidDO" DarmiNaH ASrayaNam ASrayaH parigrahaH tasya
   siddhistasyāṃ satyām | kiṃ punarddharmasya dharmyākṣepanimittamiti cet?	sidDiH tasyAm satyAm | kim punar dDarmasya DarmyAkzepa nimittam iti ced ?
   "parā[śrayatvā]t"  dharmiparatantratvāt "dharmasya" avaśyamasau	"parA[ SrayatvA]t" Darmi paratantra tvAt "Darmasya" avaSyam asO
   dharmiṇamākṣipati | tato dharmivacanamatiricyamānaṃ viśiṣṭaṃ	DarmiNam Akzipati | tatas Darmivacanam atiricyamAnam viSizwam
   sādhyadharmiṇameva pratipādayati, [na dharmimātram] | syānmatam 	sADya DarmiNam eva pratipAdayati, [na Darmi mAtram] | syAt matam 
   dharmigrahaṇād viśiṣṭo 'tra dharmī kaścidabhipreta iti gamyeta | sa tu	Darmi grahaNAt viSizwaH atra DarmI kaScid aBipretaH iti gamyeta | sa tu
   sādhyadharmīti kutaḥ? ityāha  "pratyāsatte"rnyāyāt | pratyāsattiścātra	sADya DarmI iti kutas ? iti Aha "pratyAsatte"H nyAyAt | pratyAsattiH ca atra
   dharmi[vacanasāmarthyāda]bhipreteti gamyate | vyāptau tu nyāye	Darmi[vacana sAmarTyAt a]Bipreta iti gamyate | vyAptO tu nyAye
   dharmavacanenāpi dharmimātrākṣepat dharmigrahaṇavaiyarthyam |	Darma vacanena api Darmi mAtra Akzepat Darmi grahaNa vEyarTyam |
   pratyāsannatā ca sādhyadharmiṇa eva, tatra prathamaṃ (Hbṭ 13)	pratyAsanna tA ca sADya DarmiNaH eva, tatra praTamam (H bj 13)
   he[tūpa]darśanāt | na pratyāsatteḥ sādhyadharmiparigrahaḥ | kutaḥ? |	he[tu upa]darSanAt | na pratyAsatteH sADya Darmi parigrahaH | kutas ? |
   "dṛṣṭāntadharmiṇo 'pi" na kevalaṃ sādhyadharmiṇaḥ pratyāsatteḥ | kadācid	"dRzwAnta DarmiNaH api" na kevalam sADya DarmiNaH pratyAsatteH | kadAcid 
   vyāptidarśanapūrvake prayoge dṛṣṭāntadharmiṇyapi prathamaṃ	vyApti darSana pUrvake prayoge dRzwAnta DarmiNI api praTamam
   hetusadbhāvopadarśanāt |	hetu sadBAva upadarSanAt |
   yadi na pratyāsatteḥ sādhyadharmisiddhiḥ pāriśeṣyāt tarhi bhaviṣyati |	yadi na pratyAsatteH sADya Darmi sidDiH pAriSezyAt tarhi Bavizyati |
   yataḥ "tadaṃśavyāptyā" hetubhūtayā "dṛṣṭāntadharmiṇi" dharmasya	yatas "tad aMSa vyAptyA" hetu BUtayA "dRzwAnta DarmiNi" Darmasya
   satva(ttva)siddheḥ | nahi dṛṣṭāntamantareṇa hetoḥ sādhyena vyāptiḥ	satva(ttva) sidDeH | na hi dRzwAntam antareNa hetoH sADyena vyAptiH
   pradarśayituṃ śakyata iti manyate | tato dharmigrahaṇādvayatiricyamānāt	pradarSayitum Sakyate iti manyate | tatas Darmi grahaNA dvaya tiH icyamAnAt
   sādhyadharmiṇa eva parigrahaḥ | "tadaṃśena" iti ca tacchabdena	sADya DarmiNaH eva parigrahaH | "tad aMSena" iti ca tad Sabdena
   dharmavacanākṣipto dharmī sambhantsyata iti tatsambandhanārthamapi	Darma vacana AkziptaH DarmI samBantsyate iti tad sambanDana arTam api
   dharmigrahaṇaṃ nāśaṅkanīyam | yatra prayojanāntaraṃ na sambhavati sa	Darmi grahaNam na aSaFkanIyam | yatra prayojana antaram na samBavati sa
   pāriśeṣyaviṣayaḥ, dharmivacanasya tvanyadapi prayojanaṃ sambhāvyate | tat	pAriSezya vizayaH, Darmi vacanasya tu anyat api prayojanam samBAvyate | tat 
   kutaḥ pāriśeṣyāt "dharmivacanāt sādhyadharmiparigrahaḥ"? iti manyamānaḥ	kutas pAriSezyAt "Darmi vacanAt sADya Darmi parigrahaH"? iti manyamAnaH
   siddhāntavādyāha  "siddhe tadaṃśavyāptyā dṛṣṭāntadharmiṇi satva(ttve)	sidDAntavAdya aha "sidDe tad aMSa vyAptyA dRzwAnta DarmiNi satva(ttve)
   punarddharmiṇo vacanaṃ dṛṣṭāntadharmiṇa eva yo dharmaḥ sa heturiti	punar dDarmiNaH vacanam dRzwAnta DarmiNaH eva yaH DarmaH sa hetuH iti
   niyamārthamāśaṅkayeta | tataśca cākṣuṣatvādaya eva hetavaḥ syuḥ, na	niyama arTam ASaFkayeta | tatas ca cAkzuza tva AdayaH eva hetavaH syuH, na
   kṛtakatvādaya iti aniṣṭameva syāt tasmādupacāraḥ kartavyaḥ" iti |	kRtaka tva AdayaH iti anizwam eva syAt tasmAt upacAraH kartavyaH" iti |
   kiṃ punastarkaśāstra dṛṣṭaṃ kvacit niyamārthavacanamitya āha  "dṛṣṭaṃ	kim punar tarka SAstra dRzwam kvacid niyama arTa vacanam ityaH Aha "dRzwam
   sajātīya eva" ityādi | "tatra yaḥ san sajātīye " [nyāyamukha 7]	sajAtIyaH eva" ityAdi | "tatra yaH san sajAtIye " [nyAya muKaH 7]
   ityatrācāryīye hetulakṣaṇe ‘sajātīya e[va] satva(ttva)mi'tyavadhāraṇena	iti atra AcAryIye hetu lakzaNe ‘sajAtIyaH e[va] satva(ttu a)mi ati avaDAraNena
