   The Adhikaraṇavastu	The ADikaraNa-vastu
   ācchādya samyag eva śraddhayā agārād anagārikāṃ pravrajiṣyati tathāgato	AcCAdya samyak eva SradDayA agArAt anagArikAm pravrajizyati taTAgataH-
   bhaviṣyaty arhan samyaksaṃbuddho vighuṣṭaśabdo loke; sa eva buddho nāma	Bavizyati arhan samyaksaMbudDaH viGuzwa-SabdaH loke; saH eva budDaH nAma
   iti; muktikā kathayati: yadā yuṣmākaṃ gamanadeśakālas tadā mama	iti; muktikA kaTayati: yadA yuzmAkam gamana-deSa-kAlaH tadA mama
   nivedayiṣyatha; te kathayanti: evaṃ devi bhavatu, nivedayiṣyāmaḥ; yāvat	nivedayizyaTa; te kaTayanti: evam devi Bavatu, nivedayizyAmaH; yAvat-
   teṣāṃ gamanadeśakālaḥ pratyupasthitaḥ; tair muktikāyā niveditam; tayā	tezAm gamana-deSa-kAlaH pratyupasTitaH; tEH muktikAyAH niveditam; tayA
   bhagavati lekho likhitaḥ:	Bagavati leKaH liKitaH:
        asuradevamanuṣyanamaḥkṛta	asura-deva-manuzya-namaH-kRta
             jananarogabhayād abhiniḥsṛta /	janana-roga-BayAt aBiniHsRtaH /
        vipulakīrtiyaśaḥprasṛta prabho	vipula-kIrti-yaSaH-prasRta praBo
             amṛtabhāgam rṣe atulaṃ dada //	amRta-BAgam rze atulam dade //
   iti; atha te vaṇijas taṃ lekham ādāyānupūrveṇa śrāvastīm anuprāptāḥ;	iti; aTa te vaNijaH tam leKam AdAya-AnupUrveNa SrAvastIm anuprAptAH;
   mārgaśramaṃ prativinodya yena bhagavāṃs tenopasaṃkrāntāḥ; upasaṃkramya	mArga-Sramam prativinodya yena BagavAn tena-upasaMkrAntAH; upasaMkramya
   bhagavataḥ pādau śirasā vanditvāikānte niṣaṇṇāḥ; śrāvasteyāḥ vaṇijaḥ	BagavataH pAdO SirasA vanditvAika-ante nizaNNAH; SrAvasteyAH vaNijaH
   bhagavantam idam avodan: siṃhaladvīpe bhadanta siṃhalarājño duhitayā	Bagavantam idam avodan: siMhala-dvIpe Badanta siMhala-rAjQaH duhitayA
   bhagavataḥ ayaṃ lekho 'nupreṣitaḥ; bhagavatā muktikāyā vinayakālaṃ jñātvā	BagavataH ayam leKaH anuprezitaH; BagavatA muktikAyAH vinaya-kAlam jQAtvA
   svayam eva gṛhītvā vācitaḥ; vācayitvā kathayati: yadā yuṣmākaṃ punar	svayam eva gRhItvA vAcitaH; vAcayitvA kaTayati: yadA yuzmAkam punar-
   gamanaṃ bhavati tadā mamāvedayiṣyatha; evaṃ bhadanta iti te vaṇijo	gamanam Bavati tadA mama-AvedayizyaTa; evam BadantaH iti te vaNijaH-
   bhagavataḥ pādau śirasā vanditvā bhagavato 'ntikāt prakrāntāḥ; tataḥ	BagavataH pAdO SirasA vanditvA BagavataH antikAt prakrAntAH; tatas-
   paṇyaṃ vikrīya pratipaṇyam ādāya bhagavatsākāśam upasaṃkrāntāḥ;	paNyam vikrIya pratipaNyam AdAya Bagavatsa-AkASam upasaMkrAntAH;
   kathayanti: bhagavan vayaṃ saṃprasthitāḥ ājñāṃ prayaccha iti kim asmābhir	kaTayanti: Bagavan vayam saMprasTitAH AjQAm prayacCaH iti kim asmABiH-
   muktikā vaktavyā iti; bhagavān āha: suparikarmakṛtaṃ paṭam ānayata	muktikAH vaktavyAH iti; BagavAn Aha: su-parikarma-kRtam pawam Anayata
   citrakarāṃś ca iti; taiḥ paṭa upanāmitaḥ citrakarāś cāhūtāḥ; bhagavān āha:	citrakarAn ca iti; tEH pawe upanAmitaH citrakarAH ca-AhUtAH; BagavAn Aha:
   tathāgatapratimāṃ paṭe lekhayata; citrakatā ārabdhā (Adhik-v 66)	taTAgata-pratimAm pawe leKayata; citraka-tA ArabDAH (a-aDik-u 66)
   buddhapratimāṃ likhitum; na śaknuvanti bhagavataś citrakarā	budDa-pratimAm liKitum; na Saknuvanti BagavataH citrakarA
   anekapuṇyaśatanirjātaṃ tathāgatapratibimbakam abhinirvartitum; bhagavān	aneka-puNya-Sata-nirjAtam taTAgata-pratibimbakam aBinirvartitum; BagavAn
   āha: upanāmayata pāṭam, prabhām utsṛjāmi iti; taiḥ paṭa upanāmitaḥ,	Aha: upanAmayata pAwam, praBAm utsRjAmi iti; tEH pawe upanAmitaH,
   bhagavatā prabhā utsṛṣṭā; citrakarair nānāraṅgaiḥ pūritā; tato bhagavatā	BagavatA praBA utsRzwA; citrakarEH nAnA-raFgEH pUritA; tatas BagavatA
   pratimāyā adhastāt trīṇi śaraṇagamanāni pañca śikṣāpadāni dvādaśāṅgaḥ	pratimAyAH aDastAt trINi SaraNa-gamanAni paQca SikzA-padAni dvAdaSa-aFgaH
   pratītyasamutpādaḥ amulomapratilomaḥ āryāṣṭāṅgaś ca mārgo likhitaḥ,	pratItyasamutpAdaH amuloma-pratilomaH Arya-azwa-aFgaH ca mArgaH liKitaH,
   upariṣṭād dve gāthe	uparizwAt dve gATe
        ārabhadhvaṃ niṣkrāmata yujyadhvaṃ buddhaśāsane /	AraBaDvam nizkrAmata yujyaDvam budDa-SAsane /
        dhunīta mṛtyunaḥ sainyaṃ naḍāgāram iva kuñjaraḥ //	DunIta mRtyunaH sEnyam naxa-AgAram iva kuQjaraH //
        yo hy asmin dharmavinaye 'pramattaś cariṣyati /	yaH hi asmin Darma-vinaye apramattaH carizyati /
        prahāya jātisaṃsāraṃ duḥkhasyāntaṃ kariṣyati //	prahAya jAti-saMsAram duHKasya-antam karizyati //
   iti; siṃhalarājasya ca lekho likhitaḥ; mayā muktikāyāḥ paṭe abhilikhitaṃ	iti; siMhala-rAjasya ca leKaH liKitaH; mayA muktikAyAH pawe aBiliKitam
   prābhṛtam anupreṣitam; tvayā vistīrṇāvakāśe pṛthivīpradeśe	prABRtam anuprezitam; tvayA vistIrNa-avakASe pRTivI-pradeSe
   siṃhaladvīpanivāsinaṃ janakāyaṃ saṃnipatya mahatā satkāreṇāyaṃ (A 334b)	siMhala-dvIpa-nivAsinam jana-kAyam saMnipatya mahatA satkAreNa-ayam (A 334b)
   paṭa udghāṭayitavyaḥ; te ca vaṇijaḥ saṃdiṣṭāḥ; yadi muktikā pṛcchati kim	pawe udGAwayitavyaH; te ca vaNijaH saMdizwAH; yadi muktikA pRcCati kim
   idam iti vaktavyā ayaṃ tasya bhagavato rūpakāya iti; yadi pṛcchati; idam	idam iti vaktavyAH ayam tasya BagavataH rUpa-kAyaH iti; yadi pRcCati; idam
   adhastāt kim idam iti vaktavyā: imāni trīṇi śaraṇagamanāni pañca	aDastAt kim idam iti vaktavyA: imAni trINi SaraNa-gamanAni paQca
   śikṣāpadāni anulomapratilomaḥ pratītyasamutpādo jagataḥ pravṛttir	SikzA-padAni anuloma-pratilomaH pratItyasamutpAdaH jagataH pravRttiH-
   ḥnivṛttiś caḥ; ayam asyādhigama āryāṣṭāṅgo mārgaḥ iti; yadi kathayati:	HnivRttiH caH; ayam asya-aDigamaH Arya-azwa-aFgaH mArgaH iti; yadi kaTayati:
   idam upariṣṭāt kim idam iti vaktavyā: utsāhaya, śaraṇagamanaśikṣāpadāni	idam uparizwAt kim idam iti vaktavyA: utsAhaya, SaraNa-gamana-SikzA-padAni
   gṛhītvā imam anulomapratilomaṃ dvādaśāṅgapratītyasamutpādaṃ vyavalokya	gRhItvA imam anulomapratilomam dvAdaSa-aFga-pratItyasamutpAdam vyavalokya
   vīryam ārabhate; sa amṛtādhigamaṃ mārgam avāpya sarvaduḥkhād vimucyate	vIryam AraBate; sa amRta-aDigamam mArgam avApya sarva-duHKAt vimucyate
   iti; evaṃ bhadanta iti te vaṇijo bhagavataḥ pratiśrutya bhagavato 'ntikāt	iti; evam BadantaH iti te vaNijaH BagavataH pratiSrutya BagavataH antikAt-
   prakrāntāḥ; tataḥ kṛtakutūhalamaṅgalasvastyayanāḥ siṃhaladvīpagamanīyaṃ	prakrAntAH; tatas kRta-kutUhala-maFgala-svastyayanAH siMhala-dvIpa-gamanIyam
   paṇyam ādāya anupūrveṇa siṃhaladvīpam anuprāptāḥ; margaśramaṃ prativinodya	paNyam AdAya anupUrveNa siMhala-dvIpam anuprAptAH; marga-Sramam prativinodya
   rājñaḥ sakāśam (Adhik-v 67) upasaṃkrāntāḥ; pādayor nipatya lekhaṃ	rAjQaH sakASam (a-aDik-u 67) upasaMkrAntAH; pAdayoH nipatya leKam
   samarpitavantaḥ; rājñā lekho vācitaḥ; vācayitvā tan nagaram	samarpitavantaH; rAjQA leKaH vAcitaH; vAcayitvA tat nagaram
   apagatapāṣāṇaśarkarakaṭhallakaṃ vyavasthāpitaṃ candanavāripariṣiktaṃ	apagata-pAzANa-Sarkara-kaWallakam vyavasTApitam candana-vAri-pariziktam
   ucchritadhvajapatākam āmuktapaṭṭadāmakalāpaṃ	ucCrita-Dvaja-patAkam Amukta-pawwa-dAma-kalApam
   surabhidhūpaghaṭikopanibaddhaṃ nānāpuṣpāvakīrṇam; simhaladvīpanivāsī	suraBi-DUpa-Gawi-kA-upanibadDam nAnA-puzpa-avakIrNam; simhala-dvIpa-nivAsI
   janakāyaḥ saṃnipatitaḥ; tato mahatā satkāreṇa nagaramadhye catūratnamayaṃ	jana-kAyaH saMnipatitaH; tatas mahatA satkAreNa nagara-maDye catU-ratna-mayam
   siṃhāsanaṃ prajñapya paṭa udghāṭitaḥ; mahājanakāyena namo buddhāya namo	siMhAsanam prajQapya pawe udGAwitaH; mahA-jana-kAyena namaH budDAya namaH-
   buddhāya ity uccair nādo muktaḥ; tato muktikā rājakumārī	budDAya iti uccEs nAdaH muktaH; tatas muktikA rAja-kumArI
   tīvraprasādāvarjitahṛdayā āhṛṣṭaromakūpā aśruparyākulekṣaṇā pādayor	tIvra-prasAda-Avarjita-hRdayAH AhRzwa-romakUpA aSru-paryAkula-IkzaNA pAdayoH-
   nipatya tān vaṇijaḥ pṛcchati; bhavantaḥ kim idam? te ākhyātum ārabdhāḥ:	nipatya tAn vaNijaH pRcCati; BavantaH kim idam? te AKyAtum ArabDAH:
   idaṃ tasya bhagavato rūpakāyaḥ; idam adhastāt kim? trīṇi śaraṇagamanāni	idam tasya BagavataH rUpa-kAyaH; idam aDastAt kim? trINi SaraNa-gamanAni
   pañca śikṣāpadāni idam, anulomapratilomaḥ pratītyasamutpādo jagataḥ	paQca SikzA-padAni idam, anulomapratilomaH pratItyasamutpAdaH jagataH
   pravṛttiś ca nivṛttiś ca; ayam amṛtādhigama āryāṣṭāṅgo mārgaḥ; idam	pravRttiH ca nivRttiH ca; ayam amRta-aDigamaH Arya-azwa-aFgaH mArgaH; idam
   upariṣṭāt kim: abhyutsāhaya, śaraṇagamanaśikṣāpadāni gṛhītvā imam	uparizwAt kim: aByutsAhaya, SaraNa-gamana-SikzA-padAni gRhItvA imam
   anulomapratilomaṃ dvādaśāṅgapratītyasamutpādaṃ vyavalokya vīryam ārabhate,	anulomapratilomam dvAdaSa-aFga-pratItyasamutpAdam vyavalokya vIryam AraBate,
   sa amṛtādhigamaṃ mārgam avāpya sarvaduḥkhād vimucyate iti; tato muktikā	sa amRta-aDigamam mArgam avApya sarva-duHKAt vimucyate iti; tatas muktikA
   dvādśāṅgaṃ pratītyasamutpādaṃ anulomapratilomam cintayitum ārabdhā yāvat	dvAdSa-aFgam pratItyasamutpAdam anulomapratilomam cintayitum ArabDAH yAvat-
   triparivartaṃ na karoti; tāvat tayā viṃśatiśikharasamudgataṃ	tri-parivartam na karoti; tAvat tayA viMSati-SiKara-samudgatam
   satkāyadṛṣṭiśailaṃ jñānavrajeṇa bhitvā srotaāpattiphalaṃ sākṣātkṛtam; sā	satkAya-dRzwi-SElam jQAna-vrajeNa BitvA srotaApatti-Palam sAkzAtkRtam; sA
   dṛṣṭasatyā gāthā bhāṣate      dūrasthitena buddhena prajñācakṣur	dRzwa-satyA gATAH BAzate      dUra-sTitena budDena prajQAcakzuH-
   viśodhitaḥ /	viSoDitaH /
        namas tasmai suvaidyāya cikitsā yasyedṛśī //	namaH tasmE suvEdyAya cikitsA yasya-IdRSI //
        dūrasthitena buddhena dṛṣṭiśalyaḥ samuddhṛtaḥ /	dUra-sTitena budDena dRzwi-SalyaH samudDRtaH /
        namas tasmai suvaidyāya dṛṣṭiśalyāpahāriṇe //	namaH tasmE su-vEdyAya dRzwi-Salya-apahAriNe //
   iti; gāthā bhāṣitvā tān vaṇijān idam avocat: bhavanto yadā yūyaṃ gacchata	iti; gATAH BAzitvA tAn vaNijAn idam avocat: BavantaH yadA yUyam gacCata
   tadā rocayiṣyatha iti; tatas te paṇyam visarjayitvā pratipaṇyam ādāya	tadA rocayizyaTa iti; tatas te paNyam visarjayitvA pratipaNyam AdAya
   muktikāyā sakāśam upasaṃkrāntāḥ; (A 335a) devi, vayaṃ saṃprasthitāḥ,	muktikAyAH sakASam upasaMkrAntAH; (A 335a) devi, vayam saMprasTitAH,
   ājñāpaya kim asmābhiḥ karaṇīyam iti; sā kathayati; mama vacanena	AjQApaya kim asmABiH karaNIyam iti; sA kaTayati; mama vacanena
   bhagavataḥ pādau śirasā vanditavyau alpābādhatāṃ ca praṣṭavyo 'lpātaṅkatāṃ	BagavataH pAdO SirasA vanditavyO alpa-AbADa-tAm ca prazwavyaH alpa-AtaFka-tAm
   ca laghūtthānatāṃ ca yātrām ca balaṃ ca sukhaṃ cānavadyatāṃ ca	ca laGu-utTAna-tAm ca yAtrAm ca balam ca suKam ca-anavadyatAm ca
   sparśavihāratāṃ ca; (Adhik-v 68) evaṃ ca vaktavyo: yad bhadanta	sparSa-vihAra-tAm ca; (a-aDik-u 68) evam ca vaktavyo: yat Badanta
   kalyāṇamitreṇa karaṇīyam bhagavatā tat kṛtam; mayā bhagavantaṃ	kalyANa-mitreNa karaNIyam BagavatA tat kRtam; mayA Bagavantam
   kalyāṇamitram āgamyoddhṛto narakatiryakpretebhyaḥ pādaḥ, pratiṣṭhito	kalyANa-mitram Agamya-udDRtaH naraka-tiryak-preteByaH pAdaH, pratizWitaH-
   devamanuṣyeṣu, paryantīkṛtaḥ saṃsāraḥ, ucchoṣitā rudhirāśrusamudrāḥ,	deva-manuzyezu, paryantIkRtaH saMsAraH, ucCozitAH ruDira-aSru-samudrAH,
   laṅghitā asthiparvatāḥ, anādikālopacitam satkāyadṛṣṭiśailaṃ jñānavrajeṇa	laFGitAH asTi-parvatAH, anAdi-kAla-upacitam sat-kAya-dRzwi-SElam jQAna-vrajeNa
   bhitvā srotaāpattiphalaṃ sākṣātkṛtam; abhikrāntāhaṃ bhadanta abhikrāntā;	BitvA srotaApatti-Palam sAkzAtkRtam; aBikrAntA-aham Badanta aBikrAntA;
   eṣāhaṃ bhagavantaṃ śaraṇaṃ gacchāmi dharmaṃ ca bhikṣusaṅghaṃ ca; upāsikāṃ	ezA-aham Bagavantam SaraNam gacCAmi Darmam ca Bikzu-saFGam ca; upAsikAm
   ca saṃdhāraya adyāgreṇa yāvajjīvaṃ prāṇopetāṃ śaraṇāgatām abhiprasannām	ca saMDAraya adya-agreNa yAvajjIvam prANa-upetAm SaraNa-AgatAm aBiprasannAm
   iti; idaṃ ca muktāprasthatrayaṃ nayata ekaṃ bhddhāya ekaṃ dharmāya ekaṃ	iti; idam ca muktA-prasTa-trayam nayate ekam BdDAya ekam DarmAya ekam
   saṃghāya iti; tatas te vaṇijaḥ paṇyādānam saṃdeśaṃ cādāya saṃprasthitāḥ;	saMGAya iti; tatas te vaNijaH paNya-AdAnam saMdeSam ca-AdAya saMprasTitAH;
   anupūrveṇa śrāvastīm anuprāptāḥ; mārgaśramaṃ prativinodya bhagavatsakāśam	anupUrveNa SrAvastIm anuprAptAH; mArga-Sramam prativinodya Bagavat-sakASam
   upasaṃkrāntāḥ; pādayor nipatya yathāsaṃdiṣṭaṃ samākhyāya bhagavantam idam	upasaMkrAntAH; pAdayoH nipatya yaTAsaMdizwam samAKyAya Bagavantam idam
   avocan: idaṃ bhadanta muktāprasthatrayaṃ muktikayā preṣitam, ekaṃ buddhāya	avocan: idam Badanta muktA-prasTa-trayam muktikayA prezitam, ekam budDAya
   ekaṃ dharmāya ekaṃ saṃghāya iti; āyuṣman ānando bhagavantaṃ pṛcchati:	ekam DarmAya ekam saMGAya iti; Ayuzman AnandaH Bagavantam pRcCati:
   kutra bhadanta prābhṛtam āgatam; bhagavān āha: dṛṣṭā tvayā ānanda	kutra Badanta prABRtam Agatam; BagavAn Aha: dRzwA tvayA Ananda
   mahānāmnaḥ śākyasya preṣyadārikā rohikā nāma mamāntikāt dharmaṃ śrutvā	mahAnAmnaH SAkyasya prezya-dArikA rohikA nAma mama-antikAt Darmam SrutvA
   prakrāntā; antarmārge ca gavā taruṇavatsayā jīvitād vyaparopitā? dṛṣṭā,	prakrAntA; antar-mArge ca gavA taruNa-vat-sayA jIvitAt vyaparopitA? dRzwA,
   bhadanta; sā mamāntike cittam abhiprasādya kālagatā; siṃhaladvīpe	Badanta; sA mama-antike cittam aBiprasAdya kAlagatA; siMhala-dvIpe
   siṃhalarājasya duhitā saṃvṛttā muktikā nāma; dṛṣṭasatyayā tayā etat	siMhala-rAjasya duhitA saMvRttA muktikA nAma; dRzwa-satyayA tayA etat-
   prābhṛtam anupreṣitam; ato yo buddhasya bhāgas tena gandhakuṭyāṃ pralepaṃ	prABRtam anuprezitam; atas yaH budDasya BAgaH tena ganDakuwyAm pralepam
   dadata; yo dharmasya sa dharmadharāṇāṃ pudgalānām; yaḥ saṃghasya taṃ	dadata; yaH Darmasya sa Darma-DarANAm pudgalAnAm; yaH saMGasya tam
   samagraḥ saṃgho bhajayatu	samagraH saMGaH Bajayatu
        bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayacchettāraṃ buddhaṃ bhagavantaṃ	BikzavaH saMSaya-jAtAH sarva-saMSaya=-CettAram budDam Bagavantam
   papracchuḥ: kiṃ bhadanta muktikā karma kṛtaṃ yena dāsī saṃvṛttā, kiṃ karma	papracCuH: kim Badanta muktikA karma kRtam yena dAsI saMvRttA, kim karma
   kṛtaṃ yena āḍhye rājakule pratyājātā, satyadarśanaṃ ca kṛtam? iti;	kRtam yena AXye rAja-kule pratyAjAtA, satya-darSanam ca kRtam? iti;
   bhagavān āha: muktikayaiva bhikṣavaḥ karmāṇi kṛtāny upacitāni	BagavAn Aha: muktikayA-eva BikzavaH karmANi kRtAni upacitAni
   labdhasaṃbhāraṇi pariṇatapratyayāny oghavat pratyupasthitāni	labDa-saMBAraNi pariNata-pratyayAni oGavat pratyupasTitAni
   avaśyabhāvīnīti muktikayā karmāṇi kṛtāny upacitāni ko 'nyaḥ	avaSya-BAvIni-iti muktikayA karmANi kRtAni upacitAni kaH anyaH
   pratyanubhaviṣyati? na bhikṣavaḥ karmāṇi kṛtāny upacitāni bāhye	pratyanuBavizyati? na BikzavaH karmANi kRtAni upacitAni bAhye
   pṛthivīdhātau vipacyante nābdhātau ḥna tejodhātāuḥ na vāyudhātāv api	pRTivI-DAtO vipacyante na-abDAtO Hna tejaH-DAtAuH na vAyu-DAtO api
   tūpātteṣu skandhadhātvāyataneṣu karmāṇi kṛtāni vipacyante śubhāny aśubhāni	tu-upAttezu skanDa-DAtu-Ayatanezu karmANi kRtAni vipacyante SuBAni aSuBAni
   ca (Adhik-v 69)	ca (a-aDik-u 69)
        na praṇaśyanti karmāṇy api kalpaśatair api /	na praNaSyanti karmANi api kalpa-SatEH api /
        sāmagrīṃ prāpya kālaṃ ca phalanti khalu dehināṃ //	sAmagrIm prApya kAlam ca Palanti Kalu dehinAm //
   The story of the wife of the guild-leader	The storI of Te wife of Te guild-leadeH-
        (concerning a previous life of Muktikā)	(ca-uncerninj a previouH life of MuktikA)
        bhūtapūrvaṃ bhikṣavo 'sminn eva bhadrake kalpe	BUta-pUrvam BikzavaH asmin eva Badrake kalpe
   viṃśativarṣasahasrāyuṣi prajāyāṃ kāśyapo nāma śāstā loka udapādi	viMSati-varza-sahasra-Ayuzi prajAyAm kASyapaH nAma SAstA loke udapAdi
   vidyācaraṇasaṃpannaḥ sugato (A 335b) lokavid anuttaraḥ puruṣadāmyasārathiḥ	vidyA-caraNa-saMpannaH sugataH (A 335b) loka-vid anuttaraH puruza-dAmya-sAraTiH
   śāstā devamanuṣyāṇāṃ buddho bhagavān; sakalaṃ buddhakāryaṃ kṛtvā	SAstA deva-manuzyANAm budDaH BagavAn; sakalam budDa-kAryam kRtvA
   indhanakṣayād ivāgnir vārāṇasyāṃ nirupadhiśeṣe nirvāṇadhātau parinirvṛtaḥ;	inDana-kzayAt iva-agniH vArANasyAm nirupaDi-Seze nirvANa-DAtO parinirvRtaH;
   tasya kṛkiṇā rājñā sarvagandhakāṣṭhaiś citāṃ citvā mahatā satkāreṇa	tasya kRkiNA rAjQA sarva-ganDa-kAzWEH citAm citvA mahatA satkAreNa
   dhyāpitaḥ; sā citā kṣīreṇa nirvāpitā; tāny asthīni sauvarṇe kumbhe	DyApitaH; sA citA kzIreNa nirvApitA; tAni asTIni sOvarNe kumBe
   prakṣipya caturmahāpathe catūratnamayaḥ stūpaḥ pratiṣṭhāpitaḥ	prakzipya catur-mahApaTe catU-ratna-mayaH stUpaH pratizWApitaH
   yojanasāmantakenārdhayojanam uccatvena mahāmahaś ca pratisthāpitam	yojana-sAmantakena-arDa-yojanam ucca-tvena mahA-mahaH ca pratisTApitam
        vārāṇasyām anyataraḥ śreṣṭḥī mahādhano mahābhogo	vArANasyAm anyataraH SrezwHI mahADanaH mahA-BogaH-
   vistīrṇaviśālaparigraho vaiśravaṇadhanasamudito	vistIrNa-viSAla-parigrahaH vESravaNa-Dana-samuditaH-
   vaiśravaṇadhanapratispardhī; tena sadṛśāt kulāt kalatram ānītam; sa tayā	vESravaNa-Dana-pratisparDI; tena sadRSAt kulAt kalatram AnItam; sa tayA
   sārdhaṃ krīḍati ramate paricārayati; tasya krīḍato ramamāṇasya	sArDam krIxati ramate paricArayati; tasya krIxataH ramamANasya
   paricārayataḥ na putro na duhitā; sa kare kapolaṃ datvā cintāparo	paricArayataH na putraH na duhitA; sa kare kapolam datvA cintA-paraH-
   vyavasthitaḥ: anekadhanasamuditaṃ me gṛham, na me putro na duhitā;	vyavasTitaH: aneka-Dana-samuditam me gRham, na me putraH na duhitA;
   mamātyayāt sarvasvāpateyam aputraka iti kṛtvā rājavidheyaṃ bhaviṣyati iti;	mama-atyayAt sarva-svApateyam aputrakaH iti kRtvA rAja-viDeyam Bavizyati iti;
   sa śramaṇabrāhmaṇasuhṛtsaṃbandhibāndhavanaimittikair ucyate: devatārādhaṃ	sa SramaNa-brAhmaNa-suhRd-saMbanDi-bAnDava-nEmittikEH ucyate: devatA-ArADam
   kuruṣva, putras te bhaviṣyati iti; so 'putraḥ putrābhinandī	kuruzva, putraH te Bavizyati iti; saH aputraH putra-aBinandI
   śivavaruṇakuberaśakrabrahmādīn ḥanyān caḥ devatāviśeṣān āyācate, tadyathā	Siva-varuNa-kubera-Sakra-brahma-AdIn HanyAn caH devatA-viSezAn AyAcate, tat-yaTA
   ārāmadevatā vanadevatāś catvaradevatāḥ śṛṅgāṭakadevatā balipratigrāhikā	ArAma-devatAH vana-devatAH catvara-devatAH SRFgAwaka-devatA bali-pratigrAhikA
   devatā sahajā sahadharmikā nityānubaddhā api devatā āyācae; asti caiṣa	devatA sahajA sahaDarmikA nitya-anubadDAH api devatAH AyAcae; asti ca-eza
   loke pravādaḥ yad āyācanahetoḥ putrā jāyante duhitaraś ceti; tac ca	loke pravAdaH yat AyAcana-hetoH putrAH jAyante duhitaraH ca-iti; tat ca
   naivam; yady evam abhaviṣyad ekaikasya putrasahasram abhaviṣyat tadyathā	na-evam; yadi evam aBavizyat ekEkasya putra-sahasram aBavizyat tat-yaTA
   rājñaḥ cakravartinaḥ; api trayāṇāṃ sthānānām saṃmukhībhāvāt putrā jāyante	rAjQaH cakravartinaH; api trayANAm sTAnAnAm saMmuKIBAvAt putrAH jAyante
   duhitaraś ca; katameṣāṃ (Adhik-v 70) trayāṇām? mātāpitarau raktau bhavataḥ	duhitaraH ca; katamezAm (a-aDik-u 70) trayANAm? mAtA-pitarO raktO BavataH
   saṃnipatitau, mātā ca kalyā bhavati ṛtumatī gandharvaś ca pratyupasthito	saMnipatitO, mAtA ca kalyA Bavati RtumatI ganDarvaH ca pratyupasTitaH-
   bhavati; eṣāṃ trayāṇām sthānānāṃ saṃmukhībhāvāt putrā jāyante duhitaraś	Bavati; ezAm trayANAm sTAnAnAm saMmuKIBAvAt putrAH jAyante duhitaraH-
   ca; tena putrasaṃvartanīyaṃ karma na kṛtam; tenāsya na putro na duhitā;	ca; tena putra-saMvartanIyam karma na kRtam; tena-asya na putraH na duhitA;
   yāvad asau glānye nipatitaḥ; sa upasthīyate	yAvat asO glAnye nipatitaH; saH upasTIyate
   mūlagaṇḍapatrapuṣpaphalabhaiṣajyaiḥ; na cāsau vyādhir upaśamaṃ gacchati;	mUla-gaNxa-patra-puzpa-Pala-BEzajyEH; na ca-asO vyADiH upaSamam gacCati;
   tato 'sya patnī saṃlakṣayati: anekadhanasamuditaṃ me gṛham, na me putro na	tatas asya patnI saMlakzayati: aneka-Dana-samuditam me gRham, na me putraH na
   duhitā, ayaṃ ca me svāmī kālaṃ kariṣyati; tad idānīṃ yadi pāralaukikaṃ	duhitA, ayam ca me svAmI kAlam karizyati; tat idAnIm yadi pAralOkikam
   pathyadanam na gṛhṇāti sarvaṃ me tad dhanajātam aputraka iti kṛtvā	paTi-a-danam na gRhNAti sarvam me tat Dana-jAtam aputrakaH iti kRtvA
