   āryaśālistambakamahāyānasūtraṭīkā	Arya-SAli-stambaka-mahAyAna-sUtrawIkA
   paśyati, sa	paSyati, sa
   dharmaṃ buddhaṃ ca paśyati |	Darmam budDam ca paSyati |
   ityuktvā nāyako bhikṣūn tūṣṇīṃ bhāvamavasthitaḥ |	iti-uktvA nAyakaH BikzUn tUzNIm BAvam-avasTitaH |
   aṣṭāṅgamāryadharmaṃ phaladharmādhigamasvabhāvatāṃ saskandhanirvāṇaṃ aśeṣa	azwAFgam-Arya-Darmam Pala-Darma-aDigama-svaBAva-tAm sa-skanDa-nirvANam aSeza
   skandhābhidhānamapi ca yathāvat paśyati ityuktvā bhagavāṃstūṣṇīṃ	skanDa-aBiDAnam-api ca yaTAvat paSyati iti-uktvA BagavAn=-tUzNIm
   bhāvamavasthitaḥ | tadā ityādi tu bhikṣuśāriputro bodhisattvaṃ maitreyam	BAvam-avasTitaH | tadA ityAdi tu Bikzu-SAriputraH boDisattvam mEtreyam
   upasaṃkramyedaṃ paryapṛcchat | ityuktvā iti bhagavataḥ śāriputreṇa	upasaMkramya-idam paryapRcCat | iti-uktvA iti BagavataH SAriputreNa
   yatsūtraṃ śrutaṃ tad bhikṣūn uktvā upadiśya | nāyaka iti vividhopāyanayena	yat-sUtram Srutam tat BikzUn uktvA upadiSya | nAyakaH iti viviDa-upAyanayena
   sattvānām nayanatvān nāyakaḥ | tūṣṇīṃbhāvamavasthitaḥ samādhiṃ samāpadya	sattvAnAm nayana-tvAt nAyakaH | tUzNIMBAvam-avasTitaH samADim samApadya
   viharati sm ityadhivacanam | bhikṣuḥ śāriputraḥ śrutvā ityuvāca bhikṣuḥ	viharati sm iti-aDivacanam | BikzuH SAriputraH SrutvA iti-uvAca BikzuH
   iti - kleśabhañjanād bhikṣuḥ | śāriputraḥ śrutvā iti tu bhagavataḥ śrutvā	iti  kleSa-BaQjanAt BikzuH | SAriputraH SrutvA iti tu BagavataH SrutvA
   | sūtre tadāyuṣmān śāriputro maitreyo bodhisattvo mahāsattvo yatretyādinā	| sUtre tad-AyuzmAn SAriputraH mEtreyaH boDisattvaH mahAsattvaH yatra-ityAdinA
   deśitavān | gatvā maitreyasannidhau tu yatra bodhisattvo maitreyo dine	deSitavAn | gatvA mEtreya-sanniDO tu yatra boDisattvaH mEtreyaH dine
   sadāvasthitaḥ, tatra gatvā, ubhau śilātale upaviśatām | athāyuṣmān	sadA-avasTitaH, tatra gatvA, uBO SilA-tale upaviSatAm | aTa-AyuzmAn
   śāriputro maitreyaṃ bodhisattvametadavocat -	SAriputraH mEtreyam boDisattvam-etat-avocat -
   tathāgate 'dya maitreya uktyarthaṃ na vibhajya ca |	taTAgate adya mEtreyaH ukti-arTam na viBajya ca |
   tṛṣṇīṃbhāve sthite cātra tadartho gamyate katham | ityuktam |	tRzNIMBAve sTite ca-atra tad-arTaH gamyate kaTam | iti-uktam |
   adya maitreya ityuktvā bhikṣūn bhagavān śālistambopamādeśanayā yaduktam -	adya mEtreyaH iti-uktvA BikzUn BagavAn SAli-stamba-upama-AdeSanayA yat-uktam -
   maitreya! sugatoktasūtrāntārthaḥ katamaḥ? bhagavatāpyartho na vibhaktaḥ |	mEtreya! sugata-ukta-sUtra-anta-arTaH katamaH? BagavatA-api-arTaH na viBaktaH |
   sarvajñagocara-viṣayāṇāmapi sarvaśrāvaka-pratyekabuddha-viṣayātikrāntatvāt	sarvajQa-gocara--vizayANAm-api sarva-SrAvaka--pratyekabudDa--vizaya-atikrAnta-tvAt
   pratītyasamutpādaḥ katamaḥ? dharmaḥ katamaḥ? buddhaḥ katamaḥ? ityādi	pratItyasamutpAdaH katamaH? DarmaH katamaH? budDaH katamaH? ityAdi
   apṛcchat | ayameva sūtrakāreṇa sūtrasambandha uktam -	apRcCat | ayam-eva sUtrakAreNa sUtra-sambanDaH uktam -
   kiṃ pratītyaṃ ca dharmaḥ kaḥ buddho 'pi katamastathā | ityuktam |	kim pratItyam ca DarmaH kaH budDaH api katamaH-taTA | iti-uktam |
   kathaṃ ca pratītyasamutpādaṃ paśyan dharmaṃ paśyati | dharmaṃ paśyan	kaTam ca pratItyasamutpAdam paSyan Darmam paSyati | Darmam paSyan
   buddhaṃ paśyati? iti tu	budDam paSyati? iti tu
   pratītyaṃ tu kathaṃ dṛṣṭvā dharmaṃ buddhaṃ ca paśyati |	pratItyam tu kaTam dRzwvA Darmam budDam ca paSyati |
   sandeho me 'tra brūhīti ūce śārisuto 'jitam |	sandehaH me atra brUhi-iti Uce SArisutaH ajitam |
   sthaviraśāriputraḥ tatsandehotpādād ajitamāha | ajitastu maitreyaḥ | kiṃ	sTavira-SAriputraH tad-sandeha-utpAdAt ajitam-Aha | ajitaH-tu mEtreyaH | kim
   viśeṣaṇako maitreyaḥ?	viSezaNakaH mEtreyaH?
   bhāvātmikā hi maitrī syān maitreyo 'brūta nirṇayam |	BAva-AtmikA hi mEtrI syAt mEtreyaH abrUta nirNayam |
   maitrī samādhyanvitatvāt supratiṣṭhatvāt maitrī bhāvātmikā | nirṇayamiti	mEtrI samADi-anvita-tvAt su-pratizWa-tvAt mEtrI BAva-AtmikA | nirNayam-iti
   tu niścayaḥ | abrūteti udīritavān | kamiti cet? śāriputram | kimuktamiti	tu niScayaH | abrUta-iti udIritavAn | kam-iti cet? SAriputram | kim-uktam-iti
   cet anna bhagavatā ityādi uktam | yo bhikṣavaḥ pratītyasamutpādam ityādi |	ced anna BagavatA ityAdi uktam | yaH BikzavaH pratItyasamutpAdam ityAdi |
   katama pratītyasamutpādo nāma | yadidam - avidyāpratyayāḥ saṃskārāḥ |	katama pratItyasamutpAdaH nAma | yat-idam  avidyA-pratyayAH saMskArAH |
   saṃskārapratyayaṃ vijñānam | vijñānapratyayaṃ nāmarūpam |	saMskAra-pratyayam vijQAnam | vijQAna-pratyayam nAma-rUpam |
   nāmarūpapratyayaṃ ṣaḍāyatanam | ṣaḍāyatanapratyayaḥ sparśaḥ |	nAma-rUpa-pratyayam zaz-Ayatanam | zaz-Ayatana-pratyayaH sparSaH |
   sparśapratyayā vedanā | vedanāpratyayā tṛṣṇā| tṛṣṇāpratyayamupādānam |	sparSa-pratyayAH vedanA | vedanA-pratyayA tRzNA| tRzNA-pratyayam-upAdAnam |
   upādānapratyayo bhavaḥ | bhavapratyayā jātiḥ | jātipratyayaṃ jarāmaraṇam |	upAdAna-pratyayaH BavaH | Bava-pratyayA jAtiH | jAti-pratyayam jarA-maraNam |
   jarāmaraṇapratyayāḥ śoka-parideva-duḥkha-daurmanasyopāyāsāḥ sambhavanti |	jarA-maraNa-pratyayAH Soka--parideva--duHKa-dOrmanasya-upAyAsAH samBavanti |
   evamasya kevalasya mahato duḥkhaskandhasya samudayo bhavati | ayamucyate	evam-asya kevalasya mahataH duHKa-skanDasya samudayaH Bavati | ayam-ucyate
   pratītyasamutpādo bhagavatā | tatra pratītyasamutpādo nāma sahetukaḥ	pratItyasamutpAdaH BagavatA | tatra pratItyasamutpAdaH nAma sa-hetukaH
   sapratyayo nāhetuko nāpratyayaḥ |	sa-pratyayaH na-ahetukaH na-apratyayaH |
   tasmāt pratītyasamutpāda ityucyate | api ca - avidyādibhavāṅgādīnām ayaṃ	tasmAt pratItyasamutpAdaH iti-ucyate | api ca  avidyA-Adi-Bava-aFga-AdInAm ayam
   sambhavakramaḥ kathamavagantavyaḥ? lakṣaṇaṃ katamat? karma ca katamad iti	samBava-kramaH kaTam-avagantavyaH? lakzaNam katamat? karma ca katamat iti
   cet? ucyate | tatra pratītyasamutpādo dvābhyāṃ kāraṇābhyāmutpanno	cet? ucyate | tatra pratItyasamutpAdaH dvAByAm kAraNAByAm-utpanno
   'vagantavyaḥ | katamābhyāṃ dvābhyām? ucyate? hetūpanibandhataḥ	avagantavyaH | katamAByAm dvAByAm? ucyate? hetu-upanibanDataH
   pratyayopanibandhataśca | sa ca pratītyasamutpādo bāhya ādhyātmikaśca	pratyaya-upanibanDataH-ca | sa ca pratItyasamutpAdaH bAhyaH ADyAtmikaH-ca
   pṛthaktvād dvividho vyavasthāpitaḥ | kathamiti? ucyate | "	pRTaktvAt dviviDaH vyavasTApitaH | kaTam-iti? ucyate | "
   bījādaṅkurotpādāt phalotpādaparyantam | bīje sati aṅkuraḥ prādurbhavati	bIjAt-aFkura-utpAdAt Pala-utpAda-paryantam | bIje sati aFkuraH prAdurBavati
   phalaprādurbhāvaśca | asati ca bīje aṅkurānutpādāt, na hi phalotpāda iti |	Pala-prAdurBAvaH-ca | asati ca bIje aFkurAn-utpAdAt, na hi Pala-utpAdaH iti |
   bījasya naivaṃ bhavati ahamaṅkuramabhinirvartayāmīti | aṅkurasyāpi naivaṃ	bIjasya na-evam Bavati aham-aFkuram-aBinirvartayAmi-iti | aFkurasya-api na-evam
   bhavati ahaṃ bījenābhinirvartita iti | evaṃ yāvat puṣpasyāpi naivaṃ	Bavati aham bIjena-aBinirvartitaH iti | evam yAvat puzpasya-api na-evam
   bhavati phalamabhinirvartayāmīti | phalasyāpi naivaṃ bhavati	Bavati Palam-aBinirvartayAmi-iti | Palasya-api na-evam Bavati
   ahamaṅkura-puṣpābhyām abhinirvartita iti | atha punarbīje sati aṅkurāt	aham-aFkura--puzpAByAm aBinirvartitaH iti | aTa punar-bIje sati aFkurAt-
   phalaparyantaṃ prādurbhavati | evaṃ bāhyapratītyasamutpādaḥ	Pala-paryantam prAdurBavati | evam bAhya-pratItyasamutpAdaH
   pratyayopanibandho draṣṭavyaḥ |	pratyaya-upanibanDaH drazwavyaH |
   bāhyapratītyasamutpādaḥ pratyayopanibandhaḥ kathaṃ draṣṭavyaḥ? ucyate |	bAhya-pratItyasamutpAdaH pratyaya-upanibanDaH kaTam drazwavyaH? ucyate |
   ṣaṇṇāṃ dhātūnāṃ samavāyāt | katameṣāṃ ṣaṇṇāṃ dhātūnāmiti | yadidaṃ	zaNNAm DAtUnAm samavAyAt | katamezAm zaNNAm DAtUnAm-iti | yat-idam
   pṛthivyādi ca kālaśca | evaṃ bāhyapratītyasamutpādaḥ pratyayopanibandho	pRTivI-Adi ca kAlaH-ca | evam bAhya-pratItyasamutpAdaH pratyaya-upanibanDaH-
   draṣṭavyaḥ | bījaṃ pṛthivyādau kiṃ hitaṃ kṛtvā hetoḥ pratyayaṃ matamiti |	drazwavyaH | bIjam pRTivI-AdO kim hitam kRtvA hetoH pratyayam matam-iti |
   pṛthivyādi tu saṃdhāraṇamityādi, snehanaṃ, pācanaṃ, nirharaṇam, anāvaraṇaṃ	pRTivI-Adi tu saMDAraNam-ityAdi, snehanan, pAcanan, nirharaNam, anAvaraNam
   pariṇāmanāṃ ca kramaśaḥ karoti | asatsveṣu na bhavati | yadāvikalo	pariNAmanAm ca kramaSas karoti | asatsvezu na Bavati | yadA-avikalaH-
   bhavati, tataḥ sarveṣāṃ samavāyād tadbhavati | pṛthivyādau rnaivaṃ bhavati	Bavati, tatas sarvezAm samavAyAt tat-Bavati | pRTivI-AdO rna-evam Bavati
   vayaṃ bījasaṃdhāraṇādi karomīti | bījasyāpi naivaṃ bhavati ahaṃ eteṣāṃ	vayam bIja-saMDAraNa-Adi karomi-iti | bIjasya-api na-evam Bavati aham etezAm
   pratyayena saṃdhāraṇādi kāryeṇa hitaṃ karomi | atha punaḥ pṛthivyādiṣu	pratyayena saMDAraNa-Adi kAryeNa hitam karomi | aTa punar pRTivI-Adizu
   satsu bījādaṅkurādi prādurbhavati, asatsu ca na bhavati | tasmādeva	satsu bIjAt-aFkura-Adi prAdurBavati, asatsu ca na Bavati | tasmAt-eva
   sūtrakāreṇa uktam |	sUtrakAreNa uktam |
   dvādaśāṅgamavidyādimaraṇāntaṃ yathākramam |	dvAdaSa-aFgam-avidyA-Adi-maraNa-antam yaTAkramam |
   ityādi | bhavāṅgo yeṣāmavidyādimaraṇāntam asti, te avidyādi	ityAdi | Bava-aFgaH yezAm-avidyA-Adi-maraNa-antam asti, te avidyA-Adi
   maraṇaparyantāḥ |	maraNa-paryantAH |
   tasmāttarhi bhavantyeva duḥkhaskandhā hi kevalam | tasmād iti tu avidyādi	tasmAt-tarhi Bavanti-eva duHKa-skanDA hi kevalam | tasmAt iti tu avidyA-Adi
   kramaśaḥ prādurbhavati |	kramaSas prAdurBavati |
   duḥkhaskandhastu duḥkha-samūhaḥ | kevalamiti ātmātmīyaviyuktaḥ | bhavati	duHKa-skanDaH-tu duHKa--samUhaH | kevalam-iti Atma-AtmIya-viyuktaH | Bavati
   iti tu utpadyate |	iti tu utpadyate |
   dharmaścāṣṭāṅgiko mārgaḥ phalaṃ nirvāṇamucyate | ityuktam |	DarmaH-ca-azwAFgikaH mArgaH Palam nirvANam-ucyate | iti-uktam |
   dharmastu svalakṣaṇadhāraṇād dharmaḥ | aṣṭāṅgamārga iti tu	DarmaH-tu sva-lakzaNa-DAraNAt DarmaH | azwa-aFga-mArgaH iti tu
   mithyādṛṣṭi-mithyāsaṃkalpa-mithyāvāk-mithyākarmānta-mithyājīva-mithyāvyāyāma-mithyā-smṛti-mithyāsamādhayaḥ	miTyA-dRzwi--miTyA-saMkalpa--miTyA-avAk-miTyA-karma-anta--miTyA-jIva-miTyA-vyAyAma--miTyA--smRti-miTyA-samADayaH
   | tatra mithyādṛṣṭiriti mithyādarśanam | pañcadṛṣṭayastu	| tatra miTyAdRzwiH-iti miTyA-darSanam | paQca-dRzwayaH-tu
   satkāya-anta-dṛṣṭi-śīla-mithyāśceti | etāḥ sarvā api	satkAya-anta--dRzwi--SIla-miTyAH-ca-iti | etAH sarvAH api
   mithyāśravaṇacintanādiṣu praviṣṭāḥ | tasmāt kudṛṣṭitvāt mithyā	miTyA-SravaNa-cintana-Adizu pravizwAH | tasmAt kudRzwi-tvAt miTyA
   mārgācaraṇena aniṣṭavipākābhinirvartitatvāt hetu-karma-phalāni	mArga-AcaraNena anizwa-vipAka-aBinirvartita-tvAt hetu--karma--PalAni
   apavādāropākāreṇa praviṣṭatvān mithyādṛṣṭiriti | tatpratikūlatvāt	apavAdAra-upAkAreNa pravizwa-tvAt miTyAdRzwiH-iti | tad-pratikUla-tvAt
   samyakdṛṣṭiḥ mārgāṅga eva vyavasthāpitā | yoniśaḥ	samyak-dRzwiH mArga-aFgaH eva vyavasTApitAH | yoniSas-
   sthita-samyakśravaṇa-cintanādayaḥ śraddhāpūrvagatvāt	sTita--samyak-SravaNa--cintana-AdayaH SradDA-pUrva-ga-tvAt-
   hetu-phala-satya-ratna-karmaphaladi-bhāvadarśanaṃ hi samyakdṛṣṭiḥ |	hetu--Pala--satya-ratna--karma-Pala-di-BAva-darSanam hi samyak-dRzwiH |
   samyakmārgopayogād abhīṣṭaphalābhinirhāratvād	samyak-mArga-upayogAt aBIzwa-Pala-aBinirhAra-tvAt-
   anitya-duḥkha-śūnya-nairātmyā-dyākāreṇa praviṣṭa tvāt samyakdṛṣṭiriti |	anitya--duHKa--SUnya-nErAtmyA-dya-AkAreNa pravizwa tvAt samyak-dRzwiH-iti |
   tatra mithyāsaṃkalpaḥ-saṅkalpa-viparyayaḥ | saṅkalpo	tatra miTyA-saMkalpaH---saFkalpa--viparyayaH | saFkalpaH-
   gocara-viṣayālambanānām adhivacanam | gocaramiti ṣaḍviṣayā rūpādayaḥ |	gocara--vizaya-AlambanAnAm aDivacanam | gocaram-iti zaz-vizayAH rUpa-AdayaH |
   mithyeti viparyāsaḥ | nitya-sukha-śuci-ātmādyākārālambanād	miTyA-iti viparyAsaH | nitya--suKa--Suci-Atma-Adi-a-AkAra-AlambanAd
   rāga-dveṣa-mohavṛddheḥ mithyāsaṃkalpaḥ | tadviparītaḥ samyaksaṃkalpaḥ |	rAga--dveza--moha-vRdDeH miTyA-saMkalpaH | tad-viparItaH samyak-saMkalpaH |
   samyaṅnāma aviparyāsaḥ | saṃkalpastu kriyā, cintanaṃ ca idamidaṃ kariṣya	samyak-nAma aviparyAsaH | saMkalpaH-tu kriyA, cintanam ca idam-idam karizya
   iti ādau citte nidhāya kāya-vāk-citta-caryākuśalaḥ,	iti AdO citte niDAya kAya-vAc---citta--caryA-kuSalaH,
   rāga-dveṣa-moha-rahita-svabhāvaḥ, anitya-duḥkha-śūnya-nairātmyādisu	rAga--dveza--moha--rahita--svaBAvaH, anitya--duHKa--SUnya-nErAtmya-Adisu
   niyojito yo yoniśomana sikārayogaḥ (sa) samyaṅmārgāṅgam ityucyate |	niyojitaH yaH yoni-Somana sikAra-yogaH (sa) samyak-mArga-aFgam iti-ucyate |
   mithyāvāgiti durvacanam | svaparavisaṃvādākārapravṛttā yā vāk sā mithyāvāk	miTyA-avAk-iti durvacanam | sva-para-visaMvAda-AkAra-pravRttA yA vAc sA miTyA-vAc-
   | rāga-dveṣa-mohādyākārasambaddhatvād ātmastuti-parapaṃsana-svabhāvena	| rAga--dveza--moha-Adi-AkAra-sambadDa-tvAt Atma-stuti--para-paMsana--svaBAvena
   pravṛttā, caturvidha-vāgdoṣamiśritā	pravRttA, caturviDa-vAgdoza-miSritA
   samyak-satya-tathatā-sarvadharmaprahīṇā,	samyak--satya-taTatA--sarva-Darma-prahINA,
   rāja-caura-strī-gṛhastha-janakathāsvarūpā tuccha-vyarthatā-bahulā	rAja--cOra--strI-gRha-sTa--jana-kaTA-svarUpA tucCa--vyarTa-tA--bahulA
   sarvāryajana-ninditatvān mithyāvāg ityucyate | tatpratikūlatvāt	sarvArya-jana--nindita-tvAt miTyA-vAc iti-ucyate | tad-pratikUla-tvAt
   svaparāvisaṃvādākārā rāga-dveṣa-mohādi-rahita-svabhāvā,	sva-para-avisaMvAda-AkArA rAga--dveza--moha-Adi--rahita--svaBAvA,
   caturvidhavāgdoṣarahita-tvāt satya-samyak-tathatānusāriṇī,	caturviDa-vAc-doza-rahita-tvAt satya--samyak--taTatA-anusAriNI,
   catuḥsatyānukūlakaraṇā, sarvakuśaladharmasaṃgrahā	catur-satya-anukUla-karaNA, sarva-kuSala-Darma-saMgrahA
   hita-paricchinna-svarūpatvād ātmastuti-parapaṃsanavihīnā	hita--paricCinna--svarUpa-tvAt Atma-stuti--para-paMsana-vihInA
   anitya-duḥkha-śūnya(tā)-nairātmyādi-rūpeṇa pravṛtteḥ sarvārya	anitya--duHKa--SUnya(tA)--nErAtmya-Adi--rUpeNa pravRtteH sarva-Arya
   janāvisaṃvādinī samyaṅmārgānusāritvāt samyagvāg ityucyate |	jana-avisaMvAdinI samyak-mArga-anusAri-tvAt samyak-vAc iti-ucyate |
   mithyā-karmānto viparītakarmakaraṇam | karmeti	miTyA-karmAntaH viparIta-karma-karaNam | karma-iti
   kāya-vāk-citta-duṣkṛta-bījavapanād	kAya-vAk--citta--duzkRta--bIja-vapanAt-
   akṣayavipākaphalābhinirvartita-svabhāvākuśala-karmānta-kāritvāt	akzaya-vipAka-Pala-aBinirvartita--svaBAva-akuSala--karmAnta-kAri-tvAt
   kṣārādidoṣasaṃsṛṣṭakukṣetre kubījavapanavad	kzAra-Adi-doza-saMsRzwa-kukzetre kubIja-vapana-vat-
   anabhīṣṭavipākābhi-nirvartitatvāt paṃsanīyaḥ karmāntastu mithyākarmānta	anaBIzwa-vipAka-aBi--nirvartita-tvAt paMsanIyaH karmAntaH-tu miTyA-karmAnta
   ityucyate | karmarati-nidrārati-vādaratyādi-svabhāvaṃ mithyākarma	iti-ucyate | karma-rati--nidrA-arati--vAda-rati-Adi--svaBAvam miTyAkarma
   ityucyate | svaparāspṛṣṭa duḥkhapratiṣṭhādhārasvabhāvam, tadviruddhatvāt	iti-ucyate | sva-parAspRzwa duHKa-pratizWA-ADAra-svaBAvam, tad-virudDa-tvAt
   samyakkarmāntaḥ | aviparītakarmakṛttvāt kāya-vāk-citta-sukṛtabījavapanāt	samyak-karmAntaH | aviparIta-karma-kRt-tvAt kAya-vAk--citta--su-kRta-bIja-vapanAt
   satkṣetrasadṛśasukṛtakarmakṣetre	sat-kzetra-sadRSa-su-kRta-karma-kzetre
   'bhīṣṭavipākābhinirvartita-vidhi-pravṛtteḥ,	aBIzwa-vipAka-aBinirvartita--viDi--pravRtteH,
   anitya-duḥkha-śūnya(tā)-nairātmyādi-svarūpeṇa pravṛtteḥ, samyak	anitya--duHKa--SUnya(tA)--nErAtmya-Adi-svarUpeNa pravRtteH, samyak-
   karmānta-kāritvāt, samyak karmāntaḥ, sanmārgānusaraṇatvāt samyakmārga	karma-anta-kAritva-at, samyak karmAntaH, sat-mArga-anusaraNa-tvAt samyak-mArga
   ityucyate |	iti-ucyate |
   mithyājīvastu viparītājīvaḥ | kapaṭa-lapana-naiṣpeśikatva-naimittikatvena	miTyAjIvaH-tu viparIta-AjIvaH | kapawa--lapana--nEzpeSika-tva--nEmittika-tvena
   pravṛtya avipanna-kāya-vāgādyupajīvikayā puruṣa-stryādi-nimittadeśanena	pravRtya avipanna--kAya-vAc-a-Adi-upajIvikayA puruza---strI-Adi-nimitta-deSanena
   astra-aśva-kāvya-cikitsāparīkṣā-saṃkhyā-gṛhasthaparīkṣā-kumāraparīkṣā-sāmudrika-lakṣaṇaparīkṣā-nimittajñānādau	astra--aSva--kAvya--cikitsA-parIkzA--saMKyA--gRhasTa-parIkzA-kumAra-parIkzA-a-sAmudrika--lakzaNa-parIkzA--nimitta-jQAna-AdO
   svaparavisaṃvādarūpeṇa pravṛtteḥ tannayena cīvara-piṇḍādi-sādhanānuvṛttyā	sva-para-visaMvAda-rUpeNa pravRtteH tat-nayena cIvara--piNxa-Adi-sADana-anuvRttyA
   vihārastu mithyājīva ityucyate | tatpratikūlatvāt samyagājīvastu	vihAraH-tu miTyAjIvaH iti-ucyate | tad-pratikUla-tvAt samyak-AjIvaH-tu
   mārgāṅgamityucyate | samyak tu vidyāviyukta-kāya-vāk-cittapravṛtyā	mArga-aFgam-iti-ucyate | samyak tu vidyA-viyukta-kAya-vAk--citta-pravRtyA
   cīvarādi-sādhanam, tannayena ājīvaḥ samyagājīvānusaraṇatvāt	cIvara-Adi-sADanam, tat-nayena AjIvaH samyak-AjI-iva-anusaraNa-tvAt
   svaparāvi-saṃvādasvarūpākāratvād āryamārgānuvartitvāt, samyagājīvastu	sva-parAvi--saMvAda-svarUpa-AkAra-tvAt Arya-mArga-anuvarti-tva-at, samyak-AjIvaH-tu
   mārgasyāṅgameva vyavasthāpitaḥ | mithyāvyāyāmaḥ-vyāyāmastu prayatnaḥ |	mArgasya-aFgam-eva vyavasTApitaH | miTyAvyAyAmaH-vyAyAmaH-tu prayatnaH |
   mithyā iti viparyāsaḥ | asatkāya-vāk-citta-pracāraiḥ svaparāpakāro,	miTyA iti viparyAsaH | asat-kAya--vAk--citta--pracArEH sva-para-apakAraH-,
   yuddhādiprajñaptiḥ, dūtādigamanaṃ, cāraḥ, utpātaḥ,	yudDa-Adi-prajQaptiH, dUta-Adi-gamanan, cAraH, utpAtaH,
   nikṣepotkṣepāpohānapoha-sandhi-vidhinotpādaḥ,	nikzepa-utkzepa-apohAn-apoha--sanDi--viDinA-utpAdaH,
   kṣetra-vidyā-vyāpāra-rājyādi-svaparāpakāri-kāya-vāk-citta-pravṛtta-vividhākārārabdhāḥ	kzetra-vidyA--vyApAra--rAjya-Adi--su-a-parApakAri-kAya--vAk--citta--pravRtta--viviDa-AkAra-ArabDAH
   kriyāḥ prayatnāśca mithyāvyāyāma ityucyante | tadviruddhabhūtatvāt	kriyAH prayatnAH-ca miTyA-vyAyAmaH iti-ucyante | tad-virudDa-BUta-tvAt
   samyakvyāyāmaḥ |	samyak-vyAyAmaH |
   samyak-vyāyāmastu mārgāṅgaeva vyavasthāpitaḥ | yā	samyak-vyAyAmaH-tu mArga-aFgaA-iva vyavasTApitaH | yA
   kāyavākcittacaryāsvaparopakāra-mātrakuśalapravṛtyā āryamārgam anusarati sā	kAya-vAc-citta-caryA-su-apara-upakAra--mAtra-kuSala-pravRtyA Arya-mArgam anusarati sA
   samyagvyāyāmatvāt samyakvyāyāmaḥ | sa mārgāṅgameva ucyate | mithyā	samyak-vyAyAma-tvAt samyak-vyAyAmaH | sa mArga-aFgam-eva ucyate | miTyA
   smṛtiriti kutsanīyā smṛtiḥ mithyāsmṛtiḥ | smṛtistu smaraṇam | iyam mithyā	smRtiH-iti kutsanIyA smRtiH miTyA-smRtiH | smRtiH-tu smaraNam | iyam miTyA
   smṛtiścāpi bhūtatvān mithyāsmṛtiḥ | kālatrayaviṣayeṣu	smRtiH-ca-api BUta-tvAt miTyA-smRtiH | kAla-traya-vizayezu
   pūrvahāsa-ānandānubhūta-rūpa-śabda-gandha-rasa-sparśādīn anusmaran	pUrva-hAsa-a-Ananda-anuBUta--rUpa--Sabda--ganDa--rasa--sparSa-AdIn anusmaran
   anukathanam | tatrāpi adhyavasāna-anurāga-pratighatādi-paridveṣatvāt	anukaTanam | tatra-api aDyavasAna--anurAga--pratiGata-Adi-paridveza-tvAt-
   svaparāpakārakāritvād, abhīṣṭavipākasambaddhatvācca	sva-para-apakAra-kAri-tvAd, aBIzwa-vipAka-sambadDa-tvAt-ca
   mithyā-nimitta-manasikārastu mithyāsmṛtiḥ | tadviruddhatvāt	miTyA--nimitta--manasikAraH-tu miTyA-smRtiH | tad-virudDa-tvAt
   samyak-smṛtistu mārgāṅgameva kathitā | guṇānusmaraṇaṃ pūrvīkṛtya	samyak--smRtiH-tu mArga-aFgam-eva kaTitAH | guNa-anusmaraNam pUrvIkRtya
   buddha-dharma-saṃgha-śīla-tyāga-devādyanusmaraṇaṃ samyaksmṛtiḥ mārgāṅgam	budDa--Darma--saMGa--SIla--tyAga-deva-Adi-anusmaraNam samyak-smRtiH mArga-aFgam
   eva ucyate | samādhikāryaṃ-samādhistu dhyānam | sarvathā samādhāya	eva ucyate | samADi-kAryaM-samADiH-tu DyAnam | sarvaTA samADAya
   dhāraṇatvāt samādhiḥ | sa tu mithyāpi san, samādhirapi bhūtatvān	DAraNa-tvAt samADiH | sa tu miTyA-api san, samADiH-api BUta-tvAn
   mithyāsamādhiḥ mithyeti tu viparyayaḥ |	miTyA-samADiH miTyA-iti tu viparyayaH |
   īśvara-svabhāva-kāla-pradhānādhyātmātmādyasatsu tatrālambanapūrvakaṃ	ISvara--svaBAva--kAla--praDAna-aDyAtma-Atma-Adyasatsu tatra-Alambana-pUrvakam
   yaccitta-spharaṇaṃ syāt, api tu-rūpādi-bāhyavastūni	yat-citta--sParaNam syAt, api tu-rUpa-Adi-bAhya-vastUni
   anitya-duḥkha-śūnya-nairātmyākārīṇi nitya-sukha-śucyātma dṛṣṭayāditayā	anitya--duHKa--SUnya-nErAtmya-akArINi nitya--suKa--Suci-Atma dRzwa-yA-AditayA
   adhyavasīya teṣu ālambanapūrvakaṃ yaccittaspharaṇam, sādhyavasāya pūrvakaṃ	aDyavasIya tezu Alambana-pUrvakam yad-citta-sParaNam, sADyavasAya pUrvakam
   yaccittādhiṣṭhānaṃ tattu mithyāsamādhirityucyate | tadviruddhaṃ	yat-citta-aDizWAnam tat-tu miTyA-samADiH-iti-ucyate | tad-virudDam
   cittādhiṣṭhānaṃ samyaksamādhirityucyate | skandha	citta-aDizWAnam samyak-samADiH-iti-ucyate | skanDa
