   bodhicittotpādasūtraśāstra	boDi-citta-utpAda-sUtra-SAstra
   nevasaṃjñānāsṃjñāsparśaṃ tataḥ praviśati naiva saṃjñānāsaṃjñāyatanam |	neva-saMjQA-nAsMjQA-sparSam tatas praviSati na-eva saMjQAna-asaMjQA-Ayatanam |
   sarvadharmānkevalamanusmarañcarati na ca rajyati gaveṣayatyanuttaraṃ	sarva-DarmAn-kevalam-anusmaraQcarati na ca rajyati gavezayati-anuttaram
   mahāyānam | pūrayatyanuttarāṃ samyak sambodhimiti bhāvanāmayī praḥyā |	mahAyAnam | pUrayati-anuttarAm samyak samboDim-iti BAvanA-mayI praHyA |
   bodhisattvaḥ śrutena cintayā bhāvanayā ca saṃgṛhṇāti cittam | tataḥ	boDisattvaH Srutena cintayA BAvanayA ca saMgRhNAti cittam | tatas-
   pūrayati [ṣaḍ] abhijñā[stisro] vidyāḥ samādhi dhyānapāramitām ||	pUrayati [zax] aBijQA[H-tisro] vidyAH samADi DyAna-pAramitAm ||
   7 | dhyāyanbodhisattvaḥ punarācarati	7 | DyAyan-boDisattvaH punar-Acarati
   daśadharmāñchrāvakapratyekabuddhāveṇikān | ke deśa |	daSa-DarmAn-SrAvaka-pratyekabudDa-AveNikAn | ke deSaH |
   dhyāyannairātmyamavāpnoti tathāgatadhyānānīti prathamaḥ dhyānna ca sakto	DyAyat-nErAtmyam-avApnoti taTAgata-DyAnAni-iti praTamaH DyAn-na ca saktaH-
   na ca rakto na ca bhavati kliṣṭacitto na ca gaveṣayatyātmasukhamiti	na ca raktaH na ca Bavati klizwa-cittaH na ca gavezayati-Atma-suKam-iti
   dvitīyaḥ | dhyāyannavāpnotyuddhikarmāṇi pariḥyātuṃ sattvānāṃ	dvitIyaH | DyAyan=-avApnoti-udDi-karmANi pariHyAtum sattvAnAm
   cittacaryāmiti tṛtīyaḥ | dhyānprajānāti janakāyacittāni paritrāyate ca	citta-caryAm-iti tRtIyaH | DyAn-prajAnAti jana-kAya-cittAni paritrAyate ca
   sarvasattvāniti caturthaḥ | dhyāyānnācarati mahākaruṇāṃ chinatti sattvānāṃ	sarva-sattvAn-iti caturTaH | DyAyAt-=-a-Acarati mahA-karuNAm Cinatti sattvAnAm
   kleśagranthimiti paṃcamaḥ | dhyāyandhyānasamādhiṃ samyagjānāti	kleSa-granTim-iti paMcamaH | DyAyan-DyAna-samADim samyak-jAnAti
   prameśanirgamamatikrāmyati tridhātumiti ṣaṣṭaḥ | dhyāyannityamulabhate	prameSa-nirgamam-atikrAmyati triDAtum-iti zazwaH | DyAyan=-iti-am-ulaBate
   vaśitāmavāpnoti kuśaladharmāniti saptamaḥ | dhyāyañcitaṃ śāntaṃbhavati	vaSitAm-avApnoti kuSala-DarmAn-iti saptamaH | DyAyaQcitam SAntaMBavati
   nirvṛttaṃ yānadvayasyātikrāmyati sarvāṇi dhyānānītyaṣṭamaḥ | dhyāyannityaṃ	nirvRttam yAna-dvayasya-atikrAmyati sarvANi DyAnAni-iti-azwamaH | DyAyat-nityam
   viśati prajñāṃ lokamatikramyāvapnoti tatpadamiti navamaḥ |	viSati prajQAm lokam-atikramya-avapnoti tat-padam-iti navamaH |
   dhyāyanpratiṣṭhāpayati saddharmaṃ nirantaraṃ saṃvarddhayati triratnaṃ yena	DyAyan-pratizWApayati sadDarmam nirantaram saMvardDayati tri-ratnam yena
   bhavatyanucchinnamiti daśamaḥ | bhavati caivaṃvidhaṃ dhyāaṃ	Bavati-anucCinnam-iti daSamaH | Bavati ca-evaMviDam DyAam
   śrāvakapratyekabudhāvenīkam ||	SrAvaka-pratyekabuDa-A=-enIkam ||
   8 | jñātuṃ punaḥ sarvasattvānāṃ kliṣṭacittāni saṃgṛhṇāti	8 | jQAtum punar sarva-sattvAnAm klizwa-cittAni saMgRhNAti
   sarvadhyānasamādhidharmān cittasthairyaṃ vidhātuṃ | dhyāyānpratiṣṭhāpayati	sarva-DyAna-samADi-DarmAn citta-sTEryam viDAtum | DyAyAn-pratizWApayati
   cittasamatāmityucyate dhyānam | evaṃ samatā hyānaṃ samaṃ	citta-samatAm-iti-ucyate DyAnam | evam sama-tA hi-Anam samam
   śūnyatayākṣaṇatayāpraṇihitatayākriyayā | śūnyatā	SUnyatayA-akzaNa-tayA-praNihita-tayA-akriyayA | SUnyatA
   khalvalakṣaṇāpraṇihitākriyābhiḥ samā tena sattvā api samāḥ | yataḥ sattvāḥ	Kalva-lakzaNa-apraNihita-akriyABiH samA tena sattvAH api samAH | yatas sattvAH
   | yataḥ sattvāḥ samāstena dharmā api samāḥ | iti viśatyevaṃvidhāṃ	| yatas sattvAH samAH-tena DarmAH api samAH | iti viSati-evaMviDAm
   samatāmiti dhyānam ||	samatAm-iti DyAnam ||
   9 | punarbodhisattvo lokamanucarannapi na ca bhavati lokasaktaḥ	9 | punar-boDisattvaH lokam-anucaran=-api na ca Bavati loka-saktaH
   prajahātyaṣṭau lokadharmānvināśayati sarvagranthiṃ tyajati janāvāsaṃ	prajahAti-azwO loka-DarmAn-vinASayati sarva-granTim tyajati jana-AvAsam
   rocate 'sya viviktāyatanam | evaṃ dhyānamācarataścittaṃ saṃpratiṣṭhitaṃ	rocate asya vivikta-Ayatanam | evam DyAnam-AcarataH-cittam saMpratizWitam
   bhavati prajahāti saṃsārakarmāṇi ||	Bavati prajahAti saMsAra-karmANi ||
   10 | punarbodhisattvasya dhyānamācarata ṛddhirbhavati prajñopāyo matiḥ	10 | punar-boDisattvasya DyAnam-Acarate RdDiH-Bavati prajQA-upAyaH matiH
   kathaṃ bhavatyṛddhi kathaṃ prajñā | paśyati cedrūpalakṣaṇam śṛṇoti śabdaṃ	kaTam Bavati-RdDi kaTam prajQA | paSyati ced-rUpa-lakzaNam SRNoti Sabdam
   jānāti paracittaṃ smaratyatītaṃ prāpnoti	jAnAti para-cittam smarati-atItam prApnoti
   sarvabuddhalokadhātūntadasyārddhiḥ | rūpaṃ jānāti ced dharmasvabhāvaṃ	sarva-budDa-loka-DAtUn-tadasya-ArdDiH | rUpam jAnAti ced Darma-svaBAvam
   jānāti śabdagaṃndharasaspraṣṭavyacittasaṃskārāḥ svabhāvālakṣaṇāḥ	jAnAti Sabda-gaMnDa-rasa-sprazwavya-citta-saMskArAH svaBAva-alakzaNAH
   śāntāḥparinirvṛtāstriṣvadhvasu samā iti | ākāśalakṣaṇaṃ jānāti	SAntAH-parinirvRtAH-trizu-aDvasu samAH iti | AkASa-lakzaNam jAnAti
   buddhalokadhātumapariprāptanirodhamitiprajñā | kathamupāyaḥ kaṃtha matiḥ |	budDa-lokaDAtum-apariprApta-niroDa-miti-prajQA | kaTam-upAyaH kaMTa matiH |
   dhyānasamādhimanuviśannutpādayati mahāmaitrīṃ karuṇāṃ na jahāti	DyAna-samADim-anuviSan=-utpAdayati mahA-mEtrIm karuNAm na jahAti
   prāṇidhānaṃ vajramiva bhavati cāsya cittamavalokayanbuddhalokadhātu	prANiDAnam vajram-iva Bavati ca-asya cittam-avalokayan-budDa-lokaDAtu
   niṣpādayati bodhimārgamityupāyaḥ | cittaṃ sarvathāsyabhavati śāntam | na	nizpAdayati boDi-mArgam-iti-upAyaH | cittam sarvaTA-asi-aBavati SAntam | na
   cātmāna ca pudgala iti cintayati sarvadharmānmūlasvabhāvāvikṣepān |	ca-AtmAna ca pudgalaH iti cintayati sarva-DarmAt-mUla-svaBAva-avikzepAn |
   paśyati buddhalokadhātumākāśalakṣaṇam yanniṣpannaṃ tatpaśyati śāntaṃ	paSyati budDa-lokaDAtum-AkASa-lakzaNam yat-nizpannam tat-paSyati SAntam
   nirvāṇamiti matiḥ |	nirvANam-iti matiH |
   iti bositvaścarandhyānamṛddhi prajñāmupāyaṃ mati ca vibhajya	iti bositvaH-caran-DyAnam-RdDi prajQAm-upAyam mati ca viBajya
   caturvastūnyācaratyavāptotyanuttarāṃ samyaksambodhim | bodhisattvo	catur-vastUni-Acarati-avAptoti-anuttarAm samyaksamboDim | boDisattvaH-
   mahāsattvo dhyānamācarannopalabhate 'kuśalacittamakṣomyadharmatayā	mahAsattvaH DyAnam-Acaranna-upalaBate akuSala-cittam-akzomya-Darma-tayA
   paripūrayati dhyānapāramitām ||	paripUrayati DyAna-pAramitAm ||
   (iti bodhicittotpādasūtraśāstre dhyānapāramitā nāmāṣṭamo vargaḥ |)	(iti boDi-citta-utpAda-sUtra-SAstre DyAnapAramitA nAma-azwamaH vargaH |)
   navami vargaḥ	navami vargaH
   prajñāpāramitā	prajQApAramitA
   1 | bodhisattvaḥ kathaṃ bhāvayati prajñām | prajñā	1 | boDisattvaH kaTam BAvayati prajQAm | prajQA
   hyātmaparābhayalābhāyacedevaṃvidhā prajñā niṣpādayati bodhimārgam |	hi-Atma-parABaya-lABAyaced-evaMviDA prajQA nizpAdayati boDi-mArgam |
   bodhisattvaḥ kāmayate vinetuṃ sattvānaparhatuṃ duḥkhāni bhāvayati	boDisattvaH kAmayate vinetum sattvAn-aparhatum duHKAni BAvayati
   tasmātprajñām | bhāvayanprajñāṃ śikṣate sarvalokadhātuvastūni | prajahāti	tasmAt-prajQAm | BAvayan-prajQAm Sikzate sarva-loka-DAtu-vastUni | prajahAti
   lobhadvepamohān pratiṣṭhāpayati mahāmaitrīm | karuṇāyamāna upakaroti	loBa-dvepa-mohAn pratizWApayati mahA-mEtrIm | karuNAyamAnaH upakaroti
   sattvān | nityaṃ paritrātumicchaṃsteṣāṃ pariṇāyako bhavati | vibhajya	sattvAn | nityam paritrAtum-icCan=-tezAm pariNAyakaH Bavati | viBajya
   deśayati sadasanmārgaṃ kuśalākuśalāśca vipākāniti	deSayati sat-asat-mArgam kuSala-akuSalAH-ca vipAkAn-iti
   bodhisattvasyādiprajñācittam ||	boDisattvasya-Adi-prajQA-cittam ||
   2 || prajñābhāvanāhetoḥ prajahātyavidyām | apākurute kleśāvaraṇaṃ	2 || prajQA-BAvanA-hetoH prajahAti-avidyAm | apAkurute kleSa-AvaraNam
   jñeyāvaraṇamityasyātmalābhaḥ | vinayansattvānparisāntvayatīti paralābha|	jQeya-AvaraNam-iti-asya-Atma-lABaH | vinayan-sattvAn-parisAntvayati-iti para-lABa|
   carittvānuttarāṃ bodhiṃ sattveṣu pariṇāmyātmanā salābhinaḥ	carittvA-anuttarAm boDim sattvezu pariNAmi-AtmanA sa-lABinaH
   karotītyubhayalābhaḥ | prajñābhāvanayā prāpnoti prathamāṃ bhūmi	karoti-iti-uBaya-lABaH | prajQA-BAvanayA prApnoti praTamAm BUmi
   yāvatsarvajñatāmiti niṣpādayati bodhimārgam ||	yAvat-sarvajQa-tAm-iti nizpAdayati boDi-mArgam ||
   3 | prajñāṃ bhāvayanbodhisattvaḥkrameṇa pratiṣṭhāpayati viśati cittāni |	3 | prajQAm BAvayan-boDisattvaH-krameNa pratizWApayati viSati cittAni |
   kāni viśatiḥ | (1) kuśalakāmānutpādayato 'sya kalyāṇamitrānutsargacittam |	kAni viSatiH | (1) kuSala-kAmAn-utpAdayataH asya kalyANa-mitra-anutsarga-cittam |
   (2) madamānaṃ parityajato 'syāpramādacittam | (3) anucarataḥ sikṣāpadāni	(2) madamAnam parityajataH asya-apramAda-cittam | (3) anucarataH sikzA-padAni
   prītaṃ dharmaśravaṇacittam | (4) dharmāñchṛṇvato 'viśrāntaṃ	prItam Darma-SravaNa-cittam | (4) DarmAn-SRNvataH aviSrAntam
   kuśalacintācittam | (5) bhāvayataścaturi brahmavihārānsamyagjñānacittam |	kuSala-cintA-cittam | (5) BAvayataH-caturi brahma-vihArAn-samyak-jQAna-cittam |
   (6) paśyato 'śūcicaryāṃ tataḥ śrāmyataḥ parityāgacittam | (7) paśyata	(6) paSyataH aSUci-caryAm tatas SrAmyataH parityAga-cittam | (7) paSyata
   āryasatyāni poḍaśākāraṃ cittam | (8) paśyato dvādaśāṅgapratītyasamutpādaṃ	Arya-satyAni poxaSa-AkAram cittam | (8) paSyataH dvAdaSa-aFga-pratItyasamutpAdam
   bhāvayataḥ prajñācittam | (9) śṛṇvataḥ pāramitāḥ tatsaṃgrahakāmacittam |	BAvayataH prajQA-cittam | (9) SRNvataH pAramitAH tad-saMgraha-kAma-cittam |
   (10) anityaduḥkhānātmatāṃ paśyataḥ śāntaṃ nirvāṇaṃ cittam | (11) paśyataḥ	(10) anitya-duHKa-an-Atma-tAm paSyataH SAntam nirvANam cittam | (11) paSyataH
   śūnyamalakṣaṇamapraṇihitaṃ niṣkriyacittam | (12) paśyataḥ	SUnyam-alakzaNam-apraNihitam nizkriya-cittam | (12) paSyataH
   skandhadhātvāyatanāni bhūya ādīnavacittam (13)kleśāñjayato 'sahacaracittam	skanDa-DAtu-AyatanAni BUyas AdInavacittam (13)kleSAn-jayataH asahacara-cittam
   | (14) pālayataḥ kuśaladharmānātmasahacaracitam | (15) nivārayato	| (14) pAlayataH kuSala-Darma-an-Atma-sahacara-citam | (15) nivArayataH-
   'kuśaladharmānprahāṇacittam | (16) ācarataḥ samyagdharmaṃ vipulacittam |	akuSala-DarmAn-prahANa-cittam | (16) AcarataH samyak-Darmam vipula-cittam |
   (17) ācarato yānadvayamapi nityamupekṣācittam | (18)	(17) AcarataH yAna-dvayam-api nityam-upekzA-cittam | (18)
   śṛṇvanbodhisattvapiṭakaṃ pramodānusaraṇacittam | (19)	SRNvan-boDisattva-piwakam pramoda-anusaraNa-cittam | (19)
   svalābhaparalābhāvanusaṃvardhayataḥ sarvakuśalakarmacittam | (20) gṛhṇataḥ	sva-lABa-para-lABO=-anu-saMvarDayataH sarva-kuSala-karma-cittam | (20) gRhNataH
   sucaritaṃ sarvabuddhadharmagaveṣaṇācittam ||	su-caritam sarva-budDa-Darma-gavezaNA-cittam ||
   4 | punaḥkhalu prajñāṃ bhavayato bodhisattvasya bhavanti daśadharmāḥ	4 | punar-Kalu prajQAm Bavayatas boDisattvasya Bavanti daSa-DarmAH
   kuśalacintācittāḥ śrāvakapratyekabuddhāveṇikāḥ | ke daśa | (1)vibhajya	kuSala-cintA-cittAH SrAvaka-pratyekabudDa-AveNikAH | ke daSa | (1)viBajya
   cintayati samādhiprajñāmūlam | (2)cintayanna parityajati	cintayati samADi-prajQA-mUlam | (2)cintayan-na parityajati
   śāśvatocchedāntadvayam | (3) cintayati pratītyasamutpādadharmān | (4)	SASvata-ucCeda-anta-dvayam | (3) cintayati pratItyasamutpAda-DarmAn | (4)
   cintayati na sattvo nātmā na pudgalo na jīva iti | (5) cintayati na santi	cintayati na sattvaH na-AtmA na pudgalaH na jIvaH iti | (5) cintayati na santi
   triṣvadhsvātītānāgatapratyutpannadharmāḥ | (6) cintayatyanutpannamapi	trizu-aDsva-atIta-anAgata-pratyutpanna-DarmAH | (6) cintayati-anutpannam-api
   karma nocchinatti hetuphalam | (7) cintayam dharmān śūnyanapya	karma na-ucCinatti hetu-Palam | (7) cintayam DarmAn SUnyanapya
   kusīdaścāvaropayati kuśalam | (8) cintayatyalakṣaṇaṃ na ca pratinivartate	kusIdaH-ca-avaropayati kuSalam | (8) cintayati-alakzaNam na ca pratinivartate
   nirvāpayituṃ sattvān | (9) cintayannapyapraṇihitaṃ na jahāti gaveṣayituṃ	nirvApayitum sattvAn | (9) cintayan=-api-apraNihitam na jahAti gavezayitum
   bodhim | (10) cintayannapyakṛtaṃ na pariharati prakāśayituṃ sāṃbhogikaṃ	boDim | (10) cintayan=-api-akRtam na pariharati prakASayitum sAMBogikam
   kāyam ||	kAyam ||
   5 | punaḥ khalu bodhisattvasya dvādaśa bhavanti kuśalāvatāradharmamukhāni	5 | punar Kalu boDisattvasya dvAdaSa Bavanti kuSala-avatAra-Darma-muKAni
   (1) śūnyatādisamādhiṣvavatārakuśalo 'pi na (tān) gṛhṇāti | (2)	(1) SUnyatA-Adi-samADizu-avatAra-kuSalaH api na (tAn) gRhNAti | (2)
   dhyānasamādhiṣvavatārakuśalo 'pi na yathādhyānaṃ tatropapadyate | (3)	DyAna-samADizu-avatAra-kuSalaH api na yaTADyAnam tatra-upapadyate | (3)
   ṛddhijñāneṣvavatārakuśalo 'pi nānāsravān dharmān labhate | (4)	RdDi-jQAnezu-avatAra-kuSalaH api nAnA-sravAn DarmAn laBate | (4)
   adhyātmaparyavekṣaṇadharmeṣvavatārakuśalo 'pi na teṣu niścayamanuprāpnoti	aDyAtma-paryavekzaNa-Darmezu-avatAra-kuSalaH api na tezu niScayam-anuprApnoti
   | (5) sarvasattvaśūnyatādṭaṣṭāvavatārakuśalo 'pi nopekṣate mahāmaitrīm |	| (5) sarva-sattva-SUnyatAt-wazwO=-avatAra-kuSalaH api na-upekzate mahA-mEtrIm |
   (6) sarvasattvānātmatādṭaṣṭavavatārakuśalo 'pi nopekṣate mahākaruṇām | (7)	(6) sarva-sattvAn-Atma-tAt-wazwavavatAra-kuSalaH api na-upekzate mahA-karuNAm | (7)
   durgayupapattāvatārakuśalo 'pi na sa karmanimittaṃ tatropapadyate| (8)	durgayupapatta-avatAra-kuSalaH api na sa karma-nimittam tatra-upapadyate| (8)
   vairāgyāvatārakuśalo 'pi na vairāgyadharmān pratilabhate | (9)	vErAgya-avatAra-kuSalaH api na vErAgya-DarmAn pratilaBate | (9)
   kāmasukhaparityāgāvatārakuśalo 'pi nopekṣate dharmasukham | (10)	kAma-suKa-parityAga-avatAra-kuSalaH api na-upekzate Darma-suKam | (10)
   prapaṃcamatavādaparityāgāvatārakuśalo 'pi nopekṣate upāyadṭaṣṭīḥ | (11)	prapaMcamatavAda-parityAga-avatAra-kuSalaH api na-upekzate upAyadwazwIH | (11)
   bahvādīnavāḥ saṃskṛta dharmā ityanucintanāvatārakuśalo 'pi nopekṣate	bahu-AdInavAH saMskRta DarmAH iti-anucintana-avatAra-kuSalaH api na-upekzate
   saṃskṛtam | (12) paramapariśuddheṣvasaṃskṛtadharmeṣvavatārakuśalo	saMskRtam | (12) parama-pariSudDezu-asaMskRta-Darmezu-avatAra-kuSalaH-
   'pināsaṃskṛte pratiṣṭhito bhavati |	apinAsaMskRte pratizWitaH Bavati |
   bodhisattvaścetsarvakuśalāvatāradharmamukhānyācarati samyagjānāti śūnyatāṃ	boDisattvaH-ced-sarva-kuSala-avatAra-Darma-muKAni-Acarati samyak-jAnAti SUnyatAm
   triṣvadhvasu ba kiciditi ||	trizu-aDvasu ba kicid-iti ||
   6 | yadi caivaṃ paśyati paśyati triṣvadhvasu śūnyatāṃ prajñābalahetoḥ |	6 | yadi ca-evam paSyati paSyati trizu-aDvasu SUnyatAm prajQA-bala-hetoH |
   yadi cāvaropitāni triṣvadhvasu tathāgatairaprameyāṇi puṇyānyakhilaṃ	yadi ca-avaropitAni trizu-aDvasu taTAgatEH-aprameyANi puNyAni-aKilam
   pariṇāmayatyanuttarāyāṃ bodhau tadevaṃ bodhisattvaḥ saṃpaśyati	pariNAmayati-anuttarAyAm boDO tat-evam boDisattvaH saMpaSyati
   triṣvadhvasūpāyam|	trizu-aDvasu-upAyam|
   punarapi paśyannatītāndharmānkṣapitānanāgatānnāgatānsadaivācaratikuśalaṃ	punar-api paSyan=-atItAn-DarmAn-kzapitAn-anAgatAt-na-AgatAn-sadEvAcarati-kuSalam
   parākramate na ca kusado bhavati | anutpannānapi	parAkramate na ca kusadaH Bavati | anutpannAn-api
   paśyannagatāndharmānparākramate kāmayate bodhim | kṣaṇaṃ kṣaṇaṃ	paSyan=-agatAn-DarmAn-parAkramate kAmayate boDim | kzaNam kzaNam
   nirudhyamānānpaśyannapi pratyutyannāndharmān bodhimupagantuṃ na cāsya	niruDyamAnAn-paSyan=-api pratyutyannAn-DarmAn boDim-upagantum na ca-asya
   cittavismṛtirityevaṃ bodhisattvaḥ paśyati triṣvadhvasūpāyam |	citta-vismRtiH-iti-evam boDisattvaH paSyati trizu-aDvasu-upAyam |
   niruddhamatītaṃ nāgatamanāgatamasthiraṃ pratyutpannam | api ca	nirudDam-atItam na-Agatam-anAgatam-asTiram pratyutpannam | api ca
   paśyandharmāñcittacaittānutpadyamānānnirudhyamānānviśīryamāṇānpūyamānānnopekṣate	paSyan-Darma-aQcitta-cEttAn-utpadyamAnAt-niruDyamAnAn-viSIryamANAn-pUyamAnAt-na-upekzate
   saṃgrahītuṃkuśalamūlāni | upacarati bodhidharmānityevaṃ bodhisattvaḥ	saMgrahItuMkuSala-mUlAni | upacarati boDi-DarmAn-iti-evam boDisattvaH
   paśyati triṣvadhvasūpāmam |	paSyati trizu-aDvasUpAmam |
   7 | punaḥ khalu bodhisattvaḥ paśyati sarvaṃ	7 | punar Kalu boDisattvaH paSyati sarvam
   kuśalamakuśalamātmānamanātmānaṃ bhūtamabhūtaṃ śūnyamaśūnyaṃ saṃvṛtaṃ	kuSalam-akuSalam-AtmAnam-anAtmAnam BUtam-aBUtam SUnyam-aSUnyam saMvRtam
   paramārthaṃ samyaksamādhi mithyāsamādhi saṃskṛtamasaṃskṛtaṃ	parama-arTam samyak-samADi miTyA-samADi saMskRtam-asaMskRtam
   sāsravamanāsravaṃ kṛṣṇadharmaṃ śukladharmaṃ jātimaraṇaṃ nirvāṇaṃ	sa-asravam-anAsravam kRzNa-Darmam Sukla-Darmam jAti-maraNam nirvANam
   dharmadhātusvabhāvamekalakṣaṇamalakṣaṇam | na ca tatra dharmā ityucyate	DarmaDAtu-svaBAvam-eka-lakzaNam-alakzaNam | na ca tatra DarmAH iti-ucyate
   'lakṣaṇamiti | api nāma kaścana dharmo yohyalakṣaṇo nāmetyucyate	alakzaNam-iti | api nAma kaScana DarmaH yohya-lakzaNaH nAma-iti-ucyate
   sarvadharmamudrākṣayāmudrā | āsu mudrāsu na mudrālakṣaṇamityucyate satyaṃ	sarva-Darma-mudrA-kzayA-mudrA | Asu mudrAsu na mudrA-lakzaNam-iti-ucyate satyam
   bhūtaṃ prajñopāyaḥ prajñāpāramitā |	BUtam prajQA-upAyaH prajQApAramitA |
   utpāditabādhicettena bodhisattvenaivaṃ śikṣiotavyamevaṃ bhāvayitavyam |	utpAdita-bADicet-tena boDisattvena-evam Sikziotavyam-evam BAvayitavyam |
   evaṃ bhāvayannavāpnotyanuttarāṃ samyaksambodhim | bodhisattvasya	evam BAvayan=-avApnoti-anuttarAm samyaksamboDim | boDisattvasya
   mahāsattvasya prajñāṃ bhāvayato na cittaṃ carati dharmatāyāḥ	mahAsattvasya prajQAm BAvayataH na cittam carati DarmatAyAH
   pariśuddhatvāt | evaṃ paripūrayati prajñāpāramitām ||	pariSudDa-tvAt | evam paripUrayati prajQApAramitAm ||
   (iti bodhicittotpādasūtraśāstre prajñāpāramitā nāma navamo vargaḥ ||	(iti boDi-citta-utpAda-sUtra-SAstre prajQApAramitA nAma navamaH vargaH ||
   daśamo vargaḥ	daSamaH vargaH
   tathātādharmamukhaṃ	taTA-Ata-aDarma-muKam
   1 | kulaputreṇa kuladuhitrā vā caratā ṣaṭ pāramitā gaveṣayatānuttarāṃ	1 | kula-putreNa kula-duhitrA vA caratA zaw pAramitA gavezayatA-anuttarAm
   samyaksaṃbodhiṃ prahātavyāḥ sapta dharmāḥ | katame sapta | prathamaṃ	samyaksaMboDim prahAtavyAH sapta DarmAH | katame sapta | praTamam
   prajahātyakalpāṇamitrāṇi | akalyāṇamitrāṇi śikṣayanti parihartamanuttarāṃ	prajahAti-akalpANa-mitrANi | akalyANa-mitrANi Sikzayanti parihartam-anuttarAm
   śraddhāmudāttaṃ saṃkalpamanuttamaṃ vīryaṃ samuccetuṃ ca saṃkliṣṭācārān |	SradDAm-udAt-tam saMkalpam-anuttamam vIryam samuccetum ca saMklizwa-AcArAn |
   dvitīyaṃ prajahāti strīrūpaṃ kāmarāgaṃ pṛthagjanairvivikto	dvitIyam prajahAti strI-rUpam kAma-rAgam pRTagjanEH-viviktaH-
   bhavatyasahacaraḥ | tṛtīyaṃ paśyannātmānamābhāsaṃ prajahātyasadgrāhaṃ	Bavati-asahacaraH | tRtIyam paSyan=-AtmAnam-ABAsam prajahAti-asat-grAham
   snehabahumānānurāgāṃściraṃ sthāsyatīti | caturthaṃ prajahāti	sneha-bahu-mAna-anurAgAn=-ciram sTAsyati-iti | caturTam prajahAti
   dveṣapratidhamauddhatyaṃ mānamīrṣvāmasūyāṃ yato jayate kalahaḥ	dveza-pratiDam-OdDatyam mAnam-IrzvAmasUyAm yatas jayate kalahaH
   pratihanyate kuśalacittam | pañcamaṃ prajahāti pramādaṃ madamānaṃ	pratihanyate kuSala-cittam | paQcamam prajahAti pramAdam madamAnam
   kausīdyaṃ svakaṃ parittakuśalaṃ ca yenāvajānāti parān | ṣaṣṭhaṃ prajahāti	kOsIdyam svakam paritta-kuSalam ca yena-avajAnAti parAn | zazWam prajahAti
   tairthikāgamaṃ kāvyāni na cābuddhabhāṣitāni praśaṃsati | saptamaṃ	tErTikA-gamam kAvyAni na ca-abudDa-BAzitAni praSaMsati | saptamam
   nopagacchati mithyādṭaṣṭimasamyagdṭaṣṭim | evamime saptadharmāḥ	na-upagacCati miTyAt-wazwim-asamyak-dwazwim | evam-ime sapta-DarmAH
   prahātavyāḥ | uktaṃ bhagavatā na paśyāmi tathānyāndharmānya āvṛṇvanti	prahAtavyAH | uktam BagavatA na paSyAmi taTA-anyAn-DarmAnyaH AvRNvanti
   buddhamārgaṃ yatheme saptadharmāḥ| ataeva bodhisattvena prahātavyāḥ ||	budDa-mArgam yaTA-ime sapta-DarmAH| ataeva boDisattvena prahAtavyAH ||
   2 | aciramanuttarāṃ sambodhimabhisamboddhukāmenācaritavyāḥ saptadharmāḥ |	2 | aciram-anuttarAm samboDim-aBisambA-udDu-kAmena-AcaritavyAH sapta-DarmAH |
   ke sapta | prathamaṃbodhisattvenopagantavyāni kalpāṇa mitrāṇi |	ke sapta | praTamaMboDisattvena-upagantavyAni kalpANa mitrANi |
   kalpāṇamitrāṇi buddhā bodhisattvāśca | śrāvakā api bodhisattvaṃ	kalpANa-mitrANi budDAH boDisattvAH-ca | SrAvakAH api boDisattvam
   gambhīradharmakośe pāramitāsu saṃpratiṣṭhāpayanto bhavanti bodhisattvasya	gamBIra-Darma-koSe pAramitAsu saMpratizWApayantaH Bavanti boDisattvasya
   kalpāṇamitrāṇi | dvitīyaṃ bodhisattvenopacaritavyāḥ pravrajitā	kalpANa-mitrANi | dvitIyam boDisattvena-upacaritavyAH pravrajitA
   āraṇyakadharmāśca | mātṛgrāmaḥ prahātavyaḥ kāmarāgaśca | viviktena	AraNyaka-DarmAH-ca | mAtR-grAmaH prahAtavyaH kAmarAgaH-ca | viviktena
   bhavitavyaṃ pṛthagjanairasahacareṇa | tṛtīyaṃ bodhisattvena draṣṭavyaḥ	Bavitavyam pRTagjanEH-asahacareNa | tRtIyam boDisattvena drazwavyaH
   kāyo malabhūmivadaśucisaṃśrayaḥ kevalaṃ vātaśleṣmapittalohitakamarāgārho	kAyaH mala-BUmi-vat-aSuci-saMSrayaH kevalam vAta-Slezma-pitta-lohita-kamarAga-arhaH-
   dine dine maraṇonmukho 'nādarabuddhyā parihartavyaḥ sotsāhaṃ bhāvayitavyo	dine dine maraNa-unmuKaH anAdara-budDyA parihartavyaH sa-utsAham BAvayitavyaH-
   mārgaḥ | caturthaṃ bodhisattvena nityaṃ caritavyā śāntiḥ	mArgaH | caturTam boDisattvena nityam caritavyA SAntiH
   kṣāntirgurukaraṇīyā mṛdutāca | śikṣayitavyāḥ kṣāntau sthāpayitavyāśca	kzAntiH-guru-karaNIyAH mRdu-tAca | SikzayitavyAH kzAntO sTApayitavyAH-ca
   janāḥ | paṃcamaṃ bodhisattvenācaritavyaṃ vīryamutpādayitavyā hrīrapatrapā	janAH | paMcamam boDisattvena-Acaritavyam vIryam-utpAdayitavyA hrIH-apatrapA
