   akāmaḥ svayam arjitam Vi_18.43d	akAmaH svayam arjitam Vi_18.43d
   prāptavantaḥ paraṃ sthānaṃ Vi_47.10c	prAptavantaH param sTAnam Vi_47.10c
   prāptaṃ ca saha bhāryayā Vi_58.9b	prAptam ca saha BAryayA Vi_58.9b
   prāpnuvanty ucchritīḥ punaḥ Vi_51.63d	prApnuvanti ucCritIH punar Vi_51.63d
   prāyaścittam abhojanam Vi_54.29d	prAyaScittam aBojanam Vi_54.29d
   prāyaścittamahāghoṇaḥ Vi_1.5c	prAyaScitta-mahA-GoNaH Vi_1.5c
   prāyaścittaṃ cikīrṣanti Vi_54.27a	prAyaScittam cikIrzanti Vi_54.27a
   prāyaścittaṃ tataḥ kuryāt Vi_52.14c	prAyaScittam tatas kuryAt Vi_52.14c
   prāyaścittaṃ tu kārayet Vi_39.2d	prAyaScittam tu kArayet Vi_39.2d
   prāyaścittaṃ prakalpyet Vi_54.34d	prAyaScittam prakalpyet Vi_54.34d
   prāyaścittaṃ budhaḥ kuryād Vi_42.2c	prAyaScittam buDaH kuryAt Vi_42.2c
   prāyaścittaṃ viśodhanam Vi_41.5d	prAyaScittam viSoDanam Vi_41.5d
   prāyaścittaṃ samācaret Vi_45.33d	prAyaScittam samAcaret Vi_45.33d
   prāyaścittārdham arhanti Vi_54.33c	prAyaScitta-arDam arhanti Vi_54.33c
   prāvṛṭkāle 'site pakṣe Vi_78.52c	prAvRz-kAle asite pakze Vi_78.52c
   prāsādamālāsu ca pāṇḍurāsu Vi_99.10c	prAsAda-mAlAsu ca pANxurAsu Vi_99.10c
   pretalokagatasyānnaṃ Vi_20.33c	preta-loka-gatasya-annam Vi_20.33c
   pretasya śrāddhakartuś ca Vi_20.36a	pretasya SrAdDa-kartuH ca Vi_20.36a
   pretasyātmana eva ca Vi_20.37d	pretasya-AtmanaH eva ca Vi_20.37d
   pretāhāraiḥ samaṃ tatra Vi_22.85c	preta-AhArEH samam tatra Vi_22.85c
   preto bhavati yo mṛtaḥ Vi_20.33b	pretaH Bavati yaH mRtaH Vi_20.33b
   pretya ceha ca niṣkṛtim Vi_51.60d	pretya ca-iha ca nizkRtim Vi_51.60d
   pretya ceha ca śāśvatam Vi_30.44d	pretya ca-iha ca SASvatam Vi_30.44d
   pretya svarge mahīyate Vi_3.98d	pretya svarge mahIyate Vi_3.98d
   pretyeha cedṛśo vipro Vi_93.12a	pretya-iha ca-IdRSaH vipraH Vi_93.12a
   proktā saṃvatsare tu sā Vi_49.9d	proktA saMvatsare tu sA Vi_49.9d
   prokṣaṇenaiva pustakam Vi_23.56b	prokzaNena-eva pustakam Vi_23.56b
   procyate tattvacintakaiḥ Vi_97.15d	procyate tattva-cintakEH Vi_97.15d
   phaladānāṃ tu vṛkṣāṇāṃ Vi_50.48a	Pala-dAnAm tu vRkzANAm Vi_50.48a
   phalapuṣpodbhavānāṃ ca Vi_50.49c	Pala-puzpa-udBavAnAm ca Vi_50.49c
   phalamūlāśanair divyair Vi_51.77a	Pala-mUla-aSanEH divyEH Vi_51.77a
   phalāvalīsamudbhūta- Vi_1.38c	Pala-AvalI-samudBUta Vi_1.38c
   phaleṣu ramyeṣu saridvarāsu Vi_99.16d	Palezu ramyezu sarit-varAsu Vi_99.16d
   phalgupātreṇa cāpy atha Vi_79.24d	Palgu-pAtreNa ca-api aTa Vi_79.24d
   bakavrataparo dvijaḥ Vi_93.9d	baka-vrata-paraH dvijaH Vi_93.9d
   bandhujīvādharāṃ śubhām Vi_1.22d	banDu-jIva-aDarAm SuBAm Vi_1.22d
   balāt kāraṃ vinā kṛtā Vi_5.185d	balAt kAram vinA kRtA Vi_5.185d
   bahavaś cet pratibhuvo Vi_6 42a	bahavaH ced pratiBuvaH Vi_6 42a
   bahir antaś ca bhūtānām Vi_97.18a	bahis antar ca BUtAnAm Vi_97.18a
   bahir etat trikaṃ dvijaḥ Vi_55.13b	bahis etat trikam dvijaH Vi_55.13b
   bahutvaṃ pratigṛhṇīyāt Vi_8.40a	bahu-tvam pratigRhNIyAt Vi_8.40a
   bahu deyaṃ ca no 'stv iti Vi_73.28d	bahu deyam ca naH astu iti Vi_73.28d
   bahūnāṃ prekṣamāṇānāṃ Vi_68.46c	bahUnAm prekzamANAnAm Vi_68.46c
   bahūnīndrasahasrāṇi Vi_20.25a	bahUni-indra-sahasrANi Vi_20.25a
   bāndhavānām aśauce tu Vi_20.32a	bAnDavAnAm aSOce tu Vi_20.32a
   bāndhavais tasya kiṃ kāryaṃ Vi_20.31c	bAnDavEH tasya kim kAryam Vi_20.31c
   bālaghnāṃś ca kṛtaghnāṃś ca Vi_54.32a	bAla-GnAn ca kRtaGnAn ca Vi_54.32a
   bāladhūrtam adharmaṃ ca Vi_48.22a	bAla-DUrtam aDarmam ca Vi_48.22a
   bālo vāpy ūnaṣoḍaśaḥ Vi_54.33b	bAlaH vA-api Una-zoxaSaH Vi_54.33b
   bāhyānāṃ siddhikāraṇam Vi_16.18d	bAhyAnAm sidDi-kAraNam Vi_16.18d
   bījauṣadhimahāphalaḥ Vi_1.6b	bIja-ozaDi-mahA-PalaH Vi_1.6b
   buddhir jñānena śudhyati Vi_22.92d	budDiH jQAnena SuDyati Vi_22.92d
   bṛhatāṃ bṛṃhaṇājñeya Vi_1.55a	bRhatAm bRMhaNa-AjQeya Vi_1.55a
   baiḍālavratike dvije Vi_93.7b	bExAlavratike dvije Vi_93.7b
   baiḍālavratiko jñeyo Vi_93.8c	bExAlavratikaH jQeyaH Vi_93.8c
   bradhnasyāpnoti viṣṭapam Vi_15.46d	braDnasya-Apnoti vizwapam Vi_15.46d
   brahmaghnāṃ ye smṛtā lokā Vi_10.9a	brahma-GnAm ye smRtAH lokAH Vi_10.9a
   brahmacaryam atandritaḥ Vi_28.47b	brahmacaryam atandritaH Vi_28.47b
   brahmacarye vyavasthitā Vi_25.17b	brahmacarye vyavasTitA Vi_25.17b
   brahmacārī yatir bhikṣur Vi_59.26a	brahmacArI yatiH BikzuH Vi_59.26a
   brahmajanma hi viprasya Vi_30.44c	brahma-janma hi viprasya Vi_30.44c
   brahmabhūtam amāvāsyāṃ Vi_49.8a	brahma-BUtam amAvAsyAm Vi_49.8a
   brahmarātryāṃ vyatītāyāṃ Vi_1.1a	brahma-rAtryAm vyatItAyAm Vi_1.1a
   brahmalokaṃ samāśnute Vi_31.10d	brahma-lokam samASnute Vi_31.10d
   brahmaśīrṣo mahātapāḥ Vi_1.3d	brahma-SIrzaH mahA-tapAH Vi_1.3d
   brahmā caiva prajāpatiḥ Vi_55.18d	brahmA ca-eva prajApatiH Vi_55.18d
   brahmā devānāṃ padavīḥ kavīnām Vi_48.6a	brahmA devAnAm padavIH kavInAm Vi_48.6a
   brahmā rudras tathaiva ca Vi_47.10d	brahmA rudraH taTA-eva ca Vi_47.10d
   brāhamaṇāntaritaṃ bhaikṣyam Vi_23.48c	brAha-maNa-antaritam BEkzyam Vi_23.48c
   brāhmaṇas tu tayoḥ pitā Vi_32.17d	brAhmaNaH tu tayoH pitA Vi_32.17d
   brāhmaṇas tu surāṃ pibet Vi_54.7b	brAhmaNaH tu surAm pibet Vi_54.7b
   brāhmaṇaṃ daśavarṣaṃ ca Vi_32.17a	brAhmaNam daSa-varzam ca Vi_32.17a
   brāhmaṇaṃ vā bahuśrutam Vi_5.190b	brAhmaNam vA bahu-Srutam Vi_5.190b
   brāhmaṇānām akalpayan Vi_23.47b	brAhmaNAnAm akalpayan Vi_23.47b
   brāhmaṇānāṃ parīvādaṃ Vi_48.22e	brAhmaNAnAm parIvAdam Vi_48.22e
   brāhmaṇānāṃ prasādena Vi_19.22a	brAhmaNAnAm prasAdena Vi_19.22a
   brāhmaṇānumato yathā Vi_42.2d	brAhmaNa-anumataH yaTA Vi_42.2d
   brāhmaṇāpaśadā hy ete Vi_82.30a	brAhmaNa-apaSadAH hi ete Vi_82.30a
   brāhmaṇābhihitaṃ vākyaṃ Vi_19.22c	brAhmaNa-aBihitam vAkyam Vi_19.22c
   brāhmaṇārthe gavārthe vā Vi_16.18a	brAhmaNa-arTe gavArTe vA Vi_16.18a
   brāhmaṇāṃś ca visarjayet Vi_73.32b	brAhmaNAn ca visarjayet Vi_73.32b
   brāhmaṇāṃś cātra bhojayet Vi_86.18d	brAhmaNAn ca-atra Bojayet Vi_86.18d
   brāhmaṇeṣu kṣamānvitaḥ Vi_3.96d	brAhmaNezu kzamA-anvitaH Vi_3.96d
   brāhmaṇo nātra saṃśayaḥ Vi_55.21b	brAhmaNaH na-atra saMSayaH Vi_55.21b
   brāhmaṇyāc ca parityaktās Vi_54.27c	brAhmaNyAt ca parityaktAH Vi_54.27c
   brūhi me bhagavan dharmāṃś Vi_1.61c	brUhi me Bagavan DarmAn Vi_1.61c
   bhaktavatsala pāvana Vi_1.57b	Bakta-vatsala pAvane Vi_1.57b
   bhakṣayed dantadhāvanam Vi_61.16d	Bakzayet dantaDAvanam Vi_61.16d
   bhagnapṛṣṭhaśirogrīvāḥ Vi_43.44a	Bagna-pRzWa-SiraH-grIvAH Vi_43.44a
   bhajamānāḥ patanti te Vi_17.22d	BajamAnAH patanti te Vi_17.22d
   bhayād vā pātayed yas tu Vi_11.9a	BayAt vA pAtayet yaH tu Vi_11.9a
   bhavanty āryavigarhitāḥ Vi_27.27d	Bavanti Arya-vigarhitAH Vi_27.27d
   bhāgadheyaṃ pracakṣate Vi_81.24d	BAgaDeyam pracakzate Vi_81.24d
   bhāryātikramiṇaṃ caiva Vi_5.193a	BAryA-atikramiNam ca-eva Vi_5.193a
   bhāryātvam upayānti tāḥ Vi_44.45d	BAryA-tvam upayAnti tAH Vi_44.45d
   bhāryā yatrāgnayo 'pi vā Vi_67.35d	BAryA yatra-agnayaH api vA Vi_67.35d
   bhāvinī te yathā dhṛtiḥ Vi_1.31d	BAvinI te yaTA DRtiH Vi_1.31d
   bhīmānāṃ sadṛśānanaiḥ Vi_43.37d	BImAnAm sadRSa-AnanEH Vi_43.37d
   bhuktavatsu ca vipreṣu Vi_67.41a	Buktavatsu ca viprezu Vi_67.41a
   bhuktavatsu ca vipresu Vi_67.36c	Buktavatsu ca vipresu Vi_67.36c
   bhuktaṃ samyag yadā tu yat Vi_5.186b	Buktam samyak yadA tu yat Vi_5.186b
   bhuktyācāreṇa dharmataḥ Vi_5.187b	Bukti-AcAreNa DarmataH Vi_5.187b
   bhuktyā prāptaṃ hi tasya tat Vi_5.187d	BuktyA prAptam hi tasya tat Vi_5.187d
   bhujaṅgābhogaveṣṭitāḥ Vi_43.43b	BujaFga-ABoga-vezwitAH Vi_43.43b
   bhujaṅgair vṛścikais tathā Vi_43.34d	BujaFgEH vRScikEH taTA Vi_43.34d
   bhuñjāno na sa jānāti Vi_67.40c	BuQjAnaH na sa jAnAti Vi_67.40c
   bhuñjīyātāṃ tataḥ paścād Vi_67.41c	BuQjIyAtAm tatas paScAt Vi_67.41c
   bhūtagrāmaṃ caturvidham Vi_1.17d	BUta-grAmam caturviDam Vi_1.17d
   bhūtabhavyabhavadrūpaṃ Vi_97.19c	BUta-Bavya-Bavat-rUpam Vi_97.19c
   bhūtāny atithayas tathā Vi_59.28b	BUtAni atiTayaH taTA Vi_59.28b
   bhūtikāmair naraiḥ sadā Vi_100.3d	BUti-kAmEH narEH sadA Vi_100.3d
   bhūtikāmo naraḥ sadā Vi_100.4b	BUti-kAmaH naraH sadA Vi_100.4b
   bhūtvā bhūtahitārthinā Vi_1.12b	BUtvA BUta-hita-arTinA Vi_1.12b
   bhūmaṇḍalam ivāparam Vi_1.35b	BU-maNxalam iva-aparam Vi_1.35b
   bhūmiṣṭham udakaṃ puṇyaṃ Vi_23.43a	BUmizWam udakam puNyam Vi_23.43a
   bhūya evātha taṃ naram Vi_10.12b	BUyas eva-aTa tam naram Vi_10.12b
   bhūyas tv āropayen naram Vi_10.13b	BUyas tu Aropayet naram Vi_10.13b
   bhūr bhuvaḥ svar itīti ca Vi_55.10d	BUH BuvaH svar iti-iti ca Vi_55.10d
   bhṛṅgārapātreṣu manohareṣu Vi_99.13c	BRFgAra-pAtrezu manoharezu Vi_99.13c
   bhṛtyān gṛhyāś ca devatāḥ Vi_67.42b	BRtyAn gRhyAH ca devatAH Vi_67.42b
   bhṛśadaṇḍaś ca śatruṣu Vi_3.96b	BRSa-daNxaH ca Satruzu Vi_3.96b
   bhojanaṃ bahusarpiṣkaṃ Vi_86.18c	Bojanam bahu-sarpizkam Vi_86.18c
   bhojayet saha bhāryayā Vi_67.38d	Bojayet saha BAryayA Vi_67.38d
   bhojayet saha bhṛtyais tāv Vi_67.37c	Bojayet saha BRtyEH tO Vi_67.37c
   bhojayed avicārayan Vi_67.39d	Bojayet avicArayan Vi_67.39d
   bhojayed yas tu yoginam Vi_83.21b	Bojayet yaH tu yoginam Vi_83.21b
   bhaumikais te samā jñeyā Vi_23.54c	BOmikEH te samA jQeyAH Vi_23.54c
   makāraṃ ca prajāpatiḥ Vi_55.10b	makAram ca prajApatiH Vi_55.10b
   makṣikā vipruṣaś chāyā Vi_23.52a	makzikA vipruzaH CAyA Vi_23.52a
   maṅgalyaṃ paramaṃ gavām Vi_23.59b	maFgalyam paramam gavAm Vi_23.59b
   maṅgalyaṃ paramaṃ damaḥ Vi_72.5b	maFgalyam paramam damaH Vi_72.5b
   maṇiśṛṅga ivoditaḥ Vi_1.9d	maNi-SRFgaH iva-uditaH Vi_1.9d
   matte gajendre turage prahṛṣṭe Vi_99.11b	matte gaja-indre turage prahRzwe Vi_99.11b
   madīyāṃ vahate cintāṃ Vi_1.20c	madIyAm vahate cintAm Vi_1.20c
   madbhakta etadvijñāya Vi_97.21c	mad-BaktaH etat-vijQAya Vi_97.21c
   madbhāvāyopapadyate Vi_97.21d	mad-BAvAya-upapadyate Vi_97.21d
   madyāni brāhmaṇasya ca Vi_22.84b	madyAni brAhmaNasya ca Vi_22.84b
   madhukaiṭabhasūdana Vi_1.54d	maDu-kEwaBa-sUdanaH Vi_1.54d
   madhuparke ca yajñe ca Vi_51.64a	maDuparke ca yajQe ca Vi_51.64a
   madhūtkaṭena yaḥ śrāddhaṃ Vi_78.53a	maDu-utkawena yaH SrAdDam Vi_78.53a
   madhyamaḥ pañca vijñeyaḥ Vi_4.14c	maDyamaH paQca vijQeyaH Vi_4.14c
   manavaś ca caturdaśa Vi_20.24d	manavaH ca caturdaSa Vi_20.24d
   manasā durvicintitam Vi_48.19b	manasA durvicintitam Vi_48.19b
   manasā pṛthivī tadā Vi_98.102b	manasA pRTivI tadA Vi_98.102b
   manaḥ satyena śudhyati Vi_22.92b	manaH satyena SuDyati Vi_22.92b
   manujeṣv atha kā kathā Vi_20.25d	manujezu aTa kA kaTAH Vi_20.25d
   manovaśenāryapathānuvartinā Vi_72.6b	manaH-vaSena-Arya-paTa-anuvartinA Vi_72.6b
   mantra mantravahācintya Vi_1.53a	mantra mantra-vaha-acintya Vi_1.53a
   mantrais tu saṃskṛtān adyāc Vi_51.59c	mantrEH tu saMskRtAn adyAt Vi_51.59c
   mantroheṇa yathānyāyaṃ Vi_75.7c	mantra-UheNa yaTAnyAyam Vi_75.7c
   manyus tan manyum ṛcchati Vi_5.191d	manyuH tat manyum RcCati Vi_5.191d
   mayā jñātā śubhānane Vi_1.32b	mayA jQAtA SuBa-Anane Vi_1.32b
   mayā prasannena jagaddhitārthaṃ Vi_100.5a	mayA prasannena jagat-hita-arTam Vi_100.5a
   malinīkaraṇīyeṣu Vi_41.5a	malinIkaraNIyezu Vi_41.5a
   mahato 'py enaso māsāt Vi_55.13c	mahataH api enasaH mAsAt Vi_55.13c
   mahatsu ca na dūṣaṇam Vi_23.46d	mahatsu ca na dUzaNam Vi_23.46d
   mahad duḥkham avāpnoti Vi_52.17c	mahat duHKam avApnoti Vi_52.17c
   mahāpātakinas tv ime Vi_35.6b	mahApAtakinaH tu ime Vi_35.6b
   mahāpātakino yathā Vi_36.8b	mahApAtakinaH yaTA Vi_36.8b
   mahāprabhāve jagataḥ pradhāne Vi_99.3d	mahA-praBAve jagataH praDAne Vi_99.3d
   mahābalaparākrama Vi_1.50d	mahA-bala-parAkramaH Vi_1.50d
   mahāmantramayo mahān Vi_1.8b	mahA-mantra-mayaH mahAn Vi_1.8b
   mahāyogabalopetaṃ Vi_1.59c	mahA-yoga-bala-upetam Vi_1.59c
   mahārauravasaṃjñitam Vi_54.7d	mahArOrava-saMjQitam Vi_54.7d
   mahāvyāhṛtayo 'vyayāḥ Vi_55.15b	mahAvyAhRtayaH avyayAH Vi_55.15b
   mahāsāṃtapanena vā Vi_40.2d	mahAsAMtapanena vA Vi_40.2d
   mahīṃ sāgaraparyantāṃ Vi_1.10a	mahIm sAgara-paryantAm Vi_1.10a
   mā ca yāciṣma kaṃcana Vi_73.30d	mA ca yAcizma kaMcana Vi_73.30d
   mātāpitror aśuśrūṣāṃ Vi_48.20c	mAtA-pitroH aSuSrUzAm Vi_48.20c
   mātāmahānām apy evaṃ Vi_75.7a	mAtAmahAnAm api evam Vi_75.7a
   mādhūkam aikṣavaṃ ṭāṅkaṃ Vi_22.83a	mADUkam Ekzavam wAFkam Vi_22.83a
   mānuṣas tolyate tvayi Vi_10.11b	mAnuzaH tolyate tvayi Vi_10.11b
   mānuṣas tvayi majjati Vi_12.8b	mAnuzaH tvayi majjati Vi_12.8b
   mānuṣaḥ śuddhim icchati Vi_11.12b	mAnuzaH SudDim icCati Vi_11.12b
   mānuṣaḥ śuddhim icchati Vi_13.7b	mAnuzaH SudDim icCati Vi_13.7b
   mānuṣye ca tathāpnoti Vi_20.35c	mAnuzye ca taTA-Apnoti Vi_20.35c
   mānyaḥ snātaś ca bhūpateḥ Vi_63.50d	mAnyaH snAtaH ca BUpateH Vi_63.50d
   mā radhāma dviṣate soma rājan Vi_86.16d	mA raDAma dvizate soma rAjan Vi_86.16d
   mārutenaiva śudhyanti Vi_23.41c	mArutena-eva SuDyanti Vi_23.41c
   mārjanopāñjanair veśma Vi_23.56a	mArjana-upAQjanEH veSma Vi_23.56a
   mārjāraś ca sadā śuciḥ Vi_23.52d	mArjAraH ca sadA SuciH Vi_23.52d
   māsam aśnīta yāvakam Vi_39.2b	mAsam aSnIta yAvakam Vi_39.2b
   māsaṃ goṣṭhe payaḥ pītvā Vi_54.24c	mAsam gozWe payaH pItvA Vi_54.24c
   mā hāsmahi prajayā mā tanūbhir Vi_86.16c	mA hAsmahi prajayA mA tanUBiH Vi_86.16c
   māṃ brūyā avīryavatī tathā syām Vi_29.9d	mAm brUyAH avIryavatI taTA syAm Vi_29.9d
   māṃ sa bhakṣayitāmutra Vi_51.78a	mAm sa BakzayitA-amutra Vi_51.78a
   māṃsam utpadyate kvacit Vi_51.71b	mAMsam utpadyate kvacid Vi_51.71b
   māṃsaṃ vārdhrīṇasasya ca Vi_80.14b	mAMsam vArDrINasasya ca Vi_80.14b
   māṃsāni ca na khāded yas Vi_51.76c	mAMsAni ca na KAdet yaH Vi_51.76c
   mukuṭenārkavarṇena Vi_1.42c	mukuwena-arka-varNena Vi_1.42c
   mucyate 'satpratigrahāt Vi_54.24d	mucyate asat-pratigrahAt Vi_54.24d
   munyannānāṃ ca bhojanaiḥ Vi_51.77b	muni-annAnAm ca BojanEH Vi_51.77b
   mūtraṃ viṭ karṇaviṇnakhāḥ Vi_22.81b	mUtram viS karNa-viz-naKAH Vi_22.81b
   mūrchamānāḥ pade pade Vi_43.36d	mUrCamAnAH pade pade Vi_43.36d
   mṛgahantur dhanārthinaḥ Vi_51.62b	mRga-hantuH Dana-arTinaH Vi_51.62b
   mṛṇālakomalau bāhū karau Vi_1.25a	mRNAla-komalO bAhU karO Vi_1.25a
   mṛtapañcanakhāt kūpād Vi_23.44a	mRta-paQcanaKAt kUpAt Vi_23.44a
   mṛtasyeha janā yataḥ Vi_20.30b	mRtasya-iha janAH yatas Vi_20.30b
   mṛte bhartari sādhvī strī Vi_25.17a	mRte Bartari sADvI strI Vi_25.17a
   mṛto 'pi bāndhavaḥ śakto Vi_20.39a	mRtaH api bAnDavaH SaktaH Vi_20.39a
   mṛttoyaiḥ śudhyate śodhyaṃ Vi_22.91a	mRd-toyEH SuDyate SoDyam Vi_22.91a
   mṛtprakṣepeṇa śudhyati Vi_23.38d	mRd-prakzepeNa SuDyati Vi_23.38d
   mṛtyur ādāya gacchati Vi_20.42d	mRtyuH AdAya gacCati Vi_20.42d
   mṛdas tisras tu pādayoḥ Vi_60.25d	mRdaH tisraH tu pAdayoH Vi_60.25d
   mṛdi sthitāhaṃ ca navoddhṛtāyām Vi_99.13d	mRdi sTitA-aham ca nava-udDRtAyAm Vi_99.13d
   mṛdbhir adbhiś ca kārayet Vi_23.42b	mRdBiH adBiH ca kArayet Vi_23.42b
   mṛdvīkārasamādhvīke Vi_22.83c	mRdvIkA-rasa-mADvIke Vi_22.83c
   mṛnmano vāryupāñjanam Vi_22.88b	mRd-manaH vAri-upAQjanam Vi_22.88b
   mṛṣṭāśane cātithipūjake ca Vi_99.18d	mRzwa-aSane ca-atiTi-pUjake ca Vi_99.18d
   mekhalām ajinaṃ daṇḍam Vi_27.29a	meKalAm ajinam daNxam Vi_27.29a
   meghe tathā lambapayodhare ca Vi_99.9c	meGe taTA lamba-payoDare ca Vi_99.9c
   meghendracāpaśampādyān Vi_1.17e	meGa-indracApa-SampA-AdyAn Vi_1.17e
   medhāvinaṃ brahmacaryopapannam Vi_29.10b	meDAvinam brahmacarya-upapannam Vi_29.10b
   maitro brāhmaṇa ucyate Vi_55.21d	mEtraH brAhmaNaH ucyate Vi_55.21d
   maireyaṃ nārikelajam Vi_22.83d	mEreyam nArikela-jam Vi_22.83d
   maunāt satyaṃ viśiṣyate Vi_55.17d	mOnAt satyam viSizyate Vi_55.17d
   mriyate tatra tallekhyaṃ Vi_7.13c	mriyate tatra tat-leKyam Vi_7.13c
   mriyamāṇāṃś ca bāndhavān Vi_20.38b	mriyamANAn ca bAnDavAn Vi_20.38b
   ya ācāmayataḥ parān Vi_23.54b	yaH AcAmayataH parAn Vi_23.54b
   ya āvṛṇoty avitathena karṇāv Vi_30.47a	yaH AvRNoti avitaTena karNO Vi_30.47a
   ya idaṃ paṭhate nityaṃ Vi_100.4a	yaH idam paWate nityam Vi_100.4a
   yakṣarākṣasamānuṣān Vi_1.17b	yakza-rAkzasa-mAnuzAn Vi_1.17b
   yac ca vācā praśasyate Vi_23.47d	yat ca vAcA praSasyate Vi_23.47d
   yac cāsti dayitaṃ gṛhe Vi_92.32b	yat ca-asti dayitam gRhe Vi_92.32b
   yajeta vāśvamedhena Vi_85.71c	yajeta vA-aSvameDena Vi_85.71c
   yajeyur gosavena vā Vi_37.36d	yajeyuH gosavena vA Vi_37.36d
   yajñamūrte nirañjana Vi_1.52b	yajQamUrte niraQjanaH Vi_1.52b
   yajñaśiṣṭāśanaṃ hy etat Vi_67.43c	yajQa-Sizwa-aSanam hi etat Vi_67.43c
   yajñārthaṃ nidhanam prāptāḥ Vi_51.63c	yajQa-arTam niDanam prAptAH Vi_51.63c
   yajñārthaṃ paśavaḥ sṛṣṭāḥ Vi_51.61a	yajQa-arTam paSavaH sRzwAH Vi_51.61a
   yajñārtheṣu paśūn hiṃsan Vi_51.65a	yajQa-arTezu paSUn hiMsan Vi_51.65a
   yajñāṃś ca vividhāṃs tathā Vi_1.17f	yajQAn ca viviDAn taTA Vi_1.17f
   yajñena tapasā tathā Vi_67.44b	yajQena tapasA taTA Vi_67.44b
   yajñe vare snātaśirasy athāpi Vi_99.16b	yajQe vare snAta-Sirasi aTa-api Vi_99.16b
   yajño hi bhūtyai sarvasya Vi_51.61c	yajQaH hi BUtyE sarvasya Vi_51.61c
   yatīnāṃ tu caturguṇam Vi_60.26d	yatInAm tu caturguNam Vi_60.26d
   yato bhavati nirṇayaḥ Vi_10.13d	yatas Bavati nirNayaH Vi_10.13d
   yat karoty ekarātreṇa Vi_53.9a	yat karoti eka-rAtreNa Vi_53.9a
   yat kiṃcit kurute naraḥ Vi_58.12b	yat kiMcid kurute naraH Vi_58.12b
   yat kiṃcin manasecchati Vi_72.5d	yat kiMcid manasA-icCati Vi_72.5d
   yatra+ṛṇī dhaniko vāpi Vi_7.13a	yatra+RNI DanikaH vA-api Vi_7.13a
   yatra kvacana gāminam Vi_20.40b	yatra kvacana gAminam Vi_20.40b
   yatra kvacana darpitaḥ Vi_86.20b	yatra kvacana darpitaH Vi_86.20b
   yatra yatrābhijāyate Vi_52.15d	yatra yatra-aBijAyate Vi_52.15d
   yatra śyāmo lohitākṣo Vi_3.95a	yatra SyAmaH lohita-akzaH Vi_3.95a
   yat sūtraṃ yā ca mekhalā Vi_27.28b	yat sUtram yA ca meKalA Vi_27.28b
   yathākālam asaṃskṛtāḥ Vi_27.27b	yaTAkAlam asaMskRtAH Vi_27.27b
   yathā kesariṇaḥ śiśoḥ Vi_1.26d	yaTA kesariNaH SiSoH Vi_1.26d
   yathā te brahmacāriṇaḥ Vi_25.17d	yaTA te brahmacAriNaH Vi_25.17d
   yathā tv atithipūjanāt Vi_67.44d	yaTA tu atiTi-pUjanAt Vi_67.44d
   yathā dhenusahasreṣu Vi_20.47a	yaTA Denu-sahasrezu Vi_20.47a
   yathāvidhena dravyeṇa Vi_58.12a	yaTAviDena dravyeNa Vi_58.12a
   yathāvidhy upanāyayet Vi_54.26d	yaTAviDi upanAyayet Vi_54.26d
   yathāśvamedhaḥ kraturāṭ Vi_55.7a	yaTA-aSvameDaH kratu-rAj Vi_55.7a
   yathāsaṃkhyaṃ dvijātayaḥ Vi_62.9b	yaTAsaMKyam dvijAtayaH Vi_62.9b
   yathāsthānaṃ vibhajyāpas Vi_1.13c	yaTAsTAnam viBajya-apaH Vi_1.13c
   yathaivaikā tathā sarvā Vi_22.82c	yaTA-eva-ekA taTA sarvAH Vi_22.82c
   yadi tv atithidharmeṇa Vi_67.36a	yadi tu atiTi-DarmeNa Vi_67.36a
   yadi syād rāhudarśanam Vi_77.8d	yadi syAt rAhu-darSanam Vi_77.8d
   yadīcchec chāśvataṃ padam Vi_65.15d	yadi-icCet SASvatam padam Vi_65.15d
   yadīcched vipulān bhogāṃś Vi_90.29a	yadi-icCet vipulAn BogAn Vi_90.29a
   yad utpādayato mithaḥ Vi_30.45b	yat utpAdayataH miTas Vi_30.45b
   yad garhitenārjayanti Vi_54.28a	yat garhitena-arjayanti Vi_54.28a
   yad duṣcaraṃ yad durāpaṃ Vi_95.16a	yat duzcaram yat durApam Vi_95.16a
   yad dūraṃ yac ca duṣkaram Vi_95.16b	yat dUram yat ca duzkaram Vi_95.16b
   yad dhyāyati yat kurute Vi_51.70a	yat DyAyati yat kurute Vi_51.70a
   yad brāhmaṇās tuṣṭatamā vadanti Vi_19.23a	yat brAhmaNAH tuzwatamAH vadanti Vi_19.23a
   yad yat parebhyas tv ādadyāt Vi_52.15a	yat yat pareByaH tu AdadyAt Vi_52.15a
   yad yad iṣṭatamaṃ loke Vi_92.32a	yat yat izwatamam loke Vi_92.32a
   yady asya vihitaṃ carma Vi_27.28a	yadi asya vihitam carma Vi_27.28a
   yady eko 'pi gayāṃ vrajet Vi_85.71b	yadi ekaH api gayAm vrajet Vi_85.71b
   yad yonāv iha jāyate Vi_30.45d	yat yonO iha jAyate Vi_30.45d
   yad vā tad vā paradravyam Vi_44.44a	yat vA tat vA para-dravyam Vi_44.44a
   yan māṃsaparivarjanāt Vi_51.77d	yat mAMsa-parivarjanAt Vi_51.77d
   yan me kiṃcana duṣkṛtam Vi_48.18d	yat me kiMcana duzkRtam Vi_48.18d
   yam arthaṃ pratibhūr dadyād Vi_6 43a	yam arTam pratiBUH dadyAt Vi_6 43a
   yamasya puruṣair ghoraiḥ Vi_43.33a	yamasya puruzEH GorEH Vi_43.33a
