   oṃ atha pañcamo 'dhyāyaḥ	om aTa paQcamaH aDyAyaH
   uparyuparīti vīpsā sarvalokādhipatyakhyāpanārthā /	upari-upari-iti vIpsA sarva-loka-ADipatya-KyApana-arTAH /
   nanu sarvaśabdenaiva siddhatvādvīpsānarthikā /	nanu sarva-Sabdena-eva sidDa-tvAt-vIpsA-narTikA /
   naiṣa doṣaḥ /	na-eza dozaH /
   yeṣāmupariṣṭātsavitā dṛśyate tadviṣaya eva sarvaśabdaḥ	yezAm-uparizwAt-savitA dRSyate tad-vizayaH eva sarva-SabdaH
   syādityāśaṅkānivṛttyarthā vīpsā /	syAt-iti-ASaFkA-nivRtti-arTAH vIpsA /
   "ye cāmuṣmātparāñco lokāsteṣāṃ ceṣṭe devakānāṃ ca"iti śrutyanrāt /	"ye ca-amuzmAt-parAQcaH lokAH-tezAm ca-izwe devakAnAm ca"iti Sruti-anrAt /
   tasmātsarvāvarodhārthā vīpsā /	tasmAt-sarva-avaroDa-arTAH vIpsA /
   yathāsau savitā sarvādhipatyalakṣaṇayā śriyā yaśasā ca khyātyā tapatyevaṃ	yaTA-asO savitA sarva-ADipatya-lakzaNayA SriyA yaSasA ca KyAtyA tapati-evam
   haiva śriyā yaśasā ca tapati yo 'syā etadevaṃ turīyaṃ darśataṃ padaṃ veda	ha-eva SriyA yaSasA ca tapati yaH asyAH etat-evam turIyam darSatam padam veda
   START BrhUp 5,14.4	START BrhUp 5,14.4
   saiṣā gāyatry etasmiṃs turīye darśate pade parorajasi pratiṣṭhitā |	sA-ezA gAyatrI etasmin turIye darSate pade parorajasi pratizWitA |
   tad vai tat satye pratiṣṭhitam |	tat vE tat satye pratizWitam |
   cakṣur vai satyam |	cakzuH vE satyam |
   cakṣur hi vai satyam |	cakzuH hi vE satyam |
   tasmād yad idānīṃ dvau vivadamānāv eyātam aham adarśam aham aśrauṣam iti |	tasmAt yat idAnIm dvO vivadamAnO eyAtam aham adarSam aham aSrOzam iti |
   ya evaṃ brūyād aham adarśam iti |	yaH evam brUyAt aham adarSam iti |
   tasmā eva śraddadhyāma |	tasmE eva SraddaDyAma |
   tad vai tat satyaṃ bale pratiṣṭhitam |	tat vE tat satyam bale pratizWitam |
   prāṇo vai balam |	prANaH vE balam |
   tat prāṇe pratiṣṭhitam |	tat prANe pratizWitam |
   tasmād āhur balaṃ satyād ogīya iti |	tasmAt AhuH balam satyAt ogIyaH iti |
   evaṃ v eṣā gāyatry adhyātmaṃ pratiṣṭhitā |	evam v ezA gAyatrI aDyAtmam pratizWitA |
   sā haiṣā gayāṃs tatre |	sA ha-ezA gayAn tatre |
   prāṇā vai gayāḥ |	prANAH vE gayAH |
   tat prāṇās tatre |	tat prANAH tatre |
   tad yad gayāṃs tatre tasmād gāyatrī nāma |	tat yat gayAn tatre tasmAt gAyatrI nAma |
   sa yām evāmūṃ sāvitrīm anvāhaiṣaiva sā |	sa yAm eva-amUm sAvitrIm anvAha-ezA-eva sA |
   sa yasmā anvāha tasya prāṇāṃs trāyate || BrhUp_5,14.4 ||	sa yasmE anvAha tasya prANAn trAyate || BrhUp_5,14.4 ||
   BrhUpBh_5,14.4 saiṣā tripadoktā yā trailokyatraividyaprāṇalakṣaṇā	Brhu-upBh_5,14.4 sA-ezA tripada-uktA yA trElokya-trEvidya-prANa-lakzaNA
   gāyatryetasmiṃścaturthe turīye darśate pade parorajasi pratiṣṭhitā /	gAyatrI-etasmin=-caturTe turIye darSate pade parorajasi pratizWitA /
   mūrtāmūrtarasatvādādityasya /	mUrta-amUrta-rasa-tvAt-Adityasya /
   rasāpāye hi vastu nīrasamapratiṣṭhitaṃ bhavati /	rasa-apAye hi vastu nIra-sama-pratizWitam Bavati /
   yathā kāṣṭhādi dagdhasāraṃ tadvat /	yaTA kAzWa-Adi dagDa-sAram tadvat /
   tathā mūrtāmūrtarasatvādādityasya /	taTA mUrta-amUrta-rasa-tvAt-Adityasya /
   rasāpāye hi vastu nīrasamapratiṣṭhitaṃ bhavati /	rasa-apAye hi vastu nIra-sama-pratizWitam Bavati /
   yathā kāṣṭhādi dagdhasāraṃ tadvat /	yaTA kAzWa-Adi dagDa-sAram tadvat /
   tathā mūrtāmūrtātmakaṃ jagattripadā gāyatryāditye pratiṣṭhitā	taTA mUrta-amUrta-Atmakam jagat-tri-padA gAyatrI-Aditye pratizWitA
   tadrasatvātsaha tribhiḥ pādaiḥ /	tad-rasa-tvAt-saha triBiH pAdEH /
   tadvai turīyaṃ padaṃ satye pratiṣṭhitam /	tat-vE turIyam padam satye pratizWitam /
   kiṃ punastatsatyamityucyate-cakṣurvai satyam /	kim punar-tat-satyam-iti-ucyate--cakzuH-vE satyam /
   kathaṃ cakṣuḥ satyamityāha-prasiddhametaccakṣurhi vai satyam /	kaTam cakzuH satyam-iti-Aha--prasidDam-etat-cakzuH-hi vE satyam /
   kathaṃ prasiddhatetyāha-tasmādyadidānīmeva dvau vivadamānau viruddhaṃ	kaTam prasidDa-tA-iti-Aha-tasmAt-yat-idAnIm-eva dvO vivadamAnO virudDam
   vadamānāveyātāmāgaccheyātāmahamadarśaṃ dṛṣṭavānanasmītyanya āhāhamaśrauṣaṃ	vadamAna-AveyA-tAm-AgacCeyAtAm-aham-adarSam dRzwavAn-anasmi-iti-anyaH Aha-aham-aSrOzam
   tvayā dṛṣṭaṃ na tathā tadvastviti tayorya evaṃ brūyādahamadrākṣamiti tasmā	tvayA dRzwam na taTA tat-vastu-iti tayoH-yaH evam brUyAt-aham-adrAkzam-iti tasmA
   eva śraddadhyāma napunaryo brūyādahamaśrauṣamiti /	eva SraddaDyAma napunaryaH brUyAt-aham-aSrOzam-iti /
   śroturmṛṣā śravaṇamapi saṃbhavati na tu cakṣuṣo mṛṣā darśanam /	SrotuH-mRzA SravaNam-api saMBavati na tu cakzuzaH mRzA darSanam /
   tasmānnāśrauṣamityuktavate śraddadhyāma /	tasmAt-na-aSrOzam-iti-uktavate SraddaDyAma /
   tasmātsatyapratipattihetutvātsatyaṃ cakṣustasminsatye cakṣuṣi saha	tasmAt-satya-pratipatti-hetu-tvAt-satyam cakzuH-tasmin-satye cakzuzi saha
   tribhiritaraiḥ pādaisturīyaṃ padaṃ pratiṣṭhitamityarthaḥ /	triBiH-itarEH pAdEH-turIyam padam pratizWitam-iti-arTaH /
   uktaṃ ca sa ādityaḥ kasminpratiṣṭhita iti cakṣuṣīti /	uktam ca saH AdityaH kasmin-pratizWitaH iti cakzuzi-iti /
   tadvai turīyapadāśrayaṃ satyaṃ bale pratiṣṭhitam /	tat-vE turIya-pada-ASrayam satyam bale pratizWitam /
   kiṃ punastadbalamityāha-prāṇo vai balaṃ tasminprāṇe bale pratiṣṭhitaṃ	kim punar-tad-balam-iti-Aha--prANaH vE balam tasmin-prANe bale pratizWitam
   satyam /	satyam /
   tathā coktaṃ sūtre tadotaṃ ca protaṃ ceti /	taTA ca-uktam sUtre tadA-Utam ca protam ca-iti /
   yasmādbale satyaṃ pratiṣṭhitaṃ tasmādāhurbalaṃ satyādogīya ojīya	yasmAt-bale satyam pratizWitam tasmAt-AhuH-balam satyAt-ogIyaH ojIya
   ojastaramityarthaḥ /	ojastaram-iti-arTaH /
   loke 'pi yasminhi yadāśritaṃ bhavati tasmādāśritādāśrayasya	loke api yasmin-hi yat-ASritam Bavati tasmAt-ASritAt-ASrayasya
   balavattaratvaṃ prasiddham /	balavattara-tvam prasidDam /
   na hi durbalaṃ balavataḥ kvacidāśrayabhūtaṃ dṛṣṭam /	na hi durbalam balavataH kvacid-ASraya-BUtam dRzwam /
   evamuktanyāyena u eṣā gāyatryadhyātmamadhyātme prāṇe pratiṣṭhitā /	evam-ukta-nyAyena u ezA gAyatrI-aDyAtmam-aDyAtme prANe pratizWitA /
   saiṣā gāyatrī prāṇaḥ /	sA-ezA gAyatrI prANaH /
   ato gāyatryāṃ jagatpratiṣṭhitam /	atas gAyatryAm jagat-pratizWitam /
   yasminprāṇe sarve devā ekaṃ bhavanti /	yasmin-prANe sarve devAH ekam Bavanti /
   sarvaṃ vedāḥ karmāṇi phalaṃ ca saivaṃ gāyatrī prāṇarūpā satī jagata ātmā /	sarvam vedAH karmANi Palam ca sA-evam gAyatrI prANa-rUpA satI jagataH AtmA /
   sā haiṣā gayāṃstatre trātavatī /	sA ha-ezA gayAn=-tatre trAtavatI /
   ke punargayāḥ prāṇā vāgādayo vai gayāḥ /	ke punar-gayAH prANAH vAc-AdayaH vE gayAH /
   śabdakaramāt /	Sabda-karamAt /
   tāṃstatre saiṣā gāyatrī /	tAn=-tatre sA-ezA gAyatrI /
   tattatra yadyasmādgayāṃstatre tasmādgāyatrī nāma /	tat-tatra yadi-asmAt-gayAn=-tatre tasmAt-gAyatrI nAma /
   gāyatrāṇādgāyatrīti prathitā /	gAyatrANAt-gAyatrI-iti praTitA /
   sa ācārya upanīya māṇavakamaṣṭavarṣaṃ yāmevāmūṃ gāyatrīṃ sāvitrīṃ	saH AcAryaH upanIya mANavakam-azwa-varzam yAm-a-iva-amUm gAyatrIm sAvitrIm
   savitṛdevatākāmanvāha pacchordharcaśaḥ samastāṃ ca /	savitR-devatAkAm-anvAha pacCos-DarcaSaH samastAm ca /
   eṣaiva sā sākṣātprāṇo jagata ātmā māṇavakāya samarpitehedānīṃ vyākhyātā	ezA-eva sA sAkzAt-prANaH jagataH AtmA mANavakAya samarpitA-iha-idAnIm vyAKyAtA
   nānyā sa ācāryo yasmai māṇavakāyānvāhānuvakti tasya māṇavakasya	na-anyA saH AcAryaH yasmE mANavakAya-an-vAha-anuvakti tasya mANavakasya
   gayānprāṇāṃsrāyate narakādipatanāt //4//	gayAn-prANAMsrAyate naraka-Adi-patanAt //4//
   START BrhUp 5,14.5	START BrhUp 5,14.5
   tāṃ haitām eke sāvitrīm anuṣṭubham anvāhuḥ |	tAm ha-etAm eke sAvitrIm anuzwuBam anvAhuH |
   vāg anuṣṭup |	vAc anuzwuB |
   etad vācam anubrūma iti |	etat vAcam anubrUmaH iti |
   na tathā kuryāt |	na taTA kuryAt |
   gāyatrīm eva sāvitrīm ānubrūyāt |	gAyatrIm eva sAvitrIm AnubrUyAt |
   yadi ha vā apy evaṃvid bahv iva pratigṛhṇāti na haiva tad gāyatryā ekaṃ	yadi ha vE api evaMvid bahu iva pratigRhNAti na ha-eva tat gAyatryA ekam
   cana padaṃ prati || BrhUp_5,14.5 ||	cana padam prati || BrhUp_5,14.5 ||
   BrhUpBh_5,14.5 tāmetāṃ sāvitrīṃ haike śākhino	Brhu-upBh_5,14.5 tAm-etAm sAvitrIm ha-eke SAKinaH-
   'nuṣṭupchandaskāmanvāhurupanītāya /	anuzwuB-CandaskAm-anvAhuH-upanItAya /
   tadabhiprāyamāha-vāganuṣṭup /	tad-aBiprAya-mAha-vAganuzwuB /
   vākca śarīre sarasvatī tāmeva hi vācaṃ sarasvatīṃ māṇavakāyānubrūma	vAc-ca SarIre sarasvatI tAm-eva hi vAcam sarasvatIm mANavakAya-anubrUma
   ityetadvadantaḥ /	iti-etat-vadantaH /
   na tathā kuryānna tathā vidyādyatta āhurmṛṣaiva tat /	na taTA kuryAt-na taTA vidyAt-yattaH AhuH-mRzA-eva tat /
   kiṃ tarhi gāyatrīmeva sāvitrīmanubrūyāt /	kim tarhi gAyatrIm-eva sAvitrIm-anubrUyAt /
   kasmāt /	kasmAt /
   yasmātprāṇo gāyatrītyuktam /	yasmAt-prANaH gAyatrI-iti-uktam /
   prāṇa ukte vākca sarasvatī cānye ta prāṇāḥ sarvaṃ māṇavakāya samarpitaṃ	prANaH ukte vAc-ca sarasvatI ca-anye te prANAH sarvam mANavakAya samarpitam
   bhavati /	Bavati /
   kiñcedaṃ prāsaṅgikamuktvā gāyatrīvidaṃ stauti-yadi ha vā apyevaṃvidbahviva	kiQca-idam prAsaFgikam-uktvA gAyatrI-ividam stOti-yadi ha vE api-evaMvid-bahu-iva
   na hi tasya sarvātmano bahu nāmāsti kicitsarvātmakatvādviduṣaḥ	na hi tasya sarva-AtmanaH bahu nAma-asti kicit-sarva-Atmaka-tvAt-viduzaH
   pratigṛhṇāti na haiva tatpratigrahajātaṃ gāyatryā ekañcanaikamapi padaṃ	pratigRhNAti na ha-eva tad-pratigraha-jAtam gAyatryA ekaQcana-ekam-api padam
   prati paryāptam //5//	prati paryAptam //5//
   START BrhUp 5,14.6	START BrhUp 5,14.6
   sa ya imāṃs trīṃl lokān pūrṇān pratigṛhṇīyāt so 'syā etat prathamaṃ padam	sa yaH imAn trIn lokAn pUrNAn pratigRhNIyAt saH asyAH etat praTamam padam
   āpnuyāt |	ApnuyAt |
   atha yāvatīyaṃ trayī vidyā yas tāvat pratigṛhṇīyāt so 'syā etad dvitīyaṃ	aTa yAvatI-iyam trayI vidyA yaH tAvat pratigRhNIyAt saH asyAH etat dvitIyam
   padam āpnuyāt |	padam ApnuyAt |
   atha yāvad idaṃ prāṇi yas tāvat pratigṛhṇīyāt so 'syā etat tṛtīyaṃ padam	aTa yAvat idam prANi yaH tAvat pratigRhNIyAt saH asyAH etat tRtIyam padam
   āpnuyāt |	ApnuyAt |
   athāsyā etad eva turīyaṃ darśataṃ padaṃ parorajā ya eṣa tapati |	aTa-asyAH etat eva turIyam darSatam padam parorajAH yaH eza tapati |
   naiva kena canāpyam |	na-eva kena canApyam |
   kuta u etāvat pratigṛhṇīyāt || BrhUp_5,14.6 ||	kutas u etAvat pratigRhNIyAt || BrhUp_5,14.6 ||
   BrhUpBh_5,14.6 sa ya imāṃsrīnsa yo gāyatrīvidimānbhūrādīṃsrīngo	Brhu-upBh_5,14.6 sa yaH imAMsrIn-sa yaH gAyatrI-vidimAn-BUH-AdIM-srIn-gaH-
   'śvādidhanapūrṇāṃllokānpratigṛhṇīyātsa pratigraho 'syā gāyatryā	aSva-Adi-Dana-pUrNAn=-lokAn-pratigRhNIyAt-sa pratigrahaH asyAH gAyatryA
   etatprathamaṃ padaṃ yadvyākhyātamāpnuyātprathamapadavijñānaphalaṃ tena	etat-praTamam padam yat-vyAKyAtam-ApnuyAt-praTama-pada-vijQAna-Palam tena
   bhuktaṃ syānna tvadhikadoṣotpādakaḥ sa pratigrahaḥ /	Buktam syAt-na tu-aDika-doza-utpAdakaH sa pratigrahaH /
   atha punaryāvatīyaṃ trayī vidyā yastāvatpratigṛhṇīyātso 'syā etattṛtīyaṃ	aTa punar-yAvatI-iyam trayI vidyA yaH-tAvat-pratigRhNIyAt-saH asyAH etat-tRtIyam
   padamāpnuyāt /	padam-ApnuyAt /
   tena tṛtīyapadavijñānaphalaṃ bhuktaṃ syāt /	tena tRtIya-pada-vijQAna-Palam Buktam syAt /
   kalpayitvedamicyate /	kalpayitvA-idam-icyate /
   pādatrayasamamapi yadi kaścitpratigṛhṇīyāttatpādatrayavijñānaphalasyaiva	pAda-traya-samam-api yadi kaScid-pratigRhNIyAt-tad-pAda-traya-vijQAna-Palasya-eva
   kṣayakāraṇaṃ na tvanyasya doṣasya kartṛtve kṣamam /	kzaya-kAraNam na tu-anyasya dozasya kartR-tve kzamam /
   na caivaṃ dātā pratigrahītā vā /	na ca-evam dAtA pratigrahItA vA /
   gāyatrīvijñānastutaye kalpyate /	gAyatrI-vijQAna-stutaye kalpyate /
   dātā pratigrahītā ca yadyapyevaṃ saṃbhāvyate nāsau pratigraho	dAtA pratigrahItA ca yadi-api-evam saMBAvyate na-asO pratigrahaH-
   'parādhakṣamaḥ /	aparADa-kzamaH /
   kasmādyato 'bhyadhikamapi puruṣārthavijñānamavaśiṣṭameva	kasmAt-yatas aByaDikam-api puruza-arTa-vijQAnam-avaSizwam-eva
   caturthapādaviṣayaṃ gāyatryāstaddarśayati /	caturTa-pAda-vizayam gAyatryAH-tat-darSayati /
   athāsyā etadeva turīyaṃ darśataṃ padaṃ parorajā ya eṣa tapati /	aTa-asyAH etat-eva turIyam darSatam padam parorajAH yaH eza tapati /
   yaccaitannaiva kenacana kenacidapi pratigraheṇā'pyaṃ naiva	yat-ca-etat-na-eva kenacana kenacid-api pratigraheNa-Aapyam na-eva
   prāpyamityarthaḥ /	prApyam-iti-arTaH /
   yathā pūrvoktāni trīṇi padāni /	yaTA pUrva-uktAni trINi padAni /
   etānyapi naivā'pyāni kenacitkalpayitvaivamuktaṃ paramārthataḥ kuta u	etAni-api na-evA-apyAni kenacid-kalpayitvA-evam-uktam paramArTataH kutas u
   etāvatpratigṛhṇoyāttrailokyādisamam /	etAvat-pratigRhNoyAt-trElokya-Adi-samam /
   tasmādgāyatryevaṃprakāropāsyetyarthaḥ //6//	tasmAt-gAyatrI-evaMprakAra-upAsya-iti-arTaH //6//
   START BrhUp 5,14.7	START BrhUp 5,14.7
   tasyā upasthānam |	tasyAH upasTAnam |
   gāyatry asy ekapadī dvipadī tripadī catuṣpadi |	gAyatrI asi ekapadI dvipadI tripadI catuzpadi |
   apad asi |	apad asi |
   na hi padyase |	na hi padyase |
   namas te turīyāya darśatāya padāya parorajase |	namaH te turIyAya darSatAya padAya parorajase |
   asāv ado mā prāpad iti |	asO adaH mA prApat iti |
   yaṃ dviṣyād asāv asmai kāmo mā samardhīti vā |	yam dvizyAt asO asmE kAmaH mA samarDi-iti vA |
   na haivāsmai sa kāmaḥ samṛdhyate yasmā evam upatiṣṭhate |	na ha-eva-asmE sa kAmaH samRDyate yasmE evam upatizWate |
   aham adaḥ prāpam iti vā || BrhUp_5,14.7 ||	aham adaH prApam iti vA || BrhUp_5,14.7 ||
   BrhUpBh_5,14.7 tasyā upasthānaṃ tasyā gāyatryā upasthānamupetya sthānaṃ	Brhu-upBh_5,14.7 tasyAH upasTAnam tasyAH gAyatryA upasTAnam-upetya sTAnam
   namaskaraṇamanena mantreṇa /	namaskaraNam-anena mantreNa /
   kau'sau mantra ityāha-he gāyatryasi bhavasi trailokyapādenaikapadī	kO-asO mantraH iti-Aha-he gAyatrI-asi Bavasi trElokya-pAdena-ekapadI
   trayīvidyārūpeṇa dvitīyena dvipadī /	trayI-vidyA-rUpeNa dvitIyena dvipadI /
   prāṇādinā tṛtīyena tripadyasi /	prANa-AdinA tRtIyena tripadyasi /
   caturthena turīyeṇa catuṣpadyasi /	caturTena turIyeNa catuzpadyasi /
   evaṃ caturbhiḥ pādairupāsakaiḥ padyase jñāyase 'taḥ paraṃ pareṇa	evam caturBiH pAdEH-upAsakEH padyase jQAyase atas param pareNa
   nirupādhikena svenā'tmanāpadasi /	nirupADikena svenA-atmanA-Apadasi /
   avidyamānaṃ padaṃ yasyāstava yena padyase sā tvamapadasi yasmānnahi	avidyamAnam padam yasyAH-tava yena padyase sA tvam-apadasi yasmAt-na-hi
   padyase neti netyātmatvāt /	padyase na-iti na-iti-Atma-tvAt /
   ato vyavahāraviṣayāya namabhte turīyāya darśatāya padāya poradase /	atas vyavahAra-vizayAya namaBte turIyAya darSatAya padAya poradase /
   asau śatruḥ pāpmā tvatprāptivighnakaro 'dastadātmanaḥ kāryaṃ	asO SatruH pApmA tvad-prApti-viGna-karaH adaH-tat-AtmanaH kAryam
   yattvatprāptivighnakartṛtvaṃ mā prāpanmaiva prāpnotu /	yat-tvad-prApti-viGna-kartR-tvam mA prApanmA-eva prApnotu /
   itiśabdo mantraparisamāptyarthaḥ /	iti-SabdaH mantra-parisamApti-arTaH /
   yaṃ dviṣyādyaṃ prati dveṣaṃ kuryātsvayaṃ vidvāṃstaṃ	yam dvizya-Adyam prati dvezam kuryAt-svayam vidvAn=-tam
   pratyanenopasthānamasau śatruramukanāmeti nāma gṛhṇīyādasmai	pratyanena-upasTAnam-asO SatruH-amukanAmA-iti nAma gRhNIyAt-asmE
   yajñadattāyābhipretaḥ kāmo mā samṛddhi samṛddhiṃ mā prāpnotviti	yajQadattAya-aBipretaH kAmaH mA samRdDi samRdDim mA prApnotu-iti
   vopatiṣṭhate /	vA-upatizWate /
   na haivāsmai devadattāya sa kāmaḥ samṛdhyate /	na ha-eva-asmE devadattAya sa kAmaH samRDyate /
   kasmai /	kasmE /
   yasmā evamupatiṣṭhate /	yasmE evam-upatizWate /
   ahamado devadattābhipretaṃ prāpamiti vopatiṣṭhate /	aham-adaH devadatta-aBipretam prApam-iti vA-upatizWate /
   asāvado mā prāpadityāditrayāṇāṃ mantrapadānāṃ yathākāmaṃ vikalpaḥ //7//	asA=-adaH mA prApat-iti-Adi-trayANAm mantra-padAnAm yaTAkAmam vikalpaH //7//
   START BrhUp 5,14.8	START BrhUp 5,14.8
   etad dha vai taj janako vaideho buḍilam āśvatarāśvim uvāca -- yan nu ho	etat Da vE tat janakaH vEdehaH buxilam ASvatara-aSvim uvAca - yat nu ho
   tad gāyatrīvid abrūthāḥ |	tat gAyatrI-vid abrUTAH |
   atha kathaṃ hastībhūto vahasīti |	aTa kaTam hastIBUtaH vahasi-iti |
   mukhaṃ hy asyāḥ samrāṇ na vidāṃ cakareti hovāca |	muKam hi asyAH samrAj na vidAm cakara-iti ha-uvAca |
   tasyā agnir eva mukham |	tasyAH agniH eva muKam |
   yadi ha vā api bahv ivāgnāv abhyādadhati sarvam eva tat saṃdahati |	yadi ha vE api bahu iva-agnO aByAdaDati sarvam eva tat saMdahati |
   evaṃ haivaivaṃvid yady api bahv iva pāpaṃ kurute sarvam eva tat saṃpsāya	evam ha-eva-evaMvid yadi api bahu iva pApam kurute sarvam eva tat saMpsAya
   śuddhaḥ pūto 'jaro 'mṛtaḥ saṃbhavati || BrhUp_5,14.8 ||	SudDaH pUtaH ajaraH amRtaH saMBavati || BrhUp_5,14.8 ||
   BrhUpBh_5,14.8 gāyatryā mukhavidhānāyārthavāda ucyate-etaddha kila vai	Brhu-upBh_5,14.8 gAyatryA muKa-viDAnAya-arTavAdaH ucyate-etat-ha kila vE
   smaryate /	smaryate /
   tattatra gāyatrīvijñānaviṣaye janako vaideho buḍilo nāmato	tat-tatra gAyatrI-vijQAna-vizaye janakaH vEdehaH buxilaH nAmataH-
   'śvatarāśvasyāpatyamāśvatarāśvistaṃ kiloktavān /	aSvatara-aSvasya-apatyam-ASvatara-aSviH-tam kila-uktavAn /
   yannu iti vitarke ho aho ityetattadyattvaṃ gāyatrīvidbrūthā	yat-nu iti vitarke ho aho iti-etat-tat-yat-tvam gAyatrI-vidbrUTA
   gāyatrīvidasmīti yadabrūthāḥ kimidaṃ tasya vacaso 'nanurūpam /	gAyatrI-vid-asmi-iti yat-abrUTAH kim-idam tasya vacasaH ananurUpam /
   atha kathaṃ yadi gāyatrīvitpratigrahadoṣeṇa hastobhūto vahasīti /	aTa kaTam yadi gAyatrI-vid-pratigraha-dozeNa hastaH-BUtaH vahasi-iti /
   sa pratyāha rājñā smārito mukhaṃ gāyatryā hi yasmādasyā he samrāṇna	sa pratyAha rAjQA smAritaH muKam gAyatryA hi yasmAt-asyAH he samrANna
   vidāñcakāra na vijñātavānasmīti hovāca /	vidAQcakAra na vijQAtavAn-asmi-iti ha-uvAca /
   ekāhgavikalatvādgāyatrīvijñānaṃ mamāphalaṃ jātam /	eka-Ahga-vikala-tvAt-gAyatrI-vijQAnam mama-aPalam jAtam /
   śṛṇu tarhi tasyā gāyatryā agnireva mukham /	SRNu tarhi tasyAH gAyatryA agniH-eva muKam /
   yadi ha vā api bahvivendhanamagnāvabhyādadhati laukikāḥ sarvameva	yadi ha vE api bahu-iva-inDanam-agnO=-aByAdaDati lOkikAH sarvam-eva
   tatsaṃdahatyevendhanamagnirevaṃ haivaivaṃvidgāyatryā agnirmukhamityevaṃ	tad-saMdahati-eva-inDanam-agniH-evam ha-eva-evaMvid-gAyatryA agniH-muKam-iti-evam
   vettītyevaṃvitsyātsvayaṃ gāyatryātmāgnimukhaḥ san /	vetti-iti-evaMvitsyAt-svayam gAyatrI-Atma-agnimuKaH san /
   yadyapi bahviva pāpaṃ kurute pratigrahādidoṣaṃ tatsarvaṃ pāpajātaṃ	yadi-api bahu-iva pApam kurute pratigraha-Adi-dozam tat-sarvam pApa-jAtam
   saṃpsāya bhakṣayitvā śuddho 'gnivatpūtaśca	saMpsAya BakzayitvA SudDaH agni-vat-pUtaH-ca
   tasmātpratigrahadoṣādgāyatryātmājaro 'mṛtaśca saṃbhavati //8//	tasmAt-pratigraha-dozAt-gAyatrI-AtmA-ajaraH amRtaH-ca saMBavati //8//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya caturdaśaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya caturdaSam brAhmaNam
   START BrhUp 5,15.1	START BrhUp 5,15.1
   hiraṇmayena pātreṇa satyasyāpihitaṃ mukham |	hiraNmayena pAtreNa satyasya-apihitam muKam |
   tat tvam pūṣann apāvṛṇu satyadharmāya dṛṣṭaye |	tat tvam pUzan apAvRNu satya-DarmAya dRzwaye |
   pūṣann ekarṣe yama sūrya prājāpatya vyūha raśmīn samūha tejaḥ |	pUzan eka-Rze yama sUrya prAjApatya vyUha raSmIn samUha tejaH |
   yat te rūpaṃ kalyāṇatamam tat te paśyāmi yo 'sāv asau puruṣaḥ so 'ham asmi	yat te rUpam kalyANatamam tat te paSyAmi yaH asO asO puruzaH saH aham asmi
   vāyur anilam amṛtam athedaṃ bhasmāntaṃ śarīram |	vAyuH anilam amRtam aTa-idam Basma-antam SarIram |
   oṃ krato smara kṛtaṃ smara krato smara kṛtaṃ smara |	om krato smara kRtam smara krato smara kRtam smara |
   agne naya supathā rāye 'smān viśvāni deva vayunāni vidvān |	agne naya su-paTAH rAye asmAn viSvAni deva vayunAni vidvAn |
   yuyodhy asmaj juhurāṇam eno bhūyiṣṭhāṃ te namauktiṃ vidhema ||	yuyoDi asmat juhurANam enaH BUyizWAm te na-mOktim viDema ||
   BrhUp_5,15.1 ||	BrhUp_5,15.1 ||
   BrhUpBh_5,15.1 yo jñānakarmasamuccayakārī so 'ntakāla ādityaṃ prārthayati	Brhu-upBh_5,15.1 yaH jQAna-karma-samuccaya-kArI saH anta-kAle Adityam prArTayati
   asti ca prasaṅgo gāyatryāsturīyaḥ pādo hi saḥ /	asti ca prasaFgaH gAyatryAH-turIyaH pAdaH hi saH /
   tadupasthānaṃ prakṛtamataḥ sa eva prārthyate /	tad-upasTAnam prakRtam-atas saH eva prArTyate /
   hiraṇyamayena jyotirmayena pātreṇa yathā pātreṇeṣṭaṃ vastvapidhīyata	hiraNya-mayena jyotiH-mayena pAtreNa yaTA pAtreNa-izwam vastu-apiDIyata
   evamidaṃ satyākhyaṃ brahma jyotirmayena	evam-idam satya-AKyam brahma jyotiH-mayena
   maṇḍalenāpihitamivāsamāhitacetasāmadṛśyatvāttaducyate /	maNxalena-apihitam-iva-asamAhita-cetasAm-adRSya-tvAt-tat-ucyate /
   satyasyāpihitaṃ mukhaṃ mukhyaṃ svarūpaṃ tadapidhānaṃ pātramapidhānamiva	satyasya-apihitam muKam muKyam svarUpam tat-apiDAnam pAtram-apiDAnam-iva
   darśanapratibandhakāraṇaṃ tattvaṃ he pūṣañjagataḥ poṣaṇatpūṣā	darSana-pratibanDa-kAraNam tattvam he pUzan-jagataH pozaNat-pUzA
   savitāpāvṛṇvapāvṛtaṃ kuru darśanapratibandhakāraṇamapanayetyarthaḥ /	savitA-apA=-RNvapAvRtam kuru darSana-pratibanDa-kAraNam-apanayA-iti-arTaH /
   satyadharmāya satyaṃ dharmo 'sya mama so 'haṃ satyadharmā tasmai	satya-DarmAya satyam DarmaH asya mama saH aham satya-DarmA tasmE
   tvadātmabhūtāyetyarthaḥ /	tvad-Atma-BUtAya-iti-arTaH /
   dṛṣṭaye darśanāya /	dRzwaye darSanAya /
   pūṣannityādīni nāmānyāmantraṇārthani savituḥ /	pUzan=-ityAdIni nAmAnya-AmantraNa-arTani savituH /
