   akramaḥ kṛṣṇa pūjyante JCand_2.27c	akramaH kRzNa pUjyante JCand-_2.27c
   sānau yasyābhavad yuddhaṃ JCand_5.114c	sAnO yasya-aBavat yudDam JCand-_5.114c
   sābhiprāye viśeṣaṇe JCand_5.39b	sa-aBiprAye viSezaNe JCand-_5.39b
   sābhiprāye viśeṣye tu JCand_5.40a	sa-aBiprAye viSezye tu JCand-_5.40a
   sāmānyaparivṛttiḥ syāt JCand_2.36a	sAmAnya-parivRttiH syAt JCand-_2.36a
   sāmānyaṃ yadi sādṛśyād JCand_5.34a	sAmAnyam yadi sAdRSyAt JCand-_5.34a
   sā yatra prastutānugā JCand_5.65b	sA yatra prastuta-anugA JCand-_5.65b
   sāratāyā yathottaram JCand_5.89b	sAra-tAyAH yaTottaram JCand-_5.89b
   sāraṃ sārasvataṃ tatra JCand_5.89c	sAram sArasvatam tatra JCand-_5.89c
   sāro nāma padotkarṣaḥ JCand_5.89a	sAraH nAma pada-utkarzaH JCand-_5.89a
   sāropādhyavasānākhye JCand_9.10c	sAra-upADi-avasAna-AKye JCand-_9.10c
   sālaṃkārarasāneka- JCand_1.7c	sa-alaMkAra-rasAn-eka JCand-_1.7c
   sā vicakṣaṇalakṣaṇā JCand_9.5b	sA vicakzaNa-lakzaNA JCand-_9.5b
   sāṃmukhyaṃ vidadhānāyāḥ JCand_7.2a	sAMmuKyam vidaDAnAyAH JCand-_7.2a
   siktaṃ sphaṭikakumbhāntaḥ- JCand_5.48c	siktam sPawika-kumBa-antaH JCand-_5.48c
   siddhiḥ khyāteṣu cen nāma JCand_3.8a	sidDiH KyAtezu ced nAma JCand-_3.8a
   sudhānidhānam āsādya JCand_10.5c	suDA-niDAnam AsAdya JCand-_10.5c
   sudhāṃśukalitottaṃsas JCand_5.39c	suDAMSu-kalita-uttaMsaH JCand-_5.39c
   sudhāṃśuḥ preyasīmukham JCand_5.25d	suDAMSuH preyasImuKam JCand-_5.25d
   sudhāṃśor akalaṅkatā JCand_5.57d	suDAMSoH akalaFkatA JCand-_5.57d
   suptaṃ prabodho 'marṣaś cāpy JCand_6.17a	suptam praboDaH amarzaH ca-api JCand-_6.17a
   sumitrā tadbhaktipraṇihitamatir yasya pitarau JCand_1.16b	sumitrA tad-Bakti-praNihita-matiH yasya pitarO JCand-_1.16b
   sumitrā tadbhaktipraṇihitamatir yasya pitarau JCand_2.45b	sumitrA tad-Bakti-praNihita-matiH yasya pitarO JCand-_2.45b
   sumitrā tadbhaktipraṇihitamatir yasya pitarau JCand_3.12b	sumitrA tad-Bakti-praNihita-matiH yasya pitarO JCand-_3.12b
   sumitrā tadbhaktipraṇihitamatir yasya pitarau JCand_4.13b	sumitrA tad-Bakti-praNihita-matiH yasya pitarO JCand-_4.13b
   sumitrā tadbhaktipraṇihitamatir yasya pitarau JCand_5.125b	sumitrA tad-Bakti-praNihita-matiH yasya pitarO JCand-_5.125b
   sumitrā tadbhaktipraṇihitamatir yasya pitarau JCand_6.29b	sumitrA tad-Bakti-praNihita-matiH yasya pitarO JCand-_6.29b
   sumitrā tadbhaktipraṇihitamatir yasya pitarau JCand_7.18b	sumitrA tad-Bakti-praNihita-matiH yasya pitarO JCand-_7.18b
   sumitrā tadbhaktipraṇihitamatir yasya pitarau JCand_8.11b	sumitrA tad-Bakti-praNihita-matiH yasya pitarO JCand-_8.11b
   sumitrā tadbhaktipraṇihitamatir yasya pitarau JCand_9.17b	sumitrA tad-Bakti-praNihita-matiH yasya pitarO JCand-_9.17b
   sumitrā tadbhaktipraṇihitamatir yasya pitarau JCand_10.7b	sumitrA tad-Bakti-praNihita-matiH yasya pitarO JCand-_10.7b
   suvarṇakalaśāyate JCand_2.26d	suvarNa-kalaSAyate JCand-_2.26d
   sūktipīyūṣavarṣasya JCand_10.6c	sUkti-pIyUza-varzasya JCand-_10.6c
   sūryo yadi kathaṃ niśi JCand_3.3d	sUryaH yadi kaTam niSi JCand-_3.3d
   saukumāryam apāruṣyaṃ JCand_4.8a	sOkumAryam apAruzyam JCand-_4.8a
   saundaryeṇaiṣa kandarpaḥ JCand_9.15c	sOndaryeNa-eza kandarpaH JCand-_9.15c
   stabdhakarṇair udīkṣyate JCand_5.111d	stabDa-karNEH udIkzyate JCand-_5.111d
   stambhādivyabhicārikaḥ JCand_6.12d	stamBa-Adi-vyaBicArikaH JCand-_6.12d
   stambhādivyabhicārikaḥ JCand_6.13d	stamBa-Adi-vyaBicArikaH JCand-_6.13d
   stavakandāṅkuraṃ kaveḥ JCand_5.8b	stava-kanda-aFkuram kaveH JCand-_5.8b
   stutibhyāṃ stutinindayoḥ JCand_5.70b	stutiByAm stuti-nindayoH JCand-_5.70b
   staimityāya sa no dhvaniḥ JCand_8.1b	stEmityAya sa naH DvaniH JCand-_8.1b
   strībhiḥ kāmaḥ priyaiś candraḥ JCand_5.23c	strIBiH kAmaH priyEH candraH JCand-_5.23c
   sthāyī jugupsā bībhatso JCand_6.11a	sTAyI jugupsA bIBatso JCand-_6.11a
   sthāyī bhāvo rasaḥ smṛtaḥ JCand_6.3d	sTAyI BAvaH rasaH smRtaH JCand-_6.3d
   sthāyī syāt karuṇo rasaḥ JCand_6.7d	sTAyI syAt karuNaH rasaH JCand-_6.7d
   sthitiśvetīkṛtair jalaiḥ JCand_5.48d	sTiti-SvetIkRtEH jalEH JCand-_5.48d
   snehakṣayaḥ pradīpeṣu JCand_5.94c	sneha-kzayaH pradIpezu JCand-_5.94c
   sphuṭam arthāntare giraḥ JCand_7.2b	sPuwam arTa-antare giraH JCand-_7.2b
   sphuṭaṃ nāsti prayojanam JCand_9.7d	sPuwam na-asti prayojanam JCand-_9.7d
   sphuṭānuprāsatā satām JCand_5.5d	sPuwa-anuprAsa-tA satAm JCand-_5.5d
   sphuṭāsphuṭaprabhedena JCand_9.3a	sPuwa-asPuwa-praBedena JCand-_9.3a
   sphūrtir unmīlitaṃ matam JCand_5.35b	sPUrtiH unmIlitam matam JCand-_5.35b
   smareṇa hṛdaye tasyās JCand_5.88c	smareNa hRdaye tasyAH JCand-_5.88c
   syāc ceto viśatā yena JCand_2.1a	syAt cetaH viSatAH yena JCand-_2.1a
   syāt kāvyaliṅgaṃ vāgartho JCand_5.38a	syAt kAvya-liFgam vAc-arTaH JCand-_5.38a
   syāt pratīpopamā tadā JCand_5.14d	syAt pratIpa-upamA tadA JCand-_5.14d
   syāt saṃpūrṇopamā yatra JCand_5.17a	syAt saMpUrNa-upamA yatra JCand-_5.17a
   syāt smṛtibhrāntisaṃdehais JCand_5.31a	syAt smRti-BrAnti-saMdehEH JCand-_5.31a
   syād aṅgayaṣṭirityevaṃ- JCand_5.21a	syAt aFga-yazwiH-iti-evaM JCand-_5.21a
   syād antarviśatā yena JCand_4.5c	syAt antar-viSatAH yena JCand-_4.5c
   syād anyatrāpi saṃbhavāt JCand_5.119d	syAt anyatra-api saMBavAt JCand-_5.119d
   syād apratītaṃ śāstraika- JCand_2.9c	syAt apratItam SAstra-eka JCand-_2.9c
   syād ekasya samanvayaḥ JCand_5.92b	syAt ekasya samanvayaH JCand-_5.92b
   syād dvyartham iha sandigdhaṃ JCand_2.9a	syAt dvi-arTam iha sandigDam JCand-_2.9a
   syād vācyād amanoharam JCand_8.9b	syAt vAcyAt amanoharam JCand-_8.9b
   syād vyāghāto 'nyathākāri JCand_5.85a	syAt vyAGAtaH anyaTA-kAri JCand-_5.85a
   syān mallapratimallatve JCand_5.55c	syAt malla-pratimalla-tve JCand-_5.55c
   syān mithyādhyavasāyaś ced JCand_3.7a	syAt miTyA-aDyavasAyaH ced JCand-_3.7a
   syūtam uttaram uttaram JCand_5.107b	syUtam uttaram uttaram JCand-_5.107b
   srotobhiriva jāhnavī JCand_7.1b	srotoBiH-iva jAhnavI JCand-_7.1b
   svacchandaṃ dandahīti mām JCand_5.73d	svacCandam dandahi-iti mAm JCand-_5.73d
   svacchandāspadamandiram JCand_5.3d	svacCanda-Aspada-mandiram JCand-_5.3d
   svabhāvātiśayātmakāḥ JCand_5.121d	svaBAva-atiSaya-AtmakAH JCand-_5.121d
   svayam artho 'vabhāsate JCand_4.3b	svayam arTaH avaBAsate JCand-_4.3b
   svayam ullasitaṃ giraḥ JCand_7.13d	svayam ullasitam giraH JCand-_7.13d
   svaravyañjanasaṃdoha- JCand_5.2a	svara-vyaQjana-saMdoha JCand-_5.2a
   svargaṃ pātakino 'pi yat JCand_5.70d	svargam pAtakinaH api yat JCand-_5.70d
   svarṇabhrājiṣṇubhālatva- JCand_3.11c	svarNa-BrAjizNu-BAla-tva JCand-_3.11c
   svarṇair varṣasi yan muhuḥ JCand_3.9d	svarNEH varzasi yat muhur JCand-_3.9d
   svasiddho vā vyañjako 'rthaś JCand_7.8c	sva-sidDaH vA vyaQjakaH arTaH JCand-_7.8c
   svaṃ paraṃ ca na jānate JCand_2.37d	svam param ca na jAnate JCand-_2.37d
   svāṅkuritam atadrūpaṃ JCand_7.13c	sva-aFkuritam atad-rUpam JCand-_7.13c
   svānteṣu na natabhruvām JCand_5.94d	sva-antezu na nata-BruvAm JCand-_5.94d
   svābhāvoktiḥ svabhāvasya JCand_5.111a	svABAva-uktiH svaBAvasya JCand-_5.111a
   svairiṇīvadanāni ca JCand_5.51d	svEriNI-vadanAni ca JCand-_5.51d
   hatavṛttam anukto 'pi JCand_2.17a	hata-vRttam anuktaH api JCand-_2.17a
   hanūmān abdhim atarad JCand_5.67c	hanUmAn abDim atarat JCand-_5.67c
   harakaṇṭhāṃśulipto 'pi JCand_5.102c	hara-kaNWa-aMSu-liptaH api JCand-_5.102c
   hara sītāṃ sukhaṃ, kiṃ tu JCand_5.72c	hara sItAm suKaM, kim tu JCand-_5.72c
   haripriyāpitṛvadhū- JCand_2.12c	hari-priyA-pitR-vaDU JCand-_2.12c
   haṃ ho cinmayacittacandramaṇayaḥ saṃvardhayadhvaṃ rasān JCand_1.2a	ham ho cit-maya-citta-candra-maNayaH saMvarDayaDvam rasAn JCand-_1.2a
   hāraśobhipayodharau JCand_2.14d	hAra-SoBi-payoDarO JCand-_2.14d
   hārādivad alaṅkāraḥ JCand_5.1c	hAra-Adi-vat alaFkAraH JCand-_5.1c
   hāreṇa kucamaṇḍalam JCand_5.80d	hAreNa kuca-maNxalam JCand-_5.80d
   hāsasthāyī raso hāsyo JCand_6.6a	hAsa-sTAyI rasaH hAsyaH JCand-_6.6a
   hā hā! matkucakāśmīra- JCand_8.4c	hA hA! mad-kuca-kASmIra JCand-_8.4c
   himāṃśor hāradhikkāra- JCand_2.11c	himAMSoH hAra-DikkAra JCand-_2.11c
   hīnatvam upameyataḥ JCand_5.99b	hIna-tvam upameyataH JCand-_5.99b
   hṛdaye khelator uccais JCand_5.11c	hRdaye KelatoH uccEs JCand-_5.11c
   hṛdayeṣv ajaḍātmanām JCand_6.2b	hRdayezu ajaxa-AtmanAm JCand-_6.2b
   hetur mṛdambusambaddhā JCand_1.6c	hetuH mRd-ambu-sambadDA JCand-_1.6c
   hetus tyaktvā bahūn pakṣān JCand_3.4a	hetuH tyaktvA bahUn pakzAn JCand-_3.4a
   hetoḥ kuto 'pi vaiśiṣṭyāt JCand_5.35a	hetoH kutas api vESizwyAt JCand-_5.35a
   hetvādir nihnutiṃ vinā JCand_5.29b	hetu-AdiH nihnutim vinA JCand-_5.29b
   hrasvavyavahitau raṇau JCand_6.23d	hrasva-vyavahitO raNO JCand-_6.23d
