   Mahāyānasūtrālaṃkāraḥ	MahAyAna sUtra alaMkAraH
   pratisvamādhipraśame śamapriyaḥ sadā tu sarvādhiga[śa]me kṛpātmakaḥ //	pratisvamADi praSame Sama priyaH sadA tu sarva aDiga[Sa]me kRpA AtmakaH //
   MSA_5.7 //	MSAH _5.7 //
   jano vimūḍhaḥ svasukhārthamudyataḥ sadā tadaprāpya paraiti duḥkhatām /	janaH vimUXaH sva suKa arTam udyataH sadA tat aprApya parEti duHKa tAm /
   sadā tu dhīro hi parārthamudyato dvayārthamādhāya paraiti nirvṛtim //	sadA tu DIraH hi para arTam udyataH dvaya arTam ADAya parEti nirvRtim //
   MSA_5.8 //	MSAH _5.8 //
   yathā yathā hyakṣavicitragocare pravartate cāragato jinātmajaḥ /	yaTA yaTA hi akza vicitra gocare pravartate cAra gataH jina AtmajaH /
   tathā tathā yuktasamānatāpadairhitāya sattveṣvabhisaṃskaroti tat //	taTA taTA yukta samAna tA padEH hitAya sattvezu aBisaMskaroti tat //
   MSA_5.9 //	MSAH _5.9 //
   sadā 'svatantrīkṛtadoṣacetane jane na saṃdoṣamupaiti buddhimān /	sadA asvatantrI kRta doza cetane jane na saMdozam upEti budDimAn /
   akāmakāreṇa hi viprapattayo jane bhavantīti kṛpāvivṛddhitaḥ // MSA_5.10 //	akAmakAreNa hi vipra pattayaH jane Bavanti iti kRpA vivRdDitaH // MSAH _5.10 //
   bhavagatisakalābhibhūyagantrī paramaśamānugatā prapattireva /	Bava gati sakala aBiBUya gantrI parama Sama anugatA prapattiH eva /
   vividhaguṇagaṇairvivardhamānā jagadupagu[gṛ?]hya sadā kṛpāśayena //	viviDa guNa gaNEH vivarDamAnA jagat upagu[gR?]hya sadA kRpA ASayena //
   MSA_5.11 //	MSAH _5.11 //
   mahāyānasūtrālaṃkāre pratipattyadhikāraḥ pañcamaḥ	mahAyAna sUtra alaMkAre pratipatti aDikAraH paQcamaH
   ṣaṣṭho 'dhikāraḥ	zazWaH aDikAraH
   paramārthalakṣaṇavibhāge ślokaḥ /	parama arTa lakzaNa viBAge SlokaH /
   na sanna cāsanna tathā na cānyathā na jāyate vyeti na cāvahīyate /	na sat na ca Asat na taTA na ca anyaTA na jAyate vyeti na ca avahIyate /
   na vardhate nāpi viśudhyate punarviśudhyate tatparamārthalakṣaṇam //	na varDate na api viSuDyate punar viSuDyate tad parama arTa lakzaNam //
   MSA_6.1 //	MSAH _6.1 //
   na cātmadṛṣṭiḥ svayamātmalakṣaṇā na cāpi duḥsaṃsthitatā vilakṣaṇā /	na ca Atma dRzwiH svayam Atma lakzaNA na ca api duHsaMsTita tA vilakzaNA /
   dvayānna cānyad bhrama eṣata[tū]ditastataśca mokṣo bhramamātrasaṃkṣayaḥ //	dvayAt na ca anyat BramaH ezata[tu u]ditaH tatas ca mokzaH Brama mAtra saMkzayaH //
   MSA_6.2 //	MSAH _6.2 //
   kathaṃ jano vibhramamātramāśritaḥ paraiti duḥkhaprakṛtiṃ na saṃtatām /	kaTam janaH viBrama mAtram ASritaH parEti duHKa prakRtim na saMtatAm /
   avedako vedaka eva duḥkhito na duḥkhito dharmamayo na tanmayaḥ // MSA_6.3	avedakaH vedakaH eva duHKitaH na duHKitaH Darma mayaH na tad mayaH // MSAH _6.3
   pratītyabhāvaprabhave kathaṃ janaḥ samakṣavṛttiḥ śrayate 'nyakāritam /	pratItyaBAva praBave kaTam janaH samakza vRttiH Srayate anya kAritam /
   tamaḥ prakāraḥ katamo 'yamīdṛśo yato 'vipaśyansadasannirīkṣate // MSA_6.4	tamaH prakAraH katamaH ayam IdRSaH yatas avipaSyan sat asat nirIkzate // MSAH _6.4
   ta cāntaraṃ kiṃcana vidyate 'nayoḥ sadarthavṛttyā śamajanmanoriha /	ta ca antaram kiMcana vidyate anayoH sat arTa vRttyA Sama janmanoH iha /
   tathāpi janmakṣayato vidhīyate śamasya lābhaḥ śubhakarmakāriṇām // MSA_6.5	taTA api janma kzayataH viDIyate Samasya lABaH SuBa karma kAriNAm // MSAH _6.5
   saṃbhṛtya saṃbhāramanantapāraṃ jñānasya puṇyasya ca bodhisattvaḥ /	saMBRtya saMBAram ananta pAram jQAnasya puNyasya ca boDisattvaH /
   dharmeṣu cintāsuviniśri[ści]tatvājjalpānvayāmarthagatiṃ paraiti // MSA_6.6	Darmezu cintA su viniSri[H ci]ta tvAt jalpa anvayAm arTa gatim parEti // MSAH _6.6
   arthānsa vijñāya ca jalpamātrān saṃtiṣṭhate tannibhacittamātre /	arTAn sa vijQAya ca jalpa mAtrAn saMtizWate tad niBa citta mAtre /
   pratyakṣatāmeti ca dharmadhātustasmādviyuktodvayalakṣaṇena // MSA_6.7 //	pratyakza tAm eti ca DarmaDAtuH tasmAt viyukta udvaya lakzaNena // MSAH _6.7 //
   nāstīti cittātparametya buddhyā cittasya nāstitvamupaiti tasmāt /	na asti iti cittAt param etya budDyA cittasya na astitvam upEti tasmAt /
   dvayasya nāstitvamupetya dhīmān saṃtiṣṭhate 'tadgatidharmaghātau //	dvayasya na astitvam upetya DImAn saMtizWate atad gati Darma GAtO //
   MSA_6.8 //	MSAH _6.8 //
   akalpanājñānabalena dhīmataḥ samānuyātena samantataḥ sadā /	akalpanA jQAna balena DImataH sama anuyAtena samantataH sadA /
   tadāśrayo gahvaradoṣasaṃcayo mahagadeneva viṣaṃ nirasyate // MSA_6.9 //	tad ASrayaH gahvara doza saMcayaH maha gadena iva vizam nirasyate // MSAH _6.9 //
   munivihitasudharmasuvyavastho matimupadhāya samūladharmadhātau /	muni vihita suDarma su vyavasTaH matim upaDAya sa mUla Darma DAtO /
   smṛtima[ga]timavagamya kalpamātrāṃ vrajati guṇārṇavapāramāśudhīraḥ //	smRtima[ ga]tim avagamya kalpa mAtrAm vrajati guNa arNava pAram ASu DIraH //
   MSA_6.10 //	MSAH _6.10 //
   mahāyānasūtrālaṃkāre tatvādhikāraḥ ṣaṣṭhaḥ	mahAyAna sUtra alaMkAre tatvA aDikAraH zazWaH
   saptamo 'dhikāraḥ	saptamaH aDikAraH
   prabhāvalakṣaṇavibhāge ślokaḥ /	praBAva lakzaNa viBAge SlokaH /
   utpattivāk cittaśubhāśubhādhi tatsthānaniḥsārapadā parokṣam /	utpatti vAc citta SuBa aSuBa aDi tad sTAna niHsAra padA parokzam /
   jñānaṃ hi sarvatragasaprabhedeṣvavyāhataṃ dhīragataḥ prabhāvaḥ // MSA_7.1	jQAnam hi sarvatraga sa praBedezu avyAhatam DIra gataH praBAvaH // MSAH _7.1
   dhyānaṃ caturthaṃ suviśuddhametya niṣkalpanājñānaparigraheṇa /	DyAnam caturTam su viSudDam etya nizkalpanA jQAna parigraheNa /
   yathāvyavasthānamanaskriyātaḥ prabhāvasiddhiṃ paramāṃ paraiti // MSA_7.2	yaTA vyavasTAna manaskriyA ataH praBAva sidDim paramAm parEti // MSAH _7.2
   yenāryadivyāpratimairvihārair brāhmaiśca nityaṃ viharatyudāraiḥ /	yena Arya divya apratimEH vihArEH brAhmEH ca nityam viharati udArEH /
   buddhāṃśca sattvāṃśca sa dikṣu gatvā saṃmānayatyānayate viśuddhim //	budDAn= ca sattvAn= ca sa dikzu gatvA saMmAnayati Anayate viSudDim //
   MSA_7.3 //	MSAH _7.3 //
   māyopamānpaśyati lokadhātūnsarvānsasattvānsavivartanāśān /	mAyA upamAn paSyati lokaDAtUn sarvAn sa sattvAn sa vivarta nASAn /
   saṃdarśayatyeva ca tānyatheṣṭaṃ vaśī vicitrairapi sa prakāraiḥ // MSA_7.4	saMdarSayati eva ca tAni aTezwam vaSI vicitrEH api sa prakArEH // MSAH _7.4
   raśmipramokṣairbhṛśaduḥkhitāṃśca āpāyikānsvargagatānkaroti /	raSmi pramokzEH BRSa duHKitAn= ca ApAyikAn svarga gatAn karoti /
   mārānvayān kṣubdhavimānaśobhān saṃkampayaṃsrāsayate samārān // MSA_7.5 //	mAra anvayAn kzubDa vimAna SoBAn saMkampayaMsrAsayate samArAn // MSAH _7.5 //
   samādhivikrīḍitamaprameyaṃ saṃdarśayatyagragaṇasyamadhye /	samADi vikrIxitam aprameyam saMdarSayati agra gaNasya maDye /
   sakarmajanmottamanirmitaiśca sattvārthamātiṣṭhati sarvakālam // MSA_7.6 //	sa karma janma uttama nirmitEH ca sattva arTam AtizWati sarvakAlam // MSAH _7.6 //
   jñānavaśitvātsamupaiti śuddhiṃ kṣetraṃ yathākāmanidarśanāya	jQAna vaSi tvAt samupEti SudDim kzetram yaTAkAma nidarSanAya
   abuddhanāmeṣu[?] ca buddhanāma saṃśrāvaṇāttānkṣipate 'nyadhātau // MSA_7.7	abudDa nAma izu[?] ca budDa nAma saMSrAvaNAt tAn kzipate anya DAtO // MSAH _7.7
   śakto bhavatyeva ca satvapāke saṃjātapakṣaḥ śakuniryathaiva /	SaktaH Bavati eva ca satva pAke saMjAta pakzaH SakuniH yaTA eva /
   buddhātpraśaṃsāṃ labhate 'timātrām ādeyavākyo bhavati prajānām // MSA_7.8	budDAt praSaMsAm laBate atimAtrAm Adeya vAkyaH Bavati prajAnAm // MSAH _7.8
   ṣaḍdhāpyabhijñā trividhā ca vidyā aṣṭau vimokṣā 'bhibhuvastathā'ṣṭau /	zaxDA api aBijQA triviDA ca vidyA azwO vimokzAH aBiBuvaH taTA azwO /
   daśāpi kṛtsnāyatanānyameyāḥ samādhayo dhīragataḥ prabhāvaḥ // MSA_7.9 //	daSA api kRtsnA AyatanAni ameyAH samADayaH DIra gataH praBAvaH // MSAH _7.9 //
   sa hi paramavaśitvalabdhabuddhirjagadavaśaṃ svavaśe vidhāya nityam /	sa hi parama vaSi tva labDa budDiH jagat avaSam sva vaSe viDAya nityam /
   parahitakaraṇaikatābhirāmaścarati bhaveṣu hi siṃhavatsudhīraḥ // MSA_7.10	para hita karaNa eka tA aBirAmaH carati Bavezu hi siMha vat su DIraH // MSAH _7.10
   prabhāvādhikāraḥ mahāyānasūtrālaṃkāre saptamaḥ	praBAva aDikAraH mahAyAna sUtra alaMkAre saptamaH
   aṣṭamo 'dhikāraḥ	azwamaH aDikAraH
   bodhisattvaparipāke saṃgrahaḥ ślokaḥ /	boDisattva paripAke saMgrahaH SlokaH /
   rūciḥ prasādaḥ praśamo 'nukampanā kṣamātha medhā prabalatvameva ca /	rUciH prasAdaH praSamaH anukampanA kzamA aTa meDA prabala tvam eva ca /
   ahāryatāṅgaiḥ samupetatā bhṛśaṃ jinātmaje tatparipākalakṣaṇam // MSA_8.1	ahAryata aFgEH samupeta tA BRSam jina Atmaje tad paripAka lakzaNam // MSAH _8.1
   sumitratāditrayamugravīryatā parārdhaniṣṭhottamadharmasaṃgrahaḥ /	sumitra tA Adi trayam ugra vIrya tA parArDa nizWA uttama Darma saMgrahaH /
   kṛpālusaddharmamahāparigrahe mataṃ hi samyakparipākalakṣaṇam // MSA_8.2 //	kRpAlu sat Darma mahA parigrahe matam hi samyak paripAka lakzaNam // MSAH _8.2 //
   guṇajñatāthāśusamādhilābhitā phalānubhūtirmanaso 'dhyabheda[dya?]tā /	guNa jQa tATa ASu samADi la aBitA Pala anuBUtiH manasaH aDyaBeda [dya ?]tA /
   jinātmaje śāstari saṃprapattaye mataṃ hi samyakparipākalakṣaṇam // MSA_8.3	jina Atmaje SAstari saMprapattaye matam hi samyak paripAka lakzaNam // MSAH _8.3
   susaṃvṛttiḥ kliṣṭavitarkavarjanā nirantarāyo 'tha śubhābhirāmatā /	su saMvRttiH klizwa vitarka varjanAH nirantarAyaH aTa SuBa aBirAma tA /
   jīnātmaje kleśavinodanāyatan mataṃ hi samyakparipākalakṣaṇam // MSA_8.4 //	jIna Atmaje kleSa vinodana Ayatat matam hi samyak paripAka lakzaNam // MSAH _8.4 //
   kṛpā prakṛtyā paraduḥkhadarśanaṃ nihīnacittasya ca saṃpravarjanam /	kRpA prakRtyA para duHKa darSanam nihIna cittasya ca saMpravarjanam /
   viśeṣagatvaṃ jagadagrajanmatā parānukampāparipākalakṣaṇam // MSA_8.5 //	viSeza ga tvam jagat agrajanma tA para anukampA paripAka lakzaNam // MSAH _8.5 //
   dhṛtiḥ prakṛtyā pratisaṃkhyabhāvanā sudaḥkhaśītādyadhivāsanā sadā /	DRtiH prakRtyA pratisaMKya BAvanA su daHKa SIta Adi aDivAsanA sadA /
   viśeṣagāmitvaśubhābhirāmatā mataṃ kṣamāyāḥ paripākalakṣaṇam // MSA_8.6 //	viSeza gAmi tu a SuBa aBirAmatA matam kzamAyAH paripAka lakzaNam // MSAH _8.6 //
   vipākaśuddhiḥ śravaṇādyamoṣatā praviṣṭatā sūktadurūktayostathā /	vipAka SudDiH SravaNa Adyam ozatA pravizwa tA su ukta duru uktayoH taTA /
   smṛtermahābuddhayudaye ca yogyatā sumedhatāyāḥ paripākalakṣaṇam // MSA_8.7	smRteH mahAbudDayudaye ca yogyatA sumeDatAyAH paripAka lakzaNam // MSAH _8.7
   śubhadvayena dvayadhātupuṣṭatā phalodaye cāśrayayogyatā parā /	SuBa dvayena dvaya DAtu puzwa tA Pala udaye ca ASraya yogya tA parA /
   manorathāptirjagadagrabhūtatā balopalambhe paripākalakṣaṇam // MSA_8.8 //	manoraTa AptiH jagat agra BUta tA bala upalamBe paripAka lakzaNam // MSAH _8.8 //
   sudharmatāyuktivicāraṇāśayo viśeṣalābhaḥ parapakṣadūṣaṇam /	suDarma tA yukti vicAraNa ASayaH viSeza lABaH para pakza dUzaNam /
   punaḥ sadā māranirantarāyatā ahāryatāyāḥ paripākalakṣaṇam // MSA_8.9 //	punar sadA mAra nirantara AyatAH ahAryatAyAH paripAka lakzaNam // MSAH _8.9 //
   śubhācayo 'thāśrayayatnayogyatā vivekatodagraśubhābhirāmatā /	SuBa AcayaH aTa ASraya yatna yogya tA viveka tA udagra SuBa aBirAma tA /
   jinātmaje hyaṅgasamanvaye punarmataṃ hi samyakparipākalakṣaṇam // MSA_8.10	jina Atmaje hi aFga samanvaye punar matam hi samyak paripAka lakzaNam // MSAH _8.10
   iti navavidhavastupācitātmā paraparipācanayogyatāmupetaḥ /	iti navaviDa vastu pAcita AtmA para paripAcana yogya tAm upetaH /
   śubha[dharma]mayasatatapravardhitātmā bhavati sadā jagato 'grabandhubhūtaḥ	SuBa[Darma ]maya satata pravarDita AtmA Bavati sadA jagataH agra banDu BUtaH
   // MSA_8.11 //	// MSAH _8.11 //
   vraṇe 'pi bhojye paripāka iṣyate yathaiva tatsrāvaṇabhogayogyatā /	vraNe api Bojye paripAkaH izyate yaTA eva tad srAvaNa Boga yogya tA /
   tathāśraye 'smindvayapakṣaśāntatā[tāṃ]tathopabhogatvasuśāntapakṣatā	taTA ASraye asmin dvaya pakza SAnta tA[tAn]taTA upaBoga tva suSAnta pakza tA
   [muśantipakvatām] // MSA_8.12 //	[muSanti pakva tAm] // MSAH _8.12 //
   vipācanoktā paripācanā tathā prapācanā cāpyanupācanāparā /	vipAcana uktA paripAcanA taTA prapAcanA ca api anupAcana aparA /
   supācanā[cā]pyadhipācanā matā nipācanotpācananā ca dehiṣu // MSA_8.13 //	su pAcanA[ca a]pi aDipAcanA matA nipAcana utpAcananA ca dehizu // MSAH _8.13 //
   hitāśayeneha yathā jinātmajo vyavasthitaḥ sarvajagadvipācayan /	hita ASayena iha yaTA jina AtmajaH vyavasTitaH sarva jagat vipAcayan /
   tathā na mātā na pitā na bandhavaḥ suteṣu bandhuṣvapi suvyavasthitāḥ //	taTA na mAtA na pitA na banDavaH sutezu banDuzu api su vyavasTitAH //
   MSA_8.14 //	MSAH _8.14 //
   tathājano nātmani vatsalo mataḥ kuto 'pi susnigdhaparāśraye jane /	taTA ajanaH na Atmani vatsalaH mataH kutas api su snigDa para ASraye jane /
   yathā kṛpātmā parasatvavatsalo hite sukhe caiva niyojanātmataḥ // MSA_8.15	yaTA kRpA AtmA para satva vatsalaH hite suKe ca eva niyojana AtmataH // MSAH _8.15
   na bodhisattvasya śarīrabhogayoḥ pareṣvadeyaṃ punarasti sarvathā /	na boDisattvasya SarIra BogayoH parezu adeyam punar asti sarvaTA /
   anugraheṇa dvividhena pācayan paraṃ samairdānaguṇairna tṛpyate // MSA_8.16	anugraheNa dviviDena pAcayan param samEH dAna guNEH na tRpyate // MSAH _8.16
   sadāprakṛtyādhyavihiṃsakaḥ svayaṃ rato 'pramatto 'tra paraṃ niveśayan /	sadA prakRti A aDya vihiMsakaH svayam rataH apramattaH atra param niveSayan /
   paraṃparānugrahakṛt dvidhā pare vipākaniṣyandaguṇena pācakaḥ // MSA_8.17	paraMpara anugraha kRt dviDA pare vipAka nizyanda guNena pAcakaH // MSAH _8.17
   pare 'pakāriṇyupakāribuddhimān pramarṣayannugramapi vyatikramam /	pare apakAriNI upakAri budDimAn pramarzayan= ugram api vyatikramam /
   upāyacittairapakāramarṣaṇaiḥ śubhe samādāpayate 'pakāriṇaḥ // MSA_8.18 //	upAya cittEH apakAra marzaNEH SuBe samAdApayate apakAriNaH // MSAH _8.18 //
   punaḥ sa yatnaṃ paramaṃ samāśrito na khidyate kalpasahasrakoṭibhiḥ /	punar sa yatnam paramam samASritaH na Kidyate kalpa sahasra kowiBiH /
   jinātmajaḥ sa[ttva]gaṇaṃ prapācayan paraikacittasya śubhasya kāraṇāt //	jina AtmajaH sa[ttva] gaNam prapAcayan para eka cittasya SuBasya kAraNAt //
   MSA_8.19 //	MSAH _8.19 //
   vaśitvamāgamya manasyanuttaraṃ paraṃ samāvarjayate 'tra śāsane /	vaSi tvam Agamya manasi anuttaram param samAvarjayate atra SAsane /
   nihatya sarvāmavamānakāmatāṃ śubhena saṃvardhayate ca taṃ punaḥ //	nihatya sarvAm avamAna kAma tAm SuBena saMvarDayate ca tam punar //
   MSA_8.20 //	MSAH _8.20 //
   sa tatvabhāvārthanaye suniścitaḥ karoti satvānsuvinīta saṃśayān /	sa tatvaBAva arTa naye su niScitaH karoti satvAn suvinIta saMSayAn /
   tataśca te tajjinaśāsanādarād vivardhayante svaparaṃ guṇaiḥ śubhaiḥ //	tatas ca te tad jina SAsana AdarAt vivarDayante sva param guNEH SuBEH //
   MSA_8.21 //	MSAH _8.21 //
   iti sugatigatau śubhatraye vā jagadakhilaṃ kṛpayā sa bodhisattvaḥ /	iti sugati gatO SuBa traye vA jagat aKilam kRpayA sa boDisattvaH /
   tanuparamavimadhyamaprakārairvinayati lokasamānabhāvagatyā // MSA_8.22 //	tanu parama vimaDyam aprakArEH vinayati loka samAna BAva gatyA // MSAH _8.22 //
   mahāyānasūtrālaṃkāre paripākādhikāro 'ṣṭamaḥ	mahAyAna sUtra alaMkAre paripAka aDikAraH azwamaH
   navamo 'dhikāraḥ	navamaH aDikAraH
   sarvākārajñatāyāṃ dvau ślokau /	sarva AkAra jQa tAyAm dvO SlokO /
   tṛtīyastayoreva nirdeśabhūtaḥ /	tRtIyaH tayoH eva nirdeSa BUtaH /
   ameyairduṣkaraśatairameyaiḥ kuśalācayaiḥ /	ameyEH duzkara SatEH ameyEH kuSala AcayEH /
   aprameyeṇa kālena ameyāvaraṇakṣayāt // MSA_9.1 //	aprameyeNa kAlena ameya AvaraNa kzayAt // MSAH _9.1 //
   sarvākārajñatāvāptiḥ sarvāvaraṇanirmalā /	sarva AkAra jQa tA avAptiH sarva AvaraNa nirmalAH /
   vivṛtā ratnapeṭeva buddhatvaṃ samudāhṛtam // MSA_9.2 //	vivRtA ratna pewA iva budDa tvam samudAhRtam // MSAH _9.2 //
   kṛtvā duṣkaramadbhutaṃ śramaśataiḥ saṃcityasarvaśubhaṃ	kRtvA duzkaram adButam Srama SatEH saMcitya sarva SuBam
   kālenottamakalpayānamahatā sarvāvṛtīnāṃ kṣayāt /	kAlena uttama kalpa yAna mahatA sarva AvRtInAm kzayAt /
   sūkṣmasyāvaraṇasya bhūmiṣu gatasyotpāṭanād buddhatā ratnānāmiva sā	sUkzmasya AvaraNasya BUmizu gatasya utpAwanAt budDa tA ratnAnAm iva sA
   prabhāvamahatāṃ peṭā samuddhāti[ṭi?]tā // MSA_9.3 //	praBAva mahatAm pewA samudDA ati [wi ?]tAH // MSAH _9.3 //
   sarvadharmāśca buddhatvaṃ dharmo naiva na kaścana /	sarva DarmAH ca budDa tvam DarmaH na eva na kaScana /
   śukladharmamayaṃ tacca na ca taistannirūpyate // MSA_9.4 //	Sukla Darma mayam tat ca na ca tEH tat nirUpyate // MSAH _9.4 //
   dharmaratnanimittatvāllabdharatnākaropamam /	Darma ratna nimitta tvAt labDa ratnAkara upamam /
   śubhasyanimittatvāllabdhameghopamaṃ matam // MSA_9.5 //	SuBasya nimitta tvAt labDa meGa upamam matam // MSAH _9.5 //
   buddhatvaṃ sarvadharmaḥ samuditamatha vā sarvadharmavyapetaṃ	budDa tvam sarva DarmaH samuditam aTa vA sarva Darma vyapetam
   prodbhūterdharmaratnapratatasumahato dharmaratnākarābham /	prodBUteH Darma ratna pratata su mahataH Darma ratnAkara ABam /
   bhūtānāṃ śuklasasyaprasavasumahato hetuto meghabhūtaṃ	BUtAnAm Sukla sasya prasava su mahataH hetutaH meGa BUtam
   dānāddharmāmbuvarṣapratatasuvihitasyākṣayasya prajāsu // MSA_9.6 //	dAnAt Darma ambu varza pratata su vihitasya akzayasya prajAsu // MSAH _9.6 //
   paritrāṇaṃ hi buddhatvaṃ sarvakleśagaṇātsadā /	paritrANam hi budDa tvam sarva kleSa gaNAt sadA /
   sarvaduścaritebhyaśca janmamaraṇato 'pi ca // MSA_9.7 //	sarva duScariteByaH ca janma maraNataH api ca // MSAH _9.7 //
   upadravebhyaḥ sarvebhyo apāyādanupāyataḥ /	upadraveByaH sarveByaH apAyAt anupAyataH /
   satkāyāddhīnayānācca tasmāccharaṇamuttamam // MSA_9.8 //	satkAyAt hIna yAnAt ca tasmAt SaraNam uttamam // MSAH _9.8 //
   śaraṇamanupamaṃ tacchreṣṭhabuddhatvamiṣṭaṃ jananamaraṇasarvakleśapāpeṣu	SaraNam anupamam tat SrezWa budDa tvam izwam janana maraNa sarva kleSa pApezu
   rakṣā /	rakzA /
   vividhabhayagatānāṃ sarvarakṣāpayānaṃ pratatavividhaduḥkhāpāyanopāyagānāṃ	viviDa Baya gatAnAm sarva rakzA apayAnam pratata viviDa duHKa apAyana upAya gAnAm
   // MSA_9.9 //	// MSAH _9.9 //
   bauddhairdharmairyacca susaṃpūrṇaśarīraṃ yatsaddharme vetti sa	bOdDEH DarmEH yat ca su saMpUrNa SarIram yat sat Darme vetti sa
   sattvānpravinetum /	sattvAn pravinetum /
   yātaṃ pāraṃ yatkṛpayā sarvajagatsu tad buddhatvaṃ śreṣṭhamihatyaṃ[heṣṭaṃ]	yAtam pAram yat kRpayA sarva jagatsu tat budDa tvam SrezWam ihati aM[hezwaM]
   śaraṇānām // MSA_9.10 //	SaraNAnAm // MSAH _9.10 //
   ālokāt[kālāt]sarvasattvānāṃ buddhatvaṃ śaraṇaṃ mahat /	Aloka at[kAlAt] sarva sattvAnAm budDa tvam SaraNam mahat /
   sarvavyasanasaṃpattivyāvṛttyabhyudaye matam // MSA_9.11 //	sarva vyasana saMpatti vyAvRtti aByudaye matam // MSAH _9.11 //
   kleśajñeyavṛtīnāṃ satatamanugataṃ bījamutkṛṣṭakālaṃ yasminnastaṃ prayātaṃ	kleSa jQeya vRtInAm satatam anugatam bIjam utkRzwa kAlam yasmin= astam prayAtam
   bhavati suvipulaiḥ sarvahāniprakāraiḥ /	Bavati su vipulEH sarva hAni prakArEH /
   buddhatvaṃ śukladharmapravaraguṇayutā ā[cā]śrayasyānyathāptis	budDa tvam Sukla Darma pravara guNa yutA A[cA]Srayasya anyaTA Apti s
   tatprāptirnirvikalpādviṣayasumahato jñānamārgātsuśuddhāt // MSA_9.12 //	tad prAptiH nirvikalpAt vizaya su mahataH jQAna mArgAt su SudDAt // MSAH _9.12 //
   sthitaśca tasminsa tathāgato jaganmahācalendrastha ivābhyudīkṣate /	sTitaH ca tasmin sa taTAgataH jagat mahA acala indra sTaH iva aByudIkzate /
   śamābhirāmaṃ karūṇāyate janamaghā[bhavā]bhirāme 'nyajane tu kā kathā //	Sama aBirAmam karUNAyate janam aGA[ BavA]BiH Ame anya jane tu kA kaTA //
   MSA_9.13 //	MSAH _9.13 //
   pravṛttirūddhittiravṛtirāśrayo nivṛttirāvṛttiratho dvayādvayā /	pravRttiH u udDittiravRtiH ASrayaH nivRttiH AvRttiH aTo dvaya advayA /
   samāviśiṣṭā api sarvagātmikā tathāgatānāṃ parivṛttiriṣyate // MSA_9.14 //	samAviSizwAH api sarva gA AtmikA taTAgatAnAm parivRttiH izyate // MSAH _9.14 //
   yathāmbaraṃ sarvagataṃ sadāmataṃ tathaiva tatsarvagataṃ sadāmatam /	yaTA ambaram sarva gatam sadAmatam taTA eva tat sarva gatam sadAmatam /
   yathāmbaraṃ rūpagaṇeṣu sarvagaṃ tathaiva tatsatvagaṇeṣu sarvagam //	yaTA ambaram rUpa gaNezu sarvagam taTA eva tad satva gaNezu sarvagam //
   MSA_9.15 //	MSAH _9.15 //
   yathodabhājane bhinne candrabimbaṃ na dṛśyate /	yaTA uda BAjane Binne candra bimbam na dRSyate /
   tatha duṣṭeṣu sattveṣu buddhabimbaṃ na dṛśyate // MSA_9.16 //	taTa duzwezu sattvezu budDa bimbam na dRSyate // MSAH _9.16 //
   yathāgnirjvalate 'nyatra punaranyatraśāmyati /	yaTA agniH jvalate anyatra punar anyatra SAmyati /
   buddheṣvapi tathā jñeyaṃ saṃdarśanamadarśanam // MSA_9.17 //	budDezu api taTA jQeyam saMdarSanam adarSanam // MSAH _9.17 //
   aghaṭitebhyastūryebhyo yathā syācchabdasaṃbhavaḥ /	aGawiteByaH tUryeByaH yaTA syAt Sabda saMBavaH /
