   śrīśivamahāpurāṇam	SrI-Siva-mahApurANam
   ājñāṃ tasya pratīkṣerandavā indrapurogamāḥ // ŚivP_1,2.32cd/	AjQAm tasya pratIkzerandavAH indra-purogamAH // Śivj-_1,2.32cd/
   etacchivapurāṇaṃ yaḥ paṭhañchṛṇvanhi nityaśaḥ // ŚivP_1,2.33ab/	etat-Siva-purANam yaH paWan-SRNvanhi nityaSas // ŚivS-_1,2.33ab/
   yadyatkaroti satkarma tatkoṭiguṇitaṃ bhavet // ŚivP_1,2.33cd/	yat-yat-karoti sat-karma tad-kowi-guNitam Bavet // Śivj-_1,2.33cd/
   samāhitaḥ paṭhedyastu tatra śrīrudrasaṃhitām // ŚivP_1,2.34ab/	samAhitaH paWet-yaH-tu tatra SrI-rudra-saMhitAm // ŚivS-_1,2.34ab/
   sa brahmaghno 'pi pūtātmā tribhireva dinairbhavet // ŚivP_1,2.34cd/	sa brahma-GnaH api pUta-AtmA triBiH-eva dinEH-Bavet // Śivj-_1,2.34cd/
   tāṃ rudrasaṃhitāṃ yastu bhairavapratimāṃtike // ŚivP_1,2.35ab/	tAm rudra-saMhitAm yaH-tu BErava-pratimA-aMtike // ŚivS-_1,2.35ab/
   triḥ paṭhetpratyahaṃ maunī sa kāmānakhilāṃllabhet // ŚivP_1,2.35cd/	tris paWet-pratyaham mOnI sa kAmAn-aKilAn=-laBet // Śivj-_1,2.35cd/
   tāṃ rudrasaṃhitāṃ yastu sapaṭhedvaṭabilvayoḥ // ŚivP_1,2.36ab/	tAm rudra-saMhitAm yaH-tu sa-paWet-vawa-bilvayoH // ŚivS-_1,2.36ab/
   pradakṣiṇāṃ prakurvāṇo brahmahatyā nivartate // ŚivP_1,2.36cd/	pradakziNAm prakurvANaH brahmahatyA nivartate // Śivj-_1,2.36cd/
   kailāsasaṃhitā tatra tato 'pi paramasmṛtā // ŚivP_1,2.37ab/	kElAsa-saMhitA tatra tatas api parama-smRtAH // ŚivS-_1,2.37ab/
   brahmasvarūpiṇī sākṣātpraṇavārthaprakāśikā // ŚivP_1,2.37cd/	brahma-svarUpiNI sAkzAt-praNava-arTa-prakASikAH // Śivj-_1,2.37cd/
   kailāsasaṃhitāyāstu māhātmyaṃ vetti śaṃkaraḥ // ŚivP_1,2.38ab/	kElAsa-saMhitAyAH-tu mAhAtmyam vetti SaMkaraH // ŚivS-_1,2.38ab/
   kṛtsnaṃ tadardhaṃ vyāsaśca tadardhaṃ vedmyahaṃ dvijāḥ // ŚivP_1,2.38cd/	kRtsnam tad-arDam vyAsaH-ca tad-arDam vedmi-aham dvijAH // Śivj-_1,2.38cd/
   tatra kiṃcitpravakṣyāmi kṛtsnaṃ vaktuṃ na śakyate // ŚivP_1,2.39ab/	tatra kiMcid-pravakzyAmi kRtsnam vaktum na Sakyate // ŚivS-_1,2.39ab/
   yajjñātvā tatkṣaṇāllokaścittaśuddhimavāpnuyāt // ŚivP_1,2.39cd/	yat-jQAtvA tad-kzaNAt-lokaH-citta-SudDim-avApnuyAt // Śivj-_1,2.39cd/
   na nāśayati yatpāpaṃ sā raudrī saṃhitā dvijāḥ // ŚivP_1,2.40ab/	na nASayati yat-pApam sA rOdrI saMhitAH dvijAH // ŚivS-_1,2.40ab/
   tanna paśyāmyahaṃ loke mārgamāṇo 'pi sarvadā // ŚivP_1,2.40cd/	tat-na paSyAmi-aham loke mArgamANaH api sarvadA // Śivj-_1,2.40cd/
   śivenopaniṣatsiṃdhumanthanotpāditāṃ mudā // ŚivP_1,2.41ab/	Sivena-upanizad-siMDu-manTana-utpAditAm mudA // ŚivS-_1,2.41ab/
   kumārāyārpitāṃ tāṃ vai sudhāṃ pītvā 'maro bhavet // ŚivP_1,2.41cd/	kumArAya-arpitAm tAm vE suDAm pItvA amaraH Bavet // Śivj-_1,2.41cd/
   brahmahatyādipāpānāṃ niṣkṛtiṃ kartumudyataḥ // ŚivP_1,2.42ab/	brahmahatyA-Adi-pApAnAm nizkRtim kartum-udyataH // ŚivS-_1,2.42ab/
   māsamātraṃ saṃhitāṃ tāṃ paṭhitvā mucyate tataḥ // ŚivP_1,2.42cd/	mAsa-mAtram saMhitAm tAm paWitvA mucyate tatas // Śivj-_1,2.42cd/
   duṣpratigrahadurbhojyadurālāpādisaṃbhavam // ŚivP_1,2.43ab/	duzpratigraha-durBojya-durAlApa-Adi-saMBavam // ŚivS-_1,2.43ab/
   pāpaṃ sakṛtkīrtanena saṃhitā sā vināśayet // ŚivP_1,2.43cd/	pApam sakRt-kIrtanena saMhitA sA vinASayet // Śivj-_1,2.43cd/
   śivālaye vilvavane saṃhitāṃ tāṃ paṭhettu yaḥ // ŚivP_1,2.44ab/	Siva-Alaye vilvavane saMhitAm tAm paWet-tu yaH // ŚivS-_1,2.44ab/
   sa tatphalamavāpnoti yadvāco 'pi na gocare // ŚivP_1,2.44cd/	sa tat-Palam-avApnoti yat-vAcaH api na gocare // Śivj-_1,2.44cd/
   saṃhitāṃ tāṃ paṭhan bhaktyā yaḥ śrāddhe bhojayeddvijān // ŚivP_1,2.45ab/	saMhitAm tAm paWan BaktyA yaH SrAdDe Bojayet-dvijAn // ŚivS-_1,2.45ab/
   tasya ye pitaraḥ sarve yāṃti śaṃbhoḥ paraṃ padam // ŚivP_1,2.45cd/	tasya ye pitaraH sarve yAMti SaMBoH param padam // Śivj-_1,2.45cd/
   caturdaśyāṃ nirāhāro yaḥ paṭhetsaṃhitāṃ ca tām // ŚivP_1,2.46ab/	caturdaSyAm nirAhAraH yaH paWet-saMhitAm ca tAm // ŚivS-_1,2.46ab/
   bilvamūle śivaḥ sākṣātsadevaiśca prapūjyate // ŚivP_1,2.46cd/	bilva-mUle SivaH sAkzAt-sa-devEH-ca prapUjyate // Śivj-_1,2.46cd/
   anyāpi saṃhitā tatra sarvakāmaphalapradā // ŚivP_1,2.47ab/	anyA-api saMhitA tatra sarva-kAma-Pala-pradAH // ŚivS-_1,2.47ab/
   ubhe viśiṣṭe vijñeye līlāvijñānapūrite // ŚivP_1,2.47cd/	uBe viSizwe vijQeye lIlA-vijQAna-pUrite // Śivj-_1,2.47cd/
   tadidaṃ śaivamākhyātaṃ purāṇaṃ vedasaṃmitam // ŚivP_1,2.48ab/	tat-idam SEvam-AKyAtam purANam veda-saMmitam // ŚivS-_1,2.48ab/
   nirmitaṃ tacchivenaiva prathamaṃ brahmasaṃmitam // ŚivP_1,2.48cd/	nirmitam tat-Sivena-eva praTamam brahma-saMmitam // Śivj-_1,2.48cd/
   vidyeśaṃca tathāraudraṃ vaināyakamathaumikam // ŚivP_1,2.49ab/	vidyeSaMca taTA-ArOdram vEnAyakam-aTa-Omikam // ŚivS-_1,2.49ab/
   mātraṃ rudraikādaśakaṃ kailāsaṃ śatarudrakam // ŚivP_1,2.49cd/	mAtram rudra-ekAdaSakam kElAsam Sata-rudrakam // Śivj-_1,2.49cd/
   koṭirudrasahasrādyaṃ koṭirudraṃ tathaiva ca // ŚivP_1,2.50ab/	kowi-rudra-sahasra-Adyam kowi-rudram taTA-eva ca // ŚivS-_1,2.50ab/
   vāyavīyaṃ dharmasaṃjñaṃ purāṇamiti bhedataḥ // ŚivP_1,2.50cd/	vAyavIyam Darma-saMjQam purANam-iti BedataH // Śivj-_1,2.50cd/
   saṃhitā dvādaśamitā mahāpuṇyatarā matā // ŚivP_1,2.51ab/	saMhitA dvAdaSa-mitA mahA-puNyatarAH matAH // ŚivS-_1,2.51ab/
   tāsāṃ saṃkhyāṃ bruve viprāḥ śṛṇutādaratokhilam // ŚivP_1,2.51cd/	tAsAm saMKyAm bruve viprAH SRNuta-Adara-toKilam // Śivj-_1,2.51cd/
   vidyeśaṃ daśāsāhasraṃ rudraṃ vaināyakaṃ tathā // ŚivP_1,2.52ab/	vidyeSam daSA-sAhasram rudram vEnAyakam taTA // ŚivS-_1,2.52ab/
   aumaṃ mātṛpurāṇākhyaṃ pratyekāṣṭasahasrakam // ŚivP_1,2.52cd/	Omam mAtRpurANa-AKyam pratyeka-azwa-sahasrakam // Śivj-_1,2.52cd/
   trayodaśasahasraṃ hi rudraikādaśakaṃ dvijāḥ // ŚivP_1,2.53ab/	trayodaSa-sahasram hi rudra-ekAdaSakam dvijAH // ŚivS-_1,2.53ab/
   ṣaṭsahasraṃ ca kailāsaṃ śatarudraṃ tadardhakam // ŚivP_1,2.53cd/	zaz-sahasram ca kElAsam Sata-rudram tad-arDakam // Śivj-_1,2.53cd/
   koṭirudraṃ triguṇitamekādaśasahasrakam // ŚivP_1,2.54ab/	kowi-rudram tri-guNitam-ekAdaSa-sahasrakam // ŚivS-_1,2.54ab/
   sahasrakoṭirudrākhyamuditaṃ graṃthasaṃkhyayā // ŚivP_1,2.54cd/	sahasrakowirudra-AKyam-uditam graMTa-saMKyayA // ŚivS-_1,2.54cd/
   vāyavīyaṃ khābdhiśataṃ gharmaṃ ravisahasrakam // ŚivP_1,2.55ab/	vAyavIyam Ka-abDi-Satam Garmam ravi-sahasrakam // ŚivS-_1,2.55ab/
   tadevaṃ lakṣasaṃkhyākaṃ śaivasaṃkhyāvibhedataḥ // ŚivP_1,2.55cd/	tat-evam lakza-saMKyAkam SEva-saMKyA-viBedataH // Śivj-_1,2.55cd/
   vyāsena tattu saṃkṣiptaṃ caturviṃśatsahasrakam // ŚivP_1,2.56ab/	vyAsena tat-tu saMkziptam caturviMSat-sahasrakam // ŚivS-_1,2.56ab/
   śaivaṃ tatra caturthaṃ vai purāṇaṃ saptasaṃhitam // ŚivP_1,2.56cd/	SEvam tatra caturTam vE purANam sapta-saMhitam // Śivj-_1,2.56cd/
   śive saṃkalpitaṃ pūrvaṃ purāṇaṃ granthasaṃkhyayā // ŚivP_1,2.57ab/	Sive saMkalpitam pUrvam purANam granTa-saMKyayA // ŚivS-_1,2.57ab/
   śatakoṭipramāṇaṃ hi purā sṛṣṭau suvismṛtam // ŚivP_1,2.57cd/	Sata-kowi-pramANam hi purA sRzwO su-vismRtam // Śivj-_1,2.57cd/
   vyasteṣṭādaśadhā caiva purāṇe dvāparādiṣu // ŚivP_1,2.58ab/	vyasta-izwAdaSaDA ca-eva purANe dvApara-Adizu // ŚivS-_1,2.58ab/
   caturlakṣeṇa saṃkṣipte kṛte dvaipāyanādibhiḥ // ŚivP_1,2.58cd/	catur-lakzeNa saMkzipte kRte dvEpAyana-AdiBiH // Śivj-_1,2.58cd/
   proktaṃ śivapurāṇaṃ hi caturviṃśatsahasrakam // ŚivP_1,2.59ab/	proktam Siva-purANam hi caturviMSat-sahasrakam // ŚivS-_1,2.59ab/
   ślokānāṃ saṃkhyayā saptasaṃhitaṃ brahmasaṃmitam // ŚivP_1,2.59cd/	SlokAnAm saMKyayA sapta-saMhitam brahma-saMmitam // Śivj-_1,2.59cd/
   vidyeśvarākhyā tatrādyā raudrī jñeyā dvitīyikā // ŚivP_1,2.60ab/	vidyeSvara-AKyA tatra-AdyA rOdrI jQeyA dvitIyikAH // ŚivS-_1,2.60ab/
   tṛtīyā śatarudrākhyā koṭirudrā caturthikā // ŚivP_1,2.60cd/	tRtIyA SatarudrA-AKyA kowi-rudrA caturTikAH // Śivj-_1,2.60cd/
   pañcamī caiva maumākhyā ṣaṣṭhī kailāsasaṃjñikā // ŚivP_1,2.61ab/	paQcamI ca-eva mOmA-AKyA zazWI kElAsa-saMjQikA // ŚivS-_1,2.61ab/
   saptamī vāyavīyākhyā saptaivaṃ saṃhitāmatāḥ // ŚivP_1,2.61cd/	saptamI vAyavIya-AKyA sapta-evam saMhitAmatAH // Śivj-_1,2.61cd/
   sasaptasaṃhitaṃ divyaṃ purāṇaṃ śivasaṃjñakam // ŚivP_1,2.62ab/	sa-sapta-saMhitam divyam purANam Siva-saMjQakam // ŚivS-_1,2.62ab/
   varīvarti brahmatulyaṃ sarvopari gatipradam // ŚivP_1,2.62cd/	varIvarti brahma-tulyam sarva-upari gati-pradam // Śivj-_1,2.62cd/
   etacchivapurāṇaṃ hi saptasaṃhitamādarāt // ŚivP_1,2.63ab/	etat-Siva-purANam hi sapta-saMhitam-AdarAt // ŚivS-_1,2.63ab/
   paripūrṇaṃ paṭhedyastu sa jīvanmukta ucyate // ŚivP_1,2.63cd/	paripUrNam paWet-yaH-tu sa jIvanmuktaH ucyate // Śivj-_1,2.63cd/
   śrutismṛtipurāṇetihāsāgamaśatāni ca // ŚivP_1,2.64ab/	Sruti-smRti-purANa-itihAsa-Agama-SatAni ca // ŚivS-_1,2.64ab/
   etacchivapurāṇasya nārhaṃtyalpāṃ kalāmapi // ŚivP_1,2.64cd/	etat-Siva-purANasya na-arhaMti-alpAm kalAm-api // Śivj-_1,2.64cd/
   śaivaṃ purāṇamamalaṃ śivakīrtitaṃ tadvyāsena śaivapravaṇena na saṃgṛhītam	SEvam purANam-amalam Siva-kIrtitam tat-vyAsena SEva-pravaNena na saMgRhItam
   // ŚivP_1,2.65ab/	// ŚivS-_1,2.65ab/
   saṃkṣepataḥ sakalajīvaguṇopakāre tāpatrayaghnamatulaṃ śivadaṃ satāṃ hi //	saMkzepataH sakala-jIva-guNa-upakAre tApa-traya-Gnam-atulam Siva-dam satAm hi //
   ŚivP_1,2.65cd/	Śivj-_1,2.65cd/
   vikaitavo dharma iha pragīto vedāṃtavijñānamayaḥ pradhānaḥ //	vikEtavaH DarmaH iha pragItaH veda-aMta-vijQAna-mayaH praDAnaH //
   ŚivP_1,2.66ab/	ŚivS-_1,2.66ab/
   amatsarāṃtarbudhavedyavastu satkḷptamatraiva trivargayuktam //	amatsarAMtarbuDa-vedya-vastu satk?ptam-atra-eva trivarga-yuktam //
   ŚivP_1,2.66cd/	Śivj-_1,2.66cd/
   śaivaṃ purāṇatilakaṃ khalu satpurāṇaṃ vedāṃtavedavilasatparavastugītam //	SEvam purANa-tilakam Kalu sat-purANam veda-aMta-veda-vilasat-para-vastu-gItam //
   ŚivP_1,2.67ab/	ŚivS-_1,2.67ab/
   yo vai paṭhecca śṛṇuyātparamādareṇa śaṃbhupriyaḥ sa hi labhetparamāṃ gatiṃ	yaH vE paWet-ca SRNuyAt-parama-AdareNa SaMBu-priyaH sa hi laBet-paramAm gatim
   vai // ŚivP_1,2.67cd/	vE // Śivj-_1,2.67cd/
   iti śrīśivamahāpurāṇe vidyeśvarasaṃhitāyāṃ dvidīyo 'dhyāyaḥ	iti SrI-Siva-mahApurANe vidyeSvara-saMhitAyAm dvidIyaH aDyAyaH
   Chapter 3	ChapteH 3
   vyāsa uvāca	vyAsaH uvAca
   ityākarṇya vacaḥ sautaṃ procuste paramarṣayaḥ // ŚivP_1,3.1ab/	iti-AkarNya vacaH sOtam procuH-te parama-RzayaH // ŚivS-_1,3.1ab/
   vedāṃtasārasarvasvaṃ purāṇaṃ śrāvayādbhutam // ŚivP_1,3.1cd/	veda-aMtasAra-sarvasvam purANam SrAvaya-adButam // Śivj-_1,3.1cd/
   iti śrutvā munīnāṃ sa vacanaṃ supraharṣitaḥ // ŚivP_1,3.2ab/	iti SrutvA munInAm sa vacanam su-praharzitaH // ŚivS-_1,3.2ab/
   saṃsmarañchaṃkaraṃ sūtaḥ provāca munisattamān // ŚivP_1,3.2cd/	saMsmaran-SaMkaram sUtaH provAca muni-sattamAn // Śivj-_1,3.2cd/
   sūta uvāca	sUtaH uvAca
   śṛṇvaṃtu ṛṣayaḥ sarve smṛtvā śivamanāmayam // ŚivP_1,3.3ab/	SRNvaMtu RzayaH sarve smRtvA Sivam-anAmayam // ŚivS-_1,3.3ab/
   purāṇapravaṇaṃ śaivaṃ purāṇaṃ vedasārajam // ŚivP_1,3.3cd/	purANa-pravaNam SEvam purANam veda-sAra-jam // Śivj-_1,3.3cd/
   yatra gītaṃ trikaṃ prītyā bhaktijñānavirāgakam // ŚivP_1,3.4ab/	yatra gItam trikam prItyA Bakti-jQAna-virAgakam // ŚivS-_1,3.4ab/
   vedāṃtavedyaṃ sadvastu viśeṣeṇa pravarṇitam // ŚivP_1,3.5ab/	veda-aMta-vedyam sat-vastu viSezeNa pravarNitam // ŚivS-_1,3.5ab/
   sūta uvāca	sUtaH uvAca
   śṛṇvaṃtu ṛṣayaḥ sarve purāṇaṃ vedasārajam // ŚivP_1,3.6ab/	SRNvaMtu RzayaH sarve purANam veda-sAra-jam // ŚivS-_1,3.6ab/
   purā kālena mahatā kalpe 'tīte punaḥpunaḥ // ŚivP_1,3.6cd/	purA kAlena mahatA kalpe atIte punar-punar // Śivj-_1,3.6cd/
   asminnupasthite kalpe pravṛtte sṛṣṭikarmaṇi // ŚivP_1,3.7ab/	asmin=-upasTite kalpe pravRtte sRzwi-karmaNi // ŚivS-_1,3.7ab/
   munīnāṃ ṣaṭkulīnānāṃ bruvatāmitaretaram // ŚivP_1,3.7cd/	munInAm zawkulInAnAm bruvatAm-itaretaram // Śivj-_1,3.7cd/
   idaṃ paramidaṃ neti vivādaḥ sumahānabhūt // ŚivP_1,3.8ab/	idam param-idam na-iti vivAdaH su-mahAn-aBUt // ŚivS-_1,3.8ab/
   te 'bhijagmurvidhātāraṃ brahmāṇaṃ praṣṭumavyayam // ŚivP_1,3.8cd/	te aBijagmuH-viDAtAram brahmANam prazwum-avyayam // Śivj-_1,3.8cd/
   vāgbhirvinayagarbhābhiḥ sarve prāṃjalayo 'bruvan // ŚivP_1,3.9ab/	vAgBiH-vinaya-garBABiH sarve prAMjalayaH abruvan // ŚivS-_1,3.9ab/
   tvaṃ hi sarvajagaddhātā sarvakāraṇakāraṇam // ŚivP_1,3.9cd/	tvam hi sarva-jagat-DAtA sarva-kAraNa-kAraNam // Śivj-_1,3.9cd/
   kaḥ pumānsarvatattvebhyaḥ purāṇaḥ parataḥ paraḥ // ŚivP_1,3.10ab/	kaH pumAn-sarva-tattveByaH purANaH paratas paraH // ŚivS-_1,3.10ab/
   brahmovāca	brahmA-uvAca
   yato vāco nivartaṃte aprāpya manasā saha // ŚivP_1,3.10cd/	yatas vAcaH nivartaMte aprApya manasA saha // Śivj-_1,3.10cd/
   yasmātsarvamidaṃ brahmaviṣṇurudreṃdrapūrvakam // ŚivP_1,3.11ab/	yasmAt-sarvam-idam brahma-vizNu-rudreMdra-pUrvakam // ŚivS-_1,3.11ab/
   sahabhūteṃdriyaiḥ sarvaiḥ prathamaṃ saṃprasūyate // ŚivP_1,3.11cd/	saha-BUteMdriyEH sarvEH praTamam saMprasUyate // Śivj-_1,3.11cd/
   eṣa devo mahādevaḥ sarvajño jagadīśvaraḥ // ŚivP_1,3.12ab/	eza devaH mahAdevaH sarvajQaH jagat-ISvaraH // ŚivS-_1,3.12ab/
   ayaṃ tu parayā bhaktyā dṛśyate nā 'nyathā kvacit // ŚivP_1,3.12cd/	ayam tu parayA BaktyA dRSyate nA anyaTA kvacid // Śivj-_1,3.12cd/
   rudro harirharaścaiva tathānye ca sureśvarāḥ // ŚivP_1,3.13ab/	rudraH hariH-haraH-ca-eva taTA-anye ca sura-ISvarAH // ŚivS-_1,3.13ab/
   bhaktyā paramayā tasya nityaṃ darśanakāṃkṣiṇaḥ // ŚivP_1,3.13cd/	BaktyA paramayA tasya nityam darSana-kAMkziNaH // Śivj-_1,3.13cd/
   bahunātra kimuktena śive bhaktyā vimucyate // ŚivP_1,3.14ab/	bahunA-atra kim-uktena Sive BaktyA vimucyate // ŚivS-_1,3.14ab/
   prasādāddevatābhaktiḥ prasādo bhaktisaṃbhavaḥ // ŚivP_1,3.14cd/	prasAdAt-devatA-BaktiH prasAdaH Bakti-saMBavaH // Śivj-_1,3.14cd/
   yathehāṃkurato bījaṃ bījato vā yathāṃkuraḥ // ŚivP_1,3.14ef/	yaTA-iha-aMkurataH bIjam bIjataH vA yaTA-aMkuraH // ŚivS-_1,3.14ef/
   tasmādīśaprasādārthaṃ yūyaṃ gatvā bhuvaṃ dvijāḥ // ŚivP_1,3.15ab/	tasmAt-ISa-prasAda-arTam yUyam gatvA Buvam dvijAH // ŚivS-_1,3.15ab/
   dīrghasatraṃ samākṛdhvaṃ yūyaṃ varṣasahasrakam // ŚivP_1,3.15cd/	dIrGa-satram samAkRDvam yUyam varza-sahasrakam // Śivj-_1,3.15cd/
   amuṣyaivādhvareśasya śivasyaiva prasādataḥ // ŚivP_1,3.16ab/	amuzya-eva-aDvara-ISasya Sivasya-eva prasAdataH // ŚivS-_1,3.16ab/
   vedoktavidyāsāraṃ tu jñāyate sādhyasādhanaṃ // ŚivP_1,3.16cd/	veda-ukta-vidyA-sAram tu jQAyate sADya-sADanam // Śivj-_1,3.16cd/
   munaya ūcuḥ	munayaH UcuH
   atha kiṃ paramaṃ sādhyaṃ kiṃvā tatsādhanaṃ param // ŚivP_1,3.17ab/	aTa kim paramam sADyam kiMvA tad-sADanam param // ŚivS-_1,3.17ab/
   sādhakaḥ kīdṛśastatra tadidaṃ brūhi tattvataḥ // ŚivP_1,3.17cd/	sADakaH kIdRSaH-tatra tat-idam brUhi tattvataH // Śivj-_1,3.17cd/
   brahmovāca	brahmA-uvAca
   sādhyaṃ śivapadaprāptiḥ sādhanaṃ tasya sevanam // ŚivP_1,3.18ab/	sADyam Siva-pada-prAptiH sADanam tasya sevanam // ŚivS-_1,3.18ab/
   sādhakastatprasādādyo 'nityādiphalaniḥspṛhaḥ // ŚivP_1,3.18cd/	sADakaH-tad-prasAda-At-yaH anitya-Adi-Pala-niHspRhaH // Śivj-_1,3.18cd/
   karma kṛtvā tu vedoktaṃ tadarpitamahāphalam // ŚivP_1,3.19ab/	karma kRtvA tu veda-uktam tad-arpita-mahA-Palam // ŚivS-_1,3.19ab/
   parameśapadaprāptaḥ sālokyādikramāttataḥ // ŚivP_1,3.19cd/	parameSa-pada-prAptaH sAlokya-Adi-kramAt-tatas // Śivj-_1,3.19cd/
   tattadbhaktyanusāreṇa sarveṣāṃ paramaṃ phalam // ŚivP_1,3.20ab/	tad-tad-Bakti-anusAreNa sarvezAm paramam Palam // ŚivS-_1,3.20ab/
   tatsādhanaṃ bahuvidhaṃ sākṣādīśena bodhitam // ŚivP_1,3.20cd/	tad-sADanam bahuviDam sa-AkzAt-ISena boDitam // Śivj-_1,3.20cd/
   saṃkṣipya tatra vaḥ sāraṃ sādhanaṃ prabravīmyaham // ŚivP_1,3.21ab/	saMkzipya tatra vaH sAram sADanam prabravImi-aham // ŚivS-_1,3.21ab/
   śrotreṇa śravaṇaṃ tasya vacasā kīrtanaṃ tathā // ŚivP_1,3.21cd/	SrotreNa SravaNam tasya vacasA kIrtanam taTA // Śivj-_1,3.21cd/
   manasā mananaṃ tasya mahāsādhanamucyate // ŚivP_1,3.22ab/	manasA mananam tasya mahA-sADanam-ucyate // ŚivS-_1,3.22ab/
   śrotavyaḥ kīrtitavyaśca mantavyaśca maheśvaraḥ // ŚivP_1,3.22cd/	SrotavyaH kIrtitavyaH-ca mantavyaH-ca maheSvaraH // Śivj-_1,3.22cd/
   iti śrutipramāṇaṃ naḥ sādhanenā 'munā param // ŚivP_1,3.23ab/	iti Sruti-pramANam naH sADanenA amunA param // ŚivS-_1,3.23ab/
   sādhyaṃ vrajata sarvārthasādhanaikaparāyaṇāḥ // ŚivP_1,3.23cd/	sADyam vrajata sarva-arTa-sADana-eka-parAyaNAH // Śivj-_1,3.23cd/
   pratyakṣaṃ cakṣuṣā dṛṣṭvā tatra lokaḥ pravartate // ŚivP_1,3.24ab/	pratyakzam cakzuzA dRzwvA tatra lokaH pravartate // ŚivS-_1,3.24ab/
   apratyakṣaṃ hi sarvatra jñātvā śrotreṇa ceṣṭate // ŚivP_1,3.24cd/	apratyakzam hi sarvatra jQAtvA SrotreNa cezwate // Śivj-_1,3.24cd/
   tasmācchravaṇamevādau śrutvā gurumukhādbudhaḥ // ŚivP_1,3.25ab/	tasmAt-SravaNam-eva-AdO SrutvA guru-muKAt-buDaH // ŚivS-_1,3.25ab/
   tataḥ saṃsādhayedanyatkīrtanaṃ mananaṃ sudhīḥ // ŚivP_1,3.25cd/	tatas saMsADayet-anyat-kIrtanam mananam suDIH // Śivj-_1,3.25cd/
   kramānmananaparyaṃte sādhane 'sminsusādhite // ŚivP_1,3.26ab/	kramAt-manana-paryaMte sADane asmin-su-sADite // ŚivS-_1,3.26ab/
   śivayogo bhavettena sālokyādikramācchanaiḥ // ŚivP_1,3.26cd/	Siva-yogaH Bavet-tena sAlokya-Adi-kramAt-SanEs // Śivj-_1,3.26cd/
   sarvāṃgavyādhayaḥ paścātsarvānaṃdaśca līyate // ŚivP_1,3.27ab/	sarva-aMga-vyADayaH paScAt-sarva-AnaMdaH-ca lIyate // ŚivS-_1,3.27ab/
   abhyāsātkleśametadvai paścādādyaṃtamaṃgalam // ŚivP_1,3.27cd/	aByAsAt-kleSam-etat-vE paScAt-Adi-aMta-maMgalam // Śivj-_1,3.27cd/
   iti śrīśivamahāpurāṇe vidyeśvarasaṃhitāyāṃ sādhyasādhanakhaṇḍe tṛtīyo	iti SrI-Siva-mahApurANe vidyeSvara-saMhitAyAm sADya-sADana-KaNxe tRtIyaH-
   'dhyāyaḥ	aDyAyaH
   Chapter 4	ChapteH 4
   munaya ūcuḥ	munayaH UcuH
   mananaṃ kīdṛśaṃ brahmañchravaṇaṃ cāpi kīdṛśam // ŚivP_1,4.1ab/	mananam kIdRSam brahman-SravaNam ca-api kIdRSam // ŚivS-_1,4.1ab/
   kīrtanaṃ vā kathaṃ tasya kīrtayaitadyathāyatham // ŚivP_1,4.1cd/	kIrtanam vA kaTam tasya kIrtayA-etat-yaTAyaTam // Śivj-_1,4.1cd/
   brahmovaca	brahmA-uvaca
   pūjājapeśaguṇarūpavilāsanāmnāṃ yuktipriyeṇa manasā pariśodhanaṃ yat //	pUjA-japeSa-guNa-rUpa-vilAsa-nAmnAm yukti-priyeNa manasA pariSoDanam yat //
   ŚivP_1,4.2ab/	ŚivS-_1,4.2ab/
   tatsaṃtataṃ mananamīśvaradṛṣṭilabhyaṃ sarveṣu sādhanavareṣvapi	tad-saMtatam mananam-ISvara-dRzwi-laByam sarvezu sADana-varezu-api
   mukhyamukhyam // ŚivP_1,4.2cd/	muKya-muKyam // Śivj-_1,4.2cd/
   gītātmanā śrutipadena ca bhāṣayā vā śaṃbhupratāpaguṇarūpavilāsanāmnām //	gIta-AtmanA Sruti-padena ca BAzayA vA SaMBu-pratApa-guNa-rUpa-vilAsa-nAmnAm //
   ŚivP_1,4.3ab/	ŚivS-_1,4.3ab/
   vācā sphuṭaṃ tu rasavatstavanaṃ yadasya tatkīrtanaṃ bhavati sā dhanamatra	vAcA sPuwam tu rasavat-stavanam yat-asya tad-kIrtanam Bavati sA Danam-atra
   madhyam // ŚivP_1,4.3cd/	maDyam // Śivj-_1,4.3cd/
   yenāpi kena karaṇena ca śabdapuṃjaṃ yatra kvacicchivaparaṃ śravaṇeṃdriyeṇa	yena-api kena karaNena ca Sabda-puMjam yatra kvacid-Siva-param SravaNeMdriyeNa
   // ŚivP_1,4.4ab/	// ŚivS-_1,4.4ab/
   strīkelivaddṛḍhataraṃ praṇidhīyate yattadvai budhāḥ śravaṇamatra	strI-keli-vat-dRXataram praNiDIyate yat-tat-vE buDAH SravaNam-atra
   jagatprasiddham // ŚivP_1,4.4cd/	jagat-prasidDam // Śivj-_1,4.4cd/
   satsaṃgamena bhavati śravaṇaṃ purastātsaṃkīrtanaṃ paśupateratha taddṛḍhaṃ	sat-saMgamena Bavati SravaNam purastAt-saMkIrtanam paSupateH-aTa tat-dRXam
   syāt // ŚivP_1,4.5ab/	syAt // ŚivS-_1,4.5ab/
   sarvottamaṃ bhavati tanmananaṃ tadaṃte sarvaṃ hi saṃbhavati	sarva-uttamam Bavati tat-mananam tad-aMte sarvam hi saMBavati
   śaṃkaradṛṣṭipāte // ŚivP_1,4.5cd/	SaMkara-dRzwi-pAte // Śivj-_1,4.5cd/
