   Abhidharmadīpaḥ	ABiDarma-dIpaH
   kāṅkṣāmithyekṣaṇaṃ tasyāḥ śīlāmarśastato dṛśaḥ // [357] //	kAFkzA-miTyA-IkzaNam tasyAH SIla-AmarSaH-tatas dRSaH // [357] //
   rāgaḥ su(sva)dṛśi mānaśva dveṣo 'nyatra pratāyate /	rAgaH su(sva)dRSi mAnaSva dvezaH anyatra pratAyate /
   jñeyaḥ pravṛttibāhulyādevameṣāmanukramaḥ // [358] //	jQeyaH pravRtti-bAhulyAt-evam-ezAm-anukramaH // [358] //
   sadasanmitrayogāttu tadvṛttyaniyamo mataḥ /	sat-asat-mitra-yogAt-tu tad-vRtti-a-niyamaH mataH /
   kleśa utpadyate kaścitsaṃpūrṇaiḥ kāraṇaistribhiḥ // [359] //	kleSaH utpadyate kaScid-saMpUrNEH kAraNEH-triBiH // [359] //
   abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau pañcamasyādhyāyasya dvitīyaḥ pādaḥ	aBiDarma-dIpe viBAzA-praBAyAm vRttO paQcamasya-aDyAyasya dvitIyaH pAdaH
   pañcamādhyāye tṛtīyapādaḥ /	paQcama-aDyAye tRtIya-pAdaH /
   vyavidyāḥ sakalāḥ kleśāḥ kāme kāmāsravo mataḥ /	vyavidyAH sakalAH kleSAH kAme kAma-AsravaH mataH /
   styānauddhatye ca hitvordhvaṃ samānatvādbhavāstravaḥ // [360] //	styAn-a-OdDatye ca hitvA-UrDvam samAna-tvAt-Bava-astravaH // [360] //
   avidyā khyastu mūlatvādavidyā sārvadhātukī /	avidyA KyaH-tu mUla-tvAt-avidyA sArvaDAtukI /
   tathaughayogā dṛgvarjja tatpṛthaktvantu pāṭavāt // [361] //	taTA-oGa-yogAH dRS-varjja tat-pRTaktvantu pAwavAt // [361] //
   sāvidyā dve upādāne yathākto(ktau) dve tu dṛṅmaye /	sa-avidyA dve upAdAne yaTA-akta-u(ktO) dve tu dRS-maye /
   catasro 'pyekamantyaikaṃ kumārgādisamāśrayāt // [362] //	catasraH api-ekam-antya-ekam kumArga-Adi-samASrayAt // [362] //
   śeṣāstraidhātukāstvantye sātmabhāvapravṛttitaḥ /	SezAH-trEDAtukAH-tu-antye sA-Atma-BAva-pravRttitaH /
   saṃyojanādibhiḥ śabdairdarśitāḥ pañcadhā punaḥ // [363] //	saMyojana-AdiBiH SabdEH-darSitAH paQcaDA punar // [363] //
   nava saṃyojanānyasminnīrṣyāmātsaryameva ca /	nava saMyojanAni-asmin=-IrzyA-mAtsaryam-eva ca /
   dravyāmarṣaṇasāmānyād dṛśaḥ saṃyojanadvayam // [364] //	dravya-amarzaNa-sAmAnyAt dRSaH saMyojana-dvayam // [364] //
   śeṣānya(ṇya)nuśayāḥ pañca pañcadhā pañcadhā punaḥ /	Seza-ani-a(Ni-a)nuSayAH paQca paQcaDA paQcaDA punar /
   jagādāvarabhāgīyamūrdhvabhāgīyameva ca // [365] //	jagAda-Avara-BAgIyam-UrDva-BAgIyam-eva ca // [365] //
   ādyantye dve dṛśau kāṃkṣā(kāṅkṣā)kāmacchando dvireva yaḥ /	Adi-antye dve dRSO kAMkzA(-kAFkzA)-kAma=-CandaH dvis-eva yaH /
   dvābhyāṃ kāmānatikrāntiḥ punarāṇa(na)yanaṃ tribhiḥ // [366] //	dvAByAm kAmAn-atikrAntiH punar-ANa(na)yanam triBiH // [366] //
   dvyekadṛggheyakāryokterdṛṣṭiheyamukhagrahāt /	dvi-eka-dRS-heya-kArya-ukteH-dRzwi-heya-muKa-grahAt /
   sarvadṛggheyabhāktve 'pi trayametadudāhṛtam // [367] //	sarva-dRS-heya-BAktve api trayam-etat-udAhRtam // [367] //
   sarvānarthanidānatvānmārgapratyarthibhāvataḥ /	sarva-anarTa-nidAna-tvAt-mArga-pratyarTi-BAvataH /
   tathyohāvidhuratvācca trisaṃyojanadeśanā // [368] //	taTyoha-aviDura-tvAt-ca tri-saMyojana-deSanA // [368] //
   dvau rūpārūpajau rāgau mānamohoddhavāstrayaḥ /	dvO rUpA-rUpa-jO rAgO mAna-moha-udDavAH-trayaH /
   trivedanānuśāyitvād dṛḍhatvādbandhanatrayam // [369] //	tri-vedanA-anuSAyi-tvAt dRXa-tvAt-banDana-trayam // [369] //
   dvipakṣagranthanād granthāścatvāraḥ samudāhṛtāḥ /	dvi-pakza-granTanAt granTAH-catvAraH samudAhRtAH /
   abhidhyākhyāstathā dveṣaḥ parāmarśadvayaṃ tathā // [370] //	aBiDyAKyAH-taTA dvezaH parAmarSa-dvayam taTA // [370] //
   upakleśāstu vijñeyāḥ saṃrambhādyā yathoditāḥ /	upakleSAH-tu vijQeyAH saMramBa-AdyAH yaTA-uditAH /
   sarve vā caitasāḥ kliṣṭāḥ saṃskāraskandhasaṃjñitāḥ // [371] //	sarve vA ca-etasAH klizwAH saMskAra-skanDa-saMjQitAH // [371] //
   mūlakleśamalāstvanye ṣaḍupakleśasaṃjñitāḥ //	mUla-kleSa-malAH-tu-anye zaz-upakleSa-saMjQitAH //
   śāṭhyopanāhapradāśamāyāmadaviheṭhanāḥ // [372] //	SAWya-upanAha-pradASa-mAyA-mada-viheWanAH // [372] //
   mrarkṣyerṣyāhryanapatrāpyastyānamiddhoddhavakrudhaḥ /	mraRkzya-IrzyA-ahri-anapatra-api-astyAnam-idDa-udDava-kruDaH /
   mātsarya kukṛtatvaṃ ca daśadhā paryavasthitiḥ // [373] //	mAtsarya kukRta-tvam ca daSaDA paryavasTitiH // [373] //
   ebhyo 'nunananiṣyandā āhrīkyauddhatatādayaḥ /	eByaH anunana-nizyandAH AhrIkya-OdData-tA-AdayaH /
   mrakṣānapatrapāstyānamiddhādya mohasaṃbhavāḥ // [374] //	mrakzAnapatrapAstyAnam-idDA-adya moha-saMBavAH // [374] //
   kaukṛtyaṃ vicikitsotthaṃ krodhādyā dveṣasambhavāḥ /	kOkRtyam vicikitsA-utTam kroDa-AdyAH dveza-samBavAH /
   pra[mā]dastambhamārdva (?)kṣya māyāśāṭhyavijṛmbhikāḥ // [375] //	pra[mA]da-stamBam-Ardva (?)kzya mAyA-SAWya-vijRmBikAH // [375] //
   kāyaduṣṭhūlatādyāśca jñeyā vyāmiśrasambhavāḥ //	kAya-duzWUla-tA-AdyAH-ca jQeyAH vyAmiSra-samBavAH //
   pradāśo dṛkparāmarśaniṣyandaḥ śaṭhatā dṛśaḥ // [376] //	pradASaH dRS-parAmarSa-nizyandaH SaWa-tA dRSaH // [376] //
   saumanasyena rāgasya saṃprayogaḥ sukhena ca /	sOmanasyena rAgasya saMprayogaH suKena ca /
   dveṣasya daurmaṇa(na)syena duḥkhena ca nigadyate // [377] //	dvezasya dOrmaNa(na)syena duHKena ca nigadyate // [377] //
   sarvairmohasya vittibhyāṃ caitasībhyāmasaddṛśaḥ /	sarvEH-mohasya vittiByAm cEtasIByAm-asat-dRSaH /
   kāṅkṣā ca daurmaṇa(na)syena śeṣāṇāṃ sumanastayā // [378] //	kAFkzA ca dOrmaNa(na)syena SezANAm sumanaH-tayA // [378] //
   upekṣayā tu sarveṣām kāmāptānāmayaṃ vidhiḥ /	upekzayA tu sarvezAm kAma-AptAnAm-ayam viDiH /
   ito 'nyadhātujānāṃ tu pratibhūmyantaraṃ svakaiḥ // [379] //	itas anya-DAtu-jAnAm tu pratiBUmi-antaram svakEH // [379] //
   īrṣyāyā daurmaṇa(na)syeṇa(na) kaukṛtyasya tathā krudhaḥ /	IrzyAyAH dOrmaNa(na)syeNa(na) kOkRtyasya taTA kruDaH /
   pradaṣṭeścopanaddheśca vihiṃsāyāstathaiva ca // [380] //	pradazweH-ca-upanadDeH-ca vihiMsAyAH-taTA-eva ca // [380] //
   mātsarya daurmaṇa(na)syena saumanasyena kasyacit /	mAtsarya dOrmaNa(na)syena sOmanasyena kasyacid /
   dvābhyāṃ māyā tathā śāṭhyaṃ mrakṣo middhaṃ tathaiva ca // [381] //	dvAByAm mAyA taTA SAWyam mrakzaH midDam taTA-eva ca // [381] //
   madastu sumana[:]skandhasukhābhyāṃ saṃprayujyate /	madaH-tu sumana-[:]skanDa-suKAByAm saMprayujyate /
   āhrīkyamanapatrāpya(pyaṃ) styānauddhatye ca pañcabhiḥ // [382] //	AhrIkyam-anapatra-api-a(pi-an) styAn-a-OdDatye ca paQcaBiH // [382] //
   āhrīkyamanapatrāpyaṃ styānamiddhaṃ tathoddhavaḥ // [383] //	AhrIkyam-anapatrApyam styAnam-idDam taTA-udDavaH // [383] //
   ..........[abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau pañcamādhyāyasya tṛtīyaḥ	..........[aBi-Darma-dIpe viBAzA-praBAyAm vRttO paQcama-aDyAyasya tRtIyaH
   pādaḥ //	pAdaH //
   ] ..........[pañcamodhyāyaḥ samāptaḥ //]	] ..........[paQcamaH-DyAyaH samAptaH //]
   [for 384-597 see alternative GRETIL version]	[foH 384-597 see alteH-native GRETIL versiA-Un]
