   a-u-ma tryakṣaraṃ saṃkhyaṃ JñS_26.11c	a-u-ma tri-akzaram saMKyam JQH-_26.11c
   yajvā dhartā ca bhoktā JñS_12.9a	yajvA DartA ca BoktA JQH-_12.9a
   yajvā samāne kūrmāre JñS_12.11a	yajvA samAne kUrmAre JQH-_12.11a
   yatanāya nītyaddhaṃ ? MJ_64d	yatanAya nItyadDam ? M=-_64d
   yatnād gṛhṇīta putrakāḥ MJ_87d	yatnAt gRhNIta putrakAH M=-_87d
   yatrakāmāvasāyitvam Vṛh_74b	yatra-kAmAvasAyi-tvam VRh_74b
   yatra devaḥ sthito nityaṃ MJ_35c	yatra devaH sTitaH nityam M=-_35c
   yatra yatra samudīkṣya JñS_25.4c	yatra yatra samudIkzya JQH-_25.4c
   yatrāsya deśe kanakastrīlābhaḥ JñS_22.1b	yatra-asya deSe kanaka-strI-lABaH JQH-_22.1b
   yatrāsya deśe sabhayaṃ savairam JñS_22.3b	yatra-asya deSe sa-Bayam sa-vEram JQH-_22.3b
   yatraiva yad vaśitvaṃ syād Vṛh_73a	yatra-eva yat vaSitvam syAt VRh_73a
   yatraiva svecchayā gacchet Vṛh_69a	yatra-eva sva-icCayA gacCet VRh_69a
   yathā ghṛtaṃ payasi vāri ca dāruṣu JñS_25.5a	yaTA GRtam payasi vAri ca dAruzu JQH-_25.5a
   yathā janmani janmani Vṛh_13d	yaTA janmani janmani VRh_13d
   yathā śāsti tathā kuryyāt MJ_78c	yaTA SAsti taTA kuryyAt M=-_78c
   yathā sūḍhaṃ tathā labdhaṃ MJ_77c	yaTA sUXam taTA labDam M=-_77c
   yathā svavṛttito yānti MJ_81a	yaTA sva-vRttitaH yAnti M=-_81a
   yathecchaṃ yatkṛtaṃ rūpaṃ Vṛh_71c	yaTecCam yat-kRtam rUpam VRh_71c
   yad ghṛtaṃ payasi hariś ca yaddāruṣu kṣitaḥ jalaṃ nabhaḥsthitaṃ sarvag	yat GRtam payasi hariH ca yat-dAruzu kzitaH jalam naBaH-sTitam sarva-g
   Vṛh_49a	VRh_49a
   yad dhruvaṃ dhyāyate nityaṃ JñS_15.3c	yat Druvam DyAyate nityam JQH-_15.3c
   yad rūpaṃ dhyāyate nityaṃ GNP_5c	yat rUpam DyAyate nityam GNP_5c
   yadrūpaṃ dhyāyate nityaṃ Vṛh_55c	yat-rUpam DyAyate nityam VRh_55c
   yamā rudreṇa bhāṣitāḥ Vṛh_60d	yamAH rudreNa BAzitAH VRh_60d
   ya-va-śi-ma-na cotpattir JñS_18.6a	ya-va-Si-ma-na ca-utpattiH JQH-_18.6a
   ya-va-śi-ma-na cotpattiḥ GNP_33a	ya-va-Si-ma-na ca-utpattiH GNP_33a
   yāti tenocyate 'aṇimā Vṛh_67d	yAti tena-ucyate aaNimA VRh_67d
   yāvad mṛtyum aparibhavati namo śivāyeti JñS_25.21d	yAvat mRtyum apariBavati namaH SivAya-iti JQH-_25.21d
   yugapad manojavitvaṃ JñS_11.5a	yugapad manojavi-tvam JQH-_11.5a
   yugapad vijñānaṃ cāpi JñS_11.12a	yugapad vijQAnam ca-api JQH-_11.12a
   yugāntaḥ svapna ityukto MJ_30a	yugAntar svapnaH iti-uktaH M=-_30a
   yugānto dakṣiṇāyanam MJ_30b	yugAntaH dakziNAyanam M=-_30b
   yuṅkārākṣaravinduṣṭho JñS_12.28c	yuFkAra-akzara-vinduzWaH JQH-_12.28c
   yena tvam upabhūñjītāḥ JñS_25.8a	yena tvam upaBUn-jItAH JQH-_25.8a
   yenottīrṇṇaḥ pārāvāro MJ_74c	yena-uttIrNNaH pArAvAraH Mu-_74c
   yogaś cāpi samāsena Vṛh_25c	yogaH ca-api samAsena VRh_25c
   yogena saha vindunā JñS_17.2b	yogena saha vindunA JQH-_17.2b
   yojitaḥ saha bindunā GNP_26b	yojitaH saha bindunA GNP_26b
   yo jñāta tattvo 'saṃśayaṃ MJ_73c	yaH jQAta tattvaH asaMSayam M=-_73c
   yo jñātā sa śivaṃ vrajet GNP_40d	yaH jQAtA sa Sivam vrajet GNP_40d
   yo jñātā sa śivaṃ vrajet JñS_19.d	yaH jQAtA sa Sivam vrajet JQH-_19.d
   yo jñātvā devabhasmanaḥ JñS_25.12d	yaH jQAtvA deva-BasmanaH JQH-_25.12d
   yo jñātvaitām ātmānañ caiva MJ_53c	yaH jQAtvA-etAm AtmAnan ca-eva M=-_53c
   yo nāmāny abhikīrtayet GNP_56b	yaH nAmAni aBikIrtayet GNP_56b
   yo vetti sa raviṃ vrajet MJ_4d	yaH vetti sa ravim vrajet Mu-_4d
   raktakaṃ māṃsasaṃyuktam JñS_25.13c	raktakam mAMsa-saMyuktam JQH-_25.13c
   raktakṛṣṇaṃ ca śvetam ca JñS_10.9a	rakta-kRzNam ca Svetam ca JQH-_10.9a
   raktavarṇo caturbhujaḥ JñS_10.10b	rakta-varNaH catur-BujaH JQH-_10.10b
   raktaṃ tu medinītattvam JñS_11.2c	raktam tu medinI-tattvam JQH-_11.2c
   rajastamo 'dṛśyaṃ mano nare san na sat tathā bāhye jagati tan nopalabh	rajaH-tamaH adRSyam manaH nare san na sat taTA bAhye jagati tat na-upalaB
   Vṛh_49b	VRh_49b
   rajas tamo vṛttimana guṇāni ca JñS_25.5c	rajaH tamaH vRtti-mana guNAni ca JQH-_25.5c
   ratnaliṅgasahasrāṇi MJ_24a	ratna-liFga-sahasrANi M=-_24a
   ratha indriyāṇīty uktaḥ MJ_15a	raTaH indriyANi-iti uktaH M=-_15a
   ramayan sacarācaram Vṛh_2d	ramayan sacarAcaram VRh_2d
   ravim agniḥ śivaś cāgniṃ GNP_29c	ravim agniH SivaH ca-agnim GNP_29c
   raviś ca puruṣas tathā MJ_12b	raviH ca puruzaH taTA M=-_12b
   raviś ca puruṣas tathā MJ_83b	raviH ca puruzaH taTA M=-_83b
   raviṃ agniḥ śivaś cāgniṃ JñS_18.2c	ravim agniH SivaH ca-agnim JQH-_18.2c
   raveś cāgniś ca jāyate GNP_28d	raveH ca-agniH ca jAyate GNP_28d
   raveś cāgniś ca jāyate JñS_18.1d	raveH ca-agniH ca jAyate JQH-_18.1d
   ravyagnyor api saṃyoga GNP_31c	ravya-gnyoH api saMyoga GNP_31c
   ravyagnyor api saṃyogād JñS_18.4c	ravyagnyoH api saMyogAt JQH-_18.4c
   raśmayo hi hareriva MJ_19d	raSmayaH hi hareH-iva M=-_19d
   raso gandhaś ca kathyate Vṛh_64b	rasaH ganDaH ca kaTyate VRh_64b
   rahasyaṃ paramaṃ śubham GNP_40b	rahasyam paramam SuBam GNP_40b
   rahasyaṃ paramaṃ śubham JñS_19.1b	rahasyam paramam SuBam JQH-_19.1b
   rājasūyaś ca tūryyakam MJ_48d	rAjasUyaH ca tUryyakam M=-_48d
   rājā bhavati vīryavān GNP_20d	rAjA Bavati vIryavAn GNP_20d
   rājā bhavati vīryavān JñS_16.11d	rAjA Bavati vIryavAn JQH-_16.11d
   rājā bhavati vīryyavān MJ_58d	rAjA Bavati vIryyavAn Mu-_58d
   rājābhiṣekagrahasādhanaṃ ca JñS_22.2b	rAja-aBizeka-graha-sADanam ca JQH-_22.2b
   rātriś ca prakṛtir jñeyā MJ_12a	rAtriH ca prakRtiH jQeyA M=-_12a
   rātriś ca prakṛtir jñeyā MJ_83a	rAtriH ca prakRtiH jQeyA M=-_83a
   rātrau ca jāyate raviḥ MJ_9d	rAtrO ca jAyate raviH M=-_9d
   rātryāṃ tūryyam ihocyate MJ_43d	rAtryAm tUryyam iha-ucyate M=-_43d
   ruṅkārākṣaravinduṣṭhaḥ JñS_12.25c	ruFkAra-akzara-vinduzWaH JQH-_12.25c
   rudrarūpaḥ kāladharaḥ MJ_51b	rudra-rUpaH kAlaDaraH M=-_51b
   rudralokam avāpnuyāt MJ_6d	rudra-lokam avApnuyAt M=-_6d
   rudralokam avāpnuyāt MJ_8d	rudra-lokam avApnuyAt M=-_8d
   rudraloke tathā mātā MJ_82a	rudra-loke taTA mAtA M=-_82a
   rudrādhidevatā jñātvā JñS_11.24a	rudra-aDidevatA jQAtvA JQH-_11.24a
   rudhirekṣur vad aparam JñS_24.6d	ruDira-ikzuH vat aparam JQH-_24.6d
   rūparūpyādisambhandhād JñS_25.17c	rUpa-rUpya-Adi-samBanDAt JQH-_25.17c
   rūpaṃ nāyataḥ kāṅkṣiṇām JñS_25.1b	rUpam na-AyataH kAFkziNAm JQH-_25.1b
   rūpī tvaṃ bhagavan śiva JñS_25.17b	rUpI tvam Bagavan Siva JQH-_25.17b
   rocikā mocikā tathā JñS_12.3d	rocikA mocikA taTA JQH-_12.3d
   laghu prakāśakaṃ sattvaṃ Vṛh_15a	laGu prakASakam sattvam VRh_15a
   laṅghayed brahmahatyaṃ ca JñS_25.19a	laFGayet brahmahatyam ca JQH-_25.19a
   labdhā bhedajñānaṃ śiṣyaḥ JñS_19.3c	labDA Beda-jQAnam SizyaH JQH-_19.3c
   labdhvā bhedajñānaṃ śiṣyaḥ GNP_42a	labDvA Beda-jQAnam SizyaH GNP_42a
   lalāṭasthaḥ śureśvaraḥ JñS_11.24b	lalAwa-sTaH SureSvaraH JQH-_11.24b
   lalāṭe ca tailanibham MJ_37b	lalAwe ca tEla-niBam M=-_37b
   lalāṭe caiva tūryyāntaṃ MJ_42a	lalAwe ca-eva tUryya-antam M=-_42a
   lavaṇakṣīradadhikaḥ JñS_24.2a	lavaNakzIradaDikaH JQH-_24.2a
   lavaṇaṃ svedam adhikaṃ JñS_24.6a	lavaNam svedam aDikam JQH-_24.6a
   la-va-y-ukāro daśadhā JñS_12.8d	la-va-y-ukAraH daSaDA JQH-_12.8d
   la-va-y-uṅ-kāre bhoktātmā JñS_12.12a	la-va-y-uF-kAre BoktA-AtmA JQH-_12.12a
   liṅgotpādaḥ śivārcayet JñS_25.18b	liFga-utpAdaH Siva-arcayet JQH-_25.18b
   liṅgotpādān nivartayet JñS_25.19b	liFga-utpAdAt nivartayet JQH-_25.19b
   liṅgodbhavam manaḥsthitaṃ GNP_15c	liFga-udBavam manaH-sTitam GNP_15c
   liṅgodbhavaṃ manas tiṣṭhec MJ_25c	liFga-udBavam manaH tizWet M=-_25c
   liṅgodbhāvo manaḥsthitaḥ JñS_16.6c	liFga-udBAvaH manaH-sTitaH JQH-_16.6c
   līyate sarvabhūtānāṃ GNP_11c	lIyate sarva-BUtAnAm GNP_11c
   līyate sarvabhūtānāṃ JñS_16.2c	lIyate sarva-BUtAnAm JQH-_16.2c
   līyate sarvvabhūtānāṃ MJ_21c	lIyate sarvu-aBUtAnAm M=-_21c
   luṅkārākṣaravinduṣṭhaḥ JñS_12.26c	luFkAra-akzara-vinduzWaH JQH-_12.26c
   lokanāthaśivālayam GNP_10d	lokanATa-Siva-Alayam GNP_10d
   lokanāthaṃ śivālayam JñS_16.1d	lokanATam Siva-Alayam JQH-_16.1d
   lokanāthaḥ śivālayaḥ? MJ_20d	lokanATaH Siva-AlayaH? M=-_20d
   lokānāṃ ca hitārthāya JñS_26.1c	lokAnAm ca hita-arTAya JQH-_26.1c
   lobhitvañ ca palatvañ ca Vṛh_18c	loBi-tvan ca palatvan ca VRh_18c
   lohadaṇḍena sakāśaḥ JñS_12.22b	loha-daNxena sakASaH JQH-_12.22b
   laukikaṃ kārayet pūrvaṃ GNP_50a	lOkikam kArayet pUrvam GNP_50a
   laukikaṃ kārayet pūrvaṃ JñS_1.1a	lOkikam kArayet pUrvam JQH-_1.1a
   vakṣyāmi tava suvrate JñS_26.1b	vakzyAmi tava suvrate JQH-_26.1b
   vacanāni suputraka JñS_27.7d	vacanAni suputraka JQH-_27.7d
   vardhanī mocanī māyā JñS_11.4c	varDanI mocanI mAyA JQH-_11.4c
   vaśan vikṛtavinduṣṭho JñS_12.14c	vaSan vikRta-vinduzWaH JQH-_12.14c
   vaśitvaṃ yatrakāmatvam Vṛh_66d	vaSitvam yatra-kAma-tvam VRh_66d
   vaśitvād yatrakāmatā Vṛh_73b	vaSi-tvAt yatra-kAma-tA VRh_73b
   vaśyār avaśyām ucyate JñS_11.18d	vaSyAH avaSyAm ucyate JQH-_11.18d
   vājapeyaś ca svapnakam MJ_48b	vAjapeyaH ca svapnakam M=-_48b
   vāmabāhau sthito viṣṇur JñS_16.12a	vAma-bAhO sTitaH vizNuH JQH-_16.12a
   vāme bāhau sthito viṣṇur GNP_21a	vAme bAhO sTitaH vizNuH GNP_21a
   vāme bāhau sthito viṣṇur MJ_59a	vAme bAhO sTitaH vizNuH Mu-_59a
   vāyubhiḥ pañcabhiḥ saha MJ_14b	vAyuBiH paQcaBiH saha M=-_14b
   vāyubhūtaś carācare ? MJ_52d	vAyu-BUtaH carAcare ? M=-_52d
   vāyuragniś ca jāgṛtaḥ MJ_3b	vAyuH-agniH ca jAgRtaH M=-_3b
   vāyurantarnigṛhyate Vṛh_56b	vAyuH-antar-nigRhyate VRh_56b
   vāyuṃ bahiḥ prayacchati GNP_6b	vAyum bahis prayacCati GNP_6b
   vārdhakyaṃ tena vāyunā Vṛh_45d	vArDakyam tena vAyunA VRh_45d
   vāhyākṛtajño ghāṇārogākāśaḥ JñS_22.1a	vAhya-akRtajQaH GANAroga-AkASaH JQH-_22.1a
   vāhyāntare māsadivāsayuktam JñS_22.1d	vAhya-antare mAsa-divAsa-yuktam JQH-_22.1d
   vikasitaiḥ sugandhibhiḥ GNP_24b	vikasitEH suganDiBiH GNP_24b
   vikasitaiḥ sugandhibhiḥ JñS_16.15b	vikasitEH suganDiBiH JQH-_16.15b
   vikṛto mantrasaṃsthitaḥ JñS_12.14d	vikRtaH mantra-saMsTitaH JQH-_12.14d
   vighnanāśo bhaved dṛṣṭa JñS_12.20c	viGna-nASaH Bavet dRzwa JQH-_12.20c
   vicāragato te ātmā GNP_20a	vicAra-gataH te AtmA GNP_20a
   vicāragato te ātmā JñS_16.11a	vicAra-gataH te AtmA JQH-_16.11a
   vijayā saumyāṃśu saṃjñā JñS_11.4a	vijayA sOmyAMSu saMjQA JQH-_11.4a
   vijñeyā sahaṣaṇmukhe JñS_26.3d	vijQeyA sahazaNmuKe JQH-_26.3d
   vidyā śāntiś ca prakārāḥ JñS_11.22d	vidyA SAntiH ca prakArAH JQH-_11.22d
   vidyā śāntiḥ parāparaḥ JñS_9.4b	vidyA SAntiH parAparaH JQH-_9.4b
   vindum abhyantaraṃ trayaṃ JñS_26.11b	vindum aByantaram trayam JQH-_26.11b
   vindumūrtir nirakṣaraḥ JñS_10.15d	vindumUrtiH nirakzaraH JQH-_10.15d
   vindur nāde pralīyate JñS_18.12d	vinduH nAde pralIyate JQH-_18.12d
   vindur nāde pralīyate JñS_3.1d	vinduH nAde pralIyate JQH-_3.1d
   vinduś ca līyate nāda JñS_17.3c	vinduH ca lIyate nAda JQH-_17.3c
   vinduḥ saṃhṛtyā nādena JñS_17.2c	vinduH saMhRtyAH nAdena JQH-_17.2c
   vindoś candraḥ samudbhūtaḥ JñS_17.1c	vindoH candraH samudBUtaH JQH-_17.1c
   vindau candraś ca līyate JñS_17.3b	vindO candraH ca lIyate JQH-_17.3b
   vipātaḥ śūnyakevalaḥ JñS_21.1d	vipAtaH SUnya-kevalaH JQH-_21.1d
   viphalaḥ śūnyaḥ kevalaḥ GNP_49d	viPalaH SUnyaH kevalaH GNP_49d
   vimalatvād anāmayam Vṛh_8d	vimala-tvAt anAmayam VRh_8d
   vimalaṃ śāntarūpakam JñS_23.3b	vimalam SAnta-rUpakam JQH-_23.3b
   vimuktas tyaktasaṃsvano? GNP_49a	vimuktaH tyakta-saMsvano? GNP_49a
   vimuktaḥ tiktasaṃsthānād JñS_21.1a	vimuktaH tikta-saMsTAnAt JQH-_21.1a
   vimuktaḥ paramaśivaḥ JñS_20.4b	vimuktaH parama-SivaH JQH-_20.4b
   vimuktaḥ paramaḥ śivaḥ GNP_48b	vimuktaH paramaH SivaH GNP_48b
   viyoktrī retavāhinī JñS_11.16b	viyoktrI reta-vAhinI JQH-_11.16b
   virocanakaro nityaḥ Vṛh_12c	virocana-karaH nityaH VRh_12c
   viśvaḥ pralīyate candre GNP_27a	viSvaH pralIyate candre GNP_27a
   viṣayā bhogavat sukham Vṛh_35d	vizayAH Boga-vat suKam VRh_35d
   viṣayebhyaḥ prayatnataḥ JñS_15.2b	vizayeByaH prayatnataH JQH-_15.2b
   viṣayebhyaḥ prayatnataḥ Vṛh_54b	vizayeByaH prayatnataH VRh_54b
   viṣayebhyo hi yatnataḥ GNP_4b	vizayeByaH hi yatnatas GNP_4b
   viṣṇupi cetavuno? GNP_21d	vizNupi cetavuno? GNP_21d
   viṣṇuś caiva śivo brahmā JñS_26.15a	vizNuH ca-eva SivaH brahmA JQH-_26.15a
   vuṅkārākṣaravinduṣṭho JñS_12.27c	vuFkAra-akzara-vinduzWaH JQH-_12.27c
   vṛttis tu mādanātmikā JñS_11.4b	vRttiH tu mAdana-AtmikA JQH-_11.4b
   vṛddho vṛddhataraḥ smṛtaḥ JñS_27.3d	vRdDaH vRdDataraH smRtaH JQH-_27.3d
   vṛṣabho vā pitāmahaḥ MJ_16b	vRzaBaH vA pitAmahaH Mu-_16b
   vṛhaspatim uvāceti Vṛh_1c	vRhaspatim uvAca-iti VRh_1c
   vṛhaspatir iha kathyate Vṛh_50c	vRhaspatiH iha kaTyate VRh_50c
   vaitālaṃ ca hy upasthaś ca JñS_24.9b	vEtAlam ca hi upasTaH ca JQH-_24.9b
   vairāgyāt prakṛtau līnaḥ Vṛh_31a	vErAgyAt prakRtO lInaH VRh_31a
   vairāgyāditraye tattvaṃ JñS_19.7c	vErAgya-Adi-traye tattvam JQH-_19.7c
   vyaktaṃ ca prakṛtiṃ vidyād MJ_80a	vyaktam ca prakRtim vidyAt M=-_80a
   vyaktāvyaktaṃ parityajed JñS_8.7c	vyakta-avyaktam parityajet JQH-_8.7c
   vyaktāvyakte parityājye MJ_84c	vyakta-avyakte parityAjye M=-_84c
   vyānaḥ sarvāṅgasandhiṣu Vṛh_41d	vyAnaH sarva-aFga-sanDizu VRh_41d
   vyāno bhinnaḥ samākhyāto Vṛh_45a	vyAnaH BinnaH samAKyAtaH VRh_45a
   vyāno vyādhiprakopanaḥ Vṛh_45b	vyAnaH vyADi-prakopanaH VRh_45b
   vyāpakatvāc ca sarvagam Vṛh_9b	vyApaka-tvAt ca sarvagam VRh_9b
   vyāpi tiṣṭhati nityaśaḥ JñS_25.2d	vyApi tizWati nityaSas JQH-_25.2d
   vyāpī ca sarvadeheṣu JñS_12.29a	vyApI ca sarva-dehezu JQH-_12.29a
   vyāpto hi sarvvabhāveṣu MJ_1a	vyAptaH hi sarvu-aBAvezu M=-_1a
   vyāpnoti sarvatattveṣu Vṛh_6c	vyApnoti sarva-tattvezu VRh_6c
   vyomanirmalasannibham JñS_8.5d	vyoma-nirmala-sanniBam JQH-_8.5d
   vyo-ma-vyā-pi-ne-mātrakaḥ JñS_13.2d	vyo-ma-vyA-pi-ne--mAtrakaH JQH-_13.2d
   śakaṭaṃ viṣṇur ity uktaṃ MJ_16a	Sakawam vizNuH iti uktam M=-_16a
   śakaṭopamaṃ pradhānaṃ TJ_27a	Sakawa-upamam praDAnam Tu-_27a
   śakaṭopamaṃ pradhānaṃ Vṛh_34a	Sakawa-upamam praDAnam VRh_34a
   śaktivīryālokaśriyai GNP_1d	Sakti-vIrya-Aloka-SriyE GNP_1d
   śaktivīryālokaśriyai GNP_59c	Sakti-vIrya-Aloka-SriyE GNP_59c
   śaṅkhacakragadāhastaḥ MJ_50c	SaFKa-cakra-gadA-hastaH M=-_50c
   śaṅkhinī daśamā smṛtā Vṛh_38b	SaFKinI daSamA smRtA VRh_38b
   śataṃ tu vibhāgāḥ sṃṛtāḥ JñS_12.29d	Satam tu viBAgAH sMRtAH JQH-_12.29d
   śataṃ smaranti māṃ pare MJ_29b	Satam smaranti mAm pare Mu-_29b
   śabdaḥ sparśaś ca rūpañ ca Vṛh_64a	SabdaH sparSaH ca rUpan ca VRh_64a
   śabdādigandhaparyantaṃ JñS_11.3c	Sabda-Adi-ganDa-paryantam JQH-_11.3c
   śarīraṃ kuṇḍam ity uktaṃ JñS_10.2a	SarIram kuNxam iti uktam JQH-_10.2a
   śarīraṃ tasya vāgdagdhaṃ MJ_65c	SarIram tasya vAc-dagDam M=-_65c
   śarīraṃ nagaraṃ tathā MJ_8b	SarIram nagaram taTA M=-_8b
   śarīraṃ bhasmabhājanam JñS_25.11d	SarIram Basma-BAjanam JQH-_25.11d
   śarīraṃ bhasmam ityuktaṃ JñS_25.12a	SarIram Basmam iti-uktam JQH-_25.12a
   śarīraṃ sūkṣmam ucyate MJ_14d	SarIram sUkzmam ucyate M=-_14d
   śarīrāyatane divye GNP_18c	SarIra-Ayatane divye GNP_18c
   śarīrāyatane divye GNP_19c	SarIra-Ayatane divye GNP_19c
   śarīrāyatane divye JñS_16.10c	SarIra-Ayatane divye JQH-_16.10c
   śarīrāyatane divye JñS_16.9c	SarIra-Ayatane divye JQH-_16.9c
   śarīrāyatane divye MJ_56c	SarIra-Ayatane divye M=-_56c
   śarīrāyatane divye MJ_57c	SarIra-Ayatane divye M=-_57c
   śarīre ca cārācāram JñS_23.1d	SarIre ca cAra-AcAram JQH-_23.1d
   śarīre deśe kuṇḍasmin JñS_10.1c	SarIre deSe kuNxasmin JQH-_10.1c
   śarīre mama guhyakam JñS_26.2b	SarIre mama guhyakam JQH-_26.2b
   śarīre 'sti śarīreṣu JñS_12.23b	SarIre asti SarIrezu JQH-_12.23b
   śarīre 'smin śarīriṇām MJ_1b	SarIre asmin SarIriNAm M=-_1b
   śarvvo vṛṣabhavāhanaḥ MJ_51d	SarvvaH vRzaBa-vAhanaH Mu-_51d
   śāntena manasāhṛtya JñS_15.2c	SAntena manasA-AhRtya JQH-_15.2c
   śāntena manasāhṛtya Vṛh_54c	SAntena manasA-AhRtya VRh_54c
   śāntena manasoddhṛtya GNP_4c	SAntena manasA-udDRtya GNP_4c
   śirasi paraṃ kaivalyaṃ MJ_42c	Sirasi param kEvalyam M=-_42c
   śiromadhye nirañjanam? MJ_37d	SiraH-maDye niraQjanam? M=-_37d
   śilākhaṇḍaṃ ca lokānāṃ MJ_26c	SilA-KaNxam ca lokAnAm M=-_26c
   śilāliṅgasahasrāṇi JñS_16.4a	SilA-liFga-sahasrANi JQH-_16.4a
   śiva utpattir eva ca JñS_26.14b	SivaH utpattiH eva ca JQH-_26.14b
   śivakāraṇakāraṇam JñS_8.2b	Siva-kAraNa-kAraNam JQH-_8.2b
   śivajñānam anopamam JñS_8.1b	Siva-jQAnam anopamam JQH-_8.1b
   śivatattvam anuttamam Vṛh_1d	Siva-tattvam anuttamam VRh_1d
   śivatattvam idam uktaṃ Vṛh_10c	Siva-tattvam idam uktam VRh_10c
   śivatattvam paraṃ guhyaṃ JñS_8.1a	Siva-tattvam param guhyam JQH-_8.1a
   śivadvāre 'ntare bhruvaḥ JñS_12.15b	Siva-dvAre antare BruvaH JQH-_12.15b
   śi-va-na-ma-ya līnaṃ tu JñS_18.6c	Si-va-na-ma-ya lInam tu JQH-_18.6c
   śiva paramam ādṛtya Vṛh_51c	Siva paramam AdRtya VRh_51c
   śivapṛṣṭhā ca śrotre ca JñS_24.5c	Siva-pRzWA ca Srotre ca JQH-_24.5c
   śivabhāvād nirantaram JñS_9.5b	Siva-BAvAt nirantaram JQH-_9.5b
   śi-va-ma-na-ya ca sthitiḥ GNP_33b	Si-va-ma-na-ya ca sTitiH GNP_33b
   śivaliṅgasahasraṃ tu MJ_23a	Siva-liFga-sahasram tu M=-_23a
   śivaliṅgasahasrāṇi GNP_13a	Siva-liFga-sahasrANi GNP_13a
   śivaliṅgaṃ na tatsamam JñS_16.5d	Siva-liFgam na tad-samam JQH-_16.5d
   śivaliṅgaṃ mahottamaṃ GNP_15d	Siva-liFgam mahA-uttamam GNP_15d
   śivaliṅgaṃ mahottamaṃ JñS_16.6d	Siva-liFgam mahA-uttamam JQH-_16.6d
   śivaliṅgān na tatsamam GNP_14d	Siva-liFgAt na tad-samam GNP_14d
   śivaliṅgān na tatsamam MJ_24b	Siva-liFgAt na tad-samam M=-_24b
   śivalokam avāpnuyāt GNP_55d	Siva-lokam avApnuyAt GNP_55d
   śivaś cintāmaṇir yathā Vṛh_65d	SivaH cintAmaNiH yaTA VRh_65d
   śivas tiṣṭhati nityataḥ GNP_22b	SivaH tizWati nityataH GNP_22b
   śivasya ramate tatre MJ_33c	Sivasya ramate tatre M=-_33c
   śivaḥ tiṣṭhati nityaśaḥ JñS_16.13b	SivaH tizWati nityaSas JQH-_16.13b
   śivāṅgapranavo jñeyaḥ JñS_12.6a	Siva-aFga-pranavaH jQeyaH JQH-_12.6a
   śivāṅgaṃ cāṃṛtaṃ tathā JñS_12.1d	Siva-aFgam ca-aMRtam taTA JQH-_12.1d
   śivād utpadyate cātmā GNP_28a	SivAt utpadyate ca-AtmA GNP_28a
   śivād utpadyate cātmā JñS_18.1a	SivAt utpadyate ca-AtmA JQH-_18.1a
   śive cātmā pralīyate GNP_30d	Sive ca-AtmA pralIyate GNP_30d
   śive cātmā pralīyate JñS_18.3d	Sive ca-AtmA pralIyate JQH-_18.3d
   śivena parameśinā Vṛh_14b	Sivena parameSinA VRh_14b
   śivena paribhāṣitāḥ Vṛh_40d	Sivena pariBAzitAH VRh_40d
   śivo brahmā hariś caiva JñS_26.16a	SivaH brahmA hariH ca-eva JQH-_26.16a
   śivo vā ? samudāhṛtaḥ MJ_55b	SivaH vA ? samudAhRtaH M=-_55b
   śivo vīje mukhe cāgniḥ JñS_25.7a	SivaH vIje muKe ca-agniH JQH-_25.7a
   śiṣyānugrahabodhane MJ_85c	Sizya-anugraha-boDane M=-_85c
   śīlaṃ yajñas tapo dānaṃ Vṛh_25a	SIlam yajQaH tapaH dAnam VRh_25a
   śīlākaṣṭhaṃ ca lokanāṃ JñS_16.7c	SIlA-kazWam ca lokanAm JQH-_16.7c
   śīlākhaṇḍaṃ ca lokānāṃ GNP_16c	SIlAKaNxam ca lokAnAm GNP_16c
   śukra ārānta sakāśaś JñS_12.16c	SukraH ArAnta sakASaH JQH-_12.16c
   śukramūtre hy adhovāyur Vṛh_42a	Sukra-mUtre hi aDovAyuH VRh_42a
   śuklavarṇṇaṃ bhavej jāgrat MJ_44a	Sukla-varNNam Bavet jAgrat M=-_44a
   śuddhajñānāc ca mokṣaṇam GNP_44b	SudDa-jQAnAt ca mokzaNam GNP_44b
   śuddhapūrṇaśarīriṇam GNP_57d	SudDa-pUrNa-SarIriNam GNP_57d
   śuddham eva viśiṣyate JñS_8.9d	SudDam eva viSizyate JQH-_8.9d
   śuddhasūkṣmasvayambhogi JñS_19.6a	SudDa-sUkzma-svayamBogi JQH-_19.6a
   śuddhaḥ sūkṣmaś cāyaṃ yogī GNP_44a	SudDaH sUkzmaH ca-ayam yogI GNP_44a
   śudhajñānaṃ ca mokṣaṇam JñS_19.6b	SuDa-jQAnam ca mokzaNam JQH-_19.6b
   śūddhacittam anupamam JñS_10.3c	SUdDa-cittam anupamam JQH-_10.3c
   śūdram indriyam ity āhur Vṛh_35c	SUdram indriyam iti AhuH VRh_35c
   śūnyac cātyantaśūnyaṃ ca JñS_16.14c	SUnyat ca-atyanta-SUnyam ca JQH-_16.14c
   śūnyam eva tu jāyate JñS_17.4b	SUnyam eva tu jAyate JQH-_17.4b
   śūnyam eva tu jāyate JñS_3.2b	SUnyam eva tu jAyate JQH-_3.2b
   śūnyam eva paraṃ khyātaṃ GNP_48c	SUnyam eva param KyAtam GNP_48c
   śūnyam eva paraṃ khyātaṃ JñS_20.4c	SUnyam eva param KyAtam JQH-_20.4c
   śūnyam evaṃ tu jāyate GNP_52b	SUnyam evam tu jAyate GNP_52b
