   [I. dānapāramitā]	[I. dAna pAramitA]
   bodhi cittam utpādayati + idaṃ prathamaṃ kāraṇaṃ bodhi citta utpādāya |	boDi  cittam utpAdayati + idam praTamam kAraNam boDi  citta  utpAdAya |
   saṃbodher vā bodhi cittasya vā varṇaṃ bhāṣyamāṇaṃ śrutvā + an uttarāyāṃ	saMboDeH vA boDi  cittasya vA varNam BAzyamANam SrutvA + an uttarAyAm
   samyak saṃbodhau cittam utpādayati + idaṃ dvitīyaṃ kāraṇaṃ | sa satvā ...	samyak  saMboDO cittam utpAdayati + idam dvitIyam kAraNam | sa satvAH ...
   n a śaraṇān a dvīpān dṛṣṭvā kāruṇya cittam upasthāpya yāvad an uttarāyāṃ	n a SaraNAn a dvIpAn dRzwvA kAruNya  cittam upasTApya yAvat an uttarAyAm
   samyak sambodhau cittam utpādayati + idaṃ tṛtīyaṃ kāraṇaṃ	samyak  samboDO cittam utpAdayati + idam tRtIyam kAraNam
   bodhi citta utpādāya | sa tathā gatasya sarva ākāra paripūrṇatāṃ dṛṣṭvā	boDi  citta  utpAdAya | sa taTA gatasya sarva  AkAra  paripUrNa tAm dRzwvA
   prītim utpādya an uttarāyāṃ samyak saṃbodhau cittam utpādayati + idaṃ	prItim utpAdya an uttarAyAm samyak  saMboDO cittam utpAdayati + idam
   caturthaṃ kāraṇam iti | tac ca bodhi cittaṃ dvi vidhaṃ	caturTam kAraNam iti | tat ca boDi  cittam dvi viDam
   bodhi praṇidhi cittaṃ ca bodhi prasthāna cittaṃ ca | yathā +	boDi  praNiDi  cittam ca boDi  prasTAna cittam ca | yaTA +
   ārya gaṇḍa vyūha sūtre bhāṣitaṃ | dur labhāḥ kula putra te satvāḥ	Arya gaNxa vyUha sUtre BAzitam | dur laBAH kula putra te satvAH
   sarva loke ye * an uttarasyāṃ samyak saṃbodhau cittaṃ praṇidadhati | tato	sarva loke ye * an uttarasyAm samyak  saMboDO cittam praNidaDati | tatas 
   * api dur labhatamās te satvā ye * an uttarāṃ samyak saṃbodhim	* api dur laBatamAH te satvAH ye * an uttarAm samyak  saMboDim
   abhisaṃprasthitā iti | tatra bodhi praṇidhi cittaṃ | mayā buddhena	aBisaMprasTitAH iti | tatra boDi  praNiDi cittam | mayA budDena
   bhavitavyam iti cittaṃ praṇidhānād utpannaṃ bhavati | śūraṅgama sūtre *	Bavitavyam iti cittam praNiDAnAt utpannam Bavati | SUraFga ma sUtre *
   api | śāṭhya utpāditasya + api bodhi cittasya buddhatva hetutva abhidhānāt	api | SAWya  utpAditasya + api boDi  cittasya budDa tva  hetu tva  aBiDAnAt
   | kaḥ punar vādaḥ kiñ cid eva kuśalaṃ kṛtvā | yathā + uktaṃ	| kaH punar vAdaH kiQ cid eva kuSalam kRtvA | yaTA + uktam
   bhadra kalpika sūtre | ghoṣadatto nāma tathā gato yatra nakṣatrarājena	Badra  kalpika sUtre | GozadattaH nAma taTA a gataH yatra nakzatra rAjena
   tathā gatena prathamaṃ bodhi cittam utpāditaṃ tāmbūla patraṃ dattvā	taTA a gatena praTamam boDi  cittam utpAditam tAmbUla  patram dattvA
   gopālaka bhūtena | evaṃ vidyutpradīpo nāma tathāgato yatra yaśasā	gopAlaka BUtena | evam vidyutpradIpaH nAma taTAgataH yatra yaSasA
   tathāgatena prathamaṃ bodhi cittam utpāditaṃ daśikāṃ dattvā	taTAgatena praTamam boDi  cittam utpAditam daSikAm dattvA
   tantra vāya bhūtena | evam anantaprabho nāma tathā gato yatra + arciṣmatā	tantra vAya  BUtena | evam anantapraBaH nAma taTA a gataH yatra + arcizmatA
   tathā gatena prathamaṃ bodhi cittam utpāditaṃ tṛṇa pradīpaṃ dattvā	taTA a gatena praTamam boDi  cittam utpAditam tRNa  pradIpam dattvA
   nagara avalambaka bhūtena | evaṃ dṛḍhavikramo nāma tathā gato yatra	nagara  avalambaka BUtena | evam dRXavikramaH nAma taTA a gataH yatra
   duṣpradharṣeṇa tathā gatena prathamaṃ bodhicittam utpāditaṃ datta kāṣṭhaṃ	duzpraDarzeNa taTA  gatena praTamam boDi cittam utpAditam datta kAzWam
   dattvā kāṣṭha hāraka bhūtena + ity ādi ||	dattvA kAzWa hAraka BUtena + iti Adi ||
   caryā a vikale * api ca bodhi citte na + avamanyatā karttavyā | tasya +	caryA  a vikale * api ca boDi  citte na + avamanyatA karttavyA | tasya +
   apy an anta saṃsāra sukha prasavanatvāt | yathā + ārya maitreya vimokṣe	api an anta  saMsAra  suKa  prasavana tvAt | yaTA + Arya mEtreya  vimokze
   varṇitaṃ | tad yathā + api nāma kula putra cittam api vajra ratnaṃ	varNitam | tat yaTA + api nAma kula putra cittam api vajra ratnam
   sarva prativiśiṣṭaṃ suvarṇa alaṃ kāram abhibhavati | vajra ratna nāma ca	sarva prativiSizwam suvarNa alaM kAram aBiBavati | vajra ratna  nAma ca
   na vijahāti | sarva dāridryaṃ vinivarttayati | evam eva kula putra +	na vijahAti | sarva  dAridryam vinivarttayati | evam eva kula putra +
   āśaya pratipatti bhinnam api sarva jñatā citta utpāda vajra ratnaṃ	ASaya  pratipatti Binnam api sarva  jQa tA  citta  utpAda  vajra  ratnam
   sarva śrāvaka praty eka buddha guṇa suvarṇa alaṃ kāram abhibhavati	sarva  SrAvaka  praty eka  budDa guNa  suvarNa  alaM kAram aBiBavati
   bodhi sattva nāma ca na vijahāti | sarva saṃsāra dāridryaṃ vinivarttayati	boDi  sattva  nAma ca na vijahAti | sarva saMsAra  dAridryam vinivarttayati
   + iti | itaś ca vinā + api caryayā bodhi cittam upakārakam iti jñātavyaṃ |	+ iti | itas ca vinA + api caryayA boDi  cittam upakArakam iti jQAtavyam |
   yena + a para rāja avavādaka sūtre kathitaṃ | yasmāc ca tvaṃ mahā rāja	yena + a para rAja  avavAdaka sUtre kaTitam | yasmAt ca tvam mahA  rAja
   bahu kṛtyo bahu karaṇīyaḥ | a sahaḥ sarveṇa sarvaḥ sarvathā sarvaṃ sarvadā	bahu kRtyaH bahu karaNIyaH | a sahaH sarveNa sarvaH sarvaTA sarvam sarvadA
   dāna pāramitāyāṃ śikṣituṃ | evaṃ yāvat prajñā pāramitāyāṃ śikṣituṃ |	dAna  pAramitAyAm Sikzitum | evam yAvat prajQA  pAramitAyAm Sikzitum |
   tasmāt tarhi tvaṃ mahā rāja evam eva samyak sambodhi chandaṃ śraddhāṃ tra	tasmAt tarhi tvam mahA rAjaH evam eva samyak  samboDi  Candam SradDAm tra
   ... praṇidhiṃ ca gacchann api tiṣṭhann api niṣaṇṇo * api śayāno * api	... praNiDim ca gacCan api tizWan api nizaNNaH * api SayAnaH * api
   jāgrad api bhuñjāno * api | pivann api | satata samitam anusmara |	jAgrat api BuQjAnaH * api | pivan api | satata  samitam anusmara |
   manasi kuru bhāvaya |	manasi kuru BAvaya |
   sarva buddha bodhi satva praty eka buddha ārya śrāvaka pṛthag j anānām	sarva budDa  boDi  satva  praty eka  budDa  Arya  SrAvaka  pRTag t anAnAm
   ātmanaś ca + atīta an āgata pratyutpannāni sarva kuśala mūlāny	AtmanaH ca + atIta an A gata  pratyutpannAni sarva kuSala mUlAni 
   abhisaṃkṣipya tulayitvā piṇḍayitvā + anumodasva + agrayā anumodanayā yāvad	aBisaMkzipya tulayitvA piNxayitvA + anumodasva + agrayA anumodanayA yAvat 
   ākāśa samatayā nirvāṇa samatayā + anumodasva + anumodya ca	AkASa  samatayA nirvANa  samatayA + anumodasva + anumodya ca
   sarva buddha bodhi satva praty eka buddha ārya śrāvakāṇāṃ pūjā karmaṇe	sarva budDa  boDi  satva  praty eka  budDa  Arya  SrAvakANAm pUjA  karmaNe
   niryātaya | niryātya ca sarva satva sādhāraṇāni kuru | tataḥ	niryAtaya | niryAtya ca sarva satva  sADAraNAni kuru | tatas 
   sarva satvānāṃ yāvat sarva jñāta pratilambhāya	sarva  satvAnAm yAvat sarva jQAta  pratilamBAya
   sarva buddha dharma paripūraṇāya dine dine traikālyam an uttarāyāṃ	sarva  budDa  Darma  paripUraNAya dine dine trEkAlyam an uttarAyAm
   samyak saṃbodhau pariṇāmaya evaṃ khalu tvaṃ mahā rāja pratipannaḥ san	samyak  saMboDO pariNAmayaH evam Kalu tvam mahA  rAja pratipannaH san
   rājyaṃ kārayiṣyasi rājya kṛtyāni ca na hāyayiṣyasi bodhi saṃbhārāṃś ca	rAjyam kArayizyasi rAjya  kRtyAni ca na hAyayizyasi boDi  saMBArAn ca
   pari pūrayiṣyasi + iti ||	pari pUrayizyasi + iti ||
   atra + eva ca + asya vipāka uktaḥ | sa khalu punas tvaṃ mahā rāja tasya	atra + eva ca + asya vipAkaH uktaH | sa Kalu punar tvam mahA  rAja tasya
   samyak saṃbodhi citta kuśala mūla karmaṇo vipākena + an eka śata kṛtvo	samyak  saMboDi  citta  kuSala  mUla karmaNaH vipAkena + an eka Sata kRtvA u
   deveṣu + upapanno * abhūḥ | an eka śata kṛtvo manuṣyeṣu + upapanno * abhūḥ	devezu + upapannaH * aBUH | an eka Sata kRtvas manuzyezu + upapannaH * aBUH
   | sarvāsu ca deva manuṣya upapattiṣv ādhipatyam eva kārayasi | na ca tāvat	| sarvAsu ca deva  manuzya  upapattizu ADipatyam eva kArayasi | na ca tAvat 
   tava mahā rāja tasya samyak saṃbodhi cittasya kuśala karmaṇa ūnatvaṃ vā +	tava mahA  rAja tasya samyak  saMboDi  cittasya kuSala karmaNaH Una tvam vA +
   a pūrṇatvaṃ vā prajñāyate | api ca mahā rāja ekam api	a pUrNa tvam vA prajQAyate | api ca mahA  rAjaH ekam api
   samyak saṃbodhi cittaṃ sarva sattva uttāraṇa ārambaṇatvāt	samyak  saMboDi  cittam sarva  sattva  uttAraNa ArambaNa tvAt
   sarva satva āmocana ārambaṇatvāt sarva satva samāśvāsana ārambaṇatvāt	sarva  satva  Amocana ArambaNa tvAt sarva satva  samASvAsana ArambaNa tvAt
   sarva satva parinirvāṇa ārambaṇatvād a prameya a saṃkhyeya kuśala upacayam	sarva  satva  parinirvANa  ArambaNa tvAt a prameya  a  saMKyeya  kuSala  upacayam
   | kaḥ punar vādo ya evaṃ bahulī karoti + iti ||	| kaH punar vAdaH yaH evam bahulI karoti + iti ||
   etac ca bodhi cittaṃ rūpa kāya darśana utpannaṃ | tatra pūrva avadāne	etat ca boDi  cittam rUpa kAya  darSana  utpannam | tatra pUrva  avadAne
   paṭhyate | evaṃ tāvat praṇidhi bodhi cittaṃ veditavyaṃ | idaṃ tu vaktavyaṃ	paWyate | evam tAvat praNiDi  boDi  cittam veditavyam | idam tu vaktavyam
   kim a bhūmi praviṣṭhasya + api bodhi satva samvara adhikāro * asti na vā +	kim a BUmi  pravizWasya + api boDi  satva  samvara  aDikAraH * asti na vA +
   iti | asti + iti veditavyaṃ ākāśa garbha sūtre lābha sat kāra arthaṃ	iti | asti + iti veditavyam AkASa garBa sUtre lABa sat kAra  arTam
   mūla āpatti śravaṇāt | daśa bhūmika sūtre tu prathamāyāṃ bhūmau darśitaṃ |	mUla  Apatti SravaNAt | daSa BUmika sUtre tu praTamAyAm BUmO darSitam |
   na ca kañ cit sat kārāṃ kasya cit sakāśāt pratikāṃkṣaty anyatra mayā + eva	na ca kaQ cid sat kArAm kasya cid sakASAt pratikAMkzati anyatra mayA + eva
   + eṣāṃ sarva satvānāṃ sarva upakaraṇa bāhulyam upanāmayitavyam iti | tathā	+ ezAm sarva satvAnAm sarva  upakaraNa  bAhulyam upanAmayitavyam iti | taTA
   ca + āha | pramuditāyāṃ bodhi satva bhūmau su vyavasthito bhavaty	ca + Aha | pramuditAyAm boDi  satva  BUmO su vyavasTitaH Bavati 
   a calana yoge ... ti | punaś ca + uktaṃ | tathā gata vaṃśa niyato bhavati	a cala na  yoge ... ti | punar ca + uktam | taTA a  gata vaMSa  niyataH Bavati
   saṃbodhi parāyaṇa iti | ākāśa garbha sūtre tv āha | śrāvaka yānam eva +	saMboDi  parAyaNaH iti | AkASa garBa sUtre tu Aha | SrAvaka  yAnam eva +
   asya na bhavati prāg eva mahā yānam iti | tathā + ārya ugra paripṛcchāyāṃ	asya na Bavati prAk eva mahA yAnam iti | taTA + Arya  ugra  paripRcCAyAm
   mātsarya paryavanaddhasya + api śikṣā padāni prajñaptāni | pramuditāyāṃ tu	mAtsarya  paryavanadDasya + api SikzA  padAni prajQaptAni | pramuditAyAm tu
   paṭhyate | ātma saṃjñā apagamāc ca + asya + ātma sneho na bhavati | kutaḥ	paWyate | Atma  saMjQA a apagamAt ca + asya + Atma snehaH na Bavati | kutas 
   | punaḥ sarva upakaraṇa sneha iti | tathā mastaka ādi dānam apy atra +	| punar sarva  upakaraNa snehaH iti | taTA mastaka a Adi  dAnam api atra +
   asya + uktaṃ ||	asya + uktam ||
   evam ādi sūtreṣu bhūmi praviṣṭasya + api śikṣā prajñaptir dṛśyate | yatra	evam Adi sUtrezu BUmi  pravizwasya + api SikzA  prajQaptiH dRSyate | yatra
   vā + a sāmānyena bodhi satvam adhikṛtya + upadeśas tatra +	vA + a sAmAnyena boDi  satvam aDikRtya + upadeSaH tatra +
   abhyāsa yogyatayā pratiṣedha vākyena vā + ādi karmika bodhi satvena na	aByAsa  yogya tayA pratizeDa  vAkyena vA + Adi karmika  boDi  satvena na
   śikṣitavyaṃ bhaved etat | ubhaya a saṃbhave tu sarvatra śikṣitavyaṃ |	Sikzitavyam Bavet etat | uBaya  a  saMBave tu sarvatra Sikzitavyam |
   tatra + apy ekasyāṃ śikṣāyāṃ śikṣaṇāyām a śaktasya +	tatra + api ekasyAm SikzAyAm SikzaNAyAm a Saktasya +
   itara śikṣā an abhyāsādana āpattiḥ ||	itara  SikzA an aByAsAdana ApattiH ||
   ārya akṣayamati sūtre * apy evam avocat | dāna kāle śīla upasaṃhārasya +	Arya  akzayam ati sUtre * api evam avocat | dAna  kAle SIla  upasaMhArasya +
   apekṣā + iti vistaraḥ | na ca + atra śithilena bhavitavyaṃ na ca śeṣāsu na	apekzA + iti vistaraH | na ca + atra SiTilena Bavitavyam na ca SezAsu na
   samudāgacchati | yathā balaṃ yathā bhajamānam iti daśa bhūmika sūtre	samudAgacCati | yaTA balam yaTA BajamAnam iti daSa BUmika sUtre
   vacanāt | ayaṃ ca saṃvaraḥ strīṇām api mṛdu kleśānāṃ	vacanAt | ayam ca saMvaraH strINAm api mRdu kleSAnAm
   bodhy abhilāṣa cittānāṃ labhyate | uktaṃ hi bodhi satva prātimokṣe |	boDy aBilAza  cittAnAm laByate | uktam hi boDi  satva  prAtimokze |
   caturbhiḥ śāriputra dharmaiḥ samanvāgatāḥ bodhi satvāḥ satya vādino	caturBiH SAriputra DarmEH samanvAgatAH boDi  satvAH satya  vAdinaH 
   bhavanti + ity ārabhya + āha | iha śāriputra kula putro vā kula duhitā vā	Bavanti + iti AraBya + Aha | iha SAriputra kula  putraH vA kula  duhitA vA
   + an uttarāyāṃ samyak saṃbodhau cittam utpādya + ārabdha vīryo viharati	+ an uttarAyAm samyak  saMboDO cittam utpAdya + ArabDa  vIryaH viharati
   kuśala dharma paryeṣaṇāya + ity ārabhya sarva upadeśaḥ ||	kuSala  Darma  paryezaNAya + iti AraBya sarve upadeSaH ||
   saṃvara grahaṇaṃ ca bodhi satva śikṣā pada abhyāsa paramasya sāṃvarikasya	saMvara  grahaNam ca boDi  satva  SikzA  pada  aByAsa  paramasya sAMvarikasya
   + antikāt kartavyaṃ | evaṃ hy asya śikṣā atikrame tīvram apatrāpyaṃ	+ antikAt kartavyam | evam hi asya SikzA atikrame tIvram apatrApyam
   guru visaṃvādana bhayaṃ ca + utpadyate | tatra ca + an ābhogataḥ	guru visaMvAdana  Bayam ca + utpadyate | tatra ca + an A BogataH
   prema gaurava siddhir ity eṣa sāmānya saṃvara dharmaḥ | ata eva	prema  gOrava  sidDiH iti eza sAmAnya  saMvara  DarmaH | atas eva
   bodhi satvāḥ tathā gatānāṃ purataḥ śikṣāṇām anyatama śikṣā niṣpatti kāmāḥ	boDi  satvAH taTA a  gatAnAm puratas SikzANAm anyatama  SikzA  nizpatti  kAmAH
   samādānaṃ kurvanti | tasya ca kalyāṇa mitrasya + a bhāve	samAdAnam kurvanti | tasya ca kalyANa mitrasya + a BAve
   daśa dig avasthita buddha bodhi satva abhimukhī bhāva bhāvanayā saṃvaro	daSa diS  ava sTita  budDa  boDi  satva  aBimuKI  BAva  BAvanayA saMvaraH 
   grāhyaḥ saṃvaram ātma balaṃ ca tulayitvā | anyathā tu	grAhyaH saMvaram Atma balam ca tulayitvA | anyaTA tu
   sarva buddha bodhi satvāḥ sa devakaś ca loko visaṃvāditaḥ syāt |	sarva budDa  boDi  satvAH sa devakaH ca lokaH visaMvAditaH syAt |
   sad dharma smṛty upasthāna sūtre hi kiñ cin mātraṃ cintayitvā + apy	sad Darma  smRti  upasTAna  sUtre hi kiQ cid mAtram cintayitvA + api 
   a dadataḥ preta gatir uktā pratijñātaṃ ca + a dadato naraka gatiḥ | kiṃ	a dadataH preta gatiH uktA pratijQAtam ca + a dadataH naraka gatiH | kim
   punar an uttaram artham a khilasya jagataḥ pratijñāya + a saṃpādayataḥ |	punar an uttaram arTam a Kilasya jagataH pratijQAya + a saMpAdayataH |
   ata eva + uktaṃ dharma saṃgīti sūtre | satya gurukeṇa kula putra	atas eva + uktam Darma saMgIti  sUtre | satya gurukeNa kula putra
   bodhi satvena bhavitavyaṃ | satya saṃgītiḥ kula putra dharma saṃgītiḥ |	boDi  satvena Bavitavyam | satya  saMgItiH kula putra Darma saMgItiH |
   tatra kula putra katamat satyaṃ yad bodhi satvo * an uttarāyāṃ	tatra kula putra katamat satyam yat boDi  satvaH * an uttarAyAm
   samyak saṃbodhau cittam utpādya tac cittaṃ jīvita hetor api na parityajati	samyak  saMboDO cittam utpAdya tat cittam jIvita  hetoH api na parityajati
   na satveṣu vipratipadyate | idaṃ bodhi satvasya satyaṃ ||	na satvezu vipratipadyate | idam boDi  satvasya satyam ||
   yat punar bodhi satvo * an uttarāyāṃ samyak saṃbodhau cittam utpādya	yat punar boDi  satvaH * an uttarAyAm samyak  saMboDO cittam utpAdya
   paścāt tac cittaṃ parityajati satveṣu vipratipadyate * ayaṃ bodhi satvasya	paScAt tat cittam parityajati satvezu vipratipadyate * ayam boDi  satvasya
   pratikṛṣṭo mṛṣā vāda iti | ārya sāgaramati sūtre * api deśitaṃ | syād	pratikRzwaH mRzA vAdaH iti | Arya  sAgaram ati sUtre * api deSitam | syAt 
   yathā + api nāma sāgaramate rājā vā rāja mātro vā sarvaṃ nāgarakaṃ janaṃ	yaTA + api nAma sAgara mate rAjA vA rAja  mAtraH vA sarvam nAgarakam janam
   śvo bhaktena + upanimantrya + upekṣako bhaven na + anna pānaṃ samudānayet	Svas Baktena + upanimantrya + upekzakaH Bavet na + anna pAnam samudAnayet 
   satyaṃ sarva jana kāyaṃ visaṃvādayet | tatra te * anna pāna bhojanam	satyam sarva  jana  kAyam visaMvAdayet | tatra te * anna  pAna  Bojanam
   a labhamānā uccagghantaḥ prakrāmeyuḥ | evam eva sāgaramate yo bodhi satvaḥ	a laBamAnAH uccaghantaH prakrAmeyuH | evam eva sAgara mate yaH boDi  satvaH
   sarva satvān āśvāsya + a tīrṇa tāraṇāya + a mukta mocanāya +	sarva  satvAn ASvAsya + a tIrNa tAraNAya + a mukta  mocanAya +
   an āśvasta āśvāsanāya yāvan na bāhuśrutye * abhiyogaṃ karoti na + api tato	an A Svasta ASvAsanAya yAvat na bAhu Srutye * aBiyogam karoti na + api tatas 
   * anyeṣu bodhi pakṣya kuśala mūleṣu dharmeṣu | ayaṃ bodhi satvo	* anyezu boDi pakzya  kuSala mUlezu Darmezu | ayam boDi  satvaH 
   visaṃvādayati sa devakaṃ lokaṃ | evaṃ ca taṃ pūrva buddha darśinyo devatā	visaMvAdayati sa devakam lokam | evam ca tam pUrva  budDa darSinyaH devatA
   uccagghanti vivādayanti | dur labhās te yajña svāmino ye mahā yajñaṃ	uccagGanti vivAdayanti | dur laBAH te yajQa svAminaH ye mahA yajQam
   pratijñāya + uttārayanti | tasmāt tarhi sāgaramate na sā bodhi satvena vāg	pratijQAya + uttArayanti | tasmAt tarhi sAgara mate na sA boDi  satvena vAc 
   bhāṣitavyā yayā sa deva mānuṣa asuraṃ lokaṃ visaṃvādayet ||	BAzitavyA yayA sa deva  mAnuza  asuram lokam visaMvAdayet ||
   punar a paraṃ sāgaramate bodhi satvaḥ kena cid eva + adhīṣṭo bhavati	punar a param sAgara mate boDi  satvaH kena cid eva + aDIzwaH Bavati
   dharmeṣv artha karaṇīyeṣu | tatra bodhi satvena vāg bhāṣitā bhavati yāvad	Darmezu arTa karaNIyezu | tatra boDi  satvena vAc BAzitA Bavati yAvat 
   ātma parityāgo * api bodhi satvena kartavyo bhavet tatra na punaḥ sa satvo	Atma  parityAgaH * api boDi  satvena kartavyaH Bavet tatra na punar sa satvaH 
   visaṃvādayitavya iti | tasmāt sva bala anurūpeṇa + ekam api kuśala mūlaṃ	visaMvAdayitavyaH iti | tasmAt sva  bala  anurUpeNa + ekam api kuSala  mUlam
   samādāya rakṣitavyaṃ | yathā + uktam ārya kṣitigarbha sūtre | ebhir	samAdAya rakzitavyam | yaTA + uktam Arya  kziti garBa sUtre | eBiH 
   daśabhiḥ kuśalaiḥ karma pathair buddhatvaṃ | na punar yo * antaśa ekam api	daSaBiH kuSalEH karma paTEH budDa tvam | na punar yaH * antaSas ekam api
   yāvaj jīvaṃ kuśalaṃ karma pathaṃ na rakṣati atha ca punar evaṃ vadati |	yAvaj jIvam kuSalam karma paTam na rakzati aTa ca punar evam vadati |
   ahaṃ mahā yāniko * ahaṃ ca + an uttarāṃ samyak saṃbodhiṃ paryeṣāmi + iti |	aham mahA yAnikaH * aham ca + an uttarAm samyak  saMboDim paryezAmi + iti |
   sa pudgalaḥ parama kuhako mahā mṛṣā vādikaḥ sarveṣāṃ buddhānāṃ bhagavatāṃ	sa pudgalaH parama  kuhakaH mahA  mRzA a vAdikaH sarvezAm budDAnAm BagavatAm
   purato visaṃvādako lokasya + uccheda vādī sa mūḍhaḥ kālaṃ kurute	puratas visaMvAdakaH lokasya + ucCeda  vAdI sa mUXaH kAlam kurute
   vinipāta gāmī bhavati + iti | yāvat kālaṃ ca śaknoti tāvat kālaṃ kuśalaṃ	vinipAta  gAmI Bavati + iti | yAvat kAlam ca Saknoti tAvat kAlam kuSalam
   samādāya vartitavyaṃ ||	samAdAya vartitavyam ||
   etac ca bhaiṣajya guru vaiḍūrya prabha sūtre draṣṭavyaṃ | yas tu	etat ca BEzajya  guru  vExUrya  praBa sUtre drazwavyam | yaH tu
   mahā satva evaṃ śrutvā + api bodhi satva caryā duṣ karatām api prajñayā +	mahA  satvaH evam SrutvA + api boDi  satva  caryA  duz karatAm api prajQayA +
