   praśnopaniṣad	praSna-upanizad
   vaktavyaṃ ca, hastau cādātavyaṃ ca, upasthaścānandayitavyaṃ ca, pāyuśca	vaktavyam ca, hastO ca-AdAtavyam ca, upasTaH-ca-Anandayitavyam ca, pAyuH-ca
   visarjayitavyaṃ ca, pādau ca gantavyaṃ ca, buddhīndriyāṇi karmendriyāṇi	visarjayitavyam ca, pAdO ca gantavyam ca, budDIndriyANi karmendriyANi
   tathā coktāni, manaśca pūrvoktaṃ, mantavyaṃ ca tadviṣayaḥ, buddhiśca	taTA ca-uktAni, manaH-ca pUrva-uktaM, mantavyam ca tad-vizayaH, budDiH-ca
   niścayātmikā, boddhavyaṃ ca tadviṣayaḥ,	niScaya-AtmikA, bodDavyam ca tad-vizayaH,
   ahaṅkāraścābhimānalakṣaṇamantaḥkaraṇamahaṅkartavyaṃ ca tadviṣayaḥ, cittaṃ	ahaFkAraH-ca-aBimAna-lakzaNam-antaHkaraNam-ahaFkartavyam ca tad-vizayaH, cittam
   ca cetanāvadantaḥkaraṇam, cetayitavyaṃ ca tadviṣayaḥ, tejaśca	ca cetanAvat-antaHkaraNam, cetayitavyam ca tad-vizayaH, tejaH-ca
   tvagindriyavyatirekeṇa prakāśaviśiṣṭā yā tvaktayā nirbhāsyo viṣayo	tvac-indriya-vyatirekeNa prakASa-viSizwA yA tvac-tayA nirBAsyaH vizayaH-
   vidyotayitavyam, prāṇaśca sūtraṃ yadācakṣate tena vidhārayitavyaṃ	vidyotayitavyam, prANaH-ca sUtram yat-Acakzate tena viDArayitavyam
   saṃgrathanīyaṃ sarvaṃ hi kāryakaraṇajātaṃ pārārthyena saṃhataṃ	saMgraTanIyam sarvam hi kArya-karaNa-jAtam pArArTyena saMhatam
   nāmarūpātmakametāvadeva //8//	nAma-rUpa-Atmakam-etAvat-eva //8//
   athaḥ paraṃ yadātmarūpaṃ jalasūryakādivadbhoktṛtvakartṛtvena iha	aTaH param yat-Atma-rUpam jala-sUryaka-Adi-vat-BoktR-tva-kartR-tvena iha
   anupraviṣṭam -	anupravizwam -
   START PrUp 4.9	START PrUp 4.9
   eṣa hi draṣṭā spraṣṭā śrotā ghrātā rasayitā mantā boddhā kartā vijñānātmā	eza hi drazwA sprazwA SrotA GrAtA rasayitA mantA bodDA kartA vijQAna-AtmA
   puruṣaḥ |	puruzaH |
   sa pare 'kṣara ātmani saṃpratiṣṭhate || PrUp_4.9 ||	sa pare akzaraH Atmani saMpratizWate || PrUp_4.9 ||
   PrUpBh_4.9	PrUpB=-_4.9
   eṣa hi draṣṭā spraṣṭā śrotā ghrātā rasayitā mantā boddhā kartā vijñānātmā	eza hi drazwA sprazwA SrotA GrAtA rasayitA mantA bodDA kartA vijQAna-AtmA
   vijñānaṃ vijñāyate 'neneti karaṇabhūtaṃ buddhyādīdaṃ tu vijānātīti	vijQAnam vijQAyate anena-iti karaNa-BUtam budDi-Adi-idam tu vijAnAti-iti
   vijñānaṃ kartṛkārarūpaṃ tadātmā tatsvabhāvo vijñātṛsvabhāva ityarthaḥ /	vijQAnam kartR-kAra-rUpam tad-AtmA tad-svaBAvaH vijQAtR-svaBAvaH iti-arTaH /
   puruṣaḥ kāryakaraṇasaṃghātoktopādhipūrṇatvātpuruṣaḥ /	puruzaH kArya-karaNa-saMGAta-ukta-upADi-pUrNa-tvAt-puruzaH /
   sa ca jalasūryakādipratibimbasya sūryādipraveśavajjagadādhāraśeṣe pare	sa ca jala-sUryaka-Adi-pratibimbasya sUrya-Adi-praveSa-vat-jagat-ADAra-Seze pare
   'kṣi ātmani saṃpratiṣṭhate //9//	akzi Atmani saMpratizWate //9//
   tadekatvavidaḥ phalamāha -	tad-eka-tva-vidaH Palam-Aha -
   START PrUp 4.10	START PrUp 4.10
   param evākṣaraṃ pratipadyate |	param eva-akzaram pratipadyate |
   sa yo ha vai tadacchāyam aśarīram alohitaṃ śubhram akṣaraṃ vedayate yas tu	sa yaH ha vE tad-acCAyam aSarIram alohitam SuBram akzaram vedayate yaH tu
   somya |	somya |
   sa sarvaḥ sarvo bhavati |	sa sarvaH sarvaH Bavati |
   tad eṣa ślokaḥ || PrUp_4.10 ||	tat eza SlokaH || PrUp_4.10 ||
   PrUpBh_4.10	PrUpB=-_4.10
   paramevākṣaraṃ vakṣyamāṇaviśeṣaṃ pratipadyata ityetaducyate /	param-eva-akzaram vakzyamANa-viSezam pratipadyate iti-etat-ucyate /
   sa yo ha vai tatsarvaiṣaṇāvinirmukto 'cchāyaṃ tamovarjitam, aśarīraṃ	sa yaH ha vE tad-sarva-ezaNA-vinirmuktaH acCAyam tamaH-varjitam, aSarIram
   nāmarūpasarvopādhiśarīravarjitam, alohitaṃ lohitādisarvaguṇavarjitam, yata	nAma-rUpa-sarva-upADi-SarIra-varjitam, alohitam lohita-Adi-sarva-guNa-varjitam, yata
   evamataḥ śubhraṃ śuddham, sarvaviśeṣaṇarahitatvādakṣaram, satyaṃ	evam-atas SuBram SudDam, sarva-viSezaNa-rahita-tvAt-akzaram, satyam
   puruṣākhyam, aprāṇam amanogocaram, śivaṃ śāntaṃ sabāhyābhyantaramajaṃ	puruza-AKyam, aprANam amanaH-gocaram, Sivam SAntam sa-bAhya-aByantaram-ajam
   vedayate vijānāti yastu sarvatyāgī somya sa sarvajño na tena viditaṃ	vedayate vijAnAti yaH-tu sarva-tyAgI somya sa sarvajQaH na tena viditam
   kiñcit sambhavati /	kiQcid samBavati /
   pūrvamavidyayā sarvajña āsītpunarvidyayāvidyāpanaye sarvo bhavati tadā /	pUrvam-avidyayA sarvajQaH AsIt-punar-vidyayA-avidyA-apanaye sarvaH Bavati tadA /
   tattasminnartha eṣa śloko mantro bhavati uktārthasaṃgrāhakaḥ //10//	tat-tasmin=-arTaH eza SlokaH mantraH Bavati ukta-arTa-saMgrAhakaH //10//
   START PrUp 4.11	START PrUp 4.11
   vijñānātmā saha devaiś ca sarvaiḥ prāṇā bhūtāni saṃpratiṣṭhanti yatra /	vijQAna-AtmA saha devEH ca sarvEH prANAH BUtAni saMpratizWanti yatra /
   tad akṣaraṃ vedayate yas tu somya sa sarvajñaḥ sarvam evāviveśeti //	tat akzaram vedayate yaH tu somya sa sarvajQaH sarvam eva-AviveSa-iti //
   PrUp_4.11 //	PrUp_4.11 //
   PrUpBh_4.11	PrUpB=-_4.11
   vijñānātmā saha devaiścāgnyādibhiḥ prāṇaścakṣurādayo bhūtāni pṛthivyādīni	vijQAna-AtmA saha devEH-ca-agni-AdiBiH prANaH-cakzuH-AdayaH BUtAni pRTivI-AdIni
   saṃpratiṣṭhanti praviśanti yatra yasminnakṣare tadakṣaraṃ vedayate yastu	saMpratizWanti praviSanti yatra yasmin=-akzare tat-akzaram vedayate yaH-tu
   somya priyadarśana sa sarvajñaḥ sarvameva āviveśāviśatītyarthaḥ //11//	somya priya-darSana sa sarvajQaH sarvam-eva AviveSa-AviSati-iti-arTaH //11//
   iti caturthaḥ praśnaḥ	iti caturTaH praSnaH
   pañcamaḥ praśnaḥ	paQcamaH praSnaH
   START PrUp 5.1	START PrUp 5.1
   atha hainaṃ śaibyaḥ satyakāmaḥ papraccha |	aTa ha-enam SEbyaH satyakAmaH papracCa |
   sa yo ha vai tad bhagavan manuṣyeṣu prāyaṇāntam oṃkāram abhidhyāyīta |	sa yaH ha vE tat Bagavat manuzyezu prAyaNa-antam oMkAram aBiDyAyIta |
   katamaṃ vāva sa tena lokaṃ jayatīti || PrUp_5.1 ||	katamam vAva sa tena lokam jayati-iti || PrUp_5.1 ||
   PrUpBh_5.1	PrUpB=-_5.1
   atha hainaṃ śaibyaḥ satyakāmaḥ papraccha - athedānīṃ	aTa ha-enam SEbyaH satyakAmaH papracCa  aTa-idAnIm
   parāparabrahmaprāptisādhanatvenoṅkārasyopāsanavidhitsayā praśna ārabhyate	parApara-brahma-prApti-sADana-tvena-uFkArasya-upAsana-viDitsayA praSne AraByate
   sa yaḥ kaścid vai bhagavan manuṣyeṣu manuṣyāṇāṃ madhye tad adbhutamiva	sa yaH kaScid vE Bagavat manuzyezu manuzyANAm maDye tat adButam-iva
   prāyaṇāntaṃ maraṇāntam, yāvajjīvamityetat, oṅkāramabhidhyāyītābhimukhyena	prAyaNa-antam maraNa-antam, yAvat-jIvam-iti-etat, oFkAram-aBiDyAyIta-aBimuKyena
   cintayet, bāhyaviṣayebhya upasaṃhṛtakaraṇaḥ samāhitacitto	cintayet, bAhya-vizayeByaH upasaMhRta-karaNaH samAhita-cittaH-
   bhaktyāveśitabrahmabhāva oṅkāre, ātmapratyayasantānāvicchedo	Bakti-AveSita-brahma-BAvaH oFkAre, Atma-pratyaya-santAna-avicCedaH-
   bhinnajātīyapratyayāntarākhilīkṛto nirvātasthadīpaśikhāsamo	Binna-jAtIya-pratyaya-antara-aKilIkRtaH nirvAta-sTa-dIpa-SiKA-samaH-
   'bhidhyānāśabdārthaḥ /	aBiDyAna-aSabda-arTaH /
   satyabrahmacaryāhiṃsāparigrahatyāgasaṃnyāsaśaucasantoṣāmāyāvitvādyanekayamaniyamānugṛhītaḥ	satya-brahmacarya-ahiMsA-parigraha-tyAga-saMnyAsa-SOca-santoza-AmAyAvi-tva-Adi-aneka-yama-niyama-anugRhItaH
   sa evaṃ yāvajjīvavratadhāraṇaḥ katamaṃ vāva, aneke hi	saH evam yAvat-jIva-vrata-DAraNaH katamam vAva, aneke hi
   jñānakarmabhirjetavyā lokāstiṣṭhanti teṣu tenoṅkārābhidhyānena katamaṃ sa	jQAna-karmaBiH-jetavyAH lokAH-tizWanti tezu tena-uFkAra-aBiDyAnena katamam sa
   lokaṃ jayati //1//	lokam jayati //1//
   START PrUp 5.2	START PrUp 5.2
   tasmai sa hovāca |	tasmE sa ha-uvAca |
   etad vai satyakāma paraṃ cāparaṃ ca brahma yad oṃkāraḥ |	etat vE satyakAma param ca-aparam ca brahma yat oMkAraH |
   tasmād vidvān etenaivāyatanenaikataram anveti || PrUp_5.2 ||	tasmAt vidvAn etena-eva-Ayatanena-ekataram anveti || PrUp_5.2 ||
   PrUpBh_5.2	PrUpB=-_5.2
   iti pṛṣṭavate tasmai sa hovāca pippalādaḥ etasmai satyakāma /	iti pRzwavate tasmE sa ha-uvAca pippalAdaH etasmE satyakAmaH /
   etadbrahma vai paraṃ cāparaṃ ca brahma paraṃ satyamakṣaraṃ	etat-brahma vE param ca-aparam ca brahma param satyam-akzaram
   puruṣākhyamaparaṃ ca prāṇākhyaṃ prathamajaṃ yattadoṅkāra	puruza-AKyam-aparam ca prANa-AKyam praTama-jam yat-tat-oFkAra
   evoṅkārātmakamoṅkārapratīkatvāt /	eva-uFkAra-Atmaka-m-oFkAra-pratIka-tvAt /
   paraṃ hi brahma śabdādyupalakṣaṇānarhaṃ sarvadharmaviśeṣavarjitamato na	param hi brahma Sabda-Adi-upalakzaNa-anarham sarva-Darma-viSeza-varjitam-atas na
   śakyamatīndriyagocaratvātkevalena manasāvagāhitum /	Sakyam-atIndriya-gocara-tvAt-kevalena manasA-avagAhitum /
   oṅkāre tu viṣṇvādipratimāsthānīye bhaktyāveśitabrahmabhāve dhyāyināṃ	oFkAre tu vizNu-Adi-pratimA-sTAnIye BaktyAveSita-brahma-BAve DyAyinAm
   tatprasīdati ityetadavagamyate śāstraprāmāṇyāt tathāparaṃ ca brahma /	tat-prasIdati iti-etat-avagamyate SAstra-prAmANyAt taTA-aparam ca brahma /
   tasmātparaṃ cāparaṃ ca brahma yadoṅkāra ityupacaryate /	tasmAt-param ca-aparam ca brahma yadA-uFkAraH iti-upacaryate /
   tasmādevaṃ vidvānetenaivātmaprāptisādhanenaivoṅkārābhidhyānena ekataraṃ	tasmAt-evam vidvAn-etena-eva-Atma-prApti-sADanena-eva-uFkAra-aBiDyAnena ekataram
   paramaparaṃ vānveti brahmānugacchati nediṣṭaṃ hyālambanamoṅkāro brahmaṇaḥ	parama-param vA-anveti brahma-anugacCati nedizwam hi-AlambanamoFkAraH brahmaNaH
   START PrUp 5.3	START PrUp 5.3
   sa yady ekamātram abhidhyāyīta |	sa yadi eka-mAtram aBiDyAyIta |
   sa tenaiva saṃveditas tūrṇam eva jagatyām abhisampadyate |	sa tena-eva saMveditaH tUrNam eva jagatyAm aBisampadyate |
   tam ṛco manuṣyalokam upanayante |	tam RcaH manuzya-lokam upanayante |
   sa tatra tapasā brahmacaryeṇa śraddhayā sampanno mahimānam anubhavati ||	sa tatra tapasA brahmacaryeNa SradDayA sampannaH mahimAnam anuBavati ||
   PrUp_5.3 ||	PrUp_5.3 ||
   PrUpBh_5.3	PrUpB=-_5.3
   sa yadyapyoṅkārasya sakalamātrāvibhāgajño na bhavati tathāpi	sa yadi-api-oFkArasya sakala-mAtrA-viBAga-jQaH na Bavati taTA-api
   oṅkārābhidhyānaprabhāvādviśiṣṭameva gatiṃ	oFkAra-aBiDyAna-praBAvAt-viSizwam-eva gatim
   gacchati;etadekadeśajñānavaiguṇyatayoṅkāraśaraṇaḥ karmajñānobhayabhraṣṭo	gacCati-;etat-eka-deSa-jQAna-vEguNyatayA-uFkAra-SaraNaH karma-jQAna-uBaya-BrazwaH-
   na durgatiṃ gacchati /	na durgatim gacCati /
   kiṃ tarhi?yadyapyevam oṅkāramevaikamātrāvibhāgajña eva kevalo	kim tarhi?yadi-api-evam oFkAram-eva-eka-mAtra-aviBAga-jQaH eva kevalaH-
   'bhidhyāyītaikamātraṃ sadā dhyāyīta sa tenaivaikamātra	aBiDyAyIta-eka-mAtram sadA DyAyIta sa tena-eva-eka-mAtra
   viśiṣṭoṅkārābhidhyānenaiva saṃveditaḥ sambodhitastūrṇaṃ kṣiprameva	viSizwa-uFkAra-aBiDyAnena-eva saMveditaH samboDitaH-tUrNam kzipram-eva
   jagatyāṃ pṛthivyāmabhisampadyate /	jagatyAm pRTivyAm-aBisampadyate /
   kiṃ manuṣyalokam /	kim manuzya-lokam /
   anekāni hi janmāni jagatyāṃ sambhavanti /	anekAni hi janmAni jagatyAm samBavanti /
   tatra taṃ sādhakaṃ jagatyāṃ manuṣyalokamevarca upanayanta upanigamayanti /	tatra tam sADakam jagatyAm manuzya-lokam-eva-RcaH upanayante upanigamayanti /
   tena sa tatra manuṣyajanmani dvijāgryaḥ saṃstapasā brahmacaryeṇa śraddhayā	tena sa tatra manuzya-janmani dvijAgryaH san=-tapasA brahmacaryeNa SradDayA
   ca saṃpanno mahimānaṃ vibhūtimanubhavati na vītaśraddho yatheṣṭaceṣṭo	ca saMpannaH mahimAnam viBUtim-anuBavati na vIta-SradDaH yaTezwa-cezwaH-
   bhavati yogabhraṣṭaḥ kadācidapi na durgatiṃ gacchati //3//	Bavati yoga-BrazwaH kadAcid-api na durgatim gacCati //3//
   START PrUp 5.4	START PrUp 5.4
   atha yadi dvimātreṇa manasi saṃpadyate |	aTa yadi dvi-mAtreNa manasi saMpadyate |
   so 'ntarīkṣaṃ yajurbhir unnīyate somalokam |	saH antarIkzam yajurBiH unnIyate soma-lokam |
   sa somaloke vibhūtim anubhūya punar āvartate || PrUp_5.4 ||	sa soma-loke viBUtim anuBUya punar Avartate || PrUp_5.4 ||
   PrUpBh_5.4	PrUpB=-_5.4
   atha punaryadi dvimātravibhāgajño dvimātreṇa viśiṣṭamoṅākāram abhidhyāyīta	aTa punar-yadi dvi-mAtra-viBAga-jQaH dvi-mAtreNa viSizwa-moFa-AkAram aBiDyAyIta
   svapnātmake manasi mananīye yajurmaye somadaivatye saṃpadyata	svapna-Atmake manasi mananIye yajuH-maye soma-dEvatye saMpadyata
   ekāgratayātbhāvaṃ gacchati sa evaṃ sampanno mṛto 'ntarīkṣam	ekAgra-tayAtBAvam gacCati saH evam sampannaH mRtaH antarIkzam
   antarikṣādhāraṃ dvitīyamātrārūpaṃ dvitīyamātrarūpairevayajurbhirunnīyate	antarikza-ADAram dvitIya-mAtrA-rUpam dvitIya-mAtra-rUpEH-evayajurBiH-unnIyate
   somalokaṃ saumyaṃ janma prāpayanti taṃ yajūṃṣītyarthaḥ sa tatra	soma-lokam sOmyam janma prApayanti tam yajUMzi-iti-arTaH sa tatra
   vibhṛtimanubhūya somaloke manuṣyalokaṃ prati punarāvartate //4//	viBRtim-anuBUya soma-loke manuzya-lokam prati punar-Avartate //4//
   START PrUp 5.5	START PrUp 5.5
   yaḥ punar etaṃ trimātreṇomity etenaivākṣareṇa paraṃ puruṣam abhidhyāyīta |	yaH punar etam tri-mAtreNom-iti etena-eva-akzareNa param puruzam aBiDyAyIta |
   sa tejasi sūrye saṃpannaḥ |	sa tejasi sUrye saMpannaH |
   yathā pādodaras tvacā vinirmucyate |	yaTA pAda-udaraH tvacA vinirmucyate |
   evaṃ ha vai sa pāpmanā vinirmuktaḥ sa sāmabhir unnīyate brahmalokam |	evam ha vE sa pApmanA vinirmuktaH sa sAmaBiH unnIyate brahma-lokam |
   sa etasmāj jīvadhanāt parāparaṃ puriśayaṃ puruṣam īkṣate tad etau ślokau	saH etasmAt jIva-DanAt parAparam puriSayam puruzam Ikzate tat etO SlokO
   bhavataḥ || PrUp_5.5 ||	BavataH || PrUp_5.5 ||
   PrUpBh_5.5	PrUpB=-_5.5
   yaḥ punaretamoṅkāraṃ trimātreṇa trimātrāviṣayavijñānaviśiṣṭena	yaH punar-etam-oFkAram tri-mAtreNa tri-mAtra-avizaya-vijQAna-viSizwena
   omityetenaivākṣareṇa paraṃ sūryāntargataṃ puruṣaṃ pratīkenābhidhyāyīta	om-iti-etena-eva-akzareNa param sUrya-antargatam puruzam pratIkena-aBiDyAyIta
   tenābhidhyānena, pratīkatvena hyālambanatvaṃ prakṛtam oṅkārasya paraṃ	tena-aBiDyAnena, pratIka-tvena hi-Alambana-tvam prakRtam oFkArasya param
   cāparaṃ ca brahmetyabhedaśruteroṅkāramiti ca dvitīyānekaśaḥ śrutā	ca-aparam ca brahma-iti-aBeda-SruteH-oFkAram-iti ca dvitIya-anekaSas SrutA
   bādhyetānyathā /	bADyeta-anyaTA /
   yadyapi tṛtīyābhidhyānatvena karaṇatvamupapadyate tathāpi prakṛtānurodhāt	yadi-api tRtIya-aBiDyAna-tvena karaNa-tvam-upapadyate taTA-api prakRta-anuroDAt
   trimātraṃ paraṃ puruṣamiti dvitīyaiva pariṇeyā"tyajedekaṃ	tri-mAtram param puruzam-iti dvitIyA-eva pariNeyA"-tyajet-ekam
   kulasyārthe"(mahā.u.37 / 17) iti nyāyena /	kulasya-arTe"(-mahA.u.37 / 17) iti nyAyena /
   sa tṛtīyamātrārūpastejasi sūrye saṃpanne bhavati dhyāyamāno mṛto 'pi	sa tRtIya-mAtrA-rUpaH-tejasi sUrye saMpanne Bavati DyAyamAnaH mRtaH api
   sūryātsomalokādivanna punarāvartate kintu sūrye saṃpannamātra eva /	sUryAt-soma-loka-Adi-vat-na punar-Avartate kintu sUrye saMpanna-mAtre eva /
   yathā pādodaraḥ sarpastvacā vinirmucyate jīrṇatvagvinirmuktaḥ sa punarnavo	yaTA pAda-udaraH sarpaH-tvacA vinirmucyate jIrNa-tvac-vinirmuktaH sa punarnavaH-
   bhavati /	Bavati /
   evaṃ ha vā eṣa yathā dṛṣṭāntaḥ sa pāpmanā sarpatvaksthānīyenāśuddhirūpeṇa	evam ha vE eza yaTA dRzwAntaH sa pApmanA sarpa-tvac-sTAnIyena-aSudDi-rUpeNa
   vinirmuktaḥ sāmabhistṛtīyamātrārūpairūrdhvamunnīyate brahmalokaṃ	vinirmuktaH sAmaBiH-tRtIya-mAtrA-rUpEH-UrDvam-unnIyate brahma-lokam
   hiraṇyagarbhasya brahmaṇo lokaṃ satyākhyam /	hiraNyagarBasya brahmaNaH lokam satya-AKyam /
   sa hiraṇyagarbhaḥ sarveṣāṃ saṃsāriṇāṃ jīvānāmātmabhūtaḥ /	sa hiraNyagarBaH sarvezAm saMsAriNAm jIvAnAm-Atma-BUtaH /
   sa hyantarātmā liṅgarūpeṇa sarvabhūtānām, tasminhi liṅgātmani saṃhatāḥ	sa hi-antarAtmA liFga-rUpeNa sarva-BUtAnAm, tasmin-hi liFga-Atmani saMhatAH
   sarve jīvāḥ /	sarve jIvAH /
   tasmātma jīvaghanaḥ /	tasma-Atma jIva-GanaH /
   sa vidvāṃstrimātroṅkārābhijña etasmājjīvaghanāddhiraṇyagarbhātparātparaṃ	sa vidvAn=-tri-mAtra-uFkAra-aBijQaH etasmAt-jIva-GanAt-hiraNya-garBAt-parAt-param
   paramātmākhyaṃ puruṣamīkṣate puriśayaṃ sarvaśarīrānupraviṣṭaṃ paśyati	paramAtma-AKyam puruzam-Ikzate puriSayam sarva-SarIra-anupravizwam paSyati
   dhyāyamānaḥ /	DyAyamAnaH /
   tadetasminyathektārthaprakāśakau mantrau bhavataḥ //5//	tat-etasmin-yaTekta-arTa-prakASakO mantrO BavataH //5//
   START PrUp 5.6	START PrUp 5.6
   tisro mātrā mṛtyumatyaḥ prayuktā anyonyasaktā anaviprayuktāḥ /	tisraH mAtrAH mRtyumatyaH prayuktAH anyonya-saktAH anaviprayuktAH /
   kriyāsu bāhyābhyantaramadhyamāsu samyakprayuktāsu na kampate jñaḥ //	kriyAsu bAhya-aByantara-maDyamAsu samyak-prayuktAsu na kampate jQaH //
   PrUp_5.6 //	PrUp_5.6 //
   PrUpBh_5.6	PrUpB=-_5.6
   tisrastrisaṃkhyakā akārokāramakārākhyā oṅkārasya mātrā mṛtyumatyo	tisraH-tri-saMKyakA akAra-ukAra-makAra-AKyA oFkArasya mAtrA mRtyumatyaH-
   mṛtyuryāsāṃ vidyate tā mṛtyumatyo mṛtyugocarādanatikrāntāmṛtyugocarā	mRtyuH-yAsAm vidyate tAH mRtyumatyaH mRtyu-gocarAt-anatikrAnta-amRtyu-gocarA
   evetyarthaḥ /	eva-iti-arTaH /
   tā ātmano dhyānakriyāsu prayuktāḥ, kiṃ cānyonyasaktā itaretarasaṃbaddhāḥ,	tAH AtmanaH DyAna-kriyAsu prayuktAH, kim ca-anyonya-saktAH itaretara-saMbadDAH,
   anaviprayuktā viśeṣeṇaikaikaviṣaya eva prayuktā viprayuktāḥ, na tathā	anaviprayuktAH viSezeNa-ekEka-vizayaH eva prayuktAH viprayuktAH, na taTA
   viprayuktā nāviprayuktā anaviprayuktāḥ /	viprayuktAH na-aviprayuktAH anaviprayuktAH /
   kiṃ tarhi, viśeṣeṇaikasmindhyānakāle tisṛṣu kriyāsu	kim tarhi, viSezeNa-ekasmin-DyAna-kAle tisRzu kriyAsu
   bāhyābhyantaramadhyamāsu jāgratsvapnasuṣuptasthānapuruṣābhidhyānalakṣaṇāsu	bAhya-AByantara-maDyamAsu jAgrat-svapna-suzupta-sTAna-puruza-aBiDyAna-lakzaNAsu
   yogakriyāsu samyakprayuktāsu samyagdhyānakāle prayojitāsu na kampate na	yoga-kriyAsu samyak-prayuktAsu samyak-DyAna-kAle prayojitAsu na kampate na
   calati yo yogī yathoktavibhāgajña oṅkārasyetyarthaḥ, na	calati yaH yogI yaTA-ukta-viBAga-jQa oFkArasya-iti-arTaH, na
   tasyaivaṃvidaścalanamupapadyate /	tasya-evaMvidaH-calanam-upapadyate /
   yasmājjāgratsvapnasuṣuptapuruṣāḥ saha sthānairmātrātrayarūpeṇa	yasmAt-jAgrat-svapna-suzupta-puruzAH saha sTAnEH-mAtrA-traya-rUpeNa
   oṅkārātmarupeṇa dṛṣṭāḥ /	oFkAra-AtmarupeNa dRzwAH /
   sa hyevaṃ vidvānsarvātmabhūta oṅkāramayaḥ kuto vā caletkasminvā //6//	sa hi-evam vidvAn-sarva-Atma-BUtaH oFkAra-mayaH kutas vA calet-kasmin-vA //6//
   sarvārthasaṃgrahārtho dvitīyo mantraḥ -	sarva-arTa-saMgraha-arTaH dvitIyaH mantraH -
   START PrUp 5.7	START PrUp 5.7
   ṛgbhir etaṃ yajurbhir antarikṣaṃ sāmabhir yat tat kavayo vedayante /	RgBiH etam yajurBiH antarikzam sAmaBiH yat tat kavayaH vedayante /
   tam oṃkāreṇaivāyatanenānveti vidvān yat tac chāntam ajaram amṛtam abhayaṃ	tam oMkAreNa-eva-Ayatanena-anveti vidvAn yat tat SAntam ajaram amRtam aBayam
   paraṃ ceti // PrUp_5.7 //	param ca-iti // PrUp_5.7 //
   PrUpBh_5.7	PrUpB=-_5.7
   ṛgbhiretaṃ lokaṃ manuṣyopalakṣitam /	RgBiH-etam lokam manuzya-upalakzitam /
   yajurbhirantarikṣaṃ somādhiṣṭhitam /	yajurBiH-antarikzam soma-aDizWitam /
   sāmabhiryattad brahmalokamiti tṛtīyaṃ kavayo medhāvino vidyāvanta eva	sAmaBiH-yat-tat brahma-lokam-iti tRtIyam kavayaH meDAvinaH vidyAvantaH eva
   nāvidvāṃso vedayante /	na-avidvAMsaH vedayante /
   taṃ trividhaṃ lokamoṅkāreṇa sādhanenāparabrahmalakṣaṇamanvetyanugacchati	tam triviDam lokam-oFkAreNa sADanena-apara-brahma-lakzaNam-anveti-anugacCati
   vidvān /	vidvAn /
   tenaivoṅkāreṇa yattatparaṃ brahmākṣaraṃ satyaṃ puruṣākhyaṃ śāntaṃ vimuktaṃ	tena-eva-uFkAreNa yat-tat-param brahma-akzaram satyam puruza-AKyam SAntam vimuktam
   jāgratsvapnasuṣupātyādi viśeṣasarvaprapañcavivarjitamata eva ajaraṃ	jAgrat-svapna-suzupAti-Adi viSeza-sarva-prapaQca-vivarjitam-atas eva ajaram
   jarāvarjitamamṛtaṃ mṛtyuvarjitamata eva yasmājjarāvikriyārahitamato	jarA-varjitam-amRtam mRtyu-varjitam-atas eva yasmAt-jarA-vikriyA-rahitam-atas-
   'bhayam, yasmādevābhayaṃ tasmātparaṃ niratiśayam, tadapyoṅkāreṇāyatanena	aBayam, yasmAt-eva-aBayam tasmAt-param niratiSayam, tat-api-oFkAreNa-Ayatanena
   gamanasādhanenānvetītyarthaḥ /	gamana-sADanena-anveti-iti-arTaH /
   itiśabdo vākyaparisamāptyarthaḥ //7//	iti-SabdaH vAkya-parisamApti-arTaH //7//
   iti pañcamaḥ praśnaḥ	iti paQcamaH praSnaH
   ṣaṣṭhaḥ praśnaḥ	zazWaH praSnaH
   START PrUp 6.1	START PrUp 6.1
   atha hainaṃ sukeśā bhāradvājaḥ papraccha |	aTa ha-enam su-keSAH BAradvAjaH papracCa |
   bhagavan hiraṇyanābhaḥ kausalyo rājaputro māmupetyaitaṃ praśnamapṛcchata |	Bagavan hiraNyanABaH kOsalyaH rAja-putraH mAm-upetya-etam praSnam-apRcCata |
   ṣoḍaśakalaṃ bhāradvāja puruṣaṃ vettha |	zoxaSa-kalam BAradvAja puruzam vetTa |
   tam ahaṃ kumāram abruvaṃ nāham imaṃ veda |	tam aham kumAram abruvam na-aham imam veda |
   yady aham imam avediṣaṃ kathaṃ te nāvakṣyam iti |	yadi aham imam avedizam kaTam te na-avakzyam iti |
   samūlo vā eṣa pariśuṣyati yo 'nṛtam abhivadati |	sa-mUlaH vE eza pariSuzyati yaH anRtam aBivadati |
   tasmān nārhāmy anṛtaṃ vaktuṃ |	tasmAt na-arhAmi anRtam vaktum |
   sa tūṣṇīṃ ratham āruhya pravavrāja |	sa tUzNIm raTam Aruhya pravavrAja |
   taṃ tvā pṛcchāmi kāsau puruṣa iti || PrUp_6.1 ||	tam tvA pRcCAmi kAsO puruzaH iti || PrUp_6.1 ||
   PrUpBh_6.1	PrUpB=-_6.1
   atha hainaṃ sukeśā bhāradvājaḥ papraccha /	aTa ha-enam su-keSAH BAradvAjaH papracCa /
   samastaṃ jagatkāryakāraṇalakṣaṇaṃ saha vijñānātmanā parasminnakṣare	samastam jagat-kArya-kAraNa-lakzaNam saha vijQAna-AtmanA parasmin=-akzare
   suṣuptikāle sampratiṣṭhata ityuktam /	suzupti-kAle sampratizWate iti-uktam /
