   (Vajraṭ_95)	(Vajraj-_95)
   kintu pravrajitāstu svayamevānutiṣṭhanta iti nidarśayituṃ bhagavatā svayaṃ	kintu pravrajitAH-tu svayam-eva-anutizWantaH iti nidarSayitum BagavatA svayam
   pātracīvarapratiṣṭhāpanaṃ kṛtam, alabhyamānabhṛtyānāṃ mandabhāgyānāṃ	pAtra-cIvara-pratizWApanam kRtam, alaByamAna-BRtyAnAm mandaBAgyAnAm
   daurmanasyaparihāṇārthamapīti |	dOrmanasya-parihANa-arTam-api-iti |
   aśucyābhāsaṃ satatasamitapākartuṃ kamaleṣu pādanikṣepaṇam,	aSuci-ABAsam satata-samita-pAkartum kamalezu pAda-nikzepaNam,
   kriyāntrādyadhimuktasattvāśayānuvartanaṃ vā sarajaskapādābhyāṃ	kriyA-antra-Adi-aDimukta-sattva-ASaya-anuvartanam vA sa-rajaska-pAdAByAm
   śayanāsanānāmanavamardanam iti śikṣāyāmādaraṃ darśayituṃ pādaprakṣālanaṃ	Sayana-AsanAnAm-anavamardanam iti SikzAyAm-Adaram darSayitum pAda-prakzAlanam
   draṣṭavyam |	drazwavyam |
   prajñapta evāsane iti devādibhiḥ prajñapte | ṛjukāyaṃ praṇidhāya iti	prajQapte eva-Asane iti deva-AdiBiH prajQapte | Rju-kAyam praNiDAya iti
   nātinamraṃ nātistabdhamityarthaḥ | kathaṃ dharmadeśanākāle bhagavān	na-ati-namram na-ati-stabDam-iti-arTaH | kaTam Darma-deSanA-kAle BagavAn
   samāhitena īryāpathena (Vajraṭ_105) nyaṣīdaditi cet? samāhitaireva dharmo	samAhitena IryA-paTena (Vajrah-_105) nyazIdat-iti cet? samAhitEH-eva DarmaH-
   'yaṃ jñātuṃ śrotuṃ vā śakyate nānyairiti samādhau yatnotpādāya lokāanāṃ	ayam jQAtum Srotum vA Sakyate na-anyEH-iti samADO yatna-utpAdAya lokAanAm
   pravartanāt |	pravartanAt |
   pratimukhīṃ smṛtimupasthāpya iti pūrvaṃ bodhisattvāvasthāyāṃ tāvad	pratimuKIm smRtim-upasTApya iti pUrvam boDisattva-avasTAyAm tAvat-
   anuttarapadaṃ prāpya yathā buddhavaṃśānupacchedaḥ syāttathāhaṃ kariṣye iti	anuttara-padam prApya yaTA budDa-vaMSAnupacCedaH syAt-taTA-aham karizye iti
   yat praṇidhānaṃ kṛtaṃ tat praṇidhānaṃ smaraṇābhimukhīkṛtamityarthaḥ |	yat praNiDAnam kRtam tat praNiDAnam smaraNa-aBimuKIkRtam-iti-arTaH |
   bhagavāṃstu buddhaḥ sadā samāhitaḥ sannapi sarvathā smṛtau viharati |	BagavAn=-tu budDaH sadA samAhitaH san=-api sarvaTA smRtO viharati |
   asamayasmareṇa na kiñcit syāt | samaye praṇidhānasmaraṇaṃ hi saphalaṃ	asamayasmareNa na kiQcid syAt | samaye praNiDAna-smaraNam hi saPalam
   bhavati | samaye smareṇanāpi bhagavataḥ sadā samāhitatvaṃ na virudhyate |	Bavati | samaye smareNanA-api BagavataH sadA samAhita-tvam na viruDyate |
   atha khalu saṃbahulā bhikṣavaḥ ityanena kimuktam? yatparimāṇena	aTa Kalu saMbahulA BikzavaH iti-anena kim-uktam? yat-parimANena
   bhikṣusaṃghena saha bhagavān śrāvastyāṃ viharati sma, sa sarvaḥ	Bikzu-saMGena saha BagavAn SrAvastyAm viharati sma, sa sarvaH
   dharmadeśanākāle tatra naiva sannipatitaḥ | tribhyo 'dhikāstatra	Darma-deSanA-kAle tatra na-eva sannipatitaH | triByaH aDikAH-tatra
   sannipatitā ityuktam | tacca saṅgītikāraiḥ parasampratyayotpānādanārthaṃ	sannipatitAH iti-uktam | tat-ca saFgItikArEH para-samprati-aya-utpAnAdana-arTam
   nirdiṣṭam | sannipatitaḥ iti sannihita eva | sanniṣaṇṇaḥ ityāsane	nirdizwam | sannipatitaH iti sannihitaH eva | sannizaNNaH iti-Asane
   upaviṣṭaḥ | loke prāyaḥ samānyapūrvakaṃ viśeṣaḥ sthāpyata iti	upavizwaH | loke prAyas samAnya-pUrvakam viSezaH sTApyate iti
   lokaprasiddhyanurūpamubhayamāha | anyathā niṣaṇṇaḥ ityetāvatmātreṇa	loka-prasidDi-anurUpam-uBayam-Aha | anyaTA nizaNNaH iti-etAvat-mAtreNa
   apyubhayamuktaṃ syāditi | uktā nidānapadārthāḥ |	api-uBayam-uktam syAt-iti | uktAH nidAna-padArTAH |
   upodghāto buddhavaṃśānupacchedaśca :	upodGAtaH budDa-vaMSAnupacCedaH-ca :
   samprati upodghāto buddhavaṃśānupacchedaśca kathayiṣyete |	samprati upodGAtaH budDa-vaMSAnupacCedaH-ca kaTayizyete |
   paramāścaryamādarśayituṃ dvirabhidhānam | sugata iti sambodhanam |	parama-AScaryam-AdarSayitum dvis-aBiDAnam | sugataH iti samboDanam |
   nairātmyadvayamārgeṇa (Vajraṭ_106) samyag gata iti suṣṭhurūpeṇa gataḥ	nErAtmya-dvaya-mArgeNa (Vajraz-_106) samyak gataH iti suzWu-rUpeNa gataH
   sugataḥ surūpavaditi | athavā nikhilasavāsanāśeṣakleśajñeyāvaraṇāni	sugataH surUpavat-iti | aTavA niKila-savAsana-aSeza-kleSa-jQeya-AvaraNAni
   prahāya gataḥ sugataḥ, sūpūrṇaghaṭavat | athavā apunarāvṛttyā gataḥ	prahAya gataH sugataH, sUpUrNa-Gawa-vat | aTavA apunarAvRttyA gataH
   sugataḥ, sunaṣṭajvaravat | yāvataivānugrahītāḥ, tāvataivānuparigṛhītā	sugataH, su-nazwa-jvara-vat | yAvatA-eva-anugrahItAH, tAvatA-eva-anuparigRhItA
   ityarthaḥ |	iti-arTaH |
   rājādayo 'pi āśritān prajādīn yathāśakti anuparigṛhṇanti kintvatra	rAja-AdayaH api ASritAn prajA-AdIn yaTASakti anuparigRhNanti kintu-atra
   bhagavati āścaryamityāśaṅkākāyāṃ kimāścaryamiti tathāgatenārhatā	Bagavati AScaryam-iti-ASaFkAkAyAm kimAScaryam-iti taTAgatena-arhatA
   samyaksaṃbuddhena ityuktam | yathāvadvastutattvadeśanāt tathāgataḥ |	samyaksaMbudDena iti-uktam | yaTAvat-vastu-tattva-deSanAt taTAgataH |
   athavā yathā pūrvakā nairātmyadva rgeṇa gatāḥ	aTavA yaTA pUrvakAH nErAtmya-dva rgeNa gatAH
   kleśajñeyāvaraṇaprahāṇamadhigatāḥ, atrāpi tathā gatatvāt tathāgataḥ |	kleSa-jQeya-AvaraNa-prahANam-aDigatAH, atra-api taTA gata-tvAt taTAgataH |
   sarvalokābhyarhaṇīyatvāt, arīṇāṃ kleśānāṃ vā hantṛtvād arhan |	sarva-loka-aByarhaNIya-tva-at, arINAm kleSAnAm vA hantR-tvAt arhan |
   samastajñeyānāṃ samyagabodhāt samyaksaṃbuddhaḥ | ebhiḥ padairbhagavataḥ	samasta-jQeyAnAm samyak-aboDAt samyaksaMbudDaH | eBiH padEH-BagavataH
   prahāṇajñānarūpā sva-parārthasampadupadarśitā bhavanti |	prahANa-jQAna-rUpA sva--para-arTa-sampad-upadarSitAH Bavanti |
   (Vajraṭ_107)	(Vajraj-_107)
   etenaivamabhidhīyate- rājādīnāṃ prajādiṣvanugrahe tāvannaivāścaryam, yato	etena-evam-aBiDIyate rAja-AdInAm prajA-Adizu-anugrahe tAvat-na-eva-AScaryam, yatas-
   hi te lābhasatkārādisvārthārthitayā parānanugṛhṇanti, bhagavatastāvat	hi te lABa-satkAra-Adi-svArTa-arTi-tayA parAn-anugRhNanti, BagavataH-tAvat-
   tathāgatatvenārhattvena samyagabhisambuddhya adhigatāśeṣasampattitayā yo	taTAgata-tvena-arhat-tvena samyak-aBisambudDya aDigata-aSeza-sampatti-tayA yaH-
   'nugrahaḥ sa khalvatra āścaryamityādarśitam | ṛte karuṇāṃ bhagavato	anugrahaH sa Kalu-atra AScaryam-iti-AdarSitam | Rte karuNAm BagavataH-
   'nugrahe 'smin nāsti kiñcidanugrahakāraṇāntaramityanenābhihita eva bhavati	anugrahe asmin na-asti kiQcid-anugraha-kAraNa-antaram-iti-anena-aBihitaH eva Bavati
   bhagavān mahākāruṇikaḥ |	BagavAn mahA-kAruNikaH |
   anuparigṛhītāḥ iti abhisambuddhena bhagavatā dharmacakrapravartanākāle	anuparigRhItAH iti aBisambudDena BagavatA Darma-cakra-pravartana-akAle
   paripakvakuśalamūlā bodhisattvā bhūmiṣvavatāritāḥ, dharmatāyāṃ	paripakva-kuSala-mUlAH boDisattvAH BUmizu-avatAritAH, Darma-tAyAm
   bodhisattvānāṃ pratiṣṭhāpanena | parīnditāḥ iti aparipakvakuśalamūlānām	boDisattvAnAm pratizWApanena | parInditAH iti aparipakva-kuSala-mUlAnAm
   ādikarmikāṇāmanugrahāya ta eva parīnditāḥ, dharmatāyāṃ bodhisattvān	Adi-karmikANAm-anugrahAya te eva parInditAH, DarmatAyAm boDisattvAn
   pratiṣṭhāpayitum | mama parinirvāṇapradarśanaṃ tu	pratizWApayitum | mama parinirvANa-pradarSanam tu
   yuṣmāsvaprāptaguṇānāmadhigamāya, prāptānāṃ ca samyagaparihāṇāyeti |	yuzmAsu-aprApta-guNAnAm-aDigamAya, prAptAnAm ca samyak-aparihANAya-iti |
   evamanugrahaparīndanetyubhābhyāṃ buddhavaṃśānupacchedaḥ samprakāśitaḥ |	evam-anugraha-parIndana-iti-uBAByAm budDa-vaMSAn-upacCedaH samprakASitaH |
   bodhisattveṣvanugrahastu pañcadhā samyag veditavyaḥ-	boDisattvezu-anugrahaH-tu paQcaDA samyak veditavyaH-
   kāla-viśeṣatā-udāratā-sthiṃratā-vyāpakatābhiḥ | tatra kālaḥ-	kAla-viSeza-tA-udAra-tA--sTiMra-tA--vyApakatABiH | tatra kAlaH-
   janmajanmātaratvāt | viśeṣatā-tairthika-śrāvaka-pratyekabuddhebhyo	janma-janma-atara-tvAt | viSeza-tA-tErTika--SrAvaka--pratyekabudDeByaH-
   'nugraheṇa viśiṣṭatvāt | udāratā- anuttaratvāt tadanugrahasya | sthiratā-	anugraheNa viSizwa-tvAt | udAra-tA anuttara-tvAt tad-anugrahasya | sTira-tA-
   ātyantikatvāt | vyāpakatā- tadanugraheṇa tu sva-	Atyantika-tvAt | vyApaka-tA tad-anugraheNa tu sva-
   parasantatyorhitasampādanāt |	para-santatyoH-hita-sampAdanAt |
   (Vajraṭ_108)	(Vajraj-_108)
   parīndanāpi tridhā samyag draṣṭavyā, āśraya-dharmatāprāpaṇa-jñapticavanaiḥ	parIndanA-api triDA samyak drazwavyA, ASraya--DarmatA-prApaNa---jQapti-cavanEH
   | kīdṛśastāvadāśrayaḥ? kalyāṇamitreṣu parīndanāt sā bhavatyavipraṇaṣṭā |	| kIdRSaH-tAvat-ASrayaH? kalyANa-mitrezu parIndanAt sA Bavati-avipraNazwA |
   kiṃ tāvad dharmatāprāpaṇam? anuparigṛhītā bodhisattvā dharmatayā	kim tAvat Darma-tA-prApaNam? anuparigRhItAH boDisattvAH Darma-tayA
   parānanugrāhayanti | kiṃ tarhi jñaptivacanam? tvayā anye bodhisattvā	parAn-anugrAhayanti | kim tarhi jQapti-vacanam? tvayA anye boDisattvA
   anugrahītavyā ityājñāpitam, na tvanādarabhāvaḥ |	anugrahItavyAH iti-AjQApitam, na tu-anAdara-BAvaH |
   upodghāta-buddhavaṃśānupacchedapadārthā uktāḥ |	upodGAta--budDa-vaMSAn-upacCeda-padArTAH uktAH |
   pratipattilakṣaṇam :	pratipatti-lakzaNam :
   pratipattilakṣaṇaṃ tāvaducyute- tadadhikāreṇa katham ityuktam |	pratipatti-lakzaNam tAvat-ucyute tad-aDikAreNa kaTam iti-uktam |
   āryasubhūtiḥ khalu ṣaḍvidhaprayojanārthaṃ pṛṣṭavān | 1 saṃśayopacchedāya,	Arya-suBUtiH Kalu zaxviDa-prayojana-arTam pRzwavAn | 1 saMSaya-upacCedAya,
   2 adhimuktisamutpādāya, 3 gambhīreṣvartheṣvavatāraṇāya, 4 avinivartanāya,	2 aDimukti-samutpAdAya, 3 gamBIrezu-arTezu-avatAraNAya, 4 avinivartanAya,
   5 paramapramodasañjananāya, 6 saddharmasya cirasthityai ca |	5 parama-pramoda-saQjananAya, 6 sadDarmasya cira-sTityE ca |
   tatra prajñāpāramiteyaṃ kathaṃ buddhavaṃśasya anupacchedaṃ karotīti	tatra prajQApAramitA-iyam kaTam budDavaMSasya anupacCedam karoti-iti
   sandehakāriṇāṃ saṃśayopacchedanārtham | aparipakvasantatīnāṃ	sandeha-kAriNAm saMSaya-upacCedana-arTam | aparipakva-santatInAm
   bodhisattvānāṃ puṇyabāhulyakhyāpanena prajñāpāramitāsu	boDisattvAnAm puNya-bAhulya-KyApanena prajQApAramitAsu
   adhimuktisamutpādanārtham | paripakvasantatīnāṃ tāvad	aDimukti-samutpAdana-arTam | paripakva-santatInAm tAvat-
   gambhīreṣvartheṣvavatāraṇārtham | abhūtapratipattiparibhūtānāṃ	gamBIrezu-arTezu-avatAraNa-arTam | aBUta-pratipatti-pariBUtAnAm
   tadudgrahaṇadhāraṇayorvyāyacchatāṃ puṇyavāhulyābhikāṅkṣayā	tad-udgrahaNa-DAraNayoH-vyAyacCatAm puNya-vAhulya-aBikAFkzayA
   avinirvatanārtham | anugṛhīteṣu viśuddhādhyāśayeṣu	avinirvatana-arTam | anugRhItezu viSudDa-aDyASayezu
   svādhigatataddharmadarśanena paramapramodasañjananārtham | anāgate kāle	svADigata-tad-Darma-darSanena parama-pramoda-saQjanana-arTam | anAgate kAle
   mahayānasaddharmasya ciramavasthānārtham |	mahayAna-sat-Darmasya ciram-avasTAna-arTam |
   samāsatastu sandigdhānāṃ samyak samprakāśanāya, puṇyābhikāṅkṣaṇām	samAsatas-tu sandigDAnAm samyak samprakASanAya, puNya-aBikAFkzaNAm
   aparikvabodhisattvānāṃ samyagavatāraṇāya, vipratipattivihatānāṃ	aparikva-boDisattvAnAm samyak-avatAraNAya, vipratipatti-vihatAnAm
   sampraharṣaṇāya, śuddhādhyāśayānāṃ pramodāya ca | tatra sthātavyam	sampraharzaNa-aya, SudDa-aDyASayAnAm pramodAya ca | tatra sTAtavyam
   chandapraṇidhānābhyām | pratipattavyam yogasamāpattyā | cittaṃ	Canda-praNiDAnAByAm | pratipattavyam yoga-samApattyA | cittam
   pragrahītavyam vikṣepanigraheṇa | tatra (Vajraṭ_109) chandastāvadabhilāṣaḥ	pragrahItavyam vikzepa-nigraheNa | tatra (Vajraj-_109) CandaH-tAvat-aBilAzaH
   | praṇidhānaṃ tu abhilaṣitārthe 'bhisaṃskāralakṣaṇena yaccintanam |	| praNiDAnam tu aBilazita-arTe aBisaMskAra-lakzaNena yat-cintanam |
   yogasamāpattiḥ khalvavitarkasamādhiḥ | vikṣepanigrahastāvat samādhito	yoga-samApattiH Kalva-vitarka-samADiH | vikzepa-nigrahaH-tAvat samADitaH-
   vikṣiptaṃ cittaṃ vikṣepebhyo nivārya tatraiva viniyojanam | prathamena	vikziptam cittam vikzepeByaH nivArya tatra-eva viniyojanam | praTamena
   prayogamārgaḥ, dvitīyena pariniṣpattimārgaḥ, tṛtīyena tvavipraṇāśamārgaḥ	prayoga-mArgaH, dvitIyena parinizpatti-mArgaH, tRtIyena tu-avipraNASa-mArgaH
   parideśitaḥ |	parideSitaH |
   sthāne pṛcchato bhagavān āryasubhūtaye sādhukāramadāt | śṛṇu	sTAne pRcCataH BagavAn Arya-suBUtaye sADukAram-adAt | SRNu
   ityavahitaśrotrābhyāṃ śrotuṃ pravartasva | sādhu ityaviparītapratipattyā	iti-avahita-SrotrAByAm Srotum pravartasva | sADu iti-aviparIta-pratipattyA
   udgrahītum | suṣṭhu ca manasi kuru samyaktayā udgrahītumudyukto bhava	udgrahItum | suzWu ca manasi kuru samyaktayA udgrahItum-udyuktaH Bava
   ityarthaḥ | tadapi avāṅmukha-aśuci-sacchidrabhāṇḍānāmiva śrotṛjanānāṃ	iti-arTaH | tat-api avAFmuKa--aSuci--sa=-Cidra-BANxAnAm-iva SrotR-janAnAm
   yathākramaṃ trividhadoṣaparihārārthamidamudīritamiti | bhāṣiṣye iti tebhya	yaTAkramam triviDa-doza-parihAra-arTam-idam-udIritam-iti | BAzizye iti teBya
   eva samprakāśayiṣyāmi, nānyebhya iti | anyathā	eva samprakASayizyAmi, na-anyeByaH iti | anyaTA
   avāṅmukha-aśuci-sacchidrabhāṇḍeṣu ambuvṛṣṭiriva (Vajraṭ_110)	avAFmuKa--aSuci--sa=-Cidra-BANxezu ambu-vRzwiH-iva (Vajraj-_110)
   dharmavṛṣṭirapīyaṃ nirarthakaiva syādityarthaḥ | athavā ahaṃ tu kevalaṃ	Darma-vRzwiH-api-iyam nirarTakA-eva syAt-iti-arTaH | aTavA aham tu kevalam
   deśayiṣyāmi tvameva tāvad yatnataḥ pratipadyasvetyarthaḥ |	deSayizyAmi tvam-eva tAvat yatnatas pratipadyasva-iti-arTaH |
   bodhisattvayāneti bodhisattvānāṃ yānam, yena bodhisattvā niryānti | tacca	boDisattva-yAnA-iti boDisattvAnAm yAnam, yena boDisattvAH niryAnti | tat-ca
   daśabhiḥ pāramitābhiḥ daśabhiśca bhūmibhiḥ parigṛhyate | tatra	daSaBiH pAramitABiH daSaBiH-ca BUmiBiH parigRhyate | tatra
   samprasthānaṃ tāvat praṇidhiprasthānacittābhyāṃ sampravartanam |	samprasTAnam tAvat praNiDi-prasTAna-cittAByAm sampravartanam |
   etadviśeṣaṇaṃ tu śrāvakādibodhipratiṣedhārtham, bodhisaṃprasthitena	etat-viSezaNam tu SrAvaka-Adi-boDi-pratizeDa-arTam, boDi-saMprasTitena
   ityetāvaducyamāne bodhīnāṃ tritvādanyasyā api bodheravagamaḥ syāditi |	iti-etAvat-ucyamAne boDInAm tri-tvAt-anyasyAH api boDeH-avagamaH syAt-iti |
   pratyaśrauṣīt ityabhyupagamādityarthaṃ | uktāḥ	pratyaSrOzIt iti-aByupagamAt-iti-arTam | uktAH
   pratipattilakṣaṇapadārthādayaḥ |	pratipatti-lakzaNa-padArTa-AdayaH |
   pratipattisthānam :	pratipatti-sTAnam :
   sāmprataṃ tatsthānānyabhidhīyante | tatsthānāni tāvat samāsato	sAmpratam tad-sTAnAni-aBiDIyante | tad-sTAnAni tAvat samAsatas-
   'ṣṭādaśaprakārāṇi; tadyathā-	azwAdaSa-prakArANi; tat-yaTA-
   1. cittotpādaḥ	1. citta-utpAdaH
   2. pāramitāyogaḥ	2. pAramitA-yogaH
   3. rūpakāyāptikāmatā	3. rUpa-kAya-Apti-kAma-tA
   4. dharmakāyāptikāmatā	4. Darma-kAya-Apti-kAma-tA
   5. bhāvanāviśeṣalābhe 'nabhimānaḥ	5. BAvanA-viSeza-lABe anaBimAnaH
   6. buddhotpādārāgatā	6. budDa-utpAda-ArAga-tA
   7. kṣetraviśuddhipraṇidhānam	7. kzetra-viSudDi-praNiDAnam
   8. sattvaparipākaḥ	8. sattva-paripAkaH
   (Vajraṭ_111)	(Vajraj-_111)
   9. bāhyaśāstreṣu vyapagatarāgatā	9. bAhya-SAstrezu vyapagata-rAga-tA
   10. sattvabhājanalokayoḥ piṇḍagrāhaviśīrṇatāyogaḥ	10. sattva-BAjana-lokayoH piNxa-grAha-viSIrNa-tA-yogaH
   11. tathāgatapūjāsatkāraḥ	11. taTAgata-pUjA-satkAraH
   12. kāyacittapariśrāntau vīryavaimukhyānārambhalāsatkāravirahitatā |	12. kAya-citta-pariSrAntO vIrya-vEmuKya-anAramBa-lAsatkAra-virahita-tA |
   kāyacittapariśrāntau vīryārambhotovinivṛttiḥ, na ārambha ityanārambhaḥ |	kAya-citta-pariSrAntO vIrya-AramBotaH-vinivRttiH, na AramBaH iti-anAramBaH |
   aho, ārabdhavīryo 'yamiti pareṇa jñāyamāne sati śraddhāmāgamya	aho, ArabDa-vIryaH ayam-iti pareNa jQAyamAne sati SradDAm-Agamya
   lābhasatkārādhyavasitatvam | tasmād bodhisattva etebhyaḥ sarvebhyo vimucya	lABa-satkAra-aDya-vasita-tvam | tasmAt boDisattvaH eteByaH sarveByaH vimucya
   prajahyāt |	prajahyAt |
   13. duḥkhādhivāsanam	13. duHKa-aDivAsanam
   14. dhyānāsvādaviratiḥ	14. DyAna-AsvAda-viratiH
   15. abhisamayakāle 'hamitivikalpaviyogaḥ	15. aBisamaya-kAle aham-iti-vikalpa-viyogaH
   16. avavādaparyeṣaṇam	16. avavAda-paryezaNam
   17. abhisamayaḥ	17. aBisamayaH
   18. buddhabhūmiparyeṣaṇaṃ ca |	18. budDa-BUmi-paryezaNam ca |
   etāni tāvadaṣṭādaśavidhāni sthānāni, yatra bodhisattvena sthātavyaṃ	etAni tAvat-azwAdaSaviDAni sTAnAni, yatra boDisattvena sTAtavyam
   pratipattavyaṃ cittaṃ ca pragrahītavyamiti | etaiḥ sthānairbhūmitrayaṃ	pratipattavyam cittam ca pragrahItavyam-iti | etEH sTAnEH-BUmi-trayam
   saṃgṛhyate, tadyathā- ṣoḍaśabhiḥ sthānairadhimukticaryābhūmiḥ,	saMgRhyate, tat-yaTA zoxaSaBiH sTAnEH-aDimukti-caryA-BUmiH,
   abhisamayasthānenaikena śuddhādhyāśayabhūmiḥ, buddhabhūmiparyeṣaṇena ca	aBisamaya-sTAnena-ekena SudDa-aDyASaya-BUmiH, budDa-BUmi-paryezaNena ca
   buddhabhūmiḥ saṃgṛhyate | sarvasattvaparinirvāpaṇacittamutpādya	budDa-BUmiH saMgRhyate | sarva-sattva-parinirvApaNa-cittam-utpAdya
   pāramitāyogī tāvat tathāgatasya rūpakāya-dharmakāyaprāptau	pAramitA-yogI tAvat taTAgatasya rUpa-kAya--Darma-kAya-prAptO
   chandamutpādayati | tataḥ ā abhimānam antimam ahaṃ-vikalpaṃ	Candam-utpAdayati | tatas A aBimAnam antimam ahaM-vikalpam
   yāvadabhisamayastāntarāyebhyaścittaṃ viprakarṣate |	yAvat-aBisamayaH-tAntarAyeByaH-cittam viprakarzate |
   tataścābhisamayārthamavavādaṃ paryeṣate, tadanantaramabhijānāti,	tatas-ca-aBisamaya-arTam-avavAdam paryezate, tad-anantaram-aBijAnAti,
   tadūrdhvaṃ buddhabhūmiṃ paryeṣate | ayameva teṣāṃ kramaḥ |	tad-UrDvam budDa-BUmim paryezate | ayam-eva tezAm kramaH |
   1. cittotpāda-sthānam :	1. citta-utpAda--sTAnam :
   tatra bodhicittamadhikṛtya yāvantaḥ sattvāḥ ityāha | yāvat iti parimāṇam |	tatra boDi-cittam-aDikRtya yAvantaH sattvAH iti-Aha | yAvat iti parimANam |
   kiṃ tatra parimāṇam? sattvasaṃgraheṇa ityuktam 'sattvadhātustu	kim tatra parimANam? sattva-saMgraheNa iti-uktam asattva-DAtuH-tu
   (Vajraṭ_112) aparimitaḥ, athāpi sattvaḥ sattva iti yastatsvabhāvaḥ	(Vajraj-_112) aparimitaH, aTa-api sattvaH sattvaH iti yaH-tad-svaBAvaH
   taditaravyāvṛttaśabdādhyāropitārthasabhāgarūpeṇa khyātaḥ sa eva sattvena	tad-itara-vyAvRtta-Sabda-aDyAropita-arTa-saBAga-rUpeNa KyAtaH saH eva sattvena
   saṃgṛhyate | tena dṛśyavikalpyayokatvenābhisaṃkṣipya	saMgRhyate | tena dRSya-vikalpya-yoka-tvena-aBisaMkzipya
   tadrūpeṇādhyavasitatvād rūpādiskandhaviśeṣairupādīyante | ataste	tad-rUpeNa-aDya-vasita-tvAt rUpa-Adi-skanDa-viSezEH-upAdIyante | atas-te
   āyuṣmāniva pratīyante |	AyuzmAn-iva pratIyante |
   evaṃ sāmānyato nirūpya viśeṣato darśayitumāha- aṇḍajāḥ ityādi |	evam sAmAnyatas nirUpya viSezataH darSayitum-Aha aNxa-jAH ityAdi |
   viśeṣalakṣaṇaṃ tāvat tribhiḥ prabhedairabhihitam |	viSeza-lakzaNam tAvat triBiH praBedEH-aBihitam |
   yonibhedenāṇḍajādayaścattvāraḥ | sthānabhedena tu rūpiṇāmarupiṇāṃ ca	yoni-Bedena-aNxaja-AdayaH-cattvAraH | sTAna-Bedena tu rUpiNAm-arupiNAm ca
   pṛthaksthānatvāt | kāmāvacarā rūpāvacarāstāvad rūpiṇaḥ, arupāvacarāstu	pRTak-sTAna-tvAt | kAmAvacarAH rUpAvacarAH-tAvat rUpiNaH, aru-pAva-carAH-tu
   arupiṇaḥ | nimittodgrahaṇabhedena saṃjñinaḥ ityādayaḥ |	arupiNaH | nimitta-udgrahaNa-Bedena saMjQinaH ityAdayaH |
   bṛhatphalasyaikadeśaṃ bhavāgrajāṃścaṃ sattvān vihāya sarve sattvāḥ	bRhat-Palasya-eka-deSam Bava-agrajAn=-cam sattvAn vihAya sarve sattvAH
   saṃjñinaḥ | bṛhatphalasyaikadeśastāvad asaṃjñīnaḥ | ayamapi	saMjQinaH | bRhat-Palasya-eka-deSaH-tAvat asaMjQInaH | ayam-api
   nimittodgrahaṇabhedātmaka eva, tadabhāvabhedenopalakṣitatvāt |	nimitta-udgrahaNa-Beda-AtmakaH eva, tad-aBAva-Bedena-upalakzita-tvAt |
   bhavāgrajāstāvad naiva saṃjñino nāsaṃjñino vā | prabhedo 'yaṃ	Bava-agrajAH-tAvat na-eva saMjQinaH na-asaMjQinaH vA | praBedaH ayam
   mandamedhasāmanugrahāyaiva kṛtaḥ, anyāvadhyānaparihārārthaṃ tāvannaiva	manda-meDa-sAm-anugrahAya-eva kRtaH, anya-avaDyAna-parihAra-arTam tAvat-na-eva
   prapañcitaḥ | 'sarve dharmāḥ niḥsattvāḥ'; ityanena saha	prapaQcitaH | asarve DarmAH niHsattvAH-a; iti-anena saha
   vacanasyāsyāvirodhaḥ pradarśitaḥ | atra sattvadhāturiti sāṃvṛte satye	vacanasya-asya-aviroDaH pradarSitaH | atra sattva-DAtuH-iti sAMvRte satye
   sattvadhātustaṃ darśayituṃ yāvān ityādyāha | prajñapyamānaḥ iti	sattva-DAtuH-tam darSayitum yAvAn iti-Adi-Aha | prajQapyamAnaH iti
   pañcaskandhaviśeṣātmakatvena prajñāyata iti, na tu tairthikāḥ prajñaptyā	paQca-skanDa-viSeza-Atmaka-tvena prajQAyate iti, na tu tErTikAH prajQaptyE-
   prajñapayantītyarthaḥ | anenāpavādāntastāvat parihṛtaḥ,	prajQapayanti-iti-arTaH | anena-apavAda-antaH-tAvat parihRtaH,
   prajñaptāvapavādābhāvāt | yasmin apratiṣṭhitanirvāṇadhātau	prajQaptO=-apavAda-aBAvAt | yasmin apratizWita-nirvANa-DAtO
   sāsravopadhirnāśiṣyate, sa tathocyate | śrāvakāṇāṃ parinirvāṇaṃ tāvad	sa-Asrava-upaDiH-nASizyate, sa taTA-ucyate | SrAvakANAm parinirvANam tAvat-
   nātra nirvāṇadhātu; tasya hīnatvāt | praṇītaphale saṃvidyamāne kṛpālūnāṃ	na-atra nirvANa-DAtu; tasya hIna-tvAt | praNIta-Pale saMvidyamAne kRpA-lUnAm
