   śrīrāmajayam	SrI-rAma-jayam
   ityādāvakārasya muki-anayā paribhāṣayā viśiṣṭasya savarṇadīrge	iti-AdOvakArasya muki-anayA pariBAzayA viSizwasya savarNa-dIrge
   tadvaiyarthyaṃ spaṣṭameva/ tena 'didīye' ityādau yaṇādi na, 'jahāra'	tad-vEyarTyam spazwam-eva/ tena adidIye-a ityAdO yaNa-Adi na, ajahAra-a
   ityādau 'āta au ṇalaḥ' iti ca na/	ityAdO aAta O NalaHa iti ca na/
   na cākārādervarṇasya varṇāntaramavayavaḥ kathamit vācyam,	na ca-AkAra-AdeH-varNasya varNa-antaram-avayavaH kaTam-iD vAcyam,
   vacanenāvayavatvabodhanāt/ tasya cāvayavatvasādṛśye paryavasānaṃ bodhyam/	vacanena-avayava-tva-boDanAt/ tasya ca-avayava-tva-sAdRSye paryavasAnam boDyam/
   na coktajñāpakādvarṇagrahaṇe 'syā apravṛttiriti vācyam ; 'āne muk' iti	na ca-ukta-jQApakAt-varNa-grahaNe asyAH apravRttiH-iti vAcyam ; aAne muka iti
   sūtra bhāṣye 'kārasyāṅgāvayavasya mugityarthe 'pacamānaḥ' ityatra	sUtra BAzye akArasya-aFga-avayavasya mugiti-arTe apacamAnaH-a iti-atra
   'tāsyanudāttet' iti svaro ma syādityāśaṅkhyādupadeśabhaktastadgrahaṇena	atAsi-anudAttet-a iti svaraH me syAt-iti-ASaFKyAt-upadeSa-BaktaH-tad-grahaNena
   grāhiṣyata ityukterasaṅgatyāpatteḥ/	grAhizyate iti-ukteH-asaFgatyApatteH/
   kiñca ṅamantapadāvayavasya hrasvātparasya ṅamo ṅamuḍityarthe 'kurvannāste'	kiQca Famanta-pada-avayavasya hrasvAt-parasya FamaH Famuj-iti-arTe akurvan=-Aste-a
   ityādau ṅamo ṅamuḍāgame ṇatvaprāptimāśaṅkya 'yadāgamāḥ' iti	ityAdO FamaH Fam-uxa-Agame Natva-prAptim-ASaFkya ayat-AgamAHa iti
   nyāyenādyanasyāpi padāntagrahaṇena grahaṇāt 'padāntasya' iti niṣedha	nyAyena-adyanasya-api pada-anta-grahaNena grahaNAt apadAntasya-a iti nizeDa
   ityanayā	iti-anayA
   paribhaṣayā 'āgamānāmāgamidharmavaiśiṣṭyamapi hodhyate' ityāśayaka 'ṅamuṭ'	pariBazayA aAgamAnAm-Agami-Darma-vESizwyam-api hoDyate-a iti-ASayaka aFamuw-a
   sūtrasthabhāṣyāsaṅgateḥ/	sUtra-sTa-BAzyA-saFgateH/
   kiñca-guṇāde raparatve rephaviśiṣṭa guṇatvādyeṣṭavyam/ anyathā 'ṛkārasya	kiQca--guNa-Ade rapara-tve rePa-viSizwa guNa-tva-adyezwavyam/ anyaTA aRkArasya
   guṇavṛddhī arārāveva' iti niyamo na syāt/ tacca 'varṇagrahaṇe'	guNa-vRdDI arArAveva-a iti niyamaH na syAt/ tat-ca avarNa-grahaNe-a
   etadapravṛttau na saṅgaccate/ ata eva 'radābhyāṃ' iti sūtre bhāṣyam -"guṇo	etat-apravRttO na saFgaccate/ atas eva aradAByAma iti sUtre BAzyam -"guNa-u
   bhavati, vṛddhirbhavati,	Bavati, vRdDiH-Bavati,
   rephaśirā guṇavṛdadhisaṃjñako 'bhinirvartate"iti/ ata eva 'neṭi'	rePa-SirAH guNa-vRdaDi-saMjQakaH aBinirvartate"iti/ atas eva anewi-a
   'ṇeraniṭi' ityadi caritārtham/	aNeH-aniwi-a ityadi caritArTam/
   'anāgamakānāṃ sāgamakāḥ ādeśāḥ' ityasya tvayamarthaḥ -	aanAgamakAnAm sa-AgamakAH AdeSAH-a iti-asya tu-ayam-arTaH -
   ārdhadhātukasyeḍāgama ityarthe jñāte, nityeṣu śabdeṣvāgamavidhānānupatyā	ArDaDAtukasya-ixAgamaH iti-arTe jQAte, nityezu Sabdezu-Agama-viDAna-anupatyA
   arthāpattimūlakavākyāntarakalpaneneḍrahitabuddhiprasaṅge seḍbuddhiḥ	arTApatti-mUlaka-vAkya-antara-kalpanena-Ixrahita-budDi-prasaFge sexbudDiH
   kartavyeti/ evañcādeśeṣvivātrāpi buddhivipariṇāma iti na nityatvahāniḥ/	kartavyA-iti/ evaQca-AdeSezu-iva-atra-api budDi-vipariNAmaH iti na nitya-tva-hAniH/
   sthānivatsūtre ca nedṛśādeśagrahaṇam/	sTAni-vat-sUtre ca na-IdRSa-AdeSa-grahaNam/
   sākṣādaṣṭādyāyībodhitasthānyādeśabhāve cāritārthyāt/ kiñcevaṃ sati	sAkzAt-azwAdyAyI-boDita-sTAni-AdeSa-BAve cArita-arTyAt/ kiQca-ivam sati
   sthānibuddhyaiva kāryapravṛtyā 'lāvasthāyāmaḍiti' siddhantāsaṅgatiḥ/	sTAni-budDyA-eva kArya-pravRtyA alAvasTAya-amaxiti-a sidDantA-saFgatiH/
   sthānivadbhāvaviṣaye 'nirdiśyamānasya' iti paribhāṣāyāḥ pravṛttau	sTAni-vat-BAva-vizaye anirdiSyamAnasya-a iti pariBAzAyAH pravRttO
   'tisṛṇām' itiyatira paratvāttisrādeśe sthānivadbhāvena trayādeśamāśaṅkhya,	atisRNAm-a itiyatira paratvAt-tisrA-deSe sTAni-vat-BAvena traya-AdeSam-ASaFKya,
   'sakṛdgati' nyāyena samādhānaparabhāṣyāsaṅgatiḥ/	asakRt-gati-a nyAyena samADAna-para-BAzya-asaFgatiH/
   'eruḥ' ityādau sthānaṣaṣṭīnārdeśāttadantaparatayā paṭhitavākyasyaiva	aeruH-a ityAdO sTAna-zazwInArdeSa-At-ta-d-anta-para-tayA paWita-vAkyasya-eva
   samudāyādeśaparatvenā'deśagrahaṇasāmarthyāttasya sthānivatsūtre grahaṇena	samudAya-AdeSa-paratvenA-adeSa-grahaNa-sAmarTyAt-tasya sTAni-vat-sUtre grahaNena
   na doṣaḥ/ ānumānika sathānyādeśabhāvakalpane 'pi śrautasthānyādeśabhāvasya	na dozaH/ AnumAnika saTAni-AdeSa-BAva-kalpane api SrOta-sTAni-AdeSa-BAvasya
   na tyāga iti 'acaḥ parasmin' ityādernāsaṅgatiḥ/	na tyAgaH iti aacaH parasmin-a iti-AdeH-na-asaFgatiH/
   etena - 'yadāgamāḥ' iti paribhāṣā sthānivatsūtreṇa gatārthetyapāstham/	etena  ayat-AgamAHa iti pariBAzA sTAni-vat-sUtreNa gata-arTa-iti-apAsTam/
   etatsarvam 'dādhāghvadāp' iti sūtre bhāṣye spaṣṭam//	etat-sarvam adADAGvadAp-a iti sUtre BAzye spazwam//
   nanvevam udasthādityādau 'udaḥsthāstambhoḥ pūrvasya' iti	nanu-evam udasTAt-ityAdO audaH-sTA-stamBoH pUrvasya-a iti
   pūrvasavarṇāpattirata āha -	pUrva-savarNa-ApattiH-atas Aha -
   nirdaśyamānasyā'deśā bhavanti// Paribh_11 //	nirdaSyamAnasyA-adeSAH Bavanti// PariB_11 //
   'ṣaṣṭīsthāne yogā' iti sūtramāvartate/ tatra dvitīyasyāyamarthaḥ -	azazwI-sTAne yogAa iti sUtram-Avartate/ tatra dvitIyasya-ayam-arTaH -
   ṣaṣṭhyantaṃ nirdiśyamānamuccāryamāṇamuccāryamāṇasajātīyameva,	zazWI-antam nirdiSyamAnam-uccAryamANam-uccAryamANasajAtIyam-eva,
   nirdiśyamānāvayavarūpameva vā sthanena sthānanirūpitasambandhena yujyate,	nirdiSyamAna-avayava-rUpam-eva vA sTanena sTAna-nirUpita-sambanDena yujyate,
   na tu pratīyamānamityarthaḥ/ tenedaṃ siddham/ na ca 'asyacvau' ityādau	na tu pratIyamAnam-iti-arTaH/ tena-idam sidDam/ na ca aasyacvO-a ityAdO
   dīrgāṇāmādeśānāpattiḥ, teṣāṃ nirdiśyamānatvābhāvāditi vācyam, jātipakṣe	dIrgANAm-AdeSa-anApattiH, tezAm nirdiSyamAna-tva-aBAvAt-iti vAcyam, jAti-pakze
   doṣābhāvāt/ kiṅca 'na bhūsudhiyoḥ' iti niṣedhena grahaṇakaśāstragṛhītānāṃ	doza-aBAva-at/ kiFca anaH BU-suDiyoHa iti nizeDena grahaNaka-SAstra-gRhItAnAm
   nirdiśyamākāryabodhānna doṣaḥ/	nirdiSyam-AkArya-boDAt-na dozaH/
   iyaṅuvaṅorṅitvaṃ tu ivarṇovarṇāntaśnudhātubhruvāmityarthena dhātvādīnāmapi	iyaFuvaFoH-Fi-tvam tu ivaRNaH-varNa-antaSnu-DAtu-BruvAm-iti-arTena DAtu-AdInAm-api
   nirdiṣṭatvādantyādeśatvāya/ rīriṅorṅitvaṃ tu spaṣṭārthameva// etenedaṃ	nirdizwa-tvAt-anti-AdeSa-tva-aya/ rIriFA-uH-Fi-tvam tu spazwa-arTam-eva// etena-idam
   ṅitvaṃ varṇagrahaṇe nirdiśyamāna paribhāṣāyā apravṛttijñāpakamityapāstam/	Fitvam varNa-grahaNe nirdiSyamAnaH pariBAzAyAH apravRtti-jQApakam-iti-apAstam/
   'hayavaraṭ' sūtrasthena 'ayogavahānāmupadeśe 'lontyavidhiḥ prayojanam,	ahayavaraw-a sUtra-sTena aayoga-vahAnAm-upadeSe alontya-viDiH prayojanam,
   vṛkṣasttatra/ naitadasti prayojanam, nirdiśyamānasyetyeva siddham' - iti	vRkzaH-t-tatra/ na-etat-asti prayojanam, nirdiSyamAnasya-iti-eva sidDam-a  iti
   bhāṣyeṇa virodhāt/	BAzyeNa viroDAt/
   anayā paribhāṣayā 'yenavidhiḥ' iti sūtrabodhitatadantasya	anayA pariBAzayA ayena-viDiHa iti sUtra-boDita-tad-antasya
   sathānivatvābhāva bodhanam, yadāgamā iti labdhasya ca/	saTA-aniva-tva-aBAva boDanam, yad-AgamAH iti labDasya ca/
   tena 'supadaḥ' 'udasthāt' ityādi siddhiḥ/ anayā ca	tena asupadaHa auda-sTAt-a ityAdi sidDiH/ anayA ca
   svasvanimittasannidhāpitānām 'alo 'ntyasya' ityādīnāṃ samāveśa eva, na	sva-sva-nimitta-sanniDApitAnAm aalaH antyasya-a ityAdInAm samAveSaH eva, na
   bādhyabādhaka bhāvaḥ, virodhābhāvāt/ nāpyetayoraṅgāṅgibhavaḥ, ubhayorapi	bADya-bADaka BAvaH, viroDa-aBAvAt/ na-api-etayoH-aFga-aFgi-BavaH, uBayoH-api
   parārthatvena tadayoghāt/ 'anekāl śit' iti sūtre	para-arTa-tvena tat-ayaH-GAt/ aanekAt Sita iti sUtre
   sarvaścaitatparibhāṣābodhita eva gṛhyate/	sarvaH-ca-etad-pariBAzA-boDitaH eva gRhyate/
   yattu 'ādeḥ parasya' 'alontyasya' ityetāveva tadbādhakāviti tanna ;	yat-tu aAdeH parasya-a aalontyasya-a iti-etO=-eva tad-bADakO=-iti tat-na ;
   'udaḥsthāt' iti sūtraviṣaye 'syāḥ 'pādaḥ pat' iti sūtre bhāṣye	audaH-sTAt-a iti sUtra-vizaye asyAH apAdaH pata iti sUtre BAzye
   sañcāritatvāt/ nāpyetayoriyaṃ bādhikā, etayorniviṣayatvaprasaṅgāditi 'ti	saQcArita-tvAt/ na-api-etayoH-iyam bADikA, etayoH-nivizaya-tva-prasaFgAt-iti ati
   viṃśateḥ' iti sūtre kaiyaṭaḥ/ akajviṣaye nāyaṃ nyāyaḥ, sthānivadbhāvena	viMSateH-a iti sUtre kEyawaH/ akajvizaye na-ayam nyAyaH, sTAni-vat-BAvena
   tanmadhyapattanyāyena tadbudhāyaiva kāryajanakatvāt/ iyañca	tad-maDya-patta-nyAyena tad-buDAya-eva kArya-janaka-tvAt/ iyaQca
   avayavaṣaṣṭīviṣaye 'pi/ ata eva 'tadoḥ saḥ sāviti' satvam, 'atisyaḥ'	avayava-zazwI-vizaye api/ atas eva atadoH saH sAviti-a satvam, aatisyaH-a
   ityatropasargatakārasya na/ nirdiśyamānayuṣmadādyavayavamaparyamtasyaiva	iti-atra-upasargatakArasya na/ nirdiSyamAna-yuzmad-Adi-avayavam-aparyamtasya-eva
   yūyādayaḥ, na tu 'atiyūyam' ityādau sopasargāvayavamaparyantasyeti	yUyAdayaH, na tu aatiyUyam-a ityAdO sa-upasarga-avayavam-aparyantasya-iti
   bodhyam/ 'pādaḥ pat' iti sūtre 'ṣaṣṭī sthāne' iti sūtre ca bhāṣye ca	boDyam/ apAdaH pata iti sUtre azazwI sTAne-a iti sUtre ca BAzye ca
   spaṣṭaiṣā//	spazwa-ezA//
   nanu 'cetā' ityādau hrasvasyekārasya pramāṇata āntaryādakāro 'pi syādata	nanu acetA-a ityAdO hrasvasyekArasya pramANataH AntaryAda-kAraH api syAt-ata
   āha-	Aha-
   yatrānekavidhamāntaryaṃ tatra sthanata āntaryaṃ balīyaḥ // Paribh_12 //	yatra-anekaviDam-a-antaryam tatra sTanataH Antaryam balIyaH // PariB_12 //
   anekavidhamusthānaguṇapramāṇakṛtam/ atra mānam 'ṣaṣṭī sthāne' ityata	aneka-viDamu-sTAna-guNa-pramANa-kRtam/ atra mAnam azazwI sTAne-a iti-ata
   ekadeśānuvṛtyā sthāne grahaṇe 'nuvartamāne punaḥ 'sthānentaratamaḥ' iti	eka-deSa-anuvRtyA sTAne grahaNe anuvartamAne punar asTAna-intaratamaH-a iti
   sūtre sthāne grahaṇameva/ taddhi tṛtīyayā vipariṇamya vākyabhedena	sUtre sTAne grahaNam-eva/ tat-hi tRtIyayA vipariNamya vAkya-Bedena
   sthāninaḥ prasaṅge jāyamānaḥ sati sambhave sthānata evāntaratama	sTAninaH prasaFge jAyamAnaH sati samBave sTAnataH eva-antaratama
   ityarthakam/	iti-arTakam/
   tamabgrahaṇamevānekavidhāntarya sattāgamakam/ sthānataḥusthānenetyarthaḥ/	tam-ap-grahaNam-eva-anekaviDa-antarya sattA-Agamakam/ sTAnataHu-sTAnena-iti-arTaH/
   tatra sthānata āntaryam 'iko yaṇaci'	tatra sTAnataH Antaryam aikaH yaNa-ci-a
   ityādau prasiddhameva/ arthataḥ 'paddanno' ityādau sthānyarthābhidhāna	ityAdO prasidDam-eva/ arTataH apad-dannaH-a ityAdO sTAni-arTa-aBiDAna
   samarthasyaivā'deśateti siddhāntādyadarthābhidhānasamartho yaḥ, sa	samarTasya-evA-adeSa-tA-iti sidDAntAt-yad-arTa-aBiDAna-samarTaH yaH, sa
   tasyādeśa iti tatsamānārthatatsamānavarṇapadādīnāṃ te, tṛjvatkroṣṭuriti	tasya-AdeSaH iti tad-samAna-arTa-tad-samAna-varNa-pada-AdInAm te, tRjvat-krozwuH-iti
   ca/ guṇato 'vāgghariḥ' ityādau/ pramāṇataḥ 'adaso 'seḥ' ityādau/ 'sthāne	ca/ guNataH avAc-hariHa iti-AdO/ pramANataH aadasaH aseHa iti-AdO/ asTAne
   'ntaratamaḥ' sūtre bhāṣye spaṣṭaiṣā//	antaratamaH-a sUtre BAzye spazwA-ezA//
   nanu 'proḍhavān' ityatra 'prādūhoḍheti' vṛddhiḥ syādata āha-	nanu aproXavAn-a iti-atra aprAdUhoXa-iti-a vRdDiH syAt-atas Aha-
   arthavadgrahaṇe nānarthakasya // Paribh_13 //	arTavat-grahaNe na-anarTakasya // PariB_13 //
   viśiṣṭarūpopādāne/ upasthitārthasya śabdaṃ prati viśeṣaṇatayānvayasambhave	viSizwa-rUpa-upAdAne/ upasTita-arTasya Sabdam prati viSezaNa-tayA-anvaya-samBave
   tyāge mānābhāvo 'syā mūlam/ atrārthaḥ kalpitānvayavyatirekakalpitaḥ	tyAge mAna-aBAvaH asyAH mUlam/ atra-arTaH kalpita-anvaya-vyatireka-kalpitaH
   śāstrīyo 'pi gṛhyate iti 'saṅkhyāyāḥ' iti sūtre bhāṣye spaṣṭam/ iyaṃ varṇa	SAstrIyaH api gRhyate iti asaFKyAyAH-a iti sUtre BAzye spazwam/ iyam varNa
   grahaṇeṣu neti 'lasya' ityatra bhāṣye spaṣṭam/ ata eva eṣā	grahaNezu na-iti alasya-a iti-atra BAzye spazwam/ atas eva ezA
   viśiṣṭarūpopādāna viṣayeti-vṛddhāḥ/ etanmūlakameva 'yena vidhiḥ' ityatra	viSizwa-rUpa-upAdAna vizaya-iti-vRdDAH/ etat-mUlakam-eva ayena viDiH-a iti-atra
   bhāṣye paṭhyate 'alaivānarthakena tadantavidhiḥ' iti/	BAzye paWyate aalA-eva-anarTakena tad-anta-viDiH-a iti/
   kiñca 'svaṃ rūpam' iti śāstre svaśabdenā'tmīyavācinār'tho gṛhyate, rūpa	kiQca asvam rUpam-a iti SAstre sva-SabdenA-atmIya-vAcinAr-aTo gRhyate, rUpa
   śabdena svarūpam, evañca tadubhayaṃ śabdasya saṃjñīti tadarthaḥ/ tatrārtho	Sabdena svarUpam, evaQca tat-uBayam Sabdasya saMjQI-iti tad-arTaH/ tatra-arTaH-
   na viśeṣyastatra śastrīyopakāryāsambhavāt, kintu śabdaviśeṣaṇam/	na viSezyaH-tatra SastrIya-upakArya-asamBava-at, kintu Sabda-viSezaNam/
   evañcārthaviśiṣṭaḥ śabdaḥ saṃjñīti phalitam/ tenaiṣā paribhāṣā siddheti	evaQca-arTa-viSizwaH SabdaH saMjQI-iti Palitam/ tena-ezA pariBAzA sidDA-iti
   bhāṣye spaṣṭam//	BAzye spazwam//
   nanvevamapi 'mahadbhataścandramāḥ' ityatra 'ānmahataḥ' ityātvāpattirata	nanu-evam-api amahat-BataH-candramAHa iti-atra aAnmahataH-a iti-AtvApattiH-ata
   āha-	Aha-
   gauṇamukhyayormukhye kārya sampratyayaḥ // Paribh_14 //	gONa-muKyayoH-muKye kArya sampratyayaH // PariB_14 //
   guṇādāgato gauṇaḥ/ yathā-gośabdasya jāḍyādiguṇanimittor'tho vāhīkaḥ/	guNAt-AgataH gONaH/ yaTA-go-Sabdasya jAxya-Adi-guNa-nimittor-aTo vAhIkaH/
   aprasiddhaśca saṃjñādirapi tadguṇāropādeva buddhyate/ mukhamiva	aprasidDaH-ca saMjQA-AdiH-api tad-guNa-AropAt-eva budDyate/ muKam-iva
   pradhānatvāt mukhyaḥuprathama ityarthaḥ/ gauṇe hyarthe śabdaḥ prayujyamāno	praDAna-tvAt muKya-H-upraTamaH iti-arTaH/ gONe hi-arTe SabdaH prayujyamAnaH-
   mukhārthāropeṇa pravarthate/ evaṃ cāprasiddhatvaṃ gauṇalākṣaṇikatvaṃ cātra	muKa-arTa-AropeNa pravarTate/ evam ca-aprasidDa-tvam gONalAkzaNika-tvam ca-atra
   gauṇatvam/ tena 'priyatrayāṇām' ityādau trayādeśo bhavatyeva, tatra	gONa-tvam/ tena apriya-trayANAm-a ityAdO traya-AdeSaH Bavati-eva, tatra
   triśabdārthasyetaraviśeṣaṇatve 'pyuktagauṇatvābhāvāt/ kiñcāyaṃ nyāyo na	tri-Sabda-arTasya-itara-viSezaNa-tve api-ukta-gONa-tva-aBAva-at/ kiQca-ayam nyAyaH na
   prātipadikakārye, kintūpāttaṃ viśiṣyārthopasthāpakaṃ viśiṣṭarūpaṃ yatra	prAtipadika-kArye, kintU-pAttam viSizya-arTa-upasTApakam viSizwa-rUpam yatra
   tādṛśapadakārya eva/ pariniṣṭitasya padāntarasambandhe hi 'gaurvāhīkaḥ'	tAdRSa-pada-kAryaH eva/ parinizwitasya pada-antara-sambanDe hi agOH-vAhIkaH-a
   ityādau gauṇatvapratītirnatu	ityAdO gONa-tva-pratItiH-natu
   prātipadikasamskāravelāyāmityantaraṅgatvājjātasaṃskārabādhāyogaḥ	prAtipadika-samskAra-velAyAm-iti-antaraFga-tvAt-jAta-saMskAra-bADA-yogaH
   prātipadikakārye pravṛtyabhāve bījam/	prAtipadika-kArye pravRti-aBAve bIjam/
   śvaśurasadṛśasyāpatyamityarthake 'śvāśuriḥ' ityādāvata iñaḥ siddhaye -	SvaSura-sadRSasya-apatyam-iti-arTake aSva-ASuriHa iti-AdA=-ataH iQaH sidDaye -
   upāttamityādi/ na ca prātipatikapadaṃ tādṛśamiti vācyam, tena hi	upAttam-ityAdi/ na ca prAtipatika-padam tAdRSam-iti vAcyam, tena hi
   prātipadikapadavatvenopasthitiriti tasya viśiṣyārthopasthāpakatvābhāvāt/	prAtipadika-padava-tvena-upasTitiH-iti tasya viSizya-arTa-upasTApaka-tva-aBAvAt/
   nipātapadaṃ tu cāditvenaiva cādīnāmupasthāpakamiti	nipAta-padam tu ca-Adi-tvena-eva ca-AdInAm-upasTApakam-iti
   taduddeśyakakāryanidhāyake 'ot' ityādāvetatpravṛt 'gobhavattyā' ityādau	tad-uddeSyaka-kArya-niDAyake aota iti-AdO=-etat-pravRt agoBavattyAa ityAdO
   doṣo na/	dozaH na/
   'agnīṣomau māṇavakau' ityatra prasiddhadevatādvandvavācyagnīṣomapadasya	aagnIzomO mANavakO-a iti-atra prasidDa-devatA-dvandva-vAci-agnIzoma-padasya
   tatsadṛśaparatve 'pyantaraṅgatvādītvaṣatve bhavata eva/	tad-sadRSa-para-tve api-antaraFga-tva-AdItvaza-tve BavataH eva/
   sadṛśalākṣaṇikāgnisomapadayordvandve tannāmakāvityarthake ca netvaṣatve,	sadRSa-lAkzaNikA-agni-soma-padayoH-dvandve tad-nAmakO=-iti-arTake ca netu-aza-tve,
   ādye gauṇalākṣaṇikatvāt, antye 'prasiddhatvāt/ ata eva 'agnisomau	Adye gONala-akzaNika-tvAt, antye aprasidDa-tva-at/ atas eva aagni-somO
   māṇavako' ityatra gauṇamukhyanyāyena śatvavāraṇaparam,"agneḥ	mANavakaH-a iti-atra gONa-muKya-nyAyena Satva-vAraNa-param,"agneH
   stutstomasomāḥ"iti sūtrasthaṃ bhāṣyaṃ saṅgacchate/	stut-stoma-somAH"iti sUtra-sTam BAzyam saFgacCate/
   'gāṃ pāṭhaya' ityādau mukhya gopadārthasya pāṭhanakarmatvāsambhavena	agAm pAWaya-a iti-AdO muKya go-padArTasya pAWana-karma-tva-asamBavena
   nibhaktyutpattivelāyāṃ prayoktṛbhirgauṇārthatvasya	niBakti-utpatti-velAyAm prayoktRBiH-gONa-arTa-tvasya
   pratītāvapyapadasyāprayogeṇa boddhṛbhiḥ sarvatra padasyaiva	pratItO=-api-apadasya-aprayogeNa bodDRBiH sarvatra padasya-eva
   gauṇārthakatvasya graheṇa 'atvaṃ tvaṃ sampadyate, 'amahān mahānbhūtaḥ,	gONa-arTaka-tvasya graheNa aatvam tvam sampadyate, aamahAn mahAn-BUtaH,
   'tvadbhavatiṭha ityādi bhāśyaprayoge tvādyādeśadīrgādīnāṃ karaṇena cāsya	atvat-BavatiWaH ityAdi BASya-prayoge tu-Adya-AdeSa-dIrga-AdInAm karaNena ca-asya
   nyāyasya padakāryaviṣayatvamevocitam/ anyathā vākyasaṃskāra pakṣe teṣu	nyAyasya pada-kArya-vizaya-tvam-eva-ucitam/ anyaTA vAkya-saMskAra pakze tezu
   tadanāpattiḥ/	tad-anApattiH/
   kiñca"śuklām' ityukte karma nirdiṣṭam kartā kriyācānirdiṣṭe"ityādyuktyā	kiQca"SuklAma iti-ukte karma nirdizwam kartA kriyAca-anirdizwe"ityAdi-uktyA
   'ihedānīṃ gāmabhyāja kṛṣṇāṃ devadattetyādau sarvaṃ nirdiṣṭam, gāmeva	aiha-idAnIm gAm-aByAja kRzNAm devadattA-ityAdO sarvam nirdizwam, gAm-eva
   karma, devadatta eva karttā, abhyājaiva kriyā'	karma, devadattaH eva karttA, aByAja-eva kriyA-a
   ityarthakenārthavatsūtrasthabhāṣyeṇa kārakādimātraprayoge	iti-arTakena-arTavat-sUtra-sTa-BAzyeNa kAraka-Adi-mAtra-prayoge
   yogyasarvakriyādhyahāre prasakte niyamārthaḥ kriyāvācakādiprayoga	yogya-sarva-kriyA-aDyahAre prasakte niyama-arTaH kriyA-vAcaka-Adi-prayoga
   ityetattātparyakeṇa sāmānyataḥ kriyājanyaphalāśrayatvamātravivakṣāyāṃ	iti-etat-tAt-paryakeNa sAmAnyatas kriyA-janya-Pala-ASraya-tva-mAtra-vivakzAyAm
   dvitīyādīnāṃ sādhutvānvākhyānamityarthalābhena pāṭhanakriyānvayakāle	dvitIya-AdInAm sADu-tva-anvAKyAnam-iti-arTa-lABena pAWana-kriyA-anvaya-kAle
   padasyaiva gauṇarthatvapratītiḥ prayokturapi/	padasya-eva gONarTa-tva-pratItiH prayoktuH-api/
   etanmūlakaḥ"abhivyaktapadārthāḥ ye' iti ślokopi padakāryaviṣayakaḥ/	etad-mUlakaH"aBivyakta-padArTAH ye-a iti Sloka-upi pada-kArya-vizayakaH/
   dhvanitaṃ cedam 'sarvādīni' iti sūtre saṃjñābhūtānāṃ pratiṣedhamārabhatā	Dvanitam ca-idam asarva-AdIni-a iti sUtre saMjQA-BUtAnAm pratizeDam-AraBatA
   vārttikakṛtā,"pūrvaparā"iti sūtre 'asaṃjñāyām' iti vadatā sūtrakṛtā,	vArttika-kRtA,"-pUrva-parA"-iti sUtre aasaMjQAyAma iti vadatA sUtra-kRtA,
   anvarthasaṃjñayā tatpratyākhyānaṃ kurvatā bhāṣyakṛtā ca/	anvarTa-saMjQayA tat-pratyAKyAnam kurvatA BAzya-kRtA ca/
   arthāśraya etadevaṃ bhavati, śabdāśraye ca vṛddhyātve-iti 'ot' sūtrastha	arTa-ASrayaH etat-evam Bavati, Sabda-ASraye ca vRdDyA-tve-iti aota sUtra-sTa
   bhāṣyasya laukikārthavatvayogyapadāśraya	BAzyasya lOkika-arTavatva-yogya-pada-ASraya
   eṣa nyāyaḥ, tadrahitaśabdāśraye ca te ityarthaḥ/ 'gotaḥ' iti	eza nyAyaH, tad-rahita-Sabda-ASraye ca te iti-arTaH/ agotaHa iti
   yathāśrutasūtre viśiṣṭarūpopādānasatvenoktarītyaivatasya	yaTA-Sruta-sUtre viSizwa-rUpa-upAdAna-satvena-uktarItyA-evatasya
   bhāṣyasya vyākhyeyatvādityalam//	BAzyasya vyAKyeya-tvAt-iti-alam//
   arthavadgrahaṇe-ityasyāpavādamāha :-	arTavat-grahaNe-iti-asya-apavAdam-Aha :-
   aninasmingrahaṇānyarthavatā cānarthakena ca tadantavidhiṃ prayojayanti //	aninasmin-grahaNAni-arTavatA ca-anarTakena ca tad-anta-viDim prayojayanti //
   Paribh_15 //	PariB_15 //
   'yena vidhiḥ' ityatra bhāṣye vacana rūpeṇa paṭhitaiṣā/ tena 'rājñā'	ayena viDiH-a iti-atra BAzye vacana rUpeNa paWitA-ezA/ tena arAjQA-a
   'sāmnā' ityādvallopaḥ, 'daṇḍī' 'vāgmī' ityādau 'inhan' iti niyamaḥ,	asAmnA-a ityAt-vallopaH, adaNxI-a avAgmI-a ityAdO ainhana iti niyamaH,
   'supayāḥ' 'susrotāḥ' ityādau 'atvasantasya' iti dīrgaḥ, 'suśarmā'	asupayAHa asusrotAHa ityAdO aatvasantasya-a iti dIrgaH, asuSarmA-a
   'suprathimā' ityādau 'manaḥ' iti ṅībniṣedhaśca siddhaḥ/ anye tu	asu-praTimAa ityAdO amanaH-a iti FIbnizeDaH-ca sidDaH/ anye tu
   'parivīviṣīdhvam' ityatra ḍhatvavyāvṛttaye kriyamāṇāt 'iṇaḥ ṣīdhvam'	aparivIvizIDvam-a iti-atra Xatva-vyAvRttaye kriyamANAt aiNaH zIDvam-a
   ityatrāṅgagrahaṇādarthavatparibhāṣānityā, tanmūlakamidamityāhuḥ/	iti-atra-aFga-grahaNAt-arTavat-pariBAzA-nityA, tad-mUlakam-idam-iti-AhuH/
   'vibhāṣeṭaḥ' ityatrānarthakasyaiva ṣīdhvamaḥ sambhavādatrāpi tasyaiva	aviBAzewaHa iti-atra-anarTakasya-eva zIDvamaH samBavAt-atra-api tasya-eva
   grahaṇamiti bhramavāraṇāya 'aṅgāt' iti pare//	grahaNam-iti Brama-vAraNAya aaFgAt-a iti pare//
