   // nyāyavārttikatātparyapariśuddhiḥ //	// nyAyavArttika tAtparya pariSudDiH //
   na ca tanniveśanavyatirekeṇa te grāhitāḥ syurityata āha  maṅgalyāntara	na ca tad niveSana vyatirekeNa te grAhitAH syuH iti atas Aha   maFgalya antara
   vaditi //	vat iti //
   tatreti /	tatra iti /
   śāstre vyākhyātavye /	SAstre vyAKyAtavye /
   nanu daṇḍakasūtrasyānuvādo nāstītyata uktaṃ saṃkṣepata iti /	nanu daNxaka sUtrasya anuvAdaH na asti iti atas uktam saMkzepate iti /
   nanvādisūtratvamasya suprasiddhameva, abhisaṃbandhavākyatvāt, tatkimanena	nanu Adi sUtra tvam asya su prasidDam eva, aBisaMbanDa vAkya tva at, tat kim anena
   udīritenetyata āha  ādigrahaṇeneti /	udIritena iti atas Aha  Adi grahaNena iti /
   nanu śāstraniḥśreyasayoranena saṃbandho varṇyate, tataḥ	nanu SAstra niHSreyasayoH anena saMbanDaH varNyate, tatas 
   saṃbandhavākyamidamiti yuktam, abhistu kimarthamityata āha  abhimata iti /	saMbanDa vAkyam idam iti yuktam, aBistu kimarTam iti atas Aha  aBimataH iti /
   asti hi śāstraniḥśreyasayorvācyavāyakabhāvalakṣaṇo 'pi saṃbandhaḥ, na	asti hi SAstra niHSreyasayoH vAcya vAyaka BAva lakzaNaH api saMbanDaH, na
   cāsāvihābhimtaḥ, prekṣāvatpravṛttyanaṅgatvāt /	ca asO= iha aBimtaH, prekzA vat pravRtti anaFga tvAt /
   na hi vācakād vācyapratītervācyasya niṣpattiḥ, yato mumukṣurvācake	na hi vAcakAt vAcya pratIteH vAcyasya nizpattiH, yatas mumukzuH vAcake
   pravartatām /	pravartatAm /
   upāye tūpeyārtho pravartate /	upAye tu upeya arTaH pravartate /
   tena hetuhetumadbhāva eva vivakṣita ityarthaḥ /	tena hetu hetum at BAvaH eva vivakzitaH iti arTaH /
   nanu nātra śāstram, tasya niḥśreyasahetutvaṃ vā śrūyata ityata	nanu na atra SAstram, tasya niHSreyasa hetu tvam vA SrUyate iti ata
   āha  pramāṇādīti /	Aha   pramANa Adi iti /
   rūḍhapadātikrame kiṃ tātparyamityata āha  na hīti /	rUXa padAtikrame kim tAtparyam iti atas Aha  na hi iti /
   yadyapi śiṣyate anuśiṣyate pramāṇādikamaneneti śāstramiti vyutpattyā	yadi api Sizyate anuSizyate pramANa Adi kam anena iti SAstram iti vyutpattyA
   atrāpi kāraṇatā gamyate, tathāpi śāsakasaṃbaddhavyāpāravattayā, na tu	atra api kAraNa tA gamyate, taTA api SAsaka saMbadDa vyApAravat tayA, na tu
   śiṣyasaṃbaddhavyāpāravattayā /	Sizya saMbadDa vyApAravat tayA /
   sā ceha vivakṣitā /	sA ca iha vivakzitA /
   anyathā pramāṇādīni tattvato jñātvāpi tāvanna mucyate	anyaTA pramANa AdIni tattvataH jQAtvA api tAvat na mucyate
   yāvannānuśiṣyāditi /	yAvat na anuSizyAt iti /
   tadidamuktam  padārthatattvāvagamakaraṇatayeti na svarūpeṇeti ca /	tat idam uktam   padArTa tattva avagama karaNa tayA iti na svarUpeNa iti ca /
   nanu hetutvakaraṇatve na viṣayabhedena bhavitumarhata ityata āha  teneti	nanu hetu tva karaNa tve na vizaya Bedena Bavitum arhate iti atas Aha  tena iti
   ubhayorapi hetuḥ śāstraṃ karaṇaṃ ca /	uBayoH api hetuH SAstram karaNam ca /
   kiṃ tu padārthatattve jñāpakatayā niḥśreyase tadvyāpāravataḥ	kim tu padArTa tattve jQApakatayA niHSreyase tad vyApAravataH
   karaṇatayetyarthaḥ /	karaNa tayA iti arTaH /
   tadidamuktam  tathā ceti /	tat idam uktam    taTA ca iti /
   evaṃ ca sati śāstrasya niḥśreyase karttavye padārthatattvajñānasya	evam ca sati SAstrasya niHSreyase karttavye padArTa tattva jQAnasya
   nirūktibalena vyāpāratve darśite vyāpāravyāpāriṇoḥ kāryakāraṇabhāvaḥ /	nirUkti balena vyApAra tve darSite vyApAra vyApAriNoH kArya kAraNa BAvaH /
   tathā vyāpāravatā śāstreṇa vyāpāraviṣayasya pramāṇādeḥ	taTA vyApAravatA SAstreNa vyApAra vizayasya pramANa AdeH
   pratipādyapratipādakabhāvaḥ /	pratipAdya pratipAdaka BAvaH /
   tathā vyāpāraviṣayeṇa pramāṇādinā vyāpārasya tattvajñānasya	taTA vyApAra vizayeNa pramANa AdinA vyApArasya tattva jQAnasya
   viṣayaviṣayībhāvaḥ /	vizaya vizayIBAvaH /
   tathā vyāpāreṇa tattvajñānena vyāpārulasya niḥśreyasasya kāryakāraṇabhāvaḥ	taTA vyApAreNa tattva jQAnena vyApArulasya niHSreyasasya kArya kAraNa BAvaH
   tathā vyāpāraviṣayaphalayorhetuhetumadbhāvaḥ saṃbandha sūcito	taTA vyApAra vizaya PalayoH hetu hetumat BAvaH saMbanDa sUcitaH 
   nāntarīyakatvāt /	na antarIyaka tvAt /
   na hyataddhetukastadvacāpāro nāma, nāpyatatkarma tadvacāpāraviṣayaḥ, nāpi	na hi atad hetukaH tat vacA pAraH nAma, na api atat karma tad vacA pAra vizayaH, na api
   tatphalānanuguṇastadvacāpāraḥ, tadvacāpāraviṣayo veti pajcasu vaktavyeṣu	tad PalAn anuguNaH tad vacA pAraH, tad vacA pAra vizayaH vA iti pajcasu vaktavyezu
   upalakṣaṇārthaṃ dvayamāha  śāstrapramāṇāditi /	upalakzaNa arTam dvayam Aha  SAstra pramANAt iti /
   enameva vyutpattilabhyaṃ vyāpāramabhipretya tattvasya jñānamiti karmaṇi	enam eva vyutpatti laByam vyApAram aBipretya tattvasya jQAnam iti karmaNi
   ṣaṣṭhī	zazWI
   bhāṣyakāreṇa darśiteti na karaṇavyutpattirvirūddhā //	BAzya kAreNa darSitA iti na karaNa vyutpattiH virUdDA //
   nanu śiṣyācāryaśāstratadvyākhyānānāmapi saṃbandhāḥ kaiścit	nanu Sizya AcArya SAstra tad vyAKyAnAnAm api saMbanDAH kEScid 
   samānatāntrikaiḥ pradarśitāḥ /	samAna tAntrikEH pradarSitAH /
   te kasmānna pradarśyante ityata āha  tadidamabhidheyeti /	te kasmAt na pradarSyante iti atas Aha  tat idam aBiDeya iti /
   na hrāstītyetāvanmātreṇaiva pradarśanīyam /	na hrAsti iti etAvat mAtreNa eva pradarSanIyam /
   kiṃ nāma? yāvatyapratipādite prekṣāvatpravṛttirna syāt, tāvat pradarśyate	kim nAma? yAvati apratipAdite prekzAvat pravRttiH na syAt, tAvat pradarSyate
   na ca śiṣyācāryādisaṃbandhāḥ prekṣāvatpravṛttyaṅgam, teṣāṃ	na ca Sizya AcArya Adi saMbanDAH prekzAvat pravRtti aFgam, tezAm
   pravṛttiphalatvāt /	pravRtti Pala tvAt /
   pravṛttyuttarakālaṃ hi śiṣyaḥ pratipādyaḥ, pratipādakaścācāryaḥ, śāstraṃ	pravRtti uttara kAlam hi SizyaH pratipAdyaH, pratipAdakaH ca AcAryaH, SAstram
   vyākhyeyam, vyākhyātā ca sa ityādi sidhyati /	vyAKyeyam, vyAKyAtA ca saH ityAdi siDyati /
   na ca śāstrācāryādīnāṃ svarūpapratipādanamapyupayujyate,	na ca SAstra AcArya AdInAm svarUpa pratipAdanam api upayujyate,
   pramāṇāntarasiddhatvāt /	pramANa antara sidDa tvAt /
   tasmāt prayojanamabhidhayaṃ tayoḥ saṃbandho 'bhidheyastaddvārā śāstrasya	tasmAt prayojanam aBiDayam tayoH saMbanDaH aBiDeyaH tad dvArA SAstrasya
   prayojanena saṃbandha ityetadarthatveme prathamasūtrasya nyāyyamityarthaḥ	prayojanena saMbanDaH iti etad arTa tva ime praTama sUtrasya nyAyyam iti arTaH
   nanu yasya mithyājñānaṃ saṃsāraṃ pratanoti tasyaiva tattvajñānaṃ	nanu yasya miTyAjQAnam saMsAram pratanoti tasya eva tattva jQAnam
   niḥśreyasahetuḥ, ātmā ca tathā, tadanyeṣāṃ tu śāstrābhidheyānāmapi na	niHSreyasa hetuH, AtmA ca taTA, tad anyezAm tu SAstra aBiDeyAnAm api na
   niḥśreyasahetutvam /	niHSreyasa hetu tvam /
   tathā ca na niḥśreyasasaṃbandhaḥ ityata āha  yatpadārtheti //	taTA ca na niHSreyasa saMbanDaH iti atas Aha  yat padArTa iti //
   nanu pramāṇādipadārthatattvajñānasya yadi niḥśreyasahetutā śāstrapravṛtteḥ	nanu pramANa Adi padArTa tattva jQAnasya yadi niHSreyasa hetu tA SAstra pravRtteH
   pūrvameva pramāṇasiddhā niṣprayojanaṃ śāstre prayojanābhidhānam,	pUrvam eva pramANa sidDA nizprayojanam SAstre prayojana aBiDAnam,
   mānāntarasiddhe upadeśānapekṣaṇāt /	mAna antara sidDe upadeSa anapekzaNAt /
   atheta eva tanniścayo dusttaramitaretarāśrayatvam /	aTa itas eva tat niScayaH dusttaram itaretara ASraya tvam /
   pravṛtto hi prayojanaṃ niścinuyāt /	pravRttaH hi prayojanam niScinuyAt /
   niścitaprayojanaśca pravarteta /	niScita prayojanaH ca pravarteta /
   na ca pravṛtteḥ prāgeva munivacanānniścinoti, prathamasūtra eva	na ca pravRtteH prAk eva muni vacanAt niScinoti, praTama sUtraH eva
   prayojanāniścayena pravṛttyanupapatteḥ /	prayojana aniScayena pravRtti anupapatteH /
   tatrāpi ca pravṛttyarthaṃ prayojanāntarābhidhāne 'navasthā /	tatra api ca pravRtti arTam prayojana antara aBiDAne anavasTA /
   tadaniśvaye 'pyādyā pravṛttiścet, uttarottarapravṛttāvapi	tad aniSvaye api AdyA pravRttiH cet, uttarottara pravRttO= api
   tathātvaprasaṅgaḥ /	taTA tva prasaFgaH /
   tasmāt prayojanādyabhidhānamanarthakamiti kecit /	tasmAt prayojana Adi aBiDAnam anarTakam iti kecid /
   tadanupapannam /	tad anupapannam /
   tridhā hi puṃsāṃ cittavṛttayaḥ, anubhava icchā prayatnaśceti /	triDA hi puMsAm citta vRttayaH, anuBavaH icCA prayatnaH ca iti /
   tatrānubhavo necchāmanuvidhatte, aniṣṭasyāpyupalabdheḥ /	tatra anuBavaH na icCAm anuviDatte, anizwasya api upalabDeH /
   icchā tu puruṣārthe svarasotthitā, tatsādhane ca tathātvānumānotthāpyā /	icCA tu puruza arTe svarasa utTitA, tad sADane ca taTA tva anumAna utTApyAH /
   prayatnastu sādhanaviṣaya eva /	prayatnaH tu sADana vizayaH eva /
   tatra sādhanagocarāvicchaprayatnau /	tatra sADana gocara AvicCa prayatnO /
   ādyā pravṛttirityucyate, na tvanubhavaḥ /	AdyA pravRttiH iti ucyate, na tu anuBavaH /
   phalagocarā vā icchā pravṛttiḥ, cena tayorapi prayojananiścayāpekṣā syāt /	Pala gocarAH vA icCA pravRttiH, cena tayoH api prayojana niScaya apekzA syAt /
   na	na
   hyupekṣaṇīyaṃ niṣprayojanamiti nānubhūyate /	hi upekzaNIyam nizprayojanam iti na anuBUyate /
   nāpi sukhaṃ prayojanāntaraśūnyakiti neṣyate /	na api suKam prayojana antara SUnyakiti na izyate /
   nāpi mumukṣuṇānapekṣite svarge yāgādikaṃ tatsādhanatayā nānubhūyate /	na api mumukzuNA anapekzite svarge yAga Adikam tad sADana tayA na anuBUyate /
   puruṣārthasādhane tvicchālakṣaṇā vā prayatnalakṣaṇā vā pravṛttirna	puruza arTa sADane tu icCA lakzaNAH vA prayatna lakzaNAH vA pravRttiH na
   svarasasiddhā /	svarasa sidDAH /
   na hi kaścit kṣudhī duḥkhaprahāṇaṃ tṛptisauhityasukha vā	na hi kaScid kzuDI duHKa prahANam tRpti sOhitya suKa vA
   ananusaṃdhāyānnamattumicchati prayatate vā /	ananusaMDAya annamattum icCati prayatate vA /
   tasmād yatra yaḥ pravartayitavyaḥ sa tatsādhyamarthaṃ daśayitvā, yataśca	tasmAt yatra yaH pravartayitavyaH sa tat sADyam arTam daSayitvA, yatas ca
   yo nivartayitavyaḥ sa tatsādhyamanarthaṃ darśayitveti /	yaH nivartayitavyaH sa tat sADyam anarTam darSayitvA iti /
   uktaṃ pracojanādikam /	uktam pracojana Adikam /
   tattu śrotā kathaṃ śraddhāsyati, aśraddadhāno vā kathaṃ	tat tu SrotA kaTam SradDAsyati, aSraddaDAnaH vA kaTam
   pravartsyatītyavaśiṣyate /	pravartsyati iti avaSizyate /
   tatrāha  viniściteti /	tatra aha   viniScitA iti /
   yadyapi munerāptatvāvadhāraṇe prayojanānabhidhāne 'pi	yadi api muneH Apta tva avaDAraNe prayojana anaBiDAne api
   prayojanasāmānyaniścayo bhavatyeva prayojanavadidaṃ śāstramāptoktatvāditi	prayojana sAmAnya niScayaH Bavati eva prayojana vat idam SAstram Apta ukta tvAt iti
   , tathāpi nāsau pravṛttyaṅgam /	, taTA api na asO pravRtti aFgam /
   na hi prayojanavadityeva pravartate /	na hi prayojana vat iti eva pravartate /
   kiṃ tarhi? asmadapekṣitaprayojanavadidamiti kṛtvā /	kim tarhi? asmad apekzita prayojana vat idam iti kRtvA /
   sa ca prayojanaviśeṣo vacanādevāvasīyata iti sārthakametadabhidhānam /	sa ca prayojana viSezaH vacanAt eva avasIyate iti sArTakam etat aBiDAnam /
   tadidamuktam  prayojanādi viniścitya /	tat idam uktam   prayojana Adi viniScitya /
   viśeṣata iti śeṣaḥ /	viSezate iti SezaH /
   viniścayaśca śāstropāyakamevedaṃ niḥśreyasamityākāro na	viniScayaH ca SAstra upAyakam eva idam niHSreyasam iti AkAraH na
   tvavaśyaṃbhāviprayojanākāraḥ, kṛṣyādāvavagrahādivadatrāpyantarāyasaṃbhavāt	tu avaSyaMBA vi prayojana AkAraH, kRzi AdO= avagraha Adi vat atra api antarAya saMBavAt
   tadidaṃ prayojanasya pravartakatvamuddeśyatayā, na tu pravṛttiviṣayatayā /	tat idam prayojanasya pravartaka tvam uddeSya tayA, na tu pravRtti vizaya tayA /
   tena neṣṭābhyupāyatāvidhivirodhaḥ //	tena na izwa aByupAyatA viDi viroDaH //
   nanu munerāptatvāniścaye kiṃ tadvacane pravṛttirnāstyeva? tathā sati	nanu muneH Apta tva aniScaye kim tad vacane pravRttiH na asti eva? taTA sati
   tasyāptatvaniścayo 'pi kathamityata	tasya Aptatva niScayaH api kaTam iti ata
   āha  āptatvāniścaye tvarthasaṃśayāt /	Aha  a Apta tva aniScaye tu arTa saMSayAt /
   śāstrasādhyatayeti śeṣaḥ /	SAstra sADyatayA iti SezaH /
   nanu saṃśayānasya kathaṃ prekṣāvataḥ pravṛttiritya āha  na khalviti /	nanu saMSayAn asya kaTam prekzAvataH pravRttiH ityaH Aha  na Kalu iti /
   yadyapi ca sasyādhigamasya kṛṣyādisādhyatayā saṃśayo nāsti, tathāpi	yadi api ca sasya aDigamasya kRzi Adi sADya tayA saMSayaH nAsti, taTA api
   bhaviṣyattayā astyeva /	Bavizyat tayA asti eva /
   tathāpi	taTA api
   tamuddiśya prekṣāvantaḥ pravartante /	tam uddiSya prekzAvantaH pravartante /
   yathā ca tatra śataikāṃśikaḥ phalābhāvaḥ phalakoṭistūtkaṭā tathātrāpi /	yaTA ca tatra Sata ekAMSikaH Pala aBAvaH PalakowiH tu utkawA taTA atra api /
   na hīndriyāpātajo 'yaṃ saṃśayaḥ /	na hi indriyA pAta jaH ayam saMSayaH /
   kiṃ nāma? āptatvāviniścayahetukāprāmāṇyaśaḍkyā samākṛṣṭaḥ /	kim nAma? Apta tva aviniScaya hetukA prAmANya SaxkyA samAkRzwaH /
   vastutastu sūtrāt prayojanādiniścayākārameva vijñānamityarthaḥ /	vastutas tu sUtrAt prayojana Adi niScaya AkAram eva vijQAnam iti arTaH /
   nanu saṃśayaḥ prayojanādivākyābhāve 'pi sulabhaḥ, viśeṣasmṛtistu	nanu saMSayaH prayojana Adi vAkya aBAve api sulaBaH, viSeza smRtiH tu
   arthitvaviśeṣāt bhaviṣyatītyāha  na ceti /	arTi tva viSezAt Bavizyati iti Aha  na ca iti /
   yadvacanena hi yaḥ pravartate sa tadvacanādeva viśeṣasmṛtimapekṣate, na	yat vacanena hi yaH pravartate sa tad vacanAt eva viSeza smRtim apekzate, na
   svātantryeṇa /	svAtantryeNa /
   na hi rogārto mamedaṃ roganivṛttisādhanaṃ bhavenna veti yatra	na hi roga ArtaH mama idam roga nivRtti sADanam Bavet na vA iti yatra
   tatrocchṛḍkhalaḥ svayamutprekṣya pravartate /	tatra ucCRz KalaH svayam utprekzya pravartate /
   kiṃ nāma? anavadhṛtāptatvasyāpi vaidyasyaiva vacanāt /	kim nAma? anavaDRta Apta tvasya api vEdyasya eva vacanAt /
   anyathā tvayaṃ prayojanābhidhānamanadhigacchan anarthamapyāśaṅketa, kiṃ	anyaTA tu ayam prayojana aBiDAnam anaDigacCan anarTam api ASaFketa, kim
   niṣprayojanamidaṃ kākadantaparīkṣāgranthavat, utāśakyasādhanaprayojanaṃ	nizprayojanam idam kAka danta parIkzA granTavat, uta aSakya sADana prayojanam
   mṛtyuharahimamahīdharottarasānusiddhasaṃjīvanīkathanavat,	mRtyu hara hima mahIDara uttarasA anusidDa saMjIvanI kaTanavat,
   athānabhimataprayojanamāryāvartanivāsinaṃ prati dākṣiṇātyasya	aTa anaBimata prayojanam AryAvarta nivAsinam prati dAkziNAti asya
   mātulakanyakāpariṇayaprakramopadeśavat, athābhimatasyāpi śakyasyāpi	mAtula kanyakA pariNaya prakrama upadeSavat, aTa aBimatasya api Sakyasya api
   prayojanasya laghīyasyupāyāntare satyapi gururayamupāyaḥ pipāsuṃ prati	prayojanasya laGIyasi upAya antare sati api guruH ayam upAyaH pipAsum prati
   gīrvāṇataraḍgiṇītīrasamīpakūpakhananopadeśavat /	gIrvANa taraxgiNI tIra samIpa kUpa Kanana upadeSa vat /
   etāsu cānarthasaṃbhāvanāsu na pravartate /	etAsu ca anarTa saMBAvanAsu na pravartate /
   na ca prayojanābhidhāne 'pyetāsāmavakāśaḥ, lokavyavahārocchedaprasaṅgāt /	na ca prayojana aBiDAne api etAsAm avakASaH, loka vyavahAra ucCeda prasaFgAt /
   na hi kaścid vaidyavacanādeva māśaḍkya nivartate yathā	na hi kaScid vEdya vacanAt eva mASaxkya nivartate yaTA
   svayamutprekṣyeti bhāvaḥ /	svayam utprekzya iti BAvaH /
   tadanarthakaṃ niṣprayojanamityarthaḥ /	tad anarTakam nizprayojanam iti arTaH /
   aśakyānuṣṭhānatvamupāyasyāsiddhamityata āha  tathā hīti /	aSakya anuzWAna tvam upAyasya asidDam iti atas Aha   taTA hi iti /
   iha dvividhaḥ pramāṇaśabdasyārthaḥ  pramīyate 'neneti ca pramāṇam,	iha dviviDaH pramANa Sabdasya arTaH  pramIyate anena iti ca pramANam,
   pramitiḥ pramāṇamiti /	pramitiH pramANam iti /
   ca /	ca /
   tatra prathamamadhikṛtyoktam  prameyādīnāṃ tattvajñānaṃ	tatra praTamam aDikRtya uktam  prameya AdInAm tattva jQAnam
   pramāṇatattvajñānādhīnamiti //	pramANa tattva jQAna aDInam iti //
   nanvidindrayādīnāmajñāyamānānāmeva svaviṣayaparicchedajanakatvaṃ	nanu idindrayA AdInAm ajQAyamAnAnAm eva sva vizaya paricCeda janaka tvam
   paśyannapi kathamevaṃ brūyādityata āha  na hīti /	paSyan= api kaTam evam brUyAt iti atas Aha  na hi iti /
   pramāṇatvenājñāyamānaṃ pramāṇaṃ svaviṣayaṃ paricchinatti, na	pramANa tvena ajQAyamAnam pramANam sva vizayam paricCinatti, na
   tvavadhārayati /	tu avaDArayati /
   tacceha vivakṣitamityarthaḥ /	tat ca iha vivakzitam iti arTaH /
   kimiti nāvadhārayati? na hindriyamajñāyamānamaniścayākārameva jñānaṃ	kim iti na avaDArayati? na hindriyam ajQAyamAnam aniScaya AkAram eva jQAnam
   janayatītyata āha  tāvanmātrasyeti /	janayati iti atas Aha   tAvat mAtrasya iti /
   yadyapi niścayākārameva jñānamādhatte tathāpi tathābhūtasyaiva bhūyo	yadi api niScaya AkAram eva jQAnam ADatte taTA api taTABUtasya eva BUyo
   bhūyaḥ prameyaviraholabdherviśeṣānupalabdheśca	BUyas prameya virahaH labDeH viSeza anupalabDeH ca
   saṃdehastadavaskandatītyarthaḥ /	saMdehaH tat avaskandati iti arTaH /
   tatkiṃ kvacidapyavadhāraṇaṃ nāstyeva? tathā sati toyamevedamityādiko	tat kim kvacid api avaDAraNam na asti eva? taTA sati toyam eva idam ityAdikaH 
   laukikaḥ pratyayaḥ, tathā pūrvapakṣiṇaḥ kvacidapi viniścayo	lOkikaH pratyayaH, taTA pUrva pakziNaH kvacid api viniScayaH 
   nāstyevetyādikaścābhimāno viruddhyetetyata āha  api tviti /	na asti eva iti AdikaH ca aBimAnaH virudDi eta iti atas Aha   api tu iti /
   yadi kvacit prameyatattvāvadhāraṇaṃ paramārthaḥ, tadā	yadi kvacid prameya tattva avaDAraNam parama arTaH, tadA
   pramāṇatattvāvadhāraṇadvāreṇaiva /	pramANa tattva avaDAraNa dvAreNa eva /
   pramārāntareṇa tu bhavanna pāramārthikamityarthaḥ /	pramAra antareNa tu Bavat na pAramArTikam iti arTaH /
   bodhakatvaṃ bodhajanakatvaṃ bodhajananāvacchinnā satteti yāvat /	boDaka tvam boDa janaka tvam boDa janana avacCinnA sattA iti yAvat /
   avyabhicāritvamaviparītānubhavajanakatvamaviparītānubhavajananāvacchi nnā	avyaBicAri tvam aviparIta anuBava janaka tvam aviparIta anuBava janana avacCi nnA
   satteti yāvat /	sattA iti yAvat /
   evaṃ copadhidvayāvacchinnāyāḥ sattāyā upādhibhedād bhinnāyā	evam ca upaDi dvaya avacCinnAyAH sattAyAH upADi BedAt BinnAyAH 
   ivaikasminnarthe samavāyaḥ kṛtakatvānityatvayoriva na viruddhaḥ /	iva ekasmin= arTe samavAyaH kRta ka tva anitya tvayoH iva na virudDaH /
   tenāvyabhicāritvena jñāyamāneneti śeṣaḥ /	tena avyaBicAri tvena jQAyamAnena iti SezaH /
   pramāṇyāvadhāraṇaṃ tarhi kkopayujyata ityata āha  tadeva hīti //	pramANya avaDAraNam tarhi kkopa yujyate iti atas Aha  tat eva hi iti //
   pramāṇaṃ hi pramākaraṇam /	pramANam hi pramAkaraNam /
   na ca karaṇatvādayaḥ sāmānyaviśeṣāḥ santi /	na ca karaNa tva AdayaH sAmAnya viSezAH santi /
   sāmānyasaṃkaraprasaṅgāt /	sAmAnya saMkara prasaFgAt /
   kiṃ nāma? sādhakatamatvameva karaṇatvam /	kim nAma? sADakatama tvam eva karaNa tvam /
   tadviśeṣakastu kriyāviśeṣa eva /	tad viSezakaH tu kriyA viSezaH eva /
   sa cātra pramālakṣaṇaḥ /	sa ca atra pramA lakzaNaH /
   pramā cāviparītopalabdhiḥ /	pramA ca aviparIta upalabDiH /
   ato 'viparītānubhavajanakatvalakṣaṇamavyabhicāritvameva prāmāṇyamityarthaḥ	atas aviparIta anuBava janaka tva lakzaNam avyaBicAri tvam eva prAmANyam iti arTaH
   yadyevaṃ tadavadhāraṇapūrvakameva prameyādyavadhāraṇamastvityata	yadi evam tad avaDAraNa pUrvakam eva prameya Adi avaDAraNam astu iti ata
   āha  tacceti /	Aha  tat ca iti /
   pramākaraṇatvaṃ hi nānavadhāritāyāṃ pramāyāmavadhārayituṃ śakyamityarthaḥ	pramAkaraNa tvam hi na anavaDAritAyAm pramAyAm avaDArayitum Sakyam iti arTaH
   tarhi pramātvamevāvadhāryatām, na hi tadapyaupādhikaṃ	tarhi pramAtvam eva avaDArya tAm, na hi tat api OpADikam
   yenopādhyanavadhāraṇe naivāvadhāryetetyata āha  tathā hīti /	yena upADi anavaDAraNe na eva avaDArI eta iti atas Aha   taTA hi iti /
   vijñānasya pramāyāḥ /	vijQAnasya pramAyAH /
   prāmāṇyaṃ pramātvam /	prAmANyam pramAtvam /
