   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati sAhasrikA PrajQApAramitA
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchattradhvajapatākāvaijayantībhis	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Cattra Dvaja patAkA vEjayantIBiH 
   taiś ca sthalajalajaiḥ puṣpais taṃ tathāgatakāyam avakiranti sma,	tEH ca sTala jala jEH puzpEH tam taTAgata kAyam avakiranti sma,
   abhyavakiranti sma.	aByavakiranti sma.
   atha khalu yais taiḥ	aTa Kalu yEH tEH
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchattradhvajapatākāvaijayantīvarṣaiḥ	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Cattra Dvaja patAkA vEjayantI varzEH
   sthalajalajaiś ca puṣpair bhagavān avakīrṇas tāni ca sarvāṇi	sTala jala jEH ca puzpEH BagavAn avakIrNaH tAni ca sarvANi
   uparyantarīkṣe bhagavato 'dhiṣṭhānena	upari antarIkze BagavataH aDizWAnena
   trisāhasramahāsāhasralokadhātupramāṇam ekaṃ kūṭāgāraṃ saṃsthitam abhūt,	tri sAhasra mahA sAhasra loka DAtu pramANam ekam kUwAgAram saMsTitam aBUt ,
   tataś ca kūṭāgārāt tāni divyāni puṣpapaṭṭadāmāni lambante pralambante sma,	tatas ca kUwAgArAt tAni divyAni puzpa pawwa dAmAni lambante pralambante sma,
   taiś ca puṣpadāmabhiḥ paṭṭadāmabhiś cāyaṃ trisāhasramahāsāhasro lokadhātur	tEH ca puzpa dAmaBiH pawwa dAmaBiH ca ayam tri sAhasra mahA sAhasraH lokaDAtuH 
   atīvāśobhata, tena ca suvarṇavarṇena bhagavataḥ prabhāvabhāsena daśasu	atIva aSoBata, tena ca suvarNa varNena BagavataH praBAva BAsena daSasu
   dikṣu prasṛtena ekaikasyāṃ diśi gaṅgānadībālukopamā lokadhātavaḥ	dikzu prasRtena ekEkasyAm diSi gaFgA nadI bAlukA upamAH lokaDAtavaH
   sphuṭāvabhāsitāś cābhūvan, asmiṃś ca trisāhasramahāsāhasre lokadhātau	sPuwa avaBAsitAH ca aBUvan, asmin ca tri sAhasra mahA sAhasre lokaDAtO
   sarveṣu cāturdvīpakeṣu lokadhātuṣu teṣāṃ devamanuṣyāṇāṃ (PvsP1 1: 7) ca	sarvezu cAturdvIpakezu lokaDAtuzu tezAm deva manuzyANAm (PvsP1 1: 7) ca
   ekaikasyaitad abhūt, mama puratas tathāgato niṣaṇṇo dharmaṃ deśayatīti.	ekEkasya etat aBUt, mama puratas taTAgataH nizaNNaH Darmam deSayati iti.
   atha khalu bhagavāṃs tasminn eva siṃhāsane niṣaṇṇaḥ punar eva smitam	aTa Kalu BagavAn tasmin eva siMhAsane nizaNNaH punar eva smitam
   akarot, yena smitāvabhāsenāyaṃ trisāhasramahāsāhasro lokadhātuḥ sphuṭo	akarot, yena smita avaBAsena ayam tri sAhasra mahA sAhasraH lokaDAtuH sPuwaH 
   'bhūt, yāvad daśasu dikṣu gaṅgānadībālukopamā lokadhātavaḥ sphuṭā abhūvan,	aBUt, yAvat daSasu dikzu gaFgA nadI bAlukA upamAH lokaDAtavaH sPuwAH aBUvan,
   ye ceha trisāhasramahāsāhasre lokadhātau sattvās te sarve pūrvasyāṃ diśi	ye ca iha tri sAhasra mahA sAhasre lokaDAtO sattvAH te sarve pUrvasyAm diSi
   gaṅgānadībālukopameṣu lokadhātuṣu buddhān bhagavataḥ paśyanti sma	gaFgA nadI bAlukA upamezu lokaDAtuzu budDAn BagavataH paSyanti sma
   saśrāvakasaṃghān, tasyāṃ ca pūrvasyāṃ diśi gaṅgānadībālukopameṣu	sa SrAvaka saMGAn, tasyAm ca pUrvasyAm diSi gaFgA nadI bAlukA upamezu
   lokadhātuṣu ye sattvās te sarve imāṃ sahālokadhātuṃ paśyanti sma	lokaDAtuzu ye sattvAH te sarve imAm saha AlokaDAtum paSyanti sma
   śākyamuniṃ ca tathāgataṃ sārdhaṃ bhikṣusaṃghena. evaṃ dakṣiṇasyāṃ diśi	SAkya munim ca taTAgatam sArDam Bikzu saMGena. evam dakziNasyAm diSi
   paścimāyām uttarasyām uttarapūrvasyāṃ pūrvadakṣiṇasyāṃ dakṣiṇapaścimāyāṃ	paScimAyAm uttarasyAm uttara pUrvasyAm pUrva dakziNasyAm dakziNa paScimAyAm
   paścimottarasyām adha ūrdhvaṃ digbhāge gaṅgānadībālukopameṣu lokadhātuṣu	paScima uttarasyAm aDas UrDvam digBAge gaFgA nadI bAlukA upamezu lokaDAtuzu
   buddhān bhagavataḥ paśyanti sma saśrāvakasaṃghān, teṣu ca	budDAn BagavataH paSyanti sma sa SrAvaka saMGAn, tezu ca
   gaṅgānadībālukopameṣu lokadhātuṣu ye sattvās te sarve imāṃ sahālokadhātuṃ	gaFgA nadI bAlukA upamezu lokaDAtuzu ye sattvAH te sarve imAm saha AlokaDAtum
   paśyanti sma śākyamuniñ ca tathāgataṃ sārdhaṃ bhikṣusaṃghena.	paSyanti sma SAkyamunin ca taTAgatam sArDam Bikzu saMGena.
   atha khalu pūrvasyāṃ diśi gaṅgānadībālukopamān lokadhātūn atikramya tebhyo	aTa Kalu pUrvasyAm diSi gaFgA nadI bAlukA upamAn lokaDAtUn atikramya teByaH 
   yaḥ sarvāvasāniko lokadhātū ratnāvatī nāma tatra ratnākaro nāma tathāgato	yaH sarva avasAnikaH lokaDAtuH ratnAvatI nAma tatra ratnAkaraH nAma taTAgataH 
   'rhan samyaksaṃbuddhas tiṣṭhati dhriyate yāpayati, sa imām eva	arhan samyaksaMbudDaH tizWati Driyate yApayati, saH imAm eva
   prajñāpāramitāṃ bodhisattvānāṃ dharmaṃ deśayati.	prajQApAramitAm boDisattvAnAm Darmam deSayati.
   atha tatra lokadhātau samantaraśmir nāma bodhisattvo mahāsattvas taṃ	aTa tatra lokaDAtO samantaraSmiH nAma boDisattvaH mahAsattvaH tam
   mahāntam avabhāsaṃ dṛṣṭvā tañ ca mahāntaṃ pṛthivīcālaṃ tañ ca bhagavato	mahAntam avaBAsam dRzwvA taQ ca mahAntam pRTivI cAlam taQ ca BagavataH 
   'secanakam ātmabhāvaṃ dṛṣṭvā yena bhagavān ratnākaras tathāgato 'rhan	asecanakam Atma BAvam dRzwvA yena BagavAn ratna AkaraH taTAgataH arhan
   samyaksaṃbuddhas tenopasaṃkrāmad upasaṃkramya tasya bhagavataḥ pādāv	samyaksaMbudDaH tena upasaMkrAmat upasaMkramya tasya BagavataH pAdO= 
   abhivandya taṃ tathāgataṃ ratnākaram etad avocat: ko bhagavan hetuḥ? kaḥ	aBivandya tam taTAgatam ratna Akaram etat avocat: kaH Bagavan hetuH? kaH
   pratyayo? 'sya mahato 'vabhāsasya loke prādurbhāvāyāsya ca mahataḥ	pratyayo? asya mahataH avaBAsasya loke prAdurBAvAya asya ca mahataH
   pṛthivīcālasyāsya ca tathāgatasyāsecanakātmabhāvasya saṃdarśanāya.	pRTivI cAlasya asya ca taTAgatasya Asecanaka Atma BAvasya saMdarSanAya.
   evam ukte ratnākaras tathāgataḥ samantaraśmiṃ bodhisattvam etad avocat:	evam ukte ratna AkaraH taTAgataH samantaraSmim boDisattvam etat avocat :
   asti kulaputretaḥ paścimāyāṃ diśi gaṅgānadībālukopamān lokadhātūn	asti kula putra itas paScimAyAm diSi gaFgA nadI bAlukA upamAn lokaDAtUn
   (PvsP1 1: 8) atikramya sahā nāma lokadhātus tatra śākyamunir nāma	(Pu sP1 1: 8) atikramya sahA nAma lokaDAtuH tatra SAkyamuniH nAma
   tathāgato 'rhan samyaksaṃbuddhas tiṣṭhati dhriyate yāpayati, sa	taTAgataH arhan samyaksaMbudDaH tizWati Driyate yApayati, sa
   bodhisattvānāṃ mahāsattvānāṃ prajñāpāramitāṃ saṃprakāśayati tasyāyam īdṛśo	boDisattvAnAm mahAsattvAnAm prajQApAramitAm saMprakASayati tasya ayam IdRSaH 
   'nubhāvaḥ.	anuBAvaH.
   atha khalu samantaraśmir bodhisattvo ratnākaraṃ tathāgatam etad avocat:	aTa Kalu samantaraSmiH boDisattvaH ratna Akaram taTAgatam etat avocat :
   gamiṣyāmy ahaṃ bhagavaṃs tāṃ sahāṃ lokadhātuṃ tañ ca śākyamuniṃ tathāgataṃ	gamizyAmi aham Bagavan tAm sahAm lokaDAtum taQ ca SAkya munim taTAgatam
   darśanāya vandanāya paryupāsanāya tāṃś ca bodhisattvān mahāsattvān	darSanAya vandanAya paryupAsanAya tAn ca boDisattvAn mahAsattvAn
   bhūyastvena kumārabhūtān dhāraṇīpratilabdhān samādhinirhārakuśalān	BUyastvena kumAra BUtAn DAraNI pratilabDAn samADi nirhAra kuSalAn
   sarvasamādhivaśipāramitāṅ gatān.	sarva samADi vaSi pAramitAF gatAn .
   sa bhagavān āha: gaccha tvaṃ kulaputra yasyedānīṃ kālaṃ manyase.	sa BagavAn Aha: gacCa tvam kula putra yasya idAnIm kAlam manyase.
   atha khalu ratnākaras tathāgato nānāratnamayāni suvarṇāvabhāsāni	aTa Kalu ratna AkaraH taTAgataH nAnA ratna mayAni suvarNa avaBAsAni
   sahasrapatrāṇi padmāni samantaraśmaye bodhisattvāya prādāt, etais tvaṃ	sahasra patrANi padmAni samantaraSmaye boDisattvAya prAdAt, etEH tvam
   kulaputra padmais taṃ śākyamuniṃ tathāgatam abhyavakireḥ, evañ ca vadeḥ	kula putra padmEH tam SAkya munim taTAgatam aByavakireH, evan ca vadeH
   ratnākaro bhagavān bhagavantam alpābādhatāṃ paripṛcchaty alpātaṅkatāṃ	ratna AkaraH BagavAn Bagavantam alpa AbADa tAm paripRcCati alpa AtaFka tAm
   laghūtthānatāṃ yātrāṃ balaṃ sukhasparśavihāratāṃ paripṛcchati, imāni ca	laGu utTAna tAm yAtrAm balam suKa sparSa vihAra tAm paripRcCati, imAni ca
   tena bhagavatā ratnākareṇa tathāgatenārhatā samyaksaṃbuddhena padmāni	tena BagavatA ratna AkareNa taTAgatena arhatA samyaksaMbudDena padmAni
   prahitāni bhagavata iti, saṃprajānakārī ca tvaṃ kulaputra tatra	prahitAni BagavataH iti, saMprajAna kArI ca tvam kula putra tatra
   buddhakṣetre bhūyāḥ. tat kasya hetoḥ? durāsadā hi te bodhisattvā ye tatra	budDa kzetre BUyAH. tat kasya hetoH? durAsadAH hi te boDisattvAH ye tatra
   sahāyāṃ lokadhātāv upapannāḥ.	sahAyAm loka DAtO upapannAH.
   atha khalu samantaraśmir bodhisattvo ratnākarasya tathāgatasya sakāśāt	aTa Kalu samantaraSmiH boDisattvaH ratna Akarasya taTAgatasya sakASAt 
   tāni nānāratnamayāni padmāni gṛhītvā suvamanirbhāsāni sahasrapatrāṇi	tAni nAnA ratna mayAni padmAni gRhItvA suvama nirBAsAni sahasra patrANi
   anekair bodhisattvakoṭiniyutaśatasahasrair gṛhasthaiḥ pravrajitaiś ca	anekEH boDisattva kowi niyuta Sata sahasrEH gRhasTEH pravrajitEH ca
   dārakair dārikābhiś ca sārdhaṃ parivṛtaḥ puraskṛtaḥ pūrvasyāṃ diśi teṣu	dArakEH dArikABiH ca sArDam parivRtaH puraskRtaH pUrvasyAm diSi tezu
   gaṅgānadībālukopameṣu lokadhātuṣu buddhān bhagavataḥ satkurvan gurukurvan	gaFgA nadI bAlukA upamezu lokaDAtuzu budDAn BagavataH satkurvan gurukurvan
   mānayan pūjayan	mAnayan pUjayan
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchattradhvajapatākāvaijayantībhir	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Cattra Dvaja patAkA vEjayantIBiH 
   yeneyaṃ sahālokadhātus tena saṃprāptaḥ, yena ca śākyamunis tathāgatas	yena iyam saha AlokaDAtuH tena saMprAptaH, yena ca SAkya muniH taTAgata s
   tenopasaṃkrāntaḥ, upasaṃkramya bhagavataḥ pādau śirasābhivandya ekānte	tena upasaMkrAntaH, upasaMkramya BagavataH pAdO SirasA aBivandya ekAnte
   'tiṣṭhat, ekānte sthitaś ca samantaraśmir bodhisattvo bhagavantaṃ	atizWat, ekAnte sTitaH ca samantaraSmiH boDisattvaH Bagavantam
   śākyamunim etad avocat: ratnākaro bhagavān bhagavantam alpābādhatāṃ	SAkya munim etat avocat: ratna AkaraH BagavAn Bagavantam alpa AbADa tAm
   paripṛcchaty alpātaṅkatāṃ laghūtthānatāṃ yātrāṃ balaṃ sukhasparśavihāratāṃ	paripRcCati alpa AtaFka tAm laGu utTAna tAm yAtrAm balam suKa sparSa vihAra tAm
   ca paripṛcchati, imāni ca tena bhagavatā ratnākareṇa tathāgatena (PvsP1 1:	ca paripRcCati, imAni ca tena BagavatA ratna AkareNa taTAgatena (PvsP1 1:
   9) nānāratnamayāni suvarṇanirbhāsāni sahasrapatrāṇi padmāni preṣitāni	9) nAnA ratna mayAni suvarNa nirBAsAni sahasra patrANi padmAni prezitAni
   bhagavataḥ.	BagavataH.
   atha khalu bhagavān śākyamunis tathāgatas tāni padmāni gṛhītvā yena te	aTa Kalu BagavAn SAkya muniH taTAgataH tAni padmAni gRhItvA yena te
   pūrvasyāṃ diśi gaṅgānadībālukopamā lokadhātavas tena prākṣipat, taiś ca	pUrvasyAm diSi gaFgA nadI bAlukA upamA lokaDAtavaH tena prAkzipat, tEH ca
   padmais te lokadhātavaḥ sphuṭā abhūvan, teṣu ca padmeṣu buddhavigrahā	padmEH te lokaDAtavaH sPuwAH aBUvan, tezu ca padmezu budDa vigrahA
   niṣaṇṇakāḥ, teṣu ca buddhakṣetreṣu dharmaṃ deśayanti yad utemām eva	nizaNNakAH, tezu ca budDa kzetrezu Darmam deSayanti yat uta imAm eva
   prajñāpāramitāpratisaṃyuktāṃ dharmadeśanām, yaiś ca sattvaiḥ sa dharmaḥ	prajQApAramitA pratisaMyuktAm Darma deSa nAm, yEH ca sattvEH sa DarmaH
   śrutas te niyatā abhūvann anuttarāyāṃ samyaksaṃbodhau.	SrutaH te niyatAH aBUvan anuttarAyAm samyaksaMboDO.
   atha khalu te bodhisattvās te ca gṛhasthās te ca pravrajitās te ca dārakās	aTa Kalu te boDisattvAH te ca gRhasTAH te ca pravrajitAH te ca dArakAH 
   tāś ca dārikās tato ratnāvatyā lokadhātoḥ samantaraśminā bodhisattvena	tAH ca dArikAH tatas ratnAvatyAH lokaDAtoH samantaraSminA boDisattvena
   mahāsattvena sārdham āgatāḥ svakasvakaiḥ kuśalamūlair bhagavantaṃ	mahAsattvena sArDam AgatAH sva ka svakEH kuSala mUlEH Bagavantam
   śākyamuniṃ satkṛtya gurukṛtya saṃmānya saṃpūjyaikānte nyaṣīdan.	SAkya munim satkRtya gurukRtya saMmAnya saMpUjya ekAnte nyazIdan.
   atha khalu dakṣiṇasyāṃ diśi gaṅgānadībālukopamān lokadhātūn atikramya	aTa Kalu dakziNasyAm diSi gaFgA nadI bAlukA upamAn lokaDAtUn atikramya
   tebhyo yaḥ sarvāvasāniko lokadhātuḥ sarvaśokāpagato nāma tatrāśokaśrīr	teByaH yaH sarva avasAnikaH lokaDAtuH sarva Soka apagataH nAma tatra aSoka SrIH 
   nāma tathāgato 'rhan samyaksaṃbuddhas tiṣṭhati dhriyate yāpayati, sa imām	nAma taTAgataH arhan samyaksaMbudDaH tizWati Driyate yApayati, saH imAm
   eva prajñāpāramitāṃ bodhisattvānāṃ dharmaṃ deśayati.	eva prajQApAramitAm boDisattvAnAm Darmam deSayati.
   atha tatra lokadhātau vigataśoko nāma bodhisattvo mahāsattvas taṃ mahāntam	aTa tatra lokaDAtO vigata SokaH nAma boDisattvaH mahAsattvaH tam mahAntam
   avabhāsaṃ dṛṣṭvā tañ ca mahāntaṃ pṛthivīcālaṃ tañ ca bhagavato 'secanakam	avaBAsam dRzwvA taQ ca mahAntam pRTivI cAlam taQ ca BagavataH asecanakam
   ātmabhāvaṃ dṛṣṭvā yena bhagavān aśokaśrīs tathāgato 'rhan samyaksaṃbuddhas	Atma BAvam dRzwvA yena BagavAn aSoka SrIH taTAgataH arhan samyaksaMbudDas
   tenopasaṃkrāmad upasaṃkramya tasya bhagavataḥ pādāv abhivandya taṃ	tena upasaMkrAmat upasaMkramya tasya BagavataH pAdO aBivandya tam
   tathāgatam aśokaśriyam etad avocat: ko bhagavan hetuḥ? kaḥ pratyayo? 'sya	taTAgatam aSoka Sriyam etat avocat: kaH Bagavan hetuH? kaH pratyayo? asya
   mahato 'vabhāsasya loke prādurbhāvāyāsya ca mahataḥ pṛthivīcālasyāsya ca	mahataH avaBAsasya loke prAdurBAvAya asya ca mahataH pRTivI cAlasya asya ca
   tathāgatasyāsecanakātmabhāvasya saṃdarśanāya.	taTAgatasya Asecanaka Atma BAvasya saMdarSanAya.
   evam ukte aśokaśrīs tathāgato vigataśokaṃ bodhisattvam etad avocat: asti	evam ukte aSoka SrIH taTAgataH vigata Sokam boDisattvam etat avocat: asti
   kulaputreta uttarasyāṃ diśi gaṅgānadībālukopamān lokadhātūn atikramya sahā	kula putreta uttarasyAm diSi gaFgA nadI bAlukA upamAn lokaDAtUn atikramya sahA
   nāma lokadhātus tatra śākyamunir nāma tathāgato 'rhan samyaksaṃbuddhas	nAma lokaDAtuH tatra SAkyamuniH nAma taTAgataH arhan samyaksaMbudDas
   tiṣṭhati dhriyate yāpayati, sa bodhisattvānāṃ mahāsattvānāṃ	tizWati Driyate yApayati, sa boDisattvAnAm mahAsattvAnAm
   prajñāpāramitāṃ saṃprakāśayati tasyāyam īdṛśo 'nubhāvaḥ.	prajQApAramitAm saMprakASayati tasya ayam IdRSaH anuBAvaH.
   (PvsP1 1: 10)	(Pu sP1 1: 10)
   atha khalu vigataśoko bodhisattvo 'śokaśriyaṃ tathāgatam etad avocat:	aTa Kalu vigata SokaH boDisattvaH aSoka Sriyam taTAgatam etat avocat :
   gamiṣyāmy ahaṃ bhagavaṃs tāṃ sahāṃ lokadhātuṃ tañ ca śākyamuniṃ tathāgataṃ	gamizyAmi aham Bagavan tAm sahAm lokaDAtum taQ ca SAkya munim taTAgatam
   darśanāya vandanāya paryupāsanāya tāṃś ca bodhisattvān mahāsattvān	darSanAya vandanAya paryupAsanAya tAn ca boDisattvAn mahAsattvAn
   bhūyastvena kumārabhūtān dhāraṇīpratilabdhān samādhinirhārakuśalān	BUyastvena kumAra BUtAn DAraNI pratilabDAn samADi nirhAra kuSalAn
   sarvasamādhivaśipāramitāṅ gatān.	sarva samADi vaSi pAramitAF gatAn .
   sa bhagavān āha: gaccha tvaṃ kulaputra yasyedānīṃ kālaṃ manyase.	sa BagavAn Aha: gacCa tvam kula putra yasya idAnIm kAlam manyase.
   atha khalu aśokaśrīs tathāgato nānāratnamayāni suvarṇāvabhāsāni	aTa Kalu aSoka SrIH taTAgataH nAnA ratna mayAni suvarNa avaBAsAni
   sahasrapatrāṇi padmāni vigataśokāya bodhisattvāya prādāt, etais tvaṃ	sahasra patrANi padmAni vigata SokAya boDisattvAya prAdAt, etEH tvam
   kulaputra padmais taṃ śākyamuniṃ tathāgatam abhyavakireḥ, evañ ca vadeḥ,	kula putra padmEH tam SAkya munim taTAgatam aByavakireH, evan ca vadeH,
   aśokaśrīr bhagavān bhagavantam alpābādhatāṃ paripṛcchaty alpātaṅkatāṃ	aSoka SrIH BagavAn Bagavantam alpa AbADa tAm paripRcCati alpa AtaFka tAm
   laghūtthānatāṃ yātrāṃ balaṃ sukhasparśavihāratāṃ ca paripṛcchati, imāni ca	laGu utTAna tAm yAtrAm balam suKa sparSa vihAra tAm ca paripRcCati, imAni ca
   tena bhagavatā aśokaśriyā tathāgatenārhatā samyaksaṃbuddhena padmāni	tena BagavatA aSoka SriyA taTAgatena arhatA samyaksaMbudDena padmAni
   prahitāni bhagavata iti, saṃprajānakārī ca tvaṃ kulaputra tatra	prahitAni BagavataH iti, saMprajAna kArI ca tvam kula putra tatra
   buddhakṣetre bhūyāḥ. tat kasya hetoḥ? durāsadā hi te bodhisattvā ye tatra	budDa kzetre BUyAH. tat kasya hetoH? durAsadAH hi te boDisattvAH ye tatra
   sahāyāṃ lokadhātāv upapannāḥ.	sahAyAm loka DAtO upapannAH.
   atha khalu vigataśoko bodhisattvo 'śokaśriyaḥ tathāgatasya sakāśāt tāni	aTa Kalu vigata SokaH boDisattvaH aSoka SriyaH taTAgatasya sakASAt tAni
   nānāratnamayāni padmāni gṛhītvā suvarṇanirbhāsāni sahasrapatrāṇi anekair	nAnA ratna mayAni padmAni gRhItvA suvarNa nirBAsAni sahasra patrANi anekEH 
   bodhisattvakoṭīniyutaśatasahasrair gṛhasthaiḥ pravrajitaiś ca dārakair	boDisattva kowI niyuta Sata sahasrEH gRhasTEH pravrajitEH ca dArakEH 
   dārikābhiś ca sārdhaṃ parivṛtaḥ puraskṛtaḥ dakṣiṇasyāṃ diśi teṣu	dArikABiH ca sArDam parivRtaH puraskRtaH dakziNasyAm diSi tezu
   gaṅgānadībālukopameṣu lokadhātuṣu buddhān bhagavataḥ satkurvan gurukurvan	gaFgA nadI bAlukA upamezu lokaDAtuzu budDAn BagavataH satkurvan gurukurvan
   mānayan pūjayan	mAnayan pUjayan
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchattradhvajapatākāvaijayantībhir	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Cattra Dvaja patAkA vEjayantIBiH 
   yeneyaṃ sahālokadhātus tena saṃprāptaḥ, yena ca śākyamunis tathāgatas	yena iyam saha AlokaDAtuH tena saMprAptaH, yena ca SAkya muniH taTAgata s
   tenopasaṃkrāntaḥ, upasaṃkramya bhagavataḥ pādau śirasābhivandya ekānte	tena upasaMkrAntaH, upasaMkramya BagavataH pAdO SirasA aBivandya ekAnte
   'tiṣṭhat, ekānte sthitaś ca vigataśoko bodhisattvo bhagavantaṃ śākyamunim	atizWat, ekAnte sTitaH ca vigata SokaH boDisattvaH Bagavantam SAkya munim
   etad avocat: aśokaśrīr bhagavān bhagavantam alpābādhatāṃ paripṛcchaty	etat avocat: aSoka SrIH BagavAn Bagavantam alpa AbADa tAm paripRcCati 
   alpātaṅkatāṃ laghūtthānatāṃ yātrāṃ balaṃ sukhasparśavihāratāṃ ca	alpa AtaFka tAm laGu utTAna tAm yAtrAm balam suKa sparSa vihAra tAm ca
   paripṛcchati, imāni ca tena bhagavatā aśokaśriyā tathāgatena	paripRcCati, imAni ca tena BagavatA aSoka SriyA taTAgatena
   nānāratnamayāni suvarṇanirbhāsāni sahasrapatrāṇi padmāni preṣitāni	nAnA ratna mayAni suvarNa nirBAsAni sahasra patrANi padmAni prezitAni
   bhagavataḥ.	BagavataH.
   atha khalu bhagavān śākyamunis tathāgatas tāni padmāni gṛhītvā (PvsP1 1:	aTa Kalu BagavAn SAkya muniH taTAgataH tAni padmAni gRhItvA (Pu sP1 1:
   11) yena te dakṣiṇasyāṃ diśi gaṅgānadībālukopamā lokadhātavas tena	11) yena te dakziNasyAm diSi gaFgA nadI bAlukA upamA lokaDAtavaH tena
   prākṣipat, taiś ca padmais te lokadhātavaḥ sphuṭā abhūvan, teṣu ca padmeṣu	prAkzipat, tEH ca padmEH te lokaDAtavaH sPuwAH aBUvan, tezu ca padmezu
   buddhavigrahā niṣaṇṇakās teṣu ca buddhakṣetreṣu dharmaṃ deśayanti sma, yad	budDa vigrahAH nizaNNakAH tezu ca budDa kzetrezu Darmam deSayanti sma, yat 
   utemām eva prajñāpāramitāpratisaṃyuktāṃ dharmadeśanāṃ, yaiś ca sattvaiḥ sa	uta imAm eva prajQApAramitA pratisaMyuktAm Darma deSanAM, yEH ca sattvEH sa
   dharmaḥ śrutas te niyatā abhūvan anuttarāyāṃ samyaksaṃbodhau.	DarmaH SrutaH te niyatAH aBUvan anuttarAyAm samyaksaMboDO.
   atha khalu te bodhisattvās te ca gṛhasthās te ca pravrajitās te ca dārakās	aTa Kalu te boDisattvAH te ca gRhasTAH te ca pravrajitAH te ca dArakAH 
   tāś ca dārikās tataḥ sarvaśokāpagatāyā lokadhātoḥ vigataśokena	tAH ca dArikAH tatas sarva Soka apagatAyAH lokaDAtoH vigata Sokena
   bodhisattvena mahāsattvena sārdham āgatāḥ svakasvakaiḥ kuśalamūlair	boDisattvena mahAsattvena sArDam AgatAH sva ka svakEH kuSala mUlEH 
   bhagavantaṃ śākyamuniṃ satkṛtya gurukṛtya saṃmānya saṃpūjyaikānte	Bagavantam SAkya munim satkRtya gurukRtya saMmAnya saMpUjya ekAnte
   nyaṣīdan.	nyazIdan.
   atha khalu paścimāyāṃ diśi gaṅgānadībālukopamān lokadhātūn atikramya	aTa Kalu paScimAyAm diSi gaFgA nadI bAlukA upamAn lokaDAtUn atikramya
   tebhyo yaḥ sarvāvasāniko lokadhātur upaśāntā nāma tatra ratnārcir nāma	teByaH yaH sarva avasAnikaH lokaDAtuH upaSAntA nAma tatra ratnArciH nAma
   tathāgato 'rhan samyaksaṃbuddhas tiṣṭhati dhriyate yāpayati, sa imām eva	taTAgataH arhan samyaksaMbudDaH tizWati Driyate yApayati, saH imAm eva
   prajñāpāramitāṃ bodhisattvānāṃ dharmaṃ deśayati.	prajQApAramitAm boDisattvAnAm Darmam deSayati.
   atha tatra lokadhātau cāritramatir nāma bodhisattvo mahāsattvas taṃ	aTa tatra lokaDAtO cAritramatiH nAma boDisattvaH mahAsattvaH tam
   mahāntam avabhāsaṃ dṛṣṭvā tañ ca mahāntaṃ pṛthivīcālaṃ tañ ca bhagavato	mahAntam avaBAsam dRzwvA taQ ca mahAntam pRTivI cAlam taQ ca BagavataH 
   'secanakam ātmabhāvaṃ dṛṣṭvā yena bhagavān ratnārcis tathāgato 'rhan	asecanakam Atma BAvam dRzwvA yena BagavAn ratna arciH taTAgataH arhan
