   dvitīya uddyotaḥ	dvitIyaH uddyotaH
   caturthapādamavatārayati  	caturTa pAdam avatArayati  
   uktetyādi /	uktA ityAdi /
   smaraṇeti /	smaraNA iti /
   jaladharādyuddīpakānāṃ priyatamāsādhāraṇatvasmaraṇam /	jalaDara Adi uddIpakAnAm priyatamA sADAraNa tva smaraNam /
   śabdaḥ vaidehīti śabdaḥ, tajjanitabodha iti yāvat /	SabdaH vEdehi iti SabdaH, tad janita boDaH iti yAvat /
   'vikalpaḥ kathaṃ bhaviṣyatī'ti vitarkaḥ /	avikalpaH kaTam BavizyatI ati vitarkaH /
   teṣāṃ paramparayetyarthaḥ /	tezAm paramparayA iti arTaH /
   'vyaṅgye'tyādigranthaṃ vyācaṣṭe  	avyaFgye atyAdi granTam vyAcazwe  
   vyaṅgyamityādi /	vyaFgyam ityAdi /
   prayojaneti /	prayojana iti /
   lakṣaṇāprayojanetyarthaḥ /	lakzaNa aprayojanA iti arTaH /
   tadatra kimityata āha  	tat atra kim iti atas Aha  
   rājyeti /	rAjya iti /
   rājyabhraṃśādityarthaḥ /	rAjya BraMSAt iti arTaH /
   ādipadena vanavāsapitṛjāyāviyogādikaṃ duḥkhakāri sarvaṃ gṛhyate /	Adipadena vana vAsa pitR jAyA viyoga Adikam duHKa kAri sarvam gRhyate /
   asya vyaṅgyatvaṃ vyavasthāpayiṣyannāha  	asya vyaFgya tvam vyavasTApayizyat = Aha  
   taccetyādi /	tat ca ityAdi /
   tat prayojanam /	tat prayojanam /
   abhidhetyādi /	aBiDA ityAdi /
   yugapadabhidātumaśakyamityarthaḥ /	yugapad aBidAtum aSakyam iti arTaH /
   krameṇeti /	krameNa iti /
   taditi abhidāvyāpāreṇeti cānuṣajyate /	tat iti aBidAvya apAreNa iti ca anuzajyate /
   ekadhīti /	ekaDI iti /
   ekabodhaviṣayatvābhāvādityarthaḥ /	eka boDa vizaya tva aBAvAt iti arTaH /
   pratīyamānamiti /	pratIyamAnam iti /
   vyajyamānamityarthaḥ /	vyajyamAnam iti arTaH /
   tuśabdo viśeṣe /	tuSabdaH viSeze /
   tadasaṅkhyamiti /	tat asaFKyam iti /
   asaṅkhayatvaviśiṣṭaṃ prayojanamityarthaḥ /	asaFKayatu a viSizwam prayojanam iti arTaH /
   anudbhinneti /	anudBinna iti /
   anudbhinnaḥ aspaṣṭaḥviśeṣaḥ pārthakyaṃ parasparabheda iti yāvat, yatra	anudBinnaH aspazwaH viSezaH pArTakyam paraspara BedaH iti yAvat, yatra
   tatvenaiva tadviśiṣṭameva /	tatvena eva tad viSizwam eva /
   pānakarasādyāsvāde karpūrādyāṃśā yathā pārthakyena nānubhūyante, kintu	pAnaka rasa Adya AsvAde karpUra Adya aMSAH yaTA pArTakyena na anuBUyante, kintu
   parasparasaṃvalitatvenaiva prayojanapratītau tathā rājyanirvāsanādayo	paraspara saMvalita tvena eva prayojana pratItO taTA rAjya nirvAsa nAdayaH 
   dharmā ityarthaḥ /	DarmAH iti arTaH /
   kiṃ kimiti /	kim kim iti /
   nānārūpaṃ sahata ityarthaḥ /	nAnA rUpam sahate iti arTaH /
   pratipattṛpratibhādivaśena nānāvidhaṃ bhātīti yāvat /	pratipattR pratiBA Adi vaSena nAnAviDam BAti iti yAvat /
   itīti hetau /	iti iti hetO /
   citretyādi /	citra ityAdi /
   citreti pānakarasādīnāṃ trayāṇāṃ viśeṣaṇaṃ nānārasetyarthaḥ /	citrA iti pAnaka rasa AdInAm trayANAm viSezaNam nAnA rasA iti arTaH /
   guḍopaskṛtaṃ modakaṃ guḍamodakaṃ tatsthānīyā taccarvaṇākatulyā yā vicitrā	guxa upaskRtam modakam guxamodakam tad sTAnIyA tad carvaNAka tulyA yA vicitrA
   vilakṣaṇā carvaṇā rāmagatatvena tattaddharmāvagāhinī pratītiḥ, tasyāḥ	vilakzaNA carvaNA rAma gata tvena tad tad Darma avagAhinI pratItiH, tasyAH
   padaṃ viṣaya yathā ca mamaiva viṣamabāṇalīlāyām   	padam vizaya yaTA ca mama eva vizama bANa lIlAyAm   
   tālā jāanti guṇā jālā de sahiaehiṃ gheppānti /	tAlAH jAanti guNAH jAlAH de sahiaehim GeppAnti /
   raikiraṇānuggahiāiṃ honti kamalāiṃ kamalāiṃ //	rEkiraNa anuggahiAim honti kamalAim kamalAim //
   (tadā jāyante guṇā yadā te sahṛdayairgṛhyante /	(tadA jAyante guNAH yadA te sahRdayEH gRhyante /
   ravikiraṇānugṛhītāni bhavanti kamalāni kamalāni //	ravi kiraNa anugRhItAni Bavanti kamalAni kamalAni //
   iti cchāyā ) /	iti cCAyA ) /
   ityatra dvitīyaḥ kamalaśabdaḥ /	iti atra dvitIyaH kamala SabdaH /
   locanam eṣa eva sarvatra prayojanasya pratīyamānatvenotkarṣaheturmantavyaḥ	locanam ezaH eva sarvatra prayojanasya pratIyamAna tvena utkarza hetuH mantavyaH
   mātragrahaṇena saṃjñī nātra tiraskṛta ityāha   yathā cetyādi /	mAtra grahaNena saMjQI na atra tiraskRtaH iti Aha   yaTA ca ityAdi /
   tālā tadā /	tAlA tadA /
   jālā yadā /	jAlAH yadA /
   dheppanti gṛhyante /	Deppanti gRhyante /
   arthāntaranyāsamāha   ravikiraṇeti /	arTa antara nyAsa mAha   ra vikiraNa iti /
   kamalaśabda iti /	kamala SabdaH iti /
   lakṣmīpātratvādidharmāntaraśatacitratāpariṇataṃ saṃjñinamāhetyarthaḥ /	lakzmI pAtra tva Adi Darma antara Sata citra tA pariNatam saMjQinam Aha iti arTaH /
   tena śuddhe 'rthe mukhye bādhānimittaṃ tatrārthe taddharmasamavāyaḥ /	tena SudDe arTe muKye bADA nimittam tatra arTe tad Darma samavAyaH /
   tena nimittena rāmaśabdo dharmāntarapariṇatamarthaṃ bālapriyā ityarthaḥ /	tena nimittena rAma SabdaH Darma antara pariNatam arTam bAla priyAH iti arTaH /
   prayojanajātasya abhidhātumaśakyatvaṃ yaduktaṃ	prayojana jAtasya aBiDAtum aSakyatvam yat uktam
   tatropaṣṭambhakamāha   yathoktamityādi /	tatra upazwamBakam Aha    yaTA uktam ityAdi /
   eṣa eveti /	ezaH eva iti /
   vicitracarvaṇāpadatvamevetyarthaḥ /	vicitra carvaNa Apada tvam eva iti arTaH /
   prayojanasyetyutkarṣānvayi /	prayojanasya iti utkarza anvayi /
   mātragrahaṇeneti /	mAtra grahaNena iti /
   'na saṃjñimātram' iti vṛttisthamātraśabdenetyarthaḥ /	ana saMjQi mAtram a iti vRtti sTa mAtra Sabdena iti arTaH /
   āhetyanenāsya sambandhaḥ /	Aha iti anena asya sambanDaH /
   saṃjñī nātra tiraskṛta iti /	saMjQI na atra tiraskRtaH iti /
   rājyanirvāsanādidharmavatvena rāmasyaiva saṃjñinaḥ pratīteriti bhāvaḥ /	rAjya nirvAsana Adi Darmava tvena rAmasya eva saMjQinaH pratIteH iti BAvaH /
   āheti /	Aha iti /
   vṛttikāro bodhayatītyarthaḥ /	vRtti kAraH boDayati iti arTaH /
   atra rāmapadalakṣyatāvacchedakaṃ rāmapadavācyatvaṃ sāmānyato	atra rAma pada lakzya tAvacCedakam rAma pada vAcya tvam sAmAnyatas 
   duḥkhapātratvaṃ vā bodhyam /	duHKa pAtra tvam vA boDyam /
   tadeti /	tadA iti /
   padārthā iti śeṣaḥ /	padArTAH iti SezaH /
   tadā guṇāḥ atiśayādhāyako dharmo gumastadvantaḥ santaḥ /	tadA guNAH atiSaya ADAyakaH DarmaH gumaH tadvantaH santaH /
   jāyante bhavanti /	jAyante Bavanti /
   kadetyatrāha yadeti /	kadA iti atra aha yadA iti /
   te guṇavantaḥ padārthāḥ /	te guNavantaH padArTAH /
   gṛhyante ślodhyante /	gRhyante SloDyante /
   asya sāmānyasya samarthakamuttarārdhamityāśayenāha  arthāntaranyāsamāheti	asya sAmAnyasya samarTakam uttara arDam iti ASayena aha  arTa antara nyAsa mAha iti
   ravīti /	ravIti /
   raviṃṇā kiraṇānugṛhītānikaraspṛṣṭāni, atha cābhinanditāni kamalāni pajhāni	raviMNA kiraNa anugRhIta anikara spRzwAni, aTa ca aBinanditAni kamalAni paJAni
   kamalāni kamalatvena jñāyamānāni bhavantītyarthaḥ /	kamalAni kamala tvena jQAyamAnAni Bavanti iti arTaH /
   atra vyaṅgyaṃ darśayati   lakṣmītyāti /	atra vyaFgyam darSayati    lakzmI ityAti /
   lakṣmīpātratvaṃ kāntyāśrayatvam /	lakzmI pAtra tvam kAnti ASraya tvam /
   ādipadena vikasitatvasaurabhādiśālitvaṃ gṛhyate /	Adipadena vikasita tva sOraBa Adi SAli tvam gRhyate /
   lakṣmīpātratvādi yaddharmāntaraśataṃ tasya citratā citratāviśiṣṭaṃ taditi	lakzmI pAtra tva Adi yat DarmAntara Satam tasya citra tA citra tA viSizwam tat iti
   yāvat /	yAvat /
   tena pariṇatamityarthaḥ /	tena pariNatam iti arTaH /
   saṃjñinaṃ kamalam /	saMjQinam kamalam /
   āha vyañjayati /	Aha vyaQjayati /
   kecidatra rāmapadaṃ rājyanirvāsanādidharmavatvena	kecid atra rAma padam rAjya nirvAsana Adi Darmava tvena
   lakṣayannarvedādīnvyjayati /	lakzayat narveda AdIn vyjayati /
   evaṃ kamalaśabde 'pi bodhyamityāhustanmataṃ dūṣayitumupanyasyati tenetyadi	evam kamala Sabde api boDyam iti AhuH tat matam dUzayitum upanyasi ati tena ityadi
   teneti /	tena iti /
   vakṣyamāṇahetunetyarthaḥ /	vakzyamANa hetunA iti arTaH /
   'aprātītikam' ityanenāsya sambandhaḥ /	aaprAtItikam a iti anena asya sambanDaH /
   śuddhar'the mukhya iti /	SudDar aTe muKyaH iti /
   kevale rāmapadamukhyārtha ityarthaḥ /	kevale rAma pada muKya arTaH iti arTaH /
   bādheti /	bADA iti /
   prakṛtānupayogātmakabādhetyarthaḥ /	prakRta anupayoga Atmaka bADa iti arTaH /
   tatrārtha iti rāmapadamukhyarthadharmiṇītyarthaḥ /	tatra arTaH iti rAma pada muKyarTa DarmiNI iti arTaH /
   taddharmasamavāya iti /	tad Darma samavAyaH iti /
   vivakṣitarājyanirvāsanādi dharmasambandha ityarthaḥ /	vivakzita rAjya nirvAsana Adi Darma sambanDaH iti arTaH /
   anenādhārādheyabhāvarūpamukhyārthasambandhaḥ pradarśitaḥ /	anena ADAra ADeya BAva rUpa muKya arTa sambanDaH pradarSitaH /
   ubhayatrāstīti śeṣaḥ /	uBayatra asti iti SezaH /
   dharmāntarapariṇatamarthamiti /	Darma antara pariNatam arTam iti /
   locanam lakṣayati /	locanam lakzayati /
   vyaṅgyānyasādhāramānyaśabdavācyāni dharmāntarāṇi /	vyaFgya ani asADAramAnya Sabda vAcyAni Darma antarANi /
   evaṃ kamalaśabdaḥ /	evam kamala SabdaH /
   guṇaśabdastu saṃjñimātramāheti /	guNa SabdaH tu saMjQi mAtram Aha iti /
   tatra yadbalātkaiścidāropitaṃ tadaprātītikam /	tatra yat balAt kEScid Aropitam tat aprAtItikam /
   anupayogabādhito hyartho 'sya dhvanerviṣayo lakṣaṇā mūlaṃ hyasya /	anupayoga bADitaH hi arTaH asya DvaneH vizayaH lakzaNAH mUlam hi asya /
   yattu hṛdayadarpaṇa uktam   'hahā heti saṃrambhārtho 'yaṃ camatkāraḥ' iti	yat tu hRdaya darpaNaH uktam     ahahA hA iti saMramBa arTaH ayam camatkAraH a iti
   tatrāpi saṃrambhaḥ āvego vipralambhavyabhicārīti rasadhvanistāvadupagataḥ	tatra api saMramBaH AvegaH vipralamBa vyaBicArI iti rasa DvaniH tAvat upagataH
   na ca rāmaśabdabhivyaktārthasāhāyakena vinā sarambhollāso 'pi //	na ca rAma Sabda Bivyakta arTa sAhAyakena vinA sa ramBA ullAsaH api //
   ahaṃ sahe tasyāḥ ki vartata ityevamātmā hi saṃrambhaḥ /	aham sahe tasyAH ki vartate iti evam AtmA hi saMramBaH /
   kamalapade ca kaḥ saṃrambha ityāstāṃ tāvat /	kamala pade ca kaH saMramBaH iti AstAm tAvat /
   anupayogātmikā ca mukhyārthabādhātrāstīti	anupayoga AtmikA ca muKya arTa bADA atra asti iti
   lakṣaṇāmūlatvādavivakṣitavācyabhedatāsyopapannaiva śuddhārthasyāvivakṣaṇāt	lakzaNA mUla tvAt avivakzita vAcyaBeda tAsya upapannA eva SudDa arTasya avivakzaNAt 
   bālapriyā rājyanirvāsanādidharmavatvena rāmavyaktirūpārthamityarthaḥ /	bAla priyA rAjya nirvAsana Adi Darmava tvena rAma vyakti rUpa arTam iti arTaH /
   tarhi kiṃ vyaṅgyamityatrāha   vyaṅgyānītyādi /	tarhi kim vyaFgyam iti atra aha   vyaFgyAni ityAdi /
   aśabdavācyāni śabdenābhidhātumaśakyāni /	aSabda vAcyAni Sabdena aBiDAtum aSakyAni /
   dharmāntaraṇi nirvedaglānimohādayo 'nye dharmāḥ /	Darma antaraNi nirveda glAni moha AdayaH anye DarmAH /
   evaṃ kamalaśabda iti /	evam kamala SabdaH iti /
   dvitīyaḥ kamalaśabdo lakṣmīpātratvādipariṇatamarthaṃ lakṣyati, vyaṅgyantu	dvitIyaH kamala SabdaH lakzmI pAtra tva Adi pariNatam arTam lakzyati, vyaFgyantu
   manoharatvādītyarthaḥ /	manohara tva Adi iti arTaH /
   jāyante guṇā ityatra guṇaśabdasyāvṛttiḥ, dvītīyo guṇaśabdaḥ	jAyante guNAH iti atra guNa Sabdasya AvRttiH, dvItIyaH guNa SabdaH
   utkṛṣṭatvādidharmāntarapariṇatamarthaṃ lakṣyatītyādyāśaṅkāṃ	utkRzwa tva Adi Darma antara pariNatam arTam lakzyati iti Adi ASaFkAm
   parihartumāha   guṇaśabda ityādi /	parihartum Aha    guNa SabdaH ityAdi /
   saṃjñimātramiti /	saMjQi mAtram iti /
   mukhyārthamātramityarthaḥ /	muKya arTa mAtram iti arTaH /
   na tu dharmāntarapariṇatamarthamiti mātraśabdārthaḥ /	na tu Darma antara pariNatam arTam iti mAtra Sabda arTaH /
   tatreti /	tatra iti /
   pūrvoktedāharaṇayorityarthaḥ /	pUrva uktet AharaNayoH iti arTaH /
   balāt buddhisāmarthyāt /	balAt budDi sAmarTyAt /
   āropitamiti /	Aropitam iti /
   āropyoktamityarthaḥ /	Aropya uktam iti arTaH /
   taditi /	tat iti /
   taduktamityarthaḥ /	tat uktam iti arTaH /
   aprātītikamiti /	aprAtItikam iti /
   sahṛdayapratītyasiddhamityarthaḥ /	sahRdaya pratIti asidDam iti arTaH /
   atra hetumāha   anupayogetyādi /	atra hetum Aha   anupayoga ityAdi /
   anupayogabādhitaḥ anupayogātmakabādhādhīnaḥ /	anupayoga bADitaH anupayoga Atmaka bADa aDInaH /
   hīti hetau /	hi iti hetO /
   arthaḥ bhavadukto rājyanirvāsanādyarthaḥ /	arTaH Bavat uktaH rAjya nirvAsana Adi arTaH /
   asya dhvanerviṣaya iti /	asya DvaneH vizayaH iti /
   avivakṣitavācyasthalīya dhvanivyāpārasya viṣaya ityarthaḥ /	avivakzita vAcya sTalIya Dvani vyApArasya vizayaH iti arTaH /
   na tu lakṣaṇāyā viṣaya iti bhāvaḥ /	na tu lakzaNAyAH vizayaH iti BAvaH /
   lakṣaṇayā hyarthasyaikadharmaprakāreṇaiva pratītirna	lakzaNayA hi arTasya eka Darma prakAreNa eva pratItiH na
   tvanekadharmaprakāreṇa /	tu aneka Darma prakAreNa /
   parantvatra lakṣaṇā sahakāriṇītyāha lakṣaṇetyādi /	parantu atra lakzaNA sahakAriNI ti Aha  lakzaNa ityAdi /
   yattvityādi /	yat tu ityAdi /
   hahetyādi /	hahA ityAdi /
   hahāhetyanena gabhyo yassaṃrambhaḥ tasyārthaḥ kāryabhūta ityarthaḥ /	hahAhA iti anena gaByaH yassaMramBaH tasya arTaH kArya BUtaH iti arTaH /
   tatrapītyanuvādaḥ, uktārtho 'pītyarthaḥ /	tatrapi iti anuvAdaH, ukta arTaH api iti arTaH /
   saṃrambha ityasya vivaraṇam āvega iti /	saMramBaH iti asya vivaraNam  a AvegaH iti /
   rasadhvanirityādi /	rasa DvaniH ityAdi /
   tavānabhimato rasadhvanirādāvabhyugato bhavatītyarthaḥ /	tava anaBimataH rasa DvaniH AdO= aByugataH Bavati iti arTaH /
   itthaṃ ca pūrvoktārthadhvanerabhyupagamo /	itTam ca pUrva ukta arTa DvaneH aByupagamaH /
   ṭapyāpatita ityāha   na cetyādi /	wapya ApatitaH iti Aha   na ca ityAdi /
   rāmaśabdābhivyaktārtheti /	rAma Sabda aBivyakta arTa iti /
   rājyanirvāsanādyarthetyarthaḥ /	rAjya nirvAsana Adi arTA iti arTaH /
   uktārthe hetumāha  ahaṃ sahe ityādi /	ukta arTe hetum Aha  aham sahe ityAdi /
   ahaṃ sarvaṃ sahe ityarthasyopodbalako hi rāmaśabdābhivyaktārtha iti bhāvaḥ	aham sarvam sahe iti arTasya upodbalakaH hi rAma Sabda aBivyakta arTaH iti BAvaH
   uktedāharaṇayoḥ mukhyārthabādhāṃ svayaṃ	uktet AharaNayoH muKya arTa bADAm svayam
   vivṛṇvannavivakṣitavācyabhedatvamupapādayati   anupayogātmikā cetyādi /	vivRNu an= avivakzita vAcI aBeda tvam upapAdayati    anupayoga AtmikA ca ityAdi /
   mukhyārthasya padārthāntarānvayānupapattijñānamiva	muKya arTasya padArTa antara anvaya anupapatti jQAnam iva
   prakṛtānuṣayuktatvajñānamapi lakṣaṇābījamato 'nupayuktatvajñānarūpo 'pi	prakRta anuza yukta tva jQAnam api lakzaNA bIjam atas anupayukta tva jQAna rUpaH api
   mukhyārthabādhāpadārtha ityarthaḥ /	muKya arTa bADA padArTaH iti arTaH /
   atreti /	atra iti /
   uktodaharaṇayorityarthaḥ /	ukta uda haraNayoH iti arTaH /
   śuddhārthasyeti /	SudDa arTasya iti /
   vācyajātyādiviśiṣṭavyaktirūpārthasyetyarthaḥ /	vAcya jAti Adi viSizwa vyakti rUpa arTasya iti arTaH /
   tasyāpīti /	tasya api iti /
   atyantatiraskṛtavācyo yathādikavervālmīkeḥ   	atyanta tiraskRta vAcyaH yaTA AdikaveH vAlmIkeH   
   ravisaṃkrāntasaubhāgyastuṣārāvṛtamaṇḍalaḥ /	ravi saMkrAnta sOBAgyaH tuzAra AvRta maNxalaH /
   niḥśvāsāndha ivādarśaścandramā na prakāśate //	niHSvAsa anDaH iva AdarSaH candramAH na prakASate //
   iti /	iti /
   atrāndhaśabdaḥ /	atra anDa SabdaH /
   locanam na ca tiraskṛtatvaṃ dharmirūpema, tasyāpi tāvatyanugamāt /	locanam na ca tiraskRta tvam Darmi rUpema, tasya api tAvatI anugamAt /
   ata eva ca pariṇatavācoyukatyā vyavahṛtam ādikaveriti /	atas eva ca pariNata vAcaH yukatyA vyavahRtam Adi kaveH iti /
   dhvanerlakṣyaprasiddhatāmāha ravīti /	DvaneH lakzya prasidDa tAmAha ravIti /
   hemantavarṇane pañcavaṭyāṃ rāmasyoktariyam /	hemanta varNane paQcavawyAm rAmasya uktar iyam /
   andha iti copahatadṛṣṭiḥ /	anDaH iti ca upahata dRzwiH /
   jātyandhasyāpi garbhe dṛṣṭyupadhātāt /	jAti anDasya api garBe dRzwi upaDAtAt /
   andho 'yaṃ puro 'pi na paśyatītyatra tiraskārondhārthasya na tvatyantam /	anDaH ayam puras api na paSyati iti atra tiraskAronDa arTasya na tu atyantam /
   iha tvādarśasyāndhatvamāropyamāṇamapi na sahyamiti /	iha tu AdarSasya anDa tvam AropyamANam api na sahyam iti /
   andhaśabdo 'tra padārthasphuṭīkaraṇāśaktatvaṃ naṣṭadṛṣṭigataṃ	anDa SabdaH atra padArTa sPuwIkaraNa aSakta tvam nazwa dRzwi gatam
   nimattīkṛtyādarśaṃ lakṣaṇayā pratipādayati /	nimattIkRtya AdarSam lakzaNayA pratipAdayati /
   asādhāraṇavicchāyatvānupayogitvādidharmajātamasaṃkhyaṃ prayojanaṃvyanakti	asADAraNa vid CAya tva anupayogi tva Adi Darma jAtam asaMKyam prayojanaMvyanakti
   bhaṭṭanāyakena tu yaduktam   'ivaśabdayāgādgoṇatāpyatra na kāvit'iti,	Bawwa nAyakena tu yat uktam     aiva Sabda yAgAt goNa tA api atra na kAvit aiti,
   tacchlokārthamaparāmṛśya /	tat Sloka arTam aparAmRSya /
   ādarśacandramasorhi sādṛśyamivaśabdo dyātayati /	AdarSa candramasoH hi sAdRSyam iva SabdaH dyAtayati /
   niḥśvāsāndha iti cādarśaviśeṣaṇam /	niHSvAsa anDaH iti ca AdarSa viSezaNam /
   ivaśabdasyāndhārthena yojane ādarśaścandramā ityudāharaṇaṃ bhavet /	iva Sabdasya anDa arTena yojane AdarSaH candramAH iti udAharaNam Bavet /
   yojanaṃ caitadivaśabdasya kliṣṭam /	yojanam ca etat iva Sabdasya klizwam /
   bālapriyā vyaktirūpārthasyāpītyarthaḥ /	bAlapriyA vyakti rUpa arTasya api iti arTaH /
   tāvatyanugamāditi /	tAvatI anugamAt iti /
   lakṣye vyaṅgye cārthe anupraveśādityarthaḥ /	lakzye vyaFgye ca arTe anupraveSAt iti arTaH /
   andha iti /	anDaH iti /
   andhapadamukhyārtha ityarthaḥ /	anDa pada muKya arTaH iti arTaH /
   nanu upahatatvaṃ jananātparato yatkiñcitkāraṇena bhavati, tathāca	nanu upahata tvam jananAt paratas yat kiQcit kAraNena Bavati, taTA ca
   jātyandhe kathamandhavyavahāra ityata āha  jātyandhasyāpīti /	jAti anDe kaTam anDa vyavahAraH iti atas Aha   jAti anDasya api iti /
   prakṛtodāraṇe andhapadavācyasyātyantatiraskṛtatvaṃ viśadayitumanyatra	prakRta udAraNe anDa pada vAcyasya atyanta tiraskRta tvam viSadayitum anyatra
   tadabhāvaṃ darśayati   andha ityādi /	tad aBAvam darSayati   anDaH ityAdi /
   andha iti ca dṛṣṭerupahatatvamāropyopacāreṇoktiḥ /	anDaH iti ca dRzweH upahata tvam Aropya upacAreNa uktiH /
   atra hetuḥ  puro 'pītyādi /	atra hetuH  puras api ityAdi /
   andhārthasyeti /	anDa arTasya iti /
   andhapadamukhyārthasyetyarthaḥ /	anDa pada muKya arTasya iti arTaH /
   iha tviti /	iha tu iti /
   prakṛtīdāharaṇe ityarthaḥ /	prakRtI dAharaNe iti arTaH /
   na sahyamiti /	na sahyam iti /
   ādarśasya dṛṣṭerevābhāvāditi bhāvaḥ /	AdarSasya dRzweH eva aBAvAt iti BAvaH /
   padārthetyādi /	padArTa ityAdi /
   padrūpaṃ sādṛśyamityarthaḥ /	pad rUpam sAdRSyam iti arTaH /
   idamevātra lakṣyatāvacchedakam /	idam eva atra lakzya tAvacCedakam /
   naṣṭadṛṣṭīti /	nazwa dRzwI iti /
   upahatadṛṣṭītyarthaḥ /	upahata dRzwi iti arTaH /
   ādarśaṃ pratipādayatīti /	AdarSam pratipAdayati iti /
   padārthasphuṭīkaraṇāśaktatvena rūpeṇādarśaṃ bodhayatītyarthaḥ /	padArTa sPuwIkaraNa aSakta tvena rUpeNa AdarSam boDayati iti arTaH /
   andhārthena yojana iti /	anDa arTena yojanaH iti /
   niśvāsāndha iveti yojana ityarthaḥ /	niSvAsa anDaH iva iti yojanaH iti arTaH /
   ityudāharaṇaṃ bhavediti /	iti udAharaNam Bavet iti /
   evaṃ yojanīyaṃ bhavedityarthaḥ /	evam yojanIyam Bavet iti arTaH /
   bhavatvityatrāha   yojanaṃ caitaditi /	Bavatu iti atra aha    yojanam ca etat iti /
   niśvāsāndha iva ya ādarśastadrūpaścandramā iti yojanaṃ cetyarthaḥ /	niSvAsa anDaH iva yaH AdarSaH tad rUpaH candramAH iti yojanam ca iti arTaH /
   kliṣṭamiti /	klizwam iti /
   arthasya kliṣṭatvāditi bhāvaḥ /	arTasya klizwa tvAt iti BAvaH /
   ivaśabdasyobhayatra sambandho 'stviti śaṅkāṃ pariharan āha   na ceti /	iva Sabdasya uBayatra sambanDaH astu iti SaFkAm pariharan Aha   na ca iti /
   sa iveti /	saH iva iti /
   ādarśa ivetyarthaḥ /	AdarSe iva iti arTaH /
   na yuktetyatra hetumupahāsagarbhamāha   jñaiminīyeti /	na yuktA iti atra hetum upahAsa garBam Aha   jQEminIyA iti /
   gaaṇaṃ ca mattamehaṃ dhārāluliajjuṇāiṃ a vaṇāiṃ /	gaaNam ca matta meham DArA AluliajjuNAim a vaNAim /
   ṇirahaṅkāramṛgāṅkā haranti nīlā api niśāḥ //	NiH ahaFkAra mRgAFkAH haranti nIlAH api niSAH //
   locanam na ca niḥśvāsenāndha ivādarśaḥ sa iva candra iti kalpanā yuktā /	locanam na ca niHSvAsena anDaH iva AdarSaH saH iva candraH iti kalpanA yuktAH /
   jaiminīyasūtre hyevaṃ yojyate na kāvye 'pītyalam /	jEminIya sUtre hi evam yojyate na kAvye api iti alam /
