   (KpSū 1)	(KpSU 1)
   evamukte, ratnavairocano bodhisattvo bhagavantametadavocat   "kiyadrūpāṇi	evam ukte, ratna vErocanaH boDisattvaH Bagavantam etat avocat  "kiyat rUpANi
   bhagavān padmottarastathāgato (KpSū 11) mahāprātihāryāṇi kṛtavān?" /	BagavAn padma uttaraH taTAgataH (KpSU 11) mahA prAtihAryANi kRtavAn ?" /
   evamukte, bhagavān ratnavairocanaṃ bodhisattvametadavocat   "adyarātryāḥ	evam ukte, BagavAn ratna vErocanam boDisattvam etat avocat  "adya rAtryAH
   paścime yāme padmottareṇa tathāgatenārhatā samyaksaṃbuddhenānuttarā	paScime yAme padma uttareNa taTAgatena arhatA samyaksaMbudDena anuttarA
   samyaksaṃbodhirabhisaṃbuddhā, rātryāḥ pratyuśakālasamaye	samyaksaMboDiH aBisaMbudDA, rAtryAH pratyuSakAla samaye
   tadrupamṛddhyabhisaṃskāramabhisaṃskṛtavān, yāvad	tad rupamRdDi aBisaMskAram aBisaMskRtavAn, yAvat 
   brahmalokamātmānamabhinirmāya uṣṇīṣamūrdhnaḥ	brahma lokam AtmAnam aBinirmAya uzNIza mUrDnaH
   ṣaṣṭiraśmikoṭīnayutaśatasahasrāṇi pramucyate, raśmibhirūrdhvāyā diśo	zazwi raSmi kowIn ayuta Sata sahasrANi pramucyate, raSmiBiH UrDvAyAH diSaH 
   buddhakṣetraparamāṇurajaḥsamān lokadhātūn avabhāsayati / ye punastasmin	budDa kzetra paramANu rajaH samAn lokaDAtUn avaBAsayati / ye punar tasmin
   samaye ūrdhvāyāṃ diśi sthitā bodhisattvā adhodiśam avalokayanti, teṣāṃ na	samaye UrDvAyAm diSi sTitAH boDisattvAH aDodiSam avalokayanti, tezAm na
   sumeruravabhāsamāgacchati, na cakravāḍamahācakravāḍā na kālaparvatāḥ / ye	sumeruH ava BAsam AgacCati, na cakravAxa mahA cakravAxAH na kAla parvatAH / ye
   ca bodhisattvāstebhyo lokadhātubhyo vyākṛtā ye samādhipratilabdhā ye	ca boDisattvAH teByaH lokaDAtuByaH vyAkRtAH ye samADi pratilabDAH ye
   dhāraṇīpratilabdhā ye kṣāntipratilabdhā ye ca bhūmyatikrāntā ye	DAraNI pratilabDAH ye kzAnti pratilabDAH ye ca BUmi atikrAntAH ye
   caikajātipratibaddhā bodhisattvā mahāsattvāste 'pi tenāvabhāsena sphuṭā,	ca eka jAti pratibadDAH boDisattvAH mahAsattvAH te api tena avaBAsena sPuwA,
   añjaliṃ pragṛhya padmottarasya tathāgatasyātmabhāvaṃ vyavalokayitvā	aQjalim pragRhya padma uttarasya taTAgatasya Atma BAvam vyavalokayitvA
   dvātriṃśadbhirmahāpuruṣalakṣaṇaiḥ samalaṅkṛtagātraṃ	dvAtriMSadBiH mahApuruza lakzaNEH samalaFkRta gAtram
   aśītibhiścānuvyañjanairdṛṣṭvā ca tāṃ bodhisattvaparṣadaṃ padmāṃ ca	aSItiBiH ca anuvyaQjanEH dRzwvA ca tAm boDisattva parzadam padmAm ca
   lokadhātuṃ buddhakṣetraguṇavyūhāṃśca dṛṣṭvā paramaprītisaumanasyajātāste	lokaDAtum budDa kzetra guNa vyUhAn= ca dRzwvA parama prIti sOmanasya jAtAH te
   (KpSū 12) ca bodhisattvā mahāsattvā buddhakṣetraparamāṇurajaḥsamebhyo	(KpSU 12) ca boDisattvAH mahAsattvAH budDa kzetra paramANu rajaH sameByaH 
   lokadhātubhyo gaṇanāsamatikrāntā bodhisattvāstāṃstāṃ lokadhātūnapahāya	lokaDAtuByaH gaNanA samatikrAntAH boDisattvAH tAn= tAm lokaDAtUn apahAya
   ṛddhibalena padmāṃ lokadhātumanuprāptāḥ padmottarasya tathāgatasyārhataḥ	RdDi balena padmAm lokaDAtum anuprAptAH padma uttarasya taTAgatasya arhataH
   samyaksaṃbuddhasya pūjanāya vandanāya paryupāsanāya / sa ca kulaputra	samyaksaMbudDasya pUjanAya vandanAya paryupAsanAya / sa ca kula putra
   padmottarastathāgato jihvendriyaṃ mukhānnirnāmayitvā sarvāvatīmimāṃ	padma uttaraH taTAgataH jihvA indriyam muKAt nirnAmayitvA sarvAvatIm imAm
   cāturdvīpikāṃ lokadhātuṃ niṣaṇṇāḥ sthitāścaṅkramanto jihvendriyeṇa	cAturdvIpikAm lokaDAtum nizaNNAH sTitAH caFkramantaH jihvA indriyeNa
   paricchāditavān / ye cātra bodhisattvāḥ samāpannāste samādhibhyo vyutthāya	paricCAditavAn / ye ca atra boDisattvAH samApannAH te samADiByaH vyutTAya
   sarvāvatī sā parṣat padmottarasya tathāgatasya pūjākarmaṇe udyuktā / atha	sarvAvatI sA parzad padma uttarasya taTAgatasya pUjA karmaNe udyuktA / aTa
   kulaputra padmottarastathāgato jihvendriyamṛddhyabhisaṃskāreṇa	kula putra padma uttaraH taTAgataH jihvA indriya mRdhi aBisaMskAreNa
   pratiprasrambhayitvā, punaraparaṃ padmottarastathāgataḥ sarvāvantātkāyāt	pratiprasramBayitvA, punar aparam padma uttaraH taTAgataH sarvO= antAt kAyAt
   sarvaromakūpebhya ekaikasmād romakūpavivarāt	sarva romakUpeByaH ekEkasmAt romakUpa vivarAt 
   ṣaṣṭiraśmikoṭīnayutaśatasahasrāṇi niścārayitvā daśasu dikṣvekaikasyāṃ diśi	zazwi raSmi kowIn ayuta Sata sahasrANi niScArayitvA daSasu dikzu ekEkasyAm diSi
   buddhakṣetraparamāṇurajaḥsamāṃ lokadhātūn udāreṇāvabhāsena sphuritvā,	budDa kzetra paramANu rajaH samAm lokaDAtUn udAreNa avaBAsena sPuritvA,
   bodhisattvā mahāsattvāstebhyo lokadhātubhyo vyākṛtā ye samādhipratilabdhā	boDisattvAH mahAsattvAH teByaH lokaDAtuByaH vyAkRtAH ye samADi pratilabDA
   iti te 'pi bodhisattvā mahāsattvāḥ svakasvakabuddhakṣetrābhayā ṛddhibalena	iti te api boDisattvAH mahAsattvAH svaka svaka budDa kzetra aBayAH RdDi balena
   padmāṃ lokadhātuṃ saṃprāptāḥ padmottarasya (KpSū 13) tathāgatasyārhataḥ	padmAm lokaDAtum saMprAptAH padma uttarasya (KpSU 13) taTAgatasya arhataH
   samyaksaṃbuddhasya darśanāya vandanāya pūjanāya paryupāsanāya /	samyaksaMbudDasya darSanAya vandanAya pUjanAya paryupAsanAya /
   atha khalu kulaputra padmottarastathāgato 'rhan samyaksaṃbuddho	aTa Kalu kula putra padma uttaraH taTAgataH arhan samyaksaMbudDaH 
   ṛddhyabhisaṃskāraṃ pratiprasrabhya sarvāvatyāṃ bodhisattvaparṣadi	RdDi aBisaMskAram pratiprasraBya sarvAvatyAm boDisattva parzadi
   avaivartikacakraṃ nāma dhārmikaṃ dharmacakraṃ pravartitavān bahujanahitāya	avEvartika cakram nAma DArmikam Darma cakram pravartitavAn bahu jana hitAya
   bahujanasukhāya lokānukampāyai, arthāya hitāya sukhāya devānāṃ ca	bahu jana suKAya loka anukampAyE, arTAya hitAya suKAya devAnAm ca
   manuṣyāṇāṃ ca mahāyānasya paripūraṇārthaṃ" //	manuzyANAm ca mahAyAnasya paripUraNa arTaM" //
   iti śrīkaruṇāpuṇḍarīke mahāyānasūtre dharmacakrapravartano nāma prathamaḥ	iti SrIkaruNA puNxarIke mahAyAna sUtre DarmacakrapravartanaH nAma praTamaH
   parivartaḥ // 1 //	parivartaH // 1 //
   (KpSū 14)	(KpSU 14)
   dvitīyo dhāraṇīmukhaparivartaḥ	dvitIyaH DAraNI muKa parivartaH
   atha khalu ratnavairocano bodhisattvo mahāsattvo bhagavantametadavocat  	aTa Kalu ratna vErocanaH boDisattvaH mahAsattvaH Bagavantam etat avocat  
   "kathaṃ bhadanta bhagavan padmāyāṃ lokadhātau rātriṃdivaṃ prajñāyate?,	"kaTam Badanta Bagavan padmAyAm lokaDAtO rAtriMdivam prajQAyate?,
   kiyadrūpāśca tatra śabdāḥ śrūyante?, kiyadrūpeṇa te bodhisattvāścāśayena	kiyat rUpAH ca tatra SabdAH SrUyante?, kiyat rUpeNa te boDisattvAH ca ASayena
   samanvāgatāḥ?, katamena vā vihareṇa viharanti?" bhagavān āha  	samanvAgatAH?, katamena vA vihareNa viharanti?" BagavAn Aha  
   "nityāvabhāsitā kulaputra padmā lokadhāturbuddhābhayā / tatra yadā puṣpāḥ	"nitya avaBAsitA kula putra padmA lokaDAtuH budDa aBayA / tatra yadA puzpAH
   saṃkucanti, pakṣiṇaścālpaśabdā bhavanti, bhagavāṃśca te ca bodhisattvā	saMkucanti, pakziNaH ca alpa SabdAH Bavanti, BagavAn= ca te ca boDisattvA
   dhyānaiḥ krīḍanti vimuktiprītisukhaṃ pratisaṃvedayanti, tadā rātrīti	DyAnEH krIxanti vimukti prIti suKam pratisaMvedayanti, tadA rAtrI iti
   prajñāyate / yadā punaste puṣpā vāteneritā bhavanti, śakunāśca manojñāni	prajQAyate / yadA punar te puzpAH vAtena IritAH Bavanti, SakunAH ca manojQAni
   kūjanti, puṣpavṛṣṭiścābhipravarṣati, caturdiśaṃ paramasugandhā manojñā	kUjanti, puzpa vRzwiH ca aBipravarzati, caturdiSam parama suganDA manojQA
   mṛdukāḥ sukhasaṃsparśā vāyavaḥ pravāyanti, bhagavāṃśca samādhervyutthāya	mRdukAH suKa saMsparSAH vAyavaH pravAyanti, BagavAn= ca samADeH vyutTAya
   padmottaro bodhisattvānāṃ mahāsattvānāmatikramya	padmottaraH boDisattvAnAm mahAsattvAnAm atikramya
   śrāvakapratyekabuddhakathāṃ bodhisattvapiṭakaṃ dharmaṃ deśayati, tena ca	SrAvaka pratyekabudDa kaTAm boDisattva piwakam Darmam deSayati, tena ca
   tatra divasaḥ prajñāyate / avirahitāśca tatra kulaputra bodhisattvā	tatra divasaH prajQAyate / avirahitAH ca tatra kula putra boDisattvA
   mahāsattvā buddhaśabdena dharmaśabdena (KpSū 15) saṅghaśabdena,	mahAsattvAH budDa Sabdena Darma Sabdena (KpSU 15) saFGa Sabdena,
   vaiśāradyaśabdenānabhisaṃskāraśabdenānutpādaśabdenānirodhaśabdena	vESAradya Sabdena anaBisaMskAra Sabdena anutpAda Sabdena aniroDa Sabdena
   śāntaśabdenopaśāntaśabdena praśāntaśabdena mahāmaitrīśabdena	SAnta Sabdena upaSAnta Sabdena praSAnta Sabdena mahA mEtrI Sabdena
   mahākaruṇāśabdenānutpattikadharmaśabdenābhiṣekabhūmipratilābhaśabdena	mahA karuNA Sabdena anutpattika Darma Sabdena aBizeka BUmi pratilABa Sabdena
   buddhabodhisattvaśabdenāvirahitā, nityaṃ te bodhisattvā evaṃrūpaṃ śabdaṃ	budDa boDisattva Sabdena avirahitA, nityam te boDisattvAH evaMrUpam Sabdam
   śṛṇvanti sma / punaraparaṃ kulaputra ye bodhisattvā mahāsattvāḥ padmāyāṃ	SRNvanti sma / punar aparam kula putra ye boDisattvAH mahAsattvAH padmAyAm
   lokadhātau pratyājātāḥ pratyājāyiṣyanti vā sarve te	lokaDAtO pratyAjAtAH pratyAjAyizyanti vA sarve te
   dvātriṃśadbhirmahāpuruṣalakṣaṇaiḥ samanvāgatā yojanaprabhā	dvAtriMSadBiH mahApuruza lakzaNEH samanvAgatA yojana praBA
   hyavinipātadharmāṇo yāvadbodhiparyantāt / sarve te bodhisattvā	hi avinipAta DarmANaH yAvat boDi paryantAt / sarve te boDisattvA
   maitracittāḥ snigdhacittā akaluṣacittā dāntacittāḥ kṣamācittāḥ	mEtra cittAH snigDa cittAH akaluza cittAH dAnta cittAH kzamA cittAH
   samāhitacittāḥ prasannacittā apratihatacittāḥ śuddhacittāḥ kalyāṇacittā	samAhita cittAH prasanna cittAH apratihata cittAH SudDa cittAH kalyANa cittA
   dharmaprīticittāḥ sarvasattvānāṃ kleśapraśamanacittāḥ pṛthivīsamacittā	Darma prIti cittAH sarva sattvAnAm kleSa praSamana cittAH pRTivI sama cittA
   laukikāyāṃ kathāyām anabhiratacittā lokottarāyāṃ kathāyāṃ sābhiratacittāḥ	lOkikAyAm kaTAyAm anaBirata cittAH loka uttarAyAm kaTAyAm sa aBirata cittAH
   sarvakuśaladharmaparyeṣṭicittā nirupadhau (KpSū 16) sadāprayuktacittā	sarva kuSala Darma paryezwi cittA nirupaDO (KpSU 16) sadA prayukta cittA
   vyādhijarāmaraṇebhyaḥ praśāntacittāḥ sarvakleśadahanacittāḥ	vyADi jarA maraNeByaH praSAnta cittAH sarva kleSa dahana cittAH
   sarvasaṃyojanapraśamanacittāḥ sarvadharmāmanyanacittāḥ, āśayabalinaḥ	sarva saMyojana praSamana cittAH sarva Darma amanyana cittAH, ASaya balinaH
   prayogabalinaḥ pratyayabalinaḥ praṇidhānabalino 'sārabhinnāccālanabalino	prayoga balinaH pratyaya balinaH praNiDAna balinaH asAra BinnAt cAlana balinaH 
   nidhyaptibalinaḥ kuśalamūlabalinaḥ samādhānabalinaḥ śrutabalinaḥ	niDyapti balinaH kuSala mUla balinaH samADAna balinaH Sruta balinaH
   śīlabalinaḥ tyāgabalinaḥ kṣāntibalino vīryabalino dhyānabalinaḥ	SIla balinaH tyAga balinaH kzAnti balinaH vIrya balinaH DyAna balinaH
   prajñābalinaḥ śamathabalino vipaśyanābalino 'bhijñābalinaḥ smṛtibalino	prajQA balinaH SamaTa balinaH vipaSyana AbalinaH aBijQA balinaH smRti balinaH 
   bodhibalinaḥ sarvamāravidhvaṃsanabalinaḥ sarvamārabalapramardanabalinaḥ	boDi balinaH sarva mAra viDvaMsana balinaH sarvamAra bala pramardana balinaH
   sarvaparapravādināṃ sahadharmeṇa nigrahabalinaḥ	sarva para pravAdinAm sahaDarmeNa nigraha balinaH
   sarvakleśapramardanabalinaḥ / te ca bodhisattvā ye padmāyāṃ lokadhātau	sarva kleSa pramardana balinaH / te ca boDisattvAH ye padmAyAm lokaDAtO
   pratyājātāḥ pratyājāyiṣyanti vā bahubuddhaśatasahasrakṛtādhikārā hi	pratyAjAtAH pratyAjAyizyanti vA bahu budDa Sata sahasra kRta aDikArAH hi
   avaruptakuśalamūlā; ye ca tatra padmāyāṃ lokadhātau buddhakṣetre	avarupta kuSala mUlA; ye ca tatra padmAyAm lokaDAtO budDa kzetre
   bodhisattvāḥ pratyājātāḥ pratyājāyiṣyanti vā dhyānāhārāste bodhisattvā	boDisattvAH pratyAjAtAH pratyAjAyizyanti vA DyAna AhArAH te boDisattvA
   dharmāhārā gandhāhārāstadyathāpi nāma devā (KpSū 17) brahmakāyikā, na ca	Darma AhArAH ganDa AhArAH tat yaTA api nAma devAH (KpSU 17) brahmakAyikA, na ca
   tatra kavaḍikāhārāḥ prajñāyante / sarvaśaśca tatrākuśalasya nāmāpi nāsti;	tatra kavaxika AhArAH prajQAyante / sarvaSas ca tatra akuSalasya nAma api nAsti;
   sarvaśaśca tatra mātṛgrāmasya nāmāpi nāsti, prajñaptirapi nāsti;	sarvaSas ca tatra mAtR grAmasya nAma api nAsti, prajQaptiH api nAsti;
   sarvaśaśca tatra duḥkhaśabdo nāsti; sarvathā priyāpriyaśabdo nāsti,	sarvaSas ca tatra duHKa SabdaH nAsti; sarvaTA priya apriya SabdaH nAsti,
   peyālaṃ na kleśaśabdo na parigraho na cātrāndhakāraṃ na durgandhaṃ na	peyAlam na kleSa SabdaH na parigrahaH na ca atra anDakAram na durganDam na
   cittaklamatā na kāyaklamatā na narakatiryagyoniyamalokaśabdaḥ,	citta klama tA na kAya klama tA na naraka tiryagyoni yama loka SabdaH,
   apāyaprajñaptirapi nāsti, na kaṇṭakagahanapāṣāṇaśarkarā na cāgnirna	apAya prajQaptiH api nAsti, na kaNwaka gahana pAzANa SarkarA na ca agniH na
   candrasūryā na tārakārūpā na mahāsamudrā na sumerucakravāḍā na lokāntarikā	candra sUryA na tArakA rUpA na mahA samudrA na sumeru cakravAxA na loka antarikA
   na kālaparvatā na mīḍhapāṣāṇā na pāṃśuparvatāḥ, na meghavarṣaśabdo na	na kAla parvatAH na mIXa pAzANAH na pAMSu parvatAH, na meGa varza SabdaH na
   kaluṣavāyuśabdaḥ, sarvathāpāyaśabdo nāsti, sarvathākṣaṇaśabdo nāsti / atha	kaluza vAyu SabdaH, sarvaTA apAya SabdaH nAsti, sarvaTA akzaNa SabdaH na asti / aTa
   ca punaḥ padmā lokadhāturnityaṃ buddhābhayā bodhisattvābhayā puṇyābhayā	ca punar padmA lokaDAtuH nityam budDa aBayA boDisattva aBayA puNya aBayA
   ratnābhayā udāreṇāvabhāsena sphuṭā / saphalāścātra nāma pakṣiṇomanojñāḥ	ratna aBayAH udAreNa avaBAsena sPuwAH / saPalAH ca atra nAma pakziNaH manojQAH
   snigdhāḥ svakasvakena svareṇa indriyabalabodhyaṅgāni pravyāharanti sma"	snigDAH svaka svakena svareNa indriya bala boDi aFgAni pravyAharanti sma"
   atha khalu ratnavairocano bodhisattvo bhagavantametadavocat   "kiyanmahatī	aTa Kalu ratna vErocanaH boDisattvaH Bagavantam etat avocat  "kiyat mahatI
   bhagavan sā padmā lokadhātuḥ?, (KpSū 18) kiyacciramasau	Bagavan sA padmA lokaDAtuH?, (KpSU 18) kiyat ciram asO
   padmottarastathāgatastiṣṭhati dhriyate yāpayati dharmaṃ ca deśayati	padma uttaraH taTAgataH tizWati Driyate yApayati Darmam ca deSayati
   yenādyarātrāvanuttarā samyaksaṃbodhiracirābhisaṃbuddhā?, kiyacciraṃ ca	yena adya rAtrO= anuttarA samyaksaMboDiH acira aBisaMbudDA?, kiyat ciram ca
   parinirvṛtasya saddharmaḥ sthāsyati?, kiyaccirasthāyinaste bodhisattvā ye	parinirvRtasya sadDarmaH sTAsyati?, kiyat cira sTAyinaH te boDisattvAH ye
   padmāyāṃ lokadhātau buddhakṣetre pratyājātāḥ pratyājāyiṣyanti vā?, kin te	padmAyAm lokaDAtO budDa kzetre pratyAjAtAH pratyAjAyizyanti vA?, kin te
   bodhisattvā virahitā buddhadarśanena dharmaśravaṇena saṅghopasthānena	boDisattvAH virahitAH budDa darSanena Darma SravaNena saFGa upasTAnena
   utāhosvinneti?, kiṃ nāma cāsītpūrve sā padmā lokadhātuḥ?, kiyaccireṇa vā	uta ahosvit na iti?, kim nAma ca AsIt pUrve sA padmA lokaDAtuH?, kiyat cireNa vA
   tatra jinasūryāstaṃgataḥ yasyānantareṇa padmottarena tathāgatenānuttarā	tatra jina sUrya astaMgataH yasya anantareNa padma uttarena taTAgatena anuttarA
   samyaksaṃbodhirabhisaṃbuddhā?, kiṃ pratyayamapyekatyā buddhavikurvāṇān	samyaksaMboDiH aBisaMbudDA?, kim pratyayam api ekatyAH budDa vikurvANAn
   buddhaprātihāryān paśyanti ye daśasu dikṣvanyeṣu buddhakṣetreṣu buddhā	budDa prAtihAryAn paSyanti ye daSasu dikzu anyezu budDa kzetrezu budDA
   bhagavantaḥ prātihāryān kurvanti, ekatyā na paśyanti?" /	BagavantaH prAtihAryAn kurvanti, ekatyAH na paSyanti?" /
   bhagavān āha   "tadyathāpi nāma kulaputra sumeruḥ parvatarājā,	BagavAn Aha  "tat yaTA api nAma kula putra sumeruH parvata rAjA,
   aṣṭaṣaṣṭhiyojanasahasrāṇyudvedhena caturaśītiyojanasahasrāṇi vistāreṇa /	azwa zazWi yojana sahasrANi udveDena caturaSIti yojana sahasrANi vistAreNa /
   kaścid eva puruṣa āgacchet vīryavān balavān, samādhibalena vā taṃ sumeruṃ	kaScid eva puruzaH AgacCet vIryavAn balavAn, samADi balena vA tam sumerum
   parvatarājaṃ sarṣapamātrapramāṇaṃ bhindyāt; gaṇanātikrāntāste sarṣapā	parvata rAjam sarzapa mAtra pramANam BindyAt; gaNanA atikrAntAH te sarzapA
   bhavanti, na śakyaṃ te sarṣapāḥ (KpSū 19) kenacid gaṇayituṃ sthāpya	Bavanti, na Sakyam te sarzapAH (KpSU 19) kenacid gaNayitum sTApya
   sarvajñajñānena; yāvantaste sarṣapaphalā bhavanti tāvantaścāturdvīpikā	sarvajQa jQAnena; yAvantaH te sarzapa PalAH Bavanti tAvantaH cAturdvIpikA
   pramāṇā / padmā buddhakṣetramevākīrṇā bodhisattvaiḥ tadyathā sukhāvatī	pramANAH / padmA budDa kzetram eva AkIrNA boDisattvEH tat yaTA suKAvatI
   lokadhāturbodhisattvairākīrṇā / padmottarasya kulaputra tathāgatasyārhataḥ	lokaDAtuH boDisattvEH AkIrNA / padma uttarasya kula putra taTAgatasya arhataH
   samyaksaṃbuddhasya triṃśadantarakalpānyāyuḥpramāṇaṃ tiṣṭhato dhriyato	samyaksaMbudDasya triMSat antara kalpAni AyuH pramANam tizWataH DriyataH 
   yāpayato dharmaṃ ca deśayataḥ / padmottarasya kulaputra tathāgatasyārhataḥ	yApayataH Darmam ca deSayataH / padma uttarasya kula putra taTAgatasya arhataH
   samyaksaṃbuddhasya parinirvṛtasya daśāntarakalpān saddharmaḥ sthāsyati /	samyaksaMbudDasya parinirvRtasya daSa antara kalpAn sadDarmaH sTAsyati /
   teṣāṃ ca bodhisattvānāṃ mahāsattvānāṃ ye padmāyāṃ lokadhātau pratyājātāḥ	tezAm ca boDisattvAnAm mahAsattvAnAm ye padmAyAm lokaDAtO pratyAjAtAH
   pratyājāyiṣyanti vā teṣāṃ catvāriṃśadantarakalpāyuḥpramāṇaṃ /	pratyAjAyizyanti vA tezAm catvAriMSat antara kalpa AyuH pramANam /
   pūrvaṃ ca kulaputra sā padmā lokadhātuścandanā nāma babhūva, na tvevaṃ	pUrvam ca kula putra sA padmA lokaDAtuH candanAH nAma baBUva, na tu evam
   pariśuddhābhūnna tvevam ākīrṇā śuddhasattvairbabhūva yathaitarhi padmā	pariSudDA aBUt na tu evam AkIrNA SudDa sattvEH baBUva yaTA etarhi padmA
   lokadhātuḥ / candanāyāṃ kulaputra lokadhātau candrottamo nāmābhūt	lokaDAtuH / candanAyAm kula putra lokaDAtO candrottamaH nAma aBUt 
   tathāgato 'rhan samyaksaṃbuddho vidyācaraṇasampannaḥ sugato	taTAgataH arhan samyaksaMbudDaH vidyA caraNa sampannaH sugataH 
   lokavidanuttaraḥ puruṣadamyasārathiḥ śāstā devānāṃ ca manuṣyāṇāṃ ca buddho	loka vid anuttaraH puruza damya sAraTiH SAstA devAnAm ca manuzyANAm ca budDaH 
   bhagavān, sa cāpi viṃśatyantarakalpān dharmaṃ deśitavān /	BagavAn, sa ca api viMSati antara kalpAn Darmam deSitavAn /
   parinirvāṇakālasamaye (KpSū 20) cāpyekatyā bodhisattvāḥ	parinirvANa kAla samaye (KpSU 20) ca api ekatyAH boDisattvAH
   praṇidhānavaśitayānyadbuddhakṣetraṃ saṃkrāntāḥ / ye cāvaśiṣṭā	praNiDAna vaSitayA anyat budDa kzetram saMkrAntAH / ye ca avaSizwA
   bodhisattvāsteṣām etadavocan   "adyarātrau madhyame yāme	boDisattvAH tezAm etat avocan  "adya rAtrO maDyame yAme
   candrottamastathāgato 'rhan samyaksaṃbuddhaḥ parinirvāsyati,	candrottamaH taTAgataH arhan samyaksaMbudDaH parinirvAsyati,
   parinirvṛtasya bhagavato daśāntarakalpān saddharmaḥ sthāsyati / kaḥ	parinirvRtasya BagavataH daSa antara kalpAn sadDarmaH sTAsyati / kaH
   saddharmāntardhānasyānantaramanuttarāṃ samyaksaṃbodhimabhisaṃbhotsyate?"	sadDarma antarDAnasya anantaram anuttarAm samyaksaMboDim aBisaMBotsyate?"
   tena khalu punaḥ samayena gaganamudro nāma bodhisattvaḥ, sa	tena Kalu punar samayena gaganamudraH nAma boDisattvaH, sa
   pūrvapraṇidhānena candrottamena tathāgatenārhatā samyaksaṃbuddhena	pUrva praNiDAnena candrottamena taTAgatena arhatA samyaksaMbudDena
   vyākṛtaḥ / "bhaviṣyasi tvaṃ kulaputra mama parinirvṛtasya	vyAkRtaH / "Bavizyasi tvam kula putra mama parinirvRtasya
   daśābhyantarakalpān saddharmaḥ sthāsyati / rātryāḥ prathame yāme mama	daSa aByantara kalpAn sadDarmaH sTAsyati / rAtryAH praTame yAme mama
   saddharmo 'ntarahāsyati, tatraiva rātryāḥ paścime yāme tvamanuttarāṃ	sadDarmaH antarahAsyati, tatra eva rAtryAH paScime yAme tvam anuttarAm
   samyaksaṃbodhimabhisaṃbhotsyase, padmottaro nāma bhaviṣyasi tathāgato	samyaksaMboDim aBisaMBotsyase, padmottaraH nAma Bavizyasi taTAgataH 
   'rhan samyaksaṃbuddho vidyācaraṇasampanno yāvadbuddho bhagavāṃs" /	arhan samyaksaMbudDaH vidyA caraNa sampannaH yAvat budDaH BagavAMs" /
   tatkālaṃ te bodhisattvā mahāsattvā yena candrottamastathāgato 'rhan	tad kAlam te boDisattvAH mahAsattvAH yena candrottamaH taTAgataH arhan
