   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   veśyārūpātpradhānasya parimāṇo mahādbhavaḥ // BndP_1,1.88 //	veSyA rUpAt praDAnasya parimANaH mahAdBavaH // Bndu _1,1.88 //
   purūravasa ailasya māhātmyasyānukīrttanam /	purUravasaH Elasya mAhAtmyasya anukIrttanam /
   pitṝṇāṃ dviprakārāṇāṃ māhātmyaṃ vā mṛtasya ca // BndP_1,1.89 //	pitLNAm dvi prakArANAm mAhAtmyam vA mRtasya ca // Bndu _1,1.89 //
   tataḥ parvāṇi kīrtyante parvaṇāṃ caiva saṃdhayaḥ /	tatas parvANi kIrtyante parvaNAm ca eva saMDayaH /
   svargalokagatānāñca prāptānāñcāpyadhogatim // BndP_1,1.90 //	svarga loka gatAn AQca prAptAnAQcA api aDogatim // Bndu _1,1.90 //
   pitṝṇāṃ dviprakārāṇāṃ śrāddhenānugraho mahān /	pitLNAm dvi prakArANAm SrAdDena anugrahaH mahAn /
   yugasaṃkhyāpramāṇaṃ ca kīrtyate ca kṛtaṃ yugam // BndP_1,1.91 //	yuga saMKyA pramANam ca kIrtyate ca kRtam yugam // Bndu _1,1.91 //
   tretāyuge cāpakarṣādvār ttāyāḥ saṃpravarttanam /	tretA yuge ca apakarzAt vAr ttAyAH saMpravarttanam /
   varṇānāmāśramāṇāṃ ca saṃsthitirdharmatastathā // BndP_1,1.92 //	varNAnAm ASramANAm ca saMsTitiH DarmataH taTA // Bndu _1,1.92 //
   vajrapravarttanaṃ caiva saṃvādo yatra kīrtyate /	vajra pravarttanam ca eva saMvAdaH yatra kIrtyate /
   ṛṣīṇāṃ vasunā sārddhaṃ vasoścādhaḥ punargatiḥ /	RzINAm vasunA sArdDam vasoH ca aDas punar gatiH /
   śabdatvaṃ ca pradhānāttu svāyambhuvamṛte manum // BndP_1,1.93 //	Sabda tvam ca praDAnAt tu svAyamBuvam Rte manum // Bndu _1,1.93 //
   praśaṃsā tapasaścoktā yugāvasthāśca kṛtsnaśaḥ /	praSaMsA tapasaH ca uktAH yuga avasTAH ca kRtsnaSas /
   dvāparasya kaleścāpi saṃkṣepeṇa prakīrttanam // BndP_1,1.94 //	dvAparasya kaleH ca api saMkzepeNa prakIrttanam // Bndu _1,1.94 //
   manvantaraṃ ca saṃkhyā ca mānuṣeṇa prakīrttitā /	manvantaram ca saMKyA ca mAnuzeNa prakIrttitA /
   manvantarāṇāṃ sarveṣāmetadeva ca lakṣaṇam // BndP_1,1.95 //	manvantarANAm sarvezAm etat eva ca lakzaNam // Bndu _1,1.95 //
   atītānāgatānāṃ ca varttamānaṃ ca kīrtyate /	atIta anAgatAnAm ca varttamAnam ca kIrtyate /
   tathā manvantarāṇāṃ ca pratisaṃdhānalakṣaṇam // BndP_1,1.96 //	taTA manvantarANAm ca pratisaMDAna lakzaNam // Bndu _1,1.96 //
   atītānā gatānāṃ ca proktaṃ svāyambhuve tataḥ /	atItAnA gatAnAm ca proktam svAyamBuve tatas /
   ṛṣīṇāṃ ca gatiḥ proktā kālajñānagatistathā // BndP_1,1.97 //	RzINAm ca gatiH proktA kAla jQAna gatiH taTA // Bndu _1,1.97 //
   durgasaṃkhyāpramāṇaṃ ca yugavārtā pravarttanam /	durga saMKyA pramANam ca yuga vArtA pravarttanam /
   tretāyāṃ cakravartīnāṃ lakṣaṇaṃ janma caiva hi // BndP_1,1.98 //	tretAyAm cakravartInAm lakzaNam janma ca eva hi // Bndu _1,1.98 //
   pramateśca tathā janma atho kaliyugasya vai /	pramateH ca taTA janma aTo kali yugasya vE /
   aṅgulairhāsanaṃ caiva bhūtānāṃ yacca cocyate // BndP_1,1.99 //	aFgulEH hAsanam ca eva BUtAnAm yat ca ca ucyate // Bndu _1,1.99 //
   śāśānāṃ parisaṃkhyānaṃ śiṣyaprādhānyameva ca /	SASAnAm parisaMKyAnam Sizya prADAnyam eva ca /
   vākyaṃ saptavidhaṃ caiva ṛṣigotrānukīrtanam // BndP_1,1.100 //	vAkyam saptaviDam ca eva Rzi gotra anukIrtanam // Bndu _1,1.100 //
   lakṣaṇaṃ sūtaputrāṇāṃ brahmaṇāsya ca kṛtsnaśaḥ /	lakzaNam sUtaputrANAm brahmaNA asya ca kRtsnaSas /
   dedānāṃ vyasanaṃ caiva vedavyāsairmahātmabhiḥ // BndP_1,1.101 //	dedAnAm vyasanam ca eva vedavyAsEH mahAtmaBiH // Bndu _1,1.101 //
   manvantareṣu devānāṃ prajeśānāṃ ca kīrttanam /	manvantarezu devAnAm prajA ISAnAm ca kIrttanam /
   manvantarakramaścaiva kālajñānaṃ ca kīrtyate // BndP_1,1.102 //	manvantara kramaH ca eva kAla jQAnam ca kIrtyate // Bndu _1,1.102 //
   dakṣasya cāpi dauhitrāḥ priyāyā duhituḥ śubhāḥ /	dakzasya ca api dOhitrAH priyAyAH duhituH SuBAH /
   brahmādibhistejanitā dakṣeṇaiva ca dhīmatā // BndP_1,1.103 //	brahma AdiBiH tejanitAH dakzeNa eva ca DImatA // Bndu _1,1.103 //
   sāvarṇāścātra kīrtyante manavo merumāśritāḥ /	sAvarNAH ca atra kIrtyante manavaH merum ASritAH /
   dhruvasyauttānapādasya prajāsargopavarṇanam // BndP_1,1.104 //	Druvasya OttAnapAdasya prajA sarga upavarNanam // Bndu _1,1.104 //
   cākṣuṣasya manoḥ sargaḥ prajānāṃ vīryavarmanam /	cAkzuzasya manoH sargaH prajAnAm vIrya varmanam /
   prabhuṇā caiva vainyena bhūmidohapravartatā // BndP_1,1.105 //	praBuNA ca eva vEnyena BUmi doha pravartatA // Bndu _1,1.105 //
   pātrāṇāṃ payasāṃ caiva vatsānāṃ ca viśeṣaṇam /	pAtrANAm payasAm ca eva vatsAnAm ca viSezaNam /
   brahmādibhiḥ pūrvameva dugdhā caiyaṃ vasuṃdharā // BndP_1,1.106 //	brahma AdiBiH pUrvam eva dugDA ca eyam vasuMDarAH // Bndu _1,1.106 //
   daśabhyaścaṃ pracetobhyo māriṣāyāṃ prajāpateḥ /	daSaByaH cam pracetoByaH mArizAyAm prajApateH /
   dakṣasya kīrtyata janma samasyāṃśena dhīmataḥ // BndP_1,1.107 //	dakzasya kIrtyata janma samasya aMSena DImataH // Bndu _1,1.107 //
   bhūtabhavyabhaveśatvaṃ mahendrāṇāṃ ca kīrtyate /	BUta Bavya BaveSa tvam mahA indrANAm ca kIrtyate /
   manvādikā bhaviṣyanti ākhyānaibarhubhirvṛtāḥ // BndP_1,1.108 //	manu AdikAH Bavizyanti AKyAnEbarhuBiH vRtAH // Bndu _1,1.108 //
   vaivasvatasya ca manoḥ kīrtyate sargavistaraḥ /	vEvasvatasya ca manoH kIrtyate sarga vistaraH /
   brahmādikośa utpattirbhṛgvadīnāṃ ca kīrtyate // BndP_1,1.109 //	brahma Adi koSaH utpattiH BRgu adInAm ca kIrtyate // Bndu _1,1.109 //
   viniṣkṛṣya prajāsarge cākṣuṣasya manoḥśubhe /	vinizkRzya prajA sarge cAkzuzasya manoH SuBe /
   dakṣasya kīrtyate sargo dhyānādvaivasvatāntare // BndP_1,1.110 //	dakzasya kIrtyate sargaH DyAnAt vEvasvata antare // Bndu _1,1.110 //
   nāradaḥ kṛtasaṃvādo dakṣaputrānmahābalān /	nAradaH kRta saMvAdaH dakza putrAn mahA balAn /
   nāśayāmāsa śāpāya mānaso brahmaṇaḥ sutaḥ // BndP_1,1.111 //	nASayAmAsa SApAya mAnasaH brahmaNaH sutaH // Bndu _1,1.111 //
   tato dakṣo 'sṛjatkanyā vairiṇā nāma viśrutāḥ /	tatas dakzaH asRjat kanyAH vEriNA nAma viSrutAH /
   marutpravāhe maruto dityāṃ devyāṃ ca saṃbhavaḥ // BndP_1,1.112 //	marut pravAhe marutaH dityAm devyAm ca saMBavaH // Bndu _1,1.112 //
   kīrtyate marutāṃ cātragaṇāste saptasaptakāḥ /	kIrtyate marutAm ca atra gaNAH te sapta saptakAH /
   devatvamindravāsena vāyuskandheṣu cāśramaḥ // BndP_1,1.113 //	deva tvam indra vAsena vAyu skanDezu ca ASramaH // Bndu _1,1.113 //
   daityānāṃ dānavānāṃ ca yakṣagandharvarakṣasām /	dEtyAnAm dAnavAnAm ca yakza ganDarva rakzasAm /
   sarvabhūtapiśācānāṃ yakṣaṇāṃ pakṣivīrudhām // BndP_1,1.114 //	sarva BUta piSAcAnAm yakzaNAm pakzi vIruDAm // Bndu _1,1.114 //
   utpattayaścāpsarasāṃ kīrtyante bahuvistarāt /	utpattayaH ca apsarasAm kIrtyante bahu vistarAt /
   mārtaṇḍamaṇḍalaṃ kṛtsnaṃ janmairāvatahastinaḥ // BndP_1,1.115 //	mArtaNxa maNxalam kRtsnam janma ErAvata hastinaH // Bndu _1,1.115 //
   vainateyasamutpattistathā rājyā bhiṣecanam /	vEnateya samutpattiH taTA rAjyAH Bizecanam /
   bhṛgūṇāṃ vistaraścoktastathā cāṅgirasāmapi // BndP_1,1.116 //	BRgUNAm vistaraH ca uktaH taTA ca aFgirasAm api // Bndu _1,1.116 //
   kaśyapasya pulastyasya tathaivātrermahātmanaḥ /	kaSyapasya pulastyasya taTA eva atreH mahAtmanaH /
   parāśarasya ca muneḥ prajānāṃ yatra vistaraḥ // BndP_1,1.117 //	parASarasya ca muneH prajAnAm yatra vistaraH // Bndu _1,1.117 //
   tisraḥ kanyāḥ sukīrtyante yāsulokāḥ pratiṣṭhitāḥ /	tisraH kanyAH sukIrtyante yAsu lokAH pratizWitAH /
   icchāyā vistaraścokta ādityasya tataḥ param // BndP_1,1.118 //	icCAyAH vistaraH ca uktaH Adityasya tatas param // Bndu _1,1.118 //
   kiṅkuviccaritaṃ proktaṃ dhruvasyaiva nibarhaṇam /	kiFku vid caritam proktam Druvasya eva nibarhaNam /
   bṛhadbalānāṃ saṃkṣepādikṣvākvādyāḥ prakīrttitāḥ // BndP_1,1.119 //	bRhadbalAnAm saMkzepAt ikzvAku a AdyAH prakIrttitAH // Bndu _1,1.119 //
   niśyādīnāṃ kṣitīśānāṃ palāṇḍu haraṇādibhiḥ /	niSi AdInAm kzitISAnAm palANxu haraNa AdiBiH /
   kīrtyate vistarātsarge yayāterapi bhūpateḥ // BndP_1,1.120 //	kIrtyate vistarAt sarge yayAteH api BUpateH // Bndu _1,1.120 //
   yaduvaṃśasamuddeśo haihayasya ca vistaraḥ /	yadu vaMSa samuddeSaH hEhayasya ca vistaraH /
   krodhādanantaraṃ coktastathā vaṃśasya vistaraḥ // BndP_1,1.121 //	kroDAt anantaram ca uktaH taTA vaMSasya vistaraH // Bndu _1,1.121 //
   jyāmaghasya ca māhātmyaṃ prajāsargaśca kīrtyate /	jyAmaGasya ca mAhAtmyam prajA sargaH ca kIrtyate /
   devāvṛdhasyāndhakasya dhṛṣṭeścapi mahātmanaḥ // BndP_1,1.122 //	devAvRDasya anDakasya DRzweH capi mahAtmanaH // Bndu _1,1.122 //
   animitrānvayaścaiva viśormithyābhiśaṃsanam /	animitra anvayaH ca eva viSoH miTyA aBiSaMsanam /
   viśodhamanusaṃprāptirmaṇiratnasya dhīmataḥ // BndP_1,1.123 //	viSoDam anusaMprAptiH maNi ratnasya DImataH // Bndu _1,1.123 //
   satrājitaḥ prajāsarge rājarṣerdevamīḍhuṣaḥ /	satrAjitaH prajA sarge rAjarzeH devamIXuzaH /
   śūrasya janma cāpyuktaṃ caritaṃ ca māhātmanaḥ // BndP_1,1.124 //	SUrasya janma ca api uktam caritam ca mAhAtmanaH // Bndu _1,1.124 //
   kaṃsasyāpi ca daurātmyamekīvaṃśyātsamudbhavaḥ /	kaMsasya api ca dOrAtmyam ekIvaMSyAt samudBavaH /
   vāsudevasya deva kyāṃ viṣṇoramitatejasaḥ // BndP_1,1.125 //	vAsudevasya deva kyAm vizNoH amita tejasaH // Bndu _1,1.125 //
   anantaramṛṣeḥ sargaḥ prajāsargopavarṇanam /	anantaram RzeH sargaH prajA sarga upavarNanam /
   devāsure samutpanne viṣṇunā strīvadhe kṛte // BndP_1,1.126 //	devAsure samutpanne vizNunA strI vaDe kRte // Bndu _1,1.126 //
   saṃrakṣatā śakravadhaṃ śāpaḥ prāptaḥ purā bhṛgoḥ /	saMrakzatA Sakra vaDam SApaH prAptaH purA BRgoH /
   bhṛguścotthāpayāmāsa divyāṃ śukrasya mātaram // BndP_1,1.127 //	BRguH ca utTApayAmAsa divyAm Sukrasya mAtaram // Bndu _1,1.127 //
   devānāṃ ca ṛṣīṇāṃ ca saṃkramā dvādaśātdṛtāḥ /	devAnAm ca RzINAm ca saMkramAH dvAdaSAt dRtAH /
   nārasihaprabhṛtayaḥ kīrtyante pāpanāśanāḥ // BndP_1,1.128 //	nArasiha praBRtayaH kIrtyante pApa nASanAH // Bndu _1,1.128 //
   śukeṇārādhanaṃ sthāṇorghoreṇa tapasā tathā /	SukeNa ArADanam sTANoH GoreNa tapasA taTA /
   varapradāna kṛttena yatra śarvastavaḥ kṛtaḥ // BndP_1,1.129 //	vara pradAna kRttena yatra Sarva stavaH kRtaH // Bndu _1,1.129 //
   anantaraṃ ca nirdiṣṭaṃ devāsuraviceṣṭitam /	anantaram ca nirdizwam deva asura vicezwitam /
   jayantyā saha śakreṇa yatra śuko mahātmani // BndP_1,1.130 //	jayantyA saha SakreNa yatra SukaH mahAtmani // Bndu _1,1.130 //
   asurānmohayāmāsa śakrarūpeṇa buddhimān /	asurAt mohayAmAsa Sakra rUpeNa budDimAn /
   bṛhaspatiśca taṃ śukaṃ śaśāpa sa mahādyutiḥ // BndP_1,1.131 //	bRhaspatiH ca tam Sukam SaSApa sa mahA dyutiH // Bndu _1,1.131 //
   ukta ca viṣṇormāhātmyaṃ viṣṇorjanmani śabdyate /	ukta ca vizNoH mAhAtmyam vizNoH janmani Sabdyate /
   turvasuścātra dauhitro yavīyānyo yadorabhūt // BndP_1,1.132 //	turvasuH ca atra dOhitraH yavIyAn yaH yadoH aBUt // Bndu _1,1.132 //
   anurdruhyādayaḥ sarve tathā tattanayā nṛpāḥ /	anuH druhya AdayaH sarve taTA tad tanayAH nRpAH /
   anuvaṃśyāmahātmānasteṣāṃ pārthivasattamāḥ // BndP_1,1.133 //	anuvaMSyA mahAtmAnaH tezAm pArTiva sattamAH // Bndu _1,1.133 //
   kīrtyante yatra kārtsnyena bhūridraviṇatejasaḥ /	kIrtyante yatra kArtsnyena BUri draviNa tejasaH /
   ātithyasya tu vibrarṣeḥ saptadhā dharmasaṃśrayāt // BndP_1,1.134 //	AtiTyasya tu vibrarzeH saptaDA Darma saMSrayAt // Bndu _1,1.134 //
   bārhasvatyaṃ sūribhiśca yatra śāpamupāvṛtam /	bArhasvatyam sUriBiH ca yatra SApam upAvRtam /
   haravaṃśayaśaḥsparśaḥ śantanorvīryaśabdanam // BndP_1,1.135 //	hara vaMSa yaSaH sparSaH SantanoH vIrya Sabdanam // Bndu _1,1.135 //
   bhaviṣyatāṃ tathā rājñāmupasaṃhāraśabdanam /	BavizyatAm taTA rAjQAm upasaMhAra Sabdanam /
   anāgatānāṃsaṃghānāṃ prabhūṇāṃ copavarṇanam // BndP_1,1.136 //	anAgatAnAMsaMGAnAm praBUNAm ca upavarNanam // Bndu _1,1.136 //
   bhautyasyānte kaliyuge kṣīṇe saṃhāravarṇanam /	BOtyasya ante kali yuge kzINe saMhAra varNanam /
   naimittikāḥ prākṛtikā yathaivātyantikāḥ smṛtāḥ // BndP_1,1.137 //	nEmittikAH prAkRtikAH yaTA eva AtyantikAH smRtAH // Bndu _1,1.137 //
   vividhaḥ sarvabhūtānāṃ kīrtyate pratisaṃcaraḥ /	viviDaH sarva BUtAnAm kIrtyate pratisaMcaraH /
   anādṛṣṭirbhāskarasya ghoraḥ saṃvarttakānalaḥ // BndP_1,1.138 //	anAdRzwiH BAskarasya GoraH saMvarttaka analaH // Bndu _1,1.138 //
   sāṃkhye lakṣaṇamuddiṣṭaṃ tato brahma viśeṣataḥ /	sAMKye lakzaNam uddizwam tatas brahma viSezataH /
   bhuvādīnāṃ ca lokānāṃ saptānāṃ copavarṇanam // BndP_1,1.139 //	BuvAdInAm ca lokAnAm saptAnAm ca upavarNanam // Bndu _1,1.139 //
   aparārddhāparaiścaiva lakṣaṇaṃ parikīrtyate /	aparArdDa aparEH ca eva lakzaNam parikIrtyate /
   brahmaṇoyojanāgreṇa parimāṇavinirṇayaḥ // BndP_1,1.140 //	brahmaNaH yojana agreNa parimANa vinirNayaH // Bndu _1,1.140 //
   kīrtyante cātra nirayāḥ pāpānāṃ rauravādayaḥ /	kIrtyante ca atra nirayAH pApAnAm rOrava AdayaH /
   sarveṣāṃ caiva sattvānāṃ pariṇāmavinirṇayaḥ // BndP_1,1.141 //	sarvezAm ca eva sattvAnAm pariNAma vinirNayaH // Bndu _1,1.141 //
   brahmaṇaḥ pratisaṃsargātsarva saṃsāravarṇanam /	brahmaNaH pratisaMsargAt sarva saMsAra varNanam /
   gatirūrddhamadhaścoktā dharmādharmasamāśrayā // BndP_1,1.142 //	gati rUrdDam aDas ca uktA Darma aDarma samASrayAH // Bndu _1,1.142 //
   kalpe kalpe ca bhūtānāṃ mahatāmapi saṃkṣayam /	kalpe kalpe ca BUtAnAm mahatAm api saMkzayam /
   asaṃkhyayā ca duḥkhāni brahmaṇaścāpyanityatā // BndP_1,1.143 //	asaMKyayA ca duHKAni brahmaNaH ca api anitya tA // Bndu _1,1.143 //
   daurātmyaṃ caiva bhogānāṃ saṃhārasya ca kaṣṭatā /	dOrAtmyam ca eva BogAnAm saMhArasya ca kazwatA /
   durlabhatvaṃ ca mokṣasya vairāgyāddoṣadarśanāt // BndP_1,1.144 //	durlaBa tvam ca mokzasya vErAgyAt doza darSanAt // Bndu _1,1.144 //
   vyaktāvyaktaṃ parityajya sattvaṃ brahmaṇi saṃsthitam /	vyakta avyaktam parityajya sattvam brahmaNi saMsTitam /
   nānātvadarśanācchuddhastavastatra nivarttate // BndP_1,1.145 //	nAnAtva darSanAt SudDa stavaH tatra nivarttate // Bndu _1,1.145 //
   tatastāpatrayād bhīto rūpārthohi nirañjanaḥ /	tatas tApa trayAt BItaH rUpa arTohi niraQjanaH /
   ānandaṃ brahmaṇaḥ prāpya na bibheti kutaścana // BndP_1,1.146 //	Anandam brahmaNaH prApya na biBeti kutaScana // Bndu _1,1.146 //
   kīrtyate ca punaḥ sargo brahmaṇo 'nyasya pūrvavat /	kIrtyate ca punar sargaH brahmaNaH anyasya pUrvavat /
   kīrtyate jagataścatra sargapralayavikriyāḥ // BndP_1,1.147 //	kIrtyate jagataH catra sarga pralaya vikriyAH // Bndu _1,1.147 //
   pravṛttayaśca bhūtānāṃ prasutānāṃ phalāni ca /	pravRttayaH ca BUtAnAm prasutAnAm PalAni ca /
   kīrtyate ṛṣivargasya sargaḥ pāpapraṇāśanaḥ // BndP_1,1.148 //	kIrtyate Rzi vargasya sargaH pApa praNASanaH // Bndu _1,1.148 //
   prādurbhāvo vasiṣṭhasya śakterjanma tathaiva ca /	prAdurBAvaH vasizWasya SakteH janma taTA eva ca /
   saudāsāsthigrahaścāsya viśvāmitrakṛtena tu // BndP_1,1.149 //	sOdAsa asTi grahaH ca asya viSvAmitra kRtena tu // Bndu _1,1.149 //
   parāśarasya cotpattiradṛśyantyāṃ tathā vibhoḥ /	parASarasya ca utpattiH adRSyantyAm taTA viBoH /
   saṃjajñe pitṛkanyāyāṃ vyāsaścāpi mahāmuniḥ // BndP_1,1.150 //	saMjajQe pitR kanyAyAm vyAsaH ca api mahA muniH // Bndu _1,1.150 //
   śukasya ca tathā janma saha putrasya dhīmaptaḥ /	Sukasya ca taTA janma saha putrasya DImaptaH /
   parāśarasya pradvepo viśvāmitra ṛṣiṃ prati // BndP_1,1.151 //	parASarasya pradvepaH viSvAmitraH Rzim prati // Bndu _1,1.151 //
   vasiṣṭhasaṃbhṛtiścāgnerviśvāmitrajighāṃsayā /	vasizWa saMBRtiH ca agneH viSvAmitra jiGAMsayA /
   devena vidhinā vipra viśvāmitrahitaiṣiṇā // BndP_1,1.152 //	devena viDinA vipra viSvAmitra hita eziNA // Bndu _1,1.152 //
   saṃtānahetorvibhunā gīrṇaskandhena dhīmatā /	saMtAna hetoH viBunA gIrNa skanDena DImatA /
   ekaṃ vedaṃ catuṣpādaṃ caturddhā punarīśvaraḥ // BndP_1,1.153 //	ekam vedam catuzpAdam caturdDA punar ISvaraH // Bndu _1,1.153 //
   tathā bibheda bhāgavān vyāsaḥ śārvādanugrahāt /	taTA biBeda BAgavAn vyAsaH SArvAt anugrahAt /
   tasya śiṣyapraśiṣyaiśca śākhā vedāyutāḥ kṛtāḥ // BndP_1,1.154 //	tasya Sizya praSizyEH ca SAKAH veda AyutAH kRtAH // Bndu _1,1.154 //
   prayoge prahvalā naiva yathā dṛṣṭaḥ svayaṃbhuvā /	prayoge prahvalA na eva yaTA dRzwaH svayaMBuvA /
   pṛṣṭa vanto viśiṣṭāste munayo dharmakāṅkṣiṇaḥ // BndP_1,1.155 //	pRzwaH vantaH viSizwAH te munayaH Darma kAFkziNaH // Bndu _1,1.155 //
   deśaṃ puṇyamabhīpsato vibhunā taddhitaiṣiṇā /	deSam puNyam aBIpsataH viBunA tad hita eziNA /
   sunābhaṃ divyarūpābhaṃ saptāṅgaṃ śubhaśaṃsanam // BndP_1,1.156 //	sunABam divya rUpa ABam sapta aFgam SuBa SaMsanam // Bndu _1,1.156 //
   ānaupamyamidaṃ cakraṃ varttamānamatandritāḥ /	AnOpamyam idam cakram varttamAnam atandritAH /
   pṛṣṭhato yāta niyatāstataḥ prāpsyatha pāṭitam // BndP_1,1.157 //	pRzWatas yAta niyatAH tatas prApsyaTa pAwitam // Bndu _1,1.157 //
   gacchatastasya cakrasya yatra nemirviśīryate /	gacCataH tasya cakrasya yatra nemiH viSIryate /
   puṇyaḥ sa deśo mantavyaḥ pratyuvāca tadā prabhuḥ // BndP_1,1.158 //	puNyaH sa deSaH mantavyaH pratyuvAca tadA praBuH // Bndu _1,1.158 //
   uktvā caivamṛṣīnsarvānadṛśyatvamupāgamat /	uktvA ca evam RzIn sarvAn adRSya tvam upAgamat /
   gaṅgā garbha yavāhārā naimiṣeyāstathaiva ca // BndP_1,1.159 //	gaFgA garBa yava AhArAH nEmizeyAH taTA eva ca // Bndu _1,1.159 //
   īśire caiva satreṇa munayo naimiṣe tadā // BndP_1,1.160 //	ISire ca eva satreNa munayaH nEmize tadA // Bndu _1,1.160 //
   mṛteśaradvatitathā tasya cotthāpanaṅkṛtam /	mRteSaradvati taTA tasya ca utTApanaFkRtam /
   ṛṣayo naimiṣeyāśca dayayā parayā yutāḥ // BndP_1,1.161 //	RzayaH nEmizeyAH ca dayayA parayA yutAH // Bndu _1,1.161 //
   niḥsīmāṃ gāmimāṃ kṛtvā kṛṣaṇaṃ rājānamāharat /	niHsImAm gAm imAm kRtvA kRzaNam rAjAnam Aharat /
   prītiṃ caiva kṛtātithyaṃ rājānaṃ vidhivattadā // BndP_1,1.162 //	prItim ca eva kRta AtiTyam rAjAnam viDivat tadA // Bndu _1,1.162 //
   antaḥ sargagataḥ krūraḥ svarbhānurasuro haran /	antar sarga gataH krUraH svarBAnuH asuraH haran /
   drute rājani rājānu madrate munayastataḥ // BndP_1,1.163 //	drute rAjani rAjA anu madrate munayaH tatas // Bndu _1,1.163 //
   gandharvarakṣitaṃ dṛṣṭvā kalāpagrāmaketanam /	ganDarva rakzitam dRzwvA kalApa grAma ketanam /
   sannipātaḥ punastasya tathā yajñe maharṣibhiḥ // BndP_1,1.164 //	sannipAtaH punar tasya taTA yajQe mahA RziBiH // Bndu _1,1.164 //
   dṛṣṭvā hiraṇmayaṃ sarvaṃ vivādastasya tairabhūt /	dRzwvA hiraNmayam sarvam vivAdaH tasya tEH aBUt /
   tadā vai naimiṣeyānāṃ satre dvādaśavārṣike // BndP_1,1.165 //	tadA vE nEmizeyAnAm satre dvAdaSa vArzike // Bndu _1,1.165 //
   tathā vivadamānaiśca yaduḥ saṃsthāpitaśca taiḥ /	taTA vivadamAnEH ca yaduH saMsTApitaH ca tEH /
   janayitvā tvaraṇyaṃ vai yaduputramathāyutam // BndP_1,1.166 //	janayitvA tu araNyam vE yadu putram aTa ayutam // Bndu _1,1.166 //
   samāpayitvā tatsatraṃ vāyuṃ te paryupāsata /	samApayitvA tat satram vAyum te paryupAsata /
   iti kṛtyasamuddeśaḥ purāṇāṃśopavarṇitaḥ // BndP_1,1.167 //	iti kRtya samuddeSaH purANa aMSa upavarNitaH // Bndu _1,1.167 //
   anenānukrameṇaiva purāṇaṃ saṃprakāśate /	anena anukrameNa eva purANam saMprakASate /
   sukhamarthaḥ samāsena mahānapyupalakṣyate // BndP_1,1.168 //	suKam arTaH samAsena mahAn api upalakzyate // Bndu _1,1.168 //
   tasmātsamāsamuddiśya vakṣyāmi tava vistaram /	tasmAt samA sam uddiSya vakzyAmi tava vistaram /
   pādamādyamidaṃ samyag yo 'dhīte vijitedriyaḥ // BndP_1,1.169 //	pAdam Adyam idam samyak yaH aDIte vijita idriyaH // Bndu _1,1.169 //
   tenādhītaṃ purāṇaṃ syātsarvaṃ nāstyatrasaṃśayaḥ /	tena aDItam purANam syAt sarvam na asti atra saMSayaH /
   yo vidyāccaturo vedān sāṃgopaniṣadān dvijāḥ // BndP_1,1.170 //	yaH vidyAt caturaH vedAn sAMga upanizadAn dvijAH // Bndu _1,1.170 //
   itihāsapurāṇābhyāṃ vedaṃ samupabṛṃhayet /	itihAsa purANAByAm vedam samupabRMhayet /
   bibhetyalpaśrutādvedo māmayaṃ prahariṣyati // BndP_1,1.171 //	biBeti alpa SrutAt vedaH mAm ayam praharizyati // Bndu _1,1.171 //
   abhyasannimamadhyāyaṃ sākṣātproktaṃ svayaṃbhuvā /	aByasan= imam aDyA ayam sAkzAt proktam svayaMBuvA /
   nāpadaṃ prāpya muhyeta yatheṣṭāṃ prāpnuyādgatim // BndP_1,1.172 //	na Apadam prApya muhyeta yaTezwAm prApnuyAt gatim // Bndu _1,1.172 //
   yasmātpurā hyabhūccaitatpurāṇaṃ tena tatsmṛtam /	yasmAt purA hi aBUt ca etat purANam tena tat smRtam /
   niruktamasya yo veda sarvapāpaiḥ pramucyate // BndP_1,1.173 //	niruktam asya yaH veda sarva pApEH pramucyate // Bndu _1,1.173 //
   ataśca saṃkṣepamimaṃ śṛṇudhvaṃ nārāyaṇaḥ sarvamidaṃ purāṇam /	atas ca saMkzepam imam SRNuDvam nArAyaNaH sarvam idam purANam /
   saṃsargakāle 'pi karoti marga saṃhāra kāle ca na vāsti bhūyaḥ //	saMsarga kAle api karoti marga saMhAra kAle ca na vA asti BUyas //
   BndP_1,1.174 //	Bndu _1,1.174 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte pūrvabhāge prathame prakriyāpāde	iti SrI brahmANxe mahApurANe vAyu prokte pUrva BAge praTame prakriyA pAde
   kṛtyasamuddeśo nāma prathamo 'dhyāyaḥ	kRtyasamuddeSaH nAma praTamaH aDyAyaH
