   1. jñānādhikāraḥ //	1. jQAna-aDikAraH //
   yoginirmitatvābhāvaniścayābhāve hetvābhāsaḥ / tanniścaye puna	yogi-nirmita-tva-aBAva-niScaya-aBAve hetvABAsaH / tad-niScaye puna
   īśvaraniyatyapekṣayā hetutā syāt //	ISvara-niyati-apekzayA hetu-tA syAt //
   bhūyas tattatpramātreka- vahnyābhāsādito bhavet /	BUyas tad-tad-pramAtR-eka vahni-ABAsAditaH Bavet /
   parokṣād apy adhipater dhūmābhāsādi nūtanam // Ipk_2,4.12 //	parokzAt api aDipateH DUma-ABAsa-Adi nUtanam // IpS-_2,4.12 //
   kāryam avyabhicāryasya liṅgam anyapramātṛgāt /	kAryam avyaBicAryasya liFgam anya-pramAtR-gAt /
   tadābhāsas tadābhāsād eva tv adhipateḥ paraḥ // Ipk_2,4.13 //	tad-ABAsaH tad-ABAsAt eva tu aDipateH paraH // IpS-_2,4.13 //
   Ipv: avahnyābhāsasphuraṇapūrvako 'pi jāyamāno dhūmābhāso dūrādau	Ipv: avahnya-ABAsa-sPuraNa-pUrvakaH api jAyamAnaH DUma-ABAsaH dUra-AdO
   niyatiśaktyā kṛtasāmarthyād agnyābhāsād eva	niyati-SaktyA kRta-sAmarTyAt agni-ABAsAt eva
   taddeśagatatattatpramātrantarasādhāraṇāt tasyaiva sa avyabhicāreṇa gamako,	tad-deSa-gata-tad-tad-pramAtR-antara-sADAraNAt tasya-eva sa avyaBicAreNa gamakaH-,
   jātarūḍhas tu dhūmābhāsas tadvahnyābhāsasyātyantaparikṣayāt	jAtarUXaH tu DUma-ABAsaH tad-vahni-ABAsasya-atyanta-parikzayAt
   tattatpramātrantaragād dhūmābhāsād eva parokṣād api pūrvavat kṛtādhipatyāt	tad-tad-pramAtR-antara-gAt DUma-ABAsAt eva parokzAt api pUrvavat kRta-ADipatyAt
   asmin satīdam astīti kāryakāraṇatāpi yā /	asmin sati-idam asti-iti kArya-kAraNa-tA-api yA /
   sāpy apekṣāvihīnānāṃ jāḍānāṃ nopapadyate // Ipk_2,4.14 //	sA-api apekzA-vihInAnAm jAxAnAm na-upapadyate // IpS-_2,4.14 //
   Ipv: asmin satīdaṃ bhavatīti niyataṃ paurvāparyaṃ kṛttikārohinyudayayor	Ipv: asmin sati-idam Bavati-iti niyatam pOrvAparyam kRttikA-rohinI-udayayoH-
   akāryakāraṇayor apy astīti pūrvasya sāmarthye parasya satteti syāt	akArya-kAraNayoH api asti-iti pUrvasya sAmarTye parasya sattA-iti syAt-
   kāryakāraṇabhāvas, tac cāpekṣārahitānāṃ jāḍānāṃ na yuktam / etāvad etat	kArya-kAraNa-BAvas, tat ca-apekzA-ra-hitAnAm jAxAnAm na yuktam / etAvat etat-
   syāt pūrvasya sāmarthyaṃ parasya sattā na caivaṃ kiṃcid uktaṃ syān na ca	syAt pUrvasya sAmarTyam parasya sattA na ca-evam kiMcid uktam syAt na ca
   pūrvasya sāmarthyalakṣaṇaḥ svabhāvaḥ parasattārūpaḥ //	pUrvasya sAmarTya-lakzaNaH svaBAvaH para-sattA-rUpaH //
   na hi svātmaikaniṣṭhānām anusandhānavarjinām /	na hi sva-Atma-eka-nizWAnAm anusanDAna-varjinAm /
   sadasattāpade 'py eṣa saptamyarthaḥ prakalpyate // Ipk_2,4.15 //	sat-asat-tApa-de api eza saptamI-arTaH prakalpyate // IpS-_2,4.15 //
   Ipv: sad asad vā kāryaṃ kāraṇam apy ātmaparyavasitaṃ jaḍam	Ipv: sat asat vA kAryam kAraNam api Atma-paryavasitam jaxam
   anusandhānaśūnyaṃ nānyāpekṣasvabhāvaṃ tataś ca nātra pradhānāpekṣāmayo	anusanDAna-SUnyam na-anya-apekza-svaBAvam tatas ca na-atra praDAna-apekzA-AmayaH-
   guṇavibhaktyartho ghaṭate //	guNa-viBakti-arTaH Gawate //
   ata eva vibhaktyarthaḥ pramātrekasamāśrayaḥ /	atas eva viBakti-arTaH pramAtR-eka-samASrayaH /
   kriyākārakabhāvākhyo yukto bhāvasamanvayaḥ // Ipk_2,4.16 //	kriyA-kAraka-BAva-AKyaH yuktaH BAva-samanvayaH // Ipk-_2,4.16 //
   Ipv: ekapramātṛsaṃlagnas tu kriyākārakabhāvākhyo vibhaktyartho	Ipv: eka-pramAtR-saMlagnaH tu kriyA-kAraka-BAva-AKyaH viBakti-arTaH-
   bhūmibījodakādīnāṃ samanvayo yukto na tu śuṣko 'nyaḥ kāryakāraṇabhāvaḥ //	BUmi-bIja-udaka-AdInAm samanvayaH yuktaH na tu SuzkaH anyaH kArya-kAraNa-BAvaH //
   parasparasvabhāvatve kāryakāraṇayor api /	paraspara-svaBAva-tve kArya-kAraNayoH api /
   ekatvam eva bhede hi naivānyonyasvarūpatā // Ipk_2,4.17 //	eka-tvam eva Bede hi na-eva-anyonya-svarUpa-tA // IpS-_2,4.17 //
   Ipv: kāryakāraṇayor anyonyarūpatve 'py ekataiva syān na tadbhāvaḥ //	Ipv: kArya-kAraNayoH anyonya-rUpa-tve api ekatA-eva syAt na tad-BAvaH //
   ekātmano vibhedaś ca kriyā kālakramānugā /	eka-AtmanaH viBedaH ca kriyA kAla-krama-anugAH /
   tathā syāt kartṛtaivaivaṃ tathāpariṇamat tayā // Ipk_2,4.18 //	taTA syAt kartR-tA-eva-evam taTA-apariNamat tayA // Ipk-_2,4.18 //
   Ipv: ekasvabhāvasya bhedena sthitiḥ pariṇāmaḥ kālakalitaḥ kriyaiva, tataḥ	Ipv: eka-svaBAvasya Bedena sTitiH pariNAmaH kAla-kalitaH kriyA-eva, tatas-
   pariṇāme svatantrasya śāktimataḥ kartṛtaiva hetunā //	pariNAme svatantrasya SAktimataH kartR-tA-eva hetunA //
   na ca yuktaṃ jaḍasyaivaṃ bhedābhedavirodhataḥ /	na ca yuktam jaxasya-evam Beda-aBeda-viroDataH /
   ābhāsabhedād ekatra cidātmani tu yujyate // Ipk_2,4.19 //	ABAsa-BedAt ekatra cit-Atmani tu yujyate // IpS-_2,4.19 //
   Ipv: jaḍasyābhinnātmano bhedenāvasthiter virodhād ayuktaṃ, svacche	Ipv: jaxasya-aBinna-AtmanaH Bedena-avasTiteH viroDAt ayuktan, svacCe
   cidātmany ekasminn evam anekapratibimbadhāraṇenāvirodhād yujyate //	cit-Atmani ekasmin evam aneka-pratibimba-DAraNena-aviroDAt yujyate //
   vāstave 'pi cidekatve na syād ābhāsabhinnayoḥ /	vAstave api cit-eka-tve na syAt ABAsa-BinnayoH /
   cikīrṣālakṣaṇaikatva- parāmarśaṃ vinā kriyā // Ipk_2,4.20 //	cikIrzA-lakzaNa-eka-tva parAmarSam vinA kriyA // Ipk-_2,4.20 //
   Ipv: ekasmiñ cittattve 'py akasmād ābhāsabhedo na ghaṭate, na ca tatra	Ipv: ekasmin cit-tattve api akasmAt ABAsa-BedaH na Gawate, na ca tatra
   kriyātvam / yadā tu sa cidātmā tathācikīrṣayā parāmṛśan bahir ābhāsayati	kriyA-tvam / yadA tu sa cit-AtmA taTA-cikIrzayA parAmRSan bahis ABAsayati
   tadā tad upapadyate / jaḍasyāpy asti bhavatīty asyām api sattākriyāyāṃ	tadA tat upapadyate / jaxasya-api asti Bavati-iti asyAm api sattA-kriyAyAm
   bubhūṣāyogena svātantryābhāvād akartṛtvaṃ, tena pramātaiva taṃ bhāvayati	buBUzA-yogena svAtantrya-aBAvAt akartR-tvaM, tena pramAtA-eva tam BAvayati
   tena tena vā himācalādinā rūpeṇa sa bhavatīty atra paramārthaḥ //	tena tena vA himAcala-AdinA rUpeNa sa Bavati-iti atra parama-arTaH //
   itthaṃ tathā ghaṭapaṭādyābhāsajagadātmanā /	itTam taTA Gawa-pawa-Adi-ABAsa-jagat-AtmanA /
   tiṣṭhāsor evam icchaiva hetutā kartṛtā kriyā // Ipk_2,4.21 //	tizWAsoH evam icCA-eva hetu-tA kartR-tA kriyA // Ipk-_2,4.21 //
   Ipv: cidvapuṣaḥ svatantrasya viśvātmanā sthātum icchaiva jagat prati	Ipv: cit-vapuzaH svatantrasya viSvAtmanA sTAtum icCA-eva jagat prati
   kāraṇatā kartṛtārūpā saiva kriyāśaktiḥ / evaṃ cidrūpasyaikasya kartur eva	kAraNa-tA kartR-tA-rUpA sA-eva kriyASaktiH / evam cit-rUpasya-ekasya kartuH eva
   cikīrṣākhyā kriyā mukhyā, nākartṛkaṃ karmāsti karmādīnāṃ	cikIrzA-AKyA kriyA muKyA, na-akartRkam karma-asti karma-AdInAm
   kartṛmukhenopacārataḥ //	kartR-muKena-upacArataH //
   iti kriyādhikāre caturtham āhnikam //	iti kriyA-aDikAre caturTam Ahnikam //
   iti kriyādhikāraḥ //	iti kriyA-aDikAraH //
   3. āgamādhikāraḥ //	3. Agama-aDikAraH //
   3.1 prathamam āhnikam //	3.1 praTamam Ahnikam //
   evam antarbahirvṛttiḥ kriyā kālakramānugā /	evam antar-bahis-vRttiH kriyA kAla-krama-anugAH /
   mātur eva tadanyonyāviyukte jñānakarmaṇī // Ipk_3,1.1 //	mAtuH eva tad-anyonya-aviyukte jQAna-karmaNI // IpS-_3,1.1 //
   Ipv: pramātur antaḥsthitasyātmano bahiṣkāra eva kramānugatā kriyeti	Ipv: pramAtuH antar-sTitasya-AtmanaH bahizkAraH eva krama-anugatA kriyA-iti
   parasparāvirahite tasya jñānakriye //	paraspara-avirahite tasya jQAna-kriye //
   kiṃ tv āntaradaśodrekāt sādākhyaṃ tattvam āditaḥ /	kim tu Antara-daSA-udrekAt sAdAKyam tattvam Aditas /
   bahirbhāvaparatve tu parataḥ pārameśvaram // Ipk_3,1.2 //	bahis-BAva-paratve tu paratas pArameSvaram // IpS-_3,1.2 //
   Ipv: īśitur antarbahiḥsthitav antarbhāvaprādhānye punaḥ sādākhyaṃ tattvam,	Ipv: ISituH antar-bahis-sTitav antarBAva-prADAnye punar sAdAKyam tattvam,
   aparaṃ bahirbhāvodrekād aiśvaram //	aparam bahirBAva-udrekAt ESvaram //
   īśvaro bahir unmeṣo nimeṣo 'ntaḥ sadāśivaḥ /	ISvaraH bahis unmezaH nimezaH antar sadASivaH /
   sāmānādhikaraṇyaṃ ca sadvidyāhamidaṃdhiyoḥ // Ipk_3,1.3 //	sAmAnADikaraNyam ca sat-vidyA-aham-idaMDiyoH // Ipk-_3,1.3 //
   Ipv: unmeṣanimeṣau bahirantaḥsthitī eveśvarasadāśivau, bāhyāntarayor	Ipv: unmeza-nimezO bahis-antar-sTitI eva-ISvara-sadASivO, bAhya-antarayoH-
   vedyavedakayor ekacinmātraviśrānter abhedāt sāmānādhikaraṇyenedaṃ viśvam	vedya-vedakayoH ekacit-mAtra-viSrAnteH aBedAt sAmAna-aDikaraNyena-idam viSvam
   aham iti viśvātmano matiḥ śuddhavidyā //	aham iti viSvAtmanaH matiH SudDa-vidyA //
   idaṃbhāvopapannānāṃ vedyabhūmim upeyuṣām /	idaMBAva-upapannAnAm vedya-BUmim upeyuzAm /
   bhāvānāṃ bodhasāratvād yathāvastvavalokanāt // Ipk_3,1.4 //	BAvAnAm boDasAra-tvAt yaTAvastu-avalokanAt // Ipk-_3,1.4 //
   Ipv: binnavedyabhūmav idantayā dṛśyatām āpāditānām api bhāvānāṃ	Ipv: binna-vedya-BUmav idantayA dRSyatAm ApAditAnAm api BAvAnAm
   cinmātrasāratvād aham idam iti tattvapratipattiḥ śuddhatājñāptiḥ //	cit-mAtra-sAra-tvAt aham idam iti tattva-pratipattiH SudDa-tA-jQAptiH //
   atrāparatvam bhāvānām anātmatvena bhāsanāt /	atra-apara-tvam BAvAnAm anAtma-tvena BAsanAt /
   paratāhantayācchādāt parāparadaśā hi sā // Ipk_3,1.5 //	para-tA-hantayA-AcCAdAt parApara-daSA hi sA // IpS-_3,1.5 //
   Ipv: atredaṃtāmater aparatvam ahaṃtayā sarvasya vedyasyācchādanāt parateti	Ipv: atra-idaMtAmateH aparatvam ahaMtayA sarvasya vedyasya-AcCAdanAt para-tA-iti
   parāparāvasthaiṣā //	parApara-avasTA-ezA //
   bhedadhīr eva bhāveṣu kartur bodhātmano 'pi yā /	Beda-DIH eva BAvezu kartuH boDa-AtmanaH api yA /
   māyāśakty eva sā vidyety anye vidyeśvarā yathā // Ipk_3,1.6 //	mAyA-Sakti eva sA vidyA-iti anye vidyeSvarAH yaTA // Ipk-_3,1.6 //
   Ipv: bodhakartṛtāmayasyāpi bhedena viśvekṣaṇaṃ vidyeti ke cit / māyāśaktir	Ipv: boDa-kartRtA-Amayasya-api Bedena viSva-IkzaNam vidyA-iti ke cit / mAyA-SaktiH-
   apy eṣā vidyaiva / saṃsārottīrṇatvāt tatrasthā mantreśvaravidyeśvarāḥ //	api ezA vidyA-eva / saMsAra-uttIrNa-tvAt tatrasTAH mantreSvara-vidyA-ISvarAH //
   tasyaiśvaryasvabhāvasya paśubhāve prakāśikā /	tasya-ESvarya-svaBAvasya paSu-BAve prakASikAH /
   vidyāśaktiḥ tirodhāna- karī māyābhidhā punaḥ // Ipk_3,1.7 //	vidyA-SaktiH tiroDAna karI mAyA-aBiDA punar // IpS-_3,1.7 //
   Ipv: saṃsāriṇām aiśvaryasya svātmanaspratyabhijñānaṃ vidyayā, paśubhāvo	Ipv: saMsAriNAm ESvaryasya sva-AtmanaspratyaBijQAnam vidyayA, paSu-BAvaH-
   māyayā //	mAyayA //
   bhede tv ekarase bhāte 'haṃtayānātmanīkṣite /	Bede tu eka-rase BAte ahaMtayA-ana-Atma-ni-Ikzite /
   śūnye buddhe śarīre vā māyāśaktir vijṛmbhate // Ipk_3,1.8 //	SUnye budDe SarIre vA mAyA-SaktiH vijRmBate // IpS-_3,1.8 //
   Ipv: yadā bhāvā bhedenedaṃtayaiva bhāsante 'ham iti pramātṛtvena ca	Ipv: yadA BAvAH Bedena-idaMtayA-eva BAsante aham iti pramAtR-tvena ca
   dehādis, tadā viparyadvayahetur māyāśaktir vimohinī nāma vibhor vijṛmbhate	deha-Adi-s, tadA viparya-dvaya-hetuH mAyA-SaktiH vimohinI nAma viBoH vijRmBate
   yaś ca pramātā śūnyādiḥ prameye vyatirekiṇi /	yaH ca pramAtA SUnya-AdiH prameye vyatirekiNi /
   mātā sa meyaḥ san kālādikapañcakaveṣṭitaḥ // Ipk_3,1.9 //	mAtA sa meyaH san kAla-Adika-paQcaka-vezwitaH // Ipk-_3,1.9 //
   Ipv: yaś ca vyatiriktaprameyajāte pramātā śūnyādiḥ sa idam iti vedya eva	Ipv: yaH ca vyatirikta-prameya-jAte pramAtA SUnya-AdiH saH idam iti vedyaH eva
   vastutaḥ kālādyaiḥ pañcabhiś ca paratantrīkṛtaḥ / tatra kālād	vastutas kAla-AdyEH paQcaBiH ca paratantrIkRtaH / tatra kAlAd
   vartamānābhāsena tasya bhūtabahviṣyatsaṃbhavo, niyateḥ	vartamAna-ABAsena tasya BUta-bahvizyat-saMBavo, niyateH
   kāryakarmaphalaniyamo, rāgād bhogābhiṣvaṅgo, vidyākalābhyām, acidātmano	kArya-karma-Pala-niyamo, rAgAt Boga-aBizvaFgo, vidyA-kalAByAm, acit-AtmanaH-
   'svatantrasyāpīṣajjñānakriye citsvātantryarūpe //	asvatantrasya-api-Izat-jQAna-kriye cit-svAtantrya-rUpe //
   trayoviṃśatidhā meyaṃ yat kāryakaraṇātmakam /	trayoviMSatiDA meyam yat kArya-karaNa-Atmakam /
   tasyāvibhāgarūpy ekaṃ pradhānaṃ mūlakāraṇam // Ipk_3,1.10 //	tasya-aviBAga-rUpI ekam praDAnam mUla-kAraNam // IpS-_3,1.10 //
   trayodaśavidhā cātra bāhyāntaḥkaraṇāvalī /	trayodaSaviDA ca-atra bAhya-antaHkaraNa-AvalI /
   kāryavargaś ca daśadhā sthūlasūkṣmatvabhedataḥ // Ipk_3,1.11 //	kAryavargaH ca daSaDA sTUla-sUkzma-tva-BedataH // Ipk-_3,1.11 //
   Ipv: kāryāṇi dvidhā / śabdasparśarūparasagandhāni sūkṣmatvena	Ipv: kAryANi dviDA / Sabda-sparSa-rUpa-rasa-ganDAni sUkzma-tvena
   tanmātrasaṃjñāni pañca, anyonyavyūhena sthūlāni pṛthivyādibuddhīndriyāṇi,	tanmAtra-saMjQAni paQca, anyonya-vyUhena sTUlAni pRTivI-Adi-budDIndriyANi,
   vākpāṇipādapāyūpasthākhyāni pañca karmendriyāṇi, manobuddhyahaṅkārā iti	vAc-pANi-pAda-pAyu-upasTa-AKyAni paQca karmendriyANi, manaH-budDi-ahaFkArAH iti
   tridhāntahkaraṇam iti trayoviṃśatibhedasya kāryakāraṇātmanaḥ prameyasya	triDA-antahkaraNam iti trayoviMSati-Bedasya kArya-kAraNa-AtmanaH prameyasya
   mūlabhūtaikāvibhāgadaśā prādhānākhyā //	mUla-BUta-ekA-viBAga-daSA prADAna-AKyA //
   ity āgamādhikāre prathamam āhnikam //	iti Agama-aDikAre praTamam Ahnikam //
   dvitīyam āhnikam //	dvitIyam Ahnikam //
   tatraitan mātṛtāmātra- sthitau rudro 'dhidaivatam /	tatra-etat mAtR-tA-mAtra sTitO rudraH aDidEvatam /
   bhinnaprameyaprasare brahmaviṣṇū vyavasthitau // Ipk_3,2.1 //	Binna-prameya-prasare brahma-vizNU vyavasTitO // IpS-_3,2.1 //
   Ipv: śūnye puryaṣṭakātmake 'tyantasūkṣmadeha eva vā pramātṛmātre sthitav	Ipv: SUnye puryazwaka-Atmake atyanta-sUkzma-dehaH eva vA pramAtR-mAtre sTitav
   anyaprameyopasaṃhāre rudro 'dhiṣṭhātā, bhinnaprameyābhāse sargasthitihetū	anya-prameya-upasaMhAre rudraH aDizWAtA, Binna-prameya-ABAse sarga-sTiti-hetU
   brahmaviṣṇū //	brahma-vizNU //
   eṣa pramātā māyāndhaḥ saṃsārī karmabandhanaḥ /	eza pramAtA mAyA-anDaH saMsArI karma-banDanaH /
   vidyābhijñāpitaiśvaryaś cidghano mukta ucyate // Ipk_3,2.2 //	vidyA-aBijQApita-ESvaryaH cit-GanaH muktaH ucyate // IpS-_3,2.2 //
   Ipv: māyīyaśūnyāsipramātā niyatya karmādhīnaḥ saṃsārī, vidyāvaśād	Ipv: mAyIya-SUnyAsi-pramAtA niyatya karma-aDInaH saMsArI, vidyA-vaSAt-
   ātmatattvābhijñayā muktaḥ //	Atma-tattva-aBijQayA muktaH //
   svāṅgarūpeṣu bhāveṣu pramātā kathyate patiḥ /	sva-aFga-rUpezu BAvezu pramAtA kaTyate patiH /
   māyāto bhediṣu kleśa- karmādikaluṣaḥ paśuḥ // Ipk_3,2.3 //	mAyAtaH Bedizu kleSa karma-Adi-kaluzaH paSuH // IpS-_3,2.3 //
   Ipv: aiśvaryadaśāyāṃ pramātā viśvaṃ śārīratayā paśyan patiḥ	Ipv: ESvarya-daSAyAm pramAtA viSvam SArIra-tayA paSyan patiH
   puṃstvāvasthāyāṃ tu rāgādikleśakarmavipākāśayaiḥ parītaḥ paśuḥ //	puMstva-avasTAyAm tu rAga-Adi-kleSa-karma-vipAka-ASayEH parItaH paSuH //
   svātantryahānir bodhasya svātantryasyāpy abodhatā /	svAtantrya-hAniH boDasya svAtantryasya-api aboDatA /
   dvidhāṇavaṃ malam idaṃ svasvarūpāpahānitaḥ // Ipk_3,2.4 //	dviDA-ANavam malam idam sva-svarUpa-apahAn-itaH // IpS-_3,2.4 //
   Ipv: svatantro bodhaḥ paramārthas, tathārūpatvād eva pūrṇaḥ / tasya	Ipv: svatantraH boDaH parama-arTas, taTArUpa-tvAt eva pUrNaH / tasya
   svātantryād eva tathecchayā svātantryaṃ vinā bodhamātranirmāṇe bodhitāṃ	svAtantryAt eva taTA-icCayA svAtantryam vinA boDa-mAtra-nirmANe boDitAm
   vinā svātantryamātranirmāṇe vā pūrṇatvābhāvena parimitatvād dvidhāṇutvaṃ	vinA svAtantrya-mAtra-nirmANe vA pUrNa-tva-aBAvena parimita-tvAt dvi-DA-aNu-tvam
   tāttvikasvarūpaviparyāsān malatvam //	tAttvika-svarUpa-viparyAsAt mala-tvam //
   bhinnavedyaprathātraiva māyākhyaṃ janmabhogadam /	Binna-vedya-praTA-atra-eva mAyA-AKyam janma-Boga-dam /
   kartary abodhe kārmaṃ tu māyāśaktyaiva tat trayam // Ipk_3,2.5 //	kartari aboDe kArmam tu mAyA-SaktyA-eva tat trayam // Ipk-_3,2.5 //
   Ipv: atraiva dvidhāṇave vedyam abhinnam api bhedena yadā bhāti tadāto 'pi	Ipv: atra-eva dviDA-aNave vedyam aBinnam api Bedena yadA BAti tadA-atas api
   viparyāsān nāmnā māyīyaṃ malam / ahetūnām api karmaṇāṃ	viparyAsAt nAmnA mAyIyam malam / ahetUnAm api karmaNAm
   janmādihetubhāvaviṣayaviparyāsād abodhātmakakartṛgataṃ kārmam /	janma-Adi-hetu-BAva-vizaya-viparyAsAt aboDa-Atmaka-kartR-gatam kArmam /
   tanmalatrayanirmāṇe prabhor icchā māyāśaktir ucyate //	tad-mala-traya-nirmANe praBoH icCA mAyA-SaktiH ucyate //
   śuddhabodhātmakatve 'pi yeṣāṃ nottamakartṛtā /	SudDa-boDa-Atmaka-tve api yezAm na-uttama-kartR-tA /
   nirmitāḥ svātmano bhinnā bhartrā te kartṛtātyayāt // Ipk_3,2.6 //	nirmitAH sva-AtmanaH BinnA BartrA te kartR-tA-atyayAt // Ipk-_3,2.6 //
   Ipv: vedyānuparaktabodhānām api pūrṇakartṛtvaśūnyatvāt svarūpānyatvena	Ipv: vedya-an-uparakta-boDAnAm api pUrNa-kartR-tva-SUnya-tvAt svarUpa-anya-tvena
   prabhuṇā nirmāṇam //	praBuNA nirmANam //
   bodhaikalakṣaṇaikye 'pi teṣām anyonyabhinnatā /	boDa-eka-lakzaNa-Ekye api tezAm anyonya-Binna-tA /
   tatheśvarecchābhedena te ca vijñānakevalāḥ // Ipk_3,2.7 //	taTA-ISvara-icCA-Bedena te ca vijQAna-kevalAH // Ipk-_3,2.7 //
   Ipv: śuddhabodhānāṃ bodhatvanityatvād\var{#nityatvād\lem \corr;	Ipv: SudDa-boDAnAm boDa-tva-nitya-tvAt-\var{#nitya-tvAt-\lem \ca-Urr;
   #nityatvādh# \Ed} bhede 'py anyonyabhedas tathaiveśvareṇa nirmāṇān	#nitya-tva-aD# \Ed} Bede api anyonya-BedaH taTA-eva-ISvareNa nirmANAn
   nānyathā / te ca sāṃkhyapuruṣaprāyā vijñānakevalā ity ucyate //	na-anyaTA / te ca sAMKya-puruza-prAyAH vijQAna-kevalAH iti ucyate //
   śūnyādyabodharūpās tu kartāraḥ pralayākalāḥ /	SUnya-Adi-aboDa-rUpAH tu kartAraH pralayAkalAH /
   teṣāṃ kārmo malo 'py asti māyīyas tu vikalpitaḥ // Ipk_3,2.8 //	tezAm kArmaH malaH api asti mAyIyaH tu vikalpitaH // IpS-_3,2.8 //
   Ipv: śūnyaprāṇādau bodharūpatātikrameṇāhaṃtayā sthitāḥ pralayakevalinaḥ /	Ipv: SUnya-prANa-AdO boDa-rUpa-tA-atikrameNa-ahaMtayA sTitAH pralaya-kevalinaH /
   teṣām aṇūnāṃ karmasaṃskāro 'py asti, māyāmalas tu vedyayogāyogābhyāṃ	tezAm aNUnAm karma-saMskAraH api asti, mAyA-amalaH tu vedya-yoga-ayogAByAm
   vikalpitaḥ //	vikalpitaH //
   bodhānām api kartṛtva- juṣāṃ kārmamalakṣatau /	boDAnAm api kartR-tva juzAm kArmam-ala-kzatO /
   bhinnavedyajuṣāṃ māyā- malo vidyeśvarāś ca te // Ipk_3,2.9 //	Binna-vedya-juzAm mAyA malaH vidyeSvarAH ca te // IpS-_3,2.9 //
   Ipv: kartṛtāyoge 'pi bodhānāṃ karmottīrṇānāṃ vidyeśvaratve 'pi	Ipv: kartR-tA-yoge api boDAnAm karma-uttIrNAnAm vidyeSvara-tve api
   bhinnavedyayogān māyāmalam asty eva / pūrṇakartṛtvābhāvād īśvarād bhinnā	Binna-vedya-yogAt mAyA-malam asti eva / pUrNa-kartR-tva-aBAvAt ISvarAt BinnA
   anyonyaṃ ca pūrvavad ata evaiṣām aṇutvam api syāt //	anyonyam ca pUrvavat atas eva-ezAm aNu-tvam api syAt //
   devādīnāṃ ca sarveṣāṃ bhavināṃ trividhaṃ malam /	deva-AdInAm ca sarvezAm BavinAm triviDam malam /
   tatrāpi kārmam evaikam mukhyaṃ saṃsārakāraṇam // Ipk_3,2.10 //	tatra-api kArmam eva-ekam muKyam saMsAra-kAraNam // IpS-_3,2.10 //
   Ipv: devādīnāṃ sthāvarāntānāṃ saṃsāriṇāṃ trayo 'pi malāḥ, kārma eva	Ipv: deva-AdInAm sTAvara-antAnAm saMsAriNAm trayaH api malAH, kArmaH eva
   saṃsāraprayojakaḥ //	saMsAra-prayojakaH //
   kalodbalitam etac ca cittattvaṃ kartṛtāmayam /	kalA-udbalitam etat ca cit-tattvam kartR-tAm-ayam /
   acidrūpasya śūnyāder mitaṃ guṇatayā sthitam // Ipk_3,2.11 //	acit-rUpasya SUnya-AdeH mitam guNa-tayA sTitam // IpS-_3,2.11 //
   Ipv: saṃsāriṇām etac ca cittattvaṃ kartṛtārūpaṃ śūnyaprāṇādau jaḍe devasya	Ipv: saMsAriNAm etat ca cit-tattvam kartRtA-rUpam SUnya-prANa-AdO jaxe devasya
   kalāśaktyopodbalyamānam upasarjanatvenāvasthānāt parimitam / ataś cātraiva	kalA-SaktyA-upodbalyamAnam upasarjana-tvena-avasTAnAt parimitam / atas ca-atra-eva
   mukhyam aṇutvam //	muKyam aNu-tvam //
   mukhyatvaṃ kartṛtāyāś ca bodhasya ca cidātmanaḥ /	muKya-tvam kartRtAyAH ca boDasya ca cit-AtmanaH /
   śūnyādau tadguṇe jñānaṃ tatsamāveśalakṣaṇam // Ipk_3,2.12 //	SUnya-AdO tad-guNe jQAnam tad-samAveSa-lakzaNam // IpS-_3,2.12 //
   Ipv: etad eva punaḥ śūnyādi kartṛtātmano bodhasya yadopasarjanatvenāste	Ipv: etat eva punar SUnya-Adi kartRtA-AtmanaH boDasya yadA-upasarjana-tvena-Aste
   tadāsya pramātur etad bodhamayatām āpannasya jñānaṃ	tadA-asya pramAtuH etat boDa-maya-tAm Apannasya jQAnam
   tacchaktisamāveśalakṣaṇam ucyate //	tad-Sakti-samAveSa-lakzaNam ucyate //
   śūnye buddhyādyabhāvātmany ahantākartṛtāpade /	SUnye budDi-Adi-aBAva-Atmani ahanta-akartR-tA-pade /
   asphuṭārūpasaṃskāra- mātriṇi jñeyaśūnyatā // Ipk_3,2.13 //	asPuwa-arUpa-saMskAra mAtriNi jQeya-SUnyatA // IpS-_3,2.13 //
   Ipv: buddhiprāṇādiniṣedhamātre yadāhaṃtābhimānena pramātṛtā tadā sauṣupte	Ipv: budDi-prANa-Adi-nizeDa-mAtre yadA-ahaMtA-aBimAnena pramAtR-tA tadA sOzupte
   tāvanmātrāvasthitau vedyābhāvaḥ saṃskārasya saṃbhave 'py	tAvat-mAtra-avasTitO vedya-aBAvaH saMskArasya saMBave api-
   arūpatvenānupalakṣyatvāt / tāvataiva sāṃkhyapuruṣād viśeṣaḥ //	arUpa-tvena-anupalakzya-tvAt / tAvatA-eva sAMKya-puruzAt viSezaH //
   sākṣāṇām āntarī vṛttiḥ prāṇādiprerikā matā /	sAkzANAm AntarI vRttiH prANa-Adi-prerikA matA /
   jīvanākhyāthavā prāṇe 'hantā puryaṣṭakātmikā // Ipk_3,2.14 //	jIvana-AKyA-aTavA prANe ahantA puryazwaka-AtmikA // Ipk-_3,2.14 //
   Ipv: eṣa eva śūnyapramātā	Ipv: ezaH eva SUnya-pramAtA
