   prathamaṃ kośasthānam	praTamam koSa sTAnam
   sugandhadurgandhayoḥ samaviṣamagandhatvāt /	suganDa durganDayoH sama vizama ganDa tvAt /
   trividhastu śāstre /	triviDaH tu SAstre /
   "sugandho durgandhaḥ samagandha" iti /	"suganDaH durganDaH sama ganDa" iti /
        spṛśyamekādaśātmadkam // VAkK_1.10 //	spRSyam ekAdaSa Atmadkam // VAkK_1.10 //
   spraṣṭavyamekādaśadravyasvabhāvam /	sprazwavyam ekAdaSa dravya svaBAvam /
   catvāri mahābhūtāni ślakṣṇatvaṃ karkaśatvaṃ gurutvaṃ laghutvaṃ śītaṃ	catvAri mahABUtAni SlakzNa tvam karkaSa tvam guru tvam laGu tvam SItam
   jighatsā pipāsā ceti /	jiGatsA pipAsA ca iti /
   tatra bhūtāni paścādvakṣyāmḥ /	tatra BUtAni paScAt vakzyAmH /
   ślakṣṇatvaṃ mṛdutā /	SlakzNa tvam mRdu tA /
   karkaśatvaṃ paruṣatā /	karkaSa tvam paruza tA /
   gurutvaṃ yena bhāvāstulyante /	guru tvam yena BAvAH tulyante /
   laghutvaṃ viparyayāt /	laGu tvam viparyayAt /
   śītamuṣṇābhilāṣakṛt /	SItam uzNa aBilAza kRt /
   jighatsā bhojanābhilāṣakṛt /	jiGatsA Bojana aBilAza kRt /
   kāraṇe kāryopacārāt /	kAraNe kArya upacArAt /
   yathā	yaTA
   "buddhānāṃ sukha utpādaḥ sukhā dharmasya deśanā /	"budDAnAm suKaH utpAdaH suKAH Darmasya deSanA /
   sukhā saṅghasya sāmagrī samagrāṇāṃ tapaḥ sukhaṃ" // iti /	suKA saFGasya sAmagrI samagrANAm tapaH suKaM" // iti /
   tatra rūpadhātau jighatsāpipāse na staḥ /	tatra rUpa DAtO jiGatsA pipAse na staH /
   śeṣamasti	Sezam asti
   yadyapi tatra vastrāṇyekaśo na tulyante sañcitāni punastulyante /	yadi api tatra vastrANi ekaSas na tulyante saQcitAni punar tulyante /
   śītamupaghātakaṃ nāsti /	SItam upaGAtakam na asti /
   anugrāhakaṃ kilāsti /	anugrAhakam kila asti /
   yadetadbahuvidhaṃ rūpamuktaṃ tatra kadācidekena dravyeṇa	yat etat bahuviDam rUpam uktam tatra kadAcid ekena dravyeNa
   cakṣurvijñānamutpadyate yadā tatprakāravyavacchedo bhavati /	cakzuH vijQAnam utpadyate yadA tad prakAra vyavacCedaH Bavati /
   kadācid bahubhiryadā na vyavacchedaḥ /	kadAcid bahuBiH yadA na vyavacCedaH /
   tadyathā senāvyūhamanekavarṇasaṃsthānaṃ maṇisamūhaṃ ca dūrāt paśyataḥ /	tat yaTA senA vyUham aneka varNa saMsTAnam maNi samUham ca dUrAt paSyataH /
   evaṃ śrotrādivijñānaṃ veditavyaṃ /	evam Srotra Adi vijQAnam veditavyam /
   kāyavijñānaṃ tu paraṃ pañcabhiḥ spraṣṭavyairutpadyata ityeke /	kAya vijQAnam tu param paQcaBiH sprazwavyEH utpadyate iti eke /
   caturbhirmahābhūtairekena ca ślakṣṇatvādinā /	caturBiH mahABUtEH ekena ca SlakzNa tva AdinA /
   sarvairekādaśabhirityapare /	sarvEH ekAdaSaBiH iti apare /
   nanu caivaṃ samastālambanatvāt sāmānyaviṣayāḥ pañca vijñānakāyāḥ	nanu ca evam samasta Alambana tvAt sAmAnya vizayAH paQca vijQAna kAyAH
   prāpnuvanti na svalakṣaṇaviṣayāḥ /	prApnuvanti na sva lakzaNa vizayAH /
   āyatanasvalakṣaṇaṃ pratyete svalakṣaṇaviṣayā iṣyante na	Ayatana sva lakzaNam pratyete sva lakzaNa vizayAH izyante na
   dravyasvalakṣaṇamityadoṣaḥ /	dravya sva lakzaNam iti adozaH /
   idaṃ vicāryate /	idam vicAryate /
   kāyajihvendriyayoryugapad viṣayaprāptau satyāṃ katarad vijñānaṃ	kAya jihvA indriyayoH yugapad vizaya prAptO satyAm katarat vijQAnam
   pūrvamutpadyate /	pUrvam utpadyate /
   yasya viṣayaḥ paṭīyān /	yasya vizayaH pawIyAn /
   samaprāpte tu viṣaye jihvāvijñānaṃ pūrvamutpadyate /	sama prApte tu vizaye jihvA vijQAnam pUrvam utpadyate /
   bhoktukāmatāvarjitatvātsasntateḥ /	Boktu kAma tA varjita tvAt sasntateH /
   uktāḥ pañācendriyārthāḥ yathā ca teṣāṃ grahaṇaṃ /	uktAH paQAca indriya arTAH yaTA ca tezAm grahaNam /
   avijñaptiridānīṃ vaktavyā /	avijQaptiH idAnIm vaktavyA /
   seyamucyate	sA iyam ucyate
        vikṣiptācittakasyāpi yo 'nubaṇdhaḥ śubhāśubhaḥ /	vikzipta acittakasya api yaH anubaNDaH SuBa aSuBaH /
        mahābhūtānyupādāya sa hyavijñaptirucyate // VAkK_1.11 //	mahABUtAni upAdAya sa hi avijQaptiH ucyate // VAkK_1.11 //
   vikṣiptacittakasyeti tadanyacittasyāpi //	vikzipta cittakasya iti tad anya cittasya api //
   acittakasyāpītyasaṃjñinirodhasamāpattisamāpannasyāpi /	acittakasya api iti asaMjQi niroDa samApatti samApannasya api /
   apiśabdenāvikṣiptasacittasyāpīti vijñāyate /	api Sabdena avikzipta sa cittasya api iti vijQAyate /
   yo 'nu bandha iti yaḥ pravāhaḥ /	yaH anu banDaH iti yaH pravAhaH /
   śubhāśubha iti kuśalākuśalaḥ /	SuBa aSuBaH iti kuSala akuSalaH /
   kuśalākuśale prāptivāho 'pyastīdṛśa iti tadviśeṣaṇārthamucyate	kuSala akuSale prAptivAhaH api asti IdRSaH iti tad viSezaNa arTam ucyate
   mahābhūtānyupādāyeti /	mahABUtAni upAdAya iti /
   hetvartha upādāyārtha iti vaibhāṣikāḥ /	hetu arTaH upAdAya arTaH iti vEBAzikAH /
   jananādihetubhāvāt /	janana Adi hetu BAvAt /
   sa hyavijñaptiriti hiśabdastannāmakaraṇavijñāpanārthaḥ /	sa hi avijQaptiH iti hi SabdaH tad nAma karaNa vijQApana arTaH /
   rūpakriyāsvabhāvāpi satī vijñaptivat paraṃ na vijñāpayatītyavijñaptiḥ /	rUpa kriyAsvaBAvA api satI vijQapti vat param na vijQApayati iti avijQaptiH /
   ucyata iti ācāryavacanaṃ darśayati /	ucyate iti AcArya vacanam darSayati /
   samāsatastu vijñaptisamādhisaṃbhūtaṃ kuśalākuśalaṃ rūpamavijñaptiḥ /	samAsatas tu vijQapti samADi saMBUtam kuSala akuSalam rUpam avijQaptiH /
   mahābhūtānyupādāyetyuktāni katamāni bhūtāni /	mahABUtAni upAdAya iti uktAni katamAni BUtAni /
        bhūtāni pṛthivīdhāturaptejovāyudhātavaḥ	BUtAni pRTivI DAtuH ap tejaH vAyu DAtavaH
   ityete catvāraḥ svalakṣaṇopādāyarūpadhāraṇād dhātavaścatvāri mahābhūtāny	iti ete catvAraH sva lakzaNa upAdAya rUpa DAraNAt DAtavaH catvAri mahABUtAni 
   ucyante /	ucyante /
   mahattvameṣāṃ sarvānyarūpāśrayatvenaudārikatvāt /	mahat tvam ezAm sarva anya rUpa ASraya tvena OdArika tvAt /
   atha vā tadudbhūtavṛttiṣu pṛthivyaptejovāyuskandheṣveṣāṃ mahāsṇniveśatvāt	aTa vA tad udBUta vRttizu pRTivI ap tejaH vAyu skanDezu ezAm mahAsNniveSa tvAt
   te punahete dhātavaḥ kasmin karmaṇi saṃsidhāḥ kiṃsvabhāvāścetyāha	te puna hete DAtavaH kasmin karmaNi saMsiDAH kiMsvaBAvAH ca iti Aha
        dhṛtyādikarmasaṃsiddhāḥ	DRti Adi karma saMsidDAH
   dhṛtisaṃgrahapaktivyūhanakarmasvete yathākramaṃ saṃsiddhāḥ	DRti saMgraha pakti vyUhana karmasu ete yaTAkramam saMsidDAH
   pṛthivyaptejovāyudhātavaḥ /	pRTivI ap tejaH vAyu DAtavaH /
   vyūhanaṃ punarvṛddhiḥ prasarpaṇaṃ ca veditavyam /	vyUhanam punar vRdDiH prasarpaNam ca veditavyam /
   idameṣāṃ karma /	idam ezAm karma /
   svabhāvastu yathākramaṃ	svaBAvaH tu yaTAkramam
        kharasnehosṇateraṇāḥ // VAkK_1.12 //	Kara sneha UsNata IraNAH // VAkK_1.12 //
   kharaḥ pṛthivīdhātuḥ /	KaraH pRTivI DAtuH /
   sneho 'bdhātuḥ /	snehaH ap DAtuH /
   uṣṇatā tejodhātuḥ /	uzNa tA tejaH DAtuH /
   īraṇā vāyudhātuḥ /	IraNAH vAyuDAtuH /
   īryate 'nayā bhūtasroto deśāntarotpādanāt pradīperaṇavaditīraṇā /	Iryate anayA BUta srotaH deSa antara utpAdanAt pradIpa IraNa vadi ti IraNAH /
   "vāyudhātuḥ katamo laghusamudīraṇatvam" iti prakāraṇeṣu nirdiṣṭaṃ sūtre ca	"vAyuDAtuH katamaH laGu samudIraNa tvam" iti prakAraNezu nirdizwam sUtre ca
   tattu laghutvamupādāya rūpamapyuktaṃ prakaraṇeṣu /	tat tu laGu tvam upAdAya rUpam api uktam prakaraNezu /
   ato ya īraṇāsvabhāvo dharmaḥ sa vāyuriti karṃaṇā 'sya svabhāvo 'bhivyaktaḥ	atas yaH IraNA svaBAvaH DarmaH sa vAyuH iti karMaNAH asya svaBAvaH aBivyaktaH
   kaḥ punaḥ pṛthivyādināṃ pṛthivīdhātvādīnāṃ ca viśeṣaḥ /	kaH punar pRTivI AdinAm pRTivI DAtu AdInAm ca viSezaH /
        pṛthivī varṇasaṃsthānamucyate lokasaṃjñayā /	pRTivI varNa saMsTAnam ucyate loka saMjQayA /
   tathā hi pṛthivīṃ darśayanto varṇaṃ saṃsthānaṃ ca darśayanti /	taTA hi pRTivIm darSayantaH varNam saMsTAnam ca darSayanti /
   yathā pṛthivī evaṃ	yaTA pRTivI evam
        āpastejaśca	ApaH tejaH ca
   varṇasaṃsthānamevocyate lokasaṃjñayā /	varNa saMsTAnam eva ucyate loka saMjQayA /
        vāyustu dhātureva	vAyuH tu DAtuH eva
   ya eva tu vāyudhātuḥ sa eva loke vāyuarityucyate /	yaH eva tu vAyuDAtuH saH eva loke vAyuariti ucyate /
        tathapi ca // VAkK_1.13 //	taTapi ca // VAkK_1.13 //
   yathā pṛthivī varṇasaṃsthānamucyate lokasaṃjñayā tatha vāyuarapi /	yaTA pRTivI varNa saMsTAnam ucyate loka saMjQayA taTa vAyuarapi /
   nīlikā vātyā maṇḍalikā vātyeti //	nIlikA vAtyA maNxalikA vA atyA iti //
   kasmāt punarayamavijñaptiparyanto rūpaskandha ityucyate /	kasmAt punar ayam avijQapti paryantaH rUpa skanDaH iti ucyate /
   raupaṇāt /	rOpaNAt /
   uktaṃ bhagavatā "rūpyate rupyata iti bhikṣavastasmādrūpopādānasdandha	uktam BagavatA "rUpyate rupyate iti BikzavaH tasmAt rUpa upAdAna sdanDa
   ityucyate //	iti ucyate //
   kena rupyate /	kena rupyate /
   pāṇisparśenāpi spṛṣṭo rūpyata" iti vistaraḥ /	pANi sparSena api spRzwaH rUpyata" iti vistaraH /
   rūpyate bādhyata ityarthaḥ /	rUpyate bADyate iti arTaH /
   tathā hyarthavargīyeṣūktam	taTA hi arTa vargIyezu uktam
        "tasya cet kāmayānasya cchandajātasya dehinaḥ /	"tasya ced kAmayAnasya cCanda jAtasya dehinaH /
        te kāmā na samṛdhyanti śalyaviddha iva rūpyate //"	te kAmAH na samRDyanti Salya vidDaH iva rUpyate //"
   rūpasya punaḥ kā badhanā /	rUpasya punar kA baDanA /
   vipariṇāmotpādanā /	vipariNAma utpAdanA /
   pratighāto rūpeṇetyapare /	pratiGAtaH rUpeNa iti apare /
   paramāṇurūpaṃ tarhi rūpaṃ na prāpnotyarūpaṇāt /	paramANu rUpam tarhi rUpam na prApnoti arUpaNAt /
   na vai paramāṇurūpamekaṃ pṛthag bhūtamasti /	na vE paramANu rUpam ekam pRTak BUtam asti /
   sañghātasthaṃ tu tad rūpyata eva /	saQGAta sTam tu tat rUpyataH eva /
   atītānāgataṃ tarhi rūpaṃ na prāpnoti /	atIta anAgatam tarhi rUpam na prApnoti /
   tadapi rūpitaṃ rūpayiṣyamāṇaṃ tajjātīyaṃ ceti rūpamindhanavat /	tat api rUpitam rUpayizyamANam tat jAtIyam ca iti rUpam inDana vat /
   avijñaptistarhi na prāpnoti /	avijQaptiH tarhi na prApnoti /
   sāpi vijñaptirūpaṇād rūpitā bhavati /	sA api vijQapti rUpaNAt rUpitA Bavati /
   vṛkṣapracalane cchāyāpracalanavat /	vRkza pracalane cCAyA pracalana vat /
   nāvikārāt /	na avikArAt /
   vijñaptinivṛttau cāvijñaptinivṛttiḥ syād vṛkṣābhāve cchāyā 'bhāvavat /	vijQapti nivRttO ca avijQapti nivRttiH syAt vRkza aBAve cCAyA aBAva vat /
   āśrayabhūtarūpaṇādityapare evaṃ tarhi cakṣurvijñānādīnāmapyāśrayarūpaṇāt	ASraya BUta rUpaNAditya pare evam tarhi cakzuH vijQAna AdInAm api ASraya rUpaNAt
   rūpatvaprasaṅgaḥ /	rUpa tva prasaFgaH /
   viṣamo 'yamupanyāsaḥ /	vizamaH ayam upanyAsaH /
   avijñaptirhi cchāyeva vṛkṣaṃ prabheva maṇiṃ bhūtānyāśrtya varttate /	avijQaptiH hi cCAyA iva vRkzam praBA iva maNim BUtAni ASrtya varttate /
   na tvevaṃ cakṣurādīnyāśritya varttante cakṣurvijñānādīni kevalaṃ	na tu evam cakzuH AdIni ASritya varttante cakzuH vijQAna AdIni kevalam
   tūtpattinimiktamātraṃ tāni teṣāṃ bhavantīti /	tu utpatti nimikta mAtram tAni tezAm Bavanti iti /
   idaṃ tāvadavaibhāṣikīyaṃ vṛkṣamāśritya cchāyā varttate maṇiṃ cāśritya	idam tAvat avEBAzikI iyam vRkzam ASritya cCAyA varttate maNim ca ASritya
   prabheti /	praBA iti /
   cchāyādivarṇaparamāṇūnāṃ pratyekaṃ svabhūtacatuṣkāśritatvābhyupagamāt /	cCAyA Adi varNa paramANUnAm pratyekam sva BUta catuzka ASrita tva aByupagamAt /
   satyapi ca tadāśritatve cchāyāprabhayornāvijñaptistathaivāśritā /	sati api ca tad ASrita tve cCAyA praBayoH na avijQaptiH taTA eva ASritA /
   yujyate /	yujyate /
   niruddheṣvapi avijña ptyāśayeṣu mahābhūteṣu tasyā anirodho 'bhyupagamyate	nirudDezu api avijQa pti ASayezu mahABUtezu tasyAH aniroDaH aByupagamyate
   ato na bhavatyeṣa parihāraḥ /	atas na Bavati eza parihAraH /
   anye punaratra parihāramāhuḥ cakṣurvijñānādīnāmāśrayo bhedaṃ gataḥ /	anye punar atra parihAram AhuH cakzuH vijQAna AdInAm ASrayaH Bedam gataH /
   kaṣcidrūpyate cakṣurādiḥ kaścinna rūpyate yathā manaḥ /	kazcit rUpyate cakzuH AdiH kaScid na rUpyate yaTA manaH /
   na tvevamavijñaptiḥ /	na tu evam avijQaptiH /
   tasmādasamānaḥ prasaṅgaḥ ityata upapannametadāśraya rūpaṇādrūpamiti /	tasmAt asamAnaH prasaFgaH iti atas upapannam etat ASraya rUpaNAt rUpam iti /
   ya eva rūpaskandhasvabhāvā uktāḥ	yaH eva rUpa skanDa svaBAvAH uktAH
        indriyārthasta eveṣṭā aśāyatanadhātavaḥ /	indriya arTaH te eva izwA aSAyatana DAtavaH /
   āyatanavyavasthāyāṃ daśāyatanāni /	Ayatana vyavasTAyAm daSa AyatanAni /
   cakṣurāyatanaṃ rūpāyatanaṃ yāvat kāyāyatanaṃ spraṣṭavyāyatanamiti /	cakzuH Ayatanam rUpa Ayatanam yAvat kAya Ayatanam sprazwavya Ayatanam iti /
   dhātuvyavasthāyāṃ ta eva daśadhātavaścakṣurchātū rūpadhāturyāvat	DAtu vyavasTAyAm te eva daSa DAtavaH cakzuH CAtuH rUpa DAtuH yAvat 
   kāyadhātuḥ spraṣṭavyadhāturiti /	kAyaDAtuH sprazwavya DAtuH iti /
   ukto rūpaskandhastasya cāyatanavyavasthānam /	uktaH rUpa skanDaH tasya ca Ayatana vyavasTAnam /
   vedanādayo vaktavyaḥ /	vedanA AdayaH vaktavyaH /
   tatra	tatra
        vedanā 'nubhavaḥ	vedanA anuBavaH
   trividho 'nubhavo vedanāskandhaḥ /	triviDaH anuBavaH vedanA skanDaH /
   sukho duḥkho , duḥkhāsukhaśca /	suKaH duHKaH , duHKa asuKaH ca /
   sa punarbhidyamānaḥ ṣaḍ vedanākāyāḥ cakṣuḥsaṃsparśajā vedanā	sa punar BidyamAnaH zaw vedanA kAyAH cakzuH saMsparSa jAH vedanA
   yāvamvanaḥsaṃsparśajā vedaneti /	yAvam vanaH saMsparSa jAH vedanA iti /
        saṃjñā nimittodgrahaṇātmikā // VAkK_1.14 //	saMjQA nimitta udgrahaNa AtmikA // VAkK_1.14 //
   yāvannīlapītadīrghahrasvastripuruṣamitramitrasukhaduḥkhādinimittodgrahaṇamasau	yAvat nIla pIta dIrGa hrasvaH tripuruza mitra mitra suKa duHKa Adi nimitta udgrahaNam asO
   saṃjñāskandhaḥ /	saMjQA skanDaH /
   sa punarbhidyamānaḥ ṣaṭsaṃjñākāyā vedanāvat //	sa punar BidyamAnaH zaz saMjQAkAyAH vedanA vat //
        caturbhyo 'nye tu saṃskāraskandhaḥ	caturByaH anye tu saMskAra skanDaH
   rūpavedanāsaṃjñāvijñānebhyaścatubbryo 'nye tu saṃskārāḥ saṃskāraskandhaḥ/	rUpa vedanA saMjQA vijQAneByaH catubbryaH anye tu saMskArAH saMskAra skanDaH/
   bhagavatā tu sūtre ṣaṭ cetanākāyā ityuktaṃ prādhānyāt /	BagavatA tu sUtre zaw cetanAkAyAH iti uktam prADAnyAt /
   sā hi karmasvarūpatvādabhisaṃskaraṇe pradhānā /	sA hi karma svarUpa tvAt aBisaMskaraNe praDAnAH /
   ata evoktaṃ bhagavatā "saṃskṛtamabhisaṃskaroti /	atas eva uktam BagavatA "saMskRtam aBisaMskaroti /
   tasmāt saṃskārā upādānaskandha ity ucyata" iti	tasmAt saMskArAH upAdAna skanDaH iti ucyata" iti
   anyathā hi śeṣāṇāṃ caitasikānāṃ viprayuktānāṃ ca saṃskārāṇāṃ	anyaTA hi SezANAm cEtasikAnAm viprayuktAnAm ca saMskArANAm
   skandhāsaṃgrahādduḥkhasamudayasatyatvaṃ na syāditi parijñāparihāṇe api na	skanDa asaMgrahAt duHKa samudaya satya tvam na syAt iti parijQA parihANe api na
   syātām/	syAtAm/
   uktaṃ ca bhagavatā "nāhamekadharmamapi anabhijñāyāparijñāya	uktam ca BagavatA "nAham eka Darmam api anaBijQAya aparijQAya
   duḥkhasyāntakriyāṃ vadāmīti /	duHKasya anta kriyAm vadAmi iti /
   evamaprahāye" tyuktam /	evam aprahAye" tyuktam /
   tasmādavaśyameṣāṃ saṃskāraskandhasaṃgraho "bhyupagantavyaḥ /	tasmAt avaSyam ezAm saMskAra skanDa saMgrahaH "Bi upagantavyaH /
        ete punastrayaḥ /	ete punar trayaH /
   vedanāsaṃjñāsaṃskāraskandhāḥ āyatanadhātuvyavasthāyāṃ	vedanA saMjQA saMskAra skanDAH Ayatana DAtu vyavasTAyAm
        dharmāyatanadhātvākhyāḥ sahāvijñaptyasaṃskṛtaiḥ // VAkK_1.15 //	Darma Ayatana DAtu AKyAH saha avijQapti asaMskRtEH // VAkK_1.15 //
   ityetāni sapta dravyāṇi dharmāyatanaṃ dharmadhātuścetyākhyāyante /	iti etAni sapta dravyANi Darma Ayatanam DarmaDAtuH ca iti AKyAyante /
        vijñānaṃ prativijñaptiḥ	vijQAnam prativijQaptiH
   viṣayaṃ viṣayaṃ prati vijñaptirupalabdhirvijñāna skandha ityucyate /	vizayam vizayam prati vijQaptiH upalabDiH vijQAna skanDaH iti ucyate /
   sa punaḥ ṣaḍ vijñānakāyāḥ cakṣurvijñānaṃ yāvanmanovijñānamiti /	sa punar zaw vijQAna kAyAH cakzuH vijQAnam yAvat manaH vijQAnam iti /
   ya eṣa vijñānaskandha ukta āyatanavyavasthāyāṃ	yaH eza vijQAna skanDaH uktaH Ayatana vyavasTAyAm
        mana āyatanaṃ ca tat /	manaH Ayatanam ca tat /
   dhātuvyavasthāyāṃ sa eva	DAtu vyavasTAyAm saH eva
        dhātavaḥ saspta ca matāḥ	DAtavaH saspta ca matAH
   katame sapta /	katame sapta /
        ṣaḍ vijñānānyatho manaḥ // VAkK_1.16 //	zaw vijQAnAni aTo manaH // VAkK_1.16 //
   cakṣurvijñānadhāturyāvanmanovijñānadhātumanodhātuśca /	cakzuH vijQAna DAtuH yAvat manaH vijQAna DAtu manaH DAtuH ca /
   evamatra pañca skandhā dvādaśāyatanāni aṣṭādaśa dhātavo nirddiṣṭā bhavaṇti	evam atra paQca skanDAH dvAdaSa AyatanAni azwAdaSa DAtavaH nirddizwA BavaNti
   avijñaptivarjyo rūpaskandho daśāyatanāni daśa dhatavaḥ /	avijQapti varjyaH rUpa skanDaH daSa AyatanAni daSa DatavaH /
   vedanā dayaḥ skandhāstrayo "vijñaptirasaṃskṛtāni ca dharmāyatanaṃ	vedanA dayaH skanDAH trayaH "vijQaptiH asaMskRtAni ca Darma Ayatanam
   dharmadhātuśca vijñānaskandho mana āyatanaṃ ṣaḍ vijñānadhātavo	DarmaDAtuH ca vijQAna skanDaH manaH Ayatanam zaw vijQAna DAtavaH 
   manodhātuśceti //	manaH DAtuH ca iti //
   nanu ca ṣaḍ vijñānakāyā vijñānaskandha ityuktam /	nanu ca zaw vijQAna kAyAH vijQAna skanDaH iti uktam /
   atha ko "yaṃ punastebhyo "nyo manodhātuḥ na khalu kaścidanyaḥ /	aTa kaH "yam punar teByaH "nyaH manaH DAtuH na Kalu kaScid anyaH /
   kiṃ narhi /	kim narhi /
   teṣāmeva	tezAm eva
        ṣaṇṇāmanantarātītaṃ vijñānaṃ yaddhi tanmanaḥ /	zaNNAm anantara atItam vijQAnam yat hi tat manaH /
   yadyatsamanantaraniruddhaṃ vijñānaṃ tanmanodhāturityucyeta /	yat yat samanantara nirudDam vijQAnam tat manaH DAtuH iti ucyeta /
   tadyathā sa eva putro "nyasya pitā bhavati tadeva phalamanyasya bījamiti /	tat yaTA saH eva putraH "nyasya pitA Bavati tat eva Palam anyasya bIjam iti /
   evaṃ tarhi dravyataḥ saptadaśa dhātavo bhavanti dvādaśa vā	evam tarhi dravyataH saptadaSa DAtavaH Bavanti dvAdaSa vA
   ṣaḍvijñānadhātumanodhātūnāmitaretarāntarbhāvāditi kasmādaṣṭādāśa	zaz vijQAna DAtu manaH DAtUnAm itaretara antarBAvAt iti kasmAt azwAdASa
   vyavasthāpyante /	vyavasTApyante /
   yadyapyevaṃ tathāpi	yadi api evam taTA api
        ṣaṣṭhāśrayaprasiddhyartha dhātavo "ṣādaś smṛtāḥ // VAkK_1.17 //	zazWa ASraya prasidDi arTa DAtavaH "zAdaH smRtAH // VAkK_1.17 //
   pañcānāṃ vijñānadhātūnāṃ cakṣurdhātvāyatanādayaḥ pañcāśrayāḥ /	paQcAnAm vijQAna DAtUnAm cakzuH DAtu Ayatana AdayaH paQca ASrayAH /
   ṣaṣṭhasya manovijñānadhātorāśrayo "nyo nāsti /	zazWasya manaH vijQAna DAtoH ASrayaH "nyaH na asti /
   atastadāśrayaprasiddhacyartha manodhāturūpadiṣṭaḥ /	atas tad ASraya prasidDa cyarTa manaH DAtu rUpa dizwaH /
   evamāśrayāśritālambanaṣṭkavyavasathānādaṣṭādaśa dhātavo bhavantīti /	evam ASraya ASrita Alamba nazwkavya vasaTAnAt azwAdaSa DAtavaH Bavanti iti /
   arhatastarhi caramaṃ cittam na mano bhaviṣyati /	arhataH tarhi caramam cittam na manaH Bavizyati /
   nahi tadasti yasya tatsasmanantarātītaṃ syāditi /	na hi tat asti yasya tad sasmanantara atItam syAt iti /
   na /	na /
   tasyāpi manobhāvenāvasthitatvāt /	tasya api manoBAvena avasTita tvAt /
   anyakāraṇavaikalyāttu nottaravijñānasaṃbhūtiḥ //	anya kAraNa vEkalyAt tu na uttara vijQAna saMBUtiH //
   tatra skandhaiḥ sarvasaṃskṛtasaṃgrahaḥ /	tatra skanDEH sarva saMskRta saMgrahaH /
   upādānaskandhaiḥ sarvasāsravāṇāmā yatanadhātubhiḥ sarvadharmāṇām /	upAdAna skanDEH sarva sAsrava aNAmA yatana DAtuBiH sarva DarmANAm /
   samāsatastu jñātavyaḥ	samAsatas tu jQAtavyaH
        sarvasaṃgraha ekena skandehnāyatanena ca	sarva saMgrahaH ekena skandehna Ayatanena ca
        dhātunā ca	DAtunA ca
   rūpaskandhena mana āyatanena dharmadhātunā ca sarvadharmāṇāṃ saṃgraho	rUpa skanDena manaH Ayatanena DarmaDAtunA ca sarva DarmANAm saMgrahaH 
   boddhavyaḥ /	bodDavyaH /
   sa khalveṣa saṃgraho yatra kvaciducyamāno veditavyaḥ /	sa Kalu eza saMgrahaH yatra kvacid ucyamAnaH veditavyaH /
        svabhāvena	svaBAvena
   na parabhāvena /	na para BAvena /
   kim kāraṇam /	kim kAraNam /
        parabhāvaviyogataḥ // VAkK_1.18 //	para BAva viyogataH // VAkK_1.18 //
   viyukto hi parabhavena dharmaḥ /	viyuktaH hi para Bavena DarmaH /
   tasmānna yena viyuktastenaiva saṃgṛhīto yujyate /	tasmAt na yena viyuktaH tena eva saMgRhItaH yujyate /
   tadyathā cakṣurindriyaṃ rūpaskandhena cakṣurāyatanadhātubhyāṃ ca	tat yaTA cakzuH indriyam rUpa skanDena cakzuH Ayatana DAtuByAm ca
