   Sātvatatantra, prathamaḥ paṭalaḥ	SAtvata-tantra, praTamaH pawalaH
   narāṇām // SatvT_2.26	narANAm // SatvT_2.26
   dhanvantarer amṛtapūrṇaghaṭe svavārā cūrṇīyamāna amare śaraṇaṃ praviṣṭe /	DanvantareH amRta-pUrNa-Gawe sva-vArA cUrNIyamAna amare SaraNam pravizwe /
   mohiny abhūt sa bhagavān asurāsurāṇāṃ mohāya tāpaviramāya sadāptakāmaḥ //	mohinI aBUt sa BagavAn asura-asurANAm mohAya tApa-viramAya sat-Apta-kAmaH //
   SatvT_2.27	SatvT_2.27
   satyavratāya janatarpaṇataḥ svarūpaṃ mātsyaṃ mahākaruṇayā pravitatya	satyavratAya jana-tarpaNataH svarUpam mAtsyam mahA-karuNayA pravitatya
   sadyaḥ /	sadyas /
   kalpārṇave 'py avadad acyuta ātmatattvaṃ bhūrūpanāvivasate viharan	kalpa-arNave api avadat acyutaH Atma-tattvam BU-rUpanA-vivasate viharan
   dvijebhyaḥ // SatvT_2.28	dvijeByaH // SatvT_2.28
   trailokyaduḥkhadalanāya nṛsiṃharūpaṃ kṛtvā svabhaktam avituṃ kila	trElokya-duHKa-dalanAya nRsiMha-rUpam kRtvA sva-Baktam avitum kila
   lāṅgalāgraiḥ /	lAFgala-agrEH /
   dhṛtvāsurendram asurendraviśālatīvravakṣaḥsthalaṃ sthalam ivāgranakhair	DRtvA-asura-indram asura-indra-viSAla-tIvra-vakzaH-sTalam sTalam iva-agra-naKEH-
   dadāra // SatvT_2.29	dadAraH // SatvT_2.29
   yasmin prapaśyati baliḥ sagaṇaṃ trilokaṃ tenāpi vāmanatanuṃ bhagavān	yasmin prapaSyati baliH sa-gaNam trilokam tena-api vAmana-tanum BagavAn
   gṛhītvā /	gRhItvA /
   saṃyācya sammitapadatritayaṃ baleḥ svaṃ kṛtvā triviṣṭapam adād aditeḥ	saMyAcya sammita-pada-tritayam baleH svam kRtvA trivizwapam adAt aditeH
   sutebhyaḥ // SatvT_2.30	suteByaH // SatvT_2.30
   bhaktān ahaṃ samanuvarta iti svavācaṃ sākṣāt prakartum iva bhūvivare	BaktAn aham samanuvartaH iti sva-vAcam sAkzAt prakartum iva BU-vivare
   praviṣṭaḥ /	pravizwaH /
   vairocaner gṛham arakṣayad aprameyo nāmnā gadādhara iti kṣapayan dayāvān	vErocaneH gRham arakzayat aprameyaH nAmnA gadADaraH iti kzapayan dayAvAn
   // SatvT_2.31	// SatvT_2.31
   bhūtvā tu bhārgavakule nijatātanāśād rāmo mahāparaśukaṃ parigṛhya tīkṣṇam	BUtvA tu BArgava-kule nija-tAta-nASAt rAmaH mahA-paraSukam parigRhya tIkzNam
   kṣatraṃ nivārya kṣititalaṃ parihṛtya bhūyo dattvā dvijāya hy avasat sa	kzatram nivArya kziti-talam parihRtya BUyas dattvA dvijAya hi avasat sa
   mahendrapṛṣṭhe // SatvT_2.32	mahA-indra-pRzWe // SatvT_2.32
   vṛndārakaiḥ pariniṣevitapādapadmaḥ śrīrāmacandra iti sūryakulābdhijātaḥ /	vRndArakEH parinizevita-pAda-padmaH SrI-rAma-candraH iti sUrya-kula-abDi-jAtaH /
   devārināśanavidhau kuśikānvayena nīto maheśadhanur ājagavaṃ babhañja //	deva-ari-nASana-viDO kuSika-anvayena nItaH maheSa-DanuH Ajagavam baBaQjaH //
   SatvT_2.33	SatvT_2.33
   jñātvā tato bhṛgukulodbhavadhīravīraṃ rāmaṃ sugaurarucirāṃ pariṇīya sītām	jQAtvA tatas BRgu-kula-udBava-DIra-vIram rAmam su-gOra-rucirAm pariNIya sItAm
   gatvā gṛhān gṛhapateḥ pitur āptajāyāvācaṃ niśamya vanavāsam agāt sabhāryaḥ	gatvA gRhAn gRhapateH pituH Apta-jAyA-vAcam niSamya vana-vAsam agAt sa-BAryaH
   // SatvT_2.34	// SatvT_2.34
   tīrtvā gāṅgapayo 'nujānugamanāc chrīcitrakūṭaṃ giriṃ tyaktvā	tIrtvA gAFga-payaH anuja-anugamanAt SrI-citrakUwam girim tyaktvA
   duṣṭavirādharādhadamano dhāvan dhanur dhārayan /	duzwa-virADa-rADa-damanaH DAvan DanuH DArayan /
   hatvā krūrasurendravairihariṇaṃ mārīcasaṃjñaṃ tato laṅkeśāhṛtasītayā khalu	hatvA krUra-sura-indra-vEri-hariNam mArIca-saMjQam tatas laFkeSa-AhRta-sItayA Kalu
   punaḥ prāpto dṛśām īdṛśām // SatvT_2.35	punar prAptaH dRSAm IdRSAm // SatvT_2.35
   candraṃ caṇḍakaraṃ pracaṇḍapavanaṃ mene sumandānilaṃ mālāṃ mālatimallikāṃ	candram caNxa-karam pracaNxa-pavanam mene sumanda-anilam mAlAm mAlati-mallikAm
   śucikalāṃ gītaṃ sphuliṅgāyitam /	Suci-kalAm gItam sPuliFgAyitam /
   ity evaṃ vanitāparāyaṇanaraṃ hāsyann ivālokayan ṛkṣaṃ	iti evam vanitA-parAyaNa-naram hAsyan iva-Alokayan Rkzam
   manmathasāyakāhṛtamano reme priyāśaṅkayā // SatvT_2.36	manmaTa-sAyaka-AhRta-manaH reme priyA-SaFkayA // SatvT_2.36
   gatvā vānararājavālinamahāmitreṇa setuṃ tato baddhvā vāridhim ātarat	gatvA vAnara-rAja-vAlina-mahA-mitreNa setum tatas badDvA vAriDim Atarat-
   taratamaṃ sākaṃ plavaṃgair mudā /	taratamam sAkam plavaMgEH mudA /
   chittvā rākṣasayakṣalakṣam amalā sītā saputrānujaṃ laṅkeśaṃ jvaladagninā	CittvA rAkzasa-yakza-lakzam amalA sItA sa-putra-anujam laFkeSam jvalat-agninA
   bhagavatā cāptā punaḥ sā purī // SatvT_2.37	BagavatA ca-AptA punar sA purI // SatvT_2.37
   sūryādiśaktim avihṛtya śaśāsa bhūmiṃ govipraprājñaparisevanasarvadharmaḥ /	sUrya-Adi-Saktim avihRtya SaSAsa BUmim go-vipra-prAjQa-parisevana-sarva-DarmaH /
   udriktabhaktinamitān anayat svanāthān sarvān vanādhivasataḥ svapadaṃ	udrikta-Bakti-namitAn anayat sva-nATAn sarvAn vana-aDivasataH sva-padam
   suśāntam // SatvT_2.38	suSAntam // SatvT_2.38
   tasyānujo bharatasaṃjña udārabuddhī rāmājñayā nijagṛhe nivasann api śrīm /	tasya-anujaH Barata-saMjQaH udAra-budDiH rAma-AjQayA nija-gRhe nivasan api SrIm /
   tyaktvā vanasthavratavān abhavat tato vai gandharvakoṭimathanaṃ viharaṃś	tyaktvA vanasTa-vratavAn aBavat tatas vE ganDarva-kowi-maTanam viharan=-
   cakāra // SatvT_2.39	cakAra // SatvT_2.39
   śrīlakṣmaṇas tadavaro vanam etya rāmaṃ sītāṃ niṣecya bahukaṣṭa āsīt /	SrI-lakzmaNaH tad-avaraH vanam etya rAmam sItAm nizecya bahu-kazwaH AsIt /
   bāhye 'pi cāsya vacasā vanam etya dehaṃ saṃtyajya tatpadam agād	bAhye api ca-asya vacasA vanam etya deham saMtyajya tad-padam agAt-
   arisainyavahniḥ // SatvT_2.40	ari-sEnya-vahniH // SatvT_2.40
   śatrughnasaṃjña uruvikramaśuddhabuddhiḥ śauryeṇa darpadalano dviṣatāṃ	SatruGna-saMjQaH uru-vikrama-SudDa-budDiH SOryeNa darpa-dalanaH dvizatAm
   dayāluḥ /	dayAluH /
   dīneṣu daityalavaṇāntaka āryasevī svānyeṣu sāmyamatirājanatābhirāmaḥ //	dInezu dEtya-lavaNa-antakaH Arya-sevI sva-anyezu sAmya-mati-rAja-na-tA-aBirAmaH //
   SatvT_2.41	SatvT_2.41
   mārkaṇḍanāmamunaye bhuvanāni deṣṭuṃ māyālaye tanutare jaṭhare mukundaḥ /	mArkaNxa-nAma-munaye BuvanAni dezwum mAyA-Alaye tanutare jaWare mukundaH /
   nyagrodhapattrapuṭakośaśayāna āsīd aṅguṣṭhapānaparamaḥ śiśur aprameyaḥ //	nyagroDa-pattra-puwa-koSa-SayAnaH AsIt aFguzWa-pAna-paramaH SiSuH aprameyaH //
   SatvT_2.42	SatvT_2.42
   vṛtrasya ghoravapuṣā paritāpitānāṃ saṃrakṣaṇāya bhagavān yudhi nirjarāṇām	vRtrasya Gora-vapuzA paritApitAnAm saMrakzaNAya BagavAn yuDi nirjarANAm
   ādyo hy abhūd garuḍakiṃnaragītakīrtis teṣāṃ suduḥkhabhayaśokavināśaśīlaḥ	AdyaH hi aBUt garuxa-kiMnara-gIta-kIrtiH tezAm su-duHKa-Baya-Soka-vinASa-SIlaH
   // SatvT_2.43	// SatvT_2.43
   aṅguṣṭhaparvasumitān śramaṇān dvijāgryān dṛṣṭvā tu	aFguzWa-parva-su-mitAn SramaNAn dvijAgryAn dRzwvA tu
   goṣpadapayogatasarvadehān /	gozpada-payaH-gata-sarva-dehAn /
   brahmaṇya indrahasitān samidaṃśuhastān gurvarcanāya kṛpayāvad amūn	brahmaNyaH indra-hasitAn samiD-aMSu-hastAn guru-arcanAya kRpayA-avat amUn
   prapannān // SatvT_2.44	prapannAn // SatvT_2.44
   duṣyantabījam adhigamya śakuntalāyāṃ jāto hy ajo 'pi bhagavān	duzyanta-bIjam aDigamya SakuntalAyAm jAtaH hi ajaH api BagavAn
   adhiyajñakart	aDiyajQa-kart
   vismāpayan bahunṛpān bahuvājimedhān sākṣād iyāja bahu dānam adād ameyaḥ //	vismApayan bahu-nRpAn bahu-vAjimeDAn sAkzAt iyAja bahu dAnam adAt ameyaH //
   SatvT_2.45	SatvT_2.45
   sarvān janān kaliyuge balabuddhihīnān dṛṣṭvā kṛpāparavaśo vasuvīryajāyām /	sarvAn janAn kali-yuge bala-budDi-hInAn dRzwvA kRpA-paravaSaH vasu-vIrya-jAyAm /
   jātaḥ parāśarasakāśata ādidevo vedān samāhitatayā vibhajiṣyati sma //	jAtaH parASara-sakASataH AdidevaH vedAn samAhita-tayA viBajizyati sma //
   SatvT_2.46	SatvT_2.46
   vṛṣṇeḥ kule tu bhagavān baladevanāmā yasmād balān atibalān adalat surārīn	vRzNeH kule tu BagavAn baladeva-nAmA yasmAt balAn atibalAn adalat surArIn
   yal lāṅgalāgrakalanāt kururājadhānī dhāneva dhāmasahitā calitātibhītā //	yat lAFgala-agra-kalanAt kuru-rAjaDAnI DAnA-iva DAma-sahitA calita-ati-BItA //
   SatvT_2.47	SatvT_2.47
   bhūmer janasya nijapādaparāyaṇasya vṛṣṇer ajo 'pi bhagavān sukham	BUmeH janasya nija-pAda-parAyaNasya vRzNeH ajaH api BagavAn suKam
   ādadhānaḥ /	AdaDAnaH /
   jāto bhaviṣyati yaśo vipulaṃ prakartuṃ śrīkṛṣṇa ity abhihito	jAtaH Bavizyati yaSaH vipulam prakartum SrI-kRzNaH iti aBihitaH-
   'khilaśaktipūrṇaḥ // SatvT_2.48	aKila-Sakti-pUrNaH // SatvT_2.48
   jāto nijena vapuṣā vasudevagehe gatvā tu gokulam atho viharan vinodaiḥ /	jAtaH nijena vapuzA vasudeva-gehe gatvA tu gokulam aTo viharan vinodEH /
   bālākṛtir viśadabālakabhāṣāhāsair gogopagopavanitāmudam āśu kartā //	bAla-AkRtiH viSada-bAlaka-BAzA-hAsEH go-gopa-gopa-vanitA-mudam ASu kartA //
   SatvT_2.49	SatvT_2.49
   kaṃsānuśiṣṭasuraśatrugaṇān ulūkīmukhyān haniṣyati vrajasthitaye mahādrim /	kaMsa-anuSizwa-sura-Satru-gaNAn ulUkI-muKyAn hanizyati vraja-sTitaye mahA-adrim /
   dhṛtvocchilīndhram iva sapta dināni vāmahaste pragṛhya suranāthamadaṃ	DRtvA-ucCilInDram iva sapta dinAni vAma-haste pragRhya sura-nATa-madam
   pramārṣṭā // SatvT_2.50	pramArzwAH // SatvT_2.50
   dhātrā yadā sapaśugopaśiśau praṇīte buddher bhramo halabhṛto 'bhavad	DAtrA yadA sa-paSu-gopa-SiSO praNIte budDeH BramaH halaBRtaH aBavat-
   aprameyaḥ /	aprameyaH /
   tat saṃharan sapaśupālakulasvarūpaṃ kṛtvā vidhiṃ vividhamohamalāt sa	tat saMharan sa-paSupAla-kula-svarUpam kRtvA viDim viviDa-moha-malAt sa
   dhartā // SatvT_2.51	DartA // SatvT_2.51
   vṛndāvane surabhivādyavilāsagītair godhugvadhūjanamanojajavaṃ dadhānaḥ /	vRndAvane suraBi-vAdya-vilAsa-gItEH goDugvaDU-jana-manoja-javam daDAnaH /
   kartā mahāmadanakelivihāragoṣṭhīvismāpanaṃ niśi niśācarakhecarāṇām //	kartA mahA-madana-keli-vihAra-gozWI-vismApanam niSi niSAcara-KecarANAm //
   SatvT_2.52	SatvT_2.52
   kaṃsasya raṅgasadanaṃ sabale praṇīte svāphalkinā bhavadhanus tarasā	kaMsasya raFga-sadanam sa-bale praNIte svAPalkinA BavaDanuH tarasA
   vibhajya /	viBajya /
   cāṇūraśūraśamanaṃ sahakaṃsamājau kartā dvipaṃ kuvalayaṃ sahasā nihatya //	cANUra-SUra-Samanam saha-kaMsam-AjO kartA dvipam kuvalayam sahasA nihatya //
   SatvT_2.53	SatvT_2.53
   sāṃdīpanaṃ mṛtasutaṃ gurudakṣiṇārthī dattvā jarāsutabalaṃ yavanaṃ ca hatvā	sAMdIpanam mRta-sutam guru-dakziNA-arTI dattvA jarA-suta-balam yavanam ca hatvA
   śrīrukmiṇīprabhṛtidāraśataṃ vivāhya tābhyaḥ sutān daśadaśānu janiṣyati sma	SrI-rukmiNI-praBRti-dAra-Satam vivAhya tAByaH sutAn daSa-daSa-anu janizyati sma
   // SatvT_2.54	// SatvT_2.54
   bhaumaṃ nihatya sagaṇaṃ divi devamātur dātuṃ tadīyamaṇikuṇḍalam ādidevaḥ /	BOmam nihatya sa-gaNam divi devamAtuH dAtum tadIya-maNi-kuNxalam AdidevaH /
   gatvā surendratarurājavaraṃ priyāyāḥ prītau samuddharaṇato ditijān sa jetā	gatvA sura-indra-taru-rAja-varam priyAyAH prItO samudDaraNataH ditijAn sa jetA
   // SatvT_2.55	// SatvT_2.55
   bāṇāsurasya samare mama vīryanāśāl labdhāmaratvam adhikaṃ yudhi	bANa-asurasya samare mama vIrya-nASAt labDa-amara-tvam aDikam yuDi
   bhūpabandhūn /	BUpa-banDUn /
   jitvā yudhiṣṭhiranṛpakratunā vivāhabījaṃ nipātya gurubhārataraṃ prahartā	jitvA yuDizWira-nRpa-kratunA vivAha-bIjam nipAtya guru-BArataram prahartA
   // SatvT_2.56	// SatvT_2.56
   loke pradarśya sutarāṃ dvijadevapūjāṃ svasyāpy apārakaruṇāṃ	loke pradarSya sutarAm dvija-deva-pUjAm svasya-api apAra-karuNAm
   nijasevakebhyaḥ /	nija-sevakeByaH /
   trātvā parīkṣitanṛpaṃ paramāstradagdhaṃ pārthāya bhūtim avalokayitā	trAtvA parIkzita-nRpam parama-astra-dagDam pArTAya BUtim avalokayitA
   dvijārthe // SatvT_2.57	dvija-arTe // SatvT_2.57
   kāmena snehabhayarāgakuṭubasaṃdhe yasmin mano nivasataḥ śamalaṃ nirasya /	kAmena sneha-Baya-rAga-kuwu-basaMDe yasmin manaH nivasataH Samalam nirasya /
   dātā svarūpam amalaṃ pariśuddhabhāvaḥ sākṣāt svarūpaniratasya ca kiṃ nu	dAtA sva-rUpam amalam pariSudDa-BAvaH sAkzAt svarUpa-niratasya ca kim nu
   vakṣye // SatvT_2.58	vakzye // SatvT_2.58
   yat pādapaṅkajaparāgaparāyaṇānām agre cakāsti na ca muktisukhaṃ nitāntam /	yat pAda-paFkaja-parAga-parAyaNAnAm agre cakAsti na ca mukti-suKam nitAntam /
   kiṃ vānyadarpitabhayaṃ khalu kālavegaiḥ sākṣān	kim vA-anya-darpita-Bayam Kalu kAla-vegEH sAkzAn
   mahāsukhasamudragatāntarāṇām // SatvT_2.59	mahA-suKa-samudra-gata-antarANAm // SatvT_2.59
   gaṅgāditīrthatapahomavratādikebhyaḥ kīrtiṃ svakīyam adhikāṃ samudīrya loke	gaFgA-Adi-tIrTa-tapa-homa-vrata-AdikeByaH kIrtim svakIyam aDikAm samudIrya loke
   atyunnataṃ dvijakulaṃ dvijaśāpavyājād dhatvā svalokam amalaṃ	ati-unnatam dvija-kulam dvija-SApa-vyAjAt DatvA sva-lokam amalam
   tanunābhigantā // SatvT_2.60	tanunA-aBigantA // SatvT_2.60
   tasmād bhaviṣyati sutaḥ sukhado janānāṃ pradyumnasaṃjña urugāyaguṇānurūpaḥ	tasmAt Bavizyati sutaH suKa-daH janAnAm pradyumna-saMjQaH uru-gAya-guNa-anurUpaH
   // SatvT_2.61	// SatvT_2.61
   kartā mudaṃ muditavaktrasucārugātraiḥ pātrair ivāmṛtapayo manujān pracchan	kartA mudam mudita-vaktra-su-cAru-gAtrEH pAtrEH iva-amRta-payaH manujAn pracCan
   tatrāpy ajo 'nujanitāpyaniruddhanāmānāmnāṃ pravartakatayā manasīśvaro 'pi	tatra-api ajaH anu-janitA-api-a-nirudDa-nAmA-nAmnAm pravartaka-tayA manasi-ISvaraH api
   // SatvT_2.62	// SatvT_2.62
   yasmād uṣāharaṇato bhujavīryanāśād bāṇo bhaviṣyati śivānugaśāntadehaḥ /	yasmAt uzA-AharaNataH Buja-vIrya-nASAt bANaH Bavizyati Siva-anuga-SAnta-dehaH /
   vyāsād bhaviṣyati [... au2 ṇeichenjh] bhagavān araṇyāṃ yogī janān prati	vyAsAt Bavizyati [... O2 NeiCa-inJ] BagavAn araNyAm yogI janAn prati
   gadiṣyati vedasāram // SatvT_2.63	gadizyati veda-sAram // SatvT_2.63
   śrīmatsuśāntam amalaṃ bhagavatpraṇītaṃ yac chraddhayā kalijanā api yānti	SrImat-suSAntam amalam Bagavat-praNItam yat SradDayA kali-janAH api yAnti
   śāntim /	SAntim /
   buddhāvatāram adhigamya kalāvalakṣair veṣair mater ativimohakaraṃ	budDa-avatAram aDigamya kalA-avalakzEH vezEH mateH ati-vimoha-karam
   pralobham // SatvT_2.64	praloBam // SatvT_2.64
   pākhaṇḍaśāstram adhikalpya suradviṣāṇāṃ kartā jinasya tanayo bhagavān	pAKaNxa-SAstram aDikalpya sura-dvizANAm kartA jinasya tanayaH BagavAn
   gayāyām /	gayAyAm /
   pākhaṇḍaśāstrabahule nijavedamārge naṣṭe dvijātibhir asatpathi vartamāne	pAKaNxa-SAstra-bahule nija-veda-mArge nazwe dvijAtiBiH asat-paTi vartamAne
   // SatvT_2.65	// SatvT_2.65
   kalkyāvatārataraṇis taruṇāndhakāratulyaṃ tudan nṛpagaṇaṃ kṛtadharmagoptā /	kalkya-avatAra-taraNiH taruNa-anDakAra-tulyam tudan nRpa-gaNam kRta-Darma-goptA /
   sākṣād bhaviṣyati sarasvatisaṃjñitāyāṃ śrīsārvabhauma iti vedagupo	sAkzAt Bavizyati sarasvati-saMjQitAyAm SrI-sArvaBOmaH iti vedagupo
   dvijāgryāt // SatvT_2.66	dvijAgryAt // SatvT_2.66
   kṛtvā puraṃdaraśriyaṃ balaye 'tidāsyan goptāṣṭame manuyuge viditānubhāvaḥ	kRtvA puraMdara-Sriyam balaye atidAsyan goptA-azwame manu-yuge vidita-anuBAvaH
   āyuḥ karo navamanoḥ samaye janānāṃ nītiṃ vidhātum amarārivināśanāya //	AyuH karaH nava-manoH samaye janAnAm nItim viDAtum amara-ari-vinASanAya //
   SatvT_2.67	SatvT_2.67
   goptā bhaviṣyati jagajjanadhārayāsau bhūtvā śrutendrasahito bhagavān	goptA Bavizyati jagat-jana-DArayA-asO BUtvA Sruta-indra-sahitaH BagavAn
   apāraḥ /	apAraH /
   bhūtvā viśūcisadane dvijarājaśambhoḥ sāhityakarmaparavān daśame 'ntare saḥ	BUtvA viSUci-sadane dvija-rAja-SamBoH sAhitya-karma-paravAn daSame antare saH
   // SatvT_2.68	// SatvT_2.68
   pātāmarān [... au3 ṇeichenjh] viśvak [... au1 ṇeichenjh] senasaṃjño yat	pAta-amarAn [... O3 NeiCa-inJ] viSvaj [... O1 NeiCa-inJ] sena-saMjQaH yat-
   sainyapūgasamarād amarārināśaḥ /	sEnya-pUga-samarAt amara-ari-nASaH /
   manvantaraikadaśame 'rthakariprapautraḥ śrīdharmasetur iti viśruta	manvantara-eka-daSame arTa-kari-prapOtraH SrI-Darma-setuH iti viSruta
   ādidevaḥ // SatvT_2.69	AdidevaH // SatvT_2.69
   hatvāsurān surapatau vidhṛter apatye dātā tṛtīyabhavanaṃ bhagavān	hatvA-asurAn surapatO viDRteH apatye dAtA tRtIya-Bavanam BagavAn
   svayambhūḥ /	svayamBUH /
   jāto dviṣaṇmanuyuge yugapālanāya viprāt svaśaktimahasaḥ sunṛtākhyato vai	jAtaH dvizaz-manu-yuge yuga-pAlanAya viprAt sva-Sakti-mahasaH su-nRta-AKyataH vE
   // SatvT_2.70	// SatvT_2.70
   khyāto bhaviṣyati tato bhagavān svadhāmā yasmāj janā jagati saukhyam	KyAtaH Bavizyati tatas BagavAn sva-DAmA yasmAt janAH jagati sOKyam
   apāram āpuḥ /	apAram ApuH /
   bhāvye trayodaśayuge bhavitādidevaḥ śrīdevahotratanayo bhagavān bṛhatyām	BAvye trayodaSa-yuge BavitA-AdidevaH SrI-devahotra-tanayaH BagavAn bRhatyAm
   // SatvT_2.71	// SatvT_2.71
   yogeśvaro divi divaspatiśakramitro yogād ameyavapuṣā sa vitānatulyaḥ /	yogeSvaraH divi divaspati-Sakra-mitraH yogAt ameya-vapuzA sa vitAna-tulyaH /
   satrāyaṇasya sadane bhagavān anādidevo 'pi devavanitātanayo 'bhijātaḥ //	sa-trAyaNasya sadane BagavAn anAdidevaH api deva-vanitA-tanayaH aBijAtaH //
   SatvT_2.72	SatvT_2.72
   ante 'ntare karaṇakarmavitānatantūn vistārayiṣyati jagaddhitakāmaśīlaḥ /	ante antare karaNa-karma-vitAna-tantUn vistArayizyati jagat-hita-kAma-SIlaH /
   ete mayā bhagavataḥ kathitā dvijāte śuddhāvatāranicayā jagato hitārthāḥ /	ete mayA BagavataH kaTitAH dvijAte SudDa-avatAra-nicayAH jagataH hita-arTAH /
   sampūrṇatāṃśakalayā paribhāvanīyā jñānakriyābalasamādibhir ābhivyaktāḥ //	sampUrNa-tA-aMSa-kalayA pariBAvanIyAH jQAna-kriyA-bala-sama-AdiBiH ABivyaktAH //
   SatvT_2.73	SatvT_2.73
   yal līlātanubhir nityaṃ pālyate sacarācaram /	yat lIlA-tanuBiH nityam pAlyate sacarAcaram /
   tam ahaṃ śaraṇaṃ yāmi kṛṣṇaṃ brahmāṇḍanāyakam // SatvT_2.74	tam aham SaraNam yAmi kRzNam brahmANxa-nAyakam // SatvT_2.74
   Sātvatatantra, tṛtīyaḥ paṭalaḥ	SAtvata-tantra, tRtIyaH pawalaH
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   kathitā bhagavān viṣṇor avatārā mahātmanaḥ /	kaTitAH BagavAn vizNoH avatArAH mahAtmanaH /
   sampūrṇāṃśakalābhedair bhāvanīyās tvayā prabho // SatvT_3.1	sampUrNa-aMSa-kalA-BedEH BAvanIyAH tvayA praBo // SatvT_3.1
   nirvikalpasya kṛṣṇasya brahmaṇaḥ paramātmanaḥ /	nirvikalpasya kRzNasya brahmaNaH paramAtmanaH /
   katham aṃśakalābhāga etad varṇaya no vibho // SatvT_3.2	kaTam aMSakalA-BAgaH etat varNaya naH viBo // SatvT_3.2
   śrīśiva uvāca /	SrI-SivaH uvAca /
   satyam uktaṃ tvayā brahman kṛṣṇasya jagadātmanaḥ /	satyam uktam tvayA brahman kRzNasya jagat-AtmanaH /
   avatāreṣu sarveṣu bhedād aṃśakalāḥ svataḥ // SatvT_3.3	avatArezu sarvezu BedAt aMSakalAH svatas // SatvT_3.3
   na varṇayanti nipuṇā jñānino bhagavatparāḥ /	na varNayanti nipuNAH jQAninaH Bagavat-parAH /
   avikārād acyutāc ca nirbhedād brahmarūpiṇaḥ // SatvT_3.4	avikArAt acyutAt ca nirBedAt brahma-rUpiNaH // SatvT_3.4
   kiṃ tu jñānaprabhāvādeḥ pūrṇāṃśāṃśānudarśanāt /	kim tu jQAna-praBAva-AdeH pUrNa-aMSa-aMSa-anudarSanAt /
   pūrṇam aṃśakalābhāgaṃ vadanti jagadīśituḥ // SatvT_3.5	pUrNam aMSakalA-BAgam vadanti jagadISituH // SatvT_3.5
   santi yady api sarvatra jñānavīryaguṇādayaḥ /	santi yadi api sarvatra jQAna-vIrya-guNa-AdayaH /
   tathāpi kāryataḥ kecid dṛśyante na hi sarvataḥ // SatvT_3.6	taTA-api kAryataH kecid dRSyante na hi sarvatas // SatvT_3.6
   aiśvaryajñānadharmāś ca vairāgyaṃ śrīr yaśas tathā /	ESvarya-jQAna-DarmAH ca vErAgyam SrIH yaSaH taTA /
   eṣāṃ saṃdarśanāt sākṣāt pūrṇo vidvadbhir ucyate // SatvT_3.7	ezAm saMdarSanAt sAkzAt pUrNaH vidvadBiH ucyate // SatvT_3.7
   eteṣām api bhāgānām alpālpadarśanād asau /	etezAm api BAgAnAm alpa-alpa-darSanAt asO /
   vibhāty aṃśakalābhedo bhagavān bhagabhedadhṛk // SatvT_3.8	viBAti aMSakalA-BedaH BagavAn Baga-Beda-DRk // SatvT_3.8
   aṃśas turīyo bhāgaḥ syāt kalā tu ṣoḍaśī matā /	aMSaH turIyaH BAgaH syAt kalA tu zoxaSI matA /
   śatabhāgo vibhūtiś ca varṇyate kavibhiḥ pṛthak // SatvT_3.9	Sata-BAgaH viBUtiH ca varNyate kaviBiH pRTak // SatvT_3.9
   ato jñānasya dharmasya vairāgyaiśvaryayoḥ śriyaḥ /	atas jQAnasya Darmasya vErAgya-ESvaryayoH SriyaH /
   yaśasaḥ pṛthagbhedaṃ mattaḥ śṛṇu dvijottama // SatvT_3.10	yaSasaH pRTak-Bedam mattaH SRNu dvijottamaH // SatvT_3.10
   utpattipralayau caiva vidyāvidye gatāgatī /	utpatti-pralayO ca-eva vidyA-avidye gatAgatI /
   eṣāṃ jñānaṃ vadanty aṅga jñānaṃ ṣaḍvidham uttamam // SatvT_3.11	ezAm jQAnam vadanti aFga jQAnam zaxviDam uttamam // SatvT_3.11
   satyaṃ śaucaṃ dayā maunaṃ dharmaś cāturvidhaḥ smṛtaḥ /	satyam SOcam dayA mOnam DarmaH cAturviDaH smRtaH /
   amāno vyatirekaś ca aindriyas tu vaśīkṛtaḥ // SatvT_3.12	amAnaH vyatirekaH ca EndriyaH tu vaSIkRtaH // SatvT_3.12
   evaṃ caturvidho bhadra vairāgyaḥ samudāhṛtaḥ /	evam caturviDaH Badra vErAgyaH samudAhRtaH /
   aṇimā laghimā caiva mahimā tadanantaram // SatvT_3.13	aNimA laGimA ca-eva mahimA tad-anantaram // SatvT_3.13
   prākāmyaṃ caiva prāptiś ca īśitā vaśitā tathā /	prAkAmyam ca-eva prAptiH ca ISitA vaSitA taTA /
   kāmasyāvasitā hy ete aṣṭaiśvaryāḥ prakīrtitāḥ // SatvT_3.14	kAmasya-avasitAH hi ete azwa-ESvaryAH prakIrtitAH // SatvT_3.14
   bhṛtyāmātyasuhṛdbandhuputrapautrakalatrakāḥ /	BRtya-amAtya-suhRd-banDu-putra-pOtra-kalatrakAH /
   vāsobhūṣaṇakośāś ca senikā caturaṅgiṇī // SatvT_3.15	vAsaH-BUzaNa-koSAH ca senikA caturaFgiNI // SatvT_3.15
   gṛhā bhūr astraśastre ca durgādyāḥ śriya īritāḥ /	gRhAH BUH astra-Sastre ca durga-AdyAH SriyaH IritAH /
