   1st kāṇḍa	1st kANxa
   nirbhāgeṣv abhyupāyo vā bhāgabhedaprakalpanam // BVaky_1.95 //	nirBAgezu aByupAyaH vA BAga Beda prakalpanam // BVakI _1.95 //
   anekavyaktyabhivyaṅgyā jātiḥ sphoṭa iti smṛtā /	aneka vyakti aBivyaFgyA jAtiH sPowaH iti smRtA /
   kaiś cit vyaktaya evāsya dhvanitvena prakalpitāḥ // BVaky_1.96 //	kEH cit vyaktayaH eva asya Dvani tvena prakalpitAH // BVakI _1.96 //
   avikārasya śabdasya nimittair vikṛto dhvaniḥ /	avikArasya Sabdasya nimittEH vikRtaH DvaniH /
   upalabdhau nimittatvam upayāti prakāśavat // BVaky_1.97 //	upalabDO nimitta tvam upayAti prakASa vat // BVakI _1.97 //
   na cānityeṣv abhivyaktir niyamena vyavasthitā /	na ca anityezu aBivyaktiH niyamena vyavasTitAH /
   āśrayair api nityānāṃ jātīnāṃ vyaktir iṣyate // BVaky_1.98 //	ASrayEH api nityAnAm jAtInAm vyaktiH izyate // BVakI _1.98 //
   deśādibhiś ca saṃbandho dṛṣṭaḥ kāyavatām api /	deSa AdiBiH ca saMbanDaH dRzwaH kAyavatAm api /
   deśabhedavikalpe 'pi na bhedo dhvaniśabdayoḥ // BVaky_1.99 //	deSa Beda vikalpe api na BedaH Dvani SabdayoH // BVakI _1.99 //
   grahaṇagrāhyayoḥ siddhā yogyatā niyatā yathā /	grahaNa grAhyayoH sidDAH yogyatA niyatAH yaTA /
   vyaṅgyavyañjakabhāve 'pi tathaiva sphoṭanādayoḥ // BVaky_1.100 //	vyaFgya vyaQjaka BAve api taTA eva sPowa nAdayoH // BVakI _1.100 //
   sadṛśagrahaṇānāṃ ca gandhādīnāṃ prakāśakam /	sadRSa grahaNAnAm ca ganDa AdInAm prakASakam /
   nimittaṃ niyataṃ loke pratidravyam avasthitam // BVaky_1.101 //	nimittam niyatam loke pratidravyam avasTitam // BVakI _1.101 //
   prakāśakānāṃ bhedāṃś ca prakāśyo 'rtho 'nuvartate /	prakASakAnAm BedAn ca prakASyaH arTaH anuvartate /
   tailodakādibhede tat pratyakṣaṃ pratibimbake // BVaky_1.102 //	tEla udaka Adi Bede tat pratyakzam pratibimbake // BVakI _1.102 //
   viruddhaparimāṇeṣu vajrādarśatalādiṣu /	virudDa parimANezu vajra AdarSa tala Adizu /
   parvatādisarūpāṇāṃ bhāvānāṃ nāsti saṃbhavaḥ // BVaky_1.103 //	parvata Adi sarUpANAm BAvAnAm na asti saMBavaH // BVakI _1.103 //
   tasmād abhinnakāleṣu varṇavākyapadādiṣu /	tasmAt aBinna kAlezu varNa vAkya pada Adizu /
   vṛttikālaḥ svakālaś ca nādabhedād vibhajyate // BVaky_1.104 //	vRtti kAlaH sva kAlaH ca nAda BedAt viBajyate // BVakI _1.104 //
   yaḥ saṃyogavibhāgābhyāṃ karaṇair upajanyate /	yaH saMyoga viBAgAByAm karaNEH upajanyate /
   sa sphoṭaḥ śabdajāḥ śabdā dhvanayo 'nyair udāhṛtāḥ // BVaky_1.105 //	sa sPowaH Sabda jAH SabdAH DvanayaH anyEH udAhRtAH // BVakI _1.105 //
   alpe mahati vā śabde sphoṭakālo na bhidyate /	alpe mahati vA Sabde sPowa kAlaH na Bidyate /
   paras tu śabdasaṃtānaḥ pracayāpacayātmakaḥ // BVaky_1.106 //	paraH tu Sabda saMtAnaH pracaya apacaya AtmakaH // BVakI _1.106 //
   dūrāt prabheva dīpasya dhvanimātraṃ tu lakṣyate /	dUrAt praBA iva dIpasya Dvani mAtram tu lakzyate /
   ghaṇṭādūnāṃ ca śabdeṣu vyakto bhedaḥ sa dṛśyate // BVaky_1.107 //	GaNwA dUnAm ca Sabdezu vyaktaH BedaH sa dRSyate // BVakI _1.107 //
   dravyābhighātāt pracitau bhinnau dīrghaplutāv api /	dravya aBiGAtAt pracitO BinnO dIrGa plutO api /
   kampe tūparate jātā nādā vṛtter viśeṣakāḥ // BVaky_1.108 //	kampe tu uparate jAtAH nAdAH vRtteH viSezakAH // BVakI _1.108 //
   anavasthitakampe 'pi karaṇe dhvanayo 'pare /	anavasTita kampe api karaNe DvanayaH apare /
   sphoṭād evopajāyante jvālā jvālāntarād iva // BVaky_1.109 //	sPowAt eva upajAyante jvAlA jvAlA antarAt iva // BVakI _1.109 //
   vāyor aṇūnāṃ jñānasya śabdatvāpattir iṣyate /	vAyoH aNUnAm jQAnasya Sabda tva ApattiH izyate /
   kaiś cid darśanabhedo hi pravādeṣv anavasthitaḥ // BVaky_1.110 //	kEH cit darSana BedaH hi pravAdezu anavasTitaH // BVakI _1.110 //
   *labdhakriyāḥ prayatnena vaktur icccānuvartinā /	*labDa kriyAH prayatnena vaktuH iccca anuvartinA /
   sthāneṣv abhihato vāyuḥ śabdatvaṃ pratipadyate // BVaky_1.111 *//	sTAnezu aBihataH vAyuH Sabda tvam pratipadyate // BVakI _1.111 *//
   *tasya kāraṇasāmarthyād vegapracayadharmaṇaḥ /	*tasya kAraNa sAmarTyAt vega pracaya DarmaNaH /
   saṃnipātād vibhajyante sāravatyo 'pi mūrtayaḥ // BVaky_1.112 *//	saMnipAtAt viBajyante sAravatyaH api mUrtayaH // BVakI _1.112 *//
   *aṇavaḥ sarvaśaktitvād bhedasaṃsargavṛttayaḥ /	*aNavaH sarva Sakti tvAt Beda saMsarga vRttayaH /
   chāyātapatamaḥśabda  bhāvena pariṇāminaḥ // BVaky_1.113 *//	CAyA AtapatamaH Sabda BAvena pariNAminaH // BVakI _1.113 *//
   *svaśaktau vyajyamānāyāṃ prayatnena samīritāḥ /	*sva SaktO vyajyamAnAyAm prayatnena samIritAH /
   abhrāṇīva pracīyante śabdākhyāḥ paramāṇavaḥ // BVaky_1.114 *//	aBrANi iva pracIyante Sabda AKyAH paramANavaH // BVakI _1.114 *//
   *athāyam āntaro jñātā sūkṣmavāgātmani sthitaḥ /	*aTa ayam AntaraH jQAtA sUkzma vAc Atmani sTitaH /
   vyaktaye svasya rūpasya śabdatvena vivartate // BVaky_1.115 *//	vyaktaye svasya rUpasya Sabda tvena vivartate // BVakI _1.115 *//
   *sa manobhāvam āpadya tejasā pākam āgataḥ /	*sa manoBAvam Apadya tejasA pAkam AgataH /
   vāyum āviśati prāṇam athāsau samudīryate // BVaky_1.116 *//	vAyum AviSati prANam aTa asO samudIryate // BVakI _1.116 *//
   *antaḥkaraṇatattvasya vāyur āśrayatāṃ gataḥ /	*antaH karaNa tattvasya vAyuH ASrayatAm gataH /
   taddharmeṇa samāviṣṭas tejasaiva vivartate // BVaky_1.117 *//	tad DarmeNa samAvizwaH tejasA eva vivartate // BVakI _1.117 *//
   *vibhajan svātmano granthīñ chrutirūpaiḥ pṛthagvidhaiḥ /	*viBajan sva AtmanaH granTIn Cruti rUpEH pRTagviDEH /
   prāṇo varṇān abhivyajya varṇeṣv evopalīyate // BVaky_1.118 *//	prANaH varNAn aBivyajya varNezu eva upalIyate // BVakI _1.118 *//
   *ātmā buddhyā samarthyārthān mano yuṅkte vivakṣayā /	*a AtmA budDyA samarTya arTAn manaH yuFkte vivakzayA /
   manaḥ kāyāgnim āhanti sa prerayati mārutam // BVaky_1.119 *//	manaH kAya agnim Ahanti sa prerayati mArutam // BVakI _1.119 *//
   ajasravṛttir yaḥ śabdaḥ sūkṣmatvān nopalabhyate /	ajasra vRttiH yaH SabdaH sUkzma tvAt na upalaByate /
   vyajanād vāyur iva sa svanimittāt pratīyate // BVaky_1.120 //	vyajanAt vAyuH iva sa sva nimittAt pratIyate // BVakI _1.120 //
   tasya prāṇe ca yā śaktir yā ca buddhau vyavasthitā /	tasya prANe ca yA SaktiH yA ca budDO vyavasTitAH /
   vivartamānā sthāniṣu saiṣā bhedaṃ prapadyate // BVaky_1.121 //	vivartamAnA sTAnizu sA ezA Bedam prapadyate // BVakI _1.121 //
   śabdeṣv evāśritā śaktir viśvasyāsya nibandhanī /	Sabdezu eva ASritA SaktiH viSvasya asya nibanDanI /
   yannetraḥ pratibhātmāyaṃ bhedarūpaḥ pratāyate // BVaky_1.122 //	yat netraH pratiBA AtmA ayam Beda rUpaH pratAyate // BVakI _1.122 //
   śabdādibhedaḥ śabdena vyākhyāto rūpyate yataḥ /	Sabda Adi BedaH Sabdena vyAKyAtaH rUpyate yatas /
   tasmād arthavidhāḥ sarvāḥ śabdamātrāsu niśritāḥ // BVaky_1.123 //	tasmAt arTaviDAH sarvAH Sabda mAtrAsu niSritAH // BVakI _1.123 //
   (ṣaḍgādibhedaḥ a)	(zaxga Adi BedaH a)
   śabdasyapariṇāmo 'yam ity āmnāyavido viduḥ /	Sabdasya pariNAmaH ayam iti AmnAya vidaH viduH /
   chandobhya eva prathamam etad viśvaṃ pravartate // BVaky_1.124 //	CandoByaH eva praTamam etat viSvam pravartate // BVakI _1.124 //
   vibhajya bahudhātmānaṃ sa cchandasyaḥ prajāpatiḥ /	viBajya bahuDA AtmAnam sa cCandasyaH prajApatiH /
   chandomayībhir mātrābhir bahudhaiva viveśa tam // BVaky_1.125 //	CandaH mayIBiH mAtrABiH bahuDA eva viveSa tam // BVakI _1.125 //
   sādhvī vāg bhūyasī yeṣu puruṣeṣu vyavasthitā /	sADvI vAc BUyasI yezu puruzezu vyavasTitAH /
   adhikaṃ vartate teṣu puṇyaṃ rūpaṃ prajāpateḥ // BVaky_1.126 //	aDikam vartate tezu puNyam rUpam prajApateH // BVakI _1.126 //
   prājāpatyaṃ mahat tejas tatpātrair iva saṃvṛttam /	prAjApatyam mahat tejaH tad pAtrEH iva saMvRttam /
   śarīrabhede viduṣāṃ svāṃ yonim upadhāvati // BVaky_1.127 //	SarIra Bede viduzAm svAm yonim upaDAvati // BVakI _1.127 //
   yad etan maṇḍalaṃ bhāsvad dhāma citrasya rādhasaḥ /	yat etat maNxalam BAsvat DAma citrasya rADasaH /
   tadbhāvam abhisaṃbhūya vidyāyāṃ pravilīyate // BVaky_1.128 //	tad BAvam aBisaMBUya vidyAyAm pravilIyate // BVakI _1.128 //
   itikartavyatā loke sarvā śabdavyapāśrayā /	itikartavya tA loke sarvA Sabda vyapASrayA /
   yāṃ pūrvāhitasaṃskāro bālo 'pi pratipadyate // BVaky_1.129 //	yAm pUrva Ahita saMskAraH bAlaH api pratipadyate // BVakI _1.129 //
   ādyaḥ kāraṇavinyāsaḥ prāṇasyordhvaṃ samīraṇam /	AdyaH kAraNa vinyAsaH prANasya UrDvam samIraNam /
   sthānānām abhighātaś ca na vinā śabdabhāvanām // BVaky_1.130 //	sTAnAnAm aBiGAtaH ca na vinA Sabda BAvanAm // BVakI _1.130 //
   na so 'sti pratyayo loke yaḥ śabdānugamād ṛte /	na saH asti pratyayaH loke yaH Sabda anugamAt Rte /
   anuviddham iva jñānaṃ sarvaṃ śabdena bhāsate // BVaky_1.131 //	anuvidDam iva jQAnam sarvam Sabdena BAsate // BVakI _1.131 //
   vāgrūpatā cet utkrāmed avabodhasya śāśvatī /	vAc rUpa tA ced utkrAmet avaboDasya SASvatI /
   na prakāśaḥ prakāśeta sā hi pratyavamarśinī // BVaky_1.132 //	na prakASaH prakASeta sA hi pratyavamarSinI // BVakI _1.132 //
   sā sarvavidyāśilpānāṃ kalānāṃ copabandhanī /	sA sarva vidyA SilpAnAm kalAnAm ca upabanDanI /
   tadvaśād abhiniṣpannaṃ sarvaṃ vastu vibhajyate // BVaky_1.133 //	tad vaSAt aBinizpannam sarvam vastu viBajyate // BVakI _1.133 //
   saiṣā saṃsāriṇāṃ saṃjñā bahir antaś ca vartate /	sA ezA saMsAriNAm saMjQA bahis antar ca vartate /
   tanmātrām avyatikrāntaṃ caitanyaṃ sarvajātiṣu // BVaky_1.134 //	tanmAtrAm avyatikrAntam cEtanyam sarva jAtizu // BVakI _1.134 //
   arthakriyāsu vāk sarvān samīhayati dehinaḥ /	arTa kriyAsu vAc sarvAn samIhayati dehinaH /
   tadutkrāntau visaṃjño 'yaṃ dṛśyate kāṣṭakuḍyavat // BVaky_1.135 //	tad utkrAntO visaMjQaH ayam dRSyate kAzwa kuxya vat // BVakI _1.135 //
   *bhedodgrāhavivartena labdhākāraparigrahā /	*Beda udgrAha vivartena labDa AkAra parigrahAH /
   āmnātā sarvavidyāsu vāg eva prakṛtiḥ parā // BVaky_1.136 *//	AmnAtA sarva vidyAsu vAc eva prakRtiH parAH // BVakI _1.136 *//
   *ekatvam anatikrāntā vāṅnetrā vāṅnibandhanāḥ /	*eka tvam anatikrAntAH vAc netrAH vAc nibanDanAH /
   pṛthak pratyavabhāsante vāgvibhāgā gavādayaḥ // BVaky_1.137 *//	pRTak pratyavaBAsante vAc viBAgAH gavA AdayaH // BVakI _1.137 *//
   *ṣaḍdvāraṃ ṣaḍadhiṣṭhānāṃ [ṣaṭpra]bodhāṃ ṣaḍavyayām /	*zaz dvAram zaz aDizWAnAm [zaz pra]boDAm zaz avyayAm /
   te mṛtyum ativartante ye vai vācam upāsate // BVaky_1.138 *//	te mRtyum ativartante ye vE vAcam upAsate // BVakI _1.138 *//
   pravibhāge yathā kartā tayā kārye pravartate /	praviBAge yaTA kartA tayA kArye pravartate /
   avibhāge tathā saiva kāryatvenāvatiṣṭhate // BVaky_1.139 //	aviBAge taTA sA eva kAryatvena avatizWate // BVakI _1.139 //
   *pravibhajyātmanātmānaṃ sṛṣṭvā bhāvān pṛthagvidhān /	*praviBajya AtmanA AtmAnam sRzwvA BAvAn pRTagviDAn /
   sarveśvaraḥ sarvamayaḥ svapne bhoktā pravartate // BVaky_1.140 *//	sarva ISvaraH sarva mayaH svapne BoktA pravartate // BVakI _1.140 *//
   svamātrā paramātrā vā śrutyā prakramyate yathā /	sva mAtrA para mAtrA vA SrutyA prakramyate yaTA /
   tathaiva rūḍhatām eti tayā hy artho vidhīyate // BVaky_1.141 //	taTA eva rUXa tAm eti tayA hi arTaH viDIyate // BVakI _1.141 //
   atyantam atathābhūte nimitte śrutyapāśrayāt /	atyantam ataTABUte nimitte Sruti apASrayAt /
   dṛśyate 'lātacakrādau vastvākāranirūpaṇā // BVaky_1.142 //	dRSyate alAta cakra AdO vastu AkAra nirUpaNAH // BVakI _1.142 //
   api prayoktur ātmānaṃ śabdam antar avasthitam /	api prayoktuH AtmAnam Sabdam antar avasTitam /
   prāhur mahāntam ṛṣabhaṃ yena sāyujyam iṣyate // BVaky_1.143 //	prAhuH mahAntam RzaBam yena sAyujyam izyate // BVakI _1.143 //
   tasmād yaḥ śabdasaṃskāraḥ sā siddhiḥ paramātmanaḥ /	tasmAt yaH Sabda saMskAraH sA sidDiH paramAtmanaH /
   tasya pravṛttitattvajñas tad brahmāmṛtam aśnute // BVaky_1.144 //	tasya pravRtti tattva jQaH tat brahma amRtam aSnute // BVakI _1.144 //
   *prāṇavṛttim atikrānte vācas tattve vyavasthitaḥ /	*prANa vRttim atikrAnte vAcaH tattve vyavasTitaH /
   kramasaṃhārayogena saṃhṛtyātmānam ātmani // BVaky_1.145 *//	krama saMhAra yogena saMhRtya AtmAnam Atmani // BVakI _1.145 *//
   *vācaḥ saṃskāram ādhāya vācaṃ jñāne niveśya ca /	*vAcaH saMskAram ADAya vAcam jQAne niveSya ca /
   vibhajya bandhanāny asyāḥ kṛtvā tāṃ chinnabandhanām // BVaky_1.146 *//	viBajya banDanAni asyAH kRtvA tAm Cinna banDanAm // BVakI _1.146 *//
   *jyotir āntaram āsādya cchinnagranthiparigrahaḥ /	*jyotiH Antaram AsAdya cCinna granTi parigrahaH /
   kāraṇajyotiṣaikatvaṃ chittvā granthīn pravartate // BVaky_1.147 *//	kAraNa jyotiza eka tvam CittvA granTIn pravartate // BVakI _1.147 *//
   na jātv akartṛkam kaś cid āgamaṃ pratipadyate /	na jAtu akartRkam kaH cit Agamam pratipadyate /
   bījaṃ sarvāgamāpāye trayy evāto vyavasthitā // BVaky_1.148 //	bIjam sarva Agama apAye trayI eva atas vyavasTitAH // BVakI _1.148 //
   astaṃ yāteṣu vādeṣu kartṛṣv anyeṣv asatsv api /	astam yAtezu vAdezu kartRzu anyezu asatsu api /
   śrutismṛtyuditaṃ dharmaṃ loko na vyativartate // BVaky_1.149 //	Sruti smRti uditam Darmam lokaH na vyativartate // BVakI _1.149 //
   jñāne svābhāvike nārthaḥ śāstraiḥ kaś cana vidyate /	jQAne svABAvike na arTaH SAstrEH kaH cana vidyate /
   dharmo jñānasya hetuś cet tasyāmnāyo nibandhanam // BVaky_1.150 //	DarmaH jQAnasya hetuH ced tasya AmnAyaH nibanDanam // BVakI _1.150 //
   vedaśāstrāvirodhī ca tarkaś cakśur apaśyatām /	veda SAstra aviroDI ca tarkaH cakSuH apaSyatAm /
   rūpamātrād dhi vākyārthaḥ kevalaṃ nātitiṣṭhati // BVaky_1.151 //	rUpa mAtrAt Di vAkya arTaH kevalam na atitizWati // BVakI _1.151 //
   sato 'vivakṣā pārārthyaṃ vyaktir arthasya laiṅgikī /	sataH avivakzA pArArTyam vyaktiH arTasya lEFgikI /
   iti nyāyo bahuvidhas tarkeṇa pravibhajyate // BVaky_1.152 //	iti nyAyaH bahuviDaH tarkeNa praviBajyate // BVakI _1.152 //
   śabdānām eva sā śaktis tarko yaḥ puruṣāśrayaḥ /	SabdAnAm eva sA SaktiH tarkaH yaH puruza ASrayaH /
   sa śabdānugato nyāyo 'nāgameṣv anibandhanaḥ // BVaky_1.153 //	sa Sabda anugataH nyAyaH anAgamezu anibanDanaH // BVakI _1.153 //
   *yad udumbaravarṇānāṃ ghaṭīnāṃ maṇḍalaṃ mahat /	*yat udumbara varNAnAm GawInAm maNxalam mahat /
   pītaṃ na gamayet svargaṃ kiṃ tat kratugataṃ nayet // BVaky_1.154 *//	pItam na gamayet svargam kim tat kratu gatam nayet // BVakI _1.154 *//
   rūpādayo yathā dṛṣṭāḥ paryarthaṃ yataśaktayaḥ /	rUpa AdayaH yaTA dRzwAH paryarTam yata SaktayaH /
   śabdās tathaiva dṛśyante viṣāpaharaṇādiṣu // BVaky_1.155 //	SabdAH taTA eva dRSyante viza apaharaNa Adizu // BVakI _1.155 //
   yathaiṣāṃ tatra sāmarthyaṃ dharme 'py evaṃ pratīyatām /	yaTA ezAm tatra sAmarTyam Darme api evam pratIyatAm /
   sādhūnāṃ sādhubhis tasmād vācyam abhyudayārthinām // BVaky_1.156 //	sADUnAm sADuBiH tasmAt vAcyam aByudaya arTinAm // BVakI _1.156 //
   sarvo 'dṛṣṭaphalān arthān āgamāt pratipadyate /	sarvaH adRzwa PalAn arTAn AgamAt pratipadyate /
   viparītaṃ ca sarvatra śakyate vaktum āgame // BVaky_1.157 //	viparItam ca sarvatra Sakyate vaktum Agame // BVakI _1.157 //
   sādhutvajñānaviṣayā seyaṃ vyākaraṇasmṛtiḥ /	sADu tva jQAna vizayA sA iyam vyAkaraNa smRtiH /
   avicchedena śiṣṭānām idaṃ smṛtinibandhanam // BVaky_1.158 //	avicCedena SizwAnAm idam smRti nibanDanam // BVakI _1.158 //
   vaikharyā madhyamāyāś ca paśyantyāś caitad adbhutam /	vEKaryAH maDyamAyAH ca paSyantyAH ca etat adButam /
   anekatīrthabhedāyās trayyā cācaḥ paraṃ param // BVaky_1.159 //	aneka tIrTa BedAyAH trayyA cAcaH param param // BVakI _1.159 //
   *gaur iva prakṣaraty ekā rasam uttamaśālinī /	*gOH iva prakzarati ekA rasam uttama SAlinI /
   divyādivyena rūpeṇa bhāratī gauḥ śucismitā // BVaky_1.160 *//	divya adivyena rUpeNa BAratI gOH Suci smitAH // BVakI _1.160 *//
   *etayor antaraṃ paśya sūkṣmayoḥ spandamānayoḥ /	*etayoH antaram paSya sUkzmayoH spandamAnayoH /
   prāṇāpānāntare nityam ekā sarvasya tiṣṭhati // BVaky_1.161 *//	prANa apAna antare nityam ekA sarvasya tizWati // BVakI _1.161 *//
   *anyā tv apreryamāṇaiva vinā prāṇena vartate /	*anyA tu apreryamANA eva vinA prANena vartate /
   jāyate hi tataḥ prāṇo vācam āpyāyayan punaḥ // BVaky_1.162 *//	jAyate hi tatas prANaH vAcam ApyAyayan punar // BVakI _1.162 *//
   *prāṇenāpyāyitā saivaṃ vyavahāranibandhanī /	*prANena ApyAyitA sA evam vyavahAra nibanDanI /
   sarvasyocchvāsam āsādya na vāg vadati karhi cit // BVaky_1.163 *//	sarvasya ucCvAsam AsAdya na vAc vadati karhi cit // BVakI _1.163 *//
   *ghoṣiṇī jātanirghoṣā aghoṣā ca pravartate /	*GoziNI jAta nirGozA aGozA ca pravartate /
   tayor api ca ghoṣiṇyā nirghoṣaiva garīyasī // BVaky_1.164 *//	tayoH api ca GoziNyA nirGozA eva garIyasI // BVakI _1.164 *//
   *sthāneṣu vivṛte vāyau kṛtavarṇaparigrahā /	*sTAnezu vivRte vAyO kRta varNa parigrahAH /
   vaikharī vāk prayoktṝṇāṃ prāṇavṛttinibandhanā // BVaky_1.165 *//	vEKarI vAc prayoktLNAm prANa vRtti nibanDanAH // BVakI _1.165 *//
   *kevalaṃ buddhyupādāna  kramarūpānupātinī /	*kevalam budDi upAdAna krama rUpa anupAtinI /
   prāṇavṛttim atikramya madhyamā vāk pravartate // BVaky_1.166 *//	prANa vRttim atikramya maDyamA vAc pravartate // BVakI _1.166 *//
   *avibhāgā tu paśyantī sarvataḥ saṃhṛtakramā /	*aviBAgA tu paSyantI sarvatas saMhRta kramAH /
   svarūpajyotir evāntaḥ sūkṣmā vāg anapāyinī // BVaky_1.167 *//	svarUpa jyotiH eva antar sUkzmA vAc anapAyinI // BVakI _1.167 *//
   *pīyūṣāpūryamāṇāpi nityam āgantubhir malaiḥ /	*pIyUzA pUryamANA api nityam AgantuBiH malEH /
   antyā kaleva somasya nātyantam abhidhīyate // BVaky_1.168 *//	antyA kalA iva somasya na atyantam aBiDIyate // BVakI _1.168 *//
   *yasyāṃ dṛṣṭasvarūpāyām adhikāro nivartate /	*yasyAm dRzwa svarUpAyAm aDikAraH nivartate /
   puruṣe ṣoḍaśakale tām āhur amṛtāṃ kalām // BVaky_1.169 *//	puruze zoxaSa kale tAm AhuH amRtAm kalAm // BVakI _1.169 *//
   *prāptoparāgarūpā sā viplavair anuṣaṅgibhiḥ /	*prApta uparAga rUpA sA viplavEH anuzaFgiBiH /
   vaikharī sattvamātreva guṇair na vyavakīryate // BVaky_1.170 *//	vEKarI sattva mAtrA iva guNEH na vyavakIryate // BVakI _1.170 *//
   tadvibhāgāvibhāgābhyāṃ kriyamāṇām avasthitam /	tad viBAga aviBAgAByAm kriyamANAm avasTitam /
   svabhāvajñais tu bhāvānāṃ dṛśyante śabdaśaktayaḥ // BVaky_1.171 //	svaBAva jQEH tu BAvAnAm dRSyante Sabda SaktayaH // BVakI _1.171 //
   anādim avyavacchinnāṃ śrutim āhur akartṛkām /	anAdim avyavacCinnAm Srutim AhuH akartRkAm /
   śiṣṭair nibadhyamānā tu na vyavacchidyate smṛtiḥ // BVaky_1.172 //	SizwEH nibaDyamAnA tu na vyavacCidyate smRtiH // BVakI _1.172 //
   avibhāgād vivṛttānām abhikhyā svapnavac chrutau /	aviBAgAt vivRttAnAm aBiKyA svapna vat SrutO /
   bhāvatattvaṃ tu vijñāya liṅgebhyo vihitā smṛtiḥ // BVaky_1.173 //	BAva tattvam tu vijQAya liFgeByaH vihitA smRtiH // BVakI _1.173 //
   kāyavāgbuddhiviṣayā ye malāḥ samavasthitāḥ /	kAya vAc budDi vizayAH ye malAH samavasTitAH /
   cikitsālakṣaṇādhyātma  śāstrais teṣāṃ viśuddhayaḥ // BVaky_1.174 //	cikitsA lakzaNa aDyAtma SAstrEH tezAm viSudDayaH // BVakI _1.174 //
   śabdaḥ saṃskārahīno yo gaur iti prayuyukṣyate /	SabdaH saMskAra hInaH yaH gOH iti prayuyukzyate /
   tam apabhraṃśam icchanti viśiṣṭārthaniveśinam // BVaky_1.175 //	tam apaBraMSam icCanti viSizwa arTa niveSinam // BVakI _1.175 //
   asvagoṇyādayaḥ śabdāḥ sādhavo viṣayāntare /	asva goNya AdayaH SabdAH sADavaH vizaya antare /
   nimittabhedāt sarvatra sādhutvaṃ ca vyavasthitam // BVaky_1.176 //	nimitta BedAt sarvatra sADu tvam ca vyavasTitam // BVakI _1.176 //
   te sādhuṣv anumānena pratyayotpattihetavaḥ /	te sADuzu anumAnena pratyaya utpatti hetavaH /
   tādātmyam upagamyeva śabdārthasya prakāśakāḥ // BVaky_1.177 //	tAdAtmyam upagamya iva Sabda arTasya prakASakAH // BVakI _1.177 //
   na śiṣṭair anugamyante paryāyā iva sādhavaḥ /	na SizwEH anugamyante paryAyAH iva sADavaH /
   te yataḥ smṛtiśāstreṇa tasmāt sākṣād avācakāḥ // BVaky_1.178 //	te yatas smRti SAstreNa tasmAt sAkzAt avAcakAH // BVakI _1.178 //
   aṃbvaṃbv iti yathā bālaḥ śikṣamāṇo 'pabhāṣate /	aMbvaMbu iti yaTA bAlaH SikzamANaH apaBAzate /
   avyaktaṃ tadvidāṃ tena vyaktau bhavati niścayaḥ // BVaky_1.179 //	avyaktam tad vidAm tena vyaktO Bavati niScayaH // BVakI _1.179 //
   evaṃ sādhau prayoktavye yo 'pabhraṃśaḥ prayujyate /	evam sADO prayoktavye yaH apaBraMSaH prayujyate /
   tena sādhuvyavahitaḥ kaś cid artho 'bhidhīyate // BVaky_1.180 //	tena sADu vyavahitaH kaH cit arTaH aBiDIyate // BVakI _1.180 //
   pāraṃparyād apabhraṃśā viguṇeṣv abhidhātṛṣu /	pAraMparyAt apaBraMSAH viguNezu aBiDAtRzu /
   prasiddhim āgatā yena teṣāṃ sādhur avācakaḥ // BVaky_1.181 //	prasidDim AgatAH yena tezAm sADuH avAcakaH // BVakI _1.181 //
