   Ḍhuṇḍhukanātha: Rasendracintāmaṇi	ḌhuNXuka-nATa: RasendracintAmaNi
   <19 saṃskāras>	<19 saMskAras>
   etatsādhakānyūnaviṃśatikarmāṇi bhavanti /	etad-sADakAni-UnaviMSati-karmANi Bavanti /
   mardanamūrchanotthāpanasvedanapātanabodhananiyamanasaṃdīpanānuvāsanagaganādigrāsapramāṇacāraṇagarbhadrutibāhyadrutiyogajāraṇarañjanasāraṇakrāmaṇavedhanabhakṣaṇāni	mardana-mUrCana-utTApana-svedana-pAtana-boDana-niyamana-saMdIpana-anuvAsana-gagana-Adi-grAsa-pramANa-cAraNa-garBadruti-bAhyat-ruti-yoga-jAraNa-raQjan
   // RCint_3.3 //	// RCint-_3.3 //
   <rel. rites before starting the saṃskāras>	<rel. riteH before starting Te saMskAras>
   sampūjya śrīguruṃ kanyāṃ baṭukaṃ ca gaṇādhipam /	sampUjya SrI-gurum kanyAm bawukam ca gaNADipam /
   yoginīṃ kṣetrapālāṃśca caturdhābalipūrvakam // RCint_3.4 //	yoginIm kzetrapAlAn=-ca caturDA-bali-pUrvakam // RCint-_3.4 //
   sūtaṃ rahasyanilaye sumuhūrte vidhorbale /	sUtam rahasya-nilaye su-muhUrte viDoH-bale /
   khalve pāṣāṇaje lohe sudṛḍhe sārasambhave // RCint_3.5 //	Kalve pAzANa-je lohe su-dRXe sAra-samBave // RCint-_3.5 //
   tādṛśasvacchamasṛṇacaturaṅgulamardake /	tAdRSa-svacCa-masRNa-catur-aFgula-mardake /
   nikṣipya siddhamantreṇa rakṣitaṃ dvitrisevakaiḥ // RCint_3.6 //	nikzipya sidDa-mantreNa rakzitam dvi-tri-sevakEH // RCint-_3.6 //
   bhiṣag vimardayeccūrṇair militaiḥ ṣoḍaśāṃśataḥ /	Bizaj vimardayet-cUrNEH militEH zoxaSa-aMSataH /
   sūtasya gālitair vastrairvakṣyamāṇadravādibhiḥ // RCint_3.7 //	sUtasya gAlitEH vastrEH-vakzyamANa-drava-AdiBiH // RCint-_3.7 //
   mardayenmūrchayetsūtaṃ punarutthāpya saptaśaḥ /	mardayet-mUrCayet-sUtam punar-utTApya saptaSaH /
   <mercury:: doṣa:: removal>	<mercuH-y:: doza:: remaH-val>
   rakteṣṭakāniśādhūmasārorṇābhasmatumbikaiḥ /	rakta-izwakA-niSA-DUma-sAra-UrNA-Basma-tumbikEH /
   jambīradravasaṃyuktair nāgadoṣāpanuttaye // RCint_3.8 //	jambIra-drava-saMyuktEH nAga-doza-apanuttaye // RCint-_3.8 //
   viśālāṅkolacūrṇena vaṅgadoṣaṃ vimuñcati /	viSAlA-aFkola-cUrNena vaFga-dozam vimuQcati /
   rājavṛkṣasya mūlasya cūrṇena saha kanyayā // RCint_3.9 //	rAjavRkzasya mUlasya cUrNena saha kanyayA // RCint-_3.9 //
   maladoṣāpanuttyarthaṃ mardanotthāpane śubhe /	mala-doza-apanutti-arTam mardana-utTApane SuBe /
   kṛṣṇadhattūrakadrāvaiś cāñcalyavinivṛttaye // RCint_3.10 //	kRzNa-DattUraka-drAvEH cAQcalya-vinivRttaye // RCint-_3.10 //
   triphalākanyakātoyair viṣadoṣopaśāntaye /	triPalA-kanyakA-toyEH viza-doza-upaSAntaye /
   giridoṣaṃ trikaṭunā kanyātoyena yatnataḥ // RCint_3.11 //	giri-dozam trikawunA kanyA-toyena yatnatas // RCint-_3.11 //
   citrakasya ca cūrṇena sakanyenāgnināśanam /	citrakasya ca cUrNena sa-kanyena-agni-nASanam /
   āranālena coṣṇena pratidoṣaṃ viśodhayet /	AranAlena ca-uzNena pratidozam viSoDayet /
   evaṃ saṃśodhitaḥ sūtaḥ saptadoṣavivarjitaḥ /	evam saMSoDitaH sUtaH sapta-doza-vivarjitaH /
   jāyate kāryakartā ca hy anyathā kāryanāśanaḥ // RCint_3.12 //	jAyate kArya-kartA ca hi anyaTA kArya-nASanaH // RCint-_3.12 //
   <mercury:: utthāpana>	<meH-cuH-y:: utTApana>
   utthāpanāvaśiṣṭaṃ tu cūrṇaṃ pātanayantrake /	utTApana-avaSizwam tu cUrNam pAtanayantrake /
   dhṛtvordhvabhāṇḍe saṃlagnaṃ saṃharetpāradaṃ bhiṣak // RCint_3.13 //	DRtvA-UrDva-BANxe saMlagnam saMharet-pAradam Bizaj // RCint-_3.13 //
   <svedana>	<svedana>
   rasaṃ caturguṇe vastre baddhvā dolākṛtaṃ pacet /	rasam caturguNe vastre badDvA dolA-kRtam pacet /
   dinaṃ vyoṣavarāvahnikanyākalkeṣu kāñjike /	dinam vyoza-varA-vahni-kanyA-kalkezu kAQjike /
   doṣaśeṣāpanuttyarthamidaṃ svedanamucyate // RCint_3.14 //	doza-Seza-apanutti-arTam-idam svedanam-ucyate // RCint-_3.14 //
   <kāñjika:: production>	<kAQjika:: productiA-Un>
   nānādhānyair yathāprāptais tuṣavarjair jalānvitaiḥ /	nAnA-DAnyEH yaTAprAptEH tuza-varjEH jala-anvitEH /
   mṛdbhāṇḍaṃ pūritaṃ rakṣed yāvadamlatvamāpnuyāt // RCint_3.15 //	mRd-BANxam pUritam rakzet yAvat-amla-tvam-ApnuyAt // RCint-_3.15 //
   tanmadhye ghanavāṅmuṇḍī viṣṇukrāntāpunarnavā /	tad-maDye GanavAc-muNxI vizNukrAntA-punarnavA /
   mīnākṣī caiva sarpākṣī sahadevī śatāvarī // RCint_3.16 //	mInAkzI ca-eva sarpAkzI sahadevI SatAvarI // RCint-_3.16 //
   triphalā girikarṇī ca haṃsapādī ca citrakaḥ /	triPalA girikarNI ca haMsapAdI ca citrakaH /
   samūlakāṇḍaṃ piṣṭvā tu yathālābhaṃ vinikṣipet // RCint_3.17 //	sa-mUla-kANxam pizwvA tu yaTAlABam vinikzipet // RCint-_3.17 //
   pūrvāmlabhāṇḍamadhye tu dhānyāmlakamidaṃ bhavet /	pUrva-amla-BANxa-maDye tu DAnyAmlakam-idam Bavet /
   svedanādiṣu sarvatra rasarājasya yojayet // RCint_3.18 //	svedana-Adizu sarvatra rasarAjasya yojayet // RCint-_3.18 //
   atyamlamāranālaṃ vā tadabhāve prayojayet /	ati-amlam-AranAlam vA tad-aBAve prayojayet /
   <ūrdhvapātana>	<u-UrDvapAtana>
   bhāgās trayo rasasyārkacūrṇasyaiko'tha nimbukaiḥ /	BAgAH trayaH rasasya-arka-cUrNasya-ekaH-aTa nimbukEH /
   etatsaṃmardayettāvadyāvadāyāti piṇḍatām // RCint_3.19 //	etat-saMmardayet-tAvat-yAvat-AyAti piNxa-tAm // RCint-_3.19 //
   tatpiṇḍaṃ talabhāṇḍasthamūrdhvabhāṇḍe jalaṃ kṣipet /	tad-piNxam tala-BANxa-sTam-UrDva-BANxe jalam kzipet /
   kṛtvālavālaṃ kenāpi dattvā vārdraṃ hi plotakam // RCint_3.20 //	kRtvA-AlavAlam kena-api dattvA vA-Ardram hi plotakam // RCint-_3.20 //
   saṃmudryāgnim adhastasya caturyāmaṃ prabodhayet /	saMmudrya-agnim aDas-tasya catur-yAmam praboDayet /
   yuktyordhvabhāṇḍasaṃlagnaṃ gṛhṇīyātpāradaṃ tataḥ // RCint_3.21 //	yuktyA-UrDva-BANxa-saMlagnam gRhNIyAt-pAradam tatas // RCint-_3.21 //
   ūrdhvapātanamityuktaṃ bhiṣagbhiḥ sūtaśodhane /	UrDvapAtanam-iti-uktam BizagBiH sUta-SoDane /
   <saṃdhirodha:: importance>	<saMDi-roDa:: importan-ce>
   sasūtabhāṇḍavadanam anyad gilati bhāṇḍakam /	sa-sUta-BANxa-vadanam anyat gilati BANxakam /
   tathā saṃdhir dvayoḥ kāryaḥ pātanātrayayantrake // RCint_3.22 //	taTA saMDiH dvayoH kAryaH pAtanA-traya-yantrake // RCint-_3.22 //
   <sizes, measures:: taught by the Guru>	<sizes, mea-sures:: tOGt bi Te Guru>
   yantrapramāṇaṃ vadanādgurorjñeyaṃ vicakṣaṇaiḥ /	yantra-pramANam vadanAt-guroH-jQeyam vicakzaNEH /
   rasasya mānāniyamāt kathituṃ naiva śakyate // RCint_3.23 //	rasasya mAna-aniyamAt kaTitum na-eva Sakyate // RCint-_3.23 //
   <adhaḥpātana>	<aDaHpAtana>
   navanītāhvayaṃ sūtaṃ ghṛṣṭvā jambhāmbhasā dinam /	navanIta-Ahvayam sUtam GRzwvA jamBa-amBasA dinam /
   vānarīśigruśikhibhir lavaṇāsurisaṃyutaiḥ // RCint_3.24 //	vAnarI-Sigru-SiKiBiH lavaNa-Asuri-saMyutEH // RCint-_3.24 //
   naṣṭapiṣṭaṃ rasaṃ jñātvā lepayedūrdhvabhāṇḍake /	nazwapizwam rasam jQAtvA lepayet-UrDva-BANxake /
   ūrdhvabhāṇḍodaraṃ liptvā tv adhogaṃ jalasaṃbhṛtam // RCint_3.25 //	UrDva-BANxa-udaram liptvA tu aDas-gam jala-saMBRtam // RCint-_3.25 //
   saṃdhilepaṃ dvayoḥ kṛtvā tadyantraṃ bhuvi pūrayet /	saMDi-lepam dvayoH kRtvA tat-yantram Buvi pUrayet /
   upariṣṭātpuṭe datte jale patati pāradaḥ // RCint_3.26 //	uparizwAt-puwe datte jale patati pAradaH // RCint-_3.26 //
   adhaḥpātanam ityuktaṃ siddhādyaiḥ sūtakarmaṇi /	aDaHpAtanam iti-uktam sidDa-AdyEH sUta-karmaNi /
   <tiryakpātana>	<tiryakpAtana>
   ghaṭe rasaṃ vinikṣipya sajalaṃ ghaṭam anyakam /	Gawe rasam vinikzipya sa-jalam Gawam anyakam /
   tiryaṅmukhaṃ dvayoḥ kṛtvā tanmukhaṃ rodhayet sudhīḥ // RCint_3.27 //	tiryak-muKam dvayoH kRtvA tad-muKam roDayet suDIH // RCint-_3.27 //
   rasādho jvālayedagniṃ yāvatsūto jalaṃ viśet /	rasa-aDas jvAlayet-agnim yAvat-sUtaH jalam viSet /
   tiryakpātanamityuktaṃ siddhair nāgārjunādibhiḥ // RCint_3.28 //	tiryakpAtanam-iti-uktam sidDEH nAgArjuna-AdiBiH // RCint-_3.28 //
   <3 pātanas:: removal of vaṅga and nāga>	<3 pAtanas:: remaH-vat of vaFga and nAga>
   miśritau cedrase nāgavaṅgau vikrayahetunā /	miSritO ced-rase nAga-vaFgO vikraya-hetunA /
   tābhyāṃ syātkṛtrimo doṣas tanmuktiḥ pātanatrayāt // RCint_3.29 //	tAByAm syAt-kRtrimaH dozaH tad-muktiH pAtana-trayAt // RCint-_3.29 //
   <bodhana:: removal of impotency>	<boDana:: remaH-vat of impotency>
   evaṃ kaparditaḥ sūtaḥ ṣaṇḍhatvam adhigacchati /	evam kaparditaH sUtaH zaNXa-tvam aDigacCati /
   tanmuktaye'sya kriyate bodhanaṃ kathyate hi tat // RCint_3.30 //	tad-muktaye-asya kriyate boDanam kaTyate hi tat // RCint-_3.30 //
   viśvāmitrakapāle vā kācakūpyām athāpi vā /	viSvAmitra-kapAle vA kAca-kUpyAm aTa-api vA /
   sṛṣṭyambujaṃ vinikṣipya tatra tanmajjanāvadhi // RCint_3.31 //	sRzwyambujam vinikzipya tatra tad-majjana-avaDi // RCint-_3.31 //
   pūrayettridinaṃ bhūmyāṃ rājahastapramāṇataḥ /	pUrayet-tri-dinam BUmyAm rAjahasta-pramANataH /
   anena sūtarājo'yaṃ ṣaṇḍhabhāvaṃ vimuñcati // RCint_3.32 //	anena sUtarAjaH-ayam zaNXa-BAvam vimuQcati // RCint-_3.32 //
   <dīpana? bodhana?>	<dIpana? boDana?>
   lavaṇenāmlapiṣṭena haṇḍikāntargataṃ rasam /	lavaNena-amla-pizwena haNxikA-antargatam rasam /
   ācchādyāmlajalaṃ kiṃcit kṣiptvā śarāveṇa rodhayet // RCint_3.33 //	AcCAdya-amla-jalam kiMcid kziptvA SarAveNa roDayet // RCint-_3.33 //
   ūrdhvaṃ laghupuṭaṃ deyaṃ labdhāśvāso bhavedrasaḥ /	UrDvam laGu-puwam deyam labDa-ASvAsaH Bavet-rasaH /
   <svedana zur Wiederherstellung von Hg>	<svedana zuH WiederheH-H-tet-lunc von Hg>
   kadarthanenaiva napuṃsakatvam evaṃ bhavedasya rasasya paścāt /	kadarTanena-eva napuMsaka-tvam evam Bavet-asya rasasya paScAt /
   vīryaprakarṣāya ca bhūrjapattre svedyo jale saindhavacūrṇagarbhe //	vIrya-prakarzAya ca BUrja-pattre svedyaH jale sEnDava-cUrNa-garBe //
   RCint_3.34 //	RCint-_3.34 //
   <niyamana>	<niyamana>
   sarpākṣīciñcikāvandhyābhṛṅgābdakanakāmbubhiḥ /	sarpAkzI-ciQcikA-vanDyA-BRFga-abda-kanaka-ambuBiH /
   dinaṃ saṃsveditaḥ sūto niyamāt sthiratāṃ vrajet // RCint_3.35 //	dinam saMsveditaH sUtaH niyamAt sTira-tAm vrajet // RCint-_3.35 //
   <dīpana>	<dIpana>
   kāsīsaṃ pañcalavaṇaṃ rājikāmaricāni ca /	kAsIsam paQcalavaNam rAjikA-maricAni ca /
   dviśigrubījamekatra ṭaṅkaṇena samanvitam // RCint_3.36 //	dvi-Sigru-bIjam-ekatra waFkaNena samanvitam // RCint-_3.36 //
   āloḍya kāñjike dolāyantre pākād dinais tribhiḥ /	Aloxya kAQjike dolAyantre pAkAt dinEH triBiH /
   dīpanaṃ jāyate samyak sūtarājasya jāraṇe // RCint_3.37 //	dIpanam jAyate samyak sUtarAjasya jAraNe // RCint-_3.37 //
   <dīpana>	<dIpana>
   athavā citrakadrāvaiḥ kāñjike tridinaṃ pacet /	aTavA citraka-drAvEH kAQjike tri-dinam pacet /
   dīpanaṃ jāyate tasya rasarājasya cottamam // RCint_3.38 //	dIpanam jAyate tasya rasarAjasya ca-uttamam // RCint-_3.38 //
   <anuvāsana>	<anuvAsana>
   dīpitaṃ rasarājastu jambīrarasasaṃyutam /	dIpitam rasarAjaH-tu jambIra-rasa-saMyutam /
   dinaikaṃ dhārayed gharme mṛtpātre vā śilodbhave // RCint_3.39 //	dina-ekam DArayet Garme mRd-pAtre vA SilodBave // RCint-_3.39 //
   <jāraṇa:: definition>	<jAraNa:: defi-nition>
   jāraṇā hi nāma pātanagālanavyatirekeṇa	jAraNA hi nAma pAtana-gAlana-vyatirekeNa
   ghanahemādigrāsapūrvakapūrvāvasthāpratipannatvam // RCint_3.40 //	Gana-hema-Adi-grAsa-pUrva-kapUrva-avasTA-pratipanna-tvam // RCint-_3.40 //
   kiṃca ghanahemādijīrṇasya kṛtakṣetrīkaraṇānām eva śarīriṇāṃ bhakṣaṇe	kiMca Gana-hema-Adi-jIrNasya kRta-kzetrIkaraNAnAm eva SarIriNAm BakzaNe
   'dhikāra ityabhihitam // RCint_3.41 //	aDikAraH iti-aBihitam // RCint-_3.41 //
   <jāraṇa:: rel. meaning>	<jAraNa:: rel. meaning>
   phalaṃ cāsya svayamīśvareṇoktam /	Palam ca-asya svayam-ISvareNa-uktam /
   sarvapāpakṣaye jāte prāpyate rasajāraṇā /	sarva-pApa-kzaye jAte prApyate rasa-jAraNA /
   tatprāptau prāptameva syādvijñānaṃ muktilakṣaṇam // RCint_3.42 //	tad-prAptO prAptam-eva syAt-vijQAnam mukti-lakzaNam // RCint-_3.42 //
   mokṣābhivyañjakaṃ devi jāraṇaṃ sādhakasya tu /	mokza-aBivyaQjakam devi jAraNam sADakasya tu /
   khalvastu piṇḍikā devi rasendro liṅgamucyate // RCint_3.43 //	KalvaH-tu piNxikA devi rasendraH liFgam-ucyate // RCint-_3.43 //
   mardanaṃ vandanaṃ caiva grāsaḥ pūjā vidhīyate /	mardanam vandanam ca-eva grAsaH pUjA viDIyate /
   yāvaddināni vahnistho jāraṇe dhāryate rasaḥ // RCint_3.44 //	yAvat-dinAni vahni-sTaH jAraNe DAryate rasaH // RCint-_3.44 //
   tāvad varṣasahasrāṇi śivaloke mahīyate /	tAvat varza-sahasrANi Siva-loke mahIyate /
   dinamekaṃ rasendrasya yo dadāti hutāśanam // RCint_3.45 //	dinam-ekam rasendrasya yaH dadAti hutASanam // RCint-_3.45 //
   dravanti tasya pāpāni kurvannapi na lipyate /	dravanti tasya pApAni kurvan=-api na lipyate /
   ajārayantaḥ pavihemagandhaṃ vāñchanti sūtātphalam apyudāram /	ajArayantaH pavi-hema-ganDam vAQCanti sUtAt-Palam api-udAram /
   kṣetrādanuptādapi sasyajātaṃ kṛṣīvalāste bhiṣajaśca mandāḥ // RCint_3.46	kzetrAt-anuptAt-api sasya-jAtam kRzIvalAH-te BizajaH-ca mandAH // RCint-_3.46
   <jāraṇa:: medic. properties according to the weight of sulfur>	<jAraNa:: medic. propertieH at-ca-Urdink taH Te weiGt of sulfur>
   tulye tu gandhake jīrṇe śuddhācchataguṇo rasaḥ /	tulye tu ganDake jIrNe SudDAt-SataguNaH rasaH /
   dviguṇe gandhake jīrṇe sarvakuṣṭhaharaḥ paraḥ // RCint_3.47 //	dviguNe ganDake jIrNe sarva-kuzWa-haraH paraH // RCint-_3.47 //
   triguṇe gandhake jīrṇe sarvajāḍyavināśanaḥ /	triguNe ganDake jIrNe sarva-jAxya-vinASanaH /
   caturguṇe tatra jīrṇe valīpalitanāśanaḥ // RCint_3.48 //	caturguNe tatra jIrNe valI-palita-nASanaH // RCint-_3.48 //
   gandhe pañcaguṇe jīrṇe kṣayakṣayakaro rasaḥ /	ganDe paQcaguNe jIrNe kzaya-kzaya-karaH rasaH /
   ṣaḍguṇe gandhake jīrṇe sarvarogaharo rasaḥ /	zaxguNe ganDake jIrNe sarva-roga-haraH rasaH /
   avaśyamityuvācedaṃ devīṃ śrībhairavaḥ svayam // RCint_3.49 //	avaSyam-iti-uvAca-idam devIm SrI-BEravaH svayam // RCint-_3.49 //
   <jāraṇa>	<jAraNa>
   gandhapiṣṭikayā tatra golaḥ syādgandhajāraṇe // RCint_3.50 //	ganDa-pizwikayA tatra golaH syAt-ganDa-jAraNe // RCint-_3.50 //
   tasmācchataguṇo vyomasattve jīrṇe tu tatsame /	tasmAt-SataguNaH vyoma-sattve jIrNe tu tad-same /
   tāpyakharparatālādisattve jīrṇe guṇāvahaḥ // RCint_3.51 //	tApya-Karpara-tAla-Adi-sattve jIrNe guNa-AvahaH // RCint-_3.51 //
   hemni jīrṇe sahasraikaguṇasaṃghapradāyakaḥ /	hemni jIrNe sahasra-eka-guNa-saMGa-pradAyakaH /
   vajrādijīrṇasūtasya guṇān vetti śivaḥ svayam // RCint_3.52 //	vajra-Adi-jIrNa-sUtasya guNAn vetti SivaH svayam // RCint-_3.52 //
   devyā rajo bhavedgandho dhātuḥ śukraṃ tathābhrakam /	devyAH rajaH Bavet-ganDaH DAtuH Sukram taTA-aBrakam /
   āliṅgane samathau dvau priyatvācchivaretasaḥ // RCint_3.53 //	AliFgane samaTO dvO priya-tvAt-Siva-retasaH // RCint-_3.53 //
   śivaśaktisamāyogātprāpyate paramaṃ padam /	Siva-Sakti-samAyogAt-prApyate paramam padam /
   yathā syājjāraṇā bahvī tathā syādguṇado rasaḥ // RCint_3.54 //	yaTA syAt-jAraNA bahvI taTA syAt-guNa-daH rasaH // RCint-_3.54 //
   <mercury:: grāsārthin>	<mercuH-y:: grAsa-arTin>
   vajrakaṇṭakavajrāgraṃ viddhamaṣṭāṅgulaṃ mṛdā /	vajrakaNwaka-vajrAgram vidDam-azwa-aFgulam mRdA /
   vilipya gomayālpāgnau puṭitaṃ tatra śoṣitam // RCint_3.55 //	vilipya gomaya-alpa-agnO puwitam tatra Sozitam // RCint-_3.55 //
   tryahaṃ vajribile kṣipto grāsārthī jāyate rasaḥ /	tri-aham vajri-bile kziptaH grAsa-arTI jAyate rasaH /
   grasate gandhahemādi vajrasattvādikaṃ kṣaṇāt // RCint_3.56 //	grasate ganDa-hema-Adi vajra-sattva-Adikam kzaNAt // RCint-_3.56 //
   <mercury:: grāsārthin>	<mercuH-y:: grAsa-arTin>
   mūrchādhyāyoktaṣaḍguṇabalijīrṇaḥ piṣṭikotthitarasaḥ khalve'tyantaṃ	mUrCA-aDyAya-ukta-zaxguNa-bali-jIrNaH pizwikA-utTita-rasaH Kalve-atyantam
   bubhukṣito ghanahemavajrasattvādi tvaritameva grasatītyanyaḥ prakāraḥ /	buBukzitaH Gana-hema-vajra-sattva-Adi tvaritam-eva grasati-iti-anyaH prakAraH /
   etatprakriyādvayamapi kṛtvā vyavaharantyanye // RCint_3.57 //	etad-prakriyA-dvayam-api kRtvA vyavaharanti-anye // RCint-_3.57 //
   <mercury:: grāsārthin>	<mercuH-y:: grAsa-arTin>
   satutthaṭaṅkaṇasvarjipaṭutāmre tryahoṣitam /	sa-tutTa-waFkaNa-svarji-pawu-tAmre tri-aha-uzitam /
   kāñjikaṃ bhāvitaṃ tena gandhādyaṃ kṣarati kṣaṇāt // RCint_3.58 //	kAQjikam BAvitam tena ganDa-Adyam kzarati kzaNAt // RCint-_3.58 //
   viḍe sakāñjike kṣipto rasaḥ syād grāsalālasaḥ /	vixe sa-kAQjike kziptaH rasaH syAt grAsa-lAlasaH /
   grasate sarvalohāni sarvasattvāni vajrakam // RCint_3.59 //	grasate sarva-lohAni sarva-sattvAni vajrakam // RCint-_3.59 //
   <viḍa:: vaḍavānala>	<vixa:: vaxavAnala>
   śaṅkhacūrṇaṃ ravikṣīrairātape bhāvayeddinam /	SaFKa-cUrNam ravi-kzIrEH-Atape BAvayet-dinam /
   tadvajjambīrajadrāvair dinaikaṃ dhūmasārakam // RCint_3.60 //	tadvat-jambIra-ja-drAvEH dina-ekam DUmasArakam // RCint-_3.60 //
   sauvarcalamajāmūtrair bhāvyaṃ yāmacatuṣṭayam /	sOvarcalam-ajA-mUtrEH BAvyam yAma-catuzwayam /
   kaṇṭakārīṃ ca saṃkvāthya dinaikaṃ naramūtrakaiḥ // RCint_3.61 //	kaNwakArIm ca saMkvATya dina-ekam nara-mUtrakEH // RCint-_3.61 //
   svarjikṣāraṃ tintiḍīkaṃ kāsīsaṃ tu śilājatu /	svarjikzAram tintixIkam kAsIsam tu SilAjatu /
   jambīrotthadravair bhāvyaṃ pṛthagyāmacatuṣṭayam // RCint_3.62 //	jambIra-utTa-dravEH BAvyam pRTak-yAma-catuzwayam // RCint-_3.62 //
   nistuṣaṃ jayapālaṃ ca mūlakānāṃ dravairdinam /	nistuzam jayapAlam ca mUlakAnAm dravEH-dinam /
   saindhavaṃ ṭaṅkaṇaṃ guñjāṃ dinaṃ śigrujaṭāmbhasā // RCint_3.63 //	sEnDavam waFkaNam guQjAm dinam Sigru-jawA-amBasA // RCint-_3.63 //
   etatsarvaṃ samāṃśaṃ tu mardyaṃ jambīrajadravaiḥ /	etat-sarvam sama-aMSam tu mardyam jambIra-ja-dravEH /
   tadgolaṃ rakṣayedyatnād viḍo'yaṃ vaḍavānalaḥ // RCint_3.64 //	tad-golam rakzayet-yatnAt vixaH-ayam vaxavAnalaH // RCint-_3.64 //
   anena marditaḥ sūtaḥ saṃsthitas taptakhalvake /	anena marditaH sUtaH saMsTitaH taptaKalvake /
   svarṇādisarvalohāni sattvāni grasate kṣaṇāt // RCint_3.65 //	svarNa-Adi-sarva-lohAni sattvAni grasate kzaNAt // RCint-_3.65 //
   <viḍa:: anonymous:: production>	<vixa:: anonymous:: productiA-Un>
   mūlakārdrakavahnīnāṃ kṣāraṃ gomūtragālitam /	mUlaka-Ardraka-vahnInAm kzAram go-mUtra-gAlitam /
   vastrapūto dravo grāhyo gandhakaṃ tena bhāvayet /	vastra-pUtaH dravaH grAhyaH ganDakam tena BAvayet /
   śatavāraṃ khare gharme viḍo'yaṃ hemajāraṇe // RCint_3.66 //	Sata-vAram Kare Garme vixaH-ayam hema-jAraNe // RCint-_3.66 //
   <viḍa:: anonymous:: production>	<vixa:: anonymous:: productiA-Un>
   mūlakārdrakacitrāṇāṃ kṣārair gomūtragālitaiḥ /	mUlaka-Ardraka-citrANAm kzArEH go-mUtra-gAlitEH /
   gandhakaḥ śataśo bhāvyo viḍo'yaṃ jāraṇe mataḥ // RCint_3.67 //	ganDakaH SataSas BAvyaH vixaH-ayam jAraNe mataH // RCint-_3.67 //
   <viḍa:: anonymous:: production>	<vixa:: anonymous:: productiA-Un>
   vāstūkairaṇḍakadalīdevadālīpunarnavāḥ /	vAstUka-eraNxa-kadalI-devadAlI-punarnavAH /
   vāsāpalāśaniculatilakāñcanamokṣakāḥ // RCint_3.68 //	vAsA-palASa-nicula-tila-kAQcana-mokzakAH // RCint-_3.68 //
   sarvāṅgaṃ khaṇḍaśaśchinnaṃ nātiśuṣkaṃ śilātale /	sarva-aFgam KaNxaSas-Cinnam na-ati-Suzkam SilA-tale /
   dagdhaṃ kāṇḍaṃ tilānāṃ ca pañcāṅgaṃ mūlakasya ca // RCint_3.69 //	dagDam kANxam tilAnAm ca paQcAFgam mUlakasya ca // RCint-_3.69 //
   plāvayenmūtravargeṇa jalaṃ tasmātparisrutam /	plAvayet-mUtravargeNa jalam tasmAt-parisrutam /
   lohapātre pacedyantre haṃsapākāgnimānavit // RCint_3.70 //	loha-pAtre pacet-yantre haMsapAka-agni-mAna-vid // RCint-_3.70 //
   bāṣpāṇāṃ budbudānāṃ ca bahūnāmudgamo yadā /	bAzpANAm budbudAnAm ca bahUnAm-udgamaH yadA /
   tadā kāsīsasaurāṣṭrīkṣāratrayakaṭutrayam // RCint_3.71 //	tadA kAsIsa-sOrAzwrI-kzAratraya-kawutrayam // RCint-_3.71 //
   gandhakaśca sito hiṅgu lavaṇāni ca ṣaṭ tathā /	ganDakaH-ca sitaH hiFgu lavaNAni ca zaw taTA /
   eṣāṃ cūrṇaṃ kṣipeddevi lohasampuṭamadhyataḥ // RCint_3.72 //	ezAm cUrNam kzipet-devi loha-sampuwa-maDyatas // RCint-_3.72 //
   saptāhaṃ bhūgataṃ paścāddhāryas tu pracuro viḍaḥ /	sapta-aham BU-gatam paScAt-hAryaH tu pracuraH vixaH /
   atra sakalakṣāraiś ca sāmyaṃ tilakāṇḍānāṃ nityanāthapādā likhanti /	atra sakala-kzArEH ca sAmyam tila-kANxAnAm nitya-nATa-pAdAH liKanti /
   <haṃsapākayantra>	<haMsapAkayantra>
   kharparaṃ sikatāpūrṇaṃ kṛtvā tasyopari kṣipet /	Karparam sikatA-pUrNam kRtvA tasya-upari kzipet /
   tulyaṃ ca kharparaṃ tatra śanairmṛdvagninā pacet // RCint_3.73 //	tulyam ca Karparam tatra SanEs-mRdu-agninA pacet // RCint-_3.73 //
   pañcakṣārais tathā mūtrair lavaṇaṃ ca viḍaṃ tathā /	paQca-kzArEH taTA mUtrEH lavaNam ca vixam taTA /
   haṃsapākaṃ samākhyātaṃ yantraṃ tadvārttikottamaiḥ // RCint_3.74 //	haMsapAkam samAKyAtam yantram tad-vArttika-uttamEH // RCint-_3.74 //
   <viḍa:: anonymous:: production>	<vixa:: anonymous:: productiA-Un>
   gomūtrairgandhakaṃ gharme śatavāraṃ vibhāvayet /	go-mUtrEH-ganDakam Garme Sata-vAram viBAvayet /
   śigrumūladravais tadvaddagdhaṃ śaṅkhaṃ vibhāvayet // RCint_3.75 //	Sigru-mUla-dravEH tadvat-dagDam SaFKam viBAvayet // RCint-_3.75 //
   etadgandhakaśaṅkhābhyāṃ samāṃśair viḍasaindhavaiḥ /	etat-ganDaka-SaFKAByAm sama-aMSEH vixa-sEnDavEH /
   etair vimarditaḥ sūto grasate sarvalohakam // RCint_3.76 //	etEH vimarditaH sUtaH grasate sarva-lohakam // RCint-_3.76 //
   <viḍa:: anonymous:: production>	<vixa:: anonymous:: productiA-Un>
   bhāvayennimbukakṣāraṃ devadālīphaladravaiḥ /	BAvayet-nimbuka-kzAram devadAlI-Pala-dravEH /
