   atha trayoviṃśaṃ pūraṇam	aTa trayoviMSam pUraNam
   gokula kumudākṣīṇāṃ	go kula   kumuda akzINAm
   kumudvatīnāṃ tadā tathā kumudām |	kumudvatInAm tadA taTA kumudAm |
   akuruta kumad ādhīśaḥ	akuruta kumad a aDISaH
   sa tadā śatadhā parām sumudām ||JGc_1,23.31|| [āryā]	sa tadA SataDA parAm su mudAm ||Ju c_1,23.31|| [AryA]
   tadā ca 	tadA ca 
   śuśrūṣantyaḥ patīn kāścin niruddhāh prasthitiṃ prati |	SuSrUzantyaH patIn kAScid nirudDAm prasTitim prati |
   kṛṣṇaṃ tatraiva tāh prapur ity evaṃ muni jalptam ||JGc_1,23.32||	kRzNam tatra eva tAm prapuH iti evam muni  jalptam ||JGc_1,23.32||
   [anuṣṭubh]	[anuzwuB]
   [37] ātra ca ṣnigdhakaṇṭhenāntaś cintitam, tā etāh khalu	[37] Atra ca znigDa kaNWena antar cintitam, tAH etAh Kalu
   pādmottarakhaṇḍa dṛṣṭa daṇḍakāraṇya gata muni varyatayā sādhaka caryas	pAdma uttara KaNxa  dRzwa  daNxaka araNya  gata  muni varya tayA sADaka  caryas
   tadānim api lakṣmī varyāṇāṃ rādhikādi nitya tad bhāryāṇāṃ sva kāmyaṃ	tadAnim api lakzmI  varyANAm rADikA Adi  nitya  tad  BAryANAm sva  kAmyam
   sukāmyaṃ sāmyam anavāptā yathā tad avāpya śrī kṛṣṇam avāptās tathā varṇyam	su kAmyam sAmyam anavAptA yaTA tat avApya SrI kRzNam avAptAH taTA varNyam
   iti sthite 	iti sTite 
   tam eva paramātmānaṃ jāra buddhyāpi saṅgatāh|	tam eva paramAtmAnam jAra budDyA api saFgatAh|
   jahur guṇa mayaṃ dehaṃ sadyaḥ prakṣīṇa bandhanāh ||[BhP 10.29.11]	jahuH guNa mayam deham sadyas prakzINa  banDanAh ||[Bhj 10.29.11]
   ity eva pratipattaye kalpate |	iti eva pratipattaye kalpate |
   [38] uktaṃ ca pādmottara khaṇḍa [272.167] eva 	[38] uktam ca pAdma uttara   KaNxaH [272.167] eva 
   te sarve strītvam āpannāh samudbhūtāś ca gokule |	te sarve strI tvam ApannAh samudBUtAH ca gokule |
   hariṃ samprāpya kāmena tato muktā bhavārṇavāt ||iti |	harim samprApya kAmena tatas muktAH Bava arNavAt || iti |
   [39] kintu, nāsūyan khalu kṛṣṇaya [BhP 10.33.37] ity ukta diśā tadīyās tu	[39] kintu, na asUyan Kalu kRzNayaH [Bhj 10.33.37] iti ukta diSA tadIyAH tu
   na tad ūhitum īśāmāsur iti jñeyam | yac ca jighāmsayāpi haraye stanaṃ	na tat Uhitum ISAmAsuH iti jQeyam | yat ca jiGAmsayA api haraye stanam
   dattvāpi sad gatim [BhP 10.6.35] ity asya sadṛśena tam eva paramātmānaṃ	dattvA api sat  gatim [Bhj 10.6.35] iti asya sadRSena tam eva paramAtmAnam
   jāra buddhyāpi ity ādinā sādhanasya nikarṣa rūpam aper abhidheyaṃ phalasya	jAra budDyA api iti AdinA sADanasya nikarza  rUpam apeH aBiDeyam Palasya
   tu sarvottama rūpatvaṃ pratipadyate |	tu sarva uttama  rUpa tvam pratipadyate |
   [40] tac ca yuktaṃ, yataḥ 	[40] tat ca yuktan, yatas  
   tāsāṃ kṛṣṇaḥ parātmā na tu paraiti na prāpnuyāj jāratāṃ tat	tAsAm kRzNaH para AtmA na tu parEti na prApnuyAt jAratAm tat 
   prānte prāptaḥ patitvaṃ dadad ucita matiṃ jāram atyāpi vittaḥ|	prAnte prAptaH pati tvam dadat ucita  matim jAram atyApi vittaH|
   yadvad bakyāṃ jighāṃsāv api samucitam atyarpaṇāl lālya bhāvaṃ	yadvat bakyAm jiGAMsO api samucitam atyarpaNAt lAlya BAvam
   lebhe dhātrī nibhāyāṃ sthiratamam iha yad yuktitas tat phalaṃ hi	leBe DAtrI  niBAyAm sTiratamam iha yat yuktitaH tat Palam hi
   ||JGc_1,23.33|| [sragdharā]	||JGc_1,23.33|| [sragDarA]
   [41] tathāpi 	[41] taTA api 
   uktaṃ purastād etat te caidyaḥ siddhiṃ yathāgataḥ |	uktam purastAt etat te cEdyaH sidDim yaTAgataH |
   dviṣann api hṛṣīkeśaṃ kim utādhokṣaja priyāh ||[BhP 10.29.13]	dvizan api hRzIkeSam kim uta aDokza ja  priyAh ||[Bhj 10.29.13]
   ity anusārātā premāmṣena tu tāsāṃ mahad eva vailakṣaṇyam anugatam |	iti anusArAtA prema Amzena tu tAsAm mahat eva vElakzaNyam anugatam |
   [42] ṇa ca nitya kāntāsv api prakaṭa līlāyāṃ jāra buddhir dṛśyata iti	[42] Na ca nitya kAntAsu api prakawa  lIlAyAm jAra budDiH dRSyate iti
   tasyāh ślāghaiva vācyā | yataḥ 	tasyAh SlAGA eva vAcyA | yatas  
   yā nityā eva kāntā danuja kula ripo rādhikādyā na tāsām	yA nityAH eva kAntA danuja  kula ripaH rADikA AdyAH na tAsAm
   ślāghāṃ sā jāratā dhī saciva janir iyāt kintu rāgaḥ sa nityaḥ |	SlAGAm sA jArata A DI  saciva janiH iyAt kintu rAgaH sa nityaH |
   tāṃ bhittvā vighna kartrīṃ druta muditavatā tena taṃ nitya kāntaṃ	tAm BittvA viGna kartrIm druta m uditavatA tena tam nitya kAntam
   prāpus tā nāparāsām iva vapur aparaṃ sa pratīkṣeta tāsām ||JGc_1,23.34||	prApuH tAH na aparAsAm iva vapuH aparam sa pratIkzeta tAsAm ||JGc_1,23.34||
   [sragdharā] iti |	[sraj DarA] iti |
   [43] tad etad vicintya sphuṭaṃ proce, tatas tataḥ ?	[43] tat etat vicintya sPuwam proce, tatas tatas ?
   [44] madhukaṇṭha uvāca abhiṣrtavatīnāṃ viśeṣo yathā 	[44] maDu kaNWaH uvAca  aBizrtavatInAm viSezaH yaTA 
   śrute murali kākale nija nijāhvaya prāpake	Srute murali kAkale nija  nija Ahvaya  prApake
   samaṃ vraja nata bhruvaḥ sapadi phulla dehā babhuḥ |	samam vraja nata  BruvaH sapadi Pulla dehAH baBuH |
   anaṅgam api vardhitaṃ vihitavān aho yas tadā	anaFgam api varDitam vihitavAn aho yaH tadA
   kathaṃ na kila vardhayen nija kalā balenāṅganāh ? ||JGc_1,23.35|| [pṛthvī]	kaTam na kila varDayet nija  kalA  balena aFganAh ? ||JGc_1,23.35|| [pRTvI]
   [45] kiṃ ca,	[45] kim ca,
   satvara prasāravattva sattva dhāma hāyinī	sa tvara  prasAra vat tva  sattva  DAma  hAyinI
   sarva gurv ahārya kūṭa vāraṇatiyāyinī |	sarva  guru  ahArya  kUwa  vAraNa tiyAyinI |
   nātham ekam anv aneka dāra sampad arpiṇī	nATam ekam anu aneka  dAra  sampad  arpiNI
   ogha mogham anv ananta bhakta loka tarpiṇī ||a||	oGa  moGam anu ananta  Bakta  loka  tarpiNI ||a||
   lola keśa śaivalāñci karṇa pūra cakriṇī	lola keSa  SEva lAQci  karNa  pUra cakriNI
   puṣpa jāta niṣprapāta śubhra pheṇa cakriṇī |	puzpa  jAta  nizprapAta   SuBra PeNa  cakriNI |
   ucchalan navīna mīna netra nīra gātriṇī	ucCalan  navIna mIna  netra  nIra gAtriNI
   agrimādhva mātra pātra sammukhānuyātriṇī ||b||	agrima aDva  mAtra  pAtra  sammuKa anuyAtriNI ||b||
   manda cāla bāhu nāla pāṇi padma sālinī	manda cAla bAhu  nAla  pANi  padma sAlinI
   accha bāla kacchapāṅga vatsa janma jālinī |	acCa bAla  kacCa pAFga vatsa  janma  jAlinI |
   jūti dhūti kṛt kuṭīra tīra dhīra gāminī	jUti DUti  kRt  kuwIra tIra DIra  gAminI
   ūru bhūruhāli pāta samprapāta kāminī ||c||	Uru BUruha ali pAta  samprapAta  kAminI ||c||
   kāñci kāñci kaṅkaṇādi śiñjad ambha sañjinī	kAQci  kAQci  kaFkaNa Adi SiQjat  amBa  saQjinI
   prāyaśas tu haṃsa saṅgha śṣabditānurañjinī |	prAyaSas tu haMsa  saFGa  Szabdita anuraQjinI |
   tūrṇa tūrṇa ghūrṇanādi saṅkulāṅga nartinī	tUrNa  tUrNa  GUrNana Adi  saFkula aFga  nartinI
   pūrṇa pūrṇa bhāva gūrṇa jāḍya jāta vartinī ||d||	pUrNa  pUrNa BAva  gUrNa  jAxya  jAta  vartinI ||d||
   veśa vastra sanniveśa cañcalatva bhaṅginī	veSa  vastra sanniveSa  caQcala tva  BaFginI
   tat tad artha vaiparītya kāri vega saṅginī |	tat  tad  arTa  vEparItya  kAri vega  saFginI |
   yan nimittam ātma sarva saṅga bhaṅga bhāvinī	yan  nimittam Atma  sarva  saFga BaFga  BAvinI
   yatra sarva nāma rūpa vismrtiś ca bhāvinī ||e||	yatra sarva nAma  ru upa vismrtiH ca BAvinI ||e||
   śyāma dhāma suṣṭhu rāmam etam atra sad dhavam	SyAma  DAma  suzWu rAmam etam atra sad Davam
   sindhu tulyam uttaraṅgad aṅgam āśu mādhavam |	sinDu  tulyam uttaraFgad aFgam ASu mADavam |
   pūrva pūrva bhinnayātir uttarāpta saṅgatiḥ	pUrva  pUrva Binna yAtiH uttara Apta  saFgatiH
   āpagāli sammitāpa seyam āli saṃhatiḥ ||f|| ||JGc_1,23.36|| [tūṇaka]	ApagAli  sammitA apa sA iyam Ali  saMhatiH ||f|| ||JGc_1,23.36|| [tUNaka]
   [45] tās tatra ca 	[45] tAH tatra ca 
   śubhaṃyu vana mañjule savitṛjā rucā saṅkule	SuBaMyu vana  maQjule savitR jA rucA saFkule
   prasūna gaṇa rājite bhramara kokila bhrājite |	prasUna  gaNa  rAjite Bramara  kokila  BrAjite |
   sugandha marud añcite kumuda bandhu śobhācite	suganDa  marut  aQcite kumuda  banDu SoBA Acite
   samasta guṇa niścite nidhitayā ciraṃ sañcite ||JGc_1,23.37|| [pṛthvī]	samasta guNa  niScite niDi tayA ciram saQcite ||JGc_1,23.37|| [pRTvI]
   sthale maṇija catvaraṃ samadhiruhya taṃ satvaraṃ	sTale maNija  catvaram samaDiruhya tam sa tvaram
   vicitra muralī kalaṃ viracayantam udyat kalam |	vicitra  muralI kalam viracayantam udyat  kalam |
   ghanāghana ghana śriyaṃ taḍīd abhīṣu vastra priyaṃ	GanAGana Gana Sriyam taxId a BIzu  vastra priyam
   maṇi dyuti vikasvaraṃ dadṛśur aṅgi divya smaram ||JGc_1,23.38|| [pṛthvī]	maNi  dyuti vikasvaram dadRSuH aFgi divi a  smaram ||JGc_1,23.38|| [pRTvI]
   (yugmakam)	(yugmakam)
   nirmāya kṛṣṇam abhitaḥ sthitim atra gaurī 	nirmAya kRzNam aBitas sTitim atra gOrI 
   paṅktis tadā tam avalambitum utka cittā |	paFktiH tadA tam avalambitum utka cittAH |
   madhye tamālam upalabhya suvarṇa varṇa 	maDye tamAlam upalaBya suvarNa varNa 
   vallī tatir vilasatīti kila vyaloki ||JGc_1,23.39|| [vasantatilakā]	vallI  tatiH vilasati iti kila vyaloki ||Ju c_1,23.39|| [vasanta tilakA]
   atha 	aTa 
   vaṃśī dūtikayā nimantrya kalitāh saurabhya dhārā sakhī	vaMSI dUtikayA nimantrya kalitAh sOraBya  DArA  saKI
   saṅghaiḥ sādrti bhūri dūra saraṇer ānāyitāh subhruvaḥ |	saFGEH sAdrti BUri dUra saraNeH AnAyitAh suBruvaH |
   prāptāh svāntikam ātma rocir amṛtāny apy āśitāh preyasā	prAptAh svAntikam Atma  rociH amRtAni api ASitAh preyasA
   ṭrptiṃ naiva yayur na vā viramitaṃ tad dāna karmāmunā ||JGc_1,23.40||	wrptim na eva yayuH na vA viramitam tat  dAna  karma amunA ||JGc_1,23.40||
   [śārdūla]	[SArdUla]
   pratyuta 	pratyuta 
   navyāh kalādharāh śubhrā bhrāji nakṣatra mālikāh |	navyAh kalA DarAh SuBrAH BrAji nakzatra mAlikAh |
   arāla locanāh kṛṣṇa cakoraṃ ṭrsṇa jaṃ vyadhuḥ ||JGc_1,23.41|| [anuṣṭubh]	arAla  locanAh kRzNa  cakoram wrsNa jam vyaDuH ||JGc_1,23.41|| [anuzwuB]
   [46] atha kṛṣṇas tatra sa tṛṣṇam acintayat aho ! nava tāruṇyasya	[46] aTa kRzNaH tatra sa tRzNam acintayat ahaH ! nava tAruNyasya
   puṇya sampada etā, vara lāvaṇyasya mat kretavya navya paṇya śreṇyas	puNya  sampadaH etA, vara  lAvaNyasya mat  kreta vya navya  paNya  SreNya H 
   trilokī lakṣmyāś cūḍāmaṇayaḥ, sphuran manmathasya jīvanauṣadhayaḥ	trilokI  lakzmyAH cUxAmaNayaH, sPuran  manmaTasya jIvana ozaDayaH
   kumudāyamāna madīya locanayor navīnāś candra kalāh sahāvatīrya ruciṃ	kumudAyamAna   madIya  locanayoH navInAH candra kalAh saha avatIrya rucim
   vitīrya virājante |	vitIrya virAjante |
   [47] tad evaṃ sthite 	[47] tat evam sTite 
   kṛṣṇāpāṅga śaraḥ sāṅgaṃ bhittvāpāṅga śaraṃ mama |	kRzNa apAFga SaraH sAFgam BittvA apAFga  Saram mama |
   manorathinam udbhettuṃ kila prāviśad antaram ||JGc_1,23.42|| [anuṣṭubh]	manoraTinam udBettum kila prAviSat antaram ||Ju c_1,23.42|| [anuzwuB]
   iti tāh pratyekaṃ pratyetavyaṃ cakruḥ |	iti tAh pratyekam pratyetavyam cakruH |
   [48] vastutas tu hares tāsu sarvāsu latāsv iva dvitra lava sevana pūrvakam	[48] vastutas tu hareH tAsu sarvAsu latAsu iva dvi tra lava  sevana  pUrvakam
   apūrvatayābhraman netra bhramara yugalaṃ kamalinyām iva rādhāyām nirbādhām	apUrva tayA aBra man  netra  Bramara  yugalam kamalinyAm iva rADAyAm nirbADAm
   sthitim ātasthe |	sTitim AtasTe |
   [49] āsthitavatīti ca tatredaṃ sa tu vicārayāmāsa 	[49] AsTitavatI iti ca tatra idam sa tu vicArayAmAsa 
   śobhāyāh śubhadā śobhā ramāyāh paramā ramā |	SoBAyAh SuBa dA SoBA ramAyAh paramA ramAH |
   seyaṃ mal locanasyāpi rādhikā cāru locanam ||JGc_1,23.43|| [anuṣṭubh]	sA iyam mal locanasya api rADikA  cAru  locanam ||Ju c_1,23.43|| [anuzwuB]
   [50] tad evaṃ sati sā ca tadīya tādṛśa dṛśaḥ sparṣataḥ	[50] tat evam sati sA ca tadIya tAdRSa dRSaH sparzataH
   kampa sampad unmīlana rasa prasara vaśatayā kṣobhaṃ labhamānāpi taṃ prati	kampa  sampad unmIlana  rasa  prasara  vaSa tayA kzoBam laBamAnA api tam prati
   prahita lobhāṃ śobhām uvāha |	prahita  loBAm SoBAm uvAha |
   [51] ātra ca praśnottara mayaṃ padyam:	[51] Atra ca praSna uttara  mayam padyam:
   smerayoḥ prati vidhūdyad asrayo	smerayoH prati viDu udya t  asrayaH 
   rādhikā nayanayos tulāṃvada |	rADikA nayanayoH tulAMvada |
   śāradaṃ vikaca mecakotpalaṃ	SAradam vikaca mecaka utpalam
   yan maranda jhara moci tat kim u? ||JGc_1,23.44|| [rathoddhatā]	yat maranda Jara moci tat kim u? ||Ju c_1,23.44|| [raTa udDatA]
   [52] tad evaṃ sthite tāḥ puraḥ sthitā yadyapy	[52] tat evam sTite tAH puras  sTitAH yadi api 
   anavadya saṃvanana pravīṇa veṇu vidyā maditā lajjām ujjahati sma, tathāpy	anavadya  saMvanana  pravINa  veNu vidyA  maditA lajjAm ujjahati sma, taTA api 
   avitathābhijātyatayā namratā kamrā muni vratam evānuvavṛtire |	avitaTa aBijAtya tayA namra tA  kamrAH muni vratam eva anuvavRtire |
   [53] śrī kṛṣṇas tu yadā viśīṣṭa lalanā madhyam adhyāvasann evam	[53] SrI  kRzNaH tu yadA viSIzwa  lalanA  maDyam aDyAvasan evam
   adyotiṣṭha, tadā	adya utizWa, tadA
   tāsāṃ parama durlabha parimala mātrāṇām api	tAsAm para ma  durlaBa  parimala  mAtrANAm api
   vaiṇava madhura gīta madhu maditatayā svayam eva kṛtābhiyātrāṇām āgatiṃ	vENava  maDura  gIta  maDu  madita tayA svayam eva kRta aBiyAtrANAm Agatim
   dṛśoḥ pathi nirmāya, sa narma smitas tad vidhām buddhim upadhayā	dRSoH paTi nirmAya, sa narma  smitaH tat  viDAm budDim upaDayA
   labdha śuddhim avadhārayann iva tan mukhād	labDa  SudDim avaDArayan iva tan  muKAt 
   unmukhānurāga jāgarūka vāg amṛtam āsvādayitum, tāsu ca samutsukatām	unmuKa anurAga  jAgarUka  vAc  amRtam AsvAdayitum, tAsu ca samutsuka tAm
   āsādayituṃ, nijāntika sthiti yācñā garbheṇa sphurad upekṣā sandarbheṇa	AsAdayituM, nija antika  sTiti yAcQA  garBeNa sPurat  upekzA  sandarBeNa
   vacasā tāh kṣobhayāmāsa | yathā 	vacasA tAh kzoBayAmAsa | yaTA 
   mahābhāgā yuṣman milanam abhavan naḥ śubha kṛte	mahABAgAH yuzman milanam aBavat naH SuBa kRte
   tataḥ pṛcchāmy atrāgamanam idam avyāhatam iti |	tatas pRcCAmi atra Agamanam idam avyAhatam iti |
   tad etāvat kleśād abhigamanataḥ saṅkucita dhīḥ	tat etAvat  kleSAt aBigamanataH saFkucita DIH
   sa bhūyaḥ sampṛcche bhavad abhimataṃ kiṃ nu karavai? ||JGc_1,23.45||	sa BUyas sampRcCe Bavat  aBimatam kim nu karavE? ||JGc_1,23.45||
   [śikhariṇī]	[SiKariNI]
   [54] tad evam atrādara jñāpanayā jñātvāpy ajñāna vijñāpanayā ca	[54] tat evam atra Adara  jQApanayA jQAtvA api ajQAna vijQApanayA ca
   sveṣūpekṣāpekṣayor ekataratayā tad abhiprāyaṃ prāyaśo boddhum asamarthāsu	svezu upekza apekzayoH ekatara tayA tad  aBiprAyam prAyaSas bodDum asamarTAsu
   tāsu tata evānabhivyakta kiñcid arthāsu punaḥ sa narma ca tathā vācaṃ	tAsu tatas eva anaBivyakta kiQcid arTAsu punar sa narma ca taTA vAcam
   prāha 	prAha 
   pṛcchato' pi purato mama bhavyaṃ	pRcCataH a pi puratas mama Bavyam
   maunam eva kurutha pratigīr yat |	mOnam eva kuruTa pratigIH yat |
   tad bhavad vraja gṛhe gṛha bhājāṃ	tad  Bavat  vraja  gRhe gRha BAjAm
   kiṃ nirāmayam atha pratibhāti? ||JGc_1,23.46|| [svāgatā]	kim nirAmayam aTa pratiBAti? ||JGc_1,23.46|| [svAgatA]
   [55] tataś ca mithaḥ sa smita nirīkṣitāsu tāsu punar uvāca 	[55] tatas ca miTas sa smita  nirIkzitAsu tAsu punar uvAca 
   tad idaṃ durabhiprāyaṃ	tat idam duraBiprAyam
   boddhuṃ bahvadīyam asmi na samarthaḥ |	bodDum bahvadIyam asmi na samarTaH |
   svayam iha yūyaṃ tasmāt	svayam iha yUyam tasmAt 
   kathayata saṅkocam uddhūya ||JGc_1,23.47||	kaTayata saFkocam udDUya ||JGc_1,23.47||
   [56] punar atīva saṅkacatīr nirīkṣya yojanāviśeṣa śleṣamayatayāpi tathā	[56] punar atIva saFkacatIH nirIkzya yojanA viSeza  Sleza maya tayA api taTA
   prathayāmāsa 	praTayAmAsa 
   atha na bhavati kāryaṃ brūtha tan neti buddhaṃ	aTa na Bavati kAryam brUTa tat na iti budDam
   vrajam anu cala cittā yāta nādhvaṃ mayātra |	vrajam anu cala  cittA yAta na aDvam mayA atra |
   vanam idam aitghoraṃ rātrir atrātighorā	vanam idam EtGoram rAtriH atra ati GorA
   svayam atiśayi ghora prāṇi vṛndaiḥ parītāḥ ||JGc_1,23.48||	svayam atiSayi  Ga ura  prANi vRndEH parItAH ||JGc_1,23.48||
   [57] atra nādhvam iti na yāteti vā yojanā | punas tad eva śleṣayituṃ	[57] atra na aDvam iti na yAtA iti vA yojanA | punar tat eva Slezayitum
   sopāna viśeṣaṃ cakāra na cedṛśī svairatā bhavādṛśīnāṃ sadṛśī bhavati yataḥ	sopAna  viSezam cakAra na ca IdRSI svEra tA BavAdRSInAm sadRSI Bavati yatas 
   mātāpitara pramukhāḥ sahajāḥ patayaś ca vaḥ santi iti |	mAtA pitara  pramuKAH sahajAH patayaH ca vaH santi iti |
   [58] punaḥ sa hāsam āha sma śrūyante' pi tanūjāḥ iti |	[58] punar sa hAsam Aha sma SrUyante a pi tanU jAH iti |
   [59] atra kathakaś	[59] atra kaTakaH 
   cintayāmāsa vṛndā paurṇamāsī saṃvāda gata siddhāntānusāri dhiyā 	cintayAmAsa  vRndA  pOrNamAsI  saMvAda  gata  sidDAnta anusAri  DiyA 
   siṣeva ātmany avaruddha saurataḥ	sizA iva Atmani avarudDa  sOrataH
   sarvāḥ śarat kāvya kathā rasāśrayāḥ [BhP 10.33.25]	sarvAH Sarat ka avya  kaTA  rasa ASrayAH [Bhj 10.33.25]
   ity anena pratipannasya tatrakīya rasasyālambana vairūpyād	iti anena pratipannasya tatrakIya  rasasya Alambana  vErUpyAt 
   vairasyāpannatā bhiyā ca tad idaṃ parihasitam eveti vidvan matatayā	vErasya ApannatA BiyA ca tat idam parihasitam eva iti vidvan mata tayA
   vyaktīkariṣyāmi iti |	vyaktIkarizyAmi iti |
   [60] atha tad eva spaṣṭam ācaṣṭa [61] tad evaṃ tābhiḥ saha rantuṃ	[60] aTa tat eva spazwam Acazwa [61] tat evam tABiH saha rantum
   kṛta vaṃśī dhvaniḥ sa tu sarasānāṃ śiromaṇir yadyapḸ tāsām utpattita eva	kRta vaMSI  DvaniH sa tu sarasAnAm SiromaNiH yadi apḸ tAsAm utpattitaH eva
   sva mātra sātkṛta pati bhāvānām anyatra patir iti pratītir	sva mAtra sAt kRta pati BAvAnAm anyatra patiH iti pratItiH 
   loka saṃvadana vaśaṃvadatā mātra mayī kevala sva saṅgama kāmanā vrataś	loka  saMvadana  vaSaMvadatA  mAtra  mayI kevala  sva  saFgama  kAmanA vrata S
   cāparāṅga saṅgama rūpa virūpatā nirjayīti viśadam arthaṃ tāsu	ca apara aFga  saFga ma rUpa virUpa tA  nirjayI iti viSadam arTam tAsu
   svīya kāntā bhāva samutpatty anyathānupapattyā sambhāvitavān |	svIya  kAntA  BAva  samutpatti  anyaTA anupapattyA samBAvitavAn |
   [62] yadyapi ca tāsām ajāta putrāṇām api devaraṃ manya putrādiṣu	[62] yadi api ca tAsAm ajAta putrANAm api devaraM m anya putra Adizu
   putratā vyavahāraḥ kevalaṃ	putra tA  vyavahAraH kevalam
   sannihita bālaka viṣayaka vatsalatā svabhāvākāras tat sambandhābhimānas tu	sannihita  bAlaka vizaya ka vatsa la tA  svaBAva AkAraH tat sambanDa aBimAnaH tu
   bahir evācāra ity āpta vacanān nirdhāritavāṃs tathāpi	bahis eva AcAraH iti Apta vacanAt nirDAritavAn taTA api
   tat tad ullekhana karmaṇā narma mātram ācaritavān | tad ācarya ca	tat tad  ulleKana  karmaNA narma  mAtram AcaritavAn | tat Acarya ca
   tad bandhūnām andhāyamānānām api tad anveṣaṇa nirbandhād bhayaṃ vicārya	tad  banDUnAm anDAyamAnAnAm api tad  anvezaNa  nirbanDAt Bayam vicArya
   sāmarṣam iva vivakṣitam uvāca katham iha tat tad bhayaṃ kurutha iti | atra	sa amarzam iva vivakzitam uvAca  kaTam iha tat tat  Bayam kuruTaH iti | atra
   ca ṣaṣṭhī pañcamī vā samasyate |	ca zazWI paQcamI vA samasyate |
   [63] kiṃ cātra khaṇḍam akhaṇḍaṃ ca padyaṃ yathāyatham anūḍhā ūḍhābhāsāś ca	[63] kim ca atra KaNxam aKaNxam ca padyam yaTAyaTam anUXAH UXa ABAsAH ca
   tā dṛṣṭvācaṣṭeti gamyate | tatrānūḍhāḥ prati sahajā ity antam | ūḍhābhāsāḥ	tAH dRzwvA AcazwA iti gamyate | tatra anUXAH prati sahajAH iti antam | UXa ABAsAH
   pratiśrūyante' pi tanūjā ity antam | akhaṇḍaṃ tu sarvāḥ pratīti jñeyam |	pratiSrUyante a pi tanUjAH iti antam | aKaNxam tu sarvAH prati iti jQeyam |
   [64] punaś cārtha dhvani saṃvalanayā cittam āndolayāmāsa 	[64] punar ca arTa Dvani  saMvalanayA cittam AndolayAmAsa 
   dṛṣṭaṃ yad vanam aty apūrva kusumair divyartunā pūjitaṃ	dRzwam yat  vanam ati apUrva  kusumEH divya RtunA pUjitam
   dyotaiś carcitam indunā yamunayā cātmānilair nartitam |	dyotEH carcitam indunA yamunayA ca Atma anilEH nartitam |
   sāmagrīyam udeti deva nicitāsmākaṃ vihāra krame	sAmagrIyam udeti deva  nicitA asmAkam vihAra  krame
   tasmād etad abhāvatas tu va iha stavyā na vāstavyatā ||JGc_1,23.49||	tasmAt etat aBAvataH tu vaH iha stavyAH na vAstavyatA ||JGc_1,23.49||
   kintu 	kintu 
   diṣṭenāpte tatra gatvā sva goṣṭhe	dizwena Apte tatra gatvA sva gozWe
   kaṣṭenāpi svīya dharmaṃ kurudhvam |	kazwena api svIya  Darmam kuruDvam |
   patyur bhaktir bāla vatsādi pālya 	patyuH BaktiH bAla vatsa Adi  pAlya 
