   akasmānmṛtyurāyāto Bca_7.8c	akasmAt-mRtyuH-AyAtaH Bca_7.8c
   ākārācārasaṃpannāḥ Bca_10.27c	AkAra-AcAra-saMpannAH Bca_10.27c
   ākāśagarbhe sūtre ca Bca_5.104c	AkASa-garBe sUtre ca Bca_5.104c
   ākāśadhātuprasarāvidhīni Bca_2.5c	AkASa-DAtu-prasara-aviDIni Bca_2.5c
   ākāśasya sthitiryāvad Bca_10.55a	AkASasya sTitiH-yAvat Bca_10.55a
   ākāśasyātmatā matā Bca_9.70d	AkASasya-AtmatA matA Bca_9.70d
   ākāśaṃ tena nāstyaṇuḥ Bca_9.87d	AkASam tena na-asti-aNuH Bca_9.87d
   ākirantu ca pāṃsubhiḥ Bca_3.12d	Akirantu ca pAMsuBiH Bca_3.12d
   āgatyāgatya sugatiṃ Bca_9.157c	Agatya-Agatya sugatim Bca_9.157c
   āgamācca phalaṃ tatra Bca_9.40a	AgamAt-ca Palam tatra Bca_9.40a
   ācāro bodhisattvānām Bca_5.97a	AcAraH boDisattvAnAm Bca_5.97a
   ātmaghātāya mohataḥ Bca_2.29b	Atma-GAtAya mohataH Bca_2.29b
   ātmaghātāya śastravat Bca_8.69b	Atma-GAtAya Sastra-vat Bca_8.69b
   ātmaduḥkhaṃ na nihataṃ Bca_8.106c	Atma-duHKam na nihatam Bca_8.106c
   ātmapramāṇamajñātvā Bca_4.42a	Atma-pramANam-ajQAtvA Bca_4.42a
   ātmabhāvaparityāgaṃ Bca_8.113c	Atma-BAva-parityAgam Bca_8.113c
   ātmabhāvaṃ yathā dīpaḥ Bca_9.18c	Atma-BAvam yaTA dIpaH Bca_9.18c
   ātmabhāvāṃstathā bhogān Bca_3.10a	Atma-BAvAn=-taTA BogAn Bca_3.10a
   ātmamohāttu vardhate Bca_9.78b	Atma-mohAt-tu varDate Bca_9.78b
   ātmavyāmohanodyuktair Bca_8.69c	Atma-vyAmohana-udyuktEH Bca_8.69c
   ātmasattvavaśaṃ nityam Bca_5.57a	Atma-sattva-vaSam nityam Bca_5.57a
   ātmasnehena duḥsaham Bca_8.93d	Atma-snehena duHsaham Bca_8.93d
   ātmā kāmavimohitaiḥ Bca_8.75b	AtmA kAma-vimohitEH Bca_8.75b
   ātmā cet nanvasau dhruvaḥ Bca_9.122b	AtmA ced nanu-asO DruvaH Bca_9.122b
   ātmā tu guṇavānayam Bca_8.145d	AtmA tu guNavAn-ayam Bca_8.145d
   ātmānamaparityajya Bca_8.135a	AtmAnam-aparityajya Bca_8.135a
   ātmānaṃ gopayāmyaham Bca_8.110b	AtmAnam gopayAmi-aham Bca_8.110b
   ātmānaṃ goptumicchasi Bca_8.117b	AtmAnam goptum-icCasi Bca_8.117b
   ātmānaṃ ca parāṃścaiva Bca_8.120a	AtmAnam ca parAn=-ca-eva Bca_8.120a
   ātmānaṃ pīḍayitvā tu Bca_8.126c	AtmAnam pIxayitvA tu Bca_8.126c
   ātmānaṃ bhojayitvaiva Bca_8.116c	AtmAnam BojayitvA-eva Bca_8.116c
   ātmānaṃ mārayantyapi Bca_6.92b	AtmAnam mArayanti-api Bca_6.92b
   ātmārthaṃ paramājñapya Bca_8.128a	Atma-arTam parama-AjQapya Bca_8.128a
   ātmārthaṃ pīḍayitvānyaṃ Bca_8.126a	Atma-arTam pIxayitvA-anyam Bca_8.126a
   ātmārthaṃ prītireva sā Bca_8.25b	Atma-arTam prItiH-eva sA Bca_8.25b
   ātmīkṛtaṃ sarvamidaṃ jagattaiḥ Bca_6.126a	AtmIkRtam sarvam-idam jagat-tEH Bca_6.126a
   ātmīkṛtya samucchrayam Bca_5.60b	AtmIkRtya samucCrayam Bca_5.60b
   ātmīyaṃ na jugupsasi Bca_8.61b	AtmIyam na jugupsasi Bca_8.61b
   ātmotkarṣaḥ parāvarṇaḥ Bca_8.13a	Atma-utkarzaH parAvarNaH Bca_8.13a
   ādāya buddhyā munipuṅgavebhyo Bca_2.6a	AdAya budDyA muni-puFgaveByaH Bca_2.6a
   ādīptakāyasya yathā samantān Bca_6.123a	AdIpta-kAyasya yaTA samantAn Bca_6.123a
   ādau prāptasarāḥ karī Bca_7.65d	AdO prApta-sarAH karI Bca_7.65d
   ādau śākādidāne 'pi Bca_7.25a	AdO SAka-Adi-dAne api Bca_7.25a
   ānukūlyena sevitāḥ Bca_4.33b	AnukUlyena sevitAH Bca_4.33b
   ānupūrvyā yathā sthitāḥ Bca_3.22d	AnupUrvyA yaTA sTitAH Bca_3.22d
   āpadaḥ sukarā nanu Bca_7.53b	ApadaH sukarA nanu Bca_7.53b
   āpadābādhate 'lpāpi Bca_7.52c	Apad-AbADate alpA-api Bca_7.52c
   ābhāsamātraṃ dṛṣṭvā ca Bca_5.36c	ABAsa-mAtram dRzwvA ca Bca_5.36c
   ābhāsvarāndigmukhamaṇḍanāṃstān Bca_2.18b	ABAsvarAn-digmuKa-maNxanAn=-tAn Bca_2.18b
   āyasya cāgamo nāsti Bca_2.40c	Ayasya ca-AgamaH na-asti Bca_2.40c
   āyātāyāta śīghraṃ bhayamapanayata bhrātaro jīvitāḥ smaḥ Bca_10.13a	AyAta-AyAta SIGram Bayam-apanayata BrAtaraH jIvitAH smaH Bca_10.13a
   āyāti tatkutaḥ kutra Bca_9.144c	AyAti tat-kutas kutra Bca_9.144c
   āyāsyantyāpado ghorāḥ Bca_9.166c	AyAsyanti-ApadaH GorAH Bca_9.166c
   āyuṣo vardhate vyayaḥ Bca_2.40b	AyuzaH varDate vyayaH Bca_2.40b
   āyuḥ kṣaṇaṃ visaṃvādi Bca_4.16c	AyuH kzaNam visaMvAdi Bca_4.16c
   ārabhennārabheta vā Bca_7.47b	AraBet-na-AraBeta vA Bca_7.47b
   ārādhanāyādya tathāgatānāṃ Bca_6.125a	ArADanAya-adya taTAgatAnAm Bca_6.125a
   ārogyadivasaṃ cedaṃ Bca_4.16a	Arogya-divasam ca-idam Bca_4.16a
   ārogyaṃ rogiṇāmastu Bca_10.22a	Arogyam rogiNAm-astu Bca_10.22a
   ārtā na sukhinaḥ kṛtāḥ Bca_7.38b	ArtAH na suKinaH kRtAH Bca_7.38b
   āryanāgārjunābaddhaṃ Bca_5.106c	Arya-nAgArjuna-AbadDam Bca_5.106c
   āryamākāśagarbhaṃ ca Bca_2.52a	Aryam-AkASa-garBam ca Bca_2.52a
   āryāvalokiteśvarakaragalitakṣīradhārābhiḥ Bca_10.18/b	Arya-avalokita-ISvara-kara-galita-kzIra-DArABiH Bca_10.18/b
   ālasyamupajāyate Bca_7.3d	Alasyam-upajAyate Bca_7.3d
   ālasyaṃ kutsitāsaktir Bca_7.2c	Alasyam kutsita-AsaktiH Bca_7.2c
   āśayasya ca māhātmyaṃ Bca_6.114a	ASayasya ca mAhAtmyam Bca_6.114a
   āśābhaṅgaśca jāyate Bca_8.176b	ASA-BaFgaH-ca jAyate Bca_8.176b
   āśāmāśu prapūrayet Bca_5.86d	ASAm-ASu prapUrayet Bca_5.86d
   āśocyamāno lokena Bca_8.35c	ASA-ucyamAnaH lokena Bca_8.35c
   āsaṃsāraṃ sukhajyānir Bca_10.3a	AsaMsAram suKa-jyAniH Bca_10.3a
   āstāṃ tāvatparo loko Bca_8.132a	AstAm tAvat-paraH lokaH Bca_8.132a
   āstāṃ bhaviṣyadbuddhatvaṃ Bca_6.133a	AstAm Bavizyat-budDa-tvam Bca_6.133a
   āhāraḥ pūjyate 'nyeṣāṃ Bca_8.47c	AhAraH pUjyate anyezAm Bca_8.47c
   āhārārthaṃ tu rakṣitum Bca_5.66b	AhAra-arTam tu rakzitum Bca_5.66b
   icchanti bahavaśca mām Bca_8.17b	icCanti bahavaH-ca mAm Bca_8.17b
   icchannapīcchāyattaḥ syāt Bca_9.126c	icCan=-api-icCA-AyattaH syAt Bca_9.126c
   icchāto jāyate bhayam Bca_8.19b	icCAtaH jAyate Bayam Bca_8.19b
   icchedetena hetunā Bca_7.73b	icCet-etena hetunA Bca_7.73b
   icchedrakṣet prapūjayet Bca_8.124b	icCet-rakzet prapUjayet Bca_8.124b
   itarārthe na pīḍayet Bca_5.86b	itara-arTe na pIxayet Bca_5.86b
   iti cedāgamaṃ tyaja Bca_9.44b	iti ced-Agamam tyaja Bca_9.44b
   iti coktaṃ tathāgataiḥ Bca_8.24b	iti ca-uktam taTAgatEH Bca_8.24b
   iti dhyātvā tathā tiṣṭhet Bca_5.32a	iti DyAtvA taTA tizWet Bca_5.32a
   iti na jñātamīdṛśam Bca_2.35d	iti na jQAtam-IdRSam Bca_2.35d
   iti matkuśalaiḥ samantabhadra- Bca_10.15a	iti mad-kuSalEH samantaBadra Bca_10.15a
   iti martyasya saṃprāptān Bca_8.17c	iti martyasya saMprAptAn Bca_8.17c
   itisatatadīrghavairiṣu Bca_4.34a	iti-satata-dIrGa-vErizu Bca_4.34a
   iti sattrapatau jinasya puttre Bca_1.34a	iti sattra-patO jinasya puttre Bca_1.34a
   itthaṃ na parihīyate Bca_5.87d	itTam na parihIyate Bca_5.87d
   ityato muninoditam Bca_6.112b	iti-atas muninA-uditam Bca_6.112b
   ityākṣipya kriyāṃ punaḥ Bca_5.39b	iti-Akzipya kriyAm punar Bca_5.39b
   ityātmārthe piśācatā Bca_8.125b	iti-Atma-arTe piSAca-tA Bca_8.125b
   ityādyavaśyamaśubhaṃ Bca_8.13c	iti-Adya-vaSyam-aSuBam Bca_8.13c
   ityāśāṃ tyaja sāṃpratam Bca_8.170b	iti-ASAm tyaja sAMpratam Bca_8.170b
   ityūrdhvaṃ prekṣamāṇā gaganatalagataṃ vajrapāṇiṃ jvalantaṃ Bca_10.11c	iti-UrDvam prekzamANAH gagana-tala-gatam vajrapANim jvalantam Bca_10.11c
   ityetatprītikāraṇam Bca_6.94d	iti-etat-prIti-kAraNam Bca_6.94d
   ityeṣā karmamānitā Bca_7.49d	iti-ezA karma-mAnitA Bca_7.49d
   itvaravyādhibhīto 'pi Bca_2.55a	itvara-vyADi-BItaH api Bca_2.55a
   idamardhakṛtaṃ sthitam Bca_7.8b	idam-arDa-kRtam sTitam Bca_7.8b
   idaṃ ca te hṛṣṭisukhaṃ Bca_6.77a	idam ca te hRzwi-suKam Bca_6.77a
   idaṃ tu me parimitaṃ Bca_7.22a	idam tu me parimitam Bca_7.22a
   idaṃ na prāptamārabdham Bca_7.8a	idam na prAptam-ArabDam Bca_7.8a
   idaṃ bhayamajānatā Bca_2.43b	idam Bayam-ajAnatA Bca_2.43b
   idaṃ subāhupṛcchāyāṃ Bca_1.20a	idam subAhu-pRcCAyAm Bca_1.20a
   imaṃ carmapuṭaṃ tāvat Bca_5.62a	imam carma-puwam tAvat Bca_5.62a
   imaṃ parikaraṃ sarvaṃ Bca_9.1a	imam parikaram sarvam Bca_9.1a
   imaṃ ye kāyamicchanti Bca_8.183a	imam ye kAyam-icCanti Bca_8.183a
   iyameva tu me cintā Bca_2.63a	iyam-eva tu me cintA Bca_2.63a
   iyaṃ naurdurlabhā punaḥ Bca_7.14d	iyam nOH-durlaBA punar Bca_7.14d
   iṣṭasya ca vighātanāt Bca_6.7b	izwasya ca viGAtanAt Bca_6.7b
   iha janmāntare vāpi Bca_6.54c	iha janma-antare vA-api Bca_6.54c
   iha bandhavadhacchedair Bca_8.40c	iha banDa-vaDa=-CedEH Bca_8.40c
   iha loke paratra ca Bca_8.40b	iha loke paratra ca Bca_8.40b
   iha śayyāgatenāpi Bca_2.41a	iha SayyA-gatena-api Bca_2.41a
   ihaiva tiṣṭhatastāvad Bca_2.38a	iha-eva tizWataH-tAvat Bca_2.38a
   ihaiva saubhāgyayaśaḥ Bca_6.133c	iha-eva sOBAgya-yaSaH Bca_6.133c
   īdṛśāḥ pratyayā asyety Bca_6.33c	IdRSAH pratyayAH asya-iti Bca_6.33c
   īdṛśyeva vyathā kṛtā Bca_6.42b	IdRSI-A-iva vyaTA kRtA Bca_6.42b
   īrṣyotkṛṣṭāt samādvandvo Bca_8.12a	IrzyA-utkRzwAt samAdvandvaH Bca_8.12a
   īśvaro jagato hetuḥ Bca_9.119a	ISvaraH jagataH hetuH Bca_9.119a
   uktaṃ ca lokanāthena Bca_9.17c	uktam ca lokanATena Bca_9.17c
   uccairuddhuṣya bhāvataḥ Bca_4.6b	uccEs-udDuzya BAvataH Bca_4.6b
   uttarottarataḥ śreṣṭhā Bca_5.83a	uttarottarataH SrezWA Bca_5.83a
   uttarottaratṛṣṇayā Bca_7.66d	uttarottara-tRzNayA Bca_7.66d
   utpattirnāvasīyate Bca_9.106d	utpattiH-na-avasIyate Bca_9.106d
   utpatsya ityabhipretya Bca_6.24c	utpatsyaH iti-aBipretya Bca_6.24c
   utpādyameva tadduḥkhaṃ Bca_8.105c	utpAdyam-eva tad-duHKam Bca_8.105c
   utprāsakāstathānye 'pi Bca_3.16c	utprAsakAH-taTA-anye api Bca_3.16c
   utplāvayatyapramitāñjanaughān Bca_1.7d	utplAvayati-apramitAn-jana-oGAn Bca_1.7d
   uditaścittacandramāḥ Bca_3.30d	uditaH-citta-candramAH Bca_3.30d
   uddaṃśadaṃśamaśaka- Bca_6.15a	uddaMSa-daMSa-maSaka Bca_6.15a
   uddhataṃ sopahāsaṃ vā Bca_5.49a	udDatam sa-upahAsam vA Bca_5.49a
   udvandhanaprapātaiśca Bca_6.36a	udvanDana-prapAtEH-ca Bca_6.36a
   udvignāśca nirudvegā Bca_10.21c	udvignAH-ca nirudvegAH Bca_10.21c
   unnāmyamānaṃ yatnād yan Bca_8.44a	unnAmyamAnam yatnAt yat Bca_8.44a
   unmattairākulā mahī Bca_8.69d	unmattEH-AkulA mahI Bca_8.69d
   upacityāpi puṇyāni Bca_5.27c	upacitya-api puNyAni Bca_5.27c
   upatiṣṭheyamagrataḥ Bca_3.9d	upatizWeyam-agratas Bca_3.9d
   upadravā ye ca bhavanti koke Bca_8.134a	upadravAH ye ca Bavanti koke Bca_8.134a
   upaśāntavitarkaḥ san Bca_8.89c	upaSAnta-vitarkaH san Bca_8.89c
   upasthānārthi me cittaṃ Bca_5.51c	upasTAna-arTi me cittam Bca_5.51c
   upādhyāyānuśāsinyā Bca_5.30a	upADyAya-anuSAsinyA Bca_5.30a
   upānaccarmamātreṇa Bca_5.13c	upAnat-carma-mAtreNa Bca_5.13c
   urasārātighātān ye Bca_6.20a	urasAra-atiGAtAn ye Bca_6.20a
   uṣṇārtāḥ santu śītalāḥ Bca_10.5b	uzNa-ArtAH santu SItalAH Bca_10.5b
   ṛju paśyetsadā sattvāṃś Bca_5.80a	Rju paSyet-sadA sattvAn Bca_5.80a
   ṛddhiścaivaṃ samṛdhyati Bca_7.75d	RdDiH-ca-evam samRDyati Bca_7.75d
   eka utpadyate jantur Bca_8.33a	ekaH utpadyate jantuH Bca_8.33a
   eka eva śarīrakaḥ Bca_8.36b	ekaH eva SarIrakaH Bca_8.36b
   ekakṣaṇātkṛtātpāpād Bca_4.21a	eka-kzaNAt-kRtAt-pApAt Bca_4.21a
   ekadeśena vartate Bca_9.81b	eka-deSena vartate Bca_9.81b
   ekasmādaśanādeṣāṃ Bca_8.49a	ekasmAt-aSanAt-ezAm Bca_8.49a
   ekasya trisvabhāvatvam Bca_9.129a	ekasya tri-svaBAva-tvam Bca_9.129a
   ekasyāpi hi sattvasya Bca_4.10a	ekasya-api hi sattvasya Bca_4.10a
   ekaḥ pitā ca putraśca Bca_9.64c	ekaH pitA ca putraH-ca Bca_9.64c
   ekākī kvāpi yāsyāmi Bca_2.62c	ekAkI kvApi yAsyAmi Bca_2.62c
   ekākī vihariṣyāmi Bca_8.14c	ekAkI viharizyAmi Bca_8.14c
   ekena sūtratulyena Bca_9.51c	ekena sUtra-tulyena Bca_9.51c
   ekenāgamyamānena Bca_9.51a	ekena-agamyamAnena Bca_9.51a
   ekenāpi yataḥ sarve Bca_2.56a	ekena-api yatas sarve Bca_2.56a
   ekaikasmiṃśchale suṣṭhu Bca_7.72a	ekEkasmin=-Cale suzWu Bca_7.72a
   ekaikasya jihīrṣataḥ Bca_1.22b	ekEkasya jihIrzataH Bca_1.22b
   ekaikasyāpi doṣasya Bca_7.33c	ekEkasya-api dozasya Bca_7.33c
   ekaikaṃ ca cikīrṣataḥ Bca_1.22d	ekEkam ca cikIrzataH Bca_1.22d
   etaccānyacca buddhoktaṃ Bca_5.103c	etat-ca-anyat-ca budDa-uktam Bca_5.103c
   etatpūrvā kṣamā yataḥ Bca_6.108d	etat-pUrvA kzamA yatas Bca_6.108d
   etadaṃśānurūpyeṇa Bca_6.118c	etad-aMSa-AnurUpyeNa Bca_6.118c
   etadeva samāsena Bca_5.108a	etat-eva samAsena Bca_5.108a
   etaddhi baḍiśaṃ ghoraṃ Bca_6.89a	etat-hi baxiSam Goram Bca_6.89a
   etasmai prathamaṃ deyam Bca_6.108c	etasmE praTamam deyam Bca_6.108c
   etānārādhya bahavaḥ Bca_6.112c	etAn-ArADya bahavaH Bca_6.112c
   etānāśritya me pāpaṃ Bca_6.48a	etAn-ASritya me pApam Bca_6.48a
   etāneva samāśritya Bca_5.80c	etAn-eva samASritya Bca_5.80c
   etāvāṃśca bhavetsvārtho Bca_6.91a	etAvAn=-ca Bavet-sva-arTaH Bca_6.91a
   etāṃ sarvāṃ visaṃvādya Bca_4.4c	etAm sarvAm visaMvAdya Bca_4.4c
   evamaṅgulipuñjatvāt Bca_9.86a	evam-aFguli-puQja-tvAt Bca_9.86a
   evamanviṣya yatnena Bca_5.64a	evam-anvizya yatnena Bca_5.64a
   evamapyatiduḥsthitāḥ Bca_9.164d	evam-api-ati-duHsTitAH Bca_9.164d
   evamapyatiduḥsthitāḥ Bca_9.165d	evam-api-ati-duHsTitAH Bca_9.165d
   evamākāśaniṣṭhasya Bca_3.21a	evam-AkASa-nizWasya Bca_3.21a
   evamāgantuko 'smīti Bca_2.39a	evam-AgantukaH asmi-iti Bca_2.39a
   evamātmaguṇāñśrutvā Bca_8.152a	evam-Atma-guNAn-SrutvA Bca_8.152a
   evamādibhirākārair Bca_8.89a	evamAdiBiH-AkArEH Bca_8.89a
   evamādīnavo bhūyān Bca_8.80a	evam-AdInavaH BUyAn Bca_8.80a
   evamādīni duḥkhāni Bca_6.6a	evamAdIni duHKAni Bca_6.6a
   evamāpattibalato Bca_4.11a	evam-Apatti-balataH Bca_4.11a
   evamudvijya kāmebhyo Bca_8.85a	evam-udvijya kAmeByaH Bca_8.85a
   evameva hi sattvānām Bca_5.86c	evam-eva hi sattvAnAm Bca_5.86c
   evameṣaḥ vaśaḥ kāryo Bca_8.167c	evam-ezaH vaSaH kAryaH Bca_8.167c
   evaṃ karādau sā yāvat Bca_9.85c	evam kara-AdO sA yAvat Bca_9.85c
   evaṃ kuruṣva tiṣṭhaivaṃ Bca_8.167a	evam kuruzva tizWA-evam Bca_8.167a
   evaṃ kṛcchramapi prāpya Bca_7.61c	evam kRcCram-api prApya Bca_7.61c
   evaṃ kṣamo bhajedvīryaṃ Bca_7.1a	evam kzamaH Bajet-vIryam Bca_7.1a
   evaṃ guṇā na vidyante Bca_9.129c	evam guNAH na vidyante Bca_9.129c
   evaṃ gṛhītvā matimān Bca_3.24a	evam gRhItvA matimAn Bca_3.24a
   evaṃ gṛhītvā sudṛḍhaṃ Bca_4.1a	evam gRhItvA su-dRXam Bca_4.1a
   evaṃ ca ko guṇo labdhaś Bca_9.30c	evam ca kaH guNaH labDaH Bca_9.30c
   evaṃ ca na virodho 'sti Bca_9.150a	evam ca na viroDaH asti Bca_9.150a
   evaṃ ca sarvadharmāṇām Bca_9.106c	evam ca sarva-DarmANAm Bca_9.106c
   evaṃ cānekadhā datvā Bca_8.172a	evam ca-anekaDA datvA Bca_8.172a
   evaṃ cāmedhyamapyetad Bca_8.71a	evam ca-ameDyam-api-etat Bca_8.71a
   evaṃ cittaṃ yadāsaṅgād Bca_6.71a	evam cittam yadAsaFgAt Bca_6.71a
   evaṃ tasyāpi tatsaṅgāt Bca_8.14a	evam tasya-api tad-saFgAt Bca_8.14a
   evaṃ te rakṣataścāpi Bca_5.67a	evam te rakzataH-ca-api Bca_5.67a
   evaṃ durjanamadhyastho Bca_5.19c	evam durjana-maDya-sTaH Bca_5.19c
   evaṃ duḥkhāgnitaptānāṃ Bca_9.167a	evam duHKa-agni-taptAnAm Bca_9.167a
   evaṃ nityaṃ yatiścaret Bca_5.73d	evam nityam yatiH-caret Bca_5.73d
   evaṃ paravaśaṃ sarvaṃ Bca_6.31a	evam para-vaSam sarvam Bca_6.31a
   evaṃ parārthaṃ kṛtvāpi Bca_8.116a	evam para-arTam kRtvA-api Bca_8.116a
   evaṃ pūtirbhaviṣyati Bca_8.31b	evam pUtiH-Bavizyati Bca_8.31b
   evaṃ buddhvā tu puṇyeṣu Bca_6.69a	evam budDvA tu puNyezu Bca_6.69a
   evaṃ buddhvā parārtheṣu Bca_5.84a	evam budDvA para-arTezu Bca_5.84a
   evaṃ bhāvitasaṃtānāḥ Bca_8.107a	evam BAvita-saMtAnAH Bca_8.107a
   evaṃ matvā sukhī bhavet Bca_6.33d	evam matvA suKI Bavet Bca_6.33d
   evaṃ lapsye 'ti durlabhaṃ Bca_4.15d	evam lapsye ati durlaBam Bca_4.15d
   evaṃ vaśīkṛtasvātmā Bca_5.71a	evam vaSIkRta-sva-AtmA Bca_5.71a
   evaṃ viniścitya karomi yatnaṃ Bca_4.48a	evam viniScitya karomi yatnam Bca_4.48a
   evaṃ vipakṣamunmūlya Bca_7.32a	evam vipakzam-unmUlya Bca_7.32a
   evaṃ viharataḥ sataḥ Bca_5.100d	evam viharataH sataH Bca_5.100d
   evaṃ viharatāṃ satām Bca_9.166b	evam viharatAm satAm Bca_9.166b
   evaṃ śūnyeṣu dharmeṣu Bca_9.152a	evam SUnyezu Darmezu Bca_9.152a
   evaṃ sarvamidaṃ kṛtvā Bca_3.6a	evam sarvam-idam kRtvA Bca_3.6a
   evaṃ sarvāsvavasthāsu Bca_5.38c	evam sarvAsu-avasTAsu Bca_5.38c
   evaṃ saṃkliṣṭamālokya Bca_5.54a	evam saMklizwam-Alokya Bca_5.54a
   evaṃ sukhātsukhaṃ gacchan Bca_7.30a	evam suKAt-suKam gacCan Bca_7.30a
   evaṃ svapnopame rūpe Bca_9.88a	evam svapna-upame rUpe Bca_9.88a
   evaṃ hi sukṛtaṃ sarvam Bca_5.44a	evam hi sukRtam sarvam Bca_5.44a
   eṣa satkriyate nāhaṃ Bca_8.141a	eza satkriyate na-aham Bca_8.141a
   eṣāmatra kimāyātaṃ Bca_6.50c	ezAm-atra kim-AyAtam Bca_6.50c
   eṣāmiti dayānvitam Bca_5.56d	ezAm-iti dayA-anvitam Bca_5.56d
   eṣāṃ duḥkhaughavartinām Bca_9.164b	ezAm duHKa-oGa-vartinAm Bca_9.164b
   ka icchedbhavituṃ tadā Bca_6.28b	kaH icCet-Bavitum tadA Bca_6.28b
   ka eva bādhyate 'nayā Bca_9.102d	kaH eva bADyate anayA Bca_9.102d
   kaṅkālādevamīkṣitāt Bca_8.48b	kaFkAlAt-evam-IkzitAt Bca_8.48b
   kaṅkālān katiciddṛṣṭvā Bca_8.70a	kaFkAlAn katicid-dRzwvA Bca_8.70a
   kaṅkālairaparaiḥ saha Bca_8.30b	kaFkAlEH-aparEH saha Bca_8.30b
   kaṭudhūme yathāmbare Bca_6.40d	kawu-DUme yaTA-ambare Bca_6.40d
   katarattannibandhanam Bca_6.30d	katarat-tad-nibanDanam Bca_6.30d
   katipayajanasatradāyakaḥ Bca_1.32a	katipaya-jana-satra-dAyakaH Bca_1.32a
   kathayiṣyāmi yathāgamaṃ samāsāt Bca_1.1d	kaTayizyAmi yaTAgamam samAsAt Bca_1.1d
   kathaṃ karomi yenedaṃ Bca_7.72c	kaTam karomi yena-idam Bca_7.72c
   kathaṃ kāyaḥ karādiṣu Bca_9.83b	kaTam kAyaH kara-Adizu Bca_9.83b
   kathaṃ kāyaḥ sthita iti Bca_5.39c	kaTam kAyaH sTitaH iti Bca_5.39c
   kathaṃ kleśo nivartate Bca_9.31b	kaTam kleSaH nivartate Bca_9.31b
   kathaṃ ca niḥsarāmyasmāt Bca_2.33a	kaTam ca niHsarAmi-asmAt Bca_2.33a
   kathaṃ ca niḥsarāmyasmān Bca_2.32a	kaTam ca niHsarAmi-asmAn Bca_2.32a
   kathaṃcidapi saṃprāpto Bca_4.26a	kaTaMcid-api saMprAptaH Bca_4.26a
   kathaṃcillabdhamadbhutam Bca_7.36d	kaTaMcid-labDam-adButam Bca_7.36d
   kathaṃcillabhyate saukhyaṃ Bca_6.12a	kaTaMcid-laByate sOKyam Bca_6.12a
   kathaṃ jñātvāpi tatraiva Bca_8.64c	kaTam jQAtvA-api tatra-eva Bca_8.64c
   kathaṃ tiṣṭhenmateḥ puraḥ Bca_9.34d	kaTam tizWet-mateH puras Bca_9.34d
   kathaṃ te rocate bhoktuṃ Bca_7.6c	kaTam te rocate Boktum Bca_7.6c
   kathaṃ tairjāyate ratiḥ Bca_8.23d	kaTam tEH-jAyate ratiH Bca_8.23d
   kathaṃ dāsīkṛto 'smi taiḥ Bca_4.28d	kaTam dAsIkRtaH asmi tEH Bca_4.28d
   kathaṃ nāmāsvavasthāsu Bca_7.73c	kaTam nAma-Asu-avasTAsu Bca_7.73c
   kathaṃ nāmopapadyate Bca_9.96b	kaTam nAma-upapadyate Bca_9.96b
   kathaṃ nidrā kathaṃ ratiḥ Bca_7.6d	kaTam nidrA kaTam ratiH Bca_7.6d
   kathaṃ nu khalu vidyate Bca_9.83d	kaTam nu Kalu vidyate Bca_9.83d
   kathaṃ phalavatī bhavet Bca_9.39b	kaTam PalavatI Bavet Bca_9.39b
   kathaṃ mayyapi tiṣṭhati Bca_7.51b	kaTam mayi-api tizWati Bca_7.51b
   kathaṃ sattvo 'sti satyataḥ Bca_9.10d	kaTam sattvaH asti satyataH Bca_9.10d
   kathaṃ siddhastvadāgamaḥ Bca_9.42b	kaTam sidDaH-tvad-AgamaH Bca_9.42b
   kathitaṃ tattvavādinā Bca_5.6d	kaTitam tattva-vAdinA Bca_5.6d
   kathyamānāpi sā mudhā Bca_9.23d	kaTyamAnA-api sA muDA Bca_9.23d
   kadalīva phalaṃ vihāya yāti Bca_1.12a	kadalI-iva Palam vihAya yAti Bca_1.12a
   kadā kāyamagopayan Bca_8.29d	kadA kAyam-agopayan Bca_8.29d
   kadācinnopalabhyate Bca_9.132d	kadAcid-na-upalaByate Bca_9.132d
   kadā tathāgatotpādaṃ Bca_4.15a	kadA taTAgata-utpAdam Bca_4.15a
   kadā taiḥ sukhasaṃvāsaiḥ Bca_8.26c	kadA tEH suKa-saMvAsEH Bca_8.26c
   kadānapekṣo yāsyāmi Bca_8.27c	kadA-anapekzaH yAsyAmi Bca_8.27c
   kadā bālāddhitaṃ bhavet Bca_8.12d	kadA bAlAt-hitam Bavet Bca_8.12d
   kadā bhāvo bhaviṣyati Bca_9.148b	kadA BAvaH Bavizyati Bca_9.148b
   kadāyaṃ kiṃ karotīti Bca_8.161c	kadA-ayam kim karoti-iti Bca_8.161c
   kadā śatanadharmiṇam Bca_8.30d	kadA Satana-DarmiNam Bca_8.30d
   kadopalambhadṛṣṭibhyo Bca_9.168a	kadA-upalamBa-dRzwiByaH Bca_9.168a
   karādibhyaḥ pṛthag nāsti Bca_9.83c	kara-AdiByaH pRTak na-asti Bca_9.83c
   karoti yāmavīcyādau Bca_5.2c	karoti yAm-a-vIci-AdO Bca_5.2c
   karoti sarvakāryāṇi Bca_9.38c	karoti sarva-kAryANi Bca_9.38c
   karotītyarisaṃjñayā Bca_6.6b	karoti-iti-ari-saMjQayA Bca_6.6b
   karotyanicchannīśaścet Bca_9.126a	karoti-anicCan=-ISaH-ced Bca_9.126a
