   Paraśurāmakalpasūtra	ParaSurAma-kalpa-sUtra
   śuddhodanaṃ sammardya caraṇāyudhāṇḍapramāṇān daśapiṇḍān vidhāya tatra	SudDodanam sammardya caraNa-AyuDa-aNxa-pramANAn daSa-piNxAn viDAya tatra
   nidhāya kapitthaphalamānam ekaṃ piṇḍaṃ ca tatsamīpe sādimopādimamadhyamaṃ	niDAya kapitTa-Pala-mAnam ekam piNxam ca tad-samIpe sa-Adimopa-Adim-a-maDyamam
   caṣakaṃ ca nikṣipya daśapiṇḍān hetukādibhyo madhyamapiṇḍaṃ caṣakaṃ ca	cazakam ca nikzipya daSa-piNxAn hetuka-AdiByaH maDyama-piNxam cazakam ca
   caṇḍoccaṇḍāya tattanmantraiḥ datvā vṛndam ārādhya || Parks_7.34 ||	caNxa-uccaNxAya tad-tad-mantrEH datvA vRndam ArADya || ParkH-_7.34 ||
   yathāvibhavaṃ śrīguruṃ saṃtoṣya || Parks_7.35 ||	yaTA-viBavam SrI-gurum saMtozya || ParkH-_7.35 ||
   sampūrṇayauvanāḥ salakṣaṇāmadanonmādinīs tisraḥ śaktīr āhūya baṭukaṃ	sampUrNa-yOvanAH sa-lakzaNA-madana-unmAdinIH tisraH SaktIH AhUya bawukam
   caikam abhyarcya snapayitvā gandhādibhir alaṅkṛtya vārtālībuddhyā ekāṃ	ca-ekam aByarcya snapayitvA ganDa-AdiBiH alaFkRtya vArtAlI-budDyA ekAm
   śaktiṃ madhye krodhinīstambhinībuddhyā dve itare pārśvayoś	Saktim maDye kroDinI-stamBinI-budDyA dve itare pArSvayoH-
   caṇḍoccaṇḍadhiyā baṭukam agre sthāpayitvā sarvair dravyaiḥ saṃtoṣya mama	caNxa-uccaNxa-DiyA bawukam agre sTApayitvA sarvEH dravyEH saMtozya mama
   śrīvārtālīmantrasiddhir bhūyād iti tāḥ prativadet tāś ca prasīdantv	SrI-vArtAlI-mantra-sidDiH BUyAt iti tAH prativadet tAH ca prasIdantu-
   adhidevatāḥ iti brūyuḥ || Parks_7.36 ||	aDidevatAH iti brUyuH || ParkH-_7.36 ||
   evaṃ saparivārām udārāṃ bhūdāravadanām upatoṣya lakṣaṃ puraścaraṇaṃ kṛtvā	evam sa-parivArAm udArAm BUdAra-vadanAm upatozya lakzam puraScaraNam kRtvA
   yaddaśāṃśaṃ tāpicchakusumair hutvā mantraṃ sādhayet || Parks_7.37 ||	yad-daSa-aMSam tApicCa-kusumEH hutvA mantram sADayet || ParkH-_7.37 ||
   tataś ca pūjitāṃ devīm ātmani yojayitvā svairaṃ viharann ājñāsiddhaḥ sukhī	tatas ca pUjitAm devIm Atmani yojayitvA svEram viharan AjQA-asidDaH suKI
   viharet iti śivam || Parks_7.38 ||	viharet iti Sivam || ParkH-_7.38 ||
   8. Khaṇḍa: Parākrama	8. KhaNxa: ParAkrama
   iti vidhivat kṛtavārtālīvarivasyaḥ siṃhāsanavidyāhṛdayam anuttaraṃ	iti viDivat kRta-vArtA-lI-varivasyaH siMhAsana-vidyA-hRdayam anuttaram
   parābījarūpaṃ dhāma tatkramapūrvaṃ vimṛśet || Parks_8.1 ||	parAbIja-rUpam DAma tad-krama-pUrvam vimRSet || ParkH-_8.1 ||
   prabhuhṛdayajñātuḥ pade pade sukhāni bhavanti || Parks_8.2 ||	praBu-hRdaya-jQAtuH pade pade suKAni Bavanti || ParkH-_8.2 ||
   atho 'nuttarapaddhatiṃ vyākhyāsyāmāḥ || Parks_8.3 ||	aTo anuttara-padDatim vyAKyAsyAmAH || ParkH-_8.3 ||
   kalye samutthāya brahmakoṭaravartini sahasradalakamale sanniviṣṭāyāḥ	kalye samutTAya brahma-kowara-vartini sahasra-dala-kamale sannivizwAyAH
   sauvarṇarūpāyāḥ parāyāś caraṇayugalavigaladamṛtarasavisarapariplutaṃ vapuḥ	sOvarNa-rUpAyAH parAyAH caraNa-yugala-vigalat-amRta-rasa-visara-pariplutam vapuH
   dhyātvā || Parks_8.4 ||	DyAtvA || ParkH-_8.4 ||
   snātaḥ śucivāsovasānaḥ, sauḥvarṇena trir ācamya, dviḥ parimṛjya, sakṛd	snAtaH Suci-vAsaH-vasAnaH, sOHvarNena tris Acamya, dvis parimRjya, sakRt-
   upaspṛśya, cakṣuṣī, nāsike, śrotre, aṃse, nābhiṃ, hṛdayaṃ, śiraś	upaspRSya, cakzuzI, nAsike, Srotre, aMse, nABiM, hRdayaM, SiraS
   cāvamṛśya, evaṃ trir ācamya || Parks_8.5 ||	ca-avamRSya, evam tris Acamya || ParkH-_8.5 ||
   ūrṇāmṛduśucitamam āsanaṃ sauvarṇasūryajapābhimantritaṃ mūlamantrokṣitam	UrNA-mRdu-Sucitamam Asanam sOvarNa-sUrya-japa-aBimantritam mUlamantra-ukzitam
   adhiṣṭhāya || Parks_8.6 ||	aDizWAya || ParkH-_8.6 ||
   udagvadano maunī bhūṣitavigraho mūlapūrveṇa deśikamanunā mastake deśikam	udak-vadanaH mOnI BUzita-vigrahaH mUla-pUrveNa deSika-manunA mastake deSikam
   iṣṭvā || Parks_8.7 ||	izwvA || ParkH-_8.7 ||
   vāmapārṣṇighātaiḥ choṭikātrayeṇa pātālādigatān bhedāvabhāsinaḥ vighnān	vAma-pArzNi-GAtEH CowikA-trayeNa pAtAla-Adi-gatAn Beda-avaBAsinaH viGnAn
   utsārya || Parks_8.8 ||	utsArya || ParkH-_8.8 ||
   śiromukhahṛnmūlasarvāṅgeṣu mūlaṃ vinyasya || Parks_8.9 ||	SiraH-muKa-hRd-mUla-sarva-aFgezu mUlam vinyasya || ParkH-_8.9 ||
   kākacañcūpuṭākṛtinā mukhena saṃcoṣyānilaṃ saptaviṃśatiśo mūlaṃ japtvā	kAka-caQcU-puwa-AkRtinA muKena saMcozya-anilam saptaviMSatiSas mUlam japtvA
   vedyaṃ nābhau saṃmudrya punaḥ saptaviṃśatiśo japtvā aṅguṣṭhena śikhāṃ	vedyam nABO saMmudrya punar saptaviMSatiSas japtvA aFguzWena SiKAm
   badhvā punar anilam āpūrya tena mūle cidagnim utthāpya tatra vedyasya	baDvA punar anilam ApUrya tena mUle cit-agnim utTApya tatra vedyasya
   vilayaṃ vibhāvya || Parks_8.10 ||	vilayam viBAvya || ParkH-_8.10 ||
   gomayenopaliptacaturasrabhūtale pravahatpārśvakarakṛtayā matsyamudrayā	gomayena-upalipta-caturasra-BU-tale pravahat-pArSva-kara-kRtayA matsya-mudrayA
   divyagandhāmbuyutayā bhūvyomavāyuvahnimaṇḍalāni kṛtvā || Parks_8.11 ||	divya-ganDa-ambu-yutayA BU-vyoma-vAyu-vahni-maNxalAni kRtvA || ParkH-_8.11 ||
   śyāmāvat sāmānyaviśeṣārghye sādayet || Parks_8.12 ||	SyAmA-vat sAmAnya-viSeza-arGye sAdayet || ParkH-_8.12 ||
   sarve 'pi parākramamanavaḥ sauḥ varṇapūrvāḥ kāryāḥ || Parks_8.13 ||	sarve api parAkrama-manavaH sOH varNa-pUrvAH kAryAH || ParkH-_8.13 ||
   bhṛgucaturdaśaṣoḍaśadvirāvṛtyā, varṇaṣaḍaṅgaṃ sarvamūlaṣaḍāvṛtyā,	BRgu-caturdaSa-zoxaSa-dvis-AvRtyA, varNa-zaz-aFgam sarva-mUla-zaxA-AvRtyA,
   mantraṣaḍaṅgaṃ ca, kṛtvā || Parks_8.14 ||	mantra-zaz-aFgam ca, kRtvA || ParkH-_8.14 ||
   ubhābhyām arcayitvā || Parks_8.15 ||	uBAByAm arcayitvA || ParkH-_8.15 ||
   mūlam uccārya, tāṃ cinmayīm ānandalakṣaṇām amṛtakalaśapiśitahastadvayāṃ,	mUlam uccArya, tAm cit-mayIm Ananda-lakzaNAm amRta-kalaSa-piSita-hasta-dvayAM,
   prasannāṃ, devīṃ, pūjayāmi namaḥ svāhā iti sudhādevīm abhyarcya tayā	prasannAn, devIM, pUjayAmi namaH svAhA iti suDA-devIm aByarcya tayA
   samprokṣya varivasyāvastūni || Parks_8.16 ||	samprokzya varivasyA-vastUni || ParkH-_8.16 ||
   pūrvaṃ nābhau sammudritaṃ cidagnivilīnaṃ taptāyodravavat	pUrvam nABO sammudritam cit-agni-vilInam tapta-ayaH-drava-vat-
   ṣaṭtriṃśattattvakadambakaṃ hṛtsaroje samānīya || Parks_8.17 ||	zawtriMSat-tattva-kadambakam hRd-saroje samAnIya || ParkH-_8.17 ||
   mūlajaptaiḥ kusumakṣepaiḥ vakṣyamāṇaiś ca mantrair āsanakḷptiṃ kuryāt	mUla-japtEH kusuma-kzepEH vakzyamANEH ca mantrEH Asana-k?ptim kuryAt-
   mūlādiyogapīṭhāya namaḥ ity antāni tāni ca	mUla-Adi-yoga-pIWAya namaH iti antAni tAni ca
   pṛthivyaptejovāyvākāśagandharasarūpasparśaśabdopasthapāyupādapāṇivāgghrāṇajihvācakṣustvakśrotrā	pRTivI-ap-tejaH-vAyu-AkASa-ganDa-rasa-rUpa-sparSa-Sabda-upasTa-pAyu-pAdapANi-vAc-GrANa-jihvA-cakzuH-tvac-SrotrA
   haṅkārabuddhimanaḥprakṛtipuruṣaniyatikālarāgakalāvidyāmāyāśuddhavidyeśvarasadāśivaśaktiśivāḥ	haFkAra-budDi-manaH-prakRti-puruza-niyati-kAla-rAga-kalA-vidyA-mAyA-SudDa-vidyA-ISvara-sadASiva-Sakti-SivAH
   | evaṃ parācakraṃ kṛtvā || Parks_8.18 ||	| evam parAcakram kRtvA || ParkH-_8.18 ||
   tatraitadaikyavimarśarūpiṇīṃ ṣoḍaśakalāṃ parāṃ devīm āvāhya || Parks_8.19	tatra-etat-Ekya-vimarSa-rUpiNIm zoxaSa-kalAm parAm devIm AvAhya || ParkH-_8.19
   akalaṅkaśaśāṅkābhā tryakṣā candrakalāvatī |	akalaFka-SaSAFka-ABA tryakzA candra-kalAvatI |
   mudrāpustalasadbāhuḥ pātu māṃ, paramā kalā ||	mudrApuH-tala-sat-bAhuH pAtu mAM, paramA kalA ||
   iti dhyātvā || Parks_8.20 ||	iti DyAtvA || ParkH-_8.20 ||
   mūlādim uccārya prakāśarūpiṇī parābhaṭṭārikā, mūlamadhyam uccārya	mUla-Adim uccArya prakASa-rUpiNI parABawwArikA, mUla-maDyam uccArya
   vimarśarūpiṇī parābhaṭṭārikā, mūlāntyam uccārya prakāśavimarśarūpiṇī	vimarSa-rUpiNI parABawwArikA, mUla-antyam uccArya prakASa-vimarSa-rUpiNI
   parābhaṭṭāriketi tribhiḥ devyā mūlahṛnmukheṣv abhyarcya samastam uccārya,	parABawwArikA-iti triBiH devyAH mUla-hRd-muKezu aByarcya samastam uccArya,
   mahāprakāśavimarśarūpiṇī parābhaṭṭāriketi, daśavāram avamṛśya tām eva	mahA-prakASa-vimarSa-rUpiNI parABawwArikA-iti, daSa-vAram avamRSya tAm eva
   devīṃ, kālāgnikoṭidīptāṃ dhyātvā || Parks_8.21 ||	devIM, kAlAgni-kowi-dIptAm DyAtvA || ParkH-_8.21 ||
   tasyāṃ kriyāsamabhivyāhāreṇa vedyam akhilaṃ hutvā || Parks_8.22 ||	tasyAm kriyA-samaBivyAhAreNa vedyam aKilam hutvA || ParkH-_8.22 ||
   mūlam uccārya, sāmānyapādukayā svamastakasthāya gurave arghyaṃ nivedya ||	mUlam uccArya, sAmAnya-pAdukayA sva-mastaka-sTAya gurave arGyam nivedya ||
   Parks_8.23 ||	ParkH-_8.23 ||
   punaś cidagnim uddīptaṃ vibhāvya || Parks_8.24 ||	punar cit-agnim uddIptam viBAvya || ParkH-_8.24 ||
   divyaughaṃ tisraḥ pādukāḥ siddhaughaṃ tisraḥ mānavaugham aṣṭāv abhyarcya	divya-oGam tisraH pAdukAH sidDa-oGam tisraH mAnava-oGam azwO aByarcya
   || Parks_8.25 ||	|| ParkH-_8.25 ||
   parābhaṭṭārikāghoraśrīkaṇṭhaśaktidharakrodhatryambakānandapratibhādevyambā,	parA-BawwArikA-Gora-SrIkaNWa-Sakti-Dara-kroDa-tryambaka-Ananda-pratiBAt-evyambA,
   vīrasaṃvidānandamadhurādevyambā, jñānaśrīrāmayogāḥ iti, parākramapādukāḥ	vIra-saMvid-Ananda-maDurAt-evyambA, jQAna-SrI-rAma-yogAH iti, parAkrama-pAdukAH
   || Parks_8.26 ||	|| ParkH-_8.26 ||
   tataḥ kalāmanunā baliṃ nivedya || Parks_8.27 ||	tatas kalA-manunA balim nivedya || ParkH-_8.27 ||
   haviśśeṣam ātmasātkuryāt | iti śivam || Parks_8.28 ||	haviSSezam AtmasAt-kuryAt | iti Sivam || ParkH-_8.28 ||
   9. Khaṇḍa: Homavidhi	9. KhaNxa: Homa-viDi
   atha sveṣṭamantrasya homavidhānaṃ vyākhyāsyāmaḥ || Parks_9.1 ||	aTa sva-izwa-mantrasya homa-viDAnam vyAKyAsyAmaH || ParkH-_9.1 ||
   caturasraṃ kuṇḍam athavā hastāyāmam aṅguṣṭhonnataṃ sthaṇḍilaṃ kṛtvā ||	catur-asram kuNxam aTavA hasta-AyAmam aFguzWa-unnatam sTaNxilam kRtvA ||
   Parks_9.2 ||	ParkH-_9.2 ||
   sāmānyārghyam upaśodhya tenāvokṣya || Parks_9.3 ||	sAmAnya-arGyam upaSoDya tena-avokzya || ParkH-_9.3 ||
   prācīr udīcīs tisras tisro rekhā likhitvā || Parks_9.4 ||	prAcIH udIcIH tisraH tisraH reKA liKitvA || ParkH-_9.4 ||
   tāsu rekhāsu brahmayamasomarudraviṣṇvindrān, ṣaṭtārīnamassampuṭitān	tAsu reKAsu brahma-yama-soma-rudra-vizNu-indrAn, zawtArI-namassampuwitAn
   abhyarcya || Parks_9.5 ||	aByarcya || ParkH-_9.5 ||
   sahasrārciṣe hṛdayāya namaḥ, svastipūrṇāya śirase svāhā, uttiṣṭha puruṣāya	sahasra-arcize hRdayAya namaH, svasti-pUrNAya Sirase svAhA, uttizWa puruzAya
   śikhāyai vaṣaṭ, dhūmavyāpine kavacāya huṃ, saptajihvāya netratrayāya	SiKAyE vazaw, DUma-vyApine kavacAya huM, sapta-jihvAya netratrayAya
   vauṣaṭ, dhanurdharāya astrāya phaṭ iti ṣaḍaṅgaṃ vidhāya tena ṣaḍaṅgena	vOzaw, DanurDarAya astrAya Paw iti zaz-aFgam viDAya tena zaxaFgena
   kuṇḍam abhyarcya || Parks_9.6 ||	kuNxam aByarcya || ParkH-_9.6 ||
   tatrāṣṭakoṇaṣaṭkoṇatrikoṇātmakaṃ agnicakraṃ vilikhya pītāyai śvetāyai	tatra-azwakoNa-zaz-koNa-tri-koNa-Atmakam agni-cakram viliKya pItAyE SvetAyE
   aruṇāyai kṛṣṇāyai dhūmrāyai tīvrāyai sphuliṅginyai rucirāyai jvālinyai	aruNAyE kRzNAyE DUmrAyE tIvrAyE sPuliFginyEH rucirAyE jvAlinyE
   nama iti trikoṇamadhye vahneḥ pīṭhaśaktīḥ sampūjya taṃ tamase, raṃ rajase,	namaH iti trikoNa-maDye vahneH pIWa-SaktIH sampUjya tam tamase, ram rajase,
   saṃ sattvāya, ām ātmane, am antarātmane, paṃ paramātmane, hrīṃ jñānātmane	sam sattva-aya, Am Atmane, am antarAtmane, pam paramAtmane, hrIm jQAna-Atmane
   namaḥ iti tatraivābhyarcayet || Parks_9.7 ||	namaH iti tatra-eva-aByarcayet || ParkH-_9.7 ||
   tato janiṣyamāṇavahneḥ pitarau vāgīśvarīvagīśvarau pīṭhe 'bhyarcya tayor	tatas janizyamANa-vahneH pitarO vAc-ISvarI-vagISvarO pIWe aByarcya tayoH-
   mithunībhāvaṃ bhāvayitvā hrīṃ vāgīśvarīvāgīśvarābhyāṃ namaḥ iti dhyātvā ||	miTunIBAvam BAvayitvA hrIm vAc-ISvarI-ivAc-ISvarAByAm namaH iti DyAtvA ||
   Parks_9.8 ||	ParkH-_9.8 ||
   araṇeḥ sūryakāntāt dvijagṛhād vā vahnim utpādya mṛtpātre tāmrapātre vā	araNeH sUryakAntAt dvija-gRhAt vA vahnim utpAdya mRd-pAtre tAmra-pAtre vA
   āgneyyām aiśānyāṃ nairṛtyāṃ vā nidhāya, agniśakalaṃ krāvyādāṃśaṃ nairṛtyāṃ	AgneyyAm ESAnyAm nErRtyAm vA niDAya, agni-Sakalam krAvyAda-aMSam nErRtyAm
   visārya nirīkṣaṇaprokṣaṇatāḍanāvakuṇṭhanādibhiḥ viśodhya [248] oṃ	visArya nirIkzaNa-prokzaNa-tAxana-avakuNWana-AdiBiH viSoDya [248] om
   vaiśvānara jātaveda ihāvaha lohitākṣa sarvakarmāṇi sādhaya svāhā iti	vESvAnara jAtavedaH iha-Avaha lohita-akza sarva-karmANi sADaya svAhA iti
   mūlādhārodgatasaṃvidaṃ lalāṭanetradvārā nirgamayya taṃ bāhyāgniyuktaṃ	mUlADAra-udgata-saMvidam lalAwa-netra-dvArA nirgamayya tam bAhya-agni-yuktam
   pātayet || Parks_9.9 ||	pAtayet || ParkH-_9.9 ||
   kavacamantreṇa indhanair ācchādya || Parks_9.10 ||	kavaca-mantreNa inDanEH AcCAdya || ParkH-_9.10 ||
   agniṃ prajvalitaṃ vande jātavedaṃ hutāśanam |	agnim prajvalitam vande jAtavedam hutASanam |
   suvarṇavarṇam analaṃ samiddhaṃ viśvatomukham ||	suvarNa-varNam analam samidDam viSvatomuKam ||
   ity upasthāya || Parks_9.11 ||	iti upasTAya || ParkH-_9.11 ||
   uttiṣṭha haritapiṅgala lohitākṣa sarvakarmāṇi sādhaya me dehi dāpaya svāhā	uttizWa harita-piFgala lohita-akza sarva-karmANi sADaya me dehi dApaya svAhA
   iti vahnim utthāpya || Parks_9.12 ||	iti vahnim utTApya || ParkH-_9.12 ||
   citpiṅgala hana hana daha daha paca paca sarvajñājñāpaya svāhā, iti	cit-piFgala hana hana daha daha paca paca sarvajQa-AjQApaya svAhA, iti
   prajvālya || Parks_9.13 ||	prajvAlya || ParkH-_9.13 ||
   ṣaṭtāravāco namomantreṇa	zaz-tAra-vAcaH namaH-mantreNa
   puṃsavanasīmantajātakarmanāmakaraṇānnaprāśanacaulopanayanagodānavivāhakarmāṇy	puMsavana-sImanta-jAta-karma-nAmakaraNa-anna-prASana-cOla-upanayana-go-dAna-vivAha-karmANi-
   amukāgner amukaṃ karma kalpayāmi namaḥ iti vidhāya || Parks_9.14 ||	amuka-agneH amukam karma kalpayAmi namaH iti viDAya || ParkH-_9.14 ||
   pariṣicya paristīrya paridhāya || Parks_9.15 ||	parizicya paristIrya pariDAya || ParkH-_9.15 ||
   triṇayanam aruṇābhaṃ baddhamauliṃ suśuklāṃ	triNayanam aruNa-ABam badDa-mOlim su-SuklAm
   śukam aruṇam anekākalpam ambhojasaṃstham |	Sukam aruNam aneka-Akalpam amBoja-saMsTam |
   abhimatavaraśaktisvastikābhītihastaṃ	aBimata-vara-Sakti-svastika-aBIti-hastam
   namata kanakamālālaṅkṛtāṃsaṃ kṛśānum ||	namata kanaka-mAlA-alaFkRta-aMsam kRSAnum ||
   iti dhyātvā || Parks_9.16 ||	iti DyAtvA || ParkH-_9.16 ||
   (1) aṣṭakoṇe jātavedase saptajihvāya havyavāhāya aśvodarāya vaiśvānarāya	(1) azwa-koNe jAtavedase sapta-jihvAya havyavAhAya aSva-udarAya vESvAnarAya
   kaumāratejase viśvamukhāya devamukhāya namaḥ iti (2) ṣaṭkoṇe ṣaḍaṅgaṃ (3)	kOmAra-tejase viSva-muKAya deva-muKAya namaH iti (2) zaz-koNe zaz-aFgam (3)
   trikoṇe agnimantreṇa agniṃ pūjayitvā || Parks_9.17 ||	trikoNe agni-mantreNa agnim pUjayitvA || ParkH-_9.17 ||
   hiraṇyāyai kanakāyai raktāyai kṛṣṇāyai suprabhāyai atiraktāyai bahurūpāyai	hiraNyAyE kanakAyE raktAyE kRzNAyE su-praBAyE ati-raktAyE bahu-rUpAyE
   namaḥ ity agneḥ saptajihvāsu mūlaśuddhenājyena saptāhutīḥ kuryāt ||	namaH iti agneH sapta-jihvAsu mUla-SudDena-Ajyena sapta-AhutIH kuryAt ||
   Parks_9.18 ||	ParkH-_9.18 ||
   vaiśvānarottiṣṭhacitpiṅgalair agnes tridhāhutiṃ vidhāya || Parks_9.19 ||	vESvAnara-uttizWa-cid-piFgalEH agneH triDA-Ahutim viDAya || ParkH-_9.19 ||
   bahurūpajihvāyām iṣṭāṃ devatām āvāhya pañcopacārair upacarya || Parks_9.20	bahu-rUpa-jihvAyAm izwAm devatAm AvAhya paQca-upacArEH upacarya || ParkH-_9.20
   sarvāsāṃ cakradevīnām ekāhutiṃ hutvā, namo'ntān pādukāntān śeṣān mantrān	sarvAsAm cakra-devInAm eka-Ahutim hutvA, namaH-antAn pAdukA-antAn SezAn mantrAn
   svāhāntān vidhāya juhuyāt || Parks_9.21 ||	svAhA-antAn viDAya juhuyAt || ParkH-_9.21 ||
   atha pradhānadevatāyai daśāhutīr juhuyāt || Parks_9.22 ||	aTa praDAna-devatAyE daSa-AhutIH juhuyAt || ParkH-_9.22 ||
   yadi kāmyam īpsed abhīṣṭadevatāyai vijñāpya saṅkalpaṃ	yadi kAmyam Ipset aBIzwa-devatAyE vijQApya saFkalpam
   kṛtvaitāvatkarmasiddhyartham etāvadāhutīḥ kariṣyāmīti || Parks_9.23 ||	kRtvA-etAvat-karma-sidDi-arTam etAvat-AhutIH karizyAmi-iti || ParkH-_9.23 ||
   tilājyaiḥ śāntyā annenānnāyāmṛtāya samiccūtapallavair jvaraśamāya	tila-AjyEH SAntyA annena-annAya-amRtAya samiD-cUta-pallavEH jvara-SamAya
   dūrvābhir āyuṣe kṛtamālair dhanāyotpalair bhāgāya bilvadalai rājyāya	dUrvABiH Ayuze kRta-mAlEH DanAya-utpalEH BAgAya bilva-dalEH rAjyAya
   padmaiḥ [252] sāmrājyāya śuddhalājaiḥ kanyāyai nandyāvartaiḥ kavitvāya	padmEH [252] sAmrAjyAya SudDa-lAjEH kanyAyE nandyAvartEH kavi-tvAya
   vañjulaiḥ puṣṭayai mallikājātīpunnāgair bhāgyāya	vaQjulEH puzwayE mallikA-jAtI-punnAgEH BAgyAya
   bandhūkajapākiṃśukabakulamadhukarair aiśvaryāya lavaṇair ākarṣaṇāya	banDUka-japA-kiMSuka-bakula-maDukarEH ESvaryAya lavaNEH AkarzaNAya
   kadambaiḥ sarvavaśyāya śālitaṇḍulair dhānyāya kuṅkumagorocanādisugandhaiḥ	kadambEH sarva-vaSyAya SAli-taNxulEH DAnyAya kuFkuma-gorocanA-Adi-suganDEH
   saubhāgyāya palāśapuṣpaiḥ kapilāghṛtair vā tejase dhattūrakusumair	sOBAgyAya palASa-puzpEH kapilA-GRtEH vA tejase DattUra-kusumEH-
   unmādāya viṣavṛkṣaiḥ nimbaśleṣmātakavibhītakasamidbhiḥ śatrunāśāya	unmAdAya viza-vRkzEH nimba-SlezmAtaka-viBItaka-samidBiH Satru-nASAya
   nimbatailāktalavaṇair māraṇāya kākolūkapakṣair vidveṣaṇāya	nimba-tEla-akta-lavaNEH mAraNAya kAka-ulUka-pakzEH vidvezaNAya
   tilatailāktamarīcaiḥ kāsaśvāsanāśāya juhuyāt || Parks_9.24 ||	tila-tEla-akta-marIcEH kAsa-SvAsa-nASAya juhuyAt || ParkH-_9.24 ||
   baliṃ pradāya || Parks_9.25 ||	balim pradAya || ParkH-_9.25 ||
   oṃ bhūr agnaye ca pṛthivyai ca mahate ca svāhā |	om BUH agnaye ca pRTivyE ca mahate ca svAhA |
   oṃ bhuvo vāyave cāntarikṣāya ca mahate ca svāhā |	om BuvaH vAyave ca-antarikzAya ca mahate ca svAhA |
   oṃ suvar ādityāya ca dive ca mahate ca svāhā |	om suvar AdityAya ca dive ca mahate ca svAhA |
   oṃ bhūr bhuvas suvaś candramase ca nakṣatrebhyaś ca digbhyaś ca mahate ca	om BUH BuvaH suvaH candramase ca nakzatreByaH ca digByaH ca mahate ca
   svāhā |	svAhA |
   iti caturbhir mantraiḥ mahāvyāhṛtihomaṃ kṛtvā || Parks_9.26 ||	iti caturBiH mantrEH mahAvyAhRti-homam kRtvA || ParkH-_9.26 ||
   itaḥ pūrvaṃ prāṇabuddhidehadharmādhikārato jāgratsvapnasuṣuptyavasthāsu	itas pUrvam prANa-budDi-deha-Darma-aDikArataH jAgrat-svapna-suzupti-avasTAsu
   manasā vācā karmaṇā hastābhyāṃ padbhyām udareṇa śiśnā yat smṛtaṃ yad uktaṃ	manasA vAcA karmaNA hastAByAm padByAm udareNa SiSnA yat smRtam yat uktam
   [254] yat kṛtaṃ tat sarvaṃ brahmārpaṇaṃ bhavatu svāhā, iti	[254] yat kRtam tat sarvam brahma-arpaNam Bavatu svAhA, iti
   brahmārpaṇāhutiṃ kṛtvā || Parks_9.27 ||	brahma-arpaNa-Ahutim kRtvA || ParkH-_9.27 ||
   cidagniṃ devatāṃ cātmany udvāsayāmi namaḥ ity udvāsya || Parks_9.28 ||	cit-agnim devatAm ca-Atmani udvAsayAmi namaH iti udvAsya || ParkH-_9.28 ||
   tadbhasmatilakadharo lokasammohanakāraḥ sukhī viharet | iti śivam ||	tad-Basma-tilaka-DaraH loka-sammohana-kAraH suKI viharet | iti Sivam ||
   Parks_9.29 ||	ParkH-_9.29 ||
   10. Khaṇḍa: Sarvasādhāraṇakrama	10. KhaNxa: Sarva-sADAraNa-krama
   athātaḥ sarveṣāṃ mantrāṇāṃ sāmānyapaddhatiṃ vyākhyāsyāmaḥ || Parks_10.1 ||	aTa-atas sarvezAm mantrANAm sAmAnyapadDatim vyAKyAsyAmaH || ParkH-_10.1 ||
   śyāmāvat sandhyādyarghyaśodhanaparyantaṃ nyāsavarjam || Parks_10.2 ||	SyAmA-vat sanDi-Adi-arGya-SoDana-paryantam nyAsa-varjam || ParkH-_10.2 ||
   anuktaṣaḍaṅgasya ṣaḍjātiyuktamāyayā ṣaḍaṅgam || Parks_10.3 ||	anukta-zaxaFgasya zaz-jAti-yukta-mAyayA zaxaFgam || ParkH-_10.3 ||
   bindutriṣaḍaranāgadalacatuṣpatracaturasramayaṃ cakram || Parks_10.4 ||	bindu-trizaxara-nAga-dala-catuzpatra-caturasra-mayam cakram || ParkH-_10.4 ||
   bindau mukhyadevatecchājñānakriyāśaktayas tryasre, ṣaḍare tattatṣaḍaṅgāny	bindO muKya-devatA-icCA-jQAna-kriyA-SaktayaH tri-asre, zaz-are tad-tad-zaz-aFgAni-
   aṣṭadale brāhmyādyāḥ, caturdale gaṇapatidurgābaṭukakṣetreśāś, caturasre	azwadale brAhmI-AdyAH, catur-dale gaNapati-durgA-bawuka-kzetra-ISa-AS, catur-asre
   dikpālāḥ || Parks_10.5 ||	dikpAlAH || ParkH-_10.5 ||
   tritārīkumārībhyāṃ sarve kramamantrāḥ prayoktavyāḥ || Parks_10.6 ||	tritArI-kumArIByAm sarve krama-mantrAH prayoktavyAH || ParkH-_10.6 ||
   tattanmūlenāvāhanaṃ kalāmanunā balir anena krameṇāhutiḥ || Parks_10.7 ||	tad-tad-mUlena-AvAhanam kalA-manunA baliH anena krameNa-AhutiH || ParkH-_10.7 ||
   atha raśmimālā || Parks_10.8 ||	aTa raSmimAlAH || ParkH-_10.8 ||
   suptotthitenaiṣā manasaikavāram āvartyā || Parks_10.9 ||	supta-utTitena-ezA manasA-eka-vAram AvartyAH || ParkH-_10.9 ||
   (1) praṇavo bhūr bhuvas suvaḥ	(1) praNavaH BUH BuvaH suvar-
   tatsavitur vareṇiyaṃ bhargo devasya dhīmahi |	tat-savituH vareNiyam BargaH devasya DImahi |
   dhiyo yo naḥ pracodayāt ||	DiyaH yaH naH pracodayAt ||
   iti triṃśadvarṇā gāyatrī ||	iti triMSat-varNA gAyatrI ||
   (2) yata indra bhayāmahe tato no abhayaṃ kuru |	(2) yatas indra BayAmahe tatas naH aBayam kuru |
