   haṭha-yoga-pradīpikā	haWa-yoga--pradIpikA
   āśritya niścayam avāpnuhi rāma śāntim // HYP_4.58 //	ASritya niScayam avApnuhi rAma SAntim // HYc-_4.58 //
   karpūram anale yadvat saindhavaṃ salile yathā /	karpUram anale yadvat sEnDavam salile yaTA /
   tathā sandhīyamānaṃ ca manas tattve vilīyate // HYP_4.59 //	taTA sanDIyamAnam ca manaH tattve vilIyate // HYc-_4.59 //
   jñeyaṃ sarvaṃ pratītaṃ ca jñānaṃ ca mana ucyate /	jQeyam sarvam pratItam ca jQAnam ca manaH ucyate /
   jñānaṃ jñeyaṃ samaṃ naṣṭaṃ nānyaḥ panthā dvitīyakaḥ // HYP_4.60 //	jQAnam jQeyam samam nazwam na-anyaH panTAH dvitIyakaH // HYc-_4.60 //
   mano-dṛśyam idaṃ sarvaṃ yat kiṃcit sa-carācaram /	mano-dRSyam idam sarvam yat kiMcid sa-carAcaram /
   manaso hy unmanī-bhāvād dvaitaṃ naivolabhyate // HYP_4.61 //	manasaH hi unmanI--BAvAt dvEtam na-eva-ulaByate // HYc-_4.61 //
   jñeya-vastu-parityāgād vilayaṃ yāti mānasam /	jQeya--vastu--parityAgAt vilayam yAti mAnasam /
   manaso vilaye jāte kaivalyam avaśiṣyate // HYP_4.62 //	manasaH vilaye jAte kEvalyam avaSizyate // HYc-_4.62 //
   evaṃ nānā-vidhopāyāḥ samyak svānubhavānvitāḥ /	evam nAnA--viDa-upAyAH samyak sva-anuBava-anvitAH /
   samādhi-mārgāḥ kathitāḥ pūrvācāryair mahātmabhiḥ // HYP_4.63 //	samADi--mArgAH kaTitAH pUrva-AcAryEH mahAtmaBiH // HYc-_4.63 //
   suṣumṇāyai kuṇḍalinyai sudhāyai candra-janmane /	suzumNAyE kuNxalinyE suDAyE candra--janmane /
   manonmanyai namas tubhyaṃ mahā-śaktyai cid-ātmane // HYP_4.64 //	manonmanyE namaH tuByam mahA--SaktyE cit--A-Atmane // HYc-_4.64 //
   aśakya-tattva-bodhānāṃ mūḍhānām api saṃmatam /	aSakya--tattva--boDAnAm mUXAnAm api saMmatam /
   proktaṃ gorakṣa-nāthena nādopāsanam ucyate // HYP_4.65 //	proktam gorakza-nATena nAda-upAsanam ucyate // HYc-_4.65 //
   śrī-ādināthena sa-pāda-koṭi-	SrI-Adi-nATena sa-pAda--kowi-
   laya-prakārāḥ kathitā jayanti /	laya--prakArAH kaTitAH jayanti /
   nādānusandhānakam ekam eva	nAda-anusanDAnakam ekam eva
   manyāmahe mukhyatamaṃ layānām // HYP_4.66 //	manyAmahe muKyatamam layAnAm // HYc-_4.66 //
   muktāsane sthito yogī mudrāṃ sandhāya śāmbhavīm /	mukta-Asane sTitaH yogI mudrAm sanDAya SAmBavIm /
   śṛṇuyād dakṣiṇe karṇe nādam antāstham ekadhīḥ // HYP_4.67 //	SRNuyAt dakziNe karNe nAdam antAsTam eka-DIH // HYc-_4.67 //
   śravaṇa-puṭa-nayana-yugala-	SravaNa--puwa--naya-na--yugala-
   ghrāṇa-mukhānāṃ nirodhanaṃ kāryam /	GrANa--muKAnAm niroDanam kAryam /
   śuddha-suṣumṇā-saraṇau	SudDa--suzumNA--saraNO
   sphuṭam amalaḥ śrūyate nādaḥ // HYP_4.68 //	sPuwam amalaH SrUyate nAdaH // HYc-_4.68 //
   ārambhaś ca ghaṭaś caiva tathā paricayo'pi ca /	AramBaH ca GawaH ca-eva taTA paricayaH-api ca /
   niṣpattiḥ sarva-yogeṣu syād avasthā-catuṣṭayam // HYP_4.69 //	nizpattiH sarva--yogezu syAt avasTA--catuzwayam // HYc-_4.69 //
   atha ārambhāvasthā-	aTa AramBa-avasTA-
   brahma-granther bhaved bhedo hy ānandaḥ śūnya-sambhavaḥ /	brahma-granTeH Bavet BedaH hi AnandaH SUnya--samBavaH /
   vicitraḥ kvaṇako dehe'nāhataḥ śrūyate dhvaniḥ // HYP_4.70 //	vicitraH kvaNakaH dehe-anAhataH SrUyate DvaniH // HYc-_4.70 //
   divya-dehaś ca tejasvī divya-gandhas tvarogavān /	divya-dehaH ca tejasvI divya-ganDaH tu-arogavAn /
   sampūrṇa-hṛdayaḥ śūnya ārambhe yogavān bhavet // HYP_4.71 //	sampUrNa--hRdayaH SUnyaH AramBe yogavAn Bavet // HYc-_4.71 //
   atha ghaṭāvasthā-	aTa Gawa-avasTA-
   dvitīyāyāṃ ghaṭīkṛtya vāyur bhavati madhyagaḥ /	dvitIyAyAm GawIkRtya vAyuH Bavati maDya-gaH /
   dṛḍhāsano bhaved yogī jñānī deva-samas tadā // HYP_4.72 //	dRXa-AsanaH Bavet yogI jQAnI deva-samaH tadA // HYc-_4.72 //
   viṣṇu-granthes tato bhedāt paramānanda-sūcakaḥ /	vizNu-granTeH tatas BedAt parama-Ananda-sUcakaH /
   atiśūnye vimardaś ca bherī-śabdas tadā bhavet // HYP_4.73 //	ati-SUnye vimardaH ca BerI--SabdaH tadA Bavet // HYc-_4.73 //
   atha paricayāvasthā-	aTa paricaya-avasTA-
   tṛtīyāyāṃ tu vijñeyo vihāyo mardala-dhvaniḥ /	tRtIyAyAm tu vijQeyaH vihAyaH mardala-DvaniH /
   mahā-śūnyaṃ tadā yāti sarva-siddhi-samāśrayam // HYP_4.74 //	mahA--SUnyam tadA yAti sarva--sidDi--samASrayam // HYc-_4.74 //
   cittānandaṃ tadā jitvā sahajānanda-sambhavaḥ /	citta-Anandam tadA jitvA sahaja-Ananda--samBavaH /
   doṣa-duḥkha-jarā-vyādhi-kṣudhā-nidrā-vivarjitaḥ // HYP_4.75 //	doza--duHKa--jarA--vyADi--kzuDA--nidrA--vivarjitaH // HYc-_4.75 //
   atha niṣpatty-avasthā-	aTa nizpatti--avasTA-
   rudra-granthiṃ yadā bhittvā śarva-pīṭha-gato'nilaḥ /	rudra-granTim yadA BittvA Sarva--pIWa--gataH-anilaH /
   niṣpattau vaiṇavaḥ śabdaḥ kvaṇad-vīṇā-kvaṇo bhavet // HYP_4.76 //	nizpattO vENavaH SabdaH kvaNad-vINA---kvaNaH Bavet // HYc-_4.76 //
   ekībhūtaṃ tadā cittaṃ rāja-yogābhidhānakam /	ekIBUtam tadA cittam rAja--yoga-aBiDAnakam /
   sṛṣṭi-saṃhāra-kartāsau yogīśvara-samo bhavet // HYP_4.77 //	sRzwi--saMhAra--kartA-asO yogi-ISvara--samaH Bavet // HYc-_4.77 //
   astu vā māstu vā muktir atraivākhaṇḍitaṃ sukham /	astu vA mA-astu vA muktiH atra-eva-aKaNxitam suKam /
   layodbhavam idaṃ saukhyaṃ rāja-yogād avāpyate // HYP_4.78 //	laya-udBavam idam sOKyam rAja--yogAt avApyate // HYc-_4.78 //
   rāja-yogam ajānantaḥ kevalaṃ haṭha-karmiṇaḥ /	rAja--yogam ajAnantaH kevalam haWa-karmiNaH /
   etān abhyāsino manye prayāsa-phala-varjitān // HYP_4.79 //	etAn aByAsinaH manye prayAsa--Pala---varjitAn // HYc-_4.79 //
   unmany-avāptaye śīghraṃ bhrū-dhyānaṃ mama saṃmatam /	unmanI--avAptaye SIGram BrU-DyAnam mama saMmatam /
   rāja-yoga-padaṃ prāptuṃ sukhopāyo'lpa-cetasām /	rAja--yoga-padam prAptum suKa-upAyaH-alpa--cetasAm /
   sadyaḥ pratyaya-sandhāyī jāyate nādajo layaḥ // HYP_4.80 //	sadyas pratyaya--sanDAyI jAyate nAda-jaH layaH // HYc-_4.80 //
   nādānusandhāna-samādhi-bhājāṃ	nAda-anusanDAna--samADi--BAjAm
   yogīśvarāṇāṃ hṛdi vardhamānam /	yogi-ISvarANAm hRdi varDamAnam /
   ānandam ekaṃ vacasām agamyaṃ	Anandam ekam vacasAm agamyam
   jānāti taṃ śrī-gurunātha ekaḥ // HYP_4.81 //	jAnAti tam SrI---guru-nATaH ekaH // HYc-_4.81 //
   karṇau pidhāya hastābhyāṃ yaḥ śṛṇoti dhvaniṃ muniḥ /	karNO piDAya hastAByAm yaH SRNoti Dvanim muniH /
   tatra cittaṃ sthirīkuryād yāvat sthira-padaṃ vrajet // HYP_4.82 //	tatra cittam sTirIkuryAt yAvat sTira-padam vrajet // HYc-_4.82 //
   abhyasyamāno nādo'yaṃ bāhyam āvṛṇute dhvanim /	aByasyamAnaH nAdaH-ayam bAhyam AvRNute Dvanim /
   pakṣād vikṣepam akhilaṃ jitvā yogī sukhī bhavet // HYP_4.83 //	pakzAt vikzepam aKilam jitvA yogI suKI Bavet // HYc-_4.83 //
   śrūyate prathamābhyāse nādo nānā-vidho mahān /	SrUyate praTama-aByAse nAdaH nAnA--viDaH mahAn /
   tato'bhyāse vardhamāne śrūyate sūkṣma-sūkṣmakaḥ // HYP_4.84 //	tatas-aByAse varDamAne SrUyate sUkzma--sUkzmakaH // HYc-_4.84 //
   ādau jaladhi-jīmūta-bherī-jharjhara-sambhavāḥ /	AdO jalaDi--jImUta--BerI-JarJara--samBavAH /
   madhye mardala-śaṅkhotthā ghaṇṭā-kāhalajās tathā // HYP_4.85 //	maDye mardala--SaFKa-utTAH GaNwA-kAhala-jAH taTA // HYc-_4.85 //
   ante tu kiṅkiṇī-vaṃśa-vīṇā-bhramara-niḥsvanāḥ /	ante tu kiFkiNI--vaMSa--vINA-Bramara--niHsvanAH /
   iti nānāvidhā nādāḥ śrūyante deha-madhyagāḥ // HYP_4.86 //	iti nAnAviDAH nAdAH SrUyante deha--maDya-gAH // HYc-_4.86 //
   mahati śrūyamāṇe'pi megha-bhery-ādike dhvanau /	mahati SrUyamANe-api meGa-Bery-a-Adike DvanO /
   tatra sūkṣmāt sūkṣmataraṃ nādam eva parāmṛśet // HYP_4.87 //	tatra sUkzmAt sUkzmataram nAdam eva parAmRSet // HYc-_4.87 //
   ghanam utsṛjya vā sūkṣme sūkṣmam utsṛjya vā ghane /	Ganam utsRjya vA sUkzme sUkzmam utsRjya vA Gane /
   ramamāṇam api kṣiptaṃ mano nānyatra cālayet // HYP_4.88 //	ramamANam api kziptam manaH na-anyatra cAlayet // HYc-_4.88 //
   yatra kutrāpi vā nāde lagati prathamaṃ manaḥ /	yatra kutra-api vA nAde lagati praTamam manaH /
   tatraiva susthirībhūya tena sārdhaṃ vilīyate // HYP_4.89 //	tatra-eva susTirIBUya tena sArDam vilIyate // HYc-_4.89 //
   makarandaṃ piban bhṛṅgī gandhaṃ nāpekṣate yathā /	makarandam piban BRFgI ganDam na-apekzate yaTA /
   nādāsaktaṃ tathā cittaṃ viṣayān nahi kāṅkṣate // HYP_4.90 //	nAda-Asaktam taTA cittam vizayAn nahi kAFkzate // HYc-_4.90 //
   mano-matta-gajendrasya viṣayodyāna-cāriṇaḥ /	mano-mad-ta--gaja-indrasya vizaya-udyAna--cAriNaH /
   samartho'yaṃ niyamane nināda-niśitāṅkuśaḥ // HYP_4.91 //	samarTaH-ayam niyamane ninAda--niSitAFkuSaH // HYc-_4.91 //
   baddhaṃ tu nāda-bandhena manaḥ santyakta-cāpalam /	badDam tu nAda--banDena manaH santyakta--cApalam /
   prayāti sutarāṃ sthairyaṃ chinna-pakṣaḥ khago yathā // HYP_4.92 //	prayAti sutarAm sTEryam Cinna-pakzaH KagaH yaTA // HYc-_4.92 //
   sarva-cintāṃ parityajya sāvadhānena cetasā /	sarva-cintAm parityajya sa-avaDAnena cetasA /
   nāda evānusandheyo yoga-sāmrājyam icchatā // HYP_4.93 //	nAdaH eva-anusanDeyaH yoga--sAmrAjyam icCatA // HYc-_4.93 //
   nādo'ntaraṅga-sāraṅga-bandhane vāgurāyate /	nAdaH-antaraFga--sAraFga--banDane vAgurAyate /
   antaraṅga-kuraṅgasya vadhe vyādhāyate'pi ca // HYP_4.94 //	antaraFga-kuraFgasya vaDe vyADAyate-api ca // HYc-_4.94 //
   antaraṅgasya yamino vājinaḥ parighāyate /	antaraFgasya yaminaH vAjinaH pariGAyate /
   nādopāsti-rato nityam avadhāryā hi yoginā // HYP_4.95 //	nAda-upAsti--rataH nityam avaDAryA hi yoginA // HYc-_4.95 //
   baddhaṃ vimukta-cāñcalyaṃ nāda-gandhaka-jāraṇāt /	badDam vimukta--cAQcalyam nAda--ganDaka-jAraNAt /
   manaḥ-pāradam āpnoti nirālambākhya-khe'ṭanam // HYP_4.96 //	manaH--pAradam Apnoti nirAlamba-AKya--Ke-awanam // HYc-_4.96 //
   nāda-śravaṇataḥ kṣipram antaraṅga-bhujaṅgamam /	nAda--SravaNataH kzipram antaraFga-BujaFgamam /
   vismṛtaya sarvam ekāgraḥ kutracin nahi dhāvati // HYP_4.97 //	vismRtaya sarvam ekAgraH kutracid na-hi DAvati // HYc-_4.97 //
   kāṣṭhe pravartito vahniḥ kāṣṭhena saha śāmyati /	kAzWe pravartitaH vahniH kAzWena saha SAmyati /
   nāde pravartitaṃ cittaṃ nādena saha līyate // HYP_4.98 //	nAde pravartitam cittam nAdena saha lIyate // HYc-_4.98 //
   ghaṇṭādināda-sakta-stabdhāntaḥ-karaṇa-hariṇasya /	GaNwA-Adi-nA-da--sakta--stabDa-antaH--karaNa-hariNasya /
   praharaṇam api sukaraṃ syāc chara-sandhāna-pravīṇaś cet // HYP_4.99 //	praharaNam api sukaram syAt Sara--sanDAna--pravINaH ced // HYc-_4.99 //
   anāhatasya śabdasya dhvanir ya upalabhyate /	anAhatasya Sabdasya DvaniH yaH upalaByate /
   dhvaner antargataṃ jñeyaṃ jñeyasyāntargataṃ manaḥ /	DvaneH antargatam jQeyam jQeyasya-antargatam manaH /
   manas tatra layaṃ yāti tad viṣṇoḥ paramaṃ padam // HYP_4.100 //	manaH tatra layam yAti tat vizNoH paramam padam // HYc-_4.100 //
   tāvad ākāśa-saṅkalpo yāvac chabdaḥ pravartate /	tAvat AkASa--saFkalpaH yAvat SabdaH pravartate /
   niḥśabdaṃ tat-paraṃ brahma paramāteti gīyate // HYP_4.101 //	niHSabdam tat--param brahma paramAtA-iti gIyate // HYc-_4.101 //
   yat kiṃcin nāda-rūpeṇa śrūyate śaktir eva sā /	yat kiMcid nAda--rUpeNa SrUyate SaktiH eva sA /
   yas tattvānto nirākāraḥ sa eva parameśvaraḥ // HYP_4.102 //	yaH tattva-antaH nirAkAraH saH eva parameSvaraH // HYc-_4.102 //
   iti nādānusandhānam	iti nAda-anusanDAnam
   sarve haṭha-layopāyā rājayogasya siddhaye /	sarve haWa-laya-upAyAH rAjayogasya sidDaye /
   rāja-yoga-samārūḍhaḥ puruṣaḥ kāla-vañcakaḥ // HYP_4.103 //	rAja--yoga--samArUXaH puruzaH kAla-vaQcakaH // HYc-_4.103 //
   tattvaṃ bījaṃ haṭhaḥ kṣetram audāsīnyaṃ jalaṃ tribhiḥ /	tattvam bIjam haWaH kzetram OdAsInyam jalam triBiH /
   unmanī kalpa-latikā sadya eva pravartate // HYP_4.104 //	unmanI kalpa--latikA sadyas eva pravartate // HYc-_4.104 //
   sadā nādānusandhānāt kṣīyante pāpa-saṃcayāḥ /	sadA nAda-anusanDAnAt kzIyante pApa--saMcayAH /
   nirañjane vilīyete niścitaṃ citta-mārutau // HYP_4.105 //	niraQjane vilIyete niScitam citta--mArutO // HYc-_4.105 //
   śaṅkha-dundhubhi-nādaṃ ca na śṛṇoti kadācana /	SaFKa--dunDuBiH-nAdam ca na SRNoti kadAcana /
   kāṣṭhavaj jāyate deha unmanyāvasthayā dhruvam // HYP_4.106 //	kAzWa-vat jAyate dehaH unmanyA-avasTayA Druvam // HYc-_4.106 //
   sarvāvasthā-vinirmuktaḥ sarva-cintā-vivarjitaḥ /	sarva-avasTA--vinirmuktaH sarva-cintA--vivarjitaH /
   mṛtavat tiṣṭhate yogī sa mukto nātra saṃśayaḥ // HYP_4.107 //	mRta-vat tizWate yogI sa muktaH na-atra saMSayaH // HYc-_4.107 //
   khādyate na ca kālena bādhyate na ca karmaṇā /	KAdyate na ca kAlena bADyate na ca karmaNA /
   sādhyate na sa kenāpi yogī yuktaḥ samādhinā // HYP_4.108 //	sADyate na sa kena-api yogI yuktaH samADinA // HYc-_4.108 //
   na gandhaṃ na rasaṃ rūpaṃ na ca sparśaṃ na niḥsvanam /	na ganDam na rasam rUpam na ca sparSam na niHsvanam /
   nātmānaṃ na paraṃ vetti yogī yuktaḥ samādhinā // HYP_4.109 //	na-AtmAnam na param vetti yogI yuktaH samADinA // HYc-_4.109 //
   cittaṃ na suptaṃ nojāgrat smṛti-vismṛti-varjitam /	cittam na suptam nojAgrat smRti-vismRti--varjitam /
   na cāstam eti nodeti yasyāsau mukta eva saḥ // HYP_4.110 //	na ca-astam eti na-udeti yasya-asO muktaH eva saH // HYc-_4.110 //
   na vijānāti śītoṣṇaṃ na duḥkhaṃ na sukhaṃ tathā /	na vijAnAti SIta-uzNam na duHKam na suKam taTA /
   na mānaṃ nopamānaṃ ca yogī yuktaḥ samādhinā // HYP_4.111 //	na mAnam na-upamAnam ca yogI yuktaH samADinA // HYc-_4.111 //
   svastho jāgrad avasthāyāṃ suptavad yo'vatiṣṭhate /	svasTaH jAgrat avasTAyAm supta-vat yaH-avatizWate /
   niḥśvāsocchvāsa-hīnaś ca niścitaṃ mukta eva saḥ // HYP_4.112 //	niHSvAsa-ucCvAsa--hInaH ca niScitam muktaH eva saH // HYc-_4.112 //
   avadhyaḥ sarva-śastrāṇām aśakyaḥ sarva-dehinām /	avaDyaH sarva--SastrANAm aSakyaH sarva-dehinAm /
   agrāhyo mantra-yantrāṇāṃ yogī yuktaḥ samādhinā // HYP_4.113 //	agrAhyaH mantra-yantrANAm yogI yuktaH samADinA // HYc-_4.113 //
   yāvan naiva praviśati caran māruto madhya-mārge	yAvat na-eva praviSati caran mArutaH maDya--mArge
   yāvad vidur na bhavati dṛḍhaḥ prāṇa-vāta-prabandhāt /	yAvat viduH na Bavati dRXaH prANa--vAta--prabanDAt /
   yāvad dhyāne sahaja-sadṛśaṃ jāyate naiva tattvaṃ	yAvat DyAne sahaja--sadRSam jAyate na-eva tattvam
   tāvaj jñānaṃ vadati tad idaṃ dambha-mithyā-pralāpaḥ // HYP_4.114 //	tAvat jQAnam vadati tat idam damBa-miTyA-pralApaH // HYc-_4.114 //
   iti haṭha-yoga-pradīpikāyāṃ samādhi-lakṣaṇaṃ nāma	iti haWa-yoga-pradIpikAyAm samADi-lakzaNam nAma
   caturthopadeśaḥ /	caturTa-upadeSaH /
