   prathamas+sargas+	praTama-s+sarga-s+
   jṛmbhābharāt+dūravisaṃgatānām+mudrāvilambena dalāvalīnām &	jRmBA-BarAt+-dUra-visaMgatAnAm+mudrA-vilambena dala-avalInAm &
   nirviśya niḥśeṣam+alis+parāgam+agāt+abaddhas+kumudākarebhyaḥ // Rc_3.86 //	nirviSya niHSezam-+ali-s+parAgam+a-gAt+a-badDa-s+kumuda-AkareByaH // Rt-_3.86 //
   viveśa gartam+gatam+uttamohis+uccais+padam+santatam+uttamas+hi &	viveSa gartam-+gatam-+uttamohis+-uccEs+padam-+santatam-+uttamas+hi &
   āsīt+mahas+sampadi tuṅgatāyām+nabhas+na kaiścit+gaditum+gatāyām // Rc_3.87	AsIt+mahas+-sampadi tuFga-tA-AyAm+naBas+na kEScit+-gaditum+gatAyAm // Rt-_3.87
   naiḥsaṅgyam+ālambyata kairaveṣu yais+śāntimadbhis+śanakais+raveṣu &	nEHsaFgyam-+Alambyata kEravezu yEs+-SAntim-adBi-s+Sana-kEs+ravezu &
   saujanyam+ambhojagṛhe sametais+cirāt+dvirephais+jagṛhe same taiḥ //	sOjanyam-+amBoja-gRhe sametEH-+cirAt+-dvirePE-s+jagRhe same tEH //
   Rc_3.88 //	Rt-_3.88 //
   reje+aravindais+aravindabandhos+saṃdarśane darśitaharṣavegaiḥ &	reje+ara-vinda-es+aravinda-banDa-Us+-saMdarSane darSita-harza-vegEH &
   vidhos+viṣehe virahas+kathaṃcit+nidrāvalambāt+kumudākareṇa // Rc_3.89 //	viDos+vizehe viraha-s+-kaTaMcit+-nidrA-avalambAt+kumuda-AkareNa // Rt-_3.89 //
   ūhe jalais+āhitakoparāgas+kṣobhāt+alnīnām+nalinīparāgaḥ &	Uhe jala-es+Ahita-kopa-rAga-s+kzoBa-At+alnI-nAm+-nalinI-parAgaH &
   vyasarjayat+dyām+vivṛtāparāgas+śaśī cirāt+adhyuṣitāparāgaḥ // Rc_3.90 //	vyasarjayat+dyAm+-vivRta-aparAga-s+-SaSI cira-at-+aDyuzita-aparAgaH // Rt-_3.90 //
   yathā viluptoḍukadambakāyām+bālārkapādais+divi dīpyate sma &	yaTA vilupta-uxu-kadamba-kAya-am+bAla-arka-pAda-Es+divi dIpyate sma &
   tathā+eva suptākhilakairavāyām+raktāravindais+abhitas+sarasyām // Rc_3.91	taTA-a+A-iva supta-aKila-kEravAyAm+-rakta-aravinda-es+aBitas+sarasyAm // Rt-_3.91
   mukhena bhāti sma sahasrapatram+mitrodayālokavikasvareṇa &	muKena BAti sma sahasra-patram+mitra-udaya-Aloka-vikasvareNa &
   mañjusvanānām+alimārgaṇānām+svayaṃgrahāya+eav vimudrakośam // Rc_3.92 //	maQju-svanAnAm+ali-mArgaNAnAm-+svayaMgrahAya+eav vimudra-koSam // Rt-_3.92 //
   ślathena kecit+viviśus+mukhena talena kecit+dalasaṃhatīnām &	SlaTena kecit+-viviSu-s+muKena talena kecit+-dala-saMhatInAm &
   madhūtsukānām+madhupavrajānām+abjeṣu na dvāraviniścayas+abhūt // Rc_3.93	maDu-utsukAnAm+-maDupa-vrajAnAm-+abjezu na dvAra-viniScaya-s+aBUt // Rt-_3.93
   luloṭha dhūlīṣu papau madhūni pakṣmāṇi līḍhāni punar+lileha &	luloWa DUlIzu papO maDUni pakzmANi lIXAni punar-+lilA-iha &
   āgantave stokam+api dvirephas+sthitas+dadau na+antaram+abjamadhye //	Agantave stokam-+api dvirePa-s+-sTita-s+da-dO na+antaram-+abja-maDye //
   Rc_3.94 //	Rt-_3.94 //
   bheje vinidrām+nalinīm+na kūlān+na śīlayāmāsa navārkabhāsam &	Beje vinidrAm+nalinI-m+na kUlAn+na SIlayAmAsa nava-arka-BAsam &
   priyām+pratīyāya tathā+eva mūḍhām+khagas+svabodhāgamasābhyasūyaḥ //	priyAm-+pratIyAya taTA+A-iva mUXAm+Ka-ga-s+sva-boDa-Agama-sAByasUyaH //
   Rc_3.95 //	Rt-_3.95 //
   bahūn+asau patrarathas+tapasvī cakāra cāṭūn+upakaṇṭhalīnaḥ &	bahUn-+asO patraraTa-s+tapasvI cakAra cAwUn+upakaNWa-lInaH &
   dṛśam+pramīlāpagamāt+kaṣāyām+unmīlayāmāsa cireṇa cakrī // Rc_3.96 //	dRSam+pramIlA-ApagamAt+-kazAyAm+unmIlayAmAsa cireNa cakrI // Rt-_3.96 //
   pāram+tuṣārakṣaṇasāndhakāram+api smarārtitvaritas+pavitrī &	pAram+tuzA-rakzaNa-sa-anDakAram-+api smara-Arti-tvarita-s+pavitrI &
   śrutapriyāhnvānaravas+pratasthe sīmantayan+abjavanam+vinidram // Rc_3.97	Sruta-priya-ahnvAnara-vas+-pratasTe sImantayan+abja-vanam-+vinidram // Rt-_3.97
   jagāma bhañjanKamalāni kokas+kokīpariṣvaṅgamanorathotkaḥ &	jagAma BaQjan-Ka-malAni koka-s+kokI-parizvaFga-manoraTa-utkaH &
   sā+api+utsukā tatkṣaṇam+ājagāma vilokayantī vanam+utpalānām // Rc_3.98 //	sA+api-+utsukA tad-kzaNam-+a-AjagAma vilokayantI vanam-+utpalAnAm // Rt-_3.98 //
   kurvāṇayos+sarasi padmavanāvanaddhe bhinnādhvanos+vitatham+eva gatāgatāni	kurvANayos+-sarasi padma-vana-avanadDe Binna-aDvanaH-s+vitaTam-+eva gata-AgatAni
   saṃvādidikpatitayos+patatos+kathaṃcit+dvandvam+cirāt+ghaṭitam+ardhapathe	saMvAdi-diS-pati-tayos+patatos+-kaTaMcit+-dvandvam-+cirAt+-Gawitam-+arDa-paTe
   babhūva // Rc_3.99 //	baBUva // Rt-_3.99 //
   vyasmaryatām+ṛtamarīcikarābhitāpas+prātas+patatrimithunais+tapanam+vilokya	vyasmaryatAm+Rta-marIci-kara-aBitApas+-prAtas+pata-tri-miTu-nEs+tapanam-+vilokya
   jātyā+eva śītalam+atha+uṣṇam+alam+na kiṃcit+citrā gatis+jagati	jAtyA+eva SItalam-+aTa+-uzNam-+ala-m+na kiMcit+-citrA gati-s+jagati
   jantudaśāvaśena // Rc_3.100 //	jantu-daSa-avaSena // Rt-_3.100 //
   kartavyanirṇayavirūḍhamanaḥprasādaśaṃsismitena mukhacandramasā virājan &	kartavya-nirNaya-virUXa-manaH-prasAda-SaMsi-smitena muKa-candramasA virAjan &
   rāmas+prabhātapavanāhitavīcikampām+pampām+iyāya sarasīm+saha lakṣmaṇena //	rAmas+-praBAta-pavana-Ahita-vIci-kampAm-+pampAm-+iyAya sarasIm+saha lakzmaNena //
   Rc_3.101 //	Rt-_3.101 //
   pārśvasthāvarajasasambhramopanītapratyagrasphuṭitavilohitāravindaḥ &	pArSva-sTAvarajasa-samBrama-upanIta-pratyagra-sPuwita-vilohita-aravindaH &
   susnātas+kṛtavidhis+añjasā+upatasthe kākutsthas+kanakarasāvadātam+arkam //	su-snAtas+-kRta-viDi-s+aQjasA+upatasTe kAkutsTa-s+kanaka-rasa-avadAtam-+arkam //
   Rc_3.102 //	Rt-_3.102 //
   tau dīrgham+vidhivat+upāsya pūrvasandhyām+pūṣṇīṣatprakaṭitaraśmibarbarīke	tO dIrGam+viDivat-+upAsya pUrva-sanDyAm-+pUzNIzat-prakawita-raSmi-barbarIke
   āsātām+rahitamahīruhopakaṇṭhau+udvellastimitajaṭāvanau vanānte // Rc_3.103	AsAtAm-+rahita-mahIruha-upakaNWO+u-dvella-stimita-jawA-vanO vanAnte // Rt-_3.103
   iti+abhinandakavikṛtau rāmacarite mahākāvye	iti-+aBinandaka-vikRtO rAma-carite mahAkAvye
   mantraviniścayapūrvakaprātaḥssandhyāvarṇanas+nāma tṛtīyas+sargas+samāptaḥ	mantra-viniScaya-pUrvaka-prAtar-ssanDyAvarNanas+nAma tRtIyas+-sarga-s+-samAptaH
