   REFERENCE SYSTEM:	RA eFA eRENCE SYSTEM:
   na ca kāraṇamiti kathaṃ tatastatsiddhi' /	na ca kAraNam iti kaTam tatas tad sidDi a /
   śrūyatāṃ yathā siddhyati /	SrUyatAm yaTA sidDyati /
   rasādeva hi svahetāvagnāviva dhūmādanumīyamāne	rasAt eva hi sva hetO= agnO= iva DUmAt anumIyamAne
   samasāmagrīkendhanavikāravadrūpāvagatiriti nānupapatti' /	sama sAm agrIka inDana vikAra vat rUpa avagatiH iti na anupapatti a /
   yathāhu 	yaTA Ahu 
   "ekasāmagryadhīnasya rūpāde rasato gati' /	"eka sAmagrI aDInasya rUpa Ade rasataH gati a /
   hetudharmanumānena dhūmendhanavikāravat ||"	hetu Darma numAnena DUma inDana vikAra vat ||"
   iti /	iti /
   nanu yuktendhanavikāre tasya dhūmasya caikāgnikāraṇātvādavagati' /	nanu yukta inDana vikAre tasya DUmasya ca eka agni kAraNA tvAt avagati a /
   na tu rūparasāvekakāraṇakau /	na tu rUpa rasO= eka kAraNakO /
   kāraṇarasā hi kārye rasamārambhantekāraṇarūpāṇi ca kārye rūpam /	kAraNa rasAH hi kArye rasam AramBantekAraNa rUpANi ca kArye rUpam /
   tat kuta' samānakāraṇatā /	tat kuta a samAna kAraNa tA /
   naikakāraṇatayaikasāmagryadhīnatvam /	na eka kAraNa tayA eka sAmagrI aDIna tvam /
   kintu rasād rasaheturanumīyamāna'	kintu rasAt rasa hetuH anumIyamAna a
   pravṛttirūpajananaśkatirūpopādānakāraṇasahakṛto 'numīyate /	pravRtti rUpa janana Skati rUpa upAdAna kAraNa saha kRtaH anumIyate /
   tathāvidhasyaiva kāraṇatvāt pravṛttiśaktinā ca kāraṇena rūpaṃ janyata iti	taTAviDasya eva kAraNa tvAt pravRtti SaktinA ca kAraNena rUpam janyate iti
   rūpasiddhi' /	rUpa sidDi a /
   tadidamanupapannam yat tāvat kāryaṃ kāraṇena vinā na bhavatīti	tat idam anupapannam yat tAvat kAryam kAraNena vinA na Bavati iti
   tatastajjñānamuktam /	tatas tat jQAnam uktam /
   tadayuktam /	tat ayuktam /
   kathaṃ hi kāraṇena vinā kāryameva na bhavati ityetadevāvaseyam /	kaTam hi kAraNena vinA kAryam eva na Bavati iti etat eva avaseyam /
   tadvinā bhavato nityaṃ sattvasattvaṃ vā syāt /	tad vinA BavataH nityam sattva sattvam vA syAt /
   tataśca kāryataiva hīyeta /	tatas ca kArya tA eva hIyeta /
   uktaṃ hi tai' 	uktam hi tE a 
   "nityaṃ sattvamasattvaṃ hetoranyānapekṣaṇāt /	"nityam sattvam asat tvam hetoH anya anapekzaNAt /
   apekṣāto hi bhāvānāṃ kādācitkatvasambhava' ||"	apekzAtaH hi BAvAnAm kAdAcid ka tva samBava a ||"
   iti /	iti /
   apekṣāta' kādācitkatvamanapekṣaṃ tu sadasadvā syāt /	apekzAta a kAdAcid ka tvam anapekzam tu sat asat vA syAt /
   gaganaśaśaviṣāṇavaditi cet /	gagana SaSa vizANa vat iti ced /
   yadyevamanyo 'yaṃ kāryakāraṇabhāvāt svabhāvaniyama' yadanapekṣaṃ tannityaṃ	yadi evam anyaH ayam kArya kAraNa BAvAt svaBAva niyama a yat anapekzam tat nityam
   sadasadvā bhavatīti /	sat asat vA Bavati iti /
   yacca rasādrūpāvagatirekasāmagryadhīnatvādityuktam /	yat ca rasAt rUpa avagatiH eka sAmagrI aDIna tvAt iti uktam /
   tadapyuktam /	tat api uktam /
   yadyapi pravṛttiśaktirūpopādānakāraṇasahakṛto rasaheturavagata' svakāryād,	yadi api pravRtti Sakti rUpa upAdAna kAraNa saha kRtaH rasa hetuH avagata a sva kAryAt ,
   rūpaṃ tu kuto 'vagamyate /	rUpam tu kutas avagamyate /
   pravṛttisāmarthyāt kāraṇāditi cet /	pravRtti sAmarTyAt kAraNAt iti ced /
   nanu nādo rūpasya kāryaṃ nātmeti kathaṃ tadagame hetu' /	nanu nAdaH rUpasya kAryam na AtmA iti kaTam tat agame hetu a /
   pravṛttiśakte' kāraṇasya kāryāvyabhicāraditi cet /	pravRtti Sakte a kAraNasya kArya avyaBicArat iti ced /
   na /	na /
   tarhi kāryatadātmanorevāvinābhāva' kāraṇe 'pi (bhāvād ? bhavet )	tarhi kArya tad AtmanoH eva avina aBAva a kAraNe api (BAvAt ? Bavet )
   bhavatviti cet /	Bavatu iti ced /
   na /	na /
   agnerapi dhūmānumānaprasaṅgāt /	agneH api DUma anumAna prasaFgAt /
   astviti cet /	astu iti ced /
   atantraṃ tarhi kāryatvamanumāne syānmatam /	atantram tarhi kArya tvam anumAne syAt matam /
   na pravṛttisāmarthyāt kāraṇād rūpānumānam /	na pravRtti sAmarTyAt kAraNAt rUpa anumAnam /
   api tarhi rūpavadrūpakāraṇasahakāriṇā rasakāraṇena raso janyate /	api tarhi rUpa vat rUpa kAraNa sahakAriNA rasa kAraNena rasaH janyate /
   sahakārikāraṇamapi saviśeṣaṇaṃ kāraṇameveti rasāditaretarānugṛhītaṃ	sahakAri kAraNam api sa viSezaNam kAraNam eva iti rasa Aditaretara anugRhItam
   kāraṇacakramanumāsyata iti /	kAraNa cakram anumAsyate iti /
   tanna /	tat na /
   kāryakāraṇayorayaugapadyādrūpakāraṇasya tadvatānupapatti' /	kArya kAraNayoH ayOgapadyAt rUpa kAraNasya tadvatA anupapatti a /
   pāriśeṣyād (dūṣyād?) rūpameva sahakārīti vācyam /	pAriSezyAt (dUzya Ad?) rUpam eva sahakArI iti vAcyam /
   tatra ca vṛthā tatkāraṇānumānapariśrama' /	tatra ca vRTA tad kAraNa anumAna pariSrama a /
   rūpaṃ sahakārītyapi	rUpam sahakArI iti api
   nānirṇītarūparasāvinābhāvo 'nubhavitumutsahate /	na anirNIta rUpa rasa AvinABAvaH anuBavitum utsahate /
   prāgeva tu tannirṇaye vṛthā rūpataddhetvo' sahakāritvakalpanā /	prAk eva tu tat nirNaye vRTA rUpa tad hetvaH a sahakAri tva kalpanA /
   sambandho vyāptiriṣṭātra liṅgadharmasya liṅginā ||3||	sambanDaH vyAptiH izwa atra liFga Darmasya liFginA ||3||
   api cānubhavaviruddhamevedam /	api ca anuBava virudDam eva idam /
   na khalu rasamupalabhya taddhetvanumānamukhena rūpāvagatirlaukikānām /	na Kalu rasam upalaBya tad hetu anumAna muKena rUpa avagatiH lOkikAnAm /
   api tarhi rūparasayo' sāhityaniyamāt sahasaiva rasād rūpamanumīyate /	api tarhi rUpa rasayaH a sAhitya niyamAt sahasA eva rasAt rUpam anumIyate /
   api ca kāryakāraṇabhūtayoreva bahulamanumānavyavahāro dṛśyate ityanādṛtyaṃ	api ca kArya kAraNa BUtayoH eva bahulam anumAna vyavahAraH dRSyate iti anAdRtyam
   kāryatvamavyabhacāre /	kArya tvam avyaBacAre /
   tādātmyamapi meyābhāvaprasaṅgāddheyameva /	tAdAtmyam api meyA BAva prasaFgAt heyam eva /
   kiṃ hi vṛkṣātmani śiṃśapātve vidite meyamavaśiṣyate /	kim hi vRkza Atmani SiMSapA tve vidite meyam avaSizyate /
   nirbhāgaṃ vastu, bhāgāvagrahāṇāṃ deśādibhede 'pyabādhitānāṃ samyaktvāt /	nirBAgam vastu, BAga avagrahANAm deSa Adi Bede api abADitAnAm samyaktvAt /
   kālpanikabhedāśrayatvāccanumānasya vāstavamaikātmyamanaṅgam /	kAlpanika Beda ASraya tvAt canumAnasya vAstavam EkAtmyam anaFgam /
   vṛkṣavyavahāro 'numīyata iti ced	vRkza vyavahAraH anumIyate iti ced 
   kathamanātmavyavahāra'śiṃśapātvādanumīyate /	kaTam anAtma vyavahAra aSiMSapA tvAt anumIyate /
   tādātmye vṛkṣavadananumānaprasaṅgāt /	tAdAtmye vRkza vat ana numAna prasaFgAt /
   vyavahārayogyatāyāmapyevameviti yat kiñcidetat /	vyavahAra yogya tAyAm api evam eviti yat kiQcid etat /
   evameva vaiśiṣikādisamayasiddhā api kāryakāraṇabhāvādaya'	evam eva vESizika Adi samaya sidDAH api kArya kAraNa BAva Adaya a
   sambandhaprakārā' prayuktā veditavyā' /	sambanDa prakArA a prayuktAH veditavyA a /
   te 'pi hyaniyatānanumānotpattikāraṇam /	te api hi aniyata ananumAna utpatti kAraNam /
   astu tarhi niyamo vānumānāṅgam /	astu tarhi niyamaH vA anumAna aFgam /
   na /	na /
   pramāṇābhāvādanavagate' /	pramANa aBAvAt anavagate a /
   na tāvadāpātajaṃ pratyakṣamasyāvadhāraṇakṣamam /	na tAvat ApAta jam pratyakzam asya avaDAraNa kzamam /
   īkṣate khalvayaṃ visphāritākṣa' sahasā mahānase dhūmamagninā sahitam /	Ikzate Kalu ayam visPArita akza a sahasA mahAnase DUmam agninA sahitam /
   na tu jānāti niyato 'yamaneneti /	na tu jAnAti niyataH ayam anena iti /
   duradhigamo hi sarvabhāvānāṃ svabhāvaniyama' /	duraDigamaH hi sarva BAvAnAm svaBAva niyama a /
   na tamunnetumutsahante jhaṭiti mahānto 'pi /	na tam unnetum utsahante Jawiti mahAntaH api /
   na hi nirvikalpakāgocare vikalpa' pramāṇam /	na hi nirvikalpaka agocare vikalpa a pramANam /
   tatpura' saratvāt tasya /	tat pura a saratvAt tasya /
   syādetat /	syAt etat /
   deśādibhedeṣvavyabhicārāt svabhāvaniyamo 'vadhāryata iti /	deSa Adi Bedezu avyaBicArAt svaBAva niyamaH avaDAryate iti /
   kenāvadhāryate sarvadarśanānāmanvayamātre vyāpārāt /	kena avaDAryate sarva darSanAnAm anvaya mAtre vyApArAt /
   atha pūrvapūrvajñānajanitabhāvanāsacivamantimamanenāyaṃ niyata iti	aTa pUrva pUrva jQAna janita BAva nA sacivam antimamanena ayam niyataH iti
   bhavatyālocanājñānam /	Bavati Alocana ajQAnam /
   tato vikalpā' pravartiṣyanta iti /	tatas vikalpA a pravartizyante iti /
   naitadevam /	na etat evam /
   indriyavyāpārasāpekṣaṃ hi pratyakṣam /	indriya vyApAra sApekzam hi pratyakzam /
   na ca sahabhāvadarśanādanyatra bahiridandriyavyāpāra' /	na ca saha BAva darSanAt anyatra bahis idandriya vyApAra a /
   na ca bahirviṣayavedane tannirapekṣamanta'karaṇaṃ pravartate /	na ca bahis vizaya vedane tat nirapekzam anta akaraNam pravartate /
   api ca nirūpitarūpā api bhāvā deśādibhedeṣvanyathābhavanto 'nūbhūyanta iti	api ca nirUpita rUpAH api BAvAH deSa Adi Bedezu anyaTA aBavantaH anUBUyante iti
   na svabhāvaniyamaṃ pratyāśrayitumucitaṃ prāmāṇikānām /	na svaBAva niyamam pratyASrayitum ucitam prAmANikAnAm /
   tadāhu 	tat Ahu 
   "deśakālādirūpāṇāṃ bhedād bhinnāsu śaktiṣu /	"deSa kAla Adi rUpANAm BedAt BinnAsu Saktizu /
   bhāvānāmanumānena prasiddhiratidurlabhā ||"	BAvAnAm anumAnena prasidDiH ati durlaBA ||"
   vyāpyasya gamakatvaṃ ca vyāpakaṃ gamyamiṣyate // Msv_5,4.4 //	vyApyasya gamaka tvam ca vyApakam gamyam izyate // Msu _5,4.4 //
   yo yasya deśakālābhyāṃ samonyūno 'pi vā bhavet /	yaH yasya deSa kAlAByAm samonyUnaH api vA Bavet /
   sa vyāpovyāpakastasya samovābhyadhiko 'pi vā // Msv_5,4.5 //	sa vyApaH vyApakaH tasya samova aByaDikaH api vA // Msu _5,4.5 //
   tena vyāpye gṛhīter'the vyāpakastasya gṛhyate /	tena vyApye gRhIter aTe vyApakaH tasya gRhyate /
   na hyanyathā bhavatyeṣā vyāpyavyāpakatā tayo' // Msv_5,4.6 //	na hi anyaTA Bavati ezA vyApya vyApaka tA tayas a // Msu _5,4.6 //
   iti tasmād vaktavyo 'numānāṅgabhūta' sambandha' /	iti tasmAt vaktavyaH anumAna aFga BUta a sambanDa a /
   ata āha sambandhaiti /	atas Aha  sambanDa eti /
   vyāptirhi sāhityaniyamamapadiśati /	vyAptiH hi sAhitya niyamam apadiSati /
   taddarśino hmekadeśaderśanādekadeśāntare buddhirutpadyate, ata'	tad darSinaH hmeka deSa derSanAt eka deSa antare budDiH utpadyate, ata a
   sāmānyavacano 'pi sambandhaśabda	sAmAnya vacanaH api sambanDa Sabda
   uparitanasamabhivyāhārādatrānumānalakṣaṇagranthe	uparitana samaBivyAhArAt atra anumAna lakzaNa granTe
   viśeṣaparo bhavati /	viSeza paraH Bavati /
   upari cāsyāvadhāraṇe pramāṇaṃ vakṣyata ita ||3||	upari ca asya avaDAraNe pramANam vakzyate itas ||3||
   yadi jñātasambandhasyānumānaṃ sa tarhi sambandho sambanadhe dvyāśraya	yadi jQAta sambanDasya anumAnam sa tarhi sambanDaH sambanaDe dvi ASraya
   ityubhayānu māne liṅgaṃ syādata āha vyāpyeti ||4||	iti uBaya anu mAne liFgam syAt atas Aha vyApya iti ||4||
   atra kāraṇamāha yo yasyeti dvayena /	atra kAraNam Aha yaH yasya iti dvayena /
   sa'  samanyūnadeśakālo hi vyāpyo bhavati /	sa a samanyUna deSa kAlaH hi vyApyaH Bavati /
   purvaṃ tāvad yatrobhayorapi dharmayorvyāpyavyāpakatvam /	purvam tAvat yatra uBayoH api DarmayoH vyApi avyApaka tvam /
   yathā parastādudāhariṣyate /	yaTA parastAt udAharizyate /
   uttarastu yathā dhūmādi', sa hi prāyeṇāgnideśakālavartī bhavati /	uttaraH tu yaTA DUma Adi a, sa hi prAyeNa agni deSa kAla vartI Bavati /
   sakalatadīyadeśakālāvyāpte' /	sakala tadIya deSa kAla avyApte a /
   vyāpakastu samādhikadeśakāla' /	vyApakaH tu sama aDika deSa kAla a /
   atrāpi pūrvokta eva pūrva' /	atra api pUrva uktaH eva pUrva a /
   uttarastu yathāgnireva dhūmasya /	uttaraH tu yaTA agniH eva DUmasya /
   sa hi tasya deśakālau tāvad vyāpnotyeva /	sa hi tasya deSa kAlO tAvat vyApnoti eva /
   asatyapi dhūme bhavan deśakālābhyāmadhiko 'pyabhidhīyate /	asati api DUme Bavan deSa kAlAByAm aDikaH api aBiDIyate /
   yataścānayorīdṛśaṃ svarūpaṃ nānyathā vyāpyavyāpakatātmakatā,tena kāraṇena	yatas ca anayoH IdRSam svarUpam na anyaTA vyApya vyApaka tA Atmaka tA,tena kAraNena
   vyāpya eva gṛhīte vyāpakasya grahaṇaṃ bhavati yadasau taṃ vināpi na	vyApyaH eva gRhIte vyApakasya grahaNam Bavati yat asO tam vinA api na
   bhavatyeva /	Bavati eva /
   na hyasāvagniriva dhūmasyāgnerdeśakālāvatikramyāpi bhavati /	na hi asO= agniH iva DUmasya agneH deSa kAlO= atikramyA api Bavati /
   yena taṃ vināpi bhavastaṃ na gamayet /	yena tam vinA api BavaH tam na gamayet /
   agnistvavaṃvidha iti nāsau dhūmasya gamako bhavati /	agniH tu avaMviDaH iti na asO DUmasya gamakaH Bavati /
   nanu cāyaṃ viśeṣojñātasambandhaśabdānnāvagamyate /	nanu ca ayam viSezojQAta sambanDa SabdAn na avagamyate /
   vyāpakatvagṛhītastu vyāpyo yadyapi vastuta' /	vyApaka tva gRhItaH tu vyApyaH yadi api vastuta a /
   ādhikye 'pyaviruddhatvāt vyāpyaṃ na pratipādayet // Msv_5,4.7 //	ADikye api avirudDa tvAt vyApyam na pratipAdayet // Msu _5,4.7 //
   vispaṣṭaṃ dṛṣṭametacca goviṣāṇitvayormitau /	vispazwam dRzwam etat ca go vizANi tvayoH mitO /
   vyāpyatvād gamikā gāvo vyāpikā na viṣāṇitā // Msv_5,4.8 //	vyApya tvAt gamikAH gAvaH vyApikA na vizANitAH // Msu _5,4.8 //
   sa hi sambandhajñānamātramaṅgatayā darśayati, na vyāpyatāmiti kuto	sa hi sambanDa jQAna mAtram aFgatayA darSayati, na vyApyatAm iti kuto
   viśeṣalābha' /	viSeza lABa a /
   uktamatra laukikalakṣaṇānuvādenāparīkṣāpratipādanārthamidaṃ bhāṣyam /	uktam atra lOkika lakzaNa anuvAdena aparIkzA pratipAdana arTam idam BAzyam /
   loke ca vyāpyaikadeśadarśina eva vyāpakajñānamanumānamiti siddham /	loke ca vyApya eka deSa darSinaH eva vyApaka jQAnam anumAnam iti sidDam /
   nahyanyatheti cāpakṛṣya pūrveṇa yojayitvā teneti tadupajīvanena	na hi anyaTA iti ca apakRzya pUrveNa yojayitvA tena iti tat upajIvanena
   vyākhyeyamiti ||6||	vyAKyeyam iti ||6||
   nanu vyāpakādapi vyāpasaṃvittirdṛṣṭā /	nanu vyApakAt api vyApasaMvittiH dRzwAH /
   anityatvādiva kṛtakatvasya /	anitya tvAt iva kRtaka tvasya /
   bhavati hi bhāvānāmānatyatvāt kṛtakatvānumānam /	Bavati hi BAvAnAm Anatya tvAt kRtaka tva anumAnam /
   vyāpakaṃ cānityatvaṃ kṛtakatvasya /	vyApakam ca anitya tvam kRtaka tvasya /
   ato vyāpakaṃ gamyaṃ vyāpyaṃ gamakamityavyāpakamata āha vyāpakatveti /	atas vyApakam gamyam vyApyam gamakam iti avyApakam atas Aha vyApaka tvA iti /
   ayayamabhiprāya' /	ayayam aBiprAya a /
   satyaṃ vyāpakasya gamakatvam /	satyam vyApakasya gamaka tvam /
   na tu vyāpakatvagṛhītasya /	na tu vyApaka tva gRhItasya /
   tena hi rūpeṇa gṛhīto 'sau vyāpād deśakālādhikye 'pi na virūdhyate /	tena hi rUpeNa gRhItaH asO vyApAt deSa kAla ADikye api na virUDyate /
   nanu vyāpyatāpi tasyāti /	nanu vyApyatA api tasya ati /
   astu nāmavastutatastattu rūpaṃ na gṛhītamiti kathaṃ gamakatvam /	astu nAma vastu tatas tat tu rUpam na gRhItam iti kaTam gamaka tvam /
   avagate tu tādrūpye tenaivagamakatvaṃ na vyāpakatayā /	avagate tu tAdrUpye tena evagamaka tvam na vyApaka tayA /
   ato vyāpyataivānumānāṅgaṃ na vyāpakateti sūktamiti ||7||	atas vyApyatA eva anumAna aFgam na vyApaka tA iti sUktam iti ||7||
   vyāpyatvamaṅgaṃ na vyāpakatvamityetadevāsaṅkīrṇodāharaṇena	vyApya tvam aFgam na vyApaka tvam iti etat eva asaFkIrNa udAharaNena
   darśayatidupalakṣitam /	darSayatidupalakzitam /
   yathā vyāpyaṃ gamakaṃ vyāpakaṃ gamyamiti /	yaTA vyApyam gamakam vyApakam gamyam iti /
   goviṣāṇitvayorhi vyāpikā hi sā /	go vizANi tvayoH hi vyApikA hi sA /
   mitau  anumāne /	mitO anumAne /
   goviṣāṇitvayorayaṃ gamyagamakaviveko dṛṣṭa ityartha' ||8||	go vizANi tvayoH ayam gamya gamaka vivekaH dRzwaH iti arTa a ||8||
   tena yatrāpyubhau dharmau vyāpyavyāpakasaṃmatau /	tena yatra api uBO DarmO vyApya vyApaka saMmatO /
   tatrāpi vyāpyataiva syādaṅgaṃ na vyāpitā mite' // Msv_5,4.9 //	tatra api vyApya tA eva syAt aFgam na vyApitAH mite a // Msu _5,4.9 //
   tena dharmyantareṣveṣā yasya yenaiva yādṛśī /	tena Darmi antarezu ezA yasya yena eva yAdRSI /
   deśe yāvati kāle vā vyāpatā prāṅanirūpitā // Msv_5,4.10 //	deSe yAvati kAle vA vyApatA prAFa nirUpitA // Msu _5,4.10 //
   evamasaṅkare gamyakagamakavivekād yatrāpi vyāptisaṅkaro bhavati tatrāpi	evam asaFkare gamyaka gamaka vivekAt yatra api vyApti saFkaraH Bavati tatra api
   vyāpyatvameva gamakatve kāraṇamiti niṣkṛṣyata ityāha  teneti ||9||	vyApya tvam eva gamaka tve kAraNam iti nizkRzyate iti Aha tena iti ||9||
   nanu vyāptiranumānāṅgamityuktam /	nanu vyAptiH anumAna aFgam iti uktam /
   kasya punariyaṃ saṃyogina' samavāyina' sambandhisambandhino vā /	kasya punar iyam saMyogina a samavAyina a sambanDi sambanDinaH vA /
   na hyatra vyavasthāmupalabhāmahe /	na hi atra vyavasTAm upalaBAmahe /
   sarveṣāmapyanumāpakatvāt /	sarvezAm api anumApaka tvAt /
   tad yadi saṃyogī vyāpya' /	tat yadi saMyogI vyApya a /
   rasādrūpānumānaṃ na syāt /	rasAt rUpa anumAnam na syAt /
   atha samavāyī dhūmādagnyanumānam, sambandhisambandhinaśca	aTa samavAyI DUmAt agni anumAnam, sambanDi sambanDinaH ca
   pitrorbrāhmaṇatvāt putrasya brāhmaṇatvānumānamityādi darśayitavyam /	pitroH brAhmaNa tvAt putrasya brAhmaNa tva anumAnam ityAdi darSayitavyam /
   api ca vyāptirityanvayo 'bhidhīyate /	api ca vyAptiH iti anvayaH aBiDIyate /
   upaśleṣa iti yāvat /	upaSlezaH iti yAvat /
   na cāsau bhūmau pratiṣṭhitenāgnināgaganagatasya dhūmāgrasya sambhavati /	na ca asO BUmO pratizWitena agninA Agagana gatasya DUma agrasya samBavati /
   naca bhūmiṣṭhāṃ śaṅkucchāyāṃ divi vartamāna' ṛkṣodayo 'veti /	na ca BUmizWAm SaFku= CAyAm divi vartamAna a Rkza udayaH aveti /
   vyāptiśca kasyacit kenacid bhavantī deśato vā syāt kālato vā /	vyAptiH ca kasyacid kenacid BavantI deSataH vA syAt kAlataH vA /
   pūrvasmin kalpe bhāvi' saviturudayasyādyatanārkasyaivodayāt aṣṭau	pUrvasmin kalpe BAvi a savituH udayasya adyatana arkasya eva udayAt azwO
   yāmānatikramyānumānaṃ na syāt /	yAmAn atikramya anumAnam na syAt /
   parasmin dhūmādagnyanumānamityādi paryanuyoktavyam /	parasmin DUmAt agni anumAnam ityAdi paryanuyoktavyam /
   ata āha teneti dvayena /	atas Aha tena iti dvayena /
   yena kāraṇena yasyaiva saṃyogādīnāmanyatamasya, yenaiva teṣāmanyatamena,	yena kAraNena yasya eva saMyoga AdInAm anyatamasya, yena eva  tezAm anyatamena,
   yādṛśī upaśliṣṭenetareṇa vā vyāpyatā prāgavagatā, saivānumāne kāraṇaṃ	yAdRSI  upaSlizwena itareNa vA vyApya tA prAc avagatA, sA eva anumAne kAraNam
   bhavati /	Bavati /
   nahyuśleṣo vyāpti' /	nahi u SlezaH vyApti a /
   uktaṃ hi "sambandhaniyamo 'sāv" iti /	uktam hi " sambanDa niyamaH asOv" iti /
   sa cānupaśliṣṭenāpi bhavati /	sa ca anupaSlizwena api Bavati /
   yo hi yasmin sati bhavati, asati ca na bhavati, tena niyamyata ityucyate /	yaH hi yasmin sati Bavati, asati ca na Bavati, tena niyamyate iti ucyate /
   kimatropaśleṣeṇa /	kim atra upaSlezeNa /
   na cātra deśādīnāmanyatamavivakṣā /	na ca atra deSa AdInAm anyatama vivakzA /
   yāvati hi deśe kāle vā vartamānasya yasya vāpyatā nirūpitapūrvā,	yAvati hi deSe kAle vA vartamAnasya yasya vA ApyatAH nirUpita pUrvA,
   yāvaddeśakālabhāvinā vyāpakena tasya vyāpakāṃśasya tāvatyeva deśādau	yAvat deSa kAla BAvinA vyApakena tasya vyApaka aMSasya tAvatI eva deSa AdO
   vartamānasya sa vyāpyāṃśastādṛgeva, gaganādivartidharmyantare	vartamAnasya sa vyApya aMSaH tAdRS eva, gagana Adi varti Darmi antare
   dṛṣṭāntadhadharmyapekṣayā sādhyadharmiṇi dṛṣṭa' san pratipādako bhavati /	dRzwAntaDa Darmi apekzayA sADya DarmiNi dRzwa a san pratipAdakaH Bavati /
   tasya tāvati tādṛk sa dṛṣṭo dharmyantare puna' /	tasya tAvati tAdRS sa dRzwaH Darmi antare puna a /
   vyāpyāṃśo vyāpakāṃśasya tathaiva pratipādaka' // Msv_5,4.11 //	vyApya aMSaH vyApaka aMSasya taTA eva pratipAdaka a // Msu _5,4.11 //
   bhūyodarśanagamyā ca vyāpti' sāmānyadharmayo' /	BUyas darSana gamyA ca vyApti a sAmAnya DarmayaH a /
   jñāyate bhedahānena kvaciñcāpi viśeṣayo' // Msv_5,4.12 //	jQAyate Beda hAnena kvaciQcA api viSezayaH a // Msu _5,4.12 //
   niyamo hyanumānāṅgam /	niyamaH hi anumAna aFgam /
