   Rmañj, 1	RmaQj, 1
   bhāgadvayamito gandho rasabhāgadvayaṃ smṛtam /	BAga-dvaya-mitaH ganDaH rasa-BAga-dvayam smRtam /
   haṇḍikāyāṃ viniḥkṣipya pārśve pārśve ca kharpaṭān // Rmañj_2.40 //	haNxikAyAm viniHkzipya pArSve pArSve ca KarpawAn // RmaQt-_2.40 //
   dagdhvātha haṇḍikāṃ dattvā dviraṣṭapraharaṃ pacet /	dagDvA-aTa haNxikAm dattvA dvis-azwa-praharam pacet /
   mṛtasūtaṃ tu gṛhṇīyācchuddhaḥ karpūrasannibham // Rmañj_2.41 //	mRta-sUtam tu gRhNIyAt-SudDaH karpUra-sanniBam // RmaQt-_2.41 //
   kalkādiveṣṭitaṃ kṛtvā nirgiled upadaṃśake /	kalka-Adi-vezwitam kRtvA nirgilet upadaMSake /
   <rasakarpūra>	<rasakarpUra>
   piṣṭaṃ pāṃśupaṭupragāḍhamamalaṃ vajryambunānekaśaḥ sūtaṃ dhātuyutaṃ	pizwam pAMSu-pawu-pragAXam-amalam vajrI-ambunA-anekaSas sUtam DAtu-yutam
   khaṭīkavalitaṃ taṃ sampuṭe rodhayet /	KawI-kavalitam tam sampuwe roDayet /
   antaḥsthaṃ lavaṇasya tasya ca tale prajvālya vahṇiṃ haṭhāt bhasma	antaHsTam lavaNasya tasya ca tale prajvAlya vahNim haWAt Basma
   grāhyamathendukundadhavalaṃ bhasmoparisthaṃ śanaiḥ // Rmañj_2.42 //	grAhyam-aTa-indu-kunda-Davalam Basma-upari-sTam SanEs // RmaQt-_2.42 //
   tadvalladvitayaṃ lavaṅgasahitaṃ prātaḥ prabhuktaṃ nṛṇām ūrdhvaṃ recayati	tad-valla-dvitayam lavaFga-sahitam prAtar praBuktam nRNAm UrDvam recayati
   dviyāmamasakṛtpeyaṃ jalaṃ śītalam /	dvi-yAmam-asakRt-peyam jalam SItalam /
   etaddhanti ca vatsarāvadhi viṣaṃ ṣāṇmāsikaṃ māsikaṃ śailotthaṃ garalaṃ	etat-hanti ca vatsara-avaDi vizam zANmAsikam mAsikam SEla-utTam garalam
   mṛgendrakuṭilodbhūtaṃ ca tātkālikam // Rmañj_2.43 //	mRgendra-kuwila-udBUtam ca tAtkAlikam // RmaQt-_2.43 //
   <rasamūrchana>	<rasa-mUrCana>
   meghanādavacāhiṅgulaśunair mardayed rasam /	meGanAda-vacA-hiFgu-laSunEH mardayet rasam /
   naṣṭapiṣṭaṃ tu tadgolaṃ hiṅgunā veṣṭayedbahiḥ // Rmañj_2.44 //	nazwapizwam tu tad-golam hiFgunA vezwayet-bahis // RmaQt-_2.44 //
   pacellavaṇayantrasthaṃ dinaikaṃ caṇḍavahṇinā /	pacet-lavaNayantra-sTam dina-ekam caNxa-vahNinA /
   ūrdhvalagnaṃ samādāya dṛḍhaṃ vastreṇa veṣṭayet // Rmañj_2.45 //	UrDva-lagnam samAdAya dRXam vastreNa vezwayet // RmaQt-_2.45 //
   ūrdhvādho gandhakaṃ tulyaṃ dattvā saumyānale pacet /	UrDva-aDas ganDakam tulyam dattvA sOmya-anale pacet /
   jīrṇe gandhe punardeyaṃ ṣaḍbhir vāraiḥ samaṃ samam // Rmañj_2.46 //	jIrNe ganDe punar-deyam zaxBiH vArEH samam samam // RmaQt-_2.46 //
   ṣaḍguṇe gandhake jīrṇe mūrchito rogahā bhavet /	zaxguNe ganDake jIrNe mUrCitaH roga-hA Bavet /
   <rasamūrchana>	<rasa-mUrCana>
   lohapātre'thavā tāmre palaikaṃ śuddhagandhakam // Rmañj_2.47 //	loha-pAtre-aTavA tAmre pala-ekam SudDa-ganDakam // RmaQt-_2.47 //
   mṛdvagninā drute tasmiñchuddhaṃ sūtapalatrayam /	mRdu-agninA drute tasmin-SudDam sUta-pala-trayam /
   kṣiptvātha cālayet kiṃcillohadarvyā punaḥ punaḥ // Rmañj_2.48 //	kziptvA-aTa cAlayet kiMcid-loha-darvyA punar punar // RmaQt-_2.48 //
   gomayaṃ kadalīpatraṃ tasyopari ca ḍhālayet /	gomayam kadalI-patram tasya-upari ca XAlayet /
   ityevaṃ gandhabaddhaṃ ca sarvarogeṣu yojayet // Rmañj_2.49 //	iti-evam ganDa-badDam ca sarva-rogezu yojayet // RmaQt-_2.49 //
   mārito dehasiddhyarthaṃ mūrchito vyādhighātane /	mAritaH deha-sidDi-arTam mUrCitaH vyADi-GAtane /
   rasabhasma kvacidroge dehārthaṃ mūrchitaṃ kvacit /	rasa-Basma kvacid-roge deha-arTam mUrCitam kvacid /
   baddho dvābhyāṃ prayuñjīta śāstradṛṣṭena karmaṇā // Rmañj_2.50 //	badDaH dvAByAm prayuQjIta SAstra-dRzwena karmaNA // RmaQt-_2.50 //
   <baddhapāradalakṣaṇāni>	<badDa-pArada-lakzaNAni>
   akṣayī ca laghurdrāvī tejasvī nirmalo guruḥ /	akzayI ca laGuH-drAvI tejasvI nirmalaH guruH /
   sphuṭanaṃ punarāvṛttirbaddhasūtasya lakṣaṇam // Rmañj_2.51 //	sPuwanam punarAvRttiH-badDa-sUtasya lakzaNam // RmaQt-_2.51 //
   <mūrchitapāradalakṣaṇāni>	<mUrCita-pArada-lakzaNAni>
   kajjalābho yadā sūto vihāya ghanacāpalam /	kajjala-ABaH yadA sUtaH vihAya Gana-cApalam /
   dṛśyate'sau tadā jñeyo mūrchitaḥ sutarāṃ budhaiḥ // Rmañj_2.52 //	dRSyate-asO tadA jQeyaH mUrCitaH sutarAm buDEH // RmaQt-_2.52 //
   <mṛtapāradalakṣaṇāni>	<mRta-pArada-lakzaNAni>
   ārdratvaṃ ca ghanatvaṃ ca cāpalyaṃ gurutaijasam /	Ardra-tvam ca Gana-tvam ca cApalyam guru-tEjasam /
   yasyaitāni na dṛśyante taṃ vidyānmṛtasūtakam // Rmañj_2.53 //	yasya-etAni na dRSyante tam vidyAt-mRta-sUtakam // RmaQt-_2.53 //
   <nirbījabaddhapāradaḥ>	<nirbIja-badDa-pAradaH>
   rasastu pādāṃśasuvarṇajīrṇaḥ piṣṭīkṛto gandhakayogataśca /	rasaH-tu pAda-aMSa-suvarNa-jIrNaH pizwIkRtaH ganDaka-yogataH-ca /
   tulyāṃśagandhaiḥ puṭitaṃ krameṇa nirbījanāmākhilarogahantā // Rmañj_2.54	tulya-aMSa-ganDEH puwitam krameNa nirbIja-nAma-aKila-roga-hantA // RmaQt-_2.54
   <sabījabaddhapāradaḥ>	<sa-bIja-badDa-pAradaH>
   bījīkṛtair abhrakasattvahematārārkakāntaiḥ saha sādhito'yam /	bIjIkRtEH aBraka-sattva-hema-tArA-arka-kAntEH saha sADitaH-ayam /
   punastataḥ ṣaḍguṇagandhacūrṇaiḥ sabījabaddho 'pyadhikaprabhāvaḥ //	punar-tatas zaxguNa-ganDa-cUrNEH sa-bIja-badDaH api-aDika-praBAvaH //
   Rmañj_2.55 //	RmaQt-_2.55 //
   rasavīryavipākeṣu vidyātsūtaṃ sudhāmayam /	rasa-vIrya-vipAkezu vidyAt-sUtam suDA-mayam /
   sevito'sau sadā dehe roganāśāya kalpate // Rmañj_2.56 //	sevitaH-asO sadA dehe roga-nASAya kalpate // RmaQt-_2.56 //
   <kakārāṣṭaka>	<kakAra-azwaka>
   kūṣmāṇḍaṃ karkaṭīṃ caiva kaliṅgaṃ kāravellakam /	kUzmANxam karkawIm ca-eva kaliFgam kAravellakam /
   kusumbhikaṃ ca karkoṭīṃ kadalīṃ kākamācikām // Rmañj_2.57 //	kusumBikam ca karkowIm kadalIm kAkamAcikAm // RmaQt-_2.57 //
   kakārāṣṭakametaddhi varjayedrasabhakṣakaḥ /	kakArAzwakam-etat-hi varjayet-rasa-BakzakaH /
   hitaṃ mudgāmbudugdhājyaṃ śālyannaṃ ca viśeṣataḥ // Rmañj_2.58 //	hitam mudga-ambu-dugDa-Ajyam SAli-annam ca viSezataH // RmaQt-_2.58 //
   śākaṃ punarnavāyāstu meghanādaṃ ca cillikām /	SAkam punarnavAyAH-tu meGanAdam ca cillikAm /
   saindhavaṃ nāgaraṃ mustaṃ padmamūlāni bhakṣayet // Rmañj_2.59 //	sEnDavam nAgaram mustam padma-mUlAni Bakzayet // RmaQt-_2.59 //
   abhyaṅgaṃ maithunaṃ snānaṃ yatheṣṭaṃ ca sukhāmbunā /	aByaFgam mETunam snAnam yaTezwam ca suKa-ambunA /
   rūpayauvanasampannāṃ sānukūlāṃ priyāṃ bhajet // Rmañj_2.60 //	rUpa-yOvana-sampannAm sa-anukUlAm priyAm Bajet // RmaQt-_2.60 //
   buddhiḥ prajñā balaṃ kāntiḥ prabhā caivaṃ vayastathā /	budDiH prajQA balam kAntiH praBA ca-evam vayaH-taTA /
   vardhante sarva evaite rasasevāvidhau nṛṇām // Rmañj_2.61 //	varDante sarve eva-ete rasa-sevA-viDO nRNAm // RmaQt-_2.61 //
   yasya rogasya yo yogastenaiva saha yojayet /	yasya rogasya yaH yogaH-tena-eva saha yojayet /
   rasendro harate rogānnarakuñjaravājinām // Rmañj_2.62 //	rasendraH harate rogAn-nara-kuQjara-vAjinAm // RmaQt-_2.62 //
   Rmañj, 3	RmaQj, 3
   <uparasāḥ>	<uparasAH>
   gandhakaṃ vajravaikrāntaṃ gaganaṃ tālakaṃ śilām /	ganDakam vajra-vEkrAntam gaganam tAlakam SilAm /
   kharparaṃ śikhitutthaṃ ca vimalā hemamākṣikam // Rmañj_3.1 //	Karparam SiKitutTam ca vimalA hemamAkzikam // RmaQt-_3.1 //
   kāsīsaṃ kāntapāṣāṇaṃ varāṭāñjanahiṅgulam /	kAsIsam kAntapAzANam varAwa-aQjana-hiFgulam /
   kaṅkuṣṭhaṃ śaṃkhabhūnāgaṃ ṭaṅkaṇaṃ tu śilājatu // Rmañj_3.2 //	kaFkuzWam SaMKa-BUnAgam waFkaNam tu SilAjatu // RmaQt-_3.2 //
   ete uparasāḥ proktāḥ śodhyā drāvyāśca mārayet /	ete uparasAH proktAH SoDyAH drAvyAH-ca mArayet /
   <gandhaka>	<ganDaka>
   tatrādau gandhakotpattiṃ śodhanaṃ tvatha kathyate // Rmañj_3.3 //	tatra-AdO ganDaka-utpattim SoDanam tu-aTa kaTyate // RmaQt-_3.3 //
   śvetadvīpe purā devyāḥ krīḍantyāḥ prasṛtaṃ rajaḥ /	SvetadvIpe purA devyAH krIxantyAH prasRtam rajaH /
   kṣīrārṇave tu snātāyā dukūlaṃ rajasānvitam // Rmañj_3.4 //	kzIrArNave tu snAtAyAH dukUlam rajasA-anvitam // RmaQt-_3.4 //
   dhautaṃ yat salile tasmin gandhavadgandhakaṃ smṛtam /	DOtam yat salile tasmin ganDa-vat-ganDakam smRtam /
   caturdhā gandhakaḥ prokto raktapītasitāsitaiḥ // Rmañj_3.5 //	caturDA ganDakaH proktaH rakta-pIta-sita-asitEH // RmaQt-_3.5 //
   rakto hemakriyāsūktaḥ pītaścaiva rasāyane /	raktaH hema-kriyAsu-uktaH pItaH-ca-eva rasAyane /
   vraṇādilepane śvetaḥ śreṣṭhaḥ kṛṣṇastu durlabhaḥ // Rmañj_3.6 //	vraNa-Adi-lepane SvetaH SrezWaH kRzNaH-tu durlaBaH // RmaQt-_3.6 //
   aśuddhagandhaḥ kurute'tikuṣṭhaṃ tāpaṃ bhramaṃ pittarujaṃ karoti /	aSudDa-ganDaH kurute-ati-kuzWam tApam Bramam pitta-rujam karoti /
   rūpaṃ sukhaṃ vīryabalaṃ nihanti tasmāt suśuddhaṃ viniyojanīyam //	rUpam suKam vIrya-balam nihanti tasmAt su-SudDam viniyojanIyam //
   Rmañj_3.7 //	RmaQt-_3.7 //
   <gandhakaśodhanam (1)>	<ganDaka-SoDanam (1)>
   sājyabhāṇḍe payaḥ kṣiptvā mukhaṃ vastreṇa bandhayet /	sa-Ajya-BANxe payaH kziptvA muKam vastreNa banDayet /
   tatpṛṣṭhe gandhakaṃ kṣiptvā śarāveṇāvarodhayet // Rmañj_3.8 //	tad-pRzWe ganDakam kziptvA SarAveNa-avaroDayet // RmaQt-_3.8 //
   bhāṇḍaṃ nikṣipya bhūmyāṃ tadūrdhvaṃ deyaṃ puṭaṃ laghu /	BANxam nikzipya BUmyAm tad-UrDvam deyam puwam laGu /
   tataḥ kṣīreṇa gandhaṃ ca śuddhaṃ yogeṣu yojayet // Rmañj_3.9 //	tatas kzIreNa ganDam ca SudDam yogezu yojayet // RmaQt-_3.9 //
   <gandhakaśodhanam (2)>	<ganDaka-SoDanam (2)>
   gandhakaṃ śodhayed dugdhe dolāyantreṇa tattvavit /	ganDakam SoDayet dugDe dolAyantreNa tattva-vid /
   tena śuddho bhavatyeṣa dhātūṇāṃ prāṇamūrchakaḥ // Rmañj_3.10 //	tena SudDaH Bavati-eza DAtUNAm prANa-mUrCakaH // RmaQt-_3.10 //
   <gandhakaśodhanam (3)>	<ganDaka-SoDanam (3)>
   ghṛtayuktam ayodarvyā gandhaṃ vahṇau pragālayet /	GRta-yuktam ayaH-darvyA ganDam vahNO pragAlayet /
   ekībhūtaṃ tato gandhaṃ dugdhamadhye parikṣipet // Rmañj_3.11 //	ekIBUtam tatas ganDam dugDa-maDye parikzipet // RmaQt-_3.11 //
   tena śuddho bhavedgandhaḥ sarvayogeṣu yojayet /	tena SudDaH Bavet-ganDaH sarva-yogezu yojayet /
   śodhito rasarājaḥ syājjarāmṛtyurujāpahaḥ /	SoDitaH rasarAjaH syAt-jarA-mRtyu-rujA-apahaH /
   agnisaṃdīpanaṃ śreṣṭhaṃ vīryavṛddhiṃ karoti ca // Rmañj_3.12 //	agni-saMdIpanam SrezWam vIrya-vRdDim karoti ca // RmaQt-_3.12 //
   <gandhakataila>	<ganDaka-tEla>
   arkakṣīraiḥ snuhīkṣīrairvastraṃ lepyaṃ tu saptadhā /	arka-kzIrEH snuhI-kzIrEH-vastram lepyam tu saptaDA /
   gandhakaṃ navanītena piṣṭvā vastraṃ lipettu tat // Rmañj_3.13 //	ganDakam navanItena pizwvA vastram lipet-tu tat // RmaQt-_3.13 //
   tadvartirjvalitā vaṃśairdhṛtā dhāryā tvadhomukhī // Rmañj_3.14 //	tad-vartiH-jvalitA vaMSEH-DRtA DAryA tu-aDomuKI // RmaQt-_3.14 //
   tailaṃ patatyadho bhāṇḍe grāhyaṃ yogeṣu yojayet /	tElam patati-aDas BANxe grAhyam yogezu yojayet /
   agnisaṃdīpanaṃ śreṣṭhaṃ vīryavṛddhiṃ karoti ca // Rmañj_3.15 //	agni-saMdIpanam SrezWam vIrya-vRdDim karoti ca // RmaQt-_3.15 //
   <hīraka>	<hIraka>
   śvetapītā raktakṛṣṇā dvijādyā vajrajātayaḥ /	Sveta-pItAH rakta-kRzNAH dvija-AdyAH vajra-jAtayaH /
   puṃstrīnapuṃsakaṃ ceti lakṣaṇena tu lakṣayet // Rmañj_3.16 //	puMstrInapuMsakam ca-iti lakzaNena tu lakzayet // RmaQt-_3.16 //
   vṛttāḥ phalakasampūrṇās tejovanto bṛhattarāḥ /	vRttAH Palaka-sampUrNAH tejovantaH bRhattarAH /
   puruṣāste samākhyātā rekhābinduvivarjitāḥ // Rmañj_3.17 //	puruzAH-te samAKyAtAH reKA-bindu-vivarjitAH // RmaQt-_3.17 //
   rekhābindusamāyuktāḥ ṣaṭkoṇāstāḥ striyaḥ smṛtāḥ /	reKA-bindu-samAyuktAH zaz-koNAH-tAH striyaH smRtAH /
   trikoṇāḥ patravaddīrghā vijñeyāste napuṃsakāḥ // Rmañj_3.18 //	tri-koNAH patra-vat-dIrGAH vijQeyAH-te napuMsakAH // RmaQt-_3.18 //
   sarveṣāṃ puruṣāḥ śreṣṭhā vedhakā rasabandhakāḥ /	sarvezAm puruzAH SrezWAH veDakAH rasa-banDakAH /
   strīvajraṃ dehasiddhyarthaṃ krāmaṇaṃ syānnapuṃsakam // Rmañj_3.19 //	strIvajram deha-sidDi-arTam krAmaNam syAt-napuMsakam // RmaQt-_3.19 //
   vipro rasāyane proktaḥ kṣatriyo roganāśane /	vipraH rasAyane proktaH kzatriyaH roga-nASane /
   vādādau vaiśyajātīyo vayaḥstambhe turīyakaḥ // Rmañj_3.20 //	vAda-AdO vESya-jAtIyaH vayaH-stamBe turIyakaH // RmaQt-_3.20 //
   strī tu striye pradātavyā klībe klībaṃ tathaiva ca /	strI tu striye pradAtavyA klIbe klIbam taTA-eva ca /
   sarveṣāṃ sarvadā yojyāḥ puruṣā balavattarāḥ // Rmañj_3.21 //	sarvezAm sarvadA yojyAH puruzAH balavattarAH // RmaQt-_3.21 //
   pāṇḍurogaṃ pārśvapīḍāṃ kilāsaṃ dāhasantatim /	pANxu-rogam pArSva-pIxAm kilAsam dAha-santatim /
   rogānīkaṃ gurutvaṃ ca dhatte vajram aśodhitam // Rmañj_3.22 //	roga-anIkam guru-tvam ca Datte vajram aSoDitam // RmaQt-_3.22 //
   <vajraśodhanam (1)>	<vajra-SoDanam (1)>
   vyāghrīkandagataṃ vajraṃ dolāyantre vipācitam /	vyAGrI-kanda-gatam vajram dolAyantre vipAcitam /
   saptāhaṃ kodravakvāthe kaulatthe vimalaṃ bhavet // Rmañj_3.23 //	sapta-aham kodrava-kvATe kOlatTe vimalam Bavet // RmaQt-_3.23 //
   <vajraśodhanam (2)>	<vajra-SoDanam (2)>
   vyāghrīkandagataṃ vajraṃ mṛdā liptaṃ puṭe pacet /	vyAGrI-kanda-gatam vajram mRdA liptam puwe pacet /
   ahorātrātsamuddhṛtya hayamūtreṇa secayet /	ahorAtrAt-samudDRtya haya-mUtreNa secayet /
   vajrīkṣīreṇa vā siñcet kuliśaṃ vimalaṃ bhavet // Rmañj_3.24 //	vajrI-kzIreNa vA siQcet kuliSam vimalam Bavet // RmaQt-_3.24 //
   <vajramāraṇaṃ (1)>	<vajra-mAraNam (1)>
   trivarṣārūḍhakārpāsamūlam ādāya peṣayet /	tri-varzA-ArUXa-kArpAsa-mUlam AdAya pezayet /
   trivarṣanāgavallyāśca drāveṇa taṃ prapeṣayet // Rmañj_3.25 //	tri-varza-nAgavallyAH-ca drAveNa tam prapezayet // RmaQt-_3.25 //
   tadgolake kṣipedvajraṃ ruddhvā gajapuṭe pacet /	tad-golake kzipet-vajram rudDvA gajapuwe pacet /
   evaṃ saptapuṭaṃ kṛtvā kuliśaṃ mriyate dhruvam // Rmañj_3.26 //	evam sapta-puwam kRtvA kuliSam mriyate Druvam // RmaQt-_3.26 //
   <vajramāraṇa (2)>	<vajra-mAraNaH (2)>
   kāṃsyapātre tu bhekasya mūtre vajraṃ subhāvayet /	kAMsya-pAtre tu Bekasya mUtre vajram suBAvayet /
   triḥ saptakṛtvaḥ saṃtaptaṃ vajrameva mṛtaṃ bhavet // Rmañj_3.27 //	tris sapta-kRtvas saMtaptam vajram-eva mRtam Bavet // RmaQt-_3.27 //
   <vajramāraṇa (3)>	<vajra-mAraNaH (3)>
   triḥ saptakṛtvaḥ saṃtaptaṃ kharamūtreṇa secayet /	tris sapta-kRtvas saMtaptam Kara-mUtreNa secayet /
   matkuṇaistālakaṃ piṣṭvā tadgole kuliśaṃ kṣipet // Rmañj_3.28 //	matkuNEH-tAlakam pizwvA tad-gole kuliSam kzipet // RmaQt-_3.28 //
   pradhmātaṃ vājimūtreṇa siktaṃ pūrvakrameṇa vai /	praDmAtam vAji-mUtreNa siktam pUrva-krameNa vE /
   bhasmībhavati tadbhuktaṃ vajravatkurute tanum // Rmañj_3.29 //	BasmIBavati tat-Buktam vajra-vat-kurute tanum // RmaQt-_3.29 //
   āyuṣyaṃ saukhyajanakaṃ baladaṃ rūpadaṃ tathā /	Ayuzyam sOKya-janakam bala-dam rUpa-dam taTA /
   rogaghnaṃ mṛtyuharaṇaṃ vajrabhasma bhavatyalam // Rmañj_3.30 //	roga-Gnam mRtyu-haraNam vajra-Basma Bavati-alam // RmaQt-_3.30 //
   <vaikrānta>	<vEkrAnta>
   aṣṭāsraś cāṣṭaphalakaḥ ṣaṭkoṇo masṛṇo guruḥ /	azwa-asraH ca-azwa-PalakaH zaz-koNaH masRNaH guruH /
   śuddhamiśritavarṇaiśca yukto vaikrānta ucyate // Rmañj_3.31 //	SudDa-miSrita-varNEH-ca yuktaH vEkrAntaH ucyate // RmaQt-_3.31 //
   śveto raktaśca pītaśca nīlaḥ pārāvatacchaviḥ /	SvetaH raktaH-ca pItaH-ca nIlaH pArAvata=-CaviH /
   śyāmalaḥ kṛṣṇavarṇaśca karburaścāṣṭadhā hi saḥ // Rmañj_3.32 //	SyAmalaH kRzNa-varNaH-ca karburaH-ca-azwaDA hi saH // RmaQt-_3.32 //
   <vaikrāntaśodhanam>	<vEkrAnta-SoDanam>
   vaikrāntaṃ vajravacchuddhaṃ dhmātaṃ taṃ hayamūtrake /	vEkrAntam vajra-vat-SudDam DmAtam tam haya-mUtrake /
   hitaṃ tadbhasma saṃyojyaṃ vajrasthāne vicakṣaṇaiḥ // Rmañj_3.33 //	hitam tat-Basma saMyojyam vajra-sTAne vicakzaNEH // RmaQt-_3.33 //
   āyuḥpradaḥ sakalabandhakaro 'tivṛṣyaḥ prajñāpradaḥ sakalarogasamūlahārī /	AyuH-pradaH sakala-banDa-karaH ati-vRzyaH prajQA-pradaH sakala-roga-samUla-hArI /
   dīptāgnikṛt pavisamānaguṇas tarasvī vaikrāntakaḥ khalu vapurbalalohakārī	dIpta-agni-kRt pavi-samAna-guNaH tarasvI vEkrAntakaH Kalu vapuH-bala-loha-kArI
   // Rmañj_3.34 //	// RmaQt-_3.34 //
   <vaikrāntasattvapātanam>	<vEkrAnta-sattva-pAtanam>
   vaikrāntaṃ vajrakande ca peṣayed vajravāriṇā /	vEkrAntam vajrakande ca pezayet vajra-vAriNA /
   māhiṣaṃ navanītaṃ ca sakṣaudraṃ piṇḍitaṃ tataḥ // Rmañj_3.35 //	mAhizam navanItam ca sa-kzOdram piNxitam tatas // RmaQt-_3.35 //
   śoṣayitvā dhamet sattvaṃ indragopasamaṃ bhavet /	SozayitvA Damet sattvam indragopa-samam Bavet /
   <abhraka>	<aBraka>
   pinākaṃ darduraṃ nāgaṃ vajramabhraṃ caturvidham /	pinAkam darduram nAgam vajram-aBram caturviDam /
   dhmātaṃ vahṇau dalacayaṃ pinākaṃ visṛjatyalam // Rmañj_3.36 //	DmAtam vahNO dala-cayam pinAkam visRjati-alam // RmaQt-_3.36 //
   phūtkāraṃ nāgavat kuryāt darduraṃ bhekaśabdavat /	PUtkAram nAga-vat kuryAt darduram Beka-Sabda-vat /
   caturthaṃ ca varaṃ jñeyaṃ na cāgnau vikṛtiṃ vrajet // Rmañj_3.37 //	caturTam ca varam jQeyam na ca-agnO vikRtim vrajet // RmaQt-_3.37 //
   tasmādvajrābhrakaṃ grāhyaṃ vyādhivārdhakyamṛtyujit /	tasmAt-vajrABrakam grAhyam vyADi-vArDakya-mRtyu-jit /
   aśuddhābhraṃ nihantyāyurvardhayenmārutaṃ kapham // Rmañj_3.38 //	aSudDa-aBram nihanti-AyuH-varDayet-mArutam kaPam // RmaQt-_3.38 //
   ahataṃ chedayedgātraṃ mandāgnikṛmivardhanam /	ahatam Cedayet-gAtram manda-agni-kRmi-varDanam /
   ataḥ śuddhābhrakaṃ grāhyaṃ mandāgnikṛmināśanam // Rmañj_3.39 //	atas SudDa-aBrakam grAhyam manda-agni-kRmi-nASanam // RmaQt-_3.39 //
   <dhānyābhraka>	<DAnyABraka>
   pādāṃśaśālisaṃyuktam abhraṃ baddhvātha kambale /	pAda-aMSa-SAli-saMyuktam aBram badDvA-aTa kambale /
   trirātraṃ sthāpayennīre tat klinnaṃ mardayed dṛḍham // Rmañj_3.40 //	tri-rAtram sTApayet-nIre tat klinnam mardayet dRXam // RmaQt-_3.40 //
   kambalādgalitaṃ ślakṣṇaṃ vālukārahitaṃ ca yat /	kambalAt-galitam SlakzNam vAlukA-rahitam ca yat /
   taddhānyābhramiti proktaṃ sadbhirdehasya siddhaye // Rmañj_3.41 //	tat-DAnyABram-iti proktam sadBiH-dehasya sidDaye // RmaQt-_3.41 //
   <dhānyābhrakakaraṇa>	<DAnyABraka-karaNa>
   dhamedvajrābhrakaṃ vahṇau tataḥ kṣīreṇa secayet /	Damet-vajrABrakam vahNO tatas kzIreNa secayet /
   bhinnapatraṃ tu tatkṛtvā meghanādāmlayordravaiḥ /	Binna-patram tu tat-kRtvA meGanAda-amlayoH-dravEH /
   bhāvayedaṣṭayāmaṃ taddhānyābhraṃ kārayet sudhīḥ // Rmañj_3.42 //	BAvayet-azwa-yAmam tat-DAnyABram kArayet suDIH // RmaQt-_3.42 //
   <dhānyābhra (3)>	<DAnyABre (3)>
   athavā badarīkvāthe dhmātamabhraṃ vinikṣipet /	aTavA badarI-kvATe DmAtam-aBram vinikzipet /
   marditaṃ pāṇinā śuṣkaṃ dhānyābhrād atiricyate // Rmañj_3.43 //	marditam pANinA Suzkam DAnyABrAt atiricyate // RmaQt-_3.43 //
   <abhrakabhasma>	<aBraka-Basma>
   dhānyābhrakasya bhāgaikaṃ dvau bhāgau ṭaṃkaṇasya ca // Rmañj_3.44 //	DAnyABrakasya BAga-ekam dvO BAgO waMkaNasya ca // RmaQt-_3.44 //
   piṣṭvā tadandhamūṣāyāṃ ruddhvā tīvrāgninā pacet /	pizwvA tat-anDamUzAyAm rudDvA tIvra-agninA pacet /
   svabhāvaśītalaṃ cūrṇaṃ sarvarogeṣu yojayet // Rmañj_3.45 //	svaBAva-SItalam cUrNam sarva-rogezu yojayet // RmaQt-_3.45 //
   <abhramāraṇa (1)>	<aBra-mAraNa (1)>
   dhānyābhrakaṃ dṛḍhaṃ mardyam arkakṣīre dināvadhi /	DAnyABrakam dRXam mardyam arka-kzIre dina-avaDi /
   veṣṭayed bhānupatraiśca cakrākāraṃ tu kārayet // Rmañj_3.46 //	vezwayet BAnu-patrEH-ca cakra-AkAram tu kArayet // RmaQt-_3.46 //
   kuñjarākhye puṭe pācyaṃ saptavāraṃ punaḥ punaḥ /	kuQjara-AKye puwe pAcyam sapta-vAram punar punar /
   tato vaṭajaṭākvāthaistadvaddeyaṃ puṭatrayam // Rmañj_3.47 //	tatas vawa-jawA-kvATEH-tadvat-deyam puwa-trayam // RmaQt-_3.47 //
   mriyate nāma sandehaḥ sarvarogeṣu yojayet /	mriyate nAma sandehaH sarva-rogezu yojayet /
   <abhramāraṇa (2)>	<aBra-mAraNa (2)>
   dhānyābhrakaṃ samādāya mustakvāthaiḥ puṭatraye // Rmañj_3.48 //	DAnyABrakam samAdAya musta-kvATEH puwa-traye // RmaQt-_3.48 //
   tadvatpunarnavānīraiḥ kāsamardarasais tathā /	tadvat-punarnavA-nIrEH kAsamarda-rasEH taTA /
   nāgavallīrasairyuktaṃ sūryakṣīraiḥ pṛthakpṛthak // Rmañj_3.49 //	nAgavallI-rasEH-yuktam sUrya-kzIrEH pRTak-pRTak // RmaQt-_3.49 //
   dine dine mardayitvā kvāthairvaṭajaṭodbhavaiḥ /	dine dine mardayitvA kvATEH-vawa-jawA-udBavEH /
   dattvā puṭatrayaṃ paścāt tripuṭaṃ muśalījalaiḥ // Rmañj_3.50 //	dattvA puwa-trayam paScAt tri-puwam muSalI-jalEH // RmaQt-_3.50 //
   trir gokṣurakaṣāyeṇa triḥ puṭedvānarīrasaiḥ /	tris gokzura-kazAyeNa tris puwet-vAnarI-rasEH /
   mocākandarasaiḥ pācyaṃ trivāraṃ kokilākṣakaiḥ // Rmañj_3.51 //	mocA-kanda-rasEH pAcyam tri-vAram kokilAkzakEH // RmaQt-_3.51 //
   rasaiḥ puṭettato dhenuḥ kṣārodakaṃ puṭaṃ muhuḥ /	rasEH puwet-tatas DenuH kzArodakam puwam muhur /
