   Revākhaṇḍa of the Vāyupurāṇa	RevAKaNxaH of Te VAyupurANa
   evaṃbhūtais tathā vṛddhaiḥ sevyate munipuṃgavaiḥ /	evaMBUtEH taTA vRdDEH sevyate muni puMgavEH /
   tato dharmasutaḥ śrīmān āśramaṃ taṃ praviśya saḥ // RKV_2.37 //	tatas DarmasutaH SrImAn ASramam tam praviSya saH // RKV_2.37 //
   dṛṣṭvā munivaraṃ śāntaṃ dhyāyamānaṃ paraṃ padam /	dRzwvA muni varam SAntam DyAyamAnam param padam /
   prādakṣiṇyena sahasā daṇḍavatpatito 'grataḥ // RKV_2.38 //	prAdakziNyena sahasA daNxa vat patitaH agratas // RKV_2.38 //
   bhaktyānupatitaṃ dṛṣṭvā cirādādāya locanam /	BaktyA anupatitam dRzwvA cirAt AdAya locanam /
   ko bhavānityuvācedaṃ dharmaṃ dhīmānapṛcchata // RKV_2.39 //	kaH BavAn iti uvAca idam Darmam DImAn apRcCate // RKV_2.39 //
   tasya tadvacanaṃ śrutvā dārakastatsamīpagaḥ /	tasya tat vacanam SrutvA dArakaH tad samIpa gaH /
   āhāyaṃ dharmarājaste darśanārthaṃ samāgataḥ // RKV_2.40 //	Aha ayam DarmarAjaH te darSana arTam samAgataH // RKV_2.40 //
   tacchrutvādārakeṇoktaṃ vacanaṃ prāha sādaraḥ /	tat SrutvA dArakeNa uktam vacanam prAha sAdaraH /
   ehyehi vatsavatseti kiṃcit sthānāccalanmuniḥ /	ehi ehi vatsa vatsA iti kiMcid sTAnAt calat muniH /
   taṃ tu snehādupāghrāya āsane upaveśayat // RKV_2.41 //	tam tu snehAt upAGrAya Asane upaveSayat // RKV_2.41 //
   upaviṣṭe sabhāyāṃ tu pūjāṃ kṛtvā yathāvidhi /	upavizwe saBAyAm tu pUjAm kRtvA yaTAviDi /
   vanyairdhānyaiḥ phalair mūlai rasaiścaiva pṛthagvidhaiḥ // RKV_2.42 //	vanyEH DAnyEH PalEH mUlEH rasEH ca eva pRTagviDEH // RKV_2.42 //
   pāṇḍavā brāhmaṇaiḥ sārddhaṃ yathāyogyaṃ prapūjitāḥ /	pANxavAH brAhmaNEH sArdDam yaTAyogyam prapUjitAH /
   muhūrtādatha viśramya dharmaputro yudhiṣṭhiraḥ // RKV_2.43 //	muhUrtAt aTa viSramya DarmaputraH yuDizWiraH // RKV_2.43 //
   pṛcchati sma muniśreṣṭhaṃ kautūhalasamanvitaḥ /	pRcCati sma muni SrezWam kOtUhala samanvitaH /
   bhagavansarvalokānāṃ dīrghāyustvaṃ mato mama // RKV_2.44 //	Bagavan sarva lokAnAm dIrGa AyuH tvam mataH mama // RKV_2.44 //
   saptakalpānaśeṣeṇa kathayasva mamānagha /	sapta kalpAn aSezeNa kaTayasva mama anaGa /
   kalpakṣaye 'pi lokasya sthāvarasyetarasya ca // RKV_2.45 //	kalpa kzaye api lokasya sTAvarasya itarasya ca // RKV_2.45 //
   na vinaṣṭo 'si viprendra kathaṃ vā kena hetunā /	na vinazwaH asi vipra indra kaTam vA kena hetunA /
   gaṅgādyāḥ saritaḥ sarvāḥ samudrāntāśca yā mune // RKV_2.46 //	gaFgA AdyAH saritaH sarvAH samudra antAH ca yAH mune // RKV_2.46 //
   tāsāṃ madhye sthitāḥ kāḥ svitkāścaiva pralayaṃ gatāḥ /	tAsAm maDye sTitAH kAH svid kAH ca eva pralayam gatAH /
   kā nu puṇyajalā nityaṃ kānu na kṣayamāgatā // RKV_2.47 //	kA nu puNya jalAH nityam kA anu na kzayam AgatAH // RKV_2.47 //
   etat kathaya me tāta prasannenāntarātmanā /	etat kaTaya me tAta prasannena antarAtmanA /
   śrotumicchāmyaśeṣeṇa ṛṣibhiḥ saha bāndhavaiḥ // RKV_2.48 //	Srotum icCAmi aSezeNa RziBiH saha bAnDavEH // RKV_2.48 //
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   sādhusādhu mahāprājña dharmaputra yudhiṣṭhira /	sADu sADu mahA prAjQa Darmaputra yuDizWira /
   kathayāmi yathā nyāyaṃ yatpṛcchasi mamānagha // RKV_2.49 //	kaTayAmi yaTA nyAyam yat pRcCasi mama anaGaH // RKV_2.49 //
   sarvapāpaharaṃ puṇyaṃ purāṇaṃ rudrabhāṣitam /	sarva pApa haram puNyam purANam rudra BAzitam /
   yaḥ śṛṇoti naro bhaktyā tasya puṇyaphalaṃ śṛṇu // RKV_2.50 //	yaH SRNoti naraH BaktyA tasya puNya Palam SRNu // RKV_2.50 //
   aśvamedha sahasreṇa vājapeyaśatena ca /	aSvameDa sahasreNa vAjapeya Satena ca /
   tatphalaṃ samavāpnoti rājannāstyatra saṃśayaḥ // RKV_2.51 //	tad Palam samavApnoti rAjan = Asti atra saMSayaH // RKV_2.51 //
   brahmaghnaśca surāpī ca steyī goghnaśca yo naraḥ /	brahma GnaH ca surApI ca steyI go GnaH ca yaH naraH /
   mucyate sarvapāpebhyo rudrasya vacanaṃ yathā // RKV_2.52 //	mucyate sarva pApeByaH rudrasya vacanam yaTA // RKV_2.52 //
   gaṅgā tu saritāṃ śreṣṭhā tathā caiva sarasvatī /	gaFgA tu saritAm SrezWA taTA ca eva sarasvatI /
   kāverī devikā caiva sindhuḥ sālakuṭī tathā // RKV_2.53 //	kAverI devikA ca eva sinDuH sAlakuwI taTA // RKV_2.53 //
   sarayūḥ śatarudrā ca mahī carmilayā saha /	sarayUH SatarudrA ca mahI carmilayA saha /
   godāvarī tathā puṇyā tathaiva yamunā nadī // RKV_2.54 //	godAvarI taTA puNyA taTA eva yamunA nadI // RKV_2.54 //
   payoṣṇī ca śatadruśca tathā dharmanadī śubhā /	payozNI ca SatadruH ca taTA Darma nadI SuBA /
   etāścānyāśca saritaḥ sarvapāpaharāḥ smṛtāḥ // RKV_2.55 //	etAH ca anyAH ca saritaH sarva pApa harAH smRtAH // RKV_2.55 //
   kiṃ tu te kāraṇaṃ tāta vakṣyāmi nṛpasattama /	kim tu te kAraNam tAta vakzyAmi nRpa sattamaH /
   samudrāḥ saritaḥ sarvāḥ kalpe kalpe kṣayaṃ gatāḥ // RKV_2.56 //	samudrAH saritaH sarvAH kalpe kalpe kzayam gatAH // RKV_2.56 //
   saptakalpakṣaye kṣīṇe na mṛtā tena narmadā /	sapta kalpa kzaye kzINe na mRtA tena narmadA /
   narmadaikaiva rājendra paraṃ tiṣṭhet saridvarā // RKV_2.57 //	narmadA ekA eva rAja indra param tizWet sarit varAH // RKV_2.57 //
   toyapūrṇā mahābhāga munisaṃghairabhiṣṭutā /	toya pUrNA mahABAga muni saMGEH aBizwutA /
   gaṃgādyāḥ saritaścānyāḥ kalpe kalpe kṣayaṃ gatāḥ // RKV_2.58 //	gaMgA AdyAH saritaH ca anyAH kalpe kalpe kzayam gatAH // RKV_2.58 //
   eṣā devī purā dṛṣṭā tena vakṣyāmi te 'nagha // RKV_2.59 //	ezA devI purA dRzwA tena vakzyAmi te anaGaH // RKV_2.59 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe revāmāhātmyavarṇanaṃnāma dvitīyo 'dhyāyaḥ ||	Avantya KaNxe revAKaNxe revAmAhAtmyavarNanaM nAma dvitIyaH aDyAyaH ||
   RKV adhyāya 3	RKV aDyAya 3
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   saptakalpakṣayā ghorāstvayā dṛṣṭā mahāmune /	sapta kalpa kzayAH GorAH tvayA dRzwAH mahA mune /
   na cāpīhāsti bhagavandīrghāyuriha kaścana // RKV_3.1 //	na ca api iha asti Bagavan dIrGa AyuH iha kaScana // RKV_3.1 //
   tvayā hyekārṇave suptaḥ padmanābhaḥ surārihā /	tvayA hi ekArNave suptaH padmanABaH surAri hA /
   dṛṣṭaḥ sahasracaraṇaḥ sahasranayanodaraḥ // RKV_3.2 //	dRzwaH sahasra caraNaH sahasranayana udaraH // RKV_3.2 //
   tvaṃ kilānugrahāt tasya dahyamāne carācare /	tvam kila anugrahAt tasya dahyamAne carAcare /
   na kṣayaṃ samanuprāpto varadānānmahātmanaḥ // RKV_3.3 //	na kzayam samanuprAptaH vara dAnAt mahAtmanaH // RKV_3.3 //
   kiṃ tvayāścaryabhūtaṃ hi dṛṣṭaṃ ca bhramatānagha /	kim tvayA AScarya BUtam hi dRzwam ca BramatA anaGa /
   etadācakṣva bhagavanparaṃ kautūhalaṃ hi me // RKV_3.4 //	etat Acakzva Bagavan param kOtUhalam hi me // RKV_3.4 //
   samprāpte ca mahāghore yugasyānte mahākṣaye /	samprApte ca mahA Gore yugasya ante mahA kzaye /
   anāvṛṣṭihate loke purā varṣaśatādhike // RKV_3.5 //	anAvRzwi hate loke purA varza Sata aDike // RKV_3.5 //
   auṣadhīnāṃ kṣaye ghore devadānavavarjite /	OzaDInAm kzaye Gore deva dAnava varjite /
   nirvīrye nirvaṣaṭkāre kalinā dūṣite bhṛśam // RKV_3.6 //	nirvIrye nirvazawkAre kalinA dUzite BRSam // RKV_3.6 //
   saritsarastaḍāgeṣu palvalopavaneṣu ca /	sarit saraH taxAgezu palvala upavanezu ca /
   saṃśuṣkeṣu tadā brahmannirākāre yugakṣaye // RKV_3.7 //	saMSuzkezu tadA brahman nirAkAre yuga kzaye // RKV_3.7 //
   janaṃ prāpte maharloke brahmakṣatraviśādayaḥ /	janam prApte mahar loke brahma kzatra viSa AdayaH /
   ṛṣayaśca mahātmāno divyatejaḥsamanvitāḥ // RKV_3.8 //	RzayaH ca mahAtmAnaH divya tejaH samanvitAH // RKV_3.8 //
   sthitāni kāni bhūtāni gatānyeva mahāmune /	sTitAni kAni BUtAni gatAni eva mahA mune /
   etatsarvaṃ mahābhāga kathayasva pṛthakpṛthak // RKV_3.9 //	etat sarvam mahABAga kaTayasva pRTak pRTak // RKV_3.9 //
   bhūtāni kāni viprendra kathaṃ siddhim avāpnuyāt /	BUtAni kAni vipra indra kaTam sidDim avApnuyAt /
   brahmaviṣṇvindrarudrāṇāṃ kāle prāpte sudāruṇe // RKV_3.10 //	brahma vizNu indra rudrANAm kAle prApte su dAruNe // RKV_3.10 //
   evamuktas tataḥ so 'tha dharmarājena dhīmatā /	evam uktaH tatas saH aTa DarmarAjena DImatA /
   mārkaṇḍaḥ pratyuvācedamṛṣisaṃghaiḥ samāvṛtaḥ // RKV_3.11 //	mArkaNxaH pratyuvAca idam Rzi saMGEH samAvRtaH // RKV_3.11 //
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   śṛṇvantu ṛṣayaḥ sarve tvayā saha nareśvara /	SRNvantu RzayaH sarve tvayA saha nareSvara /
   mahatpurāṇaṃ pūrvoktaṃ śaṃbhunā vāyudaivate // RKV_3.12 //	mahat purANam pUrva uktam SaMBunA vAyu dEvate // RKV_3.12 //
   vāyoḥ sakāśātskandena śrutametatpurātanam /	vAyoH sakASAt skandena Srutam etat purAtanam /
   vasiṣṭhaḥ śrutavāṃstasmāt parāśarastataḥ param // RKV_3.13 //	vasizWaH SrutavAn= tasmAt parASaraH tatas param // RKV_3.13 //
   tasmācca jātūkarṇyena tasmāccaiva maharṣibhiḥ /	tasmAt ca jAtUkarNyena tasmAt ca eva mahA RziBiH /
   evaṃ paramparāproktaṃ śatasaṃkhyair dvijottamaiḥ // RKV_3.14 //	evam paramparA proktam Sata saMKyEH dvijottamEH // RKV_3.14 //
   saṃhitā śatasāhasrī puroktā śaṃbhunā kila /	saMhitA Sata sAhasrI purA uktA SaMBunA kila /
   āloḍya sarvaśāstrāṇi vadārthaṃ tattvataḥ purā // RKV_3.15 //	Aloxya sarva SAstrANi vada arTam tattvataH purA // RKV_3.15 //
   yugarūpeṇa sā paścāc caturdhā viniyojitā /	yuga rUpeNa sA paScAt caturDA viniyojitA /
   madaprajñānusāreṇa narāṇāṃ tu maharṣibhiḥ // RKV_3.16 //	mada prajQA anusAreNa narANAm tu mahA RziBiH // RKV_3.16 //
   ārādhya paśubhartāraṃ mayā pūrvaṃ maheśvaram /	ArADya paSu BartAram mayA pUrvam maheSvaram /
   purāṇaṃ śrutametaddhi tatte vakṣyāmyaśeṣataḥ // RKV_3.17 //	purANam Srutam etat hi tat te vakzyAmi aSezatas // RKV_3.17 //
   yacchrutvā mucyate jantuḥ sarvapāpairnareśvara /	yat SrutvA mucyate jantuH sarva pApEH nara ISvara /
   mānasaiḥ karmajaiścaiva saptajanmasu saṃcitaiḥ // RKV_3.18 //	mAnasEH karma jEH ca eva sapta janmasu saMcitEH // RKV_3.18 //
   saptakalpakṣayā ghorā mayā dṛṣṭāḥ punaḥpunaḥ /	sapta kalpa kzayAH GorAH mayA dRzwAH punar punar /
   prasādāddevadevasya viṣṇośca parameṣṭhinaḥ // RKV_3.19 //	prasAdAt devadevasya vizNoH ca paramezWinaH // RKV_3.19 //
   dvādaśādityanirdagdhe jagatyekārṇavīkṛte /	dvAdaSa Aditya nirdagDe jagati ekArNavIkRte /
   śrānto 'haṃ vibhramaṃs tatra taranbāhubhir arṇavam // RKV_3.20 //	SrAntaH aham viBraman tatra taran bAhuBiH arNavam // RKV_3.20 //
   athāhaṃ salile rājannādityasamarūpiṇam /	aTa aham salile rAjan= Aditya sama rUpiNam /
   purā puruṣamadrākṣamanādinidhanaṃ prabhum // RKV_3.21 //	purA puruzam adra akzam anAdiniDanam praBum // RKV_3.21 //
   śṛṅgaṃ caivādrirājasya bhāsayantaṃ diśo daśa /	SRFgam ca eva adrirAjasya BAsayantam diSaH daSa /
   dvitīyo 'nyo manurdṛṣṭaḥ putrapautrasamanvitaḥ // RKV_3.22 //	dvitIyaH anyaH manuH dRzwaH putra pOtra samanvitaH // RKV_3.22 //
   agādhe bhramate so 'pi tamobhūte mahārṇave /	agADe Bramate saH api tamaH BUte mahA arNave /
   aviśramanmuhūrtaṃ tu cakrārūḍha iva bhraman // RKV_3.23 //	aviSramat muhUrtam tu cakra ArUXaH iva Braman // RKV_3.23 //
   athāhaṃ bhayādudvignastaranbāhubhir arṇavam /	aTa aham BayAt udvignaH taran bAhuBiH arNavam /
   tatrastho'haṃ mahāmatsyam apaśyaṃ madasaṃyutam // RKV_3.24 //	tatrasTaH aham mahA matsyam apaSyam mada saMyutam // RKV_3.24 //
   tato 'bravītsa māṃ dṛṣṭvā ehyehīti ca bhārata /	tatas abravIt sa mAm dRzwvA ehi ehi iti ca BArata /
   paraṃ pradhānaḥ sarveṣāṃ matsyarūpo maheśvaraḥ // RKV_3.25 //	param praDAnaH sarvezAm matsya rUpaH maheSvaraH // RKV_3.25 //
   tato 'haṃ tvarayā gatvā tanmukhe manujeśvara /	tatas aham tvarayA gatvA tad muKe manuja ISvara /
   suśrānto vigatajñānaḥ paraṃ nirvedamāgataḥ // RKV_3.26 //	suSrAntaH vigata jQAnaH param nirvedam AgataH // RKV_3.26 //
   tato 'drākṣaṃ samudrānte mahadāvartasaṃkulām /	tatas adrAkzam samudra ante mahat Avarta saMkulAm /
   udyattaraṃgasalilāṃ phenapuñjāṭṭahāsinīm // RKV_3.27 //	udyat taraMga salilAm Pena puQja awwahAsinIm // RKV_3.27 //
   nadīṃ kāmagamāṃ puṇyāṃ jhaṣamīnasamākulām /	nadIm kAma gamAm puNyAm Jaza mIna samAkulAm /
   nadyāstasyāstu madhyasthā pramadā kāmarūpiṇī // RKV_3.28 //	nadyAH tasyAH tu maDyasTA pramadA kAmarUpiNI // RKV_3.28 //
   nīlotpaladalaśyāmā mahatprakṣobhavāhinī /	nIlotpala dala SyAmA mahat prakzoBa vAhinI /
   divyahāṭakacitrāṅgī kanakojjvalaśobhitā // RKV_3.29 //	divya hAwaka citra aFgI kanaka ujjvala SoBitAH // RKV_3.29 //
   dvābhyāṃ saṃgṛhya jānubhyāṃ mahatpotaṃ vyavasthitā /	dvAByAm saMgRhya jAnuByAm mahat potam vyavasTitAH /
   tāṃ manuḥ pratyuvācedaṃ kā tvaṃ divyavarāṅgane // RKV_3.30 //	tAm manuH pratyuvAca idam kA tvam divya vara aFgane // RKV_3.30 //
   tiṣṭhase kena kāryeṇa tvamatra surasundari /	tizWase kena kAryeNa tvam atra surasundari /
   surāsuragaṇe naṣṭe bhramase līlayārṇave // RKV_3.31 //	sura asura gaNe nazwe Bramase lIlayA arNave // RKV_3.31 //
   saritaḥ sāgarāḥ śailāḥ kṣayaṃ prāptā hyanekaśaḥ /	saritaH sAgarAH SElAH kzayam prAptAH hi anekaSas /
   tvamekā tu kathaṃ sādhvi tiṣṭhase kāraṇaṃ mahat /	tvam ekA tu kaTam sADvi tizWase kAraNam mahat /
   śrotumicchāmyahaṃ devi kathayasva hyaśeṣataḥ // RKV_3.32 //	Srotum icCAmi aham devi kaTayasva hi aSezatas // RKV_3.32 //
   abalovāca:	abalA uvAca:
   īśvarāṅgasamudbhūtā hyamṛtānāma viśrutā /	ISvara aFga samudBUtA hi amRtAnAma viSrutA /
   saritpāpaharā puṇyā māmāśritya bhayaṃ kutaḥ // RKV_3.33 //	sarit pApa harA puNyAH mAm ASritya Bayam kutas // RKV_3.33 //
   sāhaṃ potamimaṃ tubhyaṃ gṛhītvā hyāgatā dvija /	sA aham potam imam tuByam gRhItvA hi AgatAH dvija /
   na hyasya potasya kṣayo yatra tiṣṭhati śaṃkaraḥ // RKV_3.34 //	na hi asya potasya kzayaH yatra tizWati SaMkaraH // RKV_3.34 //
   tasyās tad vacanaṃ śrutvā vismayotphullalocanaḥ /	tasyAH tat vacanam SrutvA vismaya utPulla locanaH /
   manunā saha rājendra potārūḍho hyahaṃ tadā // RKV_3.35 //	manunA saha rAja indra pota ArUXaH hi aham tadA // RKV_3.35 //
   kṛtāñjalipuṭo bhūtvā praṇamya śirasā vibhum /	kRta aQjali puwaH BUtvA praNamya SirasA viBum /
   vyāpinaṃ parameśānamastauṣamabhayapradam // RKV_3.36 //	vyApinam parameSAnam astOzam aBaya pradam // RKV_3.36 //
   sadyojātāya devāya vāmadevāya vai namaḥ /	sadyojAtAya devAya vAmadevAya vE namaH /
   bhave bhave namastubhyaṃ bhaktigamyāya te namaḥ // RKV_3.37 //	Bave Bave namaH tuByam Bakti gamyAya te namaH // RKV_3.37 //
   bhūrbhuvāya namastubhyaṃ rāmajyeṣṭhāya vai namaḥ /	BUrBuvAya namaH tuByam rAma jyezWAya vE namaH /
   namaste bhadrakālāya kalirūpāya vai namaḥ // RKV_3.38 //	namaH te BadrakAlAya kali rUpAya vE namaH // RKV_3.38 //
   acintyāvyaktarūpāya mahādevāya dhāmane /	acintya avyakta rUpAya mahAdevAya DAmane /
   vidmahe devadevāya tanno rudra namonamaḥ // RKV_3.39 //	vidmahe devadevAya tat naH rudra namaH namaH // RKV_3.39 //
   jagatsṛṣṭivināśānāṃ kāraṇāya namonamaḥ /	jagat sRzwi vinASAnAm kAraNAya namaH namaH /
   evaṃ stuto mahādevaḥ pūrvaṃ sṛṣṭayā mayānagha // RKV_3.40 //	evam stutaH mahAdevaH pUrvam sRzwayA mayA anaGaH // RKV_3.40 //
   prasanno māvadat paścādvaraṃ varaya suvrata // RKV_3.41 //	prasannaH mA avadat paScAt varam varaya suvrate // RKV_3.41 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe narmadāmāhātmye mārkaṇḍeyadharmarājasaṃvāde	Avantya KaNxe revAKaNxe narmadAmAhAtmye mArkaNxeya DarmarAja saMvAde
   kalpakṣaye mārkaṇḍeyakṛtapotārdhārohaṇavṛttāntavarṇanaṃnāma tṛtīyo	kalpa kzaye mArkaNxeya kRta pota arDa ArohaNa vRttAntavarNanaM nAma tRtIyaH 
   'dhyāyaḥ ||	aDyAyaH ||
   RKV adhyāya 4	RKV aDyAya 4
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   tato 'rṇavātsamuttīrya trikūṭaśikhare sthitam /	tatas arNavAt samuttIrya trikUwa SiKare sTitam /
   mahākanakavarṇābhe nānāvarṇaśilācite // RKV_4.1 //	mahA kanaka varNa ABe nAnA varNa SilA Acite // RKV_4.1 //
   mahāśṛṅge samāsīnaṃ rudrakoṭisamanvitam /	mahA SRFge samAsInam rudra kowi samanvitam /
   mahādevaṃ mahātmānamīśānamajam avyayam // RKV_4.2 //	mahAdevam mahAtmAnam ISAnam ajam avyayam // RKV_4.2 //
   sarvabhūtamayaṃ tāta manunā saha suvrata /	sarva BUta mayam tAta manunA saha suvrata /
   bhūyo vavande caraṇau sarvadevanamaskṛtau // RKV_4.3 //	BUyas vavande caraNO sarva deva namaskRtO // RKV_4.3 //
   tatkāle yugasāhasraṃ saha rudreṇa mānada /	tad kAle yuga sAhasram saha rudreNa mAnada /
   tasminnekārṇave ghore sthito 'haṃ kurunaṃdana // RKV_4.4 //	tasmin= ekArNave Gore sTitaH aham kuru naMdana // RKV_4.4 //
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   etacchrutvā tu me tāta paraṃ kautūhalaṃ hṛdi /	etat SrutvA tu me tAta param kOtUhalam hRdi /
   jātaṃ tatkathayasveti śṛṇvataḥ saha bāndhavaiḥ // RKV_4.5 //	jAtam tat kaTayasva iti SRNvataH saha bAnDavEH // RKV_4.5 //
   kā sā padmapalāśākṣī tamobhūte mahārṇave /	kA sA padma palASa akzI tamaH BUte mahA arNave /
   yogivadbhramate nityaṃ rudrajāṃ svāṃ ca yābravīt // RKV_4.6 //	yogi vat Bramate nityam rudra jAm svAm ca yA bravIt // RKV_4.6 //
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   etameva mayā praśnaṃ purā pṛṣṭo manuḥ svayam /	etam eva mayA praSnam purA pRzwaH manuH svayam /
   tadeva te 'dya vakṣyāmi abalāyāḥ samudbhavam // RKV_4.7 //	tat eva te adya vakzyAmi abalAyAH samudBavam // RKV_4.7 //
   vyatītāyāṃ niśāyāṃ tu brahmaṇaḥ parameṣṭhinaḥ /	vyatItAyAm niSAyAm tu brahmaNaH paramezWinaH /
   tataḥ prabhāte vimale sṛjyamāneṣu jantuṣu // RKV_4.8 //	tatas praBAte vimale sRjyamAnezu jantuzu // RKV_4.8 //
   manuṃ praṇamya śirasā pṛcchāmyetad yudhiṣṭhira /	manum praNamya SirasA pRcCAmi etat yuDizWira /
   keyaṃ padmapalāśākṣī śyāmā caṃdranibhānanā // RKV_4.9 //	kA iyam padma palASa akzI SyAmA caMdra niBa AnanAH // RKV_4.9 //
   ekārṇave bhramatyekā rudrajāsmīti vādinī /	ekArNave Bramati ekA rudrajA asmi iti vAdinI /
   sāvitrī vedamātā ca hyathavā sā sarasvatī // RKV_4.10 //	sAvitrI vedamAtA ca hi aTavA sA sarasvatI // RKV_4.10 //
   mandākinī saricchreṣṭhā lakṣmīrvā kimatho umā /	mandAkinI sarit SrezWA lakzmIH vA kim aTo umA /
   kālarātrirbhavetsākṣāt prakṛtirvā sukhocitā // RKV_4.11 //	kAlarAtriH Bavet sAkzAt prakRtiH vA suKa ucitAH // RKV_4.11 //
   etadācakṣva bhagavankā sā hyamṛtasaṃbhavā /	etat Acakzva Bagavan kA sA hi amRta saMBavAH /
   caratyekārṇave ghore pranaṣṭoragarākṣase // RKV_4.12 //	carati ekArNave Gore pranazwa uraga rAkzase // RKV_4.12 //
   manuruvāca:	manuH uvAca:
   śṛṇu vatsa yathānyāyamasyā vakṣyāmi saṃbhavam /	SRNu vatsa yaTAnyAyam asyAH vakzyAmi saMBavam /
   yayā rudrasamudbhūtā yā ceyaṃ varavarṇinī // RKV_4.13 //	yayA rudra samudBUtA yA ca iyam varavarNinI // RKV_4.13 //
   purā śivaḥ śāntatanuścacāra vipulaṃ tapaḥ /	purA SivaH SAnta tanuH cacAra vipulam tapaH /
   hitārthaṃ sarvalokānāmumayā saha śaṃkaraḥ // RKV_4.14 //	hita arTam sarva lokAnAm umayA saha SaMkaraH // RKV_4.14 //
   ṛkṣaśailaṃ samāruhya tapastepe sudāruṇam /	Rkza SElam samAruhya tapaH tepe su dAruNam /
   adṛśyaḥ sarvabhūtānāṃ sarvabhūtātmako vaśī // RKV_4.15 //	adRSyaH sarva BUtAnAm sarva BUta AtmakaH vaSI // RKV_4.15 //
   tapatastasya devasya svedaḥ samabhavatkila /	tapataH tasya devasya svedaH samaBavat kila /
   taṃ giriṃ plāvayāmāsa sa svedo rudrasaṃbhavaḥ // RKV_4.16 //	tam girim plAvayAmAsa sa svedaH rudra saMBavaH // RKV_4.16 //
   tasmād āsīt samudbhūtā mahāpuṇyā saridvarā /	tasmAt AsIt samudBUtA mahA puNyA sarit varAH /
   yā sā tvayārṇave dṛṣṭā padmapatrāyatekṣaṇā // RKV_4.17 //	yA sA tvayA arNave dRzwA padma patra Ayata IkzaNAH // RKV_4.17 //
   strīrūpaṃ samavasthāya rudramārādhayatpurā /	strI rUpam samavasTAya rudram ArADayat purA /
   ādye kṛtayuge tasminsamānāmayutaṃ nṛpa // RKV_4.18 //	Adye kRta yuge tasmin samAnAm ayutam nRpa // RKV_4.18 //
   tatastuṣṭo mahādeva umayā saha śaṃkaraḥ /	tatas tuzwaH mahAdevaH umayA saha SaMkaraH /
   brūhi tvaṃ tu mahābhāge yatte manasi vartate // RKV_4.19 //	brUhi tvam tu mahABAge yat te manasi vartate // RKV_4.19 //
   sariduvāca:	sarit uvAca:
   pralaye samanuprāpte naṣṭe sthāvarajaṃgame /	pralaye samanuprApte nazwe sTAvara jaMgame /
   prasādāttava deveśa akṣayāhaṃ bhave prabho // RKV_4.20 //	prasAdAt tava deveSa akzayA aham Bave praBo // RKV_4.20 //
   saritsu sāgareṣveva parvateṣu kṣayiṣvapi /	saritsu sAgarezu eva parvatezu kzayizu api /
   tava prasādāddeveśa puṇyā kṣayyā bhave prabho // RKV_4.21 //	tava prasAdAt deveSa puNyA kzayyAH Bave praBo // RKV_4.21 //
   pāpopapātakairyuktā mahāpātakino 'pi ye /	pApa upapAtakEH yuktAH mahApAtakinaH api ye /
   mucyante sarvapāpebhyo bhaktyā snātvā tu śaṃkara // RKV_4.22 //	mucyante sarva pApeByaH BaktyA snAtvA tu SaMkaraH // RKV_4.22 //
   uttare jāhnavīdeśe mahāpātakanāśinī /	uttare jAhnavI deSe mahApAtaka nASinI /
   bhavāmi dakṣiṇe mārge yadyevaṃ surapūjitā // RKV_4.23 //	BavAmi dakziNe mArge yadi evam sura pUjitAH // RKV_4.23 //
