   1. (avidyāpratyayāḥ saṃskārāḥ)	1. (avidyA-pratyayAH saMskArAH)
   taddhetos tatpratyayaṃ kāyasya bhedān narakeṣūpapadyate / tatra ca	tad-hetoH tad-pratyayam kAyasya BedAt narakezu-upapadyate / tatra ca
   vijñānam abhinirvartayati / evam apuṇyān saṃskārān abhisaṃskṛtyāpuṇyopagaṃ	vijQAnam aBinirvartayati / evam apuNyAn saMskArAn aBisaMskRtya-apuNya-upagaM
   vijñānaṃ bhavati /	vijQAnam Bavati /
   yathā narakeṣu tiryakpreteṣu (DhskD 5r9) /	yaTA narakezu tiryak-pretezu (DhskD 5r9) /
   kathaṃ puṇyān abhisaṃskārān abhisaṃskṛtya puṇyopagaṃ bhavati vijñānaṃ /	kaTam puNyAn aBisaMskArAn aBisaMskRtya puNya-upagam Bavati vijQAnam /
   āha / yathā khalv ihaikatyo manuṣyasukhakeṣv avekṣāvān bhavati	Aha / yaTA Kalu iha-ekatyaH manuzya-suKakezu avekzAvAn Bavati
   pratibaddhacittaḥ / vistareṇa yāvat / tatra ca vijñānam abhinirvartayati /	pratibadDa-cittaH / vistareNa yAvat / tatra ca vijQAnam aBinirvartayati /
   evaṃ (DhskD 5r10) puṇyān saṃskārān abhisaṃskṛtya puṇyopagaṃ bhavati	evam (DhskD 5r10) puNyAn saMskArAn aBisaMskRtya puNya-upagam Bavati
   vijñānaṃ /	vijQAnam /
   yathā manuṣyasukhakānām evaṃ yāvat paranirmitavaśavartināṃ brahmakāyikānāṃ	yaTA manuzya-suKakAnAm evam yAvat paranirmita-vaSavartinAm brahmakAyikAnAm
   viviktaṃ kāmair viviktaṃ tatra ca vijñānam abhinirvartayati / (DhskD 5r11)	viviktam kAmEH viviktam tatra ca vijQAnam aBinirvartayati / (DhskD 5r11)
   (about 65-70 akṣaras illegible)	(about 65-70 akzaraH id-legi-ble)
   (DhskD 5v1) yāvad bṛhatphalānāṃ sarveṣu pratipratidhyānāni vaktavyāni /	(DhskD 5v1) yAvat bRhat-PalAnAm sarvezu pratiprati-DyAnAni vaktavyAni /
   katham āniṃjyān saṃskārān abhisaṃskṛtyāniṃjyopagaṃ bhavati vijñānaṃ / āha	kaTam AniMjyAn saMskArAn aBisaMskRtya-aniMjya-upagam Bavati vijQAnam / Aha
   / yathā khalv ihaikatya ākāśānantyāyatanānāṃ devānām avekṣāvān bhavati	/ yaTA Kalu iha-ekatyaH AkASAnanti-a-AyatanAnAm devAnAm avekzAvAn Bavati
   pratibaddhacitto (DhskD 5v2) vistareṇa tatra ca vijñānam abhinirvartayati	pratibadDa-cittaH (DhskD 5v2) vistareNa tatra ca vijQAnam aBinirvartayati
   / evaṃ yāvan naivasaṃjñānāsaṃjñāyatanānām iti yāvad vijñānaṃ saṃskārān	/ evam yAvat na-eva-saMjQAna-asaMjQA-yatanAnAm iti yAvat vijQAnam saMskArAn
   āgamya vistaraḥ //	Agamya vistaraH //
   3. (vijñānapratyayam nāmarūpaṃ)	3. (vijQAna-pratyayam nAma-rUpaM)
   lobhasahajaṃ vijñānam alobhasahajaṃ tathā	loBa-sahajam vijQAnam aloBa-sahajam taTA
   nādikaphalgunavādaṃ (DhskD 5v3) svātir ānanda eva ca /	nAdika-Palguna-vAdam (DhskD 5v3) svAtiH AnandaH eva ca /
   uddānaṃ //	uddAnam //
   vijñānapratyayaṃ nāmarūpaṃ katarad / āha / yathā tāval lobhasahajaṃ	vijQAna-pratyayam nAma-rUpam katarat / Aha / yaTA tAvat loBa-sahajam
   vijñānaṃ pratītya lobhasahajasya kāyakarmavākkarmaṇo 'bhinirvṛttir bhavati	vijQAnam pratItya loBa-sahajasya kAya-karma-vAkkarmaNaH aBinirvRttiH Bavati
   prādurbhāvaś ca lobhasahajā (DhskD 5v4) vividhā utpadyante rūpi vikṛtaṃ /	prAdurBAvaH ca loBa-sahajAH (DhskD 5v4) viviDAH utpadyante rUpi vikRtam /
   ya idaṃ rūpasya tajjā vedanā saṃjñā saṃskārā vijñānam idaṃ nāmasya	yaH idam rUpasya tad-jAH vedanA saMjQA saMskArAH vijQAnam idam nAmasya
   vijñānapratyayaṃ nāmarūpasya / tad ucyate vijñānapratyayaṃ nāmarūpaṃ /	vijQAna-pratyayam nAma-rUpasya / tat ucyate vijQAna-pratyayam nAma-rUpam /
   evaṃ lobhasahajaṃ (DhskD 5v5) mohasahajaṃ viparyayeṇa śuklapakṣeṣv	evam loBa-sahajam (DhskD 5v5) moha-sahajam viparyayeNa Sukla-pakzezu-
   alobhasahajam amohasahajaṃ vaktavyaṃ /	aloBa-sahajam amoha-sahajam vaktavyam /
   api khalv evam uktaṃ bhagavatā nādikāvavādavyākaraṇe /	api Kalu evam uktam BagavatA na-AdikOvavAt-avyAkaraNe /
   priyāṇāṃ nādika jñātīnāṃ vipariṇāmānyathībhāvād (DhskD 5v6) utpadyante	priyANAm na-Adika jQAtInAm vipariNAmAni-aTIBAvAt (DhskD 5v6) utpadyante
   śokāḥ paridevā duḥkhadaurmanasyopāyāsāḥ /	SokAH paridevAH duHKa-dOrmanasya-upAyAsAH /
   ity etac chokasahajaṃ vijñānaṃ pratītya śokasahajasya kāyavākkarmaṇo	iti etat Soka-sahajam vijQAnam pratItya Soka-sahajasya kAya-vAc-karmaNaH-
   'bhinirvṛttir bhavati prādurbhāvaḥ / yad idaṃ rūpasya tajjā (DhskD 5v7)	aBinirvRttiH Bavati prAdurBAvaH / yat idam rUpasya tad-jAH (DhskD 5v7)
   vedanā saṃjñā saṃskārā vijñānaṃ / idaṃ nāmasya vijñānaṃ vijñānasya	vedanA saMjQA saMskArAH vijQAnam / idam nAmasya vijQAnam vijQAnasya
   pratyayaṃ nāmarūpasya / tad ucyate vijñānapratyayaṃ nāmarūpaṃ /	pratyayam nAma-rUpasya / tat ucyate vijQAna-pratyayam nAma-rUpam /
   api khalv evam uktaṃ bhagavatā phalgunāvavāde vyākaraṇe /	api Kalu evam uktam BagavatA Palguna-avavAde vyAkaraNe /
   vijnānaṃ (DhskD 5v8) phalguna āhāraṃ yāvad evāyatyāṃ	vijnAnam (DhskD 5v8) PalgunaH AhAram yAvat eva-AyatyAm
   punarbhavasyābhinirvṛttaye prādurbhāvāya /	punarBavasya-aBinirvRttaye prAdurBAvAya /
   tat katarad vijñānaṃ / āha / yat tad gandharvasya caramaṃ cittaṃ	tat katarat vijQAnam / Aha / yat tat ganDarvasya caramam cittam
   manovijñānaṃ ācitam upacitaṃ pratiṣṭhitam aprahatam aparijñātaṃ (DhskD	manaH-vijQAnam Acitam upacitam pratizWitam aprahatam aparijQAtam (DhskD
   5v9) anirodhitam aśāntīkṛtaṃ / yasya vijñānasya samanantaraṃ mātuḥ kukṣau	5v9) aniroDitam aSAntIkRtam / yasya vijQAnasya samanantaram mAtuH kukzO
   kalalātmabhāvo 'bhisaṃmūrcchati / kalalam ātmabhāvaṃ abhisaṃmūrcchatīti /	kalala-Atma-BAvaH aBisaMmUrcCati / kalalam Atma-BAvam aBisaMmUrcCati-iti /
   idaṃ rūpasya tajjā vedanā saṃjñā saṃskārās tajjaṃ (DhskD 5v10) vijñānam	idam rUpasya tad-jAH vedanA saMjQA saMskArAH tad-jam (DhskD 5v10) vijQAnam
   idaṃ nāmasya vijñānapratyayaṃ nāmarūpasya / tad ucyate vijñānapratyayaṃ	idam nAmasya vijQAna-pratyayam nAma-rUpasya / tat ucyate vijQAna-pratyayam
   nāmarūpaṃ /	nAma-rUpam /
   asti khalv evam uktaṃ bhagavatā svātiṃ bhikṣuṃ kaivartapūrviṇam ārabhya /	asti Kalu evam uktam BagavatA svAtim Bikzum kEvarta-pUrviNam AraBya /
   trayāṇāṃ bhikṣavaḥ (DhskD 6r1) sannipātān mātuḥ kukṣau garbhasyāvakrāntir	trayANAm BikzavaH (DhskD 6r1) sannipAtAt mAtuH kukzO garBasya-avakrAntiH-
   bhavati / katameṣāṃ trayāṇāṃ / iha bhikṣavo mātāpitarau raktau bhavataḥ	Bavati / katamezAm trayANAm / iha BikzavaH mAtA-pitarO raktO BavataH
   sannipatitau mātā ca kalyā bhavati ṛtumatī gandharvaś ca pratyupasthito	sannipatitO mAtA ca kalyA Bavati RtumatI ganDarvaH ca pratyupasTitaH-
   (DhskD 6r2) bhavati / imeṣāṃ bhikṣavas trayāṇāṃ sannipātān mātuḥ kukṣau	(DhskD 6r2) Bavati / imezAm BikzavaH trayANAm sannipAtAt mAtuH kukzO
   garbhasyāvakrāntir bhavati /	garBasya-avakrAntiH Bavati /
   iti yat tad garbhasya caramaṃ cittaṃ manovijñānaṃ vistareṇa yāvad	iti yat tat garBasya caramam cittam manaH-vijQAnam vistareNa yAvat-
   vijñānapratyayayaṃ (DhskD 6r3) nāmarūpasya / tad ucyate vijñānapratyayaṃ	vijQAna-pratyayayam (DhskD 6r3) nAma-rUpasya / tat ucyate vijQAna-pratyayam
   nāmarūpaṃ /	nAma-rUpam /
   asti khalv evam uktaṃ bhagavatā mahānidānaparyāye vyākaraṇe āyuṣmate	asti Kalu evam uktam BagavatA mahAnidAna-paryAye vyAkaraNe Ayuzmate
   ānandāya /	AnandAya /
   asti pratyayam ānanda nāmarūpaṃ / (DhskD 6r4) pṛṣṭe sati astīty asya	asti pratyayam Ananda nAma-rUpam / (DhskD 6r4) pRzwe sati asti-iti asya
   vacanīyaṃ / kiṃpratyayaṃ ānanda nāmarūpaṃ / vijñānapratyayam iti syād	vacanIyam / kiMpratyayam Ananda nAma-rUpam / vijQAna-pratyayam iti syAt-
   vacanīyaṃ /	vacanIyam /
   vijñānapratyayaṃ ānanda nāmarūpaṃ / iti mayā yad uktam (DhskD 6r5) idaṃ me	vijQAna-pratyayam Ananda nAma-rUpam / iti mayA yat uktam (DhskD 6r5) idam me
   tat pratyuktaṃ / vijñānaṃ ced ānanda mātuḥ kukṣau nāvakramiṣyad api nu	tat pratyuktam / vijQAnam ced Ananda mAtuH kukzO na-avakramizyat api nu
   nāmarūpaṃ kalalatvaṃ hi saṃmurcchiṣyat* / no bhadanta / vijñānaṃ ced	nAma-rUpam kalala-tvam hi saMmurcCizyat* / naH Badanta / vijQAnam ced-
   ānanda mātuḥ kukṣau nāvakramitvā punar na vyutkramiṣyat* (DhskD 6r6) api	Ananda mAtuH kukzO na-avakramitvA punar na vyutkramizyat* (DhskD 6r6) api
   nu nāmarūpaṃ imaṃ dhātum āgamiṣyan / no bhadanta / vijñānaṃ ced ānandādāv	nu nAma-rUpam imam DAtum Agamizyan / naH Badanta / vijQAnam ced Ananda-AdO=-
   eva daḥram asya taruṇasya kumārakasya ucchidyeta vinaśyeta na bhaveta api	eva daHram asya taruNasya kumArakasya ucCidyeta vinaSyeta na Baveta api
   nu nāmarūpaṃ virūḍhiṃ (DhskD 6r7) vaipulyatām āpadyeta / no bhadanta /	nu nAma-rUpam virUXim (DhskD 6r7) vEpulyatAm Apadyeta / naH Badanta /
   sarvaśo vā punaḥ sarvaśa ānanda vijñāne asati na nāmarūpaṃ prajñāyeta / no	sarvaSas vA punar sarvaSas Ananda vijQAne asati na nAma-rUpam prajQAyeta / no
   bhadanta / tasmād dhi ānanda etan nidānam eṣa hetuḥ eṣa pratyayo	Badanta / tasmAt Di Ananda etat nidAnam eza hetuH eza pratyayo
   nāmarūpasya (DhskD 6r8) yad uta vijñānaṃ / vijñānapratyayam ānanda	nAma-rUpasya (DhskD 6r8) yat uta vijQAnam / vijQAna-pratyayam Ananda
   nāmarūpam / iti mayā yad uktam idaṃ me tat pratyuktaṃ //	nAma-rUpam / iti mayA yat uktam idam me tat pratyuktam //
   4. (nāmarūpapratyayaṃ vijñānaṃ)	4. (nAma-rUpa-pratyayam vijQAnaM)
   uddānaṃ //	uddAnam //
   dvayapratyayāt* vijñānaṃ phalgunaḥ svātir eva ca	dvaya-pratyayAt* vijQAnam PalgunaH svAtiH eva ca
   rāgajaṃ dveṣamohaś ca ānando bhavati + +	rAga-jam dveza-mohaH ca AnandaH Bavati + +
   (DhskD 6r9) nāmarūpapratyayaṃ vijñānaṃ katarad / āha / cakṣuḥ pratītya	(DhskD 6r9) nAma-rUpa-pratyayam vijQAnam katarat / Aha / cakzuH pratItya
   rūpāṇi cotpadyate cakṣurvijñānaṃ / tatra yac cakṣur yāni ca rūpāṇi idaṃ	rUpANi ca-utpadyate cakzuH-vijQAnam / tatra yat cakzuH yAni ca rUpANi idam
   rūpasya tajjā vedanā saṃjñā saṃskārā vijñānaṃ / idaṃ nāmarūpasya (DhskD	rUpasya tad-jAH vedanA saMjQA saMskArAH vijQAnam / idam nAma-rUpasya (DhskD
   6r10) manasikāraṃ nāmapratyayasya manovijñānasya / tad ucyate	6r10) manasikAram nAma-pratyayasya manaH-vijQAnasya / tat ucyate
   nāmarūpapratyayaṃ manovijñānaṃ /	nAma-rUpa-pratyayam manaH-vijQAnam /
   evaṃ śrotraṃ ghrāṇaṃ jihvāṃ kāyaṃ /	evam Srotram GrANam jihvAm kAyam /
   manaḥ pratītya dharmāṃś cotpadyate manovijñānaṃ / (DhskD 6v1) tatra ye	manaH pratItya DarmAn ca-utpadyate manaH-vijQAnam / (DhskD 6v1) tatra ye
   rūpiṇo manovijñeyā dharmā idaṃ rūpasya tajjā vedanā saṃjñā saṃskārāḥ	rUpiNaH manaH-vijQeyAH DarmAH idam rUpasya tad-jAH vedanA saMjQA saMskArAH
   tajjaṃ vijñānaṃ / idaṃ nāmarūpasya tajjaṃ manasikāraṃ nāmapratyayasya	tad-jam vijQAnam / idam nAma-rUpasya tad-jam manasikAram nAma-pratyayasya
   manovijñānasya / tad ucyate nāmarūpapratyayaṃ manovijñānam /	manaH-vijQAnasya / tat ucyate nAma-rUpa-pratyayam manaH-vijQAnam /
   api (DhskD 6v2) khalv evam uktaṃ bhagavatā phalgunāvavāde vyākaraṇe /	api (DhskD 6v2) Kalu evam uktam BagavatA Palguna-avavAde vyAkaraNe /
   vijñānaṃ phalgunāhāraṃ yāvad evāyatyāṃ punarbhavasyābhinirvṛttaye	vijQAnam Palguna-AhAram yAvat eva-AyatyAm punarBavasya-aBinirvRttaye
   prādurbhāvāya /	prAdurBAvAya /
   tat katarad vijñānaṃ / āha / yat tad gandharvasya caramaṃ cittaṃ vistareṇa	tat katarat vijQAnam / Aha / yat tat ganDarvasya caramam cittam vistareNa
   yāvad (DhskD 6v3) yasya gandharvasya samanantaraṃ mātuḥ kukṣau kalalam	yAvat (DhskD 6v3) yasya ganDarvasya samanantaram mAtuH kukzO kalalam
   ātmabhāvaṃ saṃmūrcchati / kalalam ātmabhāvaṃ saṃmūrcchatīti / idaṃ rūpasya	Atma-BAvam saMmUrcCati / kalalam Atma-BAvam saMmUrcCati-iti / idam rUpasya
   tajjā vedanā saṃjñā saṃskārās tajjaṃ vijñānaṃ idaṃ nāmasya / ity etad	tad-jAH vedanA saMjQA saMskArAH tad-jam vijQAnam idam nAmasya / iti etat-
   ayoniśomanasikārasahajaṃ (DhskD 6v4) nāmarūpaṃ pratītya mātuḥ kukṣau	ayoni-Somana-sikAra-sahajam (DhskD 6v4) nAma-rUpam pratItya mAtuH kukzO
   vijñānasyābhinirvṛttir bhavati prādurbhāvas / tad ucyate nāmarūpapratyayaṃ	vijQAnasya-aBinirvRttiH Bavati prAdurBAvaH / tat ucyate nAma-rUpa-pratyayam
   vijñānaṃ /	vijQAnam /
   api khalv evam uktaṃ bhagavatā svātiṃ bhikṣuṃ kaivartapūrviṇam ārabhya /	api Kalu evam uktam BagavatA svAtim Bikzum kEvarta-pUrviNam AraBya /
   trayāṇāṃ bhikṣavaḥ sannipātān (DhskD 6v5) mātuḥ kukṣau garbhasyāvakrāntir	trayANAm BikzavaH sannipAtAn (DhskD 6v5) mAtuH kukzO garBasya-avakrAntiH-
   bhavati / vistareṇa yāvad / ity evam ayoniśomanasikāreṇa sahajaṃ nāmarūpaṃ	Bavati / vistareNa yAvat / iti evam ayoniSomana-sikAreNa sahajam nAma-rUpam
   pratītya mātuḥ kukṣau vijñānasyāvakrāntir bhavati prādurbhāvas / tad	pratItya mAtuH kukzO vijQAnasya-avakrAntiH Bavati prAdurBAvaH / tat-
   ucyate nāmarūpapratyayaṃ (DhskD 6v6) vinjñānaṃ /	ucyate nAma-rUpa-pratyayam (DhskD 6v6) vinjQAnam /
   api khalv evam uktaṃ bhagavatā mahānidānaparyāye /	api Kalu evam uktam BagavatA mahAnidAna-paryAye /
   vistareṇa yāvad / vijñānaṃ ced ānanda nāmarūpapratiṣṭhāṃ na labheta	vistareNa yAvat / vijQAnam ced Ananda nAma-rUpa-pratizWAm na laBeta
   tathāpratiṣṭhite vijñāne anatirūḍhe + + + + + (DhskD 6v7)	taTA-apratizWite vijQAne anatirUXe + + + + + (DhskD 6v7)
   bhavasamudayasamutthāpakaṃ jātijarāmaraṇam abhinirvarteta / no bhadanta /	Bava-samudaya-samutTApakam jAti-jarA-maraNam aBinirvarteta / naH Badanta /
   sarvaśo vā punar ānanda nāmarūpe asati api nu vijñānaṃ prajñāyeta / no	sarvaSas vA punar Ananda nAma-rUpe asati api nu vijQAnam prajQAyeta / no
   bhadanta / tasmād ānanda (DhskD 6v8) etan nidānaṃ vistareṇa yathā	Badanta / tasmAt Ananda (DhskD 6v8) etat nidAnam vistareNa yaTA
   pūrvoktaṃ /	pUrva-uktam /
   5. (nāmarūpapratyayaṃ ṣaḍāyatanam)	5. (nAma-rUpa-pratyayam zaz-Ayatanam)
   uddānaṃ /	uddAnam /
   śītam uṣṇaṃ ca bhojyaṃ ca pānam udvartanaṃ tathā	SItam uzNam ca Bojyam ca pAnam udvartanam taTA
   śītodikā puṣkariṇī svātir eva ca rāgajaṃ	SItodikA puzkariNI svAtiH eva ca rAga-jam
   dveṣajaṃ caiva mohajaṃ bhavati paścimaṃ //	dveza-jam ca-eva moha-jam Bavati paScimam //
   (DhskD 6v9) nāmarūpapratyayaṃ ṣaḍāyatanaṃ katarad / āha / yathā khalv	(DhskD 6v9) nAma-rUpa-pratyayam zaz-Ayatanam katarat / Aha / yaTA Kalu-
   ihaikatyaḥ śītapracurād uṣṇaṃ gacchati / tasya tata utpadyante	iha-ekatyaH SIta-pracurAt uzNam gacCati / tasya tatas utpadyante
   uṣṇasahajāni mahābhūtāni / tatra yāni ca uṣṇasahajāni (DhskD 6v10)	uzNa-sahajAni mahABUtAni / tatra yAni ca uzNa-sahajAni (DhskD 6v10)
   mahābhūtāni idaṃ rūpasya tajjā vedanā saṃjñā saṃskārā vijñānaṃ idaṃ	mahABUtAni idam rUpasya tad-jAH vedanA saMjQA saMskArAH vijQAnam idam
   nāmasya / ity etac chītasahajaṃ nāmarūpaṃ pratītya cakṣurindriyasyopacayo	nAmasya / iti etat SIta-sahajam nAma-rUpam pratItya cakzuH-indriyasya-upacayaH-
   bhavati /	Bavati /
   (DhskD 7r1) evaṃ śrotraṃ ghrāṇaṃ jihvā kāyo mano 'pi tatra upacīyate / tad	(DhskD 7r1) evam Srotram GrANam jihvA kAyaH manaH api tatra upacIyate / tat-
   ucyate nāmarūpapratyayaṃ ṣaḍāyatanam / iti eṣa uṣṇapracurāc chītaṃ /	ucyate nAma-rUpa-pratyayam zaz-Ayatanam / iti ezaH uzNa-pracurAt SItam /
   yathā khalv ihaikatyo jighatsādaurbalyaparītaḥ śuci prāṇītaṃ khādanīyaṃ	yaTA Kalu iha-ekatyaH jiGatsA-dOrbalya-parItaH Suci prANItam KAdanIyam
   bhojanīyam khādayati / tasya (DhskD 7r2) tata utpadyante bhojanasahajāni	BojanIyam KAdayati / tasya (DhskD 7r2) tatas utpadyante Bojana-sahajAni
   mahābhūtāni / tatra yac ca bhojanaṃ yāni ca bhojanasahajāni mahābhūtāni	mahABUtAni / tatra yat ca Bojanam yAni ca Bojana-sahajAni mahABUtAni
   idaṃ rūpasya tajjā vedanā / vistareṇa yathā pūrvoktaṃ /	idam rUpasya tad-jAH vedanA / vistareNa yaTA pUrva-uktam /
   yathā khalv ihaikatyas tṛṣitaḥ klāntaḥ pipāsitaḥ (DhskD 7r3) śuci śītalaṃ	yaTA Kalu iha-ekatyaH tRzitaH klAntaH pipAsitaH (DhskD 7r3) Suci SItalam
   pānīyaṃ pibati / tasya tata utpadyante pānasahajāni mahābhūtāni / vistaraḥ	pAnIyam pibati / tasya tatas utpadyante pAna-sahajAni mahABUtAni / vistaraH
   yathā khalv ihaikatyaḥ utsadanaparimardanasaṃvāhanāyogam anuyukto viharati	yaTA Kalu iha-ekatyaH utsadana-parimardana-saMvAhana-ayogam anuyuktaH viharati
   / tasya tata utpadyante utsadanaparimardanasaṃvāhanasahajāni (DhskD 7r4)	/ tasya tatas utpadyante utsadana-parimardana-saMvAhana-sahajAni (DhskD 7r4)
   mahābhūtāni / tatra yac ca utsadanaṃ parimardanasaṃvāhanaṃ yāni ca	mahABUtAni / tatra yat ca utsadanam parimardana-saMvAhanam yAni ca
   utsadanaparimardanasaṃvāhanasahajāni mahābhūtāni idaṃ rūpasya tajjā vedanā	utsadana-parimardana-saMvAhana-sahajAni mahABUtAni idam rUpasya tad-jAH vedanA
   saṃjñā saṃskārās tajjaṃ vijñānam (DhskD 7r5) idaṃ nāmasya / vistaraḥ /	saMjQA saMskArAH tad-jam vijQAnam (DhskD 7r5) idam nAmasya / vistaraH /
   yathā khalv ihaikatyo grīṣmābhitapto grīṣmaparītas tṛṣitaḥ klāntaḥ	yaTA Kalu iha-ekatyaH grIzma-aBitaptaH grIzma-parItaH tRzitaH klAntaH
   pipāsitaḥ vātātapaparidyūnaḥ śītodikāṃ puṣkariṇīm avagāhayet* / tasya tata	pipAsitaH vAta-Atapa-paridyUnaH SIta-udikAm puzkariNIm avagAhayet* / tasya tata
   utpadyante (DhskD 7r6) śītasahajāni mahābhūtāni / tatra ca yac ca śītaṃ	utpadyante (DhskD 7r6) SIta-sahajAni mahABUtAni / tatra ca yat ca SItam
   yāni ca śītasahajāni mahābhūtāni {/} tasya tajjā vedanā / vistaraḥ /	yAni ca SIta-sahajAni mahABUtAni {/} tasya tad-jAH vedanA / vistaraH /
   api khalv evam uktaṃ bhagavatā phalgunāvavāde vyākaraṇe /	api Kalu evam uktam BagavatA Palguna-avavAde vyAkaraNe /
   vijñānaṃ phalguna (DhskD 7r7) āhāraṃ yāvad āyatyāṃ	vijQAnam PalgunaH (DhskD 7r7) AhAram yAvat AyatyAm
   punarbhavasyābhinirvṛttaye prādurbhāvāya /	punarBavasya-aBinirvRttaye prAdurBAvAya /
   yat tat katarad vijñānaṃ / vistareṇa yāvat* / yasya vijñānasya	yat tat katarat vijQAnam / vistareNa yAvat* / yasya vijQAnasya
   samanantaraṃ mātuḥ kukṣau kalalam ātmabhāvam abhisaṃmūrcchati / (DhskD	samanantaram mAtuH kukzO kalalam Atma-BAvam aBisaMmUrcCati / (DhskD
   7r8) kalalaṃ ātmabhāvaṃ saṃmūrcchatīti / idaṃ rūpasya tajjā vedanā saṃjñā	7r8) kalalam Atma-BAvam saMmUrcCati-iti / idam rUpasya tad-jAH vedanA saMjQA
   saṃskārās tajjaṃ vijñānam idaṃ nāmasya / ity etad ayoniśomanasikārasahajaṃ	saMskArAH tad-jam vijQAnam idam nAmasya / iti etat ayoni-Somana-sikAra-sahajam
   nāmarūpaṃ pratītya mātuḥ kukṣau ṣaṇṇām indriyāṇām (DhskD 7r9)	nAma-rUpam pratItya mAtuH kukzO zaNNAm indriyANAm (DhskD 7r9)
   abhinirvṛttir bhavati prādurbhāvas / tad ucyate nāmarūpapratyayaṃ	aBinirvRttiH Bavati prAdurBAvaH / tat ucyate nAma-rUpa-pratyayam
   ṣaḍāyatanam iti /	zaz-Ayatanam iti /
   api khalv evam uktaṃ bhagavatā svātiṃ bhikṣuṃ kaivartapūrviṇam ārabhya /	api Kalu evam uktam BagavatA svAtim Bikzum kEvarta-pUrviNam AraBya /
   trayāṇām bhikṣavaḥ saṃnipātān mātuḥ kukṣau garbhasyāvakrāntir (DhskD 7r10)	trayANAm BikzavaH saMnipAtAt mAtuH kukzO garBasya-avakrAntiH (DhskD 7r10)
   bhavati / vistareṇa yāvan / mātuḥ kukṣau ṣaṇṇām indriyāṇām abhinirvṛttir	Bavati / vistareNa yAvat / mAtuH kukzO zaNNAm indriyANAm aBinirvRttiH-
   bhavati prādurbhāvaḥ / tad ucyate ṣaḍāyatanapratyayaṃ nāmarūpam iti /	Bavati prAdurBAvaH / tat ucyate zaz-Ayatana-pratyayam nAma-rUpam iti /
   yathā khalv ihaikatyo + + + rāgaparyavasthito (DhskD 7v1)	yaTA Kalu iha-ekatyaH + + + rAga-paryavasTitaH (DhskD 7v1)
   dveṣaparyavasthito mohaparyavasthitaḥ kāyena duścaritaṃ carati / vācā	dveza-paryavasTitaH moha-paryavasTitaH kAyena duScaritam carati / vAcA
   manasā duścaritaṃ carati / kāyena vācā duścaritaṃ carati / idaṃ rūpasya /	manasA duScaritam carati / kAyena vAcA duScaritam carati / idam rUpasya /
   manasā duścaritam idaṃ nāmasyety / etad akuśalaṃ nāmarūpaṃ (DhskD 7v2)	manasA duScaritam idam nAmasya-iti / etat akuSalam nAma-rUpam (DhskD 7v2)
   pratītya duḥkhodayaṃ duḥkhavipākaṃ kāyasya bhedān narakeṣūpapadyate /	pratItya duHKa-udayam duHKa-vipAkam kAyasya BedAt narakezu-upapadyate /
   tatra ca ṣaṇṇām indriyāṇām abhinirvṛttir bhavati prādurbhāvaḥ / tad ucyate	tatra ca zaNNAm indriyANAm aBinirvRttiH Bavati prAdurBAvaH / tat ucyate
   nāmarūpapratyayaṃ ṣaḍāyatanaṃ /	nAma-rUpa-pratyayam zaz-Ayatanam /
   yathā narakeṣu tiryakpreteṣu (DhskD 7v3) /	yaTA narakezu tiryak-pretezu (DhskD 7v3) /
   yathā khalv ihaikatyo manuṣyasukhakeṣv avekṣāvān bhavati pratibaddhacittaḥ	yaTA Kalu iha-ekatyaH manuzya-suKakezu avekzAvAn Bavati pratibadDa-cittaH
   / tasyaivaṃ bhavaty / aho batāhaṃ manuṣyasukhakānāṃ sabhāgatāyām	/ tasya-evam Bavati / aho bata-aham manuzya-suKakAnAm saBA-gatAyAm
   upapadyeyaṃ / sa taṃ prārthayamāno / vistareṇa yāvat kāyena vācā (DhskD	upapadyeyam / sa tam prArTayamAnaH / vistareNa yAvat kAyena vAcA (DhskD
   7v4) manasā sucaritaṃ caratīti / idaṃ rūpasya / manasā sucaritaṃ caratīti	7v4) manasA su-caritam carati-iti / idam rUpasya / manasA su-caritam carati-iti
   / idaṃ nāmasyety / etat kuśalaṃ nāmarūpaṃ pratītya sukhodayaṃ sukhavipākaṃ	/ idam nAmasya-iti / etat kuSalam nAma-rUpam pratItya suKa-udayam suKa-vipAkam
