   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   yasmin vahaty ambudhinemim urvīm maurvīkiṇaśyāmaladīrghadoṣṇi /	yasmin vahati ambuDi-nemim urvIm mOrvI-kiNa-SyAmala-dIrGa-dozNi /
   vibhāvyate pauravarāṅganānām madhyaṃ paraṃ dhāma daridratāyāḥ // PNc_1.73	viBAvyate pOra-vara-aFganAnAm maDyam param DAma daridra-tAyAH // PNc_1.73
   ākrāntadiṅmaṇḍalakuntalendra- sāndrāndhakārāntaritaṃ raṇe yaḥ /	AkrAnta-diS-maNxala-kuntala-indra sAndra-anDakAra-antaritam raNe yaH /
   svarājyam astrāruṇamaṇḍalāgro gṛhītavān dīdhitimān ivāhaḥ // PNc_1.74 //	sva-rAjyam astra-aruNa-maNxala-agraH gRhItavAn dIDitimAn iva-ahar // PNc_1.74 //
   ākampitānāṃ maruteva yasya doṣṇājibhūmāv atidakṣiṇena /	AkampitAnAm marutA-iva yasya dozNAji-BUmO ati-dakziNena /
   ajāyatāripramadālatānāṃ bāṣpodabindūtkarapuṣpamokṣaḥ // PNc_1.75 //	ajAyata-ari-pramadA-latAnAm bAzpa-uda-bindUtkara-puzpa-mokzaH // PNc_1.75 //
   vipakṣahṛdbhaṅgakṛtā nitāntam bhrūlekhayākuñcitayollasantyā /	vipakza-hRd-BaFga-kRtA nitAntam BrU-leKayA-kuQcitayA-ullasantyA /
   nākāramātreṇa parantapasya yasyānvakāri kriyayāpi cāpam // PNc_1.76 //	na-AkAra-mAtreNa parantapasya yasya-anvakAri kriyayA-api cApam // PNc_1.76 //
   doścandanānokaham āpya yasya samullasatsāndrayaśaḥprasūnā /	dos-candanAnokaham Apya yasya samullasat-sAndra-yaSaH-prasUnA /
   gatātivṛddhiṃ lavalīlateva nibaddhamūlā paramāralakṣmīḥ // PNc_1.77 //	gata-ati-vRdDim lava-lIlatA-iva nibadDa-mUlA paramAra-lakzmIH // PNc_1.77 //
   kṛtānatibhyaḥ sahasā dadāti yaḥ sāmparāyeṣv abhayaṃ ripubhyaḥ /	kRta-AnatiByaH sahasA dadAti yaH sAmparAyezu aBayam ripuByaH /
   yaśaś ca gṛhṇāti tuṣārahāra- mṛṇālakarpūraparāgapāṇḍu // PNc_1.78 //	yaSaH ca gRhNAti tuzAra-hAra mRNAla-karpUra-parAga-pANxu // PNc_1.78 //
   prakāśitāśaṃ paritaḥ prajānāṃ yasyodayaṃ dhāmanidher vadanti /	prakASitASam paritas prajAnAm yasya-udayam DAma-niDeH vadanti /
   muktāñjanadhvāntaparigrahāṇi netrāṇi śatrupramadājanasya // PNc_1.79 //	mukta-aQjana-DvAnta-parigrahANi netrANi Satru-pramadA-janasya // PNc_1.79 //
   yasya prayāṇe pṛtanābhareṇa pariskhalatsaptasamudramudrā /	yasya prayANe pRtanA-BareNa parisKalat-sapta-samudra-mudrA /
   parasparakṣodasamākulāsu dolāyate bhūḥ phaṇabhṛtphaṇāsu // PNc_1.80 //	parasparakzoda-samAkulAsu dolAyate BUH PaNaBRt-PaNAsu // PNc_1.80 //
   vibhinnamānaṃ kamalekṣaṇānāṃ vyaktānubhāvaṃ bhuvanatraye 'pi /	viBinna-mAnam kamala-IkzaNAnAm vyakta-anuBAvam Buvanatraye api /
   āhur janā dīrghaguṇābhirāmaṃ yam ekacāpaṃ kusumāyudhasya // PNc_1.81 //	AhuH janAH dIrGa-guNa-aBirAmam yam eka-cApam kusumAyuDasya // PNc_1.81 //
   asaṃśayaṃ prāg asṛjad vidhātā yam ekam eva trijagadvadānyam /	asaMSayam prAk asRjat viDAtA yam ekam eva trijagat-vadAnyam /
   kalpadrumādīn atha tais tadīya- nirmāṇaśeṣaiḥ paramāṇuleśaiḥ // PNc_1.82	kalpadruma-AdIn aTa tEH tadIya nirmANa-SezEH paramANu-leSEH // PNc_1.82
   akṛtrimatyāgasamudgatāni vipakvatālīdalapāṇḍurāṇi /	akRtrima-tyAga-samudgatAni vipakva-tAlI-dala-pANxurANi /
   āśālatānāṃ valayeṣu bhartur yaśāṃsi yasya stabakībhavanti // PNc_1.83 //	ASA-latAnAm valayezu BartuH yaSAMsi yasya stabakIBavanti // PNc_1.83 //
   yatra pratāporjitarājacakra- kirīṭaratnadyuticumbitāṅghrau /	yatra pratApa-Urjita-rAja-cakra kirIwa-ratna-dyuti-cumbita-aFGrO /
   yathārthatāṃ yāti yayātipāṇḍu- dilīpatulyaujasi rājaśabdaḥ // PNc_1.84 //	yaTArTa-tAm yAti yayA-ati-pANxu dilIpa-tulya-ojasi rAja-SabdaH // PNc_1.84 //
   ucchindataḥ kṣmāsarasīṃ vigāhya dharmakriyāpaṅkajinīvanāni /	ucCindataH kzmA-sarasIm vigAhya Darma-kriyA-paFkajinI-vanAni /
   svairapracāraḥ kalikuñjarasya yenāṅkuśeneva balān niruddhaḥ // PNc_1.85 //	svEra-pracAraH kali-kuQjarasya yena-aFkuSena-iva balAt nirudDaH // PNc_1.85 //
   [VAR 1.85c: {kalikuñjarasya/lem /ed; hyaghakuñjarasya /k (agha must be	[VAR 1.85c: {kali-kuQjarasi-a/lem /ed; hi-aGa-kuQjarasya /c (aGa musD be
   masc.)}]	masc.)}]
   ciraṃ vibhinnāḥ kumudendukunda- bhāsaḥ samagrā api yatra te te /	ciram viBinnAH kumuda-indu-kunda BAsaH samagrAH api yatra te te /
   anyonyam ekatra nivāsasaukhya- kutūhaleneva guṇā ghaṭante // PNc_1.86 //	anyonyam ekatra nivAsa-sOKya kutUhalena-iva guNAH Gawante // PNc_1.86 //
   kāntyānuliptāni vilocanānām ā pāṭalānām atirodanena /	kAntyA-anuliptAni vilocanAnAm A pAwalAnAm ati-rodanena /
   sakuṅkumānīva puno bhavanti yasyārinārīkucamaṇḍalāni // PNc_1.87 //	sa-kuFkumAni-iva punaH Bavanti yasya-ari-nArI-kuca-maNxalAni // PNc_1.87 //
   śriyi pratāpe yaśasi kṣamāyāṃ tyāge vilāse vinaye mahimni /	Sriyi pratApe yaSasi kzamAyAm tyAge vilAse vinaye mahimni /
   kim anyad ārohati yasya sāmyaṃ na rantidevo na pṛthur na pārthaḥ //	kim anyat Arohati yasya sAmyam na rantidevaH na pRTuH na pArTaH //
   PNc_1.88 //	PNc_1.88 //
   sacivavarṇanam	saciva-varNanam
   sāmrājyabhārodvahanapragalbho yaśobhaṭākhyaḥ sacivo 'sti yasya /	sAmrAjya-BAra-udvahana-pragalBaH yaSoBawa-AKyaH sacivaH asti yasya /
   svasūkticaryāsv apareṇa nāmnā ramāṅgadaṃ yaṃ kavayo vadanti // PNc_1.89 //	sva-sUkti-caryAsu apareNa nAmnA ramAFgadam yam kavayaH vadanti // PNc_1.89 //
   kularājadhānīvarṇanam	kula-rAjaDAnI-varNanam
   vijitya laṅkām api vartate yā yasyāś ca nāyāty alakāpi sāmyam /	vijitya laFkAm api vartate yAH yasyAH ca na-AyAti alakA-api sAmyam /
   jetuḥ purī sāpy aparāsti tasya dhāreti nāmnā kularājadhānī // PNc_1.90 //	jetuH purI sA-api aparA-asti tasya DArA-iti nAmnA kula-rAjaDAnI // PNc_1.90 //
   [VAR 1.90d: {tasya/lem /k/b; yasya /ed}]	[VAR 1.90d: {tasya/lem /k/b; yasya /ed}]
   tasyāṃ sa sāhasajitāvanipālamauli- ratnāṃśupallavitakāñcanapādapīṭhaḥ /	tasyAm sa sAhasa-jitOvanipAla-mOli ratna-aMSu-pallavita-kAQcana-pAda-pIWaH /
   devaḥ kṣamāvalayam etad udañcitaika- līlātapatrasulabhābharaṇaṃ bhunakti	devaH kzamA-valayam etat udaQcitA-eka lIlA-Atapatra-sulaBa-ABaraNam Bunakti
   // PNc_1.91 //	// PNc_1.91 //
   [VAR 1.91d: {#sulabha#/lem /k; #lalilta# /ed}]	[VAR 1.91d: {#sulaBa#/lem /k; #lalilta# /ed}]
   iti śrīmṛgāṅkaguptasūnoḥ parimalāparanāmnaḥ padmaguptasya kṛtau	iti SrI-mRgAFkagupta-sUnoH parimala-apara-nAmnaH padmaguptasya kRtO
   navasāhasāṅkacarite mahākāvye nagarīnarendravarṇano nāma prathamaḥ sargaḥ	nava-sAhasa-aFka-carite mahAkAvye nagarInarendravarNanaH nAma praTamaH sargaH
   dvitīyaḥ sargaḥ	dvitIyaH sargaH
   kadā cil locanātithyam āptenālekhyaveśmani /	kadA cit locana-AtiTyam Aptena-AleKya-veSmani /
   sa mṛgavyāvinodena paspṛśe pārthivo bhṛśam // PNc_2.1 //	sa mRga-vyAvinodena paspRSe pArTivaH BRSam // PNc_2.1 //
   [VAR 2.1: {bhṛśam/lem /k; hṛdi /ed}]	[VAR 2.1: {BRSa-m/lem /k; hRdi /ed}]
   udagraturagārūḍhaḥ sa samaṃ rājasūnubhiḥ /	udagra-turaga-ArUXaH sa samam rAja-sUnuBiH /
   girer agacchad vipinam vindhyasyāvandhyaśasanaḥ // PNc_2.2 //	gireH agacCat vipinam vinDyasya-avanDya-SasanaH // PNc_2.2 //
   hāreṇāmalakasthūla- muktenāmuktakuntalaḥ /	hAreNa-Amalaka-sTUla muktena-amukta-kuntalaH /
   phaṇīndrabaddhajūṭasya śriyam āpa sa dhūrjaṭeḥ // PNc_2.3 //	PaNIndra-badDa-jUwasya Sriyam Apa sa DUrjaweH // PNc_2.3 //
   devaḥ sa vārabāṇena nalinīpatrabandhunā /	devaH sa vArabANena nalinI-patra-banDunA /
   śyāmajīmūtasannaddhaḥ kāñcanādrir ivābabhau // PNc_2.4 //	SyAma-jImUta-sannadDaH kAQcana-adriH iva-AbaBO // PNc_2.4 //
   tasyopari vibho nīlam ātapatraṃ vyarājata /	tasya-upari viBo nIlam Atapatram vyarAjata /
   vāridher iva pītāmbhaś- śyāmalaṃ meghamaṇḍalam // PNc_2.5 //	vAriDeH iva pIta-amBaS SyAmalam meGa-maNxalam // PNc_2.5 //
   vyādhūtimuktamarutā vyarucac cāmareṇa saḥ /	vyADUti-mukta-marutA vyarucat cAmareNa saH /
   bandigṛhān niḥśvasatā yaśasevādibhūbhujām // PNc_2.6 //	bandi-gRhAt niHSvasatA yaSa-sevA-Adi-BUBujAm // PNc_2.6 //
   [VAR 2.6a: {vyādhūti#/lem /ed (not attested); c: {#gṛhāt/lem /ed; #grahāt	[VAR 2.6a: {vyADUti-#/lem /et (not atteH-ted); c: {#gRha-at/lem /ed; #grahAt-
   /em?}]	/em?}]
   vyadhād ivodgatair dūraṃ cūḍāratnaraśmibhiḥ /	vyaDAt iva-udgatEH dUram cUxA-ratna-raSmiBiH /
   niśākarakuraṅgasya pāśam ākāśavartmani // PNc_2.7 //	niSAkara-kuraFgasya pASam AkASa-vartmani // PNc_2.7 //
   tasyāṃsayor nṛsiṃhasya hārakāntisaṭābharaḥ /	tasya-aMsayoH nRsiMhasya hAra-kAnti-sawA-BaraH /
   uvāha kaṇṭhalagnaśrī- vilāsahasitaśriyam // PNc_2.8 //	uvAha kaNWa-lagna-SrI vilAsa-hasita-Sriyam // PNc_2.8 //
   puraḥ pade pade tasya nānāratnāṅgadatviṣaḥ /	puras pade pade tasya nAnA-ratna-aFgada-tvizaH /
   racayanti sma sañcāri cāpaṃ prācīnabarhiṣaḥ // PNc_2.9 //	racayanti sma saQcAri cApam prAcInabarhizaH // PNc_2.9 //
   bhāti sma kaṇṭhābharaṇa- padmarāgaprabhāvṛtaḥ /	BAti sma kaNWa-ABaraNa padmarAga-praBA-AvRtaH /
   rājanyāsrasaraḥsnātaḥ sa bhārgava ivāparaḥ // PNc_2.10 //	rAjanya-asra-saraH-snAtaH sa BArgavaH iva-aparaH // PNc_2.10 //
   ruruce sa purastvaṅgat- sitacchatraparamparaḥ /	ruruce sa puras-tu-aFgat sita=-Catra-paramparaH /
   velānilasamuddhūta- pheṇaḥ patir ivārṇasām // PNc_2.11 //	velA-anila-samudDUta PeNaH patiH iva-arNasAm // PNc_2.11 //
   upāyanīkṛtonnidra- padmakiñjalkasaurabhaḥ /	upAyanIkRta-unnidra padma-kiQjalka-sOraBaH /
   tam asevata samrājaṃ vindhyadūta ivānilaḥ // PNc_2.12 //	tam asevata samrAjam vinDya-dUtaH iva-anilaH // PNc_2.12 //
   tadaśvīyakhurotkhātaiḥ pāṃsukūṭair ajāyata /	tad-aSvIya-Kura-utKAtEH pAMsu-kUwEH ajAyata /
   punaḥ prasabhavardhiṣṇu- vindhyaśaṅkākulaṃ jagat // PNc_2.13 //	punar prasaBa-varDizNu vinDya-SaFkA-Akulam jagat // PNc_2.13 //
   sahemaśṛṅkhalāḥ śvānaḥ śvetās tasyāgrato yayuḥ /	sa-hema-SRFKalAH SvAnaH SvetAH tasya-agratas yayuH /
   vahantaḥ sataḍiddāma- śāradāmbudharaśriyam // PNc_2.14 //	vahantaH sa-taxit-dAma SArada-ambuDara-Sriyam // PNc_2.14 //
   tatas turagaheṣābhiḥ pattikolāhalena ca /	tatas tura-ga-hezABiH patti-kolAhalena ca /
   ajāyanta bhayodbhrānta- śvāpadā vindhyabhūmayaḥ // PNc_2.15 //	ajAyanta Baya-udBrAnta SvApadAH vinDya-BUmayaH // PNc_2.15 //
   rabhasākṛṣṭakodaṇḍaṃ karṇapūrīkṛtekṣaṇāḥ /	raBasa-AkRzwa-kodaNxam karNa-pUrIkRta-IkzaNAH /
   tam anaṅgam ivāpaśyan vanānte vanadevatāḥ // PNc_2.16 //	tam anaFgam iva-apaSyan vanAnte vana-devatAH // PNc_2.16 //
   mayi goptari coro 'yam abalālocanaśriyaḥ /	mayi goptari coraH ayam abalA-locana-SriyaH /
   itīva mumuce tena kṛṣṇasāre śilīmukhaḥ // PNc_2.17 //	iti-iva mumuce tena kRzNasAre SilImuKaH // PNc_2.17 //
   sa citravarṇavicchitti- hāriṇor avanīpatiḥ /	sa citra-varNa-vicCitti hAriNoH avanIpatiH /
   śrīharṣa iva saṃghaṭṭaṃ cakre bāṇamayūrayoḥ // PNc_2.18 //	SrI-harzaH iva saMGawwam cakre bANa-mayUrayoH // PNc_2.18 //
   camarīṇāṃ śarotkṛttaiḥ sa vāladhibhir ujjvalam /	camarINAm Sara-utkRttEH sa vAlaDiBiH ujjvalam /
   parito vyadhitāraṇyaṃ svayaśaḥstabakair iva // PNc_2.19 //	paritas vyaDita-araNyam sva-yaSaH-stabakEH iva // PNc_2.19 //
   āhuta iva sāṭopaṃ lāṅgūlasphoṭaniḥsvanaiḥ /	AhutaH iva sa-Awopam lAFgUla-sPowa-niHsvanEH /
   abhyadhāvad abhivyāghrān āgrataḥ kautukena sa // PNc_2.20 //	aByaDAvat aBivyAGrAn Agratas kOtukena saH // PNc_2.20 //
   vidhitsur ātmanaḥ śauryam asāmānyam ivādadhe /	viDitsuH AtmanaH SOryam asAmAnyam iva-adaDe /
   sa śarān puṇḍarīkeṣu puṇḍarīkāyatekṣaṇaḥ // PNc_2.21 //	sa SarAn puNxarIkezu puNxarIka-Ayata-IkzaNaH // PNc_2.21 //
   tais tasya bāhuvīryeṇa dṛṣṭena vrīḍitair iva /	tEH tasya bAhu-vIryeNa dRzwena vrIxitEH iva /
   tatyaje vikramaspardhā puraḥ paścāt tu jīvitam // PNc_2.22 //	tatyaje vikrama-sparDA puras paScAt tu jIvitam // PNc_2.22 //
   kṣiter ekātapatrāyāḥ sa patir matsarād iva /	kziteH eka-AtapatrAyAH sa patiH matsarAt iva /
   udagrapuṇḍarīkatvaṃ na sehe vindhyabhūbhṛtaḥ // PNc_2.23 //	udagra-puNxarIka-tvam na sehe vinDya-BUBRtaH // PNc_2.23 //
   araṇyamahiṣair dūraṃ tasmāt sāyakavarṣiṇaḥ /	araNya-mahizEH dUram tasmAt sAyaka-varziNaH /
   apasasre vikīrṇāṃśos tamobhir iva bhāsvataḥ // PNc_2.24 //	apasasre vikIrNa-aMSoH tamoBiH iva BAsvataH // PNc_2.24 //
   mahāmahiṣaniṣpeṣakeliḥ pāram agād dvayoḥ /	mahA-mahiza-nizpeza-keliH pAram agAt dvayoH /
   rājñas tasyāticaṇḍasya caṇḍikācaraṇasya ca // PNc_2.25 //	rAjQaH tasya-ati-caNxasya caNxikA-caraNasya ca // PNc_2.25 //
   śaradīva prasarpantyāṃ tasya kodaṇḍaṭāṅkṛtau /	Saradi-iva prasarpantyAm tasya kodaNxawA-aFkRtO /
   vinidrajṛmbhitaharir vindhyodadhir ajāyata // PNc_2.26 //	vinidra-jRmBita-hariH vinDya-udaDiH ajAyata // PNc_2.26 //
   aśeṣabhuvanakhyāta- vikrame 'vyaktavikramaiḥ /	aSeza-Buvana-KyAta vikrame avyakta-vikramEH /
   darpān mumucire tasmin tiryakkesaribhir dṛśaḥ // PNc_2.27 //	darpAt mumucire tasmin tiryak-kesariBiH dRSaH // PNc_2.27 //
   sa teṣāṃ sahajodagra- śauryasañcāravīthiṣu /	sa tezAm sahaja-udagra SOrya-saQcAra-vITizu /
   mattebhamauktikottaṃsān na sehe nakhaśuktiṣu // PNc_2.28 //	matta-iBa-mOktika-uttaMsAn na sehe naKa-Suktizu // PNc_2.28 //
   yūthe mahāvarāhāṇāṃ gate tadbāṇagocaram /	yUTe mahA-varAhANAm gate tad-bANa-gocaram /
   cirāt palvalamustānāṃ santānaḥ svastimān abhūt // PNc_2.29 //	cirAt palvala-mustAnAm santAnaH svastimAn aBUt // PNc_2.29 //
   samadakroḍadaṃṣṭrābhiḥ kṛttābhiḥ kautukena sa /	sa-mada-kroxa-daMzwrABiH kRttABiH kOtukena sa /
   sthalīr vyadhita vindhyasya vikīrṇendukalā iva // PNc_2.30 //	sTalIH vyaDita vinDyasya vikIrNa-indu-kalAH iva // PNc_2.30 //
   asairibham asāraṅgam avārāham akesari /	asEH-iBam asAraFgam avArAham akesari /
   kṣaṇād vanam aśārdūlam āttacāpaś cakāra sa // PNc_2.31 //	kzaNAt vanam aSArdUlam Atta-cApaH cakAra sa // PNc_2.31 //
   alaṃ prahṛtya bhūpāla sattveṣv anaparādhiṣu /	alam prahRtya BUpAla sattvezu anaparADizu /
   itīva saḥ khagārāvair nyaṣedhi vanarājibhiḥ // PNc_2.32 //	iti-iva saH KagArAvEH nyazeDi vana-rAjiBiH // PNc_2.32 //
   asevanta samīrās tam anastamṛgayāśramam /	asevanta samIrAH tam anasta-mRgayA-ASramam /
   surataśrāntaśabarī- kabarīmālyacumbinaḥ // PNc_2.33 //	surata-SrAnta-SabarI kabarI-mAlya-cumbinaH // PNc_2.33 //
   sacivavarṇanam	saciva-varNanam
   athendracāpalalitaṃ sañcarantam itas tataḥ /	aTa-indracApa-lalitam saQcarantam itas tatas /
   amandamṛgayāsaṅgaḥ saḥ kuraṅgam alokata // PNc_2.34 //	amanda-mRgayA-saFgaH saH kuraFgam alokataH // PNc_2.34 //
   so 'pi taṃ valitagrīvaḥ kṣaṇaṃ sthitvā dadarśa ca /	saH api tam valita-grIvaH kzaNam sTitvA dadarSa ca /
   nirantaralatāpuñjaṃ vindhyakuñjaṃ viveśa ca // PNc_2.35 //	nirantara-latA-puQjam vinDya-kuQjam viveSa ca // PNc_2.35 //
   tatas turagam utsṛjya visṛjyānuplavān api /	tatas turagam utsRjya visRjya-anuplavAn api /
   tam anviyāya sāraṅgaṃ sāraṅgāyatalocanaḥ // PNc_2.36 //	tam anviyAya sAraFgam sAraFga-Ayata-locanaH // PNc_2.36 //
   devo ramāṅgadenātha saḥ śriyevānvagamyata /	devaH ramAFgadena-aTa saH SriyA-iva-anvagamyata /
   chāyā nivartate jātu na tu tasyaiṣa bhūpateḥ // PNc_2.37 //	CAyA nivartate jAtu na tu tasya-eza BUpateH // PNc_2.37 //
   mṛgānusārī vicarann āttacāpo vane vane /	mRga-anusArI vicaran Atta-cApaH vane vane /
   līlāṃ kirātaveṣasya saḥ prapede pinākinaḥ // PNc_2.38 //	lIlAm kirAta-vezasya saH prapede pinAkinaH // PNc_2.38 //
   dūrād eva sa tenātha śaravyatvam anīyata /	dUrAt eva sa tena-aTa Saravya-tvam anIyate /
   svanāmadheyasya cihnasya hemapuṅkhasya patriṇaḥ // PNc_2.39 //	sva-nAmaDeyasya cihnasya hema-puFKasya patriNaH // PNc_2.39 //
   śilābhedakṣamenāpi kim api ślathamuṣṭinā /	SilA-Beda-kzamena-api kim api SlaTa-muzwinA /
   abhūd viddhaḥ saḥ sāraṅgas tena tvaci ca marmaṇi // PNc_2.40 //	aBUt vidDaH saH sAraFgaH tena tvaci ca marmaNi // PNc_2.40 //
   [VAR 2.40a: {śilābheda#/lem /ed; sirābheda /em?}]	[VAR 2.40a: {SilA-Beda-#/lem /ed; sirA-Beda /em?}]
   saḥ śarāpātabhītena manaso 'py atiraṃhasā /	saH Sara-ApAta-BItena manasaH api ati-raMhasA /
   atidūraṃ kuraṅgeṇa ninye rāma ivāparaḥ // PNc_2.41 //	ati-dUram kuraFgeNa ninye rAmaH iva-aparaH // PNc_2.41 //
   tena vindhyāṭavīmadhye dhāvan nīrandhravīrudhi /	tena vinDya-awavI-maDye DAvan nIranDra-vIruDi /
   utpatann utpatann eva sa kevalam alakṣyata // PNc_2.42 //	utpatan utpatan eva sa kevalam alakzyata // PNc_2.42 //
   dṛśā vanasthalīḥ kurvan vikīrṇendīvarā iva /	dRSAH vanasTalIH kurvan vikIrNa-indIvarAH iva /
   javād dūram atikrāntaṃ taṃ kṣitīśas tadaikṣata // PNc_2.43 //	javAt dUram atikrAntam tam kzitISaH tadA-Ekzata // PNc_2.43 //
   tatas tirohite tasminn asamāptakutūhalaḥ /	tatas tirohite tasmin asamApta-kutUhalaH /
   svabāṇa iva sa prāpa pṛthivīṃ durvilakṣatām // PNc_2.44 //	sva-bANaH iva sa prApa pRTivIm durvilakza-tAm // PNc_2.44 //
   daśanajyotsnayā kurvan latāḥ stabakitā iva /	daSana-jyotsnayA kurvan latAH stabakitAH iva /
   iti pārśvagataṃ smitvā sa jagāda ramāṅgadam // PNc_2.45 //	iti pArSva-gatam smitvA sa jagAda ramAFgadam // PNc_2.45 //
   [VAR 2.45a: {#jyotsnayā/lem /em; #jotsnayā /ed}]	[VAR 2.45a: {#jyA-utsnayA-a/lem /em; #ja-utsnayA /ed}]
   ramāṅgadāya mṛgavarṇanam	ramAFgadAya mRga-varNanam
   ayaṃ tulitapaulomī- kāntakāmukavigrahaḥ /	ayam tulita-pOlomI kAnta-kAmuka-vigrahaH /
   mṛgo dṛggocaraṃ kaccit- gatas tava ramāṅgada! // PNc_2.46 //	mRgaH dRS-gocaram kaccit gataH tava ramAFgada! // PNc_2.46 //
   tadvadhūsvakaranyasta- citrapatralatāṅkitaḥ /	tad-vaDU-sva-kara-nyasta citra-patra-latA-aFkitaH /
   asau vihārahariṇaḥ kiṃ syād analasāratheḥ // PNc_2.47 //	asO vihAra-hariNaH kim syAt anala-sAraTeH // PNc_2.47 //
   api dṛṣṭā tvayaitasya kaṇṭhe kanakaśṛṅkhalā? /	api dRzwA tvayA-etasya kaNWe kanaka-SRFKalA? /
   churitasyendracāpena meghasyeva taḍillatā // PNc_2.48 //	Curitasya-indracApena meGasya-iva taxit-latA // PNc_2.48 //
   mṛgajātir apūrveyaṃ sarvathā vasudhātale /	mRga-jAtiH apUrvA-iyam sarvaTA vasuDA-tale /
   sambhavaty amarādrau vā bhuvane vā phaṇābhṛtām // PNc_2.49 //	samBavati amara-adrO vA Buvane vA PaNABRtAm // PNc_2.49 //
   asyākhaṇḍalakodaṇḍa- kānti carmātipāvanam /	asya-AKaNxala-kodaNxa kAnti carma-ati-pAvanam /
   gajapṛṣṭhe nidhāsyāmi mahāsamaraparvasu // PNc_2.50 //	gaja-pRzWe niDAsyAmi mahA-samara-parvasu // PNc_2.50 //
   yan nimajjati maccetaḥ kutūhalarasormiṣu /	yat nimajjati mad-cetaH kutUhala-rasa-Urmizu /
   mārgam anveṣṭum etasya tad ehi prayatāvahe // PNc_2.51 //	mArgam anvezwum etasya tat ehi prayatAvahe // PNc_2.51 //
   ity uktvā virate tasmin paramāramahībhṛti /	iti uktvA virate tasmin paramAra-mahIBRti /
   ūce ramāṅgadenaivam avāpyāvasaraṃ vacaḥ // PNc_2.52 //	Uce ramAFgadena-evam avApya-avasaram vacaH // PNc_2.52 //
   ramāṅgadakṛto mṛgānusaraṇaniṣedhaḥ	ramAFgada-kRtaH mRga-anusaraNa-nizeDaH
   krudhevādhijyacāpena varṇasaṅkaradarśinā /	kruDA-iva-aDijya-cApena varNa-saFkara-darSinA /
   tvayaiṣa citrasāraṅgo deva dūram anudruta // PNc_2.53 s //	tvayA-eza citra-sAraFgaH deva dUram anudruta // PNc_2.53 s //
   aśūnyāḥ suragandharva- siddhavidyādharoragaiḥ /	aSUnyAH sura-ganDarva sidDa-vidyADara-uragEH /
   imā navanavāścarya- nidhayo vindhyabhūmayaḥ // PNc_2.54 //	imAH nava-nava-AScarya niDayaH vinDya-BUmayaH // PNc_2.54 //
   viramātyādaraḥ ko 'yaṃ kuraṅgānveṣaṇe tava /	viramAti-AdaraH kaH ayam kuraFga-anvezaNe tava /
   na dhāvanty arthariktāsu kriyāsu tvādṛśāṃ dhiyaḥ // PNc_2.55 //	na DAvanti arTa-riktAsu kriyAsu tvAdRSAm DiyaH // PNc_2.55 //
   mṛgayāsaktacittasya tavātra vicariṣyataḥ /	mRgayA-Asakta-cittasya tava-atra vicarizyataH /
   pathi locanayor eṣa puno 'py āpatiṣyati // PNc_2.56 //	paTi locanayoH eza punaH api Apatizyati // PNc_2.56 //
   śaraḥ saṃhriyatām eṣa dhanur apy avatāryatām /	SaraH saMhriyatAm eza DanuH api avatAryatAm /
   śeṣā ca svastimaty astu deva śvāpadasantatiḥ // PNc_2.57 //	SezA ca svastimatI astu deva SvApada-santatiH // PNc_2.57 //
   daśā dinasya tīvreyaṃ yad ayaṃ bhagavān raviḥ /	daSA dinasya tIvrA-iyam yat ayam BagavAn raviH /
   kṛṣṇasyorasi puṣṇāti nabhasaḥ kaustubhaśriyam // PNc_2.58 //	kRzNasya-urasi puzNAti naBasaH kOstuBa-Sriyam // PNc_2.58 //
   nihateṣu tvayā deva sattveṣu vyathitā iva /	nihatezu tvayA deva sattvezu vyaTitAH iva /
   etā vahanti santāpam atīvāraṇyabhūmayaḥ // PNc_2.59 //	etAH vahanti santApam atIva-araNya-BUmayaH // PNc_2.59 //
   amībhir bālavānīra- viṭapeṣv agataklamaiḥ /	amIBiH bAla-vAn-Ira viwapezu agata-klamEH /
   kapiñjalair itaḥ paśya sahasaiva nilīyate // PNc_2.60 //	kapiQjalEH itas paSya sahasA-eva nilIyate // PNc_2.60 //
   arkāṃśuglapitair ebhir ito 'py ālikhitair iva /	arka-aMSu-glapitEH eBiH itas api AliKitEH iva /
   rājajambūnikuñjeṣu paśya puṃskokilaiḥ sthitam // PNc_2.61 //	rAja-jambU-nikuQjezu paSya puMskokilEH sTitam // PNc_2.61 //
   āhlādahetuḥ snigdheyam ito vanyena dantinā /	AhlAda-hetuH snigDA-iyam itas vanyena dantinA /
   paśya nīpataroś chāyā savaśena niṣevyate // PNc_2.62 //	paSya nIpa-taroH CAyA sa-vaSena nizevyate // PNc_2.62 //
   navāmbudharanīlo 'yaṃ dāvadhūmalatodgamaḥ /	nava-ambuDara-nIlaH ayam dAva-DUma-latA-udgamaH /
   nīlakaṇṭhair itas tarṣāt sotkaṇṭhair avalokyate // PNc_2.63 //	nIlakaNWEH itas tarzAt sa-utkaNWEH avalokyate // PNc_2.63 //
   anayā vidrumastamba- bhaṅgapiṅgalayā dṛśā /	anayA vidruma-stamba BaFga-piFgalayA dRSA /
   itaḥ palvalapaṅkānto vyaktim abhyeti sairibhaḥ // PNc_2.64 //	itas palvala-paFkAntaH vyaktim aByeti sEriBaH // PNc_2.64 //
