   Table of the Contents	Table of Te Contents
   BJ_02.17b/.śukrajau.suhṛdau.samaḥ.sura.guruḥ.saurasya.ca.anye.arayo.ye.proktāḥ.sva.tri.koṇa.bha.ādiṣu.punas.te.amī.mayā.kīrtitāḥ//(śā.vi)	BJ_02.17b/.-SukrajO.-suhRdO.-samaH.sura.-guruH.sOrasya.-ca.a-nye.ara-yo.ye.-proktAH.sva.tri.-koNa.Ba.a-Adizu.-puna-s.te.amI.mayA.-kIrtitAH//(
   BJ_02.18a/.anyonyasya.dhana.vyaya.āya.sahaja.vyāpāra.bandhu.sthitās.tat.kāle.suhṛdaḥ.sva.tuṅga.bhavane.apy.eke.arayas.tv.anyathā/	BJ_02.18a/.anyonyasi-a.-Dana.-vyaya-.Aya.-sahaja.-vyApAra.-banDu.-sTita-as.-tat.-kAle.suhRdaH.-sva.tuFga.-Bavane.api-.eke.a-raya-s.tv.anyaTA/
   BJ_02.18b/.dvy.eka.anukta.bhapān.suhṛt.sama.ripūn.saṃcintya.naisargikāṃs.tat.kāle.ca.punas.tu.tān.adhisuhṛn.mitra.ādibhiḥ.kalpayet//(śā.vi)	BJ_02.18b/.dvi-.eka-.anukta.BapAn.-suhRt.-sama.ripUn.-saMcintya.-nEsargika-aMs.-tat.kAle.ca.puna-s.tu.tAn-.aDi-suhRd-.mitra-.AdiBiH.kalpayet/
   BJ_02.19a/.sva.ucca.suhṛt.sva.tri.koṇa.nava.aṃśaiḥ.sthāna.balaṃ.sva.gṛha.upagataiś.ca/	BJ_02.19a/.sva.ucca.-suhRt.-sva.tri.-koNa.na-va-.aMSEH.sTAna-.balaM.sva.gRha.-upagatES.ca/
   BJ_02.19b/.dikṣu.budha.aṅgirasau.ravi.bhaumau.sūrya.sutaḥ.sita.śīta.karau.ca//(dodhaka)	Bu-_02.19b/.dikzu.buDa-.aFgira-sO.ravi.BOmO.-sUrya.-sutaH-.sita.SIta.karO.ca//(doDaka)
   BJ_02.20a/.udag.ayane.ravi.śīta.mayūkhau.vakra.samāgamagāḥ.pariśeṣāḥ/	Bu-_02.20a/.uda-g.aya-ne.ravi.-SIta.mayUKO.-vakra.-samAgama-gAH.pariSezAH/
   BJ_02.20b/.vipula.karā.yudhi.ca.uttara.saṃsthāś.ceṣṭita.vīrya.yutā.parikalpyāḥ//(dodhaka)	BJ_02.20b/.-vipula.karA.-yuDi.-ca.uttara.-saMsTAS.-cezwita.-vIrya-.-yutA.-parikalpyAH//(doDaka)
   BJ_02.21a/.niśi.śaśi.kuja.saurāḥ.sarvadā.jño.ahni.ca.anye/bahula.sita.gatāḥ.syuḥ.krūra.saumyāḥ.krameṇa//	Bu-_02.21a/.-niSi.-SaSi.-kuja.-sOrAH.-sarva-dA.jQaH-.ahni-.ca.anye/-bahula.sita.gatAH.syuH-.krUra.-sOmya-aH.krameNa//
   BJ_02.21b/.dvy.ayana.divasa.horā.māsapaiḥ.kāla.vīryaṃ.śa.ru.bu.gu.śu.ca.sādyā.vṛddhito.vīryavantaḥ//E2	BJ_02.21b/.dvi-.ayana.-divasa.horA.mAsapEH.kAla.-vIryaM.Sa.-ru.-bu.-gu.Su.ca.sAdyA.-vRdDito.-vIryavantaH//E2
   03.viyoni.janma	03.-viyoni.janma
   BJ_03.01a/.krūra.grahaiḥ.subalibhir.vibalaiś.ca.saumyaiḥ.klībe.catuṣṭaya.gate.tad.avekṣaṇād.vā/	Bu-_03.01a/.krUra.grahEH.su-baliBiH-.vibala-ES.ca.-sOmyEH.klIbe.-catuzwaya.-gate.-tad-.avekzaNAt-.vA/
   BJ_03.01b/.candra.upaga.dvi.rasa.bhāga.sa.māna.rūpaṃ.satvaṃ.vaded.yadi.bhavet.sa.viyoni.saṃjñaḥ//(va.ti)	BJ_03.01b/.candra-.upaga.dvi.rasa.BAga.-sa.mAna.-rUpaM.sa-tvaM.vadet-.ya-di.Ba-vet.-sa.viyoni.-saMjQaH//(va.ti)
   BJ_03.02a/.pāpā.balinaḥ.sva.bhāgagāḥ.pārakye.vibalāś.ca.śobhanāḥ/	BJ_03.02a/.pApA.-balinaH.-sva.-BAga-gAH.-pArakye.-vibala-AS.ca.-SoBanAH/
   BJ_03.02b/.lagnaṃ.ca.viyoni.saṃjñakaṃ.dṛṣṭvā.atra.api.viyonim.ādiśet//(vai.lī)	Bu-_03.02b/.lagnaM.ca.-viyoni.-saMjQa-kaM.dRzwvA-a.atra-.api.viyonim.a-Adi-Set//(-vE.lI)
   BJ_03.03a/.kriyaḥ.śiro.vakra.gale.vṛṣo.anye.pāda.aṃśakaṃ.pṛṣṭham.uro.atha.pārśve/	Bu-_03.03a/.kriyaH.-SiraH-.vakra.-gale.-vRzaH-.anye.-pAda-.aMSakaM.-pRzWam.uraH-.aTa.-pArSve/
   BJ_03.03b/.kukṣis.tv.apāna.aṅghryā.atha.meḍhra.muṣkau.sphik.puccham.ity.āha.catuṣpada.aṅge//(u.jā)	BJ_03.03b/.kukzi-s.tv.a-pAna.aFGrya-a.aTa.-meXra.-muzkO.sPik.pucCam-.iti-.Aha.-catuzpada-.aFge//(u.jA)
   BJ_03.04a/.lagna.aṃśakād.graha.yoga.īkṣaṇād.vā.varṇān.vaded.bala.yuktā.dvi.yonau/	Bu-_03.04a/.lagna-.aMSakAt-.graha.yoga-.IkzaNAt-.vA.-varNAn-.vadet-.bala.-yuktA.-dvi.yonO/
   BJ_03.04b/.dṛṣṭyā.sa.mānān.pravadet.sva.saṃkhyayā.rekhāṃ.vadet.smara.saṃsthaiś.ca.pṛṣṭhe//(vaiśvadevī)	BJ_03.04b/.dRzwyA-a.-sa.-mAnAn.pravadet.-sva.-saMKyayA-A.reKA-aM.vat-et.-smara.-saMsTA-ES.ca.-pRzWe//(vESvadevI)
   BJ_03.05a/.khage.dṛkāṇe.bala.saṃyutena.vā.graheṇa.yukte.cara.bha.aṃśaka.udaye/	BJ_03.05a/.Ka-ge.dRkANe.-bala.-saMyutena.vA.graheNa.-yukte.cara.-Ba.aMSaka-.udaye/
   BJ_03.05b/.budha.aṃśake.vā.vihagāḥ.sthala.aṃbujāḥ.śanaiścara.indv.īkṣaṇa.yoga.saṃbhavāḥ//(vaṃśastha)	BJ_03.05b/.buDa-.aMSake.vA.-viha-gAH.-sTala-.aMbujAH.SanEScara-.indv.IkzaNa.-yoga.-saMBavAH//(vaMSa-sTa)
   BJ_03.06a/.horā.indu.sūri.ravibhir.vibalais.taruṇāṃ.toye.sthale.taru.bhava.aṃśa.kṛtaḥ.prabhedaḥ/	BJ_03.06a/.hoH-A.indu.-sUri.-raviBiH-.vibala-es.taruNa-aM.toye.-sTale.taru.Bava-.aMSa.kRtaH.-praBedaH/
   BJ_03.06b/.lagnād.grahaḥ.sthala.jala.ṛkṣa.patis.tu.yāvāṃs.tāvanta.eva.taravaḥ.sthala.toya.jātāḥ//(va.ti.)	BJ_03.06b/.lagnAt-.grahaH.sTala.-jala-.Rkza.pati-s.tu.yAvAMs.tOvanta-.eva.-taravaH.sTala.-toya.-jAtAH//(va.ti.)
   BJ_03.07a/.antaḥ.sārāñ.janayati.ravir.durbhagān.sūrya.sūnuḥ.kṣīra.upetāṃs.tuhina.kiraṇaḥ.kaṇṭaka.āḍhyāṃś.ca.bhaumaḥ/	BJ_03.07a/.antaH.-sArAQ.-janayati-.ravir.duH-BagAn.sUrya.-sUnuH-.kzIra-.upetAMs.-tuhina.-kiraNaH.-kaNwaka-.AXya-aMS.ca.BOmaH/
   BJ_03.07b/.vāg.īśa.jñau.sa.phala.viphalān.puṣpa.vṛkṣāṃś.ca.śukraḥ.snigdhān.induḥ.kaṭuka.viṭapān.bhūmi.putraś.ca.bhūyaḥ//(mandāprāṃtā)	BJ_03.07b/.vAc-.ISa.jQO.-sa.Pala.-viPalAn.puzpa.-vRkza-aMS.-ca.-SukraH.-snigDa-an.induH-.-kawuka.viwapAn.BUmi.putra-S.ca.BUyaH//(-mandA-prAMtA)
   BJ_03.08a/.śubho.śubha.ṛkṣe.ruciraṃ.kubhūmijaṃ.karoti.vṛkṣaṃ.viparītam.anyathā//	Bu-_03.08a/.-SuBo.SuBa-.Rkze.-ruciraM.ku-BUmi-jaM.karoti.vRkzaM.viparItam-.anyaTA//
   BJ_03.08b/.para.aṃśake.yāvati.vicyutaḥ.svakād.bhavanti.tulyās.taravas.tathā.vidhāḥ//(vaṃśastha)E3	BJ_03.08b/.para-.aMSake.yAvati.-vicyutaH.-svakAt-.Bavanti.-tulya-As.tara-vas.-taTA-a.viDAH//(vaMSa-sTa)E3
   BJ_04.niṣekā	Bu-_04.nizekA
   BJ_04.01a/.kuja.indu.hetuḥ.pratimāsam.ārtavaṃ.gate.tu.pīḍa.ṛkṣam.anuṣṇa.didhitau/	Bu-_04.01a/.kuja-.indu.-hetuH-.pratimA-sam.ArtavaM.ga-te.tu.-pIxa-.Rkzam-.anuzNa.diDitO/
   BJ_04.01b/.ato.anyathāsthe.śubha.puṃ.graha.īkṣite.nareṇa.saṃyogam.upaiti.kāminī//(vaṃśastha)	BJ_04.01b/.ato.anyaTA-sTe.-SuBa.-puM.graha-.Ikzite.nareNa.-saMyogam.upEti.-kAminI//(-vaMSa-sTa)
   BJ_04.02a/.yathā.asta.rāśir.mithunaṃ.sameti.tathaiva.vācyo.mithuna.prayogaḥ/	Bu-_04.02a/.yaTA.aH-ta.rASiH-.miTunaM.sa-meti.-taTA-eva.vAcya-u.miTuna.-prayogaH/
   BJ_04.02b/.asad.graha.ālokita.saṃyute.aste.sa.roṣa.iṣṭaiḥ.sa.vilāsa.hāsaḥ//(indravajrā)	Bu-_04.02b/.asat-.graha-.Alokita.-saMyute.aH-te.-sa-.roza-.izwEH.sa.vilAsa.-hAsaH//(indra-vajrA)
   BJ_04.03a/.ravi.indu.śukra.avanijaiḥ.sva.bhāgagair.gurau.tri.koṇa.udaya.saṃsthite.api.vā/	Bu-_04.03a/.ravi.indu.-Sukra-.avanijEH.sva.-BAga-gEH-.gurO.-tri.koNa.udaya.-saMsTite.api.vA/
   BJ_04.03b/.bhavaty.apatyaṃ.hi.vibījinām.ime.karā.hima.aṃśor.vidṛśām.iva.aphalāḥ//(vaṃśastha)	BJ_04.03b/.Bavati-.apatyaM.hi.-vibIji-nAm-.ime.karA.-hima-.aMSa-Ur.-vidRSAm.iva.a-PalAH//(vaMSa-sTa)
   BJ_04.04a/.divākara.indvoḥ.smaragau.kuja.arkajau.gada.pradā.puṅgala.yoṣitos.tadā/	Bu-_04.04a/.divAkara-.indvoH.smara-gO.kuja-.arka-jO.gada.-pradA.-puFgala.yozita-us.tadA/
   BJ_04.04b/.vyaya.svagau.mṛtyu.karau.yutau.tathā.tad.eka.dṛṣṭyā.maraṇāya.kalpitau//(vaṃśastha)	BJ_04.04b/.vyaya.-sva-gO.-mRtyu.-karO.-yutO.-taTA.-tad-.eka.-dRzwyA.maraNa-aya.-kalpitO//(vaMSa-sTa)
   BJ_04.05a/.divā.arka.śukrau.pitṛ.mātṛ.saṃjñitau.śanaiścara.indū.niśi.tad.viparyayāt/	Bu-_04.05a/.divA-a.arka.-SukrO.-pitR.mAtR.-saMjQitO.SanEScara.indU.-niSi.tad.viparyayAt/
   BJ_04.05b/.pitṛvya.mātṛ.svasṛ.saṃjñitau.ca.tāv.atha.oja.yugma.ṛkṣa.gatau.tayoḥ.śubhau//(vaṃśastha)	Bu-_04.05b/.pitRvya.-mAtR.su-asR.-saMjQitO.-ca.tO=-.aTa-.oja.-yugma-.Rkza.-gatO.tayoH-.SuBO//(vaMSa-sTa)
   BJ_04.06a/.abhilaṣadbir.udaya.ṛkṣam.asadbhir.maraṇam.eti.śubha.dṛṣṭim.ayāte/	Bu-_04.06a/.aBilazat-bir.udaya-.Rkza-m.asadBiH-.maraNam.a-iti.SuBa.dRzwim.ayAte/
   BJ_04.06b/.udaya.rāśi.sahite.ca.yame.strī.vigalita.uḍu.pati.bhū.suta.dṛṣṭe//(vaṃśastha)	BJ_04.06b/.udaya.rASi.-sahite.-ca.yame.strI.-vigalita-.uxu.-pati.BU.-suta.-dRzwe//(vaMSa-sTa)
   BJ_04.07a/.pāpa.dvaya.madhya.saṃsthitau.lagna.indū.na.ca.saumya.vīkṣitau/	Bu-_04.07a/.-pApa.-dvaya.-maDya.-saMsTitO.-lagna-.indU.-na.ca.-sOmya.-vIkzitO/
   BJ_04.07b/.yugapat.pṛthag.eva.vā.vaden.nārī.garbha.yutā.vipadyate//(vai.lī)	Bu-_04.07b/.-yugapat.-pRTak-.eva.vA.vaden.-nArI.-garBa.yutA.-vipadyate//(vE.lI)
   BJ_04.08a/.krūre.śaśinaś.caturthage.lagnād.vā.nidhana.āśrite.kuje/	BJ_04.08a/.krUre.SaSinaS.caturTa-ge.lagnAt-.vA.niDana.a-ASrite.-kuje/
   BJ_04.08b/.bandhv.antyagayoḥ.kṣīṇa.indau.nidhanāya.pūrvavat//(vaitāliyā)	BJ_04.08b/.banDv.antya-gayoH.kzINa-.indO.-niDana-aya.-pUrvavat-//(vEtAliyA)
   BJ_04.09a/.udaya.astagayoḥ.kuja.arkayor.nidhanaṃ.śastra.kṛtaṃ.vadet.tathā/	Bu-_04.09a/.udaya-.astagayoH-.kuja-.arkayoH-.niDanan.Sastra.kRtaM.vadet.-taTA/
   BJ_04.09b/.māsa.adhipatau.nipīḍite.tat.kāle.sravaṇaṃ.samādiśet//(vai.lī)	Bu-_04.09b/.mAsa-.aDipatO.-nipIxite.-tat.kAle.-sravaNaM.samAdiSet//(vE.lI)
   BJ_04.10a/.śaśa.aṅka.lagna.upagataiḥ.śubha.grahais.tri.koṇa.jāyā.artha.sukha.āspada.sthitaiḥ/	BJ_04.10a/.Sa-Sa.aFka-.lagna-.upagatEH.SuBa-.grahEs.tri.koNa.jAyA.arTa.-suKa.Aspada.-sTitEH/
   BJ_04.10b/.tṛtīya.lābha.ṛkṣa.gataiś.ca.pāpakaiḥ.sukhī.tu.garbho.raviṇā.nirīkṣitaḥ//(vaṃśastha)	BJ_04.10b/.tRtIya-.lABa-.Rkza.-gata-ES.ca.pApakEH.suKI.-tu.garBaH-.raviNA.-nirIkzitaH//(vaMSa-sTa)
   BJ_04.11a/.oja.ṛkṣe.puruṣa.aṃśakeṣu.balibhir.lagna.arka.gurv.indubhiḥ.puṃ.janma.pravadet.sama.aṃśaka.gatair.yugmeṣu.tair.yoṣitaḥ/	BJ_04.11a/.oja-.Rkze.-puruza-.aMSaka-izu.-baliBiH-.lagna.arka.-guru-.induBiH.-puM.janma.-pravadet.-sama.aMSaka.gatEH-.yugmezu.-tEH-.yozitaH/
   BJ_04.11b/.gurv.arkau.viṣame.naraṃ.śaśi.sitau.vakraś.ca.yugme.striyaṃ/dvy.aṅgastha.budha.vīkṣaṇāc.ca.yamalau.kurvanti.pakṣe.svake//(śā.vi)	BJ_04.11b/.guru-.arkO.-vizame.naraM.Sa-Si.sitO.vakra-S.ca.-yugme.striyaM/t-vy.aFga-sTa.buDa.vIkzaNa-ac.ca.yam-alO.-kurvanti.-pakze.-sva-ke//(
   BJ_04.12a/.vihāya.lagnaṃ.viṣama.ṛkṣa.saṃsthaḥ.sauro.api.puṃ.janma.karo.vilagnāt/	Bu-_04.12a/.vihAya-.-lagnaM.vizam-a.Rkza.-saMsTaH.-sOraH-.api.puM.janma.karo.-vilagnAt/
   BJ_04.12b/.prokta.grahāṇām.avalokya.vīryaṃ.vācyaḥ.prasūtau.puruṣo.aṅganā.vā//(upendravajrā)	Bu-_04.12b/.-prokta.grahANAm-.avalokya.vIryaM.vAcyaH-.prasUtO.-puruzaH-.aFganA.vA/-/(upendra-vajrA)
   BJ_04.13a/.anyonyaṃ.yadi.paśyataḥ.śaśi.ravī.yady.arki.saumyāv.api.vakro.vā.samagaṃ.dina.īśam.asame.candra.udayau.cet.sthitau/	BJ_04.13a/.anyonyaM.ya-di.paSyataH.SaSi.ravI.-yadi-.arki.-sOmyO=-.api-.vakraH-.vA.-sama-gaM.dina.I-Sam.a-same.-candra-.uda-yO.-cet.-sTitO/
   BJ_04.13b/.yugma.oja.ṛkṣa.gatāv.api.indu.śaśijau.bhūmy.ātmajena.īkṣitau.pumbhāve.sita.lagna.śīta.kiraṇāḥ.ṣaṭ.klība.yogāḥ.smṛtāḥ//(śā.vi)	BJ_04.13b/.yugma-.oja-.Rkza.-gatO=-.api-.indu.-SaSi-jO.-BUmi-.Atmajena-.IkzitO.-pumBAve.sita.lagna.-SIta.-kiraNAH.zaw.-klIba.-yogAH.smRtAH//(S
   BJ_04.14a/.yugme.candra.sitau.tathā.oja.bhavane.syur.jña.āra.jīva.udayā.lagna.indū.nṛ.nirīkṣitau.ca.samagau.yugmeṣu.vā.prāṇinaḥ/	BJ_04.14a/.-yugme.-candra-.sitO.-taTA-a.oja.-Bavane.syuH-.jQa-.Ara.jIva-.udayA.-lagna.-indU.-nR.-nirIkzitO.-ca.-sama-gO.-yugma-izu.vA.prANinaH/
   BJ_04.14b/.kuryur.te.mithunaṃ.graha.udaya.gatān.dvy.aṅga.aṃśakān.paśyati.sva.aṃśe.jñe.tritayaṃ.jñaga.aṃśaka.vaśād.yugmaṃ.tv.amiśraiḥ.samam//(śā.vi)	BJ_04.14b/.kuryuH-.te.miTunaM.graha.udaya.-gatAn.dvi-.aFga-.aMSakAn.paSyati.-sva-.aMSe.-jQe.-tritayaM.jQa-ga.aMSaka-.vaSa-At-.yugmaM.tu-.amiS
   BJ_04.15a/.dhanur.dharasya.antya.gate.vilagne.grahais.tad.aṃśa.upagatair.baliṣṭhaiḥ/	Bu-_04.15a/.DanuH-.Darasya.antya.-gate.-vilagne.-grahEH-.-tad-.aMSa.upagatEH-.balizWEH/
   BJ_04.15b/.jñena.arkiṇā.vīrya.yutena.dṛṣṭaiḥ.santi.prabhūtā.api.kośa.saṃsthāḥ//(upajātikā)	BJ_04.15b/.jQena.arkiNA.-vIrya-.-yutena.-dRzwEH.santi.-praBUta-a.api.koSa.-saMsTAH//(upajAtikA)
   BJ_04.16a/.kalala.ghana.aṅkura.asthi.carma.aṅgaja.cetanatāḥ.sita.kuja.jīva.sūrya.candra.arki.budhāḥ.parataḥ/	BJ_04.16a/.kalala.-Gana-.aFkura-.asTi.carma-.aFga-ja.-cetanatAH.sita.kuja.jIva.-sUrya.candra-.arki.buDAH-.parataH/
   BJ_04.16b/.udayapa.candra.sūrya.nāthāḥ.kramaśo.gaditā.bhavanti.śubha.aśubhaṃ.ca.māsa.adhipateḥ.sadṛśam//(kuṭaka)	Bu-_04.16b/.udayapa.-candra.-sUrya.nATa-aH.krama-So.gaditA.-Bavanti.SuBa-.aSuBaM.ca.-mAsa-.aDipateH.-sadRSam//(kuwaka)
   BJ_04.17a/.tri.koṇage.jñe.vibalais.tathā.parair.mukha.aṅghri.hastair.dvi.guṇas.tadā.bhavet/	Bu-_04.17a/.tri.koNa-ge.jQe.-vibalEH-.-taTA.-parEH-.muKa-.aFGri.hastEH-.dvi.guNa-s.tadA.-Bavet/
   BJ_04.17b/.avāg.gavi.indāv.aśubhair.bha.saṃdhigaiḥ.śubha.īkṣitaś.cet.kurute.giraṃ.cirāt//(vaṃśastha)	BJ_04.17b/.avAg.-ga-vi.indO=-.aSuBEH-.Ba.-saMDi-gEH-.SuBa-.Ikzita-S.cet.-kurute.-giraM.cirAt//(-vaMSa-sTa)
   BJ_04.18a/.saumya.ṛkṣa.aṃśe.ravija.rudhirau.cet.sa.danto.atra.jātaḥ.kubjaḥ.sva.ṛkṣe.śaśini.tanuge.manda.māheya.dṛṣṭe/	BJ_04.18a/.-sOmya-.Rkza-.aMSe.ravi-ja.ruDirO.-cet.-sa.dantaH-.atra.-jAtaH.-kubjaH.sva-.Rkze.-SaSini.tanu-ge.manda.m-Aheya.dRzwe/
   BJ_04.18b/.paṅgur.mīne.yama.śaśi.kujair.vīkṣite.lagna.saṃsthe.saṃdhau.pāpe.śaśini.ca.jaḍaḥ.syān.na.cet.saumya.dṛṣṭaḥ//(manda.ākrāntā)	Bu-_04.18b/.paFguH-.-mIne.yama.SaSi.-kujEH-.vIkzite.lagna.-saMsTe.-saMDO.pApe.-SaSi-ni.ca.-jaxaH.syA-n.na.-cet.-sOmya.dRzwaH//(manda-.a-AkrAntA
   BJ_04.19a/.saura.śaśa.aṅka.divā.kara.dṛṣṭe.vāmanako.makara.antya.vilagne/	BJ_04.19a/.-sOra.Sa-Sa.aFka.divA.kara.dRzwe.-vAmana-ko.makara.antya.-vilagne/
   BJ_04.19b/.dhī.navama.udayagaiś.ca.dṛkāṇaiḥ.pāpa.yutair.abhuja.aṅghri.śirāḥ.syāt//(dodhaka)	BJ_04.19b/.DI.navama.udayagES.ca.dRkANEH.pApa-.yutEH-.a-Buja.aFGri.-SirAH.syAt//(doDaka)
   BJ_04.20a/.ravi.śaśi.yute.siṃhe.lagne.kuja.arki.nirīkṣite.nayana.rahitaḥ.saumya.asaumyaiḥ.sa.budbuda.locanaḥ/	BJ_04.20a/.ravi.Sa-Si.yute.-siMhe.-lagne.kuja-.arki.-nirIkzite.nayana.-rahitaH.-sOmya.a-sOmyEH.sa.budbuda.-locanaH/
   BJ_04.20b/.vyaya.gṛha.gataś.candro.vāmaṃ.hinasty.aparaṃ.ravir.na.śubha.gaditā.yogā.yāpyā.bhavanti.śubha.īkṣitāḥ//(hariṇī)	Bu-_04.20b/.vyaya.gRha.-gata-S.candraH-.vAmaM.hinasty.a-paraM.ravir.na.-SuBa.gaditA.-yogA.yApyA.-Bavanti.-SuBa-.IkzitAH//(hariNI)
   BJ_04.21a/.tat.kālam.indu.sahito.dvi.rasa.aṃśako.yas.tat.tulya.rāśi.sahite.purataḥ.śaśa.aṅke/	BJ_04.21a/.tat.-kAlam-.indu.-sahitaH-.-dvi.-rasa-.aMSa-ko.yas.-tat.-tulya-.rASi.-sahite.-purataH.-SaSa-.aFke/
   BJ_04.21b/.yāvān.udeti.dina.rātri.sa.māna.bhāgas.tāvad.gate.dina.niśoḥ.pravadanti.janma//(vasantatilakā)	Bu-_04.21b/.yAvAn-.udeti.dina.-rAtri.-sa.mAna.BAga-s.tA-vat-.gate.dina.-niSoH.-pravadanti.-janma//(vasanta-tilakA)
   BJ_04.22a/.udayati.mṛdu.bha.aṃśe.saptamasthe.ca.mande.yadi.bhavati.niṣekaḥ.sūtir.abda.trayeṇa/	Bu-_04.22a/.udayati.-mRdu.Ba.aMSe.-saptama-sTe.ca.mande.ya-di.Bavati.-nizekaH.sUtiH-.abda.trayeNa/
   BJ_04.22b/.śaśini.tu.vidhir.eṣa.dvādaśe.abde.prakuryān.nigaditam.iha.cintyaṃ.sūti.kāle.api.yuktyā//(mālinī)E4	BJ_04.22b/.SaSi-ni.tu.-viDiH-.eza.-dvAdaSe.abde.-prakuryAn.nigaditam-.iha.-cintyaM.sUti.kAle.a-pi.yuktyA//(-mAlinI)E4
   BJ_05.janmavidhi	BJ_05.janma-viDi
   BJ_05.01a/.pitur.jātaḥ.parokṣasya.lagnam.indāv.apaśyati/	Bu-_05.01a/.pituH-.jAtaH.parokzasI-a.lagnam-.indO=-.apaSyati/
   BJ_05.01b/.videśasthasya.cara.bhe.madhyād.bhraṣṭe.divā.kare//(anuṣṭubh)	BJ_05.01b/.videSa-sTasya.cara.-Be.maDyAt-.Brazwe.divA.kare//(anuzwuB)
   BJ_05.02a/.udayasthe.api.vā.mande.kuje.vā.astaṃ.samāgate.	Bu-_05.02a/.udayasTe.api.vA.-mande.-kuje.vA.aH-taM.-samAgate.
   BJ_05.02b/.sthite.vā.antaḥ.kṣapā.nāthe.śaśa.aṅka.suta.śukrayoḥ//(anuṣṭubh)	BJ_05.02b/.sTite.vA.antaH.kzapA.nATe.-SaSa-.aFka.-suta.-SukrayoH//(anuzwuB)
   BJ_05.03a/.śaśa.aṅke.pāpa.lagne.vā.vṛścika.īśa.tri.bhāgage/	BJ_05.03a/.Sa-Sa.aFke.-pApa.lagne.vA.-vRScika-.ISa.-tri.BAga-ge/
   BJ_05.03b/.śubhaiḥ.svāya.sthitair.jātaḥ.sarpas.tad.veṣṭito.api.vā//(no	Bu-_05.03b/.SuBEH.svAya.-sTitEH-.jAtaH.-sarpa-H-.tad.-vezwitaH-.api-.vA//(naH-
   metre name)	metre name)
   BJ_05.04a/.catuṣpāda.gate.bhānau.śeṣair.vīrya.samanvitaiḥ/	BJ_05.04a/.-catuzpAda.-gate.BAnO.-SezEH-.vIrya.-samanvitEH/
   BJ_05.04b/.dvi.tanusthaiś.ca.yamalau.bhavataḥ.kośa.veṣṭitau//(anuṣṭubh)	BJ_05.04b/.dvi.-tanu-sTES.ca.yam-alO.-BavataH.-koSa-.vezwitO//(anuzwuB)
   BJ_05.05a/.chāge.siṃhe.vṛṣe.lagne.tatsthe.saure.atha.vā.kuje/	Bu-_05.05a/.CAge.-siMhe.-vRze.lagne.-tad-sTe.-sOre.aTa-.vA.kuje/
   BJ_05.05b/.rāśy.aṃśa.sadṛśe.gātre.jāyate.nāla.veṣṭitaḥ//(no metre name)	BJ_05.05b/.rASI-.aMSa.-sadRSe.gAtre.-jAyate.nAla-.vezwitaH//(naH metre name)
   BJ_05.06a/.na.lagnam.induṃ.ca.gurur.nirīkṣate.na.vā.śaśa.aṅkaṃ.raviṇā.samāgatam/	Bu-_05.06a/.na.lagnam-.induM.ca.-guruH-.nirIkzate.na.vA.Sa-Sa.aFkaM.raviNA.-samAgatam/
   BJ_05.06b/.sa.pāpako.arkeṇa.yuto.atha.vā.śaśī.pareṇa.jātaṃ.pravadanti.niścayāt//(vaṃśastha)	BJ_05.06b/.-sa.pApa-kaH-.arkeNa-.yutaH-.aTa.vA.Sa-SI.-pareNa-.jAtaM.-pravadanti.-niScayAt//(-vaMSa-sTa)
   BJ_05.07a/.krūra.ṛkṣa.gatāv.aśobhanau.sūryād.dyūna.nava.ātmaja.sthitau/	Bu-_05.07a/.krUra-.Rkza.-gatO=-.aSoBa-nO.-sUryAt-.dyUna.nava.Atmaja-.-sTitO/
   BJ_05.07b/.baddhas.tu.pitā.videśagaḥ.sve.vā.rāśi.vaśād.atho.pathi//(vaitālīyā)	BJ_05.07b/.badDa-s.tu.-pitA.-videSa-gaH.sve.vA.rASi.-vaSAt-.aTa-u.paTi//(vEtAlIyA)
   BJ_05.08a/.pūrṇe.śaśini.sva.rāśige.saumye.lagna.gate.śubhe.sukhe/	Bu-_05.08a/.pUrNe.-SaSi-ni.sva.rASi-ge.-sOmye.-lagna.-gate.-SuBe.-suKe/
   BJ_05.08b/.lagne.jalaje.astage.api.vā.candro.pota.gatā.prasūyate//(vaitālīyā)	BJ_05.08b/.lagne.-jala-je.astage.api.vA.-candra-u.pota.-gatA.-prasUyate//(vEtAlIyA)
   BJ_05.09a/.āpya.udayam.āpyagaḥ.śaśī.sampūrṇaḥ.samavekṣate.atha.vā/	BJ_05.09a/.Api-a.udayam-.Api-agaH.-SaSI.-sampUrNaH.-samavekzate.aTa-.vA/
   BJ_05.09b/.meṣu.uraṇa.bandhu.lagnagaḥ.syāt.sūtiḥ.salile.na.saṃśayaḥ//(vaitālīyā)	BJ_05.09b/.mezu-.uraNa-.banDu.-lagna-gaH.sya-at.sUtiH.salile.na.-saMSayaH//(vEtAlIyA)
   BJ_05.10a/.udaya.uḍupayor.vyaya.sthite.guptyāṃ.pāpa.nirīkṣite.yame/	Bu-_05.10a/.udaya.uxu-payoH-.vyaya.-sTite.guptyA-aM.pApa.-nirIkzite.yame/
   BJ_05.10b/.ali.karki.yute.vilagnage.saure.śīta.kara.īkṣite.vaṭe//(vaitālīyā)	BJ_05.10b/.ali.-karki-.yute.-vilagna-ge.-sOre.SIta.kara-.Ikzite.vawe//(-vEtAlIyA)
