   akṣarā kuṭajā tathā YRps_9.7b	akzarA kuwajA taTA YRpH-_9.7b
   uparisthām adhovaktrāṃ YRps_1.51c	upari-sTAm aDas-vaktrAm YRpH-_1.51c
   uparyupari patrāṇi YRps_4.42c	upari-upari patrANi YRpH-_4.42c
   upalaṃ ca gariṇḍakam YRps_10.53b	upalam ca gariNxakam YRpH-_10.53b
   uṣṇakāṃjikatoyena YRps_1.41a	uzNa-kAMjika-toyena YRpH-_1.41a
   uṣṇakāṃjikatoyena YRps_1.111a	uzNa-kAMjika-toyena YRpH-_1.111a
   uṣṇakāṃjikayogena YRps_2.87c	uzNa-kAMjika-yogena YRpH-_2.87c
   ūnacatvāriṃśadatra YRps_10.8c	UnacatvAriMSat-atra YRpH-_10.8c
   ūrdhvagaṃ satvamāharet YRps_6.8d	UrDva-gam satvam-Aharet YRpH-_6.8d
   ūrdhvadvāre vinikṣipet YRps_10.34d	UrDva-dvAre vinikzipet YRpH-_10.34d
   ūrdhvapātanakaṃ ca yat YRps_10.2b	UrDvapAtanakam ca yat YRpH-_10.2b
   ūrdhvapātanayaṃtrasya YRps_1.48c	UrDvapAtanayaMtrasya YRpH-_1.48c
   ūrdhvapātanayaṃtraṃ hi YRps_1.54a	UrDvapAtanayaMtram hi YRpH-_1.54a
   ūrdhvapātastvadhaḥpātas YRps_1.48a	UrDvapAtaH-tu-aDaHpAtaH YRpH-_1.48a
   ūrdhvayantreṇa pātayet YRps_2.28d	UrDvayantreNa pAtayet YRpH-_2.28d
   ūrdhvalagnaṃ tu grāhayet YRps_11.66b	UrDva-lagnam tu grAhayet YRpH-_11.66b
   ūrdhvaṃgaṃ grāhayedrasam YRps_1.53d	UrDvaMgam grAhayet-rasam YRpH-_1.53d
   ūlakena subhāvayet YRps_5.33d	Ulakena suBAvayet YRpH-_5.33d
   ṛkṣaṃ somakalā latā YRps_9.1f	Rkzam soma-kalA latA YRpH-_9.1f
   ṛddhiḥ śoṣiṇyadhoguptā YRps_9.22c	RdDiH SoziNI-aDoguptA YRpH-_9.22c
   eka eva kathitastu so'malaḥ svedito'pi saha cūrṇajalena YRps_8.5/a	ekaH eva kaTitaH-tu saH-amalaH sveditaH-api saha cUrNa-jalena YRpH-_8.5/a
   ekacchāyaṃ snigdhavarṇaṃ guru syāt YRps_7.42a	ekacCAyam snigDa-varNam guru syAt YRpH-_7.42a
   ekabhāgastathā sūto YRps_11.5a	eka-BAgaH-taTA sUtaH YRpH-_11.5a
   ekabhittau ca gartakam YRps_10.31b	eka-BittO ca gartakam YRpH-_10.31b
   ekameva nalikābhidhānakaṃ YRps_6.52c	ekam-eva nalikA-aBiDAnakam YRpH-_6.52c
   ekaviṃśativārāṇi YRps_2.29a	ekaviMSati-vArANi YRpH-_2.29a
   ekaviṃśatisaṃkhyayā YRps_13.8d	ekaviMSati-saMKyayA YRpH-_13.8d
   ekaṃ bhāgaṃ vatsanābhaṃ ca kuryād YRps_8.20a	ekam BAgam vatsanABam ca kuryAt YRpH-_8.20a
   ekīkṛtya vasāmeṣām YRps_1.124a	ekIkRtya vasAm-ezAm YRpH-_1.124a
   ekenāraṇyakena ca YRps_2.26b	ekena-AraNyakena ca YRpH-_2.26b
   ekaikaṃ vaṭakaṃ prage YRps_12.6b	ekEkam vawakam prage YRpH-_12.6b
   ekaikāyā rasenāpi YRps_9.10a	ekEkAyAH rasena-api YRpH-_9.10a
   ekaikenauṣadhenaivaṃ YRps_2.96c	ekEkena-OzaDena-evam YRpH-_2.96c
   ekaikotpalavṛddhitaḥ YRps_2.26d	ekEka-utpala-vRdDitaH YRpH-_2.26d
   etatsvarṇabhavaṃ karotica rajaḥ saundaryatāṃ vai sadā YRps_4.20a	etat-svarNa-Bavam karoti-ca rajaH sOndarya-tAm vE sadA YRpH-_4.20a
   etasyāpi samāharet YRps_6.64d	etasya-api samAharet YRpH-_6.64d
   etānyanyāni tailāni YRps_1.141c	etAni-anyAni tElAni YRpH-_1.141c
   etānyeva samāni ca kṛtvā dravyāṇi mardayecca dinam YRps_1.134/b	etAni-eva samAni ca kRtvA dravyANi mardayet-ca dinam YRpH-_1.134/b
   etāsāṃ svarasenaiva YRps_2.105c	etAsAm svarasena-eva YRpH-_2.105c
   etāsāṃ svarasaiḥ paṅkair YRps_2.77a	etAsAm svarasEH paFkEH YRpH-_2.77a
   ete proktā saptasaṃkhyā guṇā vai YRps_7.14c	ete proktA sapta-saMKyAH guNAH vE YRpH-_7.14c
   ete mahārasāścāṣṭāv YRps_5.2e	ete mahArasAH-ca-azwO YRpH-_5.2e
   ete'ṣṭau dhātavo jñeyā YRps_4.3e	ete-azwO DAtavaH jQeyAH YRpH-_4.3e
   etair liṅgair lakṣitaṃ cottamaṃ hi YRps_7.42d	etEH liFgEH lakzitam ca-uttamam hi YRpH-_7.42d
   etairliṃgaiḥ saptabhiḥ kṣepaṇīyam YRps_7.43d	etEH-liMgEH saptaBiH kzepaNIyam YRpH-_7.43d
   etaiḥ samānamahiphenamanena cābhraṃ śvetaṃ nidhāya madhunā vaṭakān vid	etEH samAnam-ahiPenam-anena ca-aBram Svetam niDAya maDunA vawakAn vid
   YRps_13.10b	YRpH-_13.10b
   ebhir liṅgairlakṣitaṃ vai garīyaḥ YRps_7.46c	eBiH liFgEH-lakzitam vE garIyaH YRpH-_7.46c
   eraṇḍataile ghṛṣṭaṃ tad YRps_11.118c	eraNxa-tEle GRzwam tat YRpH-_11.118c
   eraṃḍamūlasya rasena sūtaṃ YRps_3.53c	eraMxa-mUlasya rasena sUtam YRpH-_3.53c
   elīyaḥ syātpippalī śreyasī ca YRps_8.14b	elIyaH syAt-pippalI SreyasI ca YRpH-_8.14b
   eva dvādaśayāmakam YRps_11.111d	eva dvAdaSa-yAmakam YRpH-_11.111d
   evaṃ kṛte grāsamānaṃ YRps_1.85a	evam kRte grAsamAnam YRpH-_1.85a
   evaṃ kṛte trivāreṇa YRps_4.98e	evam kRte tri-vAreNa YRpH-_4.98e
   evaṃ kṛte dvistrivāraṃ YRps_11.25c	evam kRte dvis-tri-vAram YRpH-_11.25c
   evaṃ kṛte samaṃ cābhraṃ YRps_1.114a	evam kRte samam ca-aBram YRpH-_1.114a
   evaṃ kṛtvā tacca cūrṇaṃ vidheyam YRps_8.34d	evam kRtvA tat-ca cUrNam viDeyam YRpH-_8.34d
   evaṃ gajapuṭo bhavet YRps_10.45f	evam gajapuwaH Bavet YRpH-_10.45f
   evaṃ tailaṃ tu sāraṇam YRps_1.124b	evam tElam tu sAraNam YRpH-_1.124b
   evaṃ nāgo viśuddhaḥ syān YRps_4.96c	evam nAgaH viSudDaH syAt YRpH-_4.96c
   evaṃ pañcavidhaḥ smṛtaḥ YRps_1.144b	evam paQcaviDaH smRtaH YRpH-_1.144b
   evaṃ puṭatrayaṃ dattvā YRps_4.10c	evam puwa-trayam dattvA YRpH-_4.10c
   evaṃ pūtidvayenaiva YRps_1.102c	evam pUti-dvayena-eva YRpH-_1.102c
   evaṃ mustārasenāpi YRps_5.21a	evam mustA-rasena-api YRpH-_5.21a
   evaṃ saṃjāritaṃ bījaṃ YRps_1.129c	evam saMjAritam bIjam YRpH-_1.129c
   evaṃ saṃśodhito gandhaḥ YRps_6.35c	evam saMSoDitaH ganDaH YRpH-_6.35c
   eṣā cāṃgārakoṣṭhī ca YRps_10.35a	ezA ca-aMgAra-kozWI ca YRpH-_10.35a
   eṣā mātrā rase proktā YRps_1.164a	ezA mAtrA rase proktA YRpH-_1.164a
   oṣadhāni samāṃśāni YRps_1.32c	ozaDAni sama-aMSAni YRpH-_1.32c
   auṣadhaṃ dhārayenmadhye YRps_10.42a	OzaDam DArayet-maDye YRpH-_10.42a
   auṣadhānāṃ ca sādhanam YRps_10.46f	OzaDAnAm ca sADanam YRpH-_10.46f
   auṣadhīnāṃ samākhyātā YRps_1.10a	OzaDInAm samAKyAtAH YRpH-_1.10a
   auṣadhe nopapadyate YRps_6.15f	OzaDe na-upapadyate YRpH-_6.15f
   kakupsu bhūmau patito hi nūnam YRps_1.15b	kakupsu BUmO patitaH hi nUnam YRpH-_1.15b
   kaṅkuṣṭhakaṃ tiktakaṭūṣṇavīryaṃ YRps_6.57a	kaFkuzWakam tikta-kawu-uzNa-vIryam YRpH-_6.57a
   kaṅkolakatugākṣīrī- YRps_13.2c	kaFkolaka-tugAkzIrI YRpH-_13.2c
   kaṅkollaṃ cec caṃdanaṃ kuṃkumaṃ ca YRps_8.31b	kaFkollam ced caMdanam kuMkumam ca YRpH-_8.31b
   kacchapasya ca rasena marditam YRps_3.64d	kacCapasya ca rasena marditam YRpH-_3.64d
   kajjalīṃ ca nidhāpayet YRps_4.42d	kajjalIm ca niDApayet YRpH-_4.42d
   kañcukāḥ sapta sūtasya YRps_1.27a	kaQcukAH sapta sUtasya YRpH-_1.27a
   kaṭukā viṣanāśinī YRps_6.13d	kawukA viza-nASinI YRpH-_6.13d
   kaṭhinatvaṃ prajāyate YRps_2.11b	kaWina-tvam prajAyate YRpH-_2.11b
   kaṭhinatvaṃ prayātyeva YRps_2.90c	kaWina-tvam prayAti-eva YRpH-_2.90c
   kaṭhinaṃ tāmravarṇakam YRps_6.79d	kaWinam tAmra-varNakam YRpH-_6.79d
   kaṭhino vajrasadṛśo YRps_2.33a	kaWinaH vajra-sadRSaH YRpH-_2.33a
   kaṇavīrā suraktāṅgī YRps_6.17a	kaNavIrA su-rakta-aFgI YRpH-_6.17a
   kaṇākṣaudreṇa sahitā YRps_3.45a	kaNA-kzOdreNa sahitAH YRpH-_3.45a
   kaṇādvayasamanvitam YRps_4.49d	kaNA-dvaya-samanvitam YRpH-_4.49d
   kaṇāmadhvājyasaṃmiśraṃ YRps_5.66c	kaNA-maDu-Ajya-saMmiSram YRpH-_5.66c
   kaṇḍayellohapārayā YRps_5.47b	kaNxayet-loha-pArayA YRpH-_5.47b
   kaṇḍūpāme vināśayet YRps_3.48b	kaNxU-pAme vinASayet YRpH-_3.48b
   kaṇḍūḥ pāmā ca naśyati YRps_6.45b	kaNxUH pAmA ca naSyati YRpH-_6.45b
   kathayāmi yathātatham YRps_1.5b	kaTayAmi yaTAtaTam YRpH-_1.5b
   kathayāmi yathātatham YRps_1.36d	kaTayAmi yaTAtaTam YRpH-_1.36d
   kathayāmi yathātathyaṃ YRps_1.93c	kaTayAmi yaTAtaTyam YRpH-_1.93c
   kathayāmi yathārthataḥ YRps_1.27b	kaTayAmi yaTArTataH YRpH-_1.27b
   kathayāmi samāsena YRps_1.70c	kaTayAmi samAsena YRpH-_1.70c
   kathayāmi savistaram YRps_1.8b	kaTayAmi sa-vistaram YRpH-_1.8b
   kathayāmi savistarāt YRps_1.9d	kaTayAmi sa-vistarAt YRpH-_1.9d
   kathayāmi suvistaram YRps_1.47b	kaTayAmi su-vistaram YRpH-_1.47b
   kathayāmi suvistaram YRps_1.101b	kaTayAmi su-vistaram YRpH-_1.101b
   kathayāmi suvistaram YRps_1.139b	kaTayAmi su-vistaram YRpH-_1.139b
   kathaṃ bandhakaro bhavet YRps_1.131b	kaTam banDa-karaH Bavet YRpH-_1.131b
   kathitavyaṃ yathoditam YRps_1.87b	kaTitavyam yaTA-uditam YRpH-_1.87b
   kathitaṃ tanmayā spaṣṭaṃ YRps_2.58a	kaTitam tat-mayA spazwam YRpH-_2.58a
   kathitaṃ pāradasya vai YRps_2.11*d	kaTitam pAradasya vE YRpH-_2.11*d
   kathitaṃ bhiṣaguttamaiḥ YRps_1.96d	kaTitam Bizaj-uttamEH YRpH-_1.96d
   kathitaṃ rasavedibhiḥ YRps_5.12b	kaTitam rasa-vediBiH YRpH-_5.12b
   kathitaṃ somadevena YRps_4.50c	kaTitam somadevena YRpH-_4.50c
   kathitaṃ hi mayā samyak YRps_1.60a	kaTitam hi mayA samyak YRpH-_1.60a
   kathitaḥ sādhakāya vai YRps_2.17b	kaTitaH sADakAya vE YRpH-_2.17b
   kathitā dehakarmaṇi YRps_1.76d	kaTitAH deha-karmaNi YRpH-_1.76d
   kathitā rasamāraṇe YRps_10.27d	kaTitAH rasa-mAraNe YRpH-_10.27d
   kathitā varamūṣā sā YRps_10.13e	kaTitA varamUzA sA YRpH-_10.13e
   kathitāḥ pūrvasūribhiḥ YRps_4.21d	kaTitAH pUrva-sUriBiH YRpH-_4.21d
   kathito'tra mayā khalu YRps_6.45d	kaTitaH-atra mayA Kalu YRpH-_6.45d
   kathito nātra saṃśayaḥ YRps_11.21d	kaTitaH na-atra saMSayaH YRpH-_11.21d
   kathito'pi rasāgame YRps_2.2d	kaTitaH-api rasa-Agame YRpH-_2.2d
   kathyate gurumārgataḥ YRps_1.97b	kaTyate guru-mArgataH YRpH-_1.97b
   kathyate 'tra prayatnena YRps_1.158c	kaTyate atra prayatnena YRpH-_1.158c
   kathyate 'tra mayā khalu YRps_1.116b	kaTyate atra mayA Kalu YRpH-_1.116b
   kathyate lohamāraṇe YRps_4.75b	kaTyate loha-mAraNe YRpH-_4.75b
   kathyate sā kaniṣṭhikā YRps_6.71b	kaTyate sA kanizWikA YRpH-_6.71b
   kathyate hi laghu vārinīlakaṃ YRps_7.41c	kaTyate hi laGu vArinIlakam YRpH-_7.41c
   kathyante'tra mayādhunā YRps_9.1b	kaTyante-atra mayA-aDunA YRpH-_9.1b
   kathyante'tra mayāpi śodhanam idaṃ satvaṃ mṛtiścocyate YRps_6.22d	kaTyante-atra mayA-api SoDanam idam satvam mRtiH-ca-ucyate YRpH-_6.22d
   kathyante'ṣṭau śāstrataścāpakarṣāt YRps_7.21d	kaTyante-azwO SAstrataH-ca-apakarzAt YRpH-_7.21d
   kadalyāḥ kṣārakeṇaiva YRps_11.128c	kadalyAH kzArakeNa-eva YRpH-_11.128c
   kanakapatrarasena ca saptadhāpy YRps_3.28c	kanaka-patra-rasena ca saptaDA-api YRpH-_3.28c
   kanakamūlarasena ca pācitaṃ YRps_3.37c	kanaka-mUla-rasena ca pAcitam YRpH-_3.37c
   kanakaratnasuśobhitaśekharaṃ YRps_1.3c	kanaka-ratna-su-SoBita-SeKaram YRpH-_1.3c
   kanakena ca sūtakaḥ YRps_1.71b	kanakena ca sUtakaH YRpH-_1.71b
   kanīyānudare chidraṃ YRps_1.57a	kanIyAn-udare Cidram YRpH-_1.57a
   kanyāpatre niveśayet YRps_4.37b	kanyA-patre niveSayet YRpH-_4.37b
   kapotapuṭamucyate YRps_10.47b	kapotapuwam-ucyate YRpH-_10.47b
   kaphadoṣaviṣāpaham YRps_4.91f	kaPa-doza-viza-apaham YRpH-_4.91f
   kaphadoṣaviṣāpaham YRps_4.94d	kaPa-doza-viza-apaham YRpH-_4.94d
   kaphavātavināśinī YRps_6.73b	kaPa-vAta-vinASinI YRpH-_6.73b
   kaphāmayavināśinī YRps_3.47b	kaPa-Amaya-vinASinI YRpH-_3.47b
   karaṇīyaṃ prayatnena YRps_1.45c	karaNIyam prayatnena YRpH-_1.45c
   karabhāgurukuṃkumam YRps_13.2b	karaBa-aguru-kuMkumam YRpH-_13.2b
   karamitā sukṛtāpi hi cuhlikā hy YRps_3.32c	kara-mitA sukRtA-api hi cuhlikAH hi YRpH-_3.32c
   karavallī latā caiva YRps_9.6a	karavallI latA ca-eva YRpH-_9.6a
   karavīrajaṭodbhave YRps_2.81d	karavIra-jawA-udBave YRpH-_2.81d
   karavīrā śivāṭikā YRps_9.38b	karavIrA SivAwikA YRpH-_9.38b
   karahāṭasya cūrṇakam YRps_13.11d	karahAwasya cUrNakam YRpH-_13.11d
   karīṣāgnau vipācayet YRps_2.14d	karIza-agnO vipAcayet YRpH-_2.14d
   karoṭividhinā samyak YRps_1.78c	karowi-viDinA samyak YRpH-_1.78c
   karotyeva na saṃśayaḥ YRps_2.11d	karoti-eva na saMSayaH YRpH-_2.11d
   karkaśaṃ ca laghu cippaṭaṃ sadā YRps_7.50a	karkaSam ca laGu cippawam sadA YRpH-_7.50a
   karkaśaṃ cipiṭaṃ vakraṃ YRps_7.6c	karkaSam cipiwam vakram YRpH-_7.6c
   karṇamalaṃ mahiṣīṇāṃ strīdugdhaṃ ṭaṃkaṇena sammiśram YRps_1.134/a	karNa-malam mahizINAm strI-dugDam waMkaNena sammiSram YRpH-_1.134/a
   karṇe kaṇṭhe tathā haste YRps_2.107c	karNe kaNWe taTA haste YRpH-_2.107c
   kartavyaṃ bhiṣaguttamaiḥ YRps_1.29f	kartavyam Bizaj-uttamEH YRpH-_1.29f
   kartavyaṃ rasavādinā YRps_4.36d	kartavyam rasa-vAdinA YRpH-_4.36d
   kartavyaṃ lohasaṃpuṭam YRps_1.78d	kartavyam loha-saMpuwam YRpH-_1.78d
   kartavyaṃ lohasaṃpuṭam YRps_1.81b	kartavyam loha-saMpuwam YRpH-_1.81b
   kartavyaṃ vatsarāvadhi YRps_2.9d	kartavyam vatsara-avaDi YRpH-_2.9d
   kartavyaṃ śāstravartmanā YRps_1.151d	kartavyam SAstra-vartmanA YRpH-_1.151d
   kartavyāni prayatnataḥ YRps_4.44d	kartavyAni prayatnataH YRpH-_4.44d
   kartavyā sthālikā śubhā YRps_1.49d	kartavyA sTAlikA SuBAH YRpH-_1.49d
   kartuṃ kena na śakyate YRps_1.86d	kartum kena na Sakyate YRpH-_1.86d
   karpūrasadṛśaṃ śvetaṃ YRps_5.116a	karpUra-sadRSam Svetam YRpH-_5.116a
   karpūrākhyaṃ śilājatu YRps_5.116b	karpUra-AKyam SilAjatu YRpH-_5.116b
   karbūraḥ śyāmavarṇaśca YRps_5.60c	karbUraH SyAma-varNaH-ca YRpH-_5.60c
   karmāṇyaṣṭādaśaiva hi YRps_1.25d	karmANi-azwAdaSa-eva hi YRpH-_1.25d
   karṣapramāṇaṃ nitarāṃ prabhāte YRps_12.13d	karza-pramANam nitarAm praBAte YRpH-_12.13d
   karṣamātramitaiḥ puṭam YRps_10.52b	karza-mAtra-mitEH puwam YRpH-_10.52b
   karṣamātrān vipācayet YRps_12.4d	karza-mAtrAn vipAcayet YRpH-_12.4d
   karṣamānāṃ baṃgacakrīṃ YRps_4.81c	karza-mAnAm baMga-cakrIm YRpH-_4.81c
   karṣamitā tvakpayasā pītaṃ reto dhruvaṃ dhatte YRps_13.14/b	karza-mitA tvac-payasA pItam retaH Druvam Datte YRpH-_13.14/b
   kaladhūtabhavāni ca YRps_1.144d	kala-DUta-BavAni ca YRpH-_1.144d
   kalāṃgulas tadāyāmaś YRps_1.38a	kalA-aMgulaH tad-AyAmaH YRpH-_1.38a
   kalāṃśavyoṣasaṃyuktaṃ YRps_6.46a	kalA-aMSa-vyoza-saMyuktam YRpH-_6.46a
   kalka evaṃ prajāyate YRps_11.109d	kalkaH evam prajAyate YRpH-_11.109d
   kalkamadhye viniḥkṣipya YRps_4.49a	kalka-maDye viniHkzipya YRpH-_4.49a
   kalkametad adhordhvaṃ hi YRps_1.136a	kalkam-etat aDorDvam hi YRpH-_1.136a
   kalkaṃ tatprocyate budhaiḥ YRps_1.106d	kalkam tat-procyate buDEH YRpH-_1.106d
   kalkaṃ dadyātprayatnena YRps_11.76a	kalkam dadyAt-prayatnena YRpH-_11.76a
   kalkena parilepitā YRps_2.19d	kalkena parilepitA YRpH-_2.19d
   kalkena lepitānyeva YRps_1.144e	kalkena lepitAni-eva YRpH-_1.144e
   kalkenātha prayatnataḥ YRps_4.9b	kalkena-aTa prayatnataH YRpH-_4.9b
   kalkenānena sahitaṃ YRps_1.107a	kalkena-anena sahitam YRpH-_1.107a
   kalhāraśca guḍūcikā YRps_3.50b	kalhAraH-ca guxUcikA YRpH-_3.50b
   kavalāni na saṃśayaḥ YRps_1.79d	kavalAni na saMSayaH YRpH-_1.79d
   kavalitaḥ kṣayarogagaṇāpaho YRps_3.34c	kavalitaH kzaya-roga-gaNa-apahaH YRpH-_3.34c
   kaṣāyaṃ raktapittanut YRps_6.80d	kazAyam raktapitta-nud YRpH-_6.80d
   kaṣāyā madhurā kāṃkṣī YRps_6.13c	kazAyA maDurA kAMkzI YRpH-_6.13c
   kastūrīdhanasārābhyāṃ YRps_2.51a	kastUrI-Dana-sArAByAm YRpH-_2.51a
   kasyāpi nuḥ sidhyati vai drutiśca YRps_7.65a	kasya-api nuH siDyati vE drutiH-ca YRpH-_7.65a
   kaṃkuṣṭhamāyāti hi satyamuktam YRps_6.56d	kaMkuzWam-AyAti hi satyam-uktam YRpH-_6.56d
   kaṃkuṣṭhaṃ kunaṭī tathā YRps_6.1b	kaMkuzWam kunawI taTA YRpH-_6.1b
   kaṃkolaṃ tulasībījaṃ YRps_13.1c	kaMkolam tulasI-bIjam YRpH-_13.1c
   kaṃguṇītailameva ca YRps_1.140b	kaMguNI-tElam-eva ca YRpH-_1.140b
   kākatuṃḍā kuṣṭhaharā YRps_4.110c	kAkatuMxA kuzWa-harA YRpH-_4.110c
   kākamācijavibhaktikājalair YRps_3.63a	kAkamAci-ja-viBaktikA-jalEH YRpH-_3.63a
   kākamācīrasena vai YRps_11.78b	kAkamAcI-rasena vE YRpH-_11.78b
   kākamācīrasenaiva YRps_2.46a	kAkamAcI-rasena-eva YRpH-_2.46a
   kākamācī rājaśamī YRps_5.57c	kAkamAciH rAja-SamI YRpH-_5.57c
   kākāṇḍolāmbumūlikā YRps_9.33d	kAkANxola-ambu-mUlikA YRpH-_9.33d
   kācakūpyāṃ kṣipet sarvaṃ YRps_11.67a	kAca-kUpyAm kzipet sarvam YRpH-_11.67a
   kācakūpyāṃ nidhāpayet YRps_11.102d	kAca-kUpyAm niDApayet YRpH-_11.102d
   kācakūpyāṃ nidhāyātha YRps_11.97c	kAca-kUpyAm niDAya-aTa YRpH-_11.97c
   kācakūpyāṃ niveśayet YRps_2.96d	kAca-kUpyAm niveSayet YRpH-_2.96d
   kācakūpyāṃ niveśayet YRps_4.90b	kAca-kUpyAm niveSayet YRpH-_4.90b
   kācakūpyāṃ vinikṣipya YRps_11.80a	kAca-kUpyAm vinikzipya YRpH-_11.80a
   kācacūrṇaṃ tato dattvā YRps_1.136c	kAca-cUrNam tatas dattvA YRpH-_1.136c
   kācaṭaṃkaṇaguṃjājya- YRps_5.45a	kAca-waMkaNa-guMjA-Ajya YRpH-_5.45a
   kācaṭaṃkaṇayogena YRps_2.42a	kAca-waMkaNa-yogena YRpH-_2.42a
   kāntyā yuktaṃ kārṣṇyagarbhaṃ ca nīlaṃ YRps_7.41e	kAntyA yuktam kArzNya-garBam ca nIlam YRpH-_7.41e
   kānyakubjasamutthitam YRps_5.78d	kAnyakubja-samutTitam YRpH-_5.78d
   kāmapradīptiṃ kurute sadaiva YRps_12.15d	kAma-pradIptim kurute sadA-eva YRpH-_12.15d
   kāmalāpāṇḍunāśanam YRps_5.116d	kAmalA-pANxu-nASanam YRpH-_5.116d
   kāmasya dīptiṃ kurute YRps_6.50a	kAmasya dIptim kurute YRpH-_6.50a
   kāmasya bodhaṃ kurute hi śīghraṃ YRps_12.13e	kAmasya boDam kurute hi SIGram YRpH-_12.13e
   kāmāgnivṛddhiṃ sahasā karoti YRps_12.16b	kAma-agni-vRdDim sahasA karoti YRpH-_12.16b
   kāminīnāṃ śataṃ gacched YRps_2.100a	kAminInAm Satam gacCet YRpH-_2.100a
   kāmbojikāśvinī tathā YRps_9.36b	kAmbojikA-aSvinI taTA YRpH-_9.36b
   kāmbojīrasakenāpi YRps_2.38a	kAmbojI-rasakena-api YRpH-_2.38a
   kārayecca bhiṣagvaraiḥ YRps_1.57d	kArayet-ca Bizaj-varEH YRpH-_1.57d
   kārayetkanakasya ca YRps_2.72b	kArayet-kanakasya ca YRpH-_2.72b
   kārayedbhiṣaguttamaḥ YRps_3.50d	kArayet-Bizaj-uttamaH YRpH-_3.50d
   kārayedrajataṃ varam YRps_11.117d	kArayet-rajatam varam YRpH-_11.117d
   kārayedvaṭakān śubhān YRps_5.39d	kArayet-vawakAn SuBAn YRpH-_5.39d
   kārayenmatimān bhiṣak YRps_4.41b	kArayet-matimAn Bizaj YRpH-_4.41b
   kārayenmatimān vaidyaḥ YRps_13.9a	kArayet-matimAn vEdyaH YRpH-_13.9a
   kāravellakadarduraḥ YRps_5.118b	kAravellaka-darduraH YRpH-_5.118b
   kāravellajarasairdinaṃ tathā YRps_8.6d	kAravella-ja-rasEH-dinam taTA YRpH-_8.6d
   kāravellyā rasaiḥ pṛthak YRps_5.39b	kAravellyAH rasEH pRTak YRpH-_5.39b
   kāritā mūṣikā śubhā YRps_10.14d	kAritA mUzikA SuBAH YRpH-_10.14d
   kārpāsāsthiṣu svedayet YRps_11.139d	kArpAsa-asTizu svedayet YRpH-_11.139d
   kāryaṃ yāmacatuṣṭayam YRps_1.53b	kAryam yAma-catuzwayam YRpH-_1.53b
   kāryā golī vallamātrā jalena YRps_8.32d	kAryA golI valla-mAtrAH jalena YRpH-_8.32d
   kāryā cātimanoramā YRps_4.38b	kAryA ca-ati-manoramA YRpH-_4.38b
   kāryāṇyevaṃ pralepayet YRps_11.28b	kAryANi-evam pralepayet YRpH-_11.28b
   kāryā tataḥ kajjalikā vimardya YRps_3.56a	kAryA tatas kajjalikAH vimardya YRpH-_3.56a
   kāśmaryativiṣā proktā YRps_9.14a	kASmarI-ativizA proktA YRpH-_9.14a
   kāṣṭhagodhāmatī deva- YRps_9.35c	kAzWa-goDAmatI deva YRpH-_9.35c
   kāsamardaprasūnakaiḥ YRps_11.47d	kAsamarda-prasUnakEH YRpH-_11.47d
   kāsamardarasapūrṇalohaje matkuṇasya rudhirair vilepitam YRps_7.32/a	kAsamarda-rasa-pUrNa-loha-je matkuNasya ruDirEH vilepitam YRpH-_7.32/a
   kāsamardarasenaiva YRps_5.20a	kAsamarda-rasena-eva YRpH-_5.20a
   kāsamardasya taṇḍulaiḥ YRps_5.38d	kAsamardasya taNxulEH YRpH-_5.38d
   kāsaṃ śvāsaṃ vahnimāṃdyaṃ kṣayaṃ ca YRps_7.10a	kAsam SvAsam vahni-mAMdyam kzayam ca YRpH-_7.10a
   kāsaṃ śvāsaṃ sannipātāgnimāṃdyam YRps_7.15d	kAsam SvAsam sannipAta-agni-mAMdyam YRpH-_7.15d
   kāsaṃ śvāsaṃ hanti gulmapramehān YRps_4.53d	kAsam SvAsam hanti gulma-pramehAn YRpH-_4.53d
   kāsīsasaṃyutā kāṃkṣī YRps_1.67c	kAsIsa-saMyutA kAMkzI YRpH-_1.67c
   kāsīsasindhulavaṇa- YRps_1.92a	kAsIsa-sinDu-lavaNa YRpH-_1.92a
   kāsīsaṃ prathamaṃ hi saikatamidaṃ puṣpākhyamanyattathā YRps_6.62a	kAsIsam praTamam hi sEkatam-idam puzpa-AKyam-anyat-taTA YRpH-_6.62a
   kāsīsaṃ bhasma kāṃtasya YRps_6.65a	kAsIsam Basma kAMtasya YRpH-_6.65a
   kāse'rśaḥsu viḍgrahe cātisāre YRps_8.29d	kAse-arSaHsu viz-grahe ca-atisAre YRpH-_8.29d
   kāṃjike cāpi nirdoṣam YRps_5.15a	kAMjike ca-api nirdozam YRpH-_5.15a
   kāṃjike divasatrayam YRps_11.8b	kAMjike divasa-trayam YRpH-_11.8b
   kāṃjikena tathābhrakam YRps_5.13b	kAMjikena taTA-aBrakam YRpH-_5.13b
   kāṃjikena tu tāṃ piṣṭīṃ YRps_11.92a	kAMjikena tu tAm pizwIm YRpH-_11.92a
   kāṃjikena dinaṃ dinam YRps_1.110b	kAMjikena dinam dinam YRpH-_1.110b
   kāṃjikena pramardayet YRps_4.8d	kAMjikena pramardayet YRpH-_4.8d
   kāṃjikena samanvitam YRps_11.95d	kAMjikena samanvitam YRpH-_11.95d
   kāṃjikena samanvitaiḥ YRps_1.67d	kAMjikena samanvitEH YRpH-_1.67d
   kāṃjikenātha gandhakaiḥ YRps_5.49d	kAMjikena-aTa ganDakEH YRpH-_5.49d
