   ācāryadaṇḍinaḥ kāvyādarśaḥ	AcArya-daNxinaH kAvyAdarSaH
   leśo leśena nirbhinnavasturūpanigūhanam &	leSaH leSena nirBinna-vastu-rUpa-nigUhanam &
   udāharaṇa evāsya rūpam āvirbhaviṣyati // DKd_2.265 //	udAharaNaH eva-asya rUpam AvirBavizyati // DKd-_2.265 //
   rājakanyānuraktaṃ māṃ romodbhedena rakṣakaḥ &	rAja-kanyA-anuraktam mAm roma-udBedena rakzakaH &
   avagaccheyur ā jñātam aho śītānilaṃ vanam // DKd_2.266 //	avagacCeyuH A jQAtam aho SIta-anilam vanam // DKd-_2.266 //
   ānandāśru pravṛttaṃ me kathaṃ dṛṣṭvaiva kanyakām &	Ananda-aSru pravRttam me kaTam dRzwvA-eva kanyakAm &
   akṣi me puṣparajasā vātoddhūtena dūṣitam // DKd_2.267 //	akzi me puzparajasA vAta-udDUtena dUzitam // DKd-_2.267 //
   ity evam ādisthāne 'yam alaṃkāro 'tiśobhate &	iti evam Adi-sTAne ayam alaMkAraH ati-SoBate &
   leśam eke vidur nindāṃ stutiṃ vā leśataḥ kṛtām // DKd_2.268 //	leSam eke viduH nindAm stutim vA leSataH kRtAm // DKd-_2.268 //
   yuvaiṣa guṇavān rājā yogyas te patir ūrjitaḥ &	yuvA-eza guNavAn rAjA yogyaH te patiH UrjitaH &
   raṇotsave manaḥ saktaṃ yasya kāmotsavād api // DKd_2.269 //	raNa-utsave manaH saktam yasya kAma-utsavAt api // DKd-_2.269 //
   vīryotkarṣastutir nindaivāsmin bhāvanivṛttaye &	vIrya-utkarza-stutiH nindA-eva-asmin BAva-nivRttaye &
   kanyāyāḥ kalpate bhogān nirvivikṣor nirantaram // DKd_2.270 //	kanyAyAH kalpate BogAn nirvivikzoH nirantaram // DKd-_2.270 //
   capalo nirdayaś cāsau janaḥ kiṃ tena me sakhi &	capalaH nirdayaH ca-asO janaH kim tena me saKi &
   āgaḥpramārjanāyaiva cāṭavo yena śikṣitāḥ // DKd_2.271 //	AgaH-pramArjanAya-eva ca-awavaH yena SikzitAH // DKd-_2.271 //
   doṣābhāso guṇaḥ ko 'pi darśitaś cāṭukāritā &	doza-ABAsaH guNaH kaH api darSitaH cAwu-kAritA &
   mānaṃ sakhijanoddiṣṭaṃ kartuṃ rāgād aśaktayā // iti leśacakram// //	mAnam saKi-jana-uddizwam kartum rAgAt aSaktayA // iti leSa-cakram// //
   DKd_2.272 //	DKd-_2.272 //
   uddiṣṭānāṃ padārthānām anūddeśo yathākramam &	uddizwAnAm padArTAnAm anUddeSaH yaTAkramam &
   yathāsaṃkhyam iti proktaṃ saṃkhyānaṃ krama ity api // DKd_2.273 //	yaTAsaMKyam iti proktam saMKyAnam kramaH iti api // DKd-_2.273 //
   dhruvaṃ te coritā tanvi smitekṣaṇamukhadyutiḥ &	Druvam te coritA tanvi smita-IkzaNa-muKa-dyutiH &
   snātum ambhaḥpraviṣṭāyāḥ kumudotpalapaṅkajaiḥ // iti kramaḥ// // DKd_2.274	snAtum amBaH-pravizwAyAH kumuda-utpala-paFkajEH // iti kramaH// // DKd-_2.274
   preyaḥ priyatarākhyānaṃ rasavad rasapeśalam &	preyaH priyatara-AKyAnam rasa-vat rasa-peSalam &
   ūrjasvi rūḍhāhaṃkāraṃ yuktotkarṣaṃ ca tat trayam // DKd_2.275 //	Urjasvi rUXa-ahaMkAram yukta-utkarzam ca tat trayam // DKd-_2.275 //
   adya yā mama govinda jātā tvayi gṛhāgate &	adya yA mama govinda jAtA tvayi gRha-Agate &
   kālenaiṣā bhavet prītis tavaivāgamanāt punaḥ // DKd_2.276 //	kAlena-ezA Bavet prItiH tava-eva-AgamanAt punar // DKd-_2.276 //
   ity āha yuktaṃ viduro nānyatas tādṛśī dhṛtiḥ &	iti Aha yuktam viduraH na-anyatas tAdRSI DRtiH &
   bhaktimātrasamārādhyaḥ suprītaś ca tato hariḥ // DKd_2.277 //	Bakti-mAtra-samArADyaH su-prItaH ca tatas hariH // DKd-_2.277 //
   somaḥ sūryo marudbhūmir vyoma hotānalo jalam &	somaH sUryaH marut-BUmiH vyoma hotA-analaH jalam &
   iti rūpāṇy atikramya tvāṃ draṣṭuṃ deva ke vayam // DKd_2.278 //	iti rUpANi atikramya tvAm drazwum deva ke vayam // DKd-_2.278 //
   iti sākṣātkṛte deve rājño yad rātavarmaṇaḥ &	iti sAkzAtkRte deve rAjQaH yat rAtavarmaNaH &
   prītiprakāśanaṃ tac ca preya ity avagamyatām // DKd_2.279 //	prIti-prakASanam tat ca preyaH iti avagamyatAm // DKd-_2.279 //
   mṛte 'ti pretya saṃgantuṃ yayā me maraṇaṃ matam &	mRte ati pretya saMgantum yayA me maraNam matam &
   saivāvantī mayā labdhā katham atraiva janmani // DKd_2.280 //	sA-eva-avantI mayA labDA kaTam atra-eva janmani // DKd-_2.280 //
   prāk prītir darśitā seyaṃ ratiḥ śṛṅgāratāṃ gatā &	prAk prItiH darSitA sA-iyam ratiH SRFgAra-tAm gatAH &
   rūpabāhulyayogena tad idaṃ rasavadvacaḥ // DKd_2.281 //	rUpa-bAhulya-yogena tat idam rasavat-vacaH // DKd-_2.281 //
   nigṛhya keśeṣv ākṛṣṭā kṛṣṇā yenāgrato mama &	nigRhya keSezu AkRzwA kRzNA yena-agratas mama &
   so 'yaṃ duḥśāsanaḥ pāpo labdhaḥ kiṃ jīvati kṣaṇam // DKd_2.282 //	saH ayam duHSAsanaH pApaH labDaH kim jIvati kzaNam // DKd-_2.282 //
   ity āruhya parāṃ koṭiṃ krodho raudrātmatāṃ gataḥ &	iti Aruhya parAm kowim kroDaH rOdra-Atma-tAm gataH &
   bhīmasya paśyataḥ śatrum ity etad rasavadvacaḥ // DKd_2.283 //	BImasya paSyataH Satrum iti etat rasavat-vacaH // DKd-_2.283 //
   ajitvā sārṇavām urvīm aniṣṭvā vividhair makhaiḥ &	ajitvA sa-arNavAm urvIm anizwvA viviDEH maKEH &
   adatvā cārtham arthibhyo bhaveyaḥ pārthivaḥ katham // DKd_2.284 //	adatvA ca-arTam arTiByaH BaveyaH pArTivaH kaTam // DKd-_2.284 //
   ity utsāhaḥ prakṛṣṭātmā tiṣṭhan vīrarasātmanā &	iti utsAhaH prakRzwa-AtmA tizWan vIra-rasa-AtmanA &
   rasavattvaṃ girām āsāṃ samarthayitum īśvaraḥ // DKd_2.285 //	rasavat-tvam girAm AsAm samarTayitum ISvaraH // DKd-_2.285 //
   yasyāḥ kusumaśayyāpi komalāṅgyā rujākarī &	yasyAH kusuma-SayyA-api komala-aFgyA rujA-karI &
   sādhiśete kathaṃ tanvī hutāśanavatīṃ citām // DKd_2.286 //	sa-aDiSete kaTam tanvI hutASanavatIm citAm // DKd-_2.286 //
   iti kāruṇyam udriktam alaṃkāratayā smṛtam &	iti kAruNyam udriktam alaMkAra-tayA smRtam &
   tathāpare 'pi bībhatsahāsyādbhutabhayānakāḥ // DKd_2.287 //	taTA-apare api bIBatsahAsya-adButa-BayAnakAH // DKd-_2.287 //
   pāyaṃ pāyaṃ tavārīṇāṃ śoṇitaṃ pāṇisaṃpuṭaiḥ &	pAyam pAyam tava-arINAm SoNitam pANi-saMpuwEH &
   kauṇapāḥ saha nṛtyanti kabandhair antrabhūṣaṇāḥ // DKd_2.288 //	kONapAH saha nRtyanti kabanDEH antra-BUzaNAH // DKd-_2.288 //
   idam amlānamānāyā lagnaṃ stanataṭe tava &	idam amlAna-mAnAyAH lagnam stana-tawe tava &
   chādyatām uttarīyeṇa navaṃ nakhapadaṃ sakhi // DKd_2.289 //	CAdyatAm uttarIyeNa navam naKa-padam saKi // DKd-_2.289 //
   aṃśukāni pravālāni puṣpaṃ hārādibhūṣaṇam &	aMSukAni pravAlAni puzpam hAra-Adi-BUzaNam &
   śākhāś ca mandirāṇy eṣāṃ citraṃ nandanaśākhinām // DKd_2.290 //	SAKAH ca mandirANi ezAm citram nandana-SAKinAm // DKd-_2.290 //
   idaṃ maghonaḥ kuliśaṃ dhārāsaṃnihitānalam &	idam maGonaH kuliSam DArA-saMnihita-analam &
   smaraṇaṃ yasya daityastrīgarbhapātāya kalpate // DKd_2.291 //	smaraNam yasya dEtya-strI-garBa-pAtAya kalpate // DKd-_2.291 //
   vākyasyāgrāmyatāyonir mādhurye darśito rasaḥ &	vAkyasya-AgrAmyata-ayoniH mADurye darSitaH rasaH &
   iha tv aṣṭarasāyattā rasavattā smṛtā girām //iti rasavaccakram// //	iha tu azwa-rasA-AyattA rasavattA smRtAH girAm //-iti rasavat-cakram// //
   DKd_2.292 //	DKd-_2.292 //
   apakartāham asmīti hṛdi te mā sma bhūd bhayam &	apakartA-aham asmi-iti hRdi te mA sma BUt Bayam &
   vimukheṣu na me khaḍgaḥ prahartuṃ jātu vāñchati // DKd_2.293 //	vimuKezu na me KaxgaH prahartum jAtu vAQCati // DKd-_2.293 //
   iti muktaḥ paro yuddhe niruddho darpaśalinā &	iti muktaH paraH yudDe nirudDaH darpa-SalinA &
   puṃsā kenāpi taj jñeyam ūrjasvītyevamādikam //ity ūrjasvi// // DKd_2.294	puMsA kena-api tat jQeyam UrjasvI-iti-evam-Adikam //iti Urjasvi// // DKd-_2.294
   artham iṣṭam anākhyāya sākṣāt tasyaiva siddhaye &	arTam izwam anAKyAya sAkzAt tasya-eva sidDaye &
   yat prakārāntarākhyānaṃ paryāyoktaṃ tad iṣyate // DKd_2.295 //	yat prakAra-antara-AKyAnam paryAya-uktam tat izyate // DKd-_2.295 //
   daśaty asau parabhṛtah sahakārasya mañjarīm &	daSati asO paraBRtah sahakArasya maQjarIm &
   tam ahaṃ vārayiṣyāmi yuvābhyāṃ svairam āsyatām // DKd_2.296 //	tam aham vArayizyAmi yuvAByAm svEram AsyatAm // DKd-_2.296 //
   saṃgamayya sakhīṃ yūnā saṃkete tadratotsavaṃ &	saMgamayya saKIm yUnA saMkete tad-rata-utsavam &
   nirvartayitum icchantyā kayāpy apasṛtaṃ tataḥ //iti paryāyoktam// //	nirvartayitum icCantyA kayA-api apasRtam tatas //iti paryAya-uktam// //
   DKd_2.297 //	DKd-_2.297 //
   kiṃcidārabhamāṇasya kāryaṃ daivavaśāt punaḥ &	kiMcid-AraBamANasya kAryam dEva-vaSAt punar &
   tatsādhanasamāpattir yā tad āhuḥ samāhitam // DKd_2.298 //	tad-sADana-samApattiH yA tat AhuH samAhitam // DKd-_2.298 //
   mānam asyā nirākartuṃ pādayor me patiṣyataḥ &	mAnam asyAH nirAkartum pAdayoH me patizyataH &
   upakārāya diṣṭyaitad udīrṇaṃ ghanagarjitam // iti samāhitam// // DKd_2.299	upakArAya dizwyA-etat udIrNam Gana-garjitam // iti samAhitam// // DKd-_2.299
   āśayasya vibhūter vā yan mahatvam anuttamam &	ASayasya viBUteH vA yat mahatvam anuttamam &
   udāttaṃ nāma taṃ prāhur alaṃkāraṃ manīṣibhiḥ // DKd_2.300 //	udAttam nAma tam prAhuH alaMkAram manIziBiH // DKd-_2.300 //
   guroḥ śasanam atyetuṃ na śaśāka sa rāghavaḥ &	guroH Sasanam atyetum na SaSAka sa rAGavaH &
   yo rāvaṇaśiraśchedakāryabhāre 'py aviklavaḥ // DKd_2.301 //	yaH rAvaNa-SiraH-Ceda-kArya-BAre api aviklavaH // DKd-_2.301 //
   ratnabhittiṣu saṃkrāntaiḥ pratibimbaśatair vṛtaḥ &	ratna-Bittizu saMkrAntEH pratibimba-SatEH vRtaH &
   jñāto laṅkeśvaraḥ kṛcchrād āñjaneyena tattvataḥ // DKd_2.302 //	jQAtaH laFkeSvaraH kRcCrAt AQjaneyena tattvataH // DKd-_2.302 //
   pūrvatrāśayamāhātmyam atrābhyudayagauravam &	pUrvatra-ASaya-mAhAtmyam atra-aByudaya-gOravam &
   suvyañjitam iti proktaṃ udāttadvayam apy adaḥ // ity udāttam// //	su-vyaQjitam iti proktam udAtta-dvayam api adaH // iti udAttam// //
   DKd_2.303 //	DKd-_2.303 //
   apahnutir apahnutya kiṃcid anyārthadarśanam &	apahnutiH apahnutya kiMcid anya-arTa-darSanam &
   na pañceṣu smaras tasya sahasraṃ patriṇām iti // DKd_2.304 //	na paQcezu smaraH tasya sahasram patriNAm iti // DKd-_2.304 //
   candanaṃ candrikā mando gandhavāhaś ca dakṣiṇaḥ &	candanam candrikA mandaH ganDavAhaH ca dakziNaH &
   seyam agnimayī sṛṣṭir mayi śītā parān prati // DKd_2.305 //	sA-iyam agni-mayI sRzwiH mayi SItA parAn prati // DKd-_2.305 //
   śaiśiryam abhyupetyaiva pareṣvātmani kāminā &	SESiryam aByupetya-eva parezu-Atmani kAminA &
   auṣṇyaprakāśanāt tasya seyaṃ viṣayaniḥnutiḥ // DKd_2.306 //	OzNya-prakASanAt tasya sA-iyam vizaya-niHnutiH // DKd-_2.306 //
   amṛtasyandikiraṇaś candramā nāmato mataḥ &	amRta-syandikiraNaH candramAH nAmataH mataH &
   anya evāyam arthātmā viṣaniṣyandidīdhitiḥ // DKd_2.307 //	anyaH eva-ayam arTa-AtmA viza-nizyandi-dIDitiH // DKd-_2.307 //
   iti candratvam evendau nivartyārthāntarātmatā &	iti candra-tvam eva-indO nivartya-arTa-antarAtma-tA &
   uktā smarārtenety eṣā svarūpāpahnutir matā // DKd_2.308 //	uktA smara-Artena-iti ezA svarUpa-apahnutiH matAH // DKd-_2.308 //
   upamāpahnutiḥ pūrvam upamāsv eva darśitā &	upamA-apahnutiH pUrvam upamAsu eva darSitAH &
   ity apahnutibhedānāṃ lakṣyo lakṣyeṣu vistaraḥ //ity apahanutiḥ// //	iti apahnuti-BedAnAm lakzyaH lakzyezu vistaraH //iti apahanutiH// //
   DKd_2.309 //	DKd-_2.309 //
   śliṣṭam iṣṭam anekārtham ekarūpānvitaṃ vacaḥ &	Slizwam izwam aneka-arTam eka-rUpa-anvitam vacaH &
   tad abhinnapadaṃ bhinnapadaprāyam iti dvidhā // DKd_2.310 //	tat aBinnapadam Binnapada-prAyam iti dviDA // DKd-_2.310 //
   asāv udayam ārūḍhaḥ kāntimān raktamaṇḍalaḥ &	asO udayam ArUXaH kAntimAn raktamaNxalaH &
   rājā harati lokasya hṛdayaṃ mṛdubhiḥ karaiḥ // DKd_2.311 //	rAjA harati lokasya hRdayam mRduBiH karEH // DKd-_2.311 //
   doṣākareṇa saṃbadhnannakṣatrapathavartinā &	doza-AkareNa saMbaDnat-nakzatra-paTa-vartinA &
   rājñā pradoṣo mām ittham apriyaṃ kiṃ na bādhate // DKd_2.312 //	rAjQA pradozaH mAm itTam apriyam kim na bADate // DKd-_2.312 //
   upamārūpakākṣepavyatirekādigocarāḥ &	upamA-rUpaka-Akzepa-vyatireka-Adi-gocarAH &
   prāg eva darśitāḥ śleṣā darśyante ke canāpare // DKd_2.313 //	prAk eva darSitAH SlezAH darSyante ke cana-apare // DKd-_2.313 //
   asty abhinnakriyaḥ kaś cid aviruddhakriyo 'paraḥ &	asti aBinna-kriyaH kaH cit avirudDa-kriyaH aparaH &
   viruddhakarmā cāsty anyaḥ śleṣo niyamavān api // DKd_2.314 //	virudDa-karmA ca-asti anyaH SlezaH niyamavAn api // DKd-_2.314 //
   niyamākṣeparūpoktir avirodhī virodhy api &	niyama-Akzepa-rUpa-uktiH aviroDI viroDi api &
   teṣāṃ nidarśaneṣv eva rūpam āvirbhaviṣyati // DKd_2.315 //	tezAm nidarSanezu eva rUpam AvirBavizyati // DKd-_2.315 //
   vakrāḥ svabhāvamadhurāḥ śaṃsantyo rāgam ulbaṇam &	vakrAH svaBAva-maDurAH SaMsantyaH rAgam ulbaNam &
   dṛśo dūtyaś ca karṣanti kāntābhiḥ preṣitāḥ priyān // DKd_2.316 //	dRSaH dUtyaH ca karzanti kAntABiH prezitAH priyAn // DKd-_2.316 //
   madhurā rāgavardhinyaḥ komalāḥ kokilāgiraḥ &	maDurAH rAga-varDin-yaH komalAH kokilA-giraH &
   ākarṇyante madakalāh śliṣyante cāsitekṣanāḥ // DKd_2.317 //	AkarNyante mada-kalAh Slizyante ca-asita-IkzanAH // DKd-_2.317 //
   rāgam ādarśayann eṣa vāruṇīyogavardhitam &	rAgam AdarSayan eza vAruNI-yoga-varDitam &
   tirobhavati dharmāṃśur aṅgajas tu vijṛṃbhate // DKd_2.318 //	tiroBavati Darma-aMSuH aFgajaH tu vijRMBate // DKd-_2.318 //
   nistriṃśatvam asāv eva dhanuṣy evāsya vakratā &	nistriMSa-tvam asO eva Danuzi eva-asya vakra-tA &
   śareṣv eva narendrasya mārgaṇatvaṃ ca vartate // DKd_2.319 //	Sarezu eva narendrasya mArgaNa-tvam ca vartate // DKd-_2.319 //
   padmānām eva daṇḍeṣu kaṇṭakas tvayi rakṣati &	padmAnAm eva daNxezu kaNwakaH tvayi rakzati &
   athavā dṛśyate rāgimithunāliṅganeṣv api // DKd_2.320 //	aTavA dRSyate rAgi-miTuna-AliFganezu api // DKd-_2.320 //
   mahībhṛdbhūrikaṭakas tejasvī niyatodayaḥ &	mahIBRt-BUri-kawakaH tejasvI niyata-udayaH &
   dakṣaḥ prajāpatiś cāsīt svāmī śaktidharaś ca saḥ // DKd_2.321 //	dakzaH prajApatiH ca-AsIt svAmI SaktiDaraH ca saH // DKd-_2.321 //
   acyuto 'py avṛṣacchedī rājāpy aviditakṣayaḥ &	acyutaH api avRza=-CedI rAjA-api avidita-kzayaH &
   devo 'py avibudho jajñe śaṃkaro 'py abhujaṅgavān //iti śleṣacakram// //	devaH api avibuDaH jajQe SaMkaraH api aBujaFgavAn //iti Sleza-cakram// //
   DKd_2.322 //	DKd-_2.322 //
   guṇajātikriyādīnāṃ yat tu vaikalyadarśanam &	guNa-jAti-kriyA-AdInAm yat tu vEkalya-darSanam &
   viśeṣadarśanāyaiva sā viśeṣoktir iṣyate // DKd_2.323 //	viSeza-darSanAya-eva sA viSeza-uktiH izyate // DKd-_2.323 //
   na kaṭhoraṃ na vā tīkṣṇam āyudhaṃ puṣpadhanvanaḥ &	na kaWoram na vA tIkzNam AyuDam puzpaDanvanaH &
   tathāpi jitam evāsīd amunā bhuvanatrayam // DKd_2.324 //	taTA-api jitam eva-AsIt amunA Buvanatrayam // DKd-_2.324 //
   na devakanyakā nāpi gandharvakulasaṃbhavā &	na deva-kanyakA na-api ganDarva-kula-saMBavAH &
   tathāpy eṣā tapobhaṅgaṃ vidhātuṃ vedhaso 'py alam // DKd_2.325 //	taTA-api ezA tapaH-BaFgam viDAtum veDasaH api alam // DKd-_2.325 //
   na baddhā bhrūkuṭir nāpi sphurito daśanacchadaḥ &	na badDA BrUkuwiH na-api sPuritaH daSanacCadaH &
   na ca raktābhavad dṛṣṭir jitaṃ ca dviṣatāṃ kulam // DKd_2.326 //	na ca raktA-aBavat dRzwiH jitam ca dvizatAm kulam // DKd-_2.326 //
   na rathā na ca mātaṅgā na hayā na ca pattayaḥ &	na raTAH na ca mAtaFgAH na hayAH na ca pattayaH &
   strīṇām apāṅgadṛṣṭyaiva jīyate jagatāṃ trayam // DKd_2.327 //	strINAm apAFga-dRzwyA-eva jIyate jagatAm trayam // DKd-_2.327 //
   ekacakro ratho yantā vikalo viṣamā hayāḥ &	ekacakraH raTaH yantA vikalaH vizamAH hayAH &
   ākrāmaty eva tejasvī tathāpy arko nabhastalam // DKd_2.328 //	AkrAmati eva tejasvI taTA-api arkaH naBastalam // DKd-_2.328 //
   saiṣā hetuviśeṣoktis tejasvīti viśeṣaṇāt &	sA-ezA hetu-viSeza-uktiH tejasvI-iti viSezaNAt &
   ayam eva kramo 'nyeṣāṃ bhedānām api kalpane//iti viśeṣokticakram// //	ayam eva kramaH anyezAm BedAnAm api kalpane//-iti viSeza-ukti-cakram// //
   DKd_2.329 //	DKd-_2.329 //
   vivakṣitaguṇotkṛṣtair yat samīkṛtya kasya cit &	vivakzita-guNa-utkRztEH yat samIkRtya kasya cit &
   kīrtanaṃ stutinindārthaṃ sā matā tulyayogitā // DKd_2.330 //	kIrtanam stuti-nindA-arTam sA matA tulyayogitAH // DKd-_2.330 //
   yamaḥ kubero varuṇaḥ sahasrākṣo bhavān api &	yamaH kuberaH varuNaH sahasrAkzaH BavAn api &
   bibhranty ananyaviṣayāṃ lokapāla iti śrutim // DKd_2.331 //	biBranti ananya-vizayAm lokapAlaH iti Srutim // DKd-_2.331 //
   saṃgatāni mṛgākṣīṇāṃ taḍidvilasitāni ca &	saMgatAni mRga-akzINAm taxit-vilasitAni ca &
   kṣaṇadvayaṃ na tiṣṭhanti ghanārabdhāny api svayam //iti tulyayogitā// //	kzaNa-dvayam na tizWanti Gana-ArabDAni api svayam //iti tulya-yogitA// //
   DKd_2.332 //	DKd-_2.332 //
   viruddhānāṃ padārthānāṃ yatra saṃsargadarśanam &	virudDAnAm padArTAnAm yatra saMsarga-darSanam &
   viśeṣadarśanāyaiva sa virodhaḥ smṛto yathā // DKd_2.333 //	viSeza-darSanAya-eva sa viroDaH smRtaH yaTA // DKd-_2.333 //
   kūjitaṃ rājahaṃsānāṃ vardhate madamañjulam &	kUjitam rAjahaMsAnAm varDate mada-maQjulam &
   kṣīyate ca mayūrāṇāṃ rutam utkrāntasauṣṭhavam // DKd_2.334 //	kzIyate ca mayUrANAm rutam utkrAnta-sOzWavam // DKd-_2.334 //
   prāvṛṣeṇyair jaladharair ambaraṃ durdināyate &	prAvRzeNyEH jalaDarEH ambaram durdinAyate &
   rāgeṇa punar ākrāntaṃ jāyate jagatāṃ manaḥ // DKd_2.335 //	rAgeNa punar AkrAntam jAyate jagatAm manaH // DKd-_2.335 //
   tanumadhyaṃ pṛthuśroṇi raktauṣṭham asitekṣaṇam &	tanu-maDyam pRTu-SroNi rakta-ozWam asita-IkzaNam &
   natanābhi vapuḥ strīṇāṃ kaṃ na haraty unnatastanam // DKd_2.336 //	nata-nABi vapuH strINAm kam na harati unnata-stanam // DKd-_2.336 //
   mṛṇālabāhu rambhoru padmotpalamukhekṣaṇam &	mRNAla-bAhu ramBA-Uru padma-utpala-muKa-IkzaNam &
   api te rūpam asmākaṃ tanvi tāpāya kalpate // DKd_2.337 //	api te rUpam asmAkam tanvi tApAya kalpate // DKd-_2.337 //
   udyānamārutoddhūtāś cūtacampakareṇavaḥ &	udyAna-mAruta-udDUtAH cUta-campa-kareNavaH &
   udaśrayanti pānthānām aspṛśanto 'pi locane // DKd_2.338 //	udaSrayanti pAnTAnAm aspRSantaH api locane // DKd-_2.338 //
   kṛṣṇārjunānuraktāpi dṛṣṭiḥ karṇāvalambinī &	kRzNa-arjuna-anuraktA-api dRzwiH karNa-avalambinI &
   yāti viśvasanīyatvaṃ kasya te kalabhāṣini // DKd_2.339 //	yAti viSvasanIya-tvam kasya te kala-BAzini // DKd-_2.339 //
   ity anekaprakāro 'yam alaṃkāraḥ pratīyate //iti virodhacakram// &	iti aneka-prakAraH ayam alaMkAraH pratIyate //iti viroDa-cakram// &
   aprastutapraśaṃsā syād aprakrānteṣu yā stutiḥ // DKd_2.340 //	aprastuta-praSaMsA syAt aprakrAntezu yA stutiH // DKd-_2.340 //
   sukhaṃ jīvanti hariṇā vaneṣv aparasevinaḥ &	suKam jIvanti hariNA vanezu apara-sevinaH &
   annair ayatnasulabhais tṛṇadarbhāṅkurādibhiḥ // DKd_2.341 //	annEH ayatna-sulaBEH tRNa-darBa-aFkura-AdiBiH // DKd-_2.341 //
   seyam aprastutaivātra mṛgavṛttiḥ praśasyate &	sA-iyam aprastutA-eva-atra mRga-vRttiH praSasyate &
   rājānuvartanakleśanirviṇṇena manasvinā //ity aprastutapraśaṃsā// //	rAja-anuvartana-kleSa-nirviNNena manasvinA //iti aprastuta-praSaMsA// //
   DKd_2.342 //	DKd-_2.342 //
   yadi nindann iva stauti vyājastutir asau smrtā &	yadi nindan iva stOti vyAja-stutiH asO smrtA &
   doṣābhāsā guṇā eva labhante hy atra saṃnidhim // DKd_2.343 //	doza-ABAsAH guNAH eva laBante hi atra saMniDim // DKd-_2.343 //
   tāpasenāpi rāmeṇa jiteyaṃ bhūtadhāriṇī &	tApasena-api rAmeNa jitA-iyam BUta-DAriNI &
   tvayā rājñāpi saiveyaṃ jitā mā bhūn madas tava // DKd_2.344 //	tvayA rAjQA-api sA-eva-iyam jitAH mA BUt madaH tava // DKd-_2.344 //
   puṃsaḥ purāṇād ācchidya śrīs tvayā paribhujyate &	puMsaH purANAt AcCidya SrIH tvayA pariBujyate &
   rājann ikṣākuvaṃśasya kim idaṃ tava yujyate // DKd_2.345 //	rAjan ikzAku-vaMSasya kim idam tava yujyate // DKd-_2.345 //
   bhujaṅgabhogasaṃsaktā kalatraṃ tava medinī &	BujaFga-Boga-saMsaktA kalatram tava medinI &
   ahaṅkāraḥ parāṃ koṭim ārohati kutas tava // DKd_2.346 //	ahaFkAraH parAm kowim Arohati kutas tava // DKd-_2.346 //
   iti śleṣānuviddhānām anyeṣāṃ copalakṣyatām &	iti Sleza-anuvidDAnAm anyezAm ca-upalakzya-tAm &
   vyājastutiprakārāṇām aparyantas tu vistaraḥ //iti vyājastutiḥ// //	vyAja-stuti-prakArANAm aparyantaH tu vistaraH //iti vyAja-stutiH// //
   DKd_2.347 //	DKd-_2.347 //
   arthāntarapravṛttena kiṃ cit tatsadṛśaṃ phalam &	arTa-antara-pravRttena kim cit tad-sadRSam Palam &
   sad asad vā nidarśyeta yadi tat syān nidarśanam // DKd_2.348 //	sat asat vA nidarSyeta yadi tat syAt nidarSanam // DKd-_2.348 //
   udayann eṣa savitā padmeṣv arpayati śriyam &	udayan eza savitA padmezu arpayati Sriyam &
   vibhāvayitum ṛddhīnāṃ phalaṃ suhṛdanugraham // DKd_2.349 //	viBAvayitum RdDInAm Palam suhRd-anugraham // DKd-_2.349 //
   yāti candrāṃśubhiḥ spṛṣṭā dhvāntarājī parābhavam &	yAti candra-aMSuBiH spRzwA DvAnta-rAjI parABavam &
   sadyo rājaviruddhānāṃ sūcayantī durantatām //iti nidarśanam// // DKd_2.350	sadyas rAja-virudDAnAm sUcayantI duranta-tAm //iti nidarSanam// // DKd-_2.350
   sahoktiḥ sahabhāvena kathanaṃ guṇakarmaṇām &	sahoktiH sahaBAvena kaTanam guNa-karmaNAm &
   arthānāṃ yo vinimayaḥ parivṛttis tu sā smṛtā // DKd_2.351 //	arTAnAm yaH vinimayaH parivRttiH tu sA smRtAH // DKd-_2.351 //
   saha dīrghā mama śvāsair imāḥ samprati rātrayaḥ &	saha dIrGAH mama SvAsEH imAH samprati rAtrayaH &
   pāṇḍurāś ca mamaivāṅgeḥ saha tāś candrabhūṣaṇāh // DKd_2.352 //	pANxurAH ca mama-eva-aFgeH saha tAH candra-BUzaNAh // DKd-_2.352 //
   vardhate saha pānthānāṃ mūrcchayā cūtamañjarī &	varDate saha pAnTAnAm mUrcCayA cUta-maQjarI &
   patanti ca samaṃ teṣām asubhir malayānilāḥ // DKd_2.353 //	patanti ca samam tezAm asuBiH malaya-anilAH // DKd-_2.353 //
   kokilālāpasubhagā sugandhivanavāyavaḥ &	kokila-AlApa-suBagA suganDi-vana-vAyavaH &
   yānti sārdhaṃ janānandair vṛddhiṃ surabhivāsarāḥ // DKd_2.354 //	yAnti sArDam jana-AnandEH vRdDim suraBi-vAsarAH // DKd-_2.354 //
   ity udāhṛtayo dattāḥ sahokter atra kāś cana //iti sahoktiḥ// &	iti udAhRtayaH dattAH saha-ukteH atra kAH canaH //-iti sahoktiH// &
   kriyate parivṛtteś ca kiṃ cid rūpanidarśanam // DKd_2.355 //	kriyate parivRtteH ca kim cit rUpa-nidarSanam // DKd-_2.355 //
   śastraprahāraṃ dadatā bhujena tava bhūbhujām &	Sastra-prahAram dadatA Bujena tava BUBujAm &
