   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   śarīramaṅgaṃpratyaṅgaṃ jñātvāyoniṃprakalpayet // BhS_3.11 //	SarIram aFgaMpratyaFgam jQAtvA ayoniMprakalpayet // BhH _3.11 //
   grāmaṃśarīramaṅgaṃssyād devadvijaparigraham /	grAmaMSarIram aFgaMssyAt deva dvija parigraham /
   pratyaṅgamaṅgaṃsaṃvṛttaṃ vimānabhavanādikam // BhS_3.12 //	pratyaFgam aFgaMsaMvRttam vimAna Bavana Adikam // BhH _3.12 //
   daṇḍenapūrvayorvādaṃ hastenānyatradhīyate /	daNxena pUrvayoH vAdam hastena anyatraDIyate /
   daṇḍevistāramāyāma mekaikaṅguṇayettribhiḥ // BhS_3.13 //	daNxeviH tAram AyAma mekEkaFguNayet triBiH // BhH _3.13 //
   ekaikaṃṣaṣṭibhihintvā śiṣṭaṃyoniṃsamādiśet /	ekEkaMzazwi BihintvA SizwaMyoniMsam AdiSet /
   hastenadvayasaṃsarge triguṇaṃvasubhihanret // BhS_3.14 //	hastena dvaya saMsarge triguNaMvasu Bihan ret // BhH _3.14 //
   śeṣaṃyoniṃvijāniyāddhvajadhūmādikaṅkramāt /	SezaMyoniMvijA aniyAt Dvaja DUma Adi kaFkramAt /
   sarvatrakalpayedyoniṃ tayorvargaphalenavā // BhS_3.15 //	sarvatrakalpayet yonim tayoH varga PalenavA // BhH _3.15 //
   yonermahādiśāśreṣṭhā divisaptatrigahintā /	yoneH mahAdiSA SrezWAH divisapta tri gahintA /
   pravīṇañcaturaśraṃsyāc ceṣāṇāmāyataṃviduḥ // BhS_3.16 //	pravINaQcaturaSraMsyAt cezANAm AyataMviduH // BhH _3.16 //
   aṣṭaṣaṭcaturaṃśāssyu ritareṣāṃyathākramam /	azwazaz catur aMSa Assyu rita rezAMyaTAkramam /
   evamāyāmayogastu pratyaṅgasyaivakalpayet // BhS_3.17 //	evam AyAm ayogaH tu pratyaFgasya eva kalpayet // BhH _3.17 //
   aṅgedviguṇamāyāmaṃ pādanyūnamadhādhikam /	aFgedviguNam AyAmam pAda nyUnam aDa aDikam /
   ardhaṃnavāhayennyūna madhikantuvidhīyate // BhS_3.18 //	arDaMnavAhayet nyUna maDikantu viDIyate // BhH _3.18 //
   ātmāvāstuśarīrasya vistārādadhikaṃviduḥ /	AtmOvAstu SarIrasya vistArAt aDikaMviduH /
   pādāyāmaśikhāvāpi dviguṇaṃvāviśeṣataḥ // BhS_3.19 //	pAdAya Ama SiKAvA api dviguNaMvA viSezataH // BhH _3.19 //
   samaṃvāsarvataḥkuryāc carīrandaṇḍakādṛte /	samaMvAsarvataHkuryAt carIran daNxakAt Rte /
   vardhayedadhikāyāmaṃ daṇḍaṣoḍaśakenavā // BhS_3.20 //	varDayet aDika AyAmam daNxa zoxaSa kenavA // BhH _3.20 //
   daṇḍe aṣṭaguṇaṅkuryā dāyāmaṃyuktito 'thavā /	daNxe azwaguNaFkuryA dAyAm aMyuktitaH aTavA /
   aṅgamāgamavistāro daṇḍabhedo 'piyojyate // BhS_3.21 //	aFgam Agama vistAraH daNxa BedaH apiyojyate // BhH _3.21 //
   anyatradaṇḍanechindyāccareṣutuviśeṣataḥ /	anyatra daNxaneCindyAt carezutu viSezataH /
   pātaṃvistārasūtreṣu vidussūtradvaye 'pivā // BhS_3.22 //	pAtaMvistAra sUtrezu vidussUtra dvaye api vA // BhH _3.22 //
   kaṇṭhasūtradvayevāpi pratyaṅgenaiva kārayet /	kaNWa sUtra dvayA iva api pratyaFgena eva kArayet /
   vidhibhedantukartavyaṃ brahmabhāgeviśeṣataḥ // BhS_3.23 //	viDi Bedantu kartavyam brahma BAgeviSezataH // BhH _3.23 //
   evaṅkrameṇa śāstrajñaśśarīraṃ saṃprakalpayet // BhS_3.24 //	evaFkrameNa SAstra jQaH SarIram saMprakalpayet // BhH _3.24 //
   viṣṇusthāpanam	vizNu sTApanam
   sahasrabhūsurādūrdhve brahmāṃśevāyudeśake /	sahasra BUsurAt UrDve brahma aMSeva Ayu deSake /
   pañcamūrtividhānena sthāpayitvā janārdhanam // BhS_3.25 //	paQcamUrti viDAnena sTApayitvA jana arDanam // BhH _3.25 //
   vaikhānasai mahābhāgair vaidikārcanatatparaiḥ /	vEKAnasEH mahABAgEH vEdika arcana tatparEH /
   vedāntavedibhirviprairañcayet puruṣottamam // BhS_3.26 //	vedAnta vediBiH viprEH aQcayet puruzottamam // BhH _3.26 //
   śaṅkarādi sthāpanam īśāna īśvarañcaiva someśānāvathāpivā /	SaFkara Adi sTApanam ISAnaH ISvaraQcA eva soma ISAnO= aTa apivA /
   paścimekeśavasthāna maiśānyāṃśaṅkarālayam // BhS_3.27 //	paScimeka ISava sTAna mESAnya aMSaFkara Alayam // BhH _3.27 //
   anukalpaṃvikalpañca kalpañcaivatridhābhavet /	anukalpaMvikalpaQca kalpaQca eva triDA aBavet /
   bhūparīkṣādiyatkarma anukalpamitismṛtam // BhS_3.28 //	BU parIkzA adiyat karma anukalpa miti smRtam // BhH _3.28 //
   devādīnāṃmunīnāñca kalpayettuvikalpakam /	deva AdInAMmunInAQca kalpayet tuvi kalpakam /
   gabhenmṛdālayeyatra pratiṣṭhāyāntukalpakam // BhS_3.29 //	gaBet mRdAlayeyatra pratizWA Aya antu kalpakam // BhH _3.29 //
   evandeśaṃviniścitya mūlasthānañcanirdiśet /	evandeSaMviniScitya mUla sTAnaQca nirdiSet /
   nirmite 'travimānasyaco tsedhārthaṃsamantuvā // BhS_3.30 //	nirmite atra vimAnasyaco tseDA arTaMsa mantuvA // BhH _3.30 //
   jalāstaṃvāśilāntaṃ vākhānayeducitaṃsudhīḥ /	jalAH taMvASila antam vA AKAnayet ucitaMsuDIH /
   vistārāyāmasīmāntādbāhyekhātvādṛḍhāyaca // BhS_3.31 //	vistArAyAma sImAntAt bAhyeKAtvA dRXAyaca // BhH _3.31 //
   ekahastandvihastaṃvā trihastaṃvādhikaṅkramāt /	eka hastandvi hastaMvA tri hastaMvA aDi kaFkramAt /
   vālukairviśvataḥpūrya dṛḍhīkaraṇamādiśet // BhS_3.32 //	vAlukEH viSvatas pUrya dRXIkaraNam AdiSet // BhH _3.32 //
   bālālayantuśaktānāmaśaktānāṃvinābhavet /	bAla Alayantu SaktAnAm aSaktAnAMvinA aBavet /
   dhruvārcāyāḥpratiṣṭhāce dbālāgāraṃnakalpayet // BhS_3.33 //	Druva arcAyAH pratizWAce dbAla agAraMna kalpayet // BhH _3.33 //
   iti śrīvaikhānase bhagavacchāstre bhṛguproktāyāṃ saṃhitāyāṃ	iti SrI vEKAnase Bagavat SAstre BRgu proktAyAm saMhitAyAm
   prakīrṇādhikāre tṛtīyo 'dhyāyaḥ	prakIrNa aDikAre tRtIyaH aDyAyaH
   atha caturtho 'dhyāyaḥ.	aTa caturTaH aDyAyaH.
   athacaturtho 'dhyāyaḥ.	aTa caturTaH aDyAyaH.
   adyeṣṭakā sthāpanam.	adya izwakA sTApanam.
   athātassaṃpravakṣyāmi vāstunaḥprathameṣṭakām /	aTa atassaMpravakzyAmi vAstunaH praTama izwakAm /
   sādhayitvāpūrvarātrau catasraḥprathameṣṭakāḥ // BhS_4.1 //	sADayitvA apUrva rAtrO catasraH praTama izwakAH // BhH _4.1 //
   śilāyāṃmṛṇmayevātha kuryāllakṣaṇasaṃyutāḥ /	SilAyAMmRz mayA iva aTa kuryAt lakzaNa saMyutAH /
   śailādoṣavinirmuktās supakvā athamṛṇmayāḥ // BhS_4.2 //	SElA doza vinirmuktAH supakvAH aTa m RNmayAH // BhH _4.2 //
   vistāreṇeṣṭakāḥproktā ṣaṭpañcacaturaṅgulāḥ /	vistAreNa izwakAH proktAH zaz paQca catur aFgulAH /
   uttamādikriyādeva vistāradviguṇāyatāḥ // BhS_4.3 //	uttama Adi kriyAt eva vistAra dviguNa AyatAH // BhH _4.3 //
   vistārārthaṅghanaṃprokta miṣṭakānāṃpramāṇataḥ /	vistAra arTaFGanaMprokta mizwa kAnAMpramANataH /
   ālayābhimukhecaiva prapāṅkṛtvāvicakṣaṇaḥ // BhS_4.4 //	AlayA aBimuKeca eva prapAFkRtvA avicakzaNaH // BhH _4.4 //
   tanmadhyevedikāṅkṛtvā hastamātrapramāṇataḥ /	tat maDyevedikAFkRtvA hasta mAtra pramANataH /
   vistārantatsamañcauna mutsethantutadardhakam // BhS_4.5 //	vistAran tat samaQcOna mutseTantutad arDakam // BhH _4.5 //
   sabhyāgniṃ vidhivatkṛtvātu vidhināghoramācaret /	saBya agnim viDivat kRtvA atu viDinA aGoram Acaret /
   bhūmiyajñañcakṛtvātu kalaśaissaptabhiḥkramāt // BhS_4.6 //	BUmi yajQaQca kRtvA atu kalaSEssaptaBiH kramAt // BhH _4.6 //
   saṃsnāpyanavavastreṇa cācchādyaśayanopari /	saMsnApya nava vastreNa ca AcCAdya Sayana upari /
   kautukaṃbandhayitvātu śayaneśāyayettataḥ // BhS_4.7 //	kOtukaMbanDayitvA atu Sayana ISAyayet tatas // BhH _4.7 //
   hutvātupauruṣaṃsūktaṃ viṣṇusūktamataḥparam /	hutvA atu pOruzaMsu uktam vizNu sUktam atas param /
   caturvedādimantrāṃśca śrībhūsūkteyajetkramāt // BhS_4.8 //	catur veda Adi mantrAn= ca SrI BUsUkteyajet kramAt // BhH _4.8 //
   iṣṭakāvāśilāvātha tannāmādyakṣaraṃsmaret /	izwakA vASilAva aTa tat nAma Adi akzaraM= maret /
   nṛttaigenyaiścavādyaiścarātriśeṣaṃnayetkramāt // BhS_4.9 //	nRttEgenyEH ca vAdyEH cara atri SezaMnayet kramAt // BhH _4.9 //
   prabhātepūjayetpūrvamācāryaṃśilpibhissaha /	praBAtepUjayet pUrvam AcArI aMSilpiBiH saha /
   ācāryomantrayogyastu śilpibhiḥkarmayogyakaiḥ // BhS_4.10 //	AcAryaH mantra yogyaH tu SilpiBiH karma yogyakEH // BhH _4.10 //
   dvārasyadakṣiṇepāśenvsthānamasyapraśasyate /	dvArasya dakziNepASenu sTAnam asyapraSasyate /
   sumuhūrtenyasedvidvāniṣṭakāṃścaturaḥkramāt // BhS_4.11 //	su muhUrtenyaset vidva an izwakAn= caturaH kramAt // BhH _4.11 //
   vinyāsetucaturdikṣu caturvedādimastrataḥ /	vinyAsetu catur dikzu catur veda AdimastrataH /
   teṣāṃmadhyetadāgarte pūrayedudakenatu // BhS_4.12 //	tezAnmaDyetat Agarte pUrayet udakenatu // BhH _4.12 //
   tatraivanavaratnāni vilyasedanupūrvaśaḥ /	tatra evanavaratnAni vilyaset anupUrvaSas /
   gabhannyāsavidhiḥ	gaBannyAsa viDiH
   athavakṣyeviśeṣeṇa gabhannyāsavidhikramam // BhS_4.13 //	aTa vakzye viSezeNa gaBannyAsa viDi kramam // BhH _4.13 //
   prāsādogabhansaṃyuktaḥ kurutesarvasaṃpadam /	prAsAdaH gaBan saMyuktaH kurute sarva saMpadam /
   tasmādādauprakartavyaḥ gabhannyāsassamṛddhidaḥ // BhS_4.14 //	tasmAt AdOprakartavyaH gaBannyAsa ssamRdDi daH // BhH _4.14 //
   trayaḥprāsādamūlesyāt pūrvantuprathameṣṭake /	trayaH prAsAda mUlesyAt pUrvantu praTama izwake /
   upānoparimadhyaṃsyāt prateruparicāntataḥ // BhS_4.15 //	upAna uparimaDyaMsyAt prateH upari cAntataH // BhH _4.15 //
   bhūgataṃśūdrajātīnā mupānenṛpavaiśyayoḥ /	BU gataMSUdra jAtInAH mupAnenRpa vESyayoH /
   praterupariviprāṇā mānulomyenakārayet // BhS_4.16 //	prateH u pari viprANAH mA Anulomyena kArayet // BhH _4.16 //
   sarveṣāṃbhūgataṅkāryaṃ sarvasiddhikaraṃśubham /	sarveza aMBU gataFkAryam sarva sidDi karaMSuBam /
   aindrapāvakayormadhye prāgdvāreṣuprakalpayet // BhS_4.17 //	Endra pAvakayoH maDye prAc dvAra izu prakalpayet // BhH _4.17 //
   dvārasyadakṣiṇekuryātpaścimaipitadhaivahi /	dvArasya dakziNekuryAt paScimEpitaDA eva hi /
   kavāṭārgalayogevānya stavyaṅgabhanbhāyanam // BhS_4.18 //	kavAwa argala yogeva anya stavyaFga BanBAyanam // BhH _4.18 //
   phelā	PelA
   tathātāmramayīphelā sphāṭikāvāpraśasyate /	taTA tAmra mayIPelA sPAwikOvApraSasyate /
   pādaviṣkaṃbhavistārāṃ phelāntattvapadāñcitāṃ // BhS_4.19 //	pAda vizkaMBaviH tArAm PelAn tattva pada AQcitAm // BhH _4.19 //
   khaṇḍasphuṭitavajānysā ........ /	KaNxa sPuwitavajAni sA ........ /
   ghanaṃviṃśatibhāgaikaṃ tadardhārdhāṃśamevavā // BhS_4.20 //	GanaMviMSati BAga ekam tad arDa arDa aMSam evavA // BhH _4.20 //
   vistārasyacatubhāngaṃ koṣṭhabhittyucchrayaṃbhavet /	vistArasya catuBAn gam kozWa Bitti ucCrayaMBavet /
   uttamantusamotsedhaṃ tripādaṃmadhyamaṃsmṛtaṃ // BhS_4.21 //	uttamantu sama utseDam tri pAdaMmaDyam aMsmRtam // BhH _4.21 //
   athamañcārdhamutsedhaṃ trividhantatpracakṣate /	aTamaQcA arDam utseDam triviDantat pracakzate /
   tribhāgaikavidhānaṃsyād dvibhāgaṃbhāgikaṃbhavet // BhS_4.22 //	tri BAga ekaviDAnaMsyAt dvi BA gaMBAgi kaMBavet // BhH _4.22 //
   antarecāṃgulāyāmaṃ tadardhaṃbhinnattikam /	antareca aMgula AyAmam tad arDaMBinnattikam /
   saṃyogārdhavihīnaṃsyād vidhāne 'bhyantaretathā // BhS_4.23 //	saMyoga arDa vihInaMsyAt viDAne aByantaretaTA // BhH _4.23 //
   prakṣālyapañcagavyena viśuddhaṅgabhanbhājanam /	prakzAlya paQcagavyena viSudDaFga Ban BAjanam /
   ālayātpramukhecaiva maṇṭapesamalaṅkṛte // BhS_4.24 //	AlayAt pramuKeca eva maNwa pesam alaFkRte // BhH _4.24 //
   gomayenopalipyaiva puṇyāhaṃvācayettataḥ /	gomayena upalipya eva puNya ahaMvAcayet tatas /
   raktabījānidhātūṃśca sannyasenmastravittamaḥ // BhS_4.25 //	rakta bIja aniDAtUn= ca sannyaset mastra vittamaH // BhH _4.25 //
   vaiṣṇavaṃviṣṇusūktañca pauruṣaṃsūktamuccaran /	vEzNavaMvizNusUktaQca pOruzaMsUktam uccaran /
   "viṣṇuryoni'mityuktvātu gabhaṃntranidhāpayet // BhS_4.26 //	"vizNuH yoni am iti uktvA atu gaBaMntra niDApayet // BhH _4.26 //
   itiśrīvaikhānase bhagavacchāstrebhṛguproktāyāṃ saṃhitāyāṃ prakīrṇādhikāre	iti SrI vEKAnase Bagavat SAstreBRgu proktAyAm saMhitAyAm prakIrNa aDikAre
   caturtho 'dhyāyaḥ	caturTaH aDyAyaH
   atha pañcamo 'dhyāyaḥ	aTa paQcamaH aDyAyaH
   prāsādalakṣaṇam.	prAsAda lakzaNam.
   athavakṣyeviśeṣeṇa prāsādānāntulakṣaṇam /	aTa vakzye viSezeNa prAsAdAn a antu lakzaNam /
   prasādaṅkuruteyena prāsādair atikīrtitam // BhS_5.1 //	prasAdaFkuruteyena prAsAdEH atikIrtitam // BhH _5.1 //
   aṅgulabhedaḥ	aFgula BedaH
   trividhantusamākhyātamaṅgulaṃsyātpramāṇataḥ /	triviDantu samAKyAtam aFgulaMsyAt pramANataH /
   mānāṅgulantuprathamaṃ mātrāṅgulamataḥparam // BhS_5.2 //	mAna aFgulantu praTamam mAtrA aFgula m atas param // BhH _5.2 //
   tṛtīyantusamākhyātaṃ dehalabdhapramāṇataḥ /	tRtIyantu samAKyAtam deha labDa pramANataH /
   rathareṇvaṇuraṣṭābhirīkṣāyū kāyavāstathā // BhS_5.3 //	raTa reNu aNurazwABiH IkzAyU kAyavAH taTA // BhH _5.3 //
   kramaśo 'ṣṭakuṇairviddhi mānāṅgulamitismṛtam /	kramaSas azwakuNEH vidDi mAna aFgula miti smRtam /
   madhyamāṅgulimadhyantu paryamātrāṅguliṃsmṛtam // BhS_5.4 //	maDyama aFguli maDyantu parya mAtra aFguliMsmRtam // BhH _5.4 //
   pratimāyāvibhāgena tālagaṇyena? bhājanam /	pratimAyA viBAgena tAlagaNyena? BAjanam /
   aṅgulantu samākhyātaṃ dehalabdhapramāṇataḥ // BhS_5.5 //	aFgulantu samAKyAtam deha labDa pramANataH // BhH _5.5 //
   prāsādamaṇḍapānāñca mānāṅgulavidhānataḥ /	prAsAda maNxa pAnAQca mAna aFgula viDAnataH /
   yāgopakaraṇānāstu mātrāṅgulavidhānataḥ // BhS_5.6 //	yAga upakaraNAnAH tu mAtrA aFgula viDAnataH // BhH _5.6 //
   dehalabdhapramāṇena pratimāṅkārayettathā /	deha labDa pramANena pratimA aFkArayet taTA /
   aṅgulaiḥkiṣkurityuktaṃ caturviṃśatibhistathā // BhS_5.7 //	aFgulEH kizkuH iti uktam caturviMSatiBiH taTA // BhH _5.7 //
   pañcaviṃśatibhiścaiva prājāpatyamudāhṛtam /	paQcaviMSatiBiH ca eva prAjApatyam udAhRtam /
   ṣaḍvintiśadhannurmuṣṭhi saptaviṃśaddhanugranhaḥ // BhS_5.8 //	zaxvinti SaDat nuH muzWi saptaviMSat Danu granhaH // BhH _5.8 //
   hastānāṃlakṣaṇaṃproktaṃ mānāṅgulavidhānataḥ /	hastAnAMlakzaNaMproktam mAna aFgula viDAnataH /
   ekatalādikalpanam	eka tala Adi kalpanam
   trihastādisamārabhya navahastāntamevaca // BhS_5.9 //	tri hasta AdisamAraBya nava hasta antam eva ca // BhH _5.9 //
   ayugmairathahastaistukuryādekatalaṃbudhaḥ /	ayugmEraTa hastEH tukuryAt eka talaMbuDaH /
   dvitalantutataḥkuryātsatrayodaśahastakaiḥ // BhS_5.10 //	dvita lantutataHkuryAt sa trayodaSa hastakEH // BhH _5.10 //
   pañcādhikadaśaihanstaiprāsādassyāttribhūmikaḥ /	paQca aDika daSa EhanstE prAsAda ssyAt tri BUmikaH /
   talaṃpratyadhikaṅkuryāt ṣaḍḍhastantuviśeṣataḥ // BhS_5.11 //	talaMpratyaDikaFkuryAt zaz haH tantu viSezataH // BhH _5.11 //
   ādvādaśatalādevaṃ kuryādvistāramānakam /	AdvAdaSa talAt evam kuryAt vistAra mAnakam /
   vistāradviguṇotsedha muttamantupracakṣate // BhS_5.12 //	vistAra dviguNa utseDa muttam antu pracakzate // BhH _5.12 //
   vistāraṃsaptadhākṛtvā dvādaśāṃśantumadhyamam /	vista AraMsaptaDA akRtvA dvAdaSa aMSantumaDyamam /
   ekādaśāṃśamadhamaṃ vistāresaptadhākṛte // BhS_5.13 //	ekAdaSa aMSam aDamam vistAresaptaDA kRte // BhH _5.13 //
   ādvādaśatalādevamutsedhantuvidhīyate /	AdvAdaSa talAt evam utseDantuviDIyate /
   prāṅmukhodaṅmukhaissūtraiḥ(?) padaṅkuryāttuṣoḍhaśam // BhS_5.14 //	prAFmuKa udaFmuKEH sUtrEH(?) padaFkuryAt tuzoXaSam // BhH _5.14 //
   gabhangehassamākhyāto madhyamantucatuṣpadam /	gaBan gehassamAKyAtaH maDyamantu catuzpadam /
   bāhyatodvādaśapadaṃ bhittyarthamupakalpayet // BhS_5.15 //	bAhyatas dvAdaSa padam Bitti arTam upakalpayet // BhH _5.15 //
   ṣaḍbhiṣṣaḍbhistadhāsūtraiḥ(?) padānāṃpañcaviṃśatiḥ /	zaz BiH zaxBiH taDA sUtrEH(?) padAnAMpaQcaviMSatiH /
   navagabhangṛhaṃmathyebhittyarthaṃ śeṣamucyate // BhS_5.16 //	nava gaBangRhaMmaTyeBitti arTam Sezam ucyate // BhH _5.16 //
   trividhantusamākhyātaṃ? prāsādākṛtayastathā /	triviDantu samAKyAtaM? prAsAda AkRtayaH taTA /
   nāgarandrāviḍañceti vesarañcatridhābhavet // BhS_5.17 //	nAgarandrA vixaQca iti vesaraQcatriDA aBavet // BhH _5.17 //
   nthūpyantañcaturaśraṃsyān nāgaraṃsamudāhṛtam /	nTUpyan taQcaturaSraMsyAt nAga raMsam udAhRtam /
   kaṇṭhaprabhṛticāṣṭāśraṃ prāsādandrāviḍaṃbhavet // BhS_5.18 //	kaNWa praBRti cAzwa ASram prAsAdandrA vixaMBavet // BhH _5.18 //
   kaṇṭhaprabhṛtivṛttaṃya dvesarantatpracakṣate /	kaNWa praBRti vRttaMya dvesaran tat pracakzate /
   beraḥpūrvaṃsthitoyatra tatraberavaśādbhavet // BhS_5.19 //	beraH pUrvaMsTitaH yatra tatra bera vaSAt Bavet // BhH _5.19 //
   yāvadberantribhāgaikaṃ vistāraṃpīṭhamevahi /	yAvat berantri BAga ekam vistAraMpIWam eva hi /
   pīṭhasyatriguṇaṅgabhaṃn garbhārdhaṃbhittirucyate // BhS_5.20 //	pIWasya triguNaFgaBan garBa arDaMBittiH ucyate // BhH _5.20 //
   gabhangehatribhāgaikaṃ bhittiṃvātatrakārayet /	gaBan geha tri BAga ekam BittiMvAtatra kArayet /
   agratomaṇḍapaṅkuryāt prāsādasamavistṛtam // BhS_5.21 //	agra tomaNxa paFkuryAt prAsAda sama vistRtam // BhH _5.21 //
   prāsādasya samāyāmaṃ daśāṃśaṃmukhamaṇḍapam /	prAsAdasya samAyAmam daSa aMSaMmuKa maNxapam /
   prāsādasyāgratodvāraṃ prakuryāllakṣaṇānvitam // BhS_5.22 //	prAsAdasya agrata udvAram prakuryAt lakzaNa anvitam // BhH _5.22 //
   vrateruparisīmāntaṃ dvārasyotsedhaucyate /	vrateH upari sIma antam dvArasya utseDa Ocyate /
   uttamandvāravistāramutsethārdhamudāhṛtam // BhS_5.23 //	uttaman dvAra vistAram utseTa arDam udAhRtam // BhH _5.23 //
   utsedhārdha daśāṃśena hīnaṃmadhyamamucyate /	utseDa arDa daSa aMSena hInaMmaDyamam ucyate /
   viṃśatyāparihīnaṃsyā dvistāramadhamaṃbhavet // BhS_5.24 //	viMSatyA parihInaMsyAH dvis tAram aDamaMBavet // BhH _5.24 //
   kāyañcāpyanukāyañca kuryādutsedhamānataḥ /	kAyaQca api anukAyaQca kuryAt utseDa mAnataH /
   bhāgamekamadhiṣṭhānamutse dhovasudhābhavet // BhS_5.25 //	BAgam ekam aDizWAnam utse DovasuDA Bavet // BhH _5.25 //
   pādāyāmodvibhāgassyād bhāgaḥprastāraucyate /	pAda AyAma udviBAga ssyAt BAgaH prastAra Ocyate /
   bhāgaḥkaṇṭhaitiproktaṃ dvibhāsaṃśikharaṃbhavet // BhS_5.26 //	BAgaH kaNWa eti proktam dvi BAsaMSi KaraMBavet // BhH _5.26 //
   bhāgasthyūpiritikhyāta mevamutsedhaucyate /	BAga sTyUpiH iti KyAta mevam utseDa Ocyate /
   kāmamevaṃsamākhyāta manukāyamadhocyate // BhS_5.27 //	kAmam evaMsam AKyAta manukAyam aDocyate // BhH _5.27 //
   kuryātprāsādavistāraṃ caturviṃśatibhāgikam /	kuryAt prAsAda vistAram caturviMSati BAgikam /
   ekabhāgastuvistāraṃ bhāgamekantalantathā // BhS_5.28 //	eka BAgaH tu vistAram BAgam ekantalan taTA // BhH _5.28 //
   daśāṅgulaṃscāddvitale tritaledvādaśāṅgulam /	daSa aFgulaMscAt dvi tale tri taledvAdaSa aFgulam /
   yugāṅgulavivṛddhyātu kartavyaṃsyāttalaṃprati // BhS_5.29 //	yuga aFgula vivRdDyAtu kartavyaMsi At talaMprati // BhH _5.29 //
   pādamasyatuviṣkaṃbha maṣṭabhāgaṃvihīnakam /	pAdam asyatu vizkaMBa mazwa BAgaMvihInakam /
   staṃbhāgreṇaivagartavya manukāyapramāṇataḥ // BhS_5.30 //	staMBa agreNa eva gartavya manu kAya pramANataH // BhH _5.30 //
   upānasyatuviṣkaṃbha magrepādadvayaṃbhavet /	upAnasyatu vizkaMBa magrepAda dvayaMBavet /
   adhiṣṭhānantridhākṛtvā bhāgovaijagatībhavet // BhS_5.31 //	aDizWa anantriDA akRtvA BAgaH vEjagatIBavet // BhH _5.31 //
   kumudantudvitīyena bhāgenaivatukārayet /	kumudantu dvitIyena BAgena evatukArayet /
   kṛtvāśeṣañcataṃbhānga mekāṃśainapaṭcaṭikām // BhS_5.32 //	kRtvA aSezaQcataMBAn ga meka aMSa ena pawcawikAm // BhH _5.32 //
   kuryātsārdhenakaṇṭhantu śeṣaṃvājinamucyate /	kuryAt sArDena kaNWantu SezaMvAjinam ucyate /
   pādabandhamitikhyātaṃ sarvakāryeṣupūjitam // BhS_5.33 //	pAda banDam iti KyAtam sarva kArya izu pUjitam // BhH _5.33 //
   pratikramaṃvākartavya madhiṣṭhānapramāṇataḥ /	pratikramaMvAkartavya maDizWAna pramANataH /
   jagatīntadvadevātha kumudaṃpṛttamucyate // BhS_5.34 //	jagatInta dvat eva aTa kumudaMpRttam ucyate // BhH _5.34 //
   bhāgenapūrvavatkṛtvā caturthaṃśeṣamācaret /	BAgena pUrvavat kRtvA caturTaMSezam Acaret /
   paṭṭikenaivakartavya megamastarikantathā // BhS_5.35 //	pawwikena eva kartavya megamaH tarikan taTA // BhH _5.35 //
   dvābhyāṃpratimukhaṅkuryāt pratikramamidaṃbavet /	dvAByAM pratimuKaFkuryAt pratikramam idaMbavet /
   adhiṣṭhānamitikhyātaṃ pādamānaṃpravakṣyate // BhS_5.36 //	aDizWAnam iti KyAtam pAda mAnaMpravakzyate // BhH _5.36 //
   caturaśramathāṣṭāśraṃ vṛttañcaivatridhābhavet /	caturaSramaTa azwa ASram vRttaQca eva triDA aBavet /
   kuṃbhayuktantathāke citkecitkuṃbhavihīnakam // BhS_5.37 //	kuMBa yuktantaTAke cit kecid kuMBa vihInakam // BhH _5.37 //
   kaicidvaikuṃbhamaṇībhyāṃ yuktaṃpādaṃsmarantihi /	kEcid vEkuMBamaNIByAm yuktaMpAdaMsmaranti hi /
   vistāreṇasamaṃvāpi dviguṇaṃvāpimūlataḥ // BhS_5.38 //	vistAreNa samaMvApi dviguNaMvApi mUlataH // BhH _5.38 //
   caturaśramadhohitvā vṛttamaṣṭāśramevavā /	caturaSrama DohitvA vRttam azwa ASramA ivavA /
   kartavyantuyadhāyukta mathavāṣoḍaśāśrakam // BhS_5.39 //	kartavyantu yaDA yukta maTavAzoxaSa aSrakam // BhH _5.39 //
   pādānāmākṛtiḥproktā kuṃbhalakṣaṇamucyate /	pAdAnAm AkRtiH proktA kuMBa lakzaNam ucyate /
   pādādhikamadhādhyarthaṃ pādonandviguṇantuvā // BhS_5.40 //	pAda aDikam aDADyarTam pAdonandvi guNantuvA // BhH _5.40 //
   dviguṇantusamutsedhaṃ pādaviṣkaṃbhamānataḥ /	dviguNantu samutseDam pAda vizkaMBamAnataH /
   śrīkarañcandrakāstañca saumukhyaṃpriyadarśanam // BhS_5.41 //	SrIkaraQcandrakAH taQca sOmuKyaMpriya darSanam // BhH _5.41 //
   yathākrameṇanāmāni kartavyāniviśeṣataḥ /	yaTA krameNa nAmAni kartavyA niviSezataH /
   śrīkaraṃvṛttapādānāṃ kalāśrāṇāntathaivaca // BhS_5.42 //	SrI karaMvRtta pAdAnAm kalA SrANAn taTA eva ca // BhH _5.42 //
